㟤	l ɔ k̚ ²
落局	l ɔ ³ ³ kʰ ɔ k̚ ²
落徙	l ɔ ³ ³ s u a ³ ¹
落毛	l a k̚ ⁵ m ɔ ² ²
落毛	l ɔ ³ ³ m ɔ ² ²
落灑	l ɔ ³ ³ s u a ³ ¹
落肥	l ɔ ³ ³ p u i ² ²
落色	l a k̚ ⁵ s i k̚ ⁵
落課	l ɔ ³ ³ kʰ ɔ ² ¹
落象	l ɔ ³ ³ t͡sʰ i ɔ ³ ³
落鄉	l ɔ ³ ³ h i a ŋ ³ ⁵
落雨	l ɔ ³ ³ h ɛ u ³ ³
落雹	l ɔ ³ ³ tʰ a k̚ ²
落霜	l ɔ ³ ³ s ɔ ³ ⁵
落麻露	l ɔ ³ ³ m u a ² ² l ɛ u ³ ⁵
葉	i a p̚ ²
葉	n i a p̚ ⁵
葬	t͡s a ŋ ² ¹
蒜	s u ŋ ² ¹
蒜頭	s u ŋ ² ¹ ⁻ ⁵ ⁵ tʰ a u ² ²
蒲	pʰ u ² ²
蓬	pʰ ɔ ŋ ² ²
蓮	l i e ŋ ² ²
蓮	n a i ² ²
蔗粕	t͡s i a ² ¹ pʰ ɔ ⁵ ⁵
蔡	t͡sʰ a i ² ¹
蔡	t͡sʰ u a ² ¹
蔥	t͡sʰ a ŋ ³ ⁵
蔥	t͡sʰ ɔ ŋ ³ ⁵
蕩	t a ŋ ⁵ ⁵
薄刀	p ɔ ³ ³ t ɔ ³ ⁵
薛	s ɔ i ⁵ ⁵
薰	h u ŋ ³ ⁵
藍	l a m ² ²
藏	t͡s a ŋ ³ ³
藏	t͡sʰ a ŋ ² ²
藤	t i e ŋ ² ²
藤	tʰ e ŋ ² ²
藤椅	t i e ŋ ² ² i ² ¹
藥	i ɔ ³ ³
虎	h ɛ u ³ ¹
虎頭蜂	h ɛ u ³ ¹ ⁻ ⁵ ⁵ tʰ a u ² ² pʰ a ŋ ³ ⁵
號	h a u ² ²
號	h a u ⁵ ⁵
號	h ɔ ³ ⁵
虧	kʰ u i ³ ⁵
虹	h ɔ ŋ ² ²
虹	kʰ i a ŋ ³ ³
虼蚻	k a ³ ⁵ ⁻ ³ ³ t͡s u a ³ ³
蚤	t͡s a u ³ ¹
蛀	t͡s i u ² ¹
蛅蛉	n i a m ⁵ ⁵ n i ³ ⁵
蛆	t͡sʰ u ³ ⁵
蛆蟲	t͡sʰ u ³ ⁵ ⁻ ³ ³ tʰ a ŋ ² ²
蛇	s ɛ ² ²
蛇	t͡s u a ² ²
蛇殼	t͡s u a ² ² kʰ a k̚ ⁵
蛋	t a ŋ ⁵ ⁵
蜀	z i a k̚ ²
蜂	h ɔ ŋ ² ²
蜂	pʰ a ŋ ³ ⁵
蜂糖	pʰ a ŋ ³ ⁵ ⁻ ³ ³ tʰ ɔ ² ²
蜈蚣	ŋ ɛ ² ² k a ŋ ³ ⁵
蜜糖	b i e k̚ ² tʰ ɔ ² ²
蝦	h ɛ ² ²
蝦卵	h ɛ ² ² n u i ³ ³
融	z i ɔ ŋ ² ²
螺	l ɔ ² ²
螺	l ɛ ² ²
蟹膏	h ɔ i ³ ³ k ɔ ³ ⁵
蟻	h i a ³ ³
蟻	ŋ i ³ ³
蠓	m a ŋ ³ ¹
蠓帳	m a ŋ ³ ¹ t i ɔ ² ¹
蠢	t͡sʰ u ŋ ³ ¹
蠶	t͡sʰ a i ² ²
蠻	m a ŋ ² ²
血	h i e k̚ ⁵
血	h u ɛ ⁵ ⁵
行	h a ŋ ² ²
行	h i ŋ ² ²
行	k i a ² ²
行	ɔ ² ²
行街	k i a ² ² k ɔ i ³ ⁵
術	s u k̚ ²
街	k ɔ i ³ ⁵
衣	i ³ ⁵
衫	s a m ³ ⁵
衫	s a ³ ⁵
衫䘼	s a ³ ⁵ ⁻ ³ ³ u i ³ ¹
衫褲	s a ³ ⁵ ⁻ ³ ³ kʰ ɛ u ² ¹
裕	z i ³ ³
裙	k u ŋ ² ²
裝	t͡s u a ŋ ³ ⁵
裝	t͡s ɔ ³ ⁵
褲	kʰ u ² ¹
褲	kʰ ɛ u ² ¹
褲袋	kʰ ɛ u ² ¹ ⁻ ⁵ ⁵ t ɛ ³ ⁵
褲跤	kʰ ɛ u ² ¹ ⁻ ⁵ ⁵ kʰ a ³ ⁵
褲跤尾	kʰ ɛ u ² ¹ ⁻ ⁵ ⁵ kʰ a ³ ⁵ ⁻ ³ ³ b u ɛ ³ ¹
褲頭	kʰ ɛ u ² ¹ ⁻ ⁵ ⁵ tʰ a u ² ²
襪	b a k̚ ²
西	s a i ³ ⁵
西	s i ³ ⁵
西片	s a i ³ ⁵ pʰ i ² ¹
見	k i e ŋ ² ¹
見	k i ² ¹
規	k u i ³ ⁵
覓	t u ɛ ² ¹
視	s u ² ¹
親	t͡sʰ i e ŋ ³ ⁵
親家娘	t͡sʰ i e ŋ ³ ⁵ ⁻ ³ ³ k ɛ ³ ⁵ ⁻ ³ ³ n i a ŋ ² ¹
觸	t͡sʰ ɔ k̚ ⁵
觸日	t͡sʰ ɔ k̚ ⁵ z i e k̚ ²
言	ŋ i e ŋ ² ²
計	k i ² ¹
討	tʰ ɔ ³ ¹
討便宜	tʰ ɔ ³ ¹ p a ŋ ² ² z i ² ²
討米	tʰ ɔ ³ ¹ ⁻ ⁵ ⁵ b i ³ ¹
訓	h u ŋ ² ¹
記	k i ² ¹
設	s i e k̚ ⁵
評	pʰ i ŋ ² ²
詞	t͡sʰ u ² ²
試	s i ² ¹
詩	s i ³ ⁵
話	u ɛ ³ ⁵
詳	t͡sʰ i a ŋ ² ²
認	z i e ŋ ³ ⁵
誓	s i ⁵ ⁵
誓	s ɔ i ³ ³
語	ŋ i ³ ¹
說	s i e k̚ ⁵
說	s u ɛ ⁵ ⁵
課	kʰ ɔ ² ¹
調	t i a u ³ ³
調	tʰ i a u ² ²
談	tʰ a m ² ²
論	l u ŋ ³ ³
謁	k i e k̚ ⁵
講	k i a ŋ ³ ¹
講	k ɔ ³ ¹
謝	s i a ³ ⁵
謝	s i ɛ ⁵ ⁵
謝	t͡s i a ³ ⁵
證	t͡s i ŋ ² ¹
警	k i ŋ ³ ¹
譯	z i k̚ ⁵
護	h u ³ ³
讀	tʰ a k̚ ²
讀	tʰ ɔ k̚ ⁵
豆	t a u ³ ⁵
豆	t ɛ u ⁵ ⁵
豆腐	t a u ³ ⁵ ⁻ ³ ³ h u ³ ⁵
豆腐白	t a u ³ ⁵ ⁻ ³ ³ h u ³ ⁵ ⁻ ³ ³ p ɛ ³ ³
豆腐竹	t a u ³ ⁵ ⁻ ³ ³ h u ³ ⁵ ⁻ ³ ³ t͡s ɔ k̚ ⁵
豆豉	t a u ³ ⁵ ⁻ ³ ³ s i ³ ⁵
豆頭	t a u ³ ⁵ ⁻ ³ ³ tʰ a u ² ²
象	s i a ŋ ³ ³
象	t͡sʰ i ɔ ³ ³
豪	h a u ² ²
豬	t u ³ ⁵
豬僆	t u ³ ⁵ ⁻ ³ ³ l a ŋ ² ¹
豬僆囝	t u ³ ⁵ ⁻ ³ ³ l a ŋ ² ¹ ⁻ ⁵ ⁵ k i a ² ¹
豹	p a ² ¹
貌	m a u ³ ³
貓	b a ² ²
貓	m i a u ² ²
貓	n i a u ⁵ ⁵
貓母	b a ² ² b ɔ ³ ¹
貓牯	p a ² ² k ɛ u ³ ¹
貓貓	b a ² ² n i a u ⁵ ⁵
貓雄	b a ² ² h i a ŋ ² ²
貝	p u i ² ¹
貝	p u ɛ ² ¹
貞	t͡s i ŋ ³ ⁵
財	t͡sʰ a i ² ²
貨櫓	h u ɛ ² ¹ ⁻ ⁵ ⁵ l ɛ u ³ ¹
貨櫓花	h u ɛ ² ¹ ⁻ ⁵ ⁵ l ɛ u ³ ¹ h u ɛ ³ ⁵
貪	tʰ a m ³ ⁵
貪財	tʰ a m ³ ⁵ ⁻ ³ ³ t͡sʰ a i ² ²
貪食	tʰ a m ³ ⁵ ⁻ ³ ³ t͡s i a ³ ³
貴	k u i ² ¹
買	b ɔ i ³ ¹
買	m a i ³ ¹
費	b i ² ¹
賒	s i a ³ ⁵
賒	s i ɛ ³ ⁵
賓	p i e ŋ ³ ⁵
賜	s u ² ¹
賢	h i e ŋ ² ²
賣	b ɔ i ³ ⁵
賣	m a i ⁵ ⁵
質	t͡s i e k̚ ⁵
贅	t͡s u i ³ ³
贏	i a ² ²
贏	z i ŋ ² ²
贖	s ɔ k̚ ²
赤	t͡sʰ i a ⁵ ⁵
赤	t͡sʰ i k̚ ⁵
走	t͡s a u ³ ¹
走	t͡s ɛ u ³ ¹
起	kʰ i ³ ¹
起價	kʰ i ³ ¹ k ɛ ² ¹
起碇	kʰ i ³ ¹ t i a ² ¹
起貨	kʰ i ³ ¹ h u ɛ ² ¹
起頭	kʰ i ³ ¹ tʰ a u ² ²
起鼓	kʰ i ³ ¹ k ɛ u ³ ¹
趟	tʰ ɔ ŋ ² ¹
跋錢	p u a ³ ³ t͡s i ² ²
跋錢場	p u a ³ ³ t͡s i ² ² t i ɔ ² ²
跍	k u ⁵ ⁵
跤	kʰ a ³ ⁵
跤拇	kʰ a ³ ⁵ ⁻ ³ ³ b ɔ ³ ¹
跤球	kʰ a ³ ⁵ ⁻ ³ ³ kʰ i u ² ²
跤腿	kʰ a ³ ⁵ ⁻ ³ ³ tʰ u i ³ ¹
跤趺	kʰ a ³ ⁵ ⁻ ³ ³ u ³ ⁵
跤蹬	kʰ a ³ ⁵ ⁻ ³ ³ t ɛ ³ ⁵
跤頭趺	kʰ a ³ ⁵ ⁻ ³ ³ tʰ a u ² ² u ³ ⁵
跪	k u i ³ ³
路	l u ⁵ ⁵
路	l ɛ u ³ ⁵
跳班	tʰ i a u ² ¹ ⁻ ⁵ ⁵ p a ŋ ³ ⁵
身	s i e ŋ ³ ⁵
身軀	s i e ŋ ³ ⁵ ⁻ ³ ³ kʰ u ³ ⁵
躼	n ɔ ² ¹
軀	kʰ i ³ ⁵
軀	kʰ u ³ ⁵
車	k u ³ ⁵
車	t͡sʰ i a ³ ⁵
軍	k i e ŋ ³ ⁵
軍	k u ŋ ³ ⁵
軒	h i e ŋ ³ ⁵
軛	e k̚ ⁵
辛	s i ŋ ³ ⁵
辣	l u a ³ ³
辦	p a ŋ ⁵ ⁵
辰	s i e ŋ ² ²
農	n ɔ ŋ ² ²
迎	ŋ i ŋ ² ²
近	k i e ŋ ³ ³
迷	m i ⁵ ⁵
退	tʰ u i ² ¹
退	tʰ ɛ ² ¹
送	s a ŋ ² ¹
送	s ɔ ŋ ² ¹
送喪	s a ŋ ² ¹ ⁻ ⁵ ⁵ s ɔ ³ ⁵
送路	s a ŋ ² ¹ ⁻ ⁵ ⁵ l ɛ u ³ ⁵
逃走學	tʰ a u ² ² t͡s a u ² ¹ ⁻ ⁵ ⁵ ɔ ³ ³
透	tʰ a u ² ¹
通	tʰ ɔ ŋ ³ ⁵
速	s ɔ k̚ ⁵
逢	h ɔ ŋ ² ²
連	l i e ŋ ² ²
進	t͡s i e ŋ ² ¹
過	k u ɛ ² ¹
過世	kʰ u ɛ ² ¹ ⁻ ⁵ ⁵ s i ² ¹
過輩	kʰ u ɛ ² ¹ ⁻ ⁵ ⁵ p u ɛ ² ¹
道	t a u ⁵ ⁵
遠	h u i ⁵ ⁵
遠	z i e ŋ ⁵ ⁵
遺	i ³ ³
還	h a i ² ²
還	h u a ŋ ² ²
還	s i e ŋ ² ²
還福	h u a ŋ ² ² h ɔ k̚ ⁵
邊	p i e ŋ ³ ⁵
邋滯	l a p̚ ² t͡s a i ³ ³
邪	s i ɛ ² ²
郎家	l ɔ ² ² k ɛ ³ ⁵
部	p u ³ ³
部	p ɛ u ³ ³
郵	i u ² ²
鄉	h i a ŋ ³ ⁵
鄧	t e ŋ ⁵ ⁵
鄧	tʰ a ŋ ³ ⁵
鄭	t ɛ ³ ⁵
鄭	t͡s i ŋ ³ ³
配	pʰ u i ² ¹
酒	t͡s i u ³ ¹
酸	s u a ŋ ³ ⁵
酸	s u i ³ ⁵
酸餅	s u i ³ ⁵ ⁻ ³ ³ p i a ³ ¹
醋	t͡sʰ u ² ¹
醋	t͡sʰ ɛ u ² ¹
醪	l ɔ ² ²
醪苔	l ɔ ² ² tʰ i ² ²
醬	t͡s i a ŋ ² ¹
醬	t͡s i ɔ ² ¹
量	l i a ŋ ² ²
量	l i a ŋ ³ ³
量	l i ɔ ² ²
金	k i m ³ ⁵
針	t͡s i a m ³ ⁵
銀	ŋ i e ŋ ² ²
銅	t a ŋ ² ²
銜	h a m ² ²
銜	k a ² ²
鋒	h ɔ ŋ ² ²
鋼	k a ŋ ³ ⁵
鋼	k ɔ ² ¹
錢	t͡s i ² ²
錢	t͡sʰ i e ŋ ² ²
錦	k i m ³ ¹
鎮	t i e ŋ ² ¹
鏡	k i a ² ¹
鐵	tʰ i e k̚ ⁵
鐵	tʰ i ⁵ ⁵
鑶	t͡sʰ a ŋ ² ²
長	t ɔ ² ²
長	t͡s i a ŋ ³ ¹
長	t͡sʰ i a ŋ ² ²
長世	t ɔ ² ² s i ² ¹
長尾	t ɔ ² ² b u ɛ ³ ¹
長常	t ɔ ² ² s i a ŋ ² ²
門	m u i ² ²
門	m u ŋ ² ²
開	kʰ a i ³ ⁵
開	kʰ u i ³ ⁵
開燈	kʰ u i ³ ⁵ ⁻ ³ ³ t e ŋ ³ ⁵
閒	a i ² ²
閒	h a ŋ ² ²
間	k a i ³ ⁵
間	k i e ŋ ³ ⁵
間	k i e ŋ ⁵ ⁵
閹	i a m ³ ⁵
關	k u a ŋ ³ ⁵
關	k u ɛ ³ ⁵
關喙	k u ɛ ³ ⁵ ⁻ ³ ³ t͡sʰ u i ² ¹
防	b a ŋ ² ²
院	i e ŋ ⁵ ⁵
除	t u ² ²
除	t͡sʰ i ² ²
陰	i m ³ ⁵
陰杯	i m ³ ⁵ p u ɛ ³ ⁵
陳	t a ŋ ² ²
陳	t͡sʰ i e ŋ ² ²
陵	l e ŋ ² ²
陶	tʰ a u ² ²
陸	l ɔ k̚ ²
陽	z i a ŋ ² ²
隆	l ɔ ŋ ² ²
隔奶	k ɛ ⁵ ⁵ n i ² ²
隔薰	k ɛ ⁵ ⁵ h u ŋ ³ ⁵
障	t͡s i a ŋ ² ¹
隨	s u i ² ²
險	h i a m ³ ¹
雀	t͡sʰ i ɔ k̚ ⁵
雁	ŋ a ŋ ³ ³
雁鳥	ŋ a ŋ ³ ³ t͡s i a u ² ¹
雅	ŋ i a ³ ¹
雙	s i a ŋ ³ ⁵
雙生囝	s i a ŋ ³ ⁵ ⁻ ³ ³ s ɛ ³ ⁵ k i a ³ ¹
雞	k i ³ ⁵
雞	k ɔ i ³ ⁵
雞毛掃	k ɔ i ³ ⁵ ⁻ ³ ³ m ɔ ² ² s a u ² ¹
雞菜	k ɔ i ³ ⁵ ⁻ ³ ³ t͡sʰ a i ² ¹
雞頭	k ɔ i ³ ⁵ ⁻ ³ ³ tʰ a u ² ²
離	l i ² ²
難	n a ŋ ² ²
難	n a ŋ ³ ³
雨	h ɛ u ³ ³
雪	s e k̚ ⁵
雪	s ɔ i ⁵ ⁵
雪條	s ɔ i ⁵ ⁵ t i a u ² ²
雲	h u ŋ ² ²
雲	z i e ŋ ² ²
雲片糕	z i e ŋ ² ² pʰ i e ŋ ² ¹ ⁻ ⁵ ⁵ k a u ³ ⁵
雷	l u i ² ²
雷公	l u i ² ² k ɔ ŋ ³ ⁵
雷州	l u i ² ² t͡s i u ³ ⁵
雷州話	l u i ² ² t͡s i u ³ ⁵ ⁻ ³ ³ u ɛ ³ ⁵
雹	p a u ³ ³
雹	p ɔ k̚ ⁵
雹	tʰ a k̚ ²
電	t i e ŋ ³ ³
電油	t i e ŋ ³ ⁵ ⁻ ³ ³ i u ² ²
震	t͡s i e ŋ ² ¹
霜	s u a ŋ ³ ⁵
霜	s ɔ ³ ⁵
霧	b ɛ u ² ¹
露	l u ⁵ ⁵
露	l ɛ u ³ ⁵
霸	p a ² ¹
青	t͡sʰ i ŋ ³ ⁵
青	t͡sʰ ɛ ³ ⁵
青竹蛇	t͡sʰ ɛ ³ ⁵ ⁻ ³ ³ t i p̚ ⁵ t͡s u a ² ²
青筋	t͡sʰ ɛ ³ ⁵ ⁻ ³ ³ k i e ŋ ³ ⁵
靜	t͡s i ŋ ³ ³
面	m i e ŋ ³ ⁵
面	m i e ŋ ⁵ ⁵
鞋	h a i ² ²
鞋	ɔ i ² ²
鞋抽	ɔ i ² ² t͡sʰ i u ³ ⁵
鞋靸	ɔ i ² ² s a ⁵ ⁵
鞦	t͡sʰ i u ³ ⁵
韭	k a u ³ ¹
韭菜花	k a u ³ ¹ t͡sʰ a i ² ¹ ⁻ ⁵ ⁵ h u ɛ ³ ⁵
音	i m ³ ⁵
頂	t i ŋ ³ ¹
項	h a ŋ ⁵ ⁵
領	l e ŋ ³ ¹
領	n i a ³ ¹
頭	tʰ a u ² ²
頭前	tʰ a u ² ² t͡s a i ² ²
頭家	tʰ a u ² ² k ɛ ³ ⁵
頭毛	tʰ a u ² ² m ɔ ² ²
顆	kʰ ɔ ⁵ ⁵
顏	ŋ a ŋ ² ²
類	l u i ³ ³
風	h u a ŋ ³ ⁵
風	h ɔ ŋ ³ ⁵
風湧	h u a ŋ ³ ⁵ ⁻ ³ ³ i a ŋ ³ ¹
飛	b i ³ ⁵
飛	p u ɛ ³ ⁵
飛機恤	p u ɛ ³ ⁵ ⁻ ³ ³ k i ³ ⁵ ⁻ ³ ³ s u k̚ ⁵
飛鼠	p u ɛ ³ ⁵ ⁻ ³ ³ t͡sʰ u ³ ¹
食	s i e k̚ ²
食	t͡s i a ³ ³
食日晝	t͡s i a ³ ³ z i e k̚ ² t a u ² ¹
食早	t͡s i a ³ ³ t͡s a ³ ¹
食暝昏	t͡s i a ³ ³ m ɛ ² ² h u i ³ ⁵
食氣	t͡s i a ³ ³ kʰ i ² ¹
食澈	t͡s i a ³ ³ tʰ ɛ ⁵ ⁵
食糜	t͡s i a ³ ³ m u ɛ ² ²
食茶	t͡s i a ³ ³ t ɛ ³ ¹
食藥	t͡s i a ³ ³ i ɔ ³ ³
食蛀	t͡s i a ³ ³ t͡s i u ² ¹
食蟲	t͡s i a ³ ³ tʰ a ŋ ² ²
食蟲齒	t͡s i a ³ ³ tʰ a ŋ ² ² kʰ i ³ ¹
食路	t͡s i a ³ ³ l ɛ u ³ ⁵
食路錢	t͡s i a ³ ³ l ɛ u ³ ⁵ ⁻ ³ ³ t͡s i ² ²
食雜	t͡s i a ³ ³ t͡s a p̚ ²
食食	t͡s i a ³ ³ s i e k̚ ²
食飯	t͡s i a ³ ³ p u i ³ ⁵
食齋	t͡s i a ³ ³ t͡s ɛ ³ ⁵
飯	b a ŋ ³ ³
飯	p u i ³ ⁵
飯疕	p u i ³ ⁵ ⁻ ³ ³ pʰ i ³ ¹
飽	p a ³ ¹
餐	t͡sʰ a ŋ ³ ⁵
餡	a ³ ⁵
餡	h i a m ⁵ ⁵
香	h i a ŋ ³ ⁵
香	h i ɔ ³ ⁵
馬	b ɛ ³ ¹
馬	m a ³ ¹
馬囝	b ɛ ³ ¹ ⁻ ⁵ ⁵ k i a ³ ¹
馬蹄子	b ɛ ³ ¹ ⁻ ⁵ ⁵ t ɔ i ² ² t͡s i ³ ¹
馬郎	b ɛ ³ ¹ ⁻ ⁵ ⁵ l ɔ ² ²
騾	l u a ² ²
驗	ŋ i a m ³ ⁵
驚	k i a ³ ⁵
驚	k i ŋ ³ ⁵
驢	l i ² ²
驢	l u ² ²
骨	k u a k̚ ⁵
骨	k u k̚ ⁵
體	tʰ i ³ ¹
高	k a u ³ ⁵
鬼	k u i ³ ¹
魂	h u ŋ ² ²
魚	h u ² ²
魚	z i ² ²
魚丸	h u ³ ¹ ⁻ ⁵ ⁵ z i e ŋ ² ²
魚卵	h u ³ ¹ ⁻ ⁵ ⁵ n u i ³ ³
魚客	h u ³ ¹ kʰ ɛ ⁵ ⁵
魚種	h u ³ ¹ ⁻ ⁵ ⁵ t͡s i a ŋ ³ ¹
鮑	pʰ a u ² ¹
鮑魚	pʰ a u ² ¹ ⁻ ⁵ ⁵ h u ² ²
鯇魚	u a ŋ ³ ¹ ⁻ ⁵ ⁵ h u ² ²
鱔	s i e ŋ ³ ¹
鱔	t͡sʰ u a ³ ³
鱖	k u i ² ¹
鱖	kʰ i e k̚ ⁵
鳥	n i a u ³ ¹
鳥	t͡s i a u ³ ¹
鳥岫	t͡s i a u ³ ¹ ⁻ ⁵ ⁵ s i u ³ ⁵
鵝	ŋ ɔ ² ²
鷂	i ɔ ³ ⁵
鷹婆	i m ³ ⁵ ⁻ ³ ³ p ɔ ² ²
鹹	k i a m ² ²
鹹苦	k i a m ² ² kʰ ɛ u ³ ¹
鹹菜	k i a m ² ² t͡sʰ a i ² ¹
鹽	i a m ² ²
鹿	l ɔ k̚ ⁵
鹿	t i a k̚ ²
麵	m i e ŋ ⁵ ⁵
麵	m i ³ ⁵
麵線	m i ³ ⁵ ⁻ ³ ³ s u a ² ¹
麻	m a ² ²
麻	m u a ² ²
麻囝	m u a ² ² k i a ³ ¹
麻布	m u a ² ² p ɛ u ² ¹
麻索	m u a ² ² s ɔ ⁵ ⁵
麻索囝	m u a ² ² s ɔ ⁵ ⁵ k i a ³ ¹
麻葈	m u a ² ² s i ² ²
麻露	m u a ² ² l ɛ u ³ ⁵
麻露螺	m u a ² ² l ɛ u ³ ⁵ ⁻ ³ ³ l ɛ ² ²
黃	h u a ŋ ² ²
黃	u i ² ²
黃腫	u i ² ² t͡s i a ŋ ³ ¹
黃麖	u i ² ² k i a ³ ⁵
黍	s i ³ ¹
黍	s ɔ i ³ ¹
黎話	l ɔ i ² ² u ɛ ³ ⁵
黑	h e k̚ ⁵
鼻	pʰ i ³ ⁵
鼻屎	pʰ i ³ ⁵ ⁻ ³ ³ s a i ³ ¹
鼻帶	pʰ i ³ ⁵ ⁻ ³ ³ t i ⁵ ⁵
鼻槍筒	pʰ i ³ ⁵ ⁻ ³ ³ t͡sʰ i ɔ ³ ⁵ ⁻ ³ ³ t a ŋ ² ²
鼻水	pʰ i ³ ⁵ ⁻ ³ ³ t͡s u i ³ ¹
鼻空	pʰ i ³ ⁵ ⁻ ³ ³ kʰ a ŋ ³ ⁵
鼻空毛	pʰ i ³ ⁵ ⁻ ³ ³ kʰ a ŋ ³ ⁵ ⁻ ³ ³ m ɔ ² ²
齊	t͡s i a u ² ²
齒屎	kʰ i ³ ¹ ⁻ ⁵ ⁵ s a i ³ ¹
齒母	kʰ i ³ ¹ ⁻ ⁵ ⁵ p ɔ ³ ¹
齷齪	u a k̚ ⁵ t͡sʰ u a k̚ ⁵
龍	l i a ŋ ² ²
龍	l ɔ ŋ ² ²
龐	l ɔ ŋ ² ²
龐	pʰ a ŋ ² ²
𠕇	t a i ³ ⁵
𡠤	t͡sʰ i a ŋ ³ ¹
𡧣	k a i ³ ¹
𡧣	k ɔ i ³ ¹
𡳞	l a ŋ ³ ³
𡳞脬	l e m ² ² pʰ a ³ ⁵
𡳞脬子	l e m ² ² pʰ a ³ ⁵ ⁻ ³ ³ t͡s i ³ ¹
𡳞脬核	l e m ² ² pʰ a ³ ⁵ ⁻ ³ ³ h u k̚ ²
𤆬	t͡sʰ u a ³ ⁵
𧑃蚜	ŋ a u ³ ³ ŋ ɛ ² ²
