㑚	n a ʔ ⁴
滾湯	k ɔ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n u ŋ ⁵ ³ ³
滿	m u a ŋ ⁴ ⁵ ³
滿	m u a ⁴ ⁵ ³
滿定	m u a ŋ ⁴ ⁵ ³ ⁻ ¹ ³ t ɛ ŋ ¹ ¹
漀酒	kʰ i ŋ ¹ ³ ⁻ ¹ ¹ t͡s i u ⁴ ⁵ ³
漁船	h y ¹ ³ ⁻ ¹ ¹ l ɔ ŋ ¹ ³
漁船囝	h y ¹ ³ ⁻ ¹ ¹ l ɔ ŋ ¹ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³
漂	pʰ i e u ⁴ ²
漂	pʰ i e u ⁵ ³ ³
漏風	l a u ¹ ¹ u e i ⁵ ³ ³
演	ɛ ŋ ⁴ ⁵ ³
漖	k ɒ ⁴ ²
漠	p ɒ ʔ ⁴
漠	p ɔ u ¹ ³
漢	h a ŋ ⁴ ²
漢人	h a ŋ ⁴ ² t͡s i ŋ ¹ ³
漢奸	h a ŋ ⁴ ² ⁻ ⁵ ⁵ k a ŋ ⁵ ³ ³
漢字	h a ŋ ⁴ ² t͡s o ¹ ¹
漢室	h a ŋ ⁴ ² ɬ i ʔ ² ¹
漢族	h a ŋ ⁴ ² ⁻ ⁵ ⁵ t͡s ɒ ʔ ⁴
漢語	h a ŋ ⁴ ² ⁻ ⁵ ⁵ k y ⁴ ⁵ ³
漢語拼音	h a ŋ ⁴ ² ⁻ ⁵ ⁵ k y ⁴ ⁵ ³ pʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ⁵ ³ ³
漢賦	h a ŋ ⁴ ² ⁻ ⁵ ⁵ h u ⁴ ²
漣	l ɛ ŋ ¹ ³
漩	ɬ œ ŋ ¹ ³
漪	i ⁵ ³ ³
漫	m a ŋ ¹ ¹
漭	m ɒ ŋ ⁴ ⁵ ³
漱口	ɬ u i ⁴ ² ⁻ ⁵ ⁵ a u ⁴ ⁵ ³
漳州	t͡s y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i u ⁵ ³ ³
漳州	t͡s y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡s i u ⁵ ³ ³
漵	ɬ y ¹ ¹
漶	h u a ŋ ¹ ¹
漿	t͡s i e u ⁵ ³ ³
漿	t͡s y ɒ ŋ ⁵ ³ ³
潑	pʰ u a ¹ ¹
潑	pʰ u a ʔ ² ¹
潑婦	pʰ u a ʔ ² ¹ ⁻ ⁴ ² h u ¹ ¹
潑水節	pʰ u a ¹ ¹ ⁻ ⁵ ⁵ l u i ⁴ ⁵ ³ ⁻ ¹ ³ t͡s ɛ ʔ ² ¹
潔	k ɛ ʔ ² ¹
潔淨	k ɛ ʔ ² ¹ ⁻ ⁴ ² t͡s i ŋ ¹ ¹
潘	pʰ u a ŋ ⁵ ³ ³
潘	pʰ u a ⁵ ³ ³
潘	pʰ ɔ ŋ ⁵ ³ ³
潛	t͡s i ɛ ŋ ¹ ³
潛艇	t͡s i ɛ ŋ ¹ ³ ⁻ ¹ ¹ tʰ ɛ ŋ ⁴ ⁵ ³
潟	ɬ i ʔ ¹ ¹
潢	h ɒ ŋ ¹ ³
潭	tʰ a ŋ ¹ ³
潮	t i e u ¹ ³
潯	ɬ i ŋ ¹ ³
潰	kʰ u i ⁴ ²
潲	ɬ a u ⁴ ²
潲	ɬ i e u ¹ ³
澀	ɬ i ɛ ʔ ² ¹
澀	ɬ ɛ ʔ ² ¹
澄	t i ŋ ¹ ³
澄	t ɛ ŋ ¹ ³
澆	t͡s i e u ⁵ ³ ³
澎湖	pʰ ɒ ŋ ¹ ³ ⁻ ¹ ¹ ŋ ɔ u ¹ ³
澗	k a ŋ ⁴ ²
澤	t͡s ɛ ʔ ⁴
澦	y ¹ ¹
澨	ɬ e ¹ ¹
澩	h a ʔ ⁴
澳	o ⁴ ²
澳	ɒ ⁴ ²
澳門	ɒ ⁴ ² m u e i ¹ ³
澳門	ɒ ⁴ ² m ɔ ŋ ¹ ³
澴	h u a ŋ ¹ ³
激	kʰ i ʔ ² ¹
激動	kʰ i ʔ ² ¹ ⁻ ⁴ ² t ɒ ŋ ¹ ¹
激勵	kʰ i ʔ ² ¹ ⁻ ⁴ ² l e ¹ ¹
激情	kʰ i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i ŋ ¹ ³
濁	t͡s ɒ ʔ ⁴
濃	n œ ŋ ¹ ³
濟	t͡s e ⁴ ²
濟	ɬ e ¹ ¹
濟南	t͡s e ⁴ ⁵ ³ ⁻ ¹ ³ n a ŋ ¹ ³
濟州	t͡s e ⁴ ² ⁻ ⁵ ⁵ t͡s i u ⁵ ³ ³
濫	l a ŋ ¹ ¹
濮	pʰ ɒ ʔ ² ¹
濾	l y ¹ ¹
瀋	ɬ i ŋ ⁴ ⁵ ³
瀋陽	ɬ i ŋ ⁴ ⁵ ³ ⁻ ¹ ³ y ɒ ŋ ¹ ³
瀏覽	l i u ¹ ³ ⁻ ¹ ¹ l a ŋ ⁴ ⁵ ³
瀚	h a ŋ ¹ ¹
瀹	y ɒ ʔ ⁴
瀾	l a ŋ ¹ ³
瀾	n u a ⁴ ⁵ ³
灃	h ɒ ŋ ⁵ ³ ³
灌	k u a ŋ ⁴ ²
灑	ɬ a ⁴ ⁵ ³
灑凊水	ɬ u a ¹ ¹ t͡sʰ i ŋ ⁴ ² ⁻ ⁵ ⁵ n u i ⁴ ⁵ ³
灣	u a ŋ ¹ ³
灣	ɒ ŋ ¹ ³
灩	i ɛ ŋ ¹ ¹
火	h u e i ⁴ ⁵ ³
火	h ɒ ⁴ ⁵ ³
火把	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ ɒ ⁴ ⁵ ³
火挩	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ u a ʔ ⁴
火挩枝	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ u a ʔ ⁴ ⁻ ² ¹ k i ⁵ ³ ³
火挩殼	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ u a ʔ ⁴ kʰ a ʔ ² ¹
火挩盒	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ u a ʔ ⁴ ⁻ ² ¹ ɒ ʔ ⁴
火挩藥	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ u a ʔ ⁴ ⁻ ² ¹ i e u ¹ ³
火星	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ t͡sʰ a ⁵ ³ ³
火母	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³
火油	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ i u ¹ ³
火烌	h ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ u ⁵ ³ ³
火燒山	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ l i e u ⁵ ³ ³ ⁻ ¹ ¹ l u a ⁵ ³ ³
火爿	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ p e ¹ ³
火石	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ l i e u ¹ ³
火舌	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ¹ ³
火車	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ l i a ⁵ ³ ³
火車站	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ l i a ⁵ ³ ³ ⁻ ¹ ³ t͡s a ŋ ¹ ¹
火車路	h u e i ⁴ ⁵ ³ ⁻ ¹ ¹ l i a ⁵ ³ ³ ⁻ ¹ ³ l ɔ u ¹ ¹
火銃	h u e i ⁴ ⁵ ³ ⁻ ¹ ³ l œ ŋ ¹ ¹
灰	h u e i ⁵ ³ ³
灰卵	h u e i ⁵ ³ ³ ⁻ ¹ ³ n ø ¹ ¹
灶	t͡s a u ⁴ ²
灶	t͡s ɒ ⁴ ²
灶焰添柴	t͡s a u ⁴ ² i ɛ ŋ ¹ ¹ tʰ i ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ ɒ ¹ ³
灸	k i u ⁴ ²
灸	k u ⁴ ²
灼	ɬ y ɒ ʔ ² ¹
災	t͡s a i ⁵ ³ ³
災	t͡s ø ⁵ ³ ³
炊	t͡sʰ u e i ⁵ ³ ³
炎	i ɛ ŋ ¹ ³
炒	t͡sʰ ɒ ⁴ ⁵ ³
炒米花	t͡sʰ ɒ ⁴ ⁵ ³ ⁻ ¹ ³ i ⁴ ⁵ ³ ⁻ ¹ ³ u a ⁵ ³ ³
炕	kʰ ɒ ŋ ⁴ ²
炫	h œ ŋ ¹ ¹
炭	tʰ a ŋ ⁴ ²
炭	tʰ u a ⁴ ²
炮	pʰ a u ⁴ ²
炮兵	pʰ a u ⁴ ² ⁻ ⁵ ⁵ p i ŋ ⁵ ³ ³
為	u i ¹ ³
為	u i ¹ ¹
烈	l ɛ ʔ ⁴
烌	h u ⁵ ³ ³
烏	ɔ u ⁵ ³ ³
烏仁	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ¹ ³
烏坵	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ u ⁵ ³ ³
烏塗	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l ɔ u ¹ ³
烏墨	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ a ʔ ⁴
烏市	ɔ u ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ i ¹ ¹
烏暗	ɔ u ⁵ ³ ³ ⁻ ¹ ³ a ŋ ⁴ ²
烏煙	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ ɛ ŋ ⁵ ³ ³
烏煞汗	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l a ʔ ² ¹ ⁻ ⁴ k u a ¹ ¹
烏白	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ a ¹ ³
烏目鏡	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ m a ʔ ⁴ k i a ⁴ ²
烏豆	ɔ u ⁵ ³ ³ ⁻ ¹ ³ l a u ¹ ¹
烏賊	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴
烏雲	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ ɔ ŋ ¹ ³
烏魯木齊	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ l ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ p ɒ ʔ ⁴ ⁻ ² ¹ t͡s e ¹ ³
烏龜	ɔ u ⁵ ³ ³ ⁻ ¹ ¹ k u ⁵ ³ ³
烜	h œ ŋ ⁴ ⁵ ³
烤	kʰ ɒ ⁴ ²
焊	h a ŋ ¹ ¹
焚	h ɔ ŋ ¹ ³
無	p o ¹ ³
無	p u ¹ ³
無大無細	p o ¹ ³ ⁻ ⁴ ² t u a ¹ ¹ p o ¹ ³ ⁻ ⁵ ⁵ ɬ e ⁴ ²
無定著	p o ¹ ³ ⁻ ¹ ¹ t i a ¹ ¹ t i e u ¹ ³
無影	p o ¹ ³ ⁻ ¹ ¹ i a ⁴ ⁵ ³
無產	p u ¹ ³ ⁻ ¹ ¹ ɬ a ŋ ⁴ ⁵ ³
無眠	p o ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³
無線	p u ¹ ³ ⁻ ⁵ ⁵ l y ɒ ⁴ ²
無論	p u ¹ ³ ⁻ ⁴ ² l ɔ ŋ ¹ ¹
無路用	p o ¹ ³ ⁻ ¹ ¹ l ɔ u ¹ ¹ ⁻ ⁴ ² œ ŋ ¹ ¹
無量	p o ¹ ³ ⁻ ⁴ ² l y ɒ ŋ ¹ ¹
無量器	p o ¹ ³ ⁻ ¹ ¹ l y ɒ ŋ ¹ ¹ ⁻ ⁵ ⁵ ŋ i ⁴ ²
無閒	p o ¹ ³ ⁻ ¹ ¹ e ¹ ³
無頭風	p o ¹ ³ ⁻ ¹ ¹ l a u ¹ ³ ⁻ ¹ ¹ u e i ⁵ ³ ³
焦	t ɒ ⁵ ³ ³
焦	t͡s i e u ⁵ ³ ³
焦慮	t͡s i e u ⁵ ³ ³ ⁻ ¹ ³ l y ¹ ¹
焰	i ɛ ŋ ¹ ¹
然	t͡s ɛ ŋ ¹ ³
煁	ɬ i ŋ ¹ ³
煊	ɬ œ ŋ ⁵ ³ ³
煌	h ɒ ŋ ¹ ³
煎	t͡s y ɒ ⁵ ³ ³
煎	t͡s ɛ ŋ ⁵ ³ ³
煎藥	t͡s y ɒ ⁵ ³ ³ ⁻ ¹ ¹ i e u ¹ ³
煑	t͡s y ⁴ ⁵ ³
煙	h ɔ ŋ ⁵ ³ ³
煙	ɛ ŋ ⁵ ³ ³
煙塵	ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n ɔ ŋ ¹ ³
煙筒	ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ l a ŋ ¹ ³
煙花院	ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u a ⁵ ³ ³ ⁻ ¹ ³ i ŋ ¹ ¹
煜	œ ʔ ⁴
煞尾	ɬ u a ¹ ¹ ⁻ ⁵ ⁵ u e i ⁴ ⁵ ³
煠	ɬ ɒ ¹ ³
煤	p u e i ¹ ³
煤氣灶	p u e i ¹ ³ ⁻ ¹ ¹ kʰ i ⁴ ² ⁻ ⁵ ⁵ t͡s a u ⁴ ²
煤炭	p u e i ¹ ³ ⁻ ⁵ ⁵ l u a ⁴ ²
煥	h u a ŋ ⁴ ²
煦	y ⁴ ²
照	t͡s i e u ⁴ ²
照顧	t͡s i e u ⁴ ² ⁻ ⁵ ⁵ ɔ u ⁴ ²
煨	u e i ⁵ ³ ³
煩	h u a ŋ ¹ ³
煮	t͡s y ⁴ ⁵ ³
煮食	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ l i æ ʔ ⁴
熀	h ɒ ŋ ⁴ ⁵ ³
熄	ɬ i ʔ ² ¹
熊	h œ ŋ ¹ ³
熏	h ɔ ŋ ⁵ ³ ³
熙	h i ⁵ ³ ³
熜	t͡sʰ ɒ ŋ ⁵ ³ ³
熟	ɬ œ ʔ ⁴
熟練	ɬ œ ʔ ⁴ ⁻ ⁴ ² l œ ŋ ¹ ¹
熨枕	ɔ ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i ŋ ⁴ ⁵ ³
熬	k o ¹ ³
熰凊糜	k a u ¹ ¹ ⁻ ⁵ ⁵ l i ŋ ⁴ ² m a ¹ ³
熱	t͡s ɛ ʔ ⁴
熱天	t͡s ɛ ʔ ⁴ ⁻ ² ¹ tʰ i ŋ ⁵ ³ ³
熱火	t͡s ɛ ʔ ⁴ ⁻ ² ¹ h ɒ ⁴ ⁵ ³
熱狂	t͡s ɛ ʔ ⁴ ⁻ ² ¹ k ɒ ŋ ¹ ³
熳	m a ŋ ¹ ¹
熹	h i ⁵ ³ ³
燃	n y ɒ ¹ ³
燃	t͡s ɛ ŋ ¹ ³
燃火	n y ɒ ¹ ³ ⁻ ¹ ¹ u e i ⁴ ⁵ ³
燈	t ɛ ŋ ⁵ ³ ³
燈火	t ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u e i ⁴ ⁵ ³
燉	t ɔ ŋ ¹ ¹
燒	ɬ i e u ⁵ ³ ³
燒賣	ɬ i e u ⁵ ³ ³ ⁻ ¹ ³ m a i ¹ ¹
燒銀	ɬ i e u ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ŋ ¹ ³
燒香	ɬ i e u ⁵ ³ ³ ⁻ ¹ ¹ i e u ⁵ ³ ³
燕	ɛ ŋ ⁴ ²
燕鳥	ɛ ŋ ⁴ ² ⁻ ⁵ ⁵ n i e u ⁴ ⁵ ³
營	i ŋ ¹ ³
營	y ŋ ¹ ³
營	y ɒ ¹ ³
營業	y ŋ ¹ ³ ⁻ ¹ ¹ ŋ i ɛ ʔ ⁴
營銷	y ŋ ¹ ³ ⁻ ¹ ¹ ɬ i e u ⁵ ³ ³
營長	y ɒ ¹ ³ ⁻ ¹ ¹ l y ɒ ŋ ¹ ³
營養	y ŋ ¹ ³ ⁻ ¹ ¹ ŋ y ɒ ŋ ⁴ ⁵ ³
燥鯊	ɬ ɒ ⁴ ² ⁻ ⁵ ⁵ l u a ⁵ ³ ³
燭	t͡s œ ʔ ² ¹
燭	t͡s ɒ ʔ ² ¹
爆	p ɒ ¹ ¹
爐	l ɔ u ¹ ³
爛	l a ŋ ¹ ¹
爟	k u a ŋ ⁴ ²
爨	t͡sʰ u a ŋ ⁴ ²
爪	t͡s i e u ⁴ ⁵ ³
爬	p a ¹ ³
爬	p ɒ ¹ ³
爬起	p a i ⁴ ⁵ ³
爭	t͡s a ⁵ ³ ³
爭	t͡s ɛ ŋ ⁵ ³ ³
爭取	t͡s ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ y ⁴ ⁵ ³
爭議	t͡s ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k i ⁴ ⁵ ³
爵	t͡s y ɒ ʔ ² ¹
爵位	t͡s y ɒ ʔ ² ¹ ⁻ ⁴ ² u i ¹ ¹
父老	h u ¹ ¹ l ɒ ⁴ ⁵ ³
爹	t e ⁵ ³ ³
爹	t i a ⁵ ³ ³
爺	i a ¹ ³
爾	t͡s i ⁴ ⁵ ³
爿	p e ¹ ³
牆	t͡sʰ i e u ¹ ³
牆	t͡sʰ y ɒ ŋ ¹ ³
牆基	t͡sʰ i e u ¹ ³ ⁻ ¹ ¹ i ⁵ ³ ³
片	pʰ e ⁴ ²
片	pʰ ɛ ŋ ⁴ ²
片底	pʰ ɛ ŋ ⁴ ² ⁻ ⁵ ⁵ t e ⁴ ⁵ ³
版	p a ŋ ⁴ ⁵ ³
版面	p a ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ m i ŋ ⁴ ²
牌	p a i ¹ ³
牌	p e ¹ ³
牌頭	p e ¹ ³ ⁻ ¹ ¹ tʰ a u ¹ ³
牖	i u ⁴ ⁵ ³
牘	t ɒ ʔ ⁴
牙	k a ¹ ³
牙	k ɒ ¹ ³
牙人	k ɒ ¹ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
牛	k i u ¹ ³
牛	k u ¹ ³
牛哥	k u ¹ ³ ⁻ ¹ ¹ k o ⁵ ³ ³
牛囝	k u ¹ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
牛奶	k u ¹ ³ ⁻ ¹ ¹ n ɛ ŋ ⁵ ³ ³
牛擔	k u ¹ ³ ⁻ ¹ ¹ t ɒ ⁵ ³ ³
牛母	k u ¹ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³
牛油	k u ¹ ³ ⁻ ¹ ¹ i u ¹ ³
牛犁擔	k u ¹ ³ ⁻ ¹ ¹ l e ¹ ³ ⁻ ¹ ¹ l ɒ ⁵ ³ ³
牛犅	k u ¹ ³ ⁻ ¹ ¹ a ŋ ⁴ ⁵ ³
牛腩	k u ¹ ³ ⁻ ¹ ¹ n a ŋ ⁴ ⁵ ³
牛螕	k u ¹ ³ ⁻ ¹ ¹ p i ⁵ ³ ³
牛軛	k u ¹ ³ ⁻ ⁴ ² ɛ ʔ ² ¹
牛鞭	k u ¹ ³ ⁻ ¹ ¹ p ɛ ŋ ⁵ ³ ³
牛頭馬面	k u ¹ ³ ⁻ ¹ ¹ l a u ¹ ³ ⁻ ¹ ¹ p ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ m i ŋ ⁴ ²
牝	pʰ i ŋ ⁴ ²
牟	p i e u ¹ ³
牡	p ɔ u ⁴ ⁵ ³
牤	m ɒ ŋ ¹ ³
牧	p ɒ ʔ ⁴
物	m u e i ¹ ³
物	p ɔ ʔ ⁴
物理	p ɔ ʔ ⁴ ⁻ ² ¹ l i ⁴ ⁵ ³
物配	m u e i ¹ ³ ⁻ ⁵ ⁵ u e i ⁴ ²
牯	k ɔ u ⁴ ⁵ ³
牲	ɬ a ⁵ ³ ³
牲	ɬ ɛ ŋ ⁵ ³ ³
特	t ɛ ʔ ⁴
特價	t ɛ ʔ ⁴ k ɒ ⁴ ²
特別	t ɛ ʔ ⁴ ⁻ ² ¹ p ɛ ʔ ⁴
特性	t ɛ ʔ ⁴ ɬ i ŋ ⁴ ²
特殊	t ɛ ʔ ⁴ ⁻ ² ¹ ɬ y ¹ ³
特色	t ɛ ʔ ⁴ ⁻ ⁴ ² ɬ ɛ ʔ ² ¹
牻	m ɒ ŋ ¹ ³
牽	kʰ ɛ ŋ ⁵ ³ ³
牽動	kʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ³ n ɒ ŋ ¹ ¹
牽牛囝	kʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u ¹ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³
牽絲雨	kʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ⁵ ³ ³ ⁻ ¹ ³ ɔ u ¹ ¹
牽經	kʰ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k a ⁵ ³ ³
犀	ɬ e ⁵ ³ ³
犁	l e ¹ ³
犁田	l e ¹ ³ ⁻ ¹ ¹ l ɛ ŋ ¹ ³
犢	t ɒ ʔ ⁴
犧	h i ⁵ ³ ³
犧牲	h i ⁵ ³ ³ ⁻ ¹ ¹ ɬ ɛ ŋ ⁵ ³ ³
犬	kʰ œ ŋ ⁴ ⁵ ³
犬爿	kʰ œ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ m e ¹ ³
犯	h a ŋ ¹ ¹
犯案	h a ŋ ¹ ¹ ⁻ ⁵ ⁵ a ŋ ⁴ ²
犯法	h a ŋ ¹ ¹ ⁻ ⁴ ² h a ʔ ² ¹
犯罪	h a ŋ ¹ ¹ ⁻ ⁴ ² t͡s u e i ¹ ¹
狀	t͡s i ŋ ¹ ¹
狀	t͡s u ŋ ¹ ¹
狀	t͡s ɒ ŋ ¹ ¹
狀元	t͡s i ŋ ¹ ¹ ŋ u e i ¹ ³
狁	y ŋ ⁴ ⁵ ³
狄	t ɛ ʔ ⁴
狎	h a ʔ ⁴
狐	h ɔ u ¹ ³
狐狸	h ɔ u ¹ ³ ⁻ ¹ ¹ l i ¹ ³
狐疑	h ɔ u ¹ ³ ⁻ ¹ ¹ k i ¹ ³
狗	k a u ⁴ ⁵ ³
狗	k i e u ⁴ ⁵ ³
狗公	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ k a ŋ ⁵ ³ ³
狗哥	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ k o ⁵ ³ ³
狗囝尾	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ p u e i ⁴ ⁵ ³
狗母	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³
狗箠鞭	k a u ⁴ ⁵ ³ ⁻ ¹ ³ l u e i ¹ ³ ⁻ ¹ ¹ p ɛ ŋ ⁵ ³ ³
狠	h y ŋ ⁴ ⁵ ³
狡猾	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ ɔ ʔ ⁴
狩	ɬ i u ⁴ ²
狸	l i ¹ ³
狺	ŋ y ŋ ¹ ³
狼	l ɒ ŋ ¹ ³
猖	t͡sʰ i e u ⁵ ³ ³
猖	t͡sʰ y ɒ ŋ ⁵ ³ ³
猛	m ɛ ŋ ⁴ ⁵ ³
猞	ɬ i a ⁴ ²
猰	ɛ ʔ ² ¹
猴	h i e u ¹ ³
猴	k a u ¹ ³
猴急	k a u ¹ ³ ⁻ ⁴ ² k i ʔ ² ¹
猴猴	k a u ¹ ³ k a u ¹ ³
猴蚓	k a u ¹ ³ ⁻ ¹ ¹ ɔ ŋ ⁴ ⁵ ³
猴行者	k a u ¹ ³ ⁻ ¹ ¹ ɛ ŋ ¹ ³ ⁻ ¹ ¹ n i a ⁴ ⁵ ³
猶	i u ¹ ³
猶大	i u ¹ ³ ⁻ ⁴ ² t a i ¹ ¹
猶豫	i u ¹ ³ ⁻ ⁴ ² y ¹ ¹
猷	i u ¹ ³
獄	k œ ʔ ⁴
獅	ɬ a i ⁵ ³ ³
獅	ɬ o ⁵ ³ ³
獎	t͡s y ɒ ŋ ⁴ ²
獎金	t͡s y ɒ ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ i ŋ ⁵ ³ ³
獐	k i e u ⁵ ³ ³
獐	t͡s y ɒ ŋ ⁵ ³ ³
獗	kʰ œ ʔ ² ¹
獨	t ɒ ʔ ⁴
獨一	t ɒ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
獨孤	t ɒ ʔ ⁴ ⁻ ² ¹ k ɔ u ⁵ ³ ³
獨木橋	t ɒ ʔ ⁴ ⁻ ² ¹ p ɒ ʔ ⁴ ⁻ ² ¹ k i e u ¹ ³
獨立	t ɒ ʔ ⁴ ⁻ ² ¹ l i ʔ ⁴
獨自	t ɒ ʔ ⁴ ⁻ ⁴ ² t͡s o ¹ ¹
獨裁	t ɒ ʔ ⁴ ⁻ ² ¹ t͡s a i ¹ ³
獫	h i ɛ ŋ ⁴ ⁵ ³
獯	h ɔ ŋ ⁵ ³ ³
獲	h ɛ ʔ ⁴
獴	m ɒ ŋ ¹ ³
獻	h œ ŋ ⁴ ²
玁	h i ɛ ŋ ⁴ ⁵ ³
玄	h œ ŋ ¹ ³
率	l ɔ ʔ ⁴
率	ɬ u e i ⁴ ²
率	ɬ ɔ ʔ ² ¹
玉	k œ ʔ ⁴
玉帝	k œ ʔ ⁴ t e ⁴ ²
玉林	k œ ʔ ⁴ ⁻ ² ¹ l i ŋ ¹ ³
玉璽	k œ ʔ ⁴ ⁻ ² ¹ t e ⁴ ⁵ ³
玉皇	k œ ʔ ⁴ ⁻ ² ¹ ɒ ŋ ¹ ³
王	ɒ ŋ ¹ ³
王不見王	ɒ ŋ ¹ ³ p ɔ ʔ ² ¹ k ɛ ŋ ⁴ ² ɒ ŋ ¹ ³
王梨	ɒ ŋ ¹ ³ ⁻ ¹ ¹ l a i ¹ ³
王母	ɒ ŋ ¹ ³ ⁻ ¹ ¹ m i e u ⁴ ⁵ ³
王爺	ɒ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i a ¹ ³
王爿	ɒ ŋ ¹ ³ ⁻ ¹ ¹ m e ¹ ³
玥	k œ ʔ ⁴
玷	t i ɛ ŋ ⁴ ²
玻	p ɒ ⁵ ³ ³
玻璃	p ɒ ⁵ ³ ³ ⁻ ¹ ¹ l i ¹ ³
玻璃紐	p ɒ ⁵ ³ ³ ⁻ ¹ ¹ l i ¹ ³ ⁻ ¹ ¹ t i u ¹ ³
珀	pʰ ɛ ʔ ² ¹
珅	ɬ i ŋ ⁵ ³ ³
珊	ɬ a ŋ ⁵ ³ ³
珍	tʰ i ŋ ⁵ ³ ³
珠	t͡s i u ⁵ ³ ³
珠	t͡s y ⁵ ³ ³
珠	t͡s ɔ u ⁵ ³ ³
珥	t͡s i ⁴ ⁵ ³
班	p a ŋ ⁵ ³ ³
班級	p a ŋ ⁵ ³ ³ ⁻ ¹ ³ kʰ i ʔ ² ¹
班車	p a ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i a ⁵ ³ ³
現	h ɛ ŋ ¹ ¹
現世報	h ɛ ŋ ¹ ¹ n e ⁴ ² ⁻ ⁵ ⁵ p ɒ ⁴ ²
現在	h ɛ ŋ ¹ ¹ ⁻ ⁴ ² t͡s a i ¹ ¹
現場	h ɛ ŋ ¹ ¹ t y ɒ ŋ ¹ ³
現時	h ɛ ŋ ¹ ¹ ɬ i ¹ ³
現變驗	h ɛ ŋ ¹ ¹ m ɛ ŋ ⁴ ² ŋ i ɛ ŋ ¹ ¹
