'tamo'	t̪ a m o
desenvolvimiento	d̪ e s ẽ m b o l β̞ i m j ẽ n̪ t̪ o
desenvuelta	d̪ e s ẽ m b w e l̪ t̪ a
desenvueltas	d̪ e s ẽ m b w e l̪ t̪ a s
desenvuelto	d̪ e s ẽ m b w e l̪ t̪ o
desenvueltos	d̪ e s ẽ m b w e l̪ t̪ o s
deseo	d̪ e s e o
deseoso	d̪ e s e o s o
desequilibrada	d̪ e s e k i l i β̞ ɾ a ð̞ a
desequilibradamente	d̪ e s e k i l i β̞ ɾ a ð̞ a m ẽ n̪ t̪ e
desequilibradas	d̪ e s e k i l i β̞ ɾ a ð̞ a s
desequilibrado	d̪ e s e k i l i β̞ ɾ a ð̞ o
desequilibrados	d̪ e s e k i l i β̞ ɾ a ð̞ o s
desequilibrante	d̪ e s e k i l i β̞ ɾ ã n̪ t̪ e
desequilibrar	d̪ e s e k i l i β̞ ɾ a ɾ
desequilibrio	d̪ e s e k i l i β̞ ɾ j o
deserción	d̪ e s e ɾ s j õ n
deserta	d̪ e s e ɾ t̪ a
desertada	d̪ e s e ɾ t̪ a ð̞ a
desertadas	d̪ e s e ɾ t̪ a ð̞ a s
desertado	d̪ e s e ɾ t̪ a ð̞ o
desertados	d̪ e s e ɾ t̪ a ð̞ o s
desertar	d̪ e s e ɾ t̪ a ɾ
desertas	d̪ e s e ɾ t̪ a s
deserte	d̪ e s e ɾ t̪ e
desértico	d̪ e s e ɾ t̪ i k o
desertificación	d̪ e s e ɾ t̪ i f i k a s j õ n
desertificada	d̪ e s e ɾ t̪ i f i k a ð̞ a
desertificadas	d̪ e s e ɾ t̪ i f i k a ð̞ a s
desertificado	d̪ e s e ɾ t̪ i f i k a ð̞ o
desertificados	d̪ e s e ɾ t̪ i f i k a ð̞ o s
desertificar	d̪ e s e ɾ t̪ i f i k a ɾ
desertización	d̪ e s e ɾ t̪ i s a s j õ n
desertizar	d̪ e s e ɾ t̪ i s a ɾ
deserto	d̪ e s e ɾ t̪ o
desertor	d̪ e s e ɾ t̪ o ɾ
desertora	d̪ e s e ɾ t̪ o ɾ a
desescalada	d̪ e s e s k a l a ð̞ a
desescaladas	d̪ e s e s k a l a ð̞ a s
desescalado	d̪ e s e s k a l a ð̞ o
desescalados	d̪ e s e s k a l a ð̞ o s
desescalar	d̪ e s e s k a l a ɾ
desescalarse	d̪ e s e s k a l a ɾ s e
desescolarizar	d̪ e s e s k o l a ɾ i s a ɾ
desescombrada	d̪ e s e s k õ m b ɾ a ð̞ a
desescombradas	d̪ e s e s k õ m b ɾ a ð̞ a s
desescombrado	d̪ e s e s k õ m b ɾ a ð̞ o
desescombrados	d̪ e s e s k õ m b ɾ a ð̞ o s
desescombrar	d̪ e s e s k õ m b ɾ a ɾ
desescombro	d̪ e s e s k õ m b ɾ o
desesperación	d̪ e s e s p e ɾ a s j õ n
desesperada	d̪ e s e s p e ɾ a ð̞ a
desesperadamente	d̪ e s e s p e ɾ a ð̞ a m ẽ n̪ t̪ e
desesperadas	d̪ e s e s p e ɾ a ð̞ a s
desesperado	d̪ e s e s p e ɾ a ð̞ o
desesperados	d̪ e s e s p e ɾ a ð̞ o s
desesperante	d̪ e s e s p e ɾ ã n̪ t̪ e
desesperantes	d̪ e s e s p e ɾ ã n̪ t̪ e s
desesperanza	d̪ e s e s p e ɾ ã n s a
desesperanzada	d̪ e s e s p e ɾ ã n s a ð̞ a
desesperanzadas	d̪ e s e s p e ɾ ã n s a ð̞ a s
desesperanzado	d̪ e s e s p e ɾ ã n s a ð̞ o
desesperanzados	d̪ e s e s p e ɾ ã n s a ð̞ o s
desesperanzar	d̪ e s e s p e ɾ ã n s a ɾ
desesperar	d̪ e s e s p e ɾ a ɾ
desespero	d̪ e s e s p e ɾ o
desestabilidad	d̪ e s e s t̪ a β̞ i l i ð̞ a ð̞
desestabilización	d̪ e s e s t̪ a β̞ i l i s a s j õ n
desestabilizada	d̪ e s e s t̪ a β̞ i l i s a ð̞ a
desestabilizadas	d̪ e s e s t̪ a β̞ i l i s a ð̞ a s
desestabilizado	d̪ e s e s t̪ a β̞ i l i s a ð̞ o
desestabilizador	d̪ e s e s t̪ a β̞ i l i s a ð̞ o ɾ
desestabilizados	d̪ e s e s t̪ a β̞ i l i s a ð̞ o s
desestabilizante	d̪ e s e s t̪ a β̞ i l i s ã n̪ t̪ e
desestabilizantes	d̪ e s e s t̪ a β̞ i l i s ã n̪ t̪ e s
desestabilizar	d̪ e s e s t̪ a β̞ i l i s a ɾ
desestacionalice	d̪ e s e s t̪ a s j o n a l i s e
desestacionalicé	d̪ e s e s t̪ a s j o n a l i s e
desestacionalicéis	d̪ e s e s t̪ a s j o n a l i s e i̯ s
desestacionalícela	d̪ e s e s t̪ a s j o n a l i s e l a
desestacionalícelas	d̪ e s e s t̪ a s j o n a l i s e l a s
desestacionalícele	d̪ e s e s t̪ a s j o n a l i s e l e
desestacionalíceles	d̪ e s e s t̪ a s j o n a l i s e l e s
desestacionalícelo	d̪ e s e s t̪ a s j o n a l i s e l o
desestacionalícelos	d̪ e s e s t̪ a s j o n a l i s e l o s
desestacionalíceme	d̪ e s e s t̪ a s j o n a l i s e m e
desestacionalicémonos	d̪ e s e s t̪ a s j o n a l i s e m o n o s
desestacionalicémoos	d̪ e s e s t̪ a s j o n a l i s e m o o s
desestacionalicemos	d̪ e s e s t̪ a s j o n a l i s e m o s
desestacionalicémosla	d̪ e s e s t̪ a s j o n a l i s e m o s l a
desestacionalicémoslas	d̪ e s e s t̪ a s j o n a l i s e m o s l a s
desestacionalicémosle	d̪ e s e s t̪ a s j o n a l i s e m o s l e
desestacionalicémosles	d̪ e s e s t̪ a s j o n a l i s e m o s l e s
desestacionalicémoslo	d̪ e s e s t̪ a s j o n a l i s e m o s l o
desestacionalicémoslos	d̪ e s e s t̪ a s j o n a l i s e m o s l o s
desestacionalicémoste	d̪ e s e s t̪ a s j o n a l i s e m o s t̪ e
desestacionalicen	d̪ e s e s t̪ a s j o n a l i s ẽ n
desestacionalícenla	d̪ e s e s t̪ a s j o n a l i s ẽ n l a
desestacionalícenlas	d̪ e s e s t̪ a s j o n a l i s ẽ n l a s
desestacionalícenle	d̪ e s e s t̪ a s j o n a l i s ẽ n l e
desestacionalícenles	d̪ e s e s t̪ a s j o n a l i s ẽ n l e s
desestacionalícenlo	d̪ e s e s t̪ a s j o n a l i s ẽ n l o
desestacionalícenlos	d̪ e s e s t̪ a s j o n a l i s ẽ n l o s
desestacionalícenme	d̪ e s e s t̪ a s j o n a l i s ẽ m m e
desestacionalícennos	d̪ e s e s t̪ a s j o n a l i s ẽ n n o s
desestacionalícenos	d̪ e s e s t̪ a s j o n a l i s e n o s
desestacionalícense	d̪ e s e s t̪ a s j o n a l i s ẽ n s e
desestacionalices	d̪ e s e s t̪ a s j o n a l i s e s
desestacionalicés	d̪ e s e s t̪ a s j o n a l i s e s
desestacionalícese	d̪ e s e s t̪ a s j o n a l i s e s e
desestacionaliza	d̪ e s e s t̪ a s j o n a l i s a
desestacionalizá	d̪ e s e s t̪ a s j o n a l i s a
desestacionalizaba	d̪ e s e s t̪ a s j o n a l i s a β̞ a
desestacionalizabais	d̪ e s e s t̪ a s j o n a l i s a β̞ a i̯ s
desestacionalizábamos	d̪ e s e s t̪ a s j o n a l i s a β̞ a m o s
desestacionalizaban	d̪ e s e s t̪ a s j o n a l i s a β̞ ã n
desestacionalizabas	d̪ e s e s t̪ a s j o n a l i s a β̞ a s
desestacionalización	d̪ e s e s t̪ a s j o n a l i s a s j õ n
desestacionalizaciones	d̪ e s e s t̪ a s j o n a l i s a s j o n e s
desestacionalizad	d̪ e s e s t̪ a s j o n a l i s a ð̞
desestacionalizada	d̪ e s e s t̪ a s j o n a l i s a ð̞ a
desestacionalizadas	d̪ e s e s t̪ a s j o n a l i s a ð̞ a s
desestacionalizadla	d̪ e s e s t̪ a s j o n a l i s a ð̞ l a
desestacionalizadlas	d̪ e s e s t̪ a s j o n a l i s a ð̞ l a s
desestacionalizadle	d̪ e s e s t̪ a s j o n a l i s a ð̞ l e
desestacionalizadles	d̪ e s e s t̪ a s j o n a l i s a ð̞ l e s
desestacionalizadlo	d̪ e s e s t̪ a s j o n a l i s a ð̞ l o
desestacionalizadlos	d̪ e s e s t̪ a s j o n a l i s a ð̞ l o s
desestacionalizadme	d̪ e s e s t̪ a s j o n a l i s a ð̞ m e
desestacionalizadnos	d̪ e s e s t̪ a s j o n a l i s a ð̞ n o s
desestacionalizado	d̪ e s e s t̪ a s j o n a l i s a ð̞ o
desestacionalizados	d̪ e s e s t̪ a s j o n a l i s a ð̞ o s
desestacionalizáis	d̪ e s e s t̪ a s j o n a l i s a i̯ s
desestacionalizala	d̪ e s e s t̪ a s j o n a l i s a l a
desestacionalízala	d̪ e s e s t̪ a s j o n a l i s a l a
desestacionalizalas	d̪ e s e s t̪ a s j o n a l i s a l a s
desestacionalízalas	d̪ e s e s t̪ a s j o n a l i s a l a s
desestacionalizale	d̪ e s e s t̪ a s j o n a l i s a l e
desestacionalízale	d̪ e s e s t̪ a s j o n a l i s a l e
desestacionalizales	d̪ e s e s t̪ a s j o n a l i s a l e s
desestacionalízales	d̪ e s e s t̪ a s j o n a l i s a l e s
desestacionalizalo	d̪ e s e s t̪ a s j o n a l i s a l o
desestacionalízalo	d̪ e s e s t̪ a s j o n a l i s a l o
desestacionalizalos	d̪ e s e s t̪ a s j o n a l i s a l o s
desestacionalízalos	d̪ e s e s t̪ a s j o n a l i s a l o s
desestacionalizame	d̪ e s e s t̪ a s j o n a l i s a m e
desestacionalízame	d̪ e s e s t̪ a s j o n a l i s a m e
desestacionalizamos	d̪ e s e s t̪ a s j o n a l i s a m o s
desestacionalizan	d̪ e s e s t̪ a s j o n a l i s ã n
desestacionalizando	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o
desestacionalizándola	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o l a
desestacionalizándolas	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o l a s
desestacionalizándole	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o l e
desestacionalizándoles	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o l e s
desestacionalizándolo	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o l o
desestacionalizándolos	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o l o s
desestacionalizándome	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o m e
desestacionalizándonos	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o n o s
desestacionalizándoos	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o o s
desestacionalizándose	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o s e
desestacionalizándote	d̪ e s e s t̪ a s j o n a l i s ã n̪ d̪ o t̪ e
desestacionalizanos	d̪ e s e s t̪ a s j o n a l i s a n o s
desestacionalízanos	d̪ e s e s t̪ a s j o n a l i s a n o s
desestacionalizaos	d̪ e s e s t̪ a s j o n a l i s a o s
desestacionalizar	d̪ e s e s t̪ a s j o n a l i s a ɾ
desestacionalizara	d̪ e s e s t̪ a s j o n a l i s a ɾ a
desestacionalizará	d̪ e s e s t̪ a s j o n a l i s a ɾ a
desestacionalizarais	d̪ e s e s t̪ a s j o n a l i s a ɾ a i̯ s
desestacionalizáramos	d̪ e s e s t̪ a s j o n a l i s a ɾ a m o s
desestacionalizaran	d̪ e s e s t̪ a s j o n a l i s a ɾ ã n
desestacionalizarán	d̪ e s e s t̪ a s j o n a l i s a ɾ ã n
desestacionalizaras	d̪ e s e s t̪ a s j o n a l i s a ɾ a s
desestacionalizarás	d̪ e s e s t̪ a s j o n a l i s a ɾ a s
desestacionalizare	d̪ e s e s t̪ a s j o n a l i s a ɾ e
desestacionalizaré	d̪ e s e s t̪ a s j o n a l i s a ɾ e
desestacionalizareis	d̪ e s e s t̪ a s j o n a l i s a ɾ e i̯ s
desestacionalizaréis	d̪ e s e s t̪ a s j o n a l i s a ɾ e i̯ s
desestacionalizaremos	d̪ e s e s t̪ a s j o n a l i s a ɾ e m o s
desestacionalizáremos	d̪ e s e s t̪ a s j o n a l i s a ɾ e m o s
desestacionalizaren	d̪ e s e s t̪ a s j o n a l i s a ɾ ẽ n
desestacionalizares	d̪ e s e s t̪ a s j o n a l i s a ɾ e s
desestacionalizaría	d̪ e s e s t̪ a s j o n a l i s a ɾ i a
desestacionalizaríais	d̪ e s e s t̪ a s j o n a l i s a ɾ i a i̯ s
desestacionalizaríamos	d̪ e s e s t̪ a s j o n a l i s a ɾ i a m o s
desestacionalizarían	d̪ e s e s t̪ a s j o n a l i s a ɾ i ã n
desestacionalizarías	d̪ e s e s t̪ a s j o n a l i s a ɾ i a s
desestacionalizarla	d̪ e s e s t̪ a s j o n a l i s a ɾ l a
desestacionalizarlas	d̪ e s e s t̪ a s j o n a l i s a ɾ l a s
desestacionalizarle	d̪ e s e s t̪ a s j o n a l i s a ɾ l e
desestacionalizarles	d̪ e s e s t̪ a s j o n a l i s a ɾ l e s
desestacionalizarlo	d̪ e s e s t̪ a s j o n a l i s a ɾ l o
desestacionalizarlos	d̪ e s e s t̪ a s j o n a l i s a ɾ l o s
desestacionalizarme	d̪ e s e s t̪ a s j o n a l i s a ɾ m e
desestacionalizarnos	d̪ e s e s t̪ a s j o n a l i s a ɾ n o s
desestacionalizaron	d̪ e s e s t̪ a s j o n a l i s a ɾ õ n
desestacionalizaros	d̪ e s e s t̪ a s j o n a l i s a ɾ o s
desestacionalizarse	d̪ e s e s t̪ a s j o n a l i s a ɾ s e
desestacionalizarte	d̪ e s e s t̪ a s j o n a l i s a ɾ t̪ e
desestacionalizas	d̪ e s e s t̪ a s j o n a l i s a s
desestacionalizás	d̪ e s e s t̪ a s j o n a l i s a s
desestacionalizase	d̪ e s e s t̪ a s j o n a l i s a s e
desestacionalizaseis	d̪ e s e s t̪ a s j o n a l i s a s e i̯ s
desestacionalizásemos	d̪ e s e s t̪ a s j o n a l i s a s e m o s
desestacionalizasen	d̪ e s e s t̪ a s j o n a l i s a s ẽ n
desestacionalizases	d̪ e s e s t̪ a s j o n a l i s a s e s
desestacionalizaste	d̪ e s e s t̪ a s j o n a l i s a s t̪ e
desestacionalizasteis	d̪ e s e s t̪ a s j o n a l i s a s t̪ e i̯ s
desestacionalizate	d̪ e s e s t̪ a s j o n a l i s a t̪ e
desestacionalízate	d̪ e s e s t̪ a s j o n a l i s a t̪ e
desestacionalizo	d̪ e s e s t̪ a s j o n a l i s o
desestacionalizó	d̪ e s e s t̪ a s j o n a l i s o
desestigmatice	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e
desestigmaticé	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e
desestigmaticéis	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e i̯ s
desestigmatícela	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e l a
desestigmatícelas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e l a s
desestigmatícele	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e l e
desestigmatíceles	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e l e s
desestigmatícelo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e l o
desestigmatícelos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e l o s
desestigmatíceme	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m e
desestigmaticémonos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o n o s
desestigmaticémoos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o o s
desestigmaticemos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s
desestigmaticémosla	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s l a
desestigmaticémoslas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s l a s
desestigmaticémosle	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s l e
desestigmaticémosles	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s l e s
desestigmaticémoslo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s l o
desestigmaticémoslos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s l o s
desestigmaticémoste	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e m o s t̪ e
desestigmaticen	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n
desestigmatícenla	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n l a
desestigmatícenlas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n l a s
desestigmatícenle	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n l e
desestigmatícenles	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n l e s
desestigmatícenlo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n l o
desestigmatícenlos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n l o s
desestigmatícenme	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ m m e
desestigmatícennos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n n o s
desestigmatícenos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e n o s
desestigmatícense	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ẽ n s e
desestigmatices	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e s
desestigmaticés	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e s
desestigmatícese	d̪ e s e s t̪ i ɣ̞ m a t̪ i s e s e
desestigmatiza	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a
desestigmatizá	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a
desestigmatizaba	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a β̞ a
desestigmatizabais	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a β̞ a i̯ s
desestigmatizábamos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a β̞ a m o s
desestigmatizaban	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a β̞ ã n
desestigmatizabas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a β̞ a s
desestigmatización	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s j õ n
desestigmatizad	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞
desestigmatizada	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ a
desestigmatizadas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ a s
desestigmatizadla	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ l a
desestigmatizadlas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ l a s
desestigmatizadle	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ l e
desestigmatizadles	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ l e s
desestigmatizadlo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ l o
desestigmatizadlos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ l o s
desestigmatizadme	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ m e
desestigmatizadnos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ n o s
desestigmatizado	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ o
desestigmatizados	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ð̞ o s
desestigmatizáis	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a i̯ s
desestigmatizala	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l a
desestigmatízala	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l a
desestigmatizalas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l a s
desestigmatízalas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l a s
desestigmatizale	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l e
desestigmatízale	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l e
desestigmatizales	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l e s
desestigmatízales	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l e s
desestigmatizalo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l o
desestigmatízalo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l o
desestigmatizalos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l o s
desestigmatízalos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a l o s
desestigmatizame	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a m e
desestigmatízame	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a m e
desestigmatizamos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a m o s
desestigmatizan	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n
desestigmatizando	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o
desestigmatizándola	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o l a
desestigmatizándolas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o l a s
desestigmatizándole	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o l e
desestigmatizándoles	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o l e s
desestigmatizándolo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o l o
desestigmatizándolos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o l o s
desestigmatizándome	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o m e
desestigmatizándonos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o n o s
desestigmatizándoos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o o s
desestigmatizándose	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o s e
desestigmatizándote	d̪ e s e s t̪ i ɣ̞ m a t̪ i s ã n̪ d̪ o t̪ e
desestigmatizanos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a n o s
desestigmatízanos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a n o s
desestigmatizaos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a o s
desestigmatizar	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ
desestigmatizara	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ a
desestigmatizará	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ a
desestigmatizarais	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ a i̯ s
desestigmatizáramos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ a m o s
desestigmatizaran	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ ã n
desestigmatizarán	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ ã n
desestigmatizaras	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ a s
desestigmatizarás	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ a s
desestigmatizare	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e
desestigmatizaré	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e
desestigmatizareis	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e i̯ s
desestigmatizaréis	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e i̯ s
desestigmatizaremos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e m o s
desestigmatizáremos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e m o s
desestigmatizaren	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ ẽ n
desestigmatizares	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ e s
desestigmatizaría	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ i a
desestigmatizaríais	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ i a i̯ s
desestigmatizaríamos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ i a m o s
desestigmatizarían	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ i ã n
desestigmatizarías	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ i a s
desestigmatizarla	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ l a
desestigmatizarlas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ l a s
desestigmatizarle	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ l e
desestigmatizarles	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ l e s
desestigmatizarlo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ l o
desestigmatizarlos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ l o s
desestigmatizarme	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ m e
desestigmatizarnos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ n o s
desestigmatizaron	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ õ n
desestigmatizaros	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ o s
desestigmatizarse	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ s e
desestigmatizarte	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a ɾ t̪ e
desestigmatizas	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s
desestigmatizás	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s
desestigmatizase	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s e
desestigmatizaseis	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s e i̯ s
desestigmatizásemos	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s e m o s
desestigmatizasen	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s ẽ n
desestigmatizases	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s e s
desestigmatizaste	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s t̪ e
desestigmatizasteis	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a s t̪ e i̯ s
desestigmatizate	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a t̪ e
desestigmatízate	d̪ e s e s t̪ i ɣ̞ m a t̪ i s a t̪ e
desestigmatizo	d̪ e s e s t̪ i ɣ̞ m a t̪ i s o
desestigmatizó	d̪ e s e s t̪ i ɣ̞ m a t̪ i s o
desestimable	d̪ e s e s t̪ i m a β̞ l e
desestimación	d̪ e s e s t̪ i m a s j õ n
desestimada	d̪ e s e s t̪ i m a ð̞ a
desestimadas	d̪ e s e s t̪ i m a ð̞ a s
desestimado	d̪ e s e s t̪ i m a ð̞ o
desestimados	d̪ e s e s t̪ i m a ð̞ o s
desestimar	d̪ e s e s t̪ i m a ɾ
desestimular	d̪ e s e s t̪ i m u l a ɾ
desestímulo	d̪ e s e s t̪ i m u l o
desestresante	d̪ e s e s t̪ ɾ e s ã n̪ t̪ e
desestructura	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a
desestructuración	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a s j õ n
desestructurada	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a ð̞ a
desestructuradas	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a ð̞ a s
desestructurado	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a ð̞ o
desestructurados	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a ð̞ o s
desestructuran	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ ã n
desestructurar	d̪ e s e s t̪ ɾ u ɣ̞ t̪ u ɾ a ɾ
