'day	d a j
istrikto	ʔ i s t ɾ i k t o
istroberi	ʔ i s t ɾ o b e ɾ i
istrok	ʔ i s t ɾ o k
istrowk	ʔ i s t ɾ o w k
istukada	ʔ i s t u k a d a
isuksok	ʔ i s u k s o k
isulat	ʔ i s u l a t
isumbong	ʔ i s u m b o ŋ
isuot	ʔ i s u ʔ o t
iswad	ʔ i s w a d
isyu	ʔ i s j u
itaas	ʔ i t a ʔ a s
itaboy	ʔ i t a b o j
itago	ʔ i t a ɡ o ʔ
itak	ʔ i t a k
itakas	ʔ i t a k a s
itala	ʔ i t a l a ʔ
itali	ʔ i t a l i ʔ
italik	ʔ i t a l i k
italiko	ʔ i t a l i k o
itanggi	ʔ i t a ŋ ɡ i
itanim	ʔ i t a n i m
itapat	ʔ i t a p a t
itapon	ʔ i t a p o n
itatag	ʔ i t a t a ɡ
itatakas	ʔ i t a t a k a s
itay	ʔ i t a j
iterasyon	ʔ i t e ɾ a s j o n
itey	ʔ i t e j
iti	ʔ i t i
itik	ʔ i t i k
itim	ʔ i t i m
itinakas	ʔ i t i n a k a s
itinalik	ʔ i t i n a l i k
itinanim	ʔ i t i n a n i m
itinatakas	ʔ i t i n a t a k a s
itindi	ʔ i t i n d i
itineraryo	ʔ i t i n e ɾ a ɾ j o
iting	ʔ i t i ŋ
itiwalag	ʔ i t i w a l a ɡ
itlo	ʔ i t l o
itlog	ʔ i t l o ɡ
itmo	ʔ i t m o
ito	ʔ e t o
ito	ʔ i t o
itoy	ʔ i t o j
itsa	ʔ i t s a
itsa	ʔ i t͡ʃ a
itsura	ʔ i t s u ɾ a
itsura	ʔ i t͡ʃ u ɾ a
itubig	ʔ i t u b i ɡ
itulad	ʔ i t u l a d
itulog	ʔ i t u l o ɡ
iunlad	ʔ i ʔ u n l a d
iusli	ʔ i ʔ u s l i ʔ
iuwi	ʔ i ʔ u i ʔ
iwak	ʔ i w a k
iwal	ʔ i w a l
iwan	ʔ i w a n
iwanan	ʔ i w a n a n
iwang	ʔ i w a ŋ
iwas	ʔ i w a s
iwi	ʔ i w i
iyag	ʔ i a ɡ
iyak	ʔ i a k
iyakin	ʔ i a k i n
iyan	j a n
iyan	ʔ i a n
iyelo	ʔ i e l o
iyero	ʔ i e ɾ o
iyo	ʔ i o
iyon	j o n
iyon	ʔ i o n
j	d j
j	d j e j
j	d͡ʒ
j	h
j	h o t a
j	s
jabol	d j a b o l
jabol	d͡ʒ a b o l
jaket	d j a k e t
jaket	d͡ʒ a k e t
jakol	d j a k o l
jakol	d͡ʒ a k o l
jan	d j a n
jan	d͡ʒ a n
janitor	d j a n i t o ɾ
janitor	d͡ʒ a n i t o ɾ
japayuki	d j a p a j u k i
japayuki	d͡ʒ a p a j u k i
japorms	d j a p o ɾ m s
japorms	d͡ʒ a p o ɾ m s
jebs	d j e b s
jebs	d͡ʒ e b s
jeje	d j e d j e
jeje	d͡ʒ e d͡ʒ e
jejemon	d j e d j e m o n
jejemon	d͡ʒ e d͡ʒ e m o n
jepoy	d j e p o j
jepoy	d͡ʒ e p o j
jeproks	d j e p ɾ o k s
jeproks	d͡ʒ e p ɾ o k s
jerjer	d j e ɾ d j e ɾ
jerjer	d͡ʒ e ɾ d͡ʒ e ɾ
jerjer	d͡ʒ ə ɾ d͡ʒ ə ɾ
jihad	d j i h a d
jihad	d͡ʒ i h a d
jilbab	d j i l b a b
jilbab	d͡ʒ i l b a b
joga	d j o ɡ a ʔ
joga	d͡ʒ o ɡ a ʔ
jologs	d j o l o ɡ s
jologs	d͡ʒ o l o ɡ s
jontis	d j o n t i s
jontis	d͡ʒ o n t i s
jota	h o t a
jowa	d j o a
jowa	d j o a ʔ
jowa	d͡ʒ o a
jowa	d͡ʒ o a ʔ
judo	d j u d o
judo	d͡ʒ u d o
jujitsu	d j u d j i t͡s u
jujitsu	d͡ʒ u d͡ʒ i t͡s u
julalay	d j u l a l a j
julalay	d͡ʒ u l a l a j
jumbag	d j u m b a ɡ
jumbag	d͡ʒ u m b a ɡ
junakis	d j u n a k i s
junakis	d͡ʒ u n a k i s
junjun	d j u n d j u n
junjun	d͡ʒ u n d͡ʒ u n
jusko	d j u s k o
jusko	d͡ʒ u s k o
jutay	d j u t a j
jutay	d͡ʒ u t a j
juts	d j u t s
juts	d͡ʒ u t s
k	k
k	k a
k	k e j
ka	k a
ka	k a ʔ
kaabisado	k a ʔ a b i s a d o
kaabnormalan	k a ʔ a b n o ɾ m a l a n
kaabsurduhan	k a ʔ a b s u ɾ d u h a n
kaagad	k a ɡ a d
kaagad	k a ʔ a ɡ a d
kaagaw	k a ʔ a ɡ a w
kaagnasan	k a ʔ a ɡ n a s a n
kaagulo	k a ʔ a ɡ u l o
kaagulo	k a ʔ a ɡ u l o ʔ
kaakuhan	k a ʔ a k u h a n
kaalaman	k a ʔ a l a m a n
kaalan	k a ʔ a l a n
kaalibay	k a ʔ a l i b a j
kaalit	k a ʔ a l i t
kaalkaldihan	k a ʔ a l k a l d i h a n
kaalunya	k a ʔ a l u n j a ʔ
kaalyado	k a ʔ a l j a d o
kaanak	k a ʔ a n a k
kaanib	k a ʔ a n i b
kaanimalan	k a ʔ a n i m a l a n
kaantiguhan	k a ʔ a n t i ɡ u h a n
kaarawan	k a ʔ a ɾ a w a n
kaasiduhan	k a ʔ a s i d u h a n
kaasiman	k a ʔ a s i m a n
kaawaan	k a ʔ a w a ʔ a n
kaaway	k a ʔ a w a j
kaayawan	k a ʔ a j a w a n
kaayo	k a ʔ a j o ʔ
kaba	k a b a
kababaan	k a b a b a ʔ a n
kababaihan	k a b a b a ʔ i h a n
kababata	k a b a b a t a ʔ
kababawan	k a b a b a w a n
kababayan	k a b a b a j a n
kabado	k a b a d o
kabag	k a b a ɡ
kabagabagan	k a b a ɡ a b a ɡ a n
kabagang	k a b a ɡ a ŋ
kabaguhan	k a b a ɡ u h a n
kabaguntauhan	k a b a ɡ u n t a ʔ u h a n
kabahayan	k a b a h a j a n
kabaian	k a b a ʔ i ʔ a n
kabaiyoan	k a b a ʔ i o ʔ a n
kabaiyuan	k a b a ʔ i u ʔ a n
kabaka	k a b a k a
kabaklaan	k a b a k l a ʔ a n
kabaktan	k a b a k t a n
kabalagan	k a b a l a ɡ a n
kabalian	k a b a l i ʔ a n
kabaligtaran	k a b a l i ɡ t a ɾ a n
kabalikan	k a b a l i k a n
kabalintunaan	k a b a l i n t u n a ʔ a n
kabaliwagan	k a b a l i w a ɡ a n
kabaliwan	k a b a l i w a n
kabalulan	k a b a l u l a n
kabalyero	k a b a l j e ɾ o
kabalyo	k a b a l j o
kaban	k a b a n
kabanata	k a b a n a t a
kabanata	k a b a n a t a ʔ
kabandayan	k a b a n d a j a n
kabaong	k a b a ʔ o ŋ
kabaret	k a b a ɾ e t
kabaretista	k a b a ɾ e t i s t a
kabarkada	k a b a ɾ k a d a
kabaro	k a b a ɾ o ʔ
kabasangal	k a b a s a ŋ a l
kabastusan	k a b a s t u s a n
kabata	k a b a t a ʔ
kabataan	k a b a t a ʔ a n
kabatiran	k a b a t i ɾ a n
kabatlayaan	k a b a t l a j a ʔ a n
kabato	k a b a t o
kabatuganan	k a b a t u ɡ a n a n
kabawasan	k a b a w a s a n
kabay	k a b a j
kabayan	k a b a j a n
kabayanihan	k a b a j a n i h a n
kabayinan	k a b a j i n a n
kabayiyan	k a b a j i a n
kabayo	k a b a j o
kabayuan	k a b a j u ʔ a n
kabayuhan	k a b a j u h a n
kaberdehan	k a b e ɾ d e h a n
kabesa	k a b e s a
kabesado	k a b e s a d o
kabesera	k a b e s e ɾ a
kabesilya	k a b e s i l j a
kabibe	k a b i b e
kabibi	k a b i b i
kabibili	k a b i b i l i
kabig	k a b i ɡ
kabiglaan	k a b i ɡ l a ʔ a n
kabiguan	k a b i ɡ u ʔ a n
kabihasnan	k a b i a s n a n
kabihasnan	k a b i h a s n a n
kabil	k a b i l
kabila	k a b i l a ʔ
kabili	k a b i l i
kabilihan	k a b i l i h a n
kabilugan	k a b i l u ɡ a n
kabinet	k a b i n e t
kabinian	k a b i n i ʔ a n
kabisa	k a b i s a
kabisa	k a b i s a ʔ
kabisado	k a b i s a d o
kabisera	k a b i s e ɾ a
kabisi	k a b i s i ʔ
kabisilya	k a b i s i l j a
kabisote	k a b i s o t e
kabit	k a b e t
kabit	k a b i t
kabituinan	k a b i t u i n a n
kabituinan	k a b i t u ʔ i n a n
kable	k a b l e
kablekotse	k a b l e k o t s e
kablekotse	k a b l e k o t͡ʃ e
kabo	k a b o
kabog	k a b o ɡ
kabogera	k a b o ɡ e ɾ a
kabriya	k a b ɾ i a
kabuhayan	k a b u h a j a n
kabukiran	k a b u k i ɾ a n
kabulagsakan	k a b u l a ɡ s a k a n
kabulastugan	k a b u l a s t u ɡ a n
kabuluhan	k a b u l u h a n
kabulukan	k a b u l u k a n
kabunegro	k a b u n e ɡ ɾ o
kabunyian	k a b u n j i ʔ a n
kabuoan	k a b u ʔ o ʔ a n
kabuoran	k a b u ʔ o ɾ a n
kaburata	k a b u ɾ a t a
kaburatahin	k a b u ɾ a t a h i n
kabute	k a b u t e
kabutehan	k a b u t e h a n
kabuti	k a b u t i
kabutihan	k a b u t i h a n
kabuto	k a b u t o
kabutse	k a b u t s e
kabutse	k a b u t͡ʃ e
kabuuan	k a b u ʔ u ʔ a n
kabuuran	k a b u ʔ u ɾ a n
kabuwanan	k a b u a n a n
kabuyaw	k a b u j a w
kachakahan	k a t s a k a h a n
kachakahan	k a t͡ʃ a k a h a n
kachat	k a t s a t
kachat	k a t͡ʃ a t
kada	k a d a
kadagibalingan	k a d a ɡ i b a l i ŋ a n
kadagsinan	k a d a ɡ s i n a n
kadalahiraan	k a d a l a h i ɾ a ʔ a n
kadayaan	k a d a j a ʔ a n
kadena	k a d e n a
kadete	k a d e t e
kadeyt	k a d e j t
kadiliman	k a d i l i m a n
kadiri	k a d i ɾ i
kadmiyo	k a d m i o
kadre	k a d ɾ e
kadugo	k a d u ɡ o ʔ
kaduseo	k a d u s e o
kaduwagan	k a d u a ɡ a n
kadyos	k a d j o s
kadyot	k a d j o t
kaedad	k a ʔ e d a d
kaeskuwela	k a ʔ e s k u e l a
kagabi	k a ɡ a b e
kagabi	k a ɡ a b i
kagad	k a ɡ a d
kagagawan	k a ɡ a ɡ a w a n
kagahapon	k a ɡ a h a p o n
kagahasaan	k a ɡ a h a s a ʔ a n
kagalingan	k a ɡ a l i ŋ a n
kagalit	k a ɡ a l i t
kagampan	k a ɡ a m p a n
kagamulan	k a ɡ a m u l a n
kaganapan	k a ɡ a n a p a n
kagandahan	k a ɡ a n d a h a n
kaganina	k a ɡ a n i n a
kagat	k a ɡ a t
kagaw	k a ɡ a w
kagawad	k a ɡ a w a d
kagawaran	k a ɡ a w a ɾ a n
kagaya	k a ɡ a j a
kagayutan	k a ɡ a j u t a n
kagigising	k a ɡ i ɡ i s i ŋ
kagilagilalas	k a ɡ i l a ɡ i l a l a s
kagiliran	k a ɡ i l i ɾ a n
kaginoohan	k a ɡ i n o ʔ o h a n
kaginuhan	k a ɡ i n u h a n
kagipitan	k a ɡ i p i t a n
kagisnan	k a ɡ i s n a n
kagitingan	k a ɡ i t i ŋ a n
kagitnaan	k a ɡ i t n a ʔ a n
kagubatan	k a ɡ u b a t a n
kagulangan	k a ɡ u l a ŋ a n
kaguluhan	k a ɡ u l u h a n
kaguruan	k a ɡ u ɾ u ʔ a n
kagustuhan	k a ɡ u s t u h a n
kagutuman	k a ɡ u t u m a n
kagyat	k a ɡ j a t
kaha	k a h a
kahabaan	k a h a b a ʔ a n
kahabagan	k a h a b a ɡ a n
kahalagahan	k a h a l a ɡ a h a n
kahalayan	k a h a l a j a n
kahalili	k a h a l i l i
kahandaan	k a h a n d a ʔ a n
kahapon	k a h a p o n
kaharian	k a h a ɾ i ʔ a n
kahasik	k a h a s i k
kahawig	k a h a w i ɡ
kahayagan	k a h a j a ɡ a n
kahel	k a h e l
kahelada	k a h e l a d a
kahenyuhan	k a h e n j u h a n
kahera	k a h e ɾ a
kahero	k a h e ɾ o
kahetilya	k a h e t i l j a
kahi	k a h i ʔ
kahig	k a h i ɡ
kahigin	k a h i ɡ i n
kahihian	k a h i h i ʔ a n
kahihinatnan	k a h i h i n a t n a n
kahihiyaan	k a h i h i a ʔ a n
kahihiyan	k a h i h i a n
kahilagaan	k a h i l a ɡ a ʔ a n
kahimanawari	k a h i m a n a w a ɾ i ʔ
kahinaan	k a h i n a ʔ a n
kahinatnan	k a h i n a t n a n
kahiraman	k a h i ɾ a m a n
kahirapan	k a h i ɾ a p a n
kahit	k a h i t
kahita	k a h i t a
kahog	k a h o ɡ
kahon	k a h o n
kahoy	k a h o j
kahulilip	k a h u l i l i p
kahulugan	k a h u l u ɡ a n
kahuyan	k a h u j a n
kahuylalao	k a h u j l a l a ʔ o
kaibahan	k a ʔ i b a h a n
kaibhan	k a ʔ i b h a n
kaibigan	k a j b i ɡ a n
kaibigan	k a ʔ i b i ɡ a n
kaibiganin	k a j b i ɡ a n i n
kaibiganin	k a ʔ i b i ɡ a n i n
kaibuturan	k a ʔ i b u t u ɾ a n
kaida	k a ʔ i d a
kaila	k a ʔ i l a ʔ
kailaliman	k a ʔ i l a l i m a n
kailan	k a j l a n
kailan	k a ʔ i l a n
kailan	k e j l a n
kailan	k e l a n
kailangan	k a j l a ŋ a n
kailangan	k a ʔ i l a ŋ a n
kailangan	k e l a ŋ a n
kailanganin	k a j l a ŋ a n i n
kailanganin	k a ʔ i l a ŋ a n i n
kailanman	k a j l a n m a n
kailanman	k a ʔ i l a n m a n
kaiman	k a ʔ i m a n
kaimito	k a j m i t o
kaimposiblehan	k a ʔ i m p o s i b l e h a n
kaimposiblihan	k a ʔ i m p o s i b l i h a n
kain	k a ʔ e n
kain	k a ʔ i n
kainaman	k a ʔ i n a m a n
kainan	k a ʔ i n a n
kaing	k a ʔ i ŋ
kaingin	k a ʔ i ŋ i n
kainin	k a ʔ i n i n
kainis	k a ʔ i n i s
kaintan	k a ʔ i n t a n
kaipala	k a ʔ i p a l a ʔ
kaisahan	k a ʔ i s a h a n
kaisandibdib	k a ʔ i s a n d i b d i b
kaisipan	k a ʔ i s i p a n
kait	k a ʔ i t
kaka	k a k a
kaka	k a k a ʔ
kakabig	k a k a b i ɡ
kakabili	k a k a b i l i
kakagat	k a k a ɡ a t
kakagising	k a k a ɡ i s i ŋ
kakahiyaan	k a k a h i a ʔ a n
kakahiyan	k a k a h i a n
kakahuyan	k a k a h u j a n
kakaiba	k a k a ʔ i b a
kakain	k a k a ʔ i n
kakainan	k a k a ʔ i n a n
kakainin	k a k a ʔ i n i n
kakak	k a k a k
kakakain	k a k a k a ʔ i n
kakalot	k a k a l o t
kakaluyin	k a k a l u j i n
kakambal	k a k a m b a l
kakampi	k a k a m p i
kakampink	k a k a m p i ŋ k
kakanan	k a k a n a n
kakanggata	k a k a ŋ ɡ a t a ʔ
kakanin	k a k a n i n
kakanina	k a k a n i n a
kakaniyahan	k a k a n i a h a n
kakanyahan	k a k a n j a h a n
kakaphay	k a k a p h a j
kakapitan	k a k a p i t a n
kakarampot	k a k a ɾ a m p o t
kakastiguhin	k a k a s t i ɡ u h i n
kakatuwa	k a k a t u a
kakatuwa	k a k a t u a ʔ
kakatwa	k a k a t w a
kakatwa	k a k a t w a ʔ
kakaw	k a k a w
kakawasaan	k a k a w a s a ʔ a n
kakawate	k a k a w a t e
kakawati	k a k a w a t i
kakawayan	k a k a w a j a n
kakayahan	k a k a j a h a n
kakayanan	k a k a j a n a n
kaki	k a k i
kakilala	k a k i l a l a
kakilawan	k a k i l a w a n
kaklase	k a k l a s e
kako	k a k o
kakompetensiya	k a k o m p e t e n s i a
kakompetensya	k a k o m p e t e n s j a
kakompletuhan	k a k o m p l e t u h a n
kakosa	k a k o s a
kakto	k a k t o
kaktus	k a k t u s
kakulangan	k a k u l a ŋ a n
kakulawas	k a k u l a w a s
kakumpetensiya	k a k u m p e t e n s i a
kakumpetensya	k a k u m p e t e n s j a
kakumpitensiya	k a k u m p i t e n s i a
kakumpitensya	k a k u m p i t e n s j a
kakumpletuhan	k a k u m p l e t u h a n
kakuwentuhan	k a k u e n t u h a n
kakwentuhan	k a k w e n t u h a n
kal	k a l
kalaban	k a l a b a n
kalabasa	k a l a b a s a
kalabasahan	k a l a b a s a h a n
kalabaw	k a l a b a w
kalabhasaan	k a l a b h a s a ʔ a n
kalabit	k a l a b i t
kalabitin	k a l a b i t i n
kalabo	k a l a b o
kalabog	k a l a b o ɡ
kalabos	k a l a b o s
kalaboso	k a l a b o s o
kalachuchi	k a l a t s u t s i
kalachuchi	k a l a t͡ʃ u t͡ʃ i
kaladkad	k a l a d k a d
kaladkarin	k a l a d k a ɾ i n
kalag	k a l a ɡ
kalagayan	k a l a ɡ a j a n
kalagitna	k a l a ɡ i t n a ʔ
kalagitnaan	k a l a ɡ i t n a ʔ a n
kalagkag	k a l a ɡ k a ɡ
kalaguyo	k a l a ɡ u j o ʔ
kalahati	k a l a h a t i ʔ
kalahatian	k a l a h a t i ʔ a n
kalahay	k a l a h a j
kalahok	k a l a h o k
kalakal	k a l a k a l
kalakalan	k a l a k a l a n
kalakaran	k a l a k a ɾ a n
kalakati	k a l a k a t i ʔ
kalakbay	k a l a k b a j
kalakhan	k a l a k h a n
kalakian	k a l a k i ʔ a n
kalakihan	k a l a k i h a n
kalakiyan	k a l a k i a n
kalakpan	k a l a k p a n
kalakuwerda	k a l a k u e ɾ d a
kalakyan	k a l a k j a n
kalalakihan	k a l a l a k i h a n
kalalang	k a l a l a ŋ
kalaliman	k a l a l i m a n
kalamaan	k a l a m a ʔ a n
kalamak	k a l a m a k
kalamansanay	k a l a m a n s a n a j
kalamansi	k a l a m a n s i ʔ
kalamares	k a l a m a ɾ e s
kalamayo	k a l a m a j o
kalamba	k a l a m b a ʔ
kalambatan	k a l a m b a t a n
kalambigas	k a l a m b i ɡ a s
kalambre	k a l a m b ɾ e
kalamidad	k a l a m i d a d
kalamismis	k a l a m i s m i s
kalamnan	k a l a m n a n
kalampinay	k a l a m p i n a j
kalamunding	k a l a m u n d i ŋ
kalamyas	k a l a m j a s
kalan	k a l a n
kalanbanyaga	k a l a n b a n j a ɡ a ʔ
kalanda	k a l a n d a
kalanda	k a l a n d a ʔ
kalandak	k a l a n d a k
kalandra	k a l a n d ɾ a
kalang	k a l a ŋ
kalangay	k a l a ŋ a j
kalangbahala	k a l a ŋ b a h a l a ʔ
kalangitan	k a l a ŋ i t a n
kalansay	k a l a n s a j
kalantari	k a l a n t a ɾ i ʔ
kalantas	k a l a n t a s
kalap	k a l a p
kalapa	k a l a p a ʔ
kalapastangan	k a l a p a s t a ŋ a n
kalapastanganan	k a l a p a s t a ŋ a n a n
kalapati	k a l a p a t i
kalapatihan	k a l a p a t i h a n
kalapintero	k a l a p i n t e ɾ o
kalara	k a l a ɾ a
kalarawan	k a l a ɾ a w a n
kalarawnan	k a l a ɾ a w n a n
kalaro	k a l a ɾ o ʔ
kalas	k a l a s
kalasag	k a l a s a ɡ
kalasaw	k a l a s a w
kalasing	k a l a s i ŋ
kalasingan	k a l a s i ŋ a n
kalasusi	k a l a s u s i ʔ
kalasutsi	k a l a s u t s i ʔ
kalasutsi	k a l a s u t͡ʃ i ʔ
kalaswaan	k a l a s w a ʔ a n
kalat	k a l a t
kalatas	k a l a t a s
kalatiw	k a l a t i w
kalatiyo	k a l a t i o
kalatowat	k a l a t o a t
kalatsutsi	k a l a t s u t s i ʔ
kalatsutsi	k a l a t͡ʃ u t͡ʃ i ʔ
kalatuwat	k a l a t u a t
kalatwat	k a l a t w a t
kalatyo	k a l a t j o
kalaunan	k a l a ʔ u n a n
kalaw	k a l a w
kalawakan	k a l a w a k a n
kalawang	k a l a w a ŋ
kalawangin	k a l a w a ŋ i n
kalawit	k a l a w i t
kalayaan	k a l a j a ʔ a n
kalayahan	k a l a j a h a n
kalaykay	k a l a j k a j
kalba	k a l b a
kalbaryo	k a l b a ɾ j o
kalbasa	k a l b a s a
kalbit	k a l b i t
kalbo	k a l b o
kalbo	k a l b o ʔ
kalburo	k a l b u ɾ o
kalda	k a l d a
kaldera	k a l d e ɾ a
kaldereta	k a l d e ɾ e t a
kaldero	k a l d e ɾ o
kalembang	k a l e m b a ŋ
kalendaryo	k a l e n d a ɾ j o
kalesa	k a l e s a
kali	k a l e ʔ
kali	k a l i
kali	k a l i ʔ
kalibangbang	k a l i b a ŋ b a ŋ
kalibid	k a l i b i d
kalibkib	k a l i b k i b
kalibre	k a l i b ɾ e
kalibugan	k a l i b u ɡ a n
kalidad	k a l i d a d
kalidoskopyo	k a l i d o s k o p j o
kaligayahan	k a l i ɡ a j a h a n
kaligkig	k a l i ɡ k i ɡ
kalihim	k a l i h i m
kalihiman	k a l i h i m a n
kaliitan	k a l i ʔ i t a n
kalikam	k a l i k a m
kalikasan	k a l i k a s a n
kaliko	k a l i k o
kalikot	k a l i k o t
kalilya	k a l i l j a
kalima	k a l i m a
kalimaras	k a l i m a ɾ a s
kalimatyo	k a l i m a t j o
kalimbahin	k a l i m b a h i n
kalimutan	k a l i m u t a n
kalinangan	k a l i n a ŋ a n
kalinga	k a l i ŋ a ʔ
kalingaan	k a l i ŋ a ʔ a n
kalinggalan	k a l i ŋ ɡ a l a n
kalinggitan	k a l i ŋ ɡ i t a n
kalingkingan	k a l i ŋ k i ŋ a n
kalinisan	k a l i n i s a n
kalis	k a l i s
kaliskis	k a l i s k i s
kalit	k a l i t
kaliwa	k a l i w a ʔ
kaliwanagan	k a l i w a n a ɡ a n
kaliwete	k a l i w e t e
kaliya	k a l i a ʔ
kalkal	k a l k a l
kalkulador	k a l k u l a d o ɾ
kalkulasyon	k a l k u l a s j o n
kalma	k a l m a
kalma	k a l m a ʔ
kalmado	k a l m a d o
kalmen	k a l m e n
kalmot	k a l m o t
kalo	k a l o ʔ
kalokohan	k a l o k o h a n
kaloob	k a l o ʔ o b
kalooban	k a l o ʔ o b a n
kalookan	k a l o ʔ o k a n
kalos	k a l o s
kalot	k a l o t
kalsada	k a l s a d a
kalsetin	k a l s e t i n
kalsiyo	k a l s i o
kalso	k a l s o
kalsonsilyo	k a l s o n s i l j o
kaltas	k a l t a s
kaltasado	k a l t a s a d o
kaltek	k a l t e k
kaluban	k a l u b a n
kalubasa	k a l u b a s a
kalugay	k a l u ɡ a j
kalukati	k a l u k a t i ʔ
kalukbanan	k a l u k b a n a n
kalukbananan	k a l u k b a n a n a n
kaluluwa	k a l u l u a
kalulwa	k a l u l w a
kalumbaba	k a l u m b a b a ʔ
kalumbahin	k a l u m b a h i n
kalumbibit	k a l u m b i b i t
kalumpang	k a l u m p a ŋ
kalumpit	k a l u m p i t
kalungkutan	k a l u ŋ k u t a n
kalungsuran	k a l u ŋ s u ɾ a n
kalungtian	k a l u ŋ t i ʔ a n
kaluniya	k a l u n i a ʔ
kaluntian	k a l u n t i ʔ a n
kalunuran	k a l u n u ɾ a n
kalunya	k a l u n j a ʔ
kalupaan	k a l u p a ʔ a n
kaluskos	k a l u s k o s
kalusugan	k a l u s u ɡ a n
kaluwalhatian	k a l u a l h a t i ʔ a n
kalya	k a l j a ʔ
kalye	k a l j e
kalyehon	k a l j e h o n
kalyo	k a l j o
kalyos	k a l j o s
kama	k a m a
kamada	k a m a d a
kamagalingga	k a m a ɡ a l i ŋ ɡ a
kamagong	k a m a ɡ o ŋ
kamakaapat	k a m a k a ʔ a p a t
kamakailan	k a m a k a j l a n
kamakailan	k a m a k a ʔ i l a n
kamakalawa	k a m a k a l a w a
kamakalima	k a m a k a l i m a
kamakapat	k a m a k a p a t
kamakapuwo	k a m a k a p u o ʔ
kamakatlo	k a m a k a t l o
kamaksi	k a m a k s i ʔ
kamalala	k a m a l a l a
kamalasan	k a m a l a s a n
kamalayan	k a m a l a j a n
kamaleon	k a m a l e o n
kamalian	k a m a l i ʔ a n
kamalig	k a m a l i ɡ
kamanahan	k a m a n a h a n
kamandag	k a m a n d a ɡ
kamanga	k a m a ŋ a ʔ
kamanggagawa	k a m a ŋ ɡ a ɡ a w a ʔ
kamanggiyanis	k a m a ŋ ɡ i a n i s
kamangiyanis	k a m a ŋ i a n i s
kamangmangan	k a m a ŋ m a ŋ a n
kamangsi	k a m a ŋ s i ʔ
kamangyan	k a m a ŋ j a n
kamansi	k a m a n s i ʔ
kamantigi	k a m a n t i ɡ i ʔ
kamanyan	k a m a n j a n
kamanyang	k a m a n j a ŋ
kamao	k a m a ʔ o
kamaoo	k a m a ʔ o ʔ o
kamape	k a m a p e
kamara	k a m a ɾ a
kamaro	k a m a ɾ o
kamas	k a m a s
kamatayan	k a m a t a j a n
kamatis	k a m a t i s
kamatsile	k a m a t s i l e
kamatsile	k a m a t͡ʃ i l e
kamaw	k a m a w
kamay	k a m a j
kamayan	k a m a j a n
kamaydorea	k a m a j d o ɾ e a
kambal	k a m b a l
kambas	k a m b a s
kambing	k a m b i ŋ
kambiyo	k a m b i o
kambyo	k a m b j o
kameleon	k a m e l e o n
kamelyo	k a m e l j o
kamelyon	k a m e l j o n
kamera	k a m e ɾ a
kameraman	k a m e ɾ a m a n
kami	k a m e
kami	k a m i
kamihasnan	k a m i h a s n a n
kamikam	k a m i k a m
kamisa	k a m i s a
kamiseta	k a m i s e t a
kamison	k a m i s o n
kamit	k a m i t
kamkam	k a m k a m
kamo	k a m o
kamot	k a m o t
kamote	k a m o t e
kamotpusa	k a m o t p u s a ʔ
kampana	k a m p a n a ʔ
kampanaryo	k a m p a n a ɾ j o
kampang	k a m p a ŋ
kampanilya	k a m p a n i l j a
kampante	k a m p a n t e
kampanya	k a m p a n j a
kampay	k a m p a j
kampeon	k a m p e o n
kampeonato	k a m p e o n a t o
kampetse	k a m p e t s e
kampetse	k a m p e t͡ʃ e
kampilan	k a m p i l a n
kamping	k a m p i ŋ
kampit	k a m p i t
kampiyon	k a m p i o n
kampon	k a m p o n
kampor	k a m p o ɾ
kamposanto	k a m p o s a n t o
kampukan	k a m p u k a n
kampupot	k a m p u p o t
kampyon	k a m p j o n
kamto	k a m t o
kamukha	k a m u k a ʔ
kamukha	k a m u k h a ʔ
kamulkap	k a m u l k a p
kamulkapanan	k a m u l k a p a n a n
kamumo	k a m u m o
kamunduhan	k a m u n d u h a n
kamuning	k a m u n i ŋ
kamunti	k a m u n t i ʔ
kamuntik	k a m u n t i k
kamuplads	k a m u p l a d s
kamuplads	k a m u p l a d͡ʒ
kamuplahe	k a m u p l a h e
kamuplas	k a m u p l a s
kamusta	k a m u s t a
kamya	k a m j a
kamyas	k a m j a s
kamyon	k a m j o n
kana	k a n a
kana	k a n a ʔ
kanakana	k a n a k a n a ʔ
kanal	k a n a l
kanalado	k a n a l a d o
kanan	k a n a n
kanape	k a n a p e
kanaryo	k a n a ɾ j o
kanaw	k a n a w
kanayunan	k a n a j u n a n
kandado	k a n d a d o
kandaduhan	k a n d a d u h a n
kandaki	k a n d a k i ʔ
kandangaho	k a n d a ŋ a h o ʔ
kandangaok	k a n d a ŋ a ʔ o k
kandanggaok	k a n d a ŋ ɡ a ʔ o k
kandarapa	k a n d a ɾ a p a ʔ
kandaro	k a n d a ɾ o
kandelabra	k a n d e l a b ɾ a
kandelabro	k a n d e l a b ɾ o
kandelero	k a n d e l e ɾ o
kandi	k a n d i
kandidata	k a n d i d a t a
kandidato	k a n d i d a t o
kandidatura	k a n d i d a t u ɾ a
kandila	k a n d i l a ʔ
kandilero	k a n d i l e ɾ o
kandililya	k a n d i l i l j a
kandingga	k a n d i ŋ ɡ a
kandong	k a n d o ŋ
kandoy	k a n d o j
kanduli	k a n d u l i ʔ
kandungan	k a n d u ŋ a n
kanela	k a n e l a
kanelado	k a n e l a d o
kang	k a ŋ
