ab	ɑˀ b̥
paļštõ	p ɑ ʎˑ ʃ t ə
pan	p ɑ nː
pandõks	p ɑ nˑ d ə k s
pankok	p ɑ nː k o kː
paņ	p ɑ ɲː
papīer	p ɑ pˑ iˑ e̯ r
pappõl	p ɑ pːː ə l
paprik	p ɑ pˑ r i kˑ
parāndõ	p ɑ r ɑˑ n d ə
parāntõ	p ɑ r ɑˑ n tˑ ə
parāz	p ɑ r ɑˑ z̥
partikõl	p ɑ rˑ tˑ i kˑ ə l
partitīv	p ɑ rˑ tˑ i tˑ iˑ v
paŗ	p ɑˀ rʲ
paŗī	p ɑ rʲ iˑ
paŗīm	p ɑ rʲ iˑ m
paŗīmstiz	p ɑ rʲ iˑ m s t i z̥
paskā	p ɑ s k ɑˑ
paskāndõ	p ɑ s k ɑˑ n d ə
past	p ɑ sˑ t
pastõ	p ɑ sˑ t ə
pat	p ɑ tː
patli	p ɑ tˑ l i
patšõ	p ɑ t͡ʃˑ ə
Pațīkmō	p ɑ cˑ iˑ kˑ m ɒː
pāika	p ɑː i̯ kˑ ɑ
pāina	p ɑː i̯ n ɑ
pālka	p ɑː l kˑ ɑ
pālkali	p ɑː l kˑ ɑ l i
pānda	p ɑː n d ɑ
pārdaz	p ɑː r d ɑ z̥
pārmaz	p ɑː r m ɑ z̥
pāvest	p ɑː v e s t
päkā	p æ kˑ ɑˑ
päp	p æ pː
pärsōn	p æ r s oˑ n
pästõ	p æ sˑ t ə
päzzõ	p æˀ zː ə
pǟ	p æː
pǟgiņ	p æː ɡ i ɲ
pǟgiņlug	p æː ɡ i ɲ l uˀ ɡ̥
pǟgiņtõ	p æː ɡ i ɲ tˑ ə
pǟgiņž	p æː ɡ i ɲ ʒ̥
pǟl	p æː l
pǟldõ	p æː l d ə
pǟlõ	p æː l ə
pǟrna	p æː r n ɑ
Pǟrnov	p æː r n o v
Pǟrnov	p æː r n o̯ uˑ
pǟva	p æː v ɑ
Pǟva	p æː v ɑ
pǟvaīe	p æː v ɑ iˑ e̯
pǟvakargimi	p æː v ɑ k ɑ rˑ ɡ i m i
pǟvalūojimi	p æː v ɑ l uˑ o̯ j i m i
pǟvaļikki	p æː v ɑ ʎ i kː i
pǟvasidām	p æː v ɑ s i d ɑˑ m
pǟvaval	p æː v ɑ v ɑˀ l
peijõd	p e̯ iˑ j ə d̥
peislõ	p e̯ iˑ s l ə
peppiņd	p e pːː i ɲ d̥
perīmīez	p e r iˑ m iˑ e̯ z̥
perri	p eˀ rː i
pešlinki	p e ʃˑ l i ŋ kˑ i
pēgal	p eː ɡ ɑ l
pēgõz	p eːˀ ɡ ə z̥
pēļ	p eː ʎ
piddõ	p iˀ dː ə
piddõz	p iˀ dː ə z̥
pids	p iˀ t s
piḑīm	p i ɟ iˑ m
piedāg	p ĭ̯ e d ɑˑ ɡ̥
pieksõ	p ĭ̯ e kˑ s ə
pierā	p ĭ̯ e r ɑˑ
pierāst	p ĭ̯ e r ɑˑ s t
pierrõ	p ĭ̯ eˀ rː ə
pierz	p ĭ̯ e rˑ z̥
pietk	p ĭ̯ e tˑ k
piettõ	p ĭ̯ e tːː ə
pietūks	p ĭ̯ e tˑ uˑ k s
piezā	p ĭ̯ e z ɑˑ
piezzõ	p ĭ̯ eˀ zː ə
pigā	p i ɡ ɑˑ
pilktõ	p i lˑ k t ə
piļļi	p i ʎːː i
pimdiņtõ	p iˀ m d i ɲ tˑ ə
pimdõ	p iˀ m d ə
piņ	p iˀ ɲ
pipā	p i pˑ ɑˑ
pippõr	p i pːː ə r
pistõ	p i sˑ t ə
piški	p i ʃˑ k i
piškivīļa	p i ʃˑ k i v iː ʎ ɑ
pit	p i tː
pitkā	p i t k ɑˑ
pitkit	p i tˑ k i tˑ
pitkittēḑ	p i tˑ k i tˑ t eːˀ ɟ̥
Pitrõg	p i tˑ r ə ɡ̥
pițki	p i cˑ k i
piv	p iˀ u̯ vː
pivā	p i v ɑˑ
pivākuodā	p i v ɑˑ k ŭ̯ o d ɑˑ
pivāli	p i v ɑˑ l i
pivālind	p i v ɑˑ l i nˑ d̥
pivāpǟva	p i v ɑˑ p æː v ɑ
pivāstõ	p i v ɑˑ s t ə
Pizā	p i z ɑˑ
pizār	p i z ɑˑ r
pīedrõb	p iˑ e̯ d r ə b̥
pīemdõ	p iˑˀ e̯ m d ə
pīendrõks	p iˑ e̯ n d r ə k s
pīenti	p iˑ e̯ n tˑ i
pīentõ	p iˑ e̯ n tˑ ə
pīer	p iˑ e̯ r
pīerõ	p iˑ e̯ r ə
pīerslõ	p iˑ e̯ r s l ə
pīertõ	p iˑ e̯ r tˑ ə
pīgõz	p iː ɡ ə z̥
pīk	p iː kˑ
pīki	p iː kˑ i
pīkstõ	p iː k s t ə
pīla	p iː l ɑ
pīldzi	p iːˀ l d z i
pīlgõmōŗa	p iːˀ l ɡ ə m ɒː rʲ ɑ
pīlgõz	p iːˀ l ɡ ə z̥
pīlõ	p iːˀ l ə
pīlpaz	p iː l pˑ ɑ z̥
pīnda	p iː n d ɑ
pīņõ	p iː ɲ ə
pīrag	p iː r ɑ ɡ̥
pīrgal	p iː r ɡ ɑ l
pīsk	p iː s k
plagā	p l ɑ ɡ ɑˑ
plakā	p l ɑ kˑ ɑˑ
plēšõd	p l eː ʃˑ ə d̥
plīț	p l iː cˑ
plōț	p l ɒː cˑ
plūm	p l uː m
polākõz	p o l ɑˑ kˑ ə z̥
Portugal	p o rˑ tˑ u ɡ ɑ l
Portugāl	p o rˑ tˑ u ɡ ɑˑ l
poțā	p o cˑ ɑˑ
poukõ	p o̯ uˑ kː ə
povār	p o v ɑˑ r
pōdõz	p ɒːˀ d ə z̥
pōgõz	p ɒːˀ ɡ ə z̥
pōgstõ	p ɒːˀ k s t ə
pōļaz	p ɒː ʎ ɑ z̥
pōmi	p ɒːˀ m i
pōna	p oː n ɑ
pōr	p ɒː r
pōrkimdõ	p ɒː r k i mˑ d ə
pōŗ	p ɒː rʲ
pōŗkimdõ	p ɒː rʲ k i mˑ d ə
pōțõr	p ɒː cˑ ə r
pōž	p ɒː ʒ̥
pȯddõ	p ɤˀ dː ə
pȯigõ	p ɤ̯ iˑ ɡ ə
pȯimõ	p ɤ̯ iˑ m ə
pȯis	p ɤ̯ iˑ sˑ
pȯiški	p ɤ̯ iˑ ʃ k i
pȯj	p ɤˀ i̯
pȯlgõ	p ɤ lˑ ɡ ə
pȯļļõ	p ɤ ʎːː ə
pȯļtõ	p ɤ ʎˑ tˑ ə
pȯrt	p ɤ rˑ tˑ
pȯrtõ	p ɤ rˑ tˑ ə
pȯsk	p ɤ sˑ k
põddõrz	p ɯˀ dː ə r z̥
põnkt	p ɯ ŋˑ k t
põnktõ	p ɯ ŋˑ k t ə
põrm	p ɯ rˑ m
põrmstõ	p ɯ rˑ m s t ə
põŗgõ	p ɯ rʲˑ ɡ ə
põŗgtõ	p ɯ rʲˑ k t ə
põzāg	p ɯ z ɑˑ ɡ̥
pȭda	p ɯː d ɑ
pȭkt	p ɯːˀ k t
pȭrand	p ɯː r ɑ n d̥
pȭrna	p ɯː r n ɑ
pȭzõ	p ɯː z ə
Prantsūzmō	p r ɑ nˑ t s uˑ z m ɒː
Prantšmō	p r ɑ nˑ t͡ʃ m ɒː
prațțõ	p r ɑ cːː ə
prepozītsij	p r e pˑ o z iˑ t s i j
prepozītsijõ	p r e pˑ o z iˑ t s i j ə
printsip	p r i nˑ t s i pˑ
priš	p r i ʃː
prīestõr	p r iˑ e̯ s t ə r
problēm	p r o b l eˑ m
program	p r o ɡ r ɑ m
projekt	p r o j e k t
protsent	p r o tˑ s e n tˑ
prūš	p r uː ʃˑ
pubā	p u b ɑˑ
puddõ	p uˀ dː ə
puggõ	p uˀ ɡː ə
punni	p uˀ nː i
purāz	p u r ɑˑ z̥
purgõ	p u rˑ ɡ ə
purmõz	p uˀ r m ə z̥
purōv	p u r oˑ v
purrõ	p uˀ rː ə
puŗŗõkuoig	p u rʲːː ə k ŭ̯ o̯ˀ i ɡ̥
pusk	p u sˑ k
puskāntõ	p u s k ɑˑ n tˑ ə
puțkõz	p u cˑ k ə z̥
pū	p uː
pūdõ	p uː d ə
pūdõz	p uːˀ d ə z̥
pūdstõ	p uːˀ t s t ə
pūgõ	p uːˀ ɡ ə
pūgõ	p uːˀ ɡ ə
pūgõ	p uː ɡ ə
pūi	p uː i̯
pūlka	p uː l kˑ ɑ
pūmpar	p uː m pˑ ɑ r
pūnda	p uː n d ɑ
pūnga	p uː ŋ ɡ ɑ
pūoga	p uˑ o̯ ɡ ɑ
pūois	p uˑˀ o̯ i̯ sˑ
pūoj	p uˑˀ o̯ i̯
Pūojmer	p uˑˀ o̯ i̯ m eˀ r
pūojtõ	p uˑˀ o̯ i̯ t ə
pūol	p uˑ o̯ l
pūola	p uˑ o̯ l ɑ
pūolīe	p uˑ o̯ l iˑ e̯
pūolõ	p uˑ o̯ l ə
pūolpǟva	p uˑ o̯ l p æː v ɑ
pūoļ	p uˑ o̯ ʎ
Pūoļmō	p uˑ o̯ ʎ m ɒː
pūom	p uˑ o̯ m
pūoraz	p uˑ o̯ r ɑ z̥
pūošt	p uˑ o̯ ʃ t
pūrdaz	p uː r d ɑ z̥
pūrmaņ	p uː r m ɑ ɲ
pūŗaz	p uː rʲ ɑ z̥
pūŗitõ	p uː rʲ i tˑ ə
pūstõ	p uːˀ s t ə
pūškõ	p uː ʃ k ə
pūtiļ	p uːˀ tˑ i ʎ
pūtõ	p uː tˑ ə
pūtõks	p uː tˑ ə k s
pūvīļa	p uː v iː ʎ ɑ
rabā	r ɑ b ɑˑ
rabbõ	r ɑˀ bː ə
rabdõ	r ɑˀ b d ə
radā	r ɑ d ɑˑ
radio	r ɑ d i o
radļõ	r ɑˀ d ʎ ə
ragdõ	r ɑˀ ɡ d ə
raigā	r ɑ i̯ ɡ ɑˑ
raiskõ	r ɑ̯ iˑ s k ə
raj	r ɑˀ i̯
rakkõ	r ɑ kːː ə
raņg	r ɑ ɲˑ ɡ̥
ratsõl	r ɑ tˑ s ə l
ratstõ	r ɑ tˑ s t ə
rattõd	r ɑ tːː ə d̥
razā	r ɑ z ɑˑ
razzi	r ɑˀ zː i
rānda	r ɑː n d ɑ
rāndakēļ	r ɑː n d ɑ k eː ʎ
rāndali	r ɑː n d ɑ l i
räukõ	r æ̯ uˑ kː ə
rǟnka	r æː ŋ kˑ ɑ
rǟstõz	r æː s t ə z̥
rebā	r e b ɑˑ
rebbi	r eˀ bː i
redīsõz	r e d iˑ sˑ ə z̥
reḑḑõl	r eˀ ɟː ə l
reiz	r e̯ iˑ z̥
reizõ	r e̯ iˑ z ə
rejā	r e j ɑˑ
reņ	r e ɲː
repšõz	r e pˑ ʃ ə z̥
repțõ	r e pˑ c ə
restoran	r e sˑ t o r ɑ n
rēkõ	r eː kˑ ə
rēnaz	r eː n ɑ z̥
rētš	r eː t͡ʃ
riddõ	r iˀ dː ə
rieggõz	r ĭ̯ eˀ ɡː ə z̥
riek	r ĭ̯ e kː
riggi	r iˀ ɡː i
riggilēba	r iˀ ɡː i l eː b ɑ
riggõz	r iˀ ɡː ə z̥
rikāz	r i kˑ ɑˑ z̥
rikkõ	r i kːː ə
riktig	r i kˑ t i ɡ̥
rikūz	r i kˑ uˑ z̥
rink	r i ŋˑ kˑ
rinkõ	r i ŋˑ kˑ ə
rip	r i pː
rips	r i pˑ s
rišt	r i ʃˑ t
rištizā	r i ʃˑ t i z ɑˑ
rištīng	r i ʃ t iˑ ŋ ɡ̥
rištjemā	r i ʃˑ t j e m ɑˑ
rištli	r i ʃˑ t l i
rištõ	r i ʃˑ t ə
rištusk	r i ʃˑ t u sˑ k
rīdļõ	r iː d ʎ ə
Rīgõ	r iː ɡ ə
rīj	r iːˀ i̯
rīmõz	r iːˀ m ə z̥
rīnda	r iː n d ɑ
rīndõks	r iː n d ə k s
rīpõ	r iː pˑ ə
rīprok	r iː pˑ r o kː
rīsõd	r iː sˑ ə d̥
rīst	r iː s t
rīț	r iː cˑ
rīvõ	r iː v ə
rīžõ	r iː ʒ ə
rok	r o kː
roudi	r o̯ uˑ d i
rougõz	r o̯ˀ u ɡ ə z̥
rov	r oˀ u̯ vː
rovkuodā	r oˀ u̯ vː k ŭ̯ o d ɑˑ
rovloul	r oˀ u̯ vː l o̯ uˑ l
rovz	r oˀ v z̥
rovzt	r oˀ v s t
rō	r ɒːˀ
rōda	r oː d ɑ
rōgõd	r ɒː ɡ ə d̥
rōgõz	r ɒː ɡ ə z̥
rōgõz	r ɒːˀ ɡ ə z̥
rōibõ	r ɒː i̯ b ə
rōntõz	r ɒː n tˑ ə z̥
rōstõ	r ɒː s t ə
rōviņtõ	r ɒː v i ɲ tˑ ə
rōz	r ɒː z̥
rōza	r oː z ɑ
rōziņ	r ɒː z i ɲ
rōžki	r ɒː ʃ k i
rõk	r ɯ kː
rõkāndiji	r ɯ kˑ ɑˑ n d i j i
rõkāndõ	r ɯ kˑ ɑˑ n d ə
rõut	r ɯ̯ˀ u tˑ
rõv	r ɯˀ u̯ vː
rȭm	r ɯː m
rȭmli	r ɯː m l i
rȭskõ	r ɯː s k ə
ruisk	r u̯ˀ i s k
rujā	r u j ɑˑ
Rumāņmō	r u m ɑˑ ɲ m ɒː
Rumēnij	r u m eˑ n i j
ruoikõ	r ŭ̯ o̯ iˑ kː ə
ruzū	r u z uˑ
rūm	r uː m
Rūnõ	r uːˀ n ə
Rūnõmō	r uːˀ n ə m ɒː
rūod	r uˑ o̯ d̥
rūogõz	r uˑ o̯ ɡ ə z̥
rūoiska	r uˑ o̯ i̯ s k ɑ
Rūoj	r uˑ o̯ i̯
rūoŗ	r uˑ o̯ rʲ
rūost	r uˑ o̯ s t
rūostõ	r uˑ o̯ s t ə
Rūotšmō	r uˑ o̯ t͡ʃ m ɒː
rūt	r uː tˑ
rūtlimi	r uː t l i m i
rūtš	r uːˀ t͡ʃ
sa	s ɑ
sabbõr	s ɑˀ bː ə r
sad	s ɑˀ d̥
sadā	s ɑ d ɑˑ
sadāz	s ɑ d ɑˑ z̥
saddõ	s ɑˀ dː ə
saddõl	s ɑˀ dː ə l
sagdit	s ɑˀ ɡ d i tˑ
sagdõ	s ɑˀ ɡ d ə
saggõld	s ɑˀ ɡː ə l d̥
Saksāmō	s ɑ k s ɑˑ m ɒː
salā	s ɑ l ɑˑ
salāj	s ɑ l ɑˑ i̯
salāk	s ɑ l ɑˑ kˑ
salāndõ	s ɑ l ɑˑ n d ə
salātõ	s ɑ l ɑˑ tˑ ə
salātõd	s ɑ l ɑˑ tˑ ə d̥
Salāts	s ɑ l ɑˑ t s
salli	s ɑˀ lː i
sam	s ɑˀ m
samā	s ɑ m ɑˑ
sandrok	s ɑ nˑ d r o kː
sangdõ	s ɑ ŋˑ ɡ d ə
sastā	s ɑ s t ɑˑ
sāina	s ɑː i̯ n ɑ
sä	s æ
sädgõz	s æˀ d ɡ ə z̥
sältõ	s æˀ l tˑ ə
särg	s æ rˑ ɡ̥
säv	s æˀ u̯ vː
sǟdlõ	s æː d l ə
sǟdõ	s æː d ə
sǟl	s æːˀ l
sǟld	s æːˀ l d̥
sǟlga	s æː l ɡ ɑ
sǟlõ	s æːˀ l ə
Sǟnag	s æː n ɑ ɡ̥
sǟrna	s æː r n ɑ
se	s e
seis	s e̯ iˑ sˑ
seiskimdõ	s e̯ iˑ sˑ k i mˑ d ə
seiskimdõz	s e̯ iˑ sˑ k i mˑ d ə z̥
seismi	s e̯ iˑ s m i
seismõz	s e̯ iˑ s m ə z̥
seismõztuoistõnz	s e̯ iˑ s m ə s t ŭ̯ o̯ iˑ sˑ t ə n z̥
seissadā	s e̯ iˑ sˑ s ɑ d ɑˑ
seissadāz	s e̯ iˑ sˑ s ɑ d ɑˑ z̥
seistuoistõn	s e̯ iˑ sˑ t ŭ̯ o̯ iˑ sˑ t ə n
seistuoistõnz	s e̯ iˑ sˑ t ŭ̯ o̯ iˑ sˑ t ə n z̥
seļļi	s e ʎːː i
seļtš	s e ʎˑ t͡ʃ
septembõr	s e pˑ t e m b ə r
Serbij	s e rˑ b i j
serk	s e rˑ kˑ
set	s e tː
setkimdõ	s e tː k i mˑ d ə
sēji	s eː j i
sēmḑa	s eː m ɟ ɑ
sēņ	s eː ɲ
sēr	s eː r
sēršõ	s eːˀ r ʃ ə
Sibīrij	s i b iˑ r i j
sidām	s i d ɑˑ m
sidāmli	s i d ɑˑ m l i
sidāmõl	s i d ɑˑ m ə l
siddõ	s iˀ dː ə
siḑīmsõnā	s i ɟ iˑ m s ɯ n ɑˑ
siegās	s ĭ̯ e ɡ ɑˑ sˑ
sieggõ	s ĭ̯ eˀ ɡː ə
sieldõ	s ĭ̯ e lˑ d ə
siepā	s ĭ̯ e pˑ ɑˑ
sigā	s i ɡ ɑˑ
sigāvȯzā	s i ɡ ɑˑ v ɤ z ɑˑ
siggõ	s iˀ ɡː ə
sigž	s iˀ ɡ ʒ̥
sigžkū	s iˀ ɡ ʃ k uː
siktār	s i k t ɑˑ r
silāstõ	s i l ɑˑ s t ə
sildzi	s iˀ l d z i
siļ	s iˀ ʎ
siļg	s i ʎˑ ɡ̥
siļgõ	s i ʎˑ ɡ ə
siļk	s i ʎˑ kˑ
sinā	s i n ɑˑ
sindõ	s i nˑ d ə
sintõ	s i nˑ tˑ ə
siņņi	s iˀ ɲː i
sipā	s i pˑ ɑˑ
sipriki	s i pˑ r i kˑ i
sipšlõ	s i pˑ ʃ l ə
siskõ	s i sˑ k ə
sitā	s i tˑ ɑˑ
sitkõz	s i tˑ k ə z̥
sittõ	s i tːː ə
siz	s iˀ z̥
sizāl	s i z ɑˑ l
sizāld	s i z ɑˑ l d̥
sizzõl	s iˀ zː ə l
siž	s iˀ ʒ̥
sižāli	s i ʒ ɑˑ l i
sižālikki	s i ʒ ɑˑ l i kː i
sī	s iː
sīḑõ	s iːˀ ɟ ə
sīḑš	s iːˀ ɟ ʃ
sīḑšt	s iːˀ ɟ ʃ t
sīedõ	s iˑ e̯ d ə
sīekõrd	s iˑ e̯ k ɯ rˑ d̥
sīemgõz	s iˑ e̯ m ɡ ə z̥
sīemi	s iˑ e̯ m i
sīemnāiga	s iˑ e̯ m n ɑː i̯ ɡ ɑ
sīemt	s iˑ e̯ m tˑ
sīend	s iˑ e̯ n d̥
sīepierāst	s iˑ e̯ p ĭ̯ e r ɑˑ s t
sīestõ	s iˑ e̯ s t ə
sīetõ	s iˑ e̯ tˑ ə
sīezõr	s iˑ e̯ z ə r
sīgõz	s iː ɡ ə z̥
Sīkrõg	s iː k r ə ɡ̥
sīlda	s iː l d ɑ
sīli	s iː l i
sīlma	s iː l m ɑ
sīnõ	s iː n ə
sīņõ	s iː ɲ ə
sīpõl	s iː pˑ ə l
sīpõllōka	s iː pˑ ə l l oː kˑ ɑ
skrīvõr	s k r iː v ə r
skrõuv	s k r ɯ̯ uˑ v
skrūodõr	s k r uˑ o̯ d ə r
skūol	s k uˑ o̯ l
slikțõ	s l i kˑ c ə
Slovēnij	s l o v eˑ n i j
smagā	s m ɑ ɡ ɑˑ
smēḑ	s m eː ɟ̥
sogā	s o ɡ ɑˑ
sougdõ	s o̯ˀ u ɡ d ə
sov	s oˀ u̯ vː
sovā	s o v ɑˑ
sovtõ	s oˀ v tˑ ə
sōdõ	s ɒː d ə
sōja	s ɒː j ɑ
sōmal	s ɒː m ɑ l
sōmaltõ	s ɒː m ɑ l tˑ ə
sōna	s oː n ɑ
sōņ	s ɒː ɲ
sōņõ	s ɒː ɲ ə
sōpkõz	s ɒː p k ə z̥
sōra	s ɒː r ɑ
Sōrmō	s ɒː r m ɒː
sōtõ	s ɒː tˑ ə
sōtõks	s ɒː tˑ ə k s
sõbrā	s ɯ b r ɑˑ
sõggõl	s ɯˀ ɡː ə l
sõggõl	s ɯˀ ɡː ə l
sõgļõ	s ɯˀ ɡ ʎ ə
sõidõ	s ɯ̯ iˑ d ə
sõitõ	s ɯ̯ iˑ tː ə
sõnā	s ɯ n ɑˑ
sõnārōntõz	s ɯ n ɑˑ r ɒː n tˑ ə z̥
sõnāvīļa	s ɯ n ɑˑ v iː ʎ ɑ
sõstār	s ɯ s t ɑˑ r
sõv	s ɯˀ u̯ vː
sõvlõ	s ɯˀ v l ə
sõvpivād	s ɯˀ u̯ vː p i v ɑˑ d̥
sõvvõ	s ɯˀ u̯ vː ə
sõzār	s ɯ z ɑˑ r
sȭira	s ɯː i̯ r ɑ
sȭrmõz	s ɯː r m ə z̥
Spāņ	s p ɑː ɲ
Spāņmō	s p ɑː ɲ m ɒː
spek	s p e kː
spīegiļ	s p iˑ e̯ ɡ i ʎ
spleiš	s p l e̯ iˑ ʃˑ
spūok	s p uˑ o̯ kˑ
spūoļ	s p uˑ o̯ ʎ
statsij	s t ɑ tˑ s i j
stōdõ	s t ɒː d ə
strepīd	s t r e pˑ iˑ d̥
strōdõ	s t r ɒː d ə
student	s t u d e n tˑ
stuņḑ	s t u ɲˑ ɟ̥
sudmaļ	s uˀ d m ɑ ʎ
sug	s uˀ ɡ̥
sugā	s u ɡ ɑˑ
suggõ	s uˀ ɡː ə
sugīd	s u ɡ iˑ d̥
sugli	s uˀ ɡ l i
sukā	s u kˑ ɑˑ
sulā	s u l ɑˑ
sulātõ	s u l ɑˑ tˑ ə
sulg	s u lˑ ɡ̥
sulli	s uˀ lː i
sullõ	s uˀ lː ə
sumār	s u m ɑˑ r
suodā	s ŭ̯ o d ɑˑ
suoimõ	s ŭ̯ o̯ iˑ m ə
suoļg	s ŭ̯ o ʎˑ ɡ̥
suoļm	s ŭ̯ o ʎˑ m
suoŗm	s ŭ̯ o rʲˑ m
suotkõ	s ŭ̯ o tˑ k ə
sušā	s u ʃˑ ɑˑ
suž	s uˀ ĭ̯ ʒ̥
sū	s uː
sūkõl	s uː kˑ ə l
sūo	s uˑ o̯
sūol	s uˑ o̯ l
sūoli	s uˑ o̯ l i
sūolõ	s uˑ o̯ l ə
sūoļ	s uˑ o̯ ʎ
sūomli	s uˑ o̯ m l i
Sūomõmō	s uˑ o̯ m ə m ɒː
sūoņ	s uˑ o̯ ɲ
sūormõks	s uˑ o̯ r m ə k s
sūoŗ	s uˑ o̯ rʲ
sūr	s uː r
sūrkak	s uː r k ɑ kː
sūrli	s uː r l i
sūrmõd	s uː r m ə d̥
sūrslõ	s uː r s l ə
sūŗit	s uː rʲ i tˑ
svarrõ	s v ɑˀ rː ə
šilt	ʃ i lˑ tˑ
škērõd	ʃ k eː r ə d̥
škink	ʃ k i ŋˑ kˑ
šlūik	ʃ l uː i̯ kˑ
Šveits	ʃ v e̯ iˑ t s
ta	t ɑ
tabā	t ɑ b ɑˑ
tabāndõks	t ɑ b ɑˑ n d ə k s
tabār	t ɑ b ɑˑ r
tabātõ	t ɑ b ɑˑ tˑ ə
tabbõ	t ɑˀ bː ə
tagā	t ɑ ɡ ɑˑ
tagāmūpõ	t ɑ ɡ ɑˑ m uː pˑ ə
tagān	t ɑ ɡ ɑˑ n
tagānd	t ɑ ɡ ɑˑ n d̥
taggi	t ɑˀ ɡː i
taggõ	t ɑˀ ɡː ə
taibõdakš	t ɑ̯ iˑ b ə d ɑ kˑ ʃ
taim	t ɑ̯ iˑ m
tajā	t ɑ j ɑˑ
takā	t ɑ kˑ ɑˑ
tal	t ɑˀ l
talk	t ɑˀ l kˑ
taļ	t ɑ ʎː
taļšpivād	t ɑ ʎˑ ʃˑ p i v ɑˑ d̥
tapārtõ	t ɑ pˑ ɑˑ r tˑ ə
taplõ	t ɑ pˑ l ə
tappõ	t ɑ pːː ə
tarā	t ɑ r ɑˑ
tarāb	t ɑ r ɑˑ b̥
tarāvīļa	t ɑ r ɑˑ v iː ʎ ɑ
tarīļ	t ɑ r iˑ ʎ
tarmõ	t ɑ rˑ m ə
tas	t ɑ sː
tašīņtõ	t ɑ ʃˑ iˑ ɲ tˑ ə
tazā	t ɑ z ɑˑ
tazāntõ	t ɑ z ɑˑ n tˑ ə
tazzi	t ɑˀ zː i
tāgiž	t ɑːˀ ɡ i ʒ̥
tāibaz	t ɑː i̯ b ɑ z̥
tārpali	t ɑː r pˑ ɑ l i
täm	t æ mː
täm	t æˀ m
tämā	t æ m ɑˑ
tämīezõ	t æˀ m iˑ e̯ z ə
tämpõ	t æ mˑ pˑ ə
täpīņtõ	t æ pˑ iˑ ɲ tˑ ə
täs	t æ sː
täsā	t æ sˑ ɑˑ
tästā	t æ s t ɑˑ
täudõ	t æ̯ uˑ d ə
täutõ	t æ̯ uˑ tː ə
täuž	t æ̯ uˑ ʒʲ
täv	t æˀ u̯ vː
tǟdõks	t æːˀ d ə k s
tǟnõ	t æː n ə
tǟtõ	t æːˀ tˑ ə
teb	t eˀ b̥
teddõr	t eˀ dː ə r
tegīž	t e ɡ iˑ ʒ̥
tei	t e̯ iˑ
teib	t e̯ iˑ b̥
teļļõ	t e ʎːː ə
testament	t e sˑ t ɑ m e nˑ tˑ
tēḑ	t eːˀ ɟ̥
tēg	t eː ɡ̥
tēgal	t eː ɡ ɑ l
tēj	t eː i̯
tēriņtõ	t eː r i ɲ tˑ ə
tēriņtš	t eː r i ɲ t͡ʃ
tidār	t i d ɑˑ r
tieg	t ĭ̯ eˀ ɡ̥
tiegāndõks	t ĭ̯ e ɡ ɑˑ n d ə k s
tienāndõks	t ĭ̯ e n ɑˑ n d ə k s
tiennõ	t ĭ̯ eˀ nː ə
tienū	t ĭ̯ e n uˑ
tierā	t ĭ̯ e r ɑˑ
tierāb	t ĭ̯ e r ɑˑ b̥
tierāvīļa	t ĭ̯ e r ɑˑ v iː ʎ ɑ
tierōda	t ĭ̯ e r oː d ɑ
tieud	t ĭ̯ e̯ uˑ d̥
tieudmīez	t ĭ̯ e̯ uˑ d m iˑ e̯ z̥
tieudõ	t ĭ̯ e̯ uˑ d ə
tig	t iˀ ɡ̥
tigmõd	t iˀ ɡ m ə d̥
tigtõ	t iˀ k t ə
tijā	t i j ɑˑ
tijāld	t i j ɑˑ l d̥
tikā	t i kˑ ɑˑ
tikkiž	t i kːː i ʒ̥
tilā	t i l ɑˑ
tilbrēḑig	t i lː b r eː ɟ i ɡ̥
tilkõ	t i lˑ kˑ ə
tilp	t i lˑ pˑ
tinā	t i n ɑˑ
tink	t i ŋˑ kˑ
tint	t i nˑ tˑ
Tirkmō	t i rˑ kˑ m ɒː
tībõz	t iː b ə z̥
tīe	t iˑ e̯
tīeažā	t iˑ e̯ ɑ ʒʲ ɑˑ
tīedõ	t iˑˀ e̯ d ə
tīedõz	t iˑˀ e̯ d ə z̥
tīemizsõnā	t iˑˀ e̯ m i s s ɯ n ɑˑ
tīepǟva	t iˑ e̯ p æː v ɑ
tīera	t iˑ e̯ r ɑ
tīerat	t iˑ e̯ r ɑ tˑ
tīetēji	t iˑ e̯ t eː j i
tīetõ	t iˑ e̯ tˑ ə
tīkõ	t iː kˑ ə
tīkõ	t iːˀ kˑ ə
tīlka	t iː l kˑ ɑ
tokš	t o kˑ ʃ
toļ	t o ʎː
tomāt	t o m ɑˑ tˑ
torī	t o r iˑ
touvi	t o̯ uˑ v i
touvõaigā	t o̯ uˑ v ə ɑ i̯ ɡ ɑˑ
touzõ	t o̯ uˑ z ə
tovvõ	t oˀ u̯ vː ə
tōdõ	t ɒːˀ d ə
tōgõz	t ɒː ɡ ə z̥
tōgõz	t ɒː ɡ ə z̥
tōgõz	t ɒːˀ ɡ ə z̥
tōla	t ɒː l ɑ
tōmi	t ɒːˀ m i
tōvaz	t oː v ɑ z̥
tōvaz	t ɒː v ɑ z̥
tõitõ	t ɯ̯ iˑ tː ə
tõitõks	t ɯ̯ iˑ tː ə k s
tõmbõ	t ɯ mˑ b ə
tõrmõz	t ɯˀ r m ə z̥
