á	aː
kremenný	k r e m e nː iː
kremík	k r e m iː k
kremíka	k r e m iː k a
kresadlo	k r e s a d l ɔ
Kresila	k r e s i l a
kreslo	k r e s l ɔ
Kresta	k r e s t a
Kréta	k r eː t a
Kretík	k r e c iː k
kreveta	k r e v e t a
krhla	k r̩ ɦ l a
krič	k r i t͡ʃ
kričala	k r i t͡ʃ a l a
kričanie	k r i t͡ʃ a ɲ ɪ̯ e
kričať	k r i t͡ʃ a c
kríček	k r iː t͡ʃ e k
kričí	k r i t͡ʃ iː
kričia	k r i t͡ʃ ɪ̯ a
kričiac	k r i t͡ʃ ɪ̯ a t͡s
kričiaci	k r i t͡ʃ ɪ̯ a t͡s i
kričím	k r i t͡ʃ iː m
krídel	k r iː ɟ e l
krídlo	k r iː d l ɔ
kried	k r ɪ̯ e t
krieda	k r ɪ̯ e d a
kriedach	k r ɪ̯ e d a x
kriedam	k r ɪ̯ e d a m
kriedami	k r ɪ̯ e d a m i
kriede	k r ɪ̯ e ɟ e
kriedou	k r ɪ̯ e d ɔ v
kriedový	k r ɪ̯ e d ɔ v iː
kriedu	k r ɪ̯ e d u
kriedy	k r ɪ̯ e d i
krík	k r iː k
kristadelfián	k r i s t a d ɛ ɫ f i aː n
Kristián	k r i s t i aː n
kristianizácia	k r i s t i a n i z aː t͡s i a
Kristína	k r i s t iː n a
Kristo	k r i s t ɔ
Krištof	k r i ʃ t ɔ f
Krištofík	k r i ʃ t ɔ f iː k
kritizovať	k r i c i z ɔ v a c
krivák	k r i v aː k
Krivanský	k r i v a n s k iː
krívať	k r iː v a c
krivda	k r i v d a
krivec	k r i v e t͡s
krividlo	k r i v i d l ɔ
krivoprísažníctvo	k r i v ɔ p r iː s a ʒ ɲ iː t͡s t v ɔ
krivuľa	k r i v u ʎ a
krivule	k r i v u ʎ e
Krivý	k r i v iː
kríz	k r iː s
kríž	k r iː ʃ
kríza	k r iː z a
Križan	k r i ʒ a n
Križko	k r i ʃ k ɔ
križovatiek	k r i ʒ ɔ v a c ɪ̯ e k
križovatka	k r i ʒ ɔ v a t k a
križovatkový	k r i ʒ ɔ v a t k ɔ v iː
krk	k r̩ k
Krk	k r̩ k
kŕkať	k r̩ː k a c
krkavčí	k r̩ k a v t͡ʃ iː
krkavec	k r̩ k a v e t͡s
krkom	k r̩ k ɔ m
krku	k r̩ k u
krm	k r̩ m
kŕm	k r̩ː m
krmelca	k r̩ m e l t͡s a
krmelce	k r̩ m e l t͡s e
krmelec	k r̩ m e ʎ e t͡s
kŕmidiel	k r̩ː m i ɟ ɪ̯ e l
kŕmidla	k r̩ː m i d l a
kŕmidlá	k r̩ː m i d l aː
kŕmidlo	k r̩ː m i d l ɔ
kŕmiť	k r̩ː m i c
krmivo	k r̩ m i v ɔ
Krnáč	k r̩ n aː t͡ʃ
kroch	k r ɔ x
krôčik	k r u̯ ɔ t͡ʃ i k
Kročka	k r ɔ t͡ʃ k a
krok	k r ɔ k
Krok	k r ɔ k
krokodíl	k r ɔ k ɔ d iː l
krom	k r ɔ m
krona	k r ɔ n a
krona	k r uː n a
króna	k r ɔː n a
krone	k r ɔ n ɛ
Kropáč	k r ɔ p aː t͡ʃ
Kropuch	k r ɔ p u x
kros	k r ɔ s
krov	k r ɔ v
krovie	k r ɔ v ɪ̯ e
Krpčiar	k r̩ p t͡ʃ ɪ̯ a r
Kršák	k r̩ ʃ aː k
Kršiak	k r̩ ʃ ɪ̯ a k
Krška	k r̩ ʃ k a
krška	k r̩ ʃ k a
Krško	k r̩ ʃ k ɔ
krst	k r̩ s t
krsť	k r̩ s c
krstiť	k r̩ s c i c
krstový	k r̩ s t ɔ v iː
krstu	k r̩ s t u
krt	k r̩ t
krta	k r̩ t a
krtí	k r̩ c iː
krtmi	k r̩ t m i
krtoch	k r̩ t ɔ x
krtom	k r̩ t ɔ m
krtov	k r̩ t ɔ v
krtovi	k r̩ t ɔ v i
krty	k r̩ t i
kru	k r u
Krúpa	k r uː p a
Krupár	k r u p aː r
Krupica	k r u p i t͡s a
krupica	k r u p i t͡s a
Kružliak	k r u ʒ ʎ ɪ̯ a k
krúžok	k r uː ʒ ɔ k
krv	k r̩ v
krvácať	k r̩ v aː t͡s a c
krvavnica	k r̩ v a v ɲ i t͡s a
krvi	k r̩ v i
krvou	k r̩ v ɔ u̯
kry	k r i
kryha	k r i ɦ a
Krym	k r i m
krypta	k r i p t a
kryptón	k r i p t ɔː n
kryptonym	k r i p t ɔ n i m
kryť	k r i c
ksicht	k s i x t
ksichtu	k s i x t u
kto	k t o̞
ktorý	k t ɔ r iː
ktosi	k t ɔ s i
kuba	k u b a
Kuba	k u b a
Kubala	k u b a l a
Kubán	k u b aː n
Kubáň	k u b aː ɲ
Kubánec	k u b aː ɲ e t͡s
Kubanka	k u b a n k a
Kubas	k u b a s
Kubaš	k u b a ʃ
Kubát	k u b aː t
Kubeš	k u b e ʃ
Kubica	k u b i t͡s a
Kubiček	k u b i t͡ʃ e k
Kubíček	k u b iː t͡ʃ e k
Kubík	k u b iː k
Kubis	k u b i s
Kubka	k u p k a
Kubo	k u b ɔ
Kubov	k u b ɔ v
Kubovič	k u b ɔ v i t͡ʃ
Kubus	k u b u s
Kučera	k u t͡ʃ e r a
kučera	k u t͡ʃ e r a
kučeravejší	k u t͡ʃ e r a v e j ʃ iː
kučeravý	k u t͡ʃ e r a v iː
Kučeravý	k u t͡ʃ e r a v iː
kuchár	k u x aː r
Kuchár	k u x aː r
kuchárka	k u x aː r k a
kuchársky	k u x aː r s k i
Kuchta	k u x t a
kuchyňa	k u x i ɲ a
Kucka	k u t͡s k a
Kučma	k u t͡ʃ m a
kúdeľ	k uː ɟ e ʎ
kúdeľa	k uː ɟ e ʎ a
Kúdeľa	k uː ɟ e ʎ a
Kudernáč	k u ɟ e r n aː t͡ʃ
kudla	k u d l a
kudľa	k u d ʎ a
kudu	k u d u
kufrík	k u v r iː k
Kukan	k u k a n
kúkoľ	k uː k ɔ ʎ
Kúkoľ	k uː k ɔ ʎ
Kukola	k u k ɔ l a
kukučka	k u k u t͡ʃ k a
kukulienka	k u k u l i̯ ɛ ŋ k a
kukurica	k u k u r i t͡s a
kúľ	k uː ʎ
kuľa	k u ʎ a
kuľami	k u ʎ a m i
kule	k u ʎ e
kuli	k u l i
kuli	k u ʎ i
kulí	k u ʎ iː
Kulič	k u ʎ i t͡ʃ
Kulich	k u ʎ i x
Kulík	k u ʎ iː k
Kulla	k u lː a
kuľou	k u ʎ ɔ v
kultivovaný	k u l t i v ɔ v a n iː
kulturistika	k u l t u r i s t i k a
kuľu	k u ʎ u
kumšt	k u m ʃ t
kumyčtina	k u m i t͡ʃ c i n a
kuna	k u n a
Kuna	k u n a
kunca	k u n t͡s a
kunce	k u n t͡s e
kunda	k u n d a
Kunda	k u n d a
Kundek	k u n d e k
kundu	k u n d u
kunec	k u ɲ e t͡s
kuní	k u ɲ iː
kuniek	k u ɲ ɪ̯ e k
Kuník	k u ɲ iː k
kunka	k u n k a
kunke	k u n k e
kunku	k u n k u
kunky	k u n k i
Kunt	k u n t
kunu	k u n u
kúpa	k uː p a
kupca	k u p t͡s a
kupci	k u p t͡s i
kupčia	k u p t͡ʃ ɪ̯ a
kupčiť	k u p t͡ʃ i c
kupec	k u p e t͡s
Kupec	k u p e t͡s
kupecký	k u p e t͡s k iː
kúpeľ	k uː p e ʎ
kúpeľníčka	k uː p e ʎ ɲ iː t͡ʃ k a
kúpeľníčkou	k uː p e ʎ ɲ iː t͡ʃ k ɔ v
kúpeľníčky	k uː p e ʎ ɲ iː t͡ʃ k i
kúpeľníčok	k uː p e ʎ ɲ iː t͡ʃ ɔ k
kúpené	k uː p e n eː
kúpený	k uː p e n iː
kúpiac	k uː p ɪ̯ a t͡s
kúpiť	k uː p i c
Kupka	k u p k a
kupola	k u p ɔ l a
kupoval	k u p ɔ v a l
kupovala	k u p ɔ v a l a
kupovali	k u p ɔ v a ʎ i
kupovanie	k u p ɔ v a ɲ ɪ̯ e
kupovaný	k u p ɔ v a n iː
kupovať	k u p ɔ v a c
kupuj	k u p u j
kupuje	k u p u j e
kupujem	k u p u j e m
kupujeme	k u p u j e m e
kupuješ	k u p u j e ʃ
kupujete	k u p u j e c e
kupujte	k u p u j c e
kupujú	k u p u j uː
kupujúci	k u p u j uː t͡s i
kupujúcich	k u p u j uː t͡s i x
Kúr	k uː r
kura	k u r a
Kúra	k uː r a
kurča	k u r t͡ʃ a
Kurdistan	k u r d i s t a n
Kurej	k u r e j
Kurejko	k u r e j k ɔ
kurence	k u r ɛ n t͡s ɛ
Kurtiš	k u r c i ʃ
kuru	k u r u
Kuruc	k u r u t͡s
kurva	k u r v a
kurzor	k u r z ɔ r
kus	k u s
kusa	k u s a
kuša	k u ʃ a
Kušmírek	k u ʃ m iː r e k
Kušnier	k u ʃ ɲ ɪ̯ e r
kusový	k u s ɔ v iː
Kusý	k u s iː
kutáč	k u t aː t͡ʃ
Kuťka	k u c k a
Kútny	k uː t n i
Kúty	k uː t i
Kuvajt	k u v a j t
kuvikať	k u v i k a c
Kužma	k u ʒ m a
kvadrienále	k v a d r i e n aː l e
kvadriénium	k v a d r i eː n i u m
kvadruparéza	k v a d r u p a r eː z a
kvadruplégia	k v a d r u p l eː ɡ i a
kvaka	k v a k a
Kvaka	k v a k a
kvalifikácia	k v a l i f i k aː t͡s i a
kvapeľ	k v a p e ʎ
kvapka	k v a p k a
kvapôčka	k v a p u̯ ɔ t͡ʃ k a
kvarc	k v a r t͡s
Kvarda	k v a r d a
kvark	k v a r k
kvas	k v a s
kvase	k v a s e
kvasnica	k v a s ɲ i t͡s a
kvasnice	k v a s ɲ i t͡s e
kvasom	k v a s ɔ m
kvasu	k v a s u
kvaternión	k v a t e r n i ɔː n
kvet	k v e t
kvete	k v e c e
kvetina	k v e c i n a
kvetináč	k v e c i n aː t͡ʃ
kvetinárstiev	k v e c i n aː r s c ɪ̯ e v
kvetinárstva	k v e c i n aː r s t v a
kvetinárstvo	k v e c i n aː r s t v ɔ
Kvetoslav	k v e t ɔ s l a v
Kvetoslava	k v e t ɔ s l a v a
kvetový	k v e t ɔ v iː
kvetu	k v e t u
kvety	k v e t i
kvíčala	k v iː t͡ʃ a l a
Kvietok	k v ɪ̯ e t ɔ k
kvisling	k v i s l i n k
kvislinga	k v i s ʎ i n ɡ a
kvislingovia	k v i s l i n ɡ ɔ v ɪ̯ a
kvôli	k v u̯ ɔ ʎ i
kvotácia	k v ɔ t aː t͡s i a
kýchať	k iː x a c
kýchnuť	k iː x n u c
Kyjanica	k i j a ɲ i t͡s a
Kyjev	k i j ɛ u̯
Kyklady	k i k l a d i
kýl	k iː l
kýlový	k iː l ɔ v iː
kýlu	k iː l u
kým	k iː m
kynizmus	k i n i z m u s
kýpeť	k iː p e c
kyseľ	k i s e ʎ
kyselina	k i s e ʎ i n a
kysličník	k i s l i t͡ʃ ɲ iː k
kyslík	k i s l iː k
kyslíka	k i s ʎ iː k a
kyslíkom	k i s ʎ iː k ɔ m
kyslý	k i s l iː
Kysuca	k i s u t͡s a
Kysuckonovomešťan	k i s u t͡s k ɔ n ɔ v ɔ m e ʃ c a n
Kysuckonovomešťanka	k i s u t͡s k ɔ n ɔ v ɔ m e ʃ c a n k a
kysuckonovomestský	k i s u t͡s k ɔ n ɔ v ɔ m e s k iː
l	l̩
ĺ	ɫ̩ː
Ĺ	ɫ̩ː
ľ	ʎ
Ľ	ʎ
Lábaj	l aː b a j
Labant	l a b a n t
Labaš	l a b a ʃ
Labaško	l a b a ʃ k ɔ
Labe	l a b e
laboratórium	l a b ɔ r a t ɔː r i u m
Laborec	l a b ɔ r e t͡s
Labuda	l a b u d a
Labus	l a b u s
labuť	l a b u c
labuti	l a b u c i
labutí	ɫ a b u c iː
Laca	l a t͡s a
Ľach	ʎ a x
Lacho	l a x ɔ
Lacko	l a t͡s k ɔ
Lackovič	l a t͡s k ɔ v i t͡ʃ
Lačný	l a t͡ʃ n iː
Laco	l a t͡s ɔ
ľad	ʎ a t
ľade	ʎ a ɟ e
Ladislav	l a ɟ i s l a v
Ladislava	l a ɟ i s l a v a
ľadnička	ʎ a d ɲ i t͡ʃ k a
ľadoborca	ʎ a d ɔ b ɔ r t͡s a
ľadoborce	ʎ a d ɔ b ɔ r t͡s e
ľadoborec	ʎ a d ɔ b ɔ r e t͡s
ľadom	ʎ a d ɔ m
ľadovca	ʎ a d ɔ v t͡s a
ľadovec	ʎ a d ɔ v e t͡s
ľadu	ʎ a d u
ľadvina	ʎ a d v i n a
Láhaur	l aː ɦ a u r
ľahkomyseľnosť	ʎ a x k ɔ m i s e ʎ n ɔ s c
ľahkosť	ʎ a x k ɔ s c
ľahký	ʎ a x k iː
Ľahký	ʎ a x k iː
ľahostajný	ʎ a ɦ ɔ s t a j n iː
ľahší	ʎ a x ʃ iː
lajblík	l a j b ʎ iː k
Lajčák	l a j t͡ʃ aː k
Lajčiak	l a j t͡ʃ ɪ̯ a k
Lajmon	l a j m ɔ n
lajno	l a j n ɔ
Lakatos	l a k a t ɔ ʃ
lakeť	l a k e c
Lakota	l a k ɔ t a
lakota	l a k ɔ t a
lakovňa	l a k ɔ v ɲ a
Lakšárskonovovešťan	l a k ʃ aː r s k ɔ n ɔ v ɔ v e ʃ c a n
Lakšárskonovovešťanka	l a k ʃ aː r s k ɔ n ɔ v ɔ v e ʃ c a n k a
lakťa	l a k c a
lakťami	l a k c a m i
lakte	l a k c e
lakti	l a k c i
lakťoch	l a k c ɔ x
lakťom	l a k c ɔ m
lakťov	l a k c ɔ v
lakťu	l a k c u
Lalik	l a ʎ i k
Laliková	l a ʎ i k ɔ v aː
Lalinský	l a ʎ i n s k iː
ľaľo	ʎ a ʎ ɔ
lalot	l a l ɔ t
lalotu	l a l ɔ t u
lama	l a m a
láma	l aː m a
lámal	l aː m a l
lámala	l aː m a l a
lámať	l aː m a c
láme	l aː m e
lamí	ɫ a m iː
lámka	l aː m k a
lámkový	l aː m k ɔ v iː
lámp	l aː m p
lampa	l a m p a
lampôčka	l a m p u̯ ɔ t͡ʃ k a
lampôčok	l a m p u̯ ɔ t͡ʃ ɔ k
lampou	l a m p ɔ v
lampový	l a m p ɔ v iː
lampu	l a m p u
lampy	l a m p i
lámu	l aː m u
laň	l a ɲ
ľan	ʎ a n
Lančarič	l a n t͡ʃ a r i t͡ʃ
Landa	l a n d a
landgróf	l a n d ɡ r ɔː f
landgrófa	l a n d ɡ r ɔː f a
landgrófsky	l a n d ɡ r ɔː f s k i
ľane	ʎ a ɲ e
langoš	l a n ɡ ɔ ʃ
Langoš	l a n ɡ ɔ ʃ
langoša	l a n ɡ ɔ ʃ a
langue	l aː n k
lanka	l a n k a
lano	ɫ a n ɔ
ľanom	ʎ a n ɔ m
lanský	l a n s k iː
lantán	ɫ a n t aː n
ľanu	ʎ a n u
lanýž	l a n iː ʃ
Laos	l a ɔ s
lapaj	l a p a j
lapajka	l a p a j k a
Lapihuska	l a p i ɦ u s k a
lapka	l a p k a
Lapka	l a p k a
lapončina	l a p ɔ n t͡ʃ i n a
Lapšanský	l a p ʃ a n s k iː
Laš	l a ʃ
laška	l a ʃ k a
láska	l aː s k a
láskavejší	l aː s k a v e j ʃ iː
láskavý	l aː s k a v iː
Lašsko	l a ʃ s k ɔ
lastovica	l a s t ɔ v i t͡s a
lastovíča	l a s t ɔ v iː t͡ʃ a
lastovičí	l a s t ɔ v i t͡ʃ iː
lastovička	l a s t ɔ v i t͡ʃ k a
lastúrničiar	l a s t uː r ɲ i t͡ʃ ɪ̯ a r
lastúrnik	l a s t uː r ɲ i k
látka	l aː t k a
latrína	l a t r iː n a
Laučík	l a u t͡ʃ iː k
Laura	ɫ a u̯ r a
láva	l aː v a
ľavá	ʎ a v aː
ľavačiek	ʎ a v a t͡ʃ ɪ̯ e k
ľavačka	ʎ a v a t͡ʃ k a
ľavé	ʎ a v eː
ľaví	ʎ a v iː
lavíc	l a v iː t͡s
lavica	l a v i t͡s a
ľavica	ʎ a v i t͡s a
lavice	l a v i t͡s e
lavici	l a v i t͡s i
lavička	l a v i t͡ʃ k a
lavicu	l a v i t͡s u
lavína	l a v iː n a
lávka	l aː v k a
ľavom	ʎ a v ɔ m
ľavou	ʎ a v ɔ v
lávový	l aː v ɔ v iː
ľavú	ʎ a v uː
ľavý	ʎ a v iː
lawrencium	ɫ a u̯ r ɛ n t͡s ɪ j ʊ m
layout	l e j a u t
laz	l a s
laze	l a z e
lazík	l a z iː k
lazmi	l a z m i
lazoch	l a z ɔ x
lázok	l aː z ɔ k
lazom	l a z ɔ m
lážoplážo	l aː ʒ ɔ p l aː ʒ ɔ
Lazor	l a z ɔ r
lazov	l a z ɔ v
lazu	l a z u
lazy	l a z i
Lea	ʎ e a
lebka	ʎ e p k a
lebo	l ɛ b ɔ
lechický	l ɛ x i t͡s k iː
lečo	l ɛ t͡ʃ ɔ
Ledecká	ʎ e ɟ e t͡s k aː
Ledecký	ʎ e ɟ e t͡s k iː
legalizácia	l e ɡ a l i z aː t͡s i a
legalizovať	ʎ e ɡ a ʎ i z ɔ v a c
legálny	ʎ e ɡ aː l n i
Legemza	ʎ e ɡ e m z a
Legény	ʎ e ɡ eː n i
légia	l eː ɡ i a
legislatúra	ʎ e ɡ i s l a t uː r a
lehota	ʎ e ɦ ɔ t a
Lei	l ɛ i
Leitner	ʎ e i t ɲ e r
lekár	ʎ e k aː r
lekárka	ʎ e k aː r k a
lekárnik	ʎ e k aː r ɲ i k
lekársky	ʎ e k aː r s k i
lekcia	l e k t͡s i a
lekno	ʎ e k n ɔ
lekorica	ʎ e k ɔ r i t͡s a
lelek	ʎ e ʎ e k
Lelko	ʎ e l k ɔ
lemeš	ʎ e m e ʃ
Lemeš	ʎ e m e ʃ
lemeša	ʎ e m e ʃ a
len	l e n
lénam	l eː n a m
léne	l eː ɲ e
Leng	ʎ e n k
lengať	ʎ e n ɡ a c
Lengvarský	ʎ e n ɡ v a r s k iː
Lengyel	l e n ɟ e l
leninizmus	ʎ e ɲ i n i z m u s
lenivý	ʎ e ɲ i v iː
Lenka	ʎ e n k a
Leňo	ʎ e ɲ ɔ
léno	l eː n ɔ
lénom	l eː n ɔ m
lenže	l ɛ n ʒ ɛ
Leo	ʎ e ɔ
Leonard	l ɛ ɔ n a r d
Leopold	l ɛ ɔ p ɔ l d
Leou	l ɛ ɔ u̯
lepidlo	ʎ e p i d l ɔ
lepiť	ʎ e p i c
lepká	ʎ e p k aː
lepké	ʎ e p k eː
lepkí	ʎ e p k iː
lepkom	ʎ e p k ɔ m
lepkou	ʎ e p k ɔ v
lepkú	ʎ e p k uː
lepký	ʎ e p k iː
lepšejší	l e p ʃ e j ʃ iː
lepší	ʎ e p ʃ iː
Lepšík	ʎ e p ʃ iː k
leptón	l e p t ɔː n
les	ʎ e s
Lesana	ʎ e s a n a
lesbička	l e z b i t͡ʃ k a
lesbický	l ɛ z b i t͡s k iː
Leška	ʎ e ʃ k a
Leško	ʎ e ʃ k ɔ
Leskovjanský	ʎ e s k ɔ v j a n s k iː
Lesník	ʎ e s ɲ iː k
Lesný	ʎ e s n iː
Lesotho	l e s ɔ t ɔ
lesť	ʎ e s c
leták	ʎ e t aː k
Letanovský	ʎ e t a n ɔ v s k iː
letieť	ʎ e c ɪ̯ e c
letisko	ʎ e c i s k ɔ
letíšť	ʎ e c iː ʃ c
letišťa	ʎ e c i ʃ c a
letišťami	ʎ e c i ʃ c a m i
letište	ʎ e c i ʃ c e
letišti	ʎ e c i ʃ c i
letištia	ʎ e c i ʃ c ɪ̯ a
letištiach	ʎ e c i ʃ c ɪ̯ a x
letištiam	ʎ e c i ʃ c ɪ̯ a m
letišťom	ʎ e c i ʃ c ɔ m
letišťu	ʎ e c i ʃ c u
Letko	ʎ e t k ɔ
leťme	ʎ e c m e
letný	ʎ e t n iː
leto	ʎ e t ɔ
letopočet	ʎ e t ɔ p ɔ t͡ʃ e t
letovisko	ʎ e t ɔ v i s k ɔ
leu	l ɛ u̯
Leu	l ɛ u
lev	ʎ e v
Lévai	l eː v a i
Levčík	ʎ e v t͡ʃ iː k
levej	ʎ e v e j
leveller	l e v e l e r
leví	ʎ e v iː
levia	ʎ e v ɪ̯ a
levica	ʎ e v i t͡s a
levíča	ʎ e v iː t͡ʃ a
Levice	ʎ e v i t͡s e
levích	ʎ e v iː x
levický	ʎ e v i t͡s k iː
Levický	ʎ e v i t͡s k iː
levie	ʎ e v ɪ̯ e
levím	ʎ e v iː m
Levitikus	l ɛ v i t i k u s
levom	ʎ e v ɔ m
Levoslav	l ɛ v ɔ s ɫ a u̯
levou	ʎ e v ɔ v
lexikálny	l ɛ k s i k aː l n i
lexikón	l e k s i k ɔː n
Ley	l ɛ i
ležadiel	ʎ e ʒ a ɟ ɪ̯ e l
ležadla	ʎ e ʒ a d l a
ležadlo	ʎ e ʒ a d l ɔ
ležadlový	ʎ e ʒ a d l ɔ v iː
Ležák	ʎ e ʒ aː k
lézia	l eː z i a
lézie	l eː z i e
lézií	l eː z i iː
Lezo	ʎ e z ɔ
liahnisk	ʎ ɪ̯ a ɦ ɲ i s k
liahniska	ʎ ɪ̯ a ɦ ɲ i s k a
liahniská	ʎ ɪ̯ a ɦ ɲ i s k aː
liahnisko	ʎ ɪ̯ a ɦ ɲ i s k ɔ
Liana	l i a n a
Liba	ʎ i b a
Libanon	ʎ i b a n ɔ n
liberalizmu	l i b e r a l i z m u
Libéria	l i b eː r i a
libido	ʎ i b i d ɔ
libretista	l i b r e t i s t a
libretistka	ʎ i b r e c i s t k a
Libreville	l i b r e v i l
Libuša	ʎ i b u ʃ a
Ličák	ʎ i t͡ʃ aː k
líce	ʎ iː t͡s e
Lichtenštajnsko	ʎ i x c e n ʃ t a j n s k ɔ
lichva	ʎ i x v a
Lichý	ʎ i x iː
líder	l iː d e r
líderský	ʎ iː ɟ e r s k iː
lídra	l iː d r a
lídrami	l iː d r a m i
lídri	l iː d r i
lídroch	l iː d r ɔ x
lídrom	l iː d r ɔ m
lídrov	l iː d r ɔ u̯
lídrovi	l iː d r ɔ v i
lieň	ʎ ɪ̯ e ɲ
liena	ʎ ɪ̯ e n a
lieňa	ʎ ɪ̯ e ɲ a
liene	ʎ ɪ̯ e ɲ e
liení	ʎ ɪ̯ e ɲ iː
lienka	ʎ ɪ̯ e n k a
lienke	ʎ ɪ̯ e n k e
lieno	ʎ ɪ̯ e n ɔ
lieňom	ʎ ɪ̯ e ɲ ɔ m
lienu	ʎ ɪ̯ e n u
lieska	ʎ ɪ̯ e s k a
lieskový	ʎ ɪ̯ e s k ɔ v iː
lieta	ʎ ɪ̯ e t a
lietadlo	l i̯ ɛ t a d ɫ ɔ
lietajú	ʎ ɪ̯ e t a j uː
lietajúc	ʎ ɪ̯ e t a j uː t͡s
lietal	ʎ ɪ̯ e t a l
lietala	ʎ ɪ̯ e t a l a
lietali	ʎ ɪ̯ e t a ʎ i
lietam	ʎ ɪ̯ e t a m
lietame	ʎ ɪ̯ e t a m e
lietanie	ʎ ɪ̯ e t a ɲ ɪ̯ e
lietaš	ʎ ɪ̯ e t a ʃ
lietať	ʎ ɪ̯ e t a c
lietate	ʎ ɪ̯ e t a c e
lievik	ʎ ɪ̯ e v i k
lift	l i f t
ligotať	ʎ i ɡ ɔ t a c
ligurček	ʎ i ɡ u r t͡ʃ e k
liknavý	l i k n a v iː
Lima	ʎ i m a
limetkový	ʎ i m e t k ɔ v iː
limuzína	ʎ i m u z iː n a
Linda	ʎ i n d a
linoleum	ʎ i n ɔ ʎ e u m
líp	ʎ iː p
lipa	ʎ i p a
Lipčák	ʎ i p t͡ʃ aː k
Lipiansky	ʎ i p ɪ̯ a n s k i
lipiek	ʎ i p ɪ̯ e k
Lipka	ʎ i p k a
lipka	ʎ i p k a
lipká	ʎ i p k aː
lipke	ʎ i p k e
lipké	ʎ i p k eː
lipkí	ʎ i p k iː
lipkom	ʎ i p k ɔ m
lipkou	ʎ i p k ɔ v
lipku	ʎ i p k u
lipkú	ʎ i p k uː
lipky	ʎ i p k i
lipký	ʎ i p k iː
lipovec	ʎ i p ɔ v e t͡s
lipovina	ʎ i p ɔ v i n a
lipový	ʎ i p ɔ v iː
Lipšic	ʎ i p ʃ i t͡s
Lipsko	ʎ i p s k ɔ
Lipták	ʎ i p t aː k
Lisabon	ʎ i s a b ɔ n
lišiackejší	ʎ i ʃ ɪ̯ a t͡s k e j ʃ iː
lišiacky	ʎ i ʃ ɪ̯ a t͡s k i
Liška	ʎ i ʃ k a
líška	ʎ iː ʃ k a
Líška	ʎ iː ʃ k a
líškach	ʎ iː ʃ k a x
líškam	ʎ iː ʃ k a m
líškami	ʎ iː ʃ k a m i
líškou	ʎ iː ʃ k ɔ v
líšku	ʎ iː ʃ k u
líšky	ʎ iː ʃ k i
líšok	ʎ iː ʃ ɔ k
Lisoň	ʎ i s ɔ ɲ
list	ʎ i s t
lista	l i s t a
listami	l i s t a m i
liste	l i s c ɛ
líštička	ʎ iː ʃ c i t͡ʃ k a
listoch	l i s t ɔ x
lístok	ʎ iː s t ɔ k
listom	l i s t ɔ m
listov	l i s t ɔ u̯
listu	l i s t u
Litava	l i t a v a
Litavec	ʎ i t a v e t͡s
liter	l i t e r
literatúra	l i t e r a t uː r a
lítium	l iː t i u m
Litovčan	ʎ i t ɔ v t͡ʃ a n
Litovčanka	ʎ i t ɔ v t͡ʃ a n k a
litovčina	ʎ i t ɔ v t͡ʃ i n a
litrový	ʎ i t r ɔ v iː
Litva	ʎ i t v a
Liva	l i v a
livermórium	l i v ɛ r m ɔ r ɪ j ʊ m
Lívia	l iː v i a
livrej	ʎ i v r e j
livrejach	ʎ i v r e j a x
livrejam	ʎ i v r e j a m
livrejami	ʎ i v r e j a m i
livreje	ʎ i v r e j e
livreji	ʎ i v r e j i
livrejí	ʎ i v r e j iː
livrejou	ʎ i v r e j ɔ v
livrejový	ʎ i v r e j ɔ v iː
Lobotka	l ɔ b ɔ t k a
loď	ɫ ɔ c
Lodž	ɫ ɔ d͡ʒ
logik	l ɔ ɡ i k
logika	ɫ ɔ ɡ i k a
logonymum	l ɔ ɡ ɔ n i m u m
Lohyňa	l ɔ ɦ i ɲ a
Loj	l ɔ j
Loja	l ɔ j a
lojalita	l ɔ j a ʎ i t a
lojálnejší	l ɔ j aː l ɲ e j ʃ iː
lojálnosť	l ɔ j aː l n ɔ s c
lojálny	l ɔ j aː l n i
lokatív	l ɔ k a t iː v
lokomotíva	l ɔ k ɔ m ɔ t iː v a
Lokša	l ɔ k ʃ a
Ľoľo	ʎ ɔ ʎ ɔ
lôn	l u̯ ɔ n
lona	l ɔ n a
loná	l ɔ n aː
lonách	l ɔ n aː x
lonám	l ɔ n aː m
lonami	l ɔ n a m i
Londýn	l ɔ n d iː n
lone	l ɔ ɲ e
lono	l ɔ n ɔ
lonom	l ɔ n ɔ m
lonu	l ɔ n u
Lopanič	l ɔ p a ɲ i t͡ʃ
Lopašovský	l ɔ p a ʃ ɔ v s k iː
lopata	l ɔ p a t a
lôpt	l u̯ ɔ p t
lopta	l ɔ p t a
lopty	l ɔ p t i
Lopušný	l ɔ p u ʃ n iː
Lorenc	l ɔ r e n t͡s
loška	l ɔ ʃ k a
losos	l ɔ s ɔ s
lososí	l ɔ s ɔ s iː
lososový	l ɔ s ɔ s ɔ v iː
Lotyšsko	l ɔ t i ʃ s k ɔ
lotyšský	l ɔ t i ʃ s k iː
lotyština	l ɔ t i ʃ c i n a
Louisiana	l u i z i aː n a
lov	l ɔ v
Lovás	l ɔ v aː s
Lovásik	l ɔ v aː s i k
lóve	ɫ ɔː v ɛ
Lovich	l ɔ v i x
Lovíšek	l ɔ v iː ʃ e k
Loviška	l ɔ v i ʃ k a
