Амыщ	aː m ə ɕ
егьапӏэ	j a ɡʲ aː pʼ a
егьэн	j a ɡʲ a n
еджакӏо	j a d͡ʒ aː kʷʼ a
еджапӏэ	j a d͡ʒ aː pʼ a
еджыджэхын	j a d͡ʒ ə d͡ʒ a n
еджэжьын	d͡ʒ a ʑ ə n
еджэн	j a d͡ʒ a n
еджэнджэшын	j a d͡ʒ a n d͡ʒ a n ʃ ə n
едзын	j a d͡ʒ ə n
едэхэшӏэн	j a d a x a ʃʼ a n
едэӏун	j a d a ʔʷ ə n
ежь	j a ʑ
ежьапӏэ	j a ʑ aː pʼ a
ежьашъо	j a ʑ aː ʂʷ a
ежьхэ	j a ʑ x a
ежьэжьын	j a ʑ a ʑ ə n
ежьэн	j a ʑ a n
ежэн	j a ʒ a n
езбырэу	j a z b ə r a w
езбэрэу	j a z b a r a w
езэгъын	j a z a ʁ ə n
езэон	j a z a w a n
езэщын	j a z a ʃ ə n
еин	j a j ə n
екъудыин	qʷ ə d ə j ə n
екӏолӏэн	j a kʷʼ a ɬʼ a n
екӏошъэн	j a kʷʼ a ʂ a n
екӏун	j a kʷʼ ə n
екӏэхын	j a t͡ʃʼ a x ə m
елбэтэу	j a ɮ b a t a w
елъэпэон	j a ɬ a p a w a n
елэн	j a l a n
емын	j a m ə n
емынэ	j a m ə n a
енэгуен	j a n a ɡʷ ə j a n
енэгуй	j a n a ɡʷ ə j
енэгуягъо	j a n a ɡʷ ə j aː ʁʷ a
енэкъокъун	j a n a qʷ a qʷ a n
енэкӏьэон	j a n a kʲ a w a n
енэкӏэон	j a n a t͡ʃ a w a n
енэпэон	n a p a w a n
енэпэшъоон	j a n a p a ʃʷ a w a n
енэсӏын	j a n a sʼ ə n
енэу	j a n a w
енэцӏын	j a n a t͡sʼ ə n
еон	j a w a n
еоой	j a w a w a j
еплъын	j a p ɬ ə n
епхын	j a p x ə n
епцӏыжьын	j a p t͡sʼ ə ʑ ə n
епщэн	j p ɕ a n
епыгьын	j a p ə ɡʲ ə n
епыджын	j a p ə d͡ʒ ə n
епэсын	j a p a s ə n
епэшӏэн	j a p a ʃʼ a n
епӏэстхъын	j a pʼ a s t χ ə n
ерагъ	j a r aː ʁ
ерагъкӏэ	j a r aː ʁ t͡ʃʼ a
ерагъэу	j a r aː ʁ a w
еры	j a r ə
ерыуадж	j a r ə w aː d͡ʒ
естылӏэн	j a s t ə ɬʼ a n
есын	j a s ə n
есыпӏэ	j a s ə pʼ a
есэн	j a s a n
есэпэон	j a s a p a w a n
етхъон	j a t χʷ a n
етын	j a t ə n
етӏагъо	j a tʼ aː ʁʷ a
етӏагъу	j a tʼ aː ʁʷ
етӏанэ	j a tʼ aː n a
етӏапсӏэ	j a tʼ aː p t͡sʼ a
етӏапцӏэ	j a tʼ aː p t͡sʼ a
етӏуанэ	j a tʷʼ aː n a
етӏупщыхьахын	j a tʷʼ p ɕ ə ħ aː x ə n
етӏэрэхын	j a tʼ a r a x ə n
етӏэхъун	j a tʼ a χʷ ə n
еубзэн	j a w ə b z a n
еубын	j a w b ə n
еубэн	j a w b a n
еугъоин	j a w ə ʁʷ a j ə n
еуджэгъун	j a w d͡ʒ aː ʁʷ ə n
еузэнкӏын	j a w z a n t͡ʃ ə n
еузэпкъын	j a w z a p q ə n
еукӏорэикӏын	j a w kʷʼ a r a j ə t͡ʃʼ ə n
еукӏын	j a w ə t͡ʃʼ ə n
еун	j a w ə n
еупцӏын	j a w p t͡sʼ ə n
еупчын	j a w p t͡ʃ ə n
еутын	j a w t ə n
еутэкӏын	j a w t a t͡ʃʼ ə n
еутэкӏьын	j a w t a kʲʼ ə n
еуцолӏэн	j a w t͡ʃʷ a ɬʼ a n
ехъонын	j a χʷ a n ə n
ехъопсэн	j a χʷ a p s a n
ехъу	j a χʷ
ехъункӏын	j a χʷ ə n t͡ʃ ə n
ехъурэ	j a χʷ r a
ехъушъутэон	χʷ ə ʂʷ t a w a n
ехъырхъышэн	j a χ ə r χ ə ʃ a n
ехъырэхъышэн	j a χ ə r a χ ə ʃ a n
ехын	j a x ə
ехьагъушъугъун	j a ħ aː ʁʷ ə ʃʷ ə ʁʷ ə n
ехьыжьэн	j a ħ ə ʑ a n
ецыгъон	j a t͡s ə ʁʷ a n
ецэгъон	j a t͡s ə ʁʷ a n
ецӏэтхъун	j a t͡sʼ a t χʷ ə n
ецӏэшъутэхын	j a t͡sʼ a ʃʷ t a x ə n
ечъэжьэн	j a t͡ʂ a ʑ a n
ечъэхын	j a t͡ʂ a x ə n
ечэнджэшын	j a t͡ʃ a n d͡ʒ a ʃ ə n
ешъокӏу	j a ʂʷ a kʷʼ
ешъон	j a ʂʷ a n
ешъорый	j a ʃʷ a r ə j
ешъуакӏо	j a ʃʷʼ aː kʷʼ a
ешъугъон	j a ʃʷ ʁʷ ə n
ешъугъун	j a ʃʷ ʁʷ ə n
ешъукӏын	j a ʃʷ ə t͡ʃʼ ə n
ешъухъогъон	j a ʃʷ ə χʷ a ʁʷ a n
ешъухъугъон	j a ʃʷ χʷ ə ʁʷ a n
ешӏужьын	j a ʃʷʼ ə ʑ ə n
ешӏухъогъон	j a ʃʷʼ ə χʷ ə ʁʷ a n
ешӏэн	j a ʃʼ a n
ещэхын	j a ɕ a x ə n
еӏолӏэн	j a ʔʷ a ɬʼ a n
еӏорышӏэн	j a ʔʷ a r ʃʼ a n
еӏун	j a ʔʷ ə n
еӏункӏын	j a ʔʷ ə n t͡ʃʼ ə n
еӏункӏэн	j a ʔʷ ə n t͡ʃʼ ə n
еӏэзэн	j a ʔ a z a n
еӏэн	j a ʔ a n
жабз	ʒ a b z
жае	ʒ aː j a
жакъэ	ʒ aː q a
жакӏьэ	ʒ aː kʲ a
жакӏэ	ʒ aː t ʃʼ a
жалэ	ʒ aː l a
жантӏ	ʒ aː n tʼ
жашъу	ʒ aː ʂʷ
жашӏу	ʒ aː ʃʷʼ
жъабгъо	ʐ aː b ʁʷ a
жъагъ	ʐ aː ʁ
жъагъэ	ʐ aː ʁ a
жъажъэ	ʐ aː ʐ a
жъалым	ʐ aː l ə m
жъамэ	ʐ aː m a
жъанч	ʐ aː n t͡ʃ
жъапхъэ	ʐ aː p χ a
жъвэ	ʑ w a
жъгъырыу	ʐ ʁ ə r ə w
жъгъэй	ʐ ʁ a j
жъогъобын	ʐʷ a ʁʷ a b ə n
жъогъокӏэкӏахь	ʐʷ a ʁʷ a t͡ʃ a t͡ʃ aː ħ
жъогъоплӏэн	ʐʷ a ʁ a p ɬ a n
жъогъорыплъ	ʐʷ a ʁʷ a r ə p ɬ
жъогъофах	ʐʷ a ʁʷ a f aː x
жъогъошӏу	ʐʷ a ʁʷ a ʃʷ
жъогъу	ʐʷ a ʁʷ
жъогъуае	ʐʷ a ʁʷ aː j a
жъогъуаплъэ	ʐʷ a ʁ aː p ɬ a
жъоку	ʐʷ a kʷ
жъон	ʐʷ a n
жъонакӏу	ʐʷ a n aː kʷ
жъоныгъу	ʐʷ a n ə ʁʷ
жъоныгъуакӏ	ʐʷ a n ə ʁʷ aː t͡ʃ
жъоныгъуакӏмаз	ʒʷ a n ə ʁʷ aː t͡ʃʼ m aː z
жъоплъ	ʐʷ a p ɬ
жъопхъу	ʐʷ a p χʷ
жъоркъ	ʐʷ a r q
жъоркъы	ʒʷ a r q ə
жъот	ʐʷ a t
жъотхъу	ʐʷ a t χʷ
жъотын	ʐʷ a t ə n
жъуагъо	ʒʷ aː ʁʷ a
жъуагъэ	ʐʷ aː ʁ a
жъуаф	ʐʷ aː f
жъугъ	ʐʷ ə ʁ
жъугъэпащ	ʐʷ ə ʁ a p aː ɕ
жъугъэхэку	ʐʷ ə ʁ a x a kʷ
жъун	ʐʷ ə n
жъутхэн	m a ʒʷ ə t x a n
жъы	ʐ ə
жъыгъо	ʐ ə ʁʷ a
жъыгъуай	ʐ ə ʁʷ aː j
жъыгъэ	ʐ ə ʁ a
жъые	ʐ ə j a
жъый	ʐ ə j
жъыкъат	ʐ ə q aː t
жъын	ʐ ə n
жъыпӏэ	ʐ ə pʼ a
жъырку	ʐ ə r kʷ
жъыу	ʐ ə w
жъыуакӏо	ʐ ə w aː kʷʼ a
жъыун	ʐ ə w ə n
жъышъо	ʐ ə ʂʷ a
жъышъхьэ	ʐ ə ʂ ħ a
жъышъхьэмаф	ʐ ə ʂ ħ a m aː f
жъышъхьэмыгъу	ʐ ə ʂ ħ a m a ə ʁʷ
жъыӏо	ʐ ə ʔʷ a
жъэбэкъ	ʐ a b a q
жъэгъуай	ʐ a ʁʷ a j
жъэжъый	ʐ a ʐ ə j
жъэжъэн	ʐ a ʐ a m
жъэн	ʐ a n
жъэрым	ʐ a r ə m
жъэу	ʐ a w
жыкъузалъ	ʒ ə qʷ ə z aː ɬ
жын	ʒ ə n
жыфлъат	ʑ ə f ɬ aː t
жьао	ʑ aː w a
жьау	ʑ aː w a
жьаугъуадж	ʑ aː w ʁʷ aː d͡ʒ
жьаушӏ	ʑ aː w ʃʼ
жьы	ʑ ə
жьыбгъэ	ʑ ə b ʁ a
жьыбгъэос	ʑ ə b ʁ a w a s
жьыгъо	ʑ ə ʁʷ a
жьыгъогу	ʑ ə ʁʷ a ɡʷ
жьыгъэбыб	ʑ ə ʁ a b ə b
жьыгъэбыу	ʑ ə ʁ a b ə w
жьыгъэкъабзэ	ʑ ə ʁ a q aː b z a
жьыгъэшъуй	ʑ ə ʁ a ʂʷ ə j
жьыдзакӏо	ʑ ə d͡z aː kʷʼ a
жьыдзапӏэ	ɕ ə d͡z ə pʼ a
жьыдзэ	ʑ ə d͡z ə pʼ a
жьызалъ	ʑ ə z aː ɬ
жьызэпеу	ʑ ə z a p a j w
жьыкорен	ʑ ə kʷ a r a j n
жьыкъуз	ʑ ə qʷ ə z
жьыкъухь	ʑ ə qʷ ə ħ
жьыкъыдэгъэкӏын	ʑ ə q ə d a ʁ a t͡ʃ ə n
жьыкъэщэн	ʑ ə q a ɕ a n
жьыкъэщэуз	ʑ ə q a ɕ a w z
жьын	ʑ ə n
жьынэӏу	ʑ ə n a ʔʷ
жьыпэ	ʑ ə p a
жьырытэдж	ʑ ə r ə t a d͡ʒ
жьыуай	ʑ ə w aː j
жьыуапӏэ	ʑ ə w aː pʼ a
жьыуз	ʑ ə w z
жьыф	ʑ ə f
жьыхъырз	ʑ ə χ ə r z
жьыхьарз	ʑ ə ħ aː r z
жьышъаб	ʑ ə ʂ aː b
жьышъхьал	ʑ ə ʂ ħ aː l
жьыщэ	ʑ ə ɕ a
жьыӏо	ʑ ə ʔʷ a
жьыӏэшӏу	ʑ ə ʔ a ʃʷʼ
жьэжьын	j a ʑ a ʑ ə n
жьэн	ʑ a n
жьэу	ʑ a w
жэ	ʒ a
жэгъу	ʒ a ʁʷ
жэгъуб	ʒ a ʁʷ ə b
жэгъуулал	ʒ a ʁʷ ə w l aː l
жэдэзын	ʒ a d a z ə n
жэдэкон	ʒ a d a kʷ a n
жэдэкӏэн	ʒ a d a t͡ʃ a n
жэдэлъхьажьын	ʒ a d a ɬ ħ aː ʑ ə n
жэдэлъын	ʒ a d a x ə n
жэдэон	ʒ a d a w a n
жэдэплъыхьан	ʒ a d a p ɬ ə ħ aː n
жэдэтэкъон	ʒ a d a z ə n
жэдэфэн	ʒ a d a f a n
жэкъун	ʒ a qʷ ə n
жэкӏагъу	ʒ a t͡ʃ aː ʁʷ
жэкӏапэ	ʒ a t ʃʼ aː p a
жэкӏьапэ	ʒ a kʲʼ aː p a
жэкӏэпэпкъ	ʒ a t ʃʼ a p a p q
жэкӏэпэсыс	ʒ a t͡ʃ a p a s ə s
жэкӏэупс	ʒ a t͡ʃ a w p s
жэкӏэупсыпӏ	ʒ a t͡ʃ a w p s ə pʼ
жэкӏэф	ʒ a t͡ʃ a f
жэлъакӏу	ʒ a ɬ aː kʷʼ
жэлый	ʒ a l ə j
жэмай	ʒ a m aː j
жэмачыу	ʒ a m aː t͡ʃ ə w
жэмыӏан	ʒ a m ə ʔ aː n
жэпкъ	ʒ a p q
жэпхъэмыбгъу	ʒ a p χ a m ə b ʁʷ
жэрыплъ	ʒ a r ə p ɬ
жэрыплъагъ	ʒ a r ə p ɬ aː ʁ
жэрыӏу	ʒ a r ə ʔʷ
жэрыӏуабз	ʒ a r ə ʔʷ aː b z
жэукъ	ʒ a w q
жэукъыгъ	ʒ a w q ə ʁ
жэхъу	ʒ a χʷ
жэхъуагъ	ʒ a χʷ aː ʁ
жэхэбэнэн	ʒ a x a b a n ə n
жэхэзыхьан	ʒ a x a z ə ħ aː n
жэхэкӏотэн	ʒ a x a kʷʼ a t a n
жэхэкӏоцэн	ʒ a x a kʷʼ a t͡s a n
жэхэлъэдэн	ʒ a x a ɬ a d a n
жэхэон	ʒ a x a w a n
жэхэпкӏэн	ʒ a x a p kʲ a n
жэхэплъэн	ʒ a x a p ɬ a n
жэхэпхъэнкӏэн	ʒ a x a p χ a n t͡ʃ a n
жэхэтхъон	ʒ a x a t χʷ a n
жэхэупцӏэн	ʒ a x a w p t͡sʼ a n
жэхэхьан	ʒ a x a ħ a n
жэӏонтӏагъ	ʒ a ʔʷ a n tʼ aː ʁ
жэӏулэл	ʒ a ʔʷ ə l a l
жэӏулэлыгъ	ʒ a ʔʷ ə l a l ə ʁ
загъорэ	z aː ʁʷ a r a
закъу	z aː qʷ
закӏэ	z aː t͡ʃʼ a
зандэ	z aː n d a
занкӏэ	z aː n t͡ʃ a
занкӏэу	z aː n t͡ʃ a w
зао	z aː w a
зары	z aː r ə
заулэ	z aː w l a
зафэ	z aː f a
згъэшъхъын	z ʁ a ʂ χ ə n
зегъэуджэгъун	z a j ə ʁ a w d͡ʒ a ʁʷ ə n
зегъэун	j a ʁ a w ə n
зегъэхьын	z a j ʁ a ħ ə n
зегъэшъукӏын	z a j ʁ a ʃʷ ə t͡ʃʼ ə n
зегъэшӏужьын	z a j ʁ a ʃʷʼ ə ʑ ə n
зекӏо	z a j kʷʼ a
зетын	z a j t ə n
зешъокӏыжьын	z a j ʃʷ a t͡ʃʼ ə ʑ ə n
зи	z ə j
зифэпэжьыгъ	z ə j f a p a ʑ ə ʁ
зиӏ	z ə j ʔ
зтэгъэкӏэн	z t a ʁ a t͡ʃ a n
зупсын	z ə w ə p s ə n
зфэӏон	z f a ʔʷ a n
зы	z ə
зыб	z ə b
зыгокӏэ	z ə ɡʷ a r a t͡ʃʼ a
зыгъэгусэн	z ə ʁ ə ɡʷ ə s a n
зыгъэнэджэн	z ə ʁ a n a d͡ʒ a n
зыгъэпкӏын	z ʁ a p s t͡ʃʼ ə n
зыгъэпскӏын	z ʁ a p s t͡ʃʼ ə n
зыгъэпсыкӏын	z ʁ a p s t͡ʃʼ ə n
зыгъэпсыкӏьын	z ʁ a p s kʲ ə n
зыгъэпсэфын	z ə ʁ a p s a f ə n
зыгъэсамбырын	z ə ʁ a s aː m b ə r ə n
зыгъэухьазырын	ħ aː z ə r ə n
зыгъэшхэкӏын	z ə ʁ a ʃ x a t͡ʃʼ ə n
зыкъэшӏэжьын	z ə q a ʃʼ a ʑ ə n
зылӏэжьын	z aː ɬʼ a ʑ ə n
зыохьын	z ə w a ħ ə n
зыпари	z ə p aː r ə j
зыплъыхьан	z ə p ɬ ə ħ aː n
зыплъыхьапӏэ	z ə p ɬ ə ħ aː pʼ a
зыплъыхьын	z ə p ɬ ə ħ ə n
зыпэгъотхьажьын	z ə p a ʁʷ a t ħ a ʑ ə n
зыпэгъутхьажьын	z ə p a ʁʷ a t ħ a ʑ ə n
зыпэгъэплъэн	z ə p a ʁ a p ɬ a n
зыпэшӏыжьын	z ə p a ʃʼ ə ʑ ə n
зытегъэкӏэн	z ə t a j ʁ a t͡ʃʼ a n
зыушъэфын	z a w ə ʂ a f ə n
зыуӏэшын	z ə w ʔ a ʃ ə n
зыфэгъэгусэн	z ə f a ʁ a ɡʷ ə s a n
зыфэгъэсакъын	z ə f a ʁ a s aː q ə n
зыфэгъэсэн	z ə f a ʁ a s a n
зыци	z ə t͡s ə j
зыцый	z ə t͡s ə j
зышъутыпцӏын	z ə ʃʷ ə t ə p sʼ ə n
зышӏоу	z ə ʃʷʼ ə w
зышӏошӏужьын	z ə ʃʷʼ ə ʃʷʼ a ʑ ə n
зыщыгъэгъупшын	z ə ɕ ə ʁ a ʁʷ ə p ʃ ə n
зыщыгъэзыен	z ə ʃ ə ʁ a z ə j a n
зыщыгъэзын	z ə ɕ ə ʁ a ʁʷ ə p ʃ ə n
зыщыдзыен	z ə ɕ ə d͡z ə j a n
зыщэӏэн	z ə ɕ a ʔ a n
зыӏуамылъхьажь	z ə ʔʷ aː m ə ɬ ħ aː ʑ
зыӏыгъэхьан	z a ʔ a ʁ a ħ aː n
зыӏэгъэхьан	z a ʔ a ʁ a ħ aː n
зыӏэкӏэубытэн	z ə ʔ a t͡ʃʼ a w b ə t a n
зэ	z a
зэблэдзын	z a b ɮ a d͡z ə n
зэблэкьын	b l a p kʲ ə n
зэблэхъун	z a p l a χʷ ə n
зэгогъэкӏын	z a ɡʷ a ʁ a t͡ʃʼ ə n
зэгожъын	z a ɡʷ a ʐ ə n
зэгокӏын	z a ɡʷ a t͡ʃʼ ə n
зэгокӏьын	z a ɡʷ a t kʲʼ ə n
зэгокӏьын	z a ɡʷ a t͡ʃ ə n
зэгоожьын	z a ɡʷ a w a ʑ ə n
зэготӏэпӏыкӏын	z a ɡʷ a tʼ a pʼ ə t͡ʃʼ ə n
зэгоутын	z a ɡʷ a w t ə n
зэгочын	z a ɡʷ a t͡ʃ ə n
зэгощын	z a ɡʷ a ɕ ə n
зэгу	z a ɡʷ ə
зэгъэлъагъэ	z a ʁ a ɬ aː ʁ a
зэгъэн	z a ʁ a n
зэгъэпэшын	z a ʔ a p a ʃ ə n
зэгъэфагъ	z a ʁ a f aː ʁ
зэгъэфэгъэн	z a ʁ a f a ʁ a n
зэгъэфэн	z a ʁ a f a n
зэгъэшӏэн	z a ʁ a ʃʼ a n
зэгьэм	z a ɡʲ a m
зэдзэкӏакӏо	z a d͡z a t͡ʃʼ aː kʷʼ a
зэдзэкӏакӏу	z a d͡z a t͡ʃ aː kʷʼ
зэдзэкӏын	z a d͡z a t͡ʃ ə n
зэжъу	z a ʐʷ ə
зэзэгъын	z a z a ʁ ə n
зэзэон	z a z a w a n
зэйтынчъыг	z a j t ə n t ʂ ə ɣ
зэкъодзэн	z a qʷ a d͡z a n
зэкъолъэдагъ	z a qʷ a ɬ a d aː ʁ
зэкъошныгъ	z a qʷ a ʃ n ə ʁ
зэкӏон	z a kʷʼ a n
зэкӏэ	z a t͡ʃʼ a
зэкӏэкӏон	z a t͡ʃʼ a kʷʼ a n
зэкӏэплъэн	z a t͡ʃʼ a kʷʼ a n
зэкӏэугъоен	z a t͡ʃʼ a w ʁʷ a w a n
зэкӏэхьажьын	z a t͡ʃʼ a ħ aː ʑ ə n
зэкӏэхьан	z a t͡ʂ a ħ a n
зэкӏэхьэн	z a t͡ʃʼ a ħ a n
зэкӏэчъэн	z a t͡ʃʼ a t͡ʂ a n
зэлъежьэжь	z a j ɬ a j ʑ a ʑ
зэмылӏэужыгъу	z a m ə ɬʼ a w ʒ ə ʁʷ
зэндалэ	z a n d aː l a
зэокӏокъуашъу	z a w kʷʼ a qʷ a ʂʷ ə
зэолӏ	z a w a ɬʼ
зэон	z a w a n
зэпачъэ	z a p aː t͡ʂ a
зэпедзын	z a p a j d͡z ə n
зэплъэкӏыгъу	z a p ɬ a t͡ʃʼ ə ʁʷ
зэплъэкӏын	z a p ɬ a t͡ʃʼ ə n
зэплъэхьын	z a p ɬ a ħ ə n
зэпыгъэжъэн	z a p ə ʁ a ʐ a n
зэпыгъэун	z a p ə ʁ a w ə n
зэпыгъэчъын	z a p ə ʁ a t͡ʂ ə n
зэпыгъэчъыхьан	z a p ə ʁ a t͡ʂ ə ħ aː n
зэпыгъэшхэн	z a p ə ʁ a ʃ x a n
зэпыдагъэу	z a p ə d aː ʁ a w
зэпыдзын	z a p ə d͡z ə n
зэпыдэн	z a p ə d a n
зэпыкӏын	z a p ə t͡ʃʼ ə n
зэпыкӏьын	z a p ə kʲʼ ə n
зэпымыурэ	z a p ə m ə w r a
зэпырыкӏын	z a p ə r ə t͡ʃʼ ə n
зэпырычъын	z a p ə r ə t͡ʂ ə n
зэпытхъын	z a p ə t χ ə n
зэпыун	z a p ə w ə n
зэпыутын	z a p ə w t ə n
зэпычын	z a p ə kʲ ə n
зэпычын	z a p ə t͡ʃ ə n
зэпэзэдакъ	z a p a z a d aː q
зэпэкӏэкӏын	z a p a t͡ʃʼ a t͡ʃʼ ə n
зэпэчъэн	z a p a t͡ʂ a n
зэпэчӏэкӏын	z a p a t͡ʂʼ a t͡ʃʼ ə n
зэребылэу	z a r a j b ə ɮ a w
зэрэкъэлъагъорэмкӏэ	z a r a q a ɬ aː ʁʷ a r a m t͡ʃʼ a
зэтелъхьэн	z a t a j ɬ ħ a n
зэтеуцон	z a t a j w t͡ʃʷ a n
зэтэлъхьэн	z a t a ɬ ħ a n
зэтэлъын	z a t a ɬ ə n
зэтэухьэлэн	z a t a w ħ a l a n
зэтэуӏокӏэн	z a t a w ʔʷ a t͡ʃʼ a n
зэтӏэхъужьын	z a tʼ a χʷ ə ʑ ə n
зэтӏэхъун	z a tʼ a χʷ ə n
зэуакӏо	z a w aː kʷʼ a
зэуал	z a w aː ɮ
зэуалӏ	z a w aː ɬʼ
зэуапӏэ	z a w aː pʼ a
зэужэу	z a w ʒ a w
зэутэкӏын	z a w t a t͡ʃ ə n
зэуэн	z a w a n
зэфачъэ	z a f aː t͡ʂ a
зэфэчъэн	z a f a t͡ʂ a n
зэфэшӏын	z a f a ʃʼ ə n
зэхъокӏын	z a χʷ a t͡ʃʼ ə n
зэхъокӏьын	z a χʷ a kʲʼ ə n
зэхэгъэтэкъун	z a x a ʁ a t a qʷ ə n
зэхэгъэшъухъон	z a x a ʁ a ʃʷ ə χʷ a n
зэхэдзын	z a x a d͡z ə n
зэхэдзышъун	z a x a d͡z ə ʃʷ ə n
зэхэкӏын	z a x a t͡ʃʼ ə n
зэхэон	q a w a n
зэхэсыпӏэ	z a x a s ə pʼ a
зэхэтэкъун	z a x a t a qʷ ə n
зэхэугъоен	z a x a w ʁʷ a w a n
зэхэутын	z a x a w t ə n
зэхэфэн	z a x a f a n
зэхэхын	z a x a x ə n
зэхэшӏыкӏын	z a x a ʃʼ ə t͡ʃʼ ə n
зэхэщын	z a x a ɕ ə n
зэхэщэн	z a x a ɕ a n
зэшӏожьын	z a ʃʷʼ ə ʑ ə n
зэшӏокӏын	z a ʃʷʼ a t͡ʃʼ ə n
зэшӏохын	z a ʃʷʼ a x ə n
зэщыгъо	z a ɕ ə ʁʷ a
зэщыкъон	z a ɕ ə qʷ a n
зэщын	z a ɕ ə n
зэӏукӏапӏэ	z a ʔʷ ə t͡ʃʼ aː pʼ a
зэӏукӏэн	z a ʔʷ ə t͡ʃʼ a n
зэӏунын	z a ʔʷ ə n a n
зэӏунэн	z a ʔʷ ə n a n
зэӏупхъон	z a ʔʷ ə p χʷ a n
зэӏыгъэхьан	z a ʔ a ʁ a ħ a n
зэӏыхьан	z a ʔ a ħ a n
зэӏэгъэхьан	z a ʔ a ʁ a ħ aː n
зэӏэгъэхьэн	z a ʔ a ʁ a ħ a n
зэӏэхын	z a ʔ a x ə n
зэӏэхьан	z a ʔ a ħ a n
зэӏэхьэн	z a ʔ a ħ a n
и	j ə
ибэ	j ə b a
ибэдалэу	j ə b a d aː l a w
игъоин	j ə ʁʷ a j ə n
игъолъхьан	t a ʁʷ a ɬ ħ aː n
игъу	j ə ʁʷ a
игъуадж	j ə ʁʷ aː d͡ʒ
игъэкъугъэ	j ə ʁ a qʷ ə ʁ a
игъэсэн	j ə ʁ a s a n
игъэхъон	ə ʁ a χʷ a n
иджы	j ə d͡ʒ ə
иджэгъун	d͡ʒ a ʁʷ ə n
идзэн	j ə d͡z a n
иен	j a j ə n
изакъу	j ə z aː qʷ
изы	j ə z ə
изын	j ə z ə n
изэу	j ə z a w
икъугъэ	j ə qʷ ə ʁ a
икъун	j ə qʷ ə n
икӏодыкӏын	j ə kʷʼ a d ə t͡ʃʼ ə m
илъыгъу	j ə ɬ ə ʁʷ
илъын	j ə ɬ ə n
илъэдэн	j ə ɬ a d a n
илъэс	j ə ɬ a s
илыягъ	j ə ɮ ə j aː ʁ
инапэкӏэ	j ə n aː p a t͡ʃʼ a
инахэкӏэ	j ə n aː x a t͡ʃʼ a
ины	j ə n ə
иныжъ	j ə n ə ʐ
ипашъхьэ	j ə p aː ʂ ħ a
ипхъыхьан	j ə p χ ə ħ aː n
ипшын	j ə p ʃ ə n
ипэгъум	j ə p a ʁʷ ə m
ипэрэгъум	j ə p a r a ʁʷ ə m
ипэтхьэмафэ	j ə p a t ħ a m aː f a
исэн	j ə s a n
итхагъэп	j ə t x aː ʁ a p
итхъун	j ə t χʷ ə n
итын	j ə t ə n
итэкъохьын	j ə t a qʷ a ħ ə n
итэкъун	j ə t a qʷ ə n
иуж	j ə w ə ʒ
иужым	j ə w ʒ ə m
иупкӏын	j ə w p t͡ʃʼ ə n
иушӏоин	j ə w ʃʷ a j ə n
ифын	j ə f ə n
ифэн	j ə f a n
ихьан	j ə ħ aː n
ичэ	j ə t͡ʃ a
ичӏыпӏэкӏэ	j ə t͡ʂʼ ə pʼ a t͡ʃʼ a
ишъукӏын	j ə ʃʷ ə t͡ʃʼ n
ишъун	j ə ʃʷ ə n
ишӏыхьан	j ə ʃʼ ə ħ aː n
ишӏэхьан	j ə ʃʼ a ħ aː n
иӏэн	j ə ʔ a n
коил	kʷ a j ə l
кой	kʷ a j
койыл	kʷ a j ə l
кокӏ	kʷ a t͡ʃʼ
коны	kʷ a n ə
копкъ	kʷ a p q
копкъышъхьэ	kʷ a p q ə ʂ ħ a
корэн	kʷ a r a n
корэныгу	kʷ a r a n ə ɡʷ
коц	kʷ a t͡s
коцы	kʷ a t͡s ə
кощын	kʷ a ɕ ə n
ку	kʷ ə
куамэ	kʷ aː m a
куандэ	kʷ aː n d a
куахъо	kʷ aː χʷ a
куашъо	kʷ aː ʃʷ a
куашъу	kʷ aː ʃʷ a
кугъачъ	kʷ ə ʁ aː t͡ʃ
кудэ	kʷ ə d a
кукумау	kʷ ə kʷ m aː w
кукунэгъэбылъ	kʷ ə kʷ n a ʁ a b ə ɬ
кукунэгъэплъ	kʷ ə kʷ n a ʁ a p ɬ
кукуу	kʷ ə kʷ ə w
кулъэшъу	kʷ ə ɬ a ʃʷ
куогъу	kʷ ə w a ʁʷ
куон	kʷ ə w a n
куп	kʷ ə p
купкӏ	kʷ ə p t͡ʃʼ
купсэ	kʷ a p s a
купэ	kʷ ə p a
курэжъые	kʷ ə r a ʐ ə j a
кутлэ	kʷ ə t l a
куу	kʷ ə w ə
кухьэ	kʷ ə ħ a
куцэ	kʷ ə t͡s a
куцӏы	kʷ ə t͡sʼ ə
кушъхьэ	kʷ ə ʂ ħ a
кушъхьэфачъэ	kʷ ə ʂ ħ a f aː t͡ʂ a
кушъэ	kʷ ə ʂ a
кущэрэхъ	kʷ ə ɕ a r a χ
кхъу	qʷ ə
кхъу	χʷ ə
къабзэ	q aː b z a
къаблэ	q aː b l a
къаз	q aː z
къазгъыр	q aː z ʁ ə r
къазмакъбзыу	q aː z m aː q b z ə w
къазмэ	q aː z m a
къаигъэ	q aː j ə ʁ a
къакъыр	q aː q ə r
къалэ	q aː l a
къалэ	q aː ɮ a
къамзэгу	q aː m z a ɡʷ
къамцӏыч	q aː m t͡sʼ ə t͡ʃ
къамыл	q aː m ə ɮ
къамыщ	q aː m ə ɕ
къамэ	q aː m a
къангъэбылъ	q aː n ʁ a b ə ɬ
