־אַטש	a t͡ʃ
דאָיִקייט	d ɔ ɪ k a ɪ̯ t
דאָלאַר	d ɔ ɫ a ʁ
דאָלוי	d ɔ ɫ ɔ ɪ̯
דאָליע	d ɔ ɫ j ə
דאָנאַט	d ɔ n a t
דאָנאַט	d ɔ n ɐ t
דאָצענט	d ɔ t͡s ɛ n t
דאָצענטור	d ɔ t͡s ə n t ʊ r
דאָקטאָר	d ɔ k t ɔ ʁ
דאָקטוירים	d ɔ k t ɔ ɪ ʁ ɪ m
דאָקטער	d ɔ k t ə ʁ
דאָרט	d ɔ ʁ t
דאָרש	d ɔ r ʃ
דאָרשטיק	d ɔ ʁ ʃ t ɪ k
דו	d i
דו	d iː
דו	d uː
דו	d ʊ
דוד	d oː v ə d
דוד	d u v ə d
דוד	d uː v ə d
דוד	d ɔ v ə d
דויערן	d o ʊ̯ ə ʁ n̩
דויערן	d ɔ ɪ̯ ə ʁ n̩
דור	d ɔ ʁ
דורות	d ɔ ɪ̯ ʁ ə s
דורך	d ɛ ʁ ɛ χ
דורך	d ʊ ʁ χ
דורכויס	d ʊ r χ ɔ ɪ̯ s
דורכפֿאַלן	d ʊ ʁ χ f a ɫ n̩
דורכרײַסן	d ʊ ʁ χ ʁ a ɪ̯ s n̩
דזשוכע	d͡ʒ ʊ χ ə
דזשינס	d͡ʒ i n s
דזשעלאָ	d͡ʒ ɛ ɫ ɔ
דחק	t χ a k
דיאָריט	d j ɔ r ɪ t
דיבוק	d ɪ b ə k
דיזשאָנער זענעפֿט	d ɪ ʒ ɔ n ə r z ɛ n ə f t
דיין	d a ɪ̯ n
דיין	d a ɪ̯ ə n
דימענט	d ɪ m ɛ n t
דין	d ɪ n
דינג	d ɪ ŋ ɡ
דינגען	d ɪ ŋ ɡ ə n
דיניעפּײַ	d ɪ n j ə p a ɪ̯
דיניעפּײַ	d ɪ ɲ ə p a ɪ̯
דיסטריקט	d ɪ s t ʁ ɪ k t
דיסק	d ɪ s k
דיסקל	d ɪ s k ɫ̩
דיפֿטאָנג	d ɪ f t ɔ ŋ ɡ
דיק	d ɪ k
דירה	d ɪ ʁ ə
דירה־געלט	d ɪ ʁ ə ɡ ɛ ɫ t
דירהלע	d ɪ ʁ ə ɫ ə
דלות	d a ɫ ə s
דעליקאַטעסן	d ə ʎ ɪ k a t ɛ s n̩
דעלפֿין	d ɛ ʎ f ɪ n
דעלפֿינען	d ɛ ʎ f ɪ n ə n
דעמאָלט	d ɛ m ɔ ɫ t
דען	d ə n
דען	d ɛ n
דעסערט	d ɛ s ɛ ʁ t
דעקל	d ɛ k ɫ̩
דעקן	d ɛ k n̩
דעקרעאָליזאַציע	d ɛ k ʁ ɛ ɔ ɫ i z a t͡s j ɜ
דערבראָטן	d ɛ r b r ɔ t n̩
דערהײַנטיקונג	d ɛ ʁ h a ɪ̯ n t ɪ k ʊ ŋ ɡ
דערהײַנטיקן	d ɛ ʁ h a ɪ̯ n t ɪ k ŋ̩
דערוואַקסענע	d ə ʁ v a k s ə n ə
דערוואַקסענעם	d ə ʁ v a k s ə n ə m
דערוואַקסענער	d ə ʁ v a k s ə n ə ʁ
דערצייל	d ɛ ʁ t͡s ɛ ɪ̯ ɫ
דערציילן	d ɛ ʁ t͡s ɛ ɪ̯ ɫ ə n
דערציילער	d ɛ ʁ t͡s ɛ ɪ̯ ɫ ə ʁ
דערקוטשיק	d ɛ ʁ k ʊ t͡ʃ ɪ k
דערקוטשען	d ɛ ʁ k ʊ t͡ʃ ə n
דערקלערן	d ɛ ʁ k l ɛ ʁ n̩
דערקענונג	d ɛ ʁ k ɛ n ʊ ŋ ɡ
דערקענען	d ɛ ʁ k ɛ n ə n
דערשרעקן	d ɛ ʁ ʃ ʁ ɛ k n̩
דערשײַנונג	d ɛ ʁ ʃ a ɪ̯ n ʊ ŋ ɡ
דראָנגאַטש	d r ɔ ŋ ɡ a t͡ʃ
דרויסן	d ʁ ɔ ɪ̯ s n̩
דרום	d ɔ ʁ ə m
דרום־אַמעריקע	d ɔ ʁ ə m a m ɛ ʁ ɪ k ə
דרום־קאָרעע	d ɔ r ɜ m k ɔ r ɛ ɜ
דרומדיק	d uː r ə m d i k
דרומדיק	d ɔ r ə m d i k
דריט	d ʁ ɪ t
דריי	d ʁ a ɪ̯
דריי	d ʁ ɛ ɪ̯
דריידל	d ʁ ɛ ɪ̯ d ɫ̩
דריקן	d ʁ ɪ k n̩
דריקנדיק	d ʁ ɪ k n̩ d ɪ k
דרך־ארץ	d i r χ i r ə t͡s
דרך־ארץ	d ɛ r ə χ ɛ r i t͡s
דרך־ארץ	d ɛ r ə χ ɛ r ə t͡s
דרענגל	d r ɛ ŋ ɡ ɫ̩
דרײַ	d r a ɪ̯
דרײַסיק	d r a s ɨ k
דרײַסיק	d r a ɪ̯ s ɪ k
דרײַסיק	d r aː s ɪ k
דרײַסיקסט	d ʁ a ɪ̯ s ɪ k s t
דרײַצן	d ʁ a t͡s n̩
דרײַצן	d ʁ a ɪ̯ t͡s n̩
דרײַצן	d ʁ aː t͡s n̩
דײַטש	d a t͡ʃ
דײַטש	d a ɪ̯ t͡ʃ
דײַטש	d aː t͡ʃ
דײַטשלאַנד	d a t͡ʃ ɫ ɔ n d
דײַטשלאַנד	d a ɪ̯ t ʃ ɫ a n d
דײַטשלאַנד	d aː t͡ʃ ɫ a n d
דײַן	d a n
דײַן	d a ɪ̯ n
דײַן	d aː n
דײַנע	d a ɪ̯ n ə
האַביכט	h a b ɪ χ t
האַדן	h a d n̩
האַוואַיִש	h a v a ɪ ʃ
האַוואַיִשע גיטאַר	h a v a ɪ ʃ ə ɡ ɪ t a r
האַלבאינדזל	h a ɫ b ɪ n d͡z ɫ̩
האַלדז	h a ɫ d͡z
האַלטן	h a ɫ t n̩
האַמער	h a m ə ʁ
האַנטביכל	h a n t b ɪ χ ɫ̩
האַנטעך	h a n t ə χ
האַנטעכער	h a n t ə χ ə ʁ
האַנטשריפֿט	h a n t ʃ r ɪ f t
האַקנקרייץ	h a k ŋ̩ k ʁ ɛ ɪ̯ t͡s
האַרץ	h a ʁ t͡s
האָלאַנד	h ɔ ɫ a n d
האָלענדער	h ɔ ɫ ɛ n d ɛ r
האָן	h ɔ n
האָניק	h ɔ n ɪ k
האָף	h ɔ f
האָפֿן	h ɔ f n̩
האָפֿנטלעך	h ɔ f n̩ t l ə χ
האָפֿסט	h ɔ f s t
האָקי	h ɔ k ɪ
האָקיי	h ɔ k ɛ ɪ̯
האָקן	h aː k ŋ̩
האָקן	h u k ŋ̩
האָקן	h uː k ŋ̩
האָקן	h ɔ k ŋ̩
האָרעוואַניע	h ɔ ʁ ə v a n j ə
האָרעווען	h ɔ ʁ ə v ə n
הו־האַ	h u h a
הויז	h ɔ ɪ̯ z
הויך	h ɔ ɪ̯ ə χ
הויך	h ɔ ɪ̯ χ
הויף	h ɔ j f
הויפּט	h ɔ ɪ̯ p t
הויפּט	h ɛ ɪ̯ p t
הון	h ʊ n
הונדערט	h ɨ n d ə r t
הונדערט	h ɪ n d ə r t
הונדערט	h ʊ n d ə r t
הונט	h ɨ n t
הונט	h ɪ n t
הונט	h ʊ n t
הוסט	h i s t
הוסט	h ʊ s t
הוצאה	h e ɪ̯ t͡s ɔ ə
הוצאה	h ɔ ɪ̯ t͡s uː ə
הוצאה	h ə t͡s uː ə
הוצאה	h ə t͡s ɔ ə
הוראַגאַן	h ʊ ʁ a ɡ a n
הוראַגאַנען	h ʊ ʁ a ɡ a n ə n
הוראַניצע	h ʊ r a n ɪ t͡s ə
הוראַניק	h ʊ r a n ɪ k
הורג	h e ɪ r ə ɡ
הורג	h ɔ ɪ r ə ɡ
הורג	h ɛ ɪ r ə ɡ
היטן	h ɪ t n̩
הייבט אָן	h ɛ ɪ̯ p t ɔ n
הייד	h o j d
הייד	h ɛ i d
היילער	h ɛ ɪ̯ ɫ ə ʁ
היים	h ɛ ɪ̯ m
הייס	h a ɪ̯ s
הייס	h e ɪ̯ s
הייס	h ɛ ɪ̯ s
הייסט	h ɛ ɪ̯ s t
הייסן	h ɛ ɪ̯ s n̩
הייצונג	h ɛ ɪ̯ t͡s ʊ ŋ ɡ
הימל	h ɪ m ɫ̩
הינדל	h ɪ n d ɫ̩
הינט	h ɪ n t
הינטאַרניע	h ɪ n t a r ɲ ə
הינטיש	h ɪ n t ɪ ʃ
הינטעלע	h ɪ n t ə ɫ ə
הינטער	h ɪ n t ə ʁ
היפּאָקריט	h ɪ p ɔ k ʁ i t
היפּוך	h ɛ j p ɛ x
הירזש	h i ʀ ʒ
הלכה	h a ɫ ɔ χ ə
המן	h uː m ɜ n
המן	h ɔ m ɜ n
המן־טאַשן	h ɔ m ə n t a s n̩
המן־טאַשן	h ɔ m ə n t a ʃ n̩
המן־טאַשן	h ɔ m ə n t ə s
העברעיִש	h ɛ b ʁ ɛ ɪ ʃ
העברעיִשע	h ɛ b ʁ ɛ ɪ ʃ ə
העלדזער	h ɛ ɫ d͡z ə ʁ
העלדישע יאָדלע	h ɛ l d ɪ ʃ ə j ɔ d l ə
העלפֿאַנד	h ɛ l f a n d
העלפֿאַנדן	h ɛ l f a n d n̩
העלפֿט	h ɛ ɫ f t
העמערל	h ɛ m ə ʁ ɫ̩
הענג	h ɛ ŋ ɡ
הענגען	h ɛ ŋ ɡ ə n
העפֿטיק	h ɛ f t ɪ k
הערצאָג	h ɛ ʁ t͡s ɔ ɡ
הערצאָגשאַפֿט	h ɛ ʁ t͡s ɔ ɡ ʃ a f t
הערצער	h ɛ ʁ t͡s ə ʁ
הפֿסקה	h a f s ɔ k ɛ
הפֿקר	h ɛ f k ɛ ʀ
הצלחה און ברכה	h a t͡s ɫ ɔ χ ə ʊ n b ʁ ɔ χ ə
הצלחה און ברכה	h a t͡s ɫ ʊ χ ə ɪ n b ʁ ʊ χ ə
השם	h a ʃ ɛ m
הײַיאָר	h a ɪ̯ j ɔ ʁ
הײַנט	a n t
הײַנט	aː n t
הײַנט	h a ɪ̯ n t
הײַפֿיש	h a ɪ̯ f ɪ ʃ
הײַפֿיש	h aː f ɪ ʃ
וואַגינע	v a ɡ ɪ n ə
וואַזע	v a z ə
וואַטיקאַן	v a t ɪ k a n
וואַטשן	v a t͡ʃ n̩
וואַלן	v a ɫ n̩
וואַלפֿיש	v a ɫ f ɪ ʃ
וואַנדאַל	v a n d a ɫ
וואַנע	v a n ə
וואַנען	v a n ə n
וואַסער	v a s ə ʁ
וואַסערשרעק	v a s ə ʁ ʃ ʁ ɛ k
וואַפֿליע	v a f ʎ ə
וואַפֿליעניצע	v a f ʎ ə n ɪ t͡s ə
וואַקסט	v a k s t
וואַקסן	v a k s n̩
וואַקצין	v a k t͡s ɪ n
וואַרטן	v a ʁ t n̩
וואַרטסט	v a ʁ t s t
וואַרעמעס	v a ʁ ɛ m ɛ s
וואַש	v a ʃ
וואַשבעקן	v a ʃ b ɛ k ŋ̩
וואַשן	v a ʃ n̩
וואַשצימער	v a ʃ t͡s ɪ m ə ʁ
וואָגן	v ɔ ɡ ŋ̩
וואָגן	v ʊ ɡ ŋ̩
וואָך	v ɔ χ
וואָלט	v ɔ ɫ t
וואָלף	v ɔ ɫ f
וואָלקן	v ɔ l k n̩
וואָלקן־קראַצער	v ɔ ɫ k n̩ k ʁ a t͡s ə ʁ
וואָלקנס	v ɔ l k n̩ s
וואָלקעלאַק	v ɔ ɫ k ə ɫ a k
וואָנטאָן	v ɔ n t ɔ n
וואָס הערט זיך	v ɔ s h ɛ r t z ɪ χ
וואָסער	v ɔ s ə ʁ
וואָפֿן	v ɔ f n̩
וואָקאַבולאַר	v ɔ k a b ʊ ɫ a r
וווּ	v i
וווּ	v iː
וווּ	v uː
וווּ	v ʊ
וווּהין	v ʊ h ɪ n
וווּנדער	v ʊ n d ə ʁ
וווּנדערלעך	v ʊ n d ə ʁ ɫ ə χ
וווּנדערלעכע	v ʊ n d ə ʁ ɫ ə χ ə
וווּרשטל	v ɪ ʁ ʃ t ɫ̩
וווּרשטל	v ʊ ʁ ʃ t l̩
וווּרשטערײַ	v ʊ r ʃ t ə r a ɪ̯
וווינען	v ɔ j n ə n
ווי	v ɪ
ווי אַזוי	v i a z ɔ ɪ
ווי אַזוי	v j a z ɔ ɪ
וויִע	v i ə
וויאַזוי	v i a z ɔ ɪ
וויאַזוי	v j a z ɔ ɪ
ווידעאָ	v ɪ d ɛ ɔ
ווידער	v ɪ d ə ʁ
וויזוי	v ɪ z ɔ ɪ
וויזיט	v ɪ z i t
וויזיט	v ɪ z ɪ t
וויי	v ɛ ɪ̯
ווייטאָג	v ɛ ɪ̯ t ɔ ɡ
ווייטאָגן	v ɛ ɪ̯ t ɔ ɡ n̩
ווייטיק	v ɛ ɪ̯ t ɪ k
ווייניק	v ɛ ɪ̯ n ɪ k
ווייניקער	v ɛ ɪ̯ n ɪ k ə ʁ
ווייץ	v a ɪ̯ t͡s
ווייץ	v e ɪ̯ t͡s
ווייץ	v ɛ ɪ̯ t͡s
וויכטיקייט	v ɪ χ t ɪ k a ɪ̯ t
וויל	v ɪ ɫ
ווילד	v ɪ ɫ d
ווילדע	v ɪ ɫ d ə
ווינט	v ɪ n t
וויסט	v ɪ s t
וויפֿל	v ɪ f ɫ̩
וולד	v ɫ a d
וועג	v e ɪ̯ ɡ
וועג	v eː ɡ
וועג	v ɛ ɡ
וועגווײַזער	v ɛ ɡ v a ɪ̯ z ə ʁ
וועגן	v e ɪ̯ ɡ ŋ̩
וועגן	v eː ɡ ŋ̩
וועגן	v ɛ ɡ ŋ̩
וועט	v ɛ t
וועטער	v ɛ t ə ʁ
וועטשינאַ	v ɛ t͡ʃ ɪ n a
וועטשערע	v ɛ t͡ʃ ə ʁ ə
וועלט	v ɛ ɫ t
וועלטטייל	v ɛ ɫ t t ɛ ɪ̯ ɫ
וועלן	v ɛ ɫ n̩
וועלף	v ɛ ɫ f
ווען	v ɛ n
וועסט	v ɛ s t
וועסנע	v ɛ s n ə
וועספּ	v ɛ s p
וועקער	v ɛ k ə ʁ
ווער	v eː r
ווער	v i r
ווער	v ɛ r
ווערטער	v ɛ ʁ t ə ʁ
ווערמוט	v ɛ r m ʊ t
ווערן	v ɛ ʁ n̩
ווערפֿל	v ɛ ʁ f ɫ̩
וועש	v ɛ ʃ
ווײַ־פֿײַ	v a ɪ̯ f a ɪ̯
ווײַב	v a ɪ̯ b
ווײַב	v aː b
ווײַבערשול	v a ɪ̯ b ə ʁ ʃ ʊ ɫ
ווײַבערשול	v aː b ə ʁ ʃ ɪ ɫ
ווײַט	v a ɪ̯ t
ווײַל	v a ɪ̯ ɫ
ווײַל	v aː ɫ
ווײַן	v a ɪ̯ n
ווײַנזויף	v a ɪ̯ n z ɔ ɪ̯ f
ווײַס	v a s
ווײַס	v a ɪ̯ s
ווײַס	v aː s
ווײַסיאָדלע	v a ɪ̯ s j ɔ d l ə
ווײַסל	v a ɪ̯ s l̩
ווײַסע	v a ɪ̯ s ə
ווײַסער	v a ɪ̯ s ə ʁ
ווײַסצווײַג־אַקאַציע	v a ɪ̯ s t͡s v a ɪ̯ ɡ a k a t͡s j ə
וצדקתך	v ɛ ɪ̯ t͡s ɪ d k ɔ s χ ə
זאַט	z a t
זאַכן	z a χ n̩
זאַל	z a ɫ
זאַלבע	z a ɫ b ə
זאַלץ	z a ɫ t͡s
זאַלצבורג	z a ɫ t͡s b ʊ ʁ ɡ
זאַלציק	z a ɫ t͡s ɪ k
זאַמד	z a m d
זאַמדקאַסטן	z a m d k a s t n̩
זאַץ	z a t͡s
זאַק	z a k
זאַקוסקע	z a k ʊ s k ə
זאָ	z ɔ
זאָגן	z u ɡ ŋ̩
זאָגן	z uː ɡ ŋ̩
זאָגן	z ɔ ɡ ŋ̩
זאָגסט	z ɔ ɡ s t
זאָגסט צו	z ɔ ɡ s t t͡s u
זאָגעניש	z u ɡ ə n ɪ ʃ
זאָגעניש	z ɔ ɡ ə n ɪ ʃ
זאָגעניש	z ʊ ɡ ə n ɪ ʃ
זאָקן	z ɔ k n̩
זויבער	z ɔ ɪ̯ b ə ʁ
זוימען	z ɔ ɪ̯ m n̩
זוימען	z ɛ ɪ̯ m n̩
זויער	z ɔ ɪ̯ ə ʁ
זויערשטאָף	z o ʊ̯ ə ʁ ʃ t ɔ f
זויערשטאָף	z ɔ ɪ̯ ə ʁ ʃ t ɔ f
זויפֿן	z o ʊ̯ f n̩
זויפֿן	z ɔ ɪ̯ f n̩
זוך	z ʊ χ
זוכט	z ʊ χ t
זוכן	z ʊ χ n̩
זומער	z ʊ m ə ʁ
זומערהויז	z ʊ m ə ʁ h ɔ ɪ̯ z
זונה	z e ɪ̯ n ə
זונה	z ɔ ɪ̯ n ə
זוניק	z ʊ n ɪ k
זוניקער	z ʊ n ɪ k ə ʁ
זופּ	z ʊ p
זי	z i
זיבן	z ɪ b n̩
זיבעט	z ɪ b ə t
זיבעטע	z ɪ b ə t ə
זיבעטער	z ɪ b ə t ə ʁ
זיבעציק	z ɪ b ə t͡s ɪ k
זיבעצן	z ɪ b ə t͡s n̩
זיי	z a ɪ̯
זיי	z e ɪ̯
זיי	z ɛ ɪ̯
זיידע	z ɛ ɪ̯ d ə
זיידעס	z ɛ ɪ̯ d ə s
זייער	z a ɪ̯ ə r
זייער	z ɛ ɪ̯ ə r
זילבער־אַקאַציע	z ɪ l b ə r a k a t͡s j ə
זינגען	z ɪ n ɡ n̩
זינד	z ɪ n d
זינט	z ɪ n t
זיס	z i s
זיס	z iː s
זיס	z ɪ s
זיץ	z ɪ t͡s
זיצן	z ɨ t͡s n̩
זיצן	z ɪ t͡s n̩
זכּרון־טשיפּל	z ɪ k ɔ r n t͡ʃ ɪ p ɫ̩
זכר	z ɔ χ ɜ r
זמן	z m a n
זעברע	z ɛ b ʁ ə
זעברעס	z ɛ b ʁ ə s
זעגעכץ	z ɛ ɡ ə χ t͡s
זעגשטויב	z ɛ ɡ ʃ t ɔ ɪ̯ b
זעכציק	z ɛ χ t͡s ɪ k
זעכצן	z ɛ χ t͡s n̩
זעלב	z ɛ ɫ b
זעלבן	z ɛ ɫ b n̩
זעלבסטמאָרד	z ɛ l b s t m ɔ r d
זעלבע	z ɛ ɫ b ə
זעלבשטענדיק	z ɛ ɫ b ʃ t ɛ n d ɪ k
זעלטן	z ɛ ɫ t n̩
זעמל	z ɛ m ɫ̩
זען	z e ɪ̯ n
זען	z eː n
זען	z ɛ n
זענען	z ɛ n ə n
זענעפֿט	z ɛ n ə f t
זעסט אויס	z ɛ s t ɔ ɪ̯ s
זעצט	z ɛ t͡s t
זעצן	z ɛ t͡s n̩
זעקס	z ɛ k s
זעקסט	z ɛ k s t
זעקסטע	z ɛ k s t ə
זקן	z ɔ k n̩
זקנים	s k ɛ ɪ̯ n ə m
זשאַבעשוווּם	ʒ a b ə ʃ v ʊ m
זשאַווער	ʒ a v ə ʁ
זשאַווערן	ʒ a v ə ʁ n
זשוואַווע	ʒ v a v ə
זשוויר	ʒ v ɪ r
זשיראַף	ʒ ɪ ʁ a f
זשיראַפֿן	ʒ ɪ ʁ a f n̩
זשלאָב	ʒ ɫ ɔ b
זשעלע	ʒ ə ɫ ɛ
זשען־זשען	ʒ ə n ʒ ɛ n
זשעני	ʒ ɛ n i
זײַ	z a ɪ̯
זײַ מיר מוחל	z a m i ʁ m ɔ ɪ̯ χ ɫ̩
זײַ מיר מוחל	z a ɪ̯ m ɪ ʁ m e ɪ̯ χ ɫ̩
זײַ מיר מוחל	z a ɪ̯ m ɪ ʁ m ɔ ɪ̯ χ ɫ̩
זײַ מיר מוחל	z aː m iː ʁ m ɔ ɪ̯ χ ɫ̩
זײַדן	z a ɪ̯ d n̩
זײַט	z a t
זײַט	z a ɪ̯ t
זײַט	z aː t
זײַטל	z a ɪ̯ t ɫ̩
זײַל	z a ɪ̯ ɫ
זײַלן	z a ɪ̯ ɫ n̩
זײַן	z a n
זײַן	z a ɪ̯ n
זײַן	z aː n
זײַנע	z a ɪ̯ n ə
חבֿר	χ a v ɜ r
חבֿרטע	χ a v ə ʁ t ə
חבֿרים	χ a v a ɪ̯ r ɜ m
חבֿרים	χ a v e ɪ̯ r ɜ m
חבֿרים	χ a v ɛ ɪ̯ r ɜ m
חבֿרים	χ ɔ v ɛ ɪ̯ r ɜ m
חדשים	χ a d ɔ ʃ ɪ m
חודש	χ ɔ ɪ̯ d ə ʃ
חודש	χ ɛ ɪ̯ d ə ʃ
חול־המועד	χ a ɫ ə m ɔ ɪ̯ ə d
חוצפּה	χ ɪ t͡s p ə
חוצפּה	χ ʊ t͡s p ə
חורבן	χ ɔ r b m̩
חורבן	χ ɛ r b m̩
חורבן	χ ʊ r b m̩
חושד זײַן	χ ɔ ɪ̯ ʃ ə d z a ɪ̯ n
חזיון	χ ɪ z ɔ ɪ̯ ə n
חזיונות	χ ɪ z j ɔ ɪ̯ n ə s
חזיר־ניסל	χ a z ə ʁ n ɪ s ɫ̩
חזירים	χ a z ɛ ɪ̯ ʁ ə m
חזירײַ	χ a z ə r a ɪ̯
חזרן	χ a z ə ʁ ə n
חיה	χ a ɪ̯ ə
חיות	χ a ɪ̯ ə s
חיות	χ ɪ j ə s
חכם	χ ɔ χ ə m
חכמים	χ a χ ɔ m ə m
חלבֿ	x ɛ j ɫ ɛ v
חלה	χ a ɫ ə
חלומען	χ ɔ ɫ ə m ə n
חלות	χ a ɫ ə s
חלל	χ ɔ ɫ ə ɫ
חלק	χ ɛ ɪ̯ ɫ ə k
חמץ	χ ɔ m ə t͡s
חנוכּה	χ a n ə k ə
חס־ושלום	χ a s v ə ʃ ɔ ɫ ə m
חסד	χ e j s e d
חסד	χ ɛ s e d
חסרדיק	χ ɔ s ə ʁ d ɪ k
חפֿץ	χ ɛ ɪ̯ f ə t͡s
חרד	χ ɔ r ɜ d
חרדיש	χ a r ɛ ɪ̯ d ɪ ʃ
חרוסת	χ a ʁ ɔ ɪ̯ s ə s
חרטה	χ a ʁ ɔ t ə
חרפּה	x a ʀ p ɛ
חשבון	χ ɛ ʃ b n̩
חשבונות	χ ɛ ʒ b ɔ ɪ n ə s
חשבונען	χ ɛ ʃ b ɜ n ɜ n
חשד	x ʃ a d
חשובֿ	χ ɔ ʃ ə v
חתונה	χ a s ə n ə
חתימה	χ s ɪ m ə
חתן	χ u s n̩
חתן	χ ɔ s n̩
טאַדזשיקיסטאַן	t a d͡ʒ ɪ k ɪ s t a n
טאַטריקע	t a t r ɪ k ə
טאַליע	t a ʎ j ə
טאַמאַרינד	t a m a r i n d
טאַמאַרינד	t a m a r ɪ n d
טאַנטע	t a n t ə
טאַנצן	t a n t͡s n̩
טאַץ	t a t͡s
טאַקאָ	t a k ɔ
טאַקסי	t a k s i
טאַקסע	t a k s ə
טאַש	t a ʃ
טאָג	t u ɡ
טאָג	t uː ɡ
טאָג	t ɔ ɡ
טאָג־טעגלעך	t ɔ ɡ t ɛ ɡ ɫ ə χ
טאָוול	t ɔ v l̩
טאָלמאַטש	t ɔ ɫ m a t͡ʃ
טאָמער	t ɔ m ə ʁ
טאָן	t u n
טאָן	t ɔ n
טאָפּ	t ɔ p
טאָפּאָל	t ɔ p ɔ lʲ
טאָרטיִע	t ɔ r t i j ə
טאָרטיִע	t ɔ r t i ə
טאהש	t ɔ ʃ
טוטי־פֿרוטי	t ʊ t ɪ f r ʊ t ɪ
טויב	t e ɪ b
טויב	t o ʊ b
טויב	t ɔ ɪ b
טויזנט	t o ʊ̯ z n̩ t
טויזנט	t oː z n̩ t
טויזנט	t u z n̩ t
טויזנט	t ɔ ɪ̯ z n̩ t
טויט	t ɔ ɪ̯ t
טוך	t ʊ χ
טון	t iː n
טון	t u n
טונקל	t ʊ ŋ k l̩
טוץ	t u t͡s
טוצן	t u t͡s n̩
טוריסט	t ʊ ʁ ɪ s t
טוריסטן	t ʊ ʁ ɪ s t n̩
טורעם	t ʊ ʁ ə m
טורקיז	t ʊ r k ɪ z
טיגער	t ɪ ɡ ə ʁ
טיי	t ɛ ɪ̯
טייגבאַדעקטע פֿרוכט	t ɛ ɪ̯ ɡ b a d ɛ k t ə f r ʊ χ t
טייל	t ɛ ɪ̯ ɫ
טיילן	t ɛ ɪ̯ ɫ n̩
טימיאַן	t ɪ m j a n
טיף	t ɪ f
טיפּ	t ɪ p
טיפּאָגראַפֿיע	t ɪ p ɔ ɡ r a f j ə
טיפּאָגראַפֿיש	t ɪ p ɔ ɡ r a f ɪ ʃ
טיפּיש	t ɪ p ɪ ʃ
טיפּישע	t ɪ p ɪ ʃ ə
טיפּש	t ɪ p ə ʃ
טישטעך	t ɪ ʃ t ə χ
טכינע	t χ ɪ n ə
טלית	t a l ə s
טעג	t ɛ ɡ
טעגלעך	t ɛ ɡ ɫ ə χ
טעות	t ɔ ə s
טעלעוויזאָר	t ɛ ʎ ɛ v ɪ z ɔ ʁ
טעלעפּאָרטירן	t ə l ə p ɔ ʁ t i ʁ n̩
טעלעפֿאָן	t ɛ ʎ ɛ f ɔ n
טעלעפֿאָניר	t ɛ l ɛ f ɔ n ɪ ʁ
טעלעפֿאָנירן	t ɛ l ɛ f ɔ n ɪ ʁ n̩
טעלער	t ɛ ɫ ə ʁ
טעם־חוש	t a m χ ʊ ʃ
טענענבוים	t ɛ n ə n b ɔ ɪ̯ m
טעפּ	t ɛ p
טעפּל	t ɛ p ɫ̩
טעפּעך	t ɛ p ə χ
טערק	t ɛ ʁ k
טראָטשינעס	t r ɔ t͡ʃ ɪ n ə s
טראָן	t ʁ ɔ n
טראָפּן	t r ɔ p m̩
טראָפּן	t r ɔ p n̩
טרויבנזאַפֿט	t ʁ ɔ ɪ̯ b n̩ z a f t
טרויעריק	t ʁ ɔ ɪ̯ ə ʁ ɪ k
טרופֿל	t r ʊ f ɫ̩
טרופֿליע	t r ʊ f ʎ ə
טרוקן	t ʁ ʊ k n̩
טריוויע	t r iː v ɪ j ə
טריומף	t ʁ j ʊ m f
טריומף	t ʁ ɪ ʊ m f
טריטווײַז	t r ɪ t v a ɪ̯ z
טרייף	t ʁ a ɪ̯ f
טרייף	t ʁ ɛ ɪ̯ f
טרינק	t ʁ ɪ ŋ k
טרינקגעלט	t ʁ ɪ ŋ k ɡ ɛ ɫ t
טרינקט	t ʁ ɪ ŋ k t
טרינקען	t ʁ ɪ ŋ k ə n
טריפֿל	t r ɪ f ɫ̩
טריפֿלעך	t r ɪ f ɫ ə χ
טריפֿן	t r a ɪ̯ f n̩
טריפֿן	t r iː f n̩
טריפֿן	t r ɛ ɪ̯ f n̩
טריפֿן	t r ɪ f n̩
טרעפּ	t ʁ ɛ p
טשאַטע	t͡ʃ a t ə
טשאַטעס	t͡ʃ a t ə s
טשאָלנט	t͡ʃ u ɫ ə n t
טשאָלנט	t͡ʃ uː ɫ ə n t
טשאָלנט	t͡ʃ ɔ ɫ ə n t
טשוואָק	t͡ʃ v ɔ k
טשיִאַ־קערל	t͡ʃ i a k ɛ r ɫ̩
טשיזשיק	t͡ʃ ɪ ʒ ɪ k
טשילי מיט פֿלייש	t͡ʃ ɪ ʎ i m ɪ t f ɫ ɛ ɪ̯ ʃ
טשיפּל	t ʃ ɪ p ɫ̩
טשיפּקעלע	t ʃ ɪ p k ə ɫ ə
טשיק טשאַק	t͡ʃ i k t͡ʃ a k
טשעטשניע	t͡ʃ ɛ t͡ʃ n j ə
טשעטשניע	t͡ʃ ɛ t͡ʃ ɲ ə
טשעטשניער	t͡ʃ ɛ t͡ʃ n j ə r
טשעטשניער	t͡ʃ ɛ t͡ʃ ɲ ə r
טשעטשניערין	t͡ʃ ɛ t͡ʃ n j ə r ɪ n
טשעטשניערין	t͡ʃ ɛ t͡ʃ ɲ ə r ɪ n
טשעטשעניש	t͡ʃ ɛ t͡ʃ ə n ɪ ʃ
