'day	d̪ a ɪ̯
masungit	m ɐ s uː ŋ ɛ t̪̚
Masupil	m ɐ s uː p ɪ l
masurka	m ɐ s u ɾ k ɐ
masurot	m ɐ s uː ɾ o t̪̚
masusi	m ɐ s uː s ɪ ʔ
masustansiya	m ɐ s ʊ s t̪ a n̪ ʃ ɐ
masustansiya	m ɐ s ʊ s t̪ a n̪ s j ɐ
masustansiya	m ɐ s ʊ s t̪ a n̪ s j ɐ
masustansya	m ɐ s ʊ s t̪ a n̪ ʃ ɐ
masustansya	m ɐ s ʊ s t̪ a n̪ s j ɐ
masustansya	m ɐ s ʊ s t̪ a n̪ s j ɐ
masusukal	m ɐ s ʊ s uː x ɐ l
masuwag	m ɐ s w a ɡ̚
masuwerte	m ɐ s w ɛ ɾ t̪ ɛ
masuyo	m ɐ s uː j o ʔ
masyado	m ɐ ʃ aː d̪ o
masyado	m ɐ s j aː d̪ o
masyado	m ɐ s j aː d̪ o
mata	m ɐ t̪ a
mata	m ɐ t̪ a ʔ
mataas	m ɐ t̪ ɐ ʔ a s
mataas	m ɐ t̪ aː ʔ ɐ s
Mataasnakahoy	m ɐ t̪ ɐ ʔ a s n̪ ɐ x aː h o ɪ̯
mataba	m ɐ t̪ ɐ b a ʔ
matabang	m ɐ t̪ ɐ b a ŋ
matabil	m ɐ t̪ ɐ b ɪ l
matabsing	m ɐ t̪ ɐ b s ɪ ŋ
Matabungkay	m ɐ t̪ ɐ b ʊ ŋ k a ɪ̯
matabya	m ɐ t̪ ɐ b j a
matabya	m ɐ t̪ a b j ɐ
matadero	m ɐ t̪ ɐ d̪ ɛː ɾ o
matador	m ɐ t̪ ɐ d̪ o ɾ
matae	m ɐ t̪ ɐ ʔ ɛ
matagal	m ɐ t̪ ɐ ɣ a l
mataginting	m ɐ t̪ ɐ ɣ ɪ n̪ t̪ ɪ ŋ
matagumpay	m ɐ t̪ ɐ ɣ ʊ m p a ɪ̯
matagway	m ɐ t̪ ɐ ɡ w a ɪ̯
matahimik	m ɐ t̪ ɐ h iː m ɪ k̚
mataimtim	m ɐ t̪ ɐ ʔ ɪ m t̪ ɪ m
matakam	m ɐ t̪ ɐ x a m
matakaw	m ɐ t̪ aː x a ʊ̯
matakot	m ɐ t̪ aː x o t̪̚
Matalam	m ɐ t̪ aː l ɐ m
matalas	m ɐ t̪ aː l ɐ s
matalbog	m ɐ t̪ ɐ l b o ɡ̚
matalik	m ɐ t̪ aː l ɪ k̚
matalim	m ɐ t̪ ɐ l ɪ m
matalino	m ɐ t̪ ɐ l iː n̪ o
Matalino	m ɐ t̪ ɐ l iː n̪ o
matalinghaga	m ɐ t̪ ɐ l ɪ ŋ h aː ɣ ɐ ʔ
matalisik	m ɐ t̪ ɐ l iː s ɪ k̚
matalo	m ɐ t̪ aː l o
matambaka	m ɐ t̪ ɐ m b aː x ɐ
matambok	m ɐ t̪ ɐ m b o k̚
matamis	m ɐ t̪ ɐ m ɪ s
matamlay	m ɐ t̪ ɐ m l a ɪ̯
Matanao	m ɐ t̪ ɐ n̪ a ʊ̯
matanda	m ɐ t̪ ɐ n̪ d̪ a ʔ
matanggal	m ɐ t̪ ɐ ŋ ɡ a l
matanggap	m ɐ t̪ ɐ ŋ ɡ a p̚
matangkad	m ɐ t̪ ɐ ŋ k a d̪̚
matangkad	m aː t̪ ɐ ŋ k a d̪̚
matangkakal	m ɐ t̪ ɐ ŋ k aː x ɐ l
matangos	m ɐ t̪ aː ŋ o s
Matanguihan	m ɐ t̪ ɐ ŋ ɡ iː h ɐ n̪
Matanguihan	m ɐ t̪ ɐ ŋ ɡ ɪ h a n̪
matapang	m ɐ t̪ aː p ɐ ŋ
matapat	m ɐ t̪ ɐ p a t̪̚
matapat	m ɐ t̪ ɐ p a t̪̚
matapat	m aː t̪ ɐ p a t̪̚
matapilok	m ɐ t̪ ɐ p ɪ l o k̚
matapobre	m ɐ t̪ ɐ p oː b ɾ ɛ
matapon	m ɐ t̪ aː p o n̪
matapos	m ɐ t̪ aː p o s
matapunan	m ɐ t̪ ɐ p uː n̪ ɐ n̪
mataras	m ɐ t̪ aː ɾ ɐ s
mataray	m ɐ t̪ aː ɾ a ɪ̯
matarik	m ɐ t̪ ɐ ɾ ɪ k̚
matataas	m ɐ t̪ ɐ t̪ ɐ ʔ a s
matataas	m ɐ t̪ ɐ t̪ aː ʔ ɐ s
Matatag	m ɐ t̪ ɐ t̪ a ɡ̚
matatag	m ɐ t̪ ɐ t̪ a ɡ̚
matatag	m aː t̪ ɐ t̪ a ɡ̚
matatakutin	m ɐ t̪ ɐ t̪ ɐ x ʊ t̪ ɪ n̪
matatalino	m ɐ t̪ ɐ t̪ ɐ l iː n̪ o
matatamis	m ɐ t̪ ɐ t̪ ɐ m ɪ s
matataray	m ɐ t̪ ɐ t̪ aː ɾ a ɪ̯
matatarik	m ɐ t̪ ɐ t̪ ɐ ɾ ɪ k̚
matatas	m ɐ t̪ ɐ t̪ a s
matatatas	m ɐ t̪ ɐ t̪ ɐ t̪ a s
matatauhan	m ɐ t̪ ɐ t̪ ɐ ʔ uː h ɐ n̪
matatrapik	m ɐ t̪ ɐ t̪ ɾ aː p ɪ k̚
matauhan	m ɐ t̪ ɐ ʔ uː h ɐ n̪
matavia	m ɐ t̪ a v j ɐ
matavia	m ɐ t̪ a b j ɐ
matavia	m ɐ t̪ a b j ɐ
Matawaran	m ɐ t̪ ɐ w aː ɾ ɐ n̪
matay	m ɐ t̪ a ɪ̯
matayog	m ɐ t̪ aː j o ɡ̚
mate	m aː t̪ ɛ
matematika	m ɐ t̪ ɛ m aː t̪ ɪ x a
matematiko	m ɐ t̪ ɛ m aː t̪ ɪ x o
Mateo	m ɐ t̪ ɛː j o
materyal	m ɐ t̪ ɛ ɾ j a l
materyales	m ɐ t̪ ɛ ɾ j aː l ɛ s
materyalismo	m ɐ t̪ ɛ ɾ j ɐ l i s m o
materyalista	m ɐ t̪ ɛ ɾ j ɐ l i s t̪ ɐ
materyalistiko	m ɐ t̪ ɛ ɾ j ɐ l i s t̪ ɪ x o
materyosa	m ɐ t̪ ɛ ɾ j oː s ɐ
materyoso	m ɐ t̪ ɛ ɾ j oː s o
Mati	m aː t̪ ɪ
Matibag	m ɐ t̪ iː b ɐ ɡ̚
matibay	m ɐ t̪ iː b a ɪ̯
matigas	m ɐ t̪ ɪ ɣ a s
matigtig	m ɐ t̪ ɪ ɡ t̪ ɪ ɡ̚
matik	m aː t̪ ɪ k̚
matikitan	m ɐ t̪ ɪ x iː t̪ ɐ n̪
Matillano	m ɐ t̪ ɪ l j aː n̪ o
matilos	m ɐ t̪ iː l o s
matimbang	m ɐ t̪ ɪ m b a ŋ
matimpi	m ɐ t̪ ɪ m p ɪ ʔ
matimyas	m ɐ t̪ ɪ m j a s
matindi	m ɐ t̪ ɪ n̪ d̪ ɪ
matinik	m ɐ t̪ ɪ n̪ ɪ k̚
matinik	m ɐ t̪ ɪ n̪ ɪ k̚
matinik	m aː t̪ ɪ n̪ ɪ k̚
matinis	m ɐ t̪ ɪ n̪ ɪ s
matinis	m ɐ t̪ iː n̪ ɪ s
matino	m ɐ t̪ ɪ n̪ o ʔ
matinga	m ɐ t̪ ɪ ŋ a
matingkad	m ɐ t̪ ɪ ŋ k a d̪̚
matipid	m ɐ t̪ ɪ p ɪ d̪̚
matipuno	m ɐ t̪ ɪ p uː n̪ o ʔ
matipuno	m ɐ t̪ ɪ p ʊ n̪ o ʔ
matira	m ɐ t̪ ɪ ɾ a
matira	m ɐ t̪ iː ɾ ɐ
Matira	m ɐ t̪ iː ɾ ɐ
matisod	m ɐ t̪ iː s o d̪̚
matitibay	m ɐ t̪ ɪ t̪ iː b a ɪ̯
matitigas	m ɐ t̪ ɪ t̪ ɪ ɣ a s
matitinik	m ɐ t̪ ɪ t̪ ɪ n̪ ɪ k̚
matitinik	m ɐ t̪ iː t̪ ɪ n̪ ɪ k̚
matitingkad	m ɐ t̪ ɪ t̪ ɪ ŋ k a d̪̚
matitisod	m ɐ t̪ ɪ t̪ iː s o d̪̚
matiwasay	m ɐ t̪ ɪ w ɐ s a ɪ̯
matiyaga	m ɐ t͡ʃ ɐ ɣ a ʔ
matiyaga	m ɐ t̪ j ɐ ɣ a ʔ
matiyaga	m ɐ t̪ j ɐ ɣ a ʔ
maton	m ɐ t̪ o n̪
matrabaho	m ɐ t̪ ɾ ɐ b aː h o
matrahedya	m ɐ t̪ ɾ ɐ h ɛː d͡ʒ ɐ
matrahedya	m ɐ t̪ ɾ ɐ h ɛ d̪ j ɐ
matrahedya	m ɐ t̪ ɾ ɐ h ɛ d̪ j ɐ
matraka	m ɐ t̪ ɾ aː x ɐ
matrapik	m ɐ t̪ ɾ aː p ɪ k̚
matres	m a t̪ ɾ ɛ s
matres	m ɐ t̪ ɾ ɛ s
matrikula	m ɐ t̪ ɾ iː x ʊ l a
matris	m ɐ t̪ ɾ ɪ s
matsakaw	m ɐ t t͡ʃ ɐ x a ʊ̯
matsakaw	m ɐ t̪ s ɐ x a ʊ̯
matsakaw	m ɐ t̪ s ɐ x a ʊ̯
matsala	m a t̪ s ɐ l a
matsalab	m a t̪ s ɐ l a b̚
matsalove	m a t̪ s ɐ l a v
matsalove	m a t̪ s ɐ l a b̚
matsalove	m a t̪ s ɐ l a b̚
matsay	m ɐ t t͡ʃ a ɪ̯
matsay	m ɐ t̪ s a ɪ̯
matsay	m ɐ t̪ s a ɪ̯
matsete	m ɐ t t͡ʃ ɛː t̪ ɛ
matsete	m ɐ t̪ s ɛː t̪ ɛ
matsete	m ɐ t̪ s ɛː t̪ ɛ
matsing	m ɐ t t͡ʃ ɪ ŋ
matsing	m ɐ t̪ s ɪ ŋ
matsing	m ɐ t̪ s ɪ ŋ
matso	m aː t͡ʃ o
matso	m a t̪ s o
matso	m a t̪ s o
matsubasko	m ɐ t t͡ʃ ʊ b a s k o
matsubasko	m ɐ t̪ s ʊ b a s k o
matsubasko	m ɐ t̪ s ʊ b a s k o
Matsuda	m ɐ t͡s uː d̪ ɐ
Matsui	m ɐ t t͡ʃ uː w ɪ
Matsui	m ɐ t̪ s uː w ɪ
Matsui	m ɐ t̪ s uː w ɪ
Matsuki	m aː t͡s ʊ x ɪ
Matsumori	m ɐ t͡s ʊ m oː ɾ ɪ
Matsumoto	m ɐ t͡s ʊ m oː t̪ o
Matsunaga	m ɐ t͡s ʊ n̪ aː ɣ ɐ
Matsuno	m ɐ t͡s uː n̪ o
Matsushima	m ɐ t͡s ʊ ʃ iː m ɐ
Matsushima	m ɐ t͡s ʊ s j iː m ɐ
Matsushima	m ɐ t͡s ʊ s j iː m ɐ
Matsushita	m ɐ t͡s ʊ ʃ iː t̪ ɐ
Matsushita	m ɐ t͡s ʊ s j iː t̪ ɐ
Matsushita	m ɐ t͡s ʊ s j iː t̪ ɐ
Matsuyama	m ɐ t͡s ʊ j aː m ɐ
matubig	m ɐ t̪ uː b ɪ ɡ̚
matubo	m ɐ t̪ uː b o ʔ
matulin	m ɐ t̪ uː l ɪ n̪
matulis	m ɐ t̪ uː l ɪ s
matulog	m ɐ t̪ uː l o ɡ̚
matumal	m ɐ t̪ uː m ɐ l
matunog	m ɐ t̪ ʊ n̪ o ɡ̚
matuoran	m ɐ t̪ ʊ ʔ o ɾ a n̪
maturan	m ɐ t̪ uː ɾ ɐ n̪
Maturan	m ɐ t̪ uː ɾ ɐ n̪
matutulin	m ɐ t̪ ʊ t̪ uː l ɪ n̪
matuuran	m ɐ t̪ ʊ ʔ ʊ ɾ a n̪
matuwid	m ɐ t̪ w ɪ d̪̚
matuwid	m ɐ t̪ uː w ɪ d̪̚
matwid	m ɐ t̪ w ɪ d̪̚
matwiran	m ɐ t̪ w iː ɾ ɐ n̪
matwiranin	m ɐ t̪ w ɪ ɾ aː n̪ ɪ n̪
matyag	m ɐ t t͡ʃ a ɡ̚
matyag	m ɐ t̪ j a ɡ̚
matyag	m ɐ t̪ j a ɡ̚
Mauban	m ɐ ʔ uː b ɐ n̪
maugnay	m ɐ ʔ ʊ ɡ n̪ a ɪ̯
maugnay	m aː ʔ ʊ ɡ n̪ a ɪ̯
maugong	m ɐ ʔ uː ɣ o ŋ
Mauhay	m ɐ ʔ uː h a ɪ̯
maukilkil	m ɐ ʔ ʊ x ɪ l k ɪ l
maulan	m ɐ ʔ ʊ l a n̪
maulanan	m ɐ ʔ ʊ l ɐ n̪ a n̪
maulap	m ɐ ʔ uː l ɐ p̚
maulawin	m ɐ ʔ ʊ l aː w ɪ n̪
Mauleon	m ɐ ʔ ʊ l ɛ j o n̪
Mauleon	m a ʊ̯ l ɛ j o n̪
mauna	m ɐ ʔ uː n̪ ɐ
Maunahan	m ɐ ʔ ʊ n̪ aː h ɐ n̪
maunlad	m ɐ ʔ ʊ n̪ l a d̪̚
maurira	m ɐ ʔ ʊ ɾ iː ɾ ɐ ʔ
Mausig	m ɐ ʔ uː s ɪ ɡ̚
mausisa	m ɐ ʔ ʊ s iː s ɐ ʔ
Mausisa	m ɐ ʔ ʊ s iː s ɐ
mausog	m ɐ ʔ ʊ s o ɡ̚
mausok	m ɐ ʔ uː s o k̚
mausoleo	m a ʊ̯ s o l ɛː j o
mausukan	m ɐ ʔ ʊ s uː x ɐ n̪
mausukan	m aː ʔ ʊ s uː x ɐ n̪
mautak	m ɐ ʔ uː t̪ ɐ k̚
mautakan	m ɐ ʔ ʊ t̪ aː x ɐ n̪
mauwido	m ɐ ʔ ʊ w iː d̪ o
Mawab	m aː w ɐ b̚
mawala	m ɐ w ɐ l a ʔ
mawalna	m ɐ w ɐ l n̪ a ʔ
mawasak	m ɐ w aː s ɐ k̚
mawido	m ɐ w iː d̪ o
mawo	m aː w o ʔ
mawsoleo	m a ʊ̯ s o l ɛː j o
Maximo	m a k s ɪ m o
may	m a ɪ̯
may	m ɛ
may	m e ɪ̯
May	m e ɪ̯
maya	m aː j ɐ
maya	m ɐ j a ʔ
mayabang	m ɐ j aː b ɐ ŋ
mayabong	m ɐ j aː b o ŋ
mayag	m aː j ɐ ɡ̚
mayahin	m ɐ j aː h ɪ n̪
mayahin	m ɐ j ɐ h ɪ n̪
mayaman	m ɐ j aː m ɐ n̪
mayamanin	m aː j ɐ m ɐ n̪ ɪ n̪
mayamo	m ɐ j aː m o ʔ
mayapa	m ɐ j ɐ p a
mayapis	m ɐ j aː p ɪ s
mayaw	m aː j a ʊ̯
mayaw	m ɐ j a ʊ̯
mayayabang	m ɐ j ɐ j aː b ɐ ŋ
mayayaman	m ɐ j ɐ j aː m ɐ n̪
maybahay	m a ɪ̯ b aː h a ɪ̯
maybahay	m ɛː b aː h a ɪ̯
Maybunga	m a ɪ̯ b uː ŋ ɐ
Maydolong	m a ɪ̯ d̪ oː l o ŋ
mayelo	m ɐ j ɛː l o
maygulang	m a ɪ̯ ɣ uː l ɐ ŋ
mayk	m a ɪ̯ k
Maykapal	m a ɪ̯ x ɐ p a l
maykapal	m a ɪ̯ x ɐ p a l
maykaraan	m a ɪ̯ x ɐ ɾ aː ʔ ɐ n̪
maykaraan	m a ɪ̯ x ɐ ɾ ɐ ʔ a n̪
Maykawayan	m a ɪ̯ x ɐ w aː j ɐ n̪
maykaya	m a ɪ̯ x aː j ɐ
Maylikha	m a ɪ̯ l ɪ k h a ʔ
Maymay	m a ɪ̯ m a ɪ̯
Maynila	m a ɪ̯ n̪ iː l ɐ ʔ
Mayo	m aː j o
mayoldomo	m ɐ j o l d̪ oː m o
Mayon	m ɐ j o n̪
mayonesa	m ɐ j o n̪ ɛː s ɐ
mayor	m ɐ j o ɾ
mayora	m ɐ j oː ɾ ɐ
mayordomo	m ɐ j o ɾ d̪ oː m o
mayorya	m ɐ j o ɾ j a
mayorya	m ɐ j o ɾ j ɐ
Mayoyao	m ɐ j o j a ʊ̯
mayroon	m a ɪ̯ ɾ o ʔ o n̪
mayroon	m a ɪ̯ ɾ o n̪
mayroon	m ɛː ɾ o n̪
maysala	m a ɪ̯ s aː l ɐ
maytines	m a ɪ̯ t̪ iː n̪ ɛ s
Mayuga	m ɐ j uː ɣ ɐ
mayuldumo	m ɐ j ʊ l d̪ uː m o
Mayumi	m ɐ j uː m ɪ
mayumi	m ɐ j uː m ɪ ʔ
McDo	m ɐ k d̪ o ʔ
McDo	m ɐ k d̪ o
me	m ɛ ʔ
me	m ɛ
medalya	m ɛ d̪ a l j ɐ
Medellin	m ɛ d̪ ɛ l j ɪ n̪
Medenilla	m ɛ d̪ ɛ n̪ i l j ɐ
medida	m ɛ d̪ iː d̪ ɐ
medik	m ɛː d̪ ɪ k̚
mediko	m ɛː d̪ ɪ x o
Medina	m ɛ d̪ iː n̪ ɐ
medisina	m ɛ d̪ ɪ s iː n̪ ɐ
Mediteraneo	m ɛ d̪ ɪ t̪ ɛ ɾ aː n̪ ɛ j o
Medrano	m ɛ d̪ ɾ aː n̪ o
medrinake	m ɛ d̪ ɾ ɪ n̪ aː x ɛ
medrinyake	m ɛ d̪ ɾ ɪ n ɲ aː x ɛ
medrinyake	m ɛ d̪ ɾ ɪ n̪ j aː x ɛ
medrinyake	m ɛ d̪ ɾ ɪ n̪ j aː x ɛ
medyaagwa	m ɛː d͡ʒ ɐ ʔ a ɡ w ɐ
medyaagwa	m ɛ d̪ j ɐ ʔ a ɡ w ɐ
medyaagwa	m ɛ d̪ j ɐ ʔ a ɡ w ɐ
medyanotse	m ɛː d͡ʒ ɐ n̪ oː t͡ʃ ɛ
medyanotse	m ɛ d̪ j ɐ n̪ o t̪ s ɛ
medyanotse	m ɛ d̪ j ɐ n̪ o t̪ s ɛ
medyas	m ɛː d͡ʒ ɐ s
medyas	m ɛ d̪ j ɐ s
medyas	m ɛ d̪ j ɐ s
medyebal	m ɛ d d͡ʒ ɛ b a l
medyebal	m ɛ d̪ j ɛ b a l
medyebal	m ɛ d̪ j ɛ b a l
medyibal	m ɛ d d͡ʒ ɪ b a l
medyibal	m ɛ d̪ j ɪ b a l
medyibal	m ɛ d̪ j ɪ b a l
medyo	m ɛː d͡ʒ o
medyo	m ɛ d̪ j o
medyo	m ɛ d̪ j o
medyor	m ɛː d͡ʒ o ɾ
medyor	m ɛ d̪ j o ɾ
medyor	m ɛ d̪ j o ɾ
mee	m ɛ ʔ ɛ ʔ
megalomanya	m ɛ ɣ ɐ l o m aː ɲ ɐ
megalomanya	m ɛ ɣ ɐ l o m a n̪ j ɐ
megalomanya	m ɛ ɣ ɐ l o m a n̪ j ɐ
Megan	m ɛː ɣ ɐ n̪
meganon	m ɛː ɣ ɐ n̪ o n̪
megapon	m ɛː ɣ ɐ p o n̪
megapown	m ɛː ɣ ɐ p o ʊ̯ n̪
Megumi	m ɛ ɣ uː m ɪ
Mehikana	m ɛ h ɪ x aː n̪ ɐ
Mehikano	m ɛ h ɪ x aː n̪ o
Mehiko	m ɛː h ɪ x o
mej	m ɛ d͡ʒ
mej	m ɛ d̪ s
mej	m ɛ d̪ s
Mejia	m ɛ h iː j ɐ
mejo	m ɛː d͡ʒ o
mejo	m ɛ d̪ j o
mejo	m ɛ d̪ j o
Meka	m ɛː x ɐ
mekaniko	m ɛ x aː n̪ ɪ x o
mekanismo	m ɛ x ɐ n̪ i s m o
Meksikana	m ɛ k s ɪ x aː n̪ ɐ
Meksikano	m ɛ k s ɪ x aː n̪ o
Melchor	m ɛ l t͡ʃ o ɾ
Melchor	m ɛ l t͡s o ɾ
Melchor	m ɛ l t͡s o ɾ
Melgar	m ɛ l ɡ a ɾ
mellotron	m ɛː l o t̪ ɾ o n̪
melodiya	m ɛ l o d̪ iː j ɐ
melokoton	m ɛ l o x o t̪ o n̪
melon	m ɛ l o n̪
mema	m ɛː m ɐ
meme	m ɛː m ɛ
memeng	m ɛː m ɛ ŋ
memorya	m ɛ m o ɾ j ɐ
memoryado	m ɛ m o ɾ j aː d̪ o
Menchavez	m ɛ n̪ t͡ʃ aː v ɛ s
Menchavez	m ɛ n̪ t͡ʃ aː b ɛ s
Menchavez	m ɛ n̪ t͡s aː b ɛ s
Menchavez	m ɛ n̪ t͡ʃ aː b ɛ s
Menchavez	m ɛ n̪ t͡s aː b ɛ s
Menchie	m ɛ n̪ t͡ʃ ɪ
Menchie	m ɛ n̪ t͡s ɪ
Menchie	m ɛ n̪ t͡s ɪ
Mendaros	m ɛ n̪ d̪ aː ɾ o s
Mendez	m ɛ n̪ d̪ ɛ s
Mendiola	m ɛ n̪ d͡ʒ oː l ɐ
Mendiola	m ɛ n̪ d̪ j oː l ɐ
Mendiola	m ɛ n̪ d̪ j oː l ɐ
Mendoza	m ɛ n̪ d̪ oː z ɐ
Mendoza	m ɛ n̪ d̪ oː s ɐ
Mendoza	m ɛ n̪ d̪ oː s ɐ
Meneses	m ɛ n̪ ɛː s ɛ s
menor	m ɛ n̪ o ɾ
menora	m ɛ n̪ oː ɾ ɐ
Menorca	m ɛ n̪ o ɾ k ɐ
menos	m ɛː n̪ o s
mens	m ɛ n̪ s
mensahe	m ɛ n̪ s aː h ɛ
mensahero	m ɛ n̪ s ɐ h ɛː ɾ o
mental	m ɛ n̪ t̪ ɐ l
mentalidad	m ɛ n̪ t̪ ɐ l ɪ d̪ a d̪̚
mentol	m ɛ n̪ t̪ o l
mentol	m ɛ n̪ t̪ o l
menudensiya	m ɛ n̪ ʊ d̪ ɛ n̪ ʃ ɐ
menudensiya	m ɛ n̪ ʊ d̪ ɛ n̪ s j ɐ
menudensiya	m ɛ n̪ ʊ d̪ ɛ n̪ s j ɐ
menudo	m ɛ n̪ uː d̪ o
Meranaw	m ə ɾ ɐ n̪ a ʊ̯
Meranaw	m ɐ ɾ ɐ n̪ a ʊ̯
Meranaw	m ɛ ɾ ɐ n̪ a ʊ̯
Mercado	m ɛ ɾ k aː d̪ o
Mercedes	m ɛ ɾ s ɛː d̪ ɛ s
Mercy	m ɛ ɾ s ɪ
merengge	m ɛ ɾ ɛ ŋ ɡ ɛ
merienda	m ɛ ɾ j ɛ n̪ d̪ ɐ
meritokrasya	m ɛ ɾ ɪ t̪ o k ɾ aː ʃ ɐ
meritokrasya	m ɛ ɾ ɪ t̪ o k ɾ a s j ɐ
meritokrasya	m ɛ ɾ ɪ t̪ o k ɾ a s j ɐ
merkado	m ɛ ɾ k aː d̪ o
merkansiya	m ɛ ɾ k ɐ n̪ s iː j ɐ
merkansiya	m ɛ ɾ k ɐ n̪ ʃ a
merkansiya	m ɛ ɾ k ɐ n̪ s j a
merkansiya	m ɛ ɾ k ɐ n̪ s j a
Merkuryo	m ɛ ɾ k u ɾ j o
meron	m ɛː ɾ o n̪
Merry	m ɛː ɾ ɪ
mersenaryo	m ɛ ɾ s ɛ n̪ a ɾ j o
meryenda	m ɛ ɾ j ɛ n̪ d̪ ɐ
mesa	m ɛː s ɐ
mesiyaniko	m ɛ ʃ aː n̪ ɪ x o
mesiyaniko	m ɛ s j aː n̪ ɪ x o
mesiyaniko	m ɛ s j aː n̪ ɪ x o
Mesiyas	m ɛ s iː j ɐ s
Mesiyas	m ɛ ʃ a s
Mesiyas	m ɛ s j a s
Mesiyas	m ɛ s j a s
meskit	m ɛ s k ɪ t̪̚
meskita	m ɛ s k iː t̪ ɐ
mestisa	m ɛ s t̪ iː s ɐ
mestiso	m ɛ s t̪ iː s o
mesyaniko	m ɛ ʃ aː n̪ ɪ x o
mesyaniko	m ɛ s j aː n̪ ɪ x o
mesyaniko	m ɛ s j aː n̪ ɪ x o
Mesyas	m ɛ ʃ a s
Mesyas	m ɛ s j a s
Mesyas	m ɛ s j a s
metal	m ɛ t̪ a l
metalurhiya	m ɛ t̪ ɐ l ʊ ɾ h iː j ɐ
metalurhiya	m ɛ t̪ ɐ l u ɾ h j ɐ
metamorposis	m ɛ t̪ ɐ m o ɾ p o s ɪ s
metamorposis	m ɛ t̪ ɐ m o ɾ p oː s ɪ s
metapisika	m ɛ t̪ ɐ p iː s ɪ x a
metapora	m ɛ t̪ aː p o ɾ a
metapora	m ɛ t̪ ɐ p oː ɾ ɐ
metatesis	m ɛ t̪ aː t̪ ɛ s ɪ s
metatesis	m ɛ t̪ ɐ t̪ ɛː s ɪ s
meteoro	m ɛ t̪ ɛ j oː ɾ o
meteoro	m ɛ t͡ʃ oː ɾ o
meteoro	m ɛ t̪ j oː ɾ o
meteoro	m ɛ t̪ j oː ɾ o
meteorolohiya	m ɛ t̪ ɛ j o ɾ o l o h iː j ɐ
metikuloso	m ɛ t̪ ɪ x ʊ l oː s o
metodista	m ɛ t̪ o d̪ i s t̪ ɐ
metodo	m ɛː t̪ o d̪ o
metodolohiya	m ɛ t̪ o d̪ o l o h iː j ɐ
metralyadora	m ɛ t̪ ɾ ɐ l j ɐ d̪ oː ɾ ɐ
metro	m ɛː t̪ ɾ o
Metro	m ɛ t̪ ɾ o
metsado	m ɛ t t͡ʃ aː d̪ o
metsado	m ɛ t̪ s aː d̪ o
metsado	m ɛ t̪ s aː d̪ o
mey	m e ɪ̯
Meycauayan	m e ɪ̯ x ɐ w aː j ɐ n̪
meyl	m e ɪ̯ l
meyor	m ɛː j o ɾ
Mëranaw	m ə ɾ ɐ n̪ a ʊ̯
mga	m ɐ ŋ a
mibig	m iː b ɪ ɡ̚
Michelena	m ɪ t t͡ʃ ɛ l ɛː n̪ ɐ
Michelena	m ɪ t̪ s ɛ l ɛː n̪ ɐ
Michelena	m ɪ t̪ s ɛ l ɛː n̪ ɐ
Michiko	m iː t͡ʃ ɪ x o
Michiko	m i t̪ s ɪ x o
Michiko	m i t̪ s ɪ x o
midalya	m ɪ d̪ a l j ɐ
Midori	m ɪ d̪ oː ɾ ɪ
Midsayap	m ɪ d̪ s aː j ɐ p̚
Midsayap	m ɪ d̪ s ɐ j a p̚
midya	m iː d͡ʒ ɐ
midya	m i d̪ j ɐ
midya	m i d̪ j ɐ
midyum	m iː d͡ʒ ʊ m
midyum	m i d̪ j ʊ m
midyum	m i d̪ j ʊ m
migmig	m i ɡ m ɪ ɡ̚
Miguel	m ɪ ɣ ɛ l
mihis	m iː h ɪ s
Mijares	m ɪ h aː ɾ ɛ s
mikat	m iː x ɐ t̪̚
miki	m iː x ɪ
Mikiko	m ɪ x iː x o
miklawas	m ɪ k l aː w ɐ s
mikrobyo	m ɪ k ɾ o b j o
mikrometro	m ɪ k ɾ o m ɛː t̪ ɾ o
mikrometro	m ɪ k ɾ oː m ɛ t̪ ɾ o
mikroorganismo	m ɪ k ɾ o ʔ o ɾ ɡ ɐ n̪ i s m o
mikropono	m ɪ k ɾ oː p o n̪ o
mikroskopyo	m ɪ k ɾ o s k o p j o
miksipat	m ɪ k s iː p ɐ t̪̚
miktataghay	m ɪ k t̪ aː t̪ ɐ ɡ h a ɪ̯
miktinig	m ɪ k t̪ iː n̪ ɪ ɡ̚
miktubo	m ɪ k t̪ uː b o
mil	m ɪ l
milagro	m ɪ l aː ɡ ɾ o
milagros	m ɪ l aː ɡ ɾ o s
Milaor	m ɪ l ɐ ʔ o ɾ
Milar	m ɪ l a ɾ
mileniyo	m ɪ l ɛː ɲ o
mileniyo	m ɪ l ɛː n̪ j o
mileniyo	m ɪ l ɛː n̪ j o
milenyal	m ɪ l ɛː ɲ ɐ l
milenyal	m ɪ l ɛ n̪ j ɐ l
milenyal	m ɪ l ɛ n̪ j ɐ l
milenyo	m ɪ l ɛː ɲ o
milenyo	m ɪ l ɛ n̪ j o
milenyo	m ɪ l ɛ n̪ j o
milenyum	m ɪ l ɛː ɲ ʊ m
milenyum	m ɪ l ɛ n̪ j ʊ m
milenyum	m ɪ l ɛ n̪ j ʊ m
miligramo	m ɪ l ɪ ɡ ɾ aː m o
mililitro	m ɪ l ɪ l iː t̪ ɾ o
milimetro	m ɪ l ɪ m ɛː t̪ ɾ o
milimetro	m ɪ l iː m ɛ t̪ ɾ o
