aba	a b a
nazéwôcz	n a z e v ɞ t͡ʃ
nazôd	n a z ɞ t
naùczëcél	n a w u t͡ʃ ɜ t͡s e l
nałożëc	n a w ɔ ʒ ɜ t͡s
nerwés	n ɛ r v e s
nibë	ɲ i b ɜ
nic	ɲ i t͡s
nicht	ɲ i x t
nick	ɲ i t͡s k
niebny	ɲ ɛ b n i
niebò	ɲ ɛ b w ɛ
niechtëren	ɲ ɛ x t ɜ r ɛ n
niedrëch	ɲ ɛ d r ɜ x
niedzela	ɲ ɛ d͡z ɛ l a
niedzeli	ɲ ɛ d͡z ɛ l i
niedzelów	ɲ ɛ d͡z ɛ l o f
nieluso	ɲ ɛ l u s ɔ
nielusy	ɲ ɛ l u s i
niemi	ɲ ɛ m i
Niemieckô	ɲ ɛ m j ɛ t͡s k ɞ
nieprzëcél	ɲ ɛ p ʂ ɜ t͡s e l
nieprzëjacél	ɲ ɛ p ʂ ɜ j a t͡s e l
nierôz	ɲ ɛ r ɞ s
niga	ɲ i ɡ a
nigdë	ɲ i ɡ d ɜ
nikel	ɲ i k ɛ l
nisczi	ɲ i s t͡ʃ i
niszrëch	ɲ i ʃ r ɜ x
niw	ɲ i f
niwã	ɲ i v ã
nié	ɲ e
niż	ɲ i ʃ
niższi	ɲ i ʃ ʃ i
niżóden	ɲ i ʒ o d ɛ n
noc	n ɔ t͡s
noga	n ɔ ɡ a
nogawica	n ɔ ɡ a v i t͡s a
nokc	n ɔ k t͡s
nominatiw	n ɔ m i n a t i f
norda	n ɔ r d a
nordowi	n ɔ r d ɔ v i
nordwest	n ɔ r d v ɛ s t
nordóst	n ɔ r d o s t
norka	n ɔ r k a
normalny	n ɔ r m a l n i
Norweskô	n ɔ r v ɛ s k ɞ
nos	n ɔ s
nosorożc	n ɔ s ɔ r ɔ ʃ t͡s
nosoróg	n ɔ s ɔ r o k
nosëc	n ɔ s ɜ t͡s
nosôcz	n ɔ s ɞ t͡ʃ
nowember	n ɔ v ɛ m b ɛ r
nowi	n ɔ v i
nudle	n u d l ɛ
Néderlandzkô	n e d ɛ r l a n t͡s k ɞ
nënka	n ɜ ŋ k a
nórt	n o r t
nót	n o t
nôbarżi	n ɞ b a r ʒ i
nôbëtk	n ɞ b ɜ t k
nôchùtczi	n ɞ x w u t t͡ʃ i
nôczãsczi	n ɞ t͡ʃ ã s t͡ʃ i
nôdzeja	n ɞ d͡z ɛ j a
nôgle	n ɞ ɡ l ɛ
nôlepi	n ɞ l ɛ p i
nôleżec	n ɞ l ɛ ʒ ɛ t͡s
nômni	n ɞ m ɲ i
nôniższi	n ɞ ɲ i ʃ ʃ i
nôpewniészi	n ɞ p ɛ v ɲ e ʃ i
nôrodny	n ɞ r ɔ d n i
nôrodowi	n ɞ r ɔ d ɔ v i
nôrzãdzé	n ɞ r̝ ã d͡z e
nôród	n ɞ r o t
nôwicy	n ɞ v i t͡s i
nôwiãcy	n ɞ v j ã t͡s i
nôwëszi	n ɞ v ɜ ʃ i
nôwëżi	n ɞ v ɜ ʒ i
nôwëższi	n ɞ v ɜ ʃ ʃ i
nôùka	n ɞ w u k a
obiekt	ɔ b j ɛ k t
ocelot	ɔ t͡s ɛ l ɔ t
oficéra	ɔ f i t͡s e r a
oksyd	ɔ k s i t
orangùtan	ɔ r a ŋ ɡ w u t a n
orendż	ɔ r ɛ n t͡ʃ
orkestra	ɔ r k ɛ s t r a
osmòs	ɔ s m w ɛ s
pacht	p a x t
padac	p a d a t͡s
paja	p a j a
pajczëna	p a j t͡ʃ ɜ n a
pajicznik	p a j i t͡ʃ ɲ i k
pajiczëna	p a j i t͡ʃ ɜ n a
pajk	p a j k
pajãczëna	p a j ã t͡ʃ ɜ n a
pakùnk	p a k w u ŋ k
palecznik	p a l ɛ t͡ʃ ɲ i k
palëc	p a l ɜ t͡s
pamiãc	p a m j ã t͡s
pamiãtac	p a m j ã t a t͡s
pancernik	p a n t͡s ɛ r ɲ i k
panewka	p a n ɛ f k a
pankùk	p a ŋ k w u k
pantera	p a n t ɛ r a
papiora	p a p j ɔ r a
papiorach	p a p j ɔ r a x
papiorama	p a p j ɔ r a m a
papiorowi	p a p j ɔ r ɔ v i
papiorze	p a p j ɔ r̝ ɛ
papiorã	p a p j ɔ r ã
papiorë	p a p j ɔ r ɜ
papioróm	p a p j ɔ r o m
papiorów	p a p j ɔ r o f
papiór	p a p j o r
papla	p a p l a
para	p a r a
paradiz	p a r a d i s
paradizowi	p a r a d i z ɔ v i
parmiń	p a r m i ɲ
parpac	p a r p a t͡s
parparc	p a r p a r t͡s
part	p a r t
partiã	p a r t j ã
partiô	p a r t j ɞ
partią	p a r t j ɔ̃
parôt	p a r ɞ t
pasturz	p a s t u r̝
pasztéta	p a ʃ t e t a
patrzëc	p a t ʂ ɜ t͡s
patróla	p a t r o l a
paw	p a f
pawión	p a v j o n
paznokc	p a z n ɔ k t͡s
pazura	p a z u r a
pańdowac	p a ɲ d ɔ v a t͡s
państwò	p a ɲ s t f w ɛ
pchac	p x a t͡s
pedantizm	p ɛ d a n t i z m
peintowac	p ɛ i n t ɔ v a t͡s
penzjôrz	p ɛ n z j ɞ r̝
peperlëszka	p ɛ p ɛ r l ɜ ʃ k a
pewniészi	p ɛ v ɲ e ʃ i
pewny	p ɛ v n i
pic	p i t͡s
piec	p j ɛ t͡s
pieniądz	p j ɛ ɲ ɔ̃ t͡s
piers	p j ɛ r s
pierscéń	p j ɛ r s t͡s e ɲ
pies	p j ɛ s
pil	p i l
pila	p i l a
pilik	p i l i k
pilã	p i l ã
pinacë	p i n a t͡s ɜ
piorun	p j ɔ r u n
piorën	p j ɔ r ɜ n
pioła	p j ɔ w a
pisac	p i s a t͡s
pisc	p i s t͡s
pismama	p i s m a m a
pismie	p i s m j ɛ
pismã	p i s m ã
pismò	p i s m w ɛ
pismóm	p i s m w o m
pismów	p i s m w o f
pismù	p i s m w u
pisz	p i ʃ
pisôrka	p i s ɞ r k a
pisôrz	p i s ɞ r̝
piwò	p i w ɛ
piãc	p j ã t͡s
piãkny	p j ã k n i
piãta	p j ã t a
piérwi	p j e r v i
pióro	p j o r ɔ
piôsk	p j ɞ s k
piąti	p j ɔ̃ t i
piątk	p j ɔ̃ t k
pińc	p i ɲ t͡s
plac	p l a t͡s
plan	p l a n
planéta	p l a n e t a
plata	p l a t a
platizer	p l a t i z ɛ r
plebeja	p l ɛ b ɛ j a
plecë	p l ɛ t͡s ɜ
plejowac	p l ɛ j ɔ v a t͡s
plińc	p l i ɲ t͡s
plwac	p l f a t͡s
plëta	p l ɜ t a
prac	p r a t͡s
pragnąc	p r a ɡ n ɔ̃ t͡s
prasa	p r a s a
prasã	p r a s ã
prasą	p r a s ɔ̃
prawi	p r a v i
prawic	p r a v i t͡s
prawie	p r a v j ɛ
prawò	p r a w ɛ
prezydent	p r ɛ z i d ɛ n t
princ	p r i n t͡s
princesa	p r i n t͡s ɛ s a
princów	p r i n t͡s o f
priz	p r i s
priza	p r i z a
problem	p r ɔ b l ɛ m
procent	p r ɔ t͡s ɛ n t
procëm	p r ɔ t͡s ɜ m
produkcjô	p r ɔ d u k t͡s j ɞ
projekt	p r ɔ j ɛ k t
propeler	p r ɔ p ɛ l ɛ r
prosti	p r ɔ s t i
prosëc	p r ɔ s ɜ t͡s
prożëszcze	p r ɔ ʒ ɜ ʃ t͡ʃ ɛ
przebëc	p ʂ ɛ b ɜ t͡s
przebëwac	p ʂ ɛ b ɜ v a t͡s
przed	p ʂ ɛ t
przede	p ʂ ɛ d ɛ
przedsãbiorstwò	p ʂ ɛ t s ã b j ɔ r s t f w ɛ
przedtim	p ʂ ɛ t t i m
przemësł	p ʂ ɛ m ɜ s w
przepis	p ʂ ɛ p i s
przeprowadzëc	p ʂ ɛ p r ɔ v a d͡z ɜ t͡s
przeprôszac	p ʂ ɛ p r ɞ ʃ a t͡s
przerwa	p ʂ ɛ r v a
przestac	p ʂ ɛ s t a t͡s
przez	p ʂ ɛ s
przitczi	p ʂ i t t͡ʃ i
przë	p ʂ ɜ
przëbaczac	p ʂ ɜ b a t͡ʃ a t͡s
przëcemk	p ʂ ɜ t͡s ɛ m k
przëczëna	p ʂ ɜ t͡ʃ ɜ n a
przëjacelka	p ʂ ɜ j a t͡s ɛ l k a
przëjachac	p ʂ ɜ j a x a t͡s
przëjacél	p ʂ ɜ j a t͡s e l
przëjôzd	p ʂ ɜ j ɞ s t
przëkłôd	p ʂ ɜ k w ɞ t
przënômni	p ʂ ɜ n ɞ m ɲ i
przëpôdk	p ʂ ɜ p ɞ t k
przëzemié	p ʂ ɜ z ɛ m j e
préczowac	p r e t͡ʃ ɔ v a t͡s
préder	p r e d ɛ r
próba	p r o b a
próbòwac	p r o b w ɛ v a t͡s
próst	p r o s t
prôca	p r ɞ t͡s a
prôcowac	p r ɞ t͡s ɔ v a t͡s
prôwda	p r ɞ v d a
prôwdzëwi	p r ɞ v d͡z ɜ v i
prąd	p r ɔ̃ t
pszczoła	p ʃ t͡ʃ ɔ w a
pszénica	p ʃ e ɲ i t͡s a
ptôch	p t ɞ x
pãczk	p ã t͡ʃ k
pãpk	p ã p k
pëla	p ɜ l a
pënka	p ɜ ŋ k a
përznã	p ɜ r̝ n ã
pëtac	p ɜ t a t͡s
pëtel	p ɜ t ɛ l
pò	p w ɛ
pòczta	p w ɛ t͡ʃ t a
pòczątk	p w ɛ t͡ʃ ɔ̃ t k
pòd	p w ɛ t
pòdac	p w ɛ d a t͡s
pòdatk	p w ɛ d a t k
pòdatkòwi	p w ɛ d a t k w ɛ v i
pòde	p w ɛ d ɛ
pòdjic	p w ɛ d j i t͡s
pòdjąc	p w ɛ d j ɔ̃ t͡s
pòdobny	p w ɛ d ɔ b n i
pòjachac	p w ɛ j a x a t͡s
pòkazac	p w ɛ k a z a t͡s
pòkrãtnik	p w ɛ k r ã t ɲ i k
pòkòlenié	p w ɛ k w ɛ l ɛ ɲ e
pòkój	p w ɛ k w o j
pòle	p w ɛ l ɛ
pòlicjô	p w ɛ l i t͡s j ɞ
pòlitika	p w ɛ l i t i k a
pòlsczi	p w ɛ l s t͡ʃ i
Pòlskã	p w ɛ l s k ã
Pòlskò	p w ɛ l s k w ɛ
Pòlskô	p w ɛ l s k ɞ
Pòlską	p w ɛ l s k ɔ̃
pòlé	p w ɛ l e
Pòlôch	p w ɛ l ɞ x
pòmiedzë	p w ɛ m j ɛ d͡z ɜ
pòmilëc	p w ɛ m i l ɜ t͡s
pòmiłka	p w ɛ m i w k a
pòmstowac	p w ɛ m s t ɔ v a t͡s
pòmësł	p w ɛ m ɜ s w
pòmòc	p w ɛ m w ɛ t͡s
pòmòrsczi	p w ɛ m w ɛ r s t͡ʃ i
Pòmòrskô	p w ɛ m w ɛ r s k ɞ
pòniedzôłk	p w ɛ ɲ ɛ d z ɞ w k
pòpiół	p w ɛ p j o w
pòprawa	p w ɛ p r a v a
pòprawã	p w ɛ p r a v ã
pòprawą	p w ɛ p r a v ɔ̃
pòpławach	p w ɛ p w a v a x
pòpławama	p w ɛ p w a v a m a
pòpławie	p w ɛ p w a v j ɛ
pòpławã	p w ɛ p w a v ã
pòpławë	p w ɛ p w a v ɜ
pòpławòwi	p w ɛ p w a w ɛ v i
pòpławóm	p w ɛ p w a w o m
pòpławów	p w ɛ p w a w o f
pòpławù	p w ɛ p w a w u
pòpłôw	p w ɛ p w ɞ f
pòrc	p w ɛ r t͡s
pòrtugalsczi	p w ɛ r t u ɡ a l s t͡ʃ i
Pòrtugalskô	p w ɛ r t u ɡ a l s k ɞ
pòrządk	p w ɛ r̝ ɔ̃ t k
pòseł	p w ɛ s ɛ w
pòstrzédny	p w ɛ s t ʂ e d n i
pòszczesnik	p w ɛ ʃ t͡ʃ ɛ s ɲ i k
pòt	p w ɛ t
pòtemù	p w ɛ t ɛ m w u
pòtrzeba	p w ɛ t ʂ ɛ b a
pòtrzébny	p w ɛ t ʂ e b n i
pòwiatowi	p w ɛ v j a t ɔ v i
pòwiedzec	p w ɛ v j ɛ d͡z ɛ t͡s
pòwiesc	p w ɛ v j ɛ s t͡s
pòwietrzé	p w ɛ v j ɛ t ʂ e
pòwiôt	p w ɛ v j ɞ t
pòwszedny	p w ɛ f ʃ ɛ d n i
pòznac	p w ɛ z n a t͡s
pón	p w o n
póta	p w o t a
pół	p w o w
pôlc	p ɞ l t͡s
pôlëc	p ɞ l ɜ t͡s
pôra	p ɞ r a
pôłnié	p ɞ w ɲ e
pôłny	p ɞ w n i
pùbliczny	p w u b l i t͡ʃ n i
pùding	p w u d i ŋ k
pùjk	p w u j k
pùlwer	p w u l v ɛ r
pùpa	p w u p a
pùpka	p w u p k a
pùrtk	p w u r t k
pùsti	p w u s t i
pùstiniô	p w u s t i ɲ ɞ
pąchérz	p ɔ̃ x e r̝
płacëc	p w a t͡s ɜ t͡s
płakac	p w a k a t͡s
płom	p w ɔ m
płëwac	p w ɜ v a t͡s
płëwôk	p w ɜ v ɞ k
płôtny	p w ɞ t n i
rabarber	r a b a r b ɛ r
rada	r a d a
radikùchë	r a d i k w u x ɜ
radiowi	r a d j ɔ v i
radiska	r a d i s k a
radnica	r a d ɲ i t͡s a
radny	r a d n i
rakéta	r a k e t a
rama	r a m a
ramã	r a m ã
ramą	r a m ɔ̃
rap	r a p
raps	r a p s
rańt	r a ɲ t
rechòwac	r ɛ x w ɛ v a t͡s
referat	r ɛ f ɛ r a t
refredrzerejta	r ɛ f r ɛ d r̝ ɛ r ɛ j t a
rek	r ɛ k
reksa	r ɛ k s a
remieniã	r ɛ m j ɛ ɲ ã
remiã	r ɛ m j ã
renifer	r ɛ ɲ i f ɛ r
reno	r ɛ n ɔ
reszta	r ɛ ʃ t a
retac	r ɛ t a t͡s
retôrz	r ɛ t ɞ r̝
rewòlucjô	r ɛ w ɛ l u t͡s j ɞ
rezultat	r ɛ z u l t a t
reż	r ɛ ʃ
Richard	r i x a r t
richtich	r i x t i x
ridel	r i d ɛ l
ridowac	r i d ɔ v a t͡s
ris	r i s
ritm	r i t m
riwka	r i f k a
roberk	r ɔ b ɛ r k
robic	r ɔ b i t͡s
robòta	r ɔ b w ɛ t a
robòtnik	r ɔ b w ɛ t ɲ i k
robòtã	r ɔ b w ɛ t ã
robòtą	r ɔ b w ɛ t ɔ̃
robósë	r ɔ b w o s ɜ
robôk	r ɔ b ɞ k
rocznica	r ɔ t͡ʃ ɲ i t͡s a
roda	r ɔ d a
rodny	r ɔ d n i
rodzëna	r ɔ d͡z ɜ n a
rodzôcz	r ɔ d͡z ɞ t͡ʃ
rodzôj	r ɔ d͡z ɞ j
rojber	r ɔ j b ɛ r
rok	r ɔ k
rolnik	r ɔ l ɲ i k
roscëna	r ɔ s t͡s ɜ n a
roscëną	r ɔ s t͡s ɜ n ɔ̃
rostlëna	r ɔ s t l ɜ n a
rowarzëc	r ɔ v a r̝ ɜ t͡s
rozegracjô	r ɔ z ɛ ɡ r a t͡s j ɞ
rozwij	r ɔ z v i j
rozwój	r ɔ z w o j
rubzak	r u b z a k
ruch	r u x
ruchniónka	r u x ɲ o ŋ k a
ruchno	r u x n ɔ
rujan	r u j a n
rum	r u m
Rumùńskô	r u m w u ɲ s k ɞ
rusczi	r u s t͡ʃ i
Ruskô	r u s k ɞ
rzecz	r̝ ɛ t͡ʃ
rzeszëc	r̝ ɛ ʃ ɜ t͡s
rzãdzëc	r̝ ã d͡z ɜ t͡s
rzéka	r̝ e k a
rzëc	r̝ ɜ t͡s
rzëcëc	r̝ ɜ t͡s ɜ t͡s
rząd	r̝ ɔ̃ t
rãbca	r ã p t͡s a
rãbic	r ã b i t͡s
rãcznik	r ã t͡ʃ ɲ i k
rãka	r ã k a
réga	r e ɡ a
régenmańtel	r e ɡ ɛ n m a ɲ t ɛ l
réza	r e z a
rézowac	r e z ɔ v a t͡s
rëba	r ɜ b a
rëbacczi	r ɜ b a t͡s t͡ʃ i
rëbôk	r ɜ b ɞ k
rëch	r ɜ x
rëchcenwalt	r ɜ x t͡s ɛ n v a l t
rëchtowac	r ɜ x t ɔ v a t͡s
rëchłi	r ɜ x w i
rëda	r ɜ d a
rënk	r ɜ ŋ k
rënka	r ɜ ŋ k a
ród	r o t
róg	r o k
równak	r o v n a k
równy	r o v n i
różewi	r o ʒ ɛ v i
rôczba	r ɞ d͡ʒ b a
rôtësz	r ɞ t ɜ ʃ
rôz	r ɞ s
rąkla	r ɔ̃ k l a
rżéc	r ʒ e t͡s
sadło	s a d w ɔ
salpéter	s a l p e t ɛ r
samożëcopis	s a m ɔ ʒ ɜ t͡s ɔ p i s
samòstójny	s a m w ɛ s t o j n i
sano	s a n ɔ
sapka	s a p k a
satira	s a t i r a
satisfakcjô	s a t i s f a k t͡s j ɞ
scana	s t͡s a n a
sczeńdżowac	s t͡ʃ ɛ ɲ d͡ʒ ɔ v a t͡s
sebie	s ɛ b j ɛ
seczera	s ɛ t͡ʃ ɛ r a
sedzec	s ɛ d͡z ɛ t͡s
sejm	s ɛ j m
semiã	s ɛ m j ã
Serbskô	s ɛ r p s k ɞ
serce	s ɛ r t͡s ɛ
serwal	s ɛ r v a l
serzpiéń	s ɛ r̝ p j e ɲ
skała	s k a w a
skejtowac	s k ɛ j t ɔ v a t͡s
skejtë	s k ɛ j t ɜ
skizë	s k i z ɜ
sklep	s k l ɛ p
skra	s k r a
skrzeczec	s k ʂ ɛ t͡ʃ ɛ t͡s
skrzeczk	s k ʂ ɛ t͡ʃ k
skrzidlati	s k ʂ i d l a t i
skrzidło	s k ʂ i d w ɔ
skrzëpczi	s k ʂ ɜ p t͡ʃ i
skunk	s k ɔ̃ k
skòk	s k w ɛ k
skòro	s k w ɛ r ɔ
skóra	s k w o r a
skórc	s k w o r t͡s
skąd	s k ɔ̃ t
skło	s k w ɔ
Sloweńskô	s l ɔ v ɛ ɲ s k ɞ
slëwa	s l ɜ v a
smard	s m a r t
smierc	s m j ɛ r t͡s
smiôc	s m j ɞ t͡s
sniég	s ɲ e k
sobòta	s ɔ b w ɛ t a
sobòtã	s ɔ b w ɛ t ã
sodło	s ɔ d w ɔ
sokół	s ɔ k w o w
solnica	s ɔ l ɲ i t͡s a
Sopòt	s ɔ p w ɛ t
sosera	s ɔ s ɛ r a
sosna	s ɔ s n a
sostra	s ɔ s t r a
spac	s p a t͡s
spalniô	s p a l ɲ ɞ
spelowac	s p ɛ l ɔ v a t͡s
spiéwac	s p j e v a t͡s
sprawa	s p r a v a
sprusz	s p r u ʃ
sprzãt	s p ʂ ã t
spòdlé	s p w ɛ d l e
spòkój	s p w ɛ k w o j
spòsób	s p w ɛ s o p
spôrzny	s p ɞ r̝ n i
spôwnica	s p ɞ v ɲ i t͡s a
stac	s t a t͡s
stanowiskò	s t a n ɔ v i s k w ɛ
starac	s t a r a t͡s
stark	s t a r k
starka	s t a r k a
starna	s t a r n a
starża	s t a r ʒ a
statk	s t a t k
statkòwac	s t a t k w ɛ v a t͡s
stawac	s t a v a t͡s
stawic	s t a v i t͡s
Stańcłów	s t a ɲ t͡s w o f
stebło	s t ɛ b w ɔ
stegna	s t ɛ ɡ n a
sto	s t ɔ
stojec	s t ɔ j ɛ t͡s
stojizna	s t ɔ j i z n a
stolem	s t ɔ l ɛ m
stolëca	s t ɔ l ɜ t͡s a
stopa	s t ɔ p a
stracëc	s t r a t͡s ɜ t͡s
strata	s t r a t a
strategiô	s t r a t ɛ ɡ j ɞ
stratã	s t r a t ã
stratą	s t r a t ɔ̃
stroberi	s t r ɔ b ɛ r i
strojic	s t r ɔ j i t͡s
strona	s t r ɔ n a
stronic	s t r ɔ ɲ i t͡s
strumiannik	s t r u m j a n ɲ i k
strzoda	s t ʂ ɔ d a
strzébro	s t ʂ e b r ɔ
strzédny	s t ʂ e d n i
strãk	s t r ã k
stréfla	s t r e f l a
strëmiéń	s t r ɜ m j e ɲ
strąg	s t r ɔ̃ k
stéwa	s t e v a
stëcznik	s t ɜ t͡ʃ ɲ i k
stëczéń	s t ɜ t͡ʃ e ɲ
stón	s t o n
stół	s t o w
stółk	s t o w k
stôri	s t ɞ r i
stąd	s t ɔ̃ t
sus	s u s
susac	s u s a t͡s
susk	s u s k
suszô	s u ʃ ɞ
sut	s u t
swatba	s f a d b a
swiadczëc	s f j a t t͡ʃ ɜ t͡s
swiat	s f j a t
swiatło	s f j a t w ɔ
swinia	s f i ɲ a
swinka	s f i ŋ k a
swit	s f i t
switus	s f i t u s
switus	s w i t u s
swiãti	s f j ã t i
Swiãtowit	s f j ã t ɔ v i t
swiéca	s f j e t͡s a
swiąda	s f j ɔ̃ d a
swiądno	s f j ɔ̃ d n ɔ
swiądny	s f j ɔ̃ d n i
swiądowac	s f j ɔ̃ d ɔ v a t͡s
swój	s f w o j
sygnatura	s i ɡ n a t u r a
symfoniô	s i m f ɔ ɲ ɞ
syn	s i n
system	s i s t ɛ m
systema	s i s t ɛ m a
sytuacjô	s i t u a t͡s j ɞ
szabelbón	ʃ a b ɛ l b w o n
szablóna	ʃ a b l o n a
szakal	ʃ a k a l
szari	ʃ a r i
szasé	ʃ a s e
szczec	ʃ t͡ʃ ɛ t͡s
szczescé	ʃ t͡ʃ ɛ s t͡s e
szczipniôk	ʃ t͡ʃ i p ɲ ɞ k
szczãka	ʃ t͡ʃ ã k a
szczëka	ʃ t͡ʃ ɜ k a
szef	ʃ ɛ f
szeroczi	ʃ ɛ r ɔ t͡ʃ i
szerpa	ʃ ɛ r p a
szesc	ʃ ɛ s t͡s
szescset	ʃ ɛ s t͡s s ɛ t
szewc	ʃ ɛ f t͡s
szezelon	ʃ ɛ z ɛ l ɔ n
szimpans	ʃ i m p a n s
szinszila	ʃ i n ʃ i l a
szituz	ʃ i t u s
szkòła	ʃ k w ɛ w a
szlabiza	ʃ l a b i z a
szlabizowac	ʃ l a b i z ɔ v a t͡s
szlafcymer	ʃ l a f t͡s i m ɛ r
szlejer	ʃ l ɛ j ɛ r
szlips	ʃ l i p s
szlipsztén	ʃ l i p ʃ t e n
szloser	ʃ l ɔ s ɛ r
szluk	ʃ l u k
Szląsk	ʃ l ɔ̃ s k
szmaka	ʃ m a k a
sznaps	ʃ n a p s
sznëka	ʃ n ɜ k a
sznëkrowac	ʃ n ɜ k r ɔ v a t͡s
szoféra	ʃ ɔ f e r a
szokòlôda	ʃ ɔ k w ɛ l ɞ d a
szpańsczi	ʃ p a ɲ s t͡ʃ i
Szpańskô	ʃ p a ɲ s k ɞ
szpiek	ʃ p j ɛ k
szpijona	ʃ p i j ɔ n a
szpijonaża	ʃ p i j ɔ n a ʒ a
szpinat	ʃ p i n a t
szpinia	ʃ p i ɲ a
szpédżel	ʃ p e d͡ʒ ɛ l
szpërplata	ʃ p ɜ r p l a t a
szpëtôl	ʃ p ɜ t ɞ l
szpôs	ʃ p ɞ s
szpùnd	ʃ p w u n t
szrubsztok	ʃ r u p ʃ t ɔ k
szruwa	ʃ r u v a
szrót	ʃ r o t
sztabil	ʃ t a b i l
sztabilny	ʃ t a b i l n i
sztacanwalt	ʃ t a t͡s a n v a l t
sztacheldrót	ʃ t a x ɛ l d r o t
sztatura	ʃ t a t u r a
Sztefan	ʃ t ɛ f a n
Sztejermark	ʃ t ɛ j ɛ r m a r k
sztil	ʃ t i l
sztof	ʃ t ɔ f
sztopac	ʃ t ɔ p a t͡s
sztor	ʃ t ɔ r
sztrajk	ʃ t r a j k
sztrasa	ʃ t r a s a
sztrechólc	ʃ t r ɛ x w o l t͡s
sztreka	ʃ t r ɛ k a
sztrich	ʃ t r i x
sztrid	ʃ t r i t
sztrimpa	ʃ t r i m p a
sztrojsel	ʃ t r ɔ j s ɛ l
sztrófa	ʃ t r o f a
sztróm	ʃ t r o m
sztrôfa	ʃ t r ɞ f a
sztudańt	ʃ t u d a ɲ t
sztudéra	ʃ t u d e r a
sztula	ʃ t u l a
sztãpel	ʃ t ã p ɛ l
Sztéce	ʃ t e t͡s ɛ
sztëk	ʃ t ɜ k
sztënia	ʃ t ɜ ɲ a
sztënik	ʃ t ɜ ɲ i k
sztërk	ʃ t ɜ r k
sztëruszk	ʃ t ɜ r u ʃ k
sztërë	ʃ t ɜ r ɜ
sztërësta	ʃ t ɜ r ɜ s t a
sztërësta	ʃ t ɜ r ɜ s t a
sztót	ʃ t o t
sztôpel	ʃ t ɞ p ɛ l
sztôłt	ʃ t ɞ w t
szum	ʃ u m
szur	ʃ u r
szurżejã	ʃ u r ʒ ɛ j ã
szwadżer	ʃ f a d͡ʒ ɛ r
Szwajcarskô	ʃ f a j t͡s a r s k ɞ
szwak	ʃ f a k
Szwedzkô	ʃ f ɛ t͡s k ɞ
szãtopiérz	ʃ ã t ɔ p j e r̝
széda	ʃ e d a
széper	ʃ e p ɛ r
szëc	ʃ ɜ t͡s
szëchta	ʃ ɜ x t a
szëja	ʃ ɜ j a
szëkac	ʃ ɜ k a t͡s
szëmel	ʃ ɜ m ɛ l
szëmòt	ʃ ɜ m w ɛ t
szëpla	ʃ ɜ p l a
szónowac	ʃ o n ɔ v a t͡s
szónung	ʃ o n u ŋ k
szósti	ʃ o s t i
sã	s ã
sãp	s ã p
séc	s e t͡s
sétmë	s e t m ɜ
séwnik	s e v ɲ i k
sëchi	s ɜ x i
sëgac	s ɜ ɡ a t͡s
sëjac	s ɜ j a t͡s
sëka	s ɜ k a
sëna	s ɜ n a
sënowie	s ɜ n ɔ v j ɛ
sëpac	s ɜ p a t͡s
sër	s ɜ r
sëri	s ɜ r i
sëti	s ɜ t i
sëła	s ɜ w a
sóm	s o m
sôrbac	s ɞ r b a t͡s
sąd	s ɔ̃ t
sąsôd	s ɔ̃ s ɞ t
słabi	s w a b i
słabizna	s w a b i z n a
sława	s w a v a
Słowackô	s w ɔ v a t͡s k ɞ
słowiańsczi	s w ɔ v j a ɲ s t͡ʃ i
Słowión	s w ɔ v j o n
Słowiónka	s w ɔ v j o ŋ k a
Słowińc	s w ɔ v i ɲ t͡s
słowò	s w ɔ w ɛ
słowôrz	s w ɔ v ɞ r̝
słuńce	s w u ɲ t͡s ɛ
służba	s w u ʒ b a
słëchac	s w ɜ x a t͡s
słód	s w o t
słóń	s w o ɲ
tablët	t a b l ɜ t
taczi	t a t͡ʃ i
tajra	t a j r a
tak	t a k
także	t a ɡ ʒ ɛ
talôr	t a l ɞ r
tam	t a m
tamten	t a m t ɛ n
tamò	t a m w ɛ
tapir	t a p i r
taska	t a s k a
tasza	t a ʃ a
tatczëzna	t a t t͡ʃ ɜ z n a
teatrownica	t ɛ a t r ɔ v ɲ i t͡s a
teatrownik	t ɛ a t r ɔ v ɲ i k
technika	t ɛ x ɲ i k a
tedë	t ɛ d ɜ
telefón	t ɛ l ɛ f w o n
ten	t ɛ n
terasa	t ɛ r a s a
termin	t ɛ r m i n
terô	t ɛ r ɞ
terôz	t ɛ r ɞ s
tidzéń	t i d͡z e ɲ
tigris	t i ɡ r i s
timczasã	t i m t͡ʃ a s ã
tinta	t i n t a
tił	t i w
tkac	t k a t͡s
to	t ɔ
tobą	t ɔ b ɔ̃
toczk	t ɔ t͡ʃ k
toczëc	t ɔ t͡ʃ ɜ t͡s
todrowac	t ɔ d r ɔ v a t͡s
tojzë	t ɔ j z ɜ
tomata	t ɔ m a t a
top	t ɔ p
topór	t ɔ p w o r
torfszpôda	t ɔ r f ʃ p ɞ d a
torma	t ɔ r m a
torta	t ɔ r t a
towôr	t ɔ v ɞ r
trafùnk	t r a f w u ŋ k
trak	t r a k
transpòrt	t r a n s p w ɛ r t
trapa	t r a p a
trawler	t r a v l ɛ r
triszcze	t r i ʃ t͡ʃ ɛ
trodla	t r ɔ d l a
trompéta	t r ɔ m p e t a
trotil	t r ɔ t i l
trus	t r u s
trzeba	t ʂ ɛ b a
trzech	t ʂ ɛ x
trzecy	t ʂ ɛ t͡s i
