aa	ɑː
spinna	ʃ b̥ i n ɐ
Spitoi	ʃ b̥ i d̥ː ɔ e
Språch	ʃ b̥ r ɔ χ
spuin	ʃ b̥ u i̯ n
spåd	ʃ b̥ ɔː d̥
Spåtz	ʃ b̥ ɔː d̥ s
Spåtz	ʃ p ɔ t s
spün	ʃ b̥ yː n
Staa	ʃ d̥ ɑː
stad	ʃ d̥ ɑˑ d̥
stampern	ʃ d̥ ɑ m b̥ː ɐ n
Stanitzl	ʃ d̥ ɑː n i d̥ s l̩
stanzn	ʃ d̥ ɑ n d̥ː s n̩
stearn	ʃ d̥ e̞ ɐ̯ n
steh	ʃ d̥ eː
Steinderl	ʃ d̥ ɑ ɛ̯ n d̥ ɐ l
Steinderl	ʃ d̥ æː n d̥ ɐ l
Steindl	ʃ d̥ ɑ ɛ̯ n d̥ l̩
Steindl	ʃ d̥ æː n d̥ l̩
sterbn	ʃ d̥ ɛ ɐ̯ m
stessn	ʃ d̥ ɛ sː n̩
Stiagn	ʃ d̥ i ɐ ŋ
Stick	ʃ d̥ i ɡ̥
stierln	ʃ d̥ i ɐ̯ l n̩
Stimm	ʃ d̥ i m
Stimman	ʃ d̥ i m ɐ n
stimman	ʃ d̥ i m ɐ n
stinga	ʃ d̥ i ŋ ɡ ɐ
stinkert	ʃ d̥ i ŋ ɡ̥ː ɐ d̥
stinkn	ʃ d̥ i ŋ ɡ̥ ɴ̩
stitzn	ʃ d̥ i d̥ s n̩
Stitzradl	ʃ d̥ i d̥ s r ɑː d̥ l̩
Stoa	ʃ d̥ o a̯
strafn	ʃ d̥ r ɑː f ɱ̩
Strankalan	ʃ d̥ r ɑ ŋ ɡ̥ː ɐ l ɑ n
strawanzn	ʃ d̥ r ɑ β ɑ n t s n̩
strawanzn	ʃ d̥ r ɑ β ɒ̃ n t s n̩
stråfn	ʃ d̥ r ɔː f ɱ̩
Stråßn	ʃ d̥ r ɔː s n̩
Stund	ʃ d̥ u n d̥
Stådt	ʃ d̥ ɔ d̥
Stångan	ʃ d̥ ɔ ŋ ɐ n
Stångan	ʃ d̥ ɒ̃ː ŋ ɐ n
stårk	ʃ d̥ ɔ ɐ̯ ɡ̥
stått	ʃ d̥ ɔ d̥
Stö	ʃ d̥ œː
stöhn	ʃ d̥ œː n
stön	ʃ t œ n
suacha	s u ɐ x ɐ
suachn	s u ɐ x ŋ
Suiber	s u i̯ β ɐ
Summer	s u m ɐ
Sun	s u n
Sundåg	s u n d̥ ɔ ɡ̥
Sunnda	s u n d̥ ɐ
Suppn	s u b̥ː ɱ̩
Surg	s u ɐ̯ ɡ̥
surgn	s u ɐ̯ ŋ
Säi	s ə i̯
Såch	s ɔ x
Såch	s ɔ χ
Såft	s ɔ f d̥
Såg	s ɔː ɡ̊
sågn	s ɔː ŋ
sågn	s oː ŋ
Såmsdåg	s ɔ m s d̥ ɔ ɡ̥
Såmsdåg	s ɒ̃ m s d̥ ɔ ɡ̥
Sånd	s ɔ n d̥
Sånd	s ɒ̃ː n d̥
Såtz	s ɔ d̥ s
söbe	s œ β e̞
söber	s œ β ɐ
Süber	s y β ɐ
Süwa	s y β ɐ
Süwer	s y β ɐ
Taag	d̥ ɑː ɡ̥
Tackn	d̥ ɑ ɡ̥ː ɴ̩
tamma	d̥ ɑ m ɐ
Tand	d̥ a n d̥
Tandler	d̥ a n d̥ l ɐ
taugn	d̥ ɑ ɔ̯ ŋ
taugn	d̥ ɒː ŋ
Tee	d̥ ɛː
Tee	tʰ ɛː
teier	d̥ ɑ ɛ̯ ɐ
teier	d̥ æː ɐ
Teifl	d̥ a ɛ̯ f l
Teifl	d̥ æː f l
Teschek	d̥ e̞ ʃ e̞ k
Tia	d̥ iː ɐ̯
Tier	d̥ iː ɐ̯
Tocker	d̥ ɔ ɡ̥ː ɐ
todln	d̥ oː d l̩ n
Topfn	d̥ o b̥ f m̩
Trauminet	d̥ r ɑ ɔ̯ m i n ɛ d̥
Trauminet	d̥ r ɒː m i n ɛ d̥
treffn	d̥ r e̞ f n̩
trennan	t r e̞ n ɐ n
tretn	d̥ r eː d̥ n̩
Tretradl	d̥ r e d̥ r ɑː d̥ l̩
trickern	d̥ r i ɡ̥ː ɐ n
trinkn	d̥ r i ŋ ɡ̥ː ŋ
trinkn	t ʀ i ŋ ɡ̥ː ŋ
trinkn	t ʀ i ŋ kʰ ŋ
Trumm	d̥ r u m
Trutschn	d̥ r u d̥ ʃ n̩
trågn	d̥ r ɔː ŋ
trågn	d̥ r oː ŋ
Tscheafl	d̥ ʃ e̞ ɐ f l̩
Tschecherl	d̥ ʃ e̞ x ɐ l
Tschesn	d̥ ʃ e̞ː s n̩
Tschocherl	d̥ ʃ o̞ x ɐ l
tuan	d̥ u ɐ̯ n
Tuatn	d̥ ʊ ɐ d̥ː n̩
tummln	d̥ u m l̩ n
täuln	d̥ ɶː n
täuln	d̥ ɶ ɫ n̩
Tåg	d̥ ɔ ɡ̥
Tånz	d̥ ɔ n d̥͡s
Tånz	d̥ ɒ̃ n d̥͡s
tånzn	d̥ ɔ n d̥ s n̩
tånzn	d̥ ɒ̃ː n d̥ s n̩
Uawaschl	uː ɐ̯ v a ʃ l̩
Ukraine	u k r a iː n ə
umadum	u m ɐ d̥ u m
umfün	u m f yː n
umma	u mː ɐ
umme	u mː ɛ
ummi	u mː i
und	u n t
Unterflack	u n d̥ ɐ f l ɑ ɡ̥
Unterflak	u n d̥ ɐ f l ɑ ɡ̥
ur	u ɐ̯
ur	uː ɐ̯
urblaad	u ɐ̯ b̥ l ɑː d̥
urblad	u ɐ̯ b̥ l ɑː d̥
urdeppert	u ɐ̯ d̥ ɛ b̥ː ɐ d̥
Urdnung	u ɐ d̥ n u ŋ
urfad	u ɐ̯ f ɑː d̥
urguad	u ɐ̯ ɡ̥ u ɐ̯ d̥
urkla	u ɐ̯ ɡ̥ l ɑː
urklaa	u ɐ̯ ɡ̥ l ɑː
urkoid	u ɐ̯ kʰ ɔ e d̥
uroid	u ɐ̯ ɔ e d̥
urschiach	u ɐ̯ ʃ i ɐ̯ x
Ursåch	u ɐ̯ s ɔ x
Ursåchn	u ɐ̯ s ɔ x ɴ̩
urteier	u ɐ̯ d̥ ɑ ɛ̯ ɐ
urteier	u ɐ̯ d̥ æː ɐ
Vadda	f ɒ t a
vej	f e i̯
verliern	f ɐ l iː ɐ̯ n̩
vernådern	f ɐ n ɔː d̥ ɐ n
verruckt	f ɐ r u ɡ̥ d̥
versiaßn	f ɐ s i ɐ̯ sː n̩
versoizn	f ɐ s ɔ e̯ d̥ s n̩
versteh	f ɐ ʃ d̥ eː
Versåger	f ɑ s ɔ ɡ̥ ɐ
vertrickern	f ɐ d̥ r i ɡ̥ː ɐ n
Viech	f iː ç
Viechdokta	f iː ç d̥ o k t ɐ
vier	f i ɐ̯
Vierer	f i ɐ̯ r ɐ
vif	v i f
violett	f iː o l ɛ t
violett	f i o l ɛ t
Visage	ʋ i s aː ʃ
vo	f oː
Voda	f ɔː d̥ ɐ
Vogl	f oː ɡ̊ l̩
Vogl	f uː ɡ̊ l̩
Vogl	f u ɐ̯ ɡ̊ l̩
voi	f o e
voifün	f o e f yː n
Voik	f o e ɡ̥ː
Vuamittåg	f u ɐ̯ m i d̥ː ɔ ɡ̥
Vuaspeis	f u ɐ̯ ʃ b̥ ɑ ɛ̯ s
Vuaspeis	f u ɐ̯ ʃ b̥ æː s
vui	f u i̯
Våttan	f ɔ d̥ː ɐ n
Våttan	f ɔ d̥ ɐ n
vü	f ʏ
vü	f ʏː
waach	v ɑː x
waar	β aː
wach	v ɑː x
Wadl	v ɑː d̥ l̩
Wappler	v ɑ b̥ː l ɐ
war	ʋ aː
war	ʋ aː r
waschln	v ɑ ʃ l̩ n
waschlnåss	v a ʃ l̩ n ɒ s
Wassa	β ɔ sː a
Wassa	v ɔ sː a
Wast	β a s t
Watschn	v ɑː d̥ ʃ n̩
Watschn	v aː d̥ ʃ n̩
watschn	v ɑː d̥ ʃ n̩
watschn	v aː d̥ ʃ n̩
wean	v e̞ ɐ̯ n
Weckerl	v e ɡ̥ː ɐ l
Weckn	v e ɡ̥ː ŋ
wegn	ʋ eː ŋ
Weh	v eː
wei	v ɑ ɛ̯
weiß	β ɑ ɛ̯ s
weiß	v æː s
weng	ʋ e ŋ
weng	ʋ eː ŋ
Weps	β ɛ b̥ s
Wepsn	v e b̥ s n̩
wergln	β e ɐ̯ ɡ̊ l̩ n
wia	v i ɐ̯
wia	β i ɐ̯
Wickl	v i ɡ̥ː l̩
wickln	v i ɡ̥ː l̩ n
wieder	v i d̥ ɐ
Wien	ʋ iː n
Wiesn	v iː s n̩
Wiesn	β iː s n̩
Wind	v i n d̥
Wind	β i n d̥
Windradl	v i n d̥ r ɑː d̥ l̩
winschn	v i n ʃ n̩
wirkle	v i ɐ ɡ̥ l e̞
wirkli	v i ɐ ɡ̥ l e̞
wischn	v i ʃ n̩
wissen	v i s n̩
wissn	v i sː n̩
wissn	β i sː n̩
wo	v oː
woach	v ɑː x
woana	ʋ o ɐ̯ n ɐ
woar	v ɔ ɐ̯
woatn	v ɔ ɐ̯ d̥ n̩
Wochn	v o̞ˑ x ɴ̩
woi	v o e
Woid	β o̞ e d̥
Woid	v o̞ e d̥
Woif	v o̞ e f
Woif	β o̞ e f
woifühn	v o e f yː n
woikn	v o e ɡ̥ː ŋ̩
Woikn	v o e ɡ̥ː ŋ̩
woin	v o̞ e n
woin	β o̞ e n
Woiwodschoft	v ɔ ɪ v oː d ʃ ɔ f t
wos	v ɔː s
wos	β ɔː s
Wossa	β ɔ sː a
Wossa	v ɔ sː a
Wuascht	v u ɐ ʃ d̥
Wurscht	v u ɐ ʃ d̥
wurscht	v u ɐ ʃ d̥
Wurt	v ʊ ɐ d̥
Wurt	β ʊ ɐ d̥
wäu	v ɶː
Wäu	v ɶː
wåch	v ɒ x
Wåchs	v ɔ ɡ̥ s
wåchsn	v ɔ ɡ̥ s n̩
Wåffn	w ɔ fː ɱ̩
Wåg	v ɔː ɡ̥
Wågn	ʋ ɔː ŋ
Wågn	ʋ ɒː ŋ
Wågn	ʋ ɔː ŋ
Wågn	ʋ oː ŋ
wåmpert	v ɔ m b̥ː ɐ d̥
wåmpert	v ɒ̃ m b̥ː ɐ d̥
Wåmpn	v ɔ m b̥ː m̩
Wåmpn	v ɒ̃ m b̥ː m̩
Wånd	w ɔ n d̥
Wånd	w ɒ̃ n d̥
wånn	v ɔ n
wånn	v ɒ̃ n
wår	v ɒː
wårm	v ɔ ɐ̯ m
wårm	β ɔ ɐ̯ m
wås	v ɔː s
wåschn	v ɔ ʃ n̩
wåschn	β ɔ ʃ n̩
Wåsser	β ɒ sː ɐ
Wåsser	β ɔ sː ɐ
Wåsser	β ɔ sː a r
Wöd	v œː d̥
wöhn	v œː n
wüd	v yː d̥
z'Fleiß	t͡s f l a ɪ̯ s
z'Fleiß	t͡s f l a ɛ̯ s
z'Fleiß	t͡s f l æː s
z'Haus	t͡s ɑ ɔ̯ s
z'Haus	t͡s ɒː s
zaach	t͡s ɑː x
zach	t͡s ɑː x
Zager	t͡s aː ɡ̥ ɐ
zagn	d̥ s ɑː ŋ
zamm	t s ɒ m
zawås	d̥ s ɐ β ɔ s
zeascht	t͡s ɛ ɐ̯ ʃ d̥
Zechn	t s eː ç ŋ
zehn	t͡s eː n
zehn	t͡s e ɐ̯
Zeid	d̥ s ɑ ɛ̯ d̥
Zeid	d̥ s æː d̥
zerscht	t͡s ɛ ɐ̯ ʃ d̥
Zezn	t͡s e t͡s n̩
ziagn	t͡s i ɐ̯ ŋ
zindln	d̥ s i n d l̩ n
zindn	d̥ s i n d̥ n̩
zletzt	t͡s l e̞ t͡s d̥
Zniachtl	t͡s n iː ɐ ç d̥ l̩
zoagn	d̥ s ɔ ɐ̯ ŋ
zoin	d̥ s ɔ e n
Zores	t͡s o ɐ̯ r ɛ s
zruck	d̥ s r u ɡ̥ː
zuadrahn	t͡s u ɐ̯ d̥ r ɑː n
Zuafoi	d̥ s u ɐ̯ f ɔ e
Zuan	d̥ s u ɐ̯ n
Zund	t͡s u n d̥
Zung	t s u ŋ
Zurn	d̥ s u ɐ̯ n
zuwa	t͡s uˑ β ɐ
zuwe	t͡s uˑ β ɛ
zuwi	t͡s uˑ β i
zuzln	t͡s uː t͡s l̩ n
zwaa	t͡s v ɑː
Zwarer	d̥ s v ɑː r ɐ
Zwarer	d̥ s v aː r ɐ
zwejf	d̥ s v ɛ e f
zwider	t͡s v iː d̥ ɐ
Zwiefe	t͡s v iː β ɛ
Zwiewe	t͡s v iː β ɛ
zwischen	t͡s β i ʃ n̩
zwoa	t͡s β ɔ ɐ̯
zwöfe	d̥ s v œː f ɛ
zwööf	d̥ s v œː f
Zähnt	d̥ s e̞ː n d̥
Zåhn	d̥ s ɔː n
Zåhn	d̥ s ɒ̃ː n
Zåhnradl	d̥ s ɔː n r ɑː d̥ l̩
Zåhnradl	d̥ s ɒ̃ː n r ɑː d̥ l̩
zåmm	d̥ s ɔ m
zåmm	d̥ s ɒ̃ m
zåmmbringa	d̥ s ɔ m b̥ r i ŋ ɐ
zåmmbringa	d̥ s ɒ̃ m b̥ r i ŋ ɐ
zåmmessn	d̥ s ɔ m e sː n̩
zåmmessn	d̥ s ɒ̃ m e sː n̩
zåmmfressn	d̥ s ɔ m f r e sː n̩
zåmmfressn	d̥ s ɒ̃ m f r e sː n̩
zåmmredn	d̥ s ɔ m r eː n
zåmmredn	d̥ s ɒ̃ m r eː n
zåmmscheißn	d̥ s ɔ m ʃ ɑ ɛ̯ s n̩
zåmmscheißn	d̥ s ɒ̃ m ʃ æː s n̩
zårt	t͡s ɔ a̯ t
zöhn	d̥ s œː n
Zün	t͡s yː n
Åbend	ɔː b̥ m̩ d̥
Åbend	ɔː m b̥ d̥
Åbend	ɔː m d̥
Åbend	ɒ̃ː m b̥ d̥
åbrenna	ɔː b̥ r ɛ n ɐ
åbrenna	ɔː b̥ r ɛ n ɐ
åbrenna	ɒ̃ː b̥ r ɛ n ɐ
åcht	ɔ x t
Åchter	ɔ x d̥ ɐ
ådrahn	ɔ d̥ r ɑː n
ådraht	ɔ d̥ r ɑː d̥
Åff	ɔ f
åfäuln	ɒ̃ː f ɶː n
åfånga	ɔː f ɔ ŋ ɐ
åfånga	ɔː f ɔ ŋ ɐ
åfånga	ɒ̃ː f ɒ̃ ŋ ɐ
åfühn	ɔː f yː n
åfühn	ɒ̃ː f yː n
åfün	ɔː f yː n
åfün	ɔː f yː n
åfün	ɒ̃ː f yː n
ågriat	ɔː ɡ̥ r iː ɐ̯ d̥
ågriat	ɒ̃ː ɡ̥ r iː ɐ̯ d̥
Ågråsl	ɔ ɡ̥ r ɔ s l̩
Ågråsln	ɔ ɡ̥ r ɔ s l̩ n
åhaun	ɔː h ɑ ɔ n
åhaun	ɔː h ɑ ɔ n
åhaun	ɒ̃ː h ɒː n
åi	ɔ i̯
åi	ɔ e̯
åkragln	ɔː ɡ̥ r ɑ ɡ̥ l̩ n
ålassig	ɔː l ɑ s i ɡ̥
ålassig	ɒ̃ː l ɑ s i ɡ̥
ållawäu	ɔ l ɐ β ɑ ɛ̯
ållawäu	ɔ l ɐ β ɶː
åm	ɔ m
åm	ɒ̃ m
Åmasn	ɔˑ m ɑː s n̩
Åmasn	ɒ̃ˑ m ɑː s n̩
Åmeisn	ɔˑ m ɑ ɛ̯ s n̩
Åmeisn	ɒ̃ˑ m æː s n̩
Ångscht	ɔ ŋ ɡ̥ ʃ d̥
Ångst	ɔ ŋ ɡ̥ s d̥
Ångst	ɒ̃ː ŋ ɡ̥ s d̥
Åpfe	ɔ b̥ː f œ
årian	ɔː r iː ɐ̯ n
årian	ɒ̃ː r iː ɐ̯ n
Årt	ɔ ɐ̯ t
årwatn	ɒː β ɐ n
årwatn	o ɐ̯ β ɐ n
årwatn	ɒː β ɐ t n̩
årwatn	o ɐ̯ β ɐ t n̩
Årzt	ɔ ɐ d̥ s d̥
åtmen	ɔ d̥ m ɐ n
åwa	ɔː ʋ ɐ
åwa	ɒː ʋ ɐ
åwa	ɔː ʋ ɐ
åwe	ɔː β̞ ɛ
åwi	ɔː β̞ i
åwi	ɔː β̞ e
öfe	œː f ɛ
ös	e s
öß	e s
Östareich	øː s t ɐ ʁ a ɪ̯ ç
Ööbogn	œː b̥ o̞ː ŋ
ööf	œː f
Öön	œː n
Öönbogn	œː n b̥ o̞ː ŋ
