अ	ʌ
मन्त्रिणी	m ʌ n̪ t̪ r i ɽ̃ i
मन्त्रिनी	m ʌ n̪ t̪ r i n i
मन्त्री	m ʌ n̪ t̪ r i
ममः	m ʌ m ʌ
ममा	m ʌ m ä
ममि	m ʌ m i
ममो	m ʌ m o
मर	m ʌ ɾ ʌ
मरमरम्मत	m ʌ ɾ ʌ m ʌ ɾ ʌ mː ʌ t̪
मरमर्मत	m ʌ ɾ ʌ m ʌ r m ʌ t̪
मरम्मत	m ʌ ɾ ʌ mː ʌ t̪
मराठी	m ʌ ɾ ä ʈʰ i
मरुभूमि	m ʌ ɾ u b u m i
मर्	m ʌ r
मर्नु	m ʌ r n u
मर्मत	m ʌ r m ʌ t̪
मलाई	m ʌ l ä i̯
महिना	m ʌ i̯ n ä
महिला	m ʌ i l ä
माँड	m ä̃ ɽ
माइजु	m ä i̯ d z u
माइजू	m ä i̯ d z u
माइज्यू	m ä i̯ d z j u
माकुरा	m ä k u ɾ ä
माखो	m ä k̞ʰ o
माघ	m ä ɡ̞
माचिक्नी	m ä t͡s i k n i
माछा	m ä t͡sʰ ä
माझ्नु	m ä d z n u
माता	m ä t̪ ä
मानव	m ä n ʌ b
मानवता	m ä n ʌ b̚ t̪ ä
मानविकी	m ä n ʌ b i k i
मानिस	m ä n i s
मानिसहरू	m ä n i s ɦ ʌ ɾ u
माने	m ä n e
मान्छे	m ä n̻ t͡sʰ e
मान्नु	m ä nː u
माफ	m ä ɸ
मामा	m ä m ä
मार्	m ä r
मार्ग	m ä r ɡ ʌ
मार्नु	m ä r n u
माला	m ä l ä
मासु	m ä s u
मास्नु	m ä s n u
मिच्नु	m i t͡s n u
मिठो	m i ʈʰ o
मिति	m i t̪ i
मित्र	m i t̪ r ʌ
मित्रता	m i t̪ r ʌ t̪ ä
मिनेट	m i n e ʈ
मिलाउँदै	m i l ä ũ d̪ ʌ i̯
मिलेर	m i l e ɾ ʌ
मिल्नु	m i l n u
मिस्सी	m i sː i
मुख	m u k̞ʰ
मुख्य	m u k kʰ e
मुजी	m u d z i
मुटु	m u ʈ u
मुत्नु	m u t̪ n̪ u
मुद्रा	m u d̪ r ä
मेच	m e t͡s
मेटाउनु	m e ʈ ä u̯ n u
मेटी	m e ʈ i
मेट्नु	m e ʈ ɳ u
मेरो	m e ɾ o
मैले	m ʌ i̯ l e
मैलो	m ʌ i̯ l o
मोःमो	m o m o
मोःमोः	m o m o
मोजा	m o d z ä
मोटरसाइकल	m o ʈ ʌ r s ä i̯ k ʌ l
मोटो	m o ʈ o
मोड्नु	m o ɽ ɳ u
मोमो	m o m o
मोमोः	m o m o
मोर	m o ɾ ʌ
मोर्	m o r
मोर्नु	m o r n u
मौरी	m ʌ u̯ ɾ i
मौसम	m ʌ u̯ s ʌ m
म्वाइँ	m w ä ĩ
यदि	e d̪ i
यस	e s
यसको	e s k o
यसमा	e s m ä
यसरी	e s ʌ ɾ i
यसलाई	e l l ä i̯
यसलाई	e s l ä i̯
यसले	e l l e
यसले	e s l e
यसै	e s ʌ i̯
यस्तो	e s t̪ o
यहाँ	j ä̃ː
यहाँ	j ä̆ ɦ ä̤̃
यहाँ	ɦ j ä̤̃
यहाँ	ɦ j ä̤̃ː
यहाँका	j ä̃ː k ä
यहाँको	j ä̃ː k o
यहाँमा	ɦ j ä̃ː m ä
यहाँलाई	j ä̃ː l ä i̯
यहाँले	j ä̃ː l e
यही	e i̯
यही	i̯ e i̯
यही	j e i̯
या	j ä
यातायात	j ä t̪ ä j ä t̪
यानाति	j ä n ä t̪ i
यी	i
युबक	j u b ʌ k
युवक	j u w ʌ k
यूरोप	j u ɾ o p
यो	j o
योगदान	j o ɡ̞ d̪ ä n
योगदानको	j o ɡ̞ ʌ d̪ ä n k o
योगदानहरू	j o ɡ̞ ʌ d̪ ä n ɦ ʌ ɾ u
र	r ʌ
रंडी	r ʌ ɳ ɖ i
रक्त	r ʌ k̚ t̪ ʌ
रक्सी	r ɒ k s i
रक्सी	r ʌ k s i
रगत	r ʌ ɡ̞ ʌ t̪
रङ	r ʌ ŋ
रङ्ग	r ʌ ŋ
रङ्ग	r ʌ ŋ ɡ ʌ
रङ्गीचङ्गी	r ʌ ŋ ɡ i t͡s ʌ ŋ ɡ i
रचना	r ʌ t͡s ʌ n ä
रच्नु	r ʌ t͡s n u
रण्डी	r ʌ ɳ ɖ i
रत्न	r ʌ t̪ n̪ ʌ
रन्डी	r ʌ ɳ ɖ i
रमाइलो	r ʌ m ä i̯ l o
रमाईलो	r ʌ m ä i̯ l o
रस	r ʌ s
रसी	r ʌ s i
रहनु	r ʌ̤ː n u
रहेका	r ʌ ɦ e k ä
रहेको	r ʌ ɦ e k o
राँबो	r ä̃ b o
राकस	r ä k ʌ s
राख्नु	r ä k̞ʰ n u
राजा	r ä d z ä
रात	r ä t̪
रातो	r ä t̪ o
रानी	r ä n i
रामो	r ä m o
राम्ररी	r ä m r ʌ ɾ i
राम्रो	r ä m r o
राष्ट्र	r ä s̠ t̠ r ʌ
राष्ट्रपति	r ä s̠ t̠ r ʌ p ʌ t̪ i
राष्ट्रिय	r ä s̠ t̠ r i e
राष्ट्रीय	r ä s̠ t̠ r i e
रित्तो	r i t̪̚ t̪ o
रुख	r u k̞ʰ
रुनु	r u n u
रुप	r u p
रुपियाँ	r u p i j ä̃
रूख	r u k̞ʰ
रूप	r u p
रूपमा	r u p m ä
रोक्नु	r o k n u
रोग	r o ɡ̞
रोटी	r o ʈ i
रोपनी	r o p ʌ n i
ल	l ʌ
लक्ष्मी	l ʌ k s m i
लक्ष्मी	l ʌ k̚ t͡sʰ j m i
लक्ष्मी	l ʌ t̚ t͡sʰ i m i
लगाउनु	l ʌ ɡ̞ ä u̯ n u
लगानी	l ʌ ɡ̞ ä n i
लघ्वातु	l ʌ ɡ̞ w ä t̪ u
लट्ठी	l ʌ ʈ̚ ʈʰ i
लड्नु	l ʌ ɽ ɳ u
लपक्क	l ʌ p ʌ k̚ k ʌ
लसुन	l ʌ s u n
लाँडो	l ä̃ ɽ o
लाई	l ä i̯
लाउनु	l ä u̯ n u
लाख	l ä k̞ʰ
लागि	l ä ɡ̞ i
लाग्नु	l ä ɡ̞ n u
लाठी	l ä ʈʰ i
लाडो	l ä ɽ o
लामा	l ä m ä
लामो	l ä m o
लिएको	l i e k o
लिङ्क	l i ŋ k
लिनु	l i n u
लुकाउनु	l u k ä u̯ n u
लुक्नु	l u k n u
लुगा	l u ɡ̞ ä
लुम्बिनी	l u m b i n i
ले	l e
लेख	l e kʰ ʌ
लेख	l e k̞ʰ
लेखमा	l e k̞ʰ m ä
लेखहरु	l e k̞ʰ ‿ ɦ ʌ ɾ u
लेखहरू	l e k̞ʰ ɦ ʌ ɾ u
लेखिएको	l e k̞ʰ i e k o
लेखिदिन्छ	l e k̞ʰ i d̪ i n̻ t͡sʰ ʌ
लेखिनु	l e k̞ʰ i n u
लेख्	l e k̞ʰ
लेख्न	l e k̞ʰ n ʌ
लेख्नु	l e k̞ʰ n u
लैङ्गिक	l ʌ i̯ ŋ ɡ i k
लोग्ने	l o ɡ̞ n e
ल्वाङ	l w ä ŋ
व	w ʌ
वटा	o ʈ ä
वडा	o ɽ ä
वडा	w ʌ ɽ ä
वन	b ʌ n
वन्य	b ʌ nː e
वर्ग	b ʌ r ɡ ʌ
वर्णमाला	b ʌ r n ʌ m ä l ä
वर्णमाला	b ʌ r ɽ̃ ʌ m ä l ä
वर्षा	b ʌ r s ä
वसन्त	b ʌ s ʌ n̪ t̪ ʌ
वहाँ	w ä̃ː
वहाँ	w ä̆ ɦ ä̤̃
वहाँ	w ä̤̃ː
वहाँ	ɦ w ä̤̃ː
वहाँको	w ä̃ː k o
वहाँमा	w ä̃ː m ä
वहाँलाई	w ä̃ː l ä i̯
वहाँले	w ä̃ː l e
वाक्नु	w ä k n u
वार्ता	b ä r t̪ ä
वार्तालाप	b ä r t̪ ä l ä p
विकास	b i k ä s
विकि	b i k i
विकिपीडिया	w i k i p i ɽ i j ä
विजयादशमी	b i d z ʌ j ä d̪ ʌ s ʌ m i
विज्ञान	b i ɡ̞ ɡ j ä n
विडूर	b i ɽ u r
विदेश	b i d̪ e s
विद्यार्थी	b i d̪̚ d̪ j ä r t̪ʰ i
विनोद	b i n o d̪
विभिन्न	b i b i nː ʌ
विराटनगर	b i ɾ ä ʈ ɳ ʌ ɡ̞ ʌ r
विवाह	b i b ä̤ː
विश्व	b i sː o
विश्वकप	b i sː o k ʌ p
विश्वका	b i sː o k ä
विषयका	b i s ʌ e k ä
विषयमा	b i s ʌ e m ä
विषयसूचि	b i s ʌ e s u t͡s i
विषयसूची	b i s ʌ e s u t͡s i
विषाणु	b i s ä ɽ̃ u
वीरेन्द्रनगर	b i ɾ e n̪ d̪ r ʌ n ʌ ɡ̞ ʌ r
वृश्चिक	b ɾ i s t͡s i k
वेदना	b e d̪ ʌ n ä
वैशाख	b ʌ i̯ s ä k̞ʰ
व्यक्तिलाई	b e k̚ t̪ i l ä i̯
व्यवस्था	b e b ʌ s t̪ʰ ä
व्यापार	b e p ä r
व्यापार	b j ä p ä r
व्रत	b r ʌ t̪ ʌ
व्रत	b ʌ r t̪ ʌ
श	s ʌ
श	ʃ ʌ
शनिबार	s ʌ n i b ä r
शब्दकोश	s ʌ b̚ d̪ ʌ k o s
शब्दकोष	s ʌ b̚ d̪ ʌ k o s
शरद	s ʌ ɾ ʌ d̪
शहर	s ʌ̤ː r
शास्त्र	s ä s t̪ r ʌ
शाह	s ä̆ ɦ ä̤
शाह	s ä̤ː
शिकार	s i k ä r
शिक्षक	s i k̚ t͡sʰ e k
शिक्षक	s i t̚ t͡sʰʲ ʌ k
शिक्षा	s i k̚ t͡sʰ j ä
शिक्षा	s i t̚ t͡sʰ j ä
शिशिर	s i s i r
शुक्रबार	s u k r ʌ b ä r
शुभकामना	s u bʱ k ä m ʌ n ä
शून्य	s u nː e
शून्य	s u nː ä
शौचालय	s ʌ u̯ t͡s ä l ʌ e
श्रावण	s r ä u̯ ʌ ɽ̃
श्रावण	s r ä w ʌ ɽ̃
श्री	s r i
श्रीमती	s r i m ʌ t̪ i
श्रीमान	s r i m ä n
ष	kʰ ʌ
ष	s ʌ
षड्यन्त्र	s ʌ ɽ e n̪ t̪ r ʌ
स	s ʌ
सँग	s ʌ ŋ ɡ ʌ
सँग	s ʌ ŋ ʌ
सँग	s ʌ̃ ɡ ʌ
संग	s ʌ ŋ ɡ ʌ
संगति	s ʌ ŋ ɡ ʌ t̪ i
संगीत	s ʌ ŋ ɡ i t̪
संदर्भ	s ʌ n̪ d̪ ʌ r bʱ ʌ̤
संवाद	s ʌ m b ä d̪
संस्कृत	s ʌ n s k ɾ i t̪
संस्कृत	s ʌ̃ s k ɾ i t̪
संस्कृति	s ʌ n s k ɾ i t̪ i
संस्कृति	s ʌ̃ s k ɾ i t̪ i
संस्था	s ʌ n s t̪ʰ ä
संस्था	s ʌ̃ s t̪ʰ ä
सकिन्छ	s ʌ k i n̻ t͡sʰ ʌ
सक्छ	s ʌ k t͡sʰ ʌ
सक्नु	s ʌ k n u
सक्नुहुन्छ	s ʌ k n ṳː n̻ t͡sʰ ʌ
सखर	s ʌ k̞ʰ ʌ r
सगरमाथा	s ʌ ɡ̞ ʌ r m ä t̪ʰ ä
सङ्गति	s ʌ ŋ ɡ ʌ t̪ i
सजिलो	s ʌ d z i l o
सडक	s ʌ ɽ ʌ k
सड्नु	s ʌ ɽ ɳ u
सड्सठ्ठी	s ʌ ɽ s ʌ ʈʰ ʈʰ i
सतचालीस	s ʌ t̪ t͡s ä l i s
सतसट्ठी	s ʌ t̪ ʌ s ʌ ʈ̚ ʈʰ i
सतहत्तर	s ʌ t̪ ʌ̤ː t̪̚ t̪ ʌ r
सतासी	s ʌ t̪ ä s i
सत्तरी	s ʌ t̪̚ t̪ ʌ ɾ i
सत्ता	s ʌ t̪̚ t̪ ä
सत्ताईस	s ʌ t̪̚ t̪ ä i̯ s
सत्र	s ʌ t̪ r ʌ
सन्चै	s ʌ n̻ t͡s ʌ i̯
सन्ताउन्न	s ʌ n̪ t̪ ä u̯ nː ʌ
सन्तानब्बे	s ʌ n̪ t̪ ä n ʌ b̚ b e
सन्देश	s ʌ n̪ d̪ e s
सन्सरबार्	s ʌ n i t͡s ʌ r b ä r
सन्सरबार्	s ʌ n s ʌ r b ä r
सन्सरबार्	s ʌ n̻ t͡s ʌ r b ä r
सपना	s ʌ p ʌ n ä
सफा	s ʌ ɸ ä
सब	s ʌ b
सबै	s ʌ b ʌ i̯
सबैको	s ʌ b ʌ i̯ k o
समय	s ʌ m ʌ e
समस्त	s ʌ m ʌ s t̪ ʌ
समस्या	s ʌ m ʌ sː j ä
समस्याको	s ʌ m ʌ s j ä k o
समात्नु	s ʌ m ä t̪ n̪ u
समाधान	s ʌ m ä d̪ ä n
समिति	s ʌ m i t̪ i
समुदायको	s ʌ m u d̪ ä e k o
समुद्र	s ʌ m u d̪ r ʌ
सम्धिनी	s ʌ m d̪ʱ i̤ n i
सम्धी	s ʌ m d̪ʱ i̤
सम्पर्क	s ʌ m p ʌ r k ʌ
सम्पादन	s ʌ m p ä d̪ ʌ n
सम्बन्धी	s ʌ m b ʌ n̪ d̪ i
सम्बन्धी	s ʌ m b ʌ n̪ d̪ʱ i̤
सम्म	s ʌ mː ʌ
सय	s ʌ e
सरकार	s ʌ r k ä r
सरिफा	s ʌ ɾ i ɸ ä
सरोज	s ʌ ɾ o d z
सलल	s ʌ l ʌ l ʌ
सलिफा	s ʌ l i ɸ ä
ससुरा	s ʌ s u ɾ ä
ससुरो	s ʌ s u ɾ o
सहनु	s ʌ̤ː n u
सहपाठी	s ʌ̤ː p ä ʈʰ i
सहयोग	s ʌ ʔ ʌ j o ɡ̞
सहयोग	s ʌ̤ː j o ɡ̞
सहायता	s ä̤ː e t̪ ä
सहायताका	s ä̤ː e t̪ ä k ä
सहि	s ʌ i̯
साँप	s ä̃ p
सांझ	s ä̃ d z
सांझ	s ä̃ d͡z ʌ
साइकल	s ä i̯ k ʌ l
साउन	s ä u n
साचो	s ä t͡s o
साट्दै	s ä ʈ̚ d̪ ʌ i̯
साट्नु	s ä ʈ ɳ u
साठी	s ä ʈʰ i
साढे	s ä ɽ e
सात	s ä t̪
साता	s ä t̪ ä
सातौं	s ä t̪ ʌ̃ ũ̯
साथी	s ä t̪ʰ i
सानो	s j ä n o
सानो	s ä n o
साप	s ä p
सामग्रीहरू	s ä m ʌ ɡ̞ r i ɦ ʌ ɾ u
सामान्य	s ä m ä nː e
सामुदायिक	s ä m u d̪ ä i k
साला	s ä l ä
साली	s ä l i
साले	s ä l e
सालो	s ä l o
सासु	s ä s u
सासू	s ä s u
साहित्य	s ä i̯ t̪ e
सिंह	s i ŋ ɦ ʌ
सिंह	s ĩ ɦ ʌ
सिउनु	s i u̯ n u
सिकाउनु	s i k ä u̯ n u
सिकार	s i k ä r
सिक्किम	s i k̚ k i m
सिक्नु	s i k n u
सिधो	s i d̪ o
सिपाही	s i p ä i̯
सिम्रिक	s i m r i k
सिरानी	s i ɾ ä n i
सिराने	s i ɾ ä n e
सिलाउनु	s i l ä u̯ n u
सिसाकलम	s i s ä k ʌ l ʌ m
सीपाही	s i p ä i̯
सुँघ्नु	s u ŋ n u
सुँघ्नु	s ũ ɡ̞ n u
सुक्खा	s u k̚ kʰ ä
सुझाव	s u d z ä b
सुझाव	s u d z ä u̯
सुत्नु	s u t̪ n̪ u
सुदूरपश्चिम	s u d̪ u ɾ ʌ p ʌ s t͡s i m
सुन	s u n
सुन	s u n ʌ
सुन्तला	s u n̪ t̪ ʌ l ä
सुन्दर	s u n̪ d̪ ʌ r
सुन्ना	s u nː ä
सुन्निनु	s u nː i n u
सुन्नु	s u nː u
सुन्नुहोस्	s u nː u o s
सुहाउनु	s u ä u̯ n u
सूर्जे	s u r d͡z e
सूर्य	s u rː e
सेतो	s e t̪ o
सेप्टेम्बर	s e p̚ ʈ e m b ʌ r
सैँतीस	s ʌ̃ ĩ̯ t̪ i s
सैंतालीस	s ʌ̃ ĩ̯ t̪ ä l i s
सैंतीस	s ʌ̃ ĩ̯ t̪ i s
सैनिक	s ʌ i̯ n i k
सोच	s o t͡s
सोच	s o t͡s ʌ
सोच्नु	s o t͡s n u
सोधपुछ	s o d̪̚ p u t͡sʰ
सोधिने	s o d̪ i n e
सोध्नु	s o d̪ n̪ u
सोमबार	s o m b ä r
सोमबार	s ʌ m b ä r
सोमबार	s ʌ̃ ũ̯ b ä r
सोहोर्नु	s o̤ː r n u
सोह्र	s o ɾ ʌ
स्कुल	s k u l
स्थिति	s t̪ʰ i t̪ i
स्याउ	s j ä u̯
स्वत	s o t̪ ʌː
स्वतन्त्र	s o t̪ ʌ n̪ t̪ r ʌ
स्वशिक्षा	s o s i k̚ t͡sʰ j ä
स्वागत	s w ä ɡ ʌ t̪
स्वादिलो	s w ä d̪ i l o
स्वास्नि	s w ä s n i
स्वास्नी	s w ä s n i
ह	ɦ ʌ
हकार	ɦ ʌ k ä ɾ ʌ
हकार्नु	ɦ ʌ k ä r n u
हग्नु	ɦ ʌ ɡ̞ n u
हजम	ɦ ʌ d z ʌ m
हजाम	ɦ ʌ d z ä m
हजार	ɦ ʌ d z ä r
हजुर	ɦ ʌ d z u r
हजुरआमा	ɦ ʌ d z u r ä m ä
हजुरबा	ɦ ʌ d z u r b ä
हजुरबुवा	ɦ ʌ d z u r b u ä
हत्तेरी	ɦ ʌ t̪̚ t̪ e ɾ i
हत्तेरीका	ɦ ʌ t̪̚ t̪ e ɾ i k ä
हप्ता	ɦ ʌ p̚ t̪ ä
हब्शी	ɦ ʌ b s i
हब्सी	ɦ ʌ b s i
हरा	ɦ ʌ ɾ ä
हराउनु	ɦ ʌ ɾ ä u̯ n u
हरियो	ɦ ʌ ɾ i j o
हरेक	ɦ ʌ ɾ e k
हलुको	ɦ ʌ l u k o
हलो	ɦ ʌ l o
हवाईजहाज	ɦ ʌ w ä i̯ d z ä̤ː d z
हस	ɦ ʌ s
हस्कनु	ɦ ʌ s k ʌ n u
हस्तमैथुन	ɦ ʌ s t̪ ʌ m ʌ i̯ t̪ʰ u n
हाँक्नु	ɦ ä̃ k n u
हाँसो	ɦ ä̃ s o
हाँस्नु	ɦ ä̃ s n u
हाइड्रोजन	ɦ ä i̯ ɽ r o d z ʌ n
हात	ɦ ä t̪
हात्ती	ɦ ä t̪̚ t̪ i
हान्नु	ɦ ä nː u
हामी	ɦ ä m i
हामीमा	ɦ ä m i m ä
हामीलाई	ɦ ä m i l ä i̯
हामीले	ɦ ä m i l e
हाम्रो	ɦ ä m r o
हार्नु	ɦ ä r n u
हावा	ɦ ä w ä
हिँड्नु	ɦ ĩ ɽ ɳ u
हिंड्नु	ɦ ĩ ɽ ɳ u
हिउँ	ɦ i ũ
हिउँद	ɦ i ũ d̪
हिजो	ɦ i d z o
हिज्जे	ɦ i d z d͡z e
हिन्दी	ɦ i n̪ d̪ i
हिमाल	ɦ i m ä l
हिमालय	ɦ i m ä l ʌ e
हिलो	ɦ i l o
हुँ	ɦ u m
हुँ	ɦ ũ
हुँदैन	ɦ ũ d̪ ʌ i̯ n ʌ
हुकुम	ɦ u k u m
हुनु	ɦ u n u
हुनुहुन्छ	ɦ u n u ‿ ɦ u n̻ t͡sʰ ʌ
हुनुहुन्न	ɦ u n u ‿ ɦ u nː ʌ
हुने	ɦ u n e
हुनेछ	ɦ u n e t͡sʰ ʌ
हुन्	ɦ u n
हुन्छ	ɦ u n̻ t͡sʰ ʌ
हुन्छन्	ɦ u n̻ t͡sʰ ʌ n
हृदय	ɾ i d̪ ʌ e
हेटौडा	ɦ e ʈ ʌ u̯ ɽ ä
हेप्नु	ɦ e p n u
हेर्नु	ɦ e r n u
हेर्नुहोस्	ɦ e r n u o s
हो	ɦ o
होइन	ɦ o i̯ n ʌ
होइन	ɦ ʌ i̯ n ʌ
होइनौ	ɦ o i̯ n ʌ u̯
होइनौ	ɦ ʌ i̯ n ʌ u̯
होईन	ɦ o i̯ n ʌ
होचो	ɦ o t͡s o
होटल	ɦ o ʈ ʌ l
होला	ɦ o l ä
होली	ɦ o l i
हौ	ɦ ʌ u̯
ह्याँ	ɦ j ä̃
ह्यात्तेरिका	ɦ j ä t̪̚ t̪ e ɾ i k ä
ह्यात्तेरीका	ɦ j ä t̪̚ t̪ e ɾ i k ä
ह्रस्व	r ʌ sː o
ह्वाँः	ɦ w ä̃ː
