ং	ŋ
খুশি	kʰ u ʃ i
খূব	kʰ u b
খেত	kʰ e t̪
খেদমত	kʰ e d̪ m ɔ t̪
খেয়ানত	kʰ e a n ɔ t̪
খেয়াল	kʰ e a l
খেয়াল	kʰ ɛ a l
খেলনা	kʰ æ l n a
খেলা	kʰ æ l a
খোঁড়া	kʰ o ɽ a
খোঁড়ানো	kʰ o ɽ a n o
খোকা	kʰ o k a
খোদ	kʰ o d̪
খোয়াব	kʰ o̯ a b
খোশ	kʰ o ʃ
খ্বাব	kʰ o̯ a b
খ্রিস্ট	kʰ ɹ i ʃ t o
খ্রিস্টধর্ম	kʰ ɹ i s t ɔ d̪ʱ ɔ ɹ m o
খ্রিস্টধর্ম	kʰ ɹ i ʃ t ɔ d̪ʱ ɔ ɹ m o
খ্রিস্টান	kʰ ɹ i ʃ t a n
গ	ɡ ɔ
গং	ɡ ɔ ŋ
গগন	ɡ ɔ ɡ o n
গঙ্গা	ɡ ɔ ŋ ɡ a
গঙ্গোপাধ্যায়	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
গঠন	ɡ ɔ tʰ ɔ n
গঠিত	ɡ ɔ tʰ i t̪ o
গড়	ɡ ɔ ɹ
গণ	ɡ ɔ n
গণতন্ত্র	ɡ ɔ n o t̪ ɔ n t̪ ɹ o
গণতান্ত্রিক	ɡ ɔ n o t̪ a n t̪ ɹ i k
গণনা	ɡ ɔ n o n a
গণহত্যা	ɡ ɔ n o ɦ o t̪ː a
গণিকা	ɡ ɔ n i k a
গণিত	ɡ o n i t̪
গণেশ	ɡ ɔ n e ʃ
গণ্ডার	ɡ ɔ n d a ɹ
গতি	ɡ ɔ t̪ i
গতিবেগ	ɡ ɔ t̪ i b e ɡ
গন্ডার	ɡ ɔ n d a ɹ
গন্ধ	ɡ ɔ n d̪ʱ o
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গভীর	ɡ o bʱ i ɹ
গম	ɡ ɔ m
গয়না	ɡ ɔ e̯ n a
গরম	ɡ ɔ ɹ o m
গরমকাল	ɡ ɔ ɹ o m k a l
গরিলা	ɡ o ɹ i l a
গরীব	ɡ o ɹ i b
গরু	ɡ o ɹ u
গরুড়	ɡ o ɾ u ɹ
গর্ত	ɡ ɔ ɾ t̪ o
গর্দভ	ɡ ɔ r dʱ ɔ bʱ
গর্দান	ɡ ɔ ɹ d̪ a n
গলা	ɡ ɔ l a
গলি	ɡ o l i
গল্প	ɡ ɔ l p o
গহনা	ɡ ɔ ɦ o n a
গহির	ɡ ɔ ɦ i ɾ
গা	ɡ a
গাঁ	ɡ a
গাঁইয়া	ɡ a i̯ a
গাঁও	ɡ a o̯
গাঁওয়ালী	ɡ a o̯ a l i
গাঁট	ɡ a t
গাই	ɡ a i̯
গাওয়া	ɡ a o̯ a
গাঙ্গুলি	ɡ a ŋ ɡ u l i
গাঙ্গেয়	ɡ a ŋ ɡ e o
গাড়া	ɡ a ɹ a
গাড়ি	ɡ a ɹ i
গাড়ী	ɡ a ɽ i
গাঢ়	ɡ a ɹ o
গান	ɡ a n
গান্ধী	ɡ a n d̪ʱ i
গাব	ɡ a b
গামলা	ɡ a m l a
গারবা	ɡ a ɹ b a
গাল	ɡ a l
গালি	ɡ a l i
গিটার	ɡ i t a ɹ
গু	ɡ u
গুগল	ɡ u ɡ l o
গুগল	ɡ u ɡ ɔ l
গুণা	ɡ u n a
গুদাম	ɡ u d̪ a m
গুনাগার	ɡ u n a ɡ a ɹ
গুনাহ	ɡ u n a
গুপ্ত	ɡ u p t̪ o
গুফা	ɡ u f a
গুম	ɡ u m
গুমোট	ɡ u m o t
গুম্ফা	ɡ u m f a
গুরু	ɡ u ɹ u
গুরুত্ব	ɡ u ɹ u t̪ː o
গুরুত্বপূর্ণ	ɡ u ɹ u t̪ː ɔ p u ɹ n o
গুল	ɡ u l
গুলদাস্তা	ɡ u l d̪ a s t̪ a
গুলবনফ্‌শা	ɡ u l b ɔ n o f ʃ a
গুলশান	ɡ u l ʃ a n
গুলি	ɡ u l i
গুলিস্তান	ɡ u l i s t̪ a n
গুহা	ɡ u ɦ a
গৃহ	ɡ ɹ i ɦ o
গেঁয়ো	ɡ e o
গেরাম	ɡ e ɹ a m
গৈরিক	ɡ o i̯ ɹ i k
গোনা	ɡ o n a
গোপাল	ɡ o p a l
গোবর	ɡ ɔ b o ɹ
গোমাংস	ɡ o m a ŋ ʃ ɔ
গোমূত্র	ɡ o m u t̪ ɹ o
গোয়া	ɡ o̯ a
গোয়েন্দা	ɡ o e n d̪ a
গোরু	ɡ o ɹ u
গোল	ɡ o l
গোলসাগু	ɡ o l ʃ a ɡ u
গোলাপ	ɡ o l a p
গোলাম	ɡ o l a m
গোল্লা	ɡ o lː a
গোশ	ɡ o ʃ
গোশত	ɡ ɔ s t̪
গোশত	ɡ ɔ s t̪ o
গোশত	ɡ ɔ ʃ t̪
গোশত	ɡ ɔ ʃ t̪ o
গোষ্ঠী	ɡ o ʃ tʰ i
গোসল	ɡ o s o l
গোসল	ɡ o s u l
গোসল	ɡ o ʃ o l
গোসল	ɡ o ʃ u l
গোসাঁই	ɡ o ʃ a i̯
গোস্ত	ɡ o s t̪ o
গোস্বামী	ɡ o ʃː a m i
গৌড়	ɡ o u̯ ɹ
গৌতম	ɡ o u̯ t̪ o m
গৌরব	ɡ o u̯ ɹ ɔ b
গ্যাস	ɡ ɛ ʃ
গ্রন্থাগার	ɡ ɹ o n t̪ʰ a ɡ a ɹ
গ্রন্থি	ɡ ɹ ɔ n t̪ʰ i
গ্রহ	ɡ ɹ o ɦ o
গ্রাম	ɡ ɹ a m
গ্রীষ্ম	ɡ ɹ i ʃː o
গ্রেপ্তার	ɡ ɹ e p t̪ a ɹ
গ্রেফতার	ɡ ɹ e f t̪ a ɹ
গ্লাস	ɡ l a ʃ
গ্লোব	ɡ l o b
ঘ	ɡʱ ɔ
ঘড়ি	ɡʱ o ɹ i
ঘণ্টা	ɡʱ ɔ n t a
ঘর	ɡʱ ɔ ɾ
ঘষা	ɡʱ ɔ ʃ a
ঘাড়	ɡʱ a ɹ
ঘাম	ɡʱ a m
ঘামা	ɡʱ a m a
ঘি	ɡʱ i
ঘুড়ি	ɡʱ u ɹ i
ঘৃণা	ɡʱ ɹ i n a
ঘেঁষা	ɡʱ ɛ ʃ a
ঘোড়া	ɡʱ o ɹ a
ঘোমটা	ɡʱ o m t a
ঘোষ	ɡʱ o ʃ
ঘোষণা	ɡʱ o ʃ o n a
ঘোষাল	ɡʱ o ʃ a l
ঙ	ŋ ɔ
চন্দ্রমুখী	t͡ʃ ɔ n d ɾ ɔ m u kʰ i
চামচিকা	t͡ʃ a m t͡ʃ i k a
চালানো	t͡ʃ a l a n o
চিকিৎসক	t͡ʃ i k i ʈ ʃ ɔ k
চিঠা	t͡ʃ i ʈʰ a
চিলমচি	t ʃ i l ɔ m t ʃ i
চীন	t ʃ i n
চুম্বন	t ʃ u m b ɔ n
চেত	s ɛ t̪
চেত	t͡ʃ e t̪ o
চেতা	s ɛ t̪ a
চেতা	t͡ʃ e t̪ a
চৈনিক	t͡ʃ o i̯ n i k
চৌধুরি	t͡ʃ o u̯ d̪ʱ u ɾ i
ছ	s ɔ
ছ	t͡ʃʰ ɔ
ছত্তীসগঢ়	t͡ʃ ɔ t t i s ɡ ɔ ɽ
ছাওয়াল	t͡ʃʰ a w a l
ছায়া	s a e̯ a
ছিপ	t͡ʃʰ i p
ছিপি	t͡ʃʰ i p i
ছুড়ান	t͡ʃʰ u r a n
জাপান	d͡ʒ a p a n
জিষ্ণু	d͡ʒ i ʃ n u
জীববিজ্ঞান	j i b b i ɡ ɡ æ n
জেলেনস্কি	d͡ʒ e l e n ʃ k i
জ্ঞান	ɡ ɛ n
জ্ঞানতত্ত্ব	ɡ ɛ n ɔ t̪ o t̪ː o
জ্ঞানী	ɡ ɛ n i
ঝ	d͡ʒʱ ɔ
ঝোলা	d͡ʒʱ o l a
ট	ʈ ɔ
টমটম	t ɔ m t ɔ m
টমেটো	ʈ ɔ m e ʈ o
টরন্টো	t ɔ ɹ o n t o
টাংকি	t a ŋ k i
টাউট	t a u̯ t
টাক	ʈ a k
টাকা	ʈ a k a
টানা	ʈ a n a
টিকটিকি	t i k t i k i
টিকা	t i k a
টিকিট	t i k i t
টিয়া	t i̯ a
টীকা	t i k a
টুপি	t u p i
টেংরা	t ɛ ŋ ɹ a
টেবিল	t e b i l
টের	t e ɹ
টেলক	ʈ æ l ɔ k
টেলিফোন	ʈ e l i pʰ o n
টেলিভিশন	t e l i bʱ i ʃ ɔ n
টোনি	t o n i
টোপর	t o p ɔ ɹ
ট্যাক্সি	ʈ æ k ʃ i
ট্রেন	t ɹ e n
ঠ	ʈʰ ɔ
ঠাকুর	ʈʰ a k u r
ঠাকুরঘর	tʰ a k u ɹ ɡʱ ɔ ɹ
ঠান্ডা	tʰ a n d a
ঠিক	tʰ i k
ঠিকানা	tʰ i k a n a
ঠ্যাং	tʰ ɛ ŋ
ড	ɖ ɔ
ডঙ্কা	d ɔ ŋ k a
ডবল	d ɔ b o l
ডলফিন	d ɔ l f i n
ডাকনাম	d a k n a m
ডাকা	ɖ a k a
ডাক্তার	d a k t̪ a ɹ
ডাঙা	ɖ a ŋ a
ডাঙ্গা	ɖ a ŋ ɡ a
ডান	d a n
ডানা	ɖ a n a
ডান্ডা	d a n d a
ডাব	d a b
ডাবু	ɖ a b u
ডাবু	ɖ æ b u
ডাল	ɖ a l
ডিভিডি	d i bʱ i d i
ডিম	d i m
ডিলডো	ɖ i l ɖ o
ডিল্ডো	ɖ i l ɖ o
ডিসেম্বর	d i s e m b ɔ ɹ
ডুবা	d u b a
ডুমুর	d u m u ɾ
ডেবরা	d e b ɹ a
ডেবরা	d ɛ b ɹ a
ডেস্ক	d e s k
ডেস্কটপ	d e s k ɔ t ɔ p
ডোবা	d o b a
ডোবানো	ɖ o b a n o
ঢ	ɖʱ ɔ
ঢাকনা	dʱ a k n a
ঢাকা	ɖʱ a k a
ঢালিউড	ɖʱ a l i u ɖ
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ঢেঁড়স	ɖʱ æ̃ ɾ o ʃ
ঢেউ	ɖʱ e u
ঢোল	dʱ o l
ণ	n ɔ
ণই	n o i̯
ত	t ɔ
তটিনী	t o ʈ i n i
তড়িৎ	t̪ o ɹ i t̪
ততদিন	t̪ ɔ t̪ o d̪ i n
তত্ত্ব	t̪ ɔ t̪ː o
তথাগত	t̪ ɔ t̪ʰ a ɡ ɔ t̪ o
তদানীং	t̪ ɔ d̪ a n i ŋ
তদ্ভব	t̪ ɔ d̪ bʱ ɔ b o
তনিমা	t̪ o n i m a
তনুকা	t̪ o n u k a
তন্ত্র	t̪ ɔ n t̪ ɹ o
তফাত	t̪ ɔ f a t̪
তবু	t̪ o b u
তবুও	t̪ o b u̯ o
তবে	t̪ ɔ b e
তরঙ্গ	t̪ ɔ ɹ o ŋ ɡ o
তরফ	t̪ ɔ ɹ o f
তরফদার	t̪ ɔ ɹ o f d̪ a ɹ
তরবারি	t̪ ɔ ɹ b a ɹ i
তরী	t̪ o ɹ i
তরুণ	t̪ o ɹ u n
তরোয়াল	t̪ ɔ ɹ o̯ a l
তলব	t̪ ɔ l o b
তলা	t̪ ɔ l a
তলোয়ার	t̪ ɔ l o̯ a ɹ
তল্লাশি	t ɔ l l a ʃ i
তশতরী	t̪ ɔ s t̪ o ɹ i
তশতরী	t̪ ɔ ʃ t̪ o ɹ i
তসবির	t̪ o s b i ɹ
তসবীহ	t̪ o s b i
তসলিম	t̪ o s l i m
তা	t̪ a
তাঁত	t̪ a t̪
তাং	t̪ a ŋ
তাই	t̪ a i̯
তাইওয়ান	t̪ a i̯ o̯ a n
তাইপে	t̪ a i p e
তাওয়া	t̪ a o̯ a
তাড়ানো	t̪ a ɹ a n o
তাণ্ডব	t̪ a n d ɔ b
তাপ	t̪ a p
তাপমাত্রা	t a p m a t r a
তামলি	t̪ a m o l i
তামা	t̪ a m a
তামাক	t̪ a m a k
তামাশা	t̪ a m a ʃ a
তামিলনাড়ু	t̪ a m i l n a ɹ u
তার	t̪ a r
তারা	t̪ a ɹ a
তারিফ	t̪ a ɾ i f
তালব্য	t̪ a l ɔ bː o
তালা	t a l a
তালাশ	t̪ a l a ʃ
তালিকা	t̪ a l i k a
তালুকদার	t̪ a l u k d̪ a ɹ
তাহা	t̪ a ɦ a
তিন	t̪ i n
তিনি	t̪ i n i
তিন্দু	t̪ i n d̪ u
তিন্দুক	t̪ i n d̪ u k
তিমি	t̪ i m i
তিরুবনন্তপুরম	t̪ i ɹ u b ɔ n o n t̪ ɔ p u ɹ o m
তিল	t̪ i l
তিলক	t̪ i l ɔ k
তিষ্ণা	t̪ i ʃ n a
তিসি	t i ʃ i
তীব্র	t̪ i b ɹ o
তীর	t̪ i ɹ
তুফান	t̪ u f a n
তুমি	t̪ u m i
তুরস্ক	t̪ u ɹ o ʃ k o
তুরিত	t̪ u ɾ i t̪
তুরুপ	t̪ u ɹ u p
তুর্কি	t̪ u ɹ k i
তুলনা	t̪ u l o n a
তুলনামূলক	t̪ u l n a m u l ɔ k
তুলসী	t̪ u l ʃ i
তুলি	t u l i
তুলো	t̪ u l o
তুষার	t̪ u ʃ a ɹ
তৃণ	t̪ ɹ i n o
তৃণমূল	t̪ ɾ i n ɔ m u l
তে	t̪ e
তেওড়া	t̪ e o ɹ a
তেওড়া	t̪ ɛ o ɹ a
তেড়া	t̪ ɛ ɹ a
তেরো	t̪ e ɹ o
তেল	t̪ e l
তেলেঙ্গানা	t̪ e l e ŋ ɡ a n a
তৈরি	t̪ o i̯ ɹ i
তোকমা	t̪ o k m a
তোমাদের	t̪ o m a d̪ e ɹ
তোমার	t̪ o m a ɹ
তোয়াক্কা	t̪ o̯ a kː a
তোয়ালে	t̪ o̯ a l e
তোলপাড়	t̪ o l p a ɹ
তোলা	t̪ o l a
তোশক	t̪ o ʃ o k
তৌরাত	t̪ o u̯ ɹ a t̪
ত্বক	t̪ ɔ k
ত্যাগ	t̪ ɛ ɡ
ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
ত্রিপদ	t̪ ɹ i p ɔ d̪
ত্রিপুরা	t̪ ɹ i p u ɹ a
ত্রিশ	t̪ ɹ i ʃ
তৎসম	t̪ ɔ t̪ ʃ ɔ m o
থ	t̪ʰ ɔ
থলি	t̪ʰ ɔ l i
থাকানো	t̪ʰ a k a n o
থানকুনি	tʰ a n k u n i
থানা	t̪ʰ a n a
থামা	tʰ a m a
থার্মোমিটার	t̪ʰ a ɹ m o m i t a ɹ
থালা	t h a l a
থুতু	t̪ʰ u t̪ u
থেকে	t̪ʰ e k e
থোক	t̪ʰ o k
দ	d̪ ɔ
দই	d o i
দক্ষিণ	d̪ ɔ kʰː i n
দখল	d̪ ɔ kʰ o l
দড়ি	d o ɽ i
দণ্ড	d̪ ɔ n d o
দত্ত	d̪ ɔ t̪ː o
দন্ত	d̪ ɔ n t̪ o
দন্ত্য	d̪ ɔ n t̪ː o
দপ্তর	d̪ ɔ p t̪ ɔ ɹ
দফতর	d̪ ɔ f t̪ ɔ ɹ
দফা	d̪ ɔ f a
দমা	d̪ ɔ m a
দয়াল	d̪ ɔ e̯ a l
দয়ালু	d̪ ɔ e̯ a l u
দরকার	d̪ ɔ ɹ k a ɹ
দরখাস্ত	d̪ ɔ ɹ kʰ a s t̪ o
দরবার	d̪ ɔ r b a r
দরবেশ	d̪ ɔ ɹ b e ʃ
দরিয়া	d̪ o ɹ i̯ a
দল	d̪ ɔ l
দলিত	d o l i t
দশ	d̪ ɔ ʃ
দশক	d̪ ɔ ʃ ɔ k
দশমাংশ	d ɔ ʃ ɔ m a ŋ ʃ ɔ
দহ	d̪ ɔ ɦ o
দা	d̪ a
দাঁড়	d̪ a ɹ
দাঁড়ানো	d̪ a ɹ a n o
দাঁড়ি	d̪ a ɹ i
দাঁত	d̪ a t̪
দাই	d̪ a i̯
দাউদাউ	d̪ a u̯ d̪ a u̯
দাওয়াই	d̪ a o̯ a i̯
দাওয়াত	d̪ a o̯ a t̪
দাখিল	d̪ a kʰ i l
দাগ	d̪ a ɡ
দাড়ি	d̪ a ɹ i
দাতা	d̪ a t̪ a
দাদা	d̪ a d̪ a
দাদী	d̪ a d̪ i
দানা	d a n a
দান্দান	d̪ a n d̪ a n
দাব	d̪ a b
দাবদাহ	d̪ a b o d̪ a ɦ o
দাবানল	d̪ a b a n ɔ l
দাবী	d̪ a b i
দাম	d̪ a m
দামড়া	d̪ a m ɹ a
দায়িত্ব	d̪ a i̯ t̪ː o
দারুণ	d̪ a ɹ u n
দারোয়ান	d̪ a ɹ o̯ a n
দালান	d̪ a l a n
দাশগুপ্ত	d̪ a ʃ ɡ u p t̪ o
দাস	d̪ a ʃ
দাসী	d̪ a ʃ i
দিওয়ালি	d̪ i̯ o̯ a l i
দিকে	d̪ i k e
দিঘি	d̪ i ɡʱ i
দিদিভাই	d̪ i d̪ i bʱ a i̯
দিন	d̪ i n
দিনরাত	d̪ i n ɹ a t̪
দিবস	d̪ i b ɔ ʃ
দিবা	d̪ i b a
দিবানিদ্রা	d̪ i b a n i d̪ ɹ a
দিবারাত্রি	d̪ i b a ɹ a t̪ ɹ i
দিল	d̪ i l
দিলীপ	d̪ i l i p
দিল্লি	d i l l i
দীপঙ্কর	d̪ i p ɔ ŋ k ɔ ɾ
দীপান্বিতা	d̪ i p a nː i t̪ a
দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
দীয়া	d̪ i̯ a
দীর্ঘ	d̪ i ɹ ɡʱ o
দু	d̪ u
দুঃখ	d̪ u kʰː o
দুঃস্বপ্ন	d̪ u h ʃː ɔ p n o
দুই	d̪ u̯ i
দুগি	d̪ u ɡ i
দুগ্ধ	d̪ u ɡ d̪ʱ o
দুধ	d̪ u d̪ʱ
দুনিয়া	d̪ u n i̯ a
দুপুর	d̪ u p u ɹ
দুম্বা	d u m b æ
দুয়ার	d̪ u̯ a ɹ
দুরিয়ান	d̪ u ɹ i̯ a n
দুর্ঘটনা	d̪ u ɹ ɡʱ ɔ t o n a
দুর্দান্ত	d̪ u ɹ d̪ a n t̪ o
দুর্বল	d u ɾ b ɔ l
দুর্বলতা	d u ɾ b ɔ l ɔ t a
দুশমন	d̪ u ʃ m o n
দুশমন	d̪ u ʃ m ɔ n
দুস্থ	d̪ u s t̪ʰ o
দুহিতা	d̪ u ɦ i t̪ a
দূরদর্শন	d̪ u ɹ d̪ ɔ ɹ ʃ ɔ n
দূরদর্শন	d̪ u ɹ ɔ d̪ o ɹ ʃ ɔ n
দূরবিন	d̪ u ɹ b i n
দৃঢ়	d̪ ɹ i ɹ o
দৃশ্য	d̪ r i ʃː o
দৃষ্টি	d̪ ɹ i ʃ t i
দে	d̪ e
দেওয়া	d̪ a o̯ a
দেওয়া	d̪ e o̯ a
দেওয়া	d̪ ɛ o̯ a
দেওয়ানা	d̪ e o̯ a n a
দেওয়াল	d̪ e a l
দেওয়াল	d̪ e o̯ a l
দেওয়ালি	d̪ e o̯ a l i
দেখা	d̪ æ kʰ a
দেখানো	d̪ æ kʰ a n o
দেড়	d̪ e ɹ
দেব	d̪ e b
দেব	d̪ e b o
দেবতা	d̪ e b o t̪ a
দেবদাস	d̪ e b d̪ a ʃ
দেবদাসী	d̪ e b d̪ a ʃ i
দেবী	d̪ e b i
দেরি	d̪ e ɹ i
দেশ	d̪ e ʃ
দেশপ্রেমিক	d̪ e ʃ ɔ p ɹ e m i k
দেশলাই	d̪ e ʃ l a i̯
দেশি	d e ʃ i
দেহ	d̪ e ɦ o
দৈব	d̪ o i̯ b ɔ
দৈর্ঘ্য	d̪ o i̯ ɹ ɡʱː o
দো	d̪ o
দোকান	d o k a n
দোকানদার	d̪ o k a n d̪ a ɹ
দোতারা	d̪ o t̪ a ɾ a
দোভাষী	d̪ o bʱ a ʃ i
দোয়া	d̪ o̯ a
দোয়েল	d̪ o e l
দোলনা	d̪ o l n a
দোলা	d̪ o l a
দোষ	d̪ o ʃ
দোস্ত	d̪ o s t̪
দোস্ত	d̪ o s t̪ o
দৌড়ানো	d̪ o u̯ ɹ a n o
দৌলত	d̪ o u̯ l ɔ t̪
দ্বাদশ	d̪ a d̪ ɔ ʃ
দ্বার	d̪ a ɹ
দ্বারা	d̪ a ɹ a
দ্বীপ	d̪ i p
দ্বৈত	d̪ o i̯ t̪
দ্রাক্ষা	d̪ ɹ a kʰː a
দ্রুত	d̪ ɹ u t̪ o
ধ	dʱ ɔ
ধন	d̪ʱ ɔ n
ধনবাদ	d̪ʱ ɔ n b a d̪
ধনিয়া	d̪ʱ o n i̯ a
ধনী	dʱ o n i
ধনে	d̪ʱ o n e
ধন্যবাদ	d̪ʱ o nː o b a d̪
ধরণী	d̪ʱ ɔ ɹ o n i
ধরা	dʱ ɔ r a
ধর্ম	d̪ʱ ɔ ɾ m o
ধর্ষণ	dʱ ɔ ɾ ʃ ɔ n
ধাওয়া	d̪ʱ a o̯ a
ধাতু	dʱ a t u
ধান	d̪ʱ a n
ধামরাই	d̪ʱ a m ɾ a i̯
ধারণা	d̪ʱ a ɹ o n a
ধারা	d̪ʱ a ɹ a
ধারি	d̪ʱ a ɾ i
ধার্মিক	d̪ʱ a ɹ m i k
ধার্মিকতা	d̪ʱ a ɹ m i k ɔ t̪ a
ধীবর	d̪ʱ i b o ɾ
ধুতি	d̪ʱ u t̪ i
ধুতুরা	d̪ʱ u t̪ u ɹ a
ধূমকেতু	d̪ʱ u m k e t̪ u
ধূমপান	dʱ u m p a n
ধোঁয়া	d̪ʱ o̯ a
ধোঁয়াশা	d̪ʱ o̯ a ʃ a
ধোনি	dʱ o n i
ধোয়া	d̪ʱ o̯ a
ধ্বনি	dʱ o n i
ন	n ɔ
নং	n ɔ ŋ
নওকর	n ɔ o̯ k o ɹ
নওকরি	n ɔ o̯ k ɹ i
নওগাঁ	n ɔ o̯ ɡ a
নওবাহার	n ɔ o̯ b a ɦ a ɹ
নকল	n ɔ k o l
নকশা	n ɔ k ʃ a
নকশাল	n ɔ k ʃ a l
নখ	n ɔ kʰ
নগর	n ɔ ɡ o ɹ
নগরী	n ɔ ɡ ɹ i
নগ্ন	n ɔ ɡ n o
নগ্নতা	n ɔ ɡ n o t̪ a
নড়া	n ɔ ɹ a
নত	n ɔ t̪ o
নতুন	n o t̪ u n
নদিয়া	n o d̪ i̯ a
নদী	n o d̪ i
নফসানিয়াত	n ɔ f s a n i̯ a t̪
নব	n ɔ b
নব	n ɔ b o
নবডঙ্কা	n ɔ b o d ɔ ŋ k a
নববর্ষ	n ɔ b o b ɔ ɹ ʃ o
নবাব	n ɔ b a b
নবিস	n o b i ʃ
নবী	n o b i
নভেম্বর	n ɔ bʱ e m b ɔ ɹ
নভেল	n ɔ bʱ e l
নমস্কার	n ɔ m o ʃ k a ɹ
নম্বর	n ɔ m b o ɹ
নয়	n ɔ e̯
নয়ন	n ɔ e̯ o n
নয়া	n ɔ e̯ a
নর	n ɔ ɹ
নরক	n ɔ ɹ o k
নরম	n ɔ ɹ o m
নষ্ট	n ɔ ʃ t o
না	n a
নাক	n a k
নাগাল্যান্ড	n a ɡ a l ɛ n d
নাগেশ্বর	n a ɡ e ʃː ɔ ɾ
নাঙ্গল	n a ŋ ɡ ɔ l
নাঙ্গা	n a ŋ a
নাঙ্গা	n a ŋ ɡ a
নাটক	n a ʈ o k
নাতনী	n a t̪ n i
নাতি	n a t̪ i
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n o
নাথ	n a t̪ʰ
নাদান	n a d̪ a n
নানা	n a n a
নানী	n a n i
নাপিত	n a p i t̪
নাপ্পি	n a pː i
নাবালক	n a b a l ɔ k
নাম	n a m
নামক	n a m ɔ k
নামহীন	n a m ɦ i n
নামহীন	n a mː i n
নামা	n a m a
নারকেল	n a ɹ k e l
নারায়ণ	n a ɹ a e̯ n
নারায়ণ	n a ɹ a e̯ o n
নারিকেল	n a ɹ i k e l
নারিন্দা	n a ɹ i n d̪ a
নারী	n a ɹ i
নারীবাদ	n a ɹ i b a d̪
নার্গিস	n a ɹ ɡ i s
নালিশ	n a l i ʃ
নাশকতা	n a ʃ ɔ k ɔ t̪ a
নাসরিন	n a s ɹ i n
নাসির	n a s i ɹ
নাস্তানাবুদ	n a s t̪ a n a b u d̪
নিঃশ্বসন	n i h ʃː ɔ ʃ ɔ n
নিউক্লিয়াস	n i u k l i a ʃ
নিকটবর্তী	n i k ɔ t b o ɹ t̪ i
নিকটবর্তী	n i k ɔ t o b o ɹ t̪ i
নিকড়িয়া	n i k o ɹ i̯ a
নিকাহ	n i k a
নিখিল	n i kʰ i l
নিখিলবিশ্ব	n i kʰ i l b i ʃː o
নিজ	n i d͡ʒ
নিজে	n i d͡ʒ e
নিজের	n i d͡ʒ e ɾ
নিধি	n i d̪ʱ i
নিমন্ত্রণ	n i m o n t̪ ɹ o n
নিম্ন	n i m n o
নিম্নে	n i m n e
নিয়ম	n i̯ o m
নিয়ে	n i̯ e
নিরক্ষর	n i r ɔ k kʰ ɔ r
নির্দেশ	n i ɹ d̪ e ʃ
নির্দেশনা	n i ɹ d̪ e ʃ ɔ n a
নির্ভর	n i ɹ bʱ ɔ ɹ
নির্মাণ	n i ɾ m a n
নিলাম	n i l a m
নিশান	n i ʃ a n
নিশ্বসন	n i ʃː ɔ ʃ ɔ n
নিশ্বাস	n i ʃː a ʃ
নিষিদ্ধ	n i ʃ i d̪ʱː o
নিস্তব্ধ	n i s t ɔ b dʱ o
নীতি	n i t̪ i
নীলুফার	n i l u f a ɹ
নীহারিকা	n i ɦ a ɽ i k a
নীহারিকা	n i ɦ a ɾ i k a
নুন	n u n
নুনি	n u n i
নুনু	n u n u
নুসরাত	n u s ɹ a t̪
নূতন	n u t̪ ɔ n
নূরানী	n u ɹ a n i
নেউল	n e u l
নেওয়া	n a o̯ a
নেওয়া	n e o̯ a
নেওয়া	n ɛ o̯ a
নেকড়ে	n e k ɹ e
নেটওয়ার্ক	n e t o̯ a ɹ k
নেপাল	n e p a l
নেপিদ	n e p i d̪ ɔ
নেবা	n e b a
নেবানো	n e b a n o
নেভানো	n e bʱ a n o
নেমন্তন্ন	n e m o n t̪ o n n o
নেয়ামৎ	n e a m ɔ t̪
নেহেরু	n e ɦ e ɹ u
নোয়াখাইল্লা	n o̯ a kʰ a i̯ lː a
নোয়াখালী	n o̯ a kʰ a l i
নৌকা	n o u̯ k a
ন্যায়	n ɛ e̯
ন্যূনতম	n u n o t̪ ɔ m o
প	p ɔ
পকেট	p ɔ k e t
পক্ষসমর্থন	p ɔ kʰː ɔ ʃ ɔ m ɔ ɹ t̪ʰ ɔ n
পক্ষী	p o k kʰ i
পক্ষে	p ɔ kʰː e
পঞ্চগড়	p ɔ n t͡ʃ o ɡ ɔ ɽ
পটেল	p ɔ t e l
পটোল	p ɔ t o l
পড়শী	p o ɹ ʃ i
পড়া	p ɔ ɹ a
পণ্ডিত	p o n d i t̪
পতর	p ɔ t̪ ɔ ɾ
পতর	ɸ ɔ t̪ ɔ ɾ
পতাকা	p ɔ t̪ a k a
পত্রিকা	p ɔ t̪ ɹ i k a
পথ	p ɔ t̪ʰ
পদ	p ɔ d̪
পদ্মাসন	p ɔ d̪ d̪ a ʃ o n
পনীর	p o n i ɹ
পবিত্র	p o b i t̪ ɹ o
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɹ
পয়লা	p ɔ e̯ l a
পর	p ɔ ɾ
পর	ɸ ɔ ɾ
পরমাণু	p ɔ ɹ o m a n u
পরশু	p o ɾ ʃ u
