Abae	aː b e
linquātur	l i ŋ kʷ aː t u r
linquēbam	l i ŋ kʷ ɛː b a m
linquēbant	l i ŋ kʷ ɛː b a n t
linquēbantur	l i ŋ kʷ e b a n t u r
linquēbar	l i ŋ kʷ ɛː b a r
linquēbat	l i ŋ kʷ ɛː b a t
linquēbāminī	l i ŋ kʷ e b aː m i n i
linquēbāmur	l i ŋ kʷ e b aː m u r
linquēbāmus	l i ŋ kʷ e b aː m u s
linquēbāre	l i ŋ kʷ e b aː r e
linquēbāris	l i ŋ kʷ e b aː r i s
linquēbās	l i ŋ kʷ ɛː b a s
linquēbātis	l i ŋ kʷ e b aː t i s
linquēbātur	l i ŋ kʷ e b aː t u r
linquēminī	l i ŋ kʷ ɛː m i n i
linquēmur	l i ŋ kʷ ɛː m u r
linquēmus	l i ŋ kʷ ɛː m u s
linquēre	l i ŋ kʷ ɛː r e
linquēris	l i ŋ kʷ ɛː r i s
linquēs	l i ŋ kʷ e s
linquētis	l i ŋ kʷ ɛː t i s
linquētur	l i ŋ kʷ ɛː t u r
linquī	l i ŋ kʷ i
linteō	l i n t e o
lintheārius	l i n t e aː r i u s
linō	l iː n o
lipolyticus	l i p o l iː t i k u s
liquanda	l i kʷ a n d a
liquandae	l i kʷ a n d e
liquandam	l i kʷ a n d a m
liquande	l i kʷ a n d e
liquandum	l i kʷ a n d u m
liquandā	l i kʷ a n d a
liquandārum	l i kʷ a n d aː r u m
liquandās	l i kʷ a n d a s
liquandī	l i kʷ a n d i
liquandīs	l i kʷ a n d i s
liquandō	l i kʷ a n d o
liquandōrum	l i kʷ a n d ɔː r u m
liquandōs	l i kʷ a n d o s
liquant	l iː kʷ a n t
liquante	l i kʷ a n t e
liquantem	l i kʷ a n t e m
liquantia	l i kʷ a n t͡s i a
liquantibus	l i kʷ a n t i b u s
liquantis	l i kʷ a n t i s
liquantium	l i kʷ a n t͡s i u m
liquantor	l i kʷ a n t o r
liquantur	l i kʷ a n t u r
liquantēs	l i kʷ a n t e s
liquantī	l i kʷ a n t i
liquantīs	l i kʷ a n t i s
liquantō	l i kʷ a n t o
liquat	l iː kʷ a t
liqueam	l iː kʷ e a m
liqueant	l iː kʷ e a n t
liqueat	l iː kʷ e a t
liquem	l iː kʷ e m
liquendum	l i kʷ ɛ n d u m
liquendī	l i kʷ ɛ n d i
liquendō	l i kʷ ɛ n d o
liquent	l iː kʷ e n t
liquente	l i kʷ ɛ n t e
liquentem	l i kʷ ɛ n t e m
liquentia	l i kʷ ɛ n t͡s i a
liquentibus	l i kʷ ɛ n t i b u s
liquentis	l i kʷ ɛ n t i s
liquentium	l i kʷ ɛ n t͡s i u m
liquentur	l i kʷ ɛ n t u r
liquentēs	l i kʷ ɛ n t e s
liquentī	l i kʷ ɛ n t i
liquentīs	l i kʷ ɛ n t i s
liquentō	l i kʷ ɛ n t o
liquer	l iː kʷ e r
liquet	l iː kʷ e t
liqueāmus	l i kʷ e aː m u s
liqueās	l iː kʷ e a s
liqueātis	l i kʷ e aː t i s
liquida	l iː kʷ i d a
liquidae	l iː kʷ i d e
liquidam	l iː kʷ i d a m
liquide	l iː kʷ i d e
liquidissima	l i kʷ i d i s s i m a
liquidissimae	l i kʷ i d i s s i m e
liquidissimam	l i kʷ i d i s s i m a m
liquidissime	l i kʷ i d i s s i m e
liquidissimum	l i kʷ i d i s s i m u m
liquidissimā	l i kʷ i d i s s i m a
liquidissimārum	l i kʷ i d i s s i m aː r u m
liquidissimās	l i kʷ i d i s s i m a s
liquidissimē	l i kʷ i d i s s i m e
liquidissimī	l i kʷ i d i s s i m i
liquidissimīs	l i kʷ i d i s s i m i s
liquidissimō	l i kʷ i d i s s i m o
liquidissimōrum	l i kʷ i d i s s i m ɔː r u m
liquidissimōs	l i kʷ i d i s s i m o s
liquiditātibus	l i kʷ i d i t aː t i b u s
liquidius	l i kʷ iː d i u s
liquidiōra	l i kʷ i d i ɔː r a
liquidiōre	l i kʷ i d i ɔː r e
liquidiōrem	l i kʷ i d i ɔː r e m
liquidiōribus	l i kʷ i d i ɔː r i b u s
liquidiōris	l i kʷ i d i ɔː r i s
liquidiōrum	l i kʷ i d i ɔː r u m
liquidiōrēs	l i kʷ i d i ɔː r e s
liquidiōrī	l i kʷ i d i ɔː r i
liquidiōrīs	l i kʷ i d i ɔː r i s
liquidum	l iː kʷ i d u m
liquidārum	l i kʷ i d aː r u m
liquidās	l iː kʷ i d a s
liquidē	l iː kʷ i d e
liquidī	l iː kʷ i d i
liquidīs	l iː kʷ i d i s
liquidō	l iː kʷ i d o
liquidōrum	l i kʷ i d ɔː r u m
liquidōs	l iː kʷ i d o s
liquor	l iː kʷ o r
liquoritia	l i kʷ o r i t t͡s i a
liquā	l iː kʷ a
liquābam	l i kʷ aː b a m
liquābant	l i kʷ aː b a n t
liquābantur	l i kʷ a b a n t u r
liquābar	l i kʷ aː b a r
liquābat	l i kʷ aː b a t
liquābere	l i kʷ aː b e r e
liquāberis	l i kʷ aː b e r i s
liquābiminī	l i kʷ a b iː m i n i
liquābimur	l i kʷ aː b i m u r
liquābimus	l i kʷ aː b i m u s
liquābis	l i kʷ aː b i s
liquābit	l i kʷ aː b i t
liquābitis	l i kʷ aː b i t i s
liquābitur	l i kʷ aː b i t u r
liquābor	l i kʷ aː b o r
liquābunt	l i kʷ aː b u n t
liquābuntur	l i kʷ a b u n t u r
liquābāminī	l i kʷ a b aː m i n i
liquābāmur	l i kʷ a b aː m u r
liquābāmus	l i kʷ a b aː m u s
liquābāre	l i kʷ a b aː r e
liquābāris	l i kʷ a b aː r i s
liquābās	l i kʷ aː b a s
liquābātis	l i kʷ a b aː t i s
liquābātur	l i kʷ a b aː t u r
liquābō	l i kʷ aː b o
liquāminī	l i kʷ aː m i n i
liquāmur	l i kʷ aː m u r
liquāmus	l i kʷ aː m u s
liquāre	l i kʷ aː r e
liquārem	l i kʷ aː r e m
liquārent	l i kʷ aː r e n t
liquārentur	l i kʷ a r ɛ n t u r
liquārer	l i kʷ aː r e r
liquāret	l i kʷ aː r e t
liquāris	l i kʷ aː r i s
liquārēminī	l i kʷ a r ɛː m i n i
liquārēmur	l i kʷ a r ɛː m u r
liquārēmus	l i kʷ a r ɛː m u s
liquārēre	l i kʷ a r ɛː r e
liquārēris	l i kʷ a r ɛː r i s
liquārēs	l i kʷ aː r e s
liquārētis	l i kʷ a r ɛː t i s
liquārētur	l i kʷ a r ɛː t u r
liquārī	l i kʷ aː r i
liquās	l iː kʷ a s
liquāta	l i kʷ aː t a
liquātae	l i kʷ aː t e
liquātam	l i kʷ aː t a m
liquāte	l i kʷ aː t e
liquātis	l i kʷ aː t i s
liquātor	l i kʷ aː t o r
liquātum	l i kʷ aː t u m
liquātur	l i kʷ aː t u r
liquātā	l i kʷ aː t a
liquātārum	l i kʷ a t aː r u m
liquātās	l i kʷ aː t a s
liquātī	l i kʷ aː t i
liquātīs	l i kʷ aː t i s
liquātō	l i kʷ aː t o
liquātōrum	l i kʷ a t ɔː r u m
liquātōs	l i kʷ aː t o s
liquātōte	l i kʷ a t ɔː t e
liquātū	l i kʷ aː t u
liquātūra	l i kʷ a t uː r a
liquātūrae	l i kʷ a t uː r e
liquātūram	l i kʷ a t uː r a m
liquātūre	l i kʷ a t uː r e
liquātūrum	l i kʷ a t uː r u m
liquātūrā	l i kʷ a t uː r a
liquātūrārum	l i kʷ a t u r aː r u m
liquātūrās	l i kʷ a t uː r a s
liquātūrī	l i kʷ a t uː r i
liquātūrīs	l i kʷ a t uː r i s
liquātūrō	l i kʷ a t uː r o
liquātūrōrum	l i kʷ a t u r ɔː r u m
liquātūrōs	l i kʷ a t uː r o s
liquāveram	l i kʷ aː v e r a m
liquāverant	l i kʷ aː v e r a n t
liquāverat	l i kʷ aː v e r a t
liquāverim	l i kʷ aː v e r i m
liquāverimus	l i kʷ a v ɛː r i m u s
liquāverint	l i kʷ aː v e r i n t
liquāveris	l i kʷ aː v e r i s
liquāverit	l i kʷ aː v e r i t
liquāveritis	l i kʷ a v ɛː r i t i s
liquāverāmus	l i kʷ a v e r aː m u s
liquāverās	l i kʷ aː v e r a s
liquāverātis	l i kʷ a v e r aː t i s
liquāverīmus	l i kʷ a v e r iː m u s
liquāverīs	l i kʷ aː v e r i s
liquāverītis	l i kʷ a v e r iː t i s
liquāverō	l i kʷ aː v e r o
liquāvimus	l i kʷ aː v i m u s
liquāvisse	l i kʷ a v i s s e
liquāvissem	l i kʷ a v i s s e m
liquāvissent	l i kʷ a v i s s e n t
liquāvisset	l i kʷ a v i s s e t
liquāvissēmus	l i kʷ a v i s s ɛː m u s
liquāvissēs	l i kʷ a v i s s e s
liquāvissētis	l i kʷ a v i s s ɛː t i s
liquāvistis	l i kʷ a v i s t i s
liquāvistī	l i kʷ a v i s t i
liquāvit	l i kʷ aː v i t
liquāvēre	l i kʷ a v ɛː r e
liquāvērunt	l i kʷ a v ɛː r u n t
liquāvī	l i kʷ aː v i
liquē	l iː kʷ e
liquēbam	l i kʷ ɛː b a m
liquēbant	l i kʷ ɛː b a n t
liquēbat	l i kʷ ɛː b a t
liquēbimus	l i kʷ ɛː b i m u s
liquēbis	l i kʷ ɛː b i s
liquēbit	l i kʷ ɛː b i t
liquēbitis	l i kʷ ɛː b i t i s
liquēbunt	l i kʷ ɛː b u n t
liquēbāmus	l i kʷ e b aː m u s
liquēbās	l i kʷ ɛː b a s
liquēbātis	l i kʷ e b aː t i s
liquēbō	l i kʷ ɛː b o
liquēminī	l i kʷ ɛː m i n i
liquēmur	l i kʷ ɛː m u r
liquēmus	l i kʷ ɛː m u s
liquēns	l iː kʷ e n s
liquēre	l i kʷ ɛː r e
liquērem	l i kʷ ɛː r e m
liquērent	l i kʷ ɛː r e n t
liquēret	l i kʷ ɛː r e t
liquēris	l i kʷ ɛː r i s
liquērēmus	l i kʷ e r ɛː m u s
liquērēs	l i kʷ ɛː r e s
liquērētis	l i kʷ e r ɛː t i s
liquēs	l iː kʷ e s
liquēte	l i kʷ ɛː t e
liquētis	l i kʷ ɛː t i s
liquētur	l i kʷ ɛː t u r
liquētō	l i kʷ ɛː t o
liquētōte	l i kʷ e t ɔː t e
liquōre	l i kʷ ɔː r e
liquōrem	l i kʷ ɔː r e m
liquōribus	l i kʷ ɔː r i b u s
liquōris	l i kʷ ɔː r i s
liquōrum	l i kʷ ɔː r u m
liquōrēs	l i kʷ ɔː r e s
liquōrī	l i kʷ ɔː r i
liricen	l iː r i t͡ʃ e n
listeriānus	l i s t e r i aː n u s
litargiae	l i t a r d͡ʒ i e
litargiam	l i t a r d͡ʒ i a m
litargiārum	l i t a r d͡ʒ i aː r u m
litargiās	l i t a r d͡ʒ i a s
litargiīs	l i t a r d͡ʒ i i s
lithographicus	l i t o ɡ r aː f i k u s
lithuānicus	l i t u aː n i k u s
lithuānus	l i t u aː n u s
litterāria	l i t t e r aː r i a
litterārium	l i t t e r aː r i u m
littorālis	l i t t o r aː l i s
lituānus	l i t u aː n u s
litātis	l i t aː t i s
litātīs	l i t aː t i s
litāverimus	l i t a v e r iː m u s
litāverimus	l i t a v ɛː r i m u s
litāveris	l i t aː v e r i s
litāveritis	l i t a v e r iː t i s
litāveritis	l i t a v ɛː r i t i s
liverpolitānus	l i v e r p o l i t aː n u s
lixa	l i k s a
lixulae	l i k s u l e
lochum	l ɔː k u m
lochāgum	l o k aː ɡ u m
lochāgī	l o k aː d͡ʒ i
lochāgīs	l o k aː d͡ʒ i s
lochāgō	l o k aː ɡ o
lochāgōrum	l o k a ɡ ɔː r u m
lochāgōs	l o k aː ɡ o s
lochīs	l ɔː k i s
lochōrum	l o k ɔː r u m
locor	l ɔː k o r
locuplētātis	l o k u p l e t aː t i s
locuplētātīs	l o k u p l e t aː t i s
locuplētāverimus	l o k u p l e t a v e r iː m u s
locuplētāverimus	l o k u p l e t a v ɛː r i m u s
locuplētāveris	l o k u p l e t aː v e r i s
locuplētāveritis	l o k u p l e t a v e r iː t i s
locuplētāveritis	l o k u p l e t a v ɛː r i t i s
locāle	l o k aː l e
locālem	l o k aː l e m
locālia	l o k aː l i a
locālium	l o k aː l i u m
locālēs	l o k aː l e s
locāram	l o k aː r a m
locāria	l o k aː r i a
locārāmus	l o k a r aː m u s
locārī	l o k aː r i
locātis	l o k aː t i s
locātīs	l o k aː t i s
locāverimus	l o k a v e r iː m u s
locāverimus	l o k a v ɛː r i m u s
locāveris	l o k aː v e r i s
locāveritis	l o k a v e r iː t i s
locāveritis	l o k a v ɛː r i t i s
locī	l ɔː t͡ʃ i
locīs	l ɔː t͡ʃ i s
locūtiōne	l o k u t t͡s i ɔː n e
locūtiōnem	l o k u t t͡s i ɔː n e m
locūtiōnibus	l o k u t t͡s i ɔː n i b u s
locūtiōnis	l o k u t t͡s i ɔː n i s
locūtiōnum	l o k u t t͡s i ɔː n u m
locūtiōnēs	l o k u t t͡s i ɔː n e s
locūtiōnī	l o k u t t͡s i ɔː n i
logica	l ɔː d͡ʒ i k a
lombardicus	l o m b a r d i k u s
longaevō	l o n̠ʲ d͡ʒ ɛː v o
longeve	l ɔ n̠ʲ d͡ʒ e v e
longevus	l ɔ n̠ʲ d͡ʒ e v u s
longevās	l ɔ n̠ʲ d͡ʒ e v a s
longevī	l ɔ n̠ʲ d͡ʒ e v i
longevōs	l ɔ n̠ʲ d͡ʒ e v o s
longior	l ɔ n̠ʲ d͡ʒ i o r
longitrōsus	l o n̠ʲ d͡ʒ i t r ɔː s̬ u s
longum	l ɔ ŋ ɡ u m
longāō	l o ŋ ɡ aː o
longē	l ɔ n̠ʲ d͡ʒ e
longī	l ɔ n̠ʲ d͡ʒ i
longō	l ɔ ŋ ɡ o
loquentia	l o kʷ ɛ n t͡s i a
loquier	l ɔː kʷ i e r
loquī	l ɔː kʷ i
loquūtiōne	l o kʷ u t t͡s i ɔː n e
loquūtiōnem	l o kʷ u t t͡s i ɔː n e m
loquūtiōnibus	l o kʷ u t t͡s i ɔː n i b u s
loquūtiōnis	l o kʷ u t t͡s i ɔː n i s
loquūtiōnum	l o kʷ u t t͡s i ɔː n u m
loquūtiōnēs	l o kʷ u t t͡s i ɔː n e s
loquūtiōnī	l o kʷ u t t͡s i ɔː n i
lourinhanēnsis	l u r i n j a n ɛ n s i s
loxēnsis	l o k s ɛ n s i s
lubitum	l uː b i t u m
lubitū	l uː b i t u
lubētō	l u b ɛː t o
lucrifactum	l u k r i f a k t u m
lucūna	l u k uː n a
lumbifragia	l u m b i f r aː d͡ʒ i a
lumbifragiī	l u m b i f r aː d͡ʒ i i
lumbifragiīs	l u m b i f r aː d͡ʒ i i s
lumbifragiō	l u m b i f r aː d͡ʒ i o
lumbifragiōrum	l u m b i f r a d͡ʒ i ɔː r u m
lumbifragī	l u m b iː f r a d͡ʒ i
lumbosacrālis	l u m b o s̬ a k r aː l i s
lumpa	l u m p a
lupum	l uː p u m
lupānāria	l u p a n aː r i a
lupārī	l u p aː r i
lupāta	l u p aː t a
lupī	l uː p i
lurcō	l u r k o
luscinius	l u ʃ ʃ iː n i u s
lustrō	l u s t r o
luteolus	l u t ɛː o l u s
lutetium	l u t ɛ t t͡s i u m
lutetiānus	l u t e t t͡s i aː n u s
luteum	l uː t e u m
luteus	l uː t e u s
lutum	l uː t u m
luxemburgicus	l u k s e m b u r d͡ʒ i k u s
luzonicus	l u d d͡z ɔː n i k u s
luō	l uː o
lymphātus	l i m f aː t u s
lyrica	l iː r i k a
lytra	l iː t r a
lābellum	l a b ɛ l l u m
lābidus	l aː b i d u s
lābilī	l aː b i l i
lābor	l aː b o r
lābrum	l aː b r u m
lāmellātus	l a m e l l aː t u s
lāmellōsus	l a m e l l ɔː s̬ u s
lānūgine	l a n uː d͡ʒ i n e
lānūginī	l a n uː d͡ʒ i n i
lāpsus	l a p s u s
lārdī	l a r d i
lāserpīcia	l a s̬ e r p iː t͡ʃ i a
lāserpīcifer	l a s̬ e r p iː t͡ʃ i f e r
lāserpīciī	l a s̬ e r p iː t͡ʃ i i
lāserpīciīs	l a s̬ e r p iː t͡ʃ i i s
lāserpīciō	l a s̬ e r p iː t͡ʃ i o
lāserpīciōrum	l a s̬ e r p i t͡ʃ i ɔː r u m
lāserpīcī	l a s̬ e r p iː t͡ʃ i
lāta	l aː t a
lātae	l aː t e
lāterna	l a t ɛ r n a
lātrāte	l a t r aː t e
lātrātis	l a t r aː t i s
lātrātor	l a t r aː t o r
lātrātrīcis	l a t r a t r iː t͡ʃ i s
lātrātrīcēs	l a t r a t r iː t͡ʃ e s
lātrātus	l a t r aː t u s
lātrātīs	l a t r aː t i s
lātrāverimus	l a t r a v e r iː m u s
lātrāverimus	l a t r a v ɛː r i m u s
lātrāveris	l a t r aː v e r i s
lātrāveritis	l a t r a v e r iː t i s
lātrāveritis	l a t r a v ɛː r i t i s
lātrō	l aː t r o
lātus	l aː t u s
lātēscō	l a t ɛ s k o
lātōre	l a t ɔː r e
lātōrī	l a t ɔː r i
lātū	l aː t u
lāveram	l aː v e r a m
lāverant	l aː v e r a n t
lāverat	l aː v e r a t
lāverim	l aː v e r i m
lāverimus	l a v e r iː m u s
lāverimus	l a v ɛː r i m u s
lāverint	l aː v e r i n t
lāverit	l aː v e r i t
lāveritis	l a v e r iː t i s
lāveritis	l a v ɛː r i t i s
lāverāmus	l a v e r aː m u s
lāverās	l aː v e r a s
lāverātis	l a v e r aː t i s
lāverō	l aː v e r o
lāvimus	l aː v i m u s
lāvisse	l a v i s s e
lāvissem	l a v i s s e m
lāvissent	l a v i s s e n t
lāvisset	l a v i s s e t
lāvissēmus	l a v i s s ɛː m u s
lāvissēs	l a v i s s e s
lāvissētis	l a v i s s ɛː t i s
lāvistis	l a v i s t i s
lāvistī	l a v i s t i
lāvit	l aː v i t
lāvērunt	l a v ɛː r u n t
lāvī	l aː v i
lēctus	l ɛ k t u s
lēctōrēs	l e k t ɔː r e s
lēgandō	l e ɡ a n d o
lēgantī	l e ɡ a n t i
lēge	l ɛː d͡ʒ e
lēgis	l ɛː d͡ʒ i s
lēgisdoctōre	l e d͡ʒ i z d o k t ɔː r e
lēgisdoctōrem	l e d͡ʒ i z d o k t ɔː r e m
lēgisdoctōribus	l e d͡ʒ i z d o k t ɔː r i b u s
lēgisdoctōris	l e d͡ʒ i z d o k t ɔː r i s
lēgisdoctōrum	l e d͡ʒ i z d o k t ɔː r u m
lēgisdoctōrēs	l e d͡ʒ i z d o k t ɔː r e s
lēgisdoctōrī	l e d͡ʒ i z d o k t ɔː r i
lēgitimātus	l e d͡ʒ i t i m aː t u s
lēgumlātōre	l e ɡ u m l a t ɔː r e
lēgumlātōrem	l e ɡ u m l a t ɔː r e m
lēgumlātōribus	l e ɡ u m l a t ɔː r i b u s
lēgumlātōris	l e ɡ u m l a t ɔː r i s
lēgumlātōrum	l e ɡ u m l a t ɔː r u m
lēgumlātōrēs	l e ɡ u m l a t ɔː r e s
lēgumlātōrī	l e ɡ u m l a t ɔː r i
lēgā	l ɛː ɡ a
lēgālēs	l e ɡ aː l e s
lēgārem	l e ɡ aː r e m
lēgārās	l ɛː ɡ a r a s
lēgārēs	l e ɡ aː r e s
lēgās	l ɛː ɡ a s
lēgāsse	l e ɡ a s s e
lēgāssem	l e ɡ a s s e m
lēgāssēs	l e ɡ a s s e s
lēgāta	l e ɡ aː t a
lēgāte	l e ɡ aː t e
lēgātis	l e ɡ aː t i s
lēgātum	l e ɡ aː t u m
lēgātī	l e ɡ aː t i
lēgātīs	l e ɡ aː t i s
lēgātō	l e ɡ aː t o
lēgātōrius	l e ɡ a t ɔː r i u s
lēgāverimus	l e ɡ a v e r iː m u s
lēgāverimus	l e ɡ a v ɛː r i m u s
lēgāveris	l e ɡ aː v e r i s
lēgāveritis	l e ɡ a v e r iː t i s
lēgāveritis	l e ɡ a v ɛː r i t i s
lēgēre	l e d͡ʒ ɛː r e
lēgēre	l ɛː d͡ʒ e r e
lēgēs	l ɛː d͡ʒ e s
lēgō	l ɛː ɡ o
lēmmata	l ɛ m m a t a
lēmmă	l ɛ m m a
lēmōnia	l e m ɔː n i a
lēmōniī	l e m ɔː n i i
lēmōniīs	l e m ɔː n i i s
lēmōniō	l e m ɔː n i o
lēmōniōrum	l e m o n i ɔː r u m
lēmōnī	l e m ɔː n i
lēnis	l ɛː n i s
lēns	l ɛ n s
lēnunculus	l e n u ŋ k u l u s
lēnīs	l ɛː n i s
lēthargiae	l e t a r d͡ʒ i e
lēthargiam	l e t a r d͡ʒ i a m
lēthargiārum	l e t a r d͡ʒ i aː r u m
lēthargiās	l e t a r d͡ʒ i a s
lēthargiīs	l e t a r d͡ʒ i i s
lēthum	l ɛː t u m
lēthārge	l e t a r d͡ʒ e
lēthārgum	l e t a r ɡ u m
lēthārgī	l e t a r d͡ʒ i
lēthārgīs	l e t a r d͡ʒ i s
lēthārgō	l e t a r ɡ o
lēthārgōrum	l e t a r ɡ ɔː r u m
lēthārgōs	l e t a r ɡ o s
lētiferō	l e t iː f e r o
lētāle	l e t aː l e
lētālēs	l e t aː l e s
lētālī	l e t aː l i
lētō	l ɛː t o
lēvigāre	l e v i ɡ aː r e
lēvigāte	l e v i ɡ aː t e
lēvigātis	l e v i ɡ aː t i s
lēvigātīs	l e v i ɡ aː t i s
lēvigāverimus	l e v i ɡ a v e r iː m u s
lēvigāverimus	l e v i ɡ a v ɛː r i m u s
lēvigāveris	l e v i ɡ aː v e r i s
lēvigāveritis	l e v i ɡ a v e r iː t i s
lēvigāveritis	l e v i ɡ a v ɛː r i t i s
lēvigō	l ɛː v i ɡ o
lēvis	l ɛː v i s
lēvitās	l ɛː v i t a s
lēvor	l ɛː v o r
lēvābis	l e v aː b i s
lēvāre	l e v aː r e
lēvātis	l e v aː t i s
lēvātīs	l e v aː t i s
lēvāverimus	l e v a v e r iː m u s
lēvāverimus	l e v a v ɛː r i m u s
lēvāveris	l e v aː v e r i s
lēvāveritis	l e v a v e r iː t i s
lēvāveritis	l e v a v ɛː r i t i s
lēvēs	l ɛː v e s
lēvīticus	l e v iː t i k u s
lēvītōnāria	l e v i t o n aː r i a
lēvītōnāriī	l e v i t o n aː r i i
lēvītōnāriīs	l e v i t o n aː r i i s
lēvītōnāriō	l e v i t o n aː r i o
lēvītōnāriōrum	l e v i t o n a r i ɔː r u m
lēvō	l ɛː v o
līber	l iː b e r
lībera	l iː b e r a
līberanda	l i b e r a n d a
lībertātis	l i b e r t aː t i s
līberā	l iː b e r a
līberālēs	l i b e r aː l e s
līberāram	l i b e r aː r a m
līberārier	l i b e r aː r i e r
līberārāmus	l i b e r a r aː m u s
līberātis	l i b e r aː t i s
līberātīs	l i b e r aː t i s
līberātūra	l i b e r a t uː r a
līberāverimus	l i b e r a v e r iː m u s
līberāverimus	l i b e r a v ɛː r i m u s
līberāveris	l i b e r aː v e r i s
līberāveritis	l i b e r a v e r iː t i s
līberāveritis	l i b e r a v ɛː r i t i s
līberē	l iː b e r e
lībet	l iː b e t
lībra	l iː b r a
lībrā	l iː b r a
lībrātis	l i b r aː t i s
lībrātīs	l i b r aː t i s
lībrāverimus	l i b r a v e r iː m u s
lībrāverimus	l i b r a v ɛː r i m u s
lībrāveris	l i b r aː v e r i s
lībrāveritis	l i b r a v e r iː t i s
lībrāveritis	l i b r a v ɛː r i t i s
lībrīlis	l i b r iː l i s
lībrīs	l iː b r i s
lībrō	l iː b r o
lībāmenta	l i b a m ɛ n t a
lībāmentōrum	l i b a m e n t ɔː r u m
lībātis	l i b aː t i s
lībātor	l i b aː t o r
lībātī	l i b aː t i
lībātīs	l i b aː t i s
lībāverimus	l i b a v e r iː m u s
lībāverimus	l i b a v ɛː r i m u s
lībāveris	l i b aː v e r i s
lībāveritis	l i b a v e r iː t i s
lībāveritis	l i b a v ɛː r i t i s
līctōre	l i k t ɔː r e
līctōrem	l i k t ɔː r e m
līctōribus	l i k t ɔː r i b u s
līctōris	l i k t ɔː r i s
līctōrum	l i k t ɔː r u m
līctōrēs	l i k t ɔː r e s
līctōrī	l i k t ɔː r i
līcueram	l i k uː e r a m
līcuerant	l i k uː e r a n t
līcuerat	l i k uː e r a t
līcuerim	l i k uː e r i m
līcuerimus	l i k u ɛː r i m u s
līcuerint	l i k uː e r i n t
līcueris	l i k uː e r i s
līcuerit	l i k uː e r i t
līcueritis	l i k u ɛː r i t i s
līcuerāmus	l i k u e r aː m u s
līcuerās	l i k uː e r a s
līcuerātis	l i k u e r aː t i s
līcuerīmus	l i k u e r iː m u s
līcuerīs	l i k uː e r i s
līcuerītis	l i k u e r iː t i s
līcuerō	l i k uː e r o
līcuimus	l i k uː i m u s
līcuisse	l i k u i s s e
līcuissem	l i k u i s s e m
līcuissent	l i k u i s s e n t
līcuisset	l i k u i s s e t
līcuissēmus	l i k u i s s ɛː m u s
līcuissēs	l i k u i s s e s
līcuissētis	l i k u i s s ɛː t i s
līcuistis	l i k u i s t i s
līcuistī	l i k u i s t i
līcuit	l iː k u i t
līcuēre	l i k u ɛː r e
līcuērunt	l i k u ɛː r u n t
līcuī	l iː k u i
līlacīnus	l i l a t͡ʃ iː n u s
līlāceus	l i l aː t͡ʃ e u s
līmante	l i m a n t e
līmantō	l i m a n t o
līme	l iː m e
līmer	l iː m e r
līmes	l iː m e s
līmite	l iː m i t e
līmitā	l iː m i t a
līmitārēs	l i m i t aː r e s
līmitāta	l i m i t aː t a
līmitāte	l i m i t aː t e
līmitātor	l i m i t aː t o r
līmitēs	l iː m i t e s
līmus	l iː m u s
līmāce	l i m aː t͡ʃ e
līmāns	l iː m a n s
līmās	l iː m a s
līmāta	l i m aː t a
līmāte	l i m aː t e
līmātis	l i m aː t i s
līmātīs	l i m aː t i s
līmātō	l i m aː t o
līmāverimus	l i m a v e r iː m u s
līmāverimus	l i m a v ɛː r i m u s
līmāveris	l i m aː v e r i s
līmāveritis	l i m a v e r iː t i s
līmāveritis	l i m a v ɛː r i t i s
līmēs	l iː m e s
līmī	l iː m i
līmīs	l iː m i s
līmō	l iː m o
līmōnia	l i m ɔː n i a
līmōniī	l i m ɔː n i i
līmōniīs	l i m ɔː n i i s
līmōniō	l i m ɔː n i o
līmōniōrum	l i m o n i ɔː r u m
līmōnī	l i m ɔː n i
līmōs	l iː m o s
līmōsa	l i m ɔː s̬ a
līmōsā	l i m ɔː s̬ a
līmōsō	l i m ɔː s̬ o
līnctus	l i ŋ k t u s
līnee	l iː n e e
līneāris	l i n e aː r i s
līneārēs	l i n e aː r e s
līneātor	l i n e aː t o r
līneātus	l i n e aː t u s
līneī	l iː n e i
līquantur	l i kʷ a n t u r
līquar	l iː kʷ a r
līquendum	l i kʷ ɛ n d u m
līquendī	l i kʷ ɛ n d i
līquendō	l i kʷ ɛ n d o
līquente	l i kʷ ɛ n t e
līquentem	l i kʷ ɛ n t e m
līquentia	l i kʷ ɛ n t͡s i a
līquentibus	l i kʷ ɛ n t i b u s
līquentis	l i kʷ ɛ n t i s
līquentium	l i kʷ ɛ n t͡s i u m
līquentur	l i kʷ ɛ n t u r
līquentēs	l i kʷ ɛ n t e s
līquentī	l i kʷ ɛ n t i
līquentīs	l i kʷ ɛ n t i s
līqueram	l iː kʷ e r a m
līquerant	l iː kʷ e r a n t
līquerat	l iː kʷ e r a t
līquere	l iː kʷ e r e
līquerentur	l i kʷ e r ɛ n t u r
līquerer	l iː kʷ e r e r
līquerim	l iː kʷ e r i m
līquerimus	l i kʷ ɛː r i m u s
līquerint	l iː kʷ e r i n t
līqueris	l iː kʷ e r i s
līquerit	l iː kʷ e r i t
līqueritis	l i kʷ ɛː r i t i s
līquerāmus	l i kʷ e r aː m u s
līquerās	l iː kʷ e r a s
līquerātis	l i kʷ e r aː t i s
līquerēminī	l i kʷ e r ɛː m i n i
līquerēmur	l i kʷ e r ɛː m u r
