'tamo'	t a m o
desaprensivos	d e s a p ɾ e n s i b o s
desaprobación	d e s a p ɾ o b a θ j o n
desaprobada	d e s a p ɾ o b a d a
desaprobadas	d e s a p ɾ o b a d a s
desaprobado	d e s a p ɾ o b a d o
desaprobados	d e s a p ɾ o b a d o s
desaprobar	d e s a p ɾ o b a ɾ
desaprovechada	d e s a p ɾ o b e t͡ʃ a d a
desaprovechadas	d e s a p ɾ o b e t͡ʃ a d a s
desaprovechado	d e s a p ɾ o b e t͡ʃ a d o
desaprovechados	d e s a p ɾ o b e t͡ʃ a d o s
desaprovechamiento	d e s a p ɾ o b e t͡ʃ a m j e n t o
desaprovechar	d e s a p ɾ o b e t͡ʃ a ɾ
desarbolada	d e s a ɾ b o l a d a
desarboladas	d e s a ɾ b o l a d a s
desarbolado	d e s a ɾ b o l a d o
desarbolados	d e s a ɾ b o l a d o s
desarbolar	d e s a ɾ b o l a ɾ
desarchivar	d e s a ɾ t͡ʃ i b a ɾ
desarenar	d e s a ɾ e n a ɾ
desarmable	d e s a ɾ m a b l e
desarmada	d e s a ɾ m a d a
desarmadas	d e s a ɾ m a d a s
desarmadero	d e s a ɾ m a d e ɾ o
desarmado	d e s a ɾ m a d o
desarmador	d e s a ɾ m a d o ɾ
desarmados	d e s a ɾ m a d o s
desarmante	d e s a ɾ m a n t e
desarmar	d e s a ɾ m a ɾ
desarme	d e s a ɾ m e
desarraiga	d e s a r a i ɡ a
desarraigada	d e s a r a i ɡ a d a
desarraigadas	d e s a r a i ɡ a d a s
desarraigado	d e s a r a i ɡ a d o
desarraigados	d e s a r a i ɡ a d o s
desarraigamos	d e s a r a i ɡ a m o s
desarraigando	d e s a r a i ɡ a n d o
desarraigar	d e s a r a i ɡ a ɾ
desarraigara	d e s a r a i ɡ a ɾ a
desarraigará	d e s a r a i ɡ a ɾ a
desarraigáramos	d e s a r a i ɡ a ɾ a m o s
desarraigaras	d e s a r a i ɡ a ɾ a s
desarraigarás	d e s a r a i ɡ a ɾ a s
desarraigareis	d e s a r a i ɡ a ɾ e i s
desarraigaremos	d e s a r a i ɡ a ɾ e m o s
desarraigares	d e s a r a i ɡ a ɾ e s
desarraigaríamos	d e s a r a i ɡ a ɾ i a m o s
desarraigas	d e s a r a i ɡ a s
desarraigaste	d e s a r a i ɡ a s t e
desarraigo	d e s a r a i ɡ o
desarraigue	d e s a r a i ɡ e
desarraiguemos	d e s a r a i ɡ e m o s
desarraigues	d e s a r a i ɡ e s
desarreglada	d e s a r e ɡ l a d a
desarregladas	d e s a r e ɡ l a d a s
desarreglado	d e s a r e ɡ l a d o
desarreglados	d e s a r e ɡ l a d o s
desarreglar	d e s a r e ɡ l a ɾ
desarreglo	d e s a r e ɡ l o
desarrollable	d e s a r o ʝ a b l e
desarrollable	d e s a r o ʝ a b l e
desarrollada	d e s a r o ʝ a d a
desarrollada	d e s a r o ʝ a d a
desarrolladas	d e s a r o ʝ a d a s
desarrolladas	d e s a r o ʝ a d a s
desarrollado	d e s a r o ʝ a d o
desarrollado	d e s a r o ʝ a d o
desarrollador	d e s a r o ʝ a d o ɾ
desarrollador	d e s a r o ʝ a d o ɾ
desarrolladora	d e s a r o ʝ a d o ɾ a
desarrolladora	d e s a r o ʝ a d o ɾ a
desarrollados	d e s a r o ʝ a d o s
desarrollados	d e s a r o ʝ a d o s
desarrollar	d e s a r o ʝ a ɾ
desarrollar	d e s a r o ʝ a ɾ
desarrollismo	d e s a r o ʝ i s m o
desarrollismo	d e s a r o ʝ i s m o
desarrollista	d e s a r o ʝ i s t a
desarrollista	d e s a r o ʝ i s t a
desarrollo	d e s a r o ʝ o
desarrollo	d e s a r o ʝ o
desarropada	d e s a r o p a d a
desarropadas	d e s a r o p a d a s
desarropado	d e s a r o p a d o
desarropados	d e s a r o p a d o s
desarropar	d e s a r o p a ɾ
desarropo	d e s a r o p o
desarrugar	d e s a r u ɡ a ɾ
desarticulada	d e s a ɾ t i k u l a d a
desarticuladas	d e s a ɾ t i k u l a d a s
desarticulado	d e s a ɾ t i k u l a d o
desarticulados	d e s a ɾ t i k u l a d o s
desarticular	d e s a ɾ t i k u l a ɾ
desartillada	d e s a ɾ t i ʝ a d a
desartillada	d e s a ɾ t i ʝ a d a
desartilladas	d e s a ɾ t i ʝ a d a s
desartilladas	d e s a ɾ t i ʝ a d a s
desartillado	d e s a ɾ t i ʝ a d o
desartillado	d e s a ɾ t i ʝ a d o
desartillados	d e s a ɾ t i ʝ a d o s
desartillados	d e s a ɾ t i ʝ a d o s
desartillar	d e s a ɾ t i ʝ a ɾ
desartillar	d e s a ɾ t i ʝ a ɾ
desartillé	d e s a ɾ t i ʝ e
desartillé	d e s a ɾ t i ʝ e
desartillo	d e s a ɾ t i ʝ o
desartillo	d e s a ɾ t i ʝ o
desase	d e s a s e
desaseado	d e s a s e a d o
desaseo	d e s a s e o
desases	d e s a s e s
desasida	d e s a s i d a
desasidas	d e s a s i d a s
desasido	d e s a s i d o
desasidos	d e s a s i d o s
desasnar	d e s a s n a ɾ
desasociada	d e s a s o θ j a d a
desasociadas	d e s a s o θ j a d a s
desasociado	d e s a s o θ j a d o
desasociados	d e s a s o θ j a d o s
desasociar	d e s a s o θ j a ɾ
desasosegada	d e s a s o s e ɡ a d a
desasosegadas	d e s a s o s e ɡ a d a s
desasosegado	d e s a s o s e ɡ a d o
desasosegados	d e s a s o s e ɡ a d o s
desasosegante	d e s a s o s e ɡ a n t e
desasosegar	d e s a s o s e ɡ a ɾ
desasosiego	d e s a s o s j e ɡ o
desastre	d e s a s t ɾ e
desastres	d e s a s t ɾ e s
desastrillo	d e s a s t ɾ i ʝ o
desastrillo	d e s a s t ɾ i ʝ o
desastrosa	d e s a s t ɾ o s a
desastrosamente	d e s a s t ɾ o s a m e n t e
desastrosas	d e s a s t ɾ o s a s
desastroso	d e s a s t ɾ o s o
desastrosos	d e s a s t ɾ o s o s
desatacada	d e s a t a k a d a
desatacadas	d e s a t a k a d a s
desatacado	d e s a t a k a d o
desatacados	d e s a t a k a d o s
desatacar	d e s a t a k a ɾ
desatada	d e s a t a d a
desatadas	d e s a t a d a s
desatado	d e s a t a d o
desatados	d e s a t a d o s
desatanizar	d e s a t a n i θ a ɾ
desatar	d e s a t a ɾ
desatascada	d e s a t a s k a d a
desatascadas	d e s a t a s k a d a s
desatascado	d e s a t a s k a d o
desatascador	d e s a t a s k a d o ɾ
desatascados	d e s a t a s k a d o s
desatascar	d e s a t a s k a ɾ
desatender	d e s a t e n d e ɾ
desatendida	d e s a t e n d i d a
desatendidas	d e s a t e n d i d a s
desatendidos	d e s a t e n d i d o s
desatentar	d e s a t e n t a ɾ
desatento	d e s a t e n t o
desatinadamente	d e s a t i n a d a m e n t e
desatinar	d e s a t i n a ɾ
desatino	d e s a t i n o
desatorada	d e s a t o ɾ a d a
desatoradas	d e s a t o ɾ a d a s
desatorado	d e s a t o ɾ a d o
desatorados	d e s a t o ɾ a d o s
desatorar	d e s a t o ɾ a ɾ
desatornillada	d e s a t o ɾ n i ʝ a d a
desatornillada	d e s a t o ɾ n i ʝ a d a
desatornilladas	d e s a t o ɾ n i ʝ a d a s
desatornilladas	d e s a t o ɾ n i ʝ a d a s
desatornillado	d e s a t o ɾ n i ʝ a d o
desatornillado	d e s a t o ɾ n i ʝ a d o
desatornillados	d e s a t o ɾ n i ʝ a d o s
desatornillados	d e s a t o ɾ n i ʝ a d o s
desatornillar	d e s a t o ɾ n i ʝ a ɾ
desatornillar	d e s a t o ɾ n i ʝ a ɾ
desatracar	d e s a t ɾ a k a ɾ
desatraillar	d e s a t ɾ a i ʝ a ɾ
desatraillar	d e s a t ɾ a i ʝ a ɾ
desatrancar	d e s a t ɾ a n k a ɾ
desaturación	d e s a t u ɾ a θ j o n
desaturada	d e s a t u ɾ a d a
desaturadas	d e s a t u ɾ a d a s
desaturado	d e s a t u ɾ a d o
desaturados	d e s a t u ɾ a d o s
desaturar	d e s a t u ɾ a ɾ
desautorizada	d e s a u t o ɾ i θ a d a
desautorizadas	d e s a u t o ɾ i θ a d a s
desautorizados	d e s a u t o ɾ i θ a d o s
desautorizar	d e s a u t o ɾ i θ a ɾ
desavenencia	d e s a b e n e n θ j a
desavenir	d e s a b e n i ɾ
desaventajadamente	d e s a b e n t a x a d a m e n t e
desaventajado	d e s a b e n t a x a d o
desayunada	d e s a ʝ u n a d a
desayunadas	d e s a ʝ u n a d a s
desayunado	d e s a ʝ u n a d o
desayunador	d e s a ʝ u n a d o ɾ
desayunados	d e s a ʝ u n a d o s
desayunar	d e s a ʝ u n a ɾ
desayuno	d e s a ʝ u n o
desazolvar	d e s a θ o l b a ɾ
desazolve	d e s a θ o l b e
desazón	d e s a θ o n
desazonado	d e s a θ o n a d o
desazonador	d e s a θ o n a d o ɾ
desazonante	d e s a θ o n a n t e
desazonar	d e s a θ o n a ɾ
desbalancear	d e s b a l a n θ e a ɾ
desballestada	d e s b a ʝ e s t a d a
desballestada	d e s b a ʝ e s t a d a
desballestadas	d e s b a ʝ e s t a d a s
desballestadas	d e s b a ʝ e s t a d a s
desballestado	d e s b a ʝ e s t a d o
desballestado	d e s b a ʝ e s t a d o
desballestados	d e s b a ʝ e s t a d o s
desballestados	d e s b a ʝ e s t a d o s
desballestar	d e s b a ʝ e s t a ɾ
desballestar	d e s b a ʝ e s t a ɾ
desbancada	d e s b a n k a d a
desbancadas	d e s b a n k a d a s
desbancado	d e s b a n k a d o
desbancados	d e s b a n k a d o s
desbancar	d e s b a n k a ɾ
desbandá	d e s b a n d a
desbandada	d e s b a n d a d a
desbandadas	d e s b a n d a d a s
desbandado	d e s b a n d a d o
desbandados	d e s b a n d a d o s
desbarahustar	d e s b a ɾ a u s t a ɾ
desbarajustada	d e s b a ɾ a x u s t a d a
desbarajustadas	d e s b a ɾ a x u s t a d a s
desbarajustado	d e s b a ɾ a x u s t a d o
desbarajustados	d e s b a ɾ a x u s t a d o s
desbarajustar	d e s b a ɾ a x u s t a ɾ
desbaratada	d e s b a ɾ a t a d a
desbaratadas	d e s b a ɾ a t a d a s
desbaratado	d e s b a ɾ a t a d o
desbaratados	d e s b a ɾ a t a d o s
desbaratamiento	d e s b a ɾ a t a m j e n t o
desbaratar	d e s b a ɾ a t a ɾ
desbarrancada	d e s b a r a n k a d a
desbarrancadas	d e s b a r a n k a d a s
desbarrancadero	d e s b a r a n k a d e ɾ o
desbarrancado	d e s b a r a n k a d o
desbarrancados	d e s b a r a n k a d o s
desbarrancar	d e s b a r a n k a ɾ
desbarrar	d e s b a r a ɾ
desbarre	d e s b a r e
desbastada	d e s b a s t a d a
desbastadas	d e s b a s t a d a s
desbastado	d e s b a s t a d o
desbastados	d e s b a s t a d o s
desbastar	d e s b a s t a ɾ
desbloqueada	d e s b l o k e a d a
desbloqueadas	d e s b l o k e a d a s
desbloqueado	d e s b l o k e a d o
desbloqueados	d e s b l o k e a d o s
desbloquear	d e s b l o k e a ɾ
desbloqueo	d e s b l o k e o
desbocada	d e s b o k a d a
desbocadas	d e s b o k a d a s
desbocado	d e s b o k a d o
desbocados	d e s b o k a d o s
desbocar	d e s b o k a ɾ
desbordada	d e s b o ɾ d a d a
desbordadas	d e s b o ɾ d a d a s
desbordado	d e s b o ɾ d a d o
desbordados	d e s b o ɾ d a d o s
desbordamiento	d e s b o ɾ d a m j e n t o
desbordante	d e s b o ɾ d a n t e
desbordar	d e s b o ɾ d a ɾ
desborde	d e s b o ɾ d e
desbotonada	d e s b o t o n a d a
desbotonadas	d e s b o t o n a d a s
desbotonado	d e s b o t o n a d o
desbotonados	d e s b o t o n a d o s
desbotonar	d e s b o t o n a ɾ
desbravar	d e s b ɾ a b a ɾ
desbridamiento	d e s b ɾ i d a m j e n t o
desbrozada	d e s b ɾ o θ a d a
desbrozadas	d e s b ɾ o θ a d a s
desbrozado	d e s b ɾ o θ a d o
desbrozadora	d e s b ɾ o θ a d o ɾ a
desbrozados	d e s b ɾ o θ a d o s
desbrozar	d e s b ɾ o θ a ɾ
descabalgada	d e s k a b a l ɡ a d a
descabalgadas	d e s k a b a l ɡ a d a s
descabalgado	d e s k a b a l ɡ a d o
descabalgados	d e s k a b a l ɡ a d o s
descabalgar	d e s k a b a l ɡ a ɾ
descabellado	d e s k a b e ʝ a d o
descabellado	d e s k a b e ʝ a d o
descabellar	d e s k a b e ʝ a ɾ
descabellar	d e s k a b e ʝ a ɾ
descabello	d e s k a b e ʝ o
descabello	d e s k a b e ʝ o
descabezada	d e s k a b e θ a d a
descabezadas	d e s k a b e θ a d a s
descabezado	d e s k a b e θ a d o
descabezados	d e s k a b e θ a d o s
descabezamiento	d e s k a b e θ a m j e n t o
descabezar	d e s k a b e θ a ɾ
descachada	d e s k a t͡ʃ a d a
descachadas	d e s k a t͡ʃ a d a s
descachado	d e s k a t͡ʃ a d o
descachados	d e s k a t͡ʃ a d o s
descacharrado	d e s k a t͡ʃ a r a d o
descacharrante	d e s k a t͡ʃ a r a n t e
descacharre	d e s k a t͡ʃ a r e
descache	d e s k a t͡ʃ e
descachimbada	d e s k a t͡ʃ i m b a d a
descachimbadas	d e s k a t͡ʃ i m b a d a s
descachimbado	d e s k a t͡ʃ i m b a d o
descachimbados	d e s k a t͡ʃ i m b a d o s
descachimbar	d e s k a t͡ʃ i m b a ɾ
descaecer	d e s k a e θ e ɾ
descaecimiento	d e s k a e θ i m j e n t o
descafeinada	d e s k a f e i n a d a
descafeinadas	d e s k a f e i n a d a s
descafeinado	d e s k a f e i n a d o
descafeinados	d e s k a f e i n a d o s
descafeinamiento	d e s k a f e i n a m j e n t o
descafeinar	d e s k a f e i n a ɾ
descalabrada	d e s k a l a b ɾ a d a
descalabradas	d e s k a l a b ɾ a d a s
descalabrado	d e s k a l a b ɾ a d o
descalabrados	d e s k a l a b ɾ a d o s
descalabrar	d e s k a l a b ɾ a ɾ
descalabro	d e s k a l a b ɾ o
descalcez	d e s k a l θ e θ
descalcificación	d e s k a l θ i f i k a θ j o n
descalcificada	d e s k a l θ i f i k a d a
descalcificadas	d e s k a l θ i f i k a d a s
descalcificado	d e s k a l θ i f i k a d o
descalcificados	d e s k a l θ i f i k a d o s
descalcificar	d e s k a l θ i f i k a ɾ
descalibrar	d e s k a l i b ɾ a ɾ
descalificación	d e s k a l i f i k a θ j o n
descalificaciones	d e s k a l i f i k a θ j o n e s
descalificada	d e s k a l i f i k a d a
descalificadas	d e s k a l i f i k a d a s
descalificado	d e s k a l i f i k a d o
descalificador	d e s k a l i f i k a d o ɾ
descalificados	d e s k a l i f i k a d o s
descalificar	d e s k a l i f i k a ɾ
descalificativo	d e s k a l i f i k a t i b o
descalificatoria	d e s k a l i f i k a t o ɾ j a
descalificatorias	d e s k a l i f i k a t o ɾ j a s
descalificatorio	d e s k a l i f i k a t o ɾ j o
descalificatorios	d e s k a l i f i k a t o ɾ j o s
descalza	d e s k a l θ a
descalzada	d e s k a l θ a d a
descalzadas	d e s k a l θ a d a s
descalzado	d e s k a l θ a d o
descalzados	d e s k a l θ a d o s
descalzaperros	d e s k a l θ a p e r o s
descalzar	d e s k a l θ a ɾ
descalzas	d e s k a l θ a s
descalzo	d e s k a l θ o
descamación	d e s k a m a θ j o n
descambiar	d e s k a m b j a ɾ
descaminado	d e s k a m i n a d o
descamisada	d e s k a m i s a d a
descamisadas	d e s k a m i s a d a s
descamisado	d e s k a m i s a d o
descamisados	d e s k a m i s a d o s
descampado	d e s k a m p a d o
descansaban	d e s k a n s a b a n
descansabrazos	d e s k a n s a b ɾ a θ o s
descansada	d e s k a n s a d a
descansadamente	d e s k a n s a d a m e n t e
descansadas	d e s k a n s a d a s
descansadero	d e s k a n s a d e ɾ o
descansado	d e s k a n s a d o
descansados	d e s k a n s a d o s
descansar	d e s k a n s a ɾ
descansaron	d e s k a n s a ɾ o n
descansero	d e s k a n s e ɾ o
descansillo	d e s k a n s i ʝ o
descansillo	d e s k a n s i ʝ o
descanso	d e s k a n s o
descapitalización	d e s k a p i t a l i θ a θ j o n
descapitalizada	d e s k a p i t a l i θ a d a
descapitalizadas	d e s k a p i t a l i θ a d a s
descapitalizado	d e s k a p i t a l i θ a d o
descapitalizados	d e s k a p i t a l i θ a d o s
descapitalizar	d e s k a p i t a l i θ a ɾ
descapotable	d e s k a p o t a b l e
descapullar	d e s k a p u ʝ a ɾ
descapullar	d e s k a p u ʝ a ɾ
descaradamente	d e s k a ɾ a d a m e n t e
descarado	d e s k a ɾ a d o
descarapelado	d e s k a ɾ a p e l a d o
descarapelar	d e s k a ɾ a p e l a ɾ
descararse	d e s k a ɾ a ɾ s e
descarbonatada	d e s k a ɾ b o n a t a d a
descarbonatadas	d e s k a ɾ b o n a t a d a s
descarbonatado	d e s k a ɾ b o n a t a d o
descarbonatados	d e s k a ɾ b o n a t a d o s
descarbonatar	d e s k a ɾ b o n a t a ɾ
descarbonizar	d e s k a ɾ b o n i θ a ɾ
descarboxilación	d e s k a ɾ b o ɡ s i l a θ j o n
descarboxilada	d e s k a ɾ b o ɡ s i l a d a
descarboxiladas	d e s k a ɾ b o ɡ s i l a d a s
descarboxilado	d e s k a ɾ b o ɡ s i l a d o
descarboxilados	d e s k a ɾ b o ɡ s i l a d o s
descarboxilar	d e s k a ɾ b o ɡ s i l a ɾ
descarga	d e s k a ɾ ɡ a
descargable	d e s k a ɾ ɡ a b l e
descargada	d e s k a ɾ ɡ a d a
descargadas	d e s k a ɾ ɡ a d a s
descargado	d e s k a ɾ ɡ a d o
descargados	d e s k a ɾ ɡ a d o s
descargar	d e s k a ɾ ɡ a ɾ
descargo	d e s k a ɾ ɡ o
descarnada	d e s k a ɾ n a d a
descarnadamente	d e s k a ɾ n a d a m e n t e
descarnadas	d e s k a ɾ n a d a s
descarnado	d e s k a ɾ n a d o
descarnados	d e s k a ɾ n a d o s
descarnar	d e s k a ɾ n a ɾ
descaro	d e s k a ɾ o
descarriada	d e s k a r j a d a
descarriadas	d e s k a r j a d a s
descarriado	d e s k a r j a d o
descarriados	d e s k a r j a d o s
descarriar	d e s k a r j a ɾ
descarrilada	d e s k a r i l a d a
descarriladas	d e s k a r i l a d a s
descarrilado	d e s k a r i l a d o
descarrilador	d e s k a r i l a d o ɾ
descarrilados	d e s k a r i l a d o s
descarrilamiento	d e s k a r i l a m j e n t o
descarrilar	d e s k a r i l a ɾ
descarrilareis	d e s k a r i l a ɾ e i s
descarta	d e s k a ɾ t a
descartable	d e s k a ɾ t a b l e
descartada	d e s k a ɾ t a d a
descartadas	d e s k a ɾ t a d a s
descartado	d e s k a ɾ t a d o
descartados	d e s k a ɾ t a d o s
descartamos	d e s k a ɾ t a m o s
descartando	d e s k a ɾ t a n d o
descartar	d e s k a ɾ t a ɾ
descartara	d e s k a ɾ t a ɾ a
descartará	d e s k a ɾ t a ɾ a
descartáramos	d e s k a ɾ t a ɾ a m o s
descartaras	d e s k a ɾ t a ɾ a s
descartarás	d e s k a ɾ t a ɾ a s
descartareis	d e s k a ɾ t a ɾ e i s
descartaremos	d e s k a ɾ t a ɾ e m o s
descartares	d e s k a ɾ t a ɾ e s
descartaríamos	d e s k a ɾ t a ɾ i a m o s
descartas	d e s k a ɾ t a s
descartaste	d e s k a ɾ t a s t e
descarte	d e s k a ɾ t e
descartemos	d e s k a ɾ t e m o s
descartes	d e s k a ɾ t e s
descarto	d e s k a ɾ t o
descasar	d e s k a s a ɾ
descascarada	d e s k a s k a ɾ a d a
descascaradas	d e s k a s k a ɾ a d a s
descascarado	d e s k a s k a ɾ a d o
descascarados	d e s k a s k a ɾ a d o s
descascarar	d e s k a s k a ɾ a ɾ
descascarillada	d e s k a s k a ɾ i ʝ a d a
descascarillada	d e s k a s k a ɾ i ʝ a d a
descascarilladas	d e s k a s k a ɾ i ʝ a d a s
descascarilladas	d e s k a s k a ɾ i ʝ a d a s
descascarillado	d e s k a s k a ɾ i ʝ a d o
descascarillado	d e s k a s k a ɾ i ʝ a d o
descascarillados	d e s k a s k a ɾ i ʝ a d o s
descascarillados	d e s k a s k a ɾ i ʝ a d o s
descascarillar	d e s k a s k a ɾ i ʝ a ɾ
descascarillar	d e s k a s k a ɾ i ʝ a ɾ
descastar	d e s k a s t a ɾ
descastigada	d e s k a s t i ɡ a d a
descastigadas	d e s k a s t i ɡ a d a s
descastigado	d e s k a s t i ɡ a d o
descastigados	d e s k a s t i ɡ a d o s
descastigar	d e s k a s t i ɡ a ɾ
descatalogado	d e s k a t a l o ɡ a d o
descatalogar	d e s k a t a l o ɡ a ɾ
descendencia	d e s θ e n d e n θ j a
descendente	d e s θ e n d e n t e
descendentes	d e s θ e n d e n t e s
descender	d e s θ e n d e ɾ
descendida	d e s θ e n d i d a
descendidas	d e s θ e n d i d a s
descendido	d e s θ e n d i d o
descendidos	d e s θ e n d i d o s
descendiente	d e s θ e n d j e n t e
descendimiento	d e s θ e n d i m j e n t o
descenso	d e s θ e n s o
descentrado	d e s θ e n t ɾ a d o
descentralista	d e s θ e n t ɾ a l i s t a
descentralización	d e s θ e n t ɾ a l i θ a θ j o n
descentralizadamente	d e s θ e n t ɾ a l i θ a d a m e n t e
descentralizado	d e s θ e n t ɾ a l i θ a d o
descentralizador	d e s θ e n t ɾ a l i θ a d o ɾ
descentralizar	d e s θ e n t ɾ a l i θ a ɾ
descentramiento	d e s θ e n t ɾ a m j e n t o
descentrar	d e s θ e n t ɾ a ɾ
desceñir	d e s θ e ɲ i ɾ
descepada	d e s θ e p a d a
descepadas	d e s θ e p a d a s
descepado	d e s θ e p a d o
descepados	d e s θ e p a d o s
descepar	d e s θ e p a ɾ
descerebración	d e s θ e ɾ e b ɾ a θ j o n
descerebraciones	d e s θ e ɾ e b ɾ a θ j o n e s
descerebrada	d e s θ e ɾ e b ɾ a d a
descerebrado	d e s θ e ɾ e b ɾ a d o
descerebramiento	d e s θ e ɾ e b ɾ a m j e n t o
descerebrar	d e s θ e ɾ e b ɾ a ɾ
descerrajaba	d e s θ e r a x a b a
descerrajada	d e s θ e r a x a d a
descerrajadas	d e s θ e r a x a d a s
descerrajado	d e s θ e r a x a d o
descerrajados	d e s θ e r a x a d o s
descerrajar	d e s θ e r a x a ɾ
descerraje	d e s θ e r a x e
deschamizar	d e s t͡ʃ a m i θ a ɾ
deschavar	d e s t͡ʃ a b a ɾ
deschave	d e s t͡ʃ a b e
deschingada	d e s t͡ʃ i n ɡ a d a
deschingadas	d e s t͡ʃ i n ɡ a d a s
deschingado	d e s t͡ʃ i n ɡ a d o
deschingados	d e s t͡ʃ i n ɡ a d o s
deschingar	d e s t͡ʃ i n ɡ a ɾ
deschongar	d e s t͡ʃ o n ɡ a ɾ
descifrable	d e s θ i f ɾ a b l e
descifrada	d e s θ i f ɾ a d a
descifradas	d e s θ i f ɾ a d a s
descifrado	d e s θ i f ɾ a d o
descifrador	d e s θ i f ɾ a d o ɾ
descifrados	d e s θ i f ɾ a d o s
desciframiento	d e s θ i f ɾ a m j e n t o
descifrar	d e s θ i f ɾ a ɾ
descifre	d e s θ i f ɾ e
desciudadanización	d e s θ j u d a d a n i θ a θ j o n
desciudadanizada	d e s θ j u d a d a n i θ a d a
desciudadanizadas	d e s θ j u d a d a n i θ a d a s
desciudadanizado	d e s θ j u d a d a n i θ a d o
desciudadanizados	d e s θ j u d a d a n i θ a d o s
desciudadanizar	d e s θ j u d a d a n i θ a ɾ
desclasada	d e s k l a s a d a
desclasadas	d e s k l a s a d a s
desclasado	d e s k l a s a d o
desclasados	d e s k l a s a d o s
desclasificada	d e s k l a s i f i k a d a
desclasificadas	d e s k l a s i f i k a d a s
desclasificado	d e s k l a s i f i k a d o
desclasificados	d e s k l a s i f i k a d o s
desclasificar	d e s k l a s i f i k a ɾ
desclavada	d e s k l a b a d a
desclavadas	d e s k l a b a d a s
desclavado	d e s k l a b a d o
desclavados	d e s k l a b a d o s
desclavar	d e s k l a b a ɾ
descocada	d e s k o k a d a
descocadas	d e s k o k a d a s
descocado	d e s k o k a d o
descocados	d e s k o k a d o s
descocarse	d e s k o k a ɾ s e
descocer	d e s k o θ e ɾ
descocida	d e s k o θ i d a
descocidas	d e s k o θ i d a s
descocido	d e s k o θ i d o
descocidos	d e s k o θ i d o s
descodifica	d e s k o d i f i k a
descodificá	d e s k o d i f i k a
descodificaba	d e s k o d i f i k a b a
descodificabais	d e s k o d i f i k a b a i s
descodificábamos	d e s k o d i f i k a b a m o s
descodificaban	d e s k o d i f i k a b a n
descodificabas	d e s k o d i f i k a b a s
descodificación	d e s k o d i f i k a θ j o n
descodificad	d e s k o d i f i k a d
descodificada	d e s k o d i f i k a d a
descodificadas	d e s k o d i f i k a d a s
descodificadla	d e s k o d i f i k a d l a
descodificadlas	d e s k o d i f i k a d l a s
descodificadle	d e s k o d i f i k a d l e
descodificadles	d e s k o d i f i k a d l e s
descodificadlo	d e s k o d i f i k a d l o
descodificadlos	d e s k o d i f i k a d l o s
descodificadme	d e s k o d i f i k a d m e
descodificadnos	d e s k o d i f i k a d n o s
descodificado	d e s k o d i f i k a d o
descodificador	d e s k o d i f i k a d o ɾ
descodificados	d e s k o d i f i k a d o s
descodificáis	d e s k o d i f i k a i s
descodificala	d e s k o d i f i k a l a
descodifícala	d e s k o d i f i k a l a
descodificalas	d e s k o d i f i k a l a s
descodifícalas	d e s k o d i f i k a l a s
descodificale	d e s k o d i f i k a l e
descodifícale	d e s k o d i f i k a l e
descodificales	d e s k o d i f i k a l e s
descodifícales	d e s k o d i f i k a l e s
descodificalo	d e s k o d i f i k a l o
descodifícalo	d e s k o d i f i k a l o
descodificalos	d e s k o d i f i k a l o s
descodifícalos	d e s k o d i f i k a l o s
descodificame	d e s k o d i f i k a m e
descodifícame	d e s k o d i f i k a m e
descodificamos	d e s k o d i f i k a m o s
descodifican	d e s k o d i f i k a n
descodificando	d e s k o d i f i k a n d o
descodificándola	d e s k o d i f i k a n d o l a
descodificándolas	d e s k o d i f i k a n d o l a s
descodificándole	d e s k o d i f i k a n d o l e
descodificándoles	d e s k o d i f i k a n d o l e s
descodificándolo	d e s k o d i f i k a n d o l o
descodificándolos	d e s k o d i f i k a n d o l o s
descodificándome	d e s k o d i f i k a n d o m e
descodificándonos	d e s k o d i f i k a n d o n o s
descodificándoos	d e s k o d i f i k a n d o o s
descodificándose	d e s k o d i f i k a n d o s e
descodificándote	d e s k o d i f i k a n d o t e
descodificanos	d e s k o d i f i k a n o s
descodifícanos	d e s k o d i f i k a n o s
descodificaos	d e s k o d i f i k a o s
descodificar	d e s k o d i f i k a ɾ
descodificara	d e s k o d i f i k a ɾ a
descodificará	d e s k o d i f i k a ɾ a
descodificarais	d e s k o d i f i k a ɾ a i s
descodificáramos	d e s k o d i f i k a ɾ a m o s
descodificaran	d e s k o d i f i k a ɾ a n
descodificarán	d e s k o d i f i k a ɾ a n
descodificaras	d e s k o d i f i k a ɾ a s
descodificarás	d e s k o d i f i k a ɾ a s
descodificare	d e s k o d i f i k a ɾ e
descodificaré	d e s k o d i f i k a ɾ e
descodificareis	d e s k o d i f i k a ɾ e i s
descodificaréis	d e s k o d i f i k a ɾ e i s
descodificaremos	d e s k o d i f i k a ɾ e m o s
descodificáremos	d e s k o d i f i k a ɾ e m o s
descodificaren	d e s k o d i f i k a ɾ e n
descodificares	d e s k o d i f i k a ɾ e s
descodificaría	d e s k o d i f i k a ɾ i a
descodificaríais	d e s k o d i f i k a ɾ i a i s
descodificaríamos	d e s k o d i f i k a ɾ i a m o s
descodificarían	d e s k o d i f i k a ɾ i a n
descodificarías	d e s k o d i f i k a ɾ i a s
descodificarla	d e s k o d i f i k a ɾ l a
descodificarlas	d e s k o d i f i k a ɾ l a s
descodificarle	d e s k o d i f i k a ɾ l e
descodificarles	d e s k o d i f i k a ɾ l e s
