Abel	ǎː b e l
nonšalantno	n o n ʃ a l ǎ n t n o
nordijski	n ǒ r d iː j s k iː
norma	n ôː r m a
normalan	n ô r m aː l a n
normalizirati	n o r m a l i z ǐː r a t i
normalno	n ô r m aː l n o
normalnost	n o r m ǎː l n oː s t
normirati	n o r m ǐː r a t i
norveški	n ǒ r ʋ e ʃ k i
norveški	n ǒ r ʋ e ʃ k iː
nos	n ôː s
nosati	n ǒː s a t i
nosač	n ǒ s aː t͡ʃ
nosačica	n o s ǎ t͡ʃ i t͡s a
nosila	n ǒ s i l a
nosilac	n ǒ s i l a t͡s
nositi	n ǒ s i t i
nosić	n ǒ s i t͡ɕ
nosni	n ǒ s n iː
nosorog	n ô s o r o ɡ
nostalgija	n o s t ǎ l ɡ i j a
nostalgičan	n o s t ǎ l ɡ i t͡ʃ a n
nostalgičar	n o s t ǎ l ɡ i t͡ʃ aː r
nostalgično	n o s t ǎ l ɡ i t͡ʃ n o
notoran	n ǒ t oː r a n
notorno	n ǒ t oː r n o
nov	n ô ʋ
nova	n ôː ʋ a
novac	n ǒ ʋ a t͡s
novajlija	n o ʋ ǎ j l i j a
novak	n ǒ ʋ aː k
novačiti	n o ʋ ǎː t͡ʃ i t i
novembar	n ǒ ʋ eː m b a r
novembarski	n ǒ ʋ eː m b aː r s k iː
novina	n o ʋ ǐ n a
novinar	n ô ʋ i n aː r
novinarstvo	n o ʋ i n ǎː r s t ʋ o
novine	n ǒ ʋ i n e
novogrčki	n ô ʋ o ɡ r t͡ʃ k iː
novonastali	n o ʋ o n ǎ s t a l iː
novorođen	n o ʋ o r ǒ d͡ʑ e n
novorođenče	n o ʋ o r ǒ d͡ʑ eː n t͡ʃ e
novosadski	n ô ʋ o s a d s k iː
novozelandski	n o ʋ o z ě l a n d s k iː
novčani	n ǒ ʋ t͡ʃ a n iː
novčanica	n o ʋ t͡ʃ ǎ n i t͡s a
novčanik	n o ʋ t͡ʃ ǎ n iː k
novčano	n ǒ ʋ t͡ʃ a n o
novčić	n ǒ ʋ t͡ʃ i t͡ɕ
nozdrva	n ô z d r ʋ a
noć	n ôː t͡ɕ
noćas	n ǒ t͡ɕ a s
noćašnji	n ǒ t͡ɕ a ʃ ɲ iː
noćenje	n ǒ t͡ɕ eː ɲ e
noćiti	n ǒ t͡ɕ i t i
noćni	n ǒ t͡ɕ n iː
noćobdija	n o t͡ɕ ǒ b d i j a
noću	n ô t͡ɕ u
nož	n ôː ʒ
nožica	n ǒ ʒ i t͡s a
nožice	n ô ʒ i t͡s e
nožić	n ǒ ʒ i t͡ɕ
nu	n u
nudist	n ǔ d i s t
nuditi	n û d i t i
nudizam	n u d ǐ z a m
nuklearan	n û k l e aː r a n
nuklearka	n u k l ě aː r k a
nuklearni	n û k l e aː r n iː
nukleus	n û k l e u s
nula	n û l a
numerički	n u m ě r i t͡ʃ k iː
nuzgred	n û z ɡ r eː d
nužan	n û ʒ a n
nužda	n û ʒ d a
nuždan	n û ʒ d a n
nužnik	n û ʒ n iː k
nužno	n û ʒ n o
nužnost	n û ʒ n oː s t
o	o
oaza	o ǎː z a
oba	ô b a
obad	ô b aː d
obadati	o b ǎ d a t i
obadati	o b ǎː d a t i
obadvojica	o b a d ʋ ǒ j i t͡s a
obala	ô b a l a
obalni	ô b aː l n iː
obamrlost	ô b a m rː l oː s t
obao	ô b a o
obarati	o b ǎː r a t i
obasipati	o b ǎ s i p a t i
obasuti	o b ǎ s uː t i
obavest	ô b a ʋ eː s t
obavestiti	o b a ʋ ěː s t i t i
obavezan	ô b a ʋ e z a n
obavezati	o b a ʋ ěː z a t i
obaveštajac	o b a ʋ e ʃ t ǎː j a t͡s
obaveštajni	ô b a ʋ e ʃ t aː j n iː
obaveštavati	o b a ʋ e ʃ t ǎː ʋ a t i
obaveštenost	o b ǎ ʋ eː ʃ t e n oː s t
obavijati	o b a ʋ ǐː j a t i
obavijest	ô b a ʋ j eː s t
obavijestiti	o b a ʋ i j ěː s t i t i
obaviještenost	o b ǎ ʋ i j eː ʃ t e n oː s t
obaviti	o b ǎ ʋ i t i
obaviti	ǒ b a ʋ i t i
obavještajac	o b a ʋ j e ʃ t ǎː j a t͡s
obavještajni	ô b a ʋ j e ʃ t aː j n iː
obavještavati	o b a ʋ j e ʃ t ǎː ʋ a t i
obavljati	ǒ b a ʋ ʎ a t i
obdan	ô b d aː n
obdanište	ǒ b d a n iː ʃ t e
obdariti	o b d ǎː r i t i
obdarivati	o b d a r ǐː ʋ a t i
obdukcija	o b d ǔ k t͡s i j a
obe	ô b e
obedovati	ǒ b e d o ʋ a t i
obeležje	ô b e l eː ʒ j e
obelisk	o b ě l i s k
obelodaniti	o b e l o d ǎː n i t i
obelodanjivati	o b e l o d a ɲ ǐː ʋ a t i
ober	ǒː b e r
oberučke	o b ě r u t͡ʃ k eː
obeshrabriti	o b e s x r ǎː b r i t i
obeshrabrivati	o b e s x r a b r ǐː ʋ a t i
obesiti	ǒ b e s i t i
obespraviti	o b e s p r ǎː ʋ i t i
obespravljivati	o b e s p r a ʋ ʎ ǐː ʋ a t i
obest	ô b eː s t
obestan	ô b eː s t a n
obezglaviti	o b e z ɡ l ǎː ʋ i t i
obezglavljivati	o b e z ɡ l a ʋ ʎ ǐː ʋ a t i
obećanje	o b e t͡ɕ ǎː ɲ e
obećati	o b ě t͡ɕ a t i
obećavati	o b e t͡ɕ ǎː ʋ a t i
obešenica	o b e ʃ ě n i t͡s a
obešenik	o b e ʃ ě n iː k
obešenjak	o b e ʃ e ɲ aː k
obeštetiti	o b ě ʃ t e t i t i
obeštećivati	o b e ʃ t e t͡ɕ ǐː ʋ a t i
obeščastiti	o b e ʃ t͡ʃ ǎ s t i t i
obeščašćivati	o b e ʃ t͡ʃ a ʃ t͡ɕ ǐː ʋ a t i
obgrliti	ǒ b ɡ r l i t i
obijati	o b ǐː j a t i
obijač	o b ǐ j aː t͡ʃ
obijest	ô b i j eː s t
obijestan	ô b i j eː s t a n
obilan	ô b iː l a n
obilat	o b ǐ l a t
obilaziti	o b ǐ l a z i t i
obilje	ǒ b iː ʎ e
obilježavati	o b i ʎ e ʒ ǎː ʋ a t i
obilježiti	o b ǐ ʎ e ʒ i t i
obilježivač	o b i ʎ e ʒ ǐ ʋ aː t͡ʃ
obilježje	ô b i ʎ eː ʒ j e
obilovati	ǒ b i l o ʋ a t i
obim	ǒ b i m
obiman	ô b iː m a n
obistiniti	ǒ b i s t i n i t i
obitavati	o b i t ǎː ʋ a t i
obitelj	o b ǐː t e ʎ
obiteljski	o b ǐː t e ʎ s k i
obiteljski	o b ǐː t e ʎ s k iː
obiti	ǒ b i t i
obići	ǒ b iː t͡ɕ i
običaj	ô b i t͡ʃ aː j
običan	ǒ b i t͡ʃ a n
običavati	o b i t͡ʃ ǎː ʋ a t i
obično	ǒ b i t͡ʃ n o
objahati	ǒ b j a x a t i
objasniti	o b j ǎ s n i t i
objava	ô b j a ʋ a
objaviti	o b j ǎː ʋ i t i
objavljivati	o b j a ʋ ʎ ǐː ʋ a t i
objašnjavati	o b j a ʃ ɲ ǎː ʋ a t i
objašnjenje	o b j a ʃ ɲ ěː ɲ e
objašnjiv	o b j ǎ ʃ ɲ i ʋ
obje	ô b j e
objediniti	o b j e d ǐː n i t i
objedinjavati	o b j e d i ɲ ǎː ʋ a t i
objedovati	ǒ b j e d o ʋ a t i
objekt	ǒ b j e k t
objektivan	ô b j e k t iː ʋ a n
objektivno	ô b j e k t iː ʋ n o
objektivnost	o b j e k t ǐː ʋ n oː s t
objelodaniti	o b j e l o d ǎː n i t i
objelodanjivati	o b j e l o d a ɲ ǐː ʋ a t i
objeručke	o b j ě r u t͡ʃ k eː
objesiti	ǒ b j e s i t i
obješenica	o b j e ʃ ě n i t͡s a
obješenik	o b j e ʃ ě n iː k
oblak	ô b l aː k
oblast	ô b l aː s t
oblačan	ô b l aː t͡ʃ a n
oblačina	o b l ǎ t͡ʃ i n a
oblačiti	o b l ǎː t ʃ i t i
obligacija	o b l i ɡ ǎː t͡s i j a
oblik	ô b l iː k
oblikovati	ǒ b l i k o ʋ a t i
oblina	o b l ǐ n a
oblizati	o b l ǐː z a t i
oblizivati	o b l i z ǐː ʋ a t i
obličje	ǒ b l iː t͡ʃ j e
obljetnica	ǒ b ʎ e t n i t͡s a
obmana	ô b m a n a
obmanjivati	o b m a ɲ ǐː ʋ a t i
obmanuti	o b m ǎ n u t i
obnavljati	o b n ǎː ʋ ʎ a t i
obnova	ô b n o ʋ a
obnoviti	o b n ǒ ʋ i t i
obnoć	ô b n oː t͡ɕ
oboa	o b ǒ a
obogatiti	o b ǒ ɡ a t i t i
obogaćivati	o b o ɡ a t͡ɕ ǐː ʋ a t i
obojen	ǒ b o j e n
obojica	o b ǒ j i t͡s a
obojiti	o b ǒ j i t i
oborine	ǒ b o r i n e
oboriti	o b ǒ r i t i
oboriv	o b ǒ r i ʋ
obosti	ǒ b o s t i
obostran	o b ǒ s t r a n
obostrano	o b ǒ s t r a n o
obožavalac	o b o ʒ ǎ ʋ a l a t͡s
obožavatelj	o b o ʒ ǎ ʋ a t e ʎ
obožavateljica	o b o ʒ a ʋ a t ě ʎ i t͡s a
obožavati	o b o ʒ ǎː ʋ a t i
obrada	ô b r a d a
obraditi	o b r ǎː d i t i
obradiv	o b r ǎ d i ʋ
obradovati	ǒ b r a d o ʋ a t i
obrambeni	ǒ b r a m b e n iː
obrana	ô b r a n a
obraniti	o b r ǎː n i t i
obranjiv	o b r ǎ ɲ i ʋ
obrat	ô b r aː t
obratan	ô b r aː t a n
obratiti	o b r ǎː t i t i
obratno	ô b r aː t n o
obraz	ǒ b r a z
obrazac	ǒ b r a z a t͡s
obrazlagati	o b r a z l ǎː ɡ a t i
obrazložiti	o b r a z l ǒ ʒ i t i
obrazovan	ǒ b r a z o ʋ aː n
obrazovanje	o b r a z o ʋ ǎː ɲ e
obrazovati	ǒ b r a z o ʋ a t i
obrazovni	ǒ b r a z oː ʋ n iː
obraćati	ǒ b r a t͡ɕ a t i
obračun	ô b r a t͡ʃ uː n
obračunati	o b r a t͡ʃ ǔ n a t i
obračunavati	o b r a t͡ʃ u n ǎː ʋ a t i
obrađivati	o b r a d͡ʑ ǐː ʋ a t i
obred	ǒ b r e d
obredni	ô b r eː d n iː
obrezati	ǒ b r e z a t i
obrezivati	o b r e z ǐː ʋ a t i
obrijati	ǒ b r i j a t i
obris	ô b r iː s
obrisati	ǒ b r i s a t i
obrnut	ǒ b rː n uː t
obrnuti	o b řː n u t i
obrnuto	ǒ b rː n uː t o
obrok	ǒ b r o k
obronak	ǒ b r o n a k
obrt	ǒ b r t
obrtaj	ô b r t aː j
obrtati	ǒ b r t a t i
obrtnik	ǒ b r t n iː k
obrtnički	ǒ b r t n i t ʃ k i
obrtnički	ǒ b r t n i t ʃ k iː
obrub	ǒ b r u b
obrubiti	o b r ǔː b i t i
obrubljivati	o b r u b ʎ ǐː ʋ a t i
obrukati	ǒ b r u k a t i
obrva	ô b r ʋ a
obuhvatiti	o b ǔ x ʋ a t i t i
obuhvaćati	o b ǔ x ʋ a t͡ɕ a t i
obujam	o b ǔː j a m
obujmiti	o b ǔː j m i t i
obujmljivati	o b u j m ʎ ǐː ʋ a t i
obuka	ô b u k a
obustava	ô b u s t a ʋ a
obustaviti	o b ǔ s t a ʋ i t i
obustavljati	o b ǔ s t a ʋ ʎ a t i
obuti	ǒ b u t i
obuvati	o b ǔː ʋ a t i
obuzdati	o b ǔ z d a t i
obuzdavati	o b u z d ǎː ʋ a t i
obuzeti	o b ǔ z eː t i
obuzetost	ô b u z eː t oː s t
obuzimati	o b ǔ z i m a t i
obuća	ǒ b u t͡ɕ a
obućar	ǒ b u t͡ɕ aː r
obući	ǒ b uː t͡ɕ i
obučavati	o b u t͡ʃ ǎː ʋ a t i
obučiti	o b ǔ t͡ʃ i t i
obvezati	o b ʋ ěː z a t i
obvezivati	o b ʋ e z ǐː ʋ a t i
obveznik	ǒ b ʋ e z n iː k
obzir	ô b z iː r
obziran	ô b z iː r a n
obzor	ǒ b z o r
obzorje	ǒ b z oː r j e
ocat	ǒ t͡s a t
ocean	o t͡s ě aː n
ocena	ô t͡s e n a
oceniti	o t͡s ěː n i t i
ocenjivati	o t͡s e ɲ ǐː ʋ a t i
ocijeniti	o t͡s i j ěː n i t i
ocjena	ô t͡s j e n a
ocjenjivati	o t͡s j e ɲ ǐː ʋ a t i
od	ô d
oda	ǒː d a
odabir	ô d a b iː r
odabirati	o d ǎ b i r a t i
odabrati	o d ǎ b r a t i
odakle	ô d aː k l e
odan	ô d aː n
odande	ô d aː n d e
odanost	ô d aː n oː s t
odar	ǒ d a r
odati	ǒ d a t i
odavati	o d ǎː ʋ a t i
odavde	ô d aː ʋ d e
odavno	ô d aː ʋ n o
odaziv	ô d a z iː ʋ
odazivati	o d a z ǐː ʋ a t i
odazvati	o d ǎ z ʋ a t i
odbaciti	o d b ǎː t͡s i t i
odbacivati	o d b a t͡s ǐː ʋ a t i
odbijanje	o d b ǐː j aː ɲ e
odbijati	o d b ǐː j a t i
odbitak	o d b ǐː t a k
odbiti	ǒ d b i t i
odbojan	ô d b oː j a n
odbojka	ǒ d b oː j k a
odbojkaš	o d b ǒ j k aː ʃ
odbojkašica	o d b o j k ǎ ʃ i t͡s a
odbojkaški	o d b ǒ j k aː ʃ k i
odbojkaški	o d b ǒ j k aː ʃ k iː
odbojnik	ǒ d b oː j n iː k
odbojno	ô d b oː j n o
odbojnost	o d b ǒː j n oː s t
odbor	ǒ d b o r
odbrambeni	ǒ d b r a m b e n iː
odbrana	ô d b r a n a
odbraniti	o d b r ǎː n i t i
odel	ǒ d e l
odeliti	o d ěː l i t i
odeljenje	o d e ʎ ěː ɲ e
odeljivati	o d e ʎ ǐː ʋ a t i
odelo	o d ěː l o
odenuti	ǒ d e n u t i
odevati	o d ěː ʋ a t i
odeća	ô d e t͡ɕ a
odgađati	o d ɡ ǎː d͡ʑ a t i
odgoda	ô d ɡ o d a
odgoditi	o d ɡ ǒ d i t i
odgoj	ǒ d ɡ o j
odgovarajući	o d ɡ o ʋ ǎː r a j uː t͡ɕ iː
odgovarati	o d ɡ o ʋ ǎː r a t i
odgovor	ô d ɡ o ʋ oː r
odgovoran	ô d ɡ o ʋ oː r a n
odgovoriti	o d ɡ o ʋ ǒː r i t i
odgovorno	ô d ɡ o ʋ oː r n o
odgovornost	o d ɡ o ʋ ǒː r n oː s t
odgristi	ǒ d ɡ r i s t i
odgrizati	o d ɡ r ǐː z a t i
odijeliti	o d j ěː l i t i
odijelo	o d j ěː l o
odijevati	o d j ěː ʋ a t i
odista	ô d i s t a
odjahati	ǒ d j a x a t i
odjahivati	o d j a x ǐː ʋ a t i
odjava	ô d j a ʋ a
odjaviti	o d j ǎː ʋ i t i
odjavljivati	o d j a ʋ ʎ ǐː ʋ a t i
odjebati	o d j ě b a t i
odjedanput	o d j e d ǎ n p uː t
odjednom	o d j ě d n oː m
odjek	ô d j eː k
odjekivati	o d j e k ǐː ʋ a t i
odjeknuti	o d j ěː k n u t i
odjel	ǒ d j e l
odjeljenje	o d j e ʎ ěː ɲ e
odjeljivati	o d j e ʎ ǐː ʋ a t i
odjenuti	ǒ d j e n u t i
odjevni	ǒ d j eː ʋ n iː
odjeća	ô d j e t͡ɕ a
odjuriti	o d j ǔː r i t i
odlamati	o d l ǎː m a t i
odlazak	ǒ d l a z a k
odlaziti	ǒ d l a z i t i
odlediti	o d l ě d i t i
odletati	o d l ěː t a t i
odleteti	o d l ě t e t i
odletjeti	o d l ě t j e t i
odleđivati	o d l e d͡ʑ ǐː ʋ a t i
odlijetati	o d l i j ěː t a t i
odlika	ô d l i k a
odlikovanje	o d l i k o ʋ ǎː ɲ e
odlikovati	ǒ d l i k o ʋ a t i
odličan	ô d l i t͡ʃ a n
odličje	ǒ d l iː t͡ʃ j e
odlično	ô d l i t͡ʃ n o
odljutiti	o d ʎ ǔː t i t i
odlomak	ǒ d l o m a k
odlomiti	o d l ǒ m i t i
odluka	ô d l u k a
odlutati	o d l ǔː t a t i
odlučan	ô d l uː t͡ʃ a n
odlučiti	o d l ǔː t͡ʃ i t i
odlučivati	o d l u t͡ʃ ǐː ʋ a t i
odlučno	ô d l uː t͡ʃ n o
odlučnost	o d l ǔː t͡ʃ n oː s t
odlučujući	o d l ǔ t͡ʃ u j uː t͡ɕ iː
odmagati	o d m ǎː ɡ a t i
odmah	ô d m aː x
odmak	ô d m aː k
odmaknuti	o d m ǎ k n u t i
odmalena	o d m a l ě n a
odmamiti	o d m ǎː m i t i
odmamljivati	o d m a m ʎ ǐː ʋ a t i
odmaralište	o d m ǎ r a l iː ʃ t e
odmarati	o d m ǎː r a t i
odmazda	ǒ d m a z d a
odmaći	ǒ d m a t͡ɕ i
odmeravati	o d m e r ǎː ʋ a t i
odmeren	ǒ d m e r e n
odmerenost	ǒ d m e r e n oː s t
odmeriti	ǒ d m e r i t i
odmetnik	ǒ d m e t n iː k
odmicati	ǒ d m i t͡s a t i
odmjeravati	o d m j e r ǎː ʋ a t i
odmjeren	ǒ d m j e r e n
odmjerenost	ǒ d m j e r e n oː s t
odmjeriti	ǒ d m j e r i t i
odmor	ǒ d m o r
odmoran	ô d m oː r a n
odmoriti	o d m ǒ r i t i
odmotati	o d m ǒ t a t i
odmotavati	o d m o t ǎː ʋ a t i
odmoći	ǒ d m o t͡ɕ i
odnaroditi	o d n ǎː r o d i t i
odnarođivati	o d n a r o d͡ʑ ǐː ʋ a t i
odnedavna	ǒ d n e d aː ʋ n a
odnedavno	ǒ d n e d aː ʋ n o
odnekle	ǒ d n e k l e
odnekud	ǒ d n e k u d
odnekuda	ǒ d n e k u d a
odneti	ǒ d n eː t i
odnijeti	ǒ d n j eː t i
odnos	ǒ d n o s
odnositi	o d n ǒ s i t i
odnosno	ǒ d n o s n o
odobravati	o d o b r ǎː ʋ a t i
odobrenje	o d o b r ěː ɲ e
odobriti	o d ǒ b r i t i
odobrovoljiti	o d o b r o ʋ ǒ ʎ i t i
odobrovoljivati	o d o b r o ʋ o ʎ ǐː ʋ a t i
odoka	ô d o k a
odoleti	o d ǒ l e t i
odolevati	o d o l ěː ʋ a t i
odolijevati	o d o l j ěː ʋ a t i
odoljen	o d ǒ ʎ e n
odoljeti	o d ǒ ʎ e t i
odonda	ǒ d oː n d a
odora	ǒ d o r a
odozdo	o d ǒ z d oː
odozemak	o d o z e m a k
odozgo	o d ǒ z ɡ oː
odraditi	o d r ǎː d i t i
odrastati	o d r ǎː s t a t i
odrasti	ǒ d r aː s t i
odraz	ô d r aː z
odrađivati	o d r a d͡ʑ ǐː ʋ a t i
odred	ô d r eː d
odredba	ǒ d r e d b a
odrediti	o d r ěː d i t i
odredište	ǒ d r e d iː ʃ t e
odrednica	ǒ d r e d n i t͡s a
odrezak	ǒ d r e z a k
odrezati	ǒ d r e z a t i
odreći	ǒ d r e t͡ɕ i
određen	ǒ d r eː d͡ʑ e n
određeno	ǒ d r eː d͡ʑ e n o
određivanje	o d r e d͡ʑ ǐː ʋ aː ɲ e
određivati	o d r e d͡ʑ ǐː ʋ a t i
odricati	o d r ǐː t͡s a t i
odroditi	o d r ǒ d i t i
odron	ǒ d r o n
održati	o d ř ʒ a t i
održavati	o d r ʒ ǎː ʋ a t i
održiv	o d ř ʒ i ʋ
odsad	ǒ d s a d
odsada	ǒ d s a d a
odsecati	o d s ěː t͡s a t i
odseći	ǒ d s e t͡ɕ i
odsijecati	o d s i j ěː t͡s a t i
odsjeći	ǒ d s j e t͡ɕ i
odskok	ǒ d s k o k
odstraniti	o d s t r ǎː n i t i
odstranjivati	o d s t r a ɲ ǐː ʋ a t i
odstrel	ǒ d s t r e l
odstreliti	o d s t r ěː l i t i
odstreljivati	o d s t r e ʎ ǐː ʋ a t i
odstrijeliti	o d s t r i j ěː l i t i
odstupati	o t s t ǔː p a t i
odstupiti	o t s t ǔː p i t i
odsustvo	ǒ d s u s t ʋ o
odsutan	ô d s uː t a n
odudarati	o d ǔ d a r a t i
odugovlačiti	o d u ɡ o ʋ l ǎː t͡ʃ i t i
odupreti	o d ǔ p r eː t i
oduprijeti	o d ǔ p r j eː t i
oduran	ô d uː r a n
odurno	ô d uː r n o
odustajati	o d ǔ s t a j a t i
odustati	o d ǔ s t a t i
oduvek	ǒ d u ʋ eː k
oduvijek	ǒ d u ʋ j eː k
oduzeti	o d ǔ z eː t i
oduzimati	o d ǔ z i m a t i
oduševljenje	o d u ʃ e ʋ ʎ ěː ɲ e
odvajati	o d ʋ ǎː j a t i
odvajkada	o d ʋ ǎ j k a d a
odvažan	ô d ʋ aː ʒ a n
odvažiti	o d ʋ ǎː ʒ i t i
odvažno	ô d ʋ aː ʒ n o
odvažnost	ô d ʋ aː ʒ n oː s t
odvesti	ǒ d ʋ e s t i
odvetnički	ǒ d ʋ e t n i t͡ʃ k i
odvezati	o d ʋ ěː z a t i
odveć	ô d ʋ e t͡ɕ
odvijati	o d ʋ ǐː j a t i
odvijač	o d ʋ ǐ j aː t͡ʃ
odviti	ǒ d ʋ i t i
odviše	ô d ʋ i ʃ eː
odvjetnica	ǒ d ʋ j e t n i t͡s a
odvjetnik	ǒ d ʋ j e t n iː k
odvjetnički	ǒ d ʋ j e t n i t͡ʃ k i
odvlačiti	o d ʋ l ǎː t͡ʃ i t i
odvoditi	o d ʋ ǒ d i t i
odvojen	ǒ d ʋ o j e n
odvojeno	ǒ d ʋ o j e n o
odvojenost	ǒ d ʋ o j e n oː s t
odvojiti	o d ʋ ǒ j i t i
odvojiv	o d ʋ ǒ j i ʋ
odvojivost	o d ʋ ǒ j i ʋ oː s t
odvratan	ô d ʋ r aː t a n
odvratiti	o d v r a t i t i
odvratno	ô d ʋ r aː t n o
odvraćati	o d ʋ r â t͡ɕ a t i
odvrnuti	o d ʋ řː n u t i
odvrtati	ǒ d ʋ r t a t i
odvrteti	o d ʋ ř t e t i
odvrtjeti	o d ʋ ř t j e t i
odvrćivati	o d ʋ r t͡ɕ ǐː ʋ a t i
odvući	ǒ d ʋ uː t͡ɕ i
odzad	ǒ d z aː d
odzdrav	ô d z d r aː ʋ
odzdraviti	ǒ d z d r a ʋ i t i
odzdravljati	ǒ d z d r a ʋ ʎ a t i
odziv	ô d z iː ʋ
odzivati	o d z ǐː ʋ a t i
odzvanjati	o d z ʋ ǎː ɲ a t i
odzvoniti	o d z ʋ ǒ n i t i
odzvuk	ô d z ʋ uː k
odškolovati	ǒ d ʃ k o l o ʋ a t i
odškrinuti	o d ʃ k r ǐː n u t i
odšteta	ô d ʃ t e t a
odžak	ǒ d͡ʒ a k
odžačar	o d͡ʒ ǎ t͡ʃ aː r
odžački	ǒ d͡ʒ a t͡ʃ k iː
ofenziva	o f e n z ǐː ʋ a
ofenzivan	ô f e n z iː ʋ a n
ofenzivnost	o f e n z ǐː ʋ n oː s t
oficijelan	ô f i t͡s i j eː l a n
oficir	o f ǐ t͡s iː r
ofsajd	ô f s aː j d
oftalmolog	o f t a l m ǒ l o ɡ
oftalmologija	o f t a l m o l ǒ ɡ i j a
oftalmološki	o f t a l m ǒ l o ʃ k i
oftalmološki	o f t a l m ǒ l o ʃ k iː
oganj	ǒ ɡ a ɲ
ogar	ô ɡ a r
ogavan	ô ɡ aː ʋ a n
ogled	ô ɡ l eː d
ogledalo	o ɡ l ě d a l o
ogledati	o ɡ l ěː d a t i
ogledavati	o ɡ l e d ǎː ʋ a t i
oglobiti	o ɡ l ǒ b i t i
oglodati	o ɡ l ǒ d a t i
oglodavati	o ɡ l o d ǎː ʋ a t i
ognjilo	ǒ ɡ ɲ i l o
ogorčen	ǒ ɡ oː r t͡ʃ e n
ogorčeno	ǒ ɡ oː r t͡ʃ e n o
ogorčenost	ǒ ɡ oː r t͡ʃ e n oː s t
ogovarati	o ɡ o ʋ ǎː r a t i
ograda	ô ɡ r a d a
ograditi	o ɡ r ǎː d i t i
ogranak	ǒ ɡ r a n a k
ograničavati	o ɡ r a n i t͡ʃ ǎː ʋ a t i
ograničen	o ɡ r ǎ n i t͡ʃ e n
ograničenje	o ɡ r a n i t͡ʃ ěː ɲ e
ograničiti	o ɡ r ǎ n i t͡ʃ i t i
ograđivati	o ɡ r a d͡ʑ ǐː ʋ a t i
ogrebotina	o ɡ r e b ǒ t i n a
ogrejati	ǒ ɡ r e j a t i
ogrejavati	o ɡ r e j ǎː ʋ a t i
ogrijati	ǒ ɡ r i j a t i
ogrijavati	o ɡ r i j ǎː ʋ a t i
ogrlica	ǒ ɡ r l i t͡s a
ogroman	ô ɡ r oː m a n
ohladiti	o x l ǎː d i t i
ohlađivati	o x l a d͡ʑ ǐː ʋ a t i
ohol	ô x o l
oholiti	o x ǒ l i t i
oholo	ô x o l o
oholost	ô x o l oː s t
ohrabriti	o x r ǎː b r i t i
ohrabrivati	o x r a b r ǐː ʋ a t i
oivičiti	ǒ i ʋ i t͡ʃ i t i
oivičivati	o i ʋ i t͡ʃ ǐː ʋ a t i
ojačati	o j ǎ t͡ʃ a t i
ojačavati	o j a t͡ʃ ǎː ʋ a t i
oka	ǒ k a
okaniti	o k ǎː n i t i
okarina	o k a r ǐː n a
okean	o k ě aː n
okititi	ǒ k i t i t i
okivati	o k ǐː ʋ a t i
oklagija	o k l ǎ ɡ i j a
oklevati	o k l ěː ʋ a t i
oklijevati	o k l j ěː ʋ a t i
oklop	ǒ k l o p
oklopiti	o k l ǒ p i t i
okluziv	o k l ǔ z iː ʋ
okno	ǒ k n o
oko	ô k o
okolina	ǒ k o l i n a
okolišati	o k o l ǐ ʃ a t i
okolni	ǒ k oː l n iː
okolnost	o k ǒː l n oː s t
okolo	ô k o l o
okomit	ǒ k o m i t
okončati	o k ǒ n t͡ʃ a t i
okončavati	o k o n t͡ʃ ǎː ʋ a t i
okot	ǒ k o t
okov	ǒ k o ʋ
okovati	o k ǒ ʋ a t i
okradati	o k r ǎː d a t i
okrasti	ǒ k r a s t i
okrenuti	o k r ěː n u t i
okret	ô k r eː t
okretan	ô k r eː t a n
okretati	o k r ěː t a t i
okriviti	o k r ǐː ʋ i t i
okrivljavati	o k r i ʋ ʎ ǎː ʋ a t i
okrivljivati	o k r i ʋ ʎ ǐː ʋ a t i
okrug	ô k r uː ɡ
okrugao	o k r ǔː ɡ a o
okrutan	ô k r uː t a n
okrutno	ô k r uː t n o
okrutnost	o k r ǔː t n oː s t
okruženje	o k r u ʒ ěː ɲ e
okružiti	o k r ǔː ʒ i t i
okruživati	o k r u ʒ ǐː ʋ a t i
okrvaviti	o k r ʋ ǎː ʋ i t i
okršaj	ô k r ʃ aː j
oksid	ǒ k s iː d
oksidacija	o k s i d ǎː t͡s i j a
oktan	ǒ k t aː n
oktava	o k t ǎː ʋ a
oktet	ǒ k t eː t
oktobar	ǒ k t oː b a r
oktobarski	ǒ k t oː b a r s k iː
oktopod	o k t ǒ p oː d
okuka	ô k u k a
okultan	ǒ k u l t a n
okultizam	o k u l t ǐ z a m
okup	ǒ k u p
okupacija	o k u p ǎː t͡s i j a
okupator	o k ǔ p aː t o r
okupiti	ǒ k u p i t i
okupljati	o k ǔː p ʎ a t i
okus	ǒ k u s
okusiti	ǒ k u s i t i
okusni	ǒ k u s n iː
okvir	ǒ k ʋ iː r
okviran	ô k ʋ iː r a n
olabaviti	ǒ l a b a ʋ i t i
olak	ô l a k
olako	ô l a k o
olakotan	ô l a k o t a n
olakotnost	ô l a k o t n oː s t
olakšanje	o l a k ʃ ǎː ɲ e
olakšati	o l ǎ k ʃ a t i
olakšavati	o l a k ʃ ǎː ʋ a t i
olakšica	ǒ l a k ʃ i t͡s a
oleandar	o l ě aː n d a r
oleandrov	o l ě aː n d r o ʋ
oleat	o l ě aː t
oligarh	o l ǐ ɡ a r x
