'tamo'	t̪ a m o
fomentémosles	f o m ẽ n̪ t̪ e m o s l e s
fomentémoslo	f o m ẽ n̪ t̪ e m o s l o
fomentémoslos	f o m ẽ n̪ t̪ e m o s l o s
fomentémoste	f o m ẽ n̪ t̪ e m o s t̪ e
fomentés	f o m ẽ n̪ t̪ e s
fomentó	f o m ẽ n̪ t̪ o
fomi	f o m i
fomo	f o m o
foméntala	f o m ẽ n̪ t̪ a l a
foméntalas	f o m ẽ n̪ t̪ a l a s
foméntale	f o m ẽ n̪ t̪ a l e
foméntales	f o m ẽ n̪ t̪ a l e s
foméntalo	f o m ẽ n̪ t̪ a l o
foméntalos	f o m ẽ n̪ t̪ a l o s
foméntame	f o m ẽ n̪ t̪ a m e
foméntanos	f o m ẽ n̪ t̪ a n o s
foméntate	f o m ẽ n̪ t̪ a t̪ e
foméntela	f o m ẽ n̪ t̪ e l a
foméntelas	f o m ẽ n̪ t̪ e l a s
foméntele	f o m ẽ n̪ t̪ e l e
foménteles	f o m ẽ n̪ t̪ e l e s
foméntelo	f o m ẽ n̪ t̪ e l o
foménteme	f o m ẽ n̪ t̪ e m e
foméntenla	f o m ẽ n̪ t̪ ẽ n l a
foméntenlas	f o m ẽ n̪ t̪ ẽ n l a s
foméntenle	f o m ẽ n̪ t̪ ẽ n l e
foméntenles	f o m ẽ n̪ t̪ ẽ n l e s
foméntenlo	f o m ẽ n̪ t̪ ẽ n l o
foméntenlos	f o m ẽ n̪ t̪ ẽ n l o s
foméntenme	f o m ẽ n̪ t̪ ẽ m m e
foméntennos	f o m ẽ n̪ t̪ ẽ n n o s
foméntenos	f o m ẽ n̪ t̪ e n o s
foméntense	f o m ẽ n̪ t̪ ẽ n s e
foméntese	f o m ẽ n̪ t̪ e s e
fon	f õ n
fonavista	f o n a β̞ i s t̪ a
fonda	f õ n̪ d̪ a
fondac	f õ n̪ d̪ a k
fondant	f õ n̪ d̪ ã n
fondas	f õ n̪ d̪ a s
fondeada	f õ n̪ d̪ e a ð̞ a
fondeadas	f õ n̪ d̪ e a ð̞ a s
fondeadero	f õ n̪ d̪ e a ð̞ e ɾ o
fondeado	f õ n̪ d̪ e a ð̞ o
fondeados	f õ n̪ d̪ e a ð̞ o s
fondear	f õ n̪ d̪ e a ɾ
fondeo	f õ n̪ d̪ e o
fondera	f õ n̪ d̪ e ɾ a
fondero	f õ n̪ d̪ e ɾ o
fondillo	f õ n̪ d̪ i ʝ o
fondismo	f õ n̪ d̪ i z m o
fondita	f õ n̪ d̪ i t̪ a
fondo	f õ n̪ d̪ o
fondos	f õ n̪ d̪ o s
fondue	f õ n̪ d̪ u
fonema	f o n e m a
fonetista	f o n e t̪ i s t̪ a
fonetización	f o n e t̪ i s a s j õ n
fonil	f o n i l
fono	f o n o
fonologización	f o n o l o x i s a s j õ n
fonología	f o n o l o x i a
fonológica	f o n o l o x i k a
fonológicas	f o n o l o x i k a s
fonológico	f o n o l o x i k o
fonológicos	f o n o l o x i k o s
fonos	f o n o s
fonsadera	f õ n s a ð̞ e ɾ a
fontal	f õ n̪ t̪ a l
fontana	f õ n̪ t̪ a n a
fontanela	f õ n̪ t̪ a n e l a
fontanero	f õ n̪ t̪ a n e ɾ o
fontanería	f õ n̪ t̪ a n e ɾ i a
fonébol	f o n e β̞ o l
fonética	f o n e t̪ i k a
fonéticas	f o n e t̪ i k a s
fonético	f o n e t̪ i k o
fonéticos	f o n e t̪ i k o s
fonógrafo	f o n o ɣ̞ ɾ a f o
fonóloga	f o n o l o ɣ̞ a
fonólogo	f o n o l o ɣ̞ o
footing	f u t̪ ĩ n
foque	f o k e
foquero	f o k e ɾ o
foquito	f o k i t̪ o
foragido	f o ɾ a x i ð̞ o
forajido	f o ɾ a x i ð̞ o
foral	f o ɾ a l
forales	f o ɾ a l e s
foralidad	f o ɾ a l i ð̞ a ð̞
foramen	f o ɾ a m ẽ n
foramontano	f o ɾ a m õ n̪ t̪ a n o
forastera	f o ɾ a s t̪ e ɾ a
forastero	f o ɾ a s t̪ e ɾ o
forcegeada	f o ɾ s e x e a ð̞ a
forcegeadas	f o ɾ s e x e a ð̞ a s
forcegeado	f o ɾ s e x e a ð̞ o
forcegeados	f o ɾ s e x e a ð̞ o s
forcegear	f o ɾ s e x e a ɾ
forcejeada	f o ɾ s e x e a ð̞ a
forcejeadas	f o ɾ s e x e a ð̞ a s
forcejeado	f o ɾ s e x e a ð̞ o
forcejeados	f o ɾ s e x e a ð̞ o s
forcejear	f o ɾ s e x e a ɾ
forcejeo	f o ɾ s e x e o
forcemos	f o ɾ s e m o s
fordiano	f o ɾ ð̞ j a n o
fordismo	f o ɾ ð̞ i z m o
forense	f o ɾ ẽ n s e
forenses	f o ɾ ẽ n s e s
forera	f o ɾ e ɾ a
forero	f o ɾ e ɾ o
foresta	f o ɾ e s t̪ a
forestación	f o ɾ e s t̪ a s j õ n
forestal	f o ɾ e s t̪ a l
forestale	f o ɾ e s t̪ a l e
forestalmente	f o ɾ e s t̪ a l m ẽ n̪ t̪ e
forestar	f o ɾ e s t̪ a ɾ
forestas	f o ɾ e s t̪ a s
foreste	f o ɾ e s t̪ e
forfait	f o ɾ f a i̯ t̪
foristas	f o ɾ i s t̪ a s
forja	f o ɾ x a
forjada	f o ɾ x a ð̞ a
forjadas	f o ɾ x a ð̞ a s
forjado	f o ɾ x a ð̞ o
forjador	f o ɾ x a ð̞ o ɾ
forjadora	f o ɾ x a ð̞ o ɾ a
forjados	f o ɾ x a ð̞ o s
forjadura	f o ɾ x a ð̞ u ɾ a
forjaduras	f o ɾ x a ð̞ u ɾ a s
forjar	f o ɾ x a ɾ
forjas	f o ɾ x a s
forma	f o ɾ m a
formación	f o ɾ m a s j õ n
formada	f o ɾ m a ð̞ a
formadas	f o ɾ m a ð̞ a s
formado	f o ɾ m a ð̞ o
formados	f o ɾ m a ð̞ o s
formadísimo	f o ɾ m a ð̞ i s i m o
formaje	f o ɾ m a x e
formal	f o ɾ m a l
formaldehido	f o ɾ m a l̪ d̪ e i̯ ð̞ o
formaldehído	f o ɾ m a l̪ d̪ e i ð̞ o
formales	f o ɾ m a l e s
formalidad	f o ɾ m a l i ð̞ a ð̞
formalismo	f o ɾ m a l i z m o
formalista	f o ɾ m a l i s t̪ a
formalistas	f o ɾ m a l i s t̪ a s
formalito	f o ɾ m a l i t̪ o
formalización	f o ɾ m a l i s a s j õ n
formalizada	f o ɾ m a l i s a ð̞ a
formalizadas	f o ɾ m a l i s a ð̞ a s
formalizado	f o ɾ m a l i s a ð̞ o
formalizados	f o ɾ m a l i s a ð̞ o s
formalizar	f o ɾ m a l i s a ɾ
formalmente	f o ɾ m a l m ẽ n̪ t̪ e
formamidina	f o ɾ m a m i ð̞ i n a
formamos	f o ɾ m a m o s
formante	f o ɾ m ã n̪ t̪ e
formar	f o ɾ m a ɾ
formara	f o ɾ m a ɾ a
formas	f o ɾ m a s
formateadas	f o ɾ m a t̪ e a ð̞ a s
formateado	f o ɾ m a t̪ e a ð̞ o
formateados	f o ɾ m a t̪ e a ð̞ o s
formatear	f o ɾ m a t̪ e a ɾ
formateo	f o ɾ m a t̪ e o
formativa	f o ɾ m a t̪ i β̞ a
formativas	f o ɾ m a t̪ i β̞ a s
formativos	f o ɾ m a t̪ i β̞ o s
formato	f o ɾ m a t̪ o
formidable	f o ɾ m i ð̞ a β̞ l e
formidablemente	f o ɾ m i ð̞ a β̞ l e m ẽ n̪ t̪ e
formiga	f o ɾ m i ɣ̞ a
forminge	f o ɾ m ĩ ŋ x e
forminx	f o ɾ m ĩ ŋ ɡ s
formo	f o ɾ m o
formol	f o ɾ m o l
formosano	f o ɾ m o s a n o
formulación	f o ɾ m u l a s j õ n
formulada	f o ɾ m u l a ð̞ a
formuladas	f o ɾ m u l a ð̞ a s
formulado	f o ɾ m u l a ð̞ o
formulador	f o ɾ m u l a ð̞ o ɾ
formulados	f o ɾ m u l a ð̞ o s
formular	f o ɾ m u l a ɾ
formulare	f o ɾ m u l a ɾ e
formulares	f o ɾ m u l a ɾ e s
formulismo	f o ɾ m u l i z m o
formulo	f o ɾ m u l o
formón	f o ɾ m õ n
fornica	f o ɾ n i k a
fornicación	f o ɾ n i k a s j õ n
fornicada	f o ɾ n i k a ð̞ a
fornicadas	f o ɾ n i k a ð̞ a s
fornicado	f o ɾ n i k a ð̞ o
fornicador	f o ɾ n i k a ð̞ o ɾ
fornicadores	f o ɾ n i k a ð̞ o ɾ e s
fornicados	f o ɾ n i k a ð̞ o s
fornicamos	f o ɾ n i k a m o s
fornicando	f o ɾ n i k ã n̪ d̪ o
fornicar	f o ɾ n i k a ɾ
fornicara	f o ɾ n i k a ɾ a
fornicaras	f o ɾ n i k a ɾ a s
fornicareis	f o ɾ n i k a ɾ e i̯ s
fornicaremos	f o ɾ n i k a ɾ e m o s
fornicares	f o ɾ n i k a ɾ e s
fornicaria	f o ɾ n i k a ɾ j a
fornicarias	f o ɾ n i k a ɾ j a s
fornicario	f o ɾ n i k a ɾ j o
fornicarios	f o ɾ n i k a ɾ j o s
fornicará	f o ɾ n i k a ɾ a
fornicarás	f o ɾ n i k a ɾ a s
fornicaríamos	f o ɾ n i k a ɾ i a m o s
fornicas	f o ɾ n i k a s
fornicaste	f o ɾ n i k a s t̪ e
fornico	f o ɾ n i k o
fornicáramos	f o ɾ n i k a ɾ a m o s
fornida	f o ɾ n i ð̞ a
fornidas	f o ɾ n i ð̞ a s
fornido	f o ɾ n i ð̞ o
fornidos	f o ɾ n i ð̞ o s
fornique	f o ɾ n i k e
forniquemos	f o ɾ n i k e m o s
forniques	f o ɾ n i k e s
fornitura	f o ɾ n i t̪ u ɾ a
forno	f o ɾ n o
foro	f o ɾ o
forofa	f o ɾ o f a
forqueta	f o ɾ k e t̪ a
forrada	f o r a ð̞ a
forradas	f o r a ð̞ a s
forradito	f o r a ð̞ i t̪ o
forrado	f o r a ð̞ o
forrados	f o r a ð̞ o s
forraje	f o r a x e
forrajeada	f o r a x e a ð̞ a
forrajeadas	f o r a x e a ð̞ a s
forrajeado	f o r a x e a ð̞ o
forrajeador	f o r a x e a ð̞ o ɾ
forrajeados	f o r a x e a ð̞ o s
forrajear	f o r a x e a ɾ
forrajero	f o r a x e ɾ o
forrajes	f o r a x e s
forramos	f o r a m o s
forrar	f o r a ɾ
forrares	f o r a ɾ e s
forrarse	f o r a ɾ s e
forre	f o r e
forro	f o r o
fortachón	f o ɾ t̪ a t͡ʃ õ n
fortalecedor	f o ɾ t̪ a l e s e ð̞ o ɾ
fortalecer	f o ɾ t̪ a l e s e ɾ
fortalecida	f o ɾ t̪ a l e s i ð̞ a
fortalecidas	f o ɾ t̪ a l e s i ð̞ a s
fortalecido	f o ɾ t̪ a l e s i ð̞ o
fortalecidos	f o ɾ t̪ a l e s i ð̞ o s
fortalecimiento	f o ɾ t̪ a l e s i m j ẽ n̪ t̪ o
fortaleza	f o ɾ t̪ a l e s a
forte	f o ɾ t̪ e
fortepiano	f o ɾ t̪ e p j a n o
fortes	f o ɾ t̪ e s
fortifica	f o ɾ t̪ i f i k a
fortificaciones	f o ɾ t̪ i f i k a s j o n e s
fortificación	f o ɾ t̪ i f i k a s j õ n
fortificada	f o ɾ t̪ i f i k a ð̞ a
fortificadas	f o ɾ t̪ i f i k a ð̞ a s
fortificado	f o ɾ t̪ i f i k a ð̞ o
fortificados	f o ɾ t̪ i f i k a ð̞ o s
fortificar	f o ɾ t̪ i f i k a ɾ
fortitud	f o ɾ t̪ i t̪ u ð̞
fortuita	f o ɾ t̪ w i t̪ a
fortuitamente	f o ɾ t̪ w i t̪ a m ẽ n̪ t̪ e
fortuitas	f o ɾ t̪ w i t̪ a s
fortuito	f o ɾ t̪ w i t̪ o
fortuitos	f o ɾ t̪ w i t̪ o s
fortuna	f o ɾ t̪ u n a
fortunas	f o ɾ t̪ u n a s
fortunilla	f o ɾ t̪ u n i ʝ a
fortunita	f o ɾ t̪ u n i t̪ a
fortín	f o ɾ t̪ ĩ n
fortísimo	f o ɾ t̪ i s i m o
forum	f o ɾ ũ m
forzada	f o ɾ s a ð̞ a
forzadas	f o ɾ s a ð̞ a s
forzado	f o ɾ s a ð̞ o
forzador	f o ɾ s a ð̞ o ɾ
forzados	f o ɾ s a ð̞ o s
forzamiento	f o ɾ s a m j ẽ n̪ t̪ o
forzante	f o ɾ s ã n̪ t̪ e
forzar	f o ɾ s a ɾ
forzosamente	f o ɾ s o s a m ẽ n̪ t̪ e
forzoso	f o ɾ s o s o
forzuda	f o ɾ s u ð̞ a
forzudas	f o ɾ s u ð̞ a s
forzudo	f o ɾ s u ð̞ o
forzudos	f o ɾ s u ð̞ o s
foráneo	f o ɾ a n e o
forúnculo	f o ɾ ũ ŋ k u l o
fos	f o s
fosa	f o s a
fosada	f o s a ð̞ a
fosadas	f o s a ð̞ a s
fosado	f o s a ð̞ o
fosar	f o s a ɾ
fosco	f o s k o
fosfata	f o s f a t̪ a
fosfatar	f o s f a t̪ a ɾ
fosfatare	f o s f a t̪ a ɾ e
fosfatasa	f o s f a t̪ a s a
fosfatizar	f o s f a t̪ i s a ɾ
fosfato	f o s f a t̪ o
fosfatídico	f o s f a t̪ i ð̞ i k o
fosfina	f o s f i n a
fosfocreatina	f o s f o k ɾ e a t̪ i n a
fosfodiéster	f o s f o ð̞ j e s t̪ e ɾ
fosfolípido	f o s f o l i p i ð̞ o
fosfomicina	f o s f o m i s i n a
fosfonio	f o s f o n j o
fosforecida	f o s f o ɾ e s i ð̞ a
fosforecidas	f o s f o ɾ e s i ð̞ a s
fosforecido	f o s f o ɾ e s i ð̞ o
fosforecidos	f o s f o ɾ e s i ð̞ o s
fosforera	f o s f o ɾ e ɾ a
fosforescer	f o s f o ɾ e s e ɾ
fosforescida	f o s f o ɾ e s i ð̞ a
fosforescidas	f o s f o ɾ e s i ð̞ a s
fosforescido	f o s f o ɾ e s i ð̞ o
fosforescidos	f o s f o ɾ e s i ð̞ o s
fosforila	f o s f o ɾ i l a
fosforilaciones	f o s f o ɾ i l a s j o n e s
fosforilación	f o s f o ɾ i l a s j õ n
fosforilada	f o s f o ɾ i l a ð̞ a
fosforiladas	f o s f o ɾ i l a ð̞ a s
fosforilado	f o s f o ɾ i l a ð̞ o
fosforilados	f o s f o ɾ i l a ð̞ o s
fosforilamos	f o s f o ɾ i l a m o s
fosforilando	f o s f o ɾ i l ã n̪ d̪ o
fosforilar	f o s f o ɾ i l a ɾ
fosforilara	f o s f o ɾ i l a ɾ a
fosforilaras	f o s f o ɾ i l a ɾ a s
fosforilareis	f o s f o ɾ i l a ɾ e i̯ s
fosforilaremos	f o s f o ɾ i l a ɾ e m o s
fosforilares	f o s f o ɾ i l a ɾ e s
fosforilará	f o s f o ɾ i l a ɾ a
fosforilarás	f o s f o ɾ i l a ɾ a s
fosforilaríamos	f o s f o ɾ i l a ɾ i a m o s
fosforilas	f o s f o ɾ i l a s
fosforilaste	f o s f o ɾ i l a s t̪ e
fosforile	f o s f o ɾ i l e
fosforilemos	f o s f o ɾ i l e m o s
fosforiles	f o s f o ɾ i l e s
fosforilo	f o s f o ɾ i l o
fosforilos	f o s f o ɾ i l o s
fosforiláramos	f o s f o ɾ i l a ɾ a m o s
fosforosa	f o s f o ɾ o s a
fosforosas	f o s f o ɾ o s a s
fosforoso	f o s f o ɾ o s o
fosforosos	f o s f o ɾ o s o s
fosfotransferasa	f o s f o t̪ ɾ ã n s f e ɾ a s a
fosfoyeso	f o s f o ʝ e s o
fosfuro	f o s f u ɾ o
fosfórico	f o s f o ɾ i k o
fosilización	f o s i l i s a s j õ n
fosilizada	f o s i l i s a ð̞ a
fosilizadas	f o s i l i s a ð̞ a s
fosilizado	f o s i l i s a ð̞ o
fosilizados	f o s i l i s a ð̞ o s
fosilizarse	f o s i l i s a ɾ s e
fosilizá	f o s i l i s a
fosilífero	f o s i l i f e ɾ o
fosita	f o s i t̪ a
foso	f o s o
fotaza	f o t̪ a s a
fotazas	f o t̪ a s a s
fotico	f o t̪ i k o
foticos	f o t̪ i k o s
fotingo	f o t̪ ĩ ŋ ɡ o
foto	f o t̪ o
fotoalergia	f o t̪ o a l e ɾ x j a
fotocomposición	f o t̪ o k õ m p o s i s j õ n
fotocopia	f o t̪ o k o p j a
fotocopiada	f o t̪ o k o p j a ð̞ a
fotocopiadas	f o t̪ o k o p j a ð̞ a s
fotocopiado	f o t̪ o k o p j a ð̞ o
fotocopiados	f o t̪ o k o p j a ð̞ o s
fotocopiar	f o t̪ o k o p j a ɾ
fotocopiares	f o t̪ o k o p j a ɾ e s
fotocopias	f o t̪ o k o p j a s
fotodegradación	f o t̪ o ð̞ e ɣ̞ ɾ a ð̞ a s j õ n
fotodesintegraciones	f o t̪ o ð̞ e s ĩ n̪ t̪ e ɣ̞ ɾ a s j o n e s
fotodesintegración	f o t̪ o ð̞ e s ĩ n̪ t̪ e ɣ̞ ɾ a s j õ n
fotodinámico	f o t̪ o ð̞ i n a m i k o
fotodiodo	f o t̪ o ð̞ j o ð̞ o
fotoelectricidad	f o t̪ o e l e ɣ̞ t̪ ɾ i s i ð̞ a ð̞
fotoeléctrico	f o t̪ o e l e ɣ̞ t̪ ɾ i k o
fotofobia	f o t̪ o f o β̞ j a
fotofosforilaciones	f o t̪ o f o s f o ɾ i l a s j o n e s
fotofosforilación	f o t̪ o f o s f o ɾ i l a s j õ n
fotogalería	f o t̪ o ɣ̞ a l e ɾ i a
fotogenia	f o t̪ o x e n j a
fotografiada	f o t̪ o ɣ̞ ɾ a f j a ð̞ a
fotografiadas	f o t̪ o ɣ̞ ɾ a f j a ð̞ a s
fotografiado	f o t̪ o ɣ̞ ɾ a f j a ð̞ o
fotografiados	f o t̪ o ɣ̞ ɾ a f j a ð̞ o s
fotografiar	f o t̪ o ɣ̞ ɾ a f j a ɾ
fotografía	f o t̪ o ɣ̞ ɾ a f i a
fotograma	f o t̪ o ɣ̞ ɾ a m a
fotogrametría	f o t̪ o ɣ̞ ɾ a m e t̪ ɾ i a
fotogramétrico	f o t̪ o ɣ̞ ɾ a m e t̪ ɾ i k o
fotográfica	f o t̪ o ɣ̞ ɾ a f i k a
fotográficamente	f o t̪ o ɣ̞ ɾ a f i k a m ẽ n̪ t̪ e
fotográficas	f o t̪ o ɣ̞ ɾ a f i k a s
fotográfico	f o t̪ o ɣ̞ ɾ a f i k o
fotográficos	f o t̪ o ɣ̞ ɾ a f i k o s
fotogénica	f o t̪ o x e n i k a
fotogénicas	f o t̪ o x e n i k a s
fotogénico	f o t̪ o x e n i k o
fotogénicos	f o t̪ o x e n i k o s
fotoliasa	f o t̪ o l j a s a
fotolog	f o t̪ o l o ɣ̞
fotomatón	f o t̪ o m a t̪ õ n
fotomultiplicador	f o t̪ o m u l̪ t̪ i p l i k a ð̞ o ɾ
fotones	f o t̪ o n e s
fotopene	f o t̪ o p e n e
fotoperiodo	f o t̪ o p e ɾ j o ð̞ o
fotoperíodo	f o t̪ o p e ɾ i o ð̞ o
fotopolla	f o t̪ o p o ʝ a
fotoquímica	f o t̪ o k i m i k a
fotoquímicas	f o t̪ o k i m i k a s
fotoquímico	f o t̪ o k i m i k o
fotoquímicos	f o t̪ o k i m i k o s
fotorrealista	f o t̪ o r e a l i s t̪ a
fotorreceptor	f o t̪ o r e s e β̞ t̪ o ɾ
fotosensibilidad	f o t̪ o s ẽ n s i β̞ i l i ð̞ a ð̞
fotosensible	f o t̪ o s ẽ n s i β̞ l e
fotoshopear	f o t̪ o ʃ o p e a ɾ
fotosintato	f o t̪ o s ĩ n̪ t̪ a t̪ o
fotosintetizada	f o t̪ o s ĩ n̪ t̪ e t̪ i s a ð̞ a
fotosintetizadas	f o t̪ o s ĩ n̪ t̪ e t̪ i s a ð̞ a s
fotosintetizado	f o t̪ o s ĩ n̪ t̪ e t̪ i s a ð̞ o
fotosintetizados	f o t̪ o s ĩ n̪ t̪ e t̪ i s a ð̞ o s
fotosintetizar	f o t̪ o s ĩ n̪ t̪ e t̪ i s a ɾ
fotosintética	f o t̪ o s ĩ n̪ t̪ e t̪ i k a
fotosintéticas	f o t̪ o s ĩ n̪ t̪ e t̪ i k a s
fotosintético	f o t̪ o s ĩ n̪ t̪ e t̪ i k o
fotosintéticos	f o t̪ o s ĩ n̪ t̪ e t̪ i k o s
fotosíntesis	f o t̪ o s ĩ n̪ t̪ e s i s
fototaxis	f o t̪ o t̪ a ɣ̞ s i s
fototerapia	f o t̪ o t̪ e ɾ a p j a
fototipo	f o t̪ o t̪ i p o
fototoxicidad	f o t̪ o t̪ o ɣ̞ s i s i ð̞ a ð̞
fototoxicidades	f o t̪ o t̪ o ɣ̞ s i s i ð̞ a ð̞ e s
fototropismo	f o t̪ o t̪ ɾ o p i z m o
fototrófico	f o t̪ o t̪ ɾ o f i k o
fototóxica	f o t̪ o t̪ o ɣ̞ s i k a
fototóxicas	f o t̪ o t̪ o ɣ̞ s i k a s
fototóxico	f o t̪ o t̪ o ɣ̞ s i k o
fototóxicos	f o t̪ o t̪ o ɣ̞ s i k o s
fotovoltaica	f o t̪ o β̞ o l̪ t̪ a i̯ k a
fotuto	f o t̪ u t̪ o
fotóforo	f o t̪ o f o ɾ o
fotógrafa	f o t̪ o ɣ̞ ɾ a f a
fotógrafo	f o t̪ o ɣ̞ ɾ a f o
fotómetro	f o t̪ o m e t̪ ɾ o
fotómetros	f o t̪ o m e t̪ ɾ o s
fotón	f o t̪ õ n
foulard	f u l a ɾ
fourierista	f o u̯ ɾ j e ɾ i s t̪ a
foveal	f o β̞ e a l
foxista	f o ɣ̞ s i s t̪ a
foxtrot	f o ɣ̞ s t̪ ɾ o t̪
foyer	f o ʝ e ɾ
foyer	f w a j e
frac	f ɾ a k
fraca	f ɾ a k a
fracasada	f ɾ a k a s a ð̞ a
fracasado	f ɾ a k a s a ð̞ o
fracasar	f ɾ a k a s a ɾ
fracaso	f ɾ a k a s o
fraccionada	f ɾ a ɣ̞ s j o n a ð̞ a
fraccionadas	f ɾ a ɣ̞ s j o n a ð̞ a s
fraccionado	f ɾ a ɣ̞ s j o n a ð̞ o
fraccionador	f ɾ a ɣ̞ s j o n a ð̞ o ɾ
fraccionados	f ɾ a ɣ̞ s j o n a ð̞ o s
fraccionamiento	f ɾ a ɣ̞ s j o n a m j ẽ n̪ t̪ o
fraccionar	f ɾ a ɣ̞ s j o n a ɾ
fracción	f ɾ a ɣ̞ s j õ n
fracking	f ɾ a k ĩ n
fractal	f ɾ a ɣ̞ t̪ a l
fractura	f ɾ a ɣ̞ t̪ u ɾ a
fracturada	f ɾ a ɣ̞ t̪ u ɾ a ð̞ a
fracturadas	f ɾ a ɣ̞ t̪ u ɾ a ð̞ a s
fracturado	f ɾ a ɣ̞ t̪ u ɾ a ð̞ o
fracturados	f ɾ a ɣ̞ t̪ u ɾ a ð̞ o s
fracturamiento	f ɾ a ɣ̞ t̪ u ɾ a m j ẽ n̪ t̪ o
fracturar	f ɾ a ɣ̞ t̪ u ɾ a ɾ
fragancia	f ɾ a ɣ̞ ã n s j a
fragante	f ɾ a ɣ̞ ã n̪ t̪ e
fragar	f ɾ a ɣ̞ a ɾ
fragata	f ɾ a ɣ̞ a t̪ a
fragilidad	f ɾ a x i l i ð̞ a ð̞
fragilización	f ɾ a x i l i s a s j õ n
fragilizar	f ɾ a x i l i s a ɾ
fragilísimo	f ɾ a x i l i s i m o
fragmentación	f ɾ a ɣ̞ m ẽ n̪ t̪ a s j õ n
fragmentada	f ɾ a ɣ̞ m ẽ n̪ t̪ a ð̞ a
fragmentadamente	f ɾ a ɣ̞ m ẽ n̪ t̪ a ð̞ a m ẽ n̪ t̪ e
fragmentadas	f ɾ a ɣ̞ m ẽ n̪ t̪ a ð̞ a s
fragmentado	f ɾ a ɣ̞ m ẽ n̪ t̪ a ð̞ o
fragmentados	f ɾ a ɣ̞ m ẽ n̪ t̪ a ð̞ o s
fragmentamos	f ɾ a ɣ̞ m ẽ n̪ t̪ a m o s
fragmentar	f ɾ a ɣ̞ m ẽ n̪ t̪ a ɾ
fragmentario	f ɾ a ɣ̞ m ẽ n̪ t̪ a ɾ j o
fragmento	f ɾ a ɣ̞ m ẽ n̪ t̪ o
fragmentos	f ɾ a ɣ̞ m ẽ n̪ t̪ o s
fragor	f ɾ a ɣ̞ o ɾ
fragores	f ɾ a ɣ̞ o ɾ e s
fragrantes	f ɾ a ɣ̞ ɾ ã n̪ t̪ e s
fragua	f ɾ a ɣ̞ w a
fraguada	f ɾ a ɣ̞ w a ð̞ a
fraguadas	f ɾ a ɣ̞ w a ð̞ a s
fraguado	f ɾ a ɣ̞ w a ð̞ o
fraguados	f ɾ a ɣ̞ w a ð̞ o s
fraguar	f ɾ a ɣ̞ w a ɾ
fragüe	f ɾ a ɣ̞ w e
fraile	f ɾ a i̯ l e
frailecillo	f ɾ a i̯ l e s i ʃ o
frailecillo	f ɾ a i̯ l e s i ʝ o
frailecito	f ɾ a i̯ l e s i t̪ o
frailesca	f ɾ a i̯ l e s k a
frailesco	f ɾ a i̯ l e s k o
frailocracia	f ɾ a i̯ l o k ɾ a s j a
frailuno	f ɾ a i̯ l u n o
frambuesa	f ɾ ã m b w e s a
frambueso	f ɾ ã m b w e s o
franca	f ɾ ã ŋ k a
francachela	f ɾ ã ŋ k a t͡ʃ e l a
francamente	f ɾ ã ŋ k a m ẽ n̪ t̪ e
francas	f ɾ ã ŋ k a s
francesa	f ɾ ã n s e s a
francesas	f ɾ ã n s e s a s
franceses	f ɾ ã n s e s e s
franchipán	f ɾ ã nʲ t͡ʃ i p ã n
francio	f ɾ ã n s j o
franciscana	f ɾ ã n s i s k a n a
franciscanas	f ɾ ã n s i s k a n a s
franciscano	f ɾ ã n s i s k a n o
franciscanos	f ɾ ã n s i s k a n o s
francmasonería	f ɾ ã ŋ ɡ m a s o n e ɾ i a
francmasones	f ɾ ã ŋ ɡ m a s o n e s
francmasón	f ɾ ã ŋ ɡ m a s õ n
francmasónica	f ɾ ã ŋ ɡ m a s o n i k a
francmasónicas	f ɾ ã ŋ ɡ m a s o n i k a s
francmasónico	f ɾ ã ŋ ɡ m a s o n i k o
francmasónicos	f ɾ ã ŋ ɡ m a s o n i k o s
franco	f ɾ ã ŋ k o
francoespañol	f ɾ ã ŋ k o e s p a ɲ o l
francofobia	f ɾ ã ŋ k o f o β̞ j a
francoholandés	f ɾ ã ŋ k o o l ã n̪ d̪ e s
francoincienso	f ɾ ã ŋ k o ĩ n s j ẽ n s o
francona	f ɾ ã ŋ k o n a
franconia	f ɾ ã ŋ k o n j a
francos	f ɾ ã ŋ k o s
francotirador	f ɾ ã ŋ k o t̪ i ɾ a ð̞ o ɾ
francés	f ɾ ã n s e s
francófila	f ɾ ã ŋ k o f i l a
francófilo	f ɾ ã ŋ k o f i l o
francófoba	f ɾ ã ŋ k o f o β̞ a
francófobas	f ɾ ã ŋ k o f o β̞ a s
francófobo	f ɾ ã ŋ k o f o β̞ o
francófobos	f ɾ ã ŋ k o f o β̞ o s
francófona	f ɾ ã ŋ k o f o n a
francófonas	f ɾ ã ŋ k o f o n a s
francófono	f ɾ ã ŋ k o f o n o
francófonos	f ɾ ã ŋ k o f o n o s
francón	f ɾ ã ŋ k õ n
franela	f ɾ a n e l a
franeleada	f ɾ a n e l e a ð̞ a
franeleadas	f ɾ a n e l e a ð̞ a s
franeleado	f ɾ a n e l e a ð̞ o
franeleados	f ɾ a n e l e a ð̞ o s
franelear	f ɾ a n e l e a ɾ
frangible	f ɾ ã ŋ x i β̞ l e
frangir	f ɾ ã ŋ x i ɾ
franja	f ɾ ã ŋ x a
franjear	f ɾ ã ŋ x e a ɾ
franquear	f ɾ ã ŋ k e a ɾ
franqueo	f ɾ ã ŋ k e o
franqueza	f ɾ ã ŋ k e s a
