ഁ	◌̃
ജഡത്വം	d͡ʒ ɐ ɖ ɐ t̪ ʋ ɐ m
ജഡേജ	d͡ʒ ɐ ɖ eː d͡ʒ ɐ
ജഡ്ജി	d͡ʒ ä ɖ d͡ʒ i
ജനം	d͡ʒ ɐ n ɐ m
ജനക്കൂട്ടം	d͡ʒ a n a kː uː ʈː a m
ജനകൻ	d͡ʒ ɐ n ɐ ɡ ɐ n
ജനനി	d͡ʒ ɐ n ɐ n̪ i
ജനരാൽ	d͡ʒ ɐ n ɐ ɾ äː l
ജനറൽ	d͡ʒ ɐ n ɐ r ɐ l
ജനസംഖ്യ	d͡ʒ a n a s a n kʰ j a
ജനാധിപത്യം	d͡ʒ a n aː d̪ʱ i b a t̪ j a m
ജനാല	d͡ʒ ɐ n aː l ɐ
ജനുവരി	d͡ʒ ɐ n u ʋ ɐ ɾ i
ജനുസ്സ്	d͡ʒ ɐ n u s s ə̆
ജന്തുജന്യ	d͡ʒ ɐ n̪ d̪ u d͡ʒ ɐ n j ɐ
ജന്മ	d͡ʒ ɐ n m ɐ
ജന്മം	d͡ʒ ɐ n m ɐ m
ജന്മദിനം	d͡ʒ ɐ n m ɐ d̪ i n ɐ m
ജന്മദിനാശംസകൾ	d͡ʒ ɐ n m ɐ d̪ i n aː ʃ ɐ m s ɐ ɡ ɐ ɭ
ജന്മദേശം	d͡ʒ ɐ n m ɐ d̪ eː ʃ ɐ m
ജന്മഭൂമി	d͡ʒ ɐ n m ɐ bʱ uː m i
ജനൽ	d͡ʒ ɐ n ɐ l
ജപം	d͡ʒ ɐ b ɐ m
ജപമാല	d͡ʒ ɐ b ɐ m aː l ɐ
ജപിക്കുക	d͡ʒ ɐ b i k k u ɡ ɐ
ജപ്തി	d͡ʒ ɐ p t̪ i
ജപ്പാൻ	d͡ʒ ɐ pː äː n
ജമന്തി	d͡ʒ ɐ m ɐ n̪ d̪ i
ജമാവന്തി	d͡ʒ ɐ m aː ʋ ɐ n̪ d̪ i
ജമീന്ദാർ	d͡ʒ ɐ m iː n̪ d̪ aː r
ജയം	d͡ʒ ɐ j ɐ m
ജയിക്കുക	d͡ʒ ɐ j i k k u ɡ ɐ
ജയിൽ	d͡ʒ ɐ j i l
ജരണം	d͡ʒ ɐ ɾ ɐ ɳ ɐ n
ജലം	d͡ʒ ɐ l ɐ m
ജലദോഷം	d͡ʒ ɐ l ɐ d̪ oː ʂ ɐ m
ജലപീരങ്കി	d͡ʒ ɐ l ɐ b iː ɾ ɐ ŋ ɡ i
ജലവായു	d͡ʒ ɐ l ɐ ʋ äː j u
ജലസന്ധി	d͡ʒ ɐ l ɐ s ɐ n̪ d̪ʱ i
ജലസേചനം	d͡ʒ ɐ l ɐ s eː d͡ʒ ɐ n ɐ m
ജവാന	d͡ʒ ɐ ʋ aː n ɐ
ജസരി	d͡ʒ ɐ s ɐ ɾ i
ജാക്കറ്റ്	d͡ʒ aː kː a t ɨ̆
ജാഗ്രത	d͡ʒ aː ɡ ɾ ɐ d̪ ɐ
ജാട	d͡ʒ aː ɖ ɐ
ജാതി	d͡ʒ aː d̪ i
ജാതിക്ക	d͡ʒ aː d̪ i k k ɐ
ജാതീയത	d͡ʒ aː d̪ iː j ɐ d̪ ɐ
ജാഥ	d͡ʒ aː t̪ʰ ɐ
ജാനുവരി	d͡ʒ aː n u ʋ ɐ ɾ i
ജാമ്യം	d͡ʒ aː m j ɐ m
ജായ	d͡ʒ aː j ɐ
ജാലകം	d͡ʒ aː l ɐ ɡ ɐ m
ജാള്യം	d͡ʒ aː ɭ j ɐ m
ജാള്യത	d͡ʒ aː ɭ j ɐ d̪ ɐ
ജാസ്തി	d͡ʒ aː s t̪ i
ജി	d͡ʒ i
ജിജ്ഞാസ	d͡ʒ i d͡ʒ ɲ aː s ɐ
ജിയോളജി	d͡ʒ i j oː ɭ ɐ d͡ʒ i
ജിയോസ്ഫിയർ	d͡ʒ i j oː s f i j ɐ r
ജില്ല	d͡ʒ i l l ɐ
ജീനസ്	d͡ʒ iː n ɐ s ə̆
ജീനി	d͡ʒ iː n i
ജീപ്പ്	d͡ʒ iː pː ɨ̆
ജീരകം	d͡ʒ iː ɾ ɐ ɡ ɐ m
ജീവ	d͡ʒ iː ʋ ɐ
ജീവപര്യന്തം	d͡ʒ iː ʋ ɐ b ɐ ɾ j ɐ n̪ t̪ ɐ m
ജീവവായു	d͡ʒ iː ʋ a ʋ aː j u
ജീവശാസ്ത്രം	d͡ʒ iː ʋ ɐ ʃ äː s t̪ ɾ ɐ m
ജീവാത്മകം	d͡ʒ iː ʋ aː l m a ɡ a m
ജീവിതം	d͡ʒ iː ʋ i d̪ ɐ m
ജീവിതപങ്കാളി	d͡ʒ iː ʋ i d̪ ɐ b ɐ ŋ ɡ aː ɭ i
ജീവിവർഗ്ഗം	d͡ʒ iː ʋ i ʋ a r ɡː a m
ജീവൻ	d͡ʒ iː ʋ ɐ n
ജീർണിക്കുക	d͡ʒ iː r ɳ i k k u ɡ ɐ
ജീർണ്ണിക്കുക	d͡ʒ iː r ɳ ɳ i k k u ɡ ɐ
ജുവാൻ	d͡ʒ u ʋ aː n
ജൂക്ക്ബോക്സ്	d͡ʒ uː k b oː k s ɨ̆
ജൂതൻ	d͡ʒ uː d̪ ɐ n
ജൂലൈ	d͡ʒ uː l ɐ i̯
ജൂൺ	d͡ʒ uː ɳ
ജേൽ	d͡ʒ eː l
ജൈവ	d͡ʒ ɐ i̯ ʋ ɐ
ജൈവദീപ്തി	d͡ʒ ɐ i̯ ʋ ɐ d̪ iː p t̪ i
ജൈവമണ്ഡലം	d͡ʒ a i̯ ʋ a m a ɳ ɖ a l a m
ജോഡി	d͡ʒ oː ɖ i
ജോലി	d͡ʒ oː l i
ജോൺറ	d͡ʒ oː ɳ r ɐ
ജോർ	d͡ʒ oː r
ജ്ജ്	d͡ʒ d͡ʒ ə̆
ജ്ഞാനി	d͡ʒ ɲ aː n i
ജ്യേഷ്ഠൻ	d͡ʒ j eː ʂ ʈʰ ɐ n
ജ്യോതിഃശാസ്ത്രം	d͡ʒ j oː d̪ i ʃ ʃ aː s t̪ r ɐ m
ജ്യോതിഷം	d͡ʒ j oː d̪ i ʂ ɐ m
ജ്യോത്സ്യൻ	d͡ʒ j oː t̪ s j ɐ n
ജ്വരം	d͡ʒ ʋ ɐ ɾ ɐ m
ജ്വലനം	d͡ʒ ʋ ɐ l ɐ n ɐ m
ജർമ്മനി	d͡ʒ a r mː a n i
ജർമൻ	d͡ʒ ɐ r m ɐ n
ഝ	d͡ʒʱ
ഝ	d͡ʒʱ ɐ
ഝരം	d͡ʒʱ ɐ ɾ ɐ m
ഝഷം	d͡ʒʱ ɐ ʂ ɐ m
ഝാടം	d͡ʒʱ aː ɖ ɐ m
ഝാർഖണ്ഡ്	d͡ʒʱ aː r kʰ ɐ ɳ ɖ ə̆
ഝൗലികം	d͡ʒʱ a u̯ l i ɡ a m
ഞ	ɲ
ഞ	ɲ ɐ
ഞങ്ങൾ	ɲ ɐ ŋ ŋ ɐ ɭ
ഞണുക്ക്	ɲ ɐ ɳ u k k ə̆
ഞണ്ടുണ്ണി	ɲ ɐ ɳ ɖ u ɳ ɳ i
ഞണ്ട്	ɲ ɐ ɳ ɖ ə̆
ഞമലി	ɲ ɐ m ɐ l i
ഞമ്മള്	ɲ ɐ m m ɐ ɭ ə̆
ഞരങ്ങുക	ɲ ɐ ɾ ɐ ŋ ŋ u ɡ ɐ
ഞരമ്പുരോഗം	ɲ ɐ ɾ ɐ m b u ɾ oː ɡ ɐ m
ഞരമ്പ്	ɲ ɐ ɾ ɐ m b ə̆
ഞരിയുക	ɲ ɐ ɾ i j u ɡ ɐ
ഞറുമ്പുക	ɲ ɐ r u m b u ɡ ɐ
ഞള്ളി	ɲ ɐ ɭ ɭ i
ഞവിടുക	ɲ ɐ ʋ i ɖ u ɡ ɐ
ഞാങ്ങണ	ɲ aː ŋ ŋ ɐ ɳ ɐ
ഞാഞ്ഞൂൽ	ɲ aː ɲ ɲ uː l
ഞാഞ്ഞൂൾ	ɲ aː ɲ ɲ uː ɭ
ഞാണൊലി	ɲ aː ɳ o l i
ഞാത്തുക	ɲ aː t̪ t̪ u ɡ ɐ
ഞാന്ന്	ɲ aː n̪ n̪ ə̆
ഞായറാഴ്ച	ɲ aː j ɐ r aː ɻ t͡ʃ ɐ
ഞായർ	ɲ aː j ɐ r
ഞായൽ	ɲ aː j ɐ l
ഞാറ	ɲ aː r ɐ
ഞാറ്	ɲ aː r ɨ̆
ഞാലം	ɲ aː l ɐ m
ഞാലിപ്പൂവൻപഴം	ɲ aː l i p p uː ʋ ɐ n p ɐ ɻ ɐ m
ഞാവൽ	ɲ aː ʋ ɐ l
ഞാൺ	ɲ aː ɳ
ഞാൻ	ɲ aː n
ഞെക്കുക	ɲ e k k u ɡ ɐ
ഞെക്ക്	ɲ e k k ə̆
ഞെങ്ങുക	ɲ e ŋ ŋ u ɡ ɐ
ഞെട്ടുക	ɲ e ʈ ʈ u ɡ ɐ
ഞെരടുക	ɲ e ɾ ɐ ɖ u ɡ ɐ
ഞെരിപ്പ്	ɲ e ɾ i p p ə̆
ഞെരിയുക	ɲ e ɾ i j u ɡ ɐ
ഞെരുക്കം	ɲ e ɾ u k k ɐ m
ഞെരുക്കുക	ɲ e ɾ u k k u ɡ ɐ
ഞെരുക്ക്	ɲ e ɾ u k k ə̆
ഞെരുങ്ങുക	ɲ e ɾ u ŋ ŋ u ɡ ɐ
ഞെറി	ɲ e r i
ഞെളിയുക	ɲ e ɭ i j u ɡ ɐ
ഞെള്ള്	ɲ e ɭ ɭ ə̆
ഞേങ്ങോൽ	ɲ eː ŋ ŋ oː l
ഞേള	ɲ eː ɭ ɐ
ഞേളയിടുക	ɲ eː ɭ ɐ j i ɖ u ɡ ɐ
ഞൊടി	ɲ o ɖ i
ഞൊടിക്കുക	ɲ o ɖ i k k u ɡ ɐ
ഞൊണ്ടി	ɲ o ɳ ɖ i
ഞൊണ്ടുക	ɲ o ɳ ɖ u ɡ ɐ
ഞോടുക	ɲ oː ɖ u ɡ ɐ
ഞോണ്ടുക	ɲ oː ɳ ɖ u ɡ ɐ
ട	ʈ
ട	ʈ ɐ
ടങ്കം	ʈ ɐ ŋ ɡ ɐ m
ടയർ	ʈ ä j ɐ r
ടാപ്പ്	ʈ aː p p ə̆
ടിക്കറ്റ്	ʈ i k k ɐ t t ə̆
ടീ	ɖ iː
ടീ	ʈ iː
ടീവീ	ʈ i ʋ i
ടുമാറ്റോ	ʈ u m aː t t oː
ടൂൾബോക്സ്	ʈ uː ɭ b oː k s ɨ̆
ടെലിവിഷൻ	ʈ e l i ʋ i ʂ e n
ടെൻഷൻ	ʈ e n ʂ ɐ n
ടൈൽ	ʈ ä i l
ടൈൽവർക്ക്	ʈ ä i l ʋ ä r kː ɨ̆
ട്യൂബ്	ʈ j uː b ə̆
ട്രക്ക്	ʈ r ä kː ɨ̆
ട്രഷറി	ʈ r ɐ ʂ ɐ r i
ട്രാൻസ്ക്രിപ്ഷൻ	ʈ r äː n s k ɾ i p ʂ ɐ n
ട്രില്യൻ	ʈ r i l j ɐ n
ട്രെയിൻ	ʈ r e j i n
ട്രോഫി	ʈ r oː f i
ടൗൺ	ʈ ɐ u ɳ
ഠ	ʈʰ
ഠ	ʈʰ ɐ
ഠാക്കുർ	ʈʰ aː k k u r
ഠിക്കാനം	ʈʰ i k k aː n ɐ m
ഡ	ɖ
ഡ	ɖ ɐ
ഡംഭം	ɖ ɐ m bʱ ɐ m
ഡകടർ	ɖ ɐ ɡ ɐ ɖ ɐ r
ഡബ്ബിങ്	ɖ a bː i ŋ ɨ̆
ഡസൻ	ɖ ä s ɐ n
ഡാൻസ്	ɖ aː n s ə̆
ഡിംബം	ɖ i m b ɐ m
ഡിക്ഷണറി	ɖ i k ʂ ä ɳ ɐ r i
ഡിത്ഥം	ɖ i t̪ t̪ʰ ɐ m
ഡിസംബർ	ɖ i s a m b a r
ഡിസൈൻ	ɖ i s ä i n
ഡെഡിക്കെയ്ശൻ	ɖ e ɖ i k k e j ʃ ɐ n
ഡെൽഹി	ɖ e l h i
ഡോക്ടർ	ɖ oː k ʈ ɐ r
ഡോക്യുമെന്റ്	ɖ oː k j u m e n d ɨ̆
ഡോക്റ്റർ	ɖ oː k t ɐ r
ഡോർ	ɖ oː r
ഡ്രിങ്ക്	ɖ r i ŋ k ɨ̆
ഡ്രൈവ്	ɖ r ɐ i̯ ʋ ə̆
ഡ്രൈവർ	ɖ r ɐ i̯ ʋ ɐ r
ഡ്രോയർ	ɖ r oː j ɐ r
ഡൽഹി	ɖ ɐ l h i
ഢ	ɖʱ
ഢ	ɖʱ ɐ
ഢക്ക	ɖʱ ɐ k k ɐ
ഢക്കനം	ɖʱ ɐ k k ɐ n ɐ m
ഢങ്കാരം	ɖʱ ɐ ŋ ɡ aː ɾ ɐ m
ഢമാനം	ɖʱ ɐ m aː n ɐ m
ഢാബ	ɖʱ aː b ɐ
ഢാലം	ɖʱ aː l ɐ m
ഢാലി	ɖʱ aː l i
ഢുണ്ഢനം	ɖʱ u ɳ ɖʱ ɐ n ɐ m
ണ	ɳ
ണ	ɳ ɐ
ണത്താർ	ɳ ɐ t̪ t̪ aː r
ത	t̪
ത	t̪ ɐ
തം	t̪ ɐ m
തംബുരു	t̪ a m b u ɾ u
തകര	t̪ a ɡ a ɾ a
തകരം	t̪ a ɡ a ɾ a m
തകരാറ്	t̪ ä ɡ ɐ r äː r ɨ̆
തകരുക	t̪ ɐ ɡ ɐ ɾ u ɡ ɐ
തകിട്	t̪ ɐ ɡ i ɖ ə̆
തക്ക	t̪ ɐ k k ɐ
തക്കം	t̪ a kː a m
തക്കാളി	t̪ ɐ kː aː ɭ i
തകർക്കുക	t̪ a ɡ a r k k u ɡ a
തകർപ്പൻ	t̪ a k a r pː a n
തങ്ക	t̪ ɐ ŋ ɡ ɐ
തങ്കം	t̪ ɐ ŋ ɡ ɐ m
തങ്ങൾ	t̪ ɐ ŋ ŋ ɐ ɭ
തച	t̪ ɐ d͡ʒ ɐ
തഞ്ചുക	t̪ ɐ ɲ d͡ʒ u ɡ ɐ
തടയുക	t̪ ɐ ɖ ɐ j u ɡ ɐ
തടവറ	t̪ ɐ ɖ ɐ ʋ ɐ r ɐ
തടവുക	t̪ ɐ ɖ ɐ ʋ u ɡ ɐ
തടവ്	t̪ ɐ ɖ ɐ ʋ ə̆
തടസ്സം	t̪ a ɖ a sː a m
തടാകം	t̪ ɐ ɖ aː ɡ ɐ m
തടിച്ച	t̪ ɐ ɖ i t͡ʃ t͡ʃ ɐ
തടുക്ക്	t̪ ɐ ɖ u k k ə̆
തട്ടം	t̪ ɐ ʈ ʈ ɐ m
തട്ടിപ്പ്	t̪ ɐ ʈ ʈ i p p ə̆
തട്ടുക	t̪ ɐ ʈ ʈ u ɡ ɐ
തണുക്കുക	t̪ ɐ ɳ u k k u ɡ ɐ
തണുത്ത	t̪ ɐ ɳ u t̪ː ɐ
തണുത്തുറയുക	t̪ ɐ ɳ u t̪ t̪ u r ɐ j u ɡ ɐ
തണുപ്പ്	t̪ ɐ ɳ u p p ə̆
തണ്ടാസ്	t̪ ɐ ɳ ɖ aː s ə̆
തണ്ട്	t̪ ɐ ɳ ɖ ə̆
തണ്ണിമത്തൻ	t̪ a ɳ ɳ i m a t̪ t̪ a n
തത്ത	t̪ ɐ t̪ t̪ ɐ
തത്തപ്പനി	t̪ ɐ t̪ t̪ ɐ p p ɐ n i
തത്സമയ	t̪ ɐ t̪ s ɐ m ɐ j ɐ
തത്സമയം	t̪ ɐ t s ɐ m ɐ j ɐ m
തദ്ദേശ	t̪ ɐ d̪ d̪ eː ʃ ɐ
തനാഖ്	t̪ ɐ n aː kʰ ə̆
തനിച്ച്	t̪ a n i t͡ʃ t͡ʃ ə
തനിയെ	t̪ ɐ n i j e
തന്ത	t̪ ɐ n̪ d̪ ɐ
തന്ത്രം	t̪ ɐ n̪ d̪ r ɐ m
തന്ത്രി	t̪ ɐ n̪ d̪ r i
തന്നത്താൻ	t̪ a n̪ː a t̪ː aː n
തന്നെ	t̪ ɐ n n e
തന്നെ	t̪ ɐ n̪ n̪ e
തന്മാത്ര	t̪ ɐ n m aː t̪ r ɐ
തന്റേടം	t̪ ɐ n t eː ɖ ɐ m
തപസ്യ	t̪ ɐ b ɐ s j ɐ
തപാൽ	t̪ ɐ b aː l
തപ്പുവാഖ്	t̪ ɐ p p u ʋ aː kʰ ə̆
തമസ്സ്	t̪ ɐ m ɐ s s ə̆
തമാശ	t̪ ɐ m äː ʃ ɐ
തമിഴ്	t̪ ɐ m i ɻ ə̆
തമോഗർത്തം	t̪ a m oː ɡ a r t̪ː a m
തമോദ്വാരം	t̪ a m oː d̪ ʋ aː ɾ a m
തമ്പാക്ക്	t̪ ɐ m b aː k k ə̆
തമ്പി	t̪ ɐ m b i
തമ്പുരാട്ടി	t̪ ɐ m b u ɾ aː ʈ ʈ i
തമ്പുരാൻ	t̪ ɐ m b u ɾ aː n
തമ്പ്	t̪ ɐ m b ə̆
തമ്മിൽ	t̪ ɐ m m i l
തമ്മിൽത്തല്ല്	t̪ a m m i l t̪ t̪ a l l ə
തയിക്ക്	t̪ ɐ j i k k ə̆
തയ്ക്കുക	t̪ ɐ j k k u ɡ ɐ
തയ്യാറാക്കുക	t̪ ɐ j j aː r aː k k u ɡ ɐ
തയ്യാറാവുക	t̪ ɐ j j aː r aː ʋ u ɡ ɐ
തയ്യാർ	t̪ ɐ j j aː r
തരം	t̪ ɐ ɾ ɐ m
തരംഗദൈർഘ്യം	t̪ ɐ ɾ ɐ ŋ ɡ ɐ d̪ ɐ i̯ r ɡʱ j ɐ m
തരംതാഴ്ന്ന	t̪ ɐ ɾ ɐ n̪ t̪ aː ɻ n̪ n̪ ɐ
തരണം	t̪ ɐ ɾ ɐ ɳ ɐ m
തരിക	t̪ ɐ ɾ i ɡ ɐ
തരിശ്	t̪ ɐ ɾ i ʃ ə̆
തരുക	t̪ ɐ ɾ u ɡ ɐ
തറ	t̪ ɐ r ɐ
തറക്കല്ല്	t̪ ɐ r ɐ k k ɐ l l ə̆
തറവാട്	t̪ ɐ r ɐ ʋ aː ɖ ə̆
തറി	t̪ ɐ r i
തറുതല	t̪ a r kː u t̪ t̪ a ɾ a m
തല	t̪ ɐ l ɐ
തലം	t̪ ɐ l ɐ m
തലച്ചോറ്	t̪ ɐ l ɐ t͡ʃ t͡ʃ oː r ə̆
തലമുടി	t̪ ɐ l ɐ m u ɖ i
തലമുറ	t̪ ɐ l ɐ m u r ɐ
തലവൻ	t̪ a l a ʋ a n
തലശ്ശേരി	t̪ ɐ l ɐ ʃ ʃ eː ɾ i
തലസ്ഥാനം	t̪ ɐ l ɐ s t̪ʰ äː n ɐ m
തലാക്ക്	t̪ ɐ l aː k k ə̆
തലേന്ന്	t̪ ɐ l eː n̪ n̪ ə̆
തലോടുക	t̪ ɐ l oː ɖ u ɡ ɐ
തലോട്	t̪ ɐ l oː ɖ ə̆
തല്ലുക	t̪ ɐ l l u ɡ ɐ
തല്ല്	t̪ ɐ l l ə̆
തളരുക	t̪ ɐ ɭ ɐ ɾ u ɡ ɐ
തളിക	t̪ ɐ ɭ i ɡ ɐ
തളിക്കുക	t̪ ɐ ɭ i k k u ɡ ɐ
തളിര്	t̪ ɐ ɭ i ɾ ə̆
തള്ള	t̪ ɐ ɭ ɭ ɐ
തള്ളുക	t̪ ɐ ɭ ɭ u ɡ ɐ
തള്ള്	t̪ ɐ ɭ ɭ ə̆
തളർവാതം	t̪ ɐ ɭ ɐ r ʋ aː d̪ ɐ m
തഴുകുക	t̪ ɐ ɻ u ɡ u k ɐ
തഴുതാമ	t̪ ɐ ɻ u d̪ aː m ɐ
തവ	t̪ ɐ ʋ ɐ
തവണ	t̪ ɐ ʋ ɐ ɳ ɐ
തവള	t̪ ɐ ʋ ɐ ɭ ɐ
തവി	t̪ ɐ ʋ i
തവിട്ട്	t̪ ɐ ʋ i ʈ ʈ ə̆
തവിൽ	t̪ ɐ ʋ i l
തസ്കരൻ	t̪ ɐ s k ɐ ɾ ɐ n
തസ്തിക	t̪ ɐ s t̪ i ɡ ɐ
താ	t̪ aː
താം	t̪ aː m
താക്കീത്	t̪ aː k k iː d̪ ə̆
താങ്ക്യൂ	t̪ aː ŋ ɡ j uː
താങ്കൾ	t̪ aː ŋ ɡ ɐ ɭ
താങ്ങുക	t̪ aː ŋ ŋ u ɡ ɐ
താടി	t̪ aː ɖ i
താത്തി	t̪ aː t̪ t̪ i
താതൻ	t̪ aː d̪ ɐ n
താന്തോന്നി	t̪ aː n̪ d̪ oː n̪ n̪ i
താന്നി	t̪ aː n̪ n̪ i
താപം	t̪ aː b ɐ m
താപനം	t̪ aː b ɐ n ɐ m
താപനില	t̪ aː b ɐ n i l ɐ
താപമാപിനി	t̪ aː b ɐ m aː b i n i
താപമോചക	t̪ aː b ɐ m oː d͡ʒ ɐ ɡ ɐ
താപശോഷക	t̪ aː b ɐ ʃ oː ʂ ɐ ɡ ɐ
താപ്പ്	t̪ aː p p ə̆
താമര	t̪ aː m ɐ ɾ ɐ
താമസം	t̪ aː m ɐ s ɐ m
താമസിക്കുക	t̪ aː m a s i k k u k a
താമസിപ്പിക്കുക	t̪ aː m a s i pː i kː u k a
താമിസ്രം	t̪ aː m i s r ɐ m
തായ	t̪ aː j ɐ
തായോളി	t̪ aː j oː ɭ i
താരം	t̪ aː ɾ ɐ m
താരതമ്യം	t̪ aː ɾ ɐ d̪ ɐ m j ɐ m
താറാവ്	t̪ aː r aː ʋ ə̆
താലം	t̪ aː l ɐ m
താലവ്യം	t̪ aː l ɐ ʋ j ɐ m
താലി	t̪ aː l i
താലിബാൻ	t̪ aː l i b aː n
താലൂക്ക്	t̪ aː l uː k k ə̆
താളം	t̪ aː ɭ ɐ m
താളവാദ്യം	t̪ aː ɭ ɐ ʋ aː d̪ j ɐ m
താള്	t̪ aː ɭ ə̆
താഴുക	t̪ aː ɻ u ɡ ɐ
താഴെ	t̪ äː ɻ e
താഴേക്ക്	t̪ aː ɻ eː k k ə̆
താഴോട്ട്	t̪ aː ɻ oː ʈ ʈ ə̆
താഴ്	t̪ aː ɻ ə̆
താഴ്ച	t̪ aː ɻ t͡ʃ ɐ
താഴ്ത്തുക	t̪ aː ɻ t̪ t̪ u ɡ ɐ
താഴ്ന്ന	t̪ aː ɻ n̪ n̪ ɐ
താഴ്ഭാഗം	t̪ äː ɻ bʱ äː ɡ ɐ m
താഴ്വര	t̪ aː ɻ ʋ ɐ ɾ ɐ
താൻ	t̪ aː n
താൽപ്പര്യം	t̪ aː l p p ɐ ɾ j ɐ m
താൾ	t̪ aː ɭ
തികഴുക	t̪ i ɡ ɐ ɻ u ɡ ɐ
തിക്തം	t̪ i k t̪ ɐ m
തിങ്കളാഴ്ച	t̪ i ŋ ɡ ɐ ɭ aː ɻ t͡ʃ ɐ
തിങ്കൾ	t̪ i ŋ ɡ ɐ ɭ
തിടുക്കം	t̪ i ɖ u k k ɐ m
തിട്ട	t̪ i ʈ ʈ ɐ
തിട്ടം	t̪ i ʈ ʈ ɐ m
തിന	t̪ i n ɐ
തിന്നു	t̪ i n̪ n̪ u
തിന്നുക	t̪ i n n u ɡ ɐ
തിന്ന്	t̪ i n̪ n̪ ə̆
തിന്മ	t̪ i n m ɐ
തിമിംഗിലം	t̪ i m i ŋ ɡ i l ɐ m
തിമിരം	t̪ i m i ɾ ɐ m
തിമ്പൾ	t̪ i m p ɐ ɭ
തിയ്യ്	t̪ i j j ə̆
തിര	t̪ i ɾ ɐ
തിരക്ക്	t̪ i ɾ ɐ k k ə̆
തിരച്ചി	t̪ i ɾ ɐ t͡ʃː i
തിരഞ്ഞെടുക്കുക	t̪ i ɾ ɐ ɲ ɲ e ɖ u k k u ɡ ɐ
തിരഞ്ഞെടുപ്പ്	t̪ i ɾ a ɲː e ɖ u pː ə
തിരണ്ടി	t̪ i ɾ ɐ ɳ ɖ i
തിരണ്ടിസ്രാവ്	t̪ i ɾ ɐ ɳ ɖ i s r aː ʋ ɨ
തിരമാല	t̪ i ɾ ɐ m aː l ɐ
തിരയുക	t̪ i ɾ ɐ j u ɡ ɐ
തിരശ്ശീല	t̪ i ɾ ɐ ʃ ʃ iː l ɐ
തിരി	t̪ i ɾ i
തിരികെ	t̪ i ɾ i ɡ e
തിരിക്കുക	t̪ i ɾ i k k u ɡ ɐ
തിരിച്ചടിക്കുക	t̪ i ɾ i t͡ʃ t͡ʃ ɐ ɖ i k k u ɡ ɐ
തിരിച്ചയക്കുക	t̪ i ɾ i t͡ʃ t͡ʃ ɐ j ɐ k k u ɡ ɐ
തിരിച്ചറിയുക	t̪ i ɾ i t͡ʃ t͡ʃ ɐ r i j u ɡ ɐ
തിരിച്ചുവിടുക	t̪ i ɾ i t͡ʃ t͡ʃ u ʋ i ɖ u ɡ ɐ
തിരിച്ച്	t̪ i ɾ i t͡ʃ t͡ʃ ə̆
തിരിമറി	t̪ i ɾ i m ɐ r i
തിരിയുക	t̪ i ɾ i j u ɡ ɐ
തിരു	t̪ i ɾ u
തിരുത	t̪ i ɾ u d̪ ɐ
തിരുത്തുക	t̪ i ɾ u t̪ t̪ u ɡ ɐ
തിരുനാൾ	t̪ i ɾ u n aː ɭ
തിരുമേനി	t̪ i ɾ u m eː n i
തിരുമ്മുക	t̪ i ɾ u m m u ɡ ɐ
തിരുവനന്തപുരം	t̪ i ɾ u ʋ ɐ n ɐ n̪ d̪ ɐ b u ɾ ɐ m
തിരുവിതാംകൂർ	t̪ i ɾ u ʋ i d̪ aː ŋ k uː r
തിളക്കം	t̪ i ɭ ɐ k k ɐ m
തിളങ്ങുക	t̪ i ɭ ɐ ŋ ŋ u ɡ ɐ
തിളങ്ങുന്ന	t̪ i ɭ ɐ ŋ ŋ u n̪ n̪ ɐ
തിളപ്പിക്കുക	t̪ i ɭ ɐ p p i k k u ɡ ɐ
തിളയ്ക്കുക	t̪ i ɭ ɐ j k k u ɡ ɐ
തിളയ്ക്കൽ	t̪ i ɭ ɐ j k k ɐ l
തീ	t̪ iː
തീക്ഷ്ണം	t̪ iː k ʂ ɳ ɐ m
തീക്ഷ്ണതയുള്ള	t̪ iː k ʂ ɳ ɐ d̪ ɐ j u ɭ ɭ ɐ
തീട്ടം	t̪ iː ʈ ʈ ɐ m
തീട്ടുക	t̪ iː ʈ ʈ u ɡ ɐ
തീണ്ടാരി	t̪ iː ɳ ɖ aː ɾ i
തീണ്ടുക	t̪ iː ɳ ɖ u ɡ ɐ
തീപിടിക്കുക	t̪ iː b i ʈ i kː u ɡ a
തീപിടിത്തം	t̪ iː p i ɖ i t̪ː a m
തീപ്പെട്ടി	t̪ iː p p e ʈ ʈ i
തീപ്പെട്ടിക്കൂട്	t̪ iː p p e ʈ ʈ i k k uː ɖ ə̆
തീപ്പെട്ടിക്കൊള്ളി	t̪ iː p p e ʈ ʈ i k k o ɭ ɭ i
തീപ്പൊരി	t̪ iː p p o ɾ i
തീമല	t̪ iː m ɐ l ɐ
തീമ്പ്	t̪ iː m b ə̆
തീയതി	t̪ iː j ɐ d̪ i
തീയമ്പ്	t̪ iː j ɐ m b ɨ
തീരം	t̪ iː ɾ ɐ m
തീരുക	t̪ iː ɾ u ɡ ɐ
തീരുമാനം	t̪ iː ɾ u m aː n ɐ m
തീരുമാനിക്കുക	t̪ iː ɾ u m aː n i k k u ɡ ɐ
തീര്‍ന്നു	t̪ iː ɾ n̪ n̪ u
തീറ്റ	t̪ iː t t ɐ
തീറ്റിക്കുക	t̪ iː t t i k k u ɡ ɐ
തീവണ്ടി	t̪ iː ʋ ɐ ɳ ɖ i
