ア	a̠
ターキー	t a̠ː kʲ iː
ターツァイ	t a̠ː t͡s a̠ i
ターディオン	t a̠ː dʲ i õ̞ ɴ
ターナー	t a̠ː n a̠ː
ターハイ	t a̠ː h a̠ i
タープ	t a̠ː p ɯ̟ᵝ
ターミナル	t a̠ː mʲ i n a̠ ɾ ɯ̟ᵝ
タール	t a̠ː ɾ ɯ̟ᵝ
ターン	t ã̠ː ɴ
ターンテーブル	t ã̠ː n t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
ダ	d a̠
ダイア	d a̠ i a̠
ダイアグラム	d a̠ i a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ダイアベティス	d a̠ i a̠ b e̞ tʲ i s ɨᵝ
ダイアモンド	d a̠ i a̠ m õ̞ n d o̞
ダイオキシン	d a̠ i o̞ kʲ i̥ ɕ ĩ ɴ
ダイオード	d a̠ i o̞ː d o̞
ダイカスト	d a̠ i k a̠ s ɨᵝ t o̞
ダイキャスト	d a̠ i kʲ a̠ s ɨᵝ t o̞
ダイサギ	d a̠ i s a̠ ɡʲ i
ダイジェスト	d a̠ i ʑ e̞ s ɨ̥ᵝ t o̞
ダイダロス	d a̠ i d a̠ ɾ o̞ s ɨᵝ
ダイナマイト	d a̠ i n a̠ m a̠ i t o̞
ダイナミック	d a̠ i n a̠ mʲ i k̚ k ɯ̟ᵝ
ダイニングテーブル	d a̠ i ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
ダイニングルーム	d a̠ i ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝː m ɯ̟ᵝ
ダイパー	d a̠ i p a̠ː
ダイモーン	d a̠ i m õ̞ː ɴ
ダイヤ	d a̠ i j a̠
ダイヤグラム	d a̠ i j a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
ダイヤモンド	d a̠ i j a̠ m õ̞ n d o̞
ダイヤル	d a̠ i j a̠ ɾ ɯ̟ᵝ
ダウ	d a̠ ɯ̟ᵝ
ダウジング	d a̠ ɯ̟ᵝ ʑ ĩ ŋ ɡ ɯ̟ᵝ
ダウナー	d a̠ ɯ̟ᵝ n a̠ː
ダウン	d a̠ ɯ̟̃ᵝ ɴ
ダウンロード	d a̠ ɯ̟̃ᵝ n ɾ o̞ː d o̞
ダオ	d a̠ o̞
ダカール	d a̠ k a̠ː ɾ ɯ̟ᵝ
ダクト	d a̠ k ɯ̟ᵝ t o̞
ダサダサ	d a̠ s a̠ d a̠ s a̠
ダスター	d a̠ s ɨᵝ t a̠ː
ダッカ	d a̠ k̚ k a̠
ダックスフント	d a̠ k̚ k ɯ̟̊ᵝ s ɨ̥ᵝ ɸ ɯ̟̃ᵝ n t o̞
ダックバーグ	d a̠ k̚ k ɯ̟ᵝ b a̠ː ɡ ɯ̟ᵝ
ダックワーズ	d a̠ k̚ k ɯ̟ᵝ ɰᵝ a̠ː z ɨᵝ
ダッグアウト	d a̠ ɡ̚ ɡ̊ ɯ̟ᵝ a̠ ɯ̟ᵝ t o̞
ダッシュ	d a̠ ɕː ɯ̟ᵝ
ダッシュボード	d a̠ ɕː ɯ̟ᵝ b o̞ː d o̞
ダニエル	d a̠ ɲ̟ i e̞ ɾ ɯ̟ᵝ
ダバオ	d a̠ b a̠ o̞
ダビデ	d a̠ bʲ i d e̞
ダビング	d a̠ bʲ ĩ ŋ ɡ ɯ̟ᵝ
ダブスタ	d a̠ b ɯ̟ᵝ s ɨᵝ t a̠
ダブステップ	d a̠ b ɯ̟ᵝ s ɨᵝ t e̞ p̚ p ɯ̟ᵝ
ダブリュー	d a̠ b ɯ̟ᵝ ɾʲ ɨᵝː
ダブリン	d a̠ b ɯ̟ᵝ ɾʲ ĩ ɴ
ダブル	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
ダブルネガ	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ ɡ a̠
ダブルネガティブ	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ n e̞ ɡ a̠ tʲ i b ɯ̟ᵝ
ダプネー	d a̠ p ɯ̟ᵝ n e̞ː
ダミー	d a̠ mʲ iː
ダム	d a̠ m ɯ̟ᵝ
ダメージ	d a̠ m e̞ː ʑ i
ダモイ	d a̠ m o̞ i
ダラス	d a̠ ɾ a̠ s ɨᵝ
ダリア	d a̠ ɾʲ i a̠
ダルエスサラーム	d a̠ ɾ ɯ̟ᵝ e̞ s ɨ̥ᵝ s a̠ ɾ a̠ː m ɯ̟ᵝ
ダルメシアン	d a̠ ɾ ɯ̟ᵝ m e̞ ɕ i ã̠ ɴ
ダンジョン	d ã̠ ɲ̟ d͡ʑ õ̞ ɴ
ダンディ	d ã̠ n dʲ i
ダンディー	d ã̠ n dʲ iː
ダンベル	d ã̠ m b e̞ ɾ ɯ̟ᵝ
ダークウェブ	d a̠ː k ɯ̟ᵝ ɰᵝ e̞ b ɯ̟ᵝ
ダース	d a̠ː s ɨᵝ
ダーツ	d a̠ː t͡s ɨᵝ
ダート	d a̠ː t o̞
ダービー	d a̠ː bʲ iː
ダームスタチウム	d a̠ː m ɯ̟ᵝ s ɨ̥ᵝ t a̠ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
ダーリン	d a̠ː ɾʲ ĩ ɴ
ダーンドル	d ã̠ː n d o̞ ɾ ɯ̟ᵝ
チ	t͡ɕ i
チアガール	t͡ɕ i a̠ ɡ a̠ː ɾ ɯ̟ᵝ
チアジン	t͡ɕ i a̠ ʑ ĩ ɴ
チアゾール	t͡ɕ i a̠ z o̞ː ɾ ɯ̟ᵝ
チアノーゼ	t͡ɕ i a̠ n o̞ː z e̞
チアパス	t͡ɕ i a̠ p a̠ s ɨᵝ
チアミン	t͡ɕ i a̠ mʲ ĩ ɴ
チアリーダー	t͡ɕ i a̠ ɾʲ iː d a̠ː
チアリーディング	t͡ɕ i a̠ ɾʲ iː dʲ ĩ ŋ ɡ ɯ̟ᵝ
チェ	t͡ɕ e̞
チェケラ	t͡ɕ e̞ k e̞ ɾ a̠
チェシャー	t͡ɕ e̞ ɕ a̠ː
チェス	t͡ɕ e̞ s ɨᵝ
チェスターフィールド	t͡ɕ e̞ s ɨ̥ᵝ t a̠ː ɸʲ iː ɾ ɯ̟ᵝ d o̞
チェチェン	t͡ɕ e̞ t͡ɕ ẽ̞ ɴ
チェックアウト	t͡ɕ e̞ k̚ k ɯ̟ᵝ a̠ ɯ̟ᵝ t o̞
チェックイン	t͡ɕ e̞ k̚ k ɯ̟ᵝ ĩ ɴ
チェックポイント	t͡ɕ e̞ k̚ k ɯ̟ᵝ p o̞ ĩ n t o̞
チェックメイト	t͡ɕ e̞ k̚ k ɯ̟ᵝ m e̞ː t o̞
チェトニク	t͡ɕ e̞ t o̞ ɲ̟ i k ɯ̟ᵝ
チェリモヤ	t͡ɕ e̞ ɾʲ i m o̞ j a̠
チェルノブイリ	t͡ɕ e̞ ɾ ɯ̟ᵝ n o̞ b ɯ̟ᵝ i ɾʲ i
チェロ	t͡ɕ e̞ ɾ o̞
チェンジ	t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
チェンジャー	t͡ɕ ẽ̞ ɲ̟ d͡ʑ a̠ː
チェンバロ	t͡ɕ ẽ̞ m b a̠ ɾ o̞
チェーンソー	t͡ɕ ẽ̞ː ɰ̃ s o̞ː
チオフェン	t͡ɕ i o̞ ɸ ẽ̞ ɴ
チカニシ	t͡ɕ i k a̠ ɲ̟ i ɕ i
チキン	t͡ɕ i̥ kʲ ĩ ɴ
チクタク	t͡ɕ i k ɯ̟̊ᵝ t a̠ k ɯ̟̊ᵝ
チクニー	t͡ɕ i k ɯ̟ᵝ ɲ̟ iː
チケ	t͡ɕ i k e̞
チケット	t͡ɕ i̥ k e̞ t̚ t o̞
チゲ	t͡ɕ i ɡ e̞
チタン	t͡ɕ i̥ t ã̠ ɴ
チチン	t͡ɕ i t͡ɕ ĩ ɴ
チヂミ	t͡ɕ i ʑ i mʲ i
チッス	t͡ɕ i sː ɯ̟ᵝ
チップ	t͡ɕ i p̚ p ɯ̟ᵝ
チフス	t͡ɕ i ɸ ɯ̟ᵝ s ɨᵝ
チャ	t͡ɕ a̠
チャイナ	t͡ɕ a̠ i n a̠
チャウダー	t͡ɕ a̠ ɯ̟ᵝ d a̠ː
チャエッチ	t͡ɕ a̠ e̞ t̚ t͡ɕ i
チャクラ	t͡ɕ a̠ k ɯ̟ᵝ ɾ a̠
チャクラム	t͡ɕ a̠ k ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
チャコ	t͡ɕ a̠ k o̞
チャコペン	t͡ɕ a̠ k o̞ p ẽ̞ ɴ
チャタヌーガ	t͡ɕ a̠ t a̠ n ɯ̟ᵝː ɡ a̠
チャック	t͡ɕ a̠ k̚ k ɯ̟ᵝ
チャットエッチ	t͡ɕ a̠ t̚ t o̞ e̞ t̚ t͡ɕ i
チャップリン	t͡ɕ a̠ p̚ p ɯ̟ᵝ ɾʲ ĩ ɴ
チャツネ	t͡ɕ a̠ t͡s ɨᵝ n e̞
チャツパ	t͡ɕ a̠ t͡s ɨᵝ p a̠
チャド	t͡ɕ a̠ d o̞
チャネリング	t͡ɕ a̠ n e̞ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
チャネル	t͡ɕ a̠ n e̞ ɾ ɯ̟ᵝ
チャプチェ	t͡ɕ a̠ p ɯ̟ᵝ t͡ɕ e̞
チャペル	t͡ɕ a̠ p e̞ ɾ ɯ̟ᵝ
チャリ	t͡ɕ a̠ ɾʲ i
チャリオット	t͡ɕ a̠ ɾʲ i o̞ t̚ t o̞
チャリンコ	t͡ɕ a̠ ɾʲ ĩ ŋ k o̞
チャレンジ	t͡ɕ a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
チャンカン	t͡ɕ ã̠ ŋ k ã̠ ɴ
チャンジャ	t͡ɕ ã̠ ɲ̟ d͡ʑ a̠
チャンス	t͡ɕ ã̠ ɰ̃ s ɨᵝ
チャンネル	t͡ɕ ã̠ nː e̞ ɾ ɯ̟ᵝ
チャンピオン	t͡ɕ ã̠ m pʲ i õ̞ ɴ
チャンピオンシップ	t͡ɕ ã̠ m pʲ i õ̞ ɰ̃ ɕ i p̚ p ɯ̟ᵝ
チャンプ	t͡ɕ ã̠ m p ɯ̟ᵝ
チャンプル	t͡ɕ ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝ
チャンプルー	t͡ɕ ã̠ m p ɯ̟ᵝ ɾ ɯ̟ᵝː
チャークイティオ	t͡ɕ a̠ː k ɯ̟ᵝ i tʲ i o̞
チャーシュー	t͡ɕ a̠ː ɕ ɨᵝː
チャーシューメン	t͡ɕ a̠ː ɕ ɨᵝː m ẽ̞ ɴ
チャージ	t͡ɕ a̠ː ʑ i
チャージャー	t͡ɕ a̠ː ʑ a̠ː
チャーター	t͡ɕ a̠ː t a̠ː
チャーハン	t͡ɕ a̠ː h ã̠ ɴ
チャーメン	t͡ɕ a̠ː m ẽ̞ ɴ
チャーリー	t͡ɕ a̠ː ɾʲ iː
チヤパス	t͡ɕ i j a̠ p a̠ s ɨᵝ
チュ	t͡ɕ ɨᵝ
チュウサギ	t͡ɕ ɨᵝː s a̠ ɡʲ i
チュチュ	t͡ɕ ɨᵝ t͡ɕ ɨ̥ᵝ
チュニジア	t͡ɕ ɨᵝ ɲ̟ i ʑ i a̠
チュニス	t͡ɕ ɨᵝ ɲ̟ i s ɨᵝ
チュニック	t͡ɕ ɨᵝ ɲ̟ i k̚ k ɯ̟ᵝ
チュルク	t͡ɕ ɨᵝ ɾ ɯ̟ᵝ k ɯ̟ᵝ
チュロ	t͡ɕ ɨᵝ ɾ o̞
チュロス	t͡ɕ ɨᵝ ɾ o̞ s ɨᵝ
チュートリアル	t͡ɕ ɨᵝː t o̞ ɾʲ i a̠ ɾ ɯ̟ᵝ
チューナー	t͡ɕ ɨᵝː n a̠ː
チューバ	t͡ɕ ɨᵝː b a̠
チューリッヒ	t͡ɕ ɨᵝː ɾʲ i çː i
チューリップ	t͡ɕ ɨᵝː ɾʲ i p̚ p ɯ̟ᵝ
チューリンゲン	t͡ɕ ɨᵝː ɾʲ ĩ ŋ ɡ ẽ̞ ɴ
チュール	t͡ɕ ɨᵝː ɾ ɯ̟ᵝ
チューレンポートン	t͡ɕ ɨᵝː ɾ ẽ̞ m p o̞ː t õ̞ ɴ
チョ	t͡ɕ o̞
チョイス	t͡ɕ o̞ i s ɨᵝ
チョキ	t͡ɕ o̞ kʲ i
チョコ	t͡ɕ o̞ k o̞
チョコレート	t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
チョッキ	t͡ɕ o̞ k̚ʲ kʲ i
チョッテ	t͡ɕ o̞ t̚ t e̞
チョッパリ	t͡ɕ o̞ p̚ p a̠ ɾʲ i
チョップ	t͡ɕ o̞ p̚ p ɯ̟ᵝ
チョベリグ	t͡ɕ o̞ b e̞ ɾʲ i ɡ ɯ̟ᵝ
チョベリバ	t͡ɕ o̞ b e̞ ɾʲ i b a̠
チョモランマ	t͡ɕ o̞ m o̞ ɾ ã̠ mː a̠
チョルノービリ	t͡ɕ o̞ ɾ ɯ̟ᵝ n o̞ː bʲ i ɾʲ i
チョレギ	t͡ɕ o̞ ɾ e̞ ɡʲ i
チョロギ	t͡ɕ o̞ ɾ o̞ ɡʲ i
チョン	t͡ɕ õ̞ ɴ
チョンガー	t͡ɕ õ̞ ŋ ɡ a̠ː
チョンファン	t͡ɕ õ̞ ɰ̃ ɸ ã̠ ɴ
チョンボ	t͡ɕ õ̞ m b o̞
チョーカー	t͡ɕ o̞ː k a̠ː
チョーク	t͡ɕ o̞ː k ɯ̟ᵝ
チラリズム	t͡ɕ i ɾ a̠ ɾʲ i z ɨᵝ m ɯ̟ᵝ
チリ	t͡ɕ i ɾʲ i
チリアンシーバス	t͡ɕ i ɾʲ i ã̠ ɰ̃ ɕ iː b a̠ s ɨᵝ
チロシン	t͡ɕ i ɾ o̞ ɕ ĩ ɴ
チワナ	t͡ɕ i ɰᵝ a̠ n a̠
チワワ	t͡ɕ i ɰᵝ a̠ ɰᵝ a̠
チン	t͡ɕ ĩ ɴ
チンイーソー	t͡ɕ ĩ ɰ̃ iː s o̞ː
チンキ	t͡ɕ ĩ ŋʲ kʲ i
チンタオ	t͡ɕ ĩ n t a̠ o̞
チンチラ	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ a̠
チンド	t͡ɕ ĩ n d o̞
チンパン	t͡ɕ ĩ m p ã̠ ɴ
チンパンジー	t͡ɕ ĩ m p ã̠ ɲ̟ d͡ʑ iː
チンピラ	t͡ɕ ĩ m pʲ i ɾ a̠
チーズ	t͡ɕ iː z ɨᵝ
チーズケーキ	t͡ɕ iː z ɨᵝ k e̞ː kʲ i
チーズバーガー	t͡ɕ iː z ɨᵝ b a̠ː ɡ a̠ː
チーター	t͡ɕ iː t a̠ː
チーフー	t͡ɕ iː ɸ ɯ̟ᵝː
チープ	t͡ɕ iː p ɯ̟ᵝ
チーホー	t͡ɕ iː h o̞ː
チーマージャン	t͡ɕ iː m a̠ː ʑ ã̠ ɴ
チーム	t͡ɕ iː m ɯ̟ᵝ
チームプレー	t͡ɕ iː m ɯ̟ᵝ p ɯ̟ᵝ ɾ e̞ː
チームメート	t͡ɕ iː m ɯ̟ᵝ m e̞ː t o̞
ヂ	d͡ʑ i
ヂ	ʑ i
ヂェ	d͡ʑ e̞
ヂャ	d͡ʑ a̠
ヂュ	d͡ʑ ɨᵝ
ヂョ	d͡ʑ o̞
ップ	p̚ p ɯ̟ᵝ
ツ	t͡s ɨᵝ
ツァ	t͡s a̠
ツァイトガイスト	t͡s a̠ i t o̞ ɡ a̠ i s ɨᵝ t o̞
ツァリーツァ	t͡s a̠ ɾʲ iː t͡s a̠
ツァー	t͡s a̠ː
ツァーリ	t͡s a̠ː ɾʲ i
ツァーリズム	t͡s a̠ː ɾʲ i z ɨᵝ m ɯ̟ᵝ
ツアー	t͡s ɨᵝ a̠ː
ツィ	t͡sʲ i
ツイ	t͡s ɨᵝ i
ツイカス	t͡s ɨᵝ i k a̠ s ɨᵝ
ツイスト	t͡s ɨᵝ i s ɨᵝ t o̞
ツイッター	t͡s ɨᵝ i t̚ t a̠ː
ツイフェミ	t͡s ɨᵝ i ɸ e̞ mʲ i
ツインテール	t͡s ɨᵝ ĩ n t e̞ː ɾ ɯ̟ᵝ
ツェ	t͡s e̞
ツェツェバエ	t͡s e̞ t͡s e̞ b a̠ e̞
ツェナーダイオード	t͡s e̞ n a̠ː d a̠ i o̞ː d o̞
ツォ	t͡s o̞
ツォウ	t͡s o̞ː
ツクツクボウシ	t͡s ɨᵝ k ɯ̟ᵝ t͡s ɨᵝ k ɯ̟ᵝ b o̞ː ɕ i
ツクピー	t͡s ɨᵝ k ɯ̟ᵝ pʲ iː
ツクマン	t͡s ɨᵝ k ɯ̟ᵝ m ã̠ ɴ
ツタンカーメン	t͡s ɨᵝ t ã̠ ŋ k a̠ː m ẽ̞ ɴ
ツチノコ	t͡s ɨᵝ t͡ɕ i n o̞ k o̞
ツナマヨ	t͡s ɨᵝ n a̠ m a̠ j o̞
ツバル	t͡s ɨᵝ b a̠ ɾ ɯ̟ᵝ
ツモ	t͡s ɨᵝ m o̞
ツリウム	t͡s ɨᵝ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ツリー	t͡s ɨᵝ ɾʲ iː
ツンデレ	t͡s ɨ̃ᵝ n d e̞ ɾ e̞
ツンドラ	t͡s ɨ̃ᵝ n d o̞ ɾ a̠
ツーイーソー	t͡s ɨᵝː iː s o̞ː
ツーシーム	t͡s ɨᵝː ɕ iː m ɯ̟ᵝ
ツートン	t͡s ɨᵝː t õ̞ ɴ
ツーピース	t͡s ɨᵝː pʲ iː s ɨᵝ
ツーリング	t͡s ɨᵝː ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
ツール	t͡s ɨᵝː ɾ ɯ̟ᵝ
ツールチップ	t͡s ɨᵝː ɾ ɯ̟ᵝ t͡ɕ i̥ p̚ p ɯ̟ᵝ
ツールレーキ	t͡s ɨᵝː ɾ ɯ̟ᵝ ɾ e̞ː kʲ i
ヅ	d͡z ɨᵝ
ヅ	z ɨᵝ
テ	t e̞
ティ	tʲ i
ティアラ	tʲ i a̠ ɾ a̠
ティケット	tʲ i k e̞̊ t̚ t o̞
ティスティング	tʲ i s ɨᵝ tʲ ĩ ŋ ɡ ɯ̟ᵝ
ティッシュ	tʲ i ɕː ɯ̟ᵝ
ティファナ	tʲ i ɸ a̠ n a̠
ティモール	tʲ i m o̞ː ɾ ɯ̟ᵝ
ティラノサウルス	tʲ i ɾ a̠ n o̞ s a̠ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
ティラミス	tʲ i ɾ a̠ mʲ i s ɨᵝ
ティンプー	tʲ ĩ m p ɯ̟ᵝː
ティーエスエフ	tʲ iː e̞ s ɨᵝ e̞ ɸ ɯ̟ᵝ
ティーエヌティー	tʲ iː e̞ n ɯ̟ᵝ tʲ iː
ティーカップ	tʲ iː k a̠ p̚ p ɯ̟ᵝ
ティーシャツ	tʲ iː ɕ a̠ t͡s ɨᵝ
ティースプーン	tʲ iː s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
ティーターン	tʲ iː t ã̠ː ɴ
ティーネージャー	tʲ iː n e̞ː ʑ a̠ː
ティーバック	tʲ iː b a̠ k̚ k ɯ̟ᵝ
ティーンエージャー	tʲ ĩː ɰ̃ e̞ː ʑ a̠ː
テイアー	t e̞ː a̠ː
テイクバック	t e̞ː k ɯ̟ᵝ b a̠ k̚ k ɯ̟ᵝ
テイスティング	t e̞ː s ɨᵝ tʲ ĩ ŋ ɡ ɯ̟ᵝ
テオクラシー	t e̞ o̞ k ɯ̟ᵝ ɾ a̠ ɕ iː
テオリア	t e̞ o̞ ɾʲ i a̠
テキサス	t e̞ kʲ i s a̠ s ɨᵝ
テキサス	t e̞ kʲ i̥ s a̠ s ɨᵝ
テキスト	t e̞ kʲ i s ɨ̥ᵝ t o̞
テキストブック	t e̞ kʲ i s ɨ̥ᵝ t o̞ b ɯ̟ᵝ k̚ k ɯ̟ᵝ
テキパキ	t e̞ kʲ i p a̠ kʲ i
テキーラ	t e̞ kʲ iː ɾ a̠
テク	t e̞ k ɯ̟ᵝ
テクスチャー	t e̞ k ɯ̟ᵝ s ɨᵝ t͡ɕ a̠ː
テクスト	t e̞ k ɯ̟ᵝ s ɨ̥ᵝ t o̞
テクニシャン	t e̞ k ɯ̟ᵝ ɲ̟ i ɕ ã̠ ɴ
テクネチウム	t e̞ k ɯ̟ᵝ n e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
テグ	t e̞ ɡ ɯ̟ᵝ
テグシガルパ	t e̞ ɡ ɯ̟ᵝ ɕ i ɡ a̠ ɾ ɯ̟ᵝ p a̠
テコンドー	t e̞ k õ̞ n d o̞ː
テスター	t e̞ s ɨᵝ t a̠ː
テスト	t e̞ s ɨ̥ᵝ t o̞
テストステロン	t e̞ s ɨ̥ᵝ t o̞ s ɨ̥ᵝ t e̞ ɾ õ̞ ɴ
テスラ	t e̞ s ɨᵝ ɾ a̠
テックス	t e̞ k̚ k ɯ̟ᵝ s ɨᵝ
テッサロニキ	t e̞ sː a̠ ɾ o̞ ɲ̟ i kʲ i
テッテレー	t e̞ t̚ t e̞ ɾ e̞ː
テッド	t e̞ d̚ d̥ o̞
テトラポッド	t e̞ t o̞ ɾ a̠ p o̞ d̚ d̥ o̞
テナー	t e̞ n a̠ː
テニス	t e̞ ɲ̟ i s ɨᵝ
テネシン	t e̞ n e̞ ɕ ĩ ɴ
テネシー	t e̞ n e̞ ɕ iː
テノール	t e̞ n o̞ː ɾ ɯ̟ᵝ
テビバイト	t e̞ bʲ i b a̠ i t o̞
テビビット	t e̞ bʲ i bʲ i t̚ t o̞
テヘラン	t e̞ h e̞ ɾ ã̠ ɴ
テミス	t e̞ mʲ i s ɨᵝ
テモテ	t e̞ m o̞ t e̞
テャ	tʲ a̠
テュ	tʲ ɨᵝ
テューバ	tʲ ɨᵝː b a̠
テューリンゲン	tʲ ɨᵝː ɾʲ ĩ ŋ ɡ ẽ̞ ɴ
テョ	tʲ o̞
テラ	t e̞ ɾ a̠
テラワロス	t e̞ ɾ a̠ ɰᵝ a̠ ɾ o̞ s ɨᵝ
テリア	t e̞ ɾʲ i a̠
テリヤ	t e̞ ɾʲ i j a̠
テル	t e̞ ɾ ɯ̟ᵝ
テルビウム	t e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
テルプシコラー	t e̞ ɾ ɯ̟ᵝ p ɯ̟ᵝ ɕ i k o̞ ɾ a̠ː
テルペン	t e̞ ɾ ɯ̟ᵝ p ẽ̞ ɴ
テルル	t e̞ ɾ ɯ̟ᵝ ɾ ɯ̟ᵝ
テレクラ	t e̞ ɾ e̞ k ɯ̟ᵝ ɾ a̠
テレコ	t e̞ ɾ e̞ k o̞
テレストレーター	t e̞ ɾ e̞ s ɨᵝ t o̞ ɾ e̞ː t a̠ː
テレタイプ	t e̞ ɾ e̞ t a̠ i p ɯ̟ᵝ
テレパシー	t e̞ ɾ e̞ p a̠ ɕ iː
テレビ	t e̞ ɾ e̞ bʲ i
テレビジョン	t e̞ ɾ e̞ bʲ i ʑ õ̞ ɴ
テレフォン	t e̞ ɾ e̞ ɸ õ̞ ɴ
テレポーテーション	t e̞ ɾ e̞ p o̞ː t e̞ː ɕ õ̞ ɴ
テレポート	t e̞ ɾ e̞ p o̞ː t o̞
テレワーク	t e̞ ɾ e̞ ɰᵝ a̠ː k ɯ̟ᵝ
テロ	t e̞ ɾ o̞
テロリスト	t e̞ ɾ o̞ ɾʲ i s ɨ̥ᵝ t o̞
テロリズム	t e̞ ɾ o̞ ɾʲ i z ɨᵝ m ɯ̟ᵝ
テン	t ẽ̞ ɴ
テンキー	t ẽ̞ ŋʲ kʲ iː
テンション	t ẽ̞ ɰ̃ ɕ õ̞ ɴ
テント	t ẽ̞ n t o̞
テンパイ	t ẽ̞ m p a̠ i
テンプレ	t ẽ̞ m p ɯ̟ᵝ ɾ e̞
テンペ	t ẽ̞ m p e̞
テンホー	t ẽ̞ ɰ̃ h o̞ː
テンポ	t ẽ̞ m p o̞
テンメンジャン	t ẽ̞ mː ẽ̞ ɲ̟ d͡ʑ ã̠ ɴ
テーゼ	t e̞ː z e̞
テータ	t e̞ː t a̠
テーテュース	t e̞ː tʲ ɨᵝː s ɨᵝ
テーブル	t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
テーブルスプーン	t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
テーマ	t e̞ː m a̠
テーマソング	t e̞ː m a̠ s õ̞ ŋ ɡ ɯ̟ᵝ
テール	t e̞ː ɾ ɯ̟ᵝ
テーレマコス	t e̞ː ɾ e̞ m a̠ k o̞ s ɨᵝ
デ	d e̞
ディ	dʲ i
ディアーナ	dʲ i a̠ː n a̠
ディクテーション	dʲ i k ɯ̟ᵝ t e̞ː ɕ õ̞ ɴ
ディケイ	dʲ i k e̞ː
ディケー	dʲ i k e̞ː
ディジタル	dʲ i ʑ i t a̠ ɾ ɯ̟ᵝ
ディスカウント	dʲ i s ɨ̥ᵝ k a̠ ɯ̟̃ᵝ n t o̞
ディスカッション	dʲ i s ɨᵝ k a̠ ɕː õ̞ ɴ
ディスク	dʲ i s ɨ̥ᵝ k ɯ̟ᵝ
ディスクゴルフ	dʲ i s ɨᵝ k ɯ̟ᵝ ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ディスケット	dʲ i s ɨᵝ k e̞̊ t̚ t o̞
ディスコ	dʲ i s ɨᵝ k o̞̊
ディスコティック	dʲ i s ɨᵝ k o̞ tʲ i k̚ k ɯ̟ᵝ
ディスティネーション	dʲ i s ɨᵝ tʲ i n e̞ː ɕ õ̞ ɴ
ディスレクシア	dʲ i s ɨᵝ ɾ e̞ k ɯ̟ᵝ ɕ i a̠
ディズニー	dʲ i z ɨᵝ ɲ̟ iː
ディック	dʲ i k̚ k ɯ̟ᵝ
ディナー	dʲ i n a̠ː
ディナール	dʲ i n a̠ː ɾ ɯ̟ᵝ
ディベート	dʲ i b e̞ː t o̞
ディミヌエンド	dʲ i mʲ i n ɯ̟ᵝ ẽ̞ n d o̞
ディリ	dʲ i ɾʲ i
ディル	dʲ i ɾ ɯ̟ᵝ
ディルド	dʲ i ɾ ɯ̟ᵝ d o̞
ディレクトリー	dʲ i ɾ e̞ k ɯ̟ᵝ t o̞̊ ɾʲ iː
ディンゴ	dʲ ĩ ŋ ɡ o̞
ディー	dʲ iː
ディーエヌエー	dʲ iː e̞ n ɯ̟ᵝ e̞ː
ディージェー	dʲ iː ʑ e̞ː
ディーティーエマー	dʲ iː tʲ iː e̞ m a̠ː
ディーティーエム	dʲ iː tʲ iː e̞ m ɯ̟ᵝ
ディーティーピー	dʲ iː tʲ iː pʲ iː
ディーディー	dʲ iː dʲ iː
ディーブイ	dʲ iː b ɯ̟ᵝ i
ディーブイディー	dʲ iː b ɯ̟ᵝ i dʲ iː
ディープ	dʲ iː p ɯ̟ᵝ
ディープフライヤー	dʲ iː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ i j a̠ː
ディーラー	dʲ iː ɾ a̠ː
ディーン	dʲ ĩː ɴ
デイベッド	d e̞ː b e̞ d̚ d̥ o̞
デウス	d e̞ ɯ̟ᵝ s ɨᵝ
デェ	d e̞ː
