AFI	a f i
mandatoria	m ã n̪ d̪ a t̪ o ɾ j a
mandatorias	m ã n̪ d̪ a t̪ o ɾ j a s
mandatorio	m ã n̪ d̪ a t̪ o ɾ j o
mandatorios	m ã n̪ d̪ a t̪ o ɾ j o s
mandeo	m ã n̪ d̪ e o
mandibular	m ã n̪ d̪ i β̞ u l a ɾ
mandibulares	m ã n̪ d̪ i β̞ u l a ɾ e s
mandil	m ã n̪ d̪ i l
mandilón	m ã n̪ d̪ i l õ n
mandinga	m ã n̪ d̪ ĩ ŋ ɡ a
mandinka	m ã n̪ d̪ ĩ ŋ k a
mandioca	m ã n̪ d̪ j o k a
mando	m ã n̪ d̪ o
mandolina	m ã n̪ d̪ o l i n a
mandoncillo	m ã n̪ d̪ õ n̟ θ i ʝ o
mandoneada	m ã n̪ d̪ o n e a ð̞ a
mandoneadas	m ã n̪ d̪ o n e a ð̞ a s
mandoneado	m ã n̪ d̪ o n e a ð̞ o
mandoneados	m ã n̪ d̪ o n e a ð̞ o s
mandonear	m ã n̪ d̪ o n e a ɾ
mandorla	m ã n̪ d̪ o ɾ l a
mandril	m ã n̪ d̪ ɾ i l
mandrilada	m ã n̪ d̪ ɾ i l a ð̞ a
mandriladas	m ã n̪ d̪ ɾ i l a ð̞ a s
mandrilados	m ã n̪ d̪ ɾ i l a ð̞ o s
mandrágora	m ã n̪ d̪ ɾ a ɣ̞ o ɾ a
mandrágoras	m ã n̪ d̪ ɾ a ɣ̞ o ɾ a s
manduca	m ã n̪ d̪ u k a
manducada	m ã n̪ d̪ u k a ð̞ a
manducadas	m ã n̪ d̪ u k a ð̞ a s
manducados	m ã n̪ d̪ u k a ð̞ o s
manducar	m ã n̪ d̪ u k a ɾ
manduví	m ã n̪ d̪ u β̞ i
mandé	m ã n̪ d̪ e
mandés	m ã n̪ d̪ e s
manea	m a n e a
maneador	m a n e a ð̞ o ɾ
manear	m a n e a ɾ
manecilla	m a n e θ i ʝ a
manecita	m a n e θ i t̪ a
manejabilidad	m a n e x a β̞ i l i ð̞ a ð̞
manejable	m a n e x a β̞ l e
manejables	m a n e x a β̞ l e s
manejada	m a n e x a ð̞ a
manejadas	m a n e x a ð̞ a s
manejado	m a n e x a ð̞ o
manejador	m a n e x a ð̞ o ɾ
manejadora	m a n e x a ð̞ o ɾ a
manejadoras	m a n e x a ð̞ o ɾ a s
manejadores	m a n e x a ð̞ o ɾ e s
manejados	m a n e x a ð̞ o s
manejamos	m a n e x a m o s
manejante	m a n e x ã n̪ t̪ e
manejar	m a n e x a ɾ
manejo	m a n e x o
manejos	m a n e x o s
manera	m a n e ɾ a
manes	m a n e s
manga	m ã ŋ ɡ a
mangabeira	m ã ŋ ɡ a β̞ e i̯ ɾ a
mangada	m ã ŋ ɡ a ð̞ a
mangadas	m ã ŋ ɡ a ð̞ a s
mangado	m ã ŋ ɡ a ð̞ o
mangados	m ã ŋ ɡ a ð̞ o s
mangaka	m ã ŋ ɡ a k a
mangal	m ã ŋ ɡ a l
manganeso	m ã ŋ ɡ a n e s o
mangante	m ã ŋ ɡ ã n̪ t̪ e
mangar	m ã ŋ ɡ a ɾ
mangas	m ã ŋ ɡ a s
mangazo	m ã ŋ ɡ a θ o
mangazos	m ã ŋ ɡ a θ o s
mangla	m ã ŋ ɡ l a
manglar	m ã ŋ ɡ l a ɾ
mangle	m ã ŋ ɡ l e
manglero	m ã ŋ ɡ l e ɾ o
mango	m ã ŋ ɡ o
mangoneada	m ã ŋ ɡ o n e a ð̞ a
mangoneadas	m ã ŋ ɡ o n e a ð̞ a s
mangoneado	m ã ŋ ɡ o n e a ð̞ o
mangoneados	m ã ŋ ɡ o n e a ð̞ o s
mangonear	m ã ŋ ɡ o n e a ɾ
mangosta	m ã ŋ ɡ o s t̪ a
mangostino	m ã ŋ ɡ o s t̪ i n o
mangostán	m ã ŋ ɡ o s t̪ ã n
mangrullo	m ã ŋ ɡ ɾ u ʝ o
manguear	m ã ŋ ɡ e a ɾ
manguera	m ã ŋ ɡ e ɾ a
mangueras	m ã ŋ ɡ e ɾ a s
manguerazo	m ã ŋ ɡ e ɾ a θ o
mangues	m ã ŋ ɡ e s
manguito	m ã ŋ ɡ i t̪ o
mangú	m ã ŋ ɡ u
mangüeña	m ã ŋ ɡ w e ɲ a
mani	m a n i
maniaca	m a n j a k a
maniacas	m a n j a k a s
maniaco	m a n j a k o
maniacos	m a n j a k o s
maniatada	m a n j a t̪ a ð̞ a
maniatadas	m a n j a t̪ a ð̞ a s
maniatado	m a n j a t̪ a ð̞ o
maniatados	m a n j a t̪ a ð̞ o s
maniatar	m a n j a t̪ a ɾ
maniblaj	m a n i β̞ l a x
manicomial	m a n i k o m j a l
manicomio	m a n i k o m j o
manicuros	m a n i k u ɾ o s
manifestación	m a n i f e s t̪ a θ j õ n
manifestada	m a n i f e s t̪ a ð̞ a
manifestadas	m a n i f e s t̪ a ð̞ a s
manifestado	m a n i f e s t̪ a ð̞ o
manifestador	m a n i f e s t̪ a ð̞ o ɾ
manifestados	m a n i f e s t̪ a ð̞ o s
manifestamos	m a n i f e s t̪ a m o s
manifestando	m a n i f e s t̪ ã n̪ d̪ o
manifestante	m a n i f e s t̪ ã n̪ t̪ e
manifestar	m a n i f e s t̪ a ɾ
manifestara	m a n i f e s t̪ a ɾ a
manifestaras	m a n i f e s t̪ a ɾ a s
manifestareis	m a n i f e s t̪ a ɾ e i̯ s
manifestaremos	m a n i f e s t̪ a ɾ e m o s
manifestares	m a n i f e s t̪ a ɾ e s
manifestará	m a n i f e s t̪ a ɾ a
manifestarás	m a n i f e s t̪ a ɾ a s
manifestaríamos	m a n i f e s t̪ a ɾ i a m o s
manifestaste	m a n i f e s t̪ a s t̪ e
manifestemos	m a n i f e s t̪ e m o s
manifestáramos	m a n i f e s t̪ a ɾ a m o s
manifiesta	m a n i f j e s t̪ a
manifiestas	m a n i f j e s t̪ a s
manifiesto	m a n i f j e s t̪ o
manigua	m a n i ɣ̞ w a
manija	m a n i x a
manila	m a n i l a
manileña	m a n i l e ɲ a
manileñas	m a n i l e ɲ a s
manileño	m a n i l e ɲ o
manileños	m a n i l e ɲ o s
manilla	m a n i ʝ a
manillar	m a n i ʝ a ɾ
maniobra	m a n j o β̞ ɾ a
maniobrable	m a n j o β̞ ɾ a β̞ l e
maniobrada	m a n j o β̞ ɾ a ð̞ a
maniobradas	m a n j o β̞ ɾ a ð̞ a s
maniobrado	m a n j o β̞ ɾ a ð̞ o
maniobrados	m a n j o β̞ ɾ a ð̞ o s
maniobrar	m a n j o β̞ ɾ a ɾ
manipula	m a n i p u l a
manipulación	m a n i p u l a θ j õ n
manipulada	m a n i p u l a ð̞ a
manipuladas	m a n i p u l a ð̞ a s
manipulado	m a n i p u l a ð̞ o
manipulador	m a n i p u l a ð̞ o ɾ
manipuladora	m a n i p u l a ð̞ o ɾ a
manipuladoras	m a n i p u l a ð̞ o ɾ a s
manipuladores	m a n i p u l a ð̞ o ɾ e s
manipulados	m a n i p u l a ð̞ o s
manipulamos	m a n i p u l a m o s
manipulando	m a n i p u l ã n̪ d̪ o
manipular	m a n i p u l a ɾ
manipulara	m a n i p u l a ɾ a
manipularas	m a n i p u l a ɾ a s
manipulareis	m a n i p u l a ɾ e i̯ s
manipularemos	m a n i p u l a ɾ e m o s
manipulares	m a n i p u l a ɾ e s
manipulará	m a n i p u l a ɾ a
manipularás	m a n i p u l a ɾ a s
manipularíamos	m a n i p u l a ɾ i a m o s
manipulas	m a n i p u l a s
manipulaste	m a n i p u l a s t̪ e
manipulativo	m a n i p u l a t̪ i β̞ o
manipule	m a n i p u l e
manipulemos	m a n i p u l e m o s
manipules	m a n i p u l e s
manipulo	m a n i p u l o
manipuláramos	m a n i p u l a ɾ a m o s
maniqueo	m a n i k e o
maniqueísmo	m a n i k e i z m o
maniquí	m a n i k i
manir	m a n i ɾ
manita	m a n i t̪ a
manito	m a n i t̪ o
manitobana	m a n i t̪ o β̞ a n a
manitobano	m a n i t̪ o β̞ a n o
manivela	m a n i β̞ e l a
maniático	m a n j a t̪ i k o
manjar	m ã ŋ x a ɾ
mano	m a n o
manojito	m a n o x i t̪ o
manojo	m a n o x o
manometría	m a n o m e t̪ ɾ i a
manométrica	m a n o m e t̪ ɾ i k a
manométricas	m a n o m e t̪ ɾ i k a s
manométrico	m a n o m e t̪ ɾ i k o
manométricos	m a n o m e t̪ ɾ i k o s
manopla	m a n o p l a
manoseada	m a n o s e a ð̞ a
manoseadas	m a n o s e a ð̞ a s
manoseado	m a n o s e a ð̞ o
manoseados	m a n o s e a ð̞ o s
manosear	m a n o s e a ɾ
manoseo	m a n o s e o
manota	m a n o t̪ a
manotazo	m a n o t̪ a θ o
manotazos	m a n o t̪ a θ o s
manoteada	m a n o t̪ e a ð̞ a
manoteadas	m a n o t̪ e a ð̞ a s
manoteado	m a n o t̪ e a ð̞ o
manoteados	m a n o t̪ e a ð̞ o s
manotear	m a n o t̪ e a ɾ
manotón	m a n o t̪ õ n
manresana	m ã n r e s a n a
manresanas	m ã n r e s a n a s
manresano	m ã n r e s a n o
manresanos	m ã n r e s a n o s
mansedumbre	m ã n s e ð̞ ũ m b ɾ e
mansega	m ã n s e ɣ̞ a
mansión	m ã n s j õ n
manso	m ã n s o
manta	m ã n̪ t̪ a
mantarraya	m ã n̪ t̪ a r a ʝ a
manteada	m ã n̪ t̪ e a ð̞ a
manteadas	m ã n̪ t̪ e a ð̞ a s
manteado	m ã n̪ t̪ e a ð̞ o
manteados	m ã n̪ t̪ e a ð̞ o s
manteamiento	m ã n̪ t̪ e a m j ẽ n̪ t̪ o
mantear	m ã n̪ t̪ e a ɾ
manteca	m ã n̪ t̪ e k a
mantecado	m ã n̪ t̪ e k a ð̞ o
mantel	m ã n̪ t̪ e l
mantelada	m ã n̪ t̪ e l a ð̞ a
mantelado	m ã n̪ t̪ e l a ð̞ o
mantelería	m ã n̪ t̪ e l e ɾ i a
manteleta	m ã n̪ t̪ e l e t̪ a
mantelete	m ã n̪ t̪ e l e t̪ e
mantelito	m ã n̪ t̪ e l i t̪ o
mantenedor	m ã n̪ t̪ e n e ð̞ o ɾ
mantener	m ã n̪ t̪ e n e ɾ
mantengo	m ã n̪ t̪ ẽ ŋ ɡ o
mantenibilidad	m ã n̪ t̪ e n i β̞ i l i ð̞ a ð̞
mantenida	m ã n̪ t̪ e n i ð̞ a
mantenidas	m ã n̪ t̪ e n i ð̞ a s
mantenido	m ã n̪ t̪ e n i ð̞ o
mantenidos	m ã n̪ t̪ e n i ð̞ o s
mantenimiento	m ã n̪ t̪ e n i m j ẽ n̪ t̪ o
mantense	m ã n̪ t̪ ẽ n s e
mantequera	m ã n̪ t̪ e k e ɾ a
mantequeras	m ã n̪ t̪ e k e ɾ a s
mantequilla	m ã n̪ t̪ e k i ʝ a
mantequilluda	m ã n̪ t̪ e k i ʝ u ð̞ a
mantequilludas	m ã n̪ t̪ e k i ʝ u ð̞ a s
mantequilludo	m ã n̪ t̪ e k i ʝ u ð̞ o
mantequilludos	m ã n̪ t̪ e k i ʝ u ð̞ o s
mantera	m ã n̪ t̪ e ɾ a
mantero	m ã n̪ t̪ e ɾ o
mantilla	m ã n̪ t̪ i ʝ a
mantillo	m ã n̪ t̪ i ʝ o
mantis	m ã n̪ t̪ i s
mantisa	m ã n̪ t̪ i s a
mantita	m ã n̪ t̪ i t̪ a
manto	m ã n̪ t̪ o
mantra	m ã n̪ t̪ ɾ a
mantuano	m ã n̪ t̪ w a n o
mantícora	m ã n̪ t̪ i k o ɾ a
mantón	m ã n̪ t̪ õ n
manual	m a n w a l
manualidad	m a n w a l i ð̞ a ð̞
manubrio	m a n u β̞ ɾ j o
manudo	m a n u ð̞ o
manufacturada	m a n u f a ɣ̞ t̪ u ɾ a ð̞ a
manufacturadas	m a n u f a ɣ̞ t̪ u ɾ a ð̞ a s
manufacturado	m a n u f a ɣ̞ t̪ u ɾ a ð̞ o
manufacturador	m a n u f a ɣ̞ t̪ u ɾ a ð̞ o ɾ
manufacturadora	m a n u f a ɣ̞ t̪ u ɾ a ð̞ o ɾ a
manufacturados	m a n u f a ɣ̞ t̪ u ɾ a ð̞ o s
manufacturar	m a n u f a ɣ̞ t̪ u ɾ a ɾ
manumisión	m a n u m i s j õ n
manumiso	m a n u m i s o
manumitir	m a n u m i t̪ i ɾ
manuscribir	m a n u s k ɾ i β̞ i ɾ
manuscrito	m a n u s k ɾ i t̪ o
manutención	m a n u t̪ ẽ n̟ θ j õ n
manutener	m a n u t̪ e n e ɾ
manutengo	m a n u t̪ ẽ ŋ ɡ o
manutenida	m a n u t̪ e n i ð̞ a
manutenidas	m a n u t̪ e n i ð̞ a s
manutenido	m a n u t̪ e n i ð̞ o
manutenidos	m a n u t̪ e n i ð̞ o s
manzana	m ã n̟ θ a n a
manzanas	m ã n̟ θ a n a s
manzanilla	m ã n̟ θ a n i ʝ a
manzanillo	m ã n̟ θ a n i ʝ o
manzanita	m ã n̟ θ a n i t̪ a
manzano	m ã n̟ θ a n o
maná	m a n a
manés	m a n e s
maní	m a n i
manía	m a n i a
maníaco	m a n i a k o
manípulo	m a n i p u l o
manómetro	m a n o m e t̪ ɾ o
manómetros	m a n o m e t̪ ɾ o s
manú	m a n u
mapa	m a p a
mapache	m a p a t͡ʃ e
mapamundi	m a p a m ũ n̪ d̪ i
mapeada	m a p e a ð̞ a
mapeadas	m a p e a ð̞ a s
mapeado	m a p e a ð̞ o
mapeados	m a p e a ð̞ o s
mapear	m a p e a ɾ
mapeo	m a p e o
mapochino	m a p o t͡ʃ i n o
mapoteca	m a p o t̪ e k a
mapuche	m a p u t͡ʃ e
mapuchizar	m a p u t͡ʃ i θ a ɾ
mapudungun	m a p u ð̞ ũ ŋ ɡ ũ n
mapudungún	m a p u ð̞ ũ ŋ ɡ ũ n
maqueta	m a k e t̪ a
maquetación	m a k e t̪ a θ j õ n
maquetar	m a k e t̪ a ɾ
maqueto	m a k e t̪ o
maqui	m a k i
maquiavélico	m a k j a β̞ e l i k o
maquila	m a k i l a
maquiladora	m a k i l a ð̞ o ɾ a
maquilar	m a k i l a ɾ
maquilishuat	m a k i l i s w a t̪
maquillada	m a k i ʝ a ð̞ a
maquilladas	m a k i ʝ a ð̞ a s
maquillado	m a k i ʝ a ð̞ o
maquilladora	m a k i ʝ a ð̞ o ɾ a
maquillados	m a k i ʝ a ð̞ o s
maquillaje	m a k i ʝ a x e
maquillar	m a k i ʝ a ɾ
maquinación	m a k i n a θ j õ n
maquinada	m a k i n a ð̞ a
maquinadas	m a k i n a ð̞ a s
maquinado	m a k i n a ð̞ o
maquinador	m a k i n a ð̞ o ɾ
maquinados	m a k i n a ð̞ o s
maquinal	m a k i n a l
maquinamos	m a k i n a m o s
maquinando	m a k i n ã n̪ d̪ o
maquinar	m a k i n a ɾ
maquinaria	m a k i n a ɾ j a
maquinilla	m a k i n i ʝ a
maquinista	m a k i n i s t̪ a
maquinistas	m a k i n i s t̪ a s
maquinita	m a k i n i t̪ a
mar	m a ɾ
mara	m a ɾ a
marabunta	m a ɾ a β̞ ũ n̪ t̪ a
marabú	m a ɾ a β̞ u
maraca	m a ɾ a k a
maracayá	m a ɾ a k a ʝ a
maracucha	m a ɾ a k u t͡ʃ a
maracuchas	m a ɾ a k u t͡ʃ a s
maracucho	m a ɾ a k u t͡ʃ o
maracuchos	m a ɾ a k u t͡ʃ o s
maracuyá	m a ɾ a k u ʝ a
maranta	m a ɾ ã n̪ t̪ a
marasmo	m a ɾ a z m o
marasmos	m a ɾ a z m o s
maratonear	m a ɾ a t̪ o n e a ɾ
maratoniana	m a ɾ a t̪ o n j a n a
maratonianas	m a ɾ a t̪ o n j a n a s
maratoniano	m a ɾ a t̪ o n j a n o
maratonianos	m a ɾ a t̪ o n j a n o s
maratón	m a ɾ a t̪ õ n
maratónico	m a ɾ a t̪ o n i k o
maravedí	m a ɾ a β̞ e ð̞ i
maravilla	m a ɾ a β̞ i ʝ a
maravillada	m a ɾ a β̞ i ʝ a ð̞ a
maravilladas	m a ɾ a β̞ i ʝ a ð̞ a s
maravillado	m a ɾ a β̞ i ʝ a ð̞ o
maravillados	m a ɾ a β̞ i ʝ a ð̞ o s
maravillar	m a ɾ a β̞ i ʝ a ɾ
maravillas	m a ɾ a β̞ i ʝ a s
maravillosamente	m a ɾ a β̞ i ʝ o s a m ẽ n̪ t̪ e
maravilloso	m a ɾ a β̞ i ʝ o s o
maraña	m a ɾ a ɲ a
marañas	m a ɾ a ɲ a s
marañón	m a ɾ a ɲ õ n
marbellero	m a ɾ β̞ e ʝ e ɾ o
marbete	m a ɾ β̞ e t̪ e
marca	m a ɾ k a
marcada	m a ɾ k a ð̞ a
marcadas	m a ɾ k a ð̞ a s
marcado	m a ɾ k a ð̞ o
marcador	m a ɾ k a ð̞ o ɾ
marcados	m a ɾ k a ð̞ o s
marcadísimo	m a ɾ k a ð̞ i s i m o
marcaje	m a ɾ k a x e
marcamos	m a ɾ k a m o s
marcando	m a ɾ k ã n̪ d̪ o
marcante	m a ɾ k ã n̪ t̪ e
marcapaso	m a ɾ k a p a s o
marcapasos	m a ɾ k a p a s o s
marcapáginas	m a ɾ k a p a x i n a s
marcar	m a ɾ k a ɾ
marcara	m a ɾ k a ɾ a
marcaras	m a ɾ k a ɾ a s
marcareis	m a ɾ k a ɾ e i̯ s
marcaremos	m a ɾ k a ɾ e m o s
marcares	m a ɾ k a ɾ e s
marcará	m a ɾ k a ɾ a
marcarás	m a ɾ k a ɾ a s
marcaríamos	m a ɾ k a ɾ i a m o s
marcas	m a ɾ k a s
marcasita	m a ɾ k a s i t̪ a
marcaste	m a ɾ k a s t̪ e
marcescente	m a ɾ θ e s θ ẽ n̪ t̪ e
marcha	m a ɾ t͡ʃ a
marchada	m a ɾ t͡ʃ a ð̞ a
marchadas	m a ɾ t͡ʃ a ð̞ a s
marchado	m a ɾ t͡ʃ a ð̞ o
marchador	m a ɾ t͡ʃ a ð̞ o ɾ
marchadora	m a ɾ t͡ʃ a ð̞ o ɾ a
marchados	m a ɾ t͡ʃ a ð̞ o s
marchamos	m a ɾ t͡ʃ a m o s
marchando	m a ɾ t͡ʃ ã n̪ d̪ o
marchar	m a ɾ t͡ʃ a ɾ
marchas	m a ɾ t͡ʃ a s
marche	m a ɾ t͡ʃ e
marchita	m a ɾ t͡ʃ i t̪ a
marchitada	m a ɾ t͡ʃ i t̪ a ð̞ a
marchitadas	m a ɾ t͡ʃ i t̪ a ð̞ a s
marchitado	m a ɾ t͡ʃ i t̪ a ð̞ o
marchitados	m a ɾ t͡ʃ i t̪ a ð̞ o s
marchitamiento	m a ɾ t͡ʃ i t̪ a m j ẽ n̪ t̪ o
marchitar	m a ɾ t͡ʃ i t̪ a ɾ
marchitas	m a ɾ t͡ʃ i t̪ a s
marchitez	m a ɾ t͡ʃ i t̪ e θ
marchito	m a ɾ t͡ʃ i t̪ o
marchosa	m a ɾ t͡ʃ o s a
marché	m a ɾ t͡ʃ e
marcial	m a ɾ θ j a l
marcialidad	m a ɾ θ j a l i ð̞ a ð̞
marciana	m a ɾ θ j a n a
marcianas	m a ɾ θ j a n a s
marcianidad	m a ɾ θ j a n i ð̞ a ð̞
marcianito	m a ɾ θ j a n i t̪ o
marciano	m a ɾ θ j a n o
marcianos	m a ɾ θ j a n o s
marco	m a ɾ k o
marcáramos	m a ɾ k a ɾ a m o s
marcás	m a ɾ k a s
marea	m a ɾ e a
mareada	m a ɾ e a ð̞ a
mareadas	m a ɾ e a ð̞ a s
mareado	m a ɾ e a ð̞ o
mareador	m a ɾ e a ð̞ o ɾ
mareadora	m a ɾ e a ð̞ o ɾ a
mareadoras	m a ɾ e a ð̞ o ɾ a s
mareadores	m a ɾ e a ð̞ o ɾ e s
mareados	m a ɾ e a ð̞ o s
mareante	m a ɾ e ã n̪ t̪ e
marear	m a ɾ e a ɾ
marejada	m a ɾ e x a ð̞ a
marejadilla	m a ɾ e x a ð̞ i ʝ a
maremoto	m a ɾ e m o t̪ o
maremágnum	m a ɾ e m a ɣ̞ n ũ m
marengo	m a ɾ ẽ ŋ ɡ o
mareo	m a ɾ e o
marfil	m a ɾ f i l
marfileña	m a ɾ f i l e ɲ a
marfileñas	m a ɾ f i l e ɲ a s
marfileño	m a ɾ f i l e ɲ o
marfileños	m a ɾ f i l e ɲ o s
marga	m a ɾ ɣ̞ a
margajita	m a ɾ ɣ̞ a x i t̪ a
margarina	m a ɾ ɣ̞ a ɾ i n a
margarita	m a ɾ ɣ̞ a ɾ i t̪ a
marginación	m a ɾ x i n a θ j õ n
marginada	m a ɾ x i n a ð̞ a
marginadas	m a ɾ x i n a ð̞ a s
marginado	m a ɾ x i n a ð̞ o
marginados	m a ɾ x i n a ð̞ o s
marginal	m a ɾ x i n a l
marginalidad	m a ɾ x i n a l i ð̞ a ð̞
marginalismo	m a ɾ x i n a l i z m o
marginalización	m a ɾ x i n a l i θ a θ j õ n
marginalizar	m a ɾ x i n a l i θ a ɾ
marginar	m a ɾ x i n a ɾ
margocaliza	m a ɾ ɣ̞ o k a l i θ a
margosa	m a ɾ ɣ̞ o s a
margosas	m a ɾ ɣ̞ o s a s
margoso	m a ɾ ɣ̞ o s o
margosos	m a ɾ ɣ̞ o s o s
margrave	m a ɾ ɣ̞ ɾ a β̞ e
margraves	m a ɾ ɣ̞ ɾ a β̞ e s
mari	m a ɾ i
mariachi	m a ɾ j a t͡ʃ i
marianista	m a ɾ j a n i s t̪ a
marica	m a ɾ i k a
maricas	m a ɾ i k a s
maricona	m a ɾ i k o n a
mariconazo	m a ɾ i k o n a θ o
mariconcito	m a ɾ i k õ n̟ θ i t̪ o
mariconcitos	m a ɾ i k õ n̟ θ i t̪ o s
mariconería	m a ɾ i k o n e ɾ i a
maricón	m a ɾ i k õ n
maridada	m a ɾ i ð̞ a ð̞ a
maridadas	m a ɾ i ð̞ a ð̞ a s
maridado	m a ɾ i ð̞ a ð̞ o
maridados	m a ɾ i ð̞ a ð̞ o s
maridar	m a ɾ i ð̞ a ɾ
maridillo	m a ɾ i ð̞ i ʝ o
maridito	m a ɾ i ð̞ i t̪ o
marido	m a ɾ i ð̞ o
maridó	m a ɾ i ð̞ o
mariguana	m a ɾ i ɣ̞ w a n a
mariguanas	m a ɾ i ɣ̞ w a n a s
marihuana	m a ɾ i w a n a
marihuanas	m a ɾ i w a n a s
marihuanera	m a ɾ i w a n e ɾ a
marihuaneras	m a ɾ i w a n e ɾ a s
marihuanero	m a ɾ i w a n e ɾ o
marihuaneros	m a ɾ i w a n e ɾ o s
marihuano	m a ɾ i w a n o
marihuanos	m a ɾ i w a n o s
marilandés	m a ɾ i l ã n̪ d̪ e s
mariliendre	m a ɾ i l j ẽ n̪ d̪ ɾ e
marimacho	m a ɾ i m a t͡ʃ o
marimba	m a ɾ ĩ m b a
marimbera	m a ɾ ĩ m b e ɾ a
marimberas	m a ɾ ĩ m b e ɾ a s
marimbero	m a ɾ ĩ m b e ɾ o
marimorena	m a ɾ i m o ɾ e n a
marina	m a ɾ i n a
marinada	m a ɾ i n a ð̞ a
marinadas	m a ɾ i n a ð̞ a s
marinado	m a ɾ i n a ð̞ o
marinados	m a ɾ i n a ð̞ o s
marinamos	m a ɾ i n a m o s
marinando	m a ɾ i n ã n̪ d̪ o
marinar	m a ɾ i n a ɾ
marinas	m a ɾ i n a s
marinduqueño	m a ɾ ĩ n̪ d̪ u k e ɲ o
marinera	m a ɾ i n e ɾ a
marinerillo	m a ɾ i n e ɾ i ʝ o
marinerito	m a ɾ i n e ɾ i t̪ o
marinero	m a ɾ i n e ɾ o
marinería	m a ɾ i n e ɾ i a
marinista	m a ɾ i n i s t̪ a
marino	m a ɾ i n o
marioneta	m a ɾ j o n e t̪ a
mariposa	m a ɾ i p o s a
mariposear	m a ɾ i p o s e a ɾ
mariposilla	m a ɾ i p o s i ʝ a
mariquita	m a ɾ i k i t̪ a
mariscada	m a ɾ i s k a ð̞ a
mariscadora	m a ɾ i s k a ð̞ o ɾ a
mariscal	m a ɾ i s k a l
mariscar	m a ɾ i s k a ɾ
marisco	m a ɾ i s k o
mariscos	m a ɾ i s k o s
marisma	m a ɾ i z m a
marisquera	m a ɾ i s k e ɾ a
marisquero	m a ɾ i s k e ɾ o
marisquería	m a ɾ i s k e ɾ i a
marista	m a ɾ i s t̪ a
marital	m a ɾ i t̪ a l
marjal	m a ɾ x a l
marketing	m a ɾ k e t̪ ĩ n
marlo	m a ɾ l o
marmita	m a ɾ m i t̪ a
marmitón	m a ɾ m i t̪ õ n
marmolear	m a ɾ m o l e a ɾ
marmolero	m a ɾ m o l e ɾ o
marmolería	m a ɾ m o l e ɾ i a
marmolista	m a ɾ m o l i s t̪ a
marmota	m a ɾ m o t̪ a
marmotita	m a ɾ m o t̪ i t̪ a
marmulano	m a ɾ m u l a n o
marmóreo	m a ɾ m o ɾ e o
marojo	m a ɾ o x o
maroma	m a ɾ o m a
maromero	m a ɾ o m e ɾ o
maronita	m a ɾ o n i t̪ a
marque	m a ɾ k e
marquemos	m a ɾ k e m o s
marques	m a ɾ k e s
marquesa	m a ɾ k e s a
marquesito	m a ɾ k e s i t̪ o
marqueta	m a ɾ k e t̪ a
marquita	m a ɾ k i t̪ a
marquito	m a ɾ k i t̪ o
marqué	m a ɾ k e
marqués	m a ɾ k e s
marrada	m a r a ð̞ a
marradas	m a r a ð̞ a s
marrado	m a r a ð̞ o
marrados	m a r a ð̞ o s
marrakechí	m a r a k e t͡ʃ i
marrana	m a r a n a
marranas	m a r a n a s
marranito	m a r a n i t̪ o
marrano	m a r a n o
marranos	m a r a n o s
marraqueta	m a r a k e t̪ a
marrar	m a r a ɾ
marrazo	m a r a θ o
marrazos	m a r a θ o s
marro	m a r o
marrocas	m a r o k a s
marronazo	m a r o n a θ o
marronazos	m a r o n a θ o s
marronáceo	m a r o n a θ e o
marroquí	m a r o k i
marrubio	m a r u β̞ j o
marrullero	m a r u ʝ e ɾ o
marrullería	m a r u ʝ e ɾ i a
marró	m a r o
marrón	m a r õ n
marsala	m a ɾ s a l a
marshmallow	m a ɾ ʃ m a l o
marsopa	m a ɾ s o p a
marsupial	m a ɾ s u p j a l
marsupio	m a ɾ s u p j o
marta	m a ɾ t̪ a
martas	m a ɾ t̪ a s
martes	m a ɾ t̪ e s
marteño	m a ɾ t̪ e ɲ o
martillada	m a ɾ t̪ i ʝ a ð̞ a
martilladas	m a ɾ t̪ i ʝ a ð̞ a s
martillado	m a ɾ t̪ i ʝ a ð̞ o
martillados	m a ɾ t̪ i ʝ a ð̞ o s
martillar	m a ɾ t̪ i ʝ a ɾ
martillazo	m a ɾ t̪ i ʝ a θ o
martillazos	m a ɾ t̪ i ʝ a θ o s
martilleante	m a ɾ t̪ i ʝ e ã n̪ t̪ e
martillear	m a ɾ t̪ i ʝ e a ɾ
martilleo	m a ɾ t̪ i ʝ e o
martillera	m a ɾ t̪ i ʝ e ɾ a
martillero	m a ɾ t̪ i ʝ e ɾ o
martillo	m a ɾ t̪ i ʝ o
martinelli	m a ɾ t̪ i n e l i
martinete	m a ɾ t̪ i n e t̪ e
martini	m a ɾ t̪ i n i
martiniega	m a ɾ t̪ i n j e ɣ̞ a
martiniquesa	m a ɾ t̪ i n i k e s a
martirial	m a ɾ t̪ i ɾ j a l
martirio	m a ɾ t̪ i ɾ j o
martirizada	m a ɾ t̪ i ɾ i θ a ð̞ a
martirizadas	m a ɾ t̪ i ɾ i θ a ð̞ a s
martirizado	m a ɾ t̪ i ɾ i θ a ð̞ o
martirizados	m a ɾ t̪ i ɾ i θ a ð̞ o s
martirizamos	m a ɾ t̪ i ɾ i θ a m o s
martirizando	m a ɾ t̪ i ɾ i θ ã n̪ d̪ o
