AB	ɑː b eː
filosofie	f ɪ l ɔ s ɔ ² f iː ɛ
filosofie	f ɪ l ʊ s ʊ ² f iː ɛ
filosofisk	f ɪ l ʊ s oː f ɪ s k
filt	f ɪ l t
fimpa	² f ɪ m p a
fin	f iː n
final	f ɪ n ɑː l
finger	f ɪ ŋː ɛ r
fingers	f ɪ ŋ ɛ r s
finlandssvenska	² f ɪ nː l a n d s v ɛ n s k a
finna	f ɪ nː a
finnjävel	² f ɪ n j ɛː v ɛ l
finska	² f ɪ n s k a
firre	² f ɪ r ɛ
fis	f iː s
fisk	f ɪ s k
fiske	² f ɪ s k ɛ
fiskebåt	² f ɪ s k ɛ b oː t
fisken	f ɪ sː k ɛ n
fiskens	f ɪ sː k ɛ n s
fisktärna	f ɪ s k t ɜ r n a
fiss	f ɪ sː
fission	f ɪ ɧ uː n
fitta	f ɪ tː a
fittig	f ɪ tː ɪ ɡ
fjantig	² f j a n t ɪ
fjantig	² f j a n t ɪ ɡ
fjol	f j uː l
fjompig	f j ɔ mː p ɪ
fjompig	f j ɔ mː p ɪ ɡ
fjor	f j uː r
fjord	f j oː r d
fjord	f j uː r d
fjortis	f j oː ʈ ɪ s
fjortis	f j uː ʈ ɪ s
fjorton	f j uː ʈ ɔ n
fjorton	f j ʊ ʈ ɔ n
fjortonde	f j uː ʈ ɔ n d ɛ
fjällabb	² f j ɛ l l a b
fjällgås	f j ɛ l ɡ oː s
fjällpipare	f j ɛ l p iː p a ɾ ɛ
fjällripa	f j ɛ l ɾ iː p a
fjälluggla	f j ɛ l ɵ ɡ l a
fjärd	f j æː ɖ
fjärde	f j ɛː r d ɛ
fjäril	² f j ɛː r ɪ l
fjärt	f j æ ʈ
flarra	² f l a r a
flata	f l ɑː t a
fleece	f l iː s
fler	f l eː r
flicka	f l ɪ kː a
flickan	f l ɪ kː a n
flickor	f l ɪ k ʊ r
flimmer	f l ɪ mː e r
flod	f l uː d
flodhäst	f l uː d h ɛ sː t
flodvåg	f l uː d v oː ɡ
flora	f l uː r a
florsocker	f l uː r s ɔ k ɛ r
flos	f l uː s
flottningsmärke	² f l ɔ tː n ɪ ŋ s m ɛ r k ɛ
fluga	² f l ʉː ɡ a
flum	f l ɵ m
flummig	² f l ɵ m ɪ ɡ
fluor	f l oː r
flyga	f l yː ɡ a
flygbiljett	f l yː ɡ b i l j æ t
flygskam	f l yː ɡ s k a m
flyktig	f l ʏ k t ɪ ɡ
flyta	² f l yː t a
flytta	² f l ʏ tː a
fläckdrillsnäppa	f l ɛ k d r ɪ l s n ɛ p a
flå	f l oː
flår	f l oː r
flöte	² f l øː t ɛ
fnas	f n ɑː s
focka	f ɔ k a
fokus	f uː k ɵ s
fokusera	f ʊ k ɵ s eː r a
folk	f ɔ lː k
folkhögskola	² f ɔ lː k h øː ɡ s k uː l a
folkmusik	² f ɔ l k m ɵ s iː k
folköl	² f ɔ l k øː l
fondue	f ɔ n d yː
fonetik	f ɔ n e t iː k
fonolog	f ɔ n ɔ l oː ɡ
fonologi	f ɔ n ɔ l ʊ ɡ iː
fora	f uː r a
formation	f ɔ r m a ɧ uː n
fors	f ɔ ʂː
forska	² f ɔ ʂː k a
forstmästare	f ɔ r s t m ɛ s t ɑ r e
forstmästare	² f ɔ r s t m ɛ s t a r ɛ
forstväsen	f ɔ r s t v eː s e n
forstväsen	² f ɔ r s t v ɛː s ɛ n
fort	f ɔ ʈ
fort	f ʊ ʈ
fortsätta	² f ʊ r t s ɛ tː a
fosfor	f ɔ s f ɔ r
foster	f ʊ s t ɛ r
fosterland	f ʊ s t æ r l a n d
fot	f uː t
fotboll	² f uː t b ɔ l
fotnot	f uː t n uː t
foula	f a ʊ l a
foxtrot	f ɔ k s t r ɔ t
fragment	f r a ɡ m ɛ n t
frakt	f r a k t
fram	f r a m
framför	² f r a m f œ r
framför	² f r a m f œː r
framgent	f r a m j eː n t
framtid	f r a m t iː d
fransk	f r a n s k
franska	² f r a n s k a
fred	f r eː d
fredag	f r eː d a
fredag	f r eː d ɑː ɡ
fredagsmys	f r eː d a s m yː s
fredlös	f r eː d l øː s
freestyle	f ɹ iː s t a j l
fresta	f r ɛ s t a
fri	f r iː
frid	f r iː d
friggebod	² f r ɪ ɡ ɛ b uː d
frihet	f r iː h eː t
frisbee	f r ɪ sː b ɪ
fritis	¹ f r iː t ɪ s
from	f r ʊ m
fru	f r ʉː
frugge	² f r ɵ ɡ ɛ
frukt	f r ɵ k t
fruktkräm	f r ɵ k t k r ɛː m
frun	f r ʉː n
frunch	f r ɵ n ɧ
frys	f r yː s
främlingsfientlig	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ
främlingsfientlig	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ
främlingsfientlighet	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ h eː t
främlingsfientlighet	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ h eː t
främmat	² f r ɛ m a t
frände	f r ɛ n d ɛ
fråga	f r oː ɡ a
från	f r oː n
från	f r ɔ n
frånvaro	² f r oː n v ɑː r ʊ
frö	f r øː
fröjd	f r œ j d
fröken	f r øː k ɛ n
frös	f r øː s
fubbick	f ɵ b ɪ k
ful	f ʉː l
full	f ɵ l
fungera	f ɵ ŋ ɡ eː r a
funka	f ɵ ŋ k a
funktion	f ɵ ŋ k ɧ uː n
funktionell	f ɵ ŋ k ɧ ʊ n ɛ l
fur	f ʉː r
furnera	f ɵ r n eː r a
fusion	f ɵ ɧ uː n
fusk	f ɵ s k
futurum	f ɵ t ʉː r ɵ m
fy	f yː
fylla	² f ʏ l a
fynd	f ʏ n d
fyr	f yː r
fyra	f yː r a
fyrmänning	² f yː r m ɛ n ɪ ŋ
fyrtal	f yː r t ɑː l
fyrtio	² f œ r t ɪ
fyrtio	² f œ r t ɪ ʊ
fyrverkeri	f ʏ r v ɛ r k ɛ r iː
fä	f ɛː
fäbod	² f ɛː b uː d
fälad	² f ɛː l a d
fälad	² f ɛː l ɑː d
fälla	² f ɛ lː a
fältsångare	f ɛ l t s ɔ ŋ a r ɛ
fän	f ɛː n
fänkål	f ɛː n k oː l
fänrik	f ɛ n r ɪ k
färg	f ɛ r j
färsk	f ɛ r s k
färskvatten	f ɛ r s k v a t ɛ n
fäst	f ɛ s t
få	f oː
fågel	f oː ɡ ə l
fågel	f oː ɡ ɛ l
fågelsång	f oː ɡ ɛ l s ɔ ŋ
fålla	² f ɔ lː a
får	f oː r
fåraherde	² f oː r a h eː r d ɛ
fårakläder	² f oː r a k l ɛː d ɛ r
fåtal	² f oː t ɑː l
fåtölj	f ɔ t œ l j
fåtölj	f ʊ t œ l j
föda	f øː d a
född	f œ d
födelsedag	f øː d ɛ l s ɛ d ɑː ɡ
födelsedag	f øː l s ɛ d ɑː
födelsedag	f øː l s ɛ d ɑː ɡ
följdriktig	f œ l j d r ɪ k t ɪ ɡ
fönster	¹ f œ n s t ɛ r
fönstertittarsjuka	² f œ n s t ɛ r t ɪ t a r ɧ ʉ̟ː k a
för	f øː r
förband	f œ r b a n d
förband	² f øː r b a n d
förbruka	f œ r b r ʉː k a
förbrytare	f œ b r yː t a r ɛ
förbrytare	f œ r b r yː t a r ɛ
förbud	f œ r b ʉː d
förbundskapten	f œ r ² b ɵ n d s k a p t eː n
förbundskapten	f œ r ² b ɵ n s k a p t eː n
förbutik	f øː r b ʉː t iː k
fördriva	f œ r d r iː v a
fördöma	f œ r d ɵ mː a
fördöma	f ɵ r d œ mː a
före	² f øː r ɛ
förebrå	f øː r ɛ b r oː
föregripa	² f œː r ɛ ² ɡ r iː p a
föregångare	f øː r ɛ ɡ ɔ ŋ a r ɛ
förena	f œ r eː n a
förening	f œ r eː n ɪ ŋ
företagsamhet	² f œ r ɛ t ɑː ɡ ² s a m h eː t
förete	f øː r ɛ t eː
förgänglig	f œ r j ɛ ŋ l ɪ
förgänglig	f œ r j ɛ ŋ l ɪ ɡ
förgätmigej	f øː r j ɛː t m ɛ j ɛ j
förgäves	f œ r j ɛː v ɛ s
förhatlig	f œ r h a t l ɪ ɡ
förhoppning	f œ r h ɔ pː n ɪ ŋ
förlossa	² f œ r l ɔ sː a
förlåta	f œ r l oː t a
förnuftig	f œ r n ɵ f t ɪ ɡ
förrgår	f ø r ɡ o r
förrän	f œ r ɛ n
försiktighet	f øː r s ɪ k t ɪ h eː t
försiktighet	f øː r s ɪ k t ɪ ɡ h eː t
förskolelärare	f øː r s k uː l ɛ l ɛː r a r ɛ
förskollärare	f øː r s k uː l ɛ l ɛː r a r ɛ
förskräcklig	f œ r s k r ɛ k l ɪ ɡ
förstärkningsinlärning	² f œ ʂ ʈ æ r k n ɪ ŋ s ɪ n l æː ɳ ɪ ŋ
förstärkningsvapen	f œ ʂ t ɛ r k n ɪ ŋ s v ɑː p ɛ n
förstå	f œ r s t oː
förstöra	f œ ʂ ʈ œː r a
försumma	f œ r s ɵ m a
försvara	f œ r s v ɑː r a
försvarare	f øː r s v ɑː r a r ɛ
försvarstal	f œ r ² s v ɑː r s t ɑː l
försöka	f œ r s øː k a
förtjusande	f œ r t j ʉː s a n d ɛ
förtjänst	f œ r ɕ ɛ n s t
förträfflig	f œ r ʈ r ɛ f l ɪ
förträfflig	f œ r ʈ r ɛ f l ɪ ɡ
förträfflig	f œ ʈ r ɛ f l ɪ
förträfflig	f œ ʈ r ɛ f l ɪ ɡ
förut	f øː r ʉː t
förut	f œ r ʉː t
förutan	f ø r ² ʉː t a n
förverka	f œ r v ɛː r k a
förvirring	f øː r v ɪ r ɪ ŋ
förvärra	f œ̞ r v æ r a
förvärras	f œ̞ r v æ r a s
förvånad	² f œ r v oː n a d
förälder	f œ r ¹ ɛ l d æ r
förälskad	f œ r ɛ l s k a d
förälskelse	f œ r ɛ l s k ɛ l s ɛ
g	j
g	ɡ
g	ɡ eː
g	ɧ
gadd	ɡ a d
gaffel	ɡ a fː ɛ l
gala	² ɡ ɑː l a
galax	ɡ a l a k s
gale	ɡ aː l ɛ
galen	² ɡ ɑː l ɛ n
galge	² ɡ a l j ɛ
galär	ɡ a l æː r
galären	ɡ a l æː r ɛ n
galärens	ɡ a l æː r ɛ n s
galärer	ɡ a l æː r ɛ r
galärerna	ɡ a l æː r ɛ r n a
galärernas	ɡ a l æː r ɛ r n a s
galärers	ɡ a l æː r ɛ r s
galärs	ɡ a l æː r s
gammal	² ɡ a mː a l
gamme	² ɡ a m ɛ
gammeldans	² ɡ a m ɛ l d a n s
gammelgädda	² ɡ a m ɛ l j ɛ d a
gammelmedia	² ɡ a m ɛ l m eː d ɪ a
garage	ɡ a r ɑː ɧ
garage	ɧ
garanti	ɡ a r a n t ɪ
gas	ɡ ɑː s
gata	ɡ ɑː t a
gav	ɡ ɑː v
ge	j eː
gebit	j ɛ b iː t
gebit	ɡ ɛ b iː t
gedigen	j ɛ d iː ɡ ɛ n
gelike	j ɛ l iː k ɛ
gelé	ɧ ɛ l eː
gem	j eː m
gem	ɡ eː m
gemen	j ɛ m eː n
gen	j eː n
general	j ɛ n r ɑː l
general	j ɛ n ɛ r ɑː l
generös	ɧ ɛ n ɛ r øː s
genetik	j ɛ n ɛ t iː k
geni	ɧ ɛ̝ n iː
genitiv	j eː n ɪ t iː v
genom	j eː n oː m
genom	j eː n ɔ m
genomföra	j ɛː n ɔ m f øː r a
genomsöka	² j ɛ n ɔ m ² s øː k a
genomsökning	² j ɛ n ɔ m ² s œ k n ɪ ŋ
genre	ɧ a ŋ ɛ r
genren	ɧ a ŋ ɛ r n
genrep	² j eː n r eː p
genrer	ɧ a ŋ r a r
genrerna	ɧ a ŋ r a r n a
gentil	ɧ a ŋ t iː l
geopolitisk	j eː uː p ʊ l ɪː t ɪ s k
ger	j eː r
german	j ɛ r m ɑː n
germanium	j ɛ r m ɑː n ɪ ɵ m
gess	ɡ ɛ sː
gest	ɧ ɛ s t
get	j eː t
geting	j eː t ɪ ŋ
getruta	j eː t r ʉː t a
geväder	j ɛ v ɛː d e r
gevär	j ɛ v ɛː r
gick	j ɪ k
giffel	j ɪ f ɛ l
giffel	ɡ ɪ f ɛ l
gifter	² j ɪ f t ɛ r
gifter	¹ j ɪ f t ɛ r
giftig	² j ɪ f t ɪ
giftig	² j ɪ f t ɪ ɡ
giga	j iː ɡ a
gin	j ɪ n
gipsplatta	j ɪ p s p l a t a
gipsskiva	j ɪ p s ɧ iː v a
gir	j iː r
giraff	ɧ ɪ r a f
giro	ʝ iː r ʊ
giss	ɡ ɪ sː
gita	² j iː t a
gitarr	j ɪ t a r
gitta	² j ɪ t a
gitta	² ɡ ɪ t a
giva	j iː v a
givande	j îː v a n d ɛ
gjord	j uː r d
gjord	j ʊ ɖː
gjorde	j ʊ ɖ ɛ
gjort	j ʊ r t
gjuta	² j ʉː t a
glad	ɡ l ɑː
glad	ɡ l ɑː d
gladlynt	ɡ l ɑː d l yː n t
gladlynt	ɡ l ɑː d l ʏ n t
glas	ɡ l ɑː s
glashus	² ɡ l ɑː s h ʉː s
glasmästarsill	² ɡ l ɑː s m ɛ s t a r s ɪ l
glass	ɡ l a s
glassmaskin	ɡ l a s m a ɧ iː n
glatt	ɡ l a tː
glidtackling	ɡ l iː d t a k l ɪ ŋ
glotal	ɡ l ʊ t ɑː l
gluttsnäppa	ɡ l ɵ t s n ɛ p a
glögg	ɡ l œ ɡ
glömska	² ɡ l œ m s k a
gnag	ɡ n ɑː ɡ
gnaga	² ɡ n ɑː ɡ a
gned	ɡ n eː d
gnid	ɡ n iː d
gnids	ɡ n iː d s
god	ɡ uː
god	ɡ uː d
goddag	ɡ ʊ dː ɑː
goddag	ɡ ʊ dː ɑː ɡ
godhetssignalering	ɡ uː d h eː t s s i ɡ n a l eː r ɪ ŋ
golv	ɡ ɔ l v
googla	² ɡ uː ɡ l a
gosse	² ɡ ɔ sː ɛ
gott	ɡ ɔ t
gradu	ɡ r ɑ d ʉ
graf	ɡ r ɑː f
graf	ɡ r ɑː v
gran	ɡ r ɑː n
gransångare	ɡ r ɑː n s ɔ ŋ a r ɛ
gratis	ɡ r ɑː t iː s
grattis	¹ ɡ r a t ɪ s
gratäng	ɡ r a t ɛ ŋ
grav	ɡ r ɑː v
gravand	ɡ ɾ ɑː v a n d
gravid	ɡ r a v iː d
gravitation	ɡ r a v ɪ t a ɧ uː n
gravlax	ɡ r ɑː v l a k s
green	ɡ r iː n
grej	ɡ r ɛ j
greja	ɡ r ɛ j a
grep	ɡ r eː p
grina	ɡ r iː n a
grindstuga	ɡ r i n d s t ʉː ɡ a
grip	ɡ r iː p
gripa	ɡ r iː p a
gripen	² ɡ r iː p ɛ n
gripen	ɡ r iː p ɛ n
gris	ɡ r iː s
gro	ɡ r uː
groda	² ɡ r uː d a
grogg	ɡ r ɔ ɡ
gross	ɡ r ɔ s
grov	ɡ r uː v
grund	ɡ r ɵ n d
grusa	ɡ r ʉː s a
grym	ɡ r ʏ mː
grymta	ɡ r ʏ m t a
gryning	ɡ r yː n ɪ ŋ
gryta	ɡ r yː t a
gräbba	ɡ r ɛ b a
gräddbulle	² ɡ r ɛ d b ɵ l ɛ
gräddfil	ɡ r ɛ dː f iː l
gräddig	² ɡ r ɛ d ɪ
gräddig	² ɡ r ɛ d ɪ ɡ
gräl	ɡ r ɛː l
gränd	ɡ r ɛ n d
gräsand	ɡ ɾ ɛː s a n d
gräslök	ɡ r ɛː s l øː k
grät	ɡ r ɛː t
grå	ɡ r oː
gråben	² ɡ r oː b eː n
grågam	ɡ r oː ɡ ɑː m
grågås	ɡ ɾ oː ɡ oː s
gråhakedopping	ɡ ɾ oː h ɑː k ɛ d ɔ p ɪ ŋ
gråhäger	ɡ r oː h ɛ ɡ ɛ r
gråspett	ɡ r oː s p ɛ t
gråsäl	ɡ r oː s ɛː l
gråt	ɡ r oː t
gråta	ɡ r oː t a
gråtrut	ɡ r oː t r ʉː t
grön	ɡ r øː n
grön	ɡ ʁ øːˠ n
grönbena	ɡ r øː n b eː n a
grönkål	ɡ r øː n k oː l
grönmynta	² ɡ r œ n m ʏ n t a
grönsångare	ɡ r øː n s ɔ ŋ a r ɛ
gröt	ɡ r øː t
gubbe	ɡ ɵ bː ɛ
gud	ɡ ʉː d
guding	² ɡ ʉː d ɪ ŋ
gul	ɡ ʉː l
gula	² ɡ ʉː l a
guld	ɡ ɵ l d
gullgosse	² ɡ ɵ l ɡ ɔ s ɛ
gullviva	ɡ ɵ l v iː v a
gulsot	ɡ ʉː l s uː t
gump	ɡ ɵ m p
gungfly	² ɡ ɵ ŋ f l yː
gunghäst	ɡ ɵ ŋ h æ s t
guru	ɡ ʉ̟ː r ɵ
guss	ɡ ɵ s
guss	ɡ ɵ z
gutniska	ɡ ɵ t n ɪ s k a
gylf	j ʏ l f
gym	j ʏ m
gymma	² j ʏ m a
gymnasium	j ʏ m n ɑː s ɪ ɵ m
gyros	j yː r ʊ s
gyros	ɡ yː r ʊ s
gäck	ʝ ɛ k
gäl	j ɛː l
gäl	ɡ ɛː l
gäng	j ɛ ŋː
gäri	ɡ ɛː r ɪ
gärna	² j ɛː r n a
gäst	j ɛ s t
gästfri	² j ɛ s t f r iː
gästfrihet	j ɛ s t f r iː h eː t
gästgiveri	j æ s t j iː v ɛ r iː
gästgiveri	j æ s t j ɪ v ɛ r iː
gästgiveri	j æ ɧ ɪ v ɛ r iː
gå	ɡ oː
gång	ɡ ɔ ŋ
gången	ɡ ɔ ŋ e n
gångjärn	ɡ ɔ ŋ j ɛː r n
gård	ɡ oː r d
gås	ɡ oː s
gåskarl	ɡ oː s k ɑː r
gåstol	ɡ oː s t uː l
gått	ɡ ɔ t
gö	j øː
gök	j øː k
göktyta	j øː k t yː t a
göl	j øː l
göra	² j øː r a
göra	² ɡ œː r a
gördel	j œ r d ɛ l
göt	ɡ øː t
göteborgska	j œ t e ² b ɔ r j s k a
göteborgska	j œ t e ² b ɔ r s k a
gött	j œ t
gött	ɡ œ t
ha	h a
ha	h ɑː
ha	h ɑː v a
hade	² h a dː ɛ
haft	h a f t
hage	h ɑː ɡ ɛ
hagtorn	h a k t uː r n
hagtorn	² h ɑː ɡ t uː r n
haj	h a j
hal	h ɑː l
hall	h a l
hallon	h a l ɔ n
hallå	h a l oː
halmbock	² h a l m b ɔ k
halv	h a l v
halvlek	² h a l v l eː k
halvtimma	h a l v t ɪ m a
halvtimme	h a l v t ɪ m ɛ
hambo	h a m b ʊ
hamn	h a m n
han	a n
han	h a nː
hand	h a n d
handboll	² h a mː b ɔ l
handboll	² h a n d b ɔ l
handelsrätt	² h a nː d ɛ l s r ɛ tː
handflata	h ǎ n d f l ɑː t a
handhjärta	h a n d j ɛ r t a
handikapp	h a n d ɪ k a p
handikapp	² h a n d i k a p
handske	h a n d s k ɛ
handskrift	h a n d s k r ɪ f t
handtryck	² h a n d t r ʏ k
handtryck	² h a n t r ʏ k
hanrej	h a n r ɛ j
hanrej	² h ɑː n r ɛ j
hans	h a n s
hantverk	h a n t v ɛ r k
har	h ɑː r
hara	h ɑː r a
hat	h ɑː t
hata	² h ɑː t a
hatisk	h ɑː t ɪ s k
hatt	h a t
haussa	² h oː s a
hausse	h oː s
hav	h ɑː v
havre	² h ɑː v r ɛ
havssula	h a v s ʉː l a
havstrut	h a v s t r ʉː t
havsörn	h a v s øː r n
he	h eː
heat	h iː t
hej	h ɛ jː
heja	² h ɛ j a
hekto	h ɛ k t ʊ
hel	h eː l
helg	h ɛ l j
helga	h ɛ l ɡ a
helig	h eː l ɪ ɡ
helium	h eː l ɪ ɵ m
helt	h eː l t
helvete	h ɛ l v eː t ɛ
helvete	h ɛ l v ɛ t ɛ
helvetisk	h ɛ l v eː t ɪ s k
hem	h ɛ m
hembränd	² h ɛ m b r ɛ n d
hembränt	² h ɛ m b r ɛ n t
hemester	h ɛ m ɛ s t ɛ r
hemläxa	² h ɛ m l ɛ k s a
hemma	² h ɛ mː a
hemmaplan	² h ɛ m a p l ɑː n
hemul	h e m ʉː l
hen	h eː n
hen	h ɛ n
henne	h ɛ nː ɛ
hennes	² h ɛ n ɛ s
henom	h ɛ n ɔ m
hens	h ɛ n s
heraldik	h ɛ r a l d iː k
heraldiken	h ɛ r a l d iː k ɛ n
heraldikens	h ɛ r a l d iː k ɛ n s
heraldiker	h ɛ r a l d ɪ k ɛ r
heraldikern	h ɛ r a l d ɪ k ɛ r n
heraldikerna	h ɛ r a l d ɪ k ɛ r n a
heraldikernas	h ɛ r a l d ɪ k ɛ r n a s
heraldikerns	h ɛ r a l d ɪ k ɛ r n s
heraldikers	h ɛ r a l d ɪ k ɛ r s
heraldiks	h ɛ r a l d iː k s
heraldisera	h ɛ r a l d ɪ s eː r a
heraldiserad	h ɛ r a l d ɪ s eː r a d
heraldiserade	h ɛ r a l d ɪ s eː r a d ɛ
heraldiserades	h ɛ r a l d ɪ s eː r a d ɛ s
heraldiserande	h ɛ r a l d ɪ s eː r a n d ɛ
heraldiserar	h ɛ r a l d ɪ s eː r a r
heraldiseras	h ɛ r a l d ɪ s eː r a s
heraldiserat	h ɛ r a l d ɪ s eː r a t
heraldiserats	h ɛ r a l d ɪ s eː r a t s
heraldisere	h ɛ r a l d ɪ s eː r ɛ
heraldiseren	h ɛ r a l d ɪ s eː r ɛ n
heraldiseres	h ɛ r a l d ɪ s eː r ɛ s
heraldisk	h ɛ r a l d ɪ s k
heraldiska	h ɛ r a l d ɪ s k a
heraldiske	h ɛ r a l d ɪ s k ɛ
heraldiskt	h ɛ r a l d ɪ s k t
herdestund	² h eː r d ɛ s t ɵ n d
here	h eː r eː
herr	h ɛ r
herre	² h ɛ rː ɛ
hertz	h æ r t s
hest	h eː s t
het	h eː t
heta	² h eː t a
hetvägg	h eː t v ɛ ɡ
hia	² h iː a
hialös	² h iː a l øː s
himalayagyllenmes	h i m ɑː l ɪ j a j ʏ l ɛ n m eː s
hinsidan	² h iː n s iː d a n
hinsidan	² h ɪ n s iː d a n
hispa	² h ɪ s p a
hispig	² h ɪ s p ɪ
hispig	² h ɪ s p ɪ ɡ
hit	h iː t
hit	h ɪ t
hitta	h ɪ tː a
hjord	j uː ɖ
hjort	j ʊ r t
hjorta	j ʊ r t a
hjortron	j ʊ ʈ r ɔ n
hjul	j ʉː l
hjälm	j ɛ l m
hjälp	j ɛ l p
hjälpa	² j ɛ lː p a
hjälplös	² j ɛ l p l øː s
hjälte	j ɛ l t ɛ
hjärna	² j ɛː ɳ a
hjärta	² j ɛ r t a
hjärtansfröjd	² j ɛ r t a n s ² f r œ j d
hjärtinfarkt	² j ɛ r t ɪ n f a r k t
hjärtlig	² j æ ʈ l ɪ
hjärtlig	² j æ ʈ l ɪ ɡ
hockey	h ɔ k ʏ
hockeyfrilla	h ɔ k ɪ f r ɪ l a
hockeyfrilla	h ɔ k ʏ f r ɪ l a
holm	h ɔ l m ɛ
hologram	h ɔ l ɔ ɡ r a m
homofili	h u m u f i l iː
homofob	h ʊ m ʊ f oː b
homofon	h ʊ m ʊ f oː n
homosex	h uː m ʊ s e k s
hon	h uː n
hon	h ʊ n
honom	² h ɔ nː ɔ m
honung	h oː n ɵ ŋ
hoppa	h ɔ p a
hoppeligen	h ɔ pː e l iː ɡ e n
hoppeligen	² h ɔ p ɛ l iː ɡ ɛ n
hoppla	h ɔ p l a
hor	h uː r
hora	h uː r a
hornuggla	h ʊ r n ɵ ɡ l a
horoskop	h ʊ r ʊ s k oː p
hos	h uː s
hos	h ʊ s
hot	h uː t
hotell	h ʊ t ɛ lː
hov	h oː v
hov	h uː v
hud	h ʉː d
hudsonspov	h ɑ d s ɔ n s p uː v
huggmejsel	h ɵ ɡ m ɛ j s ɛ l
humle	h ɵ m l ɛ
hund	h ɵ n d
hundra	h ɵ n d r a
hungrig	h ɵ ŋ r ɪ
hungrig	h ɵ ŋ r ɪ ɡ
hur	h u
hur	h u r
hur	h u r u
hur	h œ
hur	h œ r
hur	h ʉ
hur	h ʉ r
hur	h ʉː r
hurring	² h ɵ r ɪ ŋ
hus	h ʉː s
husa	² h ʉː s a
husdjur	h ʉː s j ʉː r
hushåll	h ʉ s h ɔ l
hushållspapper	h ʉ s h ɔ l s p a p ɛ r
husmanskost	² h ʉ̟ː s m a n s k ɔ s t
hussvala	h ʉː s s v ɑː l a
hustru	h ɵ̄ sː t r ʉ̂ː
huv	h ʉː v
huvud	h u v u
huvud	h y v u
huvud	h ʉ v ʉ
huvud	² h œ vː ɛ
huvud	² h ɵ vː ɛ
huvud	² h ɵ vː ɵ d
huvud	² h ʉː v ɛ
huvud	² h ʉː v ɵ d
huvud	² h ʉː ɛ
huvudspråk	² h ʉː v ɛ s p r oː k
huvudspråk	² h ʉː v ɵ d s p r oː k
hyf	h yː f
hygglig	h ʏ ɡ l ɪ
hygglig	h ʏ ɡ l ɪ ɡ
hylla	h ʏ lː a
hynda	h ʏ nː d a
hyperdrift	² h yː p ɛ r d r ɪ f t
hyra	² h yː r a
hyrkanmes	h ʏ ɾ k a n m eː s
hysch	h ʏ ɕ
hyscha	² h ʏ ɧː a
hytt	h ʏ t
hä	h æː
häck	h ɛ k
häftig	h ɛ f t ɪ
häftig	h ɛ f t ɪ ɡ
hägg	h ɛ ɡ
hägna	h ɛ ŋ n a
häl	h ɛː l
hälft	h ɛ l f t
häll	h ɛ l
hällregn	h ɛ l r ɛ ŋ n
hälsovådlig	h ɛ l s o v oː d l ɪ ɡ
hämnd	h ɛ m d
hämnd	h ɛ m n d
händelse	² h ɛ n d ɛ l s ɛ
hänsyn	h ɛː n s yː n
här	h ɛː r
häradshövding	h æː r a d s h œ v d ɪ ŋ
häradsrätt	h æː r a d s r ɛ t
härda	h æː ɖ a
härför	h æː r f øː r
härk	h ɛ r k
härlig	h ɛː r l ɪ ɡ
härmsångare	h ɛ r m s ɔ ŋ a r ɛ
härold	² h ɛː r ɔ l d
håg	h oː ɡ
håkker	h ɔ k ɜ r
håla	h oː l a
håll	h ɔ l
hålla	² h ɔ l a
håna	² h oː n a
hår	h oː r
hård	h oː ɖ
hård	h oː ɽ
hårding	h oː ɖ ɪ ŋ
hårdrockare	h oː r d r o k a r ɛ
hårgelé	h oː r ɡ e l eː
hårlock	² h oː r l ɔ k
hårspray	h oː r s p r e ɪ
hårsprej	h oː r s p r e ɪ
hårt	h oː ʈ
håv	h oː v
hö	h øː
höbal	h øː b ɑː l
hög	h øː ɡ
höga	h øː ɡ a
högkvarter	h øː ɡ k v a r t eː r
högljudd	² h øː ɡ j ɵ d
högljutt	² h øː ɡ j ɵ t
högskola	² h øː ɡ s k uː l a
högsvenska	h øː ɡ s v e n s k ɑ
högsvenska	² h øː ɡ s v ɛ n s k a
högt	h œ k t
högtid	h øː ɡ t iː d
högtid	h œ kː t iː d
hök	h øː k
hölja	h œ l j a
höna	² h øː n a
höra	² h øː r a
höst	h œ s t
höstas	² h œ s t a s
höstdagjämning	h œ s t d ɑː ɡ j ɛ m n ɪ ŋ
i	iː
ibland	ɪ b l a nː
ibland	ɪ b l a nː d
icke	² ɪ kː ɛ
id	iː d
idag	ɪ d ɑː
idag	ɪ d ɑː ɡ
idiot	ɪ d ɪ uː t
idissla	² iː d ɪ s l a
idrott	² iː d r ɔ t
idé	ɪ d eː
igelkott	iː ɡ ɛ l k ɔ t
igenom	ɪ j eː n ɔ m
ignorera	ɪ ŋ n ʊ r eː r a
ihjäl	ɪ j ɛː l
ihop	ɪ h uː p
ihärdighet	ɪ h ɛː ɖ ɪ ɡ h ɛ t
il	iː l
illamående	ɪ l a m oː ɛ n d ɛ
illusion	ɪ l ɵ ɧ uː n
ilning	² iː l n ɪ ŋ
imperfekt	ɪ m p ɛ r f ɛ k t
in	ɪ n
ina	² iː n a
inandning	² ɪ n a n d n ɪ ŋ
