abeag	ɑː b æ͜ɑː ɣ
leorde	l e͜oː rˠ d e
leordon	l e͜oː rˠ d o n
leorna	l e͜o rˠ n ɑ
leornaþ	l e͜o rˠ n ɑ θ
leornera	l e͜o rˠ n e r ɑ
leorneras	l e͜o rˠ n e r ɑ s
leornere	l e͜o rˠ n e r e
leorneres	l e͜o rˠ n e r e s
leornerum	l e͜o rˠ n e r u m
leornian	l e͜o rˠ n i ɑ n
leorniaþ	l e͜o rˠ n i ɑ θ
leorniende	l e͜o rˠ n i e n d e
leornienne	l e͜o rˠ n i e n n e
leornige	l e͜o rˠ n i j e
leornigen	l e͜o rˠ n i j e n
leorning	l e͜o rˠ n i ŋ ɡ
leorningcild	l e͜o rˠ n i ŋ ɡ t͡ʃ i ɫ d
leorningcilde	l e͜o rˠ n i ŋ ɡ t͡ʃ i ɫ d e
leorningcildes	l e͜o rˠ n i ŋ ɡ t͡ʃ i ɫ d e s
leorningcniht	l e͜o rˠ n i ŋ ɡ k n i ç t
leorningcnihta	l e͜o rˠ n i ŋ ɡ k n i ç t ɑ
leorningcnihtas	l e͜o rˠ n i ŋ ɡ k n i ç t ɑ s
leorningcnihte	l e͜o rˠ n i ŋ ɡ k n i ç t e
leorningcnihtes	l e͜o rˠ n i ŋ ɡ k n i ç t e s
leorningcnihtum	l e͜o rˠ n i ŋ ɡ k n i ç t u m
leornod	l e͜o rˠ n o d
leornode	l e͜o rˠ n o d e
leornodest	l e͜o rˠ n o d e s t
leornodon	l e͜o rˠ n o d o n
leornung	l e͜o rˠ n u ŋ ɡ
leornunga	l e͜o rˠ n u ŋ ɡ ɑ
leornungcild	l e͜o rˠ n u ŋ ɡ t͡ʃ i ɫ d
leornungcniht	l e͜o rˠ n u ŋ ɡ k n i ç t
leornungcnihta	l e͜o rˠ n u ŋ ɡ k n i ç t ɑ
leornungcnihtas	l e͜o rˠ n u ŋ ɡ k n i ç t ɑ s
leornungcnihte	l e͜o rˠ n u ŋ ɡ k n i ç t e
leornungcnihtes	l e͜o rˠ n u ŋ ɡ k n i ç t e s
leornungcnihtum	l e͜o rˠ n u ŋ ɡ k n i ç t u m
leornunge	l e͜o rˠ n u ŋ ɡ e
leornunghus	l e͜o rˠ n u ŋ ɡ h uː s
leornunghusa	l e͜o rˠ n u ŋ ɡ h uː z ɑ
leornunghuse	l e͜o rˠ n u ŋ ɡ h uː z e
leornunghuses	l e͜o rˠ n u ŋ ɡ h uː z e s
leornunghusum	l e͜o rˠ n u ŋ ɡ h uː s u m
leornungmann	l e͜o rˠ n u ŋ ɡ m ɑ n
leornungmanna	l e͜o rˠ n u ŋ ɡ m ɑ n n ɑ
leornungmannes	l e͜o rˠ n u ŋ ɡ m ɑ n n e s
leornungmannum	l e͜o rˠ n u ŋ ɡ m ɑ n n u m
leornungmenn	l e͜o rˠ n u ŋ ɡ m e n
leornungscol	l e͜o rˠ n u ŋ ɡ s k oː l
leornungum	l e͜o rˠ n u ŋ ɡ u m
leort	l e͜o rˠ t
leorton	l e͜o rˠ t o n
leoþere	l e͜oː ð e r e
leoþgiddung	l e͜oː ð j i d d u ŋ ɡ
leoþgiddunga	l e͜oː ð j i d d u ŋ ɡ ɑ
leoþgiddunge	l e͜oː ð j i d d u ŋ ɡ e
leoþgiddungum	l e͜oː ð j i d d u ŋ ɡ u m
leoþian	l e͜oː ð i ɑ n
leoþlic	l e͜oː ð l iː t͡ʃ
leoþlicum	l e͜oː ð l iː t͡ʃ u m
leoþorun	l e͜oː ð o r uː n
leoþsang	l e͜oː θ s ɑ ŋ ɡ
leoþsanga	l e͜oː θ s ɑ ŋ ɡ ɑ
leoþsangas	l e͜oː θ s ɑ ŋ ɡ ɑ s
leoþsange	l e͜oː θ s ɑ ŋ ɡ e
leoþsanges	l e͜oː θ s ɑ ŋ ɡ e s
leoþsangum	l e͜oː θ s ɑ ŋ ɡ u m
leoþwisan	l e͜oː ð w iː s ɑ n
leoþwise	l e͜oː ð w iː z e
leoþword	l e͜oː ð w o rˠ d
leoþwyrhta	l e͜oː ð w y rˠ x t ɑ
leoþwyrhtan	l e͜oː ð w y rˠ x t ɑ n
leoþwyrhtena	l e͜oː ð w y rˠ x t e n ɑ
leoþwyrhtum	l e͜oː ð w y rˠ x t u m
lesan	l e z ɑ n
lesaþ	l e z ɑ θ
lese	l e z e
lesu	l e z u
leswæs	l e z w æ s
leþer	l e ð e r
leþerhelm	l e ð e r h e ɫ m
leþerhose	l e ð e r h o z e
leþre	l e ð r e
leþres	l e ð r e s
Licetfelda	l iː t͡ʃ e t f e ɫ d ɑ
licett	l iː t͡ʃ e t
licettung	l iː t͡ʃ e t t u ŋ ɡ
licettunga	l iː t͡ʃ e t t u ŋ ɡ ɑ
licettunge	l iː t͡ʃ e t t u ŋ ɡ e
licettungum	l iː t͡ʃ e t t u ŋ ɡ u m
licgað	l i d d͡ʒ ɑ θ
licgan	l i d d͡ʒ ɑ n
licgaþ	l i d d͡ʒ ɑ θ
licge	l i d d͡ʒ e
lichama	l iː k h ɑ m ɑ
lichaman	l iː k h ɑ m ɑ n
lichamena	l iː k h ɑ m e n ɑ
lichamlic	l iː k h ɑ m l iː t͡ʃ
lichamlice	l iː k h ɑ m l iː t͡ʃ e
lichamlices	l iː k h ɑ m l iː t͡ʃ e s
lichamlicne	l iː k h ɑ m l iː k n e
lichamlicre	l iː k h ɑ m l iː k r e
lichamum	l iː k h ɑ m u m
lichanga	l iː t͡ʃ h ɑ ŋ ɡ ɑ
lichangan	l iː t͡ʃ h ɑ ŋ ɡ ɑ n
lichoma	l iː k h o m ɑ
lichoman	l iː k h o m ɑ n
licmann	l iː t͡ʃ m ɑ n
licmenn	l iː t͡ʃ m e n
licþegnung	l iː k θ e j n u ŋ ɡ
licþegnunga	l iː k θ e j n u ŋ ɡ ɑ
licþegnunge	l iː k θ e j n u ŋ ɡ e
licþegnungum	l iː k θ e j n u ŋ ɡ u m
lidmann	l i d m ɑ n
lidmenn	l i d m e n
liefan	l i͜yː v ɑ n
liefaþ	l i͜yː v ɑ θ
liefdest	l i͜yː v d e s t
liefdon	l i͜yː v d o n
liefed	l i͜yː v e d
liefende	l i͜yː v e n d e
liefenne	l i͜yː v e n n e
liefeþ	l i͜yː v e θ
liegetsliht	l i͜yː j e t s l i ç t
liegetslihte	l i͜yː j e t s l i ç t e
liegetslihtum	l i͜yː j e t s l i ç t u m
liegfæmende	l i͜yː j v æː m e n d e
liegfamblawende	l i͜yː j v ɑː m b l ɑː w e n d e
lieglocc	l i͜yː j l o k
liegræscettung	l i͜yː j r æ ʃ e t t u ŋ ɡ
liegræscettunga	l i͜yː j r æ ʃ ʃ e t t u ŋ ɡ ɑ
liegræscettunge	l i͜yː j r æ ʃ ʃ e t t u ŋ ɡ e
liegræscettungum	l i͜yː j r æ ʃ ʃ e t t u ŋ ɡ u m
liegyþa	l i͜yː j yː ð ɑ
liegyþe	l i͜yː j yː ð e
liegyþum	l i͜yː j yː ð u m
liehtinge	l i͜yː x t i ŋ ɡ e
liehþ	l i͜y ç θ
liesan	l i͜yː z ɑ n
liesaþ	l i͜yː z ɑ θ
liesde	l i͜yː z d e
liesdest	l i͜yː z d e s t
liese	l i͜yː z e
liesed	l i͜yː z e d
liesenne	l i͜yː z e n n e
lieseþ	l i͜yː z e θ
lieþran	l i͜yː ð ɑ n
lieþre	l i͜yː ð r e
lifa	l iː v ɑ
lifas	l i v ɑ s
lifast	l i v ɑ s t
lifaþ	l i v ɑ θ
lifd	l i v d
lifde	l i v d e
lifden	l i v d e n
lifdes	l i v d e s
lifdest	l i v d e s t
lifdon	l i v d o n
lifdun	l i v d o n
life	l iː v e
lifen	l i v e n
lifer	l i v e r
liferadl	l i v e r ɑː d l
liferadla	l i v e r ɑː d l ɑ
liferadle	l i v e r ɑː d l e
liferadlum	l i v e r ɑː d l u m
liferlæppa	l i v e r l æ p p ɑ
liferlæppan	l i v e r l æ p p ɑ n
liferwyrt	l i v e r w y rˠ t
lifes	l iː v e s
lifgan	l i v j ɑ n
lifganne	l i v j ɑ n n e
lifgaþ	l i v j ɑ θ
lifge	l i v j e
lifgedal	l iː v j e d ɑː l
lifgen	l i v j e n
lifgende	l i v j e n d e
lifgendra	l i v j e n d r ɑ
lifgenne	l i v j e n n e
lifgu	l i v j u
lifian	l i v i ɑ n
lifiaþ	l i v i ɑ θ
lifiende	l i v i e n d e
lifiendra	l i v i͜y n d r ɑ
lifienne	l i v i e n n e
lifige	l i v i j e
lifleas	l iː v l æ͜ɑː s
lifleasan	l iː v l æ͜ɑː s ɑ n
liflease	l iː v l æ͜ɑː s e
lifleasum	l iː v l æ͜ɑː s u m
liflic	l iː v l iː t͡ʃ
liflican	l iː v l iː t͡ʃ ɑ n
liflice	l iː v l iː t͡ʃ e
liflicne	l iː v l iː k n e
liflicum	l iː v l iː t͡ʃ u m
lifo	l i v o
lifod	l i v o d
lifode	l i v o d e
lifodon	l i v o d o n
lifum	l iː v u m
lifweg	l iː v w e j
lifwega	l iː v w e ɣ ɑ
lifwegas	l iː v w e ɣ ɑ s
lifwege	l iː v w e j e
lifweges	l iː v w e j e s
lifwegum	l iː v w e ɣ u m
ligbisig	l iː j b i z i j
ligbysig	l iː j b y z i j
ligetsliht	l iː j e t s l i ç t
ligetslihte	l iː j e t s l i ç t e
ligetslihtum	l iː j e t s l i ç t u m
ligon	l i ɣ o n
Ligoraceaster	l i ɣ o r ɑ t͡ʃ æ͜ɑ s t e r
Ligoraceastre	l i ɣ o r ɑ t͡ʃ æ͜ɑ s t r e
ligræscetung	l iː j r æ ʃ ʃ e t t u ŋ ɡ
Ligwulf	l iː j w u ɫ f
Ligwulfe	l iː j w u ɫ v e
Ligwulfes	l iː j w u ɫ v e s
ligyþa	l iː j yː ð ɑ
ligyþe	l iː j yː ð e
lihtinge	l iː x t i ŋ ɡ e
leoþsange	l e͜oː θ s ɑ ŋ ɡ e
leoþsanges	l e͜oː θ s ɑ ŋ ɡ e s
leoþsangum	l e͜oː θ s ɑ ŋ ɡ u m
leoþwisan	l e͜oː ð w iː s ɑ n
leoþwise	l e͜oː ð w iː z e
leoþword	l e͜oː ð w o rˠ d
leoþwyrhta	l e͜oː ð w y rˠ x t ɑ
leoþwyrhtan	l e͜oː ð w y rˠ x t ɑ n
leoþwyrhtena	l e͜oː ð w y rˠ x t e n ɑ
leoþwyrhtum	l e͜oː ð w y rˠ x t u m
lesan	l e z ɑ n
lesaþ	l e z ɑ θ
lese	l e z e
lesu	l e z u
leswæs	l e z w æ s
leþer	l e ð e r
leþerhelm	l e ð e r h e ɫ m
leþerhose	l e ð e r h o z e
leþre	l e ð r e
leþres	l e ð r e s
Licetfelda	l iː t͡ʃ e t f e ɫ d ɑ
licett	l iː t͡ʃ e t
licettung	l iː t͡ʃ e t t u ŋ ɡ
licettunga	l iː t͡ʃ e t t u ŋ ɡ ɑ
licettunge	l iː t͡ʃ e t t u ŋ ɡ e
licettungum	l iː t͡ʃ e t t u ŋ ɡ u m
licgað	l i d d͡ʒ ɑ θ
licgan	l i d d͡ʒ ɑ n
licgaþ	l i d d͡ʒ ɑ θ
licge	l i d d͡ʒ e
lichama	l iː k h ɑ m ɑ
lichaman	l iː k h ɑ m ɑ n
lichamena	l iː k h ɑ m e n ɑ
lichamlic	l iː k h ɑ m l iː t͡ʃ
lichamlice	l iː k h ɑ m l iː t͡ʃ e
lichamlices	l iː k h ɑ m l iː t͡ʃ e s
lichamlicne	l iː k h ɑ m l iː k n e
lichamlicre	l iː k h ɑ m l iː k r e
lichamum	l iː k h ɑ m u m
lichanga	l iː t͡ʃ h ɑ ŋ ɡ ɑ
lichangan	l iː t͡ʃ h ɑ ŋ ɡ ɑ n
lichoma	l iː k h o m ɑ
lichoman	l iː k h o m ɑ n
licmann	l iː t͡ʃ m ɑ n
licmenn	l iː t͡ʃ m e n
licþegnung	l iː k θ e j n u ŋ ɡ
licþegnunga	l iː k θ e j n u ŋ ɡ ɑ
licþegnunge	l iː k θ e j n u ŋ ɡ e
licþegnungum	l iː k θ e j n u ŋ ɡ u m
lidmann	l i d m ɑ n
lidmenn	l i d m e n
liefan	l i͜yː v ɑ n
liefaþ	l i͜yː v ɑ θ
liefdest	l i͜yː v d e s t
liefdon	l i͜yː v d o n
liefed	l i͜yː v e d
liefende	l i͜yː v e n d e
liefenne	l i͜yː v e n n e
liefeþ	l i͜yː v e θ
liegetsliht	l i͜yː j e t s l i ç t
liegetslihte	l i͜yː j e t s l i ç t e
liegetslihtum	l i͜yː j e t s l i ç t u m
liegfæmende	l i͜yː j v æː m e n d e
liegfamblawende	l i͜yː j v ɑː m b l ɑː w e n d e
lieglocc	l i͜yː j l o k
liegræscettung	l i͜yː j r æ ʃ e t t u ŋ ɡ
liegræscettunga	l i͜yː j r æ ʃ ʃ e t t u ŋ ɡ ɑ
liegræscettunge	l i͜yː j r æ ʃ ʃ e t t u ŋ ɡ e
liegræscettungum	l i͜yː j r æ ʃ ʃ e t t u ŋ ɡ u m
liegyþa	l i͜yː j yː ð ɑ
liegyþe	l i͜yː j yː ð e
liegyþum	l i͜yː j yː ð u m
liehtinge	l i͜yː x t i ŋ ɡ e
liehþ	l i͜y ç θ
liesan	l i͜yː z ɑ n
liesaþ	l i͜yː z ɑ θ
liesde	l i͜yː z d e
liesdest	l i͜yː z d e s t
liese	l i͜yː z e
liesed	l i͜yː z e d
liesenne	l i͜yː z e n n e
lieseþ	l i͜yː z e θ
lieþran	l i͜yː ð ɑ n
lieþre	l i͜yː ð r e
lifa	l iː v ɑ
lifas	l i v ɑ s
lifast	l i v ɑ s t
lifaþ	l i v ɑ θ
lifd	l i v d
lifde	l i v d e
lifden	l i v d e n
lifdes	l i v d e s
lifdest	l i v d e s t
lifdon	l i v d o n
lifdun	l i v d o n
life	l iː v e
lifen	l i v e n
lifer	l i v e r
liferadl	l i v e r ɑː d l
liferadla	l i v e r ɑː d l ɑ
liferadle	l i v e r ɑː d l e
liferadlum	l i v e r ɑː d l u m
liferlæppa	l i v e r l æ p p ɑ
liferlæppan	l i v e r l æ p p ɑ n
liferwyrt	l i v e r w y rˠ t
lifes	l iː v e s
lifgan	l i v j ɑ n
lifganne	l i v j ɑ n n e
lifgaþ	l i v j ɑ θ
lifge	l i v j e
lifgedal	l iː v j e d ɑː l
lifgen	l i v j e n
lifgende	l i v j e n d e
lifgendra	l i v j e n d r ɑ
lifgenne	l i v j e n n e
lifgu	l i v j u
lifian	l i v i ɑ n
lifiaþ	l i v i ɑ θ
lifiende	l i v i e n d e
lifiendra	l i v i͜y n d r ɑ
lifienne	l i v i e n n e
lifige	l i v i j e
lifleas	l iː v l æ͜ɑː s
lifleasan	l iː v l æ͜ɑː s ɑ n
liflease	l iː v l æ͜ɑː s e
lifleasum	l iː v l æ͜ɑː s u m
liflic	l iː v l iː t͡ʃ
liflican	l iː v l iː t͡ʃ ɑ n
liflice	l iː v l iː t͡ʃ e
liflicne	l iː v l iː k n e
liflicum	l iː v l iː t͡ʃ u m
lifo	l i v o
lifod	l i v o d
lifode	l i v o d e
lifodon	l i v o d o n
lifum	l iː v u m
lifweg	l iː v w e j
lifwega	l iː v w e ɣ ɑ
lifwegas	l iː v w e ɣ ɑ s
lifwege	l iː v w e j e
lifweges	l iː v w e j e s
lifwegum	l iː v w e ɣ u m
ligbisig	l iː j b i z i j
ligbysig	l iː j b y z i j
ligetsliht	l iː j e t s l i ç t
ligetslihte	l iː j e t s l i ç t e
ligetslihtum	l iː j e t s l i ç t u m
ligon	l i ɣ o n
Ligoraceaster	l i ɣ o r ɑ t͡ʃ æ͜ɑ s t e r
Ligoraceastre	l i ɣ o r ɑ t͡ʃ æ͜ɑ s t r e
ligræscetung	l iː j r æ ʃ ʃ e t t u ŋ ɡ
Ligwulf	l iː j w u ɫ f
Ligwulfe	l iː j w u ɫ v e
Ligwulfes	l iː j w u ɫ v e s
ligyþa	l iː j yː ð ɑ
ligyþe	l iː j yː ð e
lihtinge	l iː x t i ŋ ɡ e
limgelecg	l i m j e l e d͡ʒ
Lincollan	l i ŋ k o ɫ ɫ ɑ n
Lincolnescire	l i ŋ k o ɫ n e ʃ ʃ iː r e
Lindesege	l i n d e z eː j e
lindhæbbend	l i n d h æ b b e n d
Lindiswara	l i n d i z w ɑ r ɑ
Lindisware	l i n d i z w ɑ r e
Lindiswarum	l i n d i z w ɑ r u m
lindplega	l i n d p l e ɣ ɑ
lindplegan	l i n d p l e ɣ ɑ n
linn	l i n
liofa	l i͜u v ɑ
liofas	l i͜u v ɑ s
liofaþ	l i͜u v ɑ θ
liofo	l i͜u v o
lireht	l iː r e ç t
lirehte	l iː r e ç t e
liss	l i s
listhendig	l i s t h e n d i j
litling	l i t l i ŋ ɡ
liþa	l iː ð ɑ
liþan	l iː ð ɑ n
liþe	l iː ð e
liþelice	l iː ð e l iː t͡ʃ e
liþend	l iː ð e n d
liþendra	l iː ð e n d r ɑ
liþendum	l iː ð e n d u m
liþenne	l iː ð e n n e
liþera	l i ð e r ɑ
liþeran	l i ð e r ɑ n
liþercaþ	l iː ð e rˠ k ɑ θ
liþercian	l iː ð e rˠ k i ɑ n
liþercode	l iː ð e rˠ k o d e
liþere	l i ð e r e
liþerena	l i ð e r e n ɑ
liþerum	l i ð e r u m
liþes	l iː ð e s
liþigan	l i ð i j ɑ n
liþigast	l iː ð i j ɑ s t
liþigaþ	l iː ð i j ɑ θ
liþigian	l iː ð i ɣ i ɑ n
liþigiende	l iː ð i j i e n d e
liþigige	l iː ð i j i j e
liþigigen	l iː ð i ɣ i j e n
liþigod	l iː ð i j o d
liþigode	l iː ð i j o d e
liþigodest	l iː ð i j o d e s t
liþigum	l i ð i j u m
liþne	l iː ð n e
liþnesse	l iː ð n e s s e
liþre	l iː ð r e
liþrene	l i ð r e n e
liþu	l iː ð u
liþum	l iː ð u m
lixung	l iː k s u ŋ ɡ
locc	l o k
lodrung	l o d r u ŋ ɡ
lofa	l o v ɑ
lofa	l oː v ɑ
lofas	l oː v ɑ s
lofdæd	l o v d æː d
lofdæda	l o v d æː d ɑ
lofdæde	l o v d æː d e
lofe	l o v e
lofe	l oː v e
lofes	l o v e s
lofes	l oː v e s
lofgeorn	l o v j e͜o rˠ n
lofian	l o v i ɑ n
lofsang	l o f s ɑ ŋ ɡ
lofsanga	l o f s ɑ ŋ ɡ ɑ
lofsangas	l o f s ɑ ŋ ɡ ɑ s
lofsange	l o f s ɑ ŋ ɡ e
lofsanges	l o f s ɑ ŋ ɡ e s
lofsangum	l o f s ɑ ŋ ɡ u m
lofu	l o v u
lofum	l o v u m
lofum	l oː v u m
lofung	l o v u ŋ ɡ
lofunga	l o v u ŋ ɡ ɑ
lofunge	l o v u ŋ ɡ e
lofungum	l o v u ŋ ɡ u m
log	l oː ɣ
loga	l o ɣ ɑ
logan	l o ɣ ɑ n
logast	l oː ɣ ɑ s t
logaþ	l oː ɣ ɑ θ
logen	l o ɣ e n
logena	l o ɣ e n ɑ
loges	l oː ɣ e s
logian	l oː ɣ i ɑ n
logiaþ	l oː ɣ i ɑ θ
logiende	l oː ɣ i e n d e
logige	l oː ɣ i j e
logode	l oː ɣ o d e
logodon	l oː ɣ o d o n
long	l o ŋ ɡ
longa	l o ŋ ɡ ɑ
longade	l o ŋ ɡ ɑ d e
longan	l o ŋ ɡ ɑ n
longaþ	l ɑ ŋ ɡ ɑ θ
longaþes	l o ŋ ɡ ɑ θ e s
longe	l o ŋ ɡ e
longes	l o ŋ ɡ e s
longian	l o ŋ ɡ i ɑ n
longne	l o ŋ ɡ n e
longode	l o ŋ ɡ o d e
longre	l o ŋ ɡ r e
longsum	l o ŋ ɡ s u m
longsuman	l o ŋ ɡ z u m ɑ n
longsume	l o ŋ ɡ z u m e
longsumne	l o ŋ ɡ z u m n e
longsumre	l o ŋ ɡ z u m r e
longsumu	l o ŋ ɡ z u m u
longsumum	l o ŋ ɡ z u m u m
longum	l o ŋ ɡ u m
longung	l o ŋ ɡ u ŋ ɡ
longunge	l o ŋ ɡ u ŋ ɡ e
losa	l o z ɑ
losað	l o z ɑ θ
losaþ	l o z ɑ θ
lose	l o z e
losian	l o z i ɑ n
losiaþ	l o z i ɑ θ
losige	l o z i j e
losod	l o z o d
losode	l o z o d e
losodon	l o z o d o n
loþa	l o ð ɑ
loþan	l o ð ɑ n
lufa	l u v ɑ
Lufa	l u v ɑ
lufan	l u v ɑ n
lufast	l u v ɑ s t
lufaþ	l u v ɑ θ
lufe	l u v e
lufena	l u v e n ɑ
lufestice	l u v e s t i t͡ʃ e
lufestices	l u v e s t i t͡ʃ e s
lufestre	l u v e s t r e
lufian	l u v i ɑ n
lufiaþ	l u v i ɑ θ
lufiend	l u v i e n d
lufiendas	l u v i e n d ɑ s
lufiende	l u v i e n d e
lufiendes	l u v i e n d e s
lufiendra	l u v i e n d r ɑ
lufiendum	l u v i e n d u m
lufienne	l u v i e n n e
lufige	l u v i j e
lufigen	l u v i j e n
luflic	l u v l iː t͡ʃ
luflice	l u v l iː t͡ʃ e
luflicum	l u v l iː t͡ʃ u m
lufod	l u v o d
lufode	l u v o d e
lufoden	l u v o d e n
lufodest	l u v o d e s t
lufodon	l u v o d o n
lufræden	l u v r æː d e n
lufu	l u v u
Lufu	l u v u
lufung	l u v u ŋ ɡ
lufunge	l u v u ŋ ɡ e
lufwenda	l u v w e n d ɑ
lufwendan	l u v w e n d ɑ n
lufwende	l u v w e n d e
lufwendes	l u v w e n d e s
lufwendne	l u v w e n d n e
lufwendra	l u v w e n d r ɑ
lufwendre	l u v w e n d r e
lufwendum	l u v w e n d u m
luge	l u ɣ e
lugon	l u ɣ o n
Lundenburg	l u n d e n b u rˠ ɣ
Lundenbyrg	l u n d e n b y rˠ j
lundlaga	l u n d l ɑ ɣ ɑ
lundlagan	l u n d l ɑ ɣ ɑ n
lungen	l u ŋ ɡ e n
lungenadl	l u ŋ ɡ e n ɑː d l
lungenadle	l u ŋ ɡ e n ɑː d l e
lungenna	l u ŋ ɡ e n n ɑ
lungenne	l u ŋ ɡ e n n e
lungennum	l u ŋ ɡ e n n u m
lusa	l uː z ɑ
luse	l uː z e
lustbærlican	l u s t b æː rˠ l iː t͡ʃ ɑ n
lustbærne	l u s t b æː rˠ n e
lustbærre	l u s t b æː rˠ rˠ e
lustfull	l u s t f u ɫ
lustfulnessa	l u s t f u ɫ n e s s ɑ
lustfulnesse	l u s t f u ɫ n e s s e
lybb	l y b
lybesn	l y b e z n
lybesna	l y b e z n ɑ
lybesne	l y b e z n e
lybesnum	l y b e z n u m
lyffetung	l y f f e t u ŋ ɡ
lyffetunga	l y f f e t u ŋ ɡ ɑ
lyffetunge	l y f f e t u ŋ ɡ e
lyffetungum	l y f f e t u ŋ ɡ u m
lyfnes	l yː v n e s
lyfthelm	l y f t h e ɫ m
lyge	l y ɣ e
lysan	l yː z ɑ n
lysaþ	l yː z ɑ θ
lysde	l yː z d e
lysdest	l yː z d e s t
lyse	l yː z e
lysed	l yː z e d
lysenne	l yː z e n n e
lyseþ	l yː z e θ
lysu	l y z u
lyswe	l y z w e
lyswen	l y z w e n
lyswena	l y z w e n ɑ
lyswes	l y z w e s
lytelne	l yː t e ɫ n e
lytelnesse	l yː t e ɫ n e s s e
lytelnysse	l yː t e ɫ n y s s e
lytelra	l yː t e ɫ r ɑ
lytelre	l yː t e ɫ r e
lythwon	l yː t ʍ oː n
lytling	l yː t l i ŋ ɡ
lyþerne	l yː ð e rˠ n e
lyþra	l yː ð r ɑ
lyþran	l yː ð r ɑ n
lyþre	l yː ð r e
lyþrum	l yː ð r u m
macunge	m ɑ k u ŋ ɡ e
Maðante	m ɑ ð ɑ n t e
maðolade	m ɑ ð o l ɑ d e
mæcg	m æ d͡ʒ
mæcga	m æ d d͡ʒ ɑ
mæcgan	m æ d d͡ʒ ɑ n
mædencild	m æː d e n t͡ʃ i ɫ d
mægdencild	m æ j d e n t͡ʃ i ɫ d
mægdencilda	m æ j d e n t͡ʃ i ɫ d ɑ
mægdencilde	m æ j d e n t͡ʃ i ɫ d e
mægdencildes	m æ j d e n t͡ʃ i ɫ d e s
mægdencildra	m æ j d e n t͡ʃ i ɫ d r ɑ
mægdencildru	m æ j d e n t͡ʃ i ɫ d r u
mægdencildrum	m æ j d e n t͡ʃ i ɫ d r u m
mægdencildum	m æ j d e n t͡ʃ i ɫ d u m
mægdenhad	m æ j d e n h ɑː d
mægdenmann	m æ j d e n m ɑ n
mægdenmenn	m æ j d e n m e n
mægðe	m æ j ð e
mægencræfte	m æ j e ŋ k r æ f t e
mægencræftes	m æ j e ŋ k r æ f t e s
mægencyning	m æ j e n k y n i ŋ ɡ
mægencyninga	m æ j e n k y n i ŋ ɡ ɑ
mægencyningas	m æ j e n k y n i ŋ ɡ ɑ s
mægencyninge	m æ j e n k y n i ŋ ɡ e
mægencyninges	m æ j e n k y n i ŋ ɡ e s
mægencyningum	m æ j e n k y n i ŋ ɡ u m
mægenfultum	m æ j e n f u ɫ t u m
mægenfultuma	m æ j e n f u ɫ t u m ɑ
mægeþblæd	m æ j e ð b l æ d
mægeþhad	m æ j e θ h ɑː d
mægeþhade	m æ j e θ h ɑː d e
mægeþhades	m æ j e θ h ɑː d e s
mæghæmed	m æː j h æː m e d
Mæghelm	m æː j w u ɫ f
mægþ	m æː ɣ θ
mægþblæd	m æ j ð b l æ d
mægþe	m æ j ð e
mægþhad	m æː j θ h ɑː d
mægþhad	m æ j θ h ɑː d
mægþhade	m æː j θ h ɑː d e
mægþhade	m æ j θ h ɑː d e
mægþhades	m æː j θ h ɑː d e s
mægþhades	m æ j θ h ɑː d e s
mæht	m æ ç t
mælde	m æː ɫ d e
mældon	m æː ɫ d o n
Mældun	m æ ɫ d uː n
mængan	m æ n d͡ʒ ɑ n
mænsumian	m æː n z u m i ɑ n
mænsumiaþ	m æː n z u m i ɑ θ
mænsumode	m æː n z u m o d e
mærde	m æː rˠ d e
mærden	m æː rˠ d e n
mærdon	m æː rˠ d o n
mærlican	m æː rˠ l iː t͡ʃ ɑ n
mærlicra	m æː rˠ l iː k r ɑ
mærlicum	m æː rˠ l iː t͡ʃ u m
mærra	m æː rˠ rˠ ɑ
mærre	m æː rˠ rˠ e
mærsa	m æː rˠ z ɑ
mærsast	m æː rˠ z ɑ s t
mærsaþ	m æː rˠ z ɑ θ
mærsian	m æː rˠ z i ɑ n
mærsiaþ	m æː rˠ z i ɑ θ
mærsiende	m æː rˠ z i e n d e
mærsienne	m æː rˠ z i e n n e
mærsige	m æː rˠ z i j e
mærsigen	m æː rˠ z i j e n
mærsod	m æː rˠ z o d
mærsode	m æː rˠ z o d e
mærsodest	m æː rˠ z o d e s t
mærsodon	m æː rˠ z o d o n
mærstan	m æː rˠ s t ɑː n
mærsung	m æː rˠ z u ŋ ɡ
mærsunga	m æː rˠ z u ŋ ɡ ɑ
mærsunge	m æː rˠ z u ŋ ɡ e
mærsungtima	m æː rˠ z u ŋ ɡ t iː m ɑ
mærsungtiman	m æː rˠ z u ŋ ɡ t iː m ɑ n
mærsungum	m æː rˠ z u ŋ ɡ u m
mærþ	m æː rˠ θ
mærþ	m æ rˠ θ
mærþa	m æː rˠ ð ɑ
mæseren	m æ z e r e n
mæsling	m æ z l i ŋ ɡ
mæslinga	m æ z l i ŋ ɡ ɑ
mæsseæfen	m æ s s e æː v e n
mæssedaga	m æ s s e d ɑ ɣ ɑ
mæssedagas	m æ s s e d ɑ ɣ ɑ s
mæssedagum	m æ s s e d ɑ ɣ u m
mæsseniht	m æ s s e n i ç t
mæssenihtum	m æ s s e n i ç t u m
mæssesang	m æ s s e s ɑ ŋ ɡ
mæssesanga	m æ s s e s ɑ ŋ ɡ ɑ
mæssesangas	m æ s s e s ɑ ŋ ɡ ɑ s
