'ntós	n̪ t̪ o s
desierta	d̪ e s j e ɾ t̪ a
desiertes	d̪ e s j e ɾ t̪ e s
desierto	d̪ e s j e ɾ t̪ o
desiertos	d̪ e s j e ɾ t̪ o s
desiertu	d̪ e s j e ɾ t̪ u
desixir	d̪ e s i ʃ i ɾ
desmilitarizáu	d̪ e z m i l i t̪ a ɾ i θ a u̯
desortir	d̪ e s o ɾ t̪ i ɾ
despacio	d̪ e s p a θ j o
despotismu	d̪ e s p o t̪ i z m u
destinar	d̪ e s̪ t̪ i n a ɾ
destruyíu	d̪ e s̪ t̪ ɾ u ʝ i u
detalle	d̪ e t̪ a ʎ e
detective	d̪ e t̪ e k t̪ i β̞ e
detener	d̪ e t̪ e n e ɾ
detenida	d̪ e t̪ e n i ð̞ a
deteníu	d̪ e t̪ e n i u
deterioráu	d̪ e t̪ e ɾ j o ɾ a u̯
determinas	d̪ e t̪ e ɾ m i n a s
determináu	d̪ e t̪ e ɾ m i n a u̯
deteutive	d̪ e t̪ ø u t̪ i β̞ e
detonador	d̪ e t̪ o n a ð̞ o ɾ
detonar	d̪ e t̪ o n a ɾ
detonáu	d̪ e t̪ o n a u̯
deu	d̪ ø u
deuda	d̪ ø u ð̞ a
devueltu	d̪ e β̞ w e l̪ t̪ u
diacrítico	d̪ j a k ɾ i t̪ i k o
diacríticu	d̪ j a k ɾ i t̪ i k u
dialectal	d̪ j a l e k t̪ a l
dialectos	d̪ j a l e k t̪ o s
dialectu	d̪ j a l e k t̪ u
dialeutal	d̪ j a l ø u t̪ a l
dialeutos	d̪ j a l ø u t̪ o s
dialeutu	d̪ j a l ø u t̪ u
diañu	d̪ j a ɲ u
dica	d̪ i k a
diccionariu	d̪ i k θ j o n a ɾ j u
dicha	d̪ i t͡ʃ a
diches	d̪ i t͡ʃ e s
dicho	d̪ i t͡ʃ o
dichos	d̪ i t͡ʃ o s
dichu	d̪ i t͡ʃ u
diecisiete	d̪ j e θ i s j e t̪ e
dieldu	d̪ j e l̪ d̪ u
diente	d̪ j ẽ n̪ t̪ e
dientro	d̪ j ẽ n̪ t̪ ɾ o
diez	d̪ j e θ
diezmillonésimu	d̪ j e θ̬ m i ʎ o n e s i m u
diferente	d̪ i f e ɾ ẽ n̪ t̪ e
diferentes	d̪ i f e ɾ ẽ n̪ t̪ e s
diferida	d̪ i f e ɾ i ð̞ a
diferíu	d̪ i f e ɾ i u
difícil	d̪ i f i θ i l
dineru	d̪ i n e ɾ u
dinosaurios	d̪ i n o s a u̯ ɾ j o s
dios	d̪ j o s
Dios	d̪ j o s
diplomacia	d̪ i p l o m a θ j a
diplomacies	d̪ i p l o m a θ j e s
diplomático	d̪ i p l o m a t̪ i k o
diplomáticu	d̪ i p l o m a t̪ i k u
discriminada	d̪ i s k ɾ i m i n a ð̞ a
discrimináu	d̪ i s k ɾ i m i n a u̯
discutible	d̪ i s k u t̪ i β̞ l e
dispacio	d̪ i s p a θ j o
distinguíu	d̪ i s̪ t̪ i ŋ ɡ i u
distinto	d̪ i s̪ t̪ ĩ n̪ t̪ o
distraer	d̪ i s̪ t̪ ɾ a e ɾ
distrayer	d̪ i s̪ t̪ ɾ a ʝ e ɾ
distrayida	d̪ i s̪ t̪ ɾ a ʝ i ð̞ a
distrayíes	d̪ i s̪ t̪ ɾ a ʝ i e s
distrayío	d̪ i s̪ t̪ ɾ a ʝ i o
distrayíos	d̪ i s̪ t̪ ɾ a ʝ i o s
distrayíu	d̪ i s̪ t̪ ɾ a ʝ i u
distribuyíu	d̪ i s̪ t̪ ɾ i β̞ u ʝ i u
disueltu	d̪ i s w e l̪ t̪ u
diversa	d̪ i β̞ e ɾ s a
diverses	d̪ i β̞ e ɾ s e s
diversidá	d̪ i β̞ e ɾ s i ð̞ a
diverso	d̪ i β̞ e ɾ s o
diversos	d̪ i β̞ e ɾ s o s
diversu	d̪ i β̞ e ɾ s u
divertíu	d̪ i β̞ e ɾ t̪ i u
doce	d̪ o θ e
doctor	d̪ o k t̪ o ɾ
documentación	d̪ o k u m ẽ n̪ t̪ a θ j õ ŋ
documentos	d̪ o k u m ẽ n̪ t̪ o s
dolce	d̪ o l̟ θ e
domenicar	d̪ o m e n i k a ɾ
domingu	d̪ o m i ŋ ɡ u
domináu	d̪ o m i n a u̯
dondu	d̪ õ n̪ d̪ u
dormida	d̪ o ɾ m i ð̞ a
dormir	d̪ o ɾ m i ɾ
dormíu	d̪ o ɾ m i u
dos	d̪ o s
dotor	d̪ o t̪ o ɾ
dubia	d̪ u β̞ j a
duda	d̪ u ð̞ a
dulce	d̪ u l̟ θ e
dulda	d̪ u l̪ d̪ a
dun	d̪ ũ ŋ
dunviar	d̪ ũ m b j a ɾ
dunviu	d̪ ũ m b j u
duplicáu	d̪ u p l i k a u̯
duplu	d̪ u p l u
duque	d̪ u k e
duquesu	d̪ u k e s u
duráu	d̪ u ɾ a u̯
duviachu	d̪ u β̞ j a t͡ʃ u
década	d̪ e k a ð̞ a
dél	d̪ e l
día	d̪ i a
dómina	d̪ o m i n a
echar	e t͡ʃ a ɾ
ecolóxicu	e k o l o ʃ i k u
Ecuador	e k w a ð̞ o ɾ
edición	e ð̞ i θ j õ ŋ
edificiu	e ð̞ i f i θ j u
editar	e ð̞ i t̪ a ɾ
educación	e ð̞ u k a θ j õ ŋ
educáis	e ð̞ u k a i̯ s
educáu	e ð̞ u k a u̯
edá	e ð̞ a
efeutu	e f ø u t̪ u
eichar	e i̯ t͡ʃ a ɾ
Eilao	e i̯ l a o
eispaciu	e i̯ s p a θ j u
el	e l
elefante	e l e f ã n̪ t̪ e
elementos	e l e m ẽ n̪ t̪ o s
elementu	e l e m ẽ n̪ t̪ u
eleváu	e l e β̞ a u̯
eliminada	e l i m i n a ð̞ a
eliminar	e l i m i n a ɾ
eliminas	e l i m i n a s
elimino	e l i m i n o
elimináu	e l i m i n a u̯
elli	e ʎ i
emancipáu	e m ã n̟ θ i p a u̯
embalagar	ẽ m b a l a ɡ a ɾ
embaxo	ẽ m b a ʃ o
embelecu	ẽ m b e l e k u
embelga	ẽ m b e l ɡ a
emborrachase	ẽ m b o r a t͡ʃ a s e
emitida	e m i t̪ i ð̞ a
emitíu	e m i t̪ i u
empeorar	ẽ m p e o ɾ a ɾ
empisonáu	ẽ m p i s o n a u̯
emplegar	ẽ m p l e ɡ a ɾ
emplegu	ẽ m p l e ɡ u
emplegáu	ẽ m p l e ɡ a u̯
empodrecer	ẽ m p o ð̞ ɾ e θ e ɾ
empozaretáu	ẽ m p o θ a ɾ e t̪ a u̯
empresa	ẽ m p ɾ e s a
en	ẽ ŋ
enantes	e n ã n̪ t̪ e s
enanu	e n a n u
encalar	e ŋ k a l a ɾ
encaliar	e ŋ k a l j a ɾ
encalzar	e ŋ k a l̟ θ a ɾ
encalïar	e ŋ k a l i a ɾ
encarar	e ŋ k a ɾ a ɾ
encartar	e ŋ k a ɾ t̪ a ɾ
enciclopedia	ẽ n̟ θ i k l o p e ð̞ j a
encolingar	e ŋ k o l i ŋ ɡ a ɾ
encontráu	e ŋ k õ n̪ t̪ ɾ a u̯
encuesta	e ŋ k w e s̪ t̪ a
ende	ẽ n̪ d̪ e
endelgazar	ẽ n̪ d̪ e l ɡ a θ a ɾ
Enedina	e n e ð̞ i n a
enerxía	e n e ɾ ʃ i a
enestonces	e n e s̪ t̪ õ n̟ θ e s
enestoncias	e n e s̪ t̪ õ n̟ θ j a s
enfadar	ẽ ɱ f a ð̞ a ɾ
enfadáu	ẽ ɱ f a ð̞ a u̯
enfatizáu	ẽ ɱ f a t̪ i θ a u̯
enfotar	ẽ ɱ f o t̪ a ɾ
enfotáu	ẽ ɱ f o t̪ a u̯
engarabecer	e ŋ ɡ a ɾ a β̞ e θ e ɾ
engarabellar	e ŋ ɡ a ɾ a β̞ e ʎ a ɾ
engarrar	e ŋ ɡ a r a ɾ
engrueba	e ŋ ɡ ɾ w e β̞ a
enguadar	e ŋ ɡ w a ð̞ a ɾ
enguadu	e ŋ ɡ w a ð̞ u
enguedeyar	e ŋ ɡ e ð̞ e ʝ a ɾ
enguedeyu	e ŋ ɡ e ð̞ e ʝ u
engurullar	e ŋ ɡ u ɾ u ʎ a ɾ
enllaguazar	ẽ ɲ ʎ a ɡ w a θ a ɾ
enllaz	ẽ ɲ ʎ a θ
enmancurniáu	ẽ m m a ŋ k u ɾ n j a u̯
Enol	e n o l
ensame	ẽ n s a m e
ensayar	ẽ n s a ʝ a ɾ
ensayu	ẽ n s a ʝ u
enseñanza	ẽ n s e ɲ ã n̟ θ a
enseñar	ẽ n s e ɲ a ɾ
entamador	ẽ n̪ t̪ a m a ð̞ o ɾ
entamu	ẽ n̪ t̪ a m u
entender	ẽ n̪ t̪ ẽ n̪ d̪ e ɾ
entendible	ẽ n̪ t̪ ẽ n̪ d̪ i β̞ l e
enteráu	ẽ n̪ t̪ e ɾ a u̯
entestar	ẽ n̪ t̪ e s̪ t̪ a ɾ
entestinu	ẽ n̪ t̪ e s̪ t̪ i n u
entierru	ẽ n̪ t̪ j e r u
entoes	ẽ n̪ t̪ o e s
entoice	ẽ n̪ t̪ o i̯ θ e
entonación	ẽ n̪ t̪ o n a θ j õ ŋ
entonces	ẽ n̪ t̪ õ n̟ θ e s
entoncia	ẽ n̪ t̪ õ n̟ θ j a
entoncias	ẽ n̪ t̪ õ n̟ θ j a s
entoncies	ẽ n̪ t̪ õ n̟ θ j e s
entoncis	ẽ n̪ t̪ õ n̟ θ i s
entoxu	ẽ n̪ t̪ o ʃ u
entrar	ẽ n̪ t̪ ɾ a ɾ
entrenar	ẽ n̪ t̪ ɾ e n a ɾ
entretenida	ẽ n̪ t̪ ɾ e t̪ e n i ð̞ a
entreteníu	ẽ n̪ t̪ ɾ e t̪ e n i u
entrevista	ẽ n̪ t̪ ɾ e β̞ i s̪ t̪ a
entruga	ẽ n̪ t̪ ɾ u ɡ a
entóis	ẽ n̪ t̪ o i̯ s
entón	ẽ n̪ t̪ õ ŋ
entóncenes	ẽ n̪ t̪ õ n̟ θ e n e s
entóncianas	ẽ n̪ t̪ õ n̟ θ j a n a s
entós	ẽ n̪ t̪ o s
entós	n̟ t o s
entúes	ẽ n̪ t̪ u e s
envitar	ẽ m b i t̪ a ɾ
envite	ẽ m b i t̪ e
envueltu	ẽ m b w e l̪ t̪ u
enxamás	ẽ ɲ ʃ a m a s
enxeita	ẽ ɲ ʃ e i̯ t̪ a
enxeitar	ẽ ɲ ʃ e i̯ t̪ a ɾ
enxundia	ẽ ɲ ʃ ũ n̪ d̪ j a
equivalencia	e k i β̞ a l ẽ n̟ θ j a
equivalir	e k i β̞ a l i ɾ
equí	e k i
era	e ɾ a
ergüeya	e ɾ ɡ w e ʝ a
ermu	e ɾ m u
error	e r o ɾ
erru	e r u
erupción	e ɾ u p θ j õ ŋ
esame	e s a m e
esaminar	e s a m i n a ɾ
esamináu	e s a m i n a u̯
esautamente	e s a u̯ t̪ a m ẽ n̪ t̪ e
esautu	e s a u̯ t̪ u
esbillar	e z β̞ i ʎ a ɾ
escaecer	e s k a e θ e ɾ
escaldoriáu	e s k a l̪ d̪ o ɾ j a u̯
escalecer	e s k a l e θ e ɾ
escalecíu	e s k a l e θ i u
escalera	e s k a l e ɾ a
escaláu	e s k a l a u̯
escarriar	e s k a r j a ɾ
escazar	e s k a θ a ɾ
esceicional	e s̪ θ e i̯ θ j o n a l
esceicionales	e s̪ θ e i̯ θ j o n a l e s
esceicionalidá	e s̪ θ e i̯ θ j o n a l i ð̞ a
esceicionalmente	e s̪ θ e i̯ θ j o n a l m ẽ n̪ t̪ e
esceición	e s̪ θ e i̯ θ j õ ŋ
esclavu	e s k l a β̞ u
escobixu	e s k o β̞ i ʃ u
Escocia	e s k o θ j a
escolarizáu	e s k o l a ɾ i θ a u̯
escopeta	e s k o p e t̪ a
escorrentar	e s k o r ẽ n̪ t̪ a ɾ
escorrer	e s k o r e ɾ
escoyeta	e s k o ʝ e t̪ a
escribir	e s k ɾ i β̞ i ɾ
escrita	e s k ɾ i t̪ a
escrites	e s k ɾ i t̪ e s
escrito	e s k ɾ i t̪ o
escritos	e s k ɾ i t̪ o s
escritu	e s k ɾ i t̪ u
escritura	e s k ɾ i t̪ u ɾ a
escualu	e s k w a l u
escuchar	e s k u t͡ʃ a ɾ
escuela	e s k w e l a
escuenciu	e s k w ẽ n̟ θ j u
esculibiertu	e s k u l i β̞ j e ɾ t̪ u
esculibierzu	e s k u l i β̞ j e ɾ θ u
esculigüerzu	e s k u l i ɡ w e ɾ θ u
esculpa	e s k u l p a
escultóricu	e s k u l̪ t̪ o ɾ i k u
escusáu	e s k u s a u̯
esentóncenes	e s ẽ n̪ t̪ õ n̟ θ e n e s
esfargatar	e s f a ɾ ɡ a t̪ a ɾ
esfargatáu	e s f a ɾ ɡ a t̪ a u̯
esfera	e s f e ɾ a
esfinxe	e s f ĩ ɲ ʃ e
esfotar	e s f o t̪ a ɾ
esfoyaza	e s f o ʝ a θ a
esfrutar	e s f ɾ u t̪ a ɾ
esfuecha	e s f w e t͡ʃ a
esfueya	e s f w e ʝ a
esgatuñu	e z ɡ a t̪ u ɲ u
esgayar	e z ɡ a ʝ a ɾ
esguilacarbayos	e z ɡ i l a k a ɾ β̞ a ʝ o s
esistencia	e s i s̪ t̪ ẽ n̟ θ j a
esistencies	e s i s̪ t̪ ẽ n̟ θ j e s
esistíu	e s i s̪ t̪ i u
esixir	e s i ʃ i ɾ
Eslovaquia	e z l o β̞ a k j a
Eslovenia	e z l o β̞ e n j a
esmiagarriar	e z m j a ɡ a r j a ɾ
esmondongar	e z m õ n̪ d̪ o ŋ ɡ a ɾ
esnalar	e z n a l a ɾ
esnalu	e z n a l u
espacio	e s p a θ j o
espaciu	e s p a θ j u
espada	e s p a ð̞ a
Espadañéu	e s p a ð̞ a ɲ ø u
espalda	e s p a l̪ d̪ a
espansión	e s p ã n s j õ ŋ
espantible	e s p ã n̪ t̪ i β̞ l e
espardíu	e s p a ɾ ð̞ i u
espatuxar	e s p a t̪ u ʃ a ɾ
espaxarar	e s p a ʃ a ɾ a ɾ
espaxaretar	e s p a ʃ a ɾ e t̪ a ɾ
espaxarotar	e s p a ʃ a ɾ o t̪ a ɾ
España	e s p a ɲ a
español	e s p a ɲ o l
españolizada	e s p a ɲ o l i θ a ð̞ a
españolizar	e s p a ɲ o l i θ a ɾ
españolizáu	e s p a ɲ o l i θ a u̯
especializáu	e s p e θ j a l i θ a u̯
específicamente	e s p e θ i f i k a m ẽ n̪ t̪ e
específico	e s p e θ i f i k o
específicu	e s p e θ i f i k u
espelma	e s p e l m a
esperanto	e s p e ɾ ã n̪ t̪ o
esperantu	e s p e ɾ ã n̪ t̪ u
esperanza	e s p e ɾ ã n̟ θ a
esperar	e s p e ɾ a ɾ
esperas	e s p e ɾ a s
esperteyu	e s p e ɾ t̪ e ʝ u
esperáu	e s p e ɾ a u̯
espeyismu	e s p e ʝ i z m u
espeyu	e s p e ʝ u
espiga	e s p i ɡ a
espiritual	e s p i ɾ i t̪ w a l
esploráu	e s p l o ɾ a u̯
espolletar	e s p o ʎ e t̪ a ɾ
esponxa	e s p õ ɲ ʃ a
esportáu	e s p o ɾ t̪ a u̯
espresar	e s p ɾ e s a ɾ
espresáu	e s p ɾ e s a u̯
espuestu	e s p w e s̪ t̪ u
espíritu	e s p i ɾ i t̪ u
esquierdu	e s k j e ɾ ð̞ u
esquisa	e s k i s a
esquí	e s k i
estabilizáu	e s̪ t̪ a β̞ i l i θ a u̯
establecer	e s̪ t̪ a β̞ l e θ e ɾ
estaciones	e s̪ t̪ a θ j o n e s
estación	e s̪ t̪ a θ j õ ŋ
estadios	e s̪ t̪ a ð̞ j o s
estadoxunidense	e s̪ t̪ a ð̞ o ʃ u n i ð̞ ẽ n s e
estaferia	e s̪ t̪ a f e ɾ j a
estantín	e s̪ t̪ ã n̪ t̪ ĩ ŋ
estar	e s̪ t̪ a ɾ
estatua	e s̪ t̪ a t̪ w a
estatutu	e s̪ t̪ a t̪ u t̪ u
este	e s̪ t̪ e
esterilizáu	e s̪ t̪ e ɾ i l i θ a u̯
esternón	e s̪ t̪ e ɾ n õ ŋ
estilizáis	e s̪ t̪ i l i θ a i̯ s
estilizáu	e s̪ t̪ i l i θ a u̯
estimuláu	e s̪ t̪ i m u l a u̯
estimáu	e s̪ t̪ i m a u̯
estinguíu	e s̪ t̪ i ŋ ɡ i u
estonces	e s̪ t̪ õ n̟ θ e s
estoncias	e s̪ t̪ õ n̟ θ j a s
estoncies	e s̪ t̪ õ n̟ θ j e s
Estonia	e s̪ t̪ o n j a
estordegar	e s̪ t̪ o ɾ ð̞ e ɡ a ɾ
estordigar	e s̪ t̪ o ɾ ð̞ i ɡ a ɾ
estrada	e s̪ t̪ ɾ a ð̞ a
estrella	e s̪ t̪ ɾ e ʎ a
estrellalbu	e s̪ t̪ ɾ e ʎ a l β̞ u
estru	e s̪ t̪ ɾ u
estructura	e s̪ t̪ ɾ u k t̪ u ɾ a
estructuráu	e s̪ t̪ ɾ u k t̪ u ɾ a u̯
estruyonada	e s̪ t̪ ɾ u ʝ o n a ð̞ a
estudiante	e s̪ t̪ u ð̞ j ã n̪ t̪ e
estudiar	e s̪ t̪ u ð̞ j a ɾ
estudio	e s̪ t̪ u ð̞ j o
estáu	e s̪ t̪ a u̯
esñalar	e z ɲ a l a ɾ
esḥueya	e s h w e ʝ a
etcetra	e t̪ θ e t̪ ɾ a
etimolóxicu	e t̪ i m o l o ʃ i k u
etnocentrismu	e t̪ n o θ ẽ n̪ t̪ ɾ i z m u
etsar	e t͡s a ɾ
eufemismu	ø u f e m i z m u
eufemística	ø u f e m i s̪ t̪ i k a
eufemístico	ø u f e m i s̪ t̪ i k o
eufemísticu	ø u f e m i s̪ t̪ i k u
europeizáu	ø u ɾ o p e i̯ θ a u̯
eusquera	ø u s k e ɾ a
eusquérica	ø u s k e ɾ i k a
eusquérico	ø u s k e ɾ i k o
eusquéricos	ø u s k e ɾ i k o s
eusquéricu	ø u s k e ɾ i k u
eusquériques	ø u s k e ɾ i k e s
Eva	e β̞ a
evadíu	e β̞ a ð̞ i u
exautamente	e ʃ a u̯ t̪ a m ẽ n̪ t̪ e
exautu	e ʃ a u̯ t̪ u
exemplos	e ʃ ẽ m p l o s
exemplu	e ʃ ẽ m p l u
exexética	e ʃ e ʃ e t̪ i k a
exexético	e ʃ e ʃ e t̪ i k o
exexéticos	e ʃ e ʃ e t̪ i k o s
exexéticu	e ʃ e ʃ e t̪ i k u
exexétiques	e ʃ e ʃ e t̪ i k e s
Exiptu	e ʃ i p t̪ u
existir	e s i s̪ t̪ i ɾ
exixir	e s i ʃ i ɾ
exércitu	e ʃ e ɾ θ i t̪ u
exéxesis	e ʃ e ʃ e s i s
exéxeta	e ʃ e ʃ e t̪ a
exéxetes	e ʃ e ʃ e t̪ e s
eyaculación	e ʝ a k u l a θ j õ ŋ
eyaculáis	e ʝ a k u l a i̯ s
eyaculáu	e ʝ a k u l a u̯
fa	f a
fabricáu	f a β̞ ɾ i k a u̯
facer	f a θ e ɾ
facilitas	f a θ i l i t̪ a s
facilitáu	f a θ i l i t̪ a u̯
factible	f a t̪ i β̞ l e
fada	f a ð̞ a
fader	f a ð̞ e ɾ
fae	f a e
faer	f a e ɾ
fai	f a i̯
faigo	f a i̯ ɡ o
fala	f a l a
faladeru	f a l a ð̞ e ɾ u
faladoriu	f a l a ð̞ o ɾ j u
falante	f a l ã n̪ t̪ e
falar	f a l a ɾ
falatible	f a l a t̪ i β̞ l e
falda	f a l̪ d̪ a
fale	f a l e
fallu	f a ʎ u
Falo	f a l o
falsu	f a l s u
falucar	f a l u k a ɾ
faláu	f a l a u̯
familia	f a m i l j a
faneca	f a n e k a
fantasma	f ã n̪ t̪ a z m a
fantasía	f ã n̪ t̪ a s i a
faraón	f a ɾ a õ ŋ
farda	f a ɾ ð̞ a
farina	f a ɾ i n a
fariña	f a ɾ i ɲ a
fascismu	f a s̪ θ i z m u
fase	f a s e
fases	f a s e s
fatu	f a t̪ u
fayucu	f a ʝ u k u
fayuelu	f a ʝ w e l u
fazaña	f a θ a ɲ a
fañeca	f a ɲ e k a
febreru	f e β̞ ɾ e ɾ u
fechu	f e t͡ʃ u
federación	f e ð̞ e ɾ a θ j õ ŋ
fedor	f e ð̞ o ɾ
felecha	f e l e t͡ʃ a
felechosu	f e l e t͡ʃ o s u
felechu	f e l e t͡ʃ u
feleitu	f e l e i̯ t̪ u
fema	f e m a
fenetible	f e n e t̪ i β̞ l e
fer	f e ɾ
ferida	f e ɾ i ð̞ a
ferradura	f e r a ð̞ u ɾ a
ferramienta	f e r a m j ẽ n̪ t̪ a
ferrial	f e r j a l
ferruñu	f e r u ɲ u
fertilizáu	f e ɾ t̪ i l i θ a u̯
ferver	f e ɾ β̞ e ɾ
fieces	f j e θ e s
fierro	f j e r o
fierru	f j e r u
filandangu	f i l ã n̪ d̪ a ŋ ɡ u
filandón	f i l ã n̪ d̪ õ ŋ
Filipines	f i l i p i n e s
filipín	f i l i p ĩ ŋ
filme	f i l m e
filosofía	f i l o s o f i a
fin	f ĩ ŋ
finamientu	f i n a m j ẽ n̪ t̪ u
firida	f i ɾ i ð̞ a
firmeza	f i ɾ m e θ a
fixi	f i ʃ i
fixo	f i ʃ o
flauta	f l a u̯ t̪ a
flecha	f l e t͡ʃ a
flechu	f l e t͡ʃ u
fletar	f l e t̪ a ɾ
flete	f l e t̪ e
flexón	f l e ʃ õ ŋ
flonda	f l õ n̪ d̪ a
flor	f l o ɾ
flúor	f l u o ɾ
fo	f o
focicu	f o θ i k u
fola	f o l a
folechu	f o l e t͡ʃ u
folgar	f o l ɡ a ɾ
folguera	f o l ɡ e ɾ a
folla	f o ʎ a
follica	f o ʎ i k a
Fombona	f õ m b o n a
Foncalada	f o ŋ k a l a ð̞ a
fonolóxicu	f o n o l o ʃ i k u
fonte	f õ n̪ t̪ e
forca	f o ɾ k a
forgaxu	f o ɾ ɡ a ʃ u
forma	f o ɾ m a
formientu	f o ɾ m j ẽ n̪ t̪ u
formiga	f o ɾ m i ɡ a
formigues	f o ɾ m i ɡ e s
fornaxe	f o ɾ n a ʃ e
fornecer	f o ɾ n e θ e ɾ
fornir	f o ɾ n i ɾ
fornu	f o ɾ n u
forqueta	f o ɾ k e t̪ a
fortifica	f o ɾ t̪ i f i k a
fortificáu	f o ɾ t̪ i f i k a u̯
fosilizáu	f o s i l i θ a u̯
fotografiabeis	f o t̪ o ɡ ɾ a f j a β̞ e i̯ s
fotográfica	f o t̪ o ɡ ɾ a f i k a
fotográfico	f o t̪ o ɡ ɾ a f i k o
fotográficos	f o t̪ o ɡ ɾ a f i k o s
fotográficu	f o t̪ o ɡ ɾ a f i k u
fou	f o u̯
foz	f o θ
fraisuelu	f ɾ a i̯ s w e l u
francesa	f ɾ ã n̟ θ e s a
franceses	f ɾ ã n̟ θ e s e s
francés	f ɾ ã n̟ θ e s
frayuelu	f ɾ a ʝ w e l u
frañer	f ɾ a ɲ e ɾ
freba	f ɾ e β̞ a
frecuente	f ɾ e k w ẽ n̪ t̪ e
freisuelu	f ɾ e i̯ s w e l u
freisuolu	f ɾ e i̯ s w o l u
freixuelu	f ɾ e i̯ ʃ w e l u
frente	f ɾ ẽ n̪ t̪ e
frentes	f ɾ ẽ n̪ t̪ e s
fresa	f ɾ e s a
frigu	f ɾ i ɡ u
frisuelu	f ɾ i s w e l u
fritir	f ɾ i t̪ i ɾ
frixuelu	f ɾ i ʃ w e l u
friyu	f ɾ i ʝ u
frustra	f ɾ u s̪ t̪ ɾ a
frustrada	f ɾ u s̪ t̪ ɾ a ð̞ a
frustras	f ɾ u s̪ t̪ ɾ a s
frustráu	f ɾ u s̪ t̪ ɾ a u̯
fruta	f ɾ u t̪ a
fráxil	f ɾ a ʃ i l
fuebu	f w e β̞ u
fuegu	f w e ɡ u
fuelga	f w e l ɡ a
fuelga	h w e l ɣ̞ a
fuente	f w ẽ n̪ t̪ e
fuercia	f w e ɾ θ j a
fuercia	h w e ɾ θ j a
fuercia	h w ø ɾ θ j a
fuercia	h w ø ɾ θ j a
fuercia	f w o ɾ θ j a
fuercia	f w ø ɾ θ j a
fueu	f w ø u
fueu	h w e u̯
fueu	h w e o
fueya	f w e ʝ a
fueya	h w e ʝ a
fueya	f w o ʝ a
fueya	f w e t͡ʃ a
fueya	f w e kʲ a
fueya	f w ø ʝ a
fueyes	f w e ʝ e s
fueyu	f w e ʝ u
fuga	f u ɡ a
fulechu	f u l e t͡ʃ u
fumar	f u m a ɾ
funcionando	f ũ n̟ θ j o n ã n̪ d̪ o
fundación	f ũ n̪ d̪ a θ j õ ŋ
fuogu	f w o ɡ u
fuonte	f w õ n̪ t̪ e
fuou	f w o u̯
furabollos	f u ɾ a β̞ o ʎ o s
furmiga	f u ɾ m i ɡ a
furnir	f u ɾ n i ɾ
furu	f u ɾ u
furón	f u ɾ õ ŋ
fusca	f u s k a
fute	f u t̪ e
futura	f u t̪ u ɾ a
futures	f u t̪ u ɾ e s
futuro	f u t̪ u ɾ o
futuros	f u t̪ u ɾ o s
futuru	f u t̪ u ɾ u
fuxir	f u ʃ i ɾ
fuína	f u i n a
fuñir	f u ɲ i ɾ
fuñu	f u ɲ u
fábrica	f a β̞ ɾ i k a
fácil	f a θ i l
fégadu	f e ɡ a ð̞ u
fértil	f e ɾ t̪ i l
física	f i s i k a
físico	f i s i k o
físicu	f i s i k u
fó	f o
gabis	ɡ a β̞ i s
gadaña	ɡ a ð̞ a ɲ a
gadañu	ɡ a ð̞ a ɲ u
gaita	ɡ a i̯ t̪ a
gaiteru	ɡ a i̯ t̪ e ɾ u
galbana	ɡ a l β̞ a n a
galería	ɡ a l e ɾ i a
Galicia	ɡ a l i θ j a
gallega	ɡ a ʎ e ɡ a
gallego	ɡ a ʎ e ɡ o
gallegos	ɡ a ʎ e ɡ o s
gallegu	ɡ a ʎ e ɡ u
gallegues	ɡ a ʎ e ɡ e s
gallina	ɡ a ʎ i n a
galán	ɡ a l ã ŋ
gama	ɡ a m a
gansu	ɡ ã n s u
Gante	ɡ ã n̪ t̪ e
ganáu	ɡ a n a u̯
garrar	ɡ a r a ɾ
gasolina	ɡ a s o l i n a
gatu	ɡ a t̪ u
gavia	ɡ a β̞ j a
gayasperu	ɡ a ʝ a s p e ɾ u
gayola	ɡ a ʝ o l a
gayoleru	ɡ a ʝ o l e ɾ u
gayu	ɡ a ʝ u
glorificáu	ɡ l o ɾ i f i k a u̯
gobernar	ɡ o β̞ e ɾ n a ɾ
gobernáu	ɡ o β̞ e ɾ n a u̯
gobiernos	ɡ o β̞ j e ɾ n o s
goch	ɡ o t͡ʃ
gochapu	ɡ o t͡ʃ a p u
gochonzón	ɡ o t͡ʃ õ n̟ θ õ ŋ
gochu	ɡ o t͡ʃ u
gochín	ɡ o t͡ʃ ĩ ŋ
gochón	ɡ o t͡ʃ õ ŋ
golondra	ɡ o l õ n̪ d̪ ɾ a
gordu	ɡ o ɾ ð̞ u
gorollu	ɡ o ɾ o ʎ u
gorón	ɡ o ɾ õ ŋ
Gozón	ɡ o θ õ ŋ
grande	ɡ ɾ ã n̪ d̪ e
granible	ɡ ɾ a n i β̞ l e
granizar	ɡ ɾ a n i θ a ɾ
granizu	ɡ ɾ a n i θ u
Grau	ɡ ɾ a u̯
gravitas	ɡ ɾ a β̞ i t̪ a s
gravitáu	ɡ ɾ a β̞ i t̪ a u̯
grifolín	ɡ ɾ i f o l ĩ ŋ
grifu	ɡ ɾ i f u
grúa	ɡ ɾ u a
gua	ɡ w a
guai	ɡ w a i̯
guaje	ɡ w a h e
guapamente	ɡ w a p a m ẽ n̪ t̪ e
guapos	ɡ w a p o s
guapu	ɡ w a p u
