'ya	j̰ áː
ƙanana	kʼ á n áː n àː
ƙandas	kʼ á n d á s
ƙanƙane	kʼ à n kʼ á n èː
ƙarami	kʼ à ɽ á m íː
ƙarni	kʼ á r n ìː
ƙarƙaf	kʼ à ɽ kʼ á p
ƙas	kʼ á s
ƙasa	kʼ á s à
ƙasa	kʼ á s áː
ƙashi	kʼ à ʃ íː
ƙasida	kʼ à s íː d àː
ƙato	kʼ áː t òː
ƙaura	kʼ á u ɽ áː
ƙauye	kʼ á u j èː
ƙazaf	kʼ á z à f
ƙazami	kʼ à z áː m íː
ƙazanta	kʼ à z â n t áː
ƙerere	kʼ èː ɽ èː ɽ èː
ƙififiya	kʼ í f í f í j á
ƙirin	kʼ í ɽ í n
ƙirji	kʼ ì ɽ d ʒ íː
ƙissa	kʼ í s s àː
ƙiyasi	kʼ ì j áː s ìː
ƙiƙam	kʼ ìː kʼ à m
ƙoda	kʼ óː d àː
ƙorama	kʼ òː ɽ á m àː
ƙosai	kʼ óː s á i
ƙoƙari	kʼ òː kʼ á ɽ í
ƙoƙiƙoƙi	kʼ óː k ì kʼ óː kʼ ì
ƙube	kʼ úː b è
ƙugiya	kʼ úː ɡ ì j áː
ƙulumi	kʼ úː l ú m íː
ƙumba	kʼ ù m b áː
ƙundu	kʼ ù n d úː
ƙuri'a	kʼ ù r í ʔ àː
ƙursunsun	kʼ ù ɽ s ù n s ù n
ƙurungu	kʼ ù ɽ ú n ɡ ù
ƙut	kʼ ú t
ƙuƙut	kʼ ú kʼ ú t
ƙwai	kʷʼ á i
ƙwaro	kʷʼ àː ɽ óː
Ƴ	j̰
ƴ	j̰
ƴa	j̰ áː
ƴar	j̰ á r
ɓakutu	ɓ áː k ú t ú
ɓangwalgwal	ɓ à n ɡʷ à l ɡʷ à l
ɓarawo	ɓ à ɽ áː w òː
ɓauna	ɓ á u n áː
ɓaure	ɓ á u ɽ éː
ɓelele	ɓ èː l èː l èː
ɓulla	ɓ ù l l á
ɓurma	ɓ ú ɽ m á
ɗa	ɗ áː
ɗa'a	ɗ áː ʔ àː
ɗabi'a	ɗ à b íː ʔ àː
ɗalibi	ɗ áː l ì b íː
ɗan	ɗ á n
ɗanye	ɗ á n j éː
ɗari	ɗ à ɽ íː
ɗari	ɗ áː ɽ íː
ɗawafi	ɗ à w áː f ìː
ɗawisu	ɗ áː w íː s ù
ɗaya	ɗ á j á
ɗefi	ɗ èː f íː
ɗigo	ɗ í ɡ òː
ɗim	ɗ ì m
ɗim	ɗ î m
ɗu	ɗ ùː
ɗungum	ɗ ù n ɡ ú m
ʼY	j̰
ʼy	j̰
