'sti	s t iː
trawstrefa	t r̥ʰ a u̯ s t r ɛ v a
trefn	t r̥ʰ ɛ v n̩
treigl	t r e i̯ ɡ l̩
treisgar	t r e i̯ s k a r
triongl	t rʰ iː ɔ ŋ l̩
trist	t r ɪ s t
tristwch	tʰ r ɪ s t ʊ χ
tristáu	tʰ r ɪ s t a ɨ̯
trwbl	t r̥ʰ ʊ b l̩
trwsgl	t r ʊ s k l̩
trychwibl	t r ə χ w ɪ b l̩
twngsten	tʰ ʊ ŋ s t ɛ n
tyst	tʰ ɪ s t
uchder	ɪ χ t ɛ r
uchderau	ɪ χ t eː r a i̯
uchderau	ɪ χ t eː r ɛ
uchderau	ɪ χ t ɛ r a i̯
uchderau	ɪ χ t ɛ r ɛ
ungellog	a m l̩ ɡ ɛ ɬ ɔ ɡ
unionongl	ɪ n j ɔ n ɔ ŋ l̩
unionongl	ɪ n j ɔ n ɔ ŋ ɔ l
urddwisg	ɪ r ð w ɪ s k
ustus	ɪ s t ɪ s
uwchbridd	i u̯ χ b r ɪ ð
uwchgroen	i u̯ χ k r ɔ i̯ n
wfft	ʊ f t
wstid	ʊ s t ɪ d
wybr	ʊ i̯ b r̩
wynepgoch	ʊ i̯ n ɛ p k ɔ χ
wysg	ʊ i̯ s k
wystl	w ɪ s t l̩
wystl	ʊ i̯ s t l̩
wystl	ʊ i̯ s t ɪ l
wythongl	ʊ i̯ θ ɔ ŋ l̩
ymeifl	ə m e i̯ v l̩
ymestyn	ə m ɛ s t ɪ n
ymffrostio	ə m f r ɔ s t j ɔ
ymgysylltu	ə m k ə s ə ɬ t i
ymherodr	ə m h ɛ r ɔ d r̩
ymhlith	ə m ɬ iː θ
ymhongar	ə m ɦ ɔ ŋ ɡ a r
ymhonni	ə m ɦ ɔ n i
ymlusgiad	ə m l ɪ s k j a d
ymlusgo	ə m l ɪ s k ɔ
ymysg	ə m ɪ s k
ynghlwm	ə ŋ l̥ʰ ʊ m
ysbaddu	ə s p a ð i
ysbaddu	ə s p aː ð i
ysbardun	ə s p a r d ɪ n
ysbarduno	ə s p a r d iː n ɔ
ysbarduno	ə s p a r d ɪ n ɔ
ysbeilio	ə s p e i̯ l j ɔ
ysbodol	ə s p oː d ɔ l
ysbodol	ə s p ɔ d ɔ l
ysboncio	ə s p ɔ ŋ k j ɔ
ysbryd	ə s p r ɪ d
ysbrydegol	ə s p r ə d eː ɡ ɔ l
ysbrydegol	ə s p r ə d ɛ ɡ ɔ l
ysbrydiaeth	ə s p r ə d j a i̯ θ
ysbrydion	ə s p r ə d j ɔ n
ysbrydol	ə s p r ə d ɔ l
ysbrydoli	ə s p r ə d oː l i
ysbrydoli	ə s p r ə d ɔ l i
ysbrydoliaeth	ə s p r ə d ɔ l j a i̯ θ
ysbrydolrwydd	ə s p r ə d ɔ l r u i̯ ð
ysbyty	s p ə t i
ysbyty	ə s p ə t i
ysbïo	ə s p iː ɔ
ysgadan	ə s k a d a n
ysgadan	ə s k aː d a n
ysgadenyn	ə s k a d eː n ɪ n
ysgadenyn	ə s k a d ɛ n ɪ n
ysgafnder	ə s k a v n d ɛ r
ysgafnhad	ə s k a v n h aː d
ysgafnhau	ə s k a v n h a i̯
ysgall	ə s k a ɬ
ysgar	ə s k a r
ysgariad	ə s k a r j a d
ysgarth	ə s k a r θ
ysgarthu	ə s k a r θ i
ysgaru	ə s k a r i
ysgaru	ə s k aː r i
ysgaw	ə s k a u̯
ysgawen	ə s k a u̯ ɛ n
ysgawn	ə s k a u̯ n
ysgeiddig	ə s k e i̯ ð ɪ ɡ
ysgerbwd	ə s k ɛ r b ʊ t
ysglodyn	s k l oː d ɪ n
ysglodyn	s k l ɔ d ɪ n
ysglodyn	ə s k l oː d ɪ n
ysglodyn	ə s k l ɔ d ɪ n
ysgol	ə s k ɔ l
ysgolor	ə s k ɔ l ɔ r
ysgrif	ə s k r ɪ v
ysgrifbin	ə s k r ɪ v b ɪ n
ysgrifen	s k r ɪ v ɛ n
ysgrifen	ə s k r ɪ v ɛ n
ysgrifennodd	ə s k r ɪ v ɛ n ɔ ð
ysgrifennu	s k r ɪ v ɛ n i
ysgrifennu	ə s k r ɪ v ɛ n i
ysgubion	ə s k ɪ b j ɔ n
ysgubo	ə s k iː b ɔ
ysgubo	ə s k ɪ b ɔ
ysgubor	ə s k iː b ɔ r
ysgubor	ə s k ɪ b ɔ r
ysguthan	s k ɪ θ a n
ysguthan	ə s k ɪ θ a n
ysgwyd	ə s k w ɪ d
ysgwydd	ə s k w ɪ ð
ysgwydd	ə s k ʊ i̯ ð
ysgyfaint	ə s k ə v a i̯ n t
ysgyfarn	ə s k ə v a r n
ystad	ə s t a d
ystafell	s t a v ɛ ɬ
ystafell	s t aː v ɛ ɬ
ystafell	ə s t a v ɛ ɬ
ystafell	ə s t aː v ɛ ɬ
ystifflog	ə s t ɪ f l ɔ ɡ
ystifflogod	ə s t ɪ f l oː ɡ ɔ d
ystifflogod	ə s t ɪ f l ɔ ɡ ɔ d
ystig	ə s t ɪ ɡ
ystlum	ə s t l ɪ m
ystlys	ə s t l ɪ s
ystlysfwrdd	ə s t l ə s v ʊ r ð
ystod	ə s t ɔ d
ystrad	ə s t r a d
ystranciog	ə s t r a ŋ k j ɔ ɡ
ystryw	ə s t r ɪ u̯
ystrywgar	ə s t r ə u̯ ɡ a r
ystumiedig	ə s t ɪ m j eː d ɪ ɡ
ystumiedig	ə s t ɪ m j ɛ d ɪ ɡ
ystyfnig	ə s t ə v n ɪ ɡ
ystyr	ə s t ɪ r
ystyrgar	ə s t ə r ɡ a r
ystyried	ə s t ə r j ɛ d
ystyriol	ə s t ə r j ɔ l
ystyrol	ə s t ə r ɔ l
ystên	ə s t eː n
