ab	ɑˀ b
redīsõz	r e d iː s ə z
reḑḑõl	r eˀ ɟː ə l
reiz	r e i z
reizõ	r e i z ə
rejā	r e j ɑː
reņ	r e ɲ
repšõz	r e p ʃ ə z
repțõ	r e p c ə
restoran	r e s t o r ɑ n
rēkõ	r eː k ə
rēnaz	r eː n ɑ z
rētš	r eː t͡ʃ
riddõ	r iˀ dː ə
rieggõz	r i eˀ ɡː ə z
riek	r i e k
riggi	r iˀ ɡː i
riggilēba	r iˀ ɡː i l eː b ɑ
riggõz	r iˀ ɡː ə z
rikāz	r i k ɑː z
rikkõ	r i kː ə
riktig	r i k t i ɡ
rikūz	r i k uː z
rink	r i n k
rinkõ	r i n k ə
rip	r i p
rips	r i p s
rišt	r i ʃ t
rištizā	r i ʃ t i z ɑː
rištīng	r i ʃ t iː n ɡ
rištjemā	r i ʃ t j e m ɑː
rištli	r i ʃ t l i
rištõ	r i ʃ t ə
rištusk	r i ʃ t u s k
rīdļõ	r iː d ʎ ə
Rīgõ	r iː ɡ ə
rīj	r iːˀ j
rīmõz	r iːˀ m ə z
rīnda	r iː n d ɑ
rīndõks	r iː n d ə k s
rīpõ	r iː p ə
rīprok	r iː p r o k
rīsõd	r iː s ə d
rīst	r iː s t
rīț	r iː c
rīvõ	r iː v ə
rīžõ	r iː ʒ ə
rok	r o k
roudi	r o u d i
rougõz	r oˀ u ɡ ə z
rov	r oˀ v
rovkuodā	r oˀ v k u o d ɑː
rovloul	r oˀ v l o u l
rovz	r oˀ v z
rovzt	r oˀ v z t
rō	r ɒːˀ
rōda	r oː d ɑ
rōgõd	r ɒː ɡ ə d
rōgõz	r ɒː ɡ ə z
rōgõz	r ɒːˀ ɡ ə z
rōibõ	r ɒː i b ə
rōntõz	r ɒː n t ə z
rōstõ	r ɒː s t ə
rōviņtõ	r ɒː v i ɲ t ə
rōz	r ɒː z
rōza	r oː z ɑ
rōziņ	r ɒː z i ɲ
rōžki	r ɒː ʒ k i
rõk	r ɯ k
rõkāndiji	r ɯ k ɑː n d i j i
rõkāndõ	r ɯ k ɑː n d ə
rõut	r ɯˀ u t
rõv	r ɯˀ v
rȭm	r ɯː m
rȭmli	r ɯː m l i
rȭskõ	r ɯː s k ə
ruisk	r uˀ i s k
rujā	r u j ɑː
Rumāņmō	r u m ɑː ɲ m ɒː
Rumēnij	r u m eː n i j
ruoikõ	r u o i k ə
ruzū	r u z uː
rūm	r uː m
Rūnõ	r uːˀ n ə
Rūnõmō	r uːˀ n ə m ɒː
rūod	r uː o d
rūogõz	r uː o ɡ ə z
rūoiska	r uː o i s k ɑ
Rūoj	r uː o j
rūoŗ	r uː o rʲ
rūost	r uː o s t
rūostõ	r uː o s t ə
Rūotšmō	r uː o t͡ʃ m ɒː
rūt	r uː t
rūtlimi	r uː t l i m i
rūtš	r uːˀ t͡ʃ
Ŗ	rʲ
ŗ	rʲ
s	s
sa	s ɑ
sabbõr	s ɑˀ bː ə r
sad	s ɑˀ d
sadā	s ɑ d ɑː
sadāz	s ɑ d ɑː z
saddõ	s ɑˀ dː ə
saddõl	s ɑˀ dː ə l
sagdit	s ɑˀ ɡ d i t
sagdõ	s ɑˀ ɡ d ə
saggõld	s ɑˀ ɡː ə l d
Saksāmō	s ɑ k s ɑː m ɒː
salā	s ɑ l ɑː
salāj	s ɑ l ɑː j
salāk	s ɑ l ɑː k
salāndõ	s ɑ l ɑː n d ə
salātõ	s ɑ l ɑː t ə
salātõd	s ɑ l ɑː t ə d
Salāts	s ɑ l ɑː t s
salli	s ɑˀ lː i
sam	s ɑˀ m
samā	s ɑ m ɑː
sandrok	s ɑ n d r o k
sangdõ	s ɑ n ɡ d ə
sastā	s ɑ s t ɑː
sāina	s ɑː i n ɑ
sä	s æ
sädgõz	s æˀ d ɡ ə z
sältõ	s æˀ l t ə
särg	s æ r ɡ
säv	s æˀ v
sǟdlõ	s æː d l ə
sǟdõ	s æː d ə
sǟl	s æːˀ l
sǟld	s æːˀ l d
sǟlga	s æː l ɡ ɑ
sǟlõ	s æːˀ l ə
Sǟnag	s æː n ɑ ɡ
sǟrna	s æː r n ɑ
se	s e
seis	s e i s
seiskimdõ	s e i s k i m d ə
seiskimdõz	s e i s k i m d ə z
seismi	s e i s m i
seismõz	s e i s m ə z
seismõztuoistõnz	s e i s m ə z t u o i s t ə n z
seissadā	s e i s s ɑ d ɑː
seissadāz	s e i s s ɑ d ɑː z
seistuoistõn	s e i s t u o i s t ə n
seistuoistõnz	s e i s t u o i s t ə n z
seļļi	s e ʎː i
seļtš	s e ʎ t͡ʃ
septembõr	s e p t e m b ə r
Serbij	s e r b i j
serk	s e r k
set	s e t
setkimdõ	s e t k i m d ə
sēji	s eː j i
sēmḑa	s eː m ɟ ɑ
sēņ	s eː ɲ
sēr	s eː r
sēršõ	s eːˀ r ʃ ə
Sibīrij	s i b iː r i j
sidām	s i d ɑː m
sidāmli	s i d ɑː m l i
sidāmõl	s i d ɑː m ə l
siddõ	s iˀ dː ə
siḑīmsõnā	s i ɟ iː m s ɯ n ɑː
siegās	s i e ɡ ɑː s
sieggõ	s i eˀ ɡː ə
sieldõ	s i e l d ə
siepā	s i e p ɑː
sigā	s i ɡ ɑː
sigāvȯzā	s i ɡ ɑː v ɤ z ɑː
siggõ	s iˀ ɡː ə
sigž	s iˀ ɡ ʒ
sigžkū	s iˀ ɡ ʒ k uː
siktār	s i k t ɑː r
silāstõ	s i l ɑː s t ə
sildzi	s iˀ l d z i
siļ	s iˀ ʎ
siļg	s i ʎ ɡ
siļgõ	s i ʎ ɡ ə
siļk	s i ʎ k
sinā	s i n ɑː
sindõ	s i n d ə
sintõ	s i n t ə
siņņi	s iˀ ɲː i
sipā	s i p ɑː
sipriki	s i p r i k i
sipšlõ	s i p ʃ l ə
siskõ	s i s k ə
sitā	s i t ɑː
sitkõz	s i t k ə z
sittõ	s i tː ə
siz	s iˀ z
sizāl	s i z ɑː l
sizāld	s i z ɑː l d
sizzõl	s iˀ zː ə l
siž	s iˀ ʒ
sižāli	s i ʒ ɑː l i
sižālikki	s i ʒ ɑː l i kː i
sī	s iː
sīḑõ	s iːˀ ɟ ə
sīḑš	s iːˀ ɟ ʃ
sīḑšt	s iːˀ ɟ ʃ t
sīedõ	s iː e d ə
sīekõrd	s iː e k ɯ r d
sīemgõz	s iː e m ɡ ə z
sīemi	s iː e m i
sīemnāiga	s iː e m n ɑː i ɡ ɑ
sīemt	s iː e m t
sīend	s iː e n d
sīepierāst	s iː e p i e r ɑː s t
sīestõ	s iː e s t ə
sīetõ	s iː e t ə
sīezõr	s iː e z ə r
sīgõz	s iː ɡ ə z
Sīkrõg	s iː k r ə ɡ
sīlda	s iː l d ɑ
sīli	s iː l i
sīlma	s iː l m ɑ
sīnõ	s iː n ə
sīņõ	s iː ɲ ə
sīpõl	s iː p ə l
sīpõllōka	s iː p ə l l oː k ɑ
skrīvõr	s k r iː v ə r
skrõuv	s k r ɯ u v
skrūodõr	s k r uː o d ə r
skūol	s k uː o l
slikțõ	s l i k c ə
Slovēnij	s l o v eː n i j
smagā	s m ɑ ɡ ɑː
smēḑ	s m eː ɟ
sogā	s o ɡ ɑː
sougdõ	s oˀ u ɡ d ə
sov	s oˀ v
sovā	s o v ɑː
sovtõ	s oˀ v t ə
sōdõ	s ɒː d ə
sōja	s ɒː j ɑ
sōmal	s ɒː m ɑ l
sōmaltõ	s ɒː m ɑ l t ə
sōna	s oː n ɑ
sōņ	s ɒː ɲ
sōņõ	s ɒː ɲ ə
sōpkõz	s ɒː p k ə z
sōra	s ɒː r ɑ
Sōrmō	s ɒː r m ɒː
sōtõ	s ɒː t ə
sōtõks	s ɒː t ə k s
sõbrā	s ɯ b r ɑː
sõggõl	s ɯˀ ɡː ə l
sõggõl	s ɯˀ ɡː ə l
sõgļõ	s ɯˀ ɡ ʎ ə
sõidõ	s ɯ i d ə
sõitõ	s ɯ i t ə
sõnā	s ɯ n ɑː
sõnārōntõz	s ɯ n ɑː r ɒː n t ə z
sõnāvīļa	s ɯ n ɑː v iː ʎ ɑ
sõstār	s ɯ s t ɑː r
sõv	s ɯˀ v
sõvlõ	s ɯˀ v l ə
sõvpivād	s ɯˀ v p i v ɑː d
sõvvõ	s ɯˀ vː ə
sõzār	s ɯ z ɑː r
sȭira	s ɯː i r ɑ
sȭrmõz	s ɯː r m ə z
Spāņ	s p ɑː ɲ
Spāņmō	s p ɑː ɲ m ɒː
spek	s p e k
spīegiļ	s p iː e ɡ i ʎ
spleiš	s p l e i ʃ
spūok	s p uː o k
spūoļ	s p uː o ʎ
statsij	s t ɑ t s i j
stōdõ	s t ɒː d ə
strepīd	s t r e p iː d
strōdõ	s t r ɒː d ə
student	s t u d e n t
stuņḑ	s t u ɲ ɟ
sudmaļ	s uˀ d m ɑ ʎ
sug	s uˀ ɡ
sugā	s u ɡ ɑː
suggõ	s uˀ ɡː ə
sugīd	s u ɡ iː d
sugli	s uˀ ɡ l i
sukā	s u k ɑː
sulā	s u l ɑː
sulātõ	s u l ɑː t ə
sulg	s u l ɡ
sulli	s uˀ lː i
sullõ	s uˀ lː ə
sumār	s u m ɑː r
suodā	s u o d ɑː
suoimõ	s u o i m ə
suoļg	s u o ʎ ɡ
suoļm	s u o ʎ m
suoŗm	s u o rʲ m
suotkõ	s u o t k ə
sušā	s u ʃ ɑː
suž	s uˀ ʒ
sū	s uː
sūkõl	s uː k ə l
sūo	s uː o
sūol	s uː o l
sūoli	s uː o l i
sūolõ	s uː o l ə
sūoļ	s uː o ʎ
sūomli	s uː o m l i
Sūomõmō	s uː o m ə m ɒː
sūoņ	s uː o ɲ
sūormõks	s uː o r m ə k s
sūoŗ	s uː o rʲ
sūr	s uː r
sūrkak	s uː r k ɑ k
sūrli	s uː r l i
sūrmõd	s uː r m ə d
sūrslõ	s uː r s l ə
sūŗit	s uː rʲ i t
svarrõ	s v ɑˀ rː ə
š	ʃ
šilt	ʃ i l t
škērõd	ʃ k eː r ə d
škink	ʃ k i n k
šlūik	ʃ l uː i k
Šveits	ʃ v e i t s
t	t̪
ta	t ɑ
tabā	t ɑ b ɑː
tabāndõks	t ɑ b ɑː n d ə k s
tabār	t ɑ b ɑː r
tabātõ	t ɑ b ɑː t ə
tabbõ	t ɑˀ bː ə
tagā	t ɑ ɡ ɑː
tagāmūpõ	t ɑ ɡ ɑː m uː p ə
tagān	t ɑ ɡ ɑː n
tagānd	t ɑ ɡ ɑː n d
taggi	t ɑˀ ɡː i
taggõ	t ɑˀ ɡː ə
taibõdakš	t ɑ i b ə d ɑ k ʃ
taim	t ɑ i m
tajā	t ɑ j ɑː
takā	t ɑ k ɑː
tal	t ɑˀ l
talk	t ɑˀ l k
taļ	t ɑ ʎ
taļšpivād	t ɑ ʎ ʃ p i v ɑː d
tapārtõ	t ɑ p ɑː r t ə
taplõ	t ɑ p l ə
tappõ	t ɑ pː ə
tarā	t ɑ r ɑː
tarāb	t ɑ r ɑː b
tarāvīļa	t ɑ r ɑː v iː ʎ ɑ
tarīļ	t ɑ r iː ʎ
tarmõ	t ɑ r m ə
tas	t ɑ s
tašīņtõ	t ɑ ʃ iː ɲ t ə
tazā	t ɑ z ɑː
tazāntõ	t ɑ z ɑː n t ə
tazzi	t ɑˀ zː i
tāgiž	t ɑːˀ ɡ i ʒ
tāibaz	t ɑː i b ɑ z
tārpali	t ɑː r p ɑ l i
täm	t æ m
täm	t æˀ m
tämā	t æ m ɑː
tämīezõ	t æˀ m iː e z ə
tämpõ	t æ m p ə
täpīņtõ	t æ p iː ɲ t ə
täs	t æ s
täsā	t æ s ɑː
tästā	t æ s t ɑː
täudõ	t æ u d ə
täutõ	t æ u t ə
täuž	t æ u ʒ
täv	t æˀ v
tǟdõks	t æːˀ d ə k s
tǟnõ	t æː n ə
tǟtõ	t æːˀ t ə
teb	t eˀ b
teddõr	t eˀ dː ə r
tegīž	t e ɡ iː ʒ
tei	t e i
teib	t e i b
teļļõ	t e ʎː ə
testament	t e s t ɑ m e n t
tēḑ	t eːˀ ɟ
tēg	t eː ɡ
tēgal	t eː ɡ ɑ l
tēj	t eː j
tēriņtõ	t eː r i ɲ t ə
tēriņtš	t eː r i ɲ t͡ʃ
tidār	t i d ɑː r
tieg	t i eˀ ɡ
tiegāndõks	t i e ɡ ɑː n d ə k s
tienāndõks	t i e n ɑː n d ə k s
tiennõ	t i eˀ nː ə
tienū	t i e n uː
tierā	t i e r ɑː
tierāb	t i e r ɑː b
tierāvīļa	t i e r ɑː v iː ʎ ɑ
tierōda	t i e r oː d ɑ
tieud	t i e u d
tieudmīez	t i e u d m iː e z
tieudõ	t i e u d ə
tig	t iˀ ɡ
tigmõd	t iˀ ɡ m ə d
tigtõ	t iˀ ɡ t ə
tijā	t i j ɑː
tijāld	t i j ɑː l d
tikā	t i k ɑː
tikkiž	t i kː i ʒ
tilā	t i l ɑː
tilbrēḑig	t i l b r eː ɟ i ɡ
tilkõ	t i l k ə
tilp	t i l p
tinā	t i n ɑː
tink	t i n k
tint	t i n t
Tirkmō	t i r k m ɒː
tībõz	t iː b ə z
tīe	t iː e
tīeažā	t iː e ɑ ʒ ɑː
tīedõ	t iːˀ e d ə
tīedõz	t iːˀ e d ə z
tīemizsõnā	t iːˀ e m i z s ɯ n ɑː
tīepǟva	t iː e p æː v ɑ
tīera	t iː e r ɑ
tīerat	t iː e r ɑ t
tīetēji	t iː e t eː j i
tīetõ	t iː e t ə
tīkõ	t iː k ə
tīkõ	t iːˀ k ə
tīlka	t iː l k ɑ
tokš	t o k ʃ
toļ	t o ʎ
tomāt	t o m ɑː t
torī	t o r iː
touvi	t o u v i
touvõaigā	t o u v ə ɑ i ɡ ɑː
touzõ	t o u z ə
tovvõ	t oˀ vː ə
tōdõ	t ɒːˀ d ə
tōgõz	t ɒː ɡ ə z
tōgõz	t ɒː ɡ ə z
tōgõz	t ɒːˀ ɡ ə z
tōla	t ɒː l ɑ
tōmi	t ɒːˀ m i
tōvaz	t oː v ɑ z
tōvaz	t ɒː v ɑ z
tõitõ	t ɯ i t ə
tõitõks	t ɯ i t ə k s
tõmbõ	t ɯ m b ə
tõrmõz	t ɯˀ r m ə z
tõuk	t ɯ u k
tõurõz	t ɯ u r ə z
tõv	t ɯˀ v
tõvā	t ɯ v ɑː
tȭla	t ɯː l ɑ
tȭlpa	t ɯː l p ɑ
tȭlza	t ɯː l z ɑ
tȭra	t ɯː r ɑ
tȭratõ	t ɯː r ɑ t ə
tȭrõks	t ɯː r ə k s
trink	t r i n k
tsepļā	t s e p ʎ ɑː
tsirp	t s i r p
Tsībõrmō	t s iː b ə r m ɒː
tsīļ	t s iː ʎ
tsukkõr	t s u kː ə r
tšoļk	t͡ʃ o ʎ k
tšūrtša	t͡ʃ uː r t͡ʃ ɑ
tubā	t u b ɑː
tubāeḑḑi	t u b ɑː eˀ ɟː i
tubāpēļi	t u b ɑː p eː ʎ i
Tukāmō	t u k ɑː m ɒː
tukkõ	t u kː ə
tulbi	t uˀ l b i
tulk	t u l k
tulkõ	t u l k ə
tulūks	t u l uː k s
tuļ	t uˀ ʎ
tuļļi	t uˀ ʎː i
tundõ	t u n d ə
tundtõb	t u n d t ə b
tuņšlõ	t u ɲ ʃ l ə
tuodli	t u oˀ d l i
tuoi	t u o i
tuoimiji	t u o i m i j i
tuoisti	t u o i s t i
tuoistõn	t u o i s t ə n
tuoistõnz	t u o i s t ə n z
tuoit	t u o i t
tuoitõ	t u o i t ə
tuož	t u oˀ ʒ
tup	t u p
tus	t u s
tutkām	t u t k ɑː m
tūgõ	t uːˀ ɡ ə
tūgõpǟva	t uːˀ ɡ ə p æː v ɑ
tūima	t uː i m ɑ
tūlda	t uː l d ɑ
tūldõ	t uː l d ə
tūļ	t uː ʎ
tūļi	t uː ʎ i
tūodõ	t uː o d ə
tūoḑõ	t uːˀ o ɟ ə
tūoigõz	t uːˀ o i ɡ ə z
tūoimki	t uː o i m k i
tūoitõg	t uː o i t ə ɡ
tūoiznapǟva	t uː o i z n ɑ p æː v ɑ
tūoļi	t uː o ʎ i
tūontõ	t uːˀ o n t ə
tūontõz	t uːˀ o n t ə z
tūoņ	t uː o ɲ
tūorõz	t uː o r ə z
tūrgõz	t uː r ɡ ə z
tūrska	t uː r s k ɑ
ț	c
Ț	c
u	u
ud	uˀ d
udār	u d ɑː r
uddi	uˀ dː i
uḑā	u ɟ ɑː
uid	u i d
uikõ	u i k ə
uim	u i m
ukkõ	u kː ə
ukš	u k ʃ
uktõ	u k t ə
ul	u l
ulātõ	u l ɑː t ə
uldõ	u l d ə
ullõ	u lː ə
ullõ	uˀ lː ə
ulzāndaji	u l z ɑː n d ɑ j i
ulzõ	u l z ə
uļļi	u ʎː i
um	uˀ m
umāl	u m ɑː l
umārz	u m ɑː r z
umbliji	u m b l i j i
umblõ	u m b l ə
umbõ	u m b ə
ummi	uˀ mː i
ummistõ	uˀ mː i s t ə
ummitsõnā	uˀ mː i t s ɯ n ɑː
un	u n
Ungārmō	u n ɡ ɑː r m ɒː
unnõ	uˀ nː ə
uņ	uˀ ɲ
uņņi	uˀ ɲː i
upāndõ	u p ɑː n d ə
urg	u r ɡ
urgõ	u r ɡ ə
urīkšõ	u r iː k ʃ ə
usk	u s k
uskõ	u s k ə
uttõ	u tː ə
ū	uː
ūdõ	uː d ə
ūdõ	uː d ə
ūdõ	uːˀ d ə
ūdstõ	uː d s t ə
ūkšõ	uːˀ k ʃ ə
ūļ	uː ʎ
ūm	uː m
ūnd	uː n d
ūolõ	uː o l ə
ūoļ	uː o ʎ
ūoļmõz	uːˀ o ʎ m ə z
ūomõg	uː o m ə ɡ
ūoņdžõl	uː o ɲ d ʒ ə l
ūoņi	uː o ɲ i
ūoņõz	uː o ɲ ə z
ūrga	uː r ɡ ɑ
ūrma	uː r m ɑ
ūsõd	uː s ə d
ūška	uː ʃ k ɑ
ūž	uː ʒ
Ūžkilā	uː ʒ k i l ɑː
ükš	y k ʃ
v	v
vabā	v ɑ b ɑː
vabām	v ɑ b ɑː m
vadā	v ɑ d ɑː
vadmõl	v ɑˀ d m ə l
vag	v ɑˀ ɡ
vagā	v ɑ ɡ ɑː
vagtõ	v ɑˀ ɡ t ə
Vaid	v ɑˀ i d
vaidlõ	v ɑ iˀ d l ə
vaidõ	v ɑˀ i d ə
vaigā	v ɑ i ɡ ɑː
vail	v ɑˀ i l
vaild	v ɑˀ i l d
vailõ	v ɑˀ i l ə
vaim	v ɑ i m
vaimi	v ɑˀ i m i
vaimõst	v ɑˀ i m ə s t
vait	v ɑˀ i t
vaitõ	v ɑˀ i t ə
vajāg	v ɑ j ɑː ɡ
vajjõ	v ɑˀ jː ə
vakā	v ɑ k ɑː
vaksā	v ɑ k s ɑː
vakț	v ɑ k c
vakțõ	v ɑ k c ə
val	v ɑˀ l
vald	v ɑ l d
valdõ	v ɑ l d ə
valktõ	v ɑ l k t ə
vallõ	v ɑˀ lː ə
vaļmõstõ	v ɑ ʎ m ə s t ə
vaļmõz	v ɑ ʎ m ə z
vanā	v ɑ n ɑː
vanāǟma	v ɑ n ɑː æː m ɑ
vanātōți	v ɑ n ɑː t ɒː c i
vanbizt	v ɑˀ n b i z t
vanbõ	v ɑˀ n b ə
vanliki	v ɑˀ n l i k i
vannõ	v ɑ nː ə
vannõ	v ɑˀ nː ə
vaņšti	v ɑ ɲ ʃ t i
vaņțlõ	v ɑ ɲ c l ə
vaps	v ɑ p s
varāld	v ɑ r ɑː l d
varāz	v ɑ r ɑː z
varri	v ɑˀ rː i
vaŗīkš	v ɑ rʲ iː k ʃ
vaŗtõ	v ɑˀ rʲ t ə
vaŗž	v ɑ rʲ ʒ
vast	v ɑ s t
vastālovā	v ɑ s t ɑː l o v ɑː
vastātõ	v ɑ s t ɑː t ə
vastõ	v ɑ s t ə
vastūks	v ɑ s t uː k s
vašk	v ɑ ʃ k
vaški	v ɑ ʃ k i
vatsā	v ɑ t s ɑː
vazār	v ɑ z ɑː r
vāgiž	v ɑːˀ ɡ i ʒ
vāina	v ɑː i n ɑ
vālda	v ɑː l d ɑ
Vāldakrīevmō	v ɑː l d ɑ k r iːˀ e v m ɒː
Vāldamer	v ɑː l d ɑ m eˀ r
vāldiņ	v ɑː l d i ɲ
vāldiž	v ɑː l d i ʒ
vālgamō	v ɑː l ɡ ɑ m ɒː
vāņka	v ɑː ɲ k ɑ
vārbaz	v ɑː r b ɑ z
vārza	v ɑː r z ɑ
vāški	v ɑːˀ ʃ k i
väg	v æˀ ɡ
väggi	v æˀ ɡː i
vändi	v æ n d i
vändõ	v æ n d ə
värb	v æ r b
väztõ	v æˀ z t ə
väzzõ	v æˀ zː ə
vǟgrõ	v æːˀ ɡ r ə
Vǟnta	v æː n t ɑ
vǟrõd	v æːˀ r ə d
veggi	v eˀ ɡː i
veis	v e i s
veitõ	v e i t ə
veitõmtõ	v e i t ə m t ə
vejjõ	v eˀ jː ə
vel	v eˀ l
veļ	v eˀ ʎ
venk	v e n k
venkõ	v e n k ə
vepšõ	v e p ʃ ə
ver	v eˀ r
verm	v e r m
verri	v eˀ rː i
veržõ	v eˀ r ʒ ə
vest	v e s t
vež	v eˀ ʒ
vežā	v e ʒ ɑː
vežgõr	v eˀ ʒ ɡ ə r
vežži	v eˀ ʒː i
vēļa	v eː ʎ ɑ
vēļõ	v eː ʎ ə
vēna	v eː n ɑ
Vēna	v eː n ɑ
vērbikšõ	v eː r b i k ʃ ə
vib	v iˀ b
Vidumō	v i d u m ɒː
Vidūmō	v i d uː m ɒː
viedām	v i e d ɑː m
vieddõ	v i eˀ dː ə
vieddõl	v i eˀ dː ə l
viennõ	v i eˀ nː ə
vientõ	v i e n t ə
vier	v i eˀ r
viertõ	v i eˀ r t ə
viettõ	v i e tː ə
vigā	v i ɡ ɑː
vigāli	v i ɡ ɑː l i
viggõl	v iˀ ɡː ə l
vijā	v i j ɑː
vijjõ	v iˀ jː ə
vikārt	v i k ɑː r t
vil	v iˀ l
vilkõ	v i l k ə
villi	v i lː i
villõ	v iˀ lː ə
villõ	v iˀ lː ə
villõ	v i lː ə
viļt	v i ʎ t
vindõ	v i n d ə
ving	v i n ɡ
vingõ	v i n ɡ ə
vir	v iˀ r
virgõ	v i r ɡ ə
virgtõ	v i r ɡ t ə
virgzi	v i r ɡ z i
virpõļ	v i r p ə ʎ
viskõ	v i s k ə
viš	v i ʃ
vitsā	v i t s ɑː
vizā	v i z ɑː
vizākuodā	v i z ɑː k u o d ɑː
vizās	v i z ɑː s
vizzõ	v iˀ zː ə
vībõ	v iː b ə
vīdkimdõz	v iː d k i m d ə z
vīdõ	v iː d ə
vīdõz	v iː d ə z
vīdsadāz	v iː d s ɑ d ɑː z
vīdtuoistõnz	v iː d t u o i s t ə n z
vīerõ	v iː e r ə
vīetšõz	v iː e t͡ʃ ə z
vīgõz	v iːˀ ɡ ə z
vīla	v iː l ɑ
vīļa	v iː ʎ ɑ
vīļakū	v iː ʎ ɑ k uː
vīmba	v iː m b ɑ
vīmkū	v iːˀ m k uː
vīmõ	v iːˀ m ə
vīnõ	v iː n ə
vīnõmōŗa	v iː n ə m ɒː rʲ ɑ
vīps	v iː p s
vīrba	v iː r b ɑ
vīrdõg	v iː r d ə ɡ
vīri	v iːˀ r i
vīrtša	v iː r t͡ʃ ɑ
vīț	v iː c
vīțõ	v iː c ə
vīțsõnā	v iː c s ɯ n ɑː
vīž	v iː ʒ
vīžkimdõ	v iː ʒ k i m d ə
vīžsadā	v iː ʒ s ɑ d ɑː
vīžtuoistõn	v iː ʒ t u o i s t ə n
vō	v ɒːˀ
vōdõr	v ɒːˀ d ə r
vōja	v ɒː j ɑ
vōjastõ	v ɒː j ɑ s t ə
vōjli	v ɒːˀ j l i
vōjõ	v ɒːˀ j ə
vōļikšiji	v ɒː ʎ i k ʃ i j i
vōŗ	v ɒː rʲ
vȯdā	v ɤ d ɑː
vȯddõrz	v ɤˀ dː ə r z
vȯdlõ	v ɤˀ d l ə
vȯi	v ɤ i
vȯidõ	v ɤ i d ə
vȯigõ	v ɤ i ɡ ə
vȯikõ	v ɤ i k ə
vȯiti	v ɤ i t i
vȯjā	v ɤ j ɑː
vȯl	v ɤˀ l
vȯlmsõnā	v ɤˀ l m s ɯ n ɑː
vȯļg	v ɤ ʎ ɡ
vȯndzi	v ɤ n d z i
vȯņ	v ɤ ɲ
vȯņštõ	v ɤ ɲ ʃ t ə
vȯrā	v ɤ r ɑː
vȯrābõz	v ɤ r ɑː b ə z
vȯrūks	v ɤ r uː k s
vȯŗki	v ɤˀ rʲ k i
vȯŗž	v ɤ rʲ ʒ
vȯstõ	v ɤ s t ə
vȯtšõ	v ɤ t͡ʃ ə
vȯzā	v ɤ z ɑː
vȯzzõ	v ɤˀ zː ə
vȯžā	v ɤ ʒ ɑː
vȱlda	v ɤː l d ɑ
vȱntsa	v ɤː n t s ɑ
vȱrna	v ɤː r n ɑ
vȱŗa	v ɤː rʲ ɑ
või	v ɯ i
võidõ	v ɯ i d ə
võilõ	v ɯˀ i l ə
võl	v ɯˀ l
võrgõ	v ɯ r ɡ ə
võttõ	v ɯ tː ə
võțīm	v ɯ c iː m
võzā	v ɯ z ɑː
vȭidag	v ɯː i d ɑ ɡ
vȭlga	v ɯː l ɡ ɑ
vȭrõz	v ɯː r ə z
vȭrõzizā	v ɯː r ə z i z ɑː
vȭrõzjemā	v ɯː r ə z j e m ɑː
ykš	y k ʃ
z	z
zäp	z æ p
zēp	z eː p
zilb	z i l b
zirmi	z i r m i
zīḑõz	z iː ɟ ə z
zīedõz	z iː e d ə z
zōig	z ɒː i ɡ
zōigõ	z ɒː i ɡ ə
zup	z u p
ž	ʒ
ǭ	ɒː
