Ա	ɑ
խում	χ u m
խումար	χ u m ɑ ɾ
խումբ	χ u m b
խումհար	χ u m h ɑ ɾ
խույլ	χ u j l
խույր	χ u j ɾ
խունդի	χ u n d i
խունկ	χ u ŋ k
խունտա	χ u n t ɑ
խուռն	χ u r ə n
խուռնա	χ u r n ɑ
խուտուտ	χ u t u t
խուրձ	χ u ɾ t͡sʰ
խուրմա	χ u ɾ m ɑ
խուց	χ u t͡sʰ
խուփ	χ u pʰ
խպիպ	χ ə p i p
խռավաթ	χ ə r ɑ v ɑ tʰ
խռթալ	χ ə r tʰ ɑ l
խռիկ	χ ə r i k
խռիվ	χ ə r i v
խռմփալ	χ ə r ə m pʰ ɑ l
խռուկ	χ ə r u k
խստիվ	χ ə s t i v
խտասալիկ	χ ə t ɑ s ɑ l i k
խտիղ	χ ə t i ʁ
խտղտանք	χ ə t ʁ ə t ɑ ŋ kʰ
խտություն	χ ə t u t͡sʰ j u n
խտրականություն	χ ə t ɾ ɑ k ɑ n u t͡sʰ j u n
խրախուսանք	χ ə ɾ ɑ χ u s ɑ ŋ kʰ
խրամ	χ ə ɾ ɑ m
խրամատ	χ ə ɾ ɑ m ɑ t
խրատ	χ ə ɾ ɑ t
խրթին	χ ə ɾ tʰ i n
խրխնջալ	χ ə ɾ χ ə n d͡ʒ ɑ l
խրծիկ	χ ə ɾ t͡s i k
խրճիթ	χ ə ɾ t͡ʃ i tʰ
խրուկ	χ ə ɾ u k
խրտվիլակ	χ ə ɾ t v i l ɑ k
խցան	χ ə t͡sʰ ɑ n
խցանակաղնի	χ ə t͡sʰ ɑ n ɑ k ɑ ʁ n i
խցանահան	χ ə t͡sʰ ɑ n ɑ h ɑ n
խցանում	χ ə t͡sʰ ɑ n u m
խցիկ	χ ə t͡sʰ i k
ծ	t͡s ə
ծա	t͡s ɑ
ծագ	t͡s ɑ kʰ
ծագում	t͡s ɑ kʰ u m
ծագումնաբան	t͡s ɑ kʰ u m n ɑ b ɑ n
ծագումնաբանություն	t͡s ɑ kʰ u m n ɑ b ɑ n u t͡sʰ j u n
ծալ	t͡s ɑ l
ծալծալ	t͡s ɑ l t͡s ɑ l
ծախ	t͡s ɑ χ
ծախիչ	t͡s ɑ χ i t͡ʃʰ
ծախծխում	t͡s ɑ χ t͡s ə χ u m
ծախու	t͡s ɑ χ u
ծախում	t͡s ɑ χ u m
ծախս	t͡s ɑ χ s
ծախսագիրք	t͡s ɑ χ s ɑ ɡ i ɾ kʰ
ծախսագրում	t͡s ɑ χ s ɑ ɡ ə ɾ u m
ծախսամատյան	t͡s ɑ χ s ɑ m ɑ t j ɑ n
ծախսային	t͡s ɑ χ s ɑ j i n
ծախսացույց	t͡s ɑ χ s ɑ t͡sʰ u j t͡sʰ
ծախսում	t͡s ɑ χ s u m
ծախված	t͡s ɑ χ v ɑ t͡s
ծախվածություն	t͡s ɑ χ v ɑ t͡s u t͡sʰ j u n
ծախք	t͡s ɑ χ kʰ
ծածան	t͡s ɑ t͡s ɑ n
ծածկույթ	t͡s ɑ t͡s k u j tʰ
ծակ	t͡s ɑ k
ծաղարար	t͡s ɑ ʁ ɑ ɾ ɑ ɾ
ծաղիկ	t͡s ɑ ʁ i k
ծաղկախտ	t͡s ɑ χ k ɑ χ t
ծաղկակաղամբ	t͡s ɑ χ k ɑ k ɑ ʁ ɑ m b
ծաղկաման	t͡s ɑ χ k ɑ m ɑ n
ծաղկյա	t͡s ɑ χ k j ɑ
ծաղկունք	t͡s ɑ χ k u ŋ kʰ
ծաղր	t͡s ɑ ʁ ə ɾ
ծաղրածու	t͡s ɑ ʁ ɾ ɑ t͡s u
ծամ	t͡s ɑ m
ծամտաք	t͡s ɑ m t ɑ kʰ
ծայր	t͡s ɑ j ɾ
ծայրակարմիր	t͡s ɑ j ɾ ɑ k ɑ ɾ m i ɾ
ծայրաքաղաք	t͡s ɑ j ɾ ɑ kʰ ɑ ʁ ɑ kʰ
ծանակ	t͡s ɑ n ɑ k
ծանծաղ	t͡s ɑ n t͡s ɑ ʁ
ծանծաղուտ	t͡s ɑ n t͡s ɑ ʁ u t
ծանուցում	t͡s ɑ n u t͡sʰ u m
ծանր	t͡s ɑ n ə ɾ
ծանրամարտ	t͡s ɑ n ɾ ɑ m ɑ ɾ t
ծանրաչափ	t͡s ɑ n ɾ ɑ t͡ʃʰ ɑ pʰ
ծանրություն	t͡s ɑ n ɾ u t͡sʰ j u n
ծառ	t͡s ɑ r
ծառա	t͡s ɑ r ɑ
ծառայություն	t͡s ɑ r ɑ j u t͡sʰ j u n
ծառզարդար	t͡s ɑ r z ɑ ɾ tʰ ɑ ɾ
ծավալ	t͡s ɑ v ɑ l
ծավալուն	t͡s ɑ v ɑ l u n
ծավի	t͡s ɑ v i
ծարավ	t͡s ɑ ɾ ɑ v
ծարավի	t͡s ɑ ɾ ɑ v i
ծարավություն	t͡s ɑ ɾ ɑ v u t͡sʰ j u n
ծարբ	t͡s ɑ ɾ b
ծարիր	t͡s ɑ ɾ i ɾ
ծափ	t͡s ɑ pʰ
ծափահարություն	t͡s ɑ pʰ ɑ h ɑ ɾ u t͡sʰ j u n
ծափահարում	t͡s ɑ pʰ ɑ h ɑ ɾ u m
ծիածան	t͡s i j ɑ t͡s ɑ n
ծիլ	t͡s i l
ծիծ	t͡s i t͡s
ծիծակ	t͡s i t͡s ɑ k
ծիծաղ	t͡s i t͡s ɑ ʁ
ծիծաղալ	t͡s i t͡s ɑ ʁ ɑ l
ծիծաղաշարժ	t͡s i t͡s ɑ ʁ ɑ ʃ ɑ ɾ ʒ
ծիծառ	t͡s i t͡s ɑ r
ծիծառնուկ	t͡s i t͡s ɑ r n u k
ծիծիկ	t͡s i t͡s i k
ծին	t͡s i n
ծիտ	t͡s i t
ծիր	t͡s i ɾ
ծիրան	t͡s i ɾ ɑ n
ծիրանի	t͡s i ɾ ɑ n i
ծիրտ	t͡s i ɾ t
ծիֆին	t͡s i f i n
ծլիկ	t͡s ə l i k
ծլիկային	t͡s ə l i k ɑ j i n
ծխած	t͡s ə χ ɑ t͡s
ծխածածկույթ	t͡s ə χ ɑ t͡s ɑ t͡s k u j tʰ
ծխանռնակ	t͡s ə χ ɑ n r n ɑ k
ծխնի	t͡s ə χ n i
ծխուկ	t͡s ə χ u k
ծծակ	t͡s ə t͡s ɑ k
ծծումբ	t͡s ə t͡s u m b
ծղնի	t͡s ə ʁ n i
ծղրիդ	t͡s ə ʁ ɾ i d
ծղրտալ	t͡s ə ʁ ə ɾ t ɑ l
ծնգալ	t͡s ə ŋ ɡ ɑ l
ծնծղա	t͡s ə n t͡s ə ʁ ɑ
ծննդավայր	t͡s ə n ə n d ɑ v ɑ j ɾ
ծնունդ	t͡s ə n u n d
ծնված	t͡s ə n v ɑ t͡s
ծուլանալ	t͡s u l ɑ n ɑ l
ծուլություն	t͡s u l u t͡sʰ j u n
ծուխ	t͡s u χ
ծուծ	t͡s u t͡s
ծուղակ	t͡s u ʁ ɑ k
ծույլ	t͡s u j l
ծունկ	t͡s u ŋ k
ծուռ	t͡s u r
ծուռումուռ	t͡s u r u m u r
ծպտի	t͡s ə p t i
ծպտյալ	t͡s ə p t j ɑ l
ծվաղ	t͡s ə v ɑ ʁ
ծվաղի	t͡s ə v ɑ ʁ i
ծրագիր	t͡s ə ɾ ɑ ɡ i ɾ
ծրագրակազմ	t͡s ə ɾ ɑ ɡ ə ɾ ɑ k ɑ z m
ծրագրային	t͡s ə ɾ ɑ ɡ ɾ ɑ j i n
ծրագրաշար	t͡s ə ɾ ɑ ɡ ə ɾ ɑ ʃ ɑ ɾ
ծրայր	t͡s ə ɾ ɑ j ɾ
ծրար	t͡s ə ɾ ɑ ɾ
ծփալ	t͡s ə pʰ ɑ l
ծփի	t͡s ə pʰ i
կ	k ə
կա	k ɑ
կադմիում	k ɑ d m i j u m
կադրային	k ɑ d ɾ ɑ j i n
կազակ	k ɑ z ɑ k
կազարմա	k ɑ z ɑ ɾ m ɑ
կազմ	k ɑ z m
կազմություն	k ɑ z m u t͡sʰ j u n
կաթ	k ɑ tʰ
կաթիլ	k ɑ tʰ i l
կաթնապուր	k ɑ tʰ n ɑ p u ɾ
կաթնասուն	k ɑ tʰ n ɑ s u n
կաթնուկ	k ɑ tʰ n u k
կաթսա	k ɑ tʰ s ɑ
կաթսայիկ	k ɑ tʰ s ɑ j i k
կաթվածահարություն	k ɑ tʰ v ɑ t͡s ɑ h ɑ ɾ u t͡sʰ j u n
կալ	k ɑ l
կալան	k ɑ l ɑ n
կալանք	k ɑ l ɑ ŋ kʰ
կալբաս	k ɑ l b ɑ s
կալիում	k ɑ l i j u m
կալված	k ɑ l v ɑ t͡s
կալվածք	k ɑ l v ɑ t͡s kʰ
կալվինական	k ɑ l v i n ɑ k ɑ n
կալցիում	k ɑ l t͡sʰ i j u m
կախ	k ɑ χ
կախակապ	k ɑ χ ɑ k ɑ p
կախաղան	k ɑ χ ɑ ʁ ɑ n
կախարդ	k ɑ χ ɑ ɾ d
կախարդ	k ɑ χ ɑ ɾ tʰ
կախարդաբար	k ɑ χ ɑ ɾ d ɑ b ɑ ɾ
կախարդական	k ɑ χ ɑ ɾ d ɑ k ɑ n
կախարդություն	k ɑ χ ɑ ɾ d u t͡sʰ j u n
կախարդվածություն	k ɑ χ ɑ ɾ d v ɑ t͡s u t͡sʰ j u n
կախիչ	k ɑ χ i t͡ʃʰ
կախվածություն	k ɑ χ v ɑ t͡s u t͡sʰ j u n
կակալ	k ɑ k ɑ l
կակալա	k ɑ k ɑ l ɑ
կակաչ	k ɑ k ɑ t͡ʃʰ
կակտուս	k ɑ k t u s
կահույր	k ɑ h u j ɾ
կահույք	k ɑ h u j kʰ
կաղ	k ɑ ʁ
կաղալ	k ɑ ʁ ɑ l
կաղաղ	k ɑ ʁ ɑ ʁ
կաղամախ	k ɑ ʁ ɑ m ɑ χ
կաղամախի	k ɑ ʁ ɑ m ɑ χ i
կաղամար	k ɑ ʁ ɑ m ɑ ɾ
կաղամբ	k ɑ ʁ ɑ m b
կաղապար	k ɑ ʁ ɑ p ɑ ɾ
կաղապարը	k ɑ ʁ ɑ p ɑ ɾ ə
կաղին	k ɑ ʁ i n
կաղկանձ	k ɑ χ k ɑ n d͡z
կաղճին	k ɑ χ t͡ʃ i n
կաղնի	k ɑ ʁ n i
կաղնուտ	k ɑ ʁ n u t
կաղջին	k ɑ ʁ d͡ʒ i n
կաճառ	k ɑ t͡ʃ ɑ r
կամ	k ɑ m
կամավ	k ɑ m ɑ v
կամար	k ɑ m ɑ ɾ
կամաց	k ɑ m ɑ t͡sʰ
կամընտիր	k ɑ m ə n t i ɾ
կամընտրական	k ɑ m ə n t ɾ ɑ k ɑ n
կամուրջ	k ɑ m u ɾ d͡ʒ
կամրջից	k ɑ m ə ɾ d͡ʒ i t͡sʰ
կամք	k ɑ m kʰ
կայան	k ɑ j ɑ n
կայանալ	k ɑ j ɑ n ɑ l
կայանում	k ɑ j ɑ n u m
կայարան	k ɑ j ɑ ɾ ɑ n
կայացած	k ɑ j ɑ t͡sʰ ɑ t͡s
կայթ	k ɑ j tʰ
կայթյուն	k ɑ j tʰ j u n
կայի	k ɑ j i
կային	k ɑ j i n
կայինք	k ɑ j i ŋ kʰ
կայիր	k ɑ j i ɾ
կայիք	k ɑ j i kʰ
կայծ	k ɑ j t͡s
կայծակ	k ɑ j t͡s ɑ k
կայծառ	k ɑ j t͡s ɑ r
կայծքար	k ɑ j t͡s kʰ ɑ ɾ
կայմ	k ɑ j m
կայուն	k ɑ j u n
կայունություն	k ɑ j u n u t͡sʰ j u n
կայսր	k ɑ j s ə ɾ
կայսրություն	k ɑ j s ɾ u t͡sʰ j u n
կայսրուհի	k ɑ j s ɾ u h i
կայտառ	k ɑ j t ɑ r
կայք	k ɑ j kʰ
կայքավար	k ɑ j kʰ ɑ v ɑ ɾ
կայֆ	k ɑ j f
կան	k ɑ n
կանադական	k ɑ n ɑ d ɑ k ɑ n
կանամբի	k ɑ n ɑ m pʰ i
կանանչ	k ɑ n ɑ n t͡ʃʰ
կանաչ	k ɑ n ɑ t͡ʃʰ
կանաչազարդ	k ɑ n ɑ t͡ʃʰ ɑ z ɑ ɾ tʰ
կանաչանալ	k ɑ n ɑ t͡ʃʰ ɑ n ɑ l
կանաչապատ	k ɑ n ɑ t͡ʃʰ ɑ p ɑ t
կանաչավուն	k ɑ n ɑ t͡ʃʰ ɑ v u n
կանացի	k ɑ n ɑ t͡sʰ i
կանափ	k ɑ n ɑ pʰ
կանգառ	k ɑ ŋ ɡ ɑ r
կանգուն	k ɑ ŋ ɡ u n
կանխամտածված	k ɑ n χ ɑ m ə t ɑ t͡s v ɑ t͡s
կանխիկ	k ɑ n χ i k
կանկան	k ɑ ŋ k ɑ n
կանկառ	k ɑ ŋ k ɑ r
կանկար	k ɑ ŋ k ɑ ɾ
կաննադա	k ɑ nː ɑ d ɑ
կանուխ	k ɑ n u χ
կանչ	k ɑ n t͡ʃʰ
կանք	k ɑ ŋ kʰ
կաշառված	k ɑ ʃ ɑ r v ɑ t͡s
կաշառվածություն	k ɑ ʃ ɑ r v ɑ t͡s u t͡sʰ j u n
կաշառք	k ɑ ʃ ɑ r kʰ
կաշի	k ɑ ʃ i
կաշկանդ	k ɑ ʃ k ɑ n d
կաշկանդիչ	k ɑ ʃ k ɑ n d i t͡ʃʰ
կաշկանդյալ	k ɑ ʃ k ɑ n d j ɑ l
կաշկանդվածություն	k ɑ ʃ k ɑ n d v ɑ t͡s u t͡sʰ j u n
կաչաղակ	k ɑ t͡ʃʰ ɑ ʁ ɑ k
կապ	k ɑ p
կապա	k ɑ p ɑ
կապակցություն	k ɑ p ɑ k t͡sʰ u t͡sʰ j u n
կապան	k ɑ p ɑ n
կապանք	k ɑ p ɑ ŋ kʰ
կապար	k ɑ p ɑ ɾ
կապարասի	k ɑ p ɑ ɾ ɑ s i
կապարճ	k ɑ p ɑ ɾ t͡ʃ
կապիկ	k ɑ p i k
կապիճ	k ɑ p i t͡ʃ
կապիտալիզմ	k ɑ p i t ɑ l i z m
կապիտալիստական	k ɑ p i t ɑ l i s t ɑ k ɑ n
կապիտան	k ɑ p i t ɑ n
կապույտ	k ɑ p u j t
կապուտ	k ɑ p u t
կապուտակ	k ɑ p u t ɑ k
կապված	k ɑ p v ɑ t͡s
կապվածություն	k ɑ p v ɑ t͡s u t͡sʰ j u n
կապտավուն	k ɑ p t ɑ v u n
կապտուկ	k ɑ p t u k
կառապան	k ɑ r ɑ p ɑ n
կառավարիչ	k ɑ r ɑ v ɑ ɾ i t͡ʃʰ
կառավարություն	k ɑ r ɑ v ɑ ɾ u t͡sʰ j u n
կառավարում	k ɑ r ɑ v ɑ ɾ u m
կառափ	k ɑ r ɑ pʰ
կառափնատ	k ɑ r ɑ pʰ n ɑ t
կառույց	k ɑ r u j t͡sʰ
կառուցակարգային	k ɑ r u t͡sʰ ɑ k ɑ ɾ kʰ ɑ j i n
կառուցում	k ɑ r u t͡sʰ u m
կառուցվածք	k ɑ r u t͡sʰ v ɑ t͡s kʰ
կառուցվածքային	k ɑ r u t͡sʰ v ɑ t͡s kʰ ɑ j i n
կառք	k ɑ r kʰ
կաս	k ɑ s
կասկ	k ɑ s k
կասկած	k ɑ s k ɑ t͡s
կասկածյալ	k ɑ s k ɑ t͡s j ɑ l
կասկարա	k ɑ s k ɑ ɾ ɑ
կասպ	k ɑ s p
կաստա	k ɑ s t ɑ
կաստայական	k ɑ s t ɑ j ɑ k ɑ n
կավ	k ɑ v
կավառ	k ɑ v ɑ r
կավատ	k ɑ v ɑ t
կավիճ	k ɑ v i t͡ʃ
կատակ	k ɑ t ɑ k
կատակագուսան	k ɑ t ɑ k ɑ ɡ u s ɑ n
կատաղախտ	k ɑ t ɑ ʁ ɑ χ t
կատաղի	k ɑ t ɑ ʁ i
կատաղություն	k ɑ t ɑ ʁ u t͡sʰ j u n
կատապան	k ɑ t ɑ p ɑ n
կատար	k ɑ t ɑ ɾ
կատարյալ	k ɑ t ɑ ɾ j ɑ l
կատիկ	k ɑ t i k
կատու	k ɑ t u
կատվառյուծ	k ɑ t v ɑ r j u t͡s
կատվիկ	k ɑ t v i k
կար	k ɑ ɾ
կարագ	k ɑ ɾ ɑ kʰ
կարամ	k ɑ ɾ ɑ m
կարանտին	k ɑ ɾ ɑ n t i n
կարապ	k ɑ ɾ ɑ p
կարաս	k ɑ ɾ ɑ s
կարբ	k ɑ ɾ b
կարգ	k ɑ ɾ kʰ
կարգաբան	k ɑ ɾ kʰ ɑ b ɑ n
կարգաբանական	k ɑ ɾ kʰ ɑ b ɑ n ɑ k ɑ n
կարգաբանություն	k ɑ ɾ kʰ ɑ b ɑ n u t͡sʰ j u n
կարգապահ	k ɑ ɾ kʰ ɑ p ɑ h
կարգապահական	k ɑ ɾ kʰ ɑ p ɑ h ɑ k ɑ n
կարգապահություն	k ɑ ɾ kʰ ɑ p ɑ h u t͡sʰ j u n
կարգավ	k ɑ ɾ kʰ ɑ v
կարգավար	k ɑ ɾ kʰ ɑ v ɑ ɾ
կարգավարական	k ɑ ɾ kʰ ɑ v ɑ ɾ ɑ k ɑ n
կարգավիճակ	k ɑ ɾ kʰ ɑ v i t͡ʃ ɑ k
կարգի	k ɑ ɾ kʰ i
կարգին	k ɑ ɾ kʰ i n
կարգիչ	k ɑ ɾ kʰ i t͡ʃʰ
կարդալ	k ɑ ɾ tʰ ɑ l
կարդինալ	k ɑ ɾ d i n ɑ l
կարդում	k ɑ ɾ tʰ u m
կարթ	k ɑ ɾ tʰ
կարիբյան	k ɑ ɾ i b j ɑ n
կարիճ	k ɑ ɾ i t͡ʃ
կարիչ	k ɑ ɾ i t͡ʃʰ
կարիք	k ɑ ɾ i kʰ
կարծիք	k ɑ ɾ t͡s i kʰ
կարծր	k ɑ ɾ t͡s ə ɾ
կարծրախտ	k ɑ ɾ t͡s ɾ ɑ χ t
կարծրատիպ	k ɑ ɾ t͡s ɾ ɑ t i p
կարկանդակ	k ɑ ɾ k ɑ n d ɑ k
կարկատան	k ɑ ɾ k ɑ t ɑ n
կարկին	k ɑ ɾ k i n
կարկուտ	k ɑ ɾ k u t
կարճ	k ɑ ɾ t͡ʃ
կարճահասակ	k ɑ ɾ t͡ʃ ɑ h ɑ s ɑ k
կարճավուն	k ɑ ɾ t͡ʃ ɑ v u n
կարմիր	k ɑ ɾ m i ɾ
կարմիրբանակային	k ɑ ɾ m i ɾ b ɑ n ɑ k ɑ j i n
կարմրախայտ	k ɑ ɾ m ɾ ɑ χ ɑ j t
կարմրախտ	k ɑ ɾ m ɾ ɑ χ t
կարմրանալ	k ɑ ɾ m ɾ ɑ n ɑ l
կարմրավուն	k ɑ ɾ m ɾ ɑ v u n
կարմրուկ	k ɑ ɾ m ɾ u k
կարստ	k ɑ ɾ s t
կարտ	k ɑ ɾ t
կացարան	k ɑ t͡sʰ ɑ ɾ ɑ n
կացին	k ɑ t͡sʰ i n
կացնահար	k ɑ t͡sʰ n ɑ h ɑ ɾ
կացնահարություն	k ɑ t͡sʰ n ɑ h ɑ ɾ u t͡sʰ j u n
կացնահարում	k ɑ t͡sʰ n ɑ h ɑ ɾ u m
կացնանման	k ɑ t͡sʰ n ɑ n ə m ɑ n
կափարիչ	k ɑ pʰ ɑ ɾ i t͡ʃʰ
կափուլ	k ɑ pʰ u l
կափույր	k ɑ pʰ u j ɾ
կաք	k ɑ kʰ
կաքավ	k ɑ kʰ ɑ v
կգան	k ə ɡ ɑ n
կզակ	k ə z ɑ k
կզաքիս	k ə z ɑ kʰ i s
կը	k ə
կթխա	k ə tʰ χ ɑ
կթղա	k ə tʰ ʁ ɑ
կիզանուտ	k i z ɑ n u t
կիզիչ	k i z i t͡ʃʰ
կիթ	k i tʰ
կիթառ	k i tʰ ɑ r
կիթառահար	k i tʰ ɑ r ɑ h ɑ ɾ
կիլիկիացի	k i l i k i j ɑ t͡sʰ i
կիլիկյան	k i l i k j ɑ n
կիծ	k i t͡s
կիճ	k i t͡ʃ
կիմչի	k i m t͡ʃʰ i
կին	k i n
կինաբար	k i n ɑ b ɑ ɾ
կինձ	k i n d͡z
կինճ	k i n t͡ʃ
կիպ	k i p
կիպարիս	k i p ɑ ɾ i s
կիսագունդ	k i s ɑ ɡ u n d
կիսաթավ	k i s ɑ tʰ ɑ v
կիսակայարան	k i s ɑ k ɑ j ɑ ɾ ɑ n
կիսաձայն	k i s ɑ d͡z ɑ j n
կիսամյակ	k i s ɑ m j ɑ k
կիսանդրի	k i s ɑ n d ɾ i
կիսաշրջան	k i s ɑ ʃ ə ɾ d͡ʒ ɑ n
կիսաշփական	k i s ɑ ʃ ə pʰ ɑ k ɑ n
կիսապաշտպան	k i s ɑ p ɑ ʃ t p ɑ n
կիսապաշտպանություն	k i s ɑ p ɑ ʃ t p ɑ n u t͡sʰ j u n
կիսաստված	k i s ɑ s t v ɑ t͡s
կիսատ	k i s ɑ t
կիսատաբատ	k i s ɑ t ɑ b ɑ t
կիսաֆաբրիկատ	k i s ɑ f ɑ b ɾ i k ɑ t
կիվ	k i v
կիվի	k i v i
կիտվածք	k i t v ɑ t͡s kʰ
կիր	k i ɾ
կիրակի	k i ɾ ɑ k i
կիրառական	k i ɾ ɑ r ɑ k ɑ n
կիրթ	k i ɾ tʰ
կիրիլիցա	k i ɾ i l i t͡sʰ ɑ
կիրճ	k i ɾ t͡ʃ
կիրք	k i ɾ kʰ
կից	k i t͡sʰ
կիցք	k i t͡sʰ kʰ
կլափ	k ə l ɑ pʰ
կլիմա	k l i m ɑ
կլիր	k ə l i ɾ
կծու	k ə t͡s u
կղզի	k ə ʁ z i
կղզիախումբ	k ə ʁ z i j ɑ χ u m b
կղկղանք	k ə χ k ə ʁ ɑ ŋ kʰ
կղմինդր	k ə ʁ m i n d ə ɾ
կճատ	k ə t͡ʃ ɑ t
կճղակ	k ə t͡ʃ ʁ ɑ k
կճուճ	k ə t͡ʃ u t͡ʃ
կմախք	k ə m ɑ χ kʰ
կյանք	k j ɑ ŋ kʰ
կյուրիում	k j u ɾ i j u m
կնատյաց	k ə n ɑ t j ɑ t͡sʰ
կնատյացություն	k ə n ɑ t j ɑ t͡sʰ u t͡sʰ j u n
կնգում	k ə ŋ ɡ u m
կնդրուկ	k ə n d ɾ u k
կնիկ	k ə n i k
կնիք	k ə n i kʰ
կնձնի	k ə n d͡z n i
կնճիթ	k ə n t͡ʃ i tʰ
կնճիռ	k ə n t͡ʃ i r
կնյուն	k ə n j u n
կնություն	k ə n u t͡sʰ j u n
կնունք	k ə n u ŋ kʰ
կնուք	k ə n u kʰ
կնքահայր	k ə ŋ kʰ ɑ h ɑ j ɾ
կշիռ	k ə ʃ i r
կշտանալ	k ə ʃ t ɑ n ɑ l
կուզ	k u z
կուզիկ	k u z i k
կութ	k u tʰ
կուժ	k u ʒ
կուլ	k u l
կուլակ	k u l ɑ k
կուլմինացիա	k u l m i n ɑ t͡sʰ i j ɑ
կուլտուրա	k u l t u ɾ ɑ
կուլտուրական	k u l t u ɾ ɑ k ɑ n
կուխնի	k u χ n i
կուկուռուզ	k u k u r u z
կուղ	k u ʁ
կուղբ	k u ʁ b
կուղխ	k u χː
կումբ	k u m b
կումիս	k u m i s
կույս	k u j s
կույտ	k u j t
կույր	k u j ɾ
կունձի	k u n d͡z i
կուշտ	k u ʃ t
կուչ	k u t͡ʃʰ
կուպր	k u p ə ɾ
կուռ	k u r
կուռք	k u r kʰ
կուսաթաղանթ	k u s ɑ tʰ ɑ ʁ ɑ n tʰ
կուսակցություն	k u s ɑ k t͡sʰ u t͡sʰ j u n
կուսություն	k u s u t͡sʰ j u n
կուտ	k u t
կուտիկ	k u t i k
կուր	k u ɾ
կուրաղի	k u ɾ ɑ ʁ i
կուրանալ	k u ɾ ɑ n ɑ l
կուրծ	k u ɾ t͡s
կուրծք	k u ɾ t͡s kʰ
կուրություն	k u ɾ u t͡sʰ j u n
կուրս	k u ɾ s
կուց	k u t͡sʰ
կպչուն	k ə p t͡ʃʰ u n
կռան	k ə r ɑ n
կռանալ	k ə r ɑ n ɑ l
կռանթ	k ə r ɑ n tʰ
կռապաշտ	k ə r ɑ p ɑ ʃ t
կռապաշտություն	k ə r ɑ p ɑ ʃ t u t͡sʰ j u n
կռատուկ	k ə r ɑ t u k
կռթունք	k ə r tʰ u ŋ kʰ
կռինչ	k ə r i n t͡ʃʰ
կռիշ	k r i ʃ
կռիշ	k ə r i ʃ
կռիչք	k ə r i t͡ʃʰ kʰ
կռիս	k r i s
կռիսություն	k ə r i s u t͡sʰ j u n
կռիվ	k ə r i v
կռկռալ	k ə r k ə r ɑ l
կռճիկ	k ə r t͡ʃ i k
կռնակ	k ə r n ɑ k
կռնատ	k ə r n ɑ t
կռնատակ	k ə r n ɑ t ɑ k
կռնչալ	k ə r ə n t͡ʃʰ ɑ l
կռունկ	k ə r u ŋ k
կռուփ	k ə r u pʰ
կռտած	k ə r t ɑ t͡s
կսկիծ	k ə s k i t͡s
կվաս	k v ɑ s
կվաս	k ə v ɑ s
կվարց	k v ɑ ɾ t͡sʰ
կվարց	k ə v ɑ ɾ t͡sʰ
կվարցիտ	k v ɑ ɾ t͡sʰ i t
կտակ	k ə t ɑ k
կտակարան	k ə t ɑ k ɑ ɾ ɑ n
կտավիք	k ə t ɑ v i kʰ
կտղանք	k ə t ʁ ɑ ŋ kʰ
կտղուցք	k ə t ʁ u t͡sʰ kʰ
կտնառք	k ə t n ɑ r kʰ
կտնարք	k ə t n ɑ ɾ kʰ
կտուր	k ə t u ɾ
կտուց	k ə t u t͡sʰ
կտտալ	k ə tː ɑ l
կտտանք	k ə tː ɑ ŋ kʰ
կտրական	k ə t ɾ ɑ k ɑ n
կտրականաբար	k ə t ɾ ɑ k ɑ n ɑ b ɑ ɾ
կտրիճ	k ə t ɾ i t͡ʃ
կտրուկ	k ə t ɾ u k
կտցար	k ə t t͡sʰ ɑ ɾ
կրախ	k ə ɾ ɑ χ
կրախ	k ɾ ɑ χ
կրակ	k ə ɾ ɑ k
կրակմարիչ	k ə ɾ ɑ k m ɑ ɾ i t͡ʃʰ
կրակվառիչ	k ə ɾ ɑ k v ɑ r i t͡ʃʰ
կրաշաղախ	k ə ɾ ɑ ʃ ɑ ʁ ɑ χ
կրաքար	k ə ɾ ɑ kʰ ɑ ɾ
կրթական	k ə ɾ tʰ ɑ k ɑ n
կրթություն	k ə ɾ tʰ u t͡sʰ j u n
կրիա	k ə ɾ j ɑ
կրծկալ	k ə ɾ t͡s k ɑ l
կրծքազարդ	k ə ɾ t͡s kʰ ɑ z ɑ ɾ tʰ
կրծքանշան	k ə ɾ t͡s kʰ ɑ n ə ʃ ɑ n
կրծքապտուկ	k ə ɾ t͡s kʰ ɑ p ə t u k
կրծքավանդակ	k ə ɾ t͡s kʰ ɑ v ɑ n d ɑ k
կրկին	k ə ɾ k i n
կրկնակ	k ə ɾ k n ɑ k
կրկնակզակ	k ə ɾ k n ɑ k ə z ɑ k
կրկնություն	k ə ɾ k n u t͡sʰ j u n
կրճատում	k ə ɾ t͡ʃ ɑ t u m
կրուասան	k ɾ u ɑ s ɑ n
կրունկ	k ə ɾ u ŋ k
կրպակ	k ə ɾ p ɑ k
հ	h ə
հա	h ɑ
հաբ	h ɑ b
հագագ	h ɑ ɡ ɑ ɡ
հագարացի	h ɑ ɡ ɑ ɾ ɑ t͡sʰ i
հագնի	h ɑ kʰ n i
հագուստ	h ɑ kʰ u s t
հազ	h ɑ z
հազալ	h ɑ z ɑ l
հազար	h ɑ z ɑ ɾ
հազարամյակ	h ɑ z ɑ ɾ ɑ m j ɑ k
հազիվ	h ɑ z i v
հազվագյուտ	h ɑ z v ɑ ɡ j u t
հաթ	h ɑ tʰ
