ং	ŋ
চিরন্তন	t͡ʃ i ɾ ɔ n t̪ ɔ n
চিরপ্রতিদ্বন্দ্বী	t͡ʃ i ɾ ɔ p ɾ o t̪ i d̪ː ɔ n d̪ iˑ
চিরস্থায়ী	t͡ʃ i ɾ ɔ s t̪ʰ a i̯
চিলি	t͡ʃ i l iˑ
চিল্লাচিল্লি	t͡ʃ i lː a t͡ʃ i lː iˑ
চিহ্ন	t͡ʃ i n h oˑ
চিহ্ন	t͡ʃ i nː oˑ
চিৎ	t͡ʃ i t̪
চীজ	t͡ʃ i d͡ʒ
চীজ	t͡ʃ i z
চীন	t͡ʃ i n
চীনাংশুক	t͡ʃ i n a ŋ ʃ u k
চীনামাটি	t͡ʃ i n a m a ʈ iˑ
চুঁকা	t͡ʃ ũ k aˑ
চুঁচি	t͡ʃ ũ t͡ʃ iˑ
চুকা	t͡ʃ u k aˑ
চুকিৎকিৎ	t͡ʃ u k i t̪ k i t̪
চুদা	t͡ʃ u d̪ aˑ
চুদি	t͡ʃ u d̪ iˑ
চুন	t͡ʃ u n
চুরানব্বই	t͡ʃ u ɾ a n ɔ bː o i̯
চুরি	t͡ʃ u ɾ iˑ
চুরুট	t͡ʃ u ɾ u ʈ
চুরুলিয়া	t͡ʃ u ɾ u l i̯ aˑ
চুল	t͡ʃ u l
চুলকানি	t͡ʃ u l k a n iˑ
চুলা	t͡ʃ u l aˑ
চূড়া	t͡ʃ u ɽ aˑ
চূড়া	t͡ʃ u ɾ aˑ
চূর্ণ	t͡ʃ u ɾ n oˑ
চেনা	t͡ʃ e n aˑ
চেন্নাই	t͡ʃ e nː a i̯
চেপটা	t͡ʃ e p ʈ aˑ
চেয়ার	t͡ʃ e a ɾ
চেয়ে	t͡ʃ eˑ
চেরা	t͡ʃ e ɾ aˑ
চেষ্টা	t͡ʃ e ʂ ʈ aˑ
চেহারা	t͡ʃ e h a ɾ aˑ
চেহারা	t͡ʃ æ h a ɾ aˑ
চৈতন্য	t͡ʃ o i̯ t̪ ɔ nː oˑ
চৈত্র	t͡ʃ o i̯ t̪ː ɾ oˑ
চোখ	t͡ʃ o k
চোখ	t͡ʃ o x
চোদা	t͡ʃ o d̪ aˑ
চোদ্দ	t͡ʃ o d̪ː oˑ
চোদ্দো	t͡ʃ o d̪ː oˑ
চোদ্দো	t͡ʃ o u̯ d̪ː oˑ
চোবানো	t͡ʃ o b a n oˑ
চোর	t͡ʃ o ɾ
চোষা	t͡ʃ o ʃ aˑ
চৌথ	t͡ʃ o u̯ t̪
চৌধুরি	t͡ʃ o u̯ d̪ʱ u ɾ iˑ
চ্যাটার্জী	t͡ʃ æ ʈ a ɾ d͡ʒ iˑ
চ্যাপটা	t͡ʃ æ p ʈ aˑ
ছক্কা	t͡ʃʰ ɔ kː aˑ
ছটফট	t͡ʃʰ ɔ ʈ f ɔ ʈ
ছড়ানো	t͡ʃʰ ɔ ɽ a n oˑ
ছড়ানো	t͡ʃʰ ɔ ɾ a n oˑ
ছড়ি	t͡ʃʰ o ɽ iˑ
ছড়ি	t͡ʃʰ o ɾ iˑ
ছত্তিশগড়	t͡ʃʰ o t̪ː i ʃ ɡ ɔ ɽ
ছত্তিশগড়	t͡ʃʰ o t̪ː i ʃ ɡ ɔ ɾ
ছত্তীসগঢ়	t͡ʃʰ o t̪ː i ʃ ɡ ɔ ɽ
ছত্তীসগঢ়	t͡ʃʰ o t̪ː i ʃ ɡ ɔ ɽʱ
ছত্তীসগঢ়	t͡ʃʰ o t̪ː i ʃ ɡ ɔ ɾ h
ছদ্মনাম	t͡ʃʰ ɔ d̪ː o n a m
ছবি	t͡ʃʰ o b iˑ
ছয়	t͡ʃʰ ɔ e̯
ছা	t͡ʃʰ aˑ
ছাই	t͡ʃʰ a i̯
ছাওয়াল	t͡ʃʰ a o̯ a l
ছাগল	t͡ʃʰ ɑ ɡ o l
ছাড়া	t͡ʃʰ a ɽ aˑ
ছাড়া	t͡ʃʰ a ɾ aˑ
ছাড়ান	t͡ʃʰ a ɽ a n
ছাড়ান	t͡ʃʰ a ɾ a n
ছাতা	t͡ʃʰ a t̪ aˑ
ছাদ	t͡ʃʰ a d̪
ছানা	t͡ʃʰ a n aˑ
ছানি	t͡ʃʰ a n iˑ
ছাপড়ি	t͡ʃʰ a p ɾ iˑ
ছাপড়িকরণ	t͡ʃʰ a p ɽ i k ɾ o n
ছাপড়িকরণ	t͡ʃʰ a p ɾ i k ɾ o n
ছাপা	t͡ʃʰ a p aˑ
ছাপান্ন	t͡ʃʰ a p a nː oˑ
ছায়াছবি	t͡ʃʰ a e̯ a t͡ʃʰ b iˑ
ছাল	t͡ʃʰ a l
ছি	t͡ʃʰ iˑ
ছিটকানো	t͡ʃʰ i ʈ k a n oˑ
ছিটমহল	t͡ʃʰ i ʈ m ɔ h o l
ছিপ	t͡ʃʰ i p
ছিয়ানব্বই	t͡ʃʰ i̯ a n ɔ bː o i̯
ছিল	t͡ʃʰ i l oˑ
ছিলেন	t͡ʃʰ i l e n
ছুঁচ	t͡ʃʰ ũ t͡ʃ
ছুঁচা	t͡ʃʰ ũ t͡ʃ aˑ
ছুট	t͡ʃʰ u ʈ
ছুটি	t͡ʃʰ u ʈ iˑ
ছুড়ান	t̪͡ʃʰ u ɾ ä̃ n̪
ছুপা	t͡ʃʰ u p aˑ
ছুরি	t͡ʃʰ u ɾ iˑ
ছেঁচকি	t͡ʃʰ ẽ t͡ʃ k iˑ
ছেঁড়া	t͡ʃʰ ẽ ɽ̟ aˑ
ছেচল্লিশ	t͡ʃʰ e t͡ʃ ɔ lː i ʃ
ছেদ	t̪͡ʃʰ e d̪
ছেদন	t͡ʃʰʰ e d̪ ɔ n
ছেপ	t͡ʃʰ e p
ছেলে	t͡ʃʰ e l eˑ
ছেলেধরা	t͡ʃʰ e l e d̪ʱ ɔ ɾ aˑ
ছেলেমেয়ে	t͡ʃʰ e l e m eˑ
ছোঁয়া	t͡ʃʰ õ aˑ
ছোকরা	t͡ʃʰ o k ɾ aˑ
ছোট	t͡ʃʰ o ʈ oˑ
ছোড়া	t͡ʃʰ o ɽ aˑ
ছোড়া	t͡ʃʰ o ɾ aˑ
ছোলা	t͡ʃʰ o l aˑ
ছ্যাঁচড়া	t͡ʃʰ æ̃ t͡ʃ ɔ ɽ aˑ
ছ্যাঁচড়া	t͡ʃʰ æ̃ t͡ʃ ɔ ɾ aˑ
ছ্যাকা	t͡ʃʰ æ k aˑ
জ	d͡ʒ ɔˑ
জংগ্লি	d͡ʒ o ŋ ɡ l iˑ
জংগ্লী	d͡ʒ o ŋ ɡ l iˑ
জংলি	d͡ʒ o ŋ l iˑ
জংলী	d͡ʒ o ŋ l iˑ
জউ	d͡ʒ o u̯
জওজ	d͡ʒ ɔ o̯ d͡ʒ
জওহর	d͡ʒ ɔ o̯ h o ɾ
জখম	d͡ʒ ɔ kʰ o m
জগ	d͡ʒ ɔ ɡ
জগন্নাথ	d͡ʒ ɔ ɡ ɔ nː a t̪
জগাতি	d͡ʒ ɔ ɡ a t̪ iˑ
জগৎ	d͡ʒ ɔ ɡ o t̪
জঘন্য	d͡ʒ ɔ ɡʱ o nː oˑ
জঙলি	d͡ʒ o ŋ l iˑ
জঙলী	d͡ʒ o ŋ l iˑ
জঙ্গল	d͡ʒ ɔ n ɡ o l
জঙ্গলি	d͡ʒ ɔ ŋ ɡ o l iˑ
জঙ্গলী	d͡ʒ ɔ ŋ ɡ o l iˑ
জঙ্গি	d͡ʒ ɔ ŋ ɡ iˑ
জঙ্ঘা	d͡ʒ ɔ ŋ ɡʱ aˑ
জজ	d͡ʒ ɔ d͡ʒ
জটামাংসী	d͡ʒ ɔ ʈ a m a ŋ ʃ iˑ
জটিল	d͡ʒ o ʈ i l
জঠর	d͡ʒ ɔ ʈʰ ɔ ɾ
জড়াতে	d͡ʒ ɔ ɽ a t̪ eˑ
জড়াতে	d͡ʒ ɔ ɾ a t̪ eˑ
জড়ানো	d͡ʒ ɔ ɽ a n oˑ
জড়ানো	d͡ʒ ɔ ɾ a n oˑ
জড়িত	d͡ʒ o ɽ i t̪ oˑ
জড়িত	d͡ʒ o ɾ i t̪ oˑ
জড়ো	d͡ʒ ɔ ɽ oˑ
জড়ো	d͡ʒ ɔ ɾ oˑ
জন	d͡ʒ ɔ n
জনগণ	d͡ʒ ɔ n o ɡ o n
জনতা	d͡ʒ ɔ n o t̪ aˑ
জনপ্রিয়	d͡ʒ ɔ n o p ɾ i̯ oˑ
জনম	d͡ʒ ɔ n o m
জনসংখ্যা	d͡ʒ ɔ n o ʃ ɔ ŋ kʰ aˑ
জনসন	d͡ʒ ɔ n s ɔ n
জন্তু	d͡ʒ ɔ n t̪ uˑ
জন্ম	d͡ʒ ɔ n m oˑ
জন্ম	d͡ʒ ɔ n o m
জন্মদিন	d͡ʒ ɔ n m o d̪ i n
জন্মভূমি	d͡ʒ ɔ n m ɔ bʱ u m iˑ
জন্মভূমি	d͡ʒ ɔ n m ɔ v u m iˑ
জন্মস্থান	d͡ʒ ɔ n m ɔ s t̪ʰ a n
জন্য	d͡ʒ ɔ nː oˑ
জন্যে	d͡ʒ ɔ nː eˑ
জপ	d͡ʒ ɔ p
জপা	d͡ʒ ɔ p aˑ
জবা	d͡ʒ ɔ b aˑ
জবাই	d͡ʒ ɔ b a i̯
জবান	d͡ʒ ɔ b a n
জবান	z ɔ b a n
জবাব	d͡ʒ ɔ b a b
জব্দ	d͡ʒ ɔ b d̪ oˑ
জমানা	d͡ʒ ɔ m a n aˑ
জমানা	z ɔ m a n aˑ
জমি	d͡ʒ o m iˑ
জমিদার	d͡ʒ o m i d̪ a ɾ
জমিন	d͡ʒ o m i n
জমিন	z o m i n
জমিনদার	d͡ʒ o m i n d̪ a ɾ
জমিন্দার	d͡ʒ o m i n d̪ a ɾ
জম্বি	d͡ʒ ɔ m b iˑ
জয়ত্রী	d͡ʒ ɔ e̯ o t̪ː ɾ iˑ
জয়ন্ত	d͡ʒ ɔ e̯ o n t̪ oˑ
জয়পুর	d͡ʒ ɔ e̯ o p u ɾ
জরায়ুজ	d͡ʒ ɔ ɾ a i̯ u d͡ʒ
জরুরত	d͡ʒ o ɾ u ɾ ɔ t̪
জরুরত	z o ɾ u ɾ ɔ t̪
জরুরি	d͡ʒ o ɾ u ɾ iˑ
জরুরী	d͡ʒ o ɾ u ɾ iˑ
জর্মন	d̪͡ʒ ɔ ɾ m ɔ n
জল	d͡ʒ ɔ l
জলদ	d͡ʒ ɔ l o d̪
জলদি	d͡ʒ o l̪ d̪ iˑ
জলপাই	d͡ʒ ɔ l p a i̯
জলসা	d͡ʒ ɔ l ʃ aˑ
জলহস্তী	d͡ʒ ɔ l o h o s t̪ iˑ
জলাশয়	d͡ʒ ɔ l a ʃ ɔ e̯
জল্লাদ	d͡ʒ ɔ lː a d̪
জশন	d͡ʒ ɔ ʃ n oˑ
জশন	d͡ʒ ɔ ʃ o n
জশ্ন	d͡ʒ ɔ ʃ n oˑ
জষ্টি	d͡ʒ o ʂ ʈ iˑ
জহর	d͡ʒ ɔ h o ɾ
জহর	d͡ʒ ɔ o̯ h o ɾ
জ়ু	z uː
জ়ু	z uˑ
জা	d͡ʒ aˑ
জাকাত	d͡ʒ a k a t̪
জাকারিয়া	d͡ʒ a k a ɾ i̯ aˑ
জাকারিয়া	z a k a ɾ i̯ aˑ
জাঙ্গিয়া	d͡ʒ a ŋ i̯ aˑ
জাত	d͡ʒ a t̪
জাতি	d͡ʒ a t̪ iˑ
জাতিভ্রংশ	d͡ʒ a t̪ i bʱ ɾ ɔ ŋ ʃ oˑ
জাতিভ্রংশ	d͡ʒ a t̪ i v ɾ ɔ ŋ ʃ oˑ
জাতিসংঘ	d͡ʒ a t̪ i ʃ ɔ n ɡʱ oˑ
জাতীয়	d͡ʒ a t̪ i̯ oˑ
জাতীয়তা	d͡ʒ a t̪ i̯ o t̪ aˑ
জাতীয়তাবাদ	d͡ʒ a t̪ i̯ o t̪ a b a d̪
জাদু	d͡ʒ a d̪ uˑ
জাদুকর	d͡ʒ a d̪ u k ɔ ɾ
জাদুকর	d͡ʒ a d̪ u ɡ ɔ ɾ
জাদুঘর	d͡ʒ a d̪ u ɡʱ ɔ ɾ
জানতে	d͡ʒ a n t̪ eˑ
জানবাজ	d͡ʒ a n b a d͡ʒ
জানলা	d͡ʒ a n l aˑ
জানা	d͡ʒ a n aˑ
জানানো	d͡ʒ a n a n oˑ
জানালা	d͡ʒ a n a l aˑ
জানুয়ারি	d͡ʒ a n u̯ a ɾ iˑ
জানোয়ার	d͡ʒ a n o̯ a ɾ
জান্নাত	d͡ʒ a nː a t̪
জাপান	d͡ʒ a p a n
জাফর	d͡ʒ a f o ɾ
জাফর	d͡ʒ a pʰ o ɾ
জাফর	z a f o ɾ
জাফরান	d͡ʒ a f ɾ a n
জাফরান	z a f ɾ a n
জাবর	d͡ʒ a b ɔ ɾ
জাভেদ	d͡ʒ a bʱ e d̪
জাভেদ	d͡ʒ a v e d̪
জামদানী	d͡ʒ a m d̪ a n iˑ
জামা	d͡ʒ a m aˑ
জামাই	d͡ʒ a m a i̯
জামাইকা	d͡ʒ a m a i̯ k aˑ
জামাতা	d͡ʒ a m a t̪ aˑ
জামাল	d͡ʒ a m a l
জামিন	d͡ʒ a m i n
জামিনদার	d͡ʒ a m i n d̪ a ɾ
জামিন্দার	d͡ʒ a m i n d̪ a ɾ
জামেয়া	d͡ʒ a m e aˑ
জাম্বিয়া	d͡ʒ a m b i̯ aˑ
জাম্বিয়া	z a m b i̯ aˑ
জায়গা	d͡ʒ a e̯ ɡ aˑ
জায়ন	z a e̯ ɔ n
জায়নবাদ	z a e̯ ɔ n b a d̪
জায়নবাদী	z a e̯ ɔ n b a d̪ iˑ
জায়নামাজ	d͡ʒ a e̯ n a m a d͡ʒ
জায়ফল	d͡ʒ a e̯ ɔ f ɔ l
জারজ	d͡ʒ a ɾ ɔ d͡ʒ
জারি	d͡ʒ a ɾ iˑ
জাল	d͡ʒ a l
জালাল	d͡ʒ a l a l
জালেম	d͡ʒ a l e m
জালেম	z a l e m
জাহাঁপনা	d͡ʒ a h ã p ɔ n aˑ
জাহাঙ্গীর	d͡ʒ a h a ŋ ɡ i ɾ
জাহাজ	d͡ʒ a h a d͡ʒ
জাহান	d͡ʒ a h a n
জাহান্নাম	d͡ʒ a h a nː a m
জিঁদা	d͡ʒ ĩ d̪ aˑ
জিঁদা	d͡ʒ ĩː d̪ aˑ
জ্বিন	d͡ʒ i n
জ্বীন	d͡ʒ i n
জ্যাঠা	d͡ʒ æ ʈʰ aˑ
জ্যাম	d͡ʒ a m
জ্যাম	d͡ʒ æ m
জ্যামিতি	d͡ʒ a m i t̪ iˑ
জ্যামিতি	d͡ʒ e m i t̪ iˑ
জ্যামিতি	d͡ʒ æ m i t̪ iˑ
জ্যেষ্ঠ	d͡ʒ e ʂ ʈʰ oˑ
জ্যেষ্ঠা	d͡ʒ e ʂ ʈʰ aˑ
জ্যৈষ্ঠ	d͡ʒ o i̯ ʂ ʈʰ oˑ
জ্যোতি	d͡ʒ o t̪ iˑ
জ্যোতিষী	d͡ʒ o t̪ i ʃ iˑ
জ্যোৎস্না	d͡ʒ o sː n aˑ
জ্যোৎস্না	d͡ʒ o t̪ s̪ n aˑ
ঝগড়া	d͡ʒʱ ɔ ɡ ɽ aˑ
ঝগড়া	d͡ʒʱ ɔ ɡ ɾ aˑ
ঝটকা	d͡ʒʱ ɔ ʈ k aˑ
ঝড়	d͡ʒʱ ɔ ɽ
ঝড়	d͡ʒʱ ɔ ɾ
ঝনঝন	d͡ʒʱ ɔ n d͡ʒʱ ɔ n
ঝরনা	d͡ʒʱ ɔ ɾ n aˑ
ঝরা	d͡ʒʱ ɔ ɾ aˑ
ঝাঁকানো	d͡ʒʱ ã k a n oˑ
ঝাঁটা	d͡ʒʱ ã ʈ aˑ
ঝাক্কাস	d͡ʒʱ a kː a ʃ
ঝাড়খণ্ড	d͡ʒʱ a ɽ kʰ ɔ ɳ ɖ
ঝাড়খণ্ড	d͡ʒʱ a ɾ kʰ ɔ ɳ ɖ
ঝাড়ু	d͡ʒʱ a ɽ uˑ
ঝাড়ু	d͡ʒʱ a ɾ uˑ
ঝান্ডা	d͡ʒʱ a ɳ ɖ aˑ
ঝাল	d͡ʒʱ a l
ঝালফ্রেজী	d͡ʒʱ a l f ɾ e d͡ʒ iˑ
ঝি	d͡ʒʱ iˑ
ঝিঙা	d͡ʒʱ i ŋ ãˑ
ঝিনাইদহ	d͡ʒʱ i n a i̯ d̪ ɔ h oˑ
ঝিনুক	d͡ʒʱ i n u k
ঝুট	d͡ʒʱ u ʈ
ঝুড়ি	d͡ʒʱ u ɽ iˑ
ঝুড়ি	d͡ʒʱ u ɾ iˑ
ঝুমকা	d͡ʒʱ u m k aˑ
ঝুলা	d͡ʒʱ u l aˑ
ঝোপ	d͡ʒʱ o p
ঝোল	d͡ʒʱ o l
ঝোলানো	d͡ʒʱ o l a n o
টক	ʈ ɔ k
টক	ʈ ɔː k
টপকানো	ʈ ɔ p k a n oˑ
টমটম	ʈ ɔ m ʈ ɔ m
টমেটো	ʈ ɔ m e ʈ oˑ
টম্যাটো	ʈ ɔ m æ ʈ oˑ
টরন্টো	ʈ ɔ ɾ o ɳ ʈ oˑ
টাং	ʈ a ŋ
টাং	ʈ̟ äː ŋ
টাংকি	ʈ a ŋ k iˑ
টাউট	ʈ a u̯ ʈ
টাক	ʈ̟ aː k
টাকলা	ʈ a k l aˑ
টাকা	ʈ a k aˑ
টাকাপয়সা	ʈ a k a p ɔ e̯ ʃ aˑ
টানা	ʈ̟ a n a
টালি	ʈ a l iˑ
টাশকি	ʈ a ʃ ɔ k iˑ
টাহা	ʈ̟ ä h äˑ
টিকট	ʈ̟ i k ɔˑ ʈ̟
টিকটিকি	ʈ i k ʈ i k iˑ
টিকা	ʈ i k aˑ
টিকিট	ʈ i k i ʈ
টিকিট	ʈ ɪ k ɪ ʈ
টিপাই	ʈ̟ i p a i̯ˑ
টিয়া	ʈ i̯ aˑ
টীকা	ʈ i k aˑ
টুকরা	ʈ u k ɽ aˑ
টুকরা	ʈ u k ɾ aˑ
টুকরি	ʈ u k ɾ iˑ
টুটা	ʈ u ʈ aˑ
টুপি	ʈ u p iˑ
টেংরা	ʈ æ ŋ ɾ aˑ
টেবিল	ʈ e b i l
টের	ʈ e ɾ
টের	ʈ eː ɾ
টেলিভিশন	ʈ e l i bʱ i ʃ o n
টেলিভিশন	ʈ e l i v i ʃ o n
টোনি	ʈ o n iˑ
টোপর	ʈ o p ɔ ɾ
ট্যাক্স	ʈ æ k s
ট্রাইব্যুনাল	ʈː ɾ a i̯ bː u n a l
ট্রানজিস্টার	ʈː ɾ a n d͡ʒ i s ʈ a ɾ
ট্রানজিস্টার	ʈː ɾ a n d͡ʒ i ʂ ʈ a ɾ
ট্রানজিস্টার	ʈː ɾ a n z i s ʈ a ɾ
ট্রানজিস্টার	ʈː ɾ a n z i ʂ ʈ a ɾ
ট্রাম্প	ʈː ɾ a m p
ট্রেন	ʈ eː n
ট্রেন	ʈː ɾ e n
ঠগ	ʈʰ ɔ ɡ
ঠনঠন	ʈʰ ɔ ɳ ʈʰ ɔ n
ঠাঁই	ʈʰ ã iˑ
ঠাকুর	ʈʰ a k u ɾ
ঠাকুরগাঁও	ʈʰ a k u ɾ ɡ ã oˑ
ঠাকুরঘর	ʈʰ a k u ɾ ɡʱ ɔ ɾ
ঠান্ডা	ʈʰ a ɳ ɖ aˑ
ঠিক	ʈʰ i k
ঠিক	ʈʰ iː k
ঠিকানা	ʈʰ i k a n aˑ
ঠেং	ʈʰ æ ŋ
ঠেলা	ʈʰ æ l aˑ
ঠোঁট	ʈ̟ʰ o ʈ̟
ঠোঁট	ʈ̟ʰ õ ʈ̟
ঠ্যাং	ʈʰ æ ŋ
ডগা	ɖ ɔ ɡ aˑ
ডঙ্কা	ɖ ɔ ŋ k aˑ
ডজন	ɖ ɔ d͡ʒ ɔ n
ডবল	ɖ ɔ b o l
ডমরু	ɖ ɔ m ɾ uˑ
ডলফিন	ɖ ɔ l f i n
ডলার	ɖ ɔ l a ɾ
ডাঁট	ɖ ã ʈ
ডাঁট	ɖ ãː ʈ
ডাঁশ	ɖ ã ʃ
ডাঁশ	ɖ ãː ʃ
ডাইনি	ɖ a i̯ n iˑ
ডাকনাম	ɖ a k n a m
ডাকা	ɖ a k aˑ
ডাকানো	ɖ a k a n oˑ
ডাক্তার	ɖ a k t̪ a ɾ
ডাগর	ɖ a ɡ ɔ ɾ
ডাটাবেস	ɖ a ʈ a b e s
ডান	ɖ a n
ডান	ɖ aː n
ডানহাতি	ɖ a n h a t̪ iˑ
ডানহাতি	ɖ a nː a t̪ iˑ
ডানা	ɖ̟ a n a
ডান্ডা	ɖ a ɳ ɖ aˑ
ডাব	ɖ a b
ডাব	ɖ aː b
ডাল	ɖ a l
ডাল	ɖ aː l
ডিকশনারি	ɖ i k ʃ ɔ n a ɾ iˑ
ডিভিডি	ɖ i bʱ i ɖ iˑ
ডিভিডি	ɖ i v i ɖ iˑ
ডিম	ɖ i m
ডিম	ɖ iː m
ডিলডো	ɖ i l ɔ ɖ oˑ
ডিল্ডো	ɖ i ɭ ɖ oˑ
ডিসেম্বর	ɖ i s e m b ɔ ɾ
ডুওডেনাম	ɖ u̯ o ɖ e n a m
ডুবা	ɖ u b aˑ
ডুমুর	ɖ u m u ɾ
ডুরিয়ান	ɖ̟ u ɾ i äˑ n
ডেক	ɖ e k
ডেক	ɖ eː k
ডেকচি	ɖ e k t͡ʃ iˑ
ডেকচি	ɖ e ɡ t͡ʃ iˑ
ডেটাবেজ	ɖ e ʈ a b e d͡ʒ
ডেবরা	ɖ e b ɾ aˑ
ডেবরা	ɖ æ b ɾ aˑ
ডেভিড	ɖ e bʱ i ɖ
ডেভিড	ɖ e v i ɖ
ডেস্ক	ɖ e k s
ডেস্ক	ɖ e s k
ডেস্কটপ	ɖ e s k ʈ ɔ p
ডেস্কটপ	ɖ e s ʈ ɔ p
ডেস্কটপ	ɖ e ʂ ʈ ɔ p
ডোনাল্ড	ɖ o n a ɭ ɖ
ডোবা	ɖ o b aˑ
ডোবানো	ɖ̟ o b a n o
ডৌল	ɖ o u̯ l
ড্রামাবাজ	ɖː ɾ a m a b a d͡ʒ
ঢাকনা	ɖʱ a k n aˑ
ঢাকা	ɖʱ a k aˑ
ঢাল	ɖʱ a l
ঢাল	ɖʱ aː l
ঢালা	ɖ̟ʱ a l a
ঢিট	ɖʱ i ʈ
ঢিট	ɖʱ iː ʈ
ঢিপি	ɖʱ i p iˑ
ঢিবি	ɖʱ i b iˑ
ঢিমা	ɖʱ i m aˑ
ঢিল	ɖʱ i l
ঢিল	ɖʱ iː l
ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
ঢেঁড়স	ɖʱ æ̃ ɾ o ʃ
ঢেউ	ɖʱ e uˑ
ঢোকা	ɖʱ o k aˑ
ঢোল	ɖʱ o l
ঢোল	ɖʱ oː l
ণই	n o i̯
তওবা	t̪ ɔ o̯ b aˑ
তওবা	t̪ ɔ ʊ b aˑ
তওবা	t̪ ɔː b aˑ
তক	t̪ ɔ k
তক	t̪ ɔː k
তকবীর	t̪ ɔ k b i ɾ
তক্তা	t̪ ɔ k t̪ aˑ
তখন	t̪ ɔ kʰ ɔ n
তখনই	t̪ ɔ kʰ o n iˑ
তছু	t̪ ɔ t͡ʃʰ uˑ
তটিনী	t̪ o ʈ i n iˑ
তটিনী	t̪ ɔ ʈ i n iˑ
তড়িৎ	t̪ o ɽ i t̪
তড়িৎ	t̪ o ɾ i t̪
ততদিন	t̪ ɔ t̪ o d̪ i n
তত্ত্ব	t̪ ɔ t̪ː oˑ
তথাগত	t̪ ɔ t̪ʰ a ɡ ɔ t̪ oˑ
তথ্য	t̪ ɔ t̪ʰː oˑ
তদন্ত	t̪ ɔ d̪ o n t̪ oˑ
তদন্তকারী	t̪ ɔ d̪ o n t̪ ɔ k a ɾ iˑ
তদানীং	t̪ ɔ d̪ a n i ŋ
তদ্ভব	t̪ ɔ d̪ bʱ ɔ b oˑ
তদ্ভব	t̪ ɔ d̪ v ɔ b oˑ
তনিমা	t̪ o n i m aˑ
তনুকা	t̪ o n u k aˑ
তন্ত্র	t̪ ɔ n t̪ː ɾ oˑ
তন্দুর	t̪ ɔ n d̪ u ɾ
তফাত	t̪ ɔ f a t̪
তফাত	t̪ ɔ pʰ a t̪
তবলা	t̪ ɔ b l aˑ
তবিয়ত	t̪ o b i̯ ɔ t̪
তবু	t̪ o b uˑ
তবুও	t̪ o b u̯ oˑ
তবে	t̪ ɔ b eˑ
তব্দা	t̪ ɔ b d̪ aˑ
তয়	t̪ ɔ e̯
তরঙ্গ	t̪ ɔ ɾ o ŋ ɡ oˑ
তরণী	t̪ ɔ ɾ o n iˑ
তরফ	t̪ ɔ ɾ o f
তরফদার	t̪ ɔ ɾ o f d̪ a ɾ
তরবারি	t̪ ɔ ɾ b a ɾ iˑ
তরমুজ	t̪ o ɾ m u d͡ʒ
তরমুজ	t̪ o ɾ m u z
তরাজূ	t̪ ɔ ɾ a d͡ʒ uˑ
তরী	t̪ o ɾ iˑ
তরু	t̪ o ɾ uˑ
তরুণ	t̪ o ɾ u n
তরুণাস্থি	t̪ o ɾ u n a s t̪ʰ iˑ
তরোয়াল	t̪ ɔ ɾ o̯ a l
তর্ক	t̪ ɔ ɾ k oˑ
তর্কবিতর্ক	t̪ ɔ ɾ k o b i t̪ ɔ ɾ k oˑ
তর্জমা	t̪ ɔ ɾ d͡ʒ o m aˑ
তর্জমা	t̪ ɔ ɾ d͡ʒ ɔ m aˑ
তলব	t̪ ɔ l o b
তলা	t̪ ɔ l aˑ
তলোয়ার	t̪ ɔ l o̯ a ɾ
তশতরী	t̪ ɔ s t̪ o ɾ iˑ
তশতরী	t̪ ɔ ʃ t̪ o ɾ iˑ
তসবির	t̪ o s b i ɾ
তসবীহ	t̪ o s b iˑ
তসর	t̪ ɔ ʃ ɔ ɾ
তসলিম	t̪ o s l i m
তা	t̪ ɑ
তাঁক	t̪ ã k
তাঁক	t̪ ãː k
তাঁত	t̪ ã t̪
তাঁহার	t̪ ã h a ɾ
তাই	t̪ a i̯
তাইওয়ান	t̪ a i̯ o̯ a n
তাওয়া	t̪ a o̯ aˑ
তাকানো	t̪ a k a n o
তাকে	t̪ ä k eˑ
তাগাদা	t̪ a ɡ a d̪ aˑ
তাগিদ	t̪ a ɡ i d̪
তাজ	t̪ a d͡ʒ
তাজদার	t̪ a d͡ʒ d̪ a ɾ
তাজদার	t̪ a z̪̪ d̪ a ɾ
তাজা	t̪ a d͡ʒ aˑ
তাড়াতাড়ি	t̪ a ɽ a t̪ a ɽ iˑ
তাড়াতাড়ি	t̪ a ɾ a t̪ a ɾ iˑ
তাড়ানো	t̪ a ɽ a n oˑ
তাড়ানো	t̪ a ɾ a n oˑ
তাণ্ডব	t̪ a ɳ ɖ ɔ b
তাদের	t̪ a d̪ e ɾ
তাপ	t̪ a p
তাপ	t̪ aː p
তাপগতিবিজ্ঞান	t̪ a p ɡ ɔ t̪ i b i ɡː æ̃ n
তাপপ্রবাহ	t̪ a p ɔ p ɾ o b a h oˑ
তাপমাত্রা	t̪ a p m a t̪ː ɾ aˑ
তাবাসসুম	t̪ a b a sː u m
তাবিজ	t̪ a b i d͡ʒ
তাবিজ	t̪ a b i z
তামড়ি	t̪ a m ɽ iˑ
তামড়ি	t̪ a m ɾ iˑ
তামলি	t̪ a m o l iˑ
তামা	t̪ a m aˑ
তামাক	t̪ a m a k
তামাশা	t̪ a m a ʃ aˑ
তামিলনাড়ু	t̪ a m i l n a ɽ uˑ
