aa	aː
kyndehede	k yː n d ɛ̝ː d
kyndel	k i n d ə l
kyndel	k y n d ə l
kyndely	k iː n d ə l iː
kyndely	k iː n d l iː
kyndely	k i n d ə l iː
kyndely	k i n d l iː
kyndely	k iː n d ə l iː
kyndely	k iː n d l iː
kyndely	k i n d ə l iː
kyndely	k i n d l iː
kyndenesse	k iː n d ə n ɛ s ə
kyndenesse	k iː n d ə n ɛ s
kyndenesse	k iː n d n ɛ s ə
kyndenesse	k iː n d n ɛ s
kyndenesse	k eː n d ə n ɛ s ə
kyndenesse	k eː n d ə n ɛ s
kyndenesse	k eː n d n ɛ s ə
kyndenesse	k eː n d n ɛ s
kyndenesse	k yː n d ə n ɛ s ə
kyndenesse	k yː n d ə n ɛ s
kyndenesse	k yː n d n ɛ s ə
kyndenesse	k yː n d n ɛ s
kynrede	k i n d r ɛ̝ː d ə
kynrede	k i n d r ɛ̝ː d
kynrede	k i n r ɛ̝ː d ə
kynrede	k i n r ɛ̝ː d
kynrede	k i n d r ɛ̝ː d ə n
kynrede	k i n r ɛ̝ː d ə n
kyte	k iː t ə
kyte	k iː t
kyte	k eː t ə
kyte	k eː t
kyte	k yː t ə
kyte	k yː t
lachet	l a t͡ʃ ɛ t
ladde	l a d ə
ladde	l a d
laddre	l a d r ə
laddre	l a d ə r ə
laddre	l a d ə r
laddre	l ɛ d r ə
laddre	l ɛ d ə r ə
laddre	l ɛ d ə r
laden	l aː d ə n
lady	l aː d iː
lady	l a d iː
lady	l a v ə d iː
lady	l a v d iː
lady	l ɛ̞ː d iː
lady	l ɛ v ə d iː
lady	l ɛ v d iː
ladyschipe	l aː d iː ʃ i p ə
ladyschipe	l aː d iː ʃ i p
ladyschipe	l a d iː ʃ i p ə
ladyschipe	l a d iː ʃ i p
lah	l ɑː x
lamb	l a m b
lamb	l a m
lamb	l aː m b
lamb	l aː m
lamb	l ɔ m b
lamb	l ɔ m
lamb	l ɔ̝ː m b
lamb	l ɔ̝ː m
Lancastreschire	l a n k a s t r ə ʃ iː r ə
Lancastreschire	l a n k a s t r ə ʃ iː r
Lancastreschire	l a n k a s t ə r ʃ iː r ə
Lancastreschire	l a n k a s t ə r ʃ iː r
Lancastreschire	l a n k ə ʃ iː r ə
Lancastreschire	l a n k ə ʃ iː r
Lancastreschire	l a n k ə ʃ i r ə
Lancastreschire	l a n k ə ʃ i r
landbok	l a n d b oː k
landlorde	l a n d l ɔ̝ː r d
lane	l aː n ə
lane	l aː n
lane	l ɔ̞ː n ə
lane	l ɔ̞ː n
langage	l a n ɡ aː d͡ʒ ə
langage	l a n ɡ aː d͡ʒ
langage	l a n ɡ w aː d͡ʒ ə
langage	l a n ɡ w aː d͡ʒ
lanterne	l a n t ə r n ə
lanterne	l a n t ə r n
lard	l a r d
lard	l aː r d
larden	l a r d ə n
lardener	l a r d i n eː r
lardener	l a r d i n ə r
larder	l a r d eː r
larder	l a r d ə r
larðewe	l aː r ð øː w ə
larðewe	l ɔː r ð i u̯ ə
larðewe	l ɔː r ð i u̯
larew	l ɑː r øː w
larew	l ɔː r i u̯
larke	l a r k ə
larke	l a r k
larke	l a v ə r k ə
larke	l a v ə r k
larke	l a v ə r t ʃ ə
larke	l a v ə r t ʃ
larspel	l aː r s p ɛ l
larspel	l ɔː r s p ɛ l
las	l aː s
las	l a s
las	l a s
lashe	l a ʃ ə
lashe	l a ʃ
late	l aː t
late	l a t
late	l aː t ə
late	l aː t
lateste	l aː t ɛ s t
lateste	l a t ɛ s t
lathe	l aː ð
latly	l aː t l iː
latly	l a t l iː
latoun	l a t uː n
latoun	l a t u n
latoun	l a t ə n
latoun	l a t i n
Latyn	l aː t iː n
Latyn	l a t iː n
Latyn	l aː t i n
Latyn	l a t i n
laufulnes	l a u̯ ə f u l n ɛ s
laufulnes	l a u̯ f u l n ɛ s
laughen	l a u̯ x ə n
laughen	l a x ə n
laughen	l æ i̯ x ə n
laughen	l ɛ x ə n
laughter	l a u̯ x t ə r
laughter	l a x t ə r
laughter	l æ i̯ x t ə r
laumpe	l a u̯ m p ə
laumpe	l a u̯ m p
laumpe	l a m p ə
laumpe	l a m p
launce	l a u̯ n s ə
launce	l a u̯ n s
launce	l a n s ə
launce	l a n s
launcegay	l a u̯ n s ə ɡ æ i̯
launcegay	l a u̯ n s ɡ æ i̯
launcegay	l a n s ə ɡ æ i̯
launcegay	l a n s ɡ æ i̯
launcele	l a u̯ n s ɛ l ə
launcele	l a u̯ n s ɛ l
launcen	l a u̯ n s ə n
launcen	l a n s ə n
launcet	l a u̯ n s ɛ t
launcet	l a n s ɛ t
launchen	l a u̯ n t͡ʃ ə n
launchen	l a n t͡ʃ ə n
launde	l a u̯ n d ə
launde	l a u̯ n d
laurer	l a u̯ r eː r
laurer	l a u̯ r ə r
laurer	l a u̯ r ɛ l
laurer	l a u̯ r ɛ l
lauriol	l a u̯ r i ɔ l
lavatorie	l a v aː t ɔː r iː ə
lavatorie	l a v aː t ɔː r iː
lavatorie	l a v a t ɔː r iː ə
lavatorie	l a v a t ɔː r iː
laven	l aː v ə n
lavender	l a v ə n d eː r
lavender	l a v ə n d ə r
lavender	l a u̯ n d eː r
lavender	l a u̯ n d ə r
lavendre	l a v ə n d r ə
lavendre	l a v ə n d ə r
lavendrie	l a v ə n d r iː ə
lavendrie	l a v ə n d r iː
lavendrie	l a v ə n d r iː ə
lavendrie	l a v ə n d r iː
lavendrie	l a u̯ n d ə r iː ə
lavendrie	l a u̯ n d ə r iː
lavendrie	l a u̯ n d r iː ə
lavendrie	l a u̯ n d r iː
laver	l aː v ə r
lavour	l aː v uː r
lavour	l aː v u r
lavour	l aː v ə r
lawe	l a ɣ ə
lawe	l a u̯ ə
lawe	l a u̯
laweday	l a u̯ ə d æ i̯
laweday	l a u̯ d æ i̯
laweful	l a u̯ ə f u l
laweful	l a u̯ f u l
lawefully	l a u̯ ə f u l iː
lawefully	l a u̯ f u l iː
lawefully	l a u̯ ə f u l i t͡ʃ ə
lawefully	l a u̯ ə f u l i t͡ʃ
lawefully	l a u̯ f u l i t͡ʃ ə
lawefully	l a u̯ f u l i t͡ʃ
laweles	l a u̯ ə l ɛ̝ː s
laweles	l a u̯ l ɛ̝ː s
laweles	l a u̯ ə l ɛ s
laweles	l a u̯ l ɛ s
laweliche	l a u̯ ə l iː t ʃ ə
laweliche	l a u̯ ə l iː t ʃ
laweliche	l a u̯ l iː t ʃ ə
laweliche	l a u̯ l iː t ʃ
laweliche	l a u̯ ə l iː
laweliche	l a u̯ l iː
lawely	l a u̯ ə l iː
lawely	l a u̯ l iː
lawely	l a u̯ ə l iː t ʃ
lawely	l a u̯ l iː t ʃ
lawghynge	l a u̯ x i n ɡ
lawghynge	l æ i̯ x i n ɡ
lawghynge	l a x i n ɡ
lawiere	l a u̯ j ə r ə
lawiere	l a u̯ j ə r
lawiere	l a u̯ ə r ə
lawiere	l a u̯ ə r
lawly	l a u̯ ə l iː
lawly	l a u̯ l iː
lawly	l a u̯ ə l iː t ʃ ə
lawly	l a u̯ ə l iː t ʃ
lawly	l a u̯ l iː t ʃ ə
lawly	l a u̯ l iː t ʃ
lax	l a k s
lax	l ɛ k s
leche	l ɛː t͡ʃ
leche	l ɛ t͡ʃ
leche	l ɛː t͡ʃ ə
leche	l ɛː t͡ʃ
leche	l ɛ t͡ʃ ə
leche	l ɛ t͡ʃ
led	l ɛ̝ː d
lede	l eː d ə
lede	l eː d
leden	l ɛ̝ː d ə n
leden	l ɛː d ə n
leden	l ɛ̝ː d ə n
leden	l eː d ə n
leden	l ɛ̝ː d ə n
Ledes	l eː d ə s
leef	l ɛ̝ː f
lef	l eː f
leg	l ɛ ɡ
lege	l ɛː ɡ ə
lege	l ɛː ɡ
lege	l ɛ u̯ ɡ ə
lege	l ɛ u̯ ɡ
lege	l ɛː k ə
lege	l ɛː k
lege	l eː d ʒ ə
lege	l eː d ʒ
lege	l iː d ʒ ə
lege	l iː d ʒ
legement	l ɛ d ʒ ə m ɛ n t
legement	l ɛ d ʒ m ɛ n t
legement	l i d ʒ ə m ɛ n t
legement	l i d ʒ m ɛ n t
legende	l ɛ d͡ʒ ɛ n d ə
legende	l ɛ d͡ʒ ɛ n d
legende	l ɛ d͡ʒ ɛ n d ə
legende	l ɛ d͡ʒ ɛ n d
legende	l ɛː d͡ʒ ɛ n d ə
legende	l ɛː d͡ʒ ɛ n d
legende	l ɛː d͡ʒ ɛ n d ə
legende	l ɛː d͡ʒ ɛ n d
legge	l ɛ d ʒ ə
legge	l ɛ d ʒ
legiaunce	l eː d ʒ a u̯ n s ə
legiaunce	l eː d ʒ a u̯ n s
legiaunce	l eː d ʒ a n s ə
legiaunce	l eː d ʒ a n s
legiaunce	l iː d ʒ a u̯ n s ə
legiaunce	l iː d ʒ a u̯ n s
legiaunce	l iː d ʒ a n s ə
legiaunce	l iː d ʒ a n s
legiaunce	l eː d ʒ a u̯ n s ə
legiaunce	l eː d ʒ a u̯ n s
legiaunce	l eː d ʒ a n s ə
legiaunce	l eː d ʒ a n s
legiaunce	l iː d ʒ a u̯ n s ə
legiaunce	l iː d ʒ a u̯ n s
legiaunce	l iː d ʒ a n s ə
legiaunce	l iː d ʒ a n s
lek	l eː k
lek	l ɛ̝ː k
leme	l eː m ə
leme	l eː m
leme	l ɛː m ə
leme	l ɛː m
Lemynster	l ɛ m i n s t ə r
Lemynster	l ɛ m i s t ə r
Lemynster	l ɛ m s t ə r
Lemynster	l œ m i n s t ə r
Lemynster	l œ m i s t ə r
Lemynster	l œ m s t ə r
lende	l eː n d ə
lende	l eː n d
lende	l ɛ n d ə
lende	l ɛ n d
lenden	l eː n d ə n
lenden	l ɛ n d ə n
lenge	l eː n ɡ ə
lenge	l eː n ɡ
lenge	l i n ɡ ə
lenge	l i n ɡ
lenge	l eː n d͡ʒ ə
lenge	l eː n d͡ʒ
lengeren	l ɛ n ɡ ə r ə n
lengthe	l ɛ n ɡ θ ə
lengthe	l ɛ n ɡ θ
lengthe	l ɛ n k θ ə
lengthe	l ɛ n k θ
lengthe	l ɛ n θ ə
lengthe	l ɛ n θ
lengthe	l i n ɡ θ ə
lengthe	l i n ɡ θ
lengthe	l i n k θ ə
lengthe	l i n k θ
lenten	l ɛ n t ə n
lentile	l ɛ n t i l ə
lentile	l ɛ n t i l
leodlich	l eː d l iː t ʃ
lepen	l ɛː p ə n
lepen	l eː p ə n
lere	l ɛː r ə
lere	l ɛː r
lernen	l eː r n ə n
lernen	l ɛː r n ə n
lernen	l ɛ r n ə n
les	l ɛː s
lesarde	l ɛ z a r d
lesarde	l ɛː z a r d
lesarde	l i z a r d
lesarde	l aː s ɛ r t
lese	l eː z ə
lese	l eː z
lese	l ɛ̝ː z ə
lese	l ɛ̝ː z
lesen	l eː z ə n
lesen	l øː z ə n
lesen	l eː z ə n
lesen	l ɛ̞ː z ə n
lesen	l ɛ̝ː z ə n
lesen	l ɛ̝ː z ə n
lesse	l ɛ s
lesse	l ɛː s
lessoun	l ɛ t s uː n
lessoun	l ɛ s t s uː n
lessoun	l ɛ s uː n
lessoun	l ɛ s oː n
lessoun	l ɛ s u n
leswe	l ɛ z w ə
leswe	l ɛ z ɔ u̯ ə
leswe	l ɛ z ɔ u̯
leswe	l ɛ z uː
leswe	l i z w ə
leswe	l i z ɔ u̯ ə
leswe	l i z ɔ u̯
leswe	l i z uː
leswe	l ɛ z i u̯ ə
leswe	l ɛ z i u̯
leswen	l ɛ z w ə n
leswen	l ɛ z ɔ u̯ ə n
leswen	l ɛ z u ə n
leswen	l i z w ə n
leswen	l i z ɔ u ə n
leswen	l i z u ə n
leswen	l ɛ z i u̯ ə n
lete	l ɛː t ə
lete	l ɛː t
lete	l eː t ə
lete	l eː t
leten	l ɛ t ə n
leten	l ɛː t ə n
lether	l ɛ ð ə r
lether	l ɛː ð ə r
lether	l ɛ d ə r
letheren	l ɛː ð ə r ə n
letheren	l ɛː ð ə r n
letheren	l ɛ ð ə r ə n
letheren	l ɛ ð ə r n
letheren	l ɛ ð r ə n
letheryd	l ɛ ð ə r i d
letheryd	l ɛ ð ə r ɛ d
letheryd	l ɛː ð ə r i d
letheryd	l ɛ d ə r i d
Lettowe	l ɛ t ɔ u̯ ə
Lettowe	l ɛ t ɔ u̯
lettre	l ɛ t ə r
lettre	l ɛ t r ə
letuse	l ɛ t u s ə
letuse	l ɛ t u s
letuse	l ɛ t u z ə
letuse	l ɛ t u z
letuse	l ɛ t i s ə
letuse	l ɛ t i s
letuse	l ɛ t u s ə
letuse	l ɛ t u s
letuse	l ɛ t i s ə
letuse	l ɛ t i s
leuk	l i u̯ k
leukwarm	l i u̯ k w a r m
leuþe	l ɛ u̯ θ
levayn	l ɛ v æ i̯ n
levayn	l ɛː v æ i̯ n
levayn	l ɛː v i n
levayn	l ɛ v i n
leven	l ɛː v ə n
lewed	l ɛː w ɛ d ə
lewed	l ɛ u̯ i d ə
lewed	l ɛ u̯ i d
lewed	l ɛ u̯ d ə
lewed	l ɛ u̯ d
lewedly	l ɛ u̯ i d l iː
lewedly	l ɛ u̯ d l iː
lewedly	l ɛ u̯ i d l iː t ʃ ə
lewedly	l ɛ u̯ i d l iː t ʃ
lewedly	l ɛ u̯ d l iː t ʃ ə
lewedly	l ɛ u̯ d l iː t ʃ
lewednesse	l ɛ u̯ i d n ɛ s
lewednesse	l ɛ u̯ d n ɛ s
lewidhed	l ɛ u̯ i d h ɛː d
lewidhed	l ɛ u̯ d h ɛː d
leye	l æ i̯
leyen	l æ i̯ ə n
leyt	l æ i̯ t
liberte	l i b ɛ r t eː
librarie	l i b r aː r iː ə
librarie	l i b r aː r iː
licour	l i k uː r
licour	l i k u r
lid	l i d
lift	l i f t
ligament	l i ɡ aː m ɛ n t
ligament	l i ɡ a m ɛ n t
ligature	l i ɡ aː t i u̯ r ə
ligature	l i ɡ aː t i u̯ r
liggere	l i d͡ʒ ə r ə
liggere	l i d͡ʒ ə r
liggere	l i ɡ ə r ə
liggere	l i ɡ ə r
light	l i x t
lightsum	l i x t s u m
likame	l i k h aː m ə
likame	l i k h aː m
likame	l i k aː m ə
likame	l i k aː m
likame	l i x aː m ə
likame	l i x aː m
likame	l i k h ɔ̞ː m ə
likame	l i k h ɔ̞ː m
likame	l i k ɔ̞ː m ə
likame	l i k ɔ̞ː m
liken	l iː k ə n
liken	l i k ə n
liken	l eː k ə n
likinge	l iː k i n ɡ
likken	l i k ə n
likpot	l i k p ɔ t
lilie	l i l iː ə
lilie	l i l iː
lilie	l eː l iː ə
lilie	l eː l iː
limbus	l i m b u s
Lincolne	l i n k ə l n ə
Lincolne	l i n k ə l n
Lincolne	l i n k ə l ə
Lincolne	l i n k ə l
Lincolneschire	l i n k ə l n ə ʃ iː r ə
Lincolneschire	l i n k ə l n ə ʃ iː r
Lincolneschire	l i n k ə l n ʃ iː r ə
Lincolneschire	l i n k ə l n ʃ iː r
line	l iː n ə
line	l iː n
linnen	l i n ə n
liquide	l i k w i d ə
liquide	l i k w i d
litel	l i t ə l
litel	l iː t ə l
litel	l y t ə l
litel	l yː t ə l
livid	l iː v i d ə
livid	l iː v i d
livid	l i v i d ə
livid	l i v i d
locion	l ɔː s i oː n
locuste	l ɔː k u s t ə
locuste	l ɔː k u s t
locuste	l ɔː k u s t a
lof	l ɔ f
lof	l ɔ̞ː f
lof	l ɔ̝ː f
lof	l aː f
lof	l oː f
lofly	l ɔ f l iː
lofly	l ɔː f l iː
logge	l ɔ ɡ ə
logge	l ɔ ɡ
logge	l ɔ d͡ʒ ə
logge	l ɔ d͡ʒ
logge	l ɔː d͡ʒ ə
logge	l ɔː d͡ʒ
loggen	l ɔ d͡ʒ ə n
loggen	l ɔː d͡ʒ ə n
lok	l ɔː k ə
lok	l ɔː k
lok	l ɔ k
lok	l aː k ə
lok	l aː k
loken	l oː k ə n
loken	l yː k
lokynge	l oː k i n ɡ ə
lokynge	l oː k i n ɡ
lollen	l o l l e n
lome	l oː m ə
lome	l oː m
lome	l oː m ə
lome	l oː m
lond	l ɔ̝ː n d
lond	l ɔ n d
lond	l a n d
lond	l aː n d
londed	l ɔː n d ə d
londen	l ɔ̝ː n d ə n
londen	l ɔ n d ə n
londen	l aː n d ə n
londen	l a n d ə n
Londoun	l u n d uː n ə
Londoun	l u n d uː n
Londoun	l u n d u n ə
Londoun	l u n d u n
Londoun	l u n d ə n ə
Londoun	l u n d ə n
londyng	l ɔ n d i n ɡ
londyng	l a n d i n ɡ
long	l ɔ̝ː n ɡ
long	l ɔ n ɡ
long	l a n ɡ
long	l aː n ɡ
long	l oː n ɡ
long	l u n ɡ
longe	l ɔ̝ː n ɡ ə
longe	l ɔ̝ː n ɡ
longe	l ɔ n ɡ ə
longe	l ɔ n ɡ
longe	l oː n ɡ ə
longe	l oː n ɡ
longe	l u n ɡ ə
longe	l u n ɡ
longe	l a n ɡ
longe	l aː n ɡ
longman	l ɔ̝ː n ɡ m a n
longman	l ɔ̝ː n ɡ m a n
longnesse	l ɔ̝ː n ɡ n ɛ s ə
longnesse	l ɔ̝ː n ɡ n ɛ s
longnesse	l ɔ̝ n ɡ n ɛ s ə
longnesse	l ɔ̝ n ɡ n ɛ s
lopen	l ɔː p ə n
lopen	l ɔ u̯ p ə n
lopen	l a u̯ p ə n
loppe	l ɔ p ə
loppe	l ɔ p
loppe	l ɔ b ə
loppe	l ɔ b
loppe	l o ə
loppe	l o
loppe	s k r a b ə
loppe	s k r a b
loppestere	l ɔ p ə s t ə r ə
loppestere	l ɔ p ə s t ə r
loppestere	l ɔ p s t ə r ə
loppestere	l ɔ p s t ə r
loppestere	l ɔ b ə s t ə r ə
loppestere	l ɔ b ə s t ə r
loppestere	l ɔ b s t ə r ə
loppestere	l ɔ b s t ə r
lord	l ɔ̝ː r d
lord	l ɑː w ə r d
lord	l ɑː v ə r d
lordles	l ɔ̝ː r d l ɛ̝ː s
lordles	l ɔ̝ː r d l ɛ s
lordly	l ɔː r d l iː
lordlyng	l ɔː v ə r d l i n ɡ
lordlyng	l ɔː r d l i n ɡ
lordlyng	l ɔː r d i n ɡ
lordlyng	l ɔː r l i n ɡ
lordschipe	l ɔ̝ː r d ʃ i p ə
lordschipe	l ɔ̝ː r d ʃ i p
lordschipe	l ɔ̝ː r t ʃ i p ə
lordschipe	l ɔ̝ː r t ʃ i p
lordschipe	l ɔ̝ː r ʃ i p ə
lordschipe	l ɔ̝ː r ʃ i p
lordschipe	l aː v ə r d ʃ i p ə
lordschipe	l aː v ə r d ʃ i p
lordschipe	l aː v ə r t ʃ i p ə
lordschipe	l aː v ə r t ʃ i p
lordschipe	l aː v ə r ʃ i p ə
lordschipe	l aː v ə r ʃ i p
lore	l ɔː r ə
lore	l ɔː r
lore	l ɛː r ə
lore	l ɛː r
lore	l ɑː r ə
lore	l ɑː r
lore	l ɛː r ə
lore	l ɛː r
lore	l aː r
lore	l ɛː r
lore	l ɔː r ə
lore	l ɔː r
loresman	l aː r ə s m a n
loresman	l ɔː r ə s m a n
loresman	l ɔː r s m a n
lorfadyr	l aː r f a d ə r
lorfadyr	l ɔː r f a d ə r
lorþein	l ɑː r ð ɛ j n
lorþein	l ɔ̝ː r ð æ i̯ n
los	l ɔ s
los	l ɔː s
losen	l oː s ə n
losen	l ɔ u̯ s ə n
losen	l a u̯ s ə n
losenge	l ɔ z ɛ n d͡ʒ ə
losenge	l ɔ z ɛ n d͡ʒ
losenge	l ɔ z a n d͡ʒ ə
losenge	l ɔ z a n d͡ʒ
losengen	l ɔ z ɛ n d͡ʒ ə n
losengen	l ɔ z ɛ n d͡ʒ ə n
losengeour	l ɔ z ɛ n d͡ʒ uː r
losengeour	l ɔ z ɛ n d͡ʒ u r
losengeour	l ɔ z ɛ n d͡ʒ eː r
losengeour	l ɔ z ɛ n d͡ʒ ə r
losengerie	l ɔ z ɛ n d͡ʒ ə r iː ə
losengerie	l ɔ z ɛ n d͡ʒ ə r iː
losengerie	l ɔ z ɛ n d͡ʒ r iː ə
losengerie	l ɔ z ɛ n d͡ʒ r iː
losengerie	l ɔ z ɛ n d͡ʒ ə r iː ə
losengerie	l ɔ z ɛ n d͡ʒ ə r iː
losengerie	l ɔ z ɛ n d͡ʒ r iː ə
losengerie	l ɔ z ɛ n d͡ʒ r iː
losse	l ɔ s ɛ
losynge	l oː s i n ɡ ə
losynge	l oː s i n ɡ
loth	l ɔː θ
loud	l uː d
loude	l uː d ə
loude	l uː d
louren	l uː r ə n
lous	l uː s
louten	l uː t ə n
louten	l uː t ə n
lovable	l u v aː b l ə
lovable	l u v aː b ə l
lovable	l ɔː v aː b l ə
lovable	l ɔː v aː b ə l
lovable	l u v aː b l ə
lovable	l u v aː b ə l
love	l u v ə
love	l u v
love	l oː v ə
love	l oː v
love	l ɔː v ə
love	l ɔː v
love	l aː f
love	l aː v ə
love	l aː v
love	l oː v ə
love	l oː v
love	l oː f
loveache	l u v ə aː t͡ʃ ə
loveache	l u v ə aː t͡ʃ
loveache	l u v aː t͡ʃ ə
loveache	l u v aː t͡ʃ
loveache	l u v a d͡ʒ ə
loveache	l u v a d͡ʒ
loveday	l u v ə d æ i̯
loveday	l u v d æ i̯
loveles	l u v ə l ɛ̝ː s
loveles	l u v l ɛ̝ː s
loveles	l u v ə l ɛ s
loveles	l u v l ɛ s
lovely	l u v ə l iː
lovely	l u v l iː
lovely	l u v ə l i t͡ʃ
lovely	l u v l i t͡ʃ
lovely	l u v ə l iː
lovely	l u v l iː
lovely	l u v ə l i t͡ʃ ə
lovely	l u v ə l i t͡ʃ
lovely	l u v l i t͡ʃ ə
lovely	l u v l i t͡ʃ
lovelyly	l u v ə l iː l iː
lovelyly	l u v l iː l iː
lovelyly	l u v ə l i l iː
lovelyly	l u v l i l iː
loven	l u v ə n
loven	l oː v ə n
loven	l ɔ̞ː v ə n
loven	l ɔ v ə n
loven	l u v ə n
loven	l oː v ə n
lover	l u v eː r
lover	l u v ə r
lover	l oː v eː r
lover	l oː v ə r
lovere	l u v ə r ə
lovere	l u v ə r
lovere	l u v j ə r ə
lovere	l u v j ə r
lovere	l ɔ̞ː v ə r ə
lovere	l ɔ̞ː v ə r
lovere	l ɔ v ə r ə
lovere	l ɔ v ə r
lovere	l u v ə r ə
lovere	l u v ə r
lovere	l u v r ə
lovere	l u v r
loverede	l u v ə r ɛː d ə
loverede	l u v ə r ɛː d
loverede	l u v r ɛː d ə
loverede	l u v r ɛː d
loverede	l u v ə r ɛ d ə
loverede	l u v ə r ɛ d
loverede	l u v r ɛ d ə
loverede	l u v r ɛ d
loverede	l u v ə r ɛː d ə n
loverede	l u v r ɛː d ə n
lovesom	l u v ə s u m
lovesom	l u v s u m
lovesom	l u f s u m
lovesom	l u s u m
lovynge	l u v i n ɡ ə
lovynge	l u v i n ɡ
lovynge	l oː v i n ɡ ə
lovynge	l oː v i n ɡ
lovynge	l ɔː v i n ɡ ə
lovynge	l ɔː v i n ɡ
lovynge	l ɔ v i n ɡ ə
lovynge	l ɔ v i n ɡ
lovynge	l u v i n ɡ ə
lovynge	l u v i n ɡ
lovynge	l oː v i n ɡ ə
lovynge	l oː v i n ɡ
lowe	l ɔ u̯ ə
lowe	l ɔ u̯
lowe	l ɔ u̯ ə
lowe	l ɔ u̯
lowen	l ɔ u̯ ə n
lowen	l ɔ u̯ ə n
lowting	l o u̯ t i n ɡ
loyne	l u i̯ n ə
loyne	l u i̯ n
loyne	l u i̯ n ə
loyne	l u i̯ n
loyne	l i u̯ n ə
loyne	l i u̯ n
Lucifer	l i u̯ s i f ə r
lude	l uː d ə
lude	l uː d
lude	l i u̯ d ə
lude	l i u̯ d
lugge	l u ɡ ə
lugge	l u ɡ
luggen	l u ɡ ə n
luk	l u k
lukky	l u k iː
lune	l i u̯ n ə
lune	l i u̯ n
lushen	l uː ʃ ə n
lushen	l u ʃ ə n
lusk	l u s k
lusty	l u s t iː
lustyhede	l u s t iː h ɛː d
luxurie	l u k s j u r i ə
luxurie	l u k s j u r i
luxurie	l u k s j uː r ə
luxurie	l u k s j uː r
luxurious	l u k s j uː r i uː s
luxurious	l u k s j uː r i u s
lyard	l iː a r d
lyard	l iː a r t
lycorys	l i k u r iː s
lycorys	l i k u r i s
Lyde	l iː d ə
Lyde	l iː d
Lyde	l yː d ə
Lyde	l yː d
Lyde	l eː d ə
Lyde	l eː d
lyf	l iː f
lyfles	l iː f l ɛ̝ː s
lyfles	l iː f l ɛ s
lykewyse	l iː k w iː z
lym	l iː m
lymbo	l i m b oː
lyme	l i m ə
lyme	l i m
lyme	l eː m ə
lyme	l eː m
lymon	l i m u n
lymon	l i m ə n
lyne	l iː n
lyne	l i n
lynet	l i n ɛ t ə
lynet	l i n ɛ t
lynet	l i n t ə
lynet	l i n t
lyng	l iː n ɡ
lyng	l i n ɡ
lynx	l i n k s
lyoun	l iː uː n
lyoun	l i uː n
lyoun	l ɛː uː n
lyoun	l ɛ uː n
lyoun	l iː u n
lyoun	l ɛː u n
lyoure	l iː uː r ə
lyoure	l iː uː r
lyoure	l iː u r ə
lyoure	l iː u r
lyoure	l iː ə r ə
lyoure	l iː ə r
lyven	l i v ə n
lyven	l ɛ̞ː v ə n
lyven	l i b ə n
lyven	l eː v ə n
lyvere	l i v ə r ə
lyvere	l i v ə r
lyvere	l i v r ə
lyvere	l i v ə r ə
lyvere	l i v ə r
lyvere	l eː v ə r ə
lyvere	l eː v ə r
lyveren	l i v ə r ə n
lyveren	l i v r ə n
lyveret	l i v ə r ɛ t
lyveret	l i v r ɛ t
lyveret	l i v ə r ɛ t
lyveret	l i v r ɛ t
lyverwort	l i v ə r w u r t
lyverwort	l i v r ə w u r t
lyverwort	l eː v ə r w u r t
macche	m a t͡ʃ ə
macche	m a t͡ʃ
macche	m ɛ t͡ʃ ə
macche	m ɛ t͡ʃ
macchen	m a t͡ʃ ə n
macchen	m ɛ t͡ʃ ə n
mace	m aː s ə
mace	m aː s
macer	m aː s ə r
macer	m aː s ɛː r
Macomet	m a k ɔ m ɛ t
Macomet	m a k ə m ɛ t
macula	m a k i u̯ l aː
macys	m aː s i s
macys	m aː s ə
macys	m aː s
mad	m a d
mad	m ɛ d
mad	m aː d
mad	m a d
madame	m a d aː m ə
madame	m a d aː m
madame	m a d a m ə
madame	m a d a m
madden	m a d ə n
mader	m a d ə r ə
mader	m a d ə r
mader	m a d r ə
madhede	m a d h ɛː d
madli	m a d l iː
madli	m a d l iː t ʃ ə
madli	m a d l iː t ʃ
madnesse	m a d n ɛ s ə
madnesse	m a d n ɛ s
madschipe	m a d ʃ i p ə
madschipe	m a d ʃ i p
mages	m aː d ʒ i s
mages	m aː d ʒ iː
mageste	m a d͡ʒ ɛ s t eː
mageste	m a d͡ʒ ɛ s t eː
mageste	m aː d͡ʒ ɛ s t eː
magicien	m a d͡ʒ i s i ɛː n
magicien	m a d͡ʒ i s j ɛ n
magik	m a d ʒ iː k ə
magik	m a d ʒ iː k
magik	m a d ʒ i k ə
magik	m a d ʒ i k
magnes	m a ɡ n ɛ s
magnes	m a ɡ n ɛː s
magnete	m a ɡ n eː t ə
magnete	m a ɡ n eː t
magnete	m a ɡ n ɛː t ə
magnete	m a ɡ n ɛː t
magnete	m a ɡ n ɛ t ə
magnete	m a ɡ n ɛ t
magot	m a ɡ ɔ t
Mahown	m a h uː n d
Mahown	m a h uː n
maistresse	m æ i̯ s t r ɛ s ə
maistresse	m æ i̯ s t r ɛ s
make	m aː k ə
make	m aː k
make	m a k ə
make	m a k
make	i m aː k ə
make	i m aː k
make	m aː k ə
make	m aː k
make	m a k ə
make	m a k
make	i m aː k ə
make	i m aː k
maken	m aː k ə n
maken	m a k ə n
maker	m aː k ə r ə
maker	m aː k ə r
makerel	m a k ə r ɛ l
maladie	m a l a d iː ə
maladie	m a l a d iː
