'day	d a i
ikalabintatlo	ʔ i k a l a b i n t a t l o
ikalat	ʔ i k a l a t
ikalawa	ʔ i k a l a w a
ikalima	ʔ i k a l i m a
ikapito	ʔ i k a p i t o
ikasampu	ʔ i k a s a m p u ʔ
ikasiyam	ʔ i k a s i a m
ikatlo	ʔ i k a t l o
ikaw	ʔ i k a u
ikawalo	ʔ i k a w a l o
ikid	ʔ i k i d
ikit	ʔ i k i t
ikit	ʔ i k i t
ikli	ʔ i k l i ʔ
ikmo	ʔ i k m o
iknat	ʔ i k n a t
ikog	ʔ i k o ɡ
iksi	ʔ i k s i ʔ
ikuha	ʔ i k u h a
ikuko	ʔ i k u k o
ilag	ʔ i l a ɡ
ilag	ʔ i l a ɡ
ilagan	ʔ i l a ɡ a n
ilagay	ʔ i l a ɡ a i
ilalim	ʔ i l a l i m
ilan	ʔ i l a n
ilang	ʔ i l a ŋ
ilao	ʔ i l a u
ilap	ʔ i l a p
ilat	ʔ i l a t
ilaw	ʔ i l a u
ilay	ʔ i l a i
ilegal	ʔ i l e ɡ a l
ilegalidad	ʔ i l e ɡ a l i d a d
ilehitimo	ʔ i l e h i l i m o
iligan	ʔ i l i ɡ a n
iliko	ʔ i l i k o ʔ
iling	ʔ i l i ŋ
iliw	ʔ i l i u
ilocos	ʔ i l o k o s
ilog	ʔ i l o ɡ
ilohikal	ʔ i l o h i k a l
ilohiko	ʔ i l o h i k o
iloilo	ʔ i l o ʔ i l o
ilokana	ʔ i l o k a n a
ilokano	ʔ i l o k a n o
iloko	ʔ i l o k o
ilong	ʔ i l o ŋ
ilot	ʔ i l o t
iluminasyon	ʔ i l u m i n a s j o n
ilustre	ʔ i l u s t ɾ e
ilusyon	ʔ i l u s j o n
imahe	ʔ i m a h e
imahen	ʔ i m a h e n
imahinasyon	ʔ i m a h i n a s j o n
imbalido	ʔ i m b a l i d o
imbentaryo	ʔ i m b e n t a ɾ j o
imbento	ʔ i m b e n t o
imbes	ʔ i m b e s
imbestigasyon	ʔ i m b e s t i ɡ a s j o n
imbita	ʔ i m b i t a
imbitado	ʔ i m b i t a d o
imbudo	ʔ i m b u d o
imburnal	ʔ i m b u ɾ n a l
imigrasyon	ʔ i m i ɡ ɾ a s j o n
imoral	ʔ i m o ɾ a l
imoralidad	ʔ i m o ɾ a l i d a d
impakto	ʔ i m p a k t o
impapawid	ʔ i m p a p a w i d
imparsiyal	ʔ i m p a ɾ s i a l
impatso	ʔ i m p a t͡ʃ o
impeksiyon	ʔ i m p e k s i o n
imperensiya	ʔ i m p e ɾ e n s i a
imperial	ʔ i m p e ɾ j a l
imperyalismo	ʔ i m p e ɾ j a l i s m o
imperyalista	ʔ i m p e ɾ j a l i s t a
imperyo	ʔ i m p e ɾ j o
impilya	ʔ i m p i l j a
impinitibo	ʔ i m p i n i t i b o
impis	ʔ i m p i s
impiyerno	ʔ i m p i e ɾ n o
implamasyon	ʔ i m p l a m a s j o n
implasyon	ʔ i m p l a s j o n
impluwensiya	ʔ i m p l u e n s j a
impluwensiya	ʔ i m p l u e n s i a
impo	ʔ i m p o
impormal	ʔ i m p o ɾ m a l
impormante	ʔ i m p o ɾ m a n t e
impormasyon	ʔ i m p o ɾ m a s j o n
importansiya	ʔ i m p o ɾ t a n s i a
importante	ʔ i m p o ɾ t a n t e
imposibilidad	ʔ i m p o s i b i l i d a d
imposible	ʔ i m p o s i b l e
impraestruktura	ʔ i m p ɾ a ʔ e s t ɾ u k t u ɾ a
imprastraktura	ʔ i m p ɾ a s t ɾ a k t u ɾ a
imprastruktura	ʔ i m p ɾ a s t ɾ u k t u ɾ a
imus	ʔ i m u s
ina	ʔ i n a
ina	ʔ i n a ʔ
inaaaban	ʔ i n a ʔ a ʔ a b a n
inaaban	ʔ i n a ʔ a b a n
inaama	ʔ i n a ʔ a m a
inaanak	ʔ i n a ʔ a n a k
inaantok	ʔ i n a ʔ a n t o k
inag	ʔ i n a ɡ
inagurasyon	ʔ i n a ɡ u ɾ a s j o n
inahin	ʔ i n a h i n
inain	ʔ i n a ʔ i n
inakay	ʔ i n a k a i
inakay	ʔ i n a k a i
inam	ʔ i n a m
inampalan	ʔ i n a m p a l a n
inampalan	ʔ i n a m p a l a n
inana	ʔ i n a n a
inanak	ʔ i n a n a k
inang	ʔ i n a ŋ
inangit	ʔ i n a ŋ i t
inano	ʔ i n a n o
inano	ʔ i n a n o ʔ
inapo	ʔ i n a p o
inat	ʔ i n a t
inat	ʔ i n a t
inay	ʔ i n a i
inda	ʔ i n d a
inda	ʔ i n d a ʔ
indahin	ʔ i n d a h i n
indak	ʔ i n d a k
inday	ʔ i n d a i
indayog	ʔ i n d a j o ɡ
indemnisasyon	ʔ i n d e m n i s a s j o n
independensiya	ʔ i n d e p e n d e n s i a
independiyente	ʔ i n d e p e n d i e n t e
indesente	ʔ i n d e s e n t e
indibidwal	ʔ i n d i b i d w a l
indibidwalidad	ʔ i n d i b i d w a l i d a d
indibidwalismo	ʔ i n d i b i d w a l i s m o
indignasyon	ʔ i n d i ɡ n a s j o n
indikasyon	ʔ i n d i k a s j o n
indiya	ʔ i n d i a
indiyan	ʔ i n d i a n
indiyan	ʔ i n d i a n
indiyana	ʔ i n d i a n a
indiyano	ʔ i n d i a n o
indiyo	ʔ i n d i o
indones	ʔ i n d o n e s
indonesa	ʔ i n d o n e s a
indonesya	ʔ i n d o n e s j a
indotsina	ʔ i n d o t͡ʃ i n a
indulhensiya	ʔ i n d u l h e n s i a
indulto	ʔ i n d u l t o
industriya	ʔ i n d u s t ɾ i a
industriyal	ʔ i n d u s t ɾ i a l
industriyalisasyon	ʔ i n d u s t ɾ i a l i s a s j o n
industriyalismo	ʔ i n d u s t ɾ i a l i s m o
industriyalista	ʔ i n d u s t ɾ i a l i s t a
ineng	ʔ i n e ŋ
infante	ʔ i m p a n t e
ingat	ʔ i ŋ a t
ingay	ʔ i ŋ a i
inggit	ʔ i ŋ ɡ i t
inggitera	ʔ i ŋ ɡ i t e ɾ a
inggitero	ʔ i ŋ ɡ i t e ɾ o
inggo	ʔ i ŋ ɡ o
inggo	ʔ i ŋ ɡ o ʔ
ingil	ʔ i ŋ i l
ingit	ʔ i ŋ i t
ingkilino	ʔ i ŋ k i l i n o
ingklinasyon	ʔ i ŋ k l i n a s j o n
ingklitik	ʔ i ŋ k l i t i k
ingklusibo	ʔ i ŋ k l u s i b o
ingklusyon	ʔ i ŋ k l u s j o n
ingkong	ʔ i ŋ k o ŋ
ingkorporasyon	ʔ i ŋ k o ɾ p o ɾ a s j o n
inglatera	ʔ i ŋ ɡ l a t e ɾ a
ingles	ʔ i ŋ ɡ l e s
inglesa	ʔ i ŋ ɡ l e s a
inglesera	ʔ i ŋ ɡ l e s e ɾ a
inglesero	ʔ i ŋ ɡ l e s e ɾ o
ingrato	ʔ i ŋ ɡ ɾ a t o
ingreso	ʔ i ŋ ɡ ɾ e s o
ingson	ʔ i ŋ s o n
inhenyero	ʔ i n h e n j e ɾ o
inhinyero	ʔ i n h i n j e ɾ o
iniba	ʔ i n i b a
iniba	ʔ i n i b a ʔ
iniba	ʔ i n i b a
iniina	ʔ i n i ʔ i n a
ining	ʔ i n i ŋ
inip	ʔ i n i p
inis	ʔ i n i s
inisyatiba	ʔ i n i s j a t i b a
inisyatibo	ʔ i n i s j a t i b o
init	ʔ i n i t
initan	ʔ i n i t a n
initan	ʔ i n i t a n
initan	ʔ i n i t a n
initbutod	ʔ i n i t b u t ɔ d
initdagitban	ʔ i n i t d a ɡ i t b a n
initkapnayan	ʔ i n i t k a p n a j a n
initsigan	ʔ i n i t s i ɡ a n
initsupil	ʔ i n i t s u p i l
inla	ʔ i n l a
inmigrasyon	ʔ i n m i ɡ ɾ a s j o n
inmigrasyon	ʔ i m i ɡ ɾ a s j o n
inmoral	ʔ i n m o ɾ a l
inmoral	ʔ i m o ɾ a l
inmoralidad	ʔ i n m o ɾ a l i d a d
inmoralidad	ʔ i m o ɾ a l i d a d
ino	ʔ i n o
inodoro	ʔ i n o d o ɾ o
inog	ʔ i n o ɡ
inom	ʔ i n o m
inosente	ʔ i n o s e n t e
insekto	ʔ i n s e k t o
insensaryo	ʔ i n s e n s a ɾ j o
insensitibo	ʔ i n s e n s i t i b o
insenso	ʔ i n s e n s o
insentibo	ʔ i n s e n t i b o
insesto	ʔ i n s e s t o
insidente	ʔ i n s i d e n t e
inskripsiyon	ʔ i n s k ɾ i p s i o n
inso	ʔ i n s o
inspeksiyon	ʔ i n s p e k s i o n
inspeksiyunin	ʔ i n s p e k s i u n i n
inspektor	ʔ i n s p e k t o ɾ
inspirado	ʔ i n s p i ɾ a d o
inspirasyon	ʔ i n s p i ɾ a s j o n
instalasyon	ʔ i n s t a l a s j o n
instansiya	ʔ i n s t a n s i a
instigador	ʔ i n s t i ɡ a d o ɾ
institusyon	ʔ i n s t i t u s j o n
instituto	ʔ i n s t i t u t o
instruksiyon	ʔ i n s t ɾ u k s i o n
instruktor	ʔ i n s t ɾ u k t o ɾ
instrumento	ʔ i n s t ɾ u m e n t o
insubordinasyon	ʔ i n s u b o ɾ d i n a s j o n
insulares	ʔ i n s u l a ɾ e s
insulto	ʔ i n s u l t o
insupisyente	ʔ i n s u p i s j e n t e
insureksiyon	ʔ i n s u ɾ e k s i o n
insurekto	ʔ i n s u ɾ e k t o
insurhensiya	ʔ i n s u ɾ h e n s i a
integral	ʔ i n t e ɡ ɾ a l
integrasyon	ʔ i n t e ɡ ɾ a s j o n
integridad	ʔ i n t e ɡ ɾ i d a d
intelihensiya	ʔ i n t e l i h e n s i a
intelihente	ʔ i n t e l i h e n t e
intensibo	ʔ i n t e n s i b o
intensiyon	ʔ i n t e n s i o n
intensiyonal	ʔ i n t e n s i o n a l
interbensiyon	ʔ i n t e ɾ b e n s i o n
interbiyu	ʔ i n t e ɾ b i u
interes	ʔ i n t e ɾ e s
interesado	ʔ i n t e ɾ e s a d o
intermisyon	ʔ i n t e ɾ m i s j o n
interogasyon	ʔ i n t e ɾ o ɡ a s j o n
interpretasyon	ʔ i n t e ɾ p ɾ e t a s j o n
interprete	ʔ i n t e ɾ p ɾ e t e
interseksiyon	ʔ i n t e ɾ s e k s i o n
interyor	ʔ i n t e ɾ j o ɾ
intimidasyon	ʔ i n t i m i d a s j o n
intindi	ʔ i n t i n d i
intindihin	ʔ i n t i n d i h i n
intoksikasyon	ʔ i n t o k s i k a s j o n
intriga	ʔ i n t ɾ i ɡ a
introduksiyon	ʔ i n t ɾ o d u k s i o n
intrusyon	ʔ i n t ɾ u s j o n
intsik	ʔ i n t͡ʃ i k
intuwisyon	ʔ i n t u i s j o n
inugsukat	ʔ i n u ɡ s u k a t
inuman	ʔ i n u m a n
inuman	ʔ i n u m a n
inumin	ʔ i n u m i n
inumin	ʔ i n u m i n
inunan	ʔ i n u n a n
inundasyon	ʔ i n u n d a s j o n
inupas	ʔ i n u p a s
inutil	ʔ i n u t i l
inyo	ʔ i n j o
ip	ʔ i p
ipa	ʔ i p a
ipaayos	ʔ i p a ʔ a j o s
ipabasa	ʔ i p a b a s a
ipabasa	ʔ i p a b a s a ʔ
ipadala	ʔ i p a d a l a
ipagawa	ʔ i p a ɡ a w a ʔ
ipagbilin	ʔ i p a ɡ b i l i n
ipagmalaki	ʔ i p a ɡ m a l a k i
ipagsanggalang	ʔ i p a ɡ s a ŋ ɡ a l a ŋ
ipaintindi	ʔ i p a ʔ i n t i n d i
ipakausap	ʔ i p a k a ʔ u s a p
ipakita	ʔ i p a k i t a
ipakita	ʔ i p a k i t a ʔ
ipakuha	ʔ i p a k u h a
ipakuha	ʔ i p a k u h a ʔ
ipalinis	ʔ i p a l i n i s
ipamigay	ʔ i p a m i ɡ a i
ipangako	ʔ i p a ŋ a k o ʔ
ipantakip	ʔ i p a n t a k i p
iparusa	ʔ i p a ɾ u s a
ipasagot	ʔ i p a s a ɡ o t
ipasok	ʔ i p a s o k
ipatanggal	ʔ i p a t a ŋ ɡ a l
ipatapon	ʔ i p a t a p o n
ipatong	ʔ i p a t o ŋ
ipil	ʔ i p i l
ipis	ʔ i p i s
ipit	ʔ i p i t
ipo	ʔ i p o
ipod	ʔ i p o d
ipodromo	ʔ i p o d ɾ o m o
ipokrisiya	ʔ i p o k ɾ i s i a
ipokrita	ʔ i p o k ɾ i t a
ipon	ʔ i p o n
ipon	ʔ i p o n
ipot	ʔ i p o t
iprint	ʔ i p ɾ i n t
ipuipo	ʔ i p u ʔ i p o
ipunin	ʔ i p u n i n
irak	ʔ i ɾ a k
iran	ʔ i ɾ a n
irebisa	ʔ i ɾ e b i s a
iregular	ʔ i ɾ e ɡ u l a ɾ
iregularidad	ʔ i ɾ e ɡ u l a ɾ i d a d
irekomenda	ʔ i ɾ e k o m e n d a
iriga	ʔ i ɾ i ɡ a
iritable	ʔ i ɾ i t a b l e
iritasyon	ʔ i ɾ i t a s j o n
irlanda	ʔ i ɾ l a n d a
irlandes	ʔ i ɾ l a n d e s
irlandesa	ʔ i ɾ l a n d e s a
isa	ʔ i s a
isabela	ʔ i s a b e l a
isagani	ʔ i s a ɡ a n i
isakay	ʔ i s a k a i
isakay	ʔ i s a k a i
isalba	ʔ i s a l b a
isama	ʔ i s a m a
isama	ʔ i s a m a ʔ
isama	ʔ i s a m a
isanggalang	ʔ i s a ŋ ɡ a l a ŋ
isangkot	ʔ i s a ŋ k o t
isangla	ʔ i s a ŋ l a ʔ
isangla	ʔ i s a n l a ʔ
isantabi	ʔ i s a n t a b i
isara	ʔ i s a ɾ a
isauli	ʔ i s a ʔ u l i ʔ
isauli	ʔ i s o l i ʔ
isaulo	ʔ i s a ʔ u l o
isaw	ʔ i s a u
iscan	i s k a n
isda	ʔ i s d a ʔ
isdantuko	ʔ i s d a n t u k o ʔ
iset	ʔ i s e t
ishay	ʔ i s h a i
ishinare	ʔ i s h i n e ɾ
isidro	ʔ i s i d ɾ o
isig	ʔ i s i ɡ
isigan	ʔ i s i ɡ a n
isigan	ʔ i s i ɡ a n
isil	ʔ i s i l
isip	ʔ i s i p
isipin	ʔ i s i p i n
isipin	ʔ i s i p i n
isisi	ʔ i s i s i
iskandalo	ʔ i s k a n d a l o
iskaparate	ʔ i s k a p a ɾ a t e
iskedyul	ʔ i s k e d j u l
iskolar	ʔ i s k o l a ɾ
iskor	ʔ i s k o ɾ
iskrip	ʔ i s k ɾ i p
iskul	ʔ i s k u l
iskultor	ʔ i s k u l t o ɾ
iskultura	ʔ i s k u l t u ɾ a
iskuwater	ʔ i s k u a t e ɾ
iskwater	ʔ i s k w a t e ɾ
isla	ʔ i s l a
islam	ʔ i s l a m
islam	ʔ i s l a m
islandiya	ʔ i s l a n d i a
islang	ʔ i s l a ŋ
islobenya	ʔ i s l o b e n j a
islogan	ʔ i s l o ɡ a n
ismagler	ʔ i s m a ɡ l e ɾ
ismid	ʔ i s m i d
isnab	ʔ i s n a b
isnabera	ʔ i s n a b e ɾ a
isnabero	ʔ i s n a b e ɾ o
isnabin	ʔ i s n a b i n
iso	ʔ i s o
iso	ʔ i s o ʔ
iso	ʔ i s o
isod	ʔ i s o d
isoli	ʔ i s o l i ʔ
ispageti	ʔ i s p a ɡ e t i
ispanismo	ʔ i s p a n i s m o
isputing	ʔ i s p u t i ŋ
israel	ʔ i s ɾ a ʔ e l
israelita	ʔ i s ɾ a ʔ e l i t a
istambay	ʔ i s t a m b a i
istante	ʔ i s t a n t e
istapador	ʔ i s t a p a d o ɾ
istatuwa	ʔ i s t a t u a
istatwa	ʔ i s t a t w a
istorbo	ʔ i s t o ɾ b o
istorya	ʔ i s t o ɾ j a
istoryador	ʔ i s t o ɾ j a d o ɾ
istratehiya	ʔ i s t ɾ a t e h i a
istres	ʔ i s t ɾ e s
istrikto	ʔ i s t ɾ i k t o
isuksok	ʔ i s u k s o k
isulat	ʔ i s u l a t
isumbong	ʔ i s u m b o ŋ
isuot	ʔ i s u ʔ o t
iswad	ʔ i s w a d
isyu	ʔ i s j u
ita	ʔ i t a
itaas	ʔ i t a ʔ a s
itaboy	ʔ i t a b o i
itago	ʔ i t a ɡ o ʔ
itak	ʔ i t a k
itali	ʔ i t a l i ʔ
italya	ʔ i t a l j a
italyana	ʔ i t a l j a n a
italyano	ʔ i t a l j a n o
itanim	ʔ i t a n i m
itapon	ʔ i t a p o n
itapon	ʔ i t a p o n
itawit	ʔ i t a w i t
itay	ʔ i t a i
itey	ʔ i t e i
iti	ʔ i t i
itik	ʔ i t i k
itim	ʔ i t i m
itineraryo	ʔ i t i n e ɾ a ɾ j o
iting	ʔ i t i ŋ
itlog	ʔ i t l o ɡ
itmo	ʔ i t m o
itneg	ʔ i t n e ɡ
ito	ʔ i t o
itsa	ʔ i t͡ʃ a
itsura	ʔ i t͡ʃ u ɾ a
itulog	ʔ i t u l o ɡ
iuwi	ʔ i ʔ u w i ʔ
iwak	ʔ i w a k
iwal	ʔ i w a l
iwan	ʔ i w a n
iwanan	ʔ i w a n a n
iwang	ʔ i w a ŋ
iwas	ʔ i w a s
iwi	ʔ i w i
iwi	ʔ i w i
ixerox	i s ɛ r o k s
iyag	ʔ i a ɡ
iyak	ʔ i a k
iyakin	ʔ i a k i n
iyan	i j a n
iyan	j a n
iyan	ʔ i a n
iyan	j a n
iyo	ʔ i o
iyon	ʔ i o n
iyon	j o n
jacinto	h a s i n t o
jalandoni	d͡ʒ a l a n d o n i
jamisola	d͡ʒ a m i s o l a
jara	d͡ʒ a ɾ a
jaramillo	h a ɾ a m i l j o
jimenez	h i m e n e s
jiro	d͡ʒ i ɾ o
jologs	d͡ʒ o l o ɡ s
jonas	h o n a s
jontis	d͡ʒ ɔ n t i s
juan	h w a n
juan	h w ɐ n
juarez	h w a ɾ e s
julalay	d͡ʒ u l a l a j
jumarang	d͡ʒ u m a ɾ a ŋ
jumbag	d͡ʒ u m b a ɡ
junichi	d͡ʒ u n i t͡ʃ i
juntilla	d͡ʒ u n t i l l a
jurado	h u ɾ a d o
jusi	d͡ʒ u s i
justiniano	h u s t i n j a n o
k	k e i
k	k a
k	k
k	k e i
k	k a
ka	k a
kaagaw	k a a ɡ a u
kaagulo	k a ʔ a ɡ u l o
kaagulo	k a ʔ a ɡ u l o ʔ
kaakuhan	k a ʔ a k u h a n
kaalit	k a a l i t
kaanak	k a ʔ a n a k
kaanib	k a ʔ a n i b
kaaway	k a a w a i
kababaan	k a b a b a ʔ a n
kababaihan	k a b a b a ʔ i h a n
kabag	k a b a ɡ
kabaka	k a b a k a
kabaktan	k a b a k t a n
kabaligtaran	k a b a l i ɡ t a ɾ a n
kabalintunaan	k a b a l i n t u n a ʔ a n
kaban	k a b a n
kabanata	k a b a n a t a ʔ
kabaong	k a b a o ŋ
kabarkada	k a b a ɾ k a d a
kabaro	k a b a ɾ o ʔ
kabasangal	k a b a s a ŋ a l
kabastusan	k a b a s t u s a n
kabatuganan	k a b a t u ɡ a n a n
kabayanihan	k a b a j a n i h a n
kabayo	k a b a j o
kaberdehan	k a b e ɾ d e h a n
kabig	k a b i ɡ
kabiguan	k a b i ɡ u ʔ a n
kabiguan	k a b i ɡ u ʔ a n
kabihasnan	k a b i h a s n a n
kabikulan	k a b i k u l a n
kabikulan	k a b i k u l a n
kabiling	k a b i l i ŋ
kabinet	k a b i n e t
kabinian	k a b i n i ʔ a n
kabisado	k a b i s a d o
kabisayaan	k a b i s a j a ʔ a n
kabit	k a b i t
kabo	k a b o
kabukiran	k a b u k i ɾ a n
kabuluhan	k a b u l u h a n
kabute	k a b u t e
kabuwanan	k a b u a n a n
kada	k a d a
kadena	k a d e n a
kadete	k a d e t e
kadugo	k a d u ɡ o ʔ
kadyos	k a d j o s
kadyot	k ɑ d ʑ ɔ t̚
kadyot	k ɑ d j ɔ t̚
kaedad	k a ʔ e d a d
kagalingan	k a ɡ a l i ŋ a n
kagaw	k a ɡ a u
kagawaran	k a ɡ a w a ɾ a n
kagitingan	k a ɡ i t i ŋ a n
kaha	k a h a
kahabagan	k a h a b a ɡ a n
kahalagahan	k a h a l a ɡ a h a n
kahalayan	k a h a l a j a n
kahandaan	k a h a n d a ʔ a n
kaharian	k a h a ɾ i a n
kahel	k a h e l
kahero	k a h e ɾ o
kahihiyan	k a h i h i a n
kahinaan	k a h i n a ʔ a n
kahoy	k a h o i
kahulugan	k a h u l u ɡ a n
kaibigan	k a i b i ɡ a n
kaibigan	k a i b i ɡ a n
kaibigan	k a i b i ɡ a n
kaibigan	k a i b i ɡ a n
kaibigan	k a i b i ɡ a n
kaibuturan	k a ʔ i b u t u ɾ a n
kaibuturan	k a ʔ i b u t u ɾ a n
kailan	k a ʔ i l a n
kailan	k e l a n
kailangan	k a ʔ i l a ŋ a n
kailangan	k a i l a ŋ a n
kailangan	k e l a ŋ a n
kain	k a ʔ i n
kainan	k a ʔ i n a n
kakahuyan	k a k a h u j a n
kakainin	k a k a ʔ i n i n
kakanin	k a k a n i n
kakaphay	k a k a p h a i
kakapitan	k a k a p i t a n
kakarampot	k a k a ɾ a m p o t
kakayahan	k a k a j a h a n
kakilala	k a k i l a l a
kaklase	k a k l a s e
kaktus	k a k t u s
kakulangan	k a k u l a ŋ a n
kakulawas	k a k u l a w a s
kalabog	k a l a b o ɡ
kaladkad	k a l a d k a d
kalagitnaan	k a l a ɡ i t n a ʔ a n
kalaguyo	k a l a ɡ u j o ʔ
kalakaran	k a l a k a ɾ a n
kalakpan	k a l a k p a n
kalaliman	k a l a l i m a n
kalamansanay	k a l a m a n s a n a i
kalamansi	k a l a m a n s i ʔ
kalamba	k a l a m b a ʔ
kalambre	k a l a m b ɾ e
kalamidad	k a l a m i d a d
kalamunding	k a l a m u n d i ŋ
kalan	k a l a n
kalandak	k a l a n d a k
kalangay	k a l a ŋ a i
kalansay	k a l a n s a i
kalantas	k a l a n t a s
kalapati	k a l a p a t i
kalaswaan	k a l a s w a ʔ a n
kalat	k a l a t
kalat	k a l a t
kalatas	k a l a t a s
kalatsutsi	k a l a t͡ʃ u t͡ʃ i ʔ
kalawang	k a l a w a ŋ
kalawangin	k a l a w a ŋ i n
kalawangin	k a l a w a ŋ i n
kalayaan	k a l ɐ i ɪ a ʔ ɐ n
kalbaryo	k a l b a ɾ j o
kaldero	k a l d e ɾ o
kalendaryo	k a l e n d a ɾ j o
kalesa	k ɐ l ɛː s a
kalibre	k a l i b ɾ e
kalibugan	k a l i b u ɡ a n
kalidad	k a l i d a d
kaligayahan	k a l i ɡ a j a h a n
kaligkig	k a l i ɡ k i ɡ
kalihim	k a l i h i m
kalima	k a l i m a
kalinisan	k a l i n i s a n
kalis	k a l i s
kaliskis	k a l i s k i s
kaliwanagan	k a l i w a n a ɡ a n
kaliwete	k a l i w e t e
kaloob	k a l o ʔ o b
kalooban	k a l o ʔ o b a n
kalooban	k a l o ʔ o b a n
kalookan	k a l o ʔ o k a n
kalookan	k a l o ʔ o k a n
kalookan	k a l o ʔ o k a n
kalso	k a l s o
kaluban	k ɐ l u b ɐ n
kalumbibit	k a l u m b i b i t
kalungsuran	k a l u ŋ s u ɾ a n
kaluntian	k a l u n t i ʔ a n
kalusugan	k a l u s u ɡ a n
kalusugan	k a l u s u ɡ a n
kalusugan	k a l u s u ɡ a n
kaluwalhatian	k a l u l u a l h a t i ʔ a n
kalyo	k a l j o
kamagong	k a m a ɡ o ŋ
kamanahan	k a m a n a h a n
kamandag	k a m a n d a ɡ
kamangmangan	k a m a ŋ m a ŋ a n
kamatayan	k a m a t a j a n
kamatayan	k a m a t a j a n
kambal	k a m b a l
kambas	k a m b a s
kambing	k a m b i ŋ
kambyo	k a m b j o
kami	k a m ɪ
kami	k a m ɛ
kamihasnan	k a m i h a s n a n
kampana	k a m p a n a ʔ
kampanaryo	k a m p a n a ɾ j o
kampante	k a m p a n t e
kampanya	k a m p a n j a
kampeon	k a m p e o n
kampeonato	k a m p e o n a t o
kampyon	k a m p j o n
kamukha	k a m u k h a ʔ
kamunduhan	k a m u n d u h a n
kamyas	k a m j a s
kana	k a n a ʔ
kanada	k a n a d a
kandidato	k a n d i d a t o
kandidatura	k a n d i d a t u ɾ a
kandila	k a n d i l a ʔ
kanduli	k a n d u l i ʔ
kang	k a ŋ
kangkungan	k a ŋ k u ŋ a n
kanina	k a n i n a
kanino	k a n i n o
kanisid	k a n i s i d
kaniyugan	k a n j u ɡ a n
kanlong	k a n l o ŋ
kanlungan	k a n l u ŋ a n
kanluran	k a n l u ɾ a n
kanselasyon	k a n s e l a s j o n
kanser	k a n s e ɾ
kanta	k a n t a
kantahin	k a n t a h i n
kantot	k a n t o t
kantutin	k a n t u t i n
kanyon	k a n j o n
kaopisina	k a o p i s i n a
kapabayaan	k a p a b a j a a n
kapag	k a p a ɡ
kapagka	k a p a ɡ k a ʔ
kapakanan	k a p a k a n a n
kapakanan	k a p a k a n ʔ a n
kapalaran	k a p a l a ɾ a n
kapalit	k a p a l i t
kapanahunan	k a p a n a h u n a n
kapangyarihan	k a p a ŋ j a ɾ i h a n
kapatawaran	k a p a t a w a ɾ a n
kaphay	k a p h a i
kapid	k a p i d
kapiraso	k a p i ɾ a s o
kapisanan	k a p i s a n a n
kapitan	k a p i t a n
kapitan	k a p i t a n
kaplastikan	k a p l a s t i k a n
kapok	k a p o k
kapon	k a p o n
kapotgayong	k a p o t ɡ a j o ŋ
kapre	k a p ɾ e
kapsula	k a p s u l a
kapuluan	k a p u l u a n
kaputsino	k a p u t͡ʃ i n o
karakter	k a ɾ a k t e ɾ
karakter	k a ɾ a k t e ɾ
karambola	k a ɾ a m b o l a
karamihan	k a ɾ a m i h a n
karampatan	k a ɾ a m p a t a n
karanasan	k a ɾ a n a s a n
karapatan	k a ɾ a p a t a n
karayom	k a ɾ a j o m
karbon	k a ɾ b o n
karburador	k a ɾ b u ɾ a d o ɾ
karelyebo	k a r ɛ ʎ ɛ b o
karerahan	k a ɾ e ɾ a h a n
karibal	k a ɾ i b a l
karitela	k a ɾ i t e l a
kariton	k a ɾ i t o n
karo	k a ɾ o
karpintero	k a ɾ p i n t e ɾ o
kartero	k a ɾ t e ɾ o
karton	k a ɾ t o n
karunungan	k a ɾ u n u ŋ a n
karupukan	k a ɾ u p u k a n
karuwagan	k a ɾ u a ɡ a n
kasabihan	k a s a b i h a n
kasabwat	k a s a b w a t
kasalanan	k a s a l a n a n
kasalungat	k a s a l u ŋ a t
kasambahay	k a s a m b a h a i
kasaysayan	k a s a i s a j a n
kasera	k a s e ɾ a
kasero	k a s e ɾ o
kaserola	k a s e ɾ o l a
kasiguraduhan	k a s i ɡ u ɾ a d u h a n
kasingkahulugan	k a s i ŋ k a h u l u ɡ a n
kasintahan	k a s i n t a h a n
kasinungalingan	k a s i n u ŋ a l i ŋ a n
kaso	k a s ɔ
kasoy	k a s o i
kastigo	k a s t i ɡ o
kastiguhin	k a s t i ɡ u h i n
kastila	k a s t i l a ʔ
kasubha	k a s u b h a ʔ
kasuy	k a s u i
kata	k a t a ʔ
kata	k a t a
kataga	k a t a ɡ a ʔ
katagalugan	k a t a ɡ a l u ɡ a n
katakawan	k a t a k a w a n
katang	k a t a ŋ
katang	k a t a ŋ
katangahan	k a t a ŋ a h a n
katarata	k a t a ɾ a t a
katarungan	k a t a ɾ u ŋ a n
katawan	k a t a w a n
katawan	k a t a u ʔ a n
katedral	k a t e d ɾ a l
katha	k a t h a ʔ
kati	k a t i
kati	k ɐ t i
kati	k ɐ t i ʔ
katibayan	k a t i b a j a n
katigbak	k a t i ɡ b a k
katiwalian	k a t i w a l i a n
kato	k a t o ʔ
katoliko	k a t o l i k o
katolisismo	k a t o l i s i s m o
katropa	k a t r o p a
katungkulan	k a t u ŋ k u l a n
katuray	k a t u ɾ a i
katuruan	k a t u r u ʔ a n
katuwang	k a t u a ŋ
kaunti	k a ʔ u n t i ʔ
