Adar	ɑː d ɑː ɾ
olan	oː l ɑː n
operator	oː p ɛ ɾ ɑː t oː ɾ
orgazm	oː ɾ ɡ ɑː z m
ostralî	oː s t ɾ ɑː l iː
otomobîl	oː t oː m oː b iː l
pal	p ɑː l
pale	p ɑː l ɛ
paqij	p ɑː q ɪ ʒ
paqijker	p ɑː q ɪ ʒ k ɛ ɾ
paqijî	p ɑː q ɪ ʒ iː
par	p ɑː ɾ
parastin	p ɑː ɾ ɑː s t ɪ n
pare	p ɑː ɾ ɛ
pargîdanî	p ɑː ɾ ɡ iː d ɑː n iː
parsek	p ɑː ɾ s ɛ k
parvekirin	p ɑː ɾ v ɛ k ɪ ɾ ɪ n
parzemîn	p ɑː ɾ z ɛ m iː n
parzemînî	p ɑː ɾ z ɛ m iː n iː
parêzer	p ɑː ɾ eː z ɛ ɾ
parêzerî	p ɑː ɾ eː z ɛ ɾ iː
parêzgeh	p ɑː ɾ eː z ɡ ɛ h
pay	p ɑː j
payiz	p ɑː j ɪ z
paytext	p ɑː j t ɛ x t
paşbendik	p ɑː ʃ b ɛ n d ɪ k
paşnav	p ɑː ʃ n ɑː v
paşxwarin	p ɑː ʃ x w ɑː ɾ ɪ n
pej	p ɛ ʒ
pejirandin	p ɛ ʒ ɪ ɾ ɑː n d ɪ n
pembe	p ɛ m b ɛ
pembû	p ɛ m b uː
penaber	p ɛ n ɑː b ɛ ɾ
penaberî	p ɛ n ɑː b ɛ ɾ iː
pene	p ɛ n ɛ
pentoksîd	p ɛ n t oː k s iː d
penêr	p ɛ n eː ɾ
penîr	p ɛ n iː ɾ
pepûk	p ɛ p uː k
perdaq	p ɛ ɾ d ɑː q
perestgeh	p ɛ ɾ ɛ s t ɡ ɛ h
perestroyka	p ɛ ɾ ɛ s t ɾ oː j k ɑː
pergal	p ɛ ɾ ɡ ɑː l
peroksîd	p ɛ ɾ oː k s iː d
perwerde	p ɛ ɾ w ɛ ɾ d ɛ
pesin	p ɛ s ɪ n
pesinandin	p ɛ s ɪ n ɑː n d ɪ n
pest	p ɛ s t
petêx	p ɛ t eː x
peyam	p ɛ j ɑː m
peyarê	p ɛ j ɑː ɾ eː
peyiv	p ɛ j ɪ v
peykel	p ɛ j k ɛ l
peyker	p ɛ j k ɛ ɾ
peyman	p ɛ j m ɑː n
peyv	p ɛ j v
peywendî	p ɛ j w ɛ n d iː
peywir	p ɛ j w ɪ ɾ
pez	p ɛ z
pezkûvî	p ɛ z k uː v iː
piling	p ɪ l ɪ ŋ ɡ
pir	p ɪ ɾ
piranî	p ɪ ɾ ɑː n iː
pirs	p ɪ ɾ s
pirsgirêk	p ɪ ɾ s ɡ ɪ ɾ eː k
pirsker	p ɪ ɾ s k ɛ ɾ
pirsîn	p ɪ ɾ s iː n
pirteqal	p ɪ ɾ t ɛ q ɑː l
pirteqalî	p ɪ ɾ t ɛ q ɑː l iː
pirtûk	p ɪ ɾ t uː k
pirtûkhez	p ɪ ɾ t uː k h ɛ z
pirtûkhezî	p ɪ ɾ t uː k h ɛ z iː
pirtûkxane	pʰ ɪ ɾ t uː k x ɑː n ɛ
pirtûkxanevan	p ɪ ɾ t uː k x ɑː n ɛ v ɑː n
pirêz	p ɪ ɾ eː z
pirûd	p ɪ ɾ uː d
pispor	p ɪ s p oː ɾ
piste	p ɪ s t ɛ
pisîk	p ɪ s iː k
pitir	p ɪ t ɪ ɾ
piv	p ɪ v
pixêrîk	p ɪ x eː ɾ iː k
piyale	p ɪ j ɑː l ɛ
piyes	p ɪ j ɛ s
piçûk	p ɪ t͡ʃ uː k
pişt	p ɪ ʃ t
piştgirî	pˤ ɪ ʃ t ɡ ɪ ɾ iː
polonî	p oː l oː n iː
polîtolojî	p oː l iː t oː l oː ʒ iː
por	p oː ɾ
post	p oː s t
prolîn	p ɾ oː l iː n
pê	p eː
pê	pʰ eː
pêda	p eː d ɑː
pêhel	p eː h ɛ l
pêkenok	p eː k ɛ n oː k
pêkve	p eː k v ɛ
pêlav	p eː l ɑː v
pêrar	p eː ɾ ɑː ɾ
pêwîst	p eː w iː s t
pêxember	p eː x ɛ m b ɛ ɾ
pêçe	p eː t͡ʃ ɛ
pêş	pʰ eː ʃ
pêşbazî	p eː ʃ b ɑː z iː
pêşbendik	p eː ʃ b ɛ n d ɪ k
pêşbirk	p eː ʃ b ɪ ɾ k
pêşdîrok	p eː ʃ d iː ɾ oː k
pêşdîrokî	p eː ʃ d iː ɾ oː k iː
pêşeng	p eː ʃ ɛ ŋ ɡ
pêşmerge	p eː ʃ m ɛ ɾ ɡ ɛ
pêşnav	p eː ʃ n ɑː v
pêşxwarin	p eː ʃ x w ɑː ɾ ɪ n
pî	p iː
pîr	p iː ɾ
pîremêr	p iː ɾ ɛ m eː ɾ
pîroz	pˤ iː ɾ oː z
pîrozbahî	p iː ɾ oː z b ɑː h iː
pîrozker	p iː ɾ oː z k ɛ ɾ
pîrozî	p iː ɾ oː z iː
pîton	p iː t oː n
pîvaz	p iː v ɑː z
pîşe	p iː ʃ ɛ
pûnijîn	p uː n ɪ ʒ iː n
pûrt	p uː ɾ t
pûşper	p uː ʃ p ɛ ɾ
qad	q ɑː d
qalib	q ɑː l ɪ b
qanûn	q ɑː n uː n
qareqar	q ɑː ɾ ɛ q ɑː ɾ
qasid	q ɑː s ɪ d
qat	q ɑː t
qawin	q ɑː w ɪ n
qayiş	q ɑː j ɪ ʃ
qaşo	q ɑː ʃ oː
qebûl	q ɛ b uː l
qedandin	q ɛ d ɑː n d ɪ n
qeder	q ɛ d ɛ ɾ
qefes	q ɛ f ɛ s
qefle	q ɛ f l ɛ
qehbe	q ɛ h b ɛ
qehf	q ɛ h f
qehpik	q ɛ h p ɪ k
qehwe	q ɛ h w ɛ
qehweyî	q ɛ h w ɛ j iː
qelb	q ɛ l b
qelem	q ɛ l ɛ m
qelen	q ɛ l ɛ n
qenaet	q ɛ n ɑː ɛ t
qencî	q ɛ n d͡ʒ iː
qenepe	q ɛ n ɛ p ɛ
qepax	q ɛ p ɑː x
qer	q ɛ ɾ
qerargeh	q ɛ ɾ ɑː ɾ ɡ ɛ h
qeresî	q ɛ ɾ ɛ s iː
qerewil	q ɛ ɾ ɛ w ɪ l
qerf	q ɛ ɾ f
qertel	q ɛ ɾ t ɛ l
qesd	q ɛ s d
qesel	q ɛ s ɛ l
qesem	q ɛ s ɛ m
qesp	q ɛ s p
qesr	q ɛ s ɾ
qetandin	q ɛ t ɑː n d ɪ n
qetran	q ɛ t ɾ ɑː n
qewaf	q ɛ w ɑː f
qewat	q ɛ w ɑː t
qewet	q ɛ w ɛ t
qey	q ɛ j
qeysî	q ɛ j s iː
qeza	q ɛ z ɑː
qezîya	q ɛ z iː j ɑː
qeşartin	q ɛ ʃ ɑː ɾ t ɪ n
qeşe	q ɛ ʃ ɛ
qicik	q ɪ d͡ʒ ɪ k
qirax	q ɪ ɾ ɑː x
qire	q ɪ ɾ ɛ
qomî	q oː m iː
qonax	q oː n ɑː x
qor	q oː r
qor	q oː ɾ
qorzî	q oː ɾ z iː
qozeqer	q oː z ɛ q ɛ ɾ
qulaç	q ʊ l ɑː t͡ʃ
qumrî	q ʊ m ɾ iː
qurm	q ʊ ɾ m
qutabxane	q ʊ t ɑː b x ɑː n ɛ
quz	q ʊ z
qêmîş	q eː m iː ʃ
qîr	q iː ɾ
qîz	q iː z
qîzik	q iː z ɪ k
qûn	q uː n
qût	q uː t
rabûn	r ɑː b uː n
rahênan	r ɑː h eː n ɑː n
rahêner	r ɑː h eː n ɛ ɾ
raketin	r ɑː k ɛ t ɪ n
ramîn	r ɑː m iː n
rast	r ɑː s t
rasterast	r ɑː s t ɛ ɾ ɑː s t
rastî	r ɑː s t iː
rawestîn	r ɑː w ɛ s t iː n
ray	r ɑː j
reaktor	r ɛ ɑː k t oː ɾ
realîzm	r ɛ ɑː l iː z m
reftar	r ɛ f t ɑː ɾ
reh	r ɛ h
rekeh	r ɛ k ɛ h
rengdêr	r ɛ ŋ ɡ d eː ɾ
rengîn	r ɛ n ɡ iː n
reqabet	r ɛ q ɑː b ɛ t
reqem	r ɛ q ɛ m
resûl	r ɛ s uː l
retronîm	r ɛ t ɾ oː n iː m
rev	r ɛ v
revandin	r ɛ v ɑː n d ɪ n
revîn	r ɛ v iː n
rewş	r ɛ w ʃ
rewşenbîr	r ɛ w ʃ ɛ n b iː ɾ
rexne	r ɛ x n ɛ
reyîn	r ɛ j iː n
rez	r ɛ z
riba	r ɪ b ɑː
riberiz	r ɪ b ɛ ɾ ɪ z
rih	r ɪ h
rind	r ɪ n d
risq	r ɪ s q
riwekxwer	r ɪ w ɛ k x w ɛ ɾ
rizgar	r ɪ z ɡ ɑː ɾ
rizgarî	r ɪ z ɡ ɑː ɾ iː
roj	r oː ʒ
rojane	r oː ʒ ɑː n ɛ
rojbaş	r oː ʒ b ɑː ʃ
rojhilat	r oː ʒ h ɪ l ɑː t
rojname	r oː ʒ n ɑː m ɛ
rojnamevan	r oː ʒ n ɑː m ɛ v ɑː n
rojî	r oː ʒ iː
ronakbîr	r oː n ɑː k b iː ɾ
rovî	r oː v iː
rê	r eː
rêbaz	r eː b ɑː z
rêber	r eː b ɛ ɾ
rêgeh	r eː ɡ ɛ h
rêveber	r eː v ɛ b ɛ ɾ
rêvebir	r eː v ɛ b ɪ ɾ
rêwî	ɾ eː w iː
rêxistin	r eː x ɪ s t ɪ n
rêz	r eː z
rêzan	r eː z ɑː n
rêzik	r eː z ɪ k
rêziman	r eː z ɪ m ɑː n
rî	r iː
rîtin	r iː t ɪ n
rîx	r iː x
rîş	r iː ʃ
rû	r uː
rûmet	r uː m ɛ t
rûnas	r uː n ɑː s
rûniştin	r uː n ɪ ʃ t ɪ n
rûniştvan	r uː n ɪ ʃ t v ɑː n
rûpel	r uː p ɛ l
rûreş	r uː ɾ ɛ ʃ
saet	s ɑː ʕ a t
sal	s ɑː l
salname	s ɑː l n ɑː m ɛ
sanahî	s ɑː n ɑː h iː
sanayî	s ɑː n ɑː j iː
saqî	s ɑː q iː
savar	s ɑː v ɑː ɾ
sedem	s ɛ d ɛ m
sedsal	s ɛ d s ɑː l
seet	s ɛ ɛ t
sefaret	s ɛ f ɑː ɾ ɛ t
sefer	s ɛ f ɛ ɾ
sefîne	s ɛ f iː n ɛ
sefîr	s ɛ f iː ɾ
sekinandibî	s ɛ k ɪ n ɑː n d ɪ b iː
sekinîn	s ɛ k ɪ n iː n
sempatî	s ɛ m p ɑː t iː
semt	s ɛ m t
senem	s ɛ n ɛ m
senger	s ɛ n ɡ ɛ ɾ
serbajar	s ɛ ɾ b ɑː ʒ ɑː ɾ
serban	s ɛ ɾ b ɑː n
serberjêr	s ɛ ɾ b ɛ ɾ ʒ eː ɾ
serbest	s ɛ ɾ b ɛ s t
serbixwe	s ɛ ɾ b ɪ x w ɛ
serbixwetî	s ɛ ɾ b ɪ x w ɛ t iː
serdem	s ɛ ɾ d ɛ m
serdest	s ɛ ɾ d ɛ s t
serdozger	s ɛ ɾ d oː z ɡ ɛ ɾ
sere	s ɛ ɾ ɛ
serecem	s ɛ ɾ ɛ d͡ʒ ɛ m
serederî	s ɛ ɾ ɛ d ɛ ɾ iː
serek	s ɛ ɾ ɛ k
serenav	s ɛ ɾ ɛ n ɑː v
serf	s ɛ ɾ f
serhildan	s ɛ ɾ h ɪ l d ɑː n
serhildêr	s ɛ ɾ h ɪ l d eː ɾ
serkar	s ɛ ɾ kʰ ɑː ɾ
serkeftin	s ɛ ɾ kʰ ɛ f tˤ ɪ n
serma	sˤ ɛ ɾ m ɑː
serok	s ɛ ɾ oː k
serokdewlet	s ɛ ɾ oː k d ɛ w l ɛ t
serokkomar	s ɛ ɾ oː k k oː m ɑː ɾ
serokwezîr	s ɛ ɾ oː k w ɛ z iː ɾ
serwer	s ɛ ɾ w ɛ ɾ
sewax	s ɛ w ɑː x
sewî	s ɛ w iː
sexbêr	s ɛ x b eː ɾ
seyda	s ɛ j d ɑː
seyîs	s ɛ j iː s
sibê	s ɪ b eː
sifir	sˤ ɪ f ɪ ɾ
sihor	s ɪ h oː ɾ
sike	s ɪ k ɛ
silav	s ɪ l ɑː v
simbêl	s ɪ m b eː l
sinîtî	s ɪ n iː t iː
sirişt	s ɪ ɾ ɪ ʃ t
sist	s ɪ s t
sivor	s ɪ v oː ɾ
sivore	s ɪ v oː ɾ ɛ
sivorî	s ɪ v oː ɾ iː
sivorîk	s ɪ v oː ɾ iː k
siwar	s ɪ w ɑː ɾ
siworîk	s ɪ w oː ɾ iː k
sixêf	s ɪ x eː f
siyaset	s ɪ j ɑː s ɛ t
siyasetnasî	s ɪ j ɑː s ɛ t n ɑː s iː
siyasî	s ɪ j ɑː s iː
slavî	s l ɑː v iː
sond	s oː n d
sondname	s oː n d n ɑː m ɛ
sondxwarî	s oː n d xʷ ɑː ɾ iː
sondxwer	s oː n d xʷ ɛ ɾ
sone	s oː n ɛ
soranî	s oː ɾ ɑː n iː
sorîçk	s oː ɾ iː t͡ʃ k
sosyalîst	s oː s j ɑː l iː s t
sosyolojî	s oː s j oː l oː ʒ iː
spanî	s p ɑː n iː
spî	s p iː
spîk	s p iː k
stranbêj	s t ɾ ɑː n b eː ʒ
stêrnasî	s t eː ɾ n ɑː s iː
sual	s ʊ ɑː l
suhbet	s ʊ h b ɛ t
sê	s eː
sêv	s eː v
sêwî	s eː w iː
sêwîtî	s eː w iː t iː
sêwîxane	s eː w iː x ɑː n ɛ
sêşem	s eː ʃ ɛ m
sî	s iː
sîbaq	s iː b ɑː q
sîleh	s iː l ɛ h
sîng	s iː ŋ ɡ
sînor	s iː n oː ɾ
sîqilandin	s iː q ɪ l ɑː n d ɪ n
sîr	s iː ɾ
sîtil	s iː t ɪ l
sîwan	s iː w ɑː n
sîx	s iː x
sîxur	s iː x ʊ ɾ
sûk	s uː k
sûl	s uː l
sûr	s uː ɾ
tabûr	t ɑː b uː ɾ
tacir	t ɑː d͡ʒ ɪ ɾ
tade	t ɑː d ɛ
talankirin	t ɑː l ɑː n k ɪ ɾ ɪ n
taloq	t ɑː l oː q
tariş	t ɑː ɾ ɪ ʃ
tarîgan	t ɑː ɾ iː ɡ ɑː n
tarîkirin	t ɑː ɾ iː k ɪ ɾ ɪ n
tat	t ɑː t
tav	t ɑː v
tavehîv	t ɑː v ɛ h iː v
tawan	tʰ ɑː w ɑː n
tawanbar	tʰ ɑː w ɑː n b ɑː ɾ
tawankar	t ɑː w ɑː n k ɑː ɾ
tawannasî	t ɑː w ɑː n n ɑː s iː
tawe	tʰ ɑː w ɛ
tax	t ɑː x
taybet	tʰ ɑː j b ɛ t
taybetmendî	tʰ ɑː j b ɛ t m ɛ n d iː
taybetî	tʰ ɑː j b ɛ t iː
tayîn	t ɑː j iː n
tazî	t ɑː z iː
tazîtî	t ɑː z iː t iː
taşandin	t ɑː ʃ ɑː n d ɪ n
tebax	t ɛ b ɑː x
tebeq	t ɛ b ɛ q
tebîet	t ɛ b iː ʕ ɛ t
tefandin	t ɛ f ɑː n d ɪ n
teknîkî	t ɛ k n iː k iː
telef	t ɛ l ɛ f
temînat	t ɛ m iː n ɑː t
temîz	t ɛ m iː z
ten	t ɛ n
tenahî	t ɛ n ɑː h iː
tendirûst	t ɛ n d ɪ ɾ uː s t
tendirûstî	t ɛ n d ɪ ɾ uː s t iː
tendûrustî	t ɛ n d uː ɾ ʊ s t iː
tenişt	t ɛ n ɪ ʃ t
tenişta	t ɛ n ɪ ʃ t ɑː
tenzîlat	t ɛ n z iː l ɑː t
tenûr	t ɛ n uː ɾ
teqawid	t ɛ q ɑː w ɪ d
teqîn	tʰ ɛ q iː n
terazî	t ɛ ɾ ɑː z iː
terazû	t ɛ ɾ ɑː z uː
tercime	t ɛ ɾ d͡ʒ ɪ m ɛ
terş	t ɛ ɾ ʃ
tewe	t ɛ w ɛ
tewik	t ɛ w ɪ k
teyr	t ɛ j ɾ
tijî	t ɪ ʒ iː
tilyak	t ɪ l j ɑː k
tilî	tʰ ɪ l iː
tilûr	t ɪ l uː ɾ
tirk	t ɪ ɾ k
tirkî	t ɪ ɾ k iː
tirsandin	t ɪ ɾ s ɑː n d ɪ n
tirsîn	t ɪ ɾ s iː n
tirî	t ɪ ɾ iː
tirş	t ɪ ɾ ʃ
tiwalet	t ɪ w ɑː l ɛ t
tixûb	t ɪ x uː b
tizbî	t ɪ z b iː
tişt	t ɪ ʃ t
tiştanok	t ɪ ʃ t ɑː n oː k
toksîn	t oː k s iː n
tomarkirin	t oː m ɑː ɾ k ɪ ɾ ɪ n
torin	t oː ɾ ɪ n
tov	t oː v
trîptofan	t ɾ iː p t oː f ɑː n
têkil	tˤ eː kˤ ɪ l
têkilî	t eː k ɪ l iː
tîj	t iː ʒ
tîm	tʰ iː m
tîprêz	t iː p ɾ eː z
tîprêzî	t iː p ɾ eː z iː
tîr	t iː ɾ
tîrbûn	t iː ɾ b uː n
tîrmeh	tˤ iː ɾ m ɛ h
tîrosîn	t iː ɾ oː s iː n
tîvil	t iː v ɪ l
tîş	t iː ʃ
tû	t uː
tûj	t uː ʒ
tûjahî	t uː ʒ ɑː h iː
tûjayî	t uː ʒ ɑː j iː
tûjî	t uː ʒ iː
umêd	ɪ m eː d
umêd	ʊ m eː d
umêd	ʊ m iː d
umêdewar	ʊ m eː d ɛ w ɑː ɾ
umêdewartir	ʊ m eː d ɛ w ɑː ɾ t ɪ ɾ
umêdewartirîn	ʊ m eː d ɛ w ɑː ɾ t ɪ ɾ iː n
vagon	v ɑː ɡ oː n
valageh	v ɑː l ɑː ɡ ɛ h
valîn	v ɑː l iː n
vazo	v ɑː z oː
veavakirin	v ɛ ɑː v ɑː k ɪ ɾ ɪ n
vegotin	v ɛ ɡ oː t ɪ n
vekirin	v ɛ k ɪ ɾ ɪ n
vexwarin	v ɛ x w ɑː ɾ ɪ n
vexwendin	v ɛ x w ɛ n d ɪ n
vexwendname	v ɛ x w ɛ n d n ɑː m ɛ
viyolîn	v ɪ j oː l iː n
vokatîv	v oː k ɑː t iː v
volkan	v oː l k ɑː n
vîkîng	v iː k iː ŋ ɡ
watenasî	w ɑː t ɛ n ɑː s iː
wekhevî	w ɛ k h ɛ v iː
welat	w ɛ l ɑː t
welatparêz	w ɛ l ɑː t p ɑː ɾ eː z
welatparêzî	w ɛ l ɑː t p ɑː ɾ eː z iː
werar	w ɛ ɾ ɑː ɾ
werer	w ɛ ɾ ɛ ɾ
werger	w ɛ ɾ ɡ ɛ ɾ
wergerandin	w ɛ ɾ ɡ ɛ ɾ ɑː n d ɪ n
wergêr	w ɛ ɾ ɡ eː ɾ
werz	w ɛ ɾ z
westan	w ɛ s t ɑː n
westandin	w ɛ s t ɑː n d ɪ n
wext	w ɛ x t
weza	w ɛ z ɑː
wezaret	w ɛ z ɑː ɾ ɛ t
wezîr	w ɛ z iː ɾ
wêje	w eː ʒ ɛ
wêne	w eː n ɛ
wêranker	w eː ɾ ɑː n k ɛ ɾ
wîkî	w iː k iː
wîlayet	w iː l ɑː j ɛ t
xal	x ɑː l
xalxalok	x ɑː l x ɑː l oː k
xanî	x ɑː n iː
xapîner	x ɑː p iː n ɛ ɾ
xar	x ɑː ɾ
xas	x ɑː s
xaç	x ɑː t͡ʃ
xebat	x ɛ b ɑː t
xebatkar	x ɛ b ɑː t k ɑː ɾ
xefnêr	x ɛ f n eː ɾ
xela	x ɛ l ɑː
xelas	x ɛ l ɑː s
xelat	x ɛ l ɑː t
xelatgir	x ɛ l ɑː t ɡ ɪ ɾ
xelq	x ɛ l q
xem	x ɛ m
xemgîn	x ɛ m ɡ iː n
xemgînî	x ɛ m ɡ iː n iː
xemilandin	x ɛ m ɪ l ɑː n d ɪ n
xemsarî	x ɛ m s ɑː ɾ iː
xeniqîn	x ɛ n ɪ q iː n
xerman	x ɛ ɾ m ɑː n
xerîb	x ɛ ɾ iː b
xest	x ɛ s t
xet	x ɛ t
xew	x ɛ w
xewn	x ɛ w n
xewxane	x ɛ w x ɑː n ɛ
xezeb	x ɛ z ɛ b
xilas	x ɪ l ɑː s
xilmaş	x ɪ l m ɑː ʃ
xilwet	x ɪ l w ɛ t
xiyar	x ɪ j ɑː ɾ
xizmet	x ɪ z m ɛ t
xizêm	x ɪ z eː m
xopanker	x oː p ɑː n k ɛ ɾ
xort	x oː ɾ t
xox	x oː x
xuda	x ʊ d ɑː
xuhermend	x ʊ h ɛ ɾ m ɛ n d
xwarin	xʷ ɑː ɾ ɪ n
xwarinbar	xʷ ɑː ɾ ɪ n b ɑː ɾ
xwaringeh	xʷ ɑː ɾ ɪ n ɡ ɛ h
xwedî	xʷ ɛ d iː
xwedîmaf	xʷ ɛ d iː m ɑː f
xwelî	xʷ ɛ l iː
xwelîdank	xʷ ɛ l iː d ɑː ŋ k
xwen	xʷ ɛ n
xwenda	xʷ ɛ n d ɑː
xwendekar	xʷ ɛ n d ɛ k ɑː ɾ
xwendevan	xʷ ɛ n d ɛ v ɑː n
xwendingeh	xʷ ɛ n d ɪ n ɡ ɛ h
xwerist	xʷ ɛ ɾ ɪ s t
xweserî	xʷ ɛ s ɛ ɾ iː
xwestin	xʷ ɛ s t ɪ n
xwestok	xʷ ɛ s t oː k
xweza	xʷ ɛ z ɑː
xwezanas	xʷ ɛ z ɑː n ɑː s
xweşbextane	xʷ ɛ ʃ b ɛ x t ɑː n ɛ
xweşkirin	xʷ ɛ ʃ k ɪ ɾ ɪ n
xweşî	xʷ ɛ ʃ iː
xwê	xʷ eː
xwêdan	xʷ eː d ɑː n
xwêdank	xʷ eː d ɑː ŋ k
xwîn	xʷ iː n
xwîndarî	xʷ iː n d ɑː ɾ iː
xêvet	x eː v ɛ t
xîz	x iː z
xîç	x iː t͡ʃ
yahodî	j ɑː h oː d iː
yan	j ɑː n
yane	j ɑː n ɛ
yani	j ɑː n ɪ
yanê	j ɑː n eː
yanî	j ɑː n iː
yanî	j ɑː ʕ n iː
yaqût	j ɑː q uː t
yarî	j ɑː ɾ iː
yek	j ɛ k
yekîtî	j ɛ k iː t iː
yemanet	j ɛ m ɑː n ɛ t
yenî	j ɛˤ n iː
yewnanî	j ɛ w n ɑː n iː
yonanî	j oː n ɑː n iː
zagon	z ɑː ɡ oː n
zagonîtî	z ɑː ɡ oː n iː t iː
zanist	z ɑː n ɪ s t
zanistvan	z ɑː n ɪ s t v ɑː n
zanko	z ɑː n k oː
zanîn	z ɑː n iː n
zanîngeh	z ɑː n iː n ɡ ɛ h
zarok	z ɑː r oː k
zava	z ɑː v ɑː
zayend	z ɑː j ɛ n d
zazakî	z ɑː z ɑː k iː
zelam	z ɛ l ɑː m
zemawend	z ɛ m ɑː w ɛ n d
zengînî	z ɛ n ɡ iː n iː
zer	z ɛ ɾ
zerd	z ɛ ɾ d
zerdelî	z ɛ ɾ d ɛ l iː
zerik	z ɛ ɾ ɪ k
zevî	z ɛ v iː
zewicîn	z ɛ w ɪ d͡ʒ iː n
zeyt	z ɛ j t
zeytûn	z ɛ j t uː n
zik	z ɪ k
zikak	z ɪ k ɑː k
ziman	z ɪ m ɑː n
zimankuj	z ɪ m ɑː n k ʊ ʒ
zimankujî	z ɪ m ɑː n k ʊ ʒ iː
zimanmalbat	z ɪ m ɑː n m ɑː l b ɑː t
zimannas	z ɪ m ɑː n n ɑː s
zimannasî	z ɪ m ɑː n n ɑː s iː
zina	z ɪ n ɑː
zincîr	z ɪ n d͡ʒ iː ɾ
zindanker	z ɪ n d ɑː n k ɛ ɾ
zindankirin	z ɪ n d ɑː n k ɪ ɾ ɪ n
zirav	z ɪ ɾ ɑː v
zirto	z ɪ ɾ t oː
zivirandin	z ɪ v ɪ ɾ ɑː n d ɪ n
zivistan	z ɪ v ɪ s t ɑː n
zivêrkirin	z ɪ v eː ɾ k ɪ ɾ ɪ n
zordarkuj	z oː ɾ d ɑː ɾ k ʊ ʒ
zordarkujî	z oː ɾ d ɑː ɾ k ʊ ʒ iː
zêf	z eː f
zêr	z eː ɾ
zêw	z eː w
zîha	z iː h ɑː
zîv	z iː v
zîx	z iː x
zû	z uː
Çem	t͡ʃ ɛ m
Çîn	t͡ʃʰ iː n
Çînistan	t͡ʃʰ iː n ɪ s t ɑː n
Êzidi	eː z ɪ d ɪ
Îtalya	iː t ɑː l j ɑː
çakar	t͡ʃ ɑː k ɑː ɾ
çand	t͡ʃ ɑː n d
çande	t͡ʃ ɑː n d ɛ
çandinî	t͡ʃ ɑː n d ɪ n iː
çapemenî	t͡ʃ ɑː p ɛ m ɛ n iː
çar	t͡ʃ ɑː ɾ
çare	t͡ʃ ɑː ɾ ɛ
çarşem	t͡ʃ ɑː ɾ ʃ ɛ m
çarşev	t͡ʃ ɑː ɾ ʃ ɛ v
çav	t͡ʃˤ ɑː v
çavrî	t͡ʃ ɑː v ɾ iː
çay	t͡ʃ ɑː j
çayxane	t͡ʃ ɑː j x ɑː n ɛ
çek	t͡ʃ ɛ k
çekdanîn	t͡ʃ ɛ k d ɑː n iː n
çekhilanîn	t͡ʃ ɛ k h ɪ l ɑː n iː n
çekûç	t͡ʃ ɛ k uː t͡ʃ
çem	t͡ʃ ɛ m
çeper	t͡ʃ ɛ p ɛ ɾ
çerm	t͡ʃ ɛ ɾ m
çewder	t͡ʃ ɛ w d ɛ ɾ
çewtî	t͡ʃ ɛ w t iː
çilm	t͡ʃ ɪ l m
çimkî	t͡ʃ ɪ m k iː
çip	t͡ʃ ɪ p
çipik	t͡ʃ ɪ p ɪ k
çiq	t͡ʃ ɪ q
çiqil	t͡ʃ ɪ q ɪ l
çivîk	t͡ʃ ɪ v iː k
çiya	t͡ʃ ɪ j ɑː
çiyayî	t͡ʃ ɪ j ɑː j iː
ço	t͡ʃ oː
çol	t͡ʃ oː l
çoçik	t͡ʃ oː t͡ʃ ɪ k
çêlek	t͡ʃ eː l ɛ k
çêlekew	t͡ʃ eː l ɛ k ɛ w
çêr	t͡ʃ eː r
çêregeh	t͡ʃ eː ɾ ɛ ɡ ɛ h
çîmen	t͡ʃ iː m ɛ n
çîn	t͡ʃ iː n
çînî	t͡ʃʰ iː n iː
çîrok	t͡ʃ iː ɾ oː k
çîrokbêj	t͡ʃ iː ɾ oː k b eː ʒ
çît	t͡ʃ iː t
çîtik	t͡ʃ iː t ɪ k
çîyayî	t͡ʃ iː j ɑː j iː
çûk	t͡ʃʰ uː kˤ
çûk	t͡ʃˤ uː kˤ
çûn	t͡ʃ uː n
çûçik	t͡ʃ uː t͡ʃ ɪ k
êciz	eː d͡ʒ ɪ z
êcizayî	eː d͡ʒ ɪ z ɑː j iː
êlkan	eː l kʰ ɑː n
êmin	eː m ɪ n
êprax	eː p ɾ ɑː x
êrîş	eː ɾ iː ʃ
êvar	eː v ɑː ɾ
êzing	eː z ɪ ŋ ɡ
êş	eː ʃ
îlac	iː l ɑː d͡ʒ
împerator	iː m p ɛ ɾ ɑː t oː ɾ
împeratorî	iː m p ɛ ɾ ɑː t oː ɾ iː
înan	iː n ɑː n
îprax	iː p ɾ ɑː x
îqame	iː q ɑː m ɛ
îsot	iː s oː t
îtalyayî	iː t ɑː l j ɑː j iː
îtalî	iː t ɑː l iː
îzotop	iː z oː t oː p
îşaret	iː ʃ ɑː ɾ ɛ t
û	uː
ûr	uː ɾ
Şivan	ʃ ɪ v ɑː n
ş	ʃ
şahî	ʃ ɑː h iː
şalyar	ʃ ɑː l j ɑː ɾ
şampo	ʃ ɑː m p oː
şan	ʃ ɑː n
şandin	ʃ ɑː n d ɪ n
şano	ʃ ɑː n oː
şar	ʃ ɑː ɾ
şargeh	ʃ ɑː ɾ ɡ ɛ h
şaxmat	ʃ ɑː x m ɑː t
şayîr	ʃ ɑː j iː ɾ
şebeq	ʃ ɛ b ɛ q
şeftalî	ʃ ɛ f t ɑː l iː
