'day	d̪ a ɪ̯
itlo	ʔ ɪ t̪ l̪ o
itlog	ʔ ɪ t̪ l̪ o ɡ̚
itmo	ʔ ɪ t̪ m o
ito	ʔ ɛ t̪ o
ito	ʔ ɪ t̪ o
itoy	ʔ ɪ t̪ o ɪ̯
itsa	ʔ ɪ t t͡ʃ a
itsa	ʔ ɪ t̪ s a
itsura	ʔ ɪ t t͡ʃ uː ɾ ɐ
itsura	ʔ ɪ t̪ s uː ɾ ɐ
itubig	ʔ ɪ t̪ uː b ɪ ɡ̚
itulad	ʔ ɪ t̪ uː l ɐ d̪̚
itulog	ʔ ɪ t̪ uː l o ɡ̚
iunlad	ʔ ɪ ʔ ʊ n̪ l a d̪̚
iusli	ʔ ɪ ʔ ʊ s l ɪ ʔ
iuwi	ʔ ɪ ʔ uː w ɪ ʔ
iuwi	ʔ ɪ ʔ ʊ w ɪ ʔ
iwak	ʔ iː w ɐ k̚
iwal	ʔ iː w ɐ l
iwan	ʔ iː w ɐ n̪
iwanan	ʔ ɪ w aː n̪ ɐ n̪
iwang	ʔ iː w ɐ ŋ
iwas	ʔ iː w ɐ s
iwi	ʔ iː w ɪ
iwi	ʔ ɪ w ɪ
iyag	ʔ ɪ j a ɡ̚
iyak	ʔ ɪ j a k̚
iyakin	ʔ iː j aː x ɪ n̪
iyan	j a n̪
iyan	ʔ ɪ j a n̪
iyelo	ʔ ɪ j ɛː l o
iyero	ʔ ɪ j ɛː ɾ o
iyo	ʔ iː j o
iyo	ʔ ɪ j o
iyon	j o n̪
iyon	ʔ ɪ j o n̪
j	d̪ j
j	d̪ j e ɪ̯
j	d͡ʒ
j	d͡ʒ e ɪ̯
j	h
j	h oː t̪ ɐ
j	s
jabol	d̪ j ɐ b o l
jabol	d͡ʒ ɐ b o l
jaket	d̪ j aː x ɛ t̪̚
jaket	d͡ʒ aː x ɛ t̪̚
jakol	d̪ j ɐ x o l
jakol	d͡ʒ ɐ x o l
jan	d̪ j a n̪
jan	d͡ʒ a n̪
janitor	d̪ j aː n̪ ɪ t̪ o ɾ
janitor	d͡ʒ aː n̪ ɪ t̪ o ɾ
japayuki	d̪ j ɐ p ɐ j uː x ɪ
japayuki	d͡ʒ ɐ p ɐ j uː x ɪ
japorms	d̪ j ɐ p o ɹ m s
japorms	d͡ʒ ɐ p o ɹ m s
jebs	d̪ j ɛ b s
jebs	d͡ʒ ɛ b s
jeje	d̪ j ɛ d̪ j ɛ
jeje	d͡ʒ ɛː d͡ʒ ɛ
jejemon	d̪ j ɛ d̪ j ɛ m o n̪
jejemon	d͡ʒ ɛː d͡ʒ ɛ m o n̪
jepoy	d̪ j ɛː p o ɪ̯
jepoy	d͡ʒ ɛː p o ɪ̯
jeproks	d̪ j ɛ p ɾ o k s
jeproks	d͡ʒ ɛ p ɾ o k s
jerjer	d̪ j ɛ ɾ d̪ j ɛ ɾ
jerjer	d͡ʒ ə ɹ d͡ʒ ə ɹ
jerjer	d͡ʒ ɛ ɾ d͡ʒ ɛ ɾ
jihad	d̪ j iː h ɐ d̪̚
jihad	d̪ j ɪ h a d̪̚
jihad	d͡ʒ iː h ɐ d̪̚
jihad	d͡ʒ ɪ h a d̪̚
jilbab	d̪ j ɪ l b a b̚
jilbab	d͡ʒ ɪ l b a b̚
joga	d̪ j oː ɣ ɐ ʔ
joga	d͡ʒ oː ɣ ɐ ʔ
jologs	d̪ j oː l o ɡ s
jologs	d͡ʒ oː l o ɡ s
jontis	d̪ j o n̪ t̪ ɪ s
jontis	d͡ʒ o n̪ t̪ ɪ s
jota	h oː t̪ ɐ
jowa	d̪ j oː w ɐ
jowa	d̪ j oː w ɐ ʔ
jowa	d͡ʒ oː w ɐ
jowa	d͡ʒ oː w ɐ ʔ
judo	d̪ j uː d̪ o
judo	d͡ʒ uː d̪ o
jujitsu	d̪ j ʊ d̪ j iː t͡s ʊ
jujitsu	d͡ʒ ʊ d͡ʒ iː t͡s ʊ
julalay	d̪ j ʊ l aː l a ɪ̯
julalay	d͡ʒ ʊ l aː l a ɪ̯
jumbag	d̪ j u m b ɐ ɡ̚
jumbag	d͡ʒ u m b ɐ ɡ̚
junakis	d̪ j ʊ n̪ aː x ɪ s
junakis	d͡ʒ ʊ n̪ aː x ɪ s
junjun	d̪ j u n̪ d̪ j ʊ n̪
junjun	d͡ʒ u n̪ d͡ʒ ʊ n̪
jusko	d̪ j ʊ s k o
jusko	d͡ʒ ʊ s k o
jutay	d̪ j ʊ t̪ a ɪ̯
jutay	d͡ʒ ʊ t̪ a ɪ̯
juts	d̪ j ʊ t̪ s
juts	d͡ʒ ʊ t̪ s
k	k
k	k a
k	k e ɪ̯
k	k ɐ
k	x
ka	k a ʔ
ka	k ɐ
kaabisado	k ɐ ʔ ɐ b ɪ s aː d̪ o
kaabnormalan	k ɐ ʔ ɐ b n̪ o ɾ m ɐ l a n̪
kaabsurduhan	k ɐ ʔ ɐ b s u ɾ d̪ ʊ h a n̪
kaagad	k aː ɣ ɐ d̪̚
kaagad	k ɐ ʔ ɐ ɣ a d̪̚
kaagaw	k ɐ ʔ aː ɣ a ʊ̯
kaagnasan	k ɐ ʔ ɐ ɡ n̪ ɐ s a n̪
kaagulo	k ɐ ʔ ɐ ɣ uː l o
kaagulo	k ɐ ʔ ɐ ɣ uː l o ʔ
kaakuhan	k ɐ ʔ ɐ x uː h ɐ n̪
kaalaman	k ɐ ʔ ɐ l aː m ɐ n̪
kaalaman	k ɐ ʔ ɐ l ɐ m a n̪
kaalan	k ɐ ʔ aː l ɐ n̪
kaalibay	k ɐ ʔ ɐ l iː b a ɪ̯
kaalit	k ɐ ʔ aː l ɪ t̪̚
kaalkaldihan	k ɐ ʔ ɐ l k a l d̪ ɪ h a n̪
kaalunya	k ɐ ʔ aː l ʊ n ɲ a ʔ
kaalunya	k ɐ ʔ aː l ʊ n̪ j a ʔ
kaalyado	k ɐ ʔ ɐ l j aː d̪ o
kaanak	k ɐ ʔ aː n̪ ɐ k̚
kaanib	k ɐ ʔ aː n̪ ɪ b̚
kaanimalan	k ɐ ʔ ɐ n̪ ɪ m ɐ l a n̪
kaantiguhan	k ɐ ʔ ɐ n̪ t̪ ɪ ɣ uː h ɐ n̪
kaarawan	k ɐ ʔ ɐ ɾ ɐ w a n̪
kaasiduhan	k ɐ ʔ aː s ɪ d̪ ʊ h a n̪
kaasiman	k ɐ ʔ ɐ s iː m ɐ n̪
kaawaan	k ɐ ʔ ɐ w aː ʔ ɐ n̪
kaaway	k ɐ ʔ aː w a ɪ̯
kaayawan	k ɐ ʔ ɐ j ɐ w a n̪
kaayo	k ɐ ʔ aː j o ʔ
kaba	k ɐ b a
kababaan	k ɐ b ɐ b aː ʔ ɐ n̪
kababaihan	k ɐ b ɐ b ɐ ʔ iː h ɐ n̪
kababata	k ɐ b ɐ b aː t̪ ɐ ʔ
kababawan	k ɐ b ɐ b aː w ɐ n̪
kababayan	k ɐ b ɐ b aː j ɐ n̪
kabado	k ɐ b aː d̪ o
kabag	k aː b ɐ ɡ̚
kabag	k ɐ b a ɡ̚
kabagabagan	k ɐ b ɐ ɣ ɐ b aː ɣ ɐ n̪
kabagang	k ɐ b ɐ ɣ a ŋ
kabaguhan	k ɐ b ɐ ɣ uː h ɐ n̪
kabaguntauhan	k ɐ b ɐ ɣ ʊ n̪ t̪ ɐ ʔ uː h ɐ n̪
kabahayan	k ɐ b ɐ h aː j ɐ n̪
kabahayan	k ɐ b ɐ h ɐ j a n̪
kabaian	k ɐ b ɐ ʔ iː ʔ ɐ n̪
kabaiyoan	k ɐ b ɐ ʔ ɪ j o ʔ a n̪
kabaiyuan	k ɐ b ɐ ʔ ɪ j ʊ ʔ a n̪
kabaka	k ɐ b aː x ɐ
kabaklaan	k ɐ b ɐ k l ɐ ʔ a n̪
kabaktan	k ɐ b ɐ k t̪ a n̪
kabalagan	k ɐ b ɐ l aː ɣ ɐ n̪
kabalian	k ɐ b ɐ l iː ʔ ɐ n̪
kabaligtaran	k ɐ b ɐ l ɪ ɡ t̪ ɐ ɾ a n̪
kabalikan	k ɐ b ɐ l ɪ x a n̪
kabalintunaan	k ɐ b ɐ l ɪ n̪ t̪ ʊ n̪ aː ʔ ɐ n̪
kabaliwagan	k ɐ b ɐ l ɪ w ɐ ɣ a n̪
kabaliwan	k ɐ b ɐ l ɪ w a n̪
kabalulan	k ɐ b ɐ l ʊ l a n̪
kabalyero	k ɐ b ɐ l j ɛː ɾ o
kabalyo	k ɐ b a l j o
kaban	k aː b ɐ n̪
kaban	k ɐ b a n̪
kabanata	k ɐ b ɐ n̪ aː t̪ ɐ
kabanata	k ɐ b ɐ n̪ aː t̪ ɐ ʔ
kabandayan	k ɐ b ɐ n̪ d̪ ɐ j a n̪
kabaong	k ɐ b aː ʔ o ŋ
kabaret	k aː b ɐ ɾ ɛ t̪̚
kabaretista	k ɐ b ɐ ɾ ɛ t̪ i s t̪ ɐ
kabarkada	k ɐ b ɐ ɾ k aː d̪ ɐ
kabaro	k ɐ b aː ɾ o ʔ
kabasangal	k ɐ b ɐ s aː ŋ ɐ l
kabastusan	k ɐ b ɐ s t̪ ʊ s a n̪
kabata	k ɐ b aː t̪ ɐ ʔ
kabataan	k ɐ b ɐ t̪ aː ʔ ɐ n̪
kabatiran	k ɐ b ɐ t̪ iː ɾ ɐ n̪
kabatlayaan	k ɐ b ɐ t̪ l̪ ɐ j aː ʔ ɐ n̪
kabato	k ɐ b ɐ t̪ o
kabatuganan	k ɐ b ɐ t̪ ʊ ɣ aː n̪ ɐ n̪
kabawasan	k ɐ b ɐ w ɐ s a n̪
kabay	k aː b a ɪ̯
kabay	k ɐ b a ɪ̯
kabayan	k ɐ b aː j ɐ n̪
kabayanihan	k ɐ b ɐ j ɐ n̪ iː h ɐ n̪
kabayinan	k ɐ b ɐ j iː n̪ ɐ n̪
kabayiyan	k ɐ b ɐ j iː j ɐ n̪
kabayo	k ɐ b aː j o
kabayuan	k ɐ b ɐ j ʊ ʔ a n̪
kabayuhan	k aː b ɐ j ʊ h a n̪
kaberdehan	k ɐ b ɛ ɾ d̪ ɛ h a n̪
kabesa	k ɐ b ɛː s ɐ
kabesado	k ɐ b ɛ s aː d̪ o
kabesera	k ɐ b ɛ s ɛː ɾ ɐ
kabesilya	k ɐ b ɛ s i l j ɐ
kabibe	k ɐ b iː b ɛ
kabibi	k ɐ b iː b ɪ
kabibili	k ɐ b iː b ɪ l ɪ
kabig	k aː b ɪ ɡ̚
kabiglaan	k ɐ b ɪ ɡ l ɐ ʔ a n̪
kabiguan	k ɐ b iː ɣ uː ʔ ɐ n̪
kabiguan	k ɐ b ɪ ɣ ʊ ʔ a n̪
kabihasnan	k ɐ b j ɐ s n̪ a n̪
kabihasnan	k ɐ b ɪ h ɐ s n̪ a n̪
kabil	k aː b ɪ l
kabila	k ɐ b ɪ l a ʔ
kabili	k ɐ b ɪ l ɪ
kabilihan	k aː b ɪ l iː h ɐ n̪
kabilugan	k ɐ b ɪ l uː ɣ ɐ n̪
kabinet	k aː b ɪ n̪ ɛ t̪̚
kabinian	k ɐ b ɪ n̪ iː ʔ ɐ n̪
kabisa	k ɐ b iː s ɐ
kabisa	k ɐ b iː s ɐ ʔ
kabisado	k ɐ b ɪ s aː d̪ o
kabisera	k ɐ b ɪ s ɛː ɾ ɐ
kabisi	k ɐ b ɪ s ɪ ʔ
kabisilya	k ɐ b ɪ s i l j ɐ
kabisote	k ɐ b ɪ s oː t̪ ɛ
kabit	k ɐ b ɛ t̪̚
kabit	k ɐ b ɪ t̪̚
kabituinan	k ɐ b ɪ t̪ w ɪ n̪ a n̪
kabituinan	k ɐ b ɪ t̪ ʊ ʔ ɪ n̪ a n̪
kable	k aː b l ɛ
kablekotse	k aː b l ɛ x o t̪ s ɛ
kablekotse	k aː b l ɛ x oː t͡ʃ ɛ
kabo	k aː b o
kabog	k ɐ b o ɡ̚
kabogera	k ɐ b o ɣ ɛː ɾ ɐ
kabriya	k ɐ b ɾ iː j ɐ
kabuhayan	k ɐ b ʊ h aː j ɐ n̪
kabukiran	k ɐ b ʊ x iː ɾ ɐ n̪
kabulagsakan	k ɐ b ʊ l ɐ ɡ s ɐ x a n̪
kabulastugan	k ɐ b ʊ l ɐ s t̪ ʊ ɣ a n̪
kabuluhan	k ɐ b ʊ l ʊ h a n̪
kabulukan	k ɐ b ʊ l ʊ x a n̪
kabunegro	k aː b ʊ n̪ ɛː ɡ ɾ o
kabunyian	k ɐ b ʊ n ɲ ɪ ʔ a n̪
kabunyian	k ɐ b ʊ n̪ j ɪ ʔ a n̪
kabuoan	k ɐ b ʊ ʔ o ʔ a n̪
kabuoan	k ɐ b ʊ ʔ oː ʔ ɐ n̪
kabuoran	k ɐ b ʊ ʔ o ɾ a n̪
kaburata	k aː b ʊ ɾ aː t̪ ɐ
kaburatahin	k aː b ʊ ɾ ɐ t̪ aː h ɪ n̪
kabute	k aː b ʊ t̪ ɛ
kabute	k ɐ b ʊ t̪ ɛ
kabutehan	k ɐ b ʊ t̪ ɛ h a n̪
kabuti	k ɐ b ʊ t̪ ɪ
kabutihan	k ɐ b ʊ t̪ iː h ɐ n̪
kabutihan	k ɐ b ʊ t̪ ɪ h a n̪
kabuto	k ɐ b ʊ t̪ o
kabutse	k ɐ b ʊ t t͡ʃ ɛ
kabutse	k ɐ b ʊ t̪ s ɛ
kabuuan	k ɐ b ʊ ʔ uː ʔ ɐ n̪
kabuuan	k ɐ b ʊ ʔ ʊ ʔ a n̪
kabuuran	k ɐ b ʊ ʔ ʊ ɾ a n̪
kabuwanan	k ɐ b w aː n̪ ɐ n̪
kabuyaw	k ɐ b uː j a ʊ̯
kachakahan	k ɐ t t͡ʃ ɐ x aː h ɐ n̪
kachakahan	k ɐ t̪ s ɐ x aː h ɐ n̪
kachat	k ɐ t t͡ʃ a t̪̚
kachat	k ɐ t̪ s a t̪̚
kada	k aː d̪ ɐ
kadagibalingan	k ɐ d̪ ɐ ɣ ɪ b ɐ l ɪ ŋ a n̪
kadagsinan	k ɐ d̪ ɐ ɡ s ɪ n̪ a n̪
kadalahiraan	k ɐ d̪ ɐ l ɐ h ɪ ɾ aː ʔ ɐ n̪
kadayaan	k ɐ d̪ ɐ j aː ʔ ɐ n̪
kadena	k ɐ d̪ ɛː n̪ ɐ
kadete	k ɐ d̪ ɛː t̪ ɛ
kadeyt	k ɐ d̪ e ɪ̯ t̪
kadiliman	k ɐ d̪ ɪ l iː m ɐ n̪
kadiliman	k ɐ d̪ ɪ l ɪ m a n̪
kadiri	k ɐ d̪ iː ɾ ɪ
kadmiyo	k a d̪ m j o
kadre	k a d̪ ɾ ɛ
kadugo	k ɐ d̪ ʊ ɣ o ʔ
kaduseo	k ɐ d̪ ʊ s ɛː j o
kaduwagan	k ɐ d̪ w ɐ ɣ a n̪
kadyos	k ɐ d d͡ʒ o s
kadyos	k ɐ d̪ j o s
kadyot	k ɐ d d͡ʒ o t̪̚
kadyot	k ɐ d̪ j o t̪̚
kaedad	k ɐ ʔ ɛ d̪ a d̪̚
kaeskuwela	k ɐ ʔ ɛ s k w ɛː l ɐ
kagabi	k ɐ ɣ ɐ b ɛ
kagabi	k ɐ ɣ ɐ b ɪ
kagad	k aː ɣ ɐ d̪̚
kagagawan	k ɐ ɣ ɐ ɣ ɐ w a n̪
kagahapon	k ɐ ɣ ɐ h aː p o n̪
kagahasaan	k ɐ ɣ ɐ h ɐ s aː ʔ ɐ n̪
kagalingan	k ɐ ɣ ɐ l iː ŋ ɐ n̪
kagalingan	k ɐ ɣ ɐ l ɪ ŋ a n̪
kagalit	k ɐ ɣ ɐ l ɪ t̪̚
kagampan	k ɐ ɣ ɐ m p a n̪
kagamulan	k ɐ ɣ ɐ m ʊ l a n̪
kaganapan	k ɐ ɣ ɐ n̪ aː p ɐ n̪
kaganapan	k ɐ ɣ ɐ n̪ ɐ p a n̪
kagandahan	k ɐ ɣ ɐ n̪ d̪ aː h ɐ n̪
kagandahan	k ɐ ɣ ɐ n̪ d̪ ɐ h a n̪
kaganina	k ɐ ɣ ɐ n̪ iː n̪ ɐ
kagat	k ɐ ɣ a t̪̚
kagaw	k aː ɣ a ʊ̯
kagawad	k ɐ ɣ aː w ɐ d̪̚
kagawaran	k aː ɣ ɐ w ɐ ɾ a n̪
kagaya	k ɐ ɣ aː j ɐ
kagayutan	k ɐ ɣ ɐ j ʊ t̪ a n̪
kagigising	k ɐ ɣ ɪ ɣ iː s ɪ ŋ
kagilagilalas	k ɐ ɣ ɪ l ɐ ɣ ɪ l aː l ɐ s
kagilagilalas	k ɐ ɣ ɪ l ɐ ɣ ɪ l ɐ l a s
kagiliran	k ɐ ɣ ɪ l iː ɾ ɐ n̪
kaginoohan	k ɐ ɣ ɪ n̪ o ʔ o h a n̪
kaginuhan	k ɐ ɣ ɪ n̪ uː h ɐ n̪
kagipitan	k ɐ ɣ ɪ p iː t̪ ɐ n̪
kagisnan	k aː ɣ ɪ s n̪ a n̪
kagisnan	k ɐ ɣ ɪ s n̪ a n̪
kagitingan	k ɐ ɣ ɪ t̪ iː ŋ ɐ n̪
kagitnaan	k ɐ ɣ ɪ t̪ n̪ aː ʔ ɐ n̪
kagubatan	k ɐ ɣ ʊ b aː t̪ ɐ n̪
kagulangan	k ɐ ɣ ʊ l aː ŋ ɐ n̪
kaguluhan	k ɐ ɣ uː l uː h ɐ n̪
kaguluhan	k ɐ ɣ ʊ l ʊ h a n̪
kaguruan	k ɐ ɣ ʊ ɾ ʊ ʔ a n̪
kagustuhan	k ɐ ɣ ʊ s t̪ uː h ɐ n̪
kagutuman	k ɐ ɣ ʊ t̪ uː m ɐ n̪
kagyat	k ɐ ɡ j a t̪̚
kaha	k aː h ɐ
kahabaan	k ɐ h ɐ b aː ʔ ɐ n̪
kahabaan	k ɐ h ɐ b ɐ ʔ a n̪
kahabagan	k ɐ h ɐ b ɐ ɣ a n̪
kahalagahan	k ɐ h ɐ l ɐ ɣ ɐ h a n̪
kahalayan	k ɐ h ɐ l aː j ɐ n̪
kahalili	k ɐ h ɐ l iː l ɪ
kahandaan	k ɐ h ɐ n̪ d̪ ɐ ʔ a n̪
kahapon	k ɐ h aː p o n̪
kaharian	k ɐ h ɐ ɾ iː ʔ ɐ n̪
kaharian	k ɐ h ɐ ɾ ɪ ʔ a n̪
kahasik	k ɐ h ɐ s ɪ k̚
kahawig	k ɐ h ɐ w ɪ ɡ̚
kahayagan	k ɐ h ɐ j ɐ ɣ a n̪
kahel	k ɐ h ɛ l
kahelada	k ɐ h ɛ l aː d̪ ɐ
kahenyuhan	k ɐ h ɛ n̪ j ʊ h a n̪
kahenyuhan	k ɐ h ɛː ɲ ʊ h a n̪
kahera	k ɐ h ɛː ɾ ɐ
kahero	k ɐ h ɛː ɾ o
kahetilya	k ɐ h ɛ t̪ i l j ɐ
kahi	k aː h ɪ ʔ
kahig	k aː h ɪ ɡ̚
kahigin	k ɐ h iː ɣ ɪ n̪
kahihian	k ɐ h ɪ h ɪ ʔ a n̪
kahihinatnan	k aː h ɪ h ɪ n̪ ɐ t̪ n̪ a n̪
kahihinatnan	k ɐ h iː h ɪ n̪ ɐ t̪ n̪ a n̪
kahihiyaan	k ɐ h ɪ h j ɐ ʔ a n̪
kahihiyan	k ɐ h ɪ h j a n̪
kahilagaan	k ɐ h ɪ l ɐ ɣ aː ʔ ɐ n̪
kahimanawari	k aː h ɪ m ɐ n̪ ɐ w aː ɾ ɪ ʔ
kahinaan	k ɐ h ɪ n̪ aː ʔ ɐ n̪
kahinatnan	k aː h ɪ n̪ ɐ t̪ n̪ a n̪
kahinatnan	k ɐ h ɪ n̪ ɐ t̪ n̪ a n̪
kahiraman	k ɐ h ɪ ɾ aː m ɐ n̪
kahirapan	k ɐ h ɪ ɾ aː p ɐ n̪
kahit	k aː h ɪ t̪̚
kahita	k ɐ h iː t̪ ɐ
kahog	k aː h o ɡ̚
kahog	k ɐ h o ɡ̚
kahon	k ɐ h o n̪
kahoy	k aː h o ɪ̯
kahulilip	k ɐ h ʊ l iː l ɪ p̚
kahulugan	k ɐ h ʊ l ʊ ɣ a n̪
kahuyan	k ɐ h uː j ɐ n̪
kahuyan	k ɐ h ʊ j a n̪
kahuylalao	k aː h ʊ ɪ̯ l ɐ l ɐ ʔ o
kaibahan	k ɐ ʔ ɪ b ɐ h a n̪
kaibhan	k ɐ ʔ ɪ b h a n̪
kaibigan	k a ɪ̯ b iː ɣ ɐ n̪
kaibigan	k aː ʔ ɪ b iː ɣ ɐ n̪
kaibigan	k aː ʔ ɪ b ɪ ɣ a n̪
kaibigan	k ɐ ʔ iː b iː ɣ ɐ n̪
kaibigan	k ɐ ʔ ɪ b iː ɣ ɐ n̪
kaibigan	k ɐ ʔ ɪ b ɪ ɣ a n̪
kaibiganin	k a ɪ̯ b ɪ ɣ aː n̪ ɪ n̪
kaibiganin	k ɐ ʔ ɪ b ɪ ɣ aː n̪ ɪ n̪
kaibuturan	k aː ʔ ɪ b ʊ t̪ uː ɾ ɐ n̪
kaibuturan	k ɐ ʔ ɪ b ʊ t̪ uː ɾ ɐ n̪
kaida	k ɐ ʔ iː d̪ ɐ
kaila	k ɐ ʔ ɪ l a ʔ
kailaliman	k ɐ ʔ ɪ l ɐ l iː m ɐ n̪
kailan	k a ɪ̯ l a n̪
kailan	k e ɪ̯ l a n̪
kailan	k ɐ ʔ ɪ l a n̪
kailan	k ɛː l ɐ n̪
kailangan	k a ɪ̯ l aː ŋ ɐ n̪
kailangan	k ɐ ʔ ɪ l aː ŋ ɐ n̪
kailangan	k ɛː l aː ŋ ɐ n̪
kailanganin	k a ɪ̯ l ɐ ŋ aː n̪ ɪ n̪
kailanganin	k ɐ ʔ ɪ l ɐ ŋ aː n̪ ɪ n̪
kailanman	k a ɪ̯ l ɐ n̪ m a n̪
kailanman	k ɐ ʔ ɪ l ɐ n̪ m a n̪
kaiman	k ɐ ʔ ɪ m a n̪
kaimito	k a ɪ̯ m iː t̪ o
kaimposiblehan	k ɐ ʔ ɪ m p o s iː b l ɛ h a n̪
kaimposiblihan	k ɐ ʔ ɪ m p o s iː b l ɪ h a n̪
kain	k aː ʔ ɛ n̪
kain	k aː ʔ ɪ n̪
kainaman	k ɐ ʔ ɪ n̪ aː m ɐ n̪
kainan	k ɐ ʔ iː n̪ ɐ n̪
kainan	k ɐ ʔ ɪ n̪ a n̪
kaing	k ɐ ʔ ɪ ŋ
kaingin	k ɐ ʔ ɪ ŋ ɪ n̪
kainin	k ɐ ʔ iː n̪ ɪ n̪
kainis	k ɐ ʔ ɪ n̪ ɪ s
kaintan	k ɐ ʔ ɪ n̪ t̪ a n̪
kaipala	k ɐ ʔ ɪ p aː l ɐ ʔ
kaisahan	k ɐ ʔ ɪ s ɐ h a n̪
kaisandibdib	k ɐ ʔ ɪ s a n̪ d̪ ɪ b d̪ ɪ b̚
kaisipan	k ɐ ʔ ɪ s ɪ p a n̪
kait	k ɐ ʔ ɪ t̪̚
kaka	k aː x ɐ
kaka	k ɐ x a ʔ
kakabig	k ɐ x aː b ɪ ɡ̚
kakabili	k aː x ɐ b ɪ l ɪ
kakagat	k aː x ɐ ɣ a t̪̚
kakagising	k ɐ x ɐ ɣ iː s ɪ ŋ
kakahiyaan	k aː x ɐ h j ɐ ʔ a n̪
kakahiyan	k aː x ɐ h j a n̪
kakahuyan	k ɐ x ɐ h ʊ j a n̪
kakaiba	k aː x ɐ ʔ ɪ b a
kakain	k ɐ x aː ʔ ɪ n̪
kakainan	k ɐ x ɐ ʔ iː n̪ ɐ n̪
kakainan	k ɐ x ɐ ʔ ɪ n̪ a n̪
kakainin	k aː x ɐ ʔ iː n̪ ɪ n̪
kakak	k aː x ɐ k̚
kakakain	k ɐ x ɐ x aː ʔ ɪ n̪
kakalot	k ɐ x ɐ l o t̪̚
kakaluyin	k aː x ɐ l uː j ɪ n̪
kakaluyin	k ɐ x ɐ l uː j ɪ n̪
kakambal	k ɐ x ɐ m b a l
kakampi	k aː x ɐ m p ɪ
kakampi	k ɐ x ɐ m p ɪ
kakampink	k ɐ x ɐ m p ɪ ŋ k
kakanan	k aː x aː n̪ ɐ n̪
kakanan	k aː x ɐ n̪ a n̪
kakanan	k ɐ x aː n̪ ɐ n̪
kakanan	k ɐ x ɐ n̪ a n̪
kakanggata	k aː x ɐ ŋ ɡ ɐ t̪ a ʔ
kakanin	k aː x aː n̪ ɪ n̪
kakanin	k ɐ x ɐ n̪ ɪ n̪
kakanina	k aː x ɐ n̪ iː n̪ ɐ
kakaniyahan	k ɐ x ɐ n̪ j ɐ h a n̪
kakaniyahan	k ɐ x ɐ ɲ ɐ h a n̪
kakanyahan	k ɐ x ɐ n ɲ ɐ h a n̪
kakanyahan	k ɐ x ɐ n̪ j ɐ h a n̪
kakaphay	k ɐ x ɐ p h a ɪ̯
kakapitan	k aː x ɐ p iː t̪ ɐ n̪
kakapitan	k ɐ x ɐ p iː t̪ ɐ n̪
kakarampot	k aː x ɐ ɾ ɐ m p o t̪̚
kakastiguhin	k ɐ x ɐ s t̪ ɪ ɣ uː h ɪ n̪
kakatuwa	k aː x ɐ t̪ w a ʔ
kakatuwa	k ɐ x ɐ t̪ uː w ɐ
kakatwa	k ɐ x ɐ t̪ w a
kakatwa	k ɐ x ɐ t̪ w a ʔ
kakaw	k ɐ x a ʊ̯
kakawasaan	k ɐ x ɐ w ɐ s ɐ ʔ a n̪
kakawate	k ɐ x ɐ w aː t̪ ɛ
kakawati	k ɐ x ɐ w aː t̪ ɪ
kakawayan	k aː x ɐ w ɐ j a n̪
kakayahan	k ɐ x ɐ j ɐ h a n̪
kakayanan	k ɐ x ɐ j ɐ n̪ a n̪
kaki	k aː x ɪ
kaki	k ɐ x ɪ
kakilala	k ɐ x ɪ l aː l ɐ
kakilawan	k ɐ x ɪ l ɐ w a n̪
kaklase	k ɐ k l aː s ɛ
kako	k aː x o
kakompetensiya	k ɐ x o m p ɛ t̪ ɛ n̪ s j ɐ
kakompetensiya	k ɐ x o m p ɛ t̪ ɛ n̪ ʃ ɐ
kakompetensya	k ɐ x o m p ɛ t̪ ɛ n̪ s j ɐ
kakompetensya	k ɐ x o m p ɛ t̪ ɛ n̪ ʃ ɐ
kakompletuhan	k ɐ x o m p l ɛ t̪ uː h ɐ n̪
kakosa	k ɐ x oː s ɐ
kakto	k a k t̪ o
kaktus	k a k t̪ ʊ s
kakulangan	k ɐ x ʊ l ɐ ŋ a n̪
kakulawas	k ɐ x ʊ l aː w ɐ s
kakumpetensiya	k ɐ x ʊ m p ɛ t̪ ɛ n̪ s j ɐ
kakumpetensiya	k ɐ x ʊ m p ɛ t̪ ɛ n̪ ʃ ɐ
kakumpetensya	k ɐ x ʊ m p ɛ t̪ ɛ n̪ s j ɐ
kakumpetensya	k ɐ x ʊ m p ɛ t̪ ɛ n̪ ʃ ɐ
kakumpitensiya	k ɐ x ʊ m p ɪ t̪ ɛ n̪ s j ɐ
kakumpitensiya	k ɐ x ʊ m p ɪ t̪ ɛ n̪ ʃ ɐ
kakumpitensya	k ɐ x ʊ m p ɪ t̪ ɛ n̪ s j ɐ
kakumpitensya	k ɐ x ʊ m p ɪ t̪ ɛ n̪ ʃ ɐ
kakumpletuhan	k ɐ x ʊ m p l ɛ t̪ uː h ɐ n̪
kakuwentuhan	k ɐ k w ɛ n̪ t̪ uː h ɐ n̪
kakwentuhan	k ɐ k w ɛ n̪ t̪ uː h ɐ n̪
kal	k a l
kalaban	k ɐ l aː b ɐ n̪
kalabasa	k ɐ l ɐ b aː s ɐ
kalabasahan	k ɐ l ɐ b ɐ s aː h ɐ n̪
kalabaw	k ɐ l ɐ b a ʊ̯
kalabhasaan	k ɐ l ɐ b h ɐ s ɐ ʔ a n̪
kalabit	k ɐ l ɐ b ɪ t̪̚
