A	ə
palaka	p ə l ɐ k ə
palaki	p ə l ɐ t i
palala	p ə l ɐ l ə
palaoa	p ə l ɐ o̯ w ə
palapala	p ɐ l ə p ɐ l ə
palaʻo	p ə l ɐ ʔ o
pale	p ɐ l e
palekana	p ɐ l e k ɐ n ə
pali	p ɐ l i
palu	p ɐ l u
pana	p ɐ n ə
panakō	p ə n ə k oː
panalāʻau	p ə n ə l aː ʔ ɐ w
panalāʻau	p ə n ə l aː ʔ ɔ w
pane	p ɐ n e
panepane	p ɐ n e p ɐ n e
pani	p ɐ n i
pano	p ɐ n o
panoa	p ə n o w ə
papakema	p ɐ p ə k ɛ m ə
papamū	p ɐ p ə m uː
papekema	p ɐ p ɛ k ɛ m ə
papekiko	p ə p e t i k o
pau	p ɐ w
pau	p ɔ w
pauaho	p ɐ w w ɐ h o
pauaho	p ɔ w w ɐ h o
paukikī	p ɐ w t i t iː
paukikī	p ɔ w t i t iː
paʻa	p ɐ ʔ ə
paʻahao	p ɐ ʔ ə h ɐ o̯
paʻakai	p ɐ ʔ ə k ɐ j
paʻakai	p ɐ ʔ ə k ɛ j
paʻanaʻau	p ɐ ʔ ə n ə ʔ ɐ w
paʻanaʻau	p ɐ ʔ ə n ə ʔ ɔ w
paʻapū	p ɐ ʔ ə p uː
paʻi	p ɐ ʔ i
pea	p ɛ j ə
pehea	p ɛ h ɛ j ə
pekapeka	p ɛ k ə p ɛ k ə
pekupeku	p ɛ k u p ɛ k u
pelapela	p ɛ l ə p ɛ l ə
pelekikena	p ɛ l ɛ t i k ɛ n ə
pelu	p ɛ l u
penekuina	p e n e k u w i n ə
pepeiao	p e p e j j ɐ o̯
pepelu	p ɛ p ɛ l u
peʻa	p ɛ ʔ ə
piapia	p i j ə p i j ə
pihaʻā	p i h ə ʔ aː
pilikana	p i l i k ɐ n ə
pilikia	p i l i t i j ə
pilina	p i l i n ə
piliona	p i l i j o n ə
pio	p i j o
piwa	p i ʋ ə
piʻina	p i ʔ i n ə
poepoe	p o w e p o w e
poina	p o̯ i n ə
polalauahi	p o l ə l ɐ w w ɐ h i
polalauahi	p o l ə l ɔ w w ɐ h i
poloka	p o l o k ə
polopeka	p o l o p ɛ k ə
puaiohi	p u w ɐ j j o h i
puaiohi	p u w ɛ j j o h i
puana	p u w ɐ n ə
puaʻa	p u w ɐ ʔ ə
pueo	p u w ɛ j o
puka	p u k ə
pulelehua	p u l e l e h u w ə
punihei	p u n i h ɛ j
pupuka	p u p u k ə
pupuka	p uː p u k ə
puʻukani	p u ʔ u k ɐ n i
puʻuwai	p u ʔ u ʋ ɐ j
puʻuwai	p u ʔ u ʋ ɛ j
pāheahea	p aː h ɛ j ə h ɛ j ə
pāheu	p aː h ɛ w
pāhoehoe	p aː h o w e h o w e
pākali	p aː k ɐ l i
pākaua	p aː k ɐ w w ə
pākaua	p aː k ɔ w w ə
pākaukau	p aː k ə w k ɐ w
pākaukau	p aː k ə w k ɔ w
pākeke	p aː k ɛ k ɛ
pākuʻina	p aː k u ʔ i n ə
pālala	p aː l ɐ l ə
pāleo	p aː l ɛ j o
pāleoleo	p aː l e j o l ɛ j o
pālima	p aː l i m ə
pālua	p aː l u w ə
pāluna	p aː l u n ə
pālākiō	p aː l aː t i j oː
pāpale	p aː p ɐ l e
pāpapa	p aː p ɐ p ə
pāpaʻa	p aː p ɐ ʔ ə
pāpaʻi	p aː p ɐ ʔ i
pāpālina	p aː p aː l i n ə
pāwai	p aː ʋ ɐ j
pāwai	p aː ʋ ɛ j
pāwela	p aː ʋ ɛ l ə
pāweo	p aː ʋ ɛ j o
pāʻani	p aː ʔ ɐ n i
pāʻele	p aː ʔ ɛ l ɛ
pāʻina	p aː ʔ i n ə
pāʻoihana	p aː ʔ o̯ i h ɐ n ə
pēla	p eː l ə
pīhopa	p iː h o p ə
pīlali	p iː l ɐ l i
pīlalilali	p iː l ɐ l i l ɐ l i
pīʻao	p iː ʔ ɐ o̯
pōhae	p oː h ɐ e̯
pōhai	p oː h ɐ j
pōhai	p oː h ɛ j
pōhaku	p oː h ɐ k u
pōhina	p oː h i n ə
pōkaʻa	p oː k ɐ ʔ ə
pōkaʻo	p oː k ɐ ʔ o
pōnalo	p oː n ɐ l o
pōniu	p oː n j u
pōpoki	p oː p o t i
pōwāwae	p oː ʋ aː ʋ ɐ e̯
pōʻaha	p oː ʔ ɐ h ə
pōʻailani	p oː ʔ ɐ j l ɐ n i
pōʻailani	p oː ʔ ɛ j l ɐ n i
pūhenehene	p uː h ɛ n ɛ h ɛ n ɛ
pūhihio	p uː h i h i j o
pūkiawe	p uː t i j ɐ ʋ e
pūkiʻi	p uː t i ʔ i
pūkonakona	p uː k o n ə k o n ə
pūnaewele	p uː n ɐ e̯ ʋ ɛ l ɛ
ua	u w ə
uaua	u w ɐ w w ə
uaua	u w ɔ w w ə
uhaele	u h ɐ e̯ l e
uhalula	u h ə l u l ə
uila	u w i l ə
uka	u k ə
ukana	u k ɐ n ə
ukiuki	u t i j u t i
ula	u l ə
ulana	u l ɐ n ə
uliuli	u l i j u l i
uluhua	u l u h u w ə
uluna	u l u n ə
uluwehi	u l u ʋ ɛ h i
una	u n ə
unahi	u n ɐ h i
w	ʋ eː
waena	ʋ ɐ e̯ n ə
wahine	ʋ ə h i n e
wahīʻeha	ʋ ə h iː ʔ ɛ h ə
wai	ʋ ɐ j
wai	ʋ ɛ j
waiho	ʋ ɐ j h o
waiho	ʋ ɛ j h o
wailua	ʋ ɐ j l u w ə
wailua	ʋ ɛ j l u w ə
waimaka	ʋ ə j m ɐ k ə
waina	ʋ ɐ j n ə
waina	ʋ ɛ j n ə
waiwai	ʋ ə j ʋ ɐ j
waiwai	ʋ ə j ʋ ɛ j
waiū	ʋ ə j j uː
waiūhakuhaku	ʋ ɐ j j uː h ɐ k u h ɐ k u
waiūhakuhaku	ʋ ɛ j j uː h ɐ k u h ɐ k u
waiūpaʻa	ʋ ɐ j j uː p ɐ ʔ ə
waiūpaʻa	ʋ ɛ j j uː p ɐ ʔ ə
waiūtepe	ʋ ɐ j j uː k ɛ p ɛ
waiūtepe	ʋ ɛ j j uː k ɛ p ɛ
waka	ʋ ɐ k ə
wala	ʋ ɐ l ə
wale	ʋ ɐ l e
waleluka	ʋ ə l e l u k ə
walu	ʋ ɐ l u
wana	ʋ ɐ n ə
wau	ʋ ɐ w
wau	ʋ ɔ w
wauke	ʋ ɐ w k e
wauke	ʋ ɔ w k e
wawā	ʋ ə ʋ aː
waʻu	ʋ ɐ ʔ u
wehi	ʋ ɛ h i
wela	ʋ ɛ l ə
welaweka	ʋ ɛ l ə ʋ ɛ k ə
welina	ʋ e l i n ə
weo	ʋ ɛ j o
wiki	ʋ i t i
wikiwiki	ʋ i t i ʋ i t i
wili	ʋ i l i
wilikī	ʋ i l i t iː
wiliwili	ʋ i l i ʋ i l i
woela	ʋ o w ɛ l ə
wolu	ʋ o l u
wulekula	ʋ u l e k u l ə
wāhi	ʋ aː h i
wāhine	ʋ aː h i n e
wīwī	ʋ iː ʋ iː
āhinahina	aː h i n ə h i n ə
ākala	aː k ɐ l ə
ākea	aː k ɛ j ə
āna	aː n ə
ānuenue	aː n u w e n u w e
āu	aː w
ōewe	oː ɛ ʋ ɛ
ōlaʻi	oː l ɐ ʔ i
ʻAikake	ʔ ə j k ɐ k e
ʻAikiopia	ʔ ə j t i j o p i j ə
ʻAikupika	ʔ ə j k u p i k ə
ʻAkamu	ʔ ə k ɐ m u
ʻAkela	ʔ ə k ɛ l ə
ʻAkeneki	ʔ ə k ɛ n ɛ t i
ʻAkepaikana	ʔ ə k e p ə j k ɐ n ə
ʻAko	ʔ ɐ k o
ʻAkoni	ʔ ə k o n i
ʻAlapaki	ʔ ə l ə p ɐ t i
ʻAlapama	ʔ ə l ə p ɐ m ə
ʻAlekelia	ʔ ə l e k e l i j ə
ʻAlekina	ʔ ə l e t i n ə
ʻAlepania	ʔ ə l e p ə n i j ə
ʻAlika	ʔ ə l i k ə
ʻAlohilani	ʔ ə l o h i l ɐ n i
ʻAmosa	ʔ ə m o k ə
ʻAna	ʔ ɐ n ə
ʻAnakalia	ʔ ə n ə k ə l i j ə
ʻAnalū	ʔ ə n ə l uː
ʻAne	ʔ ɐ n e
ʻAnekelea	ʔ ə n e k ɛ l ɛ j ə
ʻApekanikana	ʔ ə p e k ə n i k ɐ n ə
ʻApela	ʔ ə p ɛ l ə
ʻApelahama	ʔ ə p e l ə h ɐ m ə
ʻApelika	ʔ ə p e l i k ə
ʻApelila	ʔ ə p e l i l ə
ʻApikaʻila	ʔ ə p i k ə ʔ i l ə
ʻAsedoda	ʔ ɐ k e k o k ə
ʻAukai	ʔ ə w k ɐ j
ʻAukai	ʔ ə w k ɛ j
ʻAukake	ʔ ə w k ɐ k e
ʻAukekulelia	ʔ ə w k e k u l e l i j ə
ʻAukekulia	ʔ ə w k e k u l i j ə
ʻAulani	ʔ ə w l ɐ n i
ʻAʻā	ʔ ə ʔ aː
ʻEhu	ʔ ɛ h u
ʻEkekela	ʔ e k ɛ k ɛ l ə
ʻEkela	ʔ ɛ k ɛ l ə
ʻElata	ʔ e l ɐ k ə
ʻEleakala	ʔ e l e j ə k ɐ l ə
ʻElena	ʔ ɛ l ɛ n ə
ʻElia	ʔ e l i j ə
ʻElikapeka	ʔ e l i k ə p ɛ k ə
ʻEma	ʔ ɛ m ə
ʻEmalia	ʔ e m ə l i j ə
ʻEmelia	ʔ e m e l i j ə
ʻEmelē	ʔ e m ɛ l eː
ʻEnelani	ʔ ɛ n ɛ l ɐ n i
ʻEnoka	ʔ e n o k ə
ʻEpeso	ʔ ɛ p ɛ k o
ʻEwa	ʔ ɛ ʋ ə
ʻEzekiʻela	ʔ e k e t i ʔ ɛ l ə
ʻIkaʻaka	ʔ i k ə ʔ ɐ k ə
ʻIlaka	ʔ i l ɐ k ə
ʻIlana	ʔ i l ɐ n ə
ʻIlelani	ʔ i l e l ɐ n i
ʻInia	ʔ i n i j ə
ʻInidonesia	ʔ i n i k o n e t i j ə
ʻIsaia	ʔ i k ɐ j j ə
ʻIsaia	ʔ i k ɛ j j ə
ʻIseraʻela	ʔ i k ɛ l ə ʔ ɛ l ə
ʻIwalani	ʔ i ʋ ə l ɐ n i
ʻObadia	ʔ o p ə t i j ə
ʻOihana	ʔ o̯ i h ɐ n ə
ʻOkakopa	ʔ o k ə k o p ə
ʻOmana	ʔ o m ɐ n ə
ʻUkelena	ʔ u k ɛ l ɛ n ə
ʻUsepekikana	ʔ u k e p e t i k ɐ n ə
ʻae	ʔ ɐ e̯
ʻaeʻa	ʔ ɐ e̯ ʔ ə
ʻaha	ʔ ɐ h ə
ʻahamaka	ʔ ɐ h ə m ɐ k ə
ʻahamele	ʔ ɐ h ə m ɛ l ɛ
ʻahaʻōlelo	ʔ ɐ h ə ʔ oː l ɛ l o
ʻahi	ʔ ɐ h i
ʻaho	ʔ ɐ h o
ʻaholo	ʔ ə h o l o
ʻahā	ʔ ə h aː
ʻai	ʔ ɐ j
ʻai	ʔ ɛ j
ʻaina	ʔ ɐ j n ə
ʻaina	ʔ ɛ j n ə
ʻaiā	ʔ ɐ j j aː
ʻaiā	ʔ ɛ j j aː
ʻaiāmanō	ʔ ɐ j j aː m ə n oː
ʻaiāmanō	ʔ ɛ j j aː m ə n oː
ʻaiāpuaʻa	ʔ ɐ j j aː p u w ɐ ʔ ə
ʻaiāpuaʻa	ʔ ɛ j j aː p u w ɐ ʔ ə
ʻaiʻē	ʔ ɐ j ʔ eː
ʻaiʻē	ʔ ɛ j ʔ eː
ʻaka	ʔ ɐ k ə
ʻakaʻaka	ʔ ɐ k ə ʔ ɐ k ə
ʻakaʻakai	ʔ ɐ k ə ʔ ə k ɐ j
ʻakaʻakai	ʔ ɐ k ə ʔ ə k ɛ j
ʻakekeʻe	ʔ ɐ k ɛ k ɛ ʔ ɛ
ʻakele	ʔ ə k ɛ l ɛ
ʻakepeuʻie	ʔ ɐ k e p e w ʔ i e
ʻaki	ʔ ɐ t i
ʻakina	ʔ ə t i n ə
ʻako	ʔ ɐ k o
ʻakolika	ʔ ə k o l i k ə
ʻakolu	ʔ ə k o l u
ʻala	ʔ ɐ l ə
ʻalalā	ʔ ə l ə l aː
ʻalamihi	ʔ ɐ l ə m i h i
ʻale	ʔ ɐ l e
ʻaleʻale	ʔ ɐ l e ʔ ɐ l e
ʻali	ʔ ɐ l i
ʻalo	ʔ ɐ l o
ʻalohi	ʔ ə l o h i
ʻaloʻalo	ʔ ɐ l o ʔ ɐ l o
ʻalu	ʔ ɐ l u
ʻalua	ʔ ə l u w ə
ʻaluʻalu	ʔ ɐ l u ʔ ɐ l u
ʻanae	ʔ ə n ɐ e̯
ʻanemoku	ʔ ə n e m o k u
ʻanoʻi	ʔ ə n o ʔ i
ʻanuʻu	ʔ ə n u ʔ u
ʻanāʻanā	ʔ ɐ n aː ʔ ə n aː
ʻapōpō	ʔ ə p oː p oː
ʻau	ʔ ɐ w
ʻau	ʔ ɔ w
ʻauhau	ʔ ɐ w h ɐ w
ʻauhau	ʔ ɔ w h ɔ w
ʻaui	ʔ ɐ w w i
ʻaui	ʔ ɔ w w i
ʻauina	ʔ ə w w i n ə
ʻauinalā	ʔ ə w w i n ə l aː
ʻauinapō	ʔ ə w w i n ə p oː
ʻauʻau	ʔ ɐ w ʔ ɐ w
ʻauʻau	ʔ ɔ w ʔ ɔ w
ʻawa	ʔ ɐ ʋ ə
ʻawapuhi	ʔ ə ʋ ə p u h i
ʻawaʻawa	ʔ ɐ ʋ ə ʔ ɐ ʋ ə
ʻawe	ʔ ɐ ʋ e
ʻaʻa	ʔ ɐ ʔ ə
ʻaʻano	ʔ ə ʔ ɐ n o
ʻaʻo	ʔ ɐ ʔ o
ʻaʻole	ʔ ə ʔ o l e
ʻaʻā	ʔ ə ʔ aː
ʻeha	ʔ ɛ h ə
ʻehaʻeha	ʔ ɛ h ə ʔ ɛ h ə
ʻeiwa	ʔ ɛ j ʋ ə
ʻekahi	ʔ e k ɐ h i
ʻekalekia	ʔ e k ə l e t i j ə
ʻele	ʔ ɛ l ɛ
ʻelekule	ʔ ɛ l ɛ k u l e
ʻelele	ʔ ɛ l ɛ l ɛ
ʻelemakule	ʔ ɛ l ɛ m ə k u l e
ʻelepani	ʔ e l e p ɐ n i
ʻeleu	ʔ ɛ l ɛ w
ʻeleʻele	ʔ ɛ l ɛ ʔ ɛ l ɛ
ʻelima	ʔ e l i m ə
ʻelua	ʔ e l u w ə
ʻeono	ʔ e j o n o
ʻewalu	ʔ e ʋ ɐ l u
ʻilikai	ʔ i l i k ɐ j
ʻilikai	ʔ i l i k ɛ j
ʻinamona	ʔ i n ə m o n ə
ʻio	ʔ i j o
ʻiole	ʔ i j o l e
ʻiwa	ʔ i ʋ ə
ʻiʻiwi	ʔ i ʔ i ʋ i
ʻoe	ʔ o w e
ʻohana	ʔ o h ɐ n ə
ʻoia	ʔ o̯ i j ə
ʻoihana	ʔ o̯ i h ɐ n ə
ʻokekelika	ʔ o k e k e l i k ə
ʻokikene	ʔ o t i k ɛ n ɛ
ʻokina	ʔ o t i n ə
ʻokomopila	ʔ o k o m o p i l ə
ʻolua	ʔ o l u w ə
ʻona	ʔ o n ə
ʻonaʻona	ʔ o n ə ʔ o n ə
ʻonipaʻa	ʔ o n i p ɐ ʔ ə
ʻoukou	ʔ o w k o w
ʻoumuamua	ʔ o w m u w ə m u w ə
ʻowau	ʔ o ʋ ɐ w
ʻowau	ʔ o ʋ ɔ w
ʻoʻoleʻa	ʔ o ʔ o l ɛ ʔ ə
ʻuao	ʔ u w ɐ o̯
ʻukiʻuki	ʔ u t i ʔ u t i
ʻukulele	ʔ u k u l ɛ l ɛ
ʻula	ʔ u l ə
ʻulaʻula	ʔ u l ə ʔ u l ə
ʻumikūmāiwa	ʔ u m i k uː m aː i ʋ ə
ʻumikūmākahi	ʔ u m i k uː m aː k ɐ h i
ʻumikūmālima	ʔ u m i k uː m aː l i m ə
ʻumikūmālua	ʔ u m i k uː m aː l u w ə
ʻumikūmāwalu	ʔ u m i k uː m aː ʋ ɐ l u
ʻupena	ʔ u p ɛ n ə
ʻĀmēnia	ʔ aː m eː n i j ə
ʻĀʻālona	ʔ aː ʔ aː l o n ə
ʻāhewa	ʔ aː h ɛ ʋ ə
ʻāina	ʔ aː j n ə
ʻāinapuniʻole	ʔ aː j n ə p u n i ʔ o l e
ʻākala	ʔ aː k ɐ l ə
ʻākau	ʔ aː k ɐ w
ʻākau	ʔ aː k ɔ w
ʻākaʻa	ʔ aː k ɐ ʔ ə
ʻākepa	ʔ aː k ɛ p ə
ʻālapa	ʔ aː l ɐ p ə
ʻālina	ʔ aː l i n ə
ʻālualua	ʔ aː l u w ə l u w ə
ʻāluna	ʔ aː l u n ə
ʻāmana	ʔ aː m ɐ n ə
ʻāpiki	ʔ aː p i t i
ʻāpikipiki	ʔ aː p i t i p i t i
ʻāpuka	ʔ aː p u k ə
ʻāwini	ʔ aː ʋ i n i
ʻāwīwī	ʔ aː ʋ iː ʋ iː
ʻĪkālia	ʔ iː k aː l i j ə
ʻĪnia	ʔ iː n i j ə
ʻīlio	ʔ iː l i j o
ʻīnaʻi	ʔ iː n ɐ ʔ i
ʻōhaʻi	ʔ oː h ɐ ʔ i
ʻōhewa	ʔ oː h ɛ ʋ ə
ʻōiwi	ʔ oː i ʋ i
ʻōlapa	ʔ oː l ɐ p ə
ʻōlelo	ʔ oː l ɛ l o
ʻōmalumalu	ʔ oː m ə l u m ɐ l u
ʻōmaʻimaʻi	ʔ oː m ə ʔ i m ɐ ʔ i
ʻōmaʻo	ʔ oː m ɐ ʔ o
ʻōmaʻomaʻo	ʔ oː m ə ʔ o m ɐ ʔ o
ʻōnaehana	ʔ oː n ɐ e̯ h ɐ n ə
ʻōnaha	ʔ oː n ɐ h ə
ʻōnea	ʔ oː n ɛ j ə
ʻōneanea	ʔ oː n ɛ j ə n ɛ j ə
ʻōpakapaka	ʔ oː p ɐ k ə p ɐ k ə
ʻōwehe	ʔ oː ʋ ɛ h ɛ
ʻūheheʻe	ʔ uː h ɛ h ɛ ʔ ɛ
ʻūhōloʻa	ʔ uː h oː l o ʔ ə
