Ⴁ	b
მგელი	m ɡ ɛ l i
მგზავრი	m ɡ z a v r i
მგზავრობა	m ɡ z a v r ɔ b a
მგზნებარე	m ɡ z n ɛ b a r ɛ
მგზნებარედ	m ɡ z n ɛ b a r ɛ d
მგლური	m ɡ l u r i
მგონი	m ɡ ɔ n i
მგონია	m ɡ ɔ n i a
მგოსანი	m ɡ ɔ s a n i
მგრძნობელობა	m ɡ r d͡z n ɔ b ɛ l ɔ b a
მგრძნობიარე	m ɡ r d͡z n ɔ b i a r ɛ
მგრძნობიარედ	m ɡ r d͡z n ɔ b i a r ɛ d
მდაბალი	m d a b a l i
მდაბლად	m d a b l a d
მდგმური	m d ɡ m u r i
მდგომარეობა	m d ɡ ɔ m a r ɛ ɔ b a
მდგომი	m d ɡ ɔ m i
მდებარეობა	m d ɛ b a r ɛ ɔ b a
მდებარეობს	m d ɛ b a r ɛ ɔ b s
მდედრი	m d ɛ d r i
მდედრობითი	m d ɛ d r ɔ b i tʰ i
მდელო	m d ɛ l ɔ
მდიდარი	m d i d a r i
მდიდრულად	m d i d r u l a d
მდიდრული	m d i d r u l i
მდივანი	m d i v a n i
მდინარე	m d i n a r ɛ
მდინარი	m d i n a r i
მდოგვი	m d ɔ ɡ v i
მდომებია	m d ɔ m ɛ b i a
მდუმარე	m d u m a r ɛ
მდუმარედ	m d u m a r ɛ d
მე	m ɛ
მეაბრეშუმე	m ɛ a b r ɛ ʃ u m ɛ
მეათე	m ɛ a tʰ ɛ
მეალილოე	m ɛ a l i l ɔ ɛ
მეამბოხე	m ɛ a m b ɔ x ɛ
მეამბოხურად	m ɛ a m b ɔ x u r a d
მეამბოხური	m ɛ a m b ɔ x u r i
მეანაბრე	m ɛ a n a b r ɛ
მეანი	m ɛ a n i
მეანობა	m ɛ a n ɔ b a
მეარღნე	m ɛ a r ɣ n ɛ
მეაფთიაქე	m ɛ a pʰ tʰ i a kʰ ɛ
მებათქაშე	m ɛ b a tʰ kʰ a ʃ ɛ
მებაღე	m ɛ b a ɣ ɛ
მებაღეობა	m ɛ b a ɣ ɛ ɔ b a
მებორნე	m ɛ b ɔ r n ɛ
მებუკე	m ɛ b u kʼ ɛ
მებუფეტე	m ɛ b u pʰ ɛ tʼ ɛ
მეგალითი	m ɛ ɡ a l i tʰ i
მეგალითური	m ɛ ɡ a l i tʰ u r i
მეგალომანია	m ɛ ɡ a l ɔ m a n i a
მეგატონი	m ɛ ɡ a tʼ ɔ n i
მეგაფონი	m ɛ ɡ a pʰ ɔ n i
მეგაჰერცი	m ɛ ɡ a h ɛ r t͡s i
მეგი	m ɛ ɡ i
მეგობარი	m ɛ ɡ ɔ b a r i
მეგობრები	m ɛ ɡ ɔ b r ɛ b i
მეგობრობა	m ɛ ɡ ɔ b r ɔ b a
მეგობრულად	m ɛ ɡ ɔ b r u l a d
მეგობრული	m ɛ ɡ ɔ b r u l i
მეგრელი	m ɛ ɡ r ɛ l i
მეგრული	m ɛ ɡ r u l i
მედალი	m ɛ d a l i
მედალიონი	m ɛ d a l i ɔ n i
მედდა	m ɛ d d a
მედეა	m ɛ d ɛ a
მედეგი	m ɛ d ɛ ɡ i
მედიანა	m ɛ d i a n a
მედიატორი	m ɛ d i a tʼ ɔ r i
მედიდურად	m ɛ d i d u r a d
მედიდური	m ɛ d i d u r i
მედიდურობა	m ɛ d i d u r ɔ b a
მედიტაცია	m ɛ d i tʼ a t͡s i a
მედიუმი	m ɛ d i u m i
მედიცინა	m ɛ d i t͡s i n a
მედოლე	m ɛ d ɔ l ɛ
მედროშე	m ɛ d r ɔ ʃ ɛ
მედუზა	m ɛ d u z a
მედუქნე	m ɛ d u kʰ n ɛ
მეეტლე	m ɛ ɛ tʼ l ɛ
მეექვსე	m ɛ ɛ kʰ v s ɛ
მევახშე	m ɛ v a x ʃ ɛ
მევახშეობა	m ɛ v a x ʃ ɛ ɔ b a
მევახშური	m ɛ v a x ʃ u r i
მევიოლინე	m ɛ v i ɔ l i n ɛ
მეზობელი	m ɛ z ɔ b ɛ l i
მეზღაპრე	m ɛ z ɣ a pʼ r ɛ
მეზღვაური	m ɛ z ɣ v a u r i
მეთანი	m ɛ tʰ a n i
მეთაური	m ɛ tʰ a u r i
მეთევზე	m ɛ tʰ ɛ v z ɛ
მეთევზეობა	m ɛ tʰ ɛ v z ɛ ɔ b a
მეთერთმეტე	m ɛ tʰ ɛ r tʰ m ɛ tʼ ɛ
მეთექვსმეტე	m ɛ tʰ ɛ kʰ v s m ɛ tʼ ɛ
მეთვალყურე	m ɛ tʰ v a l qʼ u r ɛ
მეთილი	m ɛ tʰ i l i
მეთიუ	m ɛ tʰ i u
მეთოდი	m ɛ tʰ ɔ d i
მეთოდისტი	m ɛ tʰ ɔ d i s tʼ i
მეთოდოლოგია	m ɛ tʰ ɔ d ɔ l ɔ ɡ i a
მეთოდოლოგიურად	m ɛ tʰ ɔ d ɔ l ɔ ɡ i u r a d
მეთოდურად	m ɛ tʰ ɔ d u r a d
მეთოდური	m ɛ tʰ ɔ d u r i
მეთოთხმეტე	m ɛ tʰ ɔ tʰ x m ɛ tʼ ɛ
მეთორმეტე	m ɛ tʰ ɔ r m ɛ tʼ ɛ
მეთუნე	m ɛ tʰ u n ɛ
მეთუნუქე	m ɛ tʰ u n u kʰ ɛ
მეთქი	m ɛ tʰ kʰ i
მეთხილამურე	m ɛ tʰ x i l a m u r ɛ
მეთხუთმეტე	m ɛ tʰ x u tʰ m ɛ tʼ ɛ
მეიდანი	m ɛ i d a n i
მეისრე	m ɛ i s r ɛ
მეკარე	m ɛ kʼ a r ɛ
მეკასრე	m ɛ kʼ a s r ɛ
მეკვლე	m ɛ kʼ v l ɛ
მეკობრე	m ɛ kʼ ɔ b r ɛ
მეკობრეობა	m ɛ kʼ ɔ b r ɛ ɔ b a
მეკობრულად	m ɛ kʼ ɔ b r u l a d
მეკობრული	m ɛ kʼ ɔ b r u l i
მელა	m ɛ l a
მელანი	m ɛ l a n i
მელანქოლია	m ɛ l a n kʰ ɔ l i a
მელანქოლიური	m ɛ l a n kʰ ɔ l i u r i
მელაძე	m ɛ l a d͡z ɛ
მელია	m ɛ l i a
მელნიანი	m ɛ l n i a n i
მელოდია	m ɛ l ɔ d i a
მელოდიურად	m ɛ l ɔ d i u r a d
მელოდიური	m ɛ l ɔ d i u r i
მელოდიურობა	m ɛ l ɔ d i u r ɔ b a
მელოდრამა	m ɛ l ɔ d r a m a
მელოდრამატულად	m ɛ l ɔ d r a m a tʼ u l a d
მელოტი	m ɛ l ɔ tʼ i
მელუა	m ɛ l u a
მელქიორი	m ɛ l kʰ i ɔ r i
მემამულე	m ɛ m a m u l ɛ
მემანქანე	m ɛ m a n kʰ a n ɛ
მემარცხენე	m ɛ m a r t͡s x ɛ n ɛ
მემაუდე	m ɛ m a u d ɛ
მემაღაროე	m ɛ m a ɣ a r ɔ ɛ
მემკვიდრე	m ɛ m kʼ v i d r ɛ
მემკვიდრეობა	m ɛ m kʼ v i d r ɛ ɔ b a
მემკვიდრეობად	m ɛ m kʼ v i d r ɛ ɔ b a d
მემკვიდრეობამ	m ɛ m kʼ v i d r ɛ ɔ b a m
მემკვიდრეობას	m ɛ m kʼ v i d r ɛ ɔ b a s
მემკვიდრეობით	m ɛ m kʼ v i d r ɛ ɔ b i tʰ
მემკვიდრეობის	m ɛ m kʼ v i d r ɛ ɔ b i s
მემონტაჟე	m ɛ m ɔ n tʼ a ʒ ɛ
მემორანდუმი	m ɛ m ɔ r a n d u m i
მემრუშე	m ɛ m r u ʃ ɛ
მემფისი	m ɛ m pʰ i s i
მენაგვე	m ɛ n a ɡ v ɛ
მენავე	m ɛ n a v ɛ
მენატრება	m ɛ n a tʼ r ɛ b a
მენახირე	m ɛ n a x i r ɛ
მენახშირე	m ɛ n a x ʃ i r ɛ
მენდელევიუმი	m ɛ n d ɛ l ɛ v i u m i
მენზურა	m ɛ n z u r a
მენთოლი	m ɛ n tʰ ɔ l i
მენიუ	m ɛ n i u
მენიჩბე	m ɛ n i t͡ʃ b ɛ
მენსტრუალური	m ɛ n s tʼ r u a l u r i
მენსტრუაცია	m ɛ n s tʼ r u a t͡s i a
მენუეტი	m ɛ n u ɛ tʼ i
მენცარი	m ɛ n t͡s a r i
მენჯი	m ɛ n d͡ʒ i
მეობა	m ɛ ɔ b a
მეოთხე	m ɛ ɔ tʰ x ɛ
მეოთხეც	m ɛ ɔ tʰ x ɛ t͡s
მეომარი	m ɛ ɔ m a r i
მეომრულად	m ɛ ɔ m r u l a d
მეორადი	m ɛ ɔ r a d i
მეორე	m ɛ ɔ r ɛ
მეორედ	m ɛ ɔ r ɛ d
მეოცნებედ	m ɛ ɔ t͡s n ɛ b ɛ d
მეოხებით	m ɛ ɔ x ɛ b i tʰ
მეპაიე	m ɛ pʼ a i ɛ
მეპატრონე	m ɛ pʼ a tʼ r ɔ n ɛ
მეპურე	m ɛ pʼ u r ɛ
მერაბიშვილი	m ɛ r a b i ʃ v i l i
მერე	m ɛ r ɛ
მერებაშვილი	m ɛ r ɛ b a ʃ v i l i
მერვე	m ɛ r v ɛ
მერი	m ɛ r i
მერიდიანი	m ɛ r i d i a n i
მერილენდი	m ɛ r i l ɛ n d i
მერინოსი	m ɛ r i n ɔ s i
მერიქიფე	m ɛ r i kʰ i pʰ ɛ
მერკანტილური	m ɛ r kʼ a n tʼ i l u r i
მერკური	m ɛ r kʼ u r i
მერყევად	m ɛ r qʼ ɛ v a d
მერყეობა	m ɛ r qʼ ɛ ɔ b a
მერცხალი	m ɛ r t͡s x a l i
მერძევე	m ɛ r d͡z ɛ v ɛ
მერწყული	m ɛ r t͡sʼ qʼ u l i
მერხი	m ɛ r x i
მესაათე	m ɛ s a a tʰ ɛ
მესაიდუმლე	m ɛ s a i d u m l ɛ
მესაკუთრე	m ɛ s a kʼ u tʰ r ɛ
მესაკუთრეობა	m ɛ s a kʼ u tʰ r ɛ ɔ b a
მესაკუთრულად	m ɛ s a kʼ u tʰ r u l a d
მესაკუთრული	m ɛ s a kʼ u tʰ r u l i
მესამე	m ɛ s a m ɛ
მესამედ	m ɛ s a m ɛ d
მესამედი	m ɛ s a m ɛ d i
მესამეული	m ɛ s a m ɛ u l i
მესანგრე	m ɛ s a n ɡ r ɛ
მესაქონლე	m ɛ s a kʰ ɔ n l ɛ
მესაყვირე	m ɛ s a qʼ v i r ɛ
მესაჭე	m ɛ s a t͡ʃʼ ɛ
მესერი	m ɛ s ɛ r i
მესია	m ɛ s i a
მესიგნალე	m ɛ s i ɡ n a l ɛ
მესიჯი	m ɛ s i d͡ʒ i
მესმის	m ɛ s m i s
მესპილენძე	m ɛ s pʼ i l ɛ n d͡z ɛ
მესტვირე	m ɛ s tʼ v i r ɛ
მესხაძე	m ɛ s x a d͡z ɛ
მესხეთი	m ɛ s x ɛ tʰ i
მეტაბელე	m ɛ tʼ a b ɛ l ɛ
მეტაბოლიზმი	m ɛ tʼ a b ɔ l i z m i
მეტად	m ɛ tʼ a d
მეტალი	m ɛ tʼ a l i
მეტალიზაცია	m ɛ tʼ a l i z a t͡s i a
მეტალიზაციას	m ɛ tʼ a l i z a t͡s i a s
მეტალურგი	m ɛ tʼ a l u r ɡ i
მეტალურგია	m ɛ tʼ a l u r ɡ i a
მეტალურგიული	m ɛ tʼ a l u r ɡ i u l i
მეტამორფოზა	m ɛ tʼ a m ɔ r pʰ ɔ z a
მეტაფიზიკა	m ɛ tʼ a pʰ i z i kʼ a
მეტაფიზიკურად	m ɛ tʼ a pʰ i z i kʼ u r a d
მეტაფიზიკური	m ɛ tʼ a pʰ i z i kʼ u r i
მეტაფორა	m ɛ tʼ a pʰ ɔ r a
მეტაფორულად	m ɛ tʼ a pʰ ɔ r u l a d
მეტაფორული	m ɛ tʼ a pʰ ɔ r u l i
მეტეორი	m ɛ tʼ ɛ ɔ r i
მეტეორიზმი	m ɛ tʼ ɛ ɔ r i z m i
მეტეორიტი	m ɛ tʼ ɛ ɔ r i tʼ i
მეტეოროლოგი	m ɛ tʼ ɛ ɔ r ɔ l ɔ ɡ i
მეტეოროლოგია	m ɛ tʼ ɛ ɔ r ɔ l ɔ ɡ i a
მეტეორული	m ɛ tʼ ɛ ɔ r u l i
მეტეხი	m ɛ tʼ ɛ x i
მეტი	m ɛ tʼ i
მეტივე	m ɛ tʼ i v ɛ
მეტისი	m ɛ tʼ i s i
მეტისმეტად	m ɛ tʼ i s m ɛ tʼ a d
მეტისმეტი	m ɛ tʼ i s m ɛ tʼ i
მეტიჩარა	m ɛ tʼ i t͡ʃ a r a
მეტოქე	m ɛ tʼ ɔ kʰ ɛ
მეტრიანი	m ɛ tʼ r i a n i
მეტრო	m ɛ tʼ r ɔ
მეტრონომი	m ɛ tʼ r ɔ n ɔ m i
მეტრული	m ɛ tʼ r u l i
მეტსახელი	m ɛ tʼ s a x ɛ l i
მეტყევე	m ɛ tʼ qʼ ɛ v ɛ
მეტყევეობა	m ɛ tʼ qʼ ɛ v ɛ ɔ b a
მეტყველება	m ɛ tʼ qʼ v ɛ l ɛ b a
მეტყველი	m ɛ tʼ qʼ v ɛ l i
მეურვე	m ɛ u r v ɛ
მეურვეობა	m ɛ u r v ɛ ɔ b a
მეურნეობრივი	m ɛ u r n ɛ ɔ b r i v i
მეუღლე	m ɛ u ɣ l ɛ
მეფე	m ɛ pʰ ɛ
მეფედ	m ɛ pʰ ɛ d
მეფემ	m ɛ pʰ ɛ m
მეფეს	m ɛ pʰ ɛ s
მეფით	m ɛ pʰ i tʰ
მეფის	m ɛ pʰ i s
მეფობა	m ɛ pʰ ɔ b a
მეფსალმუნე	m ɛ pʰ s a l m u n ɛ
მეფურად	m ɛ pʰ u r a d
მეფური	m ɛ pʰ u r i
მეფუტკრე	m ɛ pʰ u tʼ kʼ r ɛ
მეფუტკრეობა	m ɛ pʰ u tʼ kʼ r ɛ ɔ b a
მექალთანე	m ɛ kʰ a l tʰ a n ɛ
მექანიზაცია	m ɛ kʰ a n i z a t͡s i a
მექანიზმი	m ɛ kʰ a n i z m i
მექანიკა	m ɛ kʰ a n i kʼ a
მექანიკოსი	m ɛ kʰ a n i kʼ ɔ s i
მექანიკურად	m ɛ kʰ a n i kʼ u r a d
მექანიკური	m ɛ kʰ a n i kʼ u r i
მექნება	m ɛ kʰ n ɛ b a
მექნისტიკურად	m ɛ kʰ n i s tʼ i kʼ u r a d
მექრთამეობა	m ɛ kʰ r tʰ a m ɛ ɔ b a
მექსიკა	m ɛ kʰ s i kʼ a
მექსიკური	m ɛ kʰ s i kʼ u r i
მეღორე	m ɛ ɣ ɔ r ɛ
მეყვავილე	m ɛ qʼ v a v i l ɛ
მეყვავილეობა	m ɛ qʼ v a v i l ɛ ɔ b a
მეშახტე	m ɛ ʃ a x tʼ ɛ
მეშველზმნიანი	m ɛ ʃ v ɛ l z m n i a n i
მეშვიდე	m ɛ ʃ v i d ɛ
მეშვიდედ	m ɛ ʃ v i d ɛ d
მეშურდულე	m ɛ ʃ u r d u l ɛ
მეშუშე	m ɛ ʃ u ʃ ɛ
მეჩეთი	m ɛ t͡ʃ ɛ tʰ i
მეჩეჩზე	m ɛ t͡ʃ ɛ t͡ʃ z ɛ
მეჩვიდმეტე	m ɛ t͡ʃ v i d m ɛ tʼ ɛ
მეჩირაღდნე	m ɛ t͡ʃ i r a ɣ d n ɛ
მეჩუქურთმე	m ɛ t͡ʃ u kʰ u r tʰ m ɛ
მეცამეტე	m ɛ t͡s a m ɛ tʼ ɛ
მეცენატი	m ɛ t͡s ɛ n a tʼ i
მეცნიერება	m ɛ t͡s n i ɛ r ɛ b a
მეცნიერები	m ɛ t͡s n i ɛ r ɛ b i
მეცნიერი	m ɛ t͡s n i ɛ r i
მეცნიერულად	m ɛ t͡s n i ɛ r u l a d
მეცნიერული	m ɛ t͡s n i ɛ r u l i
მეცხვარე	m ɛ t͡s x v a r ɛ
მეცხრე	m ɛ t͡s x r ɛ
მეძავი	m ɛ d͡z a v i
მეწალკოტე	m ɛ t͡sʼ a l kʼ ɔ tʼ ɛ
მეწამული	m ɛ t͡sʼ a m u l i
მეწარმე	m ɛ t͡sʼ a r m ɛ
მეწაღე	m ɛ t͡sʼ a ɣ ɛ
მეწვრილმანე	m ɛ t͡sʼ v r i l m a n ɛ
მეწისქვილე	m ɛ t͡sʼ i s kʰ v i l ɛ
მეწყალსადენე	m ɛ t͡sʼ qʼ a l s a d ɛ n ɛ
მეწყერი	m ɛ t͡sʼ qʼ ɛ r i
მეჭეჭი	m ɛ t͡ʃʼ ɛ t͡ʃʼ i
მეხამრიდი	m ɛ x a m r i d i
მეხი	m ɛ x i
მეხიკო	m ɛ x i kʼ ɔ
მეხოტბე	m ɛ x ɔ tʼ b ɛ
მეხსიერება	m ɛ x s i ɛ r ɛ b a
მეხუთე	m ɛ x u tʰ ɛ
მეჯინიბე	m ɛ d͡ʒ i n i b ɛ
მეჯლისი	m ɛ d͡ʒ l i s i
მზა	m z a
მზად	m z a d
მზადყოფნა	m z a d qʼ ɔ pʰ n a
მზაკვრობა	m z a kʼ v r ɔ b a
მზარდად	m z a r d a d
მზარეული	m z a r ɛ u l i
მზე	m z ɛ
მზედ	m z ɛ d
მზემ	m z ɛ m
მზერა	m z ɛ r a
მზეს	m z ɛ s
მზესუმზირა	m z ɛ s u m z i r a
მზიანად	m z i a n a d
მზიანი	m z i a n i
მზით	m z i tʰ
მზითევი	m z i tʰ ɛ v i
მზის	m z i s
მზრუნველად	m z r u n v ɛ l a d
მზრუნველობა	m z r u n v ɛ l ɔ b a
მთა	m tʰ a
მთაგრეხილი	m tʰ a ɡ r ɛ x i l i
მთად	m tʰ a d
მთავარანგელოზი	m tʰ a v a r a n ɡ ɛ l ɔ z i
მთავარი	m tʰ a v a r i
მთავრობა	m tʰ a v r ɔ b a
მთავრობად	m tʰ a v r ɔ b a d
მთავრობამ	m tʰ a v r ɔ b a m
მთავრობას	m tʰ a v r ɔ b a s
მთავრობით	m tʰ a v r ɔ b i tʰ
მთავრობის	m tʰ a v r ɔ b i s
მთათწარმოქმნა	m tʰ a tʰ t͡sʼ a r m ɔ kʰ m n a
მთამ	m tʰ a m
მთამსვლელი	m tʰ a m s v l ɛ l i
მთარგმნელი	m tʰ a r ɡ m n ɛ l i
მთას	m tʰ a s
მთაში	m tʰ a ʃ i
მთაწმინდა	m tʰ a t͡sʼ m i n d a
მთები	m tʰ ɛ b i
მთებმა	m tʰ ɛ b m a
მთელად	m tʰ ɛ l a d
მთელი	m tʰ ɛ l i
მთვარე	m tʰ v a r ɛ
მთვარედ	m tʰ v a r ɛ d
მთვარემ	m tʰ v a r ɛ m
მთვარეს	m tʰ v a r ɛ s
მთვარით	m tʰ v a r i tʰ
მთვარის	m tʰ v a r i s
მთვრალი	m tʰ v r a l i
მთიანი	m tʰ i a n i
მთით	m tʰ i tʰ
მთის	m tʰ i s
მთისწინეთი	m tʰ i s t͡sʼ i n ɛ tʰ i
მთიულეთი	m tʰ i u l ɛ tʰ i
მთიულური	m tʰ i u l u r i
მთლიანად	m tʰ l i a n a d
მთლიანი	m tʰ l i a n i
მთლიანობა	m tʰ l i a n ɔ b a
მთხვევა	m tʰ x v ɛ v a
მთხრობელი	m tʰ x r ɔ b ɛ l i
მიაგნებს	m i a ɡ n ɛ b s
მიამიტად	m i a m i tʼ a d
მიამიტი	m i a m i tʼ i
მიამიტობა	m i a m i tʼ ɔ b a
მიანმარი	m i a n m a r i
მიაყოლებს	m i a qʼ ɔ l ɛ b s
მიაყოლეთ	m i a qʼ ɔ l ɛ tʰ
მიახლოებით	m i a x l ɔ ɛ b i tʰ
მიახლოებითი	m i a x l ɔ ɛ b i tʰ i
მიბაძვითი	m i b a d͡z v i tʰ i
მიგნება	m i ɡ n ɛ b a
მიდია	m i d i a
მიდიოდა	m i d i ɔ d a
მიდის	m i d i s
მიდრეკილება	m i d r ɛ kʼ i l ɛ b a
მიერ	m i ɛ r
მიესალმება	m i ɛ s a l m ɛ b a
მიესალმები	m i ɛ s a l m ɛ b i
მიექანება	m i ɛ kʰ a n ɛ b a
მიექანებოდნენ	m i ɛ kʰ a n ɛ b ɔ d n ɛ n
მიეყრდნობა	m i ɛ qʼ r d n ɔ b a
მიეყრდნობით	m i ɛ qʼ r d n ɔ b i tʰ
მივდივარ	m i v d i v a r
მივდივართ	m i v d i v a r tʰ
მივდიოდი	m i v d i ɔ d i
მიველ	m i v ɛ l
მიზანდასახულად	m i z a n d a s a x u l a d
მიზანთროპია	m i z a n tʰ r ɔ pʼ i a
მიზანი	m i z a n i
მიზანსცენა	m i z a n s t͡s ɛ n a
მიზანშეწონილად	m i z a n ʃ ɛ t͡sʼ ɔ n i l a d
მიზეზი	m i z ɛ z i
მიზიდულობა	m i z i d u l ɔ b a
მითამ	m i tʰ a m
მითი	m i tʰ i
მითითება	m i tʰ i tʰ ɛ b a
მითითებამ	m i tʰ i tʰ ɛ b a m
მითითებას	m i tʰ i tʰ ɛ b a s
მითითებით	m i tʰ i tʰ ɛ b i tʰ
მითითების	m i tʰ i tʰ ɛ b i s
მითითებული	m i tʰ i tʰ ɛ b u l i
მითოლოგი	m i tʰ ɔ l ɔ ɡ i
მითოლოგია	m i tʰ ɔ l ɔ ɡ i a
მითოლოგიური	m i tʰ ɔ l ɔ ɡ i u r i
მითუმეტეს	m i tʰ u m ɛ tʼ ɛ s
მიიღებს	m i i ɣ ɛ b s
მიიღონ	m i i ɣ ɔ n
მიკიტანი	m i kʼ i tʼ a n i
მიკოლოგია	m i kʼ ɔ l ɔ ɡ i a
მიკრობი	m i kʼ r ɔ b i
მიკრობიოლოგია	m i kʼ r ɔ b i ɔ l ɔ ɡ i a
მიკრომეტრი	m i kʼ r ɔ m ɛ tʼ r i
მიკრონი	m i kʼ r ɔ n i
მიკროსკოპი	m i kʼ r ɔ s kʼ ɔ pʼ i
მიკროსკოპია	m i kʼ r ɔ s kʼ ɔ pʼ i a
მიკროსკოპულად	m i kʼ r ɔ s kʼ ɔ pʼ u l a d
მიკროსკოპული	m i kʼ r ɔ s kʼ ɔ pʼ u l i
მიკროტალღა	m i kʼ r ɔ tʼ a l ɣ a
მიკროფონი	m i kʼ r ɔ pʰ ɔ n i
მილაკი	m i l a kʼ i
მილანი	m i l a n i
მილედი	m i l ɛ d i
მილიგრამი	m i l i ɡ r a m i
მილიონერი	m i l i ɔ n ɛ r i
მილიონი	m i l i ɔ n i
მილიტარიზმი	m i l i tʼ a r i z m i
მილიტარისტი	m i l i tʼ a r i s tʼ i
მილიცია	m i l i t͡s i a
მილორდი	m i l ɔ r d i
მილსადენი	m i l s a d ɛ n i
მიმართ	m i m a r tʰ
მიმართულება	m i m a r tʰ u l ɛ b a
მიმატება	m i m a tʼ ɛ b a
მიმბაძველად	m i m b a d͡z v ɛ l a d
მიმდევარი	m i m d ɛ v a r i
მიმდინარე	m i m d i n a r ɛ
მიმერი	m i m ɛ r i
მიმზიდველად	m i m z i d v ɛ l a d
მიმზიდველი	m i m z i d v ɛ l i
მიმზიდველობა	m i m z i d v ɛ l ɔ b a
მიმი	m i m i
მიმინო	m i m i n ɔ
მიმოზა	m i m ɔ z a
მიმოხილვა	m i m ɔ x i l v a
მიმოხილვით	m i m ɔ x i l v i tʰ
მიმოხილვითი	m i m ɔ x i l v i tʰ i
მიმღეობა	m i m ɣ ɛ ɔ b a
მიმხრობა	m i m x r ɔ b a
მინა	m i n a
მინანქარი	m i n a n kʰ a r i
მინაშვილი	m i n a ʃ v i l i
მინახავს	m i n a x a v s
მინდა	m i n d a
მინდვრად	m i n d v r a d
მინდია	m i n d i a
მინდორი	m i n d ɔ r i
მინერალი	m i n ɛ r a l i
მინერალოგი	m i n ɛ r a l ɔ ɡ i
მინერალოგია	m i n ɛ r a l ɔ ɡ i a
მინერალური	m i n ɛ r a l u r i
მინეტი	m i n ɛ tʼ i
მინიატურა	m i n i a tʼ u r a
მინიატურისტი	m i n i a tʼ u r i s tʼ i
მინიმალურად	m i n i m a l u r a d
მინიმალური	m i n i m a l u r i
მინიმუმი	m i n i m u m i
მინისებრი	m i n i s ɛ b r i
მინისტრი	m i n i s tʼ r i
მინისტრულად	m i n i s tʼ r u l a d
მინისტრული	m i n i s tʼ r u l i
მინიშნება	m i n i ʃ n ɛ b a
მინორი	m i n ɔ r i
მინორული	m i n ɔ r u l i
მინოტავრი	m i n ɔ tʼ a v r i
მინსკი	m i n s kʼ i
მინუსი	m i n u s i
მირანდა	m i r a n d a
მირაჟი	m i r a ʒ i
მირეკა	m i r ɛ kʼ a
მირიადი	m i r i a d i
მირიამი	m i r i a m i
მირონმდინარე	m i r ɔ n m d i n a r ɛ
მირონცხება	m i r ɔ n t͡s x ɛ b a
მირტი	m i r tʼ i
მის	m i s
მისალმება	m i s a l m ɛ b a
მისანი	m i s a n i
მისატევებლად	m i s a tʼ ɛ v ɛ b l a d
მისაქციელი	m i s a kʰ t͡s i ɛ l i
მისაღებად	m i s a ɣ ɛ b a d
მისაწვდომობა	m i s a t͡sʼ v d ɔ m ɔ b a
მისვლა	m i s v l a
მისი	m i s i
მისია	m i s i a
მისიონერი	m i s i ɔ n ɛ r i
მისნობა	m i s n ɔ b a
მისტერია	m i s tʼ ɛ r i a
მისტიკა	m i s tʼ i kʼ a
მისტიფიკაცია	m i s tʼ i pʰ i kʼ a t͡s i a
მისტიციზმი	m i s tʼ i t͡s i z m i
მისცემს	m i s t͡s ɛ m s
მისცეს	m i s t͡s ɛ s
მიტევება	m i tʼ ɛ v ɛ b a
მიტკალი	m i tʼ kʼ a l i
მიტრა	m i tʼ r a
მიტროპოლიტი	m i tʼ r ɔ pʼ ɔ l i tʼ i
მიუახლოვდა	m i u a x l ɔ v d a
მიუახლოვდება	m i u a x l ɔ v d ɛ b a
მიუდგომლად	m i u d ɡ ɔ m l a d
მიუდგომლობა	m i u d ɡ ɔ m l ɔ b a
მიუნხენი	m i u n x ɛ n i
მიუტევებლად	m i u tʼ ɛ v ɛ b l a d
მიუღწევლად	m i u ɣ t͡sʼ ɛ v l a d
მიუხედავად	m i u x ɛ d a v a d
მიქსერი	m i kʰ s ɛ r i
მიქსტურა	m i kʰ s tʼ u r a
მიქცევა	m i kʰ t͡s ɛ v a
მიღება	m i ɣ ɛ b a
მიღებული	m i ɣ ɛ b u l i
მიღმა	m i ɣ m a
მიღწევა	m i ɣ t͡sʼ ɛ v a
მიღწევადი	m i ɣ t͡sʼ ɛ v a d i
მიყვარხარ	m i qʼ v a r x a r
მიყურებ	m i qʼ u r ɛ b
მიშა	m i ʃ a
მიშად	m i ʃ a d
მიშამ	m i ʃ a m
მიშას	m i ʃ a s
მიშელი	m i ʃ ɛ l i
მიშის	m i ʃ i s
მიშკოლცი	m i ʃ kʼ ɔ l t͡s i
მიჩიგანი	m i t͡ʃ i ɡ a n i
მიცემა	m i t͡s ɛ m a
მიცემითი	m i t͡s ɛ m i tʰ i
მიძღვნა	m i d͡z ɣ v n a
მიწა	m i t͡sʼ a
მიწათმოქმედი	m i t͡sʼ a tʰ m ɔ kʰ m ɛ d i
მიწათმოწყობა	m i t͡sʼ a tʰ m ɔ t͡sʼ qʼ ɔ b a
მიწაყრილი	m i t͡sʼ a qʼ r i l i
მიწერა	m i t͡sʼ ɛ r a
მიწერილობა	m i t͡sʼ ɛ r i l ɔ b a
მიწიერი	m i t͡sʼ i ɛ r i
მიწისმთხრელი	m i t͡sʼ i s m tʰ x r ɛ l i
მიწისქვეშა	m i t͡sʼ i s kʰ v ɛ ʃ a
მიწისძვრა	m i t͡sʼ i s d͡z v r a
მიწურული	m i t͡sʼ u r u l i
მიწყივ	m i t͡sʼ qʼ i v
მიხაკი	m i x a kʼ i
მიხარია	m i x a r i a
მიხედვა	m i x ɛ d v a
