Abae	a b a e̯
memorātis	m ɛ m ɔ r aː t ɪ s
memorātuī	m ɛ m ɔ r aː t u iː
memorātīs	m ɛ m ɔ r aː t iː s
memorātū	m ɛ m ɔ r aː t uː
memorāverimus	m ɛ m ɔ r aː w ɛ r iː m ʊ s
memorāverimus	m ɛ m ɔ r aː w ɛ r ɪ m ʊ s
memorāveris	m ɛ m ɔ r aː w ɛ r iː s
memorāveris	m ɛ m ɔ r aː w ɛ r ɪ s
memorāveritis	m ɛ m ɔ r aː w ɛ r iː t ɪ s
memorāveritis	m ɛ m ɔ r aː w ɛ r ɪ t ɪ s
memorī	m ɛ m ɔ r iː
mendāce	m ɛ n d aː k ɛ
mendāciola	m ɛ n d aː k i ɔ ɫ a
mendāciolī	m ɛ n d aː k i ɔ l iː
mendāciolīs	m ɛ n d aː k i ɔ l iː s
mendāciolō	m ɛ n d aː k i ɔ ɫ oː
mendāciolōrum	m ɛ n d aː k i ɔ ɫ oː r ũː
mendācior	m ɛ n d aː k i ɔ r
mendācissima	m ɛ n d aː k ɪ s s ɪ m a
mendācissima	m ɛ n d aː k ɪ s s ɪ m aː
mendācissimae	m ɛ n d aː k ɪ s s ɪ m a e̯
mendācissimam	m ɛ n d aː k ɪ s s ɪ m ãː
mendācissime	m ɛ n d aː k ɪ s s ɪ m ɛ
mendācissimum	m ɛ n d aː k ɪ s s ɪ m ũː
mendācissimus	m ɛ n d aː k ɪ s s ɪ m ʊ s
mendācissimārum	m ɛ n d aː k ɪ s s ɪ m aː r ũː
mendācissimās	m ɛ n d aː k ɪ s s ɪ m aː s
mendācissimī	m ɛ n d aː k ɪ s s ɪ m iː
mendācissimīs	m ɛ n d aː k ɪ s s ɪ m iː s
mendācissimō	m ɛ n d aː k ɪ s s ɪ m oː
mendācissimōrum	m ɛ n d aː k ɪ s s ɪ m oː r ũː
mendācissimōs	m ɛ n d aː k ɪ s s ɪ m oː s
mendācitāte	m ɛ n d aː k ɪ t aː t ɛ
mendācitātem	m ɛ n d aː k ɪ t aː t ẽː
mendācitātibus	m ɛ n d aː k ɪ t aː t ɪ b ʊ s
mendācitātis	m ɛ n d aː k ɪ t aː t ɪ s
mendācitātum	m ɛ n d aː k ɪ t aː t ũː
mendācitātēs	m ɛ n d aː k ɪ t aː t eː s
mendācitātī	m ɛ n d aː k ɪ t aː t iː
mendāciuncula	m ɛ n d aː k i ʊ ŋ k ʊ ɫ a
mendāciunculī	m ɛ n d aː k i ʊ ŋ k ʊ l iː
mendāciunculīs	m ɛ n d aː k i ʊ ŋ k ʊ l iː s
mendāciunculō	m ɛ n d aː k i ʊ ŋ k ʊ ɫ oː
mendāciunculōrum	m ɛ n d aː k i ʊ ŋ k ʊ ɫ oː r ũː
mendācius	m ɛ n d aː k i ʊ s
mendāciōra	m ɛ n d aː k i oː r a
mendāciōre	m ɛ n d aː k i oː r ɛ
mendāciōrem	m ɛ n d aː k i oː r ẽː
mendāciōribus	m ɛ n d aː k i oː r ɪ b ʊ s
mendāciōris	m ɛ n d aː k i oː r iː s
mendāciōris	m ɛ n d aː k i oː r ɪ s
mendāciōrum	m ɛ n d aː k i oː r ũː
mendāciōrēs	m ɛ n d aː k i oː r eː s
mendāciōrī	m ɛ n d aː k i oː r iː
mendācēs	m ɛ n d aː k eː s
mendī	m ɛ n d iː
mendīcantī	m ɛ n d iː k a n t iː
mendīcātis	m ɛ n d iː k aː t ɪ s
mendīcātīs	m ɛ n d iː k aː t iː s
mendīcāverimus	m ɛ n d iː k aː w ɛ r iː m ʊ s
mendīcāverimus	m ɛ n d iː k aː w ɛ r ɪ m ʊ s
mendīcāveris	m ɛ n d iː k aː w ɛ r iː s
mendīcāveris	m ɛ n d iː k aː w ɛ r ɪ s
mendīcāveritis	m ɛ n d iː k aː w ɛ r iː t ɪ s
mendīcāveritis	m ɛ n d iː k aː w ɛ r ɪ t ɪ s
menta	m ɛ n t a
mentastrī	m ɛ n t a s t r iː
mentiendō	m ɛ n t i ɛ n d oː
mentālis	m ɛ n t aː l ɪ s
mentālēs	m ɛ n t aː ɫ eː s
mentītor	m ɛ n t iː t ɔ r
mercantī	m ɛ r k a n t iː
mercāssim	m ɛ r k aː s s ĩː
mercāssimus	m ɛ r k aː s s iː m ʊ s
mercāssimus	m ɛ r k aː s s ɪ m ʊ s
mercāssint	m ɛ r k aː s s ɪ n t
mercāssis	m ɛ r k aː s s iː s
mercāssis	m ɛ r k aː s s ɪ s
mercāssit	m ɛ r k aː s s iː t
mercāssit	m ɛ r k aː s s ɪ t
mercāssitis	m ɛ r k aː s s iː t ɪ s
mercāssitis	m ɛ r k aː s s ɪ t ɪ s
mercāssō	m ɛ r k aː s s oː
mercātus	m ɛ r k aː t ʊ s
mercēnnārius	m ɛ r k eː n n aː r i ʊ s
mercēs	m ɛ r k eː s
mercō	m ɛ r k oː
mereor	m ɛ r e ɔ r
meretor	m ɛ r ɛ t ɔ r
merges	m ɛ r ɡ ɛ s
mergulus	m ɛ r ɡ ʊ ɫ ʊ s
mergēs	m ɛ r ɡ eː s
merisme	m ɛ r ɪ s m ɛ
meritissimō	m ɛ r ɪ t ɪ s s ɪ m oː
meritō	m ɛ r ɪ t oː
merum	m ɛ r ũː
merēbāminī	m ɛ r eː b aː m ɪ n iː
merī	m ɛ r iː
merīdiāna	m ɛ r iː d i aː n a
merīdiāna	m ɛ r iː d i aː n aː
merīdiāne	m ɛ r iː d i aː n ɛ
merīdiānās	m ɛ r iː d i aː n aː s
merīdiānī	m ɛ r iː d i aː n iː
merīdiānō	m ɛ r iː d i aː n oː
merīdiānōs	m ɛ r iː d i aː n oː s
merīdiōnāle	m ɛ r iː d i oː n aː ɫ ɛ
merīdiōnālēs	m ɛ r iː d i oː n aː ɫ eː s
merīdiōnālī	m ɛ r iː d i oː n aː l iː
merō	m ɛ r oː
mesophilicus	m ɛ s ɔ pʰ ɪ l ɪ k ʊ s
messāpus	m ɛ s s aː p ʊ s
messōrēs	m ɛ s s oː r eː s
metallireducēns	m ɛ t a l l ɪ r ɛ d ʊ k ẽː s
metallēscēns	m ɛ t a l l eː s k ẽː s
metam	m ɛ t ãː
metasyncriticus	m ɛ t a s y ŋ k r ɪ t ɪ k ʊ s
mete	m ɛ t ɛ
metendō	m ɛ t ɛ n d oː
meterem	m ɛ t ɛ r ẽː
meterēs	m ɛ t ɛ r eː s
metitur	m ɛ t ɪ t ʊ r
metode	m ɛ t ɔ d ɛ
metodus	m ɛ t ɔ d ʊ s
metodī	m ɛ t ɔ d iː
metodō	m ɛ t ɔ d oː
metrica	m ɛ t r ɪ k a
metrica	m ɛ t r ɪ k aː
metricī	m ɛ t r ɪ k iː
metricō	m ɛ t r ɪ k oː
metrēta	m ɛ t r eː t a
metrī	m ɛ t r iː
metēs	m ɛ t ɛ s
metī	m ɛ t iː
meum	m e ũː
meum	m ɛ u̯ m
meā	m e aː
meāculum	m e aː k ʊ ɫ ũː
meāmus	m e aː m ʊ s
meārum	m e aː r ũː
meās	m e aː s
meātis	m e aː t ɪ s
meātus	m e aː t ʊ s
meātīs	m e aː t iː s
meāverimus	m e aː w ɛ r iː m ʊ s
meāverimus	m e aː w ɛ r ɪ m ʊ s
meāveris	m e aː w ɛ r iː s
meāveris	m e aː w ɛ r ɪ s
meāveritis	m e aː w ɛ r iː t ɪ s
meāveritis	m e aː w ɛ r ɪ t ɪ s
meī	m e iː
meīmet	m e iː m ɛ t
meīs	m e iː s
meō	m e oː
meōrum	m e oː r ũː
meōs	m e oː s
michiganēnsis	m ɪ kʰ ɪ ɡ a n ẽː s ɪ s
michī̆	m ɪ kʰ iː
michī̆	m ɪ kʰ ɪ
migrante	m ɪ ɡ r a n t ɛ
migrantī	m ɪ ɡ r a n t iː
migrat	m ɪ ɡ r a t
migrātis	m ɪ ɡ r aː t ɪ s
migrātīs	m ɪ ɡ r aː t iː s
migrāverimus	m ɪ ɡ r aː w ɛ r iː m ʊ s
migrāverimus	m ɪ ɡ r aː w ɛ r ɪ m ʊ s
migrāveris	m ɪ ɡ r aː w ɛ r iː s
migrāveris	m ɪ ɡ r aː w ɛ r ɪ s
migrāveritis	m ɪ ɡ r aː w ɛ r iː t ɪ s
migrāveritis	m ɪ ɡ r aː w ɛ r ɪ t ɪ s
milium	m ɪ l i ũː
milvius	m ɪ ɫ w i ʊ s
mina	m ɪ n a
minae	m ɪ n a e̯
mindanaoēnsis	m ɪ n d a n a o ẽː s ɪ s
mindanēnsis	m ɪ n d a n ẽː s ɪ s
mindorēnsis	m ɪ n d ɔ r ẽː s ɪ s
minent	m ɪ n ɛ n t
minerālogia	m ɪ n ɛ r aː ɫ ɔ ɡ i a
minerālēs	m ɪ n ɛ r aː ɫ eː s
mingam	m ɪ ŋ ɡ ãː
mingant	m ɪ ŋ ɡ a n t
mingantur	m ɪ ŋ ɡ a n t ʊ r
mingar	m ɪ ŋ ɡ a r
mingat	m ɪ ŋ ɡ a t
minge	m ɪ ŋ ɡ ɛ
mingenda	m ɪ ŋ ɡ ɛ n d a
mingenda	m ɪ ŋ ɡ ɛ n d aː
mingendae	m ɪ ŋ ɡ ɛ n d a e̯
mingendam	m ɪ ŋ ɡ ɛ n d ãː
mingende	m ɪ ŋ ɡ ɛ n d ɛ
mingendum	m ɪ ŋ ɡ ɛ n d ũː
mingendārum	m ɪ ŋ ɡ ɛ n d aː r ũː
mingendās	m ɪ ŋ ɡ ɛ n d aː s
mingendī	m ɪ ŋ ɡ ɛ n d iː
mingendīs	m ɪ ŋ ɡ ɛ n d iː s
mingendō	m ɪ ŋ ɡ ɛ n d oː
mingendōrum	m ɪ ŋ ɡ ɛ n d oː r ũː
mingendōs	m ɪ ŋ ɡ ɛ n d oː s
mingent	m ɪ ŋ ɡ ɛ n t
mingente	m ɪ ŋ ɡ ɛ n t ɛ
mingentem	m ɪ ŋ ɡ ɛ n t ẽː
mingentia	m ɪ ŋ ɡ ɛ n t i a
mingentibus	m ɪ ŋ ɡ ɛ n t ɪ b ʊ s
mingentis	m ɪ ŋ ɡ ɛ n t iː s
mingentis	m ɪ ŋ ɡ ɛ n t ɪ s
mingentium	m ɪ ŋ ɡ ɛ n t i ũː
mingentur	m ɪ ŋ ɡ ɛ n t ʊ r
mingentēs	m ɪ ŋ ɡ ɛ n t eː s
mingentī	m ɪ ŋ ɡ ɛ n t iː
mingere	m ɪ ŋ ɡ ɛ r ɛ
mingerem	m ɪ ŋ ɡ ɛ r ẽː
mingerent	m ɪ ŋ ɡ ɛ r ɛ n t
mingerentur	m ɪ ŋ ɡ ɛ r ɛ n t ʊ r
mingerer	m ɪ ŋ ɡ ɛ r ɛ r
mingeret	m ɪ ŋ ɡ ɛ r ɛ t
mingeris	m ɪ ŋ ɡ eː r ɪ s
mingeris	m ɪ ŋ ɡ ɛ r ɪ s
mingerēminī	m ɪ ŋ ɡ ɛ r eː m ɪ n iː
mingerēmur	m ɪ ŋ ɡ ɛ r eː m ʊ r
mingerēmus	m ɪ ŋ ɡ ɛ r eː m ʊ s
mingerēre	m ɪ ŋ ɡ ɛ r eː r ɛ
mingerēris	m ɪ ŋ ɡ ɛ r eː r ɪ s
mingerēs	m ɪ ŋ ɡ ɛ r eː s
mingerētis	m ɪ ŋ ɡ ɛ r eː t ɪ s
mingerētur	m ɪ ŋ ɡ ɛ r eː t ʊ r
minget	m ɪ ŋ ɡ ɛ t
mingiminī	m ɪ ŋ ɡ ɪ m ɪ n iː
mingimur	m ɪ ŋ ɡ ɪ m ʊ r
mingimus	m ɪ ŋ ɡ ɪ m ʊ s
mingis	m ɪ ŋ ɡ ɪ s
mingit	m ɪ ŋ ɡ ɪ t
mingite	m ɪ ŋ ɡ ɪ t ɛ
mingitis	m ɪ ŋ ɡ ɪ t ɪ s
mingitor	m ɪ ŋ ɡ ɪ t ɔ r
mingitur	m ɪ ŋ ɡ ɪ t ʊ r
mingitō	m ɪ ŋ ɡ ɪ t oː
mingitōte	m ɪ ŋ ɡ ɪ t oː t ɛ
mingor	m ɪ ŋ ɡ ɔ r
mingunt	m ɪ ŋ ɡ ʊ n t
minguntor	m ɪ ŋ ɡ ʊ n t ɔ r
minguntur	m ɪ ŋ ɡ ʊ n t ʊ r
minguntō	m ɪ ŋ ɡ ʊ n t oː
mingāminī	m ɪ ŋ ɡ aː m ɪ n iː
mingāmur	m ɪ ŋ ɡ aː m ʊ r
mingāmus	m ɪ ŋ ɡ aː m ʊ s
mingāre	m ɪ ŋ ɡ aː r ɛ
mingāris	m ɪ ŋ ɡ aː r ɪ s
mingās	m ɪ ŋ ɡ aː s
mingātis	m ɪ ŋ ɡ aː t ɪ s
mingātur	m ɪ ŋ ɡ aː t ʊ r
mingēbam	m ɪ ŋ ɡ eː b ãː
mingēbant	m ɪ ŋ ɡ eː b a n t
mingēbantur	m ɪ ŋ ɡ eː b a n t ʊ r
mingēbar	m ɪ ŋ ɡ eː b a r
mingēbat	m ɪ ŋ ɡ eː b a t
mingēbāminī	m ɪ ŋ ɡ eː b aː m ɪ n iː
mingēbāmur	m ɪ ŋ ɡ eː b aː m ʊ r
mingēbāmus	m ɪ ŋ ɡ eː b aː m ʊ s
mingēbāre	m ɪ ŋ ɡ eː b aː r ɛ
mingēbāris	m ɪ ŋ ɡ eː b aː r ɪ s
mingēbās	m ɪ ŋ ɡ eː b aː s
mingēbātis	m ɪ ŋ ɡ eː b aː t ɪ s
mingēbātur	m ɪ ŋ ɡ eː b aː t ʊ r
mingēminī	m ɪ ŋ ɡ eː m ɪ n iː
mingēmur	m ɪ ŋ ɡ eː m ʊ r
mingēmus	m ɪ ŋ ɡ eː m ʊ s
mingēre	m ɪ ŋ ɡ eː r ɛ
mingēs	m ɪ ŋ ɡ eː s
mingētis	m ɪ ŋ ɡ eː t ɪ s
mingētur	m ɪ ŋ ɡ eː t ʊ r
mingī	m ɪ ŋ ɡ iː
minima	m ɪ n ɪ m a
minimum	m ɪ n ɪ m ũː
minimīs	m ɪ n ɪ m iː s
ministra	m ɪ n ɪ s t r a
ministra	m ɪ n ɪ s t r aː
ministrae	m ɪ n ɪ s t r a e̯
ministram	m ɪ n ɪ s t r ãː
ministrā	m ɪ n ɪ s t r a
ministrā	m ɪ n ɪ s t r aː
ministrābis	m ɪ n ɪ s t r aː b ɪ s
ministrābus	m ɪ n ɪ s t r aː b ʊ s
ministrārum	m ɪ n ɪ s t r aː r ũː
ministrās	m ɪ n ɪ s t r aː s
ministrātis	m ɪ n ɪ s t r aː t ɪ s
ministrātīs	m ɪ n ɪ s t r aː t iː s
ministrāverimus	m ɪ n ɪ s t r aː w ɛ r iː m ʊ s
ministrāverimus	m ɪ n ɪ s t r aː w ɛ r ɪ m ʊ s
ministrāveris	m ɪ n ɪ s t r aː w ɛ r iː s
ministrāveris	m ɪ n ɪ s t r aː w ɛ r ɪ s
ministrāveritis	m ɪ n ɪ s t r aː w ɛ r iː t ɪ s
ministrāveritis	m ɪ n ɪ s t r aː w ɛ r ɪ t ɪ s
ministrīs	m ɪ n ɪ s t r iː s
minor	m ɪ n ɔ r
minue	m ɪ n u ɛ
minuscule	m ɪ n ʊ s k ʊ ɫ ɛ
minuō	m ɪ n u oː
minācia	m ɪ n aː k i a
minātor	m ɪ n aː t ɔ r
minēs	m ɪ n eː s
minō	m ɪ n oː
minōre	m ɪ n oː r ɛ
minūta	m ɪ n uː t a
minūte	m ɪ n uː t ɛ
minūtiae	m ɪ n uː t i a e̯
minūtulus	m ɪ n uː t ʊ ɫ ʊ s
minūtī	m ɪ n uː t iː
mirandicus	m ɪ r a n d ɪ k ʊ s
miscella	m ɪ s k ɛ l l a
miscella	m ɪ s k ɛ l l aː
miscellae	m ɪ s k ɛ l l a e̯
miscellam	m ɪ s k ɛ l l ãː
miscelle	m ɪ s k ɛ l l ɛ
miscellum	m ɪ s k ɛ l l ũː
miscellānea	m ɪ s k ɛ l l aː n e a
miscellānea	m ɪ s k ɛ l l aː n e aː
miscellāneae	m ɪ s k ɛ l l aː n e a e̯
miscellāneam	m ɪ s k ɛ l l aː n e ãː
miscellānee	m ɪ s k ɛ l l aː n e ɛ
miscellāneum	m ɪ s k ɛ l l aː n e ũː
miscellāneārum	m ɪ s k ɛ l l aː n e aː r ũː
miscellāneās	m ɪ s k ɛ l l aː n e aː s
miscellāneī	m ɪ s k ɛ l l aː n e iː
miscellāneīs	m ɪ s k ɛ l l aː n e iː s
miscellāneō	m ɪ s k ɛ l l aː n e oː
miscellāneōrum	m ɪ s k ɛ l l aː n e oː r ũː
miscellāneōs	m ɪ s k ɛ l l aː n e oː s
miscellārum	m ɪ s k ɛ l l aː r ũː
miscellās	m ɪ s k ɛ l l aː s
miscellī	m ɪ s k ɛ l l iː
miscellīs	m ɪ s k ɛ l l iː s
miscellō	m ɪ s k ɛ l l oː
miscellōrum	m ɪ s k ɛ l l oː r ũː
miscellōs	m ɪ s k ɛ l l oː s
miscērier	m ɪ s k eː r i ɛ r
miseret	m ɪ s ɛ r ɛ t
miserārī	m ɪ s ɛ r aː r iː
miserātor	m ɪ s ɛ r aː t ɔ r
miserātōre	m ɪ s ɛ r aː t oː r ɛ
miserātōrem	m ɪ s ɛ r aː t oː r ẽː
miserātōribus	m ɪ s ɛ r aː t oː r ɪ b ʊ s
miserātōris	m ɪ s ɛ r aː t oː r ɪ s
miserātōrēs	m ɪ s ɛ r aː t oː r eː s
miserātōrī	m ɪ s ɛ r aː t oː r iː
miserēre	m ɪ s ɛ r eː r ɛ
miserō	m ɪ s ɛ r oː
missa	m ɪ s s a
missionālis	m ɪ s s i ɔ n aː l ɪ s
missionārius	m ɪ s s i ɔ n aː r i ʊ s
missum	m ɪ s s ũː
missus	m ɪ s s ʊ s
missī	m ɪ s s iː
missīs	m ɪ s s iː s
mistō	m ɪ s t oː
mistūram	m ɪ s t uː r ãː
mistūre	m ɪ s t uː r ɛ
mistūrās	m ɪ s t uː r aː s
mistūrō	m ɪ s t uː r oː
mitilō	m ɪ t ɪ ɫ oː
mixtūra	m ɪ k s t uː r a
mixtūra	m ɪ k s t uː r aː
mixtūrā	m ɪ k s t uː r a
mixtūrā	m ɪ k s t uː r aː
mixtūrās	m ɪ k s t uː r aː s
mixtūrō	m ɪ k s t uː r oː
mna	m n a
mnae	m n a e̯
mnam	m n ãː
mnārum	m n aː r ũː
mnās	m n aː s
mnīs	m n iː s
moderā	m ɔ d ɛ r aː
moderātrīcī	m ɔ d ɛ r aː t r iː k iː
modica	m ɔ d ɪ k a
modica	m ɔ d ɪ k aː
modicē	m ɔ d ɪ k ɛ
modicī	m ɔ d ɪ k iː
modificāre	m ɔ d ɪ f ɪ k aː r ɛ
modificātor	m ɔ d ɪ f ɪ k aː t ɔ r
modiālis	m ɔ d i aː l ɪ s
modāle	m ɔ d aː ɫ ɛ
moereō	m o e̯ r e oː
molischiānus	m ɔ l ɪ s kʰ i aː n ʊ s
molitor	m ɔ l ɪ t ɔ r
mollem	m ɔ l l ẽː
mollia	m ɔ l l i a
mollibus	m ɔ l l ɪ b ʊ s
mollium	m ɔ l l i ũː
mollusca	m ɔ l l ʊ s k a
mollusca	m ɔ l l ʊ s k aː
molluscā	m ɔ l l ʊ s k a
molluscā	m ɔ l l ʊ s k aː
mollēs	m ɔ l l eː s
mollī	m ɔ l l iː
moltus	m ɔ ɫ t ʊ s
moltāticus	m ɔ ɫ t aː t ɪ k ʊ s
moltō	m ɔ ɫ t oː
moltōne	m ɔ ɫ t oː n ɛ
moltōnem	m ɔ ɫ t oː n ẽː
moltōnibus	m ɔ ɫ t oː n ɪ b ʊ s
moltōnis	m ɔ ɫ t oː n ɪ s
moltōnum	m ɔ ɫ t oː n ũː
moltōnēs	m ɔ ɫ t oː n eː s
moltōnī	m ɔ ɫ t oː n iː
moluccānus	m ɔ ɫ ʊ k k aː n ʊ s
moluccēnsis	m ɔ ɫ ʊ k k ẽː s ɪ s
monastēriola	m ɔ n a s t eː r i ɔ ɫ a
monastēriolī	m ɔ n a s t eː r i ɔ l iː
monastēriolīs	m ɔ n a s t eː r i ɔ l iː s
monastēriolō	m ɔ n a s t eː r i ɔ ɫ oː
monastēriolōrum	m ɔ n a s t eː r i ɔ ɫ oː r ũː
mongolicus	m ɔ ŋ ɡ ɔ l ɪ k ʊ s
mongoliēnsis	m ɔ ŋ ɡ ɔ l i ẽː s ɪ s
monitus	m ɔ n ɪ t uː s
monitus	m ɔ n ɪ t ʊ s
monocrēpis	m ɔ n ɔ k r eː p ɪ s
monocyte	m ɔ n ɔ k y t ɛ
monocytī	m ɔ n ɔ k y t iː
monocōlus	m ɔ n ɔ k oː ɫ ʊ s
monoptōta	m ɔ n ɔ p t oː t a
monoīdī	m ɔ n o iː d iː
montania	m ɔ n t aː n i aː r ũː
montania	m ɔ n t aː n i aː s
montania	m ɔ n t aː n i iː s
montania	m ɔ n t aː n i ãː
montanēnsis	m ɔ n t a n ẽː s ɪ s
montereyēnsis	m ɔ n t ɛ r ɛ i̯ ẽː s ɪ s
montō	m ɔ n t oː
montōne	m ɔ n t oː n ɛ
montōnem	m ɔ n t oː n ẽː
montōnibus	m ɔ n t oː n ɪ b ʊ s
montōnis	m ɔ n t oː n ɪ s
montōnum	m ɔ n t oː n ũː
montōnēs	m ɔ n t oː n eː s
montōnī	m ɔ n t oː n iː
monuerimus	m ɔ n u ɛ r iː m ʊ s
monuerimus	m ɔ n u ɛ r ɪ m ʊ s
monueris	m ɔ n u ɛ r iː s
monueris	m ɔ n u ɛ r ɪ s
monueritis	m ɔ n u ɛ r iː t ɪ s
monueritis	m ɔ n u ɛ r ɪ t ɪ s
monumentī	m ɔ n ʊ m ɛ n t iː
monēns	m ɔ n ẽː s
monērier	m ɔ n eː r i ɛ r
monēte	m ɔ n eː t ɛ
monētō	m ɔ n eː t oː
monōdica	m ɔ n oː d ɪ k a
monōdica	m ɔ n oː d ɪ k aː
monōdicus	m ɔ n oː d ɪ k ʊ s
monōdicī	m ɔ n oː d ɪ k iː
mora	m ɔ r a
morantor	m ɔ r a n t ɔ r
morantur	m ɔ r a n t ʊ r
mordex	m ɔ r d ɛ k s
mordāce	m ɔ r d aː k ɛ
mordācēs	m ɔ r d aː k eː s
mordēre	m ɔ r d eː r ɛ
morentur	m ɔ r ɛ n t ʊ r
morer	m ɔ r ɛ r
morere	m ɔ r ɛ r ɛ
morerentur	m ɔ r ɛ r ɛ n t ʊ r
morerer	m ɔ r ɛ r ɛ r
moreris	m ɔ r ɛ r ɪ s
morerēminī	m ɔ r ɛ r eː m ɪ n iː
morerēmur	m ɔ r ɛ r eː m ʊ r
morerēre	m ɔ r ɛ r eː r ɛ
morerēris	m ɔ r ɛ r eː r ɪ s
morerētur	m ɔ r ɛ r eː t ʊ r
moriantur	m ɔ r i a n t ʊ r
moriar	m ɔ r i a r
moriendum	m ɔ r i ɛ n d ũː
moriendī	m ɔ r i ɛ n d iː
moriendō	m ɔ r i ɛ n d oː
moriente	m ɔ r i ɛ n t ɛ
morientem	m ɔ r i ɛ n t ẽː
morientia	m ɔ r i ɛ n t i a
morientibus	m ɔ r i ɛ n t ɪ b ʊ s
morientis	m ɔ r i ɛ n t ɪ s
morientium	m ɔ r i ɛ n t i ũː
morientur	m ɔ r i ɛ n t ʊ r
morientēs	m ɔ r i ɛ n t eː s
morientī	m ɔ r i ɛ n t iː
morientīs	m ɔ r i ɛ n t iː s
moritūra	m ɔ r ɪ t uː r a
moritūrae	m ɔ r ɪ t uː r a e̯
moritūram	m ɔ r ɪ t uː r ãː
moritūre	m ɔ r ɪ t uː r ɛ
moritūrum	m ɔ r ɪ t uː r ũː
moritūrā	m ɔ r ɪ t uː r aː
moritūrārum	m ɔ r ɪ t uː r aː r ũː
moritūrās	m ɔ r ɪ t uː r aː s
moritūrī	m ɔ r ɪ t uː r iː
moritūrīs	m ɔ r ɪ t uː r iː s
moritūrō	m ɔ r ɪ t uː r oː
moritūrōrum	m ɔ r ɪ t uː r oː r ũː
moritūrōs	m ɔ r ɪ t uː r oː s
moriuntor	m ɔ r i ʊ n t ɔ r
moriuntur	m ɔ r i ʊ n t ʊ r
moriāminī	m ɔ r i aː m ɪ n iː
moriāmur	m ɔ r i aː m ʊ r
moriāre	m ɔ r i aː r ɛ
moriāris	m ɔ r i aː r ɪ s
moriātur	m ɔ r i aː t ʊ r
moriēbantur	m ɔ r i eː b a n t ʊ r
moriēbar	m ɔ r i eː b a r
moriēbāminī	m ɔ r i eː b aː m ɪ n iː
moriēbāmur	m ɔ r i eː b aː m ʊ r
moriēbāre	m ɔ r i eː b aː r ɛ
moriēbāris	m ɔ r i eː b aː r ɪ s
moriēbātur	m ɔ r i eː b aː t ʊ r
moriēminī	m ɔ r i eː m ɪ n iː
moriēmur	m ɔ r i eː m ʊ r
moriēre	m ɔ r i eː r ɛ
moriēris	m ɔ r i eː r ɪ s
moriētur	m ɔ r i eː t ʊ r
moror	m ɔ r ɔ r
morphīna	m ɔ r pʰ iː n a
morphīnum	m ɔ r pʰ iː n ũː
morsus	m ɔ r s ʊ s
mortifera	m ɔ r t ɪ f ɛ r a
mortifera	m ɔ r t ɪ f ɛ r aː
mortiferae	m ɔ r t ɪ f ɛ r a e̯
mortiferam	m ɔ r t ɪ f ɛ r ãː
mortifere	m ɔ r t ɪ f ɛ r ɛ
mortiferum	m ɔ r t ɪ f ɛ r ũː
mortiferārum	m ɔ r t ɪ f ɛ r aː r ũː
mortiferās	m ɔ r t ɪ f ɛ r aː s
mortiferī	m ɔ r t ɪ f ɛ r iː
mortiferīs	m ɔ r t ɪ f ɛ r iː s
mortiferō	m ɔ r t ɪ f ɛ r oː
mortiferōrum	m ɔ r t ɪ f ɛ r oː r ũː
mortiferōs	m ɔ r t ɪ f ɛ r oː s
mortis	m ɔ r t ɪ s
mortua	m ɔ r t u a
mortuae	m ɔ r t u a e̯
mortuam	m ɔ r t u ãː
mortue	m ɔ r t u ɛ
mortuum	m ɔ r t u ũː
mortuā	m ɔ r t u aː
mortuārum	m ɔ r t u aː r ũː
mortuās	m ɔ r t u aː s
mortuī	m ɔ r t u iː
mortuīs	m ɔ r t u iː s
mortuō	m ɔ r t u oː
mortuōrum	m ɔ r t u oː r ũː
mortuōs	m ɔ r t u oː s
mortuū	m ɔ r t u uː
mortāle	m ɔ r t aː ɫ ɛ
morābantur	m ɔ r aː b a n t ʊ r
morābar	m ɔ r aː b a r
morābere	m ɔ r aː b ɛ r ɛ
morāberis	m ɔ r aː b ɛ r ɪ s
morābiminī	m ɔ r aː b ɪ m ɪ n iː
morābimur	m ɔ r aː b ɪ m ʊ r
morābitur	m ɔ r aː b ɪ t ʊ r
morābor	m ɔ r aː b ɔ r
morābuntur	m ɔ r aː b ʊ n t ʊ r
morābāminī	m ɔ r aː b aː m ɪ n iː
morābāmur	m ɔ r aː b aː m ʊ r
morābāre	m ɔ r aː b aː r ɛ
morābāris	m ɔ r aː b aː r ɪ s
morābātur	m ɔ r aː b aː t ʊ r
morāminī	m ɔ r aː m ɪ n iː
morāmur	m ɔ r aː m ʊ r
morāre	m ɔ r aː r ɛ
morārentur	m ɔ r aː r ɛ n t ʊ r
morārer	m ɔ r aː r ɛ r
morārier	m ɔ r aː r i ɛ r
morāris	m ɔ r aː r ɪ s
morārēminī	m ɔ r aː r eː m ɪ n iː
morārēmur	m ɔ r aː r eː m ʊ r
morārēre	m ɔ r aː r eː r ɛ
morārēris	m ɔ r aː r eː r ɪ s
morārētur	m ɔ r aː r eː t ʊ r
morārī	m ɔ r aː r iː
morāta	m ɔ r aː t a
morātae	m ɔ r aː t a e̯
morātam	m ɔ r aː t ãː
morāte	m ɔ r aː t ɛ
morātor	m ɔ r aː t ɔ r
morātum	m ɔ r aː t ũː
morātur	m ɔ r aː t ʊ r
morātus	m ɔ r aː t ʊ s
