Ѓ	ɟ ə
копирање	k ɔ p i ɾ a ɲ ɛ
копита	k ɔ p i t a
копитар	k ɔ p i t a r
копитари	k ɔ p i t a ɾ i
копито	k ɔ p i t ɔ
копитце	k ɔ p i t t͡s ɛ
копија	k ɔ p i j a
копиљак	k ɔ p i ʎ a k
копка	k ɔ p k a
копкан	k ɔ p k a n
копкање	k ɔ p k a ɲ ɛ
копнат	k ɔ p n a t
копне	k ɔ p n ɛ
копнее	k ɔ p n ɛ ɛ
копнеење	k ɔ p n ɛ ɛ ɲ ɛ
копнеж	k ɔ p n ɛ ʃ
копнежи	k ɔ p n ɛ ʒ i
копнежлив	k ɔ p n ɛ ʒ l i f
копнежливо	k ɔ p n ɛ ʒ l i v ɔ
копнен	k ɔ p n ɛ n
копно	k ɔ p n ɔ
копнува	k ɔ p n u v a
копнуван	k ɔ p n u v a n
копнување	k ɔ p n u v a ɲ ɛ
коприва	k ɔ p r i v a
коприви	k ɔ p r i v i
коприна	k ɔ p r i n a
копродукција	k ɔ p r ɔ d u k t͡s i j a
копрофаг	k ɔ p r ɔ f a k
коптски	k ɔ p t s k i
копук	k ɔ p u k
копула	k ɔ p u ɫ a
копулација	k ɔ p u ɫ a t͡s i j a
копуци	k ɔ p u t͡s i
копци	k ɔ p t͡s i
копча	k ɔ p t͡ʃ a
копче	k ɔ p t͡ʃ ɛ
копченце	k ɔ p t͡ʃ ɛ n t͡s ɛ
копчиња	k ɔ p t͡ʃ i ɲ a
копјаник	k ɔ p j a n i k
копје	k ɔ p j ɛ
копјеносец	k ɔ p j ɛ n ɔ s ɛ t͡s
копјеносци	k ɔ p j ɛ n ɔ s t͡s i
копјенце	k ɔ p j ɛ n t͡s ɛ
кора	k ɔ ɾ a
кораб	k ɔ ɾ a p
корал	k ɔ r a ɫ
корал	k ɔ ɾ a ɫ
корален	k ɔ ɾ a l ɛ n
коралски	k ɔ ɾ a ɫ s k i
корвета	k ɔ r v ɛ t a
кордон	k ɔ r d ɔ n
корегира	k ɔ ɾ ɛ ɡ i ɾ a
корегиран	k ɔ ɾ ɛ ɡ i ɾ a n
корегирање	k ɔ ɾ ɛ ɡ i ɾ a ɲ ɛ
коректен	k ɔ r ɛ k t ɛ n
коректен	k ɔ ɾ ɛ k t ɛ n
корективен	k ɔ ɾ ɛ k t i v ɛ n
корективно	k ɔ ɾ ɛ k t i v n ɔ
коректно	k ɔ r ɛ k t n ɔ
коректно	k ɔ ɾ ɛ k t n ɔ
коректност	k ɔ r ɛ k t n ɔ s t
коректност	k ɔ ɾ ɛ k t n ɔ s t
коректор	k ɔ r ɛ k t ɔ r
коректура	k ɔ ɾ ɛ k t u ɾ a
корекција	k ɔ r ɛ k t͡s i j a
корелат	k ɔ ɾ ɛ ɫ a t
корелација	k ɔ ɾ ɛ ɫ a t͡s i j a
корелира	k ɔ ɾ ɛ l i ɾ a
корелирање	k ɔ ɾ ɛ l i ɾ a ɲ ɛ
корен	k ɔ ɾ ɛ n
коренест	k ɔ ɾ ɛ n ɛ s t
корени	k ɔ ɾ ɛ n i
коренит	k ɔ ɾ ɛ n i t
коренито	k ɔ r ɛ n i t ɔ
коренитост	k ɔ r ɛ n i t ɔ s t
корениште	k ɔ r ɛ n i ʃ t ɛ
коренов	k ɔ ɾ ɛ n ɔ f
коренски	k ɔ ɾ ɛ n s k i
коренува	k ɔ r ɛ n u v a
коренување	k ɔ ɾ ɛ n u v a ɲ ɛ
коренче	k ɔ ɾ ɛ n t͡ʃ ɛ
кореограф	k ɔ ɾ ɛ ɔ ɡ r a f
кореографија	k ɔ ɾ ɛ ɔ ɡ r a f i j a
кореографка	k ɔ ɾ ɛ ɔ ɡ r a f k a
кореографски	k ɔ ɾ ɛ ɔ ɡ r a f s k i
кореспондентен	k ɔ ɾ ɛ s p ɔ n d ɛ n t ɛ n
кореспонденција	k ɔ ɾ ɛ s p ɔ n d ɛ n t͡s i j a
кореферентен	k ɔ ɾ ɛ f ɛ r ɛ n t ɛ n
кореферентно	k ɔ ɾ ɛ f ɛ r ɛ n t n ɔ
корејски	k ɔ r ɛ j s k i
корејски	k ɔ ɾ ɛ j s k i
корења	k ɔ ɾ ɛ ɲ a
корење	k ɔ ɾ ɛ ɲ ɛ
корзо	k ɔ r z ɔ
кори	k ɔ ɾ i
коригира	k ɔ ɾ i ɡ i ɾ a
коригиран	k ɔ ɾ i ɡ i ɾ a n
коригирање	k ɔ ɾ i ɡ i ɾ a ɲ ɛ
кории	k ɔ ɾ i i
корисен	k ɔ ɾ i s ɛ n
корисник	k ɔ ɾ i s n i k
корисничка	k ɔ r i s n i t͡ʃ k a
кориснички	k ɔ r i s n i t͡ʃ k i
корисничко	k ɔ r i s n i t͡ʃ k ɔ
корисно	k ɔ ɾ i s n ɔ
корисност	k ɔ ɾ i s n ɔ s t
корист	k ɔ ɾ i s t
користен	k ɔ ɾ i s t ɛ n
користење	k ɔ r i s t ɛ ɲ ɛ
користи	k ɔ ɾ i s t i
користољубив	k ɔ ɾ i s t ɔ ʎ u b i f
користољубиво	k ɔ ɾ i s t ɔ ʎ u b i v ɔ
користољубивост	k ɔ ɾ i s t ɔ ʎ u b i v ɔ s t
користољубие	k ɔ ɾ i s t ɔ ʎ u b i j ɛ
корито	k ɔ ɾ i t ɔ
коритце	k ɔ ɾ i t t͡s ɛ
корица	k ɔ ɾ i t͡s a
корици	k ɔ ɾ i t͡s i
коричен	k ɔ ɾ i t͡ʃ ɛ n
коричење	k ɔ r i t͡ʃ ɛ ɲ ɛ
коричи	k ɔ ɾ i t͡ʃ i
коричка	k ɔ ɾ i t͡ʃ k a
корија	k ɔ ɾ i j a
коријандер	k ɔ ɾ i j a n d ɛ r
корка	k ɔ r k a
корки	k ɔ r k i
кормилар	k ɔ r m i ɫ a r
кормилари	k ɔ r m i ɫ a ɾ i
кормило	k ɔ r m i ɫ ɔ
корне	k ɔ r n ɛ
корнет	k ɔ r n ɛ t
корнење	k ɔ r n ɛ ɲ ɛ
корниз	k ɔ r n i s
корнизи	k ɔ r n i z i
корнишон	k ɔ r n i ʃ ɔ n
корнски	k ɔ r n s k i
коров	k ɔ ɾ ɔ f
корозивен	k ɔ ɾ ɔ z i v ɛ n
корозивно	k ɔ ɾ ɔ z i v n ɔ
корозија	k ɔ r ɔ z i j a
корона	k ɔ r ɔ n a
корона	k ɔ ɾ ɔ n a
коронавирус	k ɔ ɾ ɔ n a v i ɾ u s
короносан	k ɔ ɾ ɔ n ɔ s a n
коронски	k ɔ r ɔ n s k i
корпа	k ɔ r p a
корпи	k ɔ r p i
корпиче	k ɔ r p i t͡ʃ ɛ
корпичка	k ɔ r p i t͡ʃ k a
корпиште	k ɔ r p i ʃ t ɛ
корпоративен	k ɔ r p ɔ ɾ a t i v ɛ n
корпоративно	k ɔ r p ɔ ɾ a t i v n ɔ
корпорациски	k ɔ r p ɔ r a t͡s i s k i
корпорација	k ɔ r p ɔ r a t͡s i j a
корпус	k ɔ r p u s
корпуси	k ɔ r p u s i
корсет	k ɔ r s ɛ t
кортекс	k ɔ r t ɛ k s
корумпира	k ɔ ɾ u m p i ɾ a
корумпиран	k ɔ ɾ u m p i ɾ a n
корумпирано	k ɔ ɾ u m p i ɾ a n ɔ
корумпираност	k ɔ ɾ u m p i ɾ a n ɔ s t
корумпирање	k ɔ ɾ u m p i ɾ a ɲ ɛ
корупка	k ɔ ɾ u p k a
корупциски	k ɔ r u p t͡s i s k i
корупција	k ɔ r u p t͡s i j a
корчест	k ɔ r t͡ʃ ɛ s t
кос	k ɔ s
коса	k ɔ s a
косава	k ɔ s a v a
косана	k ɔ s a n a
косар	k ɔ s a r
косата	k ɔ s a t a
косач	k ɔ s a t͡ʃ
косачи	k ɔ s a t͡ʃ i
косачка	k ɔ s a t͡ʃ k a
косеканс	k ɔ s ɛ k a n s
косел	k ɔ s ɛ ɫ
косен	k ɔ s ɛ n
косено	k ɔ s ɛ n ɔ
косест	k ɔ s ɛ s t
косејќи	k ɔ s ɛ j c i
косење	k ɔ s ɛ ɲ ɛ
коси	k ɔ s i
косиве	k ɔ s i v ɛ
косидба	k ɔ s i d b a
косидби	k ɔ s i d b i
косилка	k ɔ s i ɫ k a
косина	k ɔ s i n a
косине	k ɔ s i n ɛ
косинус	k ɔ s i n u s
косите	k ɔ s i t ɛ
косиче	k ɔ s i t͡ʃ ɛ
косичка	k ɔ s i t͡ʃ k a
косиште	k ɔ s i ʃ t ɛ
коска	k ɔ s k a
коскен	k ɔ s k ɛ n
коскена	k ɔ s k ɛ n a
коскест	k ɔ s k ɛ s t
коски	k ɔ s k i
коскиште	k ɔ s k i ʃ t ɛ
косма	k ɔ s m a
космат	k ɔ s m a t
космест	k ɔ s m ɛ s t
космички	k ɔ s m i t͡ʃ k i
космогонија	k ɔ s m ɔ ɡ ɔ n i j a
космологија	k ɔ s m ɔ ɫ ɔ ɡ i j a
космолошки	k ɔ s m ɔ ɫ ɔ ʃ k i
космонаут	k ɔ s m ɔ n a u t
космонаутка	k ɔ s m ɔ n a u t k a
космополит	k ɔ s m ɔ p ɔ l i t
космополити	k ɔ s m ɔ p ɔ l i t i
космополитски	k ɔ s m ɔ p ɔ l i t s k i
космос	k ɔ s m ɔ s
косо	k ɔ s ɔ
косов	k ɔ s ɔ f
косовски	k ɔ s ɔ f s k i
косопад	k ɔ s ɔ p a t
костарикански	k ɔ s t a r i k a n s k i
костелив	k ɔ s t ɛ l i f
костен	k ɔ s t ɛ n
костени	k ɔ s t ɛ n i
костениште	k ɔ s t ɛ n i ʃ t ɛ
костенлив	k ɔ s t ɛ n l i f
костенов	k ɔ s t ɛ n ɔ f
костенче	k ɔ s t ɛ n t͡ʃ ɛ
костење	k ɔ s t ɛ ɲ ɛ
костим	k ɔ s t i m
костими	k ɔ s t i m i
костимограф	k ɔ s t i m ɔ ɡ r a f
костимографија	k ɔ s t i m ɔ ɡ r a f i j a
костимче	k ɔ s t i m t͡ʃ ɛ
костреш	k ɔ s t r ɛ ʃ
кострешење	k ɔ s t r ɛ ʃ ɛ ɲ ɛ
костум	k ɔ s t u m
костуми	k ɔ s t u m i
костур	k ɔ s t u r
костурест	k ɔ s t u ɾ ɛ s t
костури	k ɔ s t u ɾ i
костуриште	k ɔ s t u ɾ i ʃ t ɛ
костурница	k ɔ s t u r n i t͡s a
костурници	k ɔ s t u r n i t͡s i
костурски	k ɔ s t u r s k i
костурско	k ɔ s t u r s k ɔ
костурчанец	k ɔ s t u r t͡ʃ a n ɛ t͡s
костурчани	k ɔ s t u r t͡ʃ a n ɛ t͡s
костурчанка	k ɔ s t u r t͡ʃ a ŋ k a
костурчанки	k ɔ s t u r t͡ʃ a ŋ k i
костурчанче	k ɔ s t u r t͡ʃ a n t͡ʃ ɛ
кот	k ɔ t
котар	k ɔ t a r
котара	k ɔ t a ɾ a
котари	k ɔ t a ɾ i
котарка	k ɔ t a r k a
котарче	k ɔ t a r t͡ʃ ɛ
котација	k ɔ t a t͡s i j a
котва	k ɔ t v a
котви	k ɔ t v i
котел	k ɔ t ɛ ɫ
котење	k ɔ t ɛ ɲ ɛ
коти	k ɔ t i
котизација	k ɔ t i z a t͡s i j a
котиледон	k ɔ t i l ɛ d ɔ n
котира	k ɔ t i ɾ a
котирање	k ɔ t i ɾ a ɲ ɛ
котка	k ɔ t k a
котки	k ɔ t k i
котларски	k ɔ t ɫ a r s k i
котле	k ɔ t l ɛ
котлет	k ɔ t l ɛ t
котли	k ɔ t l i
котлина	k ɔ t l i n a
котлинка	k ɔ t l i ŋ k a
котлински	k ɔ t l i n s k i
котлиште	k ɔ t l i ʃ t ɛ
котлиња	k ɔ t l i ɲ a
котрр	k ɔ t r̩ː
кофа	k ɔ f a
кофеин	k ɔ f ɛ i n
кофеински	k ɔ f ɛ i n s k i
кофи	k ɔ f i
кофиче	k ɔ f i t͡ʃ ɛ
кофичка	k ɔ f i t͡ʃ k a
кофиште	k ɔ f i ʃ t ɛ
кохезивен	k ɔ x ɛ z i v ɛ n
кохезивно	k ɔ x ɛ z i v n ɔ
кохезија	k ɔ x ɛ z i j a
коцка	k ɔ t͡s k a
коцкар	k ɔ t͡s k a r
коцкарка	k ɔ t͡s k a r k a
коцкарница	k ɔ t͡s k a r n i t͡s a
коцкарски	k ɔ t͡s k a r s k i
коцкање	k ɔ t͡s k a ɲ ɛ
коцкест	k ɔ t͡s k ɛ s t
коцкиче	k ɔ t͡s k i t͡ʃ ɛ
коцкичка	k ɔ t͡s k i t͡ʃ k a
коч	k ɔ t͡ʃ
кочан	k ɔ t͡ʃ a n
кочанец	k ɔ t͡ʃ a n ɛ t͡s
кочани	k ɔ t͡ʃ a n i
кочанка	k ɔ t͡ʃ a ŋ k a
кочанки	k ɔ t͡ʃ a ŋ k i
кочански	k ɔ t͡ʃ a n s k i
кочанско	k ɔ t͡ʃ a n s k ɔ
кочанчанец	k ɔ t͡ʃ a n t͡ʃ a n ɛ t͡s
кочанчани	k ɔ t͡ʃ a n t͡ʃ a n i
кочанчанка	k ɔ t͡ʃ a n t͡ʃ a ŋ k a
кочанчанки	k ɔ t͡ʃ a n t͡ʃ a ŋ k i
кочанчанче	k ɔ t͡ʃ a n t͡ʃ a n t͡ʃ ɛ
кочанче	k ɔ t͡ʃ a n t͡ʃ ɛ
кочен	k ɔ t͡ʃ ɛ n
кочење	k ɔ t͡ʃ ɛ ɲ ɛ
кочи	k ɔ t͡ʃ i
кочии	k ɔ t͡ʃ i i
кочина	k ɔ t͡ʃ i n a
кочија	k ɔ t͡ʃ i j a
кочијаш	k ɔ t͡ʃ i j a ʃ
кочијашки	k ɔ t͡ʃ i j a ʃ k i
кочница	k ɔ t͡ʃ n i t͡s a
кош	k ɔ ʃ
кошарка	k ɔ ʃ a r k a
кошаркар	k ɔ ʃ a r k a r
кошаркарка	k ɔ ʃ a r k a r k a
кошаркарски	k ɔ ʃ a r k a r s k i
кошка	k ɔ ʃ k a
кошкан	k ɔ ʃ k a n
кошкање	k ɔ ʃ k a ɲ ɛ
кошмар	k ɔ ʃ m a r
кошмарен	k ɔ ʃ m a ɾ ɛ n
кошмарно	k ɔ ʃ m a r n ɔ
кошница	k ɔ ʃ n i t͡s a
кошници	k ɔ ʃ n i t͡s i
кошничар	k ɔ ʃ n i t͡ʃ a r
кошничарски	k ɔ ʃ n i t͡ʃ a r s k i
кошничка	k ɔ ʃ n i t͡ʃ k a
кошта	k ɔ ʃ t a
коштан	k ɔ ʃ t a n
коштани	k ɔ ʃ t a n i
коштање	k ɔ ʃ t a ɲ ɛ
кошула	k ɔ ʃ u ɫ a
кошули	k ɔ ʃ u l i
кошулка	k ɔ ʃ u ɫ k a
кошулче	k ɔ ʃ u ɫ t͡ʃ ɛ
кошута	k ɔ ʃ u t a
кој	k ɔ j
која	k ɔ j a
којзнае	k ɔ j z n a ɛ
којот	k ɔ j ɔ t
којшто	k ɔ j ʃ t ɔ
коњ	k ɔ ɲ
коња	k ɔ ɲ a
коњажа	k ɔ ɲ a ʒ a
коњак	k ɔ ɲ a k
коњаник	k ɔ ɲ a n i k
коњаница	k ɔ ɲ a n i t͡s a
коњаници	k ɔ ɲ a n i t͡s i
коњанички	k ɔ ɲ a n i t͡ʃ k i
коњарство	k ɔ ɲ a r s t v ɔ
коњаци	k ɔ ɲ a t͡s i
коњаче	k ɔ ɲ a t͡ʃ ɛ
коњи	k ɔ ɲ i
коњица	k ɔ ɲ i t͡s a
коњиште	k ɔ ɲ i ʃ t ɛ
коњопој	k ɔ ɲ ɔ p ɔ j
коњски	k ɔ ɲ s k i
коњу	k ɔ ɲ u
коњугација	k ɔ ɲ u ɡ a t͡s i j a
коњушар	k ɔ ɲ u ʃ a r
коњушарка	k ɔ ɲ u ʃ a r k a
коњушарски	k ɔ ɲ u ʃ a r s k i
коњушница	k ɔ ɲ u ʃ n i t͡s a
коњче	k ɔ ɲ t͡ʃ ɛ
коњчиња	k ɔ ɲ t͡ʃ i ɲ a
коџабашии	k ɔ d͡ʒ a b a ʃ i i
краба	k r a b a
крава	k r a v a
кравар	k r a v a r
краварка	k r a v a r k a
краварски	k r a v a r s k i
краварство	k r a v a r s t v ɔ
кравата	k r a v a t a
кравај	k r a v a j
кравајче	k r a v a j t͡ʃ ɛ
кравичка	k r a v i t͡ʃ k a
кравиште	k r a v i ʃ t ɛ
кравче	k r a f t͡ʃ ɛ
кравји	k r a v j i
крагна	k r a ɡ n a
крагни	k r a ɡ n i
крагња	k r a ɡ ɲ a
крадачка	k r a d a t͡ʃ k a
краде	k r a d ɛ
краден	k r a d ɛ n
крадец	k r a d ɛ t͡s
крадешкум	k r a d ɛ ʃ k u m
крадење	k r a d ɛ ɲ ɛ
крадлив	k r a d l i f
крадливец	k r a d l i v ɛ t͡s
крадливка	k r a d l i f k a
крадци	k r a t t͡s i
краеви	k r a ɛ v i
краен	k r a ɛ n
кражба	k r a ʒ b a
кражби	k r a ʒ b i
краина	k r a i n a
краишта	k r a i ʃ t a
краиште	k r a i ʃ t ɛ
крак	k r a k
крака	k r a k a
крал	k r a ɫ
кралеви	k r a l ɛ v i
кралица	k r a l i t͡s a
кралици	k r a l i t͡s i
краличин	k r a l i t͡ʃ i n
кралоубиство	k r a ɫ ɔ u b i s t v ɔ
кралој	k r a ɫ ɔ j
кралски	k r a ɫ s k i
кралства	k r a ɫ s t v a
кралство	k r a ɫ s t v ɔ
кралува	k r a ɫ u v a
кралување	k r a ɫ u v a ɲ ɛ
кралче	k r a ɫ t͡ʃ ɛ
кран	k r a n
крана	k r a n a
кранови	k r a n ɔ v i
кранче	k r a n t͡ʃ ɛ
кранчиња	k r a n t͡ʃ i ɲ a
крап	k r a p
красен	k r a s ɛ n
красење	k r a s ɛ ɲ ɛ
краси	k r a s i
красно	k r a s n ɔ
краснописец	k r a s n ɔ p i s ɛ t͡s
красноречивост	k r a s n ɔ r ɛ t͡ʃ i v ɔ s t
краста	k r a s t a
крастав	k r a s t a f
крастава	k r a s t a v a
крастави	k r a s t a v i
краставица	k r a s t a v i t͡s a
краставици	k r a s t a v i t͡s i
краставичка	k r a s t a v i t͡ʃ k a
краставо	k r a s t a v ɔ
крастајца	k r a s t a j t͡s a
крастајци	k r a s t a j t͡s i
крастајче	k r a s t a j t͡ʃ ɛ
крастајчиња	k r a s t a j t͡ʃ i ɲ a
кратен	k r a t ɛ n
кратенка	k r a t ɛ ŋ k a
кратер	k r a t ɛ r
кратерски	k r a t ɛ r s k i
кратење	k r a t ɛ ɲ ɛ
крати	k r a t i
кратка	k r a t k a
кратки	k r a t k i
кратко	k r a t k ɔ
кратковечност	k r a t k ɔ v ɛ t͡ʃ n ɔ s t
кратковид	k r a t k ɔ v i t
краткометражен	k r a t k ɔ m ɛ t r a ʒ ɛ n
краткорак	k r a t k ɔ ɾ a k
краткорочен	k r a t k ɔ r ɔ t͡ʃ ɛ n
краткорочен	k r a t k ɔ ɾ ɔ t͡ʃ ɛ n
краткорочно	k r a t k ɔ r ɔ t͡ʃ n ɔ
краткорочно	k r a t k ɔ ɾ ɔ t͡ʃ n ɔ
краткост	k r a t k ɔ s t
краткотраен	k r a t k ɔ t r a ɛ n
краткотрајно	k r a t k ɔ t r a j n ɔ
краткотрајност	k r a t k ɔ t r a j n ɔ s t
кратовец	k r a t ɔ v ɛ t͡s
кратовка	k r a t ɔ f k a
кратовски	k r a t ɔ f s k i
кратовско	k r a t ɔ f s k ɔ
кратовчанец	k r a t ɔ f t͡ʃ a n ɛ t͡s
кратовчанка	k r a t ɔ f t͡ʃ a ŋ k a
краток	k r a t ɔ k
краци	k r a t͡s i
крај	k r a j
крајбрежен	k r a j b r ɛ ʒ ɛ n
крајбрежја	k r a j b r ɛ ʒ j a
крајбрежје	k r a j b r ɛ ʒ j ɛ
крајграничен	k r a j ɡ r a n i t͡ʃ ɛ n
крајезерски	k r a j ɛ z ɛ r s k i
крајморски	k r a j m ɔ r s k i
крајник	k r a j n i k
крајници	k r a j n i t͡s i
крајно	k r a j n ɔ
крајност	k r a j n ɔ s t
крајолик	k r a j ɔ l i k
крајпатен	k r a j p a t ɛ n
крајречен	k r a j r ɛ t͡ʃ ɛ n
крају	k r a j u
крајче	k r a j t͡ʃ ɛ
крв	k r̩ f
крвав	k r̩ v a f
крвавица	k r̩ v a v i t͡s a
крваво	k r̩ v a v ɔ
крварење	k r̩ v a ɾ ɛ ɲ ɛ
крвари	k r̩ v a ɾ i
крвен	k r̩ v ɛ n
крвење	k r̩ v ɛ ɲ ɛ
крвиште	k r̩ v i ʃ t ɛ
крвна	k r̩ v n a
крвни	k r̩ v n i
крвник	k r̩ v n i k
крвнина	k r̩ v n i n a
крвници	k r̩ v n i t͡s i
крвнички	k r̩ v n i t͡ʃ k i
крвно	k r̩ v n ɔ
крводарител	k r̩ v ɔ d a ɾ i t ɛ ɫ
крводарители	k r̩ v ɔ d a r i t ɛ l i
крводарителка	k r̩ v ɔ d a r i t ɛ ɫ k a
крводарителски	k r̩ v ɔ d a r i t ɛ ɫ s k i
крводарителство	k r̩ v ɔ d a r i t ɛ ɫ s t v ɔ
крвожеден	k r̩ v ɔ ʒ ɛ d ɛ n
крвожедно	k r̩ v ɔ ʒ ɛ d n ɔ
крвожедност	k r̩ v ɔ ʒ ɛ d n ɔ s t
крволочен	k r̩ v ɔ ɫ ɔ t͡ʃ ɛ n
крволочно	k r̩ v ɔ ɫ ɔ t͡ʃ n ɔ
крволочност	k r̩ v ɔ ɫ ɔ t͡ʃ n ɔ s t
крвопиец	k r̩ v ɔ p i j ɛ t͡s
крвопијци	k r̩ v ɔ p i j t͡s i
крвоток	k r̩ v ɔ t ɔ k
крвоточен	k r̩ v ɔ t ɔ t͡ʃ ɛ n
крвој	k r̩ v ɔ j
крвца	k r̩ f t͡s a
крвче	k r̩ f t͡ʃ ɛ
крвја	k r̩ v j a
крвје	k r̩ v j ɛ
крдар	k r̩ d a r
крдо	k r̩ d ɔ
креативен	k r ɛ a t i v ɛ n
креативно	k r ɛ a t i v n ɔ
креативност	k r ɛ a t i v n ɔ s t
креатор	k r ɛ a t ɔ r
креатура	k r ɛ a t u ɾ a
креационизам	k r ɛ a t͡s i j ɔ n i z a m
креационист	k r ɛ a t͡s i j ɔ n i s t
креационистички	k r ɛ a t͡s i j ɔ n i s t i t͡ʃ k i
креационистка	k r ɛ a t͡s i j ɔ n i s t k a
креација	k r ɛ a t͡s i j a
крева	k r ɛ v a
креван	k r ɛ v a n
кревање	k r ɛ v a ɲ ɛ
кревет	k r ɛ v ɛ t
кревета	k r ɛ v ɛ t a
креветен	k r ɛ v ɛ t ɛ n
кревети	k r ɛ v ɛ t i
креветче	k r ɛ v ɛ t t͡ʃ ɛ
кревко	k r ɛ f k ɔ
кревкост	k r ɛ f k ɔ s t
кревок	k r ɛ v ɔ k
креда	k r ɛ d a
креден	k r ɛ d ɛ n
креденец	k r ɛ d ɛ n ɛ t͡s
креденци	k r ɛ d ɛ n t͡s i
креди	k r ɛ d i
кредибилитет	k r ɛ d i b i l i t ɛ t
кредит	k r ɛ d i t
кредитен	k r ɛ d i t ɛ n
кредитна	k r ɛ d i t n a
кредитоспособен	k r ɛ d i t ɔ s p ɔ s ɔ b ɛ n
кредиче	k r ɛ d i t͡ʃ ɛ
креира	k r ɛ i ɾ a
креиран	k r ɛ i ɾ a n
креирање	k r ɛ i ɾ a ɲ ɛ
крека	k r ɛ k a
крекање	k r ɛ k a ɲ ɛ
крекер	k r ɛ k ɛ r
крекне	k r ɛ k n ɛ
крекнува	k r ɛ k n u v a
крекнување	k r ɛ k n u v a ɲ ɛ
крем	k r ɛ m
крема	k r ɛ m a
кремав	k r ɛ m a f
кремаст	k r ɛ m a s t
крематориум	k r ɛ m a t ɔ ɾ i j u m
кремација	k r ɛ m a t͡s i j a
кремен	k r ɛ m ɛ n
кременадла	k r ɛ m ɛ n a d ɫ a
кременарка	k r ɛ m ɛ n a r k a
кременарки	k r ɛ m ɛ n a r k i
кременчучки	k r ɛ m ɛ n t͡ʃ u t͡ʃ k i
кремец	k r ɛ m ɛ t͡s
кремира	k r ɛ m i ɾ a
кремиран	k r ɛ m i ɾ a n
кремирање	k r ɛ m i ɾ a ɲ ɛ
кремка	k r ɛ m k a
кремови	k r ɛ m ɔ v i
кренат	k r ɛ n a t
крене	k r ɛ n ɛ
креолски	k r ɛ ɔ ɫ s k i
крепи	k r ɛ p i
крепка	k r ɛ p k a
крепки	k r ɛ p k i
крепко	k r ɛ p k ɔ
крепкост	k r ɛ p k ɔ s t
крепок	k r ɛ p ɔ k
крепосник	k r ɛ p ɔ s n i k
крепост	k r ɛ p ɔ s t
крескав	k r ɛ s k a f
крескаво	k r ɛ s k a v ɔ
кретен	k r ɛ t ɛ n
кретенизам	k r ɛ t ɛ n i z a m
кретениште	k r ɛ t ɛ n i ʃ t ɛ
кретенка	k r ɛ t ɛ ŋ k a
кретенски	k r ɛ t ɛ n s k i
кретенче	k r ɛ t ɛ n t͡ʃ ɛ
креч	k r ɛ t͡ʃ
кречеви	k r ɛ t͡ʃ ɛ v i
кречен	k r ɛ t͡ʃ ɛ n
кречетала	k r ɛ t͡ʃ ɛ t a ɫ a
кречење	k r ɛ t͡ʃ ɛ ɲ ɛ
кречи	k r ɛ t͡ʃ i
крешендо	k r ɛ ʃ ɛ n d ɔ
крзна	k r̩ z n a
крзнар	k r̩ z n a r
крзнарски	k r̩ z n a r s k i
крзнарство	k r̩ z n a r s t v ɔ
крзнен	k r̩ z n ɛ n
крзно	k r̩ z n ɔ
крив	k r i f
крива	k r i v a
кривен	k r i v ɛ n
кривец	k r i v ɛ t͡s
кривење	k r i v ɛ ɲ ɛ
криви	k r i v i
кривина	k r i v i n a
кривини	k r i v i n i
кривица	k r i v i t͡s a
кривичар	k r i v i t͡ʃ a r
кривичен	k r i v i t͡ʃ ɛ n
кривично	k r i v i t͡ʃ n ɔ
криво	k r i v ɔ
кривоверен	k r i v ɔ v ɛ ɾ ɛ n
кривоверец	k r i v ɔ v ɛ ɾ ɛ t͡s
кривоверно	k r i v ɔ v ɛ r n ɔ
кривоверство	k r i v ɔ v ɛ r s t v ɔ
кривоглед	k r i v ɔ ɡ l ɛ t
кривозаб	k r i v ɔ z a p
кривоклетник	k r i v ɔ k l ɛ t n i k
кривоклетство	k r i v ɔ k l ɛ t s t v ɔ
криволево	k r i v ɔ l ɛ v ɔ
криволов	k r i v ɔ ɫ ɔ f
криволовен	k r i v ɔ ɫ ɔ v ɛ n
криволовење	k r i v ɔ ɫ ɔ v ɛ ɲ ɛ
криволови	k r i v ɔ ɫ ɔ v i
кривоног	k r i v ɔ n ɔ k
кривопаланечки	k r i v ɔ p a ɫ a n ɛ t͡ʃ k i
кривопаланечко	k r i v ɔ p a ɫ a n ɛ t͡ʃ k ɔ
кривулка	k r i v u ɫ k a
кривци	k r i f t͡s i
кригла	k r i ɡ ɫ a
крие	k r i j ɛ
криен	k r i j ɛ n
криеница	k r i ɛ n i t͡s a
криенка	k r i j ɛ ŋ k a
криење	k r i j ɛ ɲ ɛ
криза	k r i z a
кризен	k r i z ɛ n
крик	k r i k
крикет	k r i k ɛ t
крикнат	k r i k n a t
крикне	k r i k n ɛ
крикнува	k r i k n u v a
крикнување	k r i k n u v a ɲ ɛ
крила	k r i ɫ a
крилат	k r i ɫ a t
крилата	k r i ɫ a t a
крилатен	k r i ɫ a t ɛ n
крилен	k r i l ɛ n
крилест	k r i l ɛ s t
крило	k r i ɫ ɔ
крилце	k r i ɫ t͡s ɛ
крилја	k r i ʎ a
криминал	k r i m i n a ɫ
криминален	k r i m i n a l ɛ n
криминалец	k r i m i n a l ɛ t͡s
криминализација	k r i m i n a l i z a t͡s i j a
криминализира	k r i m i n a l i z i ɾ a
криминализиран	k r i m i n a l i z i ɾ a n
