'ntós	n t o s
esperanto	e s p e ɾ a n t o
esperantu	e s p e ɾ a n t u
esperanza	e s p e ɾ a n θ a
esperar	e s p e ɾ a ɾ
esperas	e s p e ɾ a s
esperteyu	e s p e ɾ t e ʝ u
esperáu	e s p e ɾ a u̯
espeyismu	e s p e ʝ i s m u
espeyu	e s p e ʝ u
espiga	e s p i ɡ a
espiritual	e s p i ɾ i t w a l
esploráu	e s p l o ɾ a u̯
espolletar	e s p o ʎ e t a ɾ
esponxa	e s p o n ʃ a
esportáu	e s p o ɾ t a u̯
espresar	e s p ɾ e s a ɾ
espresáu	e s p ɾ e s a u̯
espuestu	e s p w e s t u
espíritu	e s p i ɾ i t u
esquierdu	e s k j e ɾ d u
esquisa	e s k i s a
esquí	e s k i
estabilizáu	e s t a b i l i θ a u̯
establecer	e s t a b l e θ e ɾ
estaciones	e s t a θ j o n e s
estación	e s t a θ j o n
estadios	e s t a d j o s
estadoxunidense	e s t a d o ʃ u n i d e n s e
estaferia	e s t a f e ɾ j a
estantín	e s t a n t i n
estar	e s t a ɾ
estatua	e s t a t w a
estatutu	e s t a t u t u
este	e s t e
esterilizáu	e s t e ɾ i l i θ a u̯
esternón	e s t e ɾ n o n
estilizáis	e s t i l i θ a i̯ s
estilizáu	e s t i l i θ a u̯
estimuláu	e s t i m u l a u̯
estimáu	e s t i m a u̯
estinguíu	e s t i n ɡ i u
estonces	e s t o n θ e s
estoncias	e s t o n θ j a s
estoncies	e s t o n θ j e s
Estonia	e s t o n j a
estordegar	e s t o ɾ d e ɡ a ɾ
estordigar	e s t o ɾ d i ɡ a ɾ
estrada	e s t ɾ a d a
estrella	e s t ɾ e ʎ a
estrellalbu	e s t ɾ e ʎ a l b u
estru	e s t ɾ u
estructura	e s t ɾ u k t u ɾ a
estructuráu	e s t ɾ u k t u ɾ a u̯
estruyonada	e s t ɾ u ʝ o n a d a
estudiante	e s t u d j a n t e
estudiar	e s t u d j a ɾ
estudio	e s t u d j o
estáu	e s t a u̯
esñalar	e s ɲ a l a ɾ
esḥueya	e s h w e ʝ a
etcetra	e t θ e t ɾ a
etimolóxicu	e t i m o l o ʃ i k u
etnocentrismu	e t n o θ e n t ɾ i s m u
etsar	e t͡s a ɾ
eufemismu	e u̯ f e m i s m u
eufemística	e u̯ f e m i s t i k a
eufemístico	e u̯ f e m i s t i k o
eufemísticu	e u̯ f e m i s t i k u
europeizáu	e u̯ ɾ o p e i̯ θ a u̯
eusquera	e u̯ s k e ɾ a
eusquérica	e u̯ s k e ɾ i k a
eusquérico	e u̯ s k e ɾ i k o
eusquéricos	e u̯ s k e ɾ i k o s
eusquéricu	e u̯ s k e ɾ i k u
eusquériques	e u̯ s k e ɾ i k e s
Eva	e b a
evadíu	e b a d i u
exautamente	e ʃ a u̯ t a m e n t e
exautu	e ʃ a u̯ t u
exemplos	e ʃ e m p l o s
exemplu	e ʃ e m p l u
exexética	e ʃ e ʃ e t i k a
exexético	e ʃ e ʃ e t i k o
exexéticos	e ʃ e ʃ e t i k o s
exexéticu	e ʃ e ʃ e t i k u
exexétiques	e ʃ e ʃ e t i k e s
Exiptu	e ʃ i p t u
existir	e s i s t i ɾ
exixir	e s i ʃ i ɾ
exércitu	e ʃ e ɾ θ i t u
exéxesis	e ʃ e ʃ e s i s
exéxeta	e ʃ e ʃ e t a
exéxetes	e ʃ e ʃ e t e s
eyaculación	e ʝ a k u l a θ j o n
eyaculáis	e ʝ a k u l a i̯ s
eyaculáu	e ʝ a k u l a u̯
fa	f a
fabricáu	f a b ɾ i k a u̯
facer	f a θ e ɾ
facilitas	f a θ i l i t a s
facilitáu	f a θ i l i t a u̯
factible	f a t i b l e
fada	f a d a
fader	f a d e ɾ
fae	f a e
faer	f a e ɾ
fai	f a i̯
faigo	f a i̯ ɡ o
fala	f a l a
faladeru	f a l a d e ɾ u
faladoriu	f a l a d o ɾ j u
falante	f a l a n t e
falar	f a l a ɾ
falatible	f a l a t i b l e
falda	f a l d a
fale	f a l e
fallu	f a ʎ u
Falo	f a l o
falsu	f a l s u
falucar	f a l u k a ɾ
faláu	f a l a u̯
familia	f a m i l j a
faneca	f a n e k a
fantasma	f a n t a s m a
fantasía	f a n t a s i a
faraón	f a ɾ a o n
farda	f a ɾ d a
farina	f a ɾ i n a
fariña	f a ɾ i ɲ a
fascismu	f a s θ i s m u
fase	f a s e
fases	f a s e s
fatu	f a t u
fayucu	f a ʝ u k u
fayuelu	f a ʝ w e l u
fazaña	f a θ a ɲ a
fañeca	f a ɲ e k a
febreru	f e b ɾ e ɾ u
fechu	f e t͡ʃ u
federación	f e d e ɾ a θ j o n
fedor	f e d o ɾ
felecha	f e l e t͡ʃ a
felechosu	f e l e t͡ʃ o s u
felechu	f e l e t͡ʃ u
feleitu	f e l e i̯ t u
feletsu	f e l e t͡s u
fema	f e m a
fenetible	f e n e t i b l e
fer	f e ɾ
ferida	f e ɾ i d a
ferradura	f e r a d u ɾ a
ferramienta	f e r a m j e n t a
ferrial	f e r j a l
ferruñu	f e r u ɲ u
fertilizáu	f e ɾ t i l i θ a u̯
ferver	f e ɾ b e ɾ
fieces	f j e θ e s
fierro	f j e r o
fierru	f j e r u
filandangu	f i l a n d a n ɡ u
filandón	f i l a n d o n
Filipines	f i l i p i n e s
filipín	f i l i p i n
filme	f i l m e
filosofía	f i l o s o f i a
fin	f i n
finamientu	f i n a m j e n t u
firida	f i ɾ i d a
firmeza	f i ɾ m e θ a
fixi	f i ʃ i
fixo	f i ʃ o
flauta	f l a u̯ t a
flecha	f l e t͡ʃ a
flechu	f l e t͡ʃ u
fletar	f l e t a ɾ
flete	f l e t e
flexón	f l e ʃ o n
flonda	f l o n d a
flor	f l o ɾ
flúor	f l u o ɾ
fo	f o
focicu	f o θ i k u
fola	f o l a
folechu	f o l e t͡ʃ u
folgar	f o l ɡ a ɾ
folguera	f o l ɡ e ɾ a
folla	f o ʎ a
follica	f o ʎ i k a
Fombona	f o m b o n a
Foncalada	f o n k a l a d a
fonolóxicu	f o n o l o ʃ i k u
fonte	f o n t e
forca	f o ɾ k a
forgaxu	f o ɾ ɡ a ʃ u
forma	f o ɾ m a
formientu	f o ɾ m j e n t u
formiga	f o ɾ m i ɡ a
formigues	f o ɾ m i ɡ e s
fornaxe	f o ɾ n a ʃ e
fornecer	f o ɾ n e θ e ɾ
fornir	f o ɾ n i ɾ
fornu	f o ɾ n u
forqueta	f o ɾ k e t a
fortifica	f o ɾ t i f i k a
fortificáu	f o ɾ t i f i k a u̯
fosilizáu	f o s i l i θ a u̯
fotografiabeis	f o t o ɡ ɾ a f j a b e i̯ s
fotográfica	f o t o ɡ ɾ a f i k a
fotográfico	f o t o ɡ ɾ a f i k o
fotográficos	f o t o ɡ ɾ a f i k o s
fotográficu	f o t o ɡ ɾ a f i k u
fou	f o u̯
foz	f o θ
fraisuelu	f ɾ a i̯ s w e l u
francesa	f ɾ a n θ e s a
franceses	f ɾ a n θ e s e s
francés	f ɾ a n θ e s
frayuelu	f ɾ a ʝ w e l u
frañer	f ɾ a ɲ e ɾ
freba	f ɾ e b a
frecuente	f ɾ e k w e n t e
freisuelu	f ɾ e i̯ s w e l u
freisuolu	f ɾ e i̯ s w o l u
freixuelu	f ɾ e i̯ ʃ w e l u
frente	f ɾ e n t e
frentes	f ɾ e n t e s
fresa	f ɾ e s a
frigu	f ɾ i ɡ u
frisuelu	f ɾ i s w e l u
fritir	f ɾ i t i ɾ
frixuelu	f ɾ i ʃ w e l u
friyu	f ɾ i ʝ u
frustra	f ɾ u s t ɾ a
frustrada	f ɾ u s t ɾ a d a
frustras	f ɾ u s t ɾ a s
frustráu	f ɾ u s t ɾ a u̯
fruta	f ɾ u t a
fráxil	f ɾ a ʃ i l
fuebu	f w e b u
fuegu	f w e ɡ u
fuelga	f w e l ɡ a
fuente	f w e n t e
fuercia	f w e ɾ θ j a
fueu	f w e u̯
fueya	f w e ʝ a
fueyes	f w e ʝ e s
fueyu	f w e ʝ u
fuga	f u ɡ a
fulechu	f u l e t͡ʃ u
fumar	f u m a ɾ
funcionando	f u n θ j o n a n d o
fundación	f u n d a θ j o n
fuogu	f w o ɡ u
fuonte	f w o n t e
fuou	f w o u̯
furabollos	f u ɾ a b o ʎ o s
furmiga	f u ɾ m i ɡ a
furnir	f u ɾ n i ɾ
furu	f u ɾ u
furón	f u ɾ o n
fusca	f u s k a
fute	f u t e
futura	f u t u ɾ a
futures	f u t u ɾ e s
futuro	f u t u ɾ o
futuros	f u t u ɾ o s
futuru	f u t u ɾ u
fuxir	f u ʃ i ɾ
fuína	f u i n a
fuñir	f u ɲ i ɾ
fuñu	f u ɲ u
fábrica	f a b ɾ i k a
fácil	f a θ i l
fégadu	f e ɡ a d u
fértil	f e ɾ t i l
física	f i s i k a
físico	f i s i k o
físicu	f i s i k u
fó	f o
gabis	ɡ a b i s
gadaña	ɡ a d a ɲ a
gadañu	ɡ a d a ɲ u
gaita	ɡ a i̯ t a
gaiteru	ɡ a i̯ t e ɾ u
galbana	ɡ a l b a n a
galería	ɡ a l e ɾ i a
Galicia	ɡ a l i θ j a
gallega	ɡ a ʎ e ɡ a
gallego	ɡ a ʎ e ɡ o
gallegos	ɡ a ʎ e ɡ o s
gallegu	ɡ a ʎ e ɡ u
gallegues	ɡ a ʎ e ɡ e s
gallina	ɡ a ʎ i n a
galán	ɡ a l a n
gama	ɡ a m a
gansu	ɡ a n s u
Gante	ɡ a n t e
ganáu	ɡ a n a u̯
garrar	ɡ a r a ɾ
gasolina	ɡ a s o l i n a
gatu	ɡ a t u
gavia	ɡ a b j a
gayasperu	ɡ a ʝ a s p e ɾ u
gayola	ɡ a ʝ o l a
gayoleru	ɡ a ʝ o l e ɾ u
gayu	ɡ a ʝ u
glorificáu	ɡ l o ɾ i f i k a u̯
gobernar	ɡ o b e ɾ n a ɾ
gobernáu	ɡ o b e ɾ n a u̯
gobiernos	ɡ o b j e ɾ n o s
goch	ɡ o t͡ʃ
gochapu	ɡ o t͡ʃ a p u
gochonzón	ɡ o t͡ʃ o n θ o n
gochu	ɡ o t͡ʃ u
gochín	ɡ o t͡ʃ i n
gochón	ɡ o t͡ʃ o n
golondra	ɡ o l o n d ɾ a
gordu	ɡ o ɾ d u
gorollu	ɡ o ɾ o ʎ u
gorón	ɡ o ɾ o n
Gozón	ɡ o θ o n
grande	ɡ ɾ a n d e
granible	ɡ ɾ a n i b l e
granizar	ɡ ɾ a n i θ a ɾ
granizu	ɡ ɾ a n i θ u
Grau	ɡ ɾ a u̯
gravitas	ɡ ɾ a b i t a s
gravitáu	ɡ ɾ a b i t a u̯
grifolín	ɡ ɾ i f o l i n
grifu	ɡ ɾ i f u
grúa	ɡ ɾ u a
gua	ɡ w a
guai	ɡ w a i̯
guaje	ɡ w a h e
guapamente	ɡ w a p a m e n t e
guapos	ɡ w a p o s
guapu	ɡ w a p u
guarnecer	ɡ w a ɾ n e θ e ɾ
Guatemala	ɡ w a t e m a l a
guaxa	ɡ w a ʃ a
guaḥe	ɡ w a h e
guedeyu	ɡ e d e ʝ u
guerra	ɡ e r a
gufanda	ɡ u f a n d a
guiar	ɡ i a ɾ
guirriu	ɡ i r j u
guisa	ɡ i s a
guitarra	ɡ i t a r a
guitarreros	ɡ i t a r e ɾ o s
guitarreru	ɡ i t a r e ɾ u
guiyu	ɡ i ʝ u
guión	ɡ i o n
guo	ɡ w o
gurrión	ɡ u r j o n
gurrumanxa	ɡ u r u m a n ʃ a
Guyana	ɡ u ʝ a n a
guá	ɡ w a
guía	ɡ i a
gástricu	ɡ a s t ɾ i k u
góndola	ɡ o n d o l a
güela	ɡ w e l a
güeles	ɡ w e l e s
güelga	ɡ w e l ɡ a
güelos	ɡ w e l o s
güelu	ɡ w e l u
güen	ɡ w e n
güenu	ɡ w e n u
güerta	ɡ w e ɾ t a
güestia	ɡ w e s t j a
güesu	ɡ w e s u
güevu	ɡ w e b u
güeyu	ɡ w e ʝ u
haber	a b e ɾ
hacha	a t͡ʃ a
hacia	a θ j a
Hades	a d e s
haiga	a i̯ ɡ a
Haití	a i̯ t i
harmonizáu	a ɾ m o n i θ a u̯
harpía	a ɾ p i a
hasta	a s t a
haza	a θ a
heba	e b a
helenismu	e l e n i s m u
helenizáu	e l e n i θ a u̯
heleno	e l e n o
helicópteros	e l i k o p t e ɾ o s
heliocentrismu	e l j o θ e n t ɾ i s m u
hemisferiu	e m i s f e ɾ j u
heredatible	e ɾ e d a t i b l e
hermana	e ɾ m a n a
hermanible	e ɾ m a n i b l e
hermaniblemente	e ɾ m a n i b l e m e n t e
hermanu	e ɾ m a n u
hermeneuta	e ɾ m e n e u̯ t a
hermeneutas	e ɾ m e n e u̯ t a s
hermenéutica	e ɾ m e n e u̯ t i k a
hermenéutico	e ɾ m e n e u̯ t i k o
hermenéuticos	e ɾ m e n e u̯ t i k o s
hermenéuticu	e ɾ m e n e u̯ t i k u
hermenéutiques	e ɾ m e n e u̯ t i k e s
heroína	e ɾ o i n a
hespital	e s p i t a l
hinduismu	i n d w i s m u
historia	i s t o ɾ j a
ho	o
hola	o l a
home	o m e
homenax	o m e n a ʃ
homenaxe	o m e n a ʃ e
homicidiu	o m i θ i d j u
horizonte	o ɾ i θ o n t e
hormona	o ɾ m o n a
horrible	o r i b l e
horriu	o r j u
horru	o r u
hospital	o s p i t a l
hotel	o t e l
hurriu	u r j u
héroe	e ɾ o e
héroes	e ɾ o e s
i	i
Ibias	i b j a s
ichar	i t͡ʃ a ɾ
ideal	i d e a l
identifica	i d e n t i f i k a
identificada	i d e n t i f i k a d a
identificar	i d e n t i f i k a ɾ
identificáu	i d e n t i f i k a u̯
idioma	i d j o m a
igualmente	i ɡ w a l m e n t e
ilesia	i l e s j a
Illas	i ʎ a s
ilustrar	i l u s t ɾ a ɾ
imaxe	i m a ʃ e
imaxen	i m a ʃ e n
imaxinariu	i m a ʃ i n a ɾ j u
imaxináu	i m a ʃ i n a u̯
imita	i m i t a
imitación	i m i t a θ j o n
imitada	i m i t a d a
imitando	i m i t a n d o
imitar	i m i t a ɾ
imitas	i m i t a s
imitáis	i m i t a i̯ s
imitáu	i m i t a u̯
imperialismu	i m p e ɾ j a l i s m u
imperialistes	i m p e ɾ j a l i s t e s
imperios	i m p e ɾ j o s
imperiu	i m p e ɾ j u
implicáu	i m p l i k a u̯
implícito	i m p l i θ i t o
importancia	i m p o ɾ t a n θ j a
importante	i m p o ɾ t a n t e
importáu	i m p o ɾ t a u̯
impresa	i m p ɾ e s a
impreses	i m p ɾ e s e s
impresos	i m p ɾ e s o s
impresu	i m p ɾ e s u
imprimida	i m p ɾ i m i d a
imprimíu	i m p ɾ i m i u
impuesta	i m p w e s t a
impuestes	i m p w e s t e s
impuesto	i m p w e s t o
impuestos	i m p w e s t o s
impuestu	i m p w e s t u
Inaciu	i n a θ j u
incestos	i n θ e s t o s
incestu	i n θ e s t u
incidíu	i n θ i d i u
incineráu	i n θ i n e ɾ a u̯
inclinada	i n k l i n a d a
inclináu	i n k l i n a u̯
incubáu	i n k u b a u̯
inda	i n d a
independencia	i n d e p e n d e n θ j a
India	i n d j a
india	i n d j a
indiana	i n d j a n a
indianu	i n d j a n u
indicible	i n d i θ i b l e
indicáu	i n d i k a u̯
indina	i n d i n a
Indonesia	i n d o n e s j a
inducir	i n d u θ i ɾ
industrializáu	i n d u s t ɾ j a l i θ a u̯
infiltrada	i n f i l t ɾ a d a
influyíu	i n f l u ʝ i u
información	i n f o ɾ m a θ j o n
Inglaterra	i n ɡ l a t e r a
inglés	i n ɡ l e s
inicialmente	i n i θ j a l m e n t e
inmigración	i m m i ɡ ɾ a θ j o n
inscritu	i n s k ɾ i t u
inseparable	i n s e p a ɾ a b l e
insistas	i n s i s t a s
insistida	i n s i s t i d a
insistíu	i n s i s t i u
institucionalizáu	i n s t i t u θ j o n a l i θ a u̯
institutos	i n s t i t u t o s
institutu	i n s t i t u t u
instrumentos	i n s t ɾ u m e n t o s
instrumentu	i n s t ɾ u m e n t u
instruyíu	i n s t ɾ u ʝ i u
insulina	i n s u l i n a
intautu	i n t a u̯ t u
integras	i n t e ɡ ɾ a s
integráu	i n t e ɡ ɾ a u̯
intelixencia	i n t e l i ʃ e n θ j a
internacional	i n t e ɾ n a θ j o n a l
internet	i n t e ɾ n e
interrogáu	i n t e r o ɡ a u̯
interrumpíu	i n t e r u m p i u
intervenida	i n t e ɾ b e n i d a
interveníu	i n t e ɾ b e n i u
intoncias	i n t o n θ j a s
intoncis	i n t o n θ i s
introducida	i n t ɾ o d u θ i d a
introducíu	i n t ɾ o d u θ i u
inundación	i n u n d a θ j o n
invadíu	i m b a d i u
invención	i m b e n θ j o n
inventáu	i m b e n t a u̯
invertíu	i m b e ɾ t i u
investigación	i m b e s t i ɡ a θ j o n
investigáu	i m b e s t i ɡ a u̯
invitar	i m b i t a ɾ
invitas	i m b i t a s
invitáu	i m b i t a u̯
inxenuu	i n ʃ e n u w
inxusto	i n ʃ u s t o
inútil	i n u t i l
irracional	i r a θ j o n a l
islamizáu	i s l a m i θ a u̯
Islandia	i s l a n d j a
islandés	i s l a n d e s
islla	i s ʎ a
Israel	i s r a e l
israelina	i s r a e l i n a
israelines	i s r a e l i n e s
israelino	i s r a e l i n o
israelinos	i s r a e l i n o s
israelita	i s r a e l i t a
israelites	i s r a e l i t e s
israelín	i s r a e l i n
istantín	i s t a n t i n
iverniegu	i b e ɾ n j e ɡ u
ivernizu	i b e ɾ n i θ u
ivernosu	i b e ɾ n o s u
ixuxú	i ʃ u ʃ u
izquierdu	i θ k j e ɾ d u
juerza	h w e ɾ θ a
Kosovo	k o s o b o
Lacio	l a θ j o
lante	l a n t e
lantre	l a n t ɾ e
larinxe	l a ɾ i n ʃ e
lenta	l e n t a
lentilla	l e n t i ʎ a
lento	l e n t o
leré	l e ɾ e
Leyo	l e ʝ o
lila	l i l a
litiu	l i t j u
llabiegu	ʎ a b j e ɡ u
llabiu	ʎ a b j u
llabor	ʎ a b o ɾ
llaboratorios	ʎ a b o ɾ a t o ɾ j o s
llaboratoriu	ʎ a b o ɾ a t o ɾ j u
llaboriegu	ʎ a b o ɾ j e ɡ u
llaboría	ʎ a b o ɾ i a
llabrar	ʎ a b ɾ a ɾ
llaceria	ʎ a θ e ɾ j a
llaceries	ʎ a θ e ɾ j e s
llaciente	ʎ a θ j e n t e
llacón	ʎ a k o n
lladrar	ʎ a d ɾ a ɾ
lladre	ʎ a d ɾ e
lladriellu	ʎ a d ɾ j e ʎ u
lladrón	ʎ a d ɾ o n
llagar	ʎ a ɡ a ɾ
llagos	ʎ a ɡ o s
llagu	ʎ a ɡ u
llaguna	ʎ a ɡ u n a
llambedor	ʎ a m b e d o ɾ
llambedura	ʎ a m b e d u ɾ a
llamber	ʎ a m b e ɾ
llambiatu	ʎ a m b j a t u
llambiayu	ʎ a m b j a ʝ u
llambionada	ʎ a m b j o n a d a
llambionar	ʎ a m b j o n a ɾ
llambionazu	ʎ a m b j o n a θ u
llambiotada	ʎ a m b j o t a d a
llambiotar	ʎ a m b j o t a ɾ
llambión	ʎ a m b j o n
llamuerga	ʎ a m w e ɾ ɡ a
llana	ʎ a n a
llande	ʎ a n d e
Llanera	ʎ a n e ɾ a
llanes	ʎ a n e s
Llanes	ʎ a n e s
Llangreo	ʎ a n ɡ ɾ e o
Llangréu	ʎ a n ɡ ɾ e u̯
llano	ʎ a n o
llanos	ʎ a n o s
llantáu	ʎ a n t a u̯
llanu	ʎ a n u
llapa	ʎ a p a
llar	ʎ a ɾ
Llara	ʎ a ɾ a
llargu	ʎ a ɾ ɡ u
llariegu	ʎ a ɾ j e ɡ u
llaudar	ʎ a u̯ d a ɾ
llavada	ʎ a b a d a
llavar	ʎ a b a ɾ
llave	ʎ a b e
Llaviana	ʎ a b j a n a
llaváu	ʎ a b a u̯
llaz	ʎ a θ
llebre	ʎ e b ɾ e
lleche	ʎ e t͡ʃ e
llechi	ʎ e t͡ʃ i
llechu	ʎ e t͡ʃ u
llector	ʎ e k t o ɾ
llectura	ʎ e k t u ɾ a
lleer	ʎ e e ɾ
llegada	ʎ e ɡ a d a
llegalizáu	ʎ e ɡ a l i θ a u̯
llegar	ʎ e ɡ a ɾ
llegua	ʎ e ɡ w a
llei	ʎ e i̯
lleiche	ʎ e i̯ t͡ʃ e
lleición	ʎ e i̯ θ j o n
lleite	ʎ e i̯ t e
lleitu	ʎ e i̯ t u
lleldu	ʎ e l d u
llena	ʎ e n a
llendadora	ʎ e n d a d o ɾ a
llende	ʎ e n d e
llengua	ʎ e n ɡ w a
llentu	ʎ e n t u
llenu	ʎ e n u
lleona	ʎ e o n a
llera	ʎ e ɾ a
llercia	ʎ e ɾ θ j a
llerza	ʎ e ɾ θ a
lletor	ʎ e t o ɾ
lletricidá	ʎ e t ɾ i θ i d a
lletráu	ʎ e t ɾ a u̯
lletu	ʎ e t u
lletura	ʎ e t u ɾ a
lleva	ʎ e b a
llevadura	ʎ e b a d u ɾ a
llevantar	ʎ e b a n t a ɾ
llevar	ʎ e b a ɾ
llexos	ʎ e ʃ o s
lleíble	ʎ e i b l e
lleíu	ʎ e i u
Lleón	ʎ e o n
lliberalismu	ʎ i b e ɾ a l i s m u
llibertá	ʎ i b e ɾ t a
lliberáu	ʎ i b e ɾ a u̯
llibramientu	ʎ i b ɾ a m j e n t u
llibre	ʎ i b ɾ e
llibru	ʎ i b ɾ u
lliciu	ʎ i θ j u
llieldu	ʎ j e l d u
llienda	ʎ j e n d a
llimitar	ʎ i m i t a ɾ
llimonal	ʎ i m o n a l
llimonales	ʎ i m o n a l e s
llimoneros	ʎ i m o n e ɾ o s
llimoneru	ʎ i m o n e ɾ u
llimosna	ʎ i m o s n a
llimosniegu	ʎ i m o s n j e ɡ u
llimpiar	ʎ i m p j a ɾ
llimón	ʎ i m o n
llingua	ʎ i n ɡ w a
llingüística	ʎ i n ɡ w i s t i k a
llinia	ʎ i n j a
llintel	ʎ i n t e l
llinterna	ʎ i n t e ɾ n a
lliteratura	ʎ i t e ɾ a t u ɾ a
llivianu	ʎ i b j a n u
Llión	ʎ i o n
lloar	ʎ o a ɾ
llobu	ʎ o b u
llocalizáu	ʎ o k a l i θ a u̯
llombu	ʎ o m b u
llonxe	ʎ o n ʃ e
lloramicar	ʎ o ɾ a m i k a ɾ
Llorián	ʎ o ɾ j a n
llover	ʎ o b e ɾ
lloviscar	ʎ o b i s k a ɾ
llubricáu	ʎ u b ɾ i k a u̯
llubrificáu	ʎ u b ɾ i f i k a u̯
llucha	ʎ u t͡ʃ a
llucháu	ʎ u t͡ʃ a u̯
Lludivina	ʎ u d i b i n a
lluecu	ʎ w e k u
lluegu	ʎ w e ɡ u
llueu	ʎ w e u̯
llugar	ʎ u ɡ a ɾ
Lluis	ʎ w i s
llume	ʎ u m e
lluna	ʎ u n a
Lluna	ʎ u n a
llunar	ʎ u n a ɾ
llunes	ʎ u n e s
Llurdes	ʎ u ɾ d e s
llutu	ʎ u t u
lluvia	ʎ u b j a
lluz	ʎ u θ
llábana	ʎ a b a n a
llácara	ʎ a k a ɾ a
llámpara	ʎ a m p a ɾ a
lláncanu	ʎ a n k a n u
llátigu	ʎ a t i ɡ u
locales	l o k a l e s
Macedonia	m a θ e d o n j a
machu	m a t͡ʃ u
macéu	m a θ e u̯
madera	m a d e ɾ a
madre	m a d ɾ e
madreña	m a d ɾ e ɲ a
Madrid	m a d ɾ i
madrina	m a d ɾ i n a
madrines	m a d ɾ i n e s
magar	m a ɡ a ɾ
magnesiu	m a ɡ n e s j u
magostada	m a ɡ o s t a d a
magostal	m a ɡ o s t a l
magostón	m a ɡ o s t o n
Mahoma	m a o m a
malaya	m a l a ʝ a
Malta	m a l t a
malvada	m a l b a d a
mamalón	m a m a l o n
mamú	m a m u
manancial	m a n a n θ j a l
mancar	m a n k a ɾ
mancha	m a n t͡ʃ a
mancu	m a n k u
mancuspiu	m a n k u s p j u
mandarinal	m a n d a ɾ i n a l
mandrecha	m a n d ɾ e t͡ʃ a
mangu	m a n ɡ u
maniar	m a n j a ɾ
manipuláu	m a n i p u l a u̯
manizu	m a n i θ u
mano	m a n o
mantega	m a n t e ɡ a
mantenida	m a n t e n i d a
manteníu	m a n t e n i u
manxar	m a n ʃ a ɾ
manzorga	m a n θ o ɾ ɡ a
mar	m a ɾ
maraviyosu	m a ɾ a b i ʝ o s u
marañuela	m a ɾ a ɲ w e l a
marciar	m a ɾ θ j a ɾ
marea	m a ɾ e a
mariar	m a ɾ j a ɾ
marmellal	m a ɾ m e ʎ a l
marmiellu	m a ɾ m j e ʎ u
Marruecos	m a r w e k o s
marrón	m a r o n
Marte	m a ɾ t e
martes	m a ɾ t e s
martiellu	m a ɾ t j e ʎ u
marxe	m a ɾ ʃ e
marxismu	m a ɾ ʃ i s m u
marxistes	m a ɾ ʃ i s t e s
marzu	m a ɾ θ u
María	m a ɾ i a
marín	m a ɾ i n
masturba	m a s t u ɾ b a
masturbación	m a s t u ɾ b a θ j o n
masturbada	m a s t u ɾ b a d a
masturbando	m a s t u ɾ b a n d o
masturbar	m a s t u ɾ b a ɾ
masturbas	m a s t u ɾ b a s
masturbáis	m a s t u ɾ b a i̯ s
masturbáu	m a s t u ɾ b a u̯
matances	m a t a n θ e s
matanza	m a t a n θ a
matar	m a t a ɾ
Matéu	m a t e u̯
mayador	m a ʝ a d o ɾ
mayor	m a ʝ o ɾ
mayúscula	m a ʝ u s k u l a
mazanal	m a θ a n a l
mazcar	m a θ k a ɾ
maña	m a ɲ a
mañana	m a ɲ a n a
mañanes	m a ɲ a n e s
meca	m e k a
mecanismu	m e k a n i s m u
mecanizáu	m e k a n i θ a u̯
mecer	m e θ e ɾ
medayista	m e d a ʝ i s t a
melecina	m e l e θ i n a
Melia	m e l j a
Melina	m e l i n a
memoria	m e m o ɾ j a
mena	m e n a
menos	m e n o s
mensaxe	m e n s a ʃ e
mensaxeru	m e n s a ʃ e ɾ u
mental	m e n t a l
mentales	m e n t a l e s
mente	m e n t e
mentíu	m e n t i u
mercancía	m e ɾ k a n θ i a
Mercuriu	m e ɾ k u ɾ j u
mercáu	m e ɾ k a u̯
merendar	m e ɾ e n d a ɾ
merenducar	m e ɾ e n d u k a ɾ
merienda	m e ɾ j e n d a
meriendu	m e ɾ j e n d u
meru	m e ɾ u
merucu	m e ɾ u k u
meruéndanu	m e ɾ w e n d a n u
mesa	m e s a
metafonía	m e t a f o n i a
metralla	m e t ɾ a ʎ a
metódico	m e t o d i k o
mexaderu	m e ʃ a d e ɾ u
mexana	m e ʃ a n a
mexicanos	m e ʃ i k a n o s
mexicanu	m e ʃ i k a n u
mexucar	m e ʃ u k a ɾ
mexábamos	m e ʃ a b a m o s
meyor	m e ʝ o ɾ
mezquita	m e θ k i t a
miagando	m j a ɡ a n d o
miagar	m j a ɡ a ɾ
miagonar	m j a ɡ o n a ɾ
michor	m i t͡ʃ o ɾ
miel	m j e l
mientres	m j e n t ɾ e s
miera	m j e ɾ a
mierda	m j e ɾ d a
mierdes	m j e ɾ d e s
Mieres	m j e ɾ e s
migaya	m i ɡ a ʝ a
mileniu	m i l e n j u
milenta	m i l e n t a
militar	m i l i t a ɾ
militarismu	m i l i t a ɾ i s m u
militaristes	m i l i t a ɾ i s t e s
militarizáu	m i l i t a ɾ i θ a u̯
millón	m i ʎ o n
Milín	m i l i n
min	m i n
minoría	m i n o ɾ i a
Miranda	m i ɾ a n d a
mirandesa	m i ɾ a n d e s a
mirandeses	m i ɾ a n d e s e s
mirandés	m i ɾ a n d e s
mirasol	m i ɾ a s o l
Miro	m i ɾ o
miruéndanu	m i ɾ w e n d a n u
mitoloxía	m i t o l o ʃ i a
mixitu	m i ʃ i t u
miyor	m i ʝ o ɾ
