ȁ	â
vozarina	ʋ o z ǎ r i n a
vozati	ʋ ǒː z a t i
vozilo	ʋ ǒ z i l o
voziti	ʋ ǒ z i t i
vožnja	ʋ ǒ ʒ ɲ a
vrabac	ʋ r ǎː b a t͡s
vrač	ʋ r âː t͡ʃ
vračara	ʋ r ǎ t͡ʃ a r a
vračati	ʋ r ǎː t͡ʃ a t i
vraćati	ʋ r â t͡ɕ a t i
vradžbina	ʋ r â d͡ʒ b i n a
vrag	ʋ r âː ɡ
vragolan	ʋ r a ɡ ǒ l aː n
vragolast	ʋ r a ɡ ǒ l a s t
vragolija	ʋ r a ɡ ǒ l i j a
vran	ʋ r âː n
vrana	ʋ r â n a
vranac	ʋ r ǎː n a t͡s
vranj	ʋ r âː ɲ
vrapčić	ʋ r ǎ p t͡ʃ i t͡ɕ
vrat	ʋ r âː t
vrata	ʋ r ǎː t a
vratar	ʋ r ǎ t aː r
vratarica	ʋ r a t ǎ r i t͡s a
vratarka	ʋ r ǎ t aː r k a
vratič	ʋ r ǎ t i t͡ʃ
vratilo	ʋ r ǎ t i l o
Vratišinec	ʋ r a t i ʃ ǐː n e t͡s
vratiti	ʋ r ǎː t i t i
vratiti	ʋ r ǎː i t i
vratiti	ʋ r ǎː i t i
vratni	ʋ r âː t n iː
vratnica	ʋ r â t n i t͡s a
vratoloman	ʋ r â t o l oː m a n
vratolomija	ʋ r a t o l ǒ m i j a
vražda	ʋ r ǎ ʒ d a
vražić	ʋ r ǎ ʒ i t͡ɕ
vražji	ʋ r ǎ ʒ j iː
vrbovina	ʋ ř b o ʋ i n a
vrčina	ʋ ř t͡ʃ i n a
vrći	ʋ r̂ t͡ɕ i
Vrdoljak	ʋ r̩ d ǒ ʎ aː k
vrebač	ʋ r ě b aː t͡ʃ
vrebati	ʋ r ěː b a t i
vreća	ʋ r ê t͡ɕ a
vrećast	ʋ r ê t͡ɕ a s t
vrećica	ʋ r ê t͡ɕ i t͡s a
vredan	ʋ r ěː d a n
vredeti	ʋ r ěː d e t i
vrednoća	ʋ r e d n ǒ t͡ɕ a
vrednost	ʋ r ěː d n oː s t
vrednovati	ʋ r ê d n o ʋ a t i
vređati	ʋ r ěː d͡ʑ a t i
vrelište	ʋ r ê l iː ʃ t e
vrelo	ʋ r ê l o
vreme	ʋ r ěː m e
vremenit	ʋ r e m ě n i t
vremenoslovlje	ʋ r ê m e n o s l oː ʋ ʎ e
vremenski	ʋ r ê m e n s k iː
vremenski	ʋ r ê m e n s k i
vremeplov	ʋ r ê m e p l oː ʋ
vremešan	ʋ r ê m eː ʃ a n
vrenje	ʋ r ěː ɲ e
vreo	ʋ r ê o
vres	ʋ r êː s
vretenar	ʋ r e t ě n aː r
vreteno	ʋ r e t ě n o
vreti	ʋ r ê t i
vretna	ʋ r ê t n a
vreva	ʋ r ê ʋ a
vreve	ʋ r e ʋ e
vrevenje	ʋ r e ʋ e ɲ e
vrevi	ʋ r e ʋ i
vrevim	ʋ r e ʋ i m
vreviv	ʋ r e ʋ i ʋ
vreža	ʋ r êː ʒ a
vrg	ʋ r̂ ɡ
vrganj	ʋ ř ɡ aː ɲ
vrhnje	ʋ r̂ x ɲ e
vrhovni	ʋ ř x oː ʋ n iː
vrhunac	ʋ r̩ x ǔː n a t͡s
vrijedan	ʋ r j ěː d a n
vrijediti	ʋ r j ěː d i t i
vrijediti	ʋ r j ěː i t i
vrijediti	ʋ r j ěː i t i
vrijednost	ʋ r j ěː d n oː s t
vrijeđati	ʋ r j ěː d͡ʑ a t i
vrijeme	ʋ r j ěː m e
vrijes	ʋ r i j êː s
vriježa	ʋ r j êː ʒ a
vrilo	ʋ r i l o
vrisak	ʋ r îː s a k
vriska	ʋ r î s k a
vriskati	ʋ r î s k a t i
vrisnuti	ʋ r ǐː s n u t i
vrištati	ʋ r ǐː ʃ t a t i
vrištav	ʋ r ǐ ʃ t a ʋ
vrlet	ʋ r̂ l eː t
vrletan	ʋ r̂ l eː t a n
vrli	ʋ r̂ l iː
vrlina	ʋ r l ǐ n a
vrlo	ʋ r̂ l o
vrludati	ʋ r l ǔ d a t i
vrludav	ʋ r l ǔ d a ʋ
vrlja	ʋ r̩ ʎ a
vrlja	ʋ r̩ ʎ aː
vrljaja	ʋ r̩ ʎ a j a
vrljajeći	ʋ r̩ ʎ a j e t͡ɕ i
vrljala	ʋ r̩ ʎ a l a
vrljam	ʋ r̩ ʎ a m
vrljanje	ʋ r̩ ʎ a ɲ e
vrljaše	ʋ r̩ ʎ a ʃ e
vrljašem	ʋ r̩ ʎ a ʃ e m
vrljašev	ʋ r̩ ʎ a ʃ e ʋ
vrljav	ʋ r̩ ʎ a ʋ
vrlješe	ʋ r̩ ʎ e ʃ e
vrlješem	ʋ r̩ ʎ e ʃ e m
vrlješev	ʋ r̩ ʎ e ʃ e ʋ
vrlji	ʋ r̩ ʎ i
vrlji	ʋ r̩ ʎ iː
vrljija	ʋ r̩ ʎ i j a
vrljila	ʋ r̩ ʎ i l a
vrljim	ʋ r̩ ʎ i m
vrljiv	ʋ r̩ ʎ i ʋ
vrpčast	ʋ r̂ p t͡ʃ a s t
vrpoljiti	ʋ r p ǒ ʎ i t i
Vrsaljko	ʋ r̩ s ǎː ʎ k o
Vrsarština	ʋ r̩ s ǎː r ʃ t i n a
vrsnoća	ʋ r s n ǒ t͡ɕ a
vrstan	ʋ r̂ s t a n
vrša	ʋ r̂ ʃ a
vršiti	ʋ řː ʃ i t i
vrteti	ʋ ř t e t i
vrtjeti	ʋ ř t j e t i
vrtlar	ʋ r̂ t l aː r
vrtlarev	ʋ r̂ t l aː r e ʋ
vrtlarstvo	ʋ r t l ǎː r s t ʋ o
vrtlog	ʋ ř t l o ɡ
vrtložan	ʋ ř t l o ʒ a n
vrtni	ʋ r̂ t n iː
vrtoglav	ʋ r̩ t ǒ ɡ l a ʋ
vrtoglavica	ʋ r̩ t ǒ ɡ l a ʋ i t͡s a
vrtoglavo	ʋ r t ǒ ɡ l a ʋ o
vrućina	ʋ r u t͡ɕ ǐ n a
vrutak	ʋ r ǔː t a k
vrzmati	ʋ r̂ z m a t i
vu	ʋ u
vučica	ʋ ǔ t͡ʃ i t͡s a
vučić	ʋ ǔ t͡ʃ i t͡ɕ
Vučić	ʋ ǔ t͡ʃ i t͡ɕ
vučiti	ʋ u t ʃ i t i
vučji	ʋ û t͡ʃ j iː
Vučković	ʋ û t͡ʃ k o ʋ i t͡ɕ
vući	ʋ ǔː t͡ɕ i
vuga	ʋ û ɡ a
vuga	ʋ ǔː ɡ a
Vujadin	ʋ u j a d i n
Vujić	ʋ ǔː j i t͡ɕ
Vujović	ʋ u j o ʋ i t͡ɕ
vuk	v ûː k
Vuk	ʋ ûː k
Vuka	ʋ ǔː k a
Vukac	ʋ ǔː k a t͡s
Vukan	ʋ ǔ k a n
Vukašin	ʋ u k ǎ ʃ i n
Vukčević	ʋ ǔ k t͡ʃ e ʋ i t͡ɕ
Vukmir	ʋ û k m iː r
vukodlak	ʋ u k ǒ d l a k
vukojebina	ʋ u k o j ě b i n a
Vukoslav	ʋ û k o s l a ʋ
Vukota	ʋ u k o t a
Vukovar	ʋ u k ǒ ʋ aː r
Vuković	ʋ u k o ʋ i t͡ɕ
Vukušić	ʋ ǔ k u ʃ i t͡ɕ
vulica	v uː l i t s a
vulicza	v uː l i t s a
vulkan	ʋ ǔ l k aː n
vulkanizacija	ʋ u l k a n i z ǎː t͡s i j a
vulkanski	ʋ ǔ l k aː n s k iː
vulkanski	ʋ ǔ l k aː n s k i
vuna	ʋ û n a
vunast	ʋ û n a s t
vunen	ʋ ǔ n e n
vuvuzela	ʋ u ʋ u z ě l a
z	z
za	z a
zabadati	z a b ǎː d a t i
zabaliti	z ǎ b a l i t i
zabavište	z ǎ b a ʋ iː ʃ t e
zabaviti	z ǎ b a ʋ i t i
zabavljač	z a b ǎ ʋ ʎ aː t͡ʃ
zabavljati	z ǎ b a ʋ ʎ a t i
zabeleška	z â b e l e ʃ k a
zabeležiti	z a b e l e ʒ i t i
zabetonirati	z a b e t o n ǐː r a t i
zabijati	z a b ǐː j a t i
zabilješka	z â b i ʎ e ʃ k a
zabilježiti	z a b ǐ ʎ e ʒ i t i
zabit	z â b iː t
zabiti	z ǎ b i t i
zablejati	z a b l ěː j a t i
zablešćivati	z a b l e ʃ t͡ɕ ǐː ʋ a t i
zableštiti	z a b l ěː ʃ t i t i
zabliještiti	z a b l j ěː ʃ t i t i
zablistati	z a b l ǐ s t a t i
zablokirati	z a b l o k ǐː r a t i
zabluda	z âː b l u d a
zablješćivati	z a b ʎ e ʃ t͡ɕ ǐː ʋ a t i
zaboga	z â b o ɡ a
zaboleti	z a b ǒ l e t i
zaboljeti	z a b ǒ ʎ e t i
zaborav	z â b o r aː ʋ
zaboravan	z â b o r aː ʋ a n
zaboraviti	z a b ǒ r a ʋ i t i
zaboravljati	z a b ǒ r a ʋ ʎ a t i
zaboravljiv	z a b o r ǎ ʋ ʎ i ʋ
zaboravno	z â b o r aː ʋ n o
zaboravnost	z a b o r ǎː ʋ n oː s t
zabosti	z a b ǒ s t i
zabrana	z âː b r a n a
zabraniti	z a b r ǎː n i t i
zabranjivati	z a b r a ɲ ǐː ʋ a t i
zabrinut	z ǎ b r i n uː t
zabrinuti	z ǎ b r i n u t i
zabrinuto	z ǎ b r i n uː t o
zabrinutost	z ǎ b r i n uː t oː s t
zabrljati	z a b řː ʎ a t i
zabrljaviti	z a b r ʎ ǎː ʋ i t i
zabrojiti	z a b r ǒ j i t i
zabrtviti	z ǎ b r t ʋ i t i
zabrtvljenost	z ǎ b r t ʋ ʎ e n oː s t
zabrtvljivati	z a b r t ʋ ʎ ǐː ʋ a t i
zabrujati	z a b r ǔː j a t i
zabrzati	z a b ř z a t i
zabrzavati	z a b r z ǎː ʋ a t i
zabubati	z a b ǔː b a t i
zabubavati	z a b u b ǎː ʋ a t i
zabubnjati	z a b ǔ b ɲ a t i
zabugariti	z a b u ɡ ǎː r i t i
zabugarivati	z a b u ɡ a r ǐː ʋ a t i
zabuljiti	z a b ǔː ʎ i t i
zabuna	z âː b u n a
zabundati	z ǎ b uː n d a t i
zabuniti	z a b ǔː n i t i
zabunkeriranost	z a b u n k ě r iː r a n oː s t
zabunkerirati	z a b u n k e r ǐː r a t i
zabunjivati	z a b u ɲ ǐː ʋ a t i
zabušant	z a b ǔ ʃ a n t
zabušantski	z a b ǔ ʃ a n t s k iː
zabušantski	z a b ǔ ʃ a n t s k i
zabušavati	z a b u ʃ ǎː ʋ a t i
zabušiti	z a b ǔː ʃ i t i
zabušivač	z a b u ʃ ǐ ʋ aː t͡ʃ
zabušivati	z a b u ʃ ǐː ʋ a t i
zacajhnati	z a t͡s ǎ j x n a t i
zacakliti	z a t͡s ǎ k l i t i
zacakljivati	z a t͡s a k ʎ ǐː ʋ a t i
zacariti	z ǎ t͡s a r i t i
zacarivati	z a t͡s a r ǐː ʋ a t i
zaceliti	z a t͡s ěː l i t i
zacelo	z â t͡s eː l o
zaceljivati	z a t͡s e ʎ ǐː ʋ a t i
zacementirati	z a t͡s e m e n t ǐː r a t i
zacenuti	z a t͡s ěː n u t i
zacenutost	z ǎ t͡s eː n u t oː s t
zacenjivati	z a t͡s e ɲ ǐː ʋ a t i
zacerekati	z a t͡s e r ě k a t i
zacičati	z a t͡s ǐ t͡ʃ a t i
zacijeliti	z a t͡s i j ěː l i t i
zacijelo	z â t͡s i j eː l o
zaciktati	z a t͡s ǐ k t a t i
zacjeljivati	z a t͡s j e ʎ ǐː ʋ a t i
zacrtati	z ǎ t͡s r̩ t a t i
zacrtavati	z a t͡s r̩ t ǎː ʋ a t i
zač	z a t ʃ
začahurenost	z a t͡ʃ ǎ x u r e n oː s t
začahuriti	z a t͡ʃ ǎ x u r i t i
začahurivati	z a t͡ʃ a x u r ǐː ʋ a t i
začaran	z ǎ t͡ʃ aː r aː n
začarano	z ǎ t͡ʃ aː r aː n o
začaranost	z ǎ t͡ʃ aː r aː n oː s t
začarati	z a t͡ʃ ǎː r a t i
začaravati	z a t͡ʃ a r ǎː ʋ a t i
začarivati	z a t͡ʃ a r ǐː ʋ a t i
začas	z ǎ t͡ʃ a s
začep	z ǎː t͡ʃ e p
začepljenje	z a t͡ʃ e p ʎ ěː ɲ e
začetak	z a t͡ʃ ěː t a k
začeti	z ǎ t͡ʃ eː t i
začetnik	z ǎː t͡ʃ e t n iː k
začin	z ǎː t͡ʃ i n
začiniti	z a t͡ʃ ǐ n i t i
začinjati	z ǎ t͡ʃ i ɲ a t i
začuditi	z ǎ t͡ʃ u d i t i
začudo	z ǎ t͡ʃ u d o
začuđivati	z a t͡ʃ u d͡ʑ ǐː ʋ a t i
zaći	z ǎː t͡ɕ i
zadaća	z ǎ d a t͡ɕ a
zadah	z â d aː x
zadak	z â d a k
Zadar	z â d a r
zadarski	z â d a r s k iː
zadatak	z a d ǎː t a k
zadati	z ǎ d a t i
zadavati	z a d ǎː ʋ a t i
zadaviti	z a d ǎː ʋ i t i
zadavljivati	z a d a ʋ ʎ ǐː ʋ a t i
zadesiti	z ǎ d e s i t i
zadešavati	z a d e ʃ ǎː ʋ a t i
zadimiti	z ǎ d i m i t i
zadirkivati	z a d i r k ǐː ʋ a t i
zadiviti	z a d ǐː ʋ i t i
zadivljavati	z a d i ʋ ʎ ǎː ʋ a t i
zadnji	z â d ɲ iː
zadnjica	z â d ɲ i t͡s a
zadovoljan	z â d o ʋ oː ʎ a n
zadovoljavajući	z a d o ʋ o ʎ ǎː ʋ a j uː t͡ɕ iː
zadovoljavati	z a d o ʋ o ʎ ǎː ʋ a t i
zadovoljiti	z a d o ʋ ǒ ʎ i t i
zadovoljno	z â d o ʋ oː ʎ n o
zadovoljstvo	z a d o ʋ ǒ ʎ s t ʋ o
zadremati	z a d r ěː m a t i
zadrijemati	z a d r j ěː m a t i
Zadro	z ǎː d r o
zadrtost	z â d rː t oː s t
zadruga	z âː d r u ɡ a
zadrugar	z âː d r u ɡ aː r
zadrugarka	z âː d r u ɡ aː r k a
zadrugarski	z âː d r u ɡ aː r s k iː
zadrugarski	z âː d r u ɡ aː r s k i
zadrugarstvo	z a d r u ɡ ǎː r s t ʋ o
zadržavati	z a d r̩ ʒ ǎː ʋ a t i
zadubiti	z a d ǔː b i t i
zadubljenost	z ǎ d uː b ʎ e n oː s t
zadubljivati	z a d u b ʎ ǐː ʋ a t i
zadugo	z ǎ d u ɡ o
zadužbina	z ǎː d u ʒ b i n a
zadužiti	z a d ǔː ʒ i t i
zaduživati	z a d u ʒ ǐː ʋ a t i
Zadvarje	z ǎː d ʋ aː r j e
zafrkancija	z a f r k ǎ n t͡s i j a
zagaditi	z ǎ ɡ a d i t i
zagađivati	z a ɡ a d͡ʑ ǐː ʋ a t i
zagar	z ǎ ɡ aː r
zagasiti	z a ɡ ǎː s i t i
zaglaviti	z a ɡ l ǎː ʋ i t i
zaglavljivati	z a ɡ l a ʋ ʎ ǐː ʋ a t i
zaglibiti	z a ɡ l ǐː b i t i
zaglibljivati	z a ɡ l i b ʎ ǐː ʋ a t i
zagonetati	z a ɡ o n ěː t a t i
zagonetka	z â ɡ o n eː t k a
zagorčati	z a ɡ ǒ r t͡ʃ a t i
zagorčavati	z a ɡ o r t͡ʃ ǎː ʋ a t i
Zagorje	z ǎː ɡ oː r j e
Zagorka	z ǎː ɡ oː r k a
zagospodariti	z a ɡ o s p o d ǎː r i t i
zagovor	z â ɡ o ʋ oː r
zagrada	z âː ɡ r a d a
zagraditi	z a ɡ r ǎː d i t i
zagrađivati	z a ɡ r a d͡ʑ ǐː ʋ a t i
Zagreb	z ǎː ɡ r e b
Zagreb	z a ɡ r e p
Zagreb	z a ɡ r e p
zagrebački	z ǎː ɡ r e b a t͡ʃ k iː
zagrejati	z ǎ ɡ r e j a t i
zagrejavati	z a ɡ r e j ǎː ʋ a t i
Zagrepčanin	z ǎː ɡ r e p t͡ʃ a n i n
Zagrepčanka	z ǎː ɡ r e p t͡ʃ aː n k a
zagrepsti	z ǎ ɡ r e p s t i
zagrijati	z ǎ ɡ r i j a t i
zagrijavati	z a ɡ r i j ǎː ʋ a t i
zagristi	z ǎ ɡ r i s t i
zagrizati	z a ɡ r ǐː z a t i
zagrliti	z ǎ ɡ r l i t i
zagrljaj	z â ɡ r ʎ aː j
Zagvozd	z ǎ ɡ ʋ o z d
Zahirović	z a x ǐː r o ʋ i t͡ɕ
zahod	z ǎ x o d
zahod	z ǎː x o d
zahoditi	z a x ǒ d i t i
zahodski	z ǎː x o d s k iː
zahtev	z ǎː x t e ʋ
zahtevati	z a x t ěː ʋ a t i
zahtijevati	z a x t j ěː ʋ a t i
zahtjev	z ǎː x t j e ʋ
zahvaćati	z ǎ x ʋ a t͡ɕ a t i
zahvala	z â x ʋ a l a
zahvalan	z ǎː x ʋ aː l a n
zahvaliti	z a x ʋ ǎː l i t i
zahvalnost	z a x ʋ ǎː l n oː s t
zahvaljivati	z a x ʋ a ʎ ǐː ʋ a t i
zahvaljujući	z a x ʋ ǎ ʎ u j uː t͡ɕ i
zahvatati	z ǎ x ʋ a t a t i
zahvatiti	z ǎ x ʋ a t i t i
zaista	z â i s t a
zajahati	z ǎ j a x a t i
zajašiti	z ǎ j a ʃ i t i
zajeb	z ǎː j e b
zajebati	z a j ě b a t i
zajebavati	z a j e b ǎː ʋ a t i
Zaječar	z â j e t͡ʃ aː r
Zaječar	z â e t͡ʃ aː r
zajednica	z â j e d n i t͡s a
zajednički	z â j e d n i t͡ʃ k iː
zajednički	z â j e d n i t͡ʃ k i
zajedništvo	z â j e d n iː ʃ t ʋ o
zajedno	z â j e d n o
zakasniti	z a k ǎ s n i t i
zakašnjenje	z a k a ʃ ɲ ěː ɲ e
zakazati	z a k ǎː z a t i
zakazivati	z a k a z ǐː ʋ a t i
zakidati	z a k ǐː d a t i
zakinuti	z ǎ k i n u t i
zaklada	z âː k l a d a
zaklanjati	z ǎ k l a ɲ a t i
zakleti	z ǎ k l eː t i
zakletva	z ǎː k l e t ʋ a
zaklinjati	z ǎ k l i ɲ a t i
zakloniti	z a k l ǒ n i t i
zaključak	z ǎː k ʎ u t͡ʃ a k
zaključati	z a k ʎ ǔ t͡ʃ a t i
zaključavati	z a k ʎ u t͡ʃ ǎː ʋ a t i
zaključiti	z a k ʎ ǔː t͡ʃ i t i
zaključivati	z a k ʎ u t͡ʃ ǐː ʋ a t i
zaključni	z ǎː k ʎ u t͡ʃ n iː
zakočiti	z a k ǒː t͡ʃ i t i
zakon	z ǎː k o n
zakonik	z ǎː k o n iː k
zakonit	z ǎː k o n i t
zakonito	z ǎː k o n i t o
zakonodavac	z a k o n o d ǎː ʋ a t͡s
zakonodavni	z â k o n o d aː ʋ n iː
zakonodavstvo	z a k o n o d ǎː ʋ s t ʋ o
zakonski	z ǎː k o n s k iː
zakopati	z a k ǒ p a t i
zakopavati	z a k o p ǎː ʋ a t i
zakrvariti	z a k r ʋ ǎː r i t i
zakup	z ǎː k u p
zalagaonica	z a l a ɡ a ǒː n i t͡s a
zalagati	z a l ǎː ɡ a t i
zalamati	z a l ǎː m a t i
zalaz	z ǎː l a z
zalazak	z ǎ l a z a k
zalaziti	z ǎ l a z i t i
zalaznica	z ǎː l a z n i t͡s a
zalediti	z a l ě d i t i
zaleđivati	z a l e d͡ʑ ǐː ʋ a t i
zalet	z ǎː l e t
zaliha	z âː l i x a
zalijevati	z a l i j ěː ʋ a t i
zaliti	z ǎ l i t i
zalivati	z a l ǐː ʋ a t i
zalizati	z a l ǐː z a t i
zalog	z ǎː l o ɡ
zalogaj	z â l o ɡ aː j
zalogajnica	z a l o ɡ ǎː j n i t͡s a
zalomiti	z a l ǒ m i t i
založiti	z a l ǒ ʒ i t i
založiti	z a l ǒ ʒ i t i
zalud	z â l uː d
zalud	z ǎː l u d
zaludu	z a l ǔː d u
zalupiti	z ǎ l u p i t i
zalutati	z a l ǔː t a t i
zaljev	z ǎː ʎ e ʋ
zaljubiti	z a ʎ ǔː b i t i
zaljubljivati	z a ʎ u b ʎ ǐː ʋ a t i
zaljutiti	z a ʎ ǔː t i t i
zamaći	z ǎ m a t͡ɕ i
zamak	z ǎː m a k
zamaknuti	z a m ǎ k n u t i
zamalo	z ǎ m a l o
zamaman	z â m aː m a n
zamamiti	z a m ǎː m i t i
zaman	z ǎ m aː n
zaman	z â m aː n
Zambelić	z â m b e l i t͡ɕ
Zambija	z ǎ m b i j a
zamena	z âː m e n a
zamenica	z âː m e n i t͡s a
zamenik	z âː m e n iː k
zameniti	z a m ěː n i t i
zamenjiv	z a m ě ɲ i ʋ
zamenjivati	z a m e ɲ ǐː ʋ a t i
zamerati	z a m ěː r a t i
zameriti	z ǎː m e r i t i
zamerka	z ǎː m eː r k a
zamerljiv	z a m ě r ʎ i ʋ
zametiti	z a m ěː t i t i
zamicati	z ǎ m i t͡s a t i
zamijeniti	z a m j ěː n i t i
zamijetiti	z a m j ěː t i t i
zamisao	z â m iː s a o
zamisliti	z ǎ m i s l i t i
zamisliv	z a m ǐ s l i ʋ
zamišljati	z a m ǐː ʃ ʎ a t i
zamjena	z âː m j e n a
zamjenica	z âː m j e n i t͡s a
zamjenik	z âː m j e n iː k
zamjenjiv	z a m j ě ɲ i ʋ
zamjenjivati	z a m j e ɲ ǐː ʋ a t i
zamjerati	z a m j ěː r a t i
zamjeriti	z ǎː m j e r i t i
zamjerka	z ǎː m j eː r k a
zamjerljiv	z a m j ě r ʎ i ʋ
zamka	z âː m k a
zamoliti	z a m ǒ l i t i
zamotuljak	z a m o t ǔː ʎ a k
zamrzavati	z a m r z ǎː ʋ a t i
zamrzivač	z a m r̩ z ǐ ʋ aː t͡ʃ
zamrznuti	z ǎ m r z n u t i
zamutiti	z a m ǔː t i t i
zanat	z ǎ n aː t
zanatlija	z a n ǎ t l i j a
zanatstvo	z a n ǎː t s t ʋ o
zanemariti	z a n e m ǎː r i t i
zanemariv	z a n e m ǎ r i ʋ
zanemarivati	z a n e m a r ǐː ʋ a t i
zanesen	z a n ě s e n
zaneseno	z a n ě s e n o
zanimanje	z a n ǐː m aː ɲ e
zanimati	z a n ǐː m a t i
zanimljiv	z a n ǐ m ʎ i ʋ
zanimljivo	z a n ǐ m ʎ i ʋ o
zanimljivost	z a n ǐ m ʎ i ʋ oː s t
zanoćati	z a n ǒ t͡ɕ a t i
zanoktica	z ǎ n o k t i t͡s a
zanos	z ǎː n o s
zanovet	z â n o ʋ eː t
zao	z â o
zaokružiti	z a o k r ǔː ʒ i t i
zaokruživati	z a o k r u ʒ ǐː ʋ a t i
zaorati	z a ǒ r a t i
zaoravati	z a o r ǎː ʋ a t i
zaostajati	z a ǒ s t a j a t i
zaostati	z a ǒ s t a t i
zaošijati	z a o ʃ ǐ j a t i
zapad	z âː p a d
zapadati	z ǎ p a d a t i
zapadni	z âː p a d n iː
zapadno	z âː p a d n o
zapadnoeuropski	z a p a d n o ě u r o p s k iː
zapadnjački	z âː p a d ɲ a t͡ʃ k iː
zapadnjak	z âː p a d ɲ aː k
zapaliti	z a p ǎː l i t i
zapamtiti	z ǎ p aː m t i t i
zapasti	z ǎ p a s t i
zapaziti	z ǎ p a z i t i
zapažati	z a p ǎː ʒ a t i
zapeći	z ǎ p e t͡ɕ i
zapešćaj	z a p e ʃ t͡ɕ a j
zapešće	z a p e ʃ t͡ɕ e
zapirati	z ǎ p i r a t i
zapis	z ǎː p i s
zapisati	z a p ǐː s a t i
zapisivati	z a p i s ǐː ʋ a t i
zapisnik	z ǎː p i s n iː k
zapitati	z a p ǐː t a t i
zaplašiti	z ǎ p l a ʃ i t i
zaplaviti	z a p l ǎː ʋ i t i
zaplivati	z ǎ p l i ʋ a t i
zaploviti	z a p l ǒ ʋ i t i
započeti	z a p ǒ t͡ʃ eː t i
zaporka	z ǎː p oː r k a
zaporožac	z a p o r ǒː ʒ a t͡s
zaposjesti	z a p ǒ s j e s t i
zaposlen	z ǎ p o s l e n
zaposlenik	z a p o s l ě n iː k
zaposlenost	z ǎ p o s l e n oː s t
zaposlenje	z a p o s l ěː ɲ e
zaposliti	z a p ǒ s l i t i
zapostaviti	z a p ǒ s t a ʋ i t i
zapošljavati	z a p o ʃ ʎ ǎː ʋ a t i
zapovedati	z a p o ʋ ěː d a t i
zapovediti	z a p ǒ ʋ e d i t i
zapovednik	z a p o ʋ ě d n iː k
zapovijed	z â p o ʋ i j eː d
zapovijedati	z a p o ʋ j ěː d a t i
zapovjediti	z a p ǒ ʋ j e d i t i
zapovjednik	z a p o ʋ j ě d n iː k
zapravo	z â p r a ʋ o
zaprega	z âː p r e ɡ a
zapregnuti	z a p r ěː ɡ n u t i
zapreka	z âː p r e k a
Zaprešić	z ǎː p r e ʃ i t͡ɕ
zapreti	z ǎ p r eː t i
zaprezati	z a p r ěː z a t i
zaprijeti	z ǎ p r j eː t i
zaprljati	z a p řː ʎ a t i
zaprositi	z a p r ǒ s i t i
zaprti	z ǎ p rː t i
zapt	z â p t
zapustiti	z a p ǔ s t i t i
zapušenje	z a p u ʃ ěː ɲ e
zapušiti	z ǎ p u ʃ i t i
zapuštati	z a p ǔː ʃ t a t i
zar	z â r
zar	z âː r
zar	z â r
Zara	z a r a
zaračunati	z a r a t͡ʃ ǔ n a t i
zaračunavati	z a r a t͡ʃ u n ǎː ʋ a t i
zarad	z â r a d
zarada	z âː r a d a
zaradi	z â r a d i
zaraditi	z a r ǎː d i t i
zarađivati	z a r a d͡ʑ ǐː ʋ a t i
zarana	z â r a n a
zaratiti	z ǎ r a t i t i
zaraza	z âː r a z a
zareći	z ǎ r e t͡ɕ i
zaredati	z a r ěː d a t i
zaredavati	z a r e d ǎː ʋ a t i
zarediti	z a r ěː d i t i
zaređivati	z a r e d͡ʑ ǐː ʋ a t i
zarf	z â r f
zarobljenik	z a r o b ʎ ě n iː k
zaroktati	z ǎ r o k t a t i
zaručnica	z ǎː r u t͡ʃ n i t͡s a
zaručnik	z ǎː r u t͡ʃ n iː k
zarudeti	z a r ǔː d e t i
zarudjeti	z a r ǔː d j e t i
zarzavat	z a r z ǎ ʋ aː t
zasad	z ǎ s a d
zasaditi	z a s ǎː d i t i
zasađivati	z a s a d͡ʑ ǐː ʋ a t i
zaseban	z ǎː s e b a n
zasebno	z ǎː s e b n o
zaseda	z âː s e d a
zasedanje	z a s ěː d aː ɲ e
zaselak	z ǎː s e l a k
zaseniti	z ǎ s e n i t i
zasenjivati	z a s e ɲ ǐː ʋ a t i
zasigurno	z â s i ɡ uː r n o
zasitan	z ǎː s i t a n
zasjeda	z âː s j e d a
zasjedanje	z a s j ěː d aː ɲ e
zasjeniti	z ǎ s j e n i t i
zasjenjivati	z a s j e ɲ ǐː ʋ a t i
zasjesti	z ǎ s j e s t i
zaslada	z âː s l a d a
zaslon	z ǎː s l o n
zasloniti	z a s l ǒ n i t i
zasluga	z âː s l u ɡ a
zaslužan	z ǎː s l u ʒ a n
zaslužba	z ǎː s l u ʒ b a
zasluženo	z ǎ s l uː ʒ e n o
zaslužiti	z a s l ǔː ʒ i t i
zasluživati	z a s l u ʒ ǐː ʋ a t i
zasmetati	z a s m ěː t a t i
zastajati	z ǎ s t a j a t i
zastati	z ǎ s t a t i
zastava	z âː s t a ʋ a
zastavnik	z âː s t a ʋ n iː k
zastoj	z ǎː s t o j
zastor	z ǎː s t o r
zastrašiti	z ǎ s t r a ʃ i t i
zastrašivati	z a s t r a ʃ ǐː ʋ a t i
zastreti	z ǎ s t r eː t i
zastrijeti	z ǎ s t r j eː t i
zastupati	z a s t ǔː p a t i
zastupiti	z a s t ǔː p i t i
zastupnica	z ǎː s t u p n i t͡s a
zastupnik	z ǎː s t u p n iː k
zasun	z ǎː s u n
zaš	z â ʃ
