á	aː
ľaľo	l a l ɔ
lalot	l a l ɔ t
lalotu	l a l ɔ t u
lama	l a m a
láma	l aː m a
lámal	l aː m a l
lámala	l aː m a l a
lámať	l aː m a c
láme	l aː m e
lámka	l aː m k a
lámkový	l aː m k ɔ ʋ iː
lámp	l aː m p
lampa	l a m p a
lampôčka	l a m p u̯ ɔ t͡ʃ k a
lampôčok	l a m p u̯ ɔ t͡ʃ ɔ k
lampou	l a m p ɔ u̯
lampový	l a m p ɔ ʋ iː
lampu	l a m p u
lampy	l a m p i
lámu	l aː m u
laň	l a ɲ
ľan	ʎ a n
ľan	l a n
Lančarič	l a n t͡ʃ a r i t͡ʃ
Landa	l a n d a
landgróf	l a n d ɡ r ɔː f
landgrófa	l a n d ɡ r ɔː f a
landgrófsky	l a n d ɡ r ɔː f s k i
ľane	ʎ a ɲ e
ľane	l a ɲ e
langoš	l a ŋ ɡ ɔ ʃ
Langoš	l a ŋ ɡ ɔ ʃ
langoša	l a ŋ ɡ ɔ ʃ a
langue	l aː ŋ k
lanka	l a ŋ k a
ľanom	ʎ a n ɔ m
ľanom	l a n ɔ m
lanský	l a n s k iː
lanský	l a n̠ s k iː
ľanu	ʎ a n u
ľanu	l a n u
lanýž	l a n iː ʃ
Laos	l a ɔ s
lapaj	l a p a ɪ̯
lapajka	l a p a ɪ̯ k a
Lapihuska	l a p i ɦ u s k a
lapka	l a p k a
Lapka	l a p k a
lapončina	l a p ɔ n t͡ʃ i n a
Lapšanský	l a p ʃ a n s k iː
Lapšanský	l a p ʃ a n̠ s k iː
Laš	l a ʃ
laška	l a ʃ k a
láska	l aː s k a
láskavejší	l aː s k a ʋ e ɪ̯ ʃ iː
láskavý	l aː s k a ʋ iː
Lašsko	l a ʃ s k ɔ
lastovica	l a s t ɔ ʋ i t͡s a
lastovíča	l a s t ɔ ʋ iː t͡ʃ a
lastovičí	l a s t ɔ ʋ i t͡ʃ iː
lastovička	l a s t ɔ ʋ i t͡ʃ k a
lastúrničiar	l a s t uː r ɲ i t͡ʃ ɪ̯ a r
lastúrnik	l a s t uː r ɲ i k
látka	l aː t k a
latrína	l a t r iː n a
Laučík	l a u t͡ʃ iː k
láva	l aː ʋ a
ľavá	ʎ a ʋ aː
ľavá	l a ʋ aː
ľavačiek	ʎ a ʋ a t͡ʃ ɪ̯ e k
ľavačiek	l a ʋ a t͡ʃ ɪ̯ e k
ľavačka	ʎ a ʋ a t͡ʃ k a
ľavačka	l a ʋ a t͡ʃ k a
ľavé	ʎ a ʋ eː
ľavé	l a ʋ eː
ľaví	ʎ a ʋ iː
ľaví	l a ʋ iː
lavíc	l a ʋ iː t͡s
lavica	l a ʋ i t͡s a
ľavica	ʎ a ʋ i t͡s a
ľavica	l a ʋ i t͡s a
lavice	l a ʋ i t͡s e
lavici	l a ʋ i t͡s i
lavička	l a ʋ i t͡ʃ k a
lavicu	l a ʋ i t͡s u
lavína	l a ʋ iː n a
lávka	l aː u̯ k a
ľavom	ʎ a ʋ ɔ m
ľavom	l a ʋ ɔ m
ľavou	ʎ a ʋ ɔ u̯
ľavou	l a ʋ ɔ u̯
lávový	l aː ʋ ɔ ʋ iː
ľavú	ʎ a ʋ uː
ľavú	l a ʋ uː
ľavý	ʎ a ʋ iː
ľavý	l a ʋ iː
layout	l e j a u t
laz	l a s
laze	l a z e
lazík	l a z iː k
lazmi	l a z m i
lazoch	l a z ɔ x
lázok	l aː z ɔ k
lazom	l a z ɔ m
lážoplážo	l aː ʒ ɔ p l aː ʒ ɔ
Lazor	l a z ɔ r
lazov	l a z ɔ u̯
lazu	l a z u
lazy	l a z i
Lea	ʎ e a
Lea	l e a
lebka	ʎ e p k a
lebka	l e p k a
Ledecká	ʎ e ɟ e t͡s k aː
Ledecká	l e ɟ e t͡s k aː
Ledecký	ʎ e ɟ e t͡s k iː
Ledecký	l e ɟ e t͡s k iː
legalizácia	l e ɡ a l i z aː t͡s i a
legalizovať	ʎ e ɡ a ʎ i z ɔ ʋ a c
legalizovať	l e ɡ a l i z ɔ ʋ a c
legálny	ʎ e ɡ aː l n i
legálny	l e ɡ aː l n i
Legemza	ʎ e ɡ e m z a
Legemza	l e ɡ e m z a
Legény	ʎ e ɡ eː n i
Legény	l e ɡ eː n i
légia	l eː ɡ i a
legislatúra	ʎ e ɡ i s l a t uː r a
legislatúra	l e ɡ i s l a t uː r a
lehota	ʎ e ɦ ɔ t a
lehota	l e ɦ ɔ t a
Leitner	ʎ e i t ɲ e r
Leitner	l e i t ɲ e r
lekár	ʎ e k aː r
lekár	l e k aː r
lekárka	ʎ e k aː r k a
lekárka	l e k aː r k a
lekárnik	ʎ e k aː r ɲ i k
lekárnik	l e k aː r ɲ i k
lekársky	ʎ e k aː r s k i
lekársky	l e k aː r s k i
lekcia	l e k t͡s i a
lekno	ʎ e k n ɔ
lekno	l e k n ɔ
lekorica	ʎ e k ɔ r i t͡s a
lekorica	l e k ɔ r i t͡s a
lelek	ʎ e ʎ e k
lelek	l e l e k
Lelko	ʎ e l k ɔ
Lelko	l e l k ɔ
lemeš	ʎ e m e ʃ
lemeš	l e m e ʃ
Lemeš	ʎ e m e ʃ
Lemeš	l e m e ʃ
lemeša	ʎ e m e ʃ a
lemeša	l e m e ʃ a
len	l e n
lénam	l eː n a m
léne	l eː ɲ e
Leng	ʎ e ŋ k
Leng	l e ŋ k
lengať	ʎ e ŋ ɡ a c
lengať	l e ŋ ɡ a c
Lengvarský	ʎ e ŋ ɡ ʋ a r s k iː
Lengvarský	l e ŋ ɡ ʋ a r s k iː
Lengyel	l e n ɟ e l
leninizmus	ʎ e ɲ i n i z m u s
leninizmus	l e ɲ i n i z m u s
lenivý	ʎ e ɲ i ʋ iː
lenivý	l e ɲ i ʋ iː
Lenka	ʎ e ŋ k a
Lenka	l e ŋ k a
Leňo	ʎ e ɲ ɔ
Leňo	l e ɲ ɔ
léno	l eː n ɔ
lénom	l eː n ɔ m
Leo	ʎ e ɔ
Leo	l e ɔ
lepidlo	ʎ e p i d l ɔ
lepidlo	l e p i d l ɔ
lepiť	ʎ e p i c
lepiť	l e p i c
lepká	ʎ e p k aː
lepká	l e p k aː
lepké	ʎ e p k eː
lepké	l e p k eː
lepkí	ʎ e p k iː
lepkí	l e p k iː
lepkom	ʎ e p k ɔ m
lepkom	l e p k ɔ m
lepkou	ʎ e p k ɔ u̯
lepkou	l e p k ɔ u̯
lepkú	ʎ e p k uː
lepkú	l e p k uː
lepký	ʎ e p k iː
lepký	l e p k iː
lepšejší	l e p ʃ e ɪ̯ ʃ iː
lepší	ʎ e p ʃ iː
lepší	l e p ʃ iː
Lepšík	ʎ e p ʃ iː k
Lepšík	l e p ʃ iː k
leptón	l e p t ɔː n
les	ʎ e s
les	l e s
Lesana	ʎ e s a n a
Lesana	l e s a n a
lesbička	l e z b i t͡ʃ k a
Leška	ʎ e ʃ k a
Leška	l e ʃ k a
Leško	ʎ e ʃ k ɔ
Leško	l e ʃ k ɔ
Leskovjanský	ʎ e s k ɔ u̯ j a n s k iː
Leskovjanský	ʎ e s k ɔ u̯ j a n̠ s k iː
Leskovjanský	l e s k ɔ u̯ j a n s k iː
Leskovjanský	l e s k ɔ u̯ j a n̠ s k iː
Lesník	ʎ e s ɲ iː k
Lesník	l e s ɲ iː k
Lesný	ʎ e s n iː
Lesný	l e s n iː
lesť	ʎ e s c
lesť	l e s c
leták	ʎ e t aː k
leták	l e t aː k
Letanovský	ʎ e t a n ɔ u̯ s k iː
Letanovský	l e t a n ɔ u̯ s k iː
letieť	ʎ e c ɪ̯ e c
letieť	l e c ɪ̯ e c
letisko	ʎ e c i s k ɔ
letisko	l e c i s k ɔ
letíšť	ʎ e c iː ʃ c
letíšť	l e c iː ʃ c
letišťa	ʎ e c i ʃ c a
letišťa	l e c i ʃ c a
letišťami	ʎ e c i ʃ c a m i
letišťami	l e c i ʃ c a m i
letište	ʎ e c i ʃ c e
letište	l e c i ʃ c e
letišti	ʎ e c i ʃ c i
letišti	l e c i ʃ c i
letištia	ʎ e c i ʃ c ɪ̯ a
letištia	l e c i ʃ c ɪ̯ a
letištiach	ʎ e c i ʃ c ɪ̯ a x
letištiach	l e c i ʃ c ɪ̯ a x
letištiam	ʎ e c i ʃ c ɪ̯ a m
letištiam	l e c i ʃ c ɪ̯ a m
letišťom	ʎ e c i ʃ c ɔ m
letišťom	l e c i ʃ c ɔ m
letišťu	ʎ e c i ʃ c u
letišťu	l e c i ʃ c u
Letko	ʎ e t k ɔ
Letko	l e t k ɔ
leťme	ʎ e c m e
leťme	l e c m e
letný	ʎ e t n iː
letný	l e t n iː
leto	ʎ e t ɔ
leto	l e t ɔ
letopočet	ʎ e t ɔ p ɔ t͡ʃ e t
letopočet	l e t ɔ p ɔ t͡ʃ e t
letovisko	ʎ e t ɔ ʋ i s k ɔ
letovisko	l e t ɔ ʋ i s k ɔ
lev	ʎ e u̯
lev	l e u̯
Lévai	l eː ʋ a i
Levčík	ʎ e u̯ t͡ʃ iː k
Levčík	l e u̯ t͡ʃ iː k
levej	ʎ e ʋ e ɪ̯
levej	l e ʋ e ɪ̯
leveller	l e ʋ e l e r
leví	ʎ e ʋ iː
leví	l e ʋ iː
levia	ʎ e ʋ ɪ̯ a
levia	l e ʋ ɪ̯ a
levica	ʎ e ʋ i t͡s a
levica	l e ʋ i t͡s a
levíča	ʎ e ʋ iː t͡ʃ a
levíča	l e ʋ iː t͡ʃ a
Levice	ʎ e ʋ i t͡s e
Levice	l e ʋ i t͡s e
levích	ʎ e ʋ iː x
levích	l e ʋ iː x
levický	ʎ e ʋ i t͡s k iː
levický	l e ʋ i t͡s k iː
Levický	ʎ e ʋ i t͡s k iː
Levický	l e ʋ i t͡s k iː
levie	ʎ e ʋ ɪ̯ e
levie	l e ʋ ɪ̯ e
levím	ʎ e ʋ iː m
levím	l e ʋ iː m
levom	ʎ e ʋ ɔ m
levom	l e ʋ ɔ m
levou	ʎ e ʋ ɔ u̯
levou	l e ʋ ɔ u̯
lexikón	l e k s i k ɔː n
ležadiel	ʎ e ʒ a ɟ ɪ̯ e l
ležadiel	l e ʒ a ɟ ɪ̯ e l
ležadla	ʎ e ʒ a d l a
ležadla	l e ʒ a d l a
ležadlo	ʎ e ʒ a d l ɔ
ležadlo	l e ʒ a d l ɔ
ležadlový	ʎ e ʒ a d l ɔ ʋ iː
ležadlový	l e ʒ a d l ɔ ʋ iː
Ležák	ʎ e ʒ aː k
Ležák	l e ʒ aː k
lézia	l eː z i a
lézie	l eː z i e
lézií	l eː z i iː
Lezo	ʎ e z ɔ
Lezo	l e z ɔ
liahnisk	ʎ ɪ̯ a ɦ ɲ i s k
liahnisk	l ɪ̯ a ɦ ɲ i s k
liahniska	ʎ ɪ̯ a ɦ ɲ i s k a
liahniska	l ɪ̯ a ɦ ɲ i s k a
liahniská	ʎ ɪ̯ a ɦ ɲ i s k aː
liahniská	l ɪ̯ a ɦ ɲ i s k aː
liahnisko	ʎ ɪ̯ a ɦ ɲ i s k ɔ
liahnisko	l ɪ̯ a ɦ ɲ i s k ɔ
Liana	l i a n a
Liba	ʎ i b a
Liba	l i b a
Libanon	ʎ i b a n ɔ n
Libanon	l i b a n ɔ n
liberalizmu	l i b e r a l i z m u
Libéria	l i b eː r i a
libido	ʎ i b i d ɔ
libido	l i b i d ɔ
libretista	l i b r e t i s t a
libretistka	ʎ i b r e c i s t k a
libretistka	l i b r e c i s t k a
Libreville	l i b r e ʋ i l
Libuša	ʎ i b u ʃ a
Libuša	l i b u ʃ a
Ličák	ʎ i t͡ʃ aː k
Ličák	l i t͡ʃ aː k
líce	ʎ iː t͡s e
líce	l iː t͡s e
Lichtenštajnsko	ʎ i x c e n ʃ t a ɪ̯ n s k ɔ
Lichtenštajnsko	ʎ i x c e n ʃ t a ɪ̯ n̠ s k ɔ
Lichtenštajnsko	ʎ i x c e n̠ ʃ t a ɪ̯ n s k ɔ
Lichtenštajnsko	ʎ i x c e n̠ ʃ t a ɪ̯ n̠ s k ɔ
Lichtenštajnsko	l i x c e n ʃ t a ɪ̯ n s k ɔ
Lichtenštajnsko	l i x c e n ʃ t a ɪ̯ n̠ s k ɔ
Lichtenštajnsko	l i x c e n̠ ʃ t a ɪ̯ n s k ɔ
Lichtenštajnsko	l i x c e n̠ ʃ t a ɪ̯ n̠ s k ɔ
lichva	ʎ i x ʋ a
lichva	l i x ʋ a
Lichý	ʎ i x iː
Lichý	l i x iː
líder	l iː d e r
líderský	ʎ iː ɟ e r s k iː
líderský	l iː ɟ e r s k iː
lieň	ʎ ɪ̯ e ɲ
lieň	l ɪ̯ e ɲ
liena	ʎ ɪ̯ e n a
liena	l ɪ̯ e n a
lieňa	ʎ ɪ̯ e ɲ a
lieňa	l ɪ̯ e ɲ a
liene	ʎ ɪ̯ e ɲ e
liene	l ɪ̯ e ɲ e
liení	ʎ ɪ̯ e ɲ iː
liení	l ɪ̯ e ɲ iː
lienka	ʎ ɪ̯ e ŋ k a
lienka	l ɪ̯ e ŋ k a
lienke	ʎ ɪ̯ e ŋ k e
lienke	l ɪ̯ e ŋ k e
lieno	ʎ ɪ̯ e n ɔ
lieno	l ɪ̯ e n ɔ
lieňom	ʎ ɪ̯ e ɲ ɔ m
lieňom	l ɪ̯ e ɲ ɔ m
lienu	ʎ ɪ̯ e n u
lienu	l ɪ̯ e n u
lieska	ʎ ɪ̯ e s k a
lieska	l ɪ̯ e s k a
lieskový	ʎ ɪ̯ e s k ɔ ʋ iː
lieskový	l ɪ̯ e s k ɔ ʋ iː
lieta	ʎ ɪ̯ e t a
lieta	l ɪ̯ e t a
lietajú	ʎ ɪ̯ e t a j uː
lietajú	l ɪ̯ e t a j uː
lietajúc	ʎ ɪ̯ e t a j uː t͡s
lietajúc	l ɪ̯ e t a j uː t͡s
lietal	ʎ ɪ̯ e t a l
lietal	l ɪ̯ e t a l
lietala	ʎ ɪ̯ e t a l a
lietala	l ɪ̯ e t a l a
lietali	ʎ ɪ̯ e t a ʎ i
lietali	l ɪ̯ e t a l i
lietam	ʎ ɪ̯ e t a m
lietam	l ɪ̯ e t a m
lietame	ʎ ɪ̯ e t a m e
lietame	l ɪ̯ e t a m e
lietanie	ʎ ɪ̯ e t a ɲ ɪ̯ e
lietanie	l ɪ̯ e t a ɲ ɪ̯ e
lietaš	ʎ ɪ̯ e t a ʃ
lietaš	l ɪ̯ e t a ʃ
lietať	ʎ ɪ̯ e t a c
lietať	l ɪ̯ e t a c
lietate	ʎ ɪ̯ e t a c e
lietate	l ɪ̯ e t a c e
lievik	ʎ ɪ̯ e ʋ i k
lievik	l ɪ̯ e ʋ i k
lift	l i f t
ligotať	ʎ i ɡ ɔ t a c
ligotať	l i ɡ ɔ t a c
ligurček	ʎ i ɡ u r t͡ʃ e k
ligurček	l i ɡ u r t͡ʃ e k
Lima	ʎ i m a
Lima	l i m a
limetkový	ʎ i m e t k ɔ ʋ iː
limetkový	l i m e t k ɔ ʋ iː
limuzína	ʎ i m u z iː n a
limuzína	l i m u z iː n a
Linda	ʎ i n d a
Linda	l i n d a
linoleum	ʎ i n ɔ ʎ e u m
linoleum	l i n ɔ l e u m
líp	ʎ iː p
líp	l iː p
lipa	ʎ i p a
lipa	l i p a
Lipčák	ʎ i p t͡ʃ aː k
Lipčák	l i p t͡ʃ aː k
Lipiansky	ʎ i p ɪ̯ a n s k i
Lipiansky	ʎ i p ɪ̯ a n̠ s k i
Lipiansky	l i p ɪ̯ a n s k i
Lipiansky	l i p ɪ̯ a n̠ s k i
lipiek	ʎ i p ɪ̯ e k
lipiek	l i p ɪ̯ e k
Lipka	ʎ i p k a
Lipka	l i p k a
lipka	ʎ i p k a
lipka	l i p k a
lipká	ʎ i p k aː
lipká	l i p k aː
lipke	ʎ i p k e
lipke	l i p k e
lipké	ʎ i p k eː
lipké	l i p k eː
lipkí	ʎ i p k iː
lipkí	l i p k iː
lipkom	ʎ i p k ɔ m
lipkom	l i p k ɔ m
lipkou	ʎ i p k ɔ u̯
lipkou	l i p k ɔ u̯
lipku	ʎ i p k u
lipku	l i p k u
lipkú	ʎ i p k uː
lipkú	l i p k uː
lipky	ʎ i p k i
lipky	l i p k i
lipký	ʎ i p k iː
lipký	l i p k iː
lipovec	ʎ i p ɔ ʋ e t͡s
lipovec	l i p ɔ ʋ e t͡s
lipovina	ʎ i p ɔ ʋ i n a
lipovina	l i p ɔ ʋ i n a
lipový	ʎ i p ɔ ʋ iː
lipový	l i p ɔ ʋ iː
Lipšic	ʎ i p ʃ i t͡s
Lipšic	l i p ʃ i t͡s
Lipsko	ʎ i p s k ɔ
Lipsko	l i p s k ɔ
Lipták	ʎ i p t aː k
Lipták	l i p t aː k
Lisabon	ʎ i s a b ɔ n
Lisabon	l i s a b ɔ n
lišiackejší	ʎ i ʃ ɪ̯ a t͡s k e ɪ̯ ʃ iː
lišiackejší	l i ʃ ɪ̯ a t͡s k e ɪ̯ ʃ iː
lišiacky	ʎ i ʃ ɪ̯ a t͡s k i
lišiacky	l i ʃ ɪ̯ a t͡s k i
Liška	ʎ i ʃ k a
Liška	l i ʃ k a
líška	ʎ iː ʃ k a
líška	l iː ʃ k a
Líška	ʎ iː ʃ k a
Líška	l iː ʃ k a
líškach	ʎ iː ʃ k a x
líškach	l iː ʃ k a x
líškam	ʎ iː ʃ k a m
líškam	l iː ʃ k a m
líškami	ʎ iː ʃ k a m i
líškami	l iː ʃ k a m i
líškou	ʎ iː ʃ k ɔ u̯
líškou	l iː ʃ k ɔ u̯
líšku	ʎ iː ʃ k u
líšku	l iː ʃ k u
líšky	ʎ iː ʃ k i
líšky	l iː ʃ k i
líšok	ʎ iː ʃ ɔ k
líšok	l iː ʃ ɔ k
Lisoň	ʎ i s ɔ ɲ
Lisoň	l i s ɔ ɲ
list	ʎ i s t
list	l i s t
líštička	ʎ iː ʃ c i t͡ʃ k a
líštička	l iː ʃ c i t͡ʃ k a
lístok	ʎ iː s t ɔ k
lístok	l iː s t ɔ k
Litavec	ʎ i t a ʋ e t͡s
Litavec	l i t a ʋ e t͡s
liter	l i t e r
literatúra	l i t e r a t uː r a
Litovčan	ʎ i t ɔ u̯ t͡ʃ a n
Litovčan	l i t ɔ u̯ t͡ʃ a n
Litovčanka	ʎ i t ɔ u̯ t͡ʃ a ŋ k a
Litovčanka	l i t ɔ u̯ t͡ʃ a ŋ k a
litovčina	ʎ i t ɔ u̯ t͡ʃ i n a
litovčina	l i t ɔ u̯ t͡ʃ i n a
litrový	ʎ i t r ɔ ʋ iː
litrový	l i t r ɔ ʋ iː
Litva	ʎ i t ʋ a
Litva	l i t ʋ a
Liva	l i ʋ a
Lívia	l iː ʋ i a
livrej	ʎ i u̯ r e ɪ̯
livrej	ʎ i ʋ r e ɪ̯
livrej	l i u̯ r e ɪ̯
livrej	l i ʋ r e ɪ̯
livrejach	ʎ i u̯ r e j a x
livrejach	ʎ i ʋ r e j a x
livrejach	l i u̯ r e j a x
livrejach	l i ʋ r e j a x
livrejam	ʎ i u̯ r e j a m
livrejam	ʎ i ʋ r e j a m
livrejam	l i u̯ r e j a m
livrejam	l i ʋ r e j a m
livrejami	ʎ i u̯ r e j a m i
livrejami	ʎ i ʋ r e j a m i
livrejami	l i u̯ r e j a m i
livrejami	l i ʋ r e j a m i
livreje	ʎ i u̯ r e j e
livreje	ʎ i ʋ r e j e
livreje	l i u̯ r e j e
livreje	l i ʋ r e j e
livreji	ʎ i u̯ r e j i
livreji	ʎ i ʋ r e j i
livreji	l i u̯ r e j i
livreji	l i ʋ r e j i
livrejí	ʎ i u̯ r e j iː
livrejí	ʎ i ʋ r e j iː
livrejí	l i u̯ r e j iː
livrejí	l i ʋ r e j iː
livrejou	ʎ i u̯ r e j ɔ u̯
livrejou	ʎ i ʋ r e j ɔ u̯
livrejou	l i u̯ r e j ɔ u̯
livrejou	l i ʋ r e j ɔ u̯
livrejový	ʎ i u̯ r e j ɔ ʋ iː
livrejový	ʎ i ʋ r e j ɔ ʋ iː
livrejový	l i u̯ r e j ɔ ʋ iː
livrejový	l i ʋ r e j ɔ ʋ iː
Lobotka	l ɔ b ɔ t k a
logik	l ɔ ɡ i k
logonymum	l ɔ ɡ ɔ n i m u m
Lohyňa	l ɔ ɦ i ɲ a
Loj	l ɔ ɪ̯
Loja	l ɔ j a
lojalita	l ɔ j a ʎ i t a
lojalita	l ɔ j a l i t a
lojálnejší	l ɔ j aː l ɲ e ɪ̯ ʃ iː
lojálnosť	l ɔ j aː l n ɔ s c
lojálny	l ɔ j aː l n i
lokatív	l ɔ k a t iː u̯
lokomotíva	l ɔ k ɔ m ɔ t iː ʋ a
Lokša	l ɔ k ʃ a
Ľoľo	ʎ ɔ ʎ ɔ
Ľoľo	l ɔ l ɔ
lôn	l u̯ ɔ n
lona	l ɔ n a
loná	l ɔ n aː
lonách	l ɔ n aː x
lonám	l ɔ n aː m
lonami	l ɔ n a m i
Londýn	l ɔ n d iː n
lone	l ɔ ɲ e
lono	l ɔ n ɔ
lonom	l ɔ n ɔ m
lonu	l ɔ n u
Lopanič	l ɔ p a ɲ i t͡ʃ
Lopašovský	l ɔ p a ʃ ɔ u̯ s k iː
lopata	l ɔ p a t a
lôpt	l u̯ ɔ p t
lopta	l ɔ p t a
lopty	l ɔ p t i
Lopušný	l ɔ p u ʃ n iː
Lorenc	l ɔ r e n t͡s
loška	l ɔ ʃ k a
losos	l ɔ s ɔ s
lososí	l ɔ s ɔ s iː
lososový	l ɔ s ɔ s ɔ ʋ iː
Lotyšsko	l ɔ t i ʃ s k ɔ
lotyšský	l ɔ t i ʃ s k iː
lotyština	l ɔ t i ʃ c i n a
Louisiana	l u i z i aː n a
lov	l ɔ u̯
Lovás	l ɔ ʋ aː s
Lovásik	l ɔ ʋ aː s i k
Lovich	l ɔ ʋ i x
Lovíšek	l ɔ ʋ iː ʃ e k
Loviška	l ɔ ʋ i ʃ k a
lovný	l ɔ u̯ n iː
lovný	l ɔ ʋ n iː
lož	l ɔ ʃ
ložisko	l ɔ ʒ i s k ɔ
lôžkový	l u̯ ɔ ʃ k ɔ ʋ iː
ľstivý	ʎ s c i ʋ iː
ľstivý	l s c i ʋ iː
Luanda	l u a n d a
Ľuba	ʎ u b a
Ľuba	l u b a
Ľubica	ʎ u b i t͡s a
Ľubica	l u b i t͡s a
ľúbiť	ʎ uː b i c
ľúbiť	l uː b i c
Ľubľana	ʎ u b ʎ a n a
Ľubľana	l u b l a n a
Ľubo	ʎ u b ɔ
Ľubo	l u b ɔ
Ľubomír	ʎ u b ɔ m iː r
Ľubomír	l u b ɔ m iː r
Ľubomíra	ʎ u b ɔ m iː r a
Ľubomíra	l u b ɔ m iː r a
Ľubor	ʎ u b ɔ r
Ľubor	l u b ɔ r
Ľuborom	ʎ u b ɔ r ɔ m
Ľuborom	l u b ɔ r ɔ m
Ľuboš	ʎ u b ɔ ʃ
Ľuboš	l u b ɔ ʃ
Ľuboslava	ʎ u b ɔ s l a ʋ a
Ľuboslava	l u b ɔ s l a ʋ a
lúč	l uː t͡ʃ
lúča	l uː t͡ʃ a
lučba	l u d͡ʒ b a
lúče	l uː t͡ʃ e
Lučenec	l u t͡ʃ e ɲ e t͡s
lúči	l uː t͡ʃ i
Lucia	l u t͡s i a
lúčka	l uː t͡ʃ k a
Lucký	l u t͡s k iː
lúčny	l uː t͡ʃ n i
lúču	l uː t͡ʃ u
ľud	ʎ u t
ľud	l u t
Ľuda	ʎ u d a
Ľuda	l u d a
ľudí	ʎ u ɟ iː
ľudí	l u ɟ iː
ľudia	ʎ u ɟ ɪ̯ a
ľudia	l u ɟ ɪ̯ a
ľuďmi	ʎ u ɟ m i
ľuďmi	l u ɟ m i
Ľudmila	ʎ u d m i l a
Ľudmila	l u d m i l a
ľuďoch	ʎ u ɟ ɔ x
ľuďoch	l u ɟ ɔ x
ľuďom	ʎ u ɟ ɔ m
ľuďom	l u ɟ ɔ m
Ľudomila	ʎ u d ɔ m i l a
Ľudomila	l u d ɔ m i l a
ľudstvo	ʎ u t͡s t ʋ ɔ
ľudstvo	l u t͡s t ʋ ɔ
ľuft	ʎ u f t
ľuft	l u f t
luhal	l u ɦ a l
luhala	l u ɦ a l a
luhali	l u ɦ a ʎ i
luhali	l u ɦ a l i
luhár	l u ɦ aː r
luhať	l u ɦ a c
Luhový	l u ɦ ɔ ʋ iː
Lujza	l u ɪ̯ z a
luk	l u k
lúk	l uː k
lúka	l uː k a
Lukáč	l u k aː t͡ʃ
lúkach	l uː k a x
Lukačovič	l u k a t͡ʃ ɔ ʋ i t͡ʃ
lúkam	l uː k a m
lúkami	l uː k a m i
Lukas	l u k a s
lúke	l uː k e
Lukeš	l u k e ʃ
lukmi	l u k m i
lukoch	l u k ɔ x
lukom	l u k ɔ m
lukostrelca	l u k ɔ s t r e l t͡s a
lukostrelec	l u k ɔ s t r e ʎ e t͡s
lukostrelec	l u k ɔ s t r e l e t͡s
lúkou	l uː k ɔ u̯
lukov	l u k ɔ u̯
lukový	l u k ɔ ʋ iː
lukratívny	l u k r a t iː u̯ n i
lukratívny	l u k r a t iː ʋ n i
luku	l u k u
lúku	l uː k u
luky	l u k i
lúky	l uː k i
ľuľok	ʎ u ʎ ɔ k
ľuľok	l u l ɔ k
Lumnitzer	l u m ɲ i d͡zː e r
lumpenproletár	l u m p e m p r ɔ l e t aː r
lún	l uː n
luna	l u n a
lunách	l u n aː x
Luňák	l u ɲ aː k
lunám	l u n aː m
lunami	l u n a m i
lune	l u ɲ e
lunou	l u n ɔ u̯
Lunter	l u n c e r
lunu	l u n u
luny	l u n i
lúpež	l uː p e ʃ
lupina	l u p i n a
Lupták	l u p t aː k
Ľupták	ʎ u p t aː k
Ľupták	l u p t aː k
Lusaka	l u s a k a
Lušňák	l u ʃ ɲ aː k
ľúteho	ʎ uː t e ɦ ɔ
ľúteho	l uː t e ɦ ɔ
ľútej	ʎ uː c e ɪ̯
ľútej	l uː c e ɪ̯
ľútejší	ʎ uː c e ɪ̯ ʃ iː
ľútejší	l uː c e ɪ̯ ʃ iː
ľútemu	ʎ uː c e m u
ľútemu	l uː c e m u
luterán	l u t e r aː n
luteránstvo	l u t e r aː n s t ʋ ɔ
luteránstvo	l u t e r aː n̠ s t ʋ ɔ
Lutka	l u t k a
ľútom	ʎ uː t ɔ m
ľútom	l uː t ɔ m
ľúty	ʎ uː t i
ľúty	l uː t i
ľútych	ʎ uː t i x
ľútych	l uː t i x
ľútym	ʎ uː t i m
ľútym	l uː t i m
luxemburčina	l u k s e m b u r t͡ʃ i n a
Luxembursko	l u k s e m b u r s k ɔ
luže	l u ʒ e
lužem	l u ʒ e m
lužeme	l u ʒ e m e
lužeš	l u ʒ e ʃ
lužete	l u ʒ e c e
Lužica	l u ʒ i t͡s a
Lužný	l u ʒ n iː
lužú	l u ʒ uː
Lýdia	l iː d i a
lyko	l i k ɔ
lýra	l iː r a
lysiek	l i s ɪ̯ e k
Lysík	l i s iː k
lysina	l i s i n a
lysinka	l i s i ŋ k a
lyska	l i s k a
lyskou	l i s k ɔ u̯
lysku	l i s k u
lysky	l i s k i
Lyso	l i s ɔ
Lysý	l i s iː
lýtko	l iː t k ɔ
lýtkový	l iː t k ɔ ʋ iː
lyža	l i ʒ a
lyže	l i ʒ e
lyžiar	l i ʒ ɪ̯ a r
lyžiarka	l i ʒ ɪ̯ a r k a
lyžiarstvo	l i ʒ ɪ̯ a r s t ʋ ɔ
lyžica	l i ʒ i t͡s a
lží	l̩ ʒ iː
m	m
ma	m a
má	m aː
Mác	m aː t͡s
mačací	m a t͡ʃ a t͡s iː
Máčaj	m aː t͡ʃ a ɪ̯
macedónčina	m a t͡s e d ɔː n t͡ʃ i n a
Macedónsko	m a t͡s e d ɔː n s k ɔ
