AFI	a f i
ferradura	f e r a d u ɾ a
ferramenta	f e r a m e n t a
ferraría	f e r a ɾ i a̝
ferraxe	f e r a ʃ e
ferreiro	f e r e j ɾ o
ferreiría	f e r e j ɾ i a̝
ferro	f ɛ r o
ferrollo	f e r o ʎ o̝
ferros	f ɛ r o̝ s
ferruxe	f e r u ʃ e
ferruxento	f e r u ʃ e n t o̝
ferrón	f e r o ŋ
fertilizante	f e ɾ t i l i s a n t e
fertilizante	f e ɾ t i l i θ a n t e
fervellasverzas	f e ɾ β e ʎ a s β e ɾ θ a̝ s
fervello	f e r β e ʎ o̝
fervenza	f e ɾ b ɛ n s a
fervenza	f e ɾ b ɛ n θ a
ferver	f e ɾ b e ɾ
ferveram	f e ɾ b e ɾ a m
ferveras	f e ɾ b e ɾ a s
fervi	f e ɾ b i
ferún	f ɛ ɾ u ŋ
fesga	f e s ɣ a̝
feso	f e s o̝
festa	f ɛ s t a
festeiro	f ɛ s t e j ɾ o
fiado	f i a ð o̝
fiandón	f i a n d o ŋ
fiar	f j a ɾ
fibela	f i β ɛ l a̝
fibroso	f i b ɾ o s o
ficar	f i k a ɾ
ficción	f i k s j o ŋ
ficción	f i k θ j o ŋ
fidalgo	f i ð a l ɣ o̝
fieira	f i e j ɾ a
fieito	f i e j t o̝
fieito	f j e j t o̝
fiel	f j ɛ l
fiestra	f i ɛ s t ɾ a
figo	f i ħ o
figo	f i ɡ o
figueira	f i ħ e j ɾ a
figueira	f i ɡ e j ɾ a
figura	f i ħ u ɾ a
figura	f i ɡ u ɾ a
filipino	f i l i p i n ʊ
filla	f i ʎ ɐ
fillar	f i ʎ a ɾ
fillo	f i ɟ o
filmar	f i l m a ɾ
filosofal	f i l o s o f a l
filosofía	f i l o s o f i a
filtración	f i l t ɾ a s j o ŋ
filtración	f i l t ɾ a θ j o ŋ
filósofo	f i l ɔ s o f o
fin	f i ŋ
fina	f i n a
finado	f i n a d o
finamento	f i n a m e n t o̝
finamento	f i n a m ɛ n t o̝
finar	f i n a ɾ
finchar	f i n t͡ʃ a ɾ
findar	f i n d a ɾ
finde	f i n d e
fino	f i n o
fins	f i ŋ s
fiollo	f i o ʎ o̝
fionllo	f j o n ɟ o
firma	f i ɾ m a
firmamento	f i ɾ m a m e n t o
firme	f i ɾ m e
firmo	f i ɾ m o
fisga	f i s ɣ a̝
fisgar	f i s ħ a ɾ
fisgar	f i s ɡ a ɾ
fita	f i t a
fitar	f i t a ɾ
fito	f i t o̝
fiuncho	f i w n t͡ʃ o
fixación	f i ʃ a s j o ŋ
fixación	f i ʃ a θ j o ŋ
fixar	f i ʃ a ɾ
fixo	f i ʃ o
fiúncho	f i u n t͡ʃ o
flamengo	f l ɐ m e ŋ ɡ ʊ
flexible	f l e k s i b l e
floco	f l ɔ k ʊ
flor	f l o ɾ
florido	f l o ɾ i d o
florín	f l o ɾ i ŋ
fluxo	f l u ʃ o
fluído	f l u i d o
fluído	f l u j d o
foca	f ɔ k a
focha	f o t͡ʃ a̝
fochanca	f o t͡ʃ a ŋ k a̝
fochicar	f u t͡ʃ i k a ɾ
foco	f ɔ k o
foder	f o ð e ɾ
fogar	f o ħ a ɾ
fogar	f o ɡ a ɾ
fogo	f ɔ ħ o
fogo	f ɔ ɡ o
fogueira	f o ħ e j ɾ a
fogueira	f o ɡ e j ɾ a
foia	f ɔ j a
fol	f ɔ l
folello	f o l e ʎ o̝
folerpa	f o l ɛ ɾ p a
folgado	f o l ħ a d o
folgado	f o l ɡ a d o
folgueira	f o l ɣ e j ɾ a̝
folión	f o l i o ŋ
folla	f o ɟ a
folía	f ɔ l i a̝
folón	f o l o ŋ
fome	f ɔ m e̝
fondal	f o n d a l
fondo	f o n d o
fondura	f o n d u ɾ a
fonema	f o n e m a
fonema	f o n ɛ m a
foraño	f o ɾ a ɲ o̝
forca	f ɔ ɾ k a
forcada	f o ɾ k a ð a̝
forcado	f o ɾ k a ð o̝
forma	f o ɾ m a
formación	f o ɾ m a s j o ŋ
formación	f o ɾ m a θ j o ŋ
formal	f o ɾ m a l
formaxe	f o r m a ʃ e̝
formiga	f o ɾ m i ħ a
formiga	f o ɾ m i ɡ a
formiga	f u ɾ m i ħ a
formiga	f u ɾ m i ɡ a
formigar	f o ɾ m i ħ a ɾ
formigar	f o ɾ m i ɡ a ɾ
formigueiro	f o ɾ m i ħ e j ɾ o
formigueiro	f o ɾ m i ɡ e j ɾ o
fornecer	f ɔ ɾ n ɛ s e ɾ
fornecer	f ɔ ɾ n ɛ θ e ɾ
forneiro	f o ɾ n e j ɾ o̝
fornello	f o r n e ʎ o̝
fornir	f o ɾ n i ɾ
forno	f o ɾ n o̝
forqueta	f o ɾ k e t a
forrar	f o r a ɾ
forraxe	f o r a ʃ e̝
fortaleza	f o ɾ t a l e s a
fortaleza	f o ɾ t a l e θ a
forte	f ɔ ɾ t e
fortuna	f o ɾ t u n a
forxa	f ɔ ɾ ʃ a
forxar	f o ɾ ʃ a ɾ
forza	f ɔ ɾ s a
forza	f ɔ ɾ θ a
foráneo	f o ɾ a n e o
fotográfica	f o t o ħ ɾ a f i k a
fotográfica	f o t o ɡ ɾ a f i k a
fotográficas	f o t o ħ ɾ a f i k a s
fotográficas	f o t o ɡ ɾ a f i k a s
fotográfico	f o t o ħ ɾ a f i k o
fotográfico	f o t o ɡ ɾ a f i k o
fotográficos	f o t o ħ ɾ a f i k o s
fotográficos	f o t o ɡ ɾ a f i k o s
fouce	f o w s ɪ
fouce	f o w θ ɪ
foucegata	f o w s e ħ a t a
foucegata	f o w θ e ħ a t a
foucegata	f o w θ e ɡ a t a
fouciña	f o w s i ɲ a̝
fouciña	f o w θ i ɲ a̝
fouciño	f o w s i ɲ o̝
fouciño	f o w θ i ɲ o̝
foula	f o w l a
foupa	f o w p a
foupa	f ɔ u p a
fouveiro	f o w β̞ e j ɾ ʊ
fouvo	f o w β̞ ʊ
foxo	f o ʃ o
foz	f ɔ s
foz	f ɔ θ
fozar	f o s a ɾ
fozar	f o θ a ɾ
fracaso	f ɾ a k a s o
fracción	f ɾ a k s j o ŋ
fracción	f ɾ a k θ j o ŋ
fraco	f ɾ a k o
fradar	f ɾ a ð a ɾ
frade	f ɾ a d e
fraga	f ɾ a ħ a
fraga	f ɾ a ɡ a
fragata	f ɾ a ħ a t a
fragata	f ɾ a ɡ a t a
fragulla	f ɾ a ɣ u ʎ a̝
fraixolé	f ɾ a j ʃ ʊ l ɛ
francada	f ɾ a ŋ k a ð a̝
francante	f ɾ a ŋ k a n t e̝
francesa	f ɾ a n s e s a
francesa	f ɾ a n θ e s a
francesas	f ɾ a n s e s a s
francesas	f ɾ a n θ e s a s
franceses	f ɾ a n s e s e s
franceses	f ɾ a n θ e s e s
franco	f ɾ a ŋ k o
francés	f ɾ a n s e s
francés	f ɾ a n θ e s
frangulla	f ɾ a ŋ ɡ u ʎ a̝
franqueza	f ɾ a ŋ k e θ a̝
fraquén	f ɾ a k ɛ ŋ
frasca	f ɾ a s k a̝
frasco	f ɾ a s k o
frase	f ɾ a s e
fraternal	f ɾ a t e ɾ n a l
fratricida	f ɾ a t ɾ i s i d a
fratricida	f ɾ a t ɾ i θ i d a
fratricidio	f ɾ a t ɾ i s i d j o
fratricidio	f ɾ a t ɾ i θ i d j o
frauga	f ɾ a w ħ a
frauga	f ɾ a w ɡ a
freba	f ɾ e b a
frecha	f ɾ e t͡ʃ a
frecha	f ɾ ɛ t͡ʃ a
frecuencia	f ɾ e k w ɛ n s j a
frecuencia	f ɾ e k w ɛ n θ j a
frecuente	f ɾ e k w e n t e
frega	f ɾ ɛ ħ a
frega	f ɾ ɛ ɡ a
fregar	f ɾ e ħ a ɾ
fregar	f ɾ e ɡ a ɾ
freguesía	f ɾ ɛ ħ e s i a
freguesía	f ɾ ɛ ɡ e s i a
fregués	f ɾ ɛ ħ e s
fregués	f ɾ ɛ ɡ e s
freila	f ɾ e j l a̝
freire	f ɾ e j ɾ e
freixa	f ɾ e j ʃ a
freixo	f ɾ e j ʃ o̝
freixó	f ɾ e j ʃ ɔː
frenesí	f ɾ e n e s i
frenxer	f r e n ʃ e ɾ
freo	f ɾ e o
fresca	f ɾ e s k a
fresco	f ɾ e s k o
freta	f ɾ ɛ t a̝
fretar	f ɾ e t a ɾ
frete	f ɾ ɛ t e
friaxe	f ɾ i a ʃ e̝
frieira	f ɾ i e j ɾ a̝
fritir	f ɾ i t i ɾ
frito	f ɾ i t o̝
frixir	f ɾ i ʃ i ɾ
froallo	f ɾ o a ʎ o̝
froia	f ɾ ɔ j a̝
froita	f ɾ o j t a
froito	f ɾ o j t o
frontal	f ɾ o n t a l
fronte	f ɾ o n t e
fronza	f ɾ o n s a
fronza	f ɾ o n ʃ a
fronza	f ɾ o n θ a
fros	f ɾ ɔ s
frouma	f ɾ o w m a̝
frouxo	f ɾ o w ʃ o
froxel	f ɾ o ʃ ɛ l
frugal	f ɾ u ħ a l
frugal	f ɾ u ɡ a l
frustra	f ɾ u s t ɾ a
frustrada	f ɾ u s t ɾ a d a
frustrar	f ɾ u s t ɾ a ɾ
frustras	f ɾ u s t ɾ a s
fruxe	f ɾ u ʃ e
frágoa	f ɾ a ħ o a
frágoa	f ɾ a ħ w a
frágoa	f ɾ a ɡ o a
frágoa	f ɾ a ɡ w a
fráxil	f ɾ a ʃ i l
frío	f ɾ i o
fríos	f ɾ i o s
frívolo	f ɾ i b o l o
fulgurar	f u l ħ u ɾ a ɾ
fulgurar	f u l ɡ u ɾ a ɾ
fumar	f u m a ɾ
fumaxe	f u m a ʃ e
fumeira	f u m e j ɾ a̝
fumeiro	f u m e j ɾ o̝
funcional	f u n s j o n a l
funcional	f u n θ j o n a l
funcionario	f u n s j o n a ɾ j o
funcionario	f u n θ j o n a ɾ j o
función	f u n s j o ŋ
función	f u n θ j o ŋ
fundación	f u n d a s j o ŋ
fundación	f u n d a θ j o ŋ
fundamental	f u n d a m e n t a l
fundamental	f u n d a m ɛ n t a l
fundamentalmente	f u n d a m e n t a l m e n t e
fundamento	f u n d a m e n t o
funde	f u n d e
fundición	f u n d i s j o ŋ
fundición	f u n d i θ j o ŋ
funeral	f u n e ɾ a l
fungar	f u ŋ k a ɾ
fungar	f u ŋ ɡ a ɾ
fungueiro	f u ŋ ɡ e j ɾ o̝
funil	f u n i l
fura	f u ɾ a̝
furabolos	f u ɾ a β o l o̝ s
furancho	f u ɾ a n t͡ʃ o̝̝
furar	f u ɾ a ɾ
furaño	f u ɾ a ɲ o̝
furco	f u ɾ k o̝
furgalla	f u ɾ ɣ a ʎ a̝
furioso	f u ɾ j o s o
furna	f u ɾ n a̝
furrular	f u r u l a ɾ
furtar	f u ɾ t a ɾ
furuncho	f u ɾ u n t͡ʃ o
furón	f u ɾ o ŋ
fusión	f u s j o ŋ
fuste	f u s t e
futura	f u t u ɾ a
futuras	f u t u ɾ a s
futuro	f u t u ɾ o
futuros	f u t u ɾ o s
fuxir	f u ʃ i ɾ
fuxitivo	f u ʃ i t i b o
fuíña	f u i ɲ a
fábrica	f a b ɾ i k a
fácil	f a s i l
fácil	f a θ i l
fécula	f ɛ k u l a
fémur	f ɛ m u ɾ
férreo	f ɛ r e o
fértil	f ɛ ɾ t i l
fía	f i a̝
fígado	f i ħ a d o
fígado	f i ɡ a d o
fío	f i o
física	f i s i k a
físico	f i s i k o
fóra	f o ɾ a
fórmula	f ɔ ɾ m u l a
fórmulas	f ɔ ɾ m u l a s
fósforo	f ɔ s f o ɾ o
fútbol	f u t b ɔ l
gabanza	ħ a b a n s a
gabanza	ħ a b a n θ a
gabanza	ɡ a b a n θ a
gabar	ɡ a β a ɾ
gabear	ɡ a β e a ɾ
gabeta	ɡ a β e t a̝
gabia	ɡ a β i a̝
gabia	ɡ a β j a̝
gabido	ɡ a β i ð o̝
gabita	ɡ a β i t a̝
gabián	ɡ a β j a ŋ
gacear	ɡ a θ e a ɾ
gadaña	ħ a d a ɲ a
gadaña	ɡ a d a ɲ a
gafo	ɡ a f o̝
gago	ɡ a ɣ o̝
gaio	ħ a j o
gaio	ɡ a j o
gaiola	ħ a j ɔ l a
gaiola	ɡ a j ɔ l a
gaita	ħ a j t a
gaita	ɡ a j t a
gaiteiro	ɡ a j t e j ɾ o̝
gaivota	ɡ a j β ɔ t a̝
galafre	ɡ a l a f ɾ e̝
galar	ħ a l a ɾ
galar	ɡ a l a ɾ
galardón	ħ a l a ɾ d o ŋ
galardón	ɡ a l a ɾ d o ŋ
galaxia	ħ a l a k s j a
galaxia	ɡ a l a k s j a
galbana	ħ a l b a n a
galbana	ɡ a l b a n a
galbán	ħ a l b a ŋ
galbán	ɡ a l b a ŋ
galdaripo	ħ a l d a ɾ i p ʊ
galdaripo	ɡ a l d a ɾ i p ʊ
galdrapa	ɡ a l d ɾ a p a̝
galega	ħ a l e ħ ɐ
galega	ɡ a l e ɣ ɐ
galega	χ a l e χ ɐ
galego	ħ a l e ħ o
galego	ɡ a l e ɡ o
galegofalante	ħ a l e ħ o f a l a n t e
galegofalante	ɡ a l e ɡ o f a l a n t e
galería	ħ a l e ɾ i a
galería	ɡ a l e ɾ i a
galeón	ħ a l e o ŋ
galeón	ɡ a l e o ŋ
galga	ɡ a l ɣ a̝
galgar	ɡ a l ɣ a ɾ
galiña	ħ a l i ɲ a
galiña	ɡ a l i ɲ a
galiñeiro	ɡ a l i ɲ e j ɾ o̝
galla	ɡ a ʎ a̝
gallado	ɡ a ʎ a ð o̝
galladura	ɡ a ʎ a ð u ɾ a̝
gallar	ħ a ʎ a ɾ
gallar	ɡ a ʎ a ɾ
gallardo	ħ a ɟ a ɾ d o
gallardo	ɡ a ɟ a ɾ d o
gallo	ħ a ɟ o
gallo	ɡ a ɟ o
gallofo	ħ a ɟ ɔ f o
gallofo	ɡ a ɟ ɔ f o
galo	ħ a l o
galo	ɡ a l o
galocha	ħ a l ɔ t͡ʃ a
galocha	ɡ a l ɔ t͡ʃ a
galopar	ɡ a l o p a ɾ
galopín	ɡ a l o p i ŋ
galra	ħ a l r a
galra	ɡ a l r a
galván	ħ a l b a ŋ
galván	ɡ a l b a ŋ
gamba	ħ a m b a
gamba	ɡ a m b a
gamela	ɡ a m ɛ l a̝
gamón	ħ a m o ŋ
gamón	ɡ a m o ŋ
gana	ɡ a n a̝
ganapán	ħ a n a p a ŋ
ganapán	ɡ a n a p a ŋ
gancho	ħ a n t͡ʃ o
gancho	ɡ a n t͡ʃ o
gando	ħ a n d o
gando	ɡ a n d o
ganduxar	ɡ a n d u ʃ a ɾ
ganir	ɡ a n i ɾ
ganso	ħ a n s o
ganso	ɡ a n s o
ganzo	ɡ a n θ o̝
garabato	ɡ a ɾ a β a t o̝
garabito	ħ a ɾ a b i t o
garabito	ɡ a ɾ a b i t o
garabizo	ɡ a ɾ a β i s o̝
garabizo	ɡ a ɾ a β i θ o̝
garabullo	ɡ a ɾ a β u ʎ o̝
garantir	ħ a ɾ a n t i ɾ
garantir	ɡ a ɾ a n t i ɾ
garavanzo	ħ a ɾ a b a n s o
garavanzo	ħ a ɾ a b a n θ o
garavanzo	ɡ a ɾ a b a n θ o
gardar	ɡ a ɾ d a ɾ
garduña	ħ a ɾ d u ɲ a
garduña	ɡ a ɾ d u ɲ a
garduñas	ħ a ɾ d u ɲ a s
garduñas	ɡ a ɾ d u ɲ a s
garela	ħ a ɾ ɛ l a
garela	ɡ a ɾ ɛ l a
garfela	ɡ a ɾ f ɛ l a̝
garfelo	ɡ a ɾ f ɛ l o̝
garfo	ħ a ɾ f o
garfo	ɡ a ɾ f o
gargallada	ɡ a ɾ ɣ a ʎ a ð a̝
gargallar	ɡ a ɾ ɣ a ʎ a ɾ
garganta	ħ a ɾ ħ a n t a
garganta	ɡ a ɾ ɡ a n t a
garimar	ɡ a ɾ i m a ɾ
garrocha	ħ a r ɔ t͡ʃ a
garrocha	ɡ a r ɔ t͡ʃ a
garrote	ħ a r ɔ t e
garrote	ɡ a r ɔ t e
garza	ħ a ɾ s a
garza	ħ a ɾ θ a
garza	ɡ a ɾ θ a
gasolina	ħ a s ɔ l i n a
gasolina	ɡ a s ɔ l i n a
gaspacho	ɡ a s p a t͡ʃ o̝
gaspeto	ɡ a s p e t o̝
gaspeto	ɡ a θ p e t o̝
gastallo	ɡ a s t a ʎ o̝
gastar	ħ a s t a ɾ
gastar	ɡ a s t a ɾ
gastroscopio	ħ a s t ɾ o s k ɔ p j o
gastroscopio	ɡ a s t ɾ o s k ɔ p j o
gato	ħ a t o
gato	ɡ a t o
gatos	ħ a t o s
gatos	ɡ a t o s
gavela	ɡ a β ɛ l a
gañar	ɡ a ɲ a ɾ
gema	ʃ e m a
genocídio	ʃ e n o s i d j o
genocídio	ʃ e n o θ i d j o
geográficas	ʃ e o ħ ɾ a f i k a s
geográficas	ʃ e o ɡ ɾ a f i k a s
geográfico	ʃ e o ħ ɾ a f i k o
geográfico	ʃ e o ɡ ɾ a f i k o
gheada	ħ e a d a
gheada	ɡ e a d a
glacial	ħ l a s j a l
glacial	ħ l a θ j a l
glacial	ɡ l a θ j a l
glaciar	ħ l a s j a ɾ
glaciar	ħ l a θ j a ɾ
glaciar	ɡ l a θ j a ɾ
glaciares	ħ l a s j a ɾ e s
glaciares	ħ l a θ j a ɾ e s
glaciares	ɡ l a θ j a ɾ e s
glande	ħ l a n d e
glande	ɡ l a n d e
glosa	ħ l ɔ s a
glosa	ɡ l ɔ s a
glosas	ħ l ɔ s a
glosas	ɡ l ɔ s a
gobelete	ɡ o β e l e t e̝
gobernallo	ɡ o β e ɾ n a ʎ o̝
gobernar	ħ o b ɛ ɾ n a ɾ
gobernar	ɡ o b ɛ ɾ n a ɾ
goberno	ħ o b ɛ ɾ n o
goberno	ɡ o b ɛ ɾ n o
godalla	ħ o d a ɟ a
godalla	ɡ o d a ɟ a
godallo	ħ o d a ɟ o
godallo	ɡ o d a ɟ o
gola	ɡ ɔ l a
goldra	ɡ o l d ɾ a̝
goldre	ħ o l d ɾ e
goldre	ɡ o l d ɾ e
golf	ħ ɔ l f
golf	ɡ ɔ l f
golfe	ħ ɔ l f e
golfe	ɡ ɔ l f e
golfiño	ɡ o l f i ɲ o̝
golfón	ɡ o l f o ŋ
golpe	ɡ ɔ l p e̝
goma	ħ o m a
goma	ɡ o m a
gomas	ħ o m a s
gomas	ɡ o m a s
gonzo	ɡ o n θ o
gorar	ɡ o ɾ a ɾ
gordo	ħ o ɾ d o
gordo	ɡ o ɾ d o
gordén	ɡ o ɾ ð ɛ ŋ
gorentar	ɡ o ɾ e n t a ɾ
gorentar	ɡ o ɾ ɛ n t a ɾ
gorgoiro	ɡ o ɾ ɣ o j ɾ o̝
gorgola	ɡ o ɾ ɣ o l a̝
gorgolexar	ɡ o ɾ ɣ o l e ʃ a ɾ
gorgolexo	ɡ o ɾ ɣ o l e ʃ o̝
gorgolo	ɡ o ɾ ɣ o l o̝
gorgomil	ɡ o ɾ ɣ o m i l
gorgozada	ɡ o ɾ ɣ o s a ð a̝̝
gorgozada	ɡ o ɾ ɣ o θ a ð a̝
gorgozo	ɡ o ɾ ɣ o s o̝
gorgozo	ɡ o ɾ ɣ o θ o̝
gorgueira	ɡ o ɾ ɣ e j ɾ a̝
gorila	ɡ ʊ ɾ i l ɐ
gornecer	ħ o ɾ n e s e ɾ
gornecer	ħ o ɾ n e θ e ɾ
gornecer	ɡ o ɾ n e θ e ɾ
gornir	ɡ o ɾ n i ɾ
goro	ɡ ɔ ɾ o̝
gorrión	ħ o r i o ŋ
gorrión	ɡ o r i o ŋ
gorxa	ħ ɔ ɾ ʃ a
gorxa	ɡ ɔ ɾ ʃ a
gosto	ħ o s t o
gosto	ɡ o s t o
gota	ħ o t a
gota	ɡ o t a
goteira	ɡ o t e j ɾ a̝
goto	ɡ o t o̝
gozar	ħ o s a ɾ
gozar	ħ o θ a ɾ
gozar	ɡ o θ a ɾ
graal	ɡ ɾ a a l
graba	ħ ɾ a b a
graba	ɡ ɾ a b a
graciñas	ħ ɾ a s i ɲ a s
graciñas	ħ ɾ a θ i ɲ a s
graciñas	ɡ ɾ a θ i ɲ a s
gradar	ɡ ɾ a ð a ɾ
grade	ħ ɾ a d e
grade	ɡ ɾ a d e
gradual	ħ ɾ a d u a l
gradual	ɡ ɾ a d u a l
gradualmente	ħ ɾ a d u a l m e n t e
gradualmente	ɡ ɾ a d u a l m e n t e
gralla	ɡ ɾ a ʎ a̝
grallar	ɡ ɾ a ʎ a ɾ
grama	ħ ɾ a m a
grama	ɡ ɾ a m a
gramalleira	ɡ ɾ a m a ʎ e j ɾ a̝
gramar	ɡ ɾ a m a ɾ
grampa	ħ ɾ a m p a
grampa	ɡ ɾ a m p a
grampín	ħ ɾ a m p i ŋ
grampín	ɡ ɾ a m p i ŋ
gran	ħ ɾ a ŋ
gran	ɡ ɾ a ŋ
granada	ħ ɾ a n a d a
granada	ɡ ɾ a n a d a
grande	ħ ɾ a n d e
grande	ɡ ɾ a n d e
grandeiro	ħ ɾ a n d e j ɾ o
grandeiro	ɡ ɾ a n d e j ɾ o
grandes	ħ ɾ a n d e s
grandes	ɡ ɾ a n d e s
granxa	ɡ ɾ a n ʃ a̝
granxeiro	ɡ ɾ ɐ n ʃ e j ɾ ʊ
grao	ħ ɾ a o
grao	ħ ɾ a w
grao	ɡ ɾ a o
grao	ɡ ɾ a w
gratis	ħ ɾ a t i s
gratis	ɡ ɾ a t i s
gratuíto	ħ ɾ a t u i t o
gratuíto	ɡ ɾ a t u i t o
grau	ħ ɾ a w
grau	ɡ ɾ a w
gravitas	ħ ɾ a b i t a s
gravitas	ɡ ɾ a b i t a s
graxa	ħ ɾ a ʃ a
graxa	ɡ ɾ a ʃ a
graxo	ħ ɾ a ʃ o
graxo	ɡ ɾ a ʃ o
grazas	ħ ɾ a s a s
grazas	ħ ɾ a θ a s
grazas	ɡ ɾ a θ a s
graña	ɡ ɾ a ɲ a̝
grea	ɡ ɾ e a̝
grei	ɡ r e j
grei	ɡ r ɛ j
grelo	ɡ ɾ e l o̝
grelo	ɡ ɾ i l o̝
grilanda	ɡ r i l a n d a̝
grillo	ħ ɾ i ɟ o
grillo	ɡ ɾ i ɟ o
grilo	ħ ɾ i l o
grilo	ɡ ɾ i l o
gripe	ħ ɾ i p e
gripe	ɡ ɾ i p e
gripo	ħ ɾ i p o
gripo	ɡ ɾ i p o
gris	ħ ɾ i s
gris	ɡ ɾ i s
gritar	ħ ɾ i t a ɾ
gritar	ɡ ɾ i t a ɾ
grito	ħ ɾ i t o
grito	ɡ ɾ i t o
groba	ħ ɾ ɔ b a
groba	ɡ ɾ ɔ b a
grolo	ɡ ɾ o l o̝
gromo	ħ ɾ o m o
gromo	ɡ ɾ o m o
groria	ɡ ɾ ɔ ɾ j a̝
groso	ħ ɾ ɔ s o
groso	ɡ ɾ ɔ s o
groto	ɡ ɾ o t o̝
grou	ħ ɾ o w
grou	ɡ ɾ o w
groucho	ɡ ɾ o w t͡ʃ o̝
grupo	ħ ɾ u p o
grupo	ɡ ɾ u p o
gruta	ɡ ɾ u t a̝
guantes	ħ w a n t e s
guantes	ɡ w a n t e s
guapa	ħ w a p a
guapa	ɡ w a p a
guapas	ħ w a p a s
guapas	ɡ w a p a s
guapo	ħ w a p o
guapo	ɡ w a p o
guapos	ħ w a p o s
guapos	ɡ w a p o s
guarnecer	ħ w a ɾ n e s e ɾ
guarnecer	ħ w a ɾ n e θ e ɾ
guarnecer	ɡ w a ɾ n e θ e ɾ
gue	ħ e
gue	ɡ e
gueifa	ɡ e j f a̝
guepardo	ɡ ɪ p a ɾ ð ʊ
guerra	ħ ɛ r a
guerra	ɡ ɛ r a
guerreiro	ħ ɛ r e j ɾ o
guerreiro	ɡ ɛ r e j ɾ o
guerrilla	ħ e r i ɟ a
guerrilla	ɡ e r i ɟ a
guerrilleiro	ħ e ɾ i ɟ e j ɾ o
guerrilleiro	ɡ e ɾ i ɟ e j ɾ o
guiado	ɡ i a ð o̝
guiar	ɡ i a ɾ
guichar	ħ i t͡ʃ a ɾ
guichar	ɡ i t͡ʃ a ɾ
guillado	ħ i ʎ a ð o̝
guillado	ɡ i ʎ a ð o̝
guillo	ɡ i ʎ o̝
guinche	ɡ i n t͡ʃ e̝
guincho	ɡ i n t͡ʃ o̝
guindar	ɡ i n d a ɾ
guindareza	ɡ i n d a ɾ e s ɐ
guindareza	ɡ i n d a ɾ e θ ɐ
guindastre	ħ i n d a s t ɾ e
guindastre	ɡ i n d a s t ɾ e
guisa	ɡ i s a̝
guisado	ħ i s a d o
guisado	ɡ i s a d o
guisar	ɡ i s a ɾ
guiso	ɡ i s o̝
guispar	ɡ i s p a ɾ
guitarra	ħ i t a r a
guitarra	ɡ i t a r a
guizo	ɡ i s o̝
guizo	ɡ i θ o̝
gulapo	ɡ u l a p o̝
gume	ɡ u m e̝
gurgulla	ɡ u ɾ ɣ u ʎ a̝
gurgullar	ɡ u ɾ ɣ u ʎ a ɾ
gurgullo	ɡ u ɾ ɣ u ʎ o̝
gurgullón	ɡ u ɾ ɣ u ʎ o ŋ
gurrias	ħ u r j a s
gurrias	ɡ u r j a s
gusta	ħ u s t a
gusta	ɡ u s t a
gustar	ħ u s t a ɾ
gustar	ɡ u s t a ɾ
gusto	ħ u s t o
gusto	ɡ u s t o
guto	ħ u t o
guto	ɡ u t o
góndola	ħ o n d o l a
góndola	ħ ɔ n d o l a
góndola	ɡ o n d o l a
góndola	ɡ ɔ n d o l a
habelencia	a β e l ɛ n θ j a̝
habenza	a β e n θ a̝
habenza	a β ɛ n θ a̝
haber	a b e ɾ
habilidade	a b i l i d a d e
habitacional	a b i t a s j o n a l
habitacional	a b i t a θ j o n a l
habitación	a b i t a s j o ŋ
habitación	a b i t a θ j o ŋ
habitar	a b i t a ɾ
habitaram	a b i t a ɾ a ŋ
hache	a t͡ʃ e
halar	a l a ɾ
hamburguesa	a m b u ɾ ɣ e s ɐ
han	a n
harmonía	a ɾ m o n i a
harpía	a ɾ p i a
has	a s
haxa	a ʃ a
hedra	ɛ ð ɾ a̝
hedreira	ɛ ð ɾ e j ɾ a̝
hemoglobina	ɛ m o ħ l o b i n a
hemoglobina	ɛ m o ɡ l o b i n a
hepático	ɛ p a t i k o
herculino	ɛ ɾ k u l i n o̝
herdade	ɛ ɾ ð a ð e̝
herdanza	ɛ ɾ d a n s a
herdanza	ɛ ɾ d a n θ a
herdar	ɛ ɾ ð a ɾ
heree	e ɾ ɛ
hermeneuta	ɛ ɾ m e n ɛ w t a̝
hermeneutas	ɛ ɾ m e n ɛ w t a̝ s
hermenéutica	ɛ ɾ m e n ɛ w t i k a̝
hermenéuticas	ɛ ɾ m e n ɛ w t i k a̝ s
hermenéutico	ɛ ɾ m e n ɛ w t i k o̝
hermenéuticos	ɛ ɾ m e n ɛ w t i k o̝ s
heroe	ɛ ɾ ɔ e
heroi	ɛ ɾ ɔ j
heroico	e ɾ ɔ j k o
heráldica	e ɾ a l ð i k a̝
hidrolóxico	i ð ɾ o l o ʃ i k o
himen	i m e ŋ
hipertensión	i p e ɾ t e n s j o ŋ
hipocorístico	i p o k o ɾ i s t i k o
hipopótamo	i p o p ɔ t a m o
hisopo	i s ɔ p o
historia	i s t ɔ ɾ j a
ho	ɔ
hogano	o ħ a n o
hogano	o ɡ a n o
holandés	ɔ l a n d ɛ s
home	ɔ m e
homem	ɔ m e ŋ
homes	ɔ m ɪ s
homeópata	ɔ m e ɔ p a t a
homilia	ɔ m i l i a
homofobia	o̞ m o̞ f o̞ β j a̠
honestidade	ɔ n ɛ s t i d a d e
horizonte	ɔ ɾ i s o n t e
horizonte	ɔ ɾ i θ o n t e
hormona	ɔ ɾ m o n a
horrible	o r i b l e
horribles	o r i b l e s
horta	ɔ ɾ t a̝
