Allâh	a l l ɒː h
yaxa	j a χ a
yazmaq	j aˑ z m a q
yağmaq	j a ʁ m a q
yağâq	j a ʁ ɑː q
yağâq	j a ʁ ɒː q
yağâq	j a ʁ ɒˑ q
yağâq	j ʊ ʁ ɑː q
yağâq	j ʊ̞ ʁ ɒˑ q
yağış	j a ʁ ɪ ʃ
yağış	j a ʁ ɪ̈ ʃ
yağış	j a ʁ ʊ ʃ
yağış	j a ʁ ʏ̠ ʃ
yağış	j ɑ ʁ ʊ ʃ
yel	j eː l
yel	j eˑ l
yel	j ɛ l
yel	j ɛˑ l
yer	j eˑ ɾ
yer	j e̞ˑ ɾ
yer	j i e̯ ɾ
yer	j ɛ ɾ
yeyin	j ɛ j ɪ n
yeyin	j ɛ ɡ ɪ n
yigirmi	j i j i ɾ m ɪ
yigirmi	j i ɡ i ɾ m ɪ
yik	j iː k
yik	j iˑ k
yik	j i̞ˑ k
yilgər	y ɪ l ɟ æ̞ ɾ
yilân	j i l ɒː n
yilân	j i̞ l ɑː n
yilân	ɡ i l ɑː n
yingül	j y ŋ ɡ y l
yingül	j ɪ ŋ ɡ ɪ l
yirək	j i ɾ æ k
yitmək	j ɪ t m æ k
yittig	j i t d̥ i
yittig	j ɪ t d i
yittig	j ɪ t t iː
yittig	j ɪ t t ɪ ɡ
yorğân	j o ɾ ʁ aː n
yorğân	j ʊ̞ ɾ ʁ ɒː n
yovuq	j o u̯ q
yoğun	j o̞ ʁ ʊˑ n
yoğuq	j ɔ ʁ ʊ q
yulduz	y ʊ l d ʊ z̥
yulduz	y ʊ l d ʊˑ z
yumurtqa	j ʊ m ʊ ɾ q ⁽ʰ ⁾ a
yumurtqa	j ʊ m ʊ ɾ t χ a
yumuşaq	j u m ʊ̆ ʃ ɒ k
yung	j u ŋ k
yung	j uː ŋ
yung	j uˑ ŋ
yung	j u̞ː ŋ
yung	j u̞ˑ ŋ
yung	j ʊˑ ŋ
yung	j ʊˑ ŋ ɡ
yuqqar	j ʊ q q a ɾ
yuqqar	j ʊ̞ q q ɒ ɾ
yâan	j ɑː ɑ̯ n
yâaz	j ɑː ɑ̯ z
yâağ	j ɑː ɑ̯ ʁ
yâaş	j ɑː ɑ̯ ʃ
yâd	j ɒː d
yâdamaq	j ɒː d a m a q
yâmaq	j ɑː ɑ̯ m a q
yâğ	j ɒˑ ʁ
yâğlığ	j ɑː ɑ̯ ʁ l ʊ ʁ
yâğlığ	j ɒː ɒ̯ ʁ l ʊ χ
yâşıl	j ɑː ɑ̯ ʃ ɪ̈ l
yâşıl	j ɒː ɒ̯ ʃ ʊ l
yêmək	j eː e̯ m æ k
yêmək	j eː m æ k
yêmək	j e̞ː m æ k
yêmək	j i̯ eː m æ k
yêmək	j i̯ e̞ː m æ k
yêtmiş	y eː t m i ʃ
yêtti	j i̯ eː t ɪ
yîemək	j iː e̯ m æ k
yîetmiş	y i e̯ t m i ʃ
yîp	j iː p
yîp	j ɪ p
yîplik	j iː p l ʏ k
yîrmi	j i ɾ m ɪ
yîrmi	j iː i̯ ɾ m i
yîrmi	j iː ɾ m ɪ
yîrmi	j ɪ ɾ m ɪ
yôl	j oː l
yôl	j u̯ oː l
yôllamaq	j ʊ̞ˑ lː ɑ m a q
yôq	j oː q
yôq	j u̯ oː q
yôrmaq	j o o̯ ɾ m a q
yôrmaq	j oː ɾ m a q
yûmaq	j uː u̯ m a q
yûol	j uː o̯ l
yûol	j ʊː o̯ l
yûollamaq	j u o̯ lː a m a q
yûoq	j uː o̯ q
yûormaq	j u o̯ ɾ m a q
yûormaq	j ʊ o̯ ɾ m a q
yûormaq	j ʊ̞ o̯ ɾ m a q
yûrt	j uː u̯ ɾ t
yûtmaq	j uː t m a q
yûtmaq	j uː u̯ t m a q
yü̂z	j iː z
yü̂z	j iˑ z
yü̂z	j y z
yü̂z	j yː z
yü̂z	j yː z̥
yü̂z	j y̜ː z
yü̂z	y i i̯ z
yü̂z	y iː i̯ z
yü̂z	y iˑ z
yıd	j ɪ̈ d̥
yıd	j ɪ̈ t
yıdlamaq	j ɪ d l a m a q
yıdlamaq	j ɪ̈ d̥ l a m a q
yıdımaq	j ɪ d ʊ m a q
yıdımaq	j ɪ̈ d ɪ̈ m a q
yıdımaq	j ɪ̈ d ʊ m a q
yıl	j i l
yıl	j iˑ l
yıl	j ɪ l
yıl	j ɪ̈ˑ l
yılqı	j i l q ɨ
yılqı	j i l q ɪ̈
yılqı	j i̞ l q ɪ̈
yılqı	j ɪ̈ l χ ɪ̈
yılımaq	j ɪ l ʊ m a q
yılımaq	j ɪ̈ l ʊ m a q
yılımaq	j ʊ l ʊ m a q
yımmaq	j ɪ m m a q
yımmaq	j ʊ m m a q
yıqmaq	j ɪ̈ q m a q
yıqmaq	j ʊ q m a q
yıqılmaq	j ɪ q ʊ l m a q
yıqılmaq	j ɪ̈ q ʊ l m a q
yıqılmaq	j ʊ q ʊ l m a q
yırâq	j i ɾ ɒː q
yığmaq	j ɪ ʁ m a q
yəkkə	j æ k k æ
yəkkə	j æ k ɡ̊ æ
yələk	j æ̞ l æ̞ k
yəngi	j æ ŋ ɡ i
yəngi	j ɛ ŋ ɡ i
yəngmək	j æ ŋ ɡ m æ k
yətmiş	j æ t m i ʃ
yətmiş	j æ t m ɪ ʃ
yətti	j æ tː i
yətti	j æ tː ɪ
yəvâş	j æ v ɒː ʃ
zamân	z a m ɒː n
zumruq	z ʊ m ɾ ʊ q
zuğâl	z ʊ ʁ ɑː l
zuğâl	z ʊ ʁ ɒː l
zə̂r	z æː ɾ
âar	ɑː ɑ̯ ɾ
âat	ɑː ɑ̯ t
âbi	ɒː b ɪ
âbistən	ɒˑ b ɪ s t æ n
âbəmbâr	ɒː b æ m b ɒː ɾ
âhən	ɒ h æ n
âhən	ɒː h ɪ n
âlu	a l ʊ
âlu	ɒˑ l u
âluça	a l ʊ t͡ʃ a
âluça	a l ʊ̆ t͡ʃ a
âman	ɒː m a n
âmı	ɑː m u
âmı	ɑː m u̞
âmı	ɑː m ɪ
âmı	ɑː m ʊ
âmı	ɑː m ʊˑ
âmı	ɒː m ɪ
âmı	ɒː m ʊ
âmı	ɒːː m i̞
âmı	ɔ̞ː m iː
âmı	ɔ̞ː m i̞
âmı	ɔ̞ː m ɪ
âmı	ɔ̞ː m ɪ̈
ând	aː n d
ârâm	ɒː ɾ ɒː m
ârızu	ɒː ɾ ɪ̈ z ʊ
âsimân	ɒˑ s ɪ̆ m ɒː n
âsmân	oː s m ɒː n
âsmân	ɑː s m ɑː n
âsmân	ɑː s v ɑː n
âsmân	ɒː s m ɑː n
âsmân	ɒː s m ɒː n
âsmân	ɒˑ s m ɒˑ n
âstər	ɒ s t æ̞ ɾ
âsân	ɒː s ɒː n
ât	aː t
ât	ɑː t
âtlamaq	ɑː ɑ̯ t l a m a q
âtlığ	ɑː ɑ̯ t l ʊ ʁ
âvâz	ɒ v ɒˑ z
âvâz	ɒː v ɒː z
âxır	a χ ɪ̈
âxır	ɒː χ ɪ̈ ɾ
âyılmaq	aː j ɪ̈ l m a q
âyılmaq	aː j ʊ l m a q
âyəndə	ɒː j æ n d æ
âzuqa	ɒː z ʊ ʁ a
âzâd	ɒː z ɒː d
âzâr	ɒː z ɒː ɾ
âç	ɑː t͡ʃ
âç	ɒː ɒ̯ t͡ʃ
âğız	aː ʁ ɪ z
âğız	aː ʁ ɪ̈ z
âğız	aː ʁ ɪ̹̈ z
âğız	aː ʁ ʊ z
âğız	aː ʁ ʊ̜ z
âğız	aː ʁ ʏ z
âğız	aː ʁ ʏ̜ z
âş	ɑː ʃ
âş	ɒː ʃ
âşnâ	ɒː ʃ n ɒː
âşpəz	ɒː ʃ p æ z
âşpəzxânə	ɑː ʃ p a z χ ɑː n æ
âşub	ɒː ʃ u b
âşıq	a ʃ ɪ̈ ʁ
âşıq	ɒː ʃ ɪ̈ q
çalmaq	t͡ʃ aː l m a q
çalmaq	t͡ʃ ɒ l m a q
çamur	t͡ʃ a m ʊ ɾ
çapmaq	t͡ʃ a p m a q
çaqır	t͡ʃ a q ɪ̈ ɾ
çaqır	t͡ʃ ɒ q ʊ ɾ
çarx	t͡ʃ a ɾ χ
çağurmaq	t͡ʃ a ʁ ʊ ɾ m a q
çinâr	t͡ʃ ɪ n ɒː ɾ
çirâğ	t͡ʃ i ɾ ɒ ʁ
çirâğ	t͡ʃ ɪ ɾ ɑː ʁ
çirâğ	t͡ʃ ɪ ɾ ɒː ʁ
çizmək	t͡ʃ iː z m æ k
çolaq	t͡ʃ o l aː q
çolaq	t͡ʃ ʊ̞ l ɒ q
çuluk	t͡ʃ u̞ l ʊ k
çuluk	t͡ʃ ʊ l ʊ k
çâay	t͡ʃ ɒː ɒ̯ j
çân	t͡ʃ ɑː n
çân	t͡ʃ ɒː n
çâna	t͡ʃ a n a
çânə	t͡ʃ ɒˑ n æ̞
çâq	t͡ʃ ɑː q
çâq	t͡ʃ ɒː ʁ̥
çây	t͡ʃ ɒː j
çâşt	t͡ʃ ɒː ʃ t
çîin	t͡ʃ iː i̯ n
çülük	t͡ʃ y l y k
çəkmək	t͡ʃ æ k m æ k
çəng	t͡ʃ æ ŋ ɡ
çənə	t͡ʃ æ n æ
êm	eː m
ênmək	eː n m æ k
ênə	i̯ eː n æ
êsürmək	eː s ʏ ɾ m æ k
êtmək	i̯ ɛ t m æ k
êtmək	j ɛ t m æ k
êşük	eː ʃ ɪ k
êşük	eː ʃ ʏ k
îem	iː e̯ m
îenmək	iː e̯ n m æ k
îenə	iː e̯ n æ
îesürmə	iː e̯ s ʏ ɾ m æ
îesürmək	iː e̯ s ʏ ɾ m æ k
îetmək	i e̯ t m æ k
îetmək	iː e̯ t m æ k
îeşük	i e̯ ʃ ʏ̜ k
îeşük	iː e̯ ʃ i k
îeşük	iː e̯ ʃ ɪ k
îeşük	iː e̯ ʃ ʏ k
îeşük	ɪː ɛ̯ ʃ ɪ k
ît	iː t
ît	i̞ t
ît	ɪˑ t
îş	iː ì̯ ʃ
îş	iː ʃ
îş	iˑ ʃ
ô	oː
ô	oˑ
ô	uː
ô	uˑ
ô	ʊ̞
ô	ʊ̞ː
ôda	oː d a
ôda	u̯ oː d a
ôlmaq	o l m a q
ôlmaq	oː l m a q
ôlmaq	u̯ o̞ː l m a q
ôlmaq	u̯ ɔ l m a q
ôlmaq	w o l m a q
ôlmaq	ʊ̞ l m a q
ôn	oː n
ôn	o̞ n
ôn	o̯ ɔː n
ôn	u̯ o̞ˑ n
ôn	u̯ ɔˑ n
ôn	ɔˑ n
ônamaq	oː n a m a q
ôra	oː ɾ a
ôra	u̯ oː ɾ a
ölmək	œ l m æ k
öyrənmək	œ j ɾ æ̞ n m æ k
û	uː
û	u̞ː
ûdımaq	uː d ɪ m a q
ûdımaq	uː d ʊ m a q
ûo	uː o̯
ûo	ʊ̞ː o̯
ûolmaq	u o̯ l m a q
ûolmaq	ʊ o̯ l m a q
ûon	uː o n
ûon	uː o̯ n
ûon	ʊ ɔ n
ûon	ʊː o̯ n
ûonamaq	uː o̯ n a m a q
ûonamaq	u̞ː o̯ n a m a q
ürtmək	i ɾ t m æ k
ürtmək	ɪ ɾ t m æ k
ürtmək	ʏ ɾ t m æ k
üşütmək	ɪ ʃ ʏ t m æ k
üşütmək	ʏ ʃ ʏ t m æ k
ü̂ç	iː t͡ʃ
ü̂ç	i̹ː t͡ʃ
ü̂ç	yː t͡ʃ
ü̂ç	yː ʃ
ü̂ç	y̜ː t͡ʃ
ü̂çminci	yː t͡ʃ m ɪ n d͡ʒ ɪ
ışımaq	ɪ̈ ʃ ɪ̈ m a q
ışıq	i̠ ʃ ɪ̠ q
ışıq	ɨ ʃ ɪ̈ q
ışıq	ɪ̈ ʃ ɪ̈ q
ışıq	ɪ̈ ʃ ɪ̈ χ
Şəytân	ʃ æ j t ɒː n
şamaq	ʃ aˑ m a q
şâh	ʃ ɒː
şâm	ʃ ɒː m
şâxa	ʃ ɑː χ a
şâxa	ʃ ɒː χ a
şâxə	ʃ ɒˑ χ æ
şîr	ʃ iː ɾ
şîrin	ʃ i ɾ i n
şîrin	ʃ iː ɾ i n
şôr	ʃ oˑ ɾ
şôr	ʃ u oː ɾ
şûor	ʃ uː o̯ ɾ
şəftâlu	ʃ æ̞ f t ɒ l u
şəftâlu	ʃ æ̞ f t ɒˑ l u
şəmək	ʃ æ m æ k
əbə	a b a
əbə	æ b æ
əbə	æ β æ
əbə	æ̞ b æ
əbə	æ̞ b æ̞
əbə	æ̞ b ə
əfsûn	æ f s uː n
əkki	æ kː i
əkki	æ kː ɪ
əkki	æ̞ kː i
əkki	æ̞ kː y
əkkiminci	æ k k ɪ m ɪ n d͡ʒ ɪ
əkə	æ k æ
əkə	æ̞ k æ
əl	æˑ l
əl	æ̞ l
əl	æ̞ˑ l
əllig	æ lː i
əllig	æ lː i ɟ
əllig	æ lː iː
əllig	æ lː ɪ ɡ
əllig	æ̞ lː i j
əllig	æ̞ lː iː
əllig	æ̞ lː ɪ ɡ
əlân	æ l ʔ ɑː n
əlân	æ l ʔ ɒː n
əmmâ	æ mː ɒː
əmmâ	æ̞ mː ɒː
əmmək	æ m m æ k
əmı	æ̞ m u
əmı	æ̞ m u̞
əmı	æ̞ m ʊ
əmı	æ̞ː m ɪ
əngîn	æ ŋ ɡ iː n
əngîn	æ̞ ŋ ɡ iː n
əngür	æ ŋ ɡ i ɾ
əngür	æ ŋ ɡ y ɾ
əngür	æ ŋ ɡ ɪ ɾ
əngür	æ ŋ ɡ ʏ ɾ
əngür	æ̞ ŋ ɡ i ɾ
əngür	æ̞ ŋ ɡ y ɾ
ərcin	æ ɾ d͡ʒ ɪ n
ərin	æ ɾ ɪ̹ n
ərin	æ ɾ ʏ n
ərin	æː ɾ ʊ n
ərin	æˑ ɾ ɪ n
ərin	æ̞ nː e
ərin	æ̞ˑ ɾ ɪ n
ərzân	æ ɾ z ɒː n
ərük	æ̞ ɾ i k
əsəl	æ s æ l
ət	æ t
ət	æˑ t
ət	æ̞ t
əvvəl	æ v v æ l
əymək	æ j m æ k
əyri	æ j ɾ ɪ
əçkü	æ t t͡ʃ ʏ
əçkü	æ t͡ʃ ɡ y
əçkü	æ t͡ʃ ɡ̊ ʏ
əçkü	æ̞ k c y
əçkü	æ̞ k t͡ʃ ɪ
əçkü	æ̞ t t͡ʃ i
əşgə	æ ʃ ɡ æ
əşgə	æ ʃ ɡ̊ æ
əşgə	æ̞ ʃ k æ
əşgə	æ̞ ʃ ɡ̊ æ
əşhədâq	æ ʃ h æ d ɒː q
əşhədâq	æ ʃ æ d ɑː q
əşhədâq	æ ʃʰ æ d ɒː q
əşitmək	æ ʃ ɪ t m æ k
əşitmək	æ̞ ʃ ɪ t m æ k
əşitmək	ɛ ʃ ɪ t m æ k
əştədâq	æ̞ ʃ t æ d ɒ q
əştədâq	æ̞ ʃ t æ̞ d ɒ q
ə̂tə	h æ̞ː æ̯ t æ
ə̂tə	æ t æ
ə̂tə	æː t æ
ə̂tə	æ̞ː t æ
