adaş	a d a ʃ
nâşmaq	n aː ʃ m a q
nêdə	n eː d æ
nêdə	n i̯ eː d æ
nêrə	n eː ɾ æ
nêrə	n i̯ eː ɾ æ
nîersə	n iː e̯ ɾ s æ
nə	n æ
nə	n æ
nəbîrə	n æ̞ b iː ɾ æ
nəbîrə	n æ̞ β iː ɾ æ
nəfəs	n æ f æ s
nənjân	n æ n d͡ʒ ɒː n
nənjân	n æ n d͡ʒ ɔ̞ː n
nənjân	n æ n d͡ʒ aː n
nənjân	n æ̞ː n d͡ʒ ɑː n
nənjûn	n aː n d͡ʒ uː n
nənjûn	n a n d͡ʒ uː n
nənjûn	n æː n d͡ʒ uː n
nənə	n æ n æ
nənə	n æ̞ n æ
nənə	n æˑ n æ
nənə	n æː n æ
nənə	n æ̞ː n æ
nənə	n æ̞ n æ̞
nənə	n æ̞ˑ n æ
nənəcân	n æ n æ d͡ʒ ɑː n
nənəcân	n æ n æ d͡ʒ ɒːː n
nənəcân	n æ n æ d͡ʒ ɒː n
nənəcân	n æ n æ d͡ʒ ɔ̞ː n
nərm	n æ ɾ m
nətîcə	n æ̞ t iː d͡ʒ æ
nətîcə	n æ̞ t iː d͡ʒ æ̞
nətîcə	n æ t iː d͡ʒ æ
nətîcə	n æ̞ t iˑ d͡ʒ æ
nətîcə	n æ t iˑ d͡ʒ æ
nətîcə	n æ̞ t iˑ d͡ʒ æ
nətîcə	n æ̞ t i d͡ʒ æ̞
nətîcə	n æ̞ t iː d͡ʒ
nətîcə	n æ̞ t iː d͡ʒ ɛ
nətîcə	n æ t iˑ d͡ʒ ɛ
nətîcə	n æ t iː d͡ʒ æ
nətəy	n æ t æ j
nətəy	n æ t e
nəvə	n æ v æ
nəvə	n æ̞ v æ
nəvə	n æ v æ s i
nəvə	n ɪ v æ
nəvə	n æ v ɜ
nəvə	n æ̞ v æ̞
nəvəd	n æ̞ v æ̞ d
nəy	n æ j
nəysə	n æ j s æ
nəzzâ	n æ z z ɒː
nəççə	n æ t t͡ʃ æ
nə̂rsə	n æː s æ
nə̂rsə	n ɛː ɾ s æ
nə̂rsə	n æː s æ
nə̂rsə	n ɛː s æ
nə̂rsədə	n æː s æ d æ
ocaq	o d͡ʒ a q
otaq	o t a ʁ̥
otaqlığ	o t a ʁ l ʊ ʁ̥
otaqlığ	o t a ʁ l ʊ ʁ
oyın	o j ɪ̈ n
oynamaq	o̞ j n a m a q
oğul	o ʁ ʊ l
oğul	o ʁ l ʊ m
oğul	o̞ ʁ ʊ l
oğul	o ʁ u̞ l
oğul	o ʁ l ʊ
oğul	o ʁ l i
oğul	ɔ ʁ ʊ l
palang	p a l a ŋ ɡ̊
paşşa	p a ʃ ʃ a
paşşa	p a ʃ a
pihin	p e j ɪ n
pihin	p ɪ h ɪ n
pilləkân	p ɪ l l æ k ɒː n
pistə	p ɪ s t æ
pistə	p e s t æ
purtəğâl	p ʊ ɾ t æ ʁ ɒː l
puşuq	p ʊ ʃ ʊ q
puşuq	p ʊ ʃ ʊ kʰ
puşuq	p ʊ ʃ ʊ c
pâru	p ɒˑ ɾ ʊ̞
pâyîz	p ɒː j iː z
pêşânı	p eː ʃ ɑː n i̞
pêşânı	p i̯ eː ʃ ɑː n ɪ
pêşânı	p i̯ eː ʃ ɑː n ʊ
pîh	p iː
pîs	p iː s
pəhin	p æ h ɪ n
pəlləkân	p æ̞ l æ k ɒˑ n
pələng	p æ̞ l æ̞ ŋ ɡ̊
pələng	p æ l æ ŋ ɡ
pəncərə	p æ n d͡ʒ æ̞ ɾ æ
pəncərə	p æ n d͡ʒ æː ɾ æ
pəncərə	p æ n d͡ʒ æ ɾ æ
pənîr	p ɛ n iˑ ɾ
pənîr	p æ n iː ɾ
pənîr	p ɛ n i̞ː e̯ ɾ
pənîr	p ɪ n i e̯ ɾ
pər	p æ̞ ɾ
pər	p æ ɾ
qara	ɢ̥ ɒ ɾ a
qara	q a ɾ a
qaralıq	q a ɾ a l ʊ q
qaralıq	q a ɾ aˑ l ʊ χ
qaralığ	q ɒ ɾ ɒ̃ l ʊ χ
qaralığ	q a ɾ ɑː l ʊ ʁ
qarayâaz	q a ɾ a j ɑː ɑ̯ z
qarın	ɢ a ɾ ɪ n
qarın	ɢ ɑ ɾ ʊ n
qarın	ɢ ɑː ɾ ʊ n
qarın	ɢ aː ɾ ɪ n
qarın	q ɑ ɾ ʏ n
qarın	ɢ ɑˑ ɾ ɪ n
qarın	ɢ ɒ ɾ ɪ n
qarın	q aˑ ɾ ʊ n
qarın	ɢ ɑˑ ɾ ʊ n
qarın	ɢ a ɾ ʏ n
qarın	q aˑ ɾ ʏ n
qarın	ɢ ɔ̞ː ɾ ɪ̆ n æ k
qarın	q aː ɾ ʊ n
qarın	q a ɾ ʊ n
qarın	ɢ ɑː ɾ ʏ n
qarın	q ɑː ɾ ʏ n
qarın	ɢ a ɾ u̞ n
qarın	q a ɾ ʏ n
qarın	q a ɾ ʏ̜ n
qarın	q ɒˑ ɾ ɨ n
qarın	q ɑˑ ɾ ɪ n
qarın	q ɑ ɾ ʊ n
qarın	q ɑˑ ɾ ɪ n
qarın	q aˑ ɾ ɪ n
qarın	q a ɾ ɪ n
qarın	q ɒˑ ɾ ʊ n
qarın	q aː ɾ ʏ n
qarın	ɢ ɑ ɾ ɪ n
qarın	ɢ ɑː ɾ ɪ n
qarın	ɢ aː ɾ ʏ n
qarın	qʰ aˑ ɾ ɪ n
qarın	q ɑː ɾ n ʊ m
qarın	ɢ a ɾ ʊ̞ n
qarın	q ɑː ɾ u̞ n
qarın	ɢ ɑ ɾ ʊ̈ n
qarın	q ɒ ɾ ʊ n
qarın	ɢ a ɾ ʏ̜ n
qarın	ɢ ɑː ɾ ʊ̞ n
qarın	ɢ ɑː ɾ u̞ n
qarın	q ɑˑ ɾ ʊ n
qarın	ɢ ɑ ɾ ʊ̜ n
qarın	ɢ a ɾ ʊ n
qarın	ɢ ɑ ɾ i̞ n
qarın	ɢ aˑ ɾ ʊ n
qarın	q ɑː ɾ ʊ n
qarın	q ɑˑ ɾ ɪ̈ n
qarın	q aː ɾ ɪ̈ n
qarın	q aˑ ɾ ɪ̈ n
qarrı	q a r ɪ
qarrı	q ɑː r ɪ
qarrı	q ɒˑ r i
qarrı	q ɒ r i
qarrı	q ɑ r ɪ̈
qarrımaq	q ɑ r ʊ m a q
qarrımaq	q ɑ r ɪ̈ m a q
qarğu	q ɒ ɾ ʁ ʊ̞
qarğu	ɢ̥ ɒ ɾ ʁ ʊ̞
qarğu	ɢ ɒ ɾ ʁ ʊ̞
qatuq	q ɒ t ʊ q
qatuq	q a t ʊ q
qatuq	q a t ʊ q χ
qaynarvadu	q a i̯ n a ɾ v a d ʊ
qazmaq	q a z m a q
qazğân	q a z ʁ aː n
qazəbnâk	ɢ a z æ b n ɒː k
qaçân	q a t͡ʃ ɑː n
qaşımaq	q a ʃ ʊ m a q
qaşuq	q a ʃ ʊ q
qıblə	q ɪ̠ b l æ
qıblə	ɢ ɪ̈ b l æ
qıız	ɢ iː z
qıız	ɢ iː z ɪ m
qıız	q iː z
qıız	ɢ̥ iː z
qıız	qʰ iː z
qıız	ɢ ɪ̞ z
qıız	ɢ iː z ʊ m
qıız	q iː z̥
qıız	q iː i̯ z
qıız	q i̠ː z
qıız	ɢ iˑ z
qıız	ɢ iː i̯ z
qıız	p ĕ i̯ iː z
qıız	d ɑ d ɑˑ ʃ
qıız	q iː z
qıız	q iː i̯ z̥
qıığırmaq	q iː ʁ ʊ ɾ m a q
qıığırmaq	q iː ʁ ɪ̈ ɾ m a q
qıığırmaq	q iː ʁ ʊ ɾ m a q
qıl	q ɪ̈ l
qıl	ɢ ɪ l
qıl	q ɪ l
qıl	q ɪ̈ l
qıl	q ɪˑ l
qıl	ɢ ɪˑ l
qıl	ɢ̥ ɪ l
qıl	q i̞ˑ l
qıl	q ɪ l ɪ
qıl	q ɪ l
qıl	q ɪ l ɪ
qıl	q ɪ l
qıl	q ɪ l
qıl	q i l
qılîç	ɢ ɪ̈ l iː t͡ʃ
qırmaq	q ɪ̈ ɾ m a q
qırq	q i̠ ɾ q
qırq	q ɪ̠ ɾ q
qırq	q ɨ ɾ q
qırq	q ɪ̈ ɾ q
qırqmıncı	q ɪ̈ ɾ q m ɪ̈ n d ʒ ɪ̈
qısır	q ɪ̈ s ɪ̈ ɾ
qızıl	q ɪ̈ z ɪ̈ l
qıç	q i t͡ʃ
qış	q ɪ̈ ʃ
qol	ɢ ʊ̞ l
qol	ɢ ʊ̞ˑ l
qol	ɢ ʊ l
qol	q ʊ̞ l
qol	ɢ ʊ̞ː l
qol	ɢ ʊ l ʊ m
qol	q ʊ̞ˑ l
qol	q o̞ː l
qol	q ʊ̞ l ʊ m
qol	q ʊ̞ l ɪ m ʏ z
qol	q ʊ̞ː l
qol	q ʊ l
qol	q oː l ʊ m
qol	q o̞ˑ l
qol	q u o̯ l
qol	ɢ oː o̯ l
qol	ɢ oː l
qolay	q ʊ̞ l ɒ j
qolay	ɢ ʊ̞ l æ j
qolay	ɢ ʊ l æ j
qorqmaq	q o̞ ɾ q m a q
qoç	ɢ ɔ t͡ʃ
qoçâq	q ɔ t͡ʃ ɑː q
qudruq	q ʊ ɾ d ʊ q
qudruq	q ʊ d ʊ̆ ɾ ʊ q
qudruq	q ʊ ɾ d ʊ q
qudruq	q ʊ ɾ d ɪ q
qudğı	q ʊ d ʁ i̠
qudğı	q ʊ d ʊ̆ ʁ ʊ
qudğı	q ʊ d ʁ ʊ̞
qudğı	ɢ̥ ʊ d ʁ ʊ̞
qudğı	ɢ ʊ d ʁ ʊ
qulaq	ɢ ʊ l ɑː χ
qulaq	ɢ ʊ l ɒː χ
qulaq	ɢ̥ ʊ l ɒː qʰ
qulaq	q ʊ l ɑː q
qulaq	ɢ ʊ l aː χ
qulaq	q ʊ̞ l aˑ q
qulaq	ɢ ʊ l ɑː q
qulaq	ɢ ʊ l ɒː qʰ
qulaq	ɢ ʊ l ɒː q
qulaq	q ʊ l ɑː χ
qulaq	q ʊ̞ l ɒː qʰ
qulaq	q ʊ l aː q
qulaq	q ʊ l ɒː qʰ
qulaq	q u l ɒ q
qulaq	q ʊ l ɔ̞ː qʰ
qulaq	ɢ̥ ʊ l ɑː χ
qulaq	ɢ ʊ l aˑ χ
qulaq	q ʊ l ɒː χ
qulaq	q u̞ l ɒː χ
qulaq	ɢ̥ u l ɒː q ⁽ʰ ⁾
qulaq	q u̞ l aˑ q
qulaq	ɢ ʊ l ɑː χ
qulaq	ɢ ʊ l ɑ χ
qulva	ɢ ʊ̞ l v ɑ
qulva	ɢ ʊ l v ɑ
qulva	ɢ ʊ l v a
qulva	ɢ ʊ l b a
qulva	ɢ ʊ l v ɒ
qulva	ɢ ʊ l v ɜ
qulva	ɢ ʊ l b ɑ
qulva	ɢ ʊ l v ɔ
qulvə	ɢ ʊ̞ l v æ
qulvə	ɢ ʊ l v æ
qulvə	ɢ ʊ l β æ
qumurğâç	ɢ ʊ m ʊ ɾ ʁ ɑː t͡ʃ
qurruq	q ʊ r ʊ ɢ̥
qurruğ	q ʊ r ʊ ʁ
qurruğ	q ʊ r ʊ ʁ̥
qurs	q ʊ ɾ s
qurs	q ʊ ɾ s
qurs	ɢ ʊ ɾ s
qurs	ɢ̥ ʊ ɾ s
qusmaq	q ʊ s m a q
quzı	q ʊ z ɪ̈
quş	q uˑ ʃ
quş	q u ʃ
quş	q uː ʃ
quş	q ʊ ʃ
quş	q u̞ˑ ʃ
quş	q u̞ ʃ
quş	ɢ̥ ʊ ʃ
quş	q ʊ ʃ
quş	ɢ̥ ʊ ʃ
quş	ɢ ʊ ʃ
qâan	q ɑː ɑ̯ n
qâan	q ɑː ɑ̯ n
qâanaq	q ɒː ɒ̯ n a q
qâanaq	q ɑː ɑ̯ n a q
qâaq	ɢ̥ ɒː ɒ̯ q
qâaq	ɢ ɑ̂ q
qâar	ɢ̥ ɒː ɒ̯ ɾ
qâar	q ɑː ɑ̯ ɾ
qâdın	ɢ ɒː d ʊ n
qâdın	ɢ ɔ̞ː d ɪ n
qâdın	ɢ ɑː d ʊ n
qâdın	ɢ ɔ̞ː d ʊ̈ n
qâdın	ɢ ɑː ɑ̯ d ɪ̈ n
qâdın	ɢ ɑː d ɪ̈ n
qâdın	ɢ ɑː ɑ̯ d ʊ n
qâdın	q ɒː ɒ̯ d ʊ n
qâdın	ɢ ɒː d ɪ n
qâdın	ɢ ɔ̞ː d ʊ n
qâdın	ɢ ɑː d u̞ n
qâdın	ɢ ɒː d ʊˑ n
qâdın	ɢ ɑː d ʊ n ʊ m
qâdın	ɢ ɑː d ɪ n
qâdın	ɢ ɔ̞ː d ʊ̈ n
qâdın	ɢ̥ ɒː d ɪ n
qâdın	ɢ ɑː ɑ̯ d ɪ̈ n
qâdın	ɢ ɑː d ɪ̈ n
qâdın	ɢ ɑː ɑ̯ d ʊ n
qâdın	ɢ ɑː d ʊ n
qâdın	ɢ ɔ̞ː d ʊ n
qâdın	ɢ ɒː d ʊ n
qâdın	ɢ ɒ d ɪ n
qâdın	ɢ ɑː d ʊ n ʊ m
qâdın	ɢ ɑː d ʊ n
qâdın	ɢ ɒː d ɪ n
qâdın	ɢ ɑː ɑ̯ d ɪ̈ n
qâdın	ɢ ɑː d ɪ̈ n
qâdın	ɢ ɑː ɑ̯ d ʊ n
qâdın	ɢ ɑː d ʊ n
qâdın	ɢ oː d ʊ n
qâdın	ɢ ɒː d ʊ n
qâlmaq	q ɑː l m a q
qân	q ɑː n
qân	q ɒː n
qân	q ɒˑ n
qân	q oː n
qân	q ɑː n
qânaq	q ɑː n a q
qânı	q ɑː n ɪ
qânı	q ɒː ɒ̯ n i
qânı	q ɒː ɒ̯ n ɪ
qânı	q ɑː ɑ̯ n ɪ̈
qânı	q ɑː n ɪ
qânı	q ɑː ɑ̯ n ɪ̈
qânı	q ɑː n ɪ̈
qânısı	q ɑː n ɪ s ɪ
qânısı	q ɑː ɑ̯ n ɪ̈ s ɪ̈
qâpaq	ɢ ɔ̞ː p a χ
qâpaq	ɢ ɒː p a χ
qâpaq	ɢ ɒː p ɑˑ χ
qâpaq	ɢ ɔ̞ː p ɒː q
qâpaq	ɢ ɔː p ɒ qʰ
qâpaq	ɢ ɒː p ɑː χ
qâpaq	ɢ ɒː p ɑ q
qâpaq	ɢ aˑ p ɑ χ
qâpaq	ɢ ɔ̞ː p ɑː q
qâpaq	ɢ aː p a q
qâq	ɢ ɑː q
qâq	ɢ ɒː q
qâr	q oː ɾ
qâr	q ɑː ɾ
qâr	q ɒː ɾ
qâtır	ɢ ɒː t ɪ̈ ɾ
qâtır	ɢ ɒ t ɪ̈ ɾ
qâş	ɢ ɔ̞ː ʃ
qâş	ɢ ɔ ʃ
qâş	ɢ ɒː ʃ
qâş	ɢ ɒˑ ʃ
qâş	ɢ ɑː ʃ ʊ m
qâş	ɢ ɑˑ ʃ ɪ
qâş	q ɑː ʃ
qâş	q ɔˑ ʃ
qâş	q oː ʃ
qâş	q ɒː ʃ
qâş	q ɑː ɑ̯ ʃ
qâş	q ɔ̞ː ʃ
qâş	q aː a̯ ʃ
qâş	ɢ ɑː ʃ
qâş	ɢ̥ ɒː ɒ̯ ʃ
qômaq	q o̞ː m a q
qômaq	q oː m a q
qômaq	q o m a q
qômaq	q u̯ o̞ː m a q
qômaq	q u̯ oː m a q
qôn	q oː n
qôn	q oˑ n
qôn	q o n
qôn	q ʊ̞ n
qôn	q ʊ n
qôn	q u̞ː n
qôn	q ʊ̞ n
qôn	q ʊ̞ˑ n
qôn	q oː n
qôn	q o o̯ n
qôn	q ʊ̞ n
qûomaq	q u o̯ m a q
qûomaq	q ʊ o̯ m a q
qûon	q uː o̯ n
qûon	q u o̯ n
qûon	ɢ̥ u o̯ n
qûrt	q uː ɾ t
qûrt	ɢ uː ɾ t
qûrt	q uˑ ɾ t
qûrt	q u̞ː t
qûrt	ɢ̥ uː ʊ̯ t
qûrt	q uː ɾ t
qûrt	q uː t
qəysi	ɢ æ j s i̞
qəşəng	q æ̞ ʃ æ̞ ŋ ɡ̊
qəşəng	ɢ a ʃ æ ŋ
rang	ɾ a ŋ ɡ
rikâb	ɾ ɪ k ɒː b
râst	ɾ ɒː s t
rôda	ɾ u̯ oː d ɑ
rôda	ɾ u̯ oː d a
rôda	ɾ u̯ o̞ː d ɑ
rôda	ɾ oː d ɒ
rôda	ɾ u̯ oː d a m
rôda	ɾ ʊˑ o̯ d ɒ
rôda	ɾ u̯ oː d ɒ
rôda	ɾ oː d a
rôda	ɾ oː o̯ d a
rôda	ɾ o̞ː d ɑ
rôda	ɾ oː d ɑ
rôda	ɾ oː o̯ d ɑ
rôda	ɾ u̯ o̞ d ɒ
rôda	ɾ o̞ː d ɒ
rôdə	ɾ oː d æ
rôdə	ɾ u̯ o̞ː d æ
rôdə	ɾ u̯ oː d æ
rôdə	ɾ u̞ː o̯ d ɪ̞
rûda	ɾ u̯ oː d ɑ
rûda	ɾ u̯ o̞ː d ɑ
rûda	ɾ ʊː d ɑ
rûda	ɾ u̞ː d ɜ
rûda	ɾ uˑ d ɒ
rûda	ɾ uː d a
rûda	ɾ u̞ː d ɑ
rûda	ɾ uˑ d ɑ
rûda	ɾ uː d ɑ
rûda	ɾ uː d ɔ
rûda	ɾ uˑ d ɔˑ
rûdə	ɾ uː d æ
rûdə	ɾ uː d æ j
rûdə	ɾ uˑ d æ
rûdə	ɾ u̞ˑ d æ
rûdə	ɾ ʊː d æ
rəng	ɾ æ ŋ ɡ
sanmaq	s a n m a q
saqqal	s a q ɢ a l
saqqal	s a q ɢ ɒ l
saqqal	s ɑ q ɢ ɑ l
saqqal	s a q ɢ ɪ̞̈ l
saqqal	s a qː a l
saqqal	s a q ɢ ɑ l
saqqal	s a qː ɒˑ l
saqqal	s a q ɢ ɑː l
saqqal	s a q ɢ a l
saqqal	s a q ɢ a
saqqal	s a q ɢ ɒ l
satmaq	s aˑ t m a q
satmaq	s a t m a q
satmaq	s aː t m a q
satmaq	s ɒː t m a q
satmaq	s aˑ t m a q
satmaq	s a t m a q
satmaq	s aː t m a q
saç	s aː t͡ʃ
saç	s a t͡ʃ
saç	s ɑː t͡ʃ
saç	s ɒ t͡ʃ
saç	s aː t͡ʃ
saç	s ɑˑ t͡ʃ
saç	s ɒˑ t͡ʃ
saç	s a t͡ʃ
saç	s ɔ̞ː t͡ʃ
saç	s ɑː t͡ʃ
saç	s a̞ˑ t͡ʃ
saç	s ɒː t͡ʃ
saç	s ɒ t͡ʃ
saç	s ɑ t͡ʃ
saç	s æ̞ː t͡ʃ
saç	s ɑː t͡ʃ
saç	s ɒː t͡ʃ
saç	s a t͡ʃ
saç	s ɑː t͡ʃ
saçmaq	s a t͡ʃ m a q
saçmaq	s a t͡ʃ m a q
sibîl	s ɪ b ɪ l
sibîl	s ɪ β i l
sibîl	s ɪ β ɪˑ l
sibîl	s ɪ β eː l
sibîl	s ɪ b iˑ l
sibîl	s ɪ v i l
sibîl	s ɪ β iː l
sibîl	s ɪ b i l
sibîl	s ɪ b iː l ɪ m
sibîl	s ɪ β ɪ l
sibîl	s ɪ b iː l
sibîl	s ɪ b i̞ l
sibîl	s ɪ β i̞ l
sibîl	s æ b iː l
sibîl	s æ b ɪ l
sibîl	s ɪ b ɪ e̯ l
sibîl	s ɪ b ɪ ɛ̯ l
sibîl	s ɪ̞ b iː l
sibîl	s ɪ v iː l
sibîl	s ɪ v ɪ l
sibîl	s ɪ b eˑ l
sibîl	s ɪ b i e̯ l
sibîl	s i b i l
sibîl	s ɪ b e̞ː l
sibîl	s ɪ β iˑ l
sıdırmaq	s ɪ d ʊ ɾ m a q
sıdırmaq	s ɪ̈ z ɪ̈ ɾ m a q
sıdırmaq	s ɪ̈ d ʊ ɾ m a q
sıımaq	s iː m a q
sıımaq	s iː m a q
sıınmaq	s iː n m a q
sıınmaq	s iː n m a q
sik	s ɪ k
sik	s iː k
sik	s ɪ c
sikmək	s i k m æ k
sikmək	s ɪ k m æ k
sikmək	s ɪ k m æ k
simük	s ɪ m ɪ k
simük	s ɪ̹ m ɪ̹ k
sipürgə	s y p y ɾ ɟ æ
sipürgə	s ɪ p ɪ ɾ ɡ æ
sipürmək	s ɪ p ɪ ɾ m æ k
sipərz	s ɪ p æ ɾ z
sıqmaq	s ɪ̈ q m a q
sıqmaq	s ɪ̠ q m a q
sıqmaq	s ɪ q m a q
sıqmaq	s ɪ̈ χ m a q
sıqmaq	s ɪ̈ ʁ m a q
sıqmaq	s ʊ χ m a q
sıqmaq	s ɪ q m a q
sıqmaq	s ɪ̈ q m a q
sıqmaq	s ɪ̈ χ m a q
sıqmaq	s ɪ̈ ʁ m a q
sırımaq	s ɪ ɾ ʊ m a q
sırımaq	s ɪ̈ ɾ ʊ m a q
siz	s ɪ z
sıçmaq	s ɪ t͡ʃ m a q
sıçmaq	s ɪ̈ t͡ʃ m a q
sıçğân	s i t͡ʃ ʁ ɒː n
sıçğân	s ɪ t͡ʃ ʁ ɒː n
sıçğân	s i̠ t͡ʃ ʁ ɒː n
sıçğân	s ɪ̈ t͡ʃ ʁ aː n
sıçğân	s ɪ̈ t͡ʃ ʁ ɑː n
siñli	s iː l ɪ
siñli	s iː l iˑ
sığır	s i̠ ʁ i̠ ɾ
sığır	s ɨ ʁ ɨ ɾ
sığır	s ɪ̈ ʁ ɪ̈ ɾ
sovuq	s o v ʊ q
sovuq	s o̞ v ʊ q
sovuq	s o̞ w ʊ q
sum	s ʊ̞ m
sum	s ʊ m
suv	s uˑ v
suv	s u v
suv	s ʊˑ v
suv	s ʊ v
suv	s uː v
suv	s uˑ v
suv	s uː
suv	s ʊ v
suv	s ʊ w
suv	s ʊ
suvsamaq	s u w s a m a q
suvsız	s uˑ v s ʊ z
suvsız	s u̞ w s ʊ z
suvsız	s ʊ w s ʊ z
sâq	s ɒː q
sâq	s ɑː q
sâq	s aː q
sâq	s ɔ̞ː q
sâq	s ɑː χ
sâq	s aː q q ɪ̈
sâq	s aː kʲ
sârı	s ɑː ɾ ʊ
sârı	s oː ɾ ɪ
sârı	s ɑː ɾ ʊ
sârı	s ɒˑ ɾ ʊ
sârız	s ɑː ɾ ʊ z
sârız	s ɑː ɾ ʊ s
sârız	s ɒː ɾ ʊ s
sâruq	s ɒː ɒ̯ ɾ ʊ χ
sâruğ	s ɒː ɒ̯ ɾ ʊ̞ ʁ
sâruğ	s ɒː ɾ ʊ̞ ʁ
sâruğ	s ɑː ɑ̯ ɾ ʊ ʁ
sîb	s iː b
sîdmək	s iː d m æ k
sîdək	s iː d æ k
sîdək	s iˑ d æ k
sîdək	s iˑ d æ k
sîdək	s iː d æ̞ k
sîdək	s iː d æ k
sîdək	s iˑ d æ k
söz	s œː z
söz	s œ z
söz	s ɛ̹ˑ z
söğət	s œ ʝ̠ æ t
söğət	s œ j æ t
söğət	s ɛ j æ t
söğət	s æ j æ t
söğət	s ɛ ʝ̠ æ t
söğət	s ɛ ʁ æ t
söğət	s æ j æ t
söğət	s ø̜ ʝ̠ æ t
süm	s ɪ m
süm	s ɪ mː ɪ
süm	s ʏ m
süm	s ɪ n
süm	s ʏ m
sü̂rmək	s yː ɾ m æ k
sü̂rmək	s i ɾ m æ k
sü̂rmək	s y ɾ m æ k
sü̂rmək	s iː i̯ ɾ m æ̞ k
sü̂t	s yː t
sü̂t	s iː t
sü̂t	s iː i̯ t
sü̂t	s yː y̯ t
səkkiz	s æ kː ɪ z
səkkiz	s æ kː ɪ z
səkkiz	s æ kː ɪ̹ z
səkkiz	s æ kː ɪ z
səkkizminci	s æ k k ʏ z m ɪ n d͡ʒ ɪ
səksən	s æ k s æ n
sən	s æ n
səq	s æ̞ˑ qʰ
səq	s æ kʲ
səq	s æ q
səq	s æ̞ q
səq	s æ̞ kʰ
səq	s æ k
səqqəl	s a q ɢː æ̞ l
səqqəl	s æ̞ q ɢ æ̞ l
səqqəl	s æ̞ q ɢ æ l
səqqəl	s a qː æ̞ l
səqqəl	s æ q ɢ æ l
səqqəl	s æ̞ qː æ̞ l
sərtsîl	s æ ɾ t s iː l
səs	s æ s
səs	s a s
səsləmək	s æ s l æˑ m æ k
səsləmək	s a s l aˑ m æ k
səvmək	s æ v m æ k
səysən	s a j s a n
səysən	s ɛ j s æ̞ n
səysən	s æ j s æ n
tahâl	t a h ɑː l
tahâl	t æ̞ h ɒː l
tanâb	t a n ɑː p
tanâb	t a n ɑː f
tanâb	t a n aː f
tavarçuq	t a v a ɾ t͡ʃ ʊ qʰ
tavarçuq	t a v a ɾ t͡ʃ ʊ q
tavuşğân	t ɔ v ʊ ʃ ʁ aː n
tavuşğân	t ɔ v u ʃ ʁ ɒː n
tavuşğân	t ɒ v u ʃ ʁ ɒˑ n
tavuşğân	t o w u ʃ ʁ ɒː n
tavuşğân	d ɔ v ʊ ʃ ʁ aː n
tavuşğân	d ɔ w ʊ̆ ʃ ʁ aː n
tavuşğân	d o̞ w ʊ ʃ ʁ aː n
taxta	t a χ d̥ a
teyirmən	t ɛ j i ɾ m æ n
teyirmən	t e j ɪ ɾ m æ n
teyirmən	t e ɪ ɾ m æ n
teyirmən	t e i̯ ɾ m æ n
teyirmən	t i ɪ ɾ m æ n
tikmək	t ɪ k m æ k
til	t ɪˑ l
til	t ɪ l
til	t i̞ l
til	t i̞ˑ l
til	t ɪ l ʏ m
til	t ɪ l ɪ m ʏ z k æ
til	c̟ ɪ l
til	t iˑ l
til	t iː l
til	t ɪ̞ˑ l
til	t ɪ̞ l
til	t i l
til	t ɪ l iˑ
tilkü	t y l k y
tilkü	t ɪ̹ l k ʏ̜
tilkü	t y̞ l k ʏ
tılâq	t ɪ l ɑː qʰ
tırnaq	t ɪ ɾ n aː χ
tırnaq	t ɪ ɾ n aˑ χ
tırnaq	t ɪ ɾ n ɑ q
tırnaq	t ɪ ɾ n ɑ χ
tırnaq	t ɪ ɾ n aˑ qʰ
tırnaq	t ɪ ɾ n æ̞ qʰ
tırnaq	t ɪ ɾ n a q ʏ m
tırnaq	t ɪ ɾ n æ̞ q
tırnaq	t ɪ ɾ n æ̞ː q
tırnaq	t ɪ ɾ n a q
tırnaq	t ɪ̈ ɾ n aˑ q
tırnaq	t ɪ̈ ɾ n a q
tırnaq	t ɪ̈ ɾ n aː q
tırnaq	t ɪ ɾ n aˑ q
tırnaq	t ɪ ɾ n ɑː q
tırnaq	t ɪ ɾ n ɑˑ qʰ
tırnaq	t ɪ ɾ n a χ
tırnaq	t ɪ ɾ n æ̞ χ
tırnaq	t ɪ ɾ n æ̞ˑ χ
tırnaq	t ɪ ɾ n æ χ
tırnaq	t ɪ ɾ n aː q
tırnaq	t ɪ ɾ n ɑˑ χ
tırnaq	t ɪ ɾ n aː qʰ
tırnaq	t ɪ ɾ n a qʰ
tırnaq	t ɪ̝ ɾ n a q
tırnaq	t ɪ ɾ n ɒˑ q
tırnaq	t ɪ ɾ n a χ ʊ m
tırnaq	t ɪ ɾ n æ̞ː qʰ
tırnaq	t ɪ ɾ n ɑ qʰ
tırnaq	t ɪ ɾ n æ̞ː q
tırnaq	t ɪ ɾ n æ̞ χ
tırnaq	t ɪ ɾ n a χ
tırnaq	t ɪ ɾ n æ̞ qʰ
tişi	t i ʃ i
tişi	t ɪ ʃ ɪ
todmaq	t ʊ̞ d m a q
tolı	t u̯ o̞ˑ l ɪ̈
tolğanmaq	t o l ʁ a n m a q
tongquz	t ɔ ɴ ɢ ʊ z
tongquz	d ɔ ɴ ɢ ʊ z
top	t o p
top	t ŭ ɔˑ p
top	t ŭ ɔ p
topuq	t ɔ p ʊ̞ q
topuq	t ɔ p ʊ q
toqımaq	t ɔ q ʊ m a q
toqquz	t ɔ qː ʊ z
toqquz	t ɔ qː ʊ z
