a.K.	a k o
laciĝis	l a t s i d ʒ i s
laciĝonta	l a t s i d ʒ o n t a
laciĝontaj	l a t͡s i d͡ʒ o n t a i̯
laciĝontajn	l a t͡s i d͡ʒ o n t a i̯ n
laciĝontan	l a t s i d ʒ o n t a n
laciĝonte	l a t s i d ʒ o n t e
laciĝonto	l a t s i d ʒ o n t o
laciĝontoj	l a t͡s i d͡ʒ o n t o i̯
laciĝontojn	l a t͡s i d͡ʒ o n t o i̯ n
laciĝonton	l a t s i d ʒ o n t o n
laciĝos	l a t s i d ʒ o s
laciĝu	l a t s i d ʒ u
laciĝus	l a t s i d ʒ u s
lacis	l a t͡s i s
laco	l a t͡s o
lacon	l a t͡s o n
lacos	l a t͡s o s
lacu	l a t͡s u
lacus	l a t͡s u s
laĉo	l a t͡ʃ o
laĉoj	l a t͡ʃ o i̯
laĉojn	l a t͡ʃ o i̯ n
laĉon	l a t͡ʃ o n
ladaĵo	l a d a ʒ o
lado	l a d o
ladon	l a d o n
ladskatolo	l a d s k a t o l o
ladskatoloj	l a d s k a t o l o i̯
ladskatolojn	l a d s k a t o l o i̯ n
ladskatolon	l a d s k a t o l o n
Laerto	l a e r t o
Laerton	l a e r t o n
lafo	l a f o
lafofluaĵo	l a f o f l u a ʒ o
lageto	l a ɡ e t o
lago	l a ɡ o
lagoj	l a ɡ o i̯
lagojn	l a ɡ o i̯ n
lagon	l a ɡ o n
lagro	l a ɡ r o
laguno	l a ɡ u n o
laharo	l a h a r o
laika	l a i k a
laikaj	l a i k a i̯
laikajn	l a i k a i̯ n
laikan	l a i k a n
laiko	l a i k o
lakeo	l a k e o
lako	l a k o
lakrico	l a k r i t͡s o
lakrimalo	l a k r i m a l o
laksigilo	l a k s i ɡ i l o
lakso	l a k s o
lakta	l a k t a
laktacido	l a k t a t͡s i d o
laktazo	l a k t a z o
lakto	l a k t o
laktoglando	l a k t o ɡ l a n d o
laktoglandoj	l a k t o ɡ l a n d o i̯
laktoglandon	l a k t o ɡ l a n d o n
laktosukero	l a k t o s u k e r o
laktosukeron	l a k t o s u k e r o n
laktosuko	l a k t o s u k o
laktosukoj	l a k t o s u k o i̯
laktosukojn	l a k t o s u k o i̯ n
laktosukon	l a k t o s u k o n
laktovendejo	l a k t o v e n d e j o
laktozo	l a k t o z o
laktozon	l a k t o z o n
laktuko	l a k t u k o
laktukon	l a k t u k o n
lalaas	l a l a a s
lalai	l a l a i
lalais	l a l a i s
lalaos	l a l a o s
lalau	l a l a u
lalaus	l a l a u s
lama	l a m a
lamaj	l a m a i̯
lamajn	l a m a i̯ n
laman	l a m a n
lamao	l a m a o
lambdo	l a m b d o
lambdoj	l a m b d o i̯
lambdojn	l a m b d o i̯ n
lambdon	l a m b d o n
lame	l a m e
lamencetaco	l a m e n t͡s e t a t͡s o
lameno	l a m e n o
lamentanta	l a m e n t a n t a
lamentante	l a m e n t a n t e
lamentanto	l a m e n t a n t o
lamentas	l a m e n t a s
lamenti	l a m e n t i
lamentinta	l a m e n t i n t a
lamentinte	l a m e n t i n t e
lamentinto	l a m e n t i n t o
lamentis	l a m e n t i s
lamentonta	l a m e n t o n t a
lamentonte	l a m e n t o n t e
lamentonto	l a m e n t o n t o
lamentu	l a m e n t u
lamentus	l a m e n t u s
lami	l a m i
lamo	l a m o
lamoj	l a m o i̯
lamojn	l a m o i̯ n
lamon	l a m o n
lampiro	l a m p i r o
lampo	l a m p o
lanceto	l a n t͡s e t o
lanco	l a n t͡s o
lancoj	l a n t͡s o i̯
lancojn	l a n t͡s o i̯ n
lancoĵeto	l a n t͡s o ʒ e t o
lancon	l a n t͡s o n
lanĉanta	l a n t͡ʃ a n t a
lanĉante	l a n t͡ʃ a n t e
lanĉanto	l a n t͡ʃ a n t o
lanĉas	l a n t͡ʃ a s
lanĉata	l a n t͡ʃ a t a
lanĉate	l a n t͡ʃ a t e
lanĉato	l a n t͡ʃ a t o
lanĉi	l a n t͡ʃ i
lanĉinta	l a n t͡ʃ i n t a
lanĉinte	l a n t͡ʃ i n t e
lanĉinto	l a n t͡ʃ i n t o
lanĉis	l a n t͡ʃ i s
lanĉita	l a n t͡ʃ i t a
lanĉite	l a n t͡ʃ i t e
lanĉito	l a n t͡ʃ i t o
lanĉonta	l a n t͡ʃ o n t a
lanĉonte	l a n t͡ʃ o n t e
lanĉonto	l a n t͡ʃ o n t o
lanĉos	l a n t͡ʃ o s
lanĉota	l a n t͡ʃ o t a
lanĉote	l a n t͡ʃ o t e
lanĉoto	l a n t͡ʃ o t o
lanĉu	l a n t͡ʃ u
lanĉulo	l a n t͡ʃ u l o
lanĉus	l a n t͡ʃ u s
landkarto	l a n d k a r t o
landkodo	l a n d k o d o
landlimo	l a n d l i m o
lando	l a n d o
landoj	l a n d o i̯
landokodo	l a n d o k o d o
landon	l a n d o n
langeto	l a n ɡ e t o
lango	l a n ɡ o
langoj	l a n ɡ o i̯
langojn	l a n ɡ o i̯ n
langon	l a n ɡ o n
langosto	l a n ɡ o s t o
langoŝo	l a n ɡ o ʃ o
langrompilo	l a n ɡ r o m p i l o
Lankaŝiro	l a n k a ʃ i r o
Lanko	l a n k o
lano	l a n o
lanoj	l a n o i̯
lanojn	l a n o i̯ n
lanon	l a n o n
lanta	l a n t a
lantaj	l a n t a i̯
lantajn	l a n t a i̯ n
lantan	l a n t a n
lantano	l a n t a n o
lante	l a n t e
lanterna	l a n t e r n a
lanterno	l a n t e r n o
lanuga	l a n u ɡ a
lanugaj	l a n u ɡ a i̯
lanugajn	l a n u ɡ a i̯ n
lanugan	l a n u ɡ a n
lanugo	l a n u ɡ o
lanugon	l a n u ɡ o n
Laoso	l a o s o
lapfermilo	l a p f e r m i l o
lapiso	l a p i s o
lapo	l a p o
lapoj	l a p o i̯
lapojn	l a p o i̯ n
lapon	l a p o n
lardo	l a r d o
lardoj	l a r d o i̯
lardojn	l a r d o i̯ n
lardon	l a r d o n
larĝa	l a r d͡ʒ a
larĝaj	l a r d͡ʒ a i̯
larĝajn	l a r d͡ʒ a i̯ n
larĝan	l a r d͡ʒ a n
larĝanima	l a r d͡ʒ a n i m a
larĝe	l a r d͡ʒ e
lariko	l a r i k o
laringo	l a r i n ɡ o
larma	l a r m a
larme	l a r m e
larmi	l a r m i
larmo	l a r m o
larvo	l a r v o
larvoj	l a r v o i̯
larvojn	l a r v o i̯ n
larvon	l a r v o n
lasanta	l a s a n t a
lasantaj	l a s a n t a i̯
lasantajn	l a s a n t a i̯ n
lasantan	l a s a n t a n
lasante	l a s a n t e
lasanto	l a s a n t o
lasantoj	l a s a n t o i̯
lasantojn	l a s a n t o i̯ n
lasanton	l a s a n t o n
lasas	l a s a s
lasata	l a s a t a
lasataj	l a s a t a i̯
lasatajn	l a s a t a i̯ n
lasatan	l a s a t a n
lasate	l a s a t e
lasato	l a s a t o
lasatoj	l a s a t o i̯
lasatojn	l a s a t o i̯ n
lasaton	l a s a t o n
lasciva	l a s t͡s i v a
lascivaj	l a s t͡s i v a i̯
lascivajn	l a s t͡s i v a i̯ n
lascivan	l a s t͡s i v a n
laserdisko	l a s e r d i s k o
lasero	l a s e r o
lasi	l a s i
lasinta	l a s i n t a
lasintaj	l a s i n t a i̯
lasintajn	l a s i n t a i̯ n
lasintan	l a s i n t a n
lasinte	l a s i n t e
lasinto	l a s i n t o
lasintoj	l a s i n t o i̯
lasintojn	l a s i n t o i̯ n
lasinton	l a s i n t o n
lasis	l a s i s
lasita	l a s i t a
lasitaj	l a s i t a i̯
lasitajn	l a s i t a i̯ n
lasitan	l a s i t a n
lasite	l a s i t e
lasito	l a s i t o
lasitoj	l a s i t o i̯
lasitojn	l a s i t o i̯ n
lasiton	l a s i t o n
lasonta	l a s o n t a
lasontaj	l a s o n t a i̯
lasontajn	l a s o n t a i̯ n
lasontan	l a s o n t a n
lasonte	l a s o n t e
lasonto	l a s o n t o
lasontoj	l a s o n t o i̯
lasontojn	l a s o n t o i̯ n
lasonton	l a s o n t o n
lasos	l a s o s
lasota	l a s o t a
lasotaj	l a s o t a i̯
lasotajn	l a s o t a i̯ n
lasotan	l a s o t a n
lasote	l a s o t e
lasoto	l a s o t o
lasotoj	l a s o t o i̯
lasotojn	l a s o t o i̯ n
lasoton	l a s o t o n
lasta	l a s t a
lastan	l a s t a n
lastatempa	l a s t a t e m p a
lastatempaj	l a s t a t e m p a i̯
lastatempajn	l a s t a t e m p a i̯ n
lastatempan	l a s t a t e m p a n
lastatempe	l a s t a t e m p e
lastatempo	l a s t a t e m p o
laste	l a s t e
lasu	l a s u
lasus	l a s u s
latero	l a t e r o
latia	l a t i a
latiaj	l a t i a i̯
latiajn	l a t i a i̯ n
latian	l a t i a n
latina	l a t i n a
Latinameriko	l a t i n a m e r i k o
latinida	l a t i n i d a
latinigo	l a t i n i ɡ o
latinisto	l a t i n i s t o
latino	l a t i n o
Latino	l a t i n o
Latinon	l a t i n o n
latinon	l a t i n o n
Latio	l a t i o
latitudo	l a t i t u d o
latkurteno	l a t k u r t e n o
lato	l a t o
latoj	l a t o i̯
latojn	l a t o i̯ n
laton	l a t o n
latrino	l a t r i n o
latuna	l a t u n a
latuno	l a t u n o
latva	l a t v a
latvaj	l a t v a i̯
latvajn	l a t v a i̯ n
latvan	l a t v a n
Latvio	l a t v i o
Latvion	l a t v i o n
latvo	l a t v o
latvoj	l a t v o i̯
latvojn	l a t v o i̯ n
latvon	l a t v o n
Latvujo	l a t v u j o
laŭ	l a u̯
laŭalfabeta	l a u̯ a l f a b e t a
laŭbezone	l a u̯ b e z o n e
laŭbo	l a u̯ b o
laŭboj	l a u̯ b o i̯
laŭbojn	l a u̯ b o i̯ n
laŭbon	l a u̯ b o n
laŭdebla	l a u̯ d e b l a
laŭdezire	l a u̯ d e z i r e
laŭdi	l a u̯ d i
laŭdinda	l a u̯ d i n d a
laŭdindaj	l a u̯ d i n d a i̯
laŭdindajn	l a u̯ d i n d a i̯ n
laŭdindan	l a u̯ d i n d a n
laŭdinde	l a u̯ d i n d e
laŭdire	l a u̯ d i r e
laŭdo	l a u̯ d o
laŭeble	l a u̯ e b l e
laŭfakta	l a u̯ f a k t a
laŭgramatika	l a u̯ ɡ r a m a t i k a
laŭleĝa	l a u̯ l e d͡ʒ a
laŭleĝaj	l a u̯ l e d͡ʒ a i̯
laŭleĝajn	l a u̯ l e d͡ʒ a i̯ n
laŭleĝan	l a u̯ l e d͡ʒ a n
laŭleĝe	l a u̯ l e d͡ʒ e
laŭlitera	l a u̯ l i t e r a
laŭlitere	l a u̯ l i t e r e
laŭlonge	l a u̯ l o n ɡ e
laŭprioritatigi	l a u̯ p r i o r i t a t i ɡ i
laŭreato	l a u̯ r e a t o
laŭrencio	l a u̯ r e n t͡s i o
laŭro	l a u̯ r o
laŭso	l a u̯ s o
laŭŝajne	l a u̯ ʃ a i̯ n e
laŭta	l a u̯ t a
laŭtaj	l a u̯ t a i̯
laŭtajn	l a u̯ t a i̯ n
laŭtan	l a u̯ t a n
laŭte	l a u̯ t e
laŭteco	l a u̯ t e t͡s o
laŭtema	l a u̯ t e m a
laŭtlegi	l a u̯ t l e ɡ i
laŭtparolilo	l a u̯ t p a r o l i l o
laŭvice	l a u̯ v i t͡s e
laŭvole	l a u̯ v o l e
laŭvorta	l a u̯ v o r t a
laŭvorte	l a u̯ v o r t e
lavangas	l a v a n ɡ a s
lavangi	l a v a n ɡ i
lavangis	l a v a n ɡ i s
lavango	l a v a n ɡ o
lavangoj	l a v a n ɡ o i̯
lavangos	l a v a n ɡ o s
lavangu	l a v a n ɡ u
lavangus	l a v a n ɡ u s
lavanta	l a v a n t a
lavas	l a v a s
lavaŝo	l a v a ʃ o
lavata	l a v a t a
lavato	l a v a t o
lavendo	l a v e n d o
lavi	l a v i
lavinta	l a v i n t a
lavis	l a v i s
lavita	l a v i t a
lavmaŝino	l a v m a ʃ i n o
lavonta	l a v o n t a
lavos	l a v o s
lavota	l a v o t a
lavotabulo	l a v o t a b u l o
lavtabulo	l a v t a b u l o
lavtuko	l a v t u k o
lavu	l a v u
lavujo	l a v u j o
lavus	l a v u s
lazi	l a z i
lazo	l a z o
lazura	l a z u r a
lazurito	l a z u r i t o
lazuro	l a z u r o
leciono	l e t͡s i o n o
leda	l e d a
ledaj	l e d a i̯
ledajn	l e d a i̯ n
ledan	l e d a n
ledo	l e d o
legacio	l e ɡ a t͡s i o
legado	l e ɡ a d o
leganto	l e ɡ a n t o
legas	l e ɡ a s
legata	l e ɡ a t a
legate	l e ɡ a t e
legato	l e ɡ a t o
legebla	l e ɡ e b l a
legeble	l e ɡ e b l e
legendo	l e ɡ e n d o
legi	l e ɡ i
leginda	l e ɡ i n d a
legio	l e ɡ i o
legioj	l e ɡ i o i̯
legiojn	l e ɡ i o i̯ n
legion	l e ɡ i o n
legiono	l e ɡ i o n o
legionoj	l e ɡ i o n o i̯
legionojn	l e ɡ i o n o i̯ n
legionon	l e ɡ i o n o n
legis	l e ɡ i s
legoma	l e ɡ o m a
legomaj	l e ɡ o m a i̯
legomajn	l e ɡ o m a i̯ n
legomaĵo	l e ɡ o m a ʒ o
legoman	l e ɡ o m a n
legomo	l e ɡ o m o
legomon	l e ɡ o m o n
legos	l e ɡ o s
legosigno	l e ɡ o s i ɡ n o
legu	l e ɡ u
legus	l e ɡ u s
leĝa	l e d͡ʒ a
leĝaj	l e d͡ʒ a i̯
leĝajn	l e d͡ʒ a i̯ n
leĝan	l e d͡ʒ a n
leĝo	l e d͡ʒ o
leĝoj	l e d͡ʒ o i̯
leĝojn	l e d͡ʒ o i̯ n
leĝon	l e d͡ʒ o n
Lejdeno	l e i̯ d e n o
lekado	l e k a d o
lekanto	l e k a n t o
lekas	l e k a s
lekcii	l e k t͡s i i
lekcio	l e k t͡s i o
leki	l e k i
lekis	l e k i s
lekos	l e k o s
leksemo	l e k s e m o
leksika	l e k s i k a
leksikografio	l e k s i k o ɡ r a f i o
leksikologio	l e k s i k o l o ɡ i o
leksikona	l e k s i k o n a
leksikono	l e k s i k o n o
lekto	l e k t o
leku	l e k u
lekus	l e k u s
lemo	l e m o
lemon	l e m o n
lemuro	l e m u r o
lemuroj	l e m u r o i̯
lemurojn	l e m u r o i̯ n
lemuron	l e m u r o n
leninismo	l e n i n i s m o
lenso	l e n s o
lento	l e n t o
lentoj	l e n t o i̯
lentojn	l e n t o i̯ n
lenton	l e n t o n
lentugo	l e n t u ɡ o
lentugoj	l e n t u ɡ o i̯
lentugojn	l e n t u ɡ o i̯ n
lentugon	l e n t u ɡ o n
leona	l e o n a
leonaro	l e o n a r o
leonido	l e o n i d o
leonino	l e o n i n o
leono	l e o n o
Leono	l e o n o
Leonon	l e o n o n
leontodo	l e o n t o d o
leontodono	l e o n t o d o n o
leopardino	l e o p a r d i n o
leopardo	l e o p a r d o
leopardoj	l e o p a r d o i̯
leopardojn	l e o p a r d o i̯ n
leopardon	l e o p a r d o n
leporo	l e p o r o
Leporo	l e p o r o
lepro	l e p r o
leproj	l e p r o i̯
leprojn	l e p r o i̯ n
lepron	l e p r o n
leprulo	l e p r u l o
leptono	l e p t o n o
lernadas	l e r n a d a s
lernadi	l e r n a d i
lernadis	l e r n a d i s
lernado	l e r n a d o
lernados	l e r n a d o s
lernadu	l e r n a d u
lernadus	l e r n a d u s
lernaĵo	l e r n a ʒ o
lernanta	l e r n a n t a
lernantino	l e r n a n t i n o
lernanto	l e r n a n t o
lernas	l e r n a s
lernata	l e r n a t a
lerneja	l e r n e j a
lernejano	l e r n e j a n o
lernejanoj	l e r n e j a n o i̯
lernejanojn	l e r n e j a n o i̯ n
lernejanon	l e r n e j a n o n
lernejestro	l e r n e j e s t r o
lernejestroj	l e r n e j e s t r o i̯
lernejestrojn	l e r n e j e s t r o i̯ n
lernejestron	l e r n e j e s t r o n
lernejo	l e r n e j o
lerni	l e r n i
lernigi	l e r n i ɡ i
lerninta	l e r n i n t a
lernis	l e r n i s
lernita	l e r n i t a
lernitan	l e r n i t a n
lerno	l e r n o
lernobjekto	l e r n o b j e k t o
lernolibro	l e r n o l i b r o
lernonta	l e r n o n t a
lernos	l e r n o s
lernota	l e r n o t a
lernotasko	l e r n o t a s k o
lernotaskoj	l e r n o t a s k o i̯
lernotaskojn	l e r n o t a s k o i̯ n
lernotaskon	l e r n o t a s k o n
lernu	l e r n u
lernus	l e r n u s
lerta	l e r t a
lerte	l e r t e
lerteco	l e r t e t͡s o
lerto	l e r t o
lesba	l e s b a
lesbaj	l e s b a i̯
lesbajn	l e s b a i̯ n
lesban	l e s b a n
lesbanino	l e s b a n i n o
lesbo	l e s b o
lesboj	l e s b o i̯
lesbojn	l e s b o i̯ n
lesbon	l e s b o n
lesivo	l e s i v o
Lesoto	l e s o t o
letargio	l e t a r ɡ i o
leterbloko	l e t e r b l o k o
leterkesto	l e t e r k e s t o
letero	l e t e r o
leterpapero	l e t e r p a p e r o
leterportisto	l e t e r p o r t i s t o
leŭgo	l e u̯ ɡ o
leŭgoj	l e u̯ ɡ o i̯
leŭgojn	l e u̯ ɡ o i̯ n
leŭgon	l e u̯ ɡ o n
leŭkemio	l e u̯ k e m i o
leŭkocito	l e u̯ k o t͡s i t o
leŭso	l e u̯ s o
leŭsoj	l e u̯ s o i̯
leŭsojn	l e u̯ s o i̯ n
leŭson	l e u̯ s o n
leŭtenanto	l e u̯ t e n a n t o
levanta	l e v a n t a
Levantenio	l e v a n t e n i o
levas	l e v a s
levi	l e v i
Levidoj	l e v i d o j
leviĝi	l e v i d͡ʒ i
levis	l e v i s
levjatano	l e v j a t a n o
levkojo	l e f k o j o
levos	l e v o s
levstango	l e v s t a n ɡ o
levu	l e v u
levus	l e v u s
li	l i
lia	l i a
liaj	l i a i̯
liajn	l i a i̯ n
lian	l i a n
liano	l i a n o
Libano	l i b a n o
Libanon	l i b a n o n
libelo	l i b e l o
libera	l i b e r a
liberala	l i b e r a l a
liberalaj	l i b e r a l a i̯
liberalajn	l i b e r a l a i̯ n
liberalan	l i b e r a l a n
liberalismo	l i b e r a l i s m o
libere	l i b e r e
liberecano	l i b e r e t͡s a n o
libereco	l i b e r e t͡s o
liberfala	l i b e r f a l a
liberfale	l i b e r f a l e
liberiganta	l i b e r i ɡ a n t a
liberiganto	l i b e r i ɡ a n t o
liberigata	l i b e r i ɡ a t a
liberigi	l i b e r i ɡ i
liberiginta	l i b e r i ɡ i n t a
liberigita	l i b e r i ɡ i t a
liberigo	l i b e r i ɡ o
liberigonta	l i b e r i ɡ o n t a
liberigota	l i b e r i ɡ o t a
liberigu	l i b e r i ɡ u
liberigus	l i b e r i ɡ u s
liberiĝi	l i b e r i d͡ʒ i
Liberio	l i b e r i o
liberpensulo	l i b e r p e n s u l o
libertarianismo	l i b e r t a r i a n i s m o
libertariano	l i b e r t a r i a n o
libertempe	l i b e r t e m p e
libertempo	l i b e r t e m p o
liberulo	l i b e r u l o
libervole	l i b e r v o l e
libia	l i b i a
Libio	l i b i o
Libion	l i b i o n
libraro	l i b r a r o
libraroj	l i b r a r o i̯
librejo	l i b r e j o
libreto	l i b r e t o
Librevilo	l i b r e v i l o
libro	l i b r o
librobreto	l i b r o b r e t o
libroj	l i b r o i̯
librojn	l i b r o i̯ n
libron	l i b r o n
libropruntejo	l i b r o p r u n t e j o
libroŝranko	l i b r o ʃ r a n k o
librovendejo	l i b r o v e n d e j o
licenco	l i t͡s e n t͡s o
liceo	l i t͡s e o
lieno	l i e n o
lifto	l i f t o
liftoj	l i f t o i̯
liftojn	l i f t o i̯ n
lifton	l i f t o n
ligas	l i ɡ a s
ligi	l i ɡ i
ligiĝi	l i ɡ i d͡ʒ i
ligilo	l i ɡ i l o
ligis	l i ɡ i s
ligna	l i ɡ n a
lignaj	l i ɡ n a i̯
lignajn	l i ɡ n a i̯ n
lignan	l i ɡ n a n
ligno	l i ɡ n o
lignofajro	l i ɡ n o f a i̯ r o
lignofajroj	l i ɡ n o f a i̯ r o i̯
lignofajrojn	l i ɡ n o f a i̯ r o i̯ n
lignofajron	l i ɡ n o f a i̯ r o n
lignokarbo	l i ɡ n o k a r b o
ligo	l i ɡ o
ligoj	l i ɡ o i̯
ligojn	l i ɡ o i̯ n
ligon	l i ɡ o n
ligos	l i ɡ o s
ligu	l i ɡ u
ligus	l i ɡ u s
ligverbo	l i ɡ v e r b o
ligverboj	l i ɡ v e r b o i̯
ligverbojn	l i ɡ v e r b o i̯ n
ligverbon	l i ɡ v e r b o n
liĥtenŝtejnanino	l i x t e n ʃ t e i̯ n a n i n o
liĥtenŝtejnano	l i x t e n ʃ t e i̯ n a n o
liĥtenŝtejnanoj	l i x t e n ʃ t e i̯ n a n o i̯
liĥtenŝtejnanojn	l i x t e n ʃ t e i̯ n a n o i̯ n
liĥtenŝtejnanon	l i x t e n ʃ t e i̯ n a n o n
Liĥtenŝtejno	l i x t e n ʃ t e i̯ n o
Liĥtenŝtejnon	l i x t e n ʃ t e i̯ n o n
likanta	l i k a n t a
likante	l i k a n t e
likanto	l i k a n t o
likas	l i k a s
likata	l i k a t a
likate	l i k a t e
likato	l i k a t o
likeno	l i k e n o
liki	l i k i
likinta	l i k i n t a
likinte	l i k i n t e
likinto	l i k i n t o
likis	l i k i s
likita	l i k i t a
likite	l i k i t e
likito	l i k i t o
likonta	l i k o n t a
likonte	l i k o n t e
likonto	l i k o n t o
likos	l i k o s
likota	l i k o t a
likote	l i k o t e
likoto	l i k o t o
liku	l i k u
likus	l i k u s
likva	l i k v a
likvaj	l i k v a i̯
likvajn	l i k v a i̯ n
likvan	l i k v a n
likvidanta	l i k v i d a n t a
likvidantaj	l i k v i d a n t a i̯
likvidantajn	l i k v i d a n t a i̯ n
likvidantan	l i k v i d a n t a n
likvidante	l i k v i d a n t e
likvidanto	l i k v i d a n t o
likvidantoj	l i k v i d a n t o i̯
likvidantojn	l i k v i d a n t o i̯ n
likvidanton	l i k v i d a n t o n
likvidas	l i k v i d a s
likvidata	l i k v i d a t a
likvidataj	l i k v i d a t a i̯
likvidatajn	l i k v i d a t a i̯ n
likvidatan	l i k v i d a t a n
likvidate	l i k v i d a t e
likvidato	l i k v i d a t o
likvidatoj	l i k v i d a t o i̯
likvidatojn	l i k v i d a t o i̯ n
likvidaton	l i k v i d a t o n
likvidebleco	l i k v i d e b l e t͡s o
likvidi	l i k v i d i
likvidinta	l i k v i d i n t a
likvidintaj	l i k v i d i n t a i̯
likvidintajn	l i k v i d i n t a i̯ n
likvidintan	l i k v i d i n t a n
likvidinte	l i k v i d i n t e
likvidinto	l i k v i d i n t o
likvidintoj	l i k v i d i n t o i̯
likvidintojn	l i k v i d i n t o i̯ n
likvidinton	l i k v i d i n t o n
likvidis	l i k v i d i s
likvidita	l i k v i d i t a
lekos	l e k o s
leksemo	l e k s e m o
leksika	l e k s i k a
leksikografio	l e k s i k o ɡ r a f i o
leksikologio	l e k s i k o l o ɡ i o
leksikona	l e k s i k o n a
leksikono	l e k s i k o n o
lekto	l e k t o
leku	l e k u
lekus	l e k u s
lemo	l e m o
lemon	l e m o n
lemuro	l e m u r o
lemuroj	l e m u r o i̯
lemurojn	l e m u r o i̯ n
lemuron	l e m u r o n
leninismo	l e n i n i s m o
lenso	l e n s o
lento	l e n t o
lentoj	l e n t o i̯
lentojn	l e n t o i̯ n
lenton	l e n t o n
lentugo	l e n t u ɡ o
lentugoj	l e n t u ɡ o i̯
lentugojn	l e n t u ɡ o i̯ n
lentugon	l e n t u ɡ o n
leona	l e o n a
leonaro	l e o n a r o
leonido	l e o n i d o
leonino	l e o n i n o
leono	l e o n o
Leono	l e o n o
Leonon	l e o n o n
leontodo	l e o n t o d o
leontodono	l e o n t o d o n o
leopardino	l e o p a r d i n o
leopardo	l e o p a r d o
leopardoj	l e o p a r d o i̯
leopardojn	l e o p a r d o i̯ n
leopardon	l e o p a r d o n
leporo	l e p o r o
Leporo	l e p o r o
lepro	l e p r o
leproj	l e p r o i̯
leprojn	l e p r o i̯ n
lepron	l e p r o n
leprulo	l e p r u l o
leptono	l e p t o n o
lernadas	l e r n a d a s
lernadi	l e r n a d i
lernadis	l e r n a d i s
lernado	l e r n a d o
lernados	l e r n a d o s
lernadu	l e r n a d u
lernadus	l e r n a d u s
lernaĵo	l e r n a ʒ o
lernanta	l e r n a n t a
lernantino	l e r n a n t i n o
lernanto	l e r n a n t o
lernas	l e r n a s
lernata	l e r n a t a
lerneja	l e r n e j a
lernejano	l e r n e j a n o
lernejanoj	l e r n e j a n o i̯
lernejanojn	l e r n e j a n o i̯ n
lernejanon	l e r n e j a n o n
lernejestro	l e r n e j e s t r o
lernejestroj	l e r n e j e s t r o i̯
lernejestrojn	l e r n e j e s t r o i̯ n
lernejestron	l e r n e j e s t r o n
lernejo	l e r n e j o
lerni	l e r n i
lernigi	l e r n i ɡ i
lerninta	l e r n i n t a
lernis	l e r n i s
lernita	l e r n i t a
lernitan	l e r n i t a n
lerno	l e r n o
lernobjekto	l e r n o b j e k t o
lernolibro	l e r n o l i b r o
lernonta	l e r n o n t a
lernos	l e r n o s
lernota	l e r n o t a
lernotasko	l e r n o t a s k o
lernotaskoj	l e r n o t a s k o i̯
lernotaskojn	l e r n o t a s k o i̯ n
lernotaskon	l e r n o t a s k o n
lernu	l e r n u
lernus	l e r n u s
lerta	l e r t a
lerte	l e r t e
lerteco	l e r t e t͡s o
lerto	l e r t o
lesba	l e s b a
lesbaj	l e s b a i̯
lesbajn	l e s b a i̯ n
lesban	l e s b a n
lesbanino	l e s b a n i n o
lesbo	l e s b o
lesboj	l e s b o i̯
lesbojn	l e s b o i̯ n
lesbon	l e s b o n
lesivo	l e s i v o
Lesoto	l e s o t o
letargio	l e t a r ɡ i o
leterbloko	l e t e r b l o k o
leterkesto	l e t e r k e s t o
letero	l e t e r o
leterpapero	l e t e r p a p e r o
leterportisto	l e t e r p o r t i s t o
leŭgo	l e u̯ ɡ o
leŭgoj	l e u̯ ɡ o i̯
leŭgojn	l e u̯ ɡ o i̯ n
leŭgon	l e u̯ ɡ o n
leŭkemio	l e u̯ k e m i o
leŭkocito	l e u̯ k o t͡s i t o
leŭso	l e u̯ s o
leŭsoj	l e u̯ s o i̯
leŭsojn	l e u̯ s o i̯ n
leŭson	l e u̯ s o n
leŭtenanto	l e u̯ t e n a n t o
levanta	l e v a n t a
Levantenio	l e v a n t e n i o
levas	l e v a s
levi	l e v i
Levidoj	l e v i d o j
leviĝi	l e v i d͡ʒ i
levis	l e v i s
levjatano	l e v j a t a n o
levkojo	l e f k o j o
levos	l e v o s
levstango	l e v s t a n ɡ o
levu	l e v u
levus	l e v u s
li	l i
lia	l i a
liaj	l i a i̯
liajn	l i a i̯ n
lian	l i a n
liano	l i a n o
Libano	l i b a n o
Libanon	l i b a n o n
libelo	l i b e l o
libera	l i b e r a
liberala	l i b e r a l a
liberalaj	l i b e r a l a i̯
liberalajn	l i b e r a l a i̯ n
liberalan	l i b e r a l a n
liberalismo	l i b e r a l i s m o
libere	l i b e r e
liberecano	l i b e r e t͡s a n o
libereco	l i b e r e t͡s o
liberfala	l i b e r f a l a
liberfale	l i b e r f a l e
liberiganta	l i b e r i ɡ a n t a
liberiganto	l i b e r i ɡ a n t o
liberigata	l i b e r i ɡ a t a
liberigi	l i b e r i ɡ i
liberiginta	l i b e r i ɡ i n t a
liberigita	l i b e r i ɡ i t a
liberigo	l i b e r i ɡ o
liberigonta	l i b e r i ɡ o n t a
liberigota	l i b e r i ɡ o t a
liberigu	l i b e r i ɡ u
liberigus	l i b e r i ɡ u s
liberiĝi	l i b e r i d͡ʒ i
Liberio	l i b e r i o
liberpensulo	l i b e r p e n s u l o
libertarianismo	l i b e r t a r i a n i s m o
libertariano	l i b e r t a r i a n o
libertempe	l i b e r t e m p e
libertempo	l i b e r t e m p o
liberulo	l i b e r u l o
