ஃ	ɐ hᵄ
தெய்வம்	d̪ e j ʋ ɐ m
தெரி	t̪ e ɾ i
தெரிந்துணர்ச்சி	t̪ e ɾ i n̪ d̪ u ɳ ɐ ɾ t͡ɕː i
தெரிபடு	t̪ e ɾ i b ɐ ɖ u
தெரிப்பு	t̪ e ɾ i pː u
தெரியல்	t̪ e ɾ i j ɐ l
தெரியவுணர்	t̪ e ɾ i j ɐ ʋ u ɳ ɐ ɾ
தெரிவி	t̪ e ɾ i ʋ i
தெரிவு	t̪ e ɾ i ʋ u
தெரு	t̪ e ɾ u
தெருள்	t̪ e ɾ u ɭ
தெற்கு	t̪ e r k u
தெலங்காணா	t̪ e l ɐ ŋ ɡ aː ɳ aː
தெலுங்கம்	t̪ e l u ŋ ɡ ɐ m
தெலுங்கு	t̪ e l u ŋ ɡ u
தெளிவு	t̪ e ɭ i ʋ u
தெள்ளு	t̪ e ɭː u
தெஹரான்	t̪ e h ɐ ɾ aː n
தேகங்கள்	d̪ e ɡ ɐ ŋ ɡ ɐ ɭ
தேகம்	d̪ eː h ɐ m
தேகம்	d̪ eː ɡ ɐ m
தேக்கர்	t̪ eː kː ɐ ɾ
தேக்கு	t̪ eː kː u
தேங்காய்	t̪ eː ŋ ɡ aː j
தேசகன்	t̪ eː t͡ɕ ɐ ɡ ɐ n
தேசபாஷை	d̪ eː t͡ɕ ɐ b aː ʂ a ɪ̯
தேசம்	d̪ eː t͡ɕ ɐ m
தேசாசாரம்	t̪ eː t͡ɕ aː t͡ɕ aː ɾ ɐ m
தேசாதிபதி	t̪ eː t͡ɕ aː d̪ i b ɐ d̪ i
தேசிய	t̪ eː t͡ɕ i j ɐ
தேசீயவியக்கம்	t̪ eː t͡ɕ iː j ɐ ʋ i j ɐ kː ɐ m
தேடு	t̪ eː ɖ u
தேதி	t̪ eː d̪ i
தேநீர்	t̪ eː n̪ iː ɾ
தேனடை	t̪ eː n ɐ ɖ a ɪ̯
தேனி	t̪ eː n i
தேனிறால்	t̪ eː n i r aː l
தேனிலவு	t̪ eː n i l ɐ ʋ u
தேனீ	t̪ eː n iː
தேன்	t̪ eː n
தேன்கூடு	t̪ eː n ɡ uː ɖ u
தேன்மொழி	t̪ eː n m o ɻ i
தேம்பாவணி	t̪ eː m b aː ʋ ɐ ɳ i
தேய்	t̪ eː j
தேய்பிறை	t̪ eː j b i r a ɪ̯
தேய்வாங்கு	t̪ eː j ʋ aː ŋ ɡ u
தேர்	t̪ eː ɾ
தேர்ச்சி	t̪ eː ɾ t͡ɕː i
தேர்தல்	t̪ eː ɾ d̪ ɐ l
தேர்வு	t̪ eː ɾ ʋ u
தேர்வுக்கூடம்	t̪ eː ɾ ʋ u kː uː ɖ ɐ m
தேற்றம்	t̪ eː rː ɐ m
தேள்	t̪ eː ɭ
தேவடியாள்	t̪ eː ʋ ɐ ɖ i j aː ɭ
தேவதூதன்	t̪ eː ʋ ɐ d̪ uː d̪ ɐ n
தேவதை	t̪ eː ʋ ɐ d̪ a ɪ̯
தேவதைகள்	t̪ eː ʋ ɐ d̪ a ɪ̯ ɡ ɐ ɭ
தேவன்	d̪ eː ʋ ɐ n
தேவன்	t̪ eː ʋ ɐ n
தேவவசீகரம்	t̪ eː ʋ ɐ ʋ ɐ t͡ɕ iː ɡ ɐ ɾ ɐ m
தேவஸ்தானம்	t̪ eː ʋ ɐ s t̪ aː n ɐ m
தேவாங்கர்	t̪ eː ʋ aː ŋ ɡ ɐ ɾ
தேவாங்கு	d̪ eː ʋ aː ŋ ɡ u
தேவாங்கு	t̪ eː ʋ aː ŋ ɡ u
தேவாலயம்	d̪ eː ʋ aː l ɐ j ɐ m
தேவாலயம்	t̪ eː ʋ aː l ɐ j ɐ m
தேவி	d̪ eː ʋ i
தேவை	t̪ eː ʋ a ɪ̯
தேவையான	t̪ eː ʋ a ɪ̯ j aː n ɐ
தை	t̪ a ɪ̯
தைரியம்	d̪ a ɪ̯ ɾ i j ɐ m
தைரியம்	t̪ a ɪ̯ ɾ i j ɐ m
தைலம்	t̪ a ɪ̯ l ɐ m
தொகு	t̪ o ɡ u
தொகுதி	t̪ o ɡ u d̪ i
தொகுதியெண்	t̪ o ɡ u d̪ i j e ɳ
தொகுப்பு	t̪ o ɡ u pː u
தொகை	t̪ o ɡ a ɪ̯
தொங்கு	t̪ o ŋ ɡ u
தொடங்கல்	t̪ o ɖ ɐ ŋ ɡ ɐ l
தொடங்கி	t̪ o ɖ ɐ ŋ ɡ i
தொடங்கு	t̪ o ɖ ɐ ŋ ɡ u
தொடரி	t̪ o ɖ ɐ ɾ i
தொடருந்து	t̪ o ɖ ɐ ɾ u n̪ d̪ u
தொடர்	t̪ o ɖ ɐ ɾ
தொடர்ச்சி	t̪ o ɖ ɐ ɾ t͡ɕː i
தொடர்ந்தேற்றி	t̪ o ɖ ɐ ɾ n̪ d̪ eː rː i
தொடர்பற	t̪ o ɖ ɐ ɾ b ɐ r ɐ
தொடர்பு	t̪ o ɖ ɐ ɾ b u
தொடர்வண்டி	t̪ o ɖ ɐ ɾ ʋ ɐ ɳ ɖ i
தொடு	t̪ o ɖ u
தொடுகிலும்	t̪ o ɖ u ɡ i l u m
தொடுத்து	t̪ o ɖ u t̪ː u
தொடுப்பு	t̪ o ɖ u pː u
தொடை	t̪ o ɖ a ɪ̯
தொட்டி	t̪ o ʈː i
தொட்டு	t̪ o ʈː u
தொட்டுத்தொட்டு	t̪ o ʈː u t̪ː o ʈː u
தொண்டன்	t̪ o ɳ ɖ ɐ n
தொண்டு	t̪ o ɳ ɖ u
தொண்டை	t̪ o ɳ ɖ a ɪ̯
தொண்ணூறு	t̪ o ɳː uː r u
தொந்தி	t̪ o n̪ d̪ i
தொனி	t̪ o n i
தொன்னை	t̪ o nː a ɪ̯
தொன்மங்கள்	t̪ o n m ɐ ŋ ɡ ɐ ɭ
தொன்மம்	t̪ o n m ɐ m
தொன்மவியல்	t̪ o n m ɐ ʋ i j ɐ l
தொன்மா	t̪ o n m aː
தொன்மை	t̪ o n m a ɪ̯
தொன்று	t̪ o n r u
தொப்பை	t̪ o pː a ɪ̯
தொறவல்	t̪ o r ɐ ʋ ɐ l
தொறுவு	t̪ o r u ʋ u
தொற்று	t̪ o rː u
தொற்றுநோய்	t̪ o rː u n̪ oː j
தொலை	t̪ o l a ɪ̯
தொலைக்காட்சி	t̪ o l a ɪ̯ kː aː ʈ t͡ɕ i
தொலைபேசி	t̪ o l a ɪ̯ b eː t͡ɕ i
தொலையியக்கி	t̪ o l a ɪ̯ j i j ɐ kː i
தொல்	t̪ o l
தொல்காப்பியம்	t̪ o l ɡ aː pː i j ɐ m
தொல்லியல்	t̪ o l l i j ɐ l
தொள்ளாயிரம்	t̪ o ɭː aː j i ɾ ɐ m
தொழினுட்பம்	t̪ o ɻ i n u ʈ p ɐ m
தொழிற்சாலை	t̪ o ɻ i r t͡ɕ aː l a ɪ̯
தொழிலாளி	t̪ o ɻ i l aː ɭ i
தொழில்	t̪ o ɻ i l
தொழு	t̪ o ɻ u
தொழும்பு	t̪ o ɻ u m b u
தொழுவன்	t̪ o ɻ u ʋ ɐ n
தொழுவம்	t̪ o ɻ u ʋ ɐ m
தொழுவர்	t̪ o ɻ u ʋ ɐ ɾ
தொழுவு	t̪ o ɻ u ʋ u
தொழுவை	t̪ o ɻ u ʋ a ɪ̯
தோகம்	t̪ oː ɡ ɐ m
தோகை	t̪ oː ɡ a ɪ̯
தோசம்	t̪ oː t͡ɕ ɐ m
தோசிக்கொக்கு	t̪ oː t͡ɕ i kː o kː u
தோசை	d̪ oː t͡ɕ a ɪ̯
தோட்டம்	t̪ oː ʈː ɐ m
தோட்டிமை	t̪ oː ʈː i m a ɪ̯
தோணி	t̪ oː ɳ i
தோணிதள்ளு	t̪ oː ɳ i d̪ ɐ ɭː u
தோணித்துறை	t̪ oː ɳ i t̪ː u r a ɪ̯
தோண்டான்	t̪ oː ɳ ɖ aː n
தோண்டு	t̪ oː ɳ ɖ u
தோத்திரம்	t̪ oː t̪ː i ɾ ɐ m
தோன்று	t̪ oː n r u
தோப்பி	t̪ oː pː i
தோற்றம்	t̪ oː rː ɐ m
தோலியல்	t̪ oː l i j ɐ l
தோல்	t̪ oː l
தோல்வி	t̪ oː l ʋ i
தோள்	t̪ oː ɭ
தோழன்	t̪ oː ɻ ɐ n
தோழி	t̪ oː ɻ i
த்	i t̪
த்	i t̪ː ɯ
த்	t̪
ந	n̪ ɐ
நகம்	n̪ ɐ h ɐ m
நகம்	n̪ ɐ ɡ ɐ m
நகரப்பதி	n̪ ɐ ɡ ɐ ɾ ɐ pː ɐ d̪ i
நகரமாந்தர்	n̪ ɐ ɡ ɐ ɾ ɐ m aː n̪ d̪ ɐ ɾ
நகரம்	n̪ ɐ ɡ ɐ ɾ ɐ m
நகர்	n̪ ɐ ɡ ɐ ɾ
நகர்த்து	n̪ ɐ ɡ ɐ ɾ t̪ː u
நகை	n̪ ɐ ɡ a ɪ̯
நகைச்சுவை	n̪ ɐ h a ɪ̯ t͡ɕː u ʋ a ɪ̯
நகைச்சுவை	n̪ ɐ ɡ a ɪ̯ t͡ɕː u ʋ a ɪ̯
நகோமி	n̪ ɐ ɡ oː m i
நக்க	n̪ ɐ kː ɐ
நக்கம்	n̪ ɐ kː ɐ m
நக்கவரம்	n̪ ɐ kː ɐ ʋ ɐ ɾ ɐ m
நக்கு	n̪ ɐ kː u
நங்கூரம்	n̪ ɐ ŋ ɡ uː ɾ ɐ m
நசுக்கு	n̪ ɐ t͡ɕ u kː u
நச்சுயிரி	n̪ ɐ t͡ɕː u j i ɾ i
நஞ்சு	n̪ ɐ ɲ d͡ʑ u
நஞ்சுக்கொடி	n̪ ɐ ɲ d͡ʑ u kː o ɖ i
நட	n̪ ɐ ɖ ɐ
நடக்கை	n̪ ɐ ɖ ɐ kː a ɪ̯
நடத்து	n̪ ɐ ɖ ɐ t̪ː u
நடத்தை	n̪ ɐ ɖ ɐ t̪ː a ɪ̯
நடனம்	n̪ ɐ ɖ ɐ n ɐ m
நடப்பன	n̪ ɐ ɖ ɐ pː ɐ n ɐ
நடப்பிப்பு	n̪ ɐ ɖ ɐ pː i pː u
நடமாடு	n̪ ɐ ɖ ɐ m aː ɖ u
நடராஜர்	n̪ ɐ ɖ ɐ ɾ aː d͡ʑ ɐ ɾ
நடலம்	n̪ ɐ ɖ ɐ l ɐ m
நடவடிக்கை	n̪ ɐ ɖ ɐ ʋ ɐ ɖ i kː a ɪ̯
நடவு	n̪ ɐ ɖ ɐ ʋ u
நடி	n̪ ɐ ɖ i
நடிகர்	n̪ ɐ ɖ i ɡ ɐ ɾ
நடு	n̪ ɐ ɖ u
நடுங்கு	n̪ ɐ ɖ u ŋ ɡ u
நடுவடிக்கை	n̪ ɐ ɖ u ʋ ɐ ɖ i kː a ɪ̯
நடுவு	n̪ ɐ ɖ u ʋ u
நடுவுநிலை	n̪ ɐ ɖ u ʋ u n̪ i l a ɪ̯
நடுவுநிலைமை	n̪ ɐ ɖ u ʋ u n̪ i l a ɪ̯ m a ɪ̯
நடை	n̪ ɐ ɖ a ɪ̯
நடைகிணறு	n̪ ɐ ɖ a ɪ̯ ɡ i ɳ ɐ r u
நடைபடி	n̪ ɐ ɖ a ɪ̯ b ɐ ɖ i
நடைப்பொன்	n̪ ɐ ɖ a ɪ̯ pː o n
நடைமேடை	n̪ ɐ ɖ a ɪ̯ m eː ɖ a ɪ̯
நடைமேடைகள்	n̪ ɐ ɖ a ɪ̯ m eː ɖ a ɪ̯ ɡ ɐ ɭ
நட்சத்திரமண்டலம்	n̪ ɐ ʈ t͡ɕ ɐ t̪ː i ɾ ɐ m ɐ ɳ ɖ ɐ l ɐ m
நட்சத்திரம்	n̪ ɐ ʈ t͡ɕ ɐ t̪ː i ɾ ɐ m
நட்டம்	n̪ ɐ ʈː ɐ m
நட்பு	n̪ ɐ ʈ p u
நண்டு	n̪ ɐ ɳ ɖ u
நண்பகல்	n̪ ɐ ɳ b ɐ ɡ ɐ l
நதி	n̪ ɐ d̪ i
நதிகேள்வன்	n̪ ɐ d̪ i ɡ eː ɭ ʋ ɐ n
நத்தம்	n̪ ɐ t̪ː ɐ m
நத்தார்	n̪ ɐ t̪ː aː ɾ
நத்தை	n̪ ɐ t̪ː a ɪ̯
நந்தி	n̪ ɐ n̪ d̪ i
நனிசைவம்	n̪ ɐ n i t͡ɕ a ɪ̯ ʋ ɐ m
நன்கடத்தி	n̪ ɐ n k ɐ ɖ ɐ t̪ː i
நன்கு	n̪ ɐ n ɡ u
நன்கொடை	n̪ ɐ n ɡ o ɖ a ɪ̯
நன்னாரி	n̪ ɐ nː aː ɾ i
நன்னூல்	n̪ ɐ nː uː l
நன்பு	n̪ ɐ n b u
நன்மை	n̪ ɐ n m a ɪ̯
நன்றாக	n̪ ɐ n r aː ɡ ɐ
நன்றி	n̪ ɐ n r i
நபம்	n̪ ɐ b ɐ m
நமன்	n̪ ɐ m ɐ n
நம்பி	n̪ ɐ m b i
நம்பிக்கை	n̪ ɐ m b i kː a ɪ̯
நம்பு	n̪ ɐ m b u
நரகம்	n̪ ɐ ɾ ɐ ɡ ɐ m
நரந்தம்	n̪ ɐ ɾ ɐ n̪ d̪ ɐ m
நரம்பியல்	n̪ ɐ ɾ ɐ m b i j ɐ l
நரம்பு	n̪ ɐ ɾ ɐ m b u
நரி	n̪ ɐ ɾ i
நருமதை	n̪ ɐ ɾ u m ɐ d̪ a ɪ̯
நறுக்கு	n̪ ɐ r u kː u
நறுமணம்	n̪ ɐ r u m ɐ ɳ ɐ m
நறுவல்லி	n̪ ɐ r u ʋ ɐ l l i
நறை	n̪ ɐ r a ɪ̯
நற்கருணை	n̪ ɐ r k ɐ ɾ u ɳ a ɪ̯
நற்செய்தி	n̪ ɐ r t͡ɕ e j d̪ i
நற்றிணை	n̪ ɐ rː i ɳ a ɪ̯
நல்	n̪ ɐ l
நல்கு	n̪ ɐ l ɡ u
நல்ல	n̪ ɐ l l ɐ
நல்லது	n̪ ɐ l l ɐ d̪ u
நல்லவர்	n̪ ɐ l l ɐ ʋ ɐ ɾ
நல்லா	n̪ ɐ l l aː
நல்லூழ்	n̪ ɐ l l uː ɻ
நல்லொழுக்கம்	n̪ ɐ l l o ɻ u kː ɐ m
நல்வாக்கு	n̪ ɐ l ʋ aː kː u
நளி	n̪ ɐ ɭ i
நளினம்	n̪ ɐ ɭ i n ɐ m
நள்ளி	n̪ ɐ ɭː i
நள்ளிரவு	n̪ ɐ ɭː i ɾ ɐ ʋ u
நவம்பர்	n̪ ɐ ʋ ɐ m b ɐ ɾ
நவில்	n̪ ɐ ʋ i l
நவீனம்	n̪ ɐ ʋ iː n ɐ m
நஷ்டம்	n̪ ɐ ʂ ʈ ɐ m
நா	n̪ aː
நாகசுரம்	n̪ aː ɡ ɐ t͡ɕ u ɾ ɐ m
நாகப்பட்டினம்	n̪ aː ɡ ɐ pː ɐ ʈː i n ɐ m
நாகம்	n̪ aː ɡ ɐ m
நாகரிகம்	n̪ aː ɡ ɐ ɾ i ɡ ɐ m
நாகாலாந்து	n̪ aː ɡ aː l aː n̪ d̪ u
நாக்கு	n̪ aː kː u
நாங்கள்	n̪ aː ŋ ɡ ɐ ɭ
நாசம்	n̪ aː t͡ɕ ɐ m
நாசி	n̪ aː t͡ɕ i
நாச்சியார்	n̪ aː t͡ɕː i j aː ɾ
நாடகம்	n̪ aː ɖ ɐ ɡ ɐ m
நாடா	n̪ aː ɖ aː
நாடாளுமன்றம்	n̪ aː ɖ aː ɭ u m ɐ n r ɐ m
நாடு	n̪ aː ɖ u
நாடுகள்	n̪ aː ɖ u ɡ ɐ ɭ
நாடோடி	n̪ aː ɖ oː ɖ i
நாட்டம்	n̪ aː ʈː ɐ m
நாட்டாண்மை	n̪ aː ʈː aː ɳ m a ɪ̯
நாட்டாமை	n̪ aː ʈː aː m a ɪ̯
நாட்டுமஞ்சட்சீனக்கிழங்கு	n̪ aː ʈː u m ɐ ɲ d͡ʑ ɐ ʈ t͡ɕ iː n ɐ kː i ɻ ɐ ŋ ɡ u
நாணயம்	n̪ aː ɳ ɐ j ɐ m
நாணல்	n̪ aː ɳ ɐ l
நாதசுவரம்	n̪ aː d̪ ɐ t͡ɕ u ʋ ɐ ɾ ɐ m
நாதஸ்வரம்	n̪ aː d̪ ɐ s ʋ ɐ ɾ ɐ m
நாத்திகம்	n̪ aː t̪ː i ɡ ɐ m
நானூறு	n̪ aː n uː r u
நான்	n̪ aː n
நான்கு	n̪ aː n ɡ u
நான்முகன்	n̪ aː n m u ɡ ɐ n
நாமக்கல்	n̪ aː m ɐ kː ɐ l
நாமம்	n̪ aː m ɐ m
நாம்	n̪ aː m
நாயகன்	n̪ aː j ɐ ɡ ɐ n
நாயகம்	n̪ aː j ɐ ɡ ɐ m
நாயுருவி	n̪ aː j u ɾ u ʋ i
நாய்	n̪ aː j
நாய்க்குட்டி	n̪ aː j kː u ʈː i
நாராயணன்	n̪ aː ɾ aː j ɐ ɳ ɐ n
நாரை	n̪ aː ɾ a ɪ̯
நார்	n̪ aː ɾ
நாறு	n̪ aː r u
நாறுகட்டி	n̪ aː r u ɡ ɐ ʈː i
நாறுகரந்தை	n̪ aː r u ɡ ɐ ɾ ɐ n̪ d̪ a ɪ̯
நாறுநறுவிலி	n̪ aː r u n̪ ɐ r u ʋ i l i
நாற்காலி	n̪ aː r k aː l i
நாற்பது	n̪ aː r p ɐ d̪ u
நாற்றம்	n̪ aː rː ɐ m
நாற்று	n̪ aː rː u
நாற்றுநடவு	n̪ aː rː u n̪ ɐ ɖ ɐ ʋ u
நாற்றுப்பாத்தி	n̪ aː rː u pː aː t̪ː i
நாலு	n̪ aː l u
நால்	n̪ aː l
நால்கு	n̪ aː l ɡ u
நாளுக்கு	n̪ aː ɭ u kː u
நாளுக்குநாள்	n̪ aː ɭ u kː u n̪ aː ɭ
நாளும்	n̪ aː ɭ u m
நாளெல்லை	n̪ aː ɭ e l l a ɪ̯
நாளை	n̪ aː ɭ a ɪ̯
நாள்	n̪ aː ɭ
நாள்மீன்	n̪ aː ɭ m iː n
நாழிகை	n̪ aː ɻ i ɡ a ɪ̯
நாவாய்	n̪ aː ʋ aː j
நாவு	n̪ aː ʋ u
நிகண்டு	n̪ i ɡ ɐ ɳ ɖ u
நிகர்ப்பு	n̪ i ɡ ɐ ɾ pː u
நிகழ்	n̪ i ɡ ɐ ɻ
நிகழ்ச்சி	n̪ i ɡ ɐ ɻ t͡ɕː i
நிகழ்த்து	n̪ i ɡ ɐ ɻ t̪ː u
நிகழ்வு	n̪ i ɡ ɐ ɻ ʋ u
நிசப்தம்	n̪ i t͡ɕ ɐ p t̪ ɐ m
நிசம்	n̪ i t͡ɕ ɐ m
நிச்சயம்	n̪ i t͡ɕː ɐ j ɐ m
நிஜம்	n̪ i d͡ʑ ɐ m
நிடூதனன்	n̪ i ɖ uː d̪ ɐ n ɐ n
நிதானம்	n̪ i d̪ aː n ɐ m
நிதியமைச்சர்	n̪ i d̪ i j ɐ m a ɪ̯ t͡ɕː ɐ ɾ
நித்தியம்	n̪ i t̪ː i j ɐ m
நித்திரை	n̪ i t̪ː i ɾ a ɪ̯
நித்திலம்	n̪ i t̪ː i l ɐ m
நிந்தனை	n̪ i n̪ d̪ ɐ n a ɪ̯
நினை	n̪ i n a ɪ̯
நினைப்பு	n̪ i n a ɪ̯ pː u
நினைவகம்	n̪ i n a ɪ̯ ʋ ɐ ɡ ɐ m
நினைவு	n̪ i n a ɪ̯ ʋ u
நின்	n̪ i n
நின்று	n̪ i n r u
நிபந்தனை	n̪ i b ɐ n̪ d̪ ɐ n a ɪ̯
நிபானம்	n̪ i b aː n ɐ m
நிபுணர்	n̪ i b u ɳ ɐ ɾ
நிமிடம்	n̪ i m i ɖ ɐ m
நிமிர்	n̪ i m i ɾ
நிமிஷம்	n̪ i m i ʂ ɐ m
நிம்மதி	n̪ i mː ɐ d̪ i
நியாசம்	n̪ i j aː t͡ɕ ɐ m
நியாயம்	n̪ i j aː j ɐ m
நிரந்தர	n̪ i ɾ ɐ n̪ d̪ ɐ ɾ ɐ
நிரப்பு	n̪ i ɾ ɐ pː u
நிரம்ப	n̪ i ɾ ɐ m b ɐ
நிரம்பு	n̪ i ɾ ɐ m b u
நிரல்	n̪ i ɾ ɐ l
நிருபம்	n̪ i ɾ u b ɐ m
நிரூபணம்	n̪ i ɾ uː b ɐ ɳ ɐ m
நிரூபி	n̪ i ɾ uː b i
நிரை	n̪ i ɾ a ɪ̯
நிரோதம்	n̪ i ɾ oː d̪ ɐ m
நிர்ணயம்	n̪ i ɾ ɳ ɐ j ɐ m
நிர்வாகம்	n̪ i ɾ ʋ aː ɡ ɐ m
நிர்வாகி	n̪ i ɾ ʋ aː ɡ i
நிறமாலையியல்	n̪ i r ɐ m aː l a ɪ̯ j i j ɐ l
நிறம்	n̪ i r ɐ m
நிறுத்தக்குறி	n̪ i r u t̪ː ɐ kː u r i
நிறுப்பான்	n̪ i r u pː aː n
நிறுவனம்	n̪ i r u ʋ ɐ n ɐ m
நிறுவு	n̪ i r u ʋ u
நிறை	n̪ i r a ɪ̯
நிறைவு	n̪ i r a ɪ̯ ʋ u
நிலக்கடலை	n̪ i l ɐ kː ɐ ɖ ɐ l a ɪ̯
நிலங்கு	n̪ i l ɐ ŋ ɡ u
நிலநடுக்கம்	n̪ i l ɐ n̪ ɐ ɖ u kː ɐ m
நிலநடுக்கவியல்	n̪ i l ɐ n̪ ɐ ɖ u kː ɐ ʋ i j ɐ l
நிலநடுக்கோடு	n̪ i l ɐ n̪ ɐ ɖ u kː oː ɖ u
நிலப்படவரைவியல்	n̪ i l ɐ pː ɐ ɖ ɐ ʋ ɐ ɾ a ɪ̯ ʋ i j ɐ l
நிலப்பனை	n̪ i l ɐ pː ɐ n a ɪ̯
நிலம்	n̪ i l ɐ m
நிலவியல்	n̪ i l ɐ ʋ i j ɐ l
நிலவு	n̪ i l ɐ ʋ u
நிலவேம்பு	n̪ i l ɐ ʋ eː m b u
நிலவொளி	n̪ i l ɐ ʋ o ɭ i
நிலா	n̪ i l aː
நிலாவெளிச்சம்	n̪ i l aː ʋ e ɭ i t͡ɕː ɐ m
நிலை	n̪ i l a ɪ̯
நிலைப்பு	n̪ i l a ɪ̯ pː u
நிலைமை	n̪ i l a ɪ̯ m a ɪ̯
நிலையம்	n̪ i l a ɪ̯ j ɐ m
நில்	n̪ i l
நிழல்	n̪ i ɻ ɐ l
நிவசதி	n̪ i ʋ ɐ t͡ɕ ɐ d̪ i
நிவப்பு	n̪ i ʋ ɐ pː u
நிவாசம்	n̪ i ʋ aː t͡ɕ ɐ m
நிஷானி	n̪ i ʂ aː n i
நிஷ்டை	n̪ i ʂ ʈ a ɪ̯
நீ	n̪ iː
நீக்கம்	n̪ iː kː ɐ m
நீக்கல்	n̪ iː kː ɐ l
நீக்கு	n̪ iː kː u
நீங்க	n̪ iː ŋ ɡ ɐ
நீங்கள்	n̪ iː ŋ ɡ ɐ ɭ
நீங்கு	n̪ iː ŋ ɡ u
நீடு	n̪ iː ɖ u
நீட்டாணம்	n̪ iː ʈː aː ɳ ɐ m
நீட்டி	n̪ iː ʈː i
நீட்டிநட	n̪ iː ʈː i n̪ ɐ ɖ ɐ
நீட்டு	n̪ iː ʈː u
நீட்பம்	n̪ iː ʈ p ɐ m
நீண்டாயம்	n̪ iː ɳ ɖ aː j ɐ m
நீண்மை	n̪ iː ɳ m a ɪ̯
நீதி	n̪ iː d̪ i
நீதிபதி	n̪ iː d̪ i b ɐ d̪ i
நீதிமன்றம்	n̪ iː d̪ i m ɐ n r ɐ m
நீதிமான்	n̪ iː d̪ i m aː n
நீதிமொழிகள்	n̪ iː d̪ i m o ɻ i ɡ ɐ ɭ
நீத்தம்	n̪ iː t̪ː ɐ m
நீத்து	n̪ iː t̪ː u
நீந்து	n̪ iː n̪ d̪ u
நீனு	n̪ iː n u
நீரகம்	n̪ iː ɾ ɐ ɡ ɐ m
நீராடு	n̪ iː ɾ aː ɖ u
நீராவி	n̪ iː ɾ aː ʋ i
நீரியம்	n̪ iː ɾ i j ɐ m
நீர்	n̪ iː ɾ
நீர்க்காகம்	n̪ iː ɾ kː aː ɡ ɐ m
நீர்க்காக்கை	n̪ iː ɾ kː aː kː a ɪ̯
நீர்க்கால்	n̪ iː ɾ kː aː l
நீர்நாய்	n̪ iː ɾ n̪ aː j
நீர்ப்புன்கு	n̪ iː ɾ pː u n ɡ u
நீர்மங்கை	n̪ iː ɾ m ɐ ŋ ɡ a ɪ̯
நீர்மருது	n̪ iː ɾ m ɐ ɾ u d̪ u
நீர்வளம்	n̪ iː ɾ ʋ ɐ ɭ ɐ m
நீர்வாழை	n̪ iː ɾ ʋ aː ɻ a ɪ̯
நீர்வீழ்ச்சி	n̪ iː ɾ ʋ iː ɻ t͡ɕː i
நீலகண்டன்	n̪ iː l ɐ ɡ ɐ ɳ ɖ ɐ n
நீலகிரி	n̪ iː l ɐ ɡ i ɾ i
நீலக்கல்	n̪ iː l ɐ kː ɐ l
நீலம்	n̪ iː l ɐ m
நீலிரும்பு	n̪ iː l i ɾ u m b u
நீளமான	n̪ iː ɭ ɐ m aː n ɐ
நீளம்	n̪ iː ɭ ɐ m
நீளிப்பு	n̪ iː ɭ i pː u
நீள்	n̪ iː ɭ
நுகம்	n̪ u ɡ ɐ m
நுகர்ச்சி	n̪ u ɡ ɐ ɾ t͡ɕː i
நுகைவு	n̪ u ɡ a ɪ̯ ʋ u
நுங்கு	n̪ u ŋ ɡ u
நுட்பம்	n̪ u ʈ p ɐ m
நுண்ணோக்கி	n̪ u ɳː oː kː i
நுதல்	n̪ u d̪ ɐ l
நுன்	n̪ u n
நுரையீரல்	n̪ u ɾ a ɪ̯ j iː ɾ ɐ l
நுழைவாசல்	n̪ u ɻ a ɪ̯ ʋ aː t͡ɕ ɐ l
நுழைவு	n̪ u ɻ a ɪ̯ ʋ u
நூதனசாலை	n̪ uː d̪ ɐ n ɐ t͡ɕ aː l a ɪ̯
நூறாயிசு	n̪ uː r aː j i t͡ɕ u
நூறாயிரம்	n̪ uː r aː j i ɾ ɐ m
நூறு	n̪ uː r u
நூலகம்	n̪ uː l ɐ ɡ ɐ m
நூலறிவு	n̪ uː l ɐ r i ʋ u
நூல்	n̪ uː l
நெகிழி	n̪ e ɡ i ɻ i
நெகிழிக்குப்பை	n̪ e ɡ i ɻ i kː u pː a ɪ̯
நெகிழ்ச்சி	n̪ e ɡ i ɻ t͡ɕː i
நெகேமியா	n̪ e ɡ eː m i j aː
நெசவாளர்	n̪ e t͡ɕ ɐ ʋ aː ɭ ɐ ɾ
நெசவு	n̪ e t͡ɕ ɐ ʋ u
நெஞ்சம்	n̪ e ɲ d͡ʑ ɐ m
நெஞ்சு	n̪ e ɲ d͡ʑ u
நெடுக	n̪ e ɖ u ɡ ɐ
நெடுகலும்	n̪ e ɖ u ɡ ɐ l u m
நெடுநல்வாடை	n̪ e ɖ u n̪ ɐ l ʋ aː ɖ a ɪ̯
நெடுநாரை	n̪ e ɖ u n̪ aː ɾ a ɪ̯
நெட்டைநாரத்தை	n̪ e ʈː a ɪ̯ n̪ aː ɾ ɐ t̪ː a ɪ̯
நென்மா	n̪ e n m aː
நெம்புகோல்	n̪ e m b u ɡ oː l
நெய்	n̪ e j
நெய்த்தோர்	n̪ e j t̪ː oː ɾ
நெய்த்தோலி	n̪ e j t̪ː oː l i
நெய்ப்பு	n̪ e j pː u
நெருப்பு	n̪ e ɾ u pː u
நெறி	n̪ e r i
நெறிமுறை	n̪ e r i m u r a ɪ̯
நெறிமுறைமை	n̪ e r i m u r a ɪ̯ m a ɪ̯
நெறிமை	n̪ e r i m a ɪ̯
