aakʼee	ʔ ɑ̀ː kʼ èː
yidizǫ́ǫ́s	j ɪ̀ t ɪ̀ z ṍː s
yidloh	j ɪ̀ t͡l ò h
yigááł	j ɪ̀ k ɑ́ː ɬ
yíhoołʼaah	j ɪ́ h òː ɬ ʔ ɑ̀ː h
yiiltééh	j ìː l tʰ éː h
yikęęs	j ɪ̀ kʰ ẽ̀ː s
yikʼęęh	j ɪ̀ kʼ ẽ̀ː h
yileeh	j ɪ̀ l èː h
yílį́	j ɪ́ l ĩ́
yił	j ɪ̀ ɬ
yiłmáás	j ɪ̀ ɬ m ɑ́ː s
yíłmáás	j ɪ́ ɬ m ɑ́ː s
yiłní	j ɪ̀ ɬ n ɪ́
yiłtʼees	j ɪ̀ ɬ tʼ èː s
yiłtsééh	j ɪ̀ ɬ t͡sʰ éː h
yiniiłmas	j ɪ̀ n ìː ɬ m ɑ̀ s
yiniłmas	j ɪ̀ n ɪ̀ ɬ m ɑ̀ s
yiniłtséés	j ɪ̀ n ɪ̀ ɬ t͡sʰ éː s
yiníłʼį́	j ɪ̀ n ɪ́ ɬ ʔ ĩ́
yinishyé	j ɪ̀ n ɪ̀ ʃ j ɛ́
yínítááh	j ɪ́ n ɪ́ tʰ ɑ́ː h
yinízin	j ɪ̀ n ɪ́ z ɪ̀ n
yisdábąąs	j ɪ̀ s t ɑ́ p ɑ̃̀ː s
yisdáldlóósh	j ɪ̀ s t ɑ́ l t͡l óː ʃ
yisdzoh	j ɪ̀ s t͡s ò h
yiską́ągo	j ɪ̀ s kʰ ɑ̃̂ː k ò
yiską́o	j ɪ̀ s kʰ ɑ̃́ ò
yishcha	j ɪ̀ ʃ t͡ʃʰ ɑ̀
yishééh	j ɪ̀ ʃ éː h
yitʼééh	j ɪ̀ tʼ éː h
yiyiitsah	j ɪ̀ j ìː t͡sʰ ɑ̀ h
yiyiizoh	j ɪ̀ j ìː z ò h
yizííd	j ɪ̀ z íː t
yízííd	j ɪ́ z íː t
yizǫ́ǫ́s	j ɪ̀ z ṍː s
yiʼaash	j ɪ̀ ʔ ɑ̀ː ʃ
yiʼį́	j ɪ̀ ʔ ĩ́
yółtaʼ	j ó ɬ tʰ ɑ̀ ʔ
yoochʼííd	j òː t͡ʃʼ íː t
yoolééł	j òː l éː ɬ
yoołkááł	j òː ɬ k ɑ́ː ɬ
yoołkááłígíí	j òː ɬ k ɑ́ː ɬ ɪ́ k íː
yoołkáłí	j òː ɬ k ɑ́ː ɬ ɪ́
Yootó	j òː tʰ ó
Yoowéinis	j òː w ɛ́ ɪ̀ n ɪ̀ s
yóóʼ	j óː ʔ
yózhí	j ó ʒ ɪ́
zaad	z ɑ̀ː t
zas	z ɑ̀ s
zénáztʼiʼí	z ɛ́ n ɑ́ z tʼ ɪ̀ ʔ ɪ́
zh	ʒ
Zh	ʒ
ʼ	ʔ
ʼáh	ʔ ɑ́ h
