㑚	n a ² ³
柴草	z a ² ² t͡sʰ ɔ ⁴ ⁴
柴蟬	z a ² ² z ø ⁴ ⁴
柿	z z̩ ² ³
柿子	z z̩ ² ² t͡s z̩ ⁴ ⁴
柿子椒	z z̩ ² ² t͡s z̩ ⁵ ⁵ t͡ɕ i ɔ ² ¹
栗	l i ɪ ʔ ¹ ²
栗子	l i ɪ ʔ ¹ ¹ t͡s z̩ ² ³
栗子山芋	l i ɪ ʔ ¹ ¹ t͡s z̩ ² ² s e ² ² ɦ y ² ³
栗子肉	l i ɪ ʔ ¹ ¹ t͡s z̩ ² ² n̠ʲ i o ʔ ² ³
校	k ɔ ³ ⁴
校	t͡ɕ i ɔ ³ ⁴
校	ɦ i ɔ ² ³
校服	ɦ i ɔ ² ² v o ʔ ⁴ ⁴
校花	ɦ i ɔ ² ² h o ⁴ ⁴
校草	ɦ i ɔ ² ² t͡sʰ ɔ ⁴ ⁴
校長	ɦ i ɔ ² ² t͡s ã ⁴ ⁴
栩	ɕ y ³ ⁴
栲	k ə ʔ ⁵ ⁵
栲栳	k ə ʔ ³ ³ l ɔ ⁴ ⁴
栳	l ɔ ² ³
核	ŋ ə ʔ ¹ ²
核	ɦ u ə ʔ ¹ ²
核	ɦ ə ʔ ¹ ²
核子	ɦ u ə ʔ ¹ ¹ t͡s z̩ ² ³
核酸	ɦ ə ʔ ¹ ¹ s ø ² ³
根	k ə n ⁵ ³
根據	k ə n ⁵ ⁵ t͡ɕ y ² ¹
格	k a ʔ ⁵ ⁵
格	ə ʔ ⁵ ⁵
格	ɡ ə ʔ ¹ ²
格	ɦ ə ʔ ¹ ²
格䈆	k a ʔ ³ ³ d a ⁴ ⁴
格魯吉亞	k a ʔ ³ ³ l u ⁵ ⁵ t͡ɕ i ɪ ʔ ³ ³ i a ² ¹
桁	ɦ ɑ̃ ² ³
桂	k u e ³ ⁴
桂圓	k u e ³ ³ ɦ y ø ⁴ ⁴
桂花	k u e ³ ³ h o ⁴ ⁴
桂花甲魚	k u e ³ ³ h o ⁵ ⁵ t͡ɕ i a ʔ ³ ³ ŋ̍ ² ¹
桃	d ɔ ² ³
桃子	d ɔ ² ² t͡s z̩ ⁴ ⁴
桃板	d ɔ ² ² p e ⁴ ⁴
桃花	d ɔ ² ² h o ⁴ ⁴
桅	ɦ u e ² ³
案	ø ³ ⁴
桌	t͡s o ʔ ⁵ ⁵
桐	d o ŋ ² ³
桑	s ɑ̃ ⁵ ³
桑子	s ɑ̃ ⁵ ⁵ t͡s z̩ ² ¹
桑樹	s ɑ̃ ⁵ ⁵ z z̩ ² ¹
桑葉	s ɑ̃ ⁵ ⁵ ɦ i ɪ ʔ ² ¹
桑車	s ɑ̃ ⁵ ⁵ t͡sʰ o ² ¹
桓	ɦ u ø ² ³
桶	d o ŋ ² ³
桿	k ø ³ ⁴
梁	l i ã ² ³
梅	m e ² ³
梅乾菜	m e ² ² k ø ⁵ ⁵ t͡sʰ e ² ¹
梅子	m e ² ² t͡s z̩ ⁴ ⁴
梅州	m e ² ² t͡s ɤ ⁴ ⁴
梅縣	m e ² ² ɦ y ø ⁴ ⁴
梅花	m e ² ² h o ⁴ ⁴
梅花糕	m e ² ² h o ⁵ ⁵ k ɔ ² ¹
梓	t͡s z̩ ³ ⁴
梔子花	t͡s z̩ ⁵ ⁵ t͡s z̩ ³ ³ h o ² ¹
梗	k ã ³ ⁴
條	d i ɔ ² ³
條件	d i ɔ ² ² d͡ʑ i ⁴ ⁴
條形碼	d i ɔ ² ² ɦ i n ⁵ ⁵ m o ² ¹
條約	d i ɔ ² ² i a ʔ ⁴ ⁴
梟	ɕ i ɔ ⁵ ³
梧	ŋ u ² ³
梧桐	ŋ u ² ² d o ŋ ⁴ ⁴
梨	l i ² ³
梨子	l i ² ² t͡s z̩ ⁴ ⁴
梭子蟹	s u ⁵ ⁵ t͡s z̩ ³ ³ h a ² ¹
梯	tʰ i ⁵ ³
梳	s z̩ ⁵ ³
梳妝	s u ⁵ ⁵ t͡s ɑ̃ ² ¹
梳妝	s z̩ ⁵ ⁵ t͡s ɑ̃ ² ¹
梳辮子	s z̩ ⁴ ⁴ b i ² ² t͡s z̩ ⁴ ⁴
梳頭	s z̩ ⁴ ⁴ d ɤ ² ³
梵	v e ² ³
梵啞鈴	v e ² ² o ⁵ ⁵ l i n ² ¹
梵天	v e ² ² tʰ i ⁴ ⁴
梵婀玲	v e ² ² o ⁵ ⁵ l i n ² ¹
梵宇	v e ² ² ɦ y ⁴ ⁴
梵蒂岡	v e ² ² t i ⁵ ⁵ k ɑ̃ ² ¹
梵語	v e ² ² n̠ʲ y ⁴ ⁴
梵阿玲	v e ² ² o ⁵ ⁵ l i n ² ¹
棄	t͡ɕʰ i ³ ⁴
棄權	t͡ɕʰ i ³ ³ d͡ʑ y ø ⁴ ⁴
棉	m i ² ³
棉紗線	m i ² ² s o ⁵ ⁵ ɕ i ² ¹
棉花	m i ² ² h o ⁴ ⁴
棉衣	m i ² ² i ⁴ ⁴
棉襖	m i ² ² ɔ ⁴ ⁴
棋	d͡ʑ i ² ³
棍	k u ə n ³ ⁴
棒	b ɑ̃ ² ³
棒冰	b ɑ̃ ² ² p i n ⁴ ⁴
棒棒糖	b ɑ̃ ² ² b ɑ̃ ⁵ ⁵ d ɑ̃ ² ¹
棒頭	b ɑ̃ ² ² d ɤ ⁴ ⁴
棒頭糖	b ɑ̃ ² ² d ɤ ⁵ ⁵ d ɑ̃ ² ¹
棕	t͡s o ŋ ⁵ ³
棕繃	t͡s o ŋ ⁵ ⁵ p ã ² ¹
棗	t͡s ɔ ³ ⁴
棗子	t͡s ɔ ³ ³ t͡s z̩ ⁴ ⁴
棗莊	t͡s ɔ ³ ³ t͡s ɑ̃ ⁴ ⁴
棚	b ã ² ³
棚車	b ã ² ² t͡sʰ o ⁴ ⁴
棠	d ɑ̃ ² ³
棧	z e ² ³
棨	t͡ɕʰ i ³ ⁴
森	s ə n ⁵ ³
森林	s ə n ⁵ ⁵ l i n ² ¹
棵	kʰ u ⁵ ³
棺	k u ø ⁵ ³
棺材	k u ø ⁵ ⁵ z e ² ¹
椅	i ³ ⁴
椅子	i ³ ³ t͡s z̩ ⁴ ⁴
椅子	y ³ ³ t͡s z̩ ⁴ ⁴
椅子背	y ³ ³ t͡s z̩ ⁵ ⁵ p e ² ¹
植	z ə ʔ ¹ ²
植樹	z ə ʔ ² ² z z̩ ² ³
植物	z ə ʔ ¹ ¹ v ə ʔ ² ³
椎子	t͡s ø ⁵ ⁵ t͡s z̩ ² ¹
椒	t͡ɕ i ɔ ⁵ ³
椰	i a ⁵ ³
椰奶	i a ⁵ ⁵ n a ² ¹
椰子	i a ⁵ ⁵ t͡s z̩ ² ¹
椰子水	i a ⁵ ⁵ t͡s z̩ ³ ³ s z̩ ² ¹
椽	z ø ² ³
楂	t͡s o ⁵ ³
楊	ɦ i ã ² ³
楊柳	ɦ i ã ² ² l i ɤ ⁴ ⁴
楊柳樹	ɦ i ã ² ² l i ɤ ⁵ ⁵ z z̩ ² ¹
楊梅	ɦ i ã ² ² m e ⁴ ⁴
楊梅瘡	ɦ i ã ² ² m e ⁵ ⁵ t͡sʰ ɑ̃ ² ¹
楓	f o ŋ ⁵ ³
楓楊樹	f o ŋ ⁵ ⁵ ɦ i ã ³ ³ z z̩ ² ¹
楓樹	f o ŋ ⁵ ⁵ z z̩ ² ¹
楚	t͡sʰ u ³ ⁴
楚國	t͡sʰ u ³ ³ k o ʔ ⁴ ⁴
楚河漢界	t͡sʰ u ³ ³ ɦ u ⁵ ⁵ h ø ³ ³ k a ² ¹
楝	l i ² ³
楝樹	l i ² ² z z̩ ⁴ ⁴
楦	ɕ y ø ⁵ ³
業	n̠ʲ i ɪ ʔ ¹ ²
極	d͡ʑ i ɪ ʔ ¹ ²
極樂	d͡ʑ i ɪ ʔ ¹ ¹ l o ʔ ² ³
概	k e ³ ⁴
概念	k e ³ ³ n̠ʲ i ⁴ ⁴
概括	k e ³ ³ k u a ʔ ⁴ ⁴
榆	ɦ y ² ³
榆樹	ɦ y ² ² z z̩ ⁴ ⁴
榔頭	l ɑ̃ ² ² d ɤ ⁴ ⁴
榕	ɦ i o ŋ ² ³
榛	t͡s ə n ⁵ ³
榛子	t͡s ə n ⁵ ⁵ t͡s z̩ ² ¹
榜	p ɑ̃ ³ ⁴
榨菜	t͡s o ⁵ ⁵ t͡sʰ e ² ¹
榫頭	s ə n ³ ³ d ɤ ⁴ ⁴
榮	ɦ i o ŋ ² ³
榮光	ɦ i o ŋ ² ² k u ɑ̃ ⁴ ⁴
榴	l i ɤ ² ³
榻	tʰ a ʔ ⁵ ⁵
榻車	tʰ a ʔ ³ ³ t͡sʰ o ⁴ ⁴
構	k ɤ ³ ⁴
槍	t͡ɕʰ i ã ⁵ ³
槍打出頭鳥	t͡ɕʰ i ã ⁵ ⁵ t ã ³ ³ t͡sʰ ə ʔ ³ ³ d ɤ ⁵ ⁵ n̠ʲ i ɔ ² ¹
槍斃	t͡ɕʰ i ã ⁵ ⁵ b i ² ¹
槍斃鬼	t͡ɕʰ i ã ⁵ ⁵ b i ³ ³ t͡ɕ y ² ¹
槍炮	t͡ɕʰ i ã ⁵ ⁵ pʰ ɔ ² ¹
槍笆	t͡ɕʰ i ã ⁵ ⁵ p o ² ¹
槍籬笆	t͡ɕʰ i ã ⁵ ⁵ l i ³ ³ p o ² ¹
槐樹	ɦ u a ² ² z z̩ ⁴ ⁴
槓	k ɑ̃ ³ ⁴
槤	l i ² ³
槤頭板子	l i ² ² d ɤ ⁵ ⁵ p e ³ ³ t͡s z̩ ² ¹
槳	t͡ɕ i ã ³ ⁴
槽	z ɔ ² ³
槽坊	z ɔ ² ² f ɑ̃ ⁴ ⁴
槽槽	z ɔ ² ² z ɔ ⁴ ⁴
槿	t͡ɕ i n ³ ⁴
樁	t͡s ɑ̃ ⁵ ³
樂	l o ʔ ¹ ²
樂	ɦ i a ʔ ¹ ²
樂	ɦ i ɔ ² ³
樂曲	ŋ o ʔ ¹ ¹ t͡ɕʰ i o ʔ ² ³
樂曲	ŋ o ʔ ¹ ¹ t͡ɕʰ y ɪ ʔ ² ³
樂經	ɦ i a ʔ ¹ ¹ t͡ɕ i n ² ³
樂趣	l o ʔ ¹ ¹ t͡ɕʰ y ² ³
樊	v e ² ³
樑	l i ã ² ³
樓	l ɤ ² ³
樓下	l ɤ ² ² ɦ o ⁴ ⁴
樓下頭	l ɤ ² ² ɦ o ⁵ ⁵ d ɤ ² ¹
樓底下	l ɤ ² ² t i ⁵ ⁵ ɦ o ² ¹
樓房	l ɤ ² ² v ɑ̃ ⁴ ⁴
樓梯	l ɤ ² ² t i ⁴ ⁴
樓浪	l ɤ ² ² l ɑ̃ ⁴ ⁴
樓浪向	l ɤ ² ² l ɑ̃ ⁵ ⁵ ɕ i ã ² ¹
樓高頭	l ɤ ² ² k ɔ ⁵ ⁵ d ɤ ² ¹
標	p i ɔ ⁵ ³
標準	p i ɔ ⁵ ⁵ t͡s ə n ² ¹
標緻	p i ɔ ⁵ ⁵ t͡s z̩ ² ¹
標誌	p i ɔ ⁵ ⁵ t͡s z̩ ² ¹
標語	p i ɔ ⁵ ⁵ n̠ʲ y ² ¹
標題	p i ɔ ⁵ ⁵ d i ² ¹
樞	s z̩ ⁵ ³
樟	t͡s ɑ̃ ⁵ ³
樟樹	t͡s ɑ̃ ³ ³ z z̩ ⁴ ⁴
樟腦	t͡s ɑ̃ ⁵ ⁵ n ɔ ² ¹
模	m u ² ³
模仿	m u ² ² f ɑ̃ ⁴ ⁴
模塊	m u ² ² kʰ u e ⁴ ⁴
模子	m o ² ² t͡s z̩ ⁴ ⁴
模子	m u ² ² t͡s z̩ ⁴ ⁴
模樣	m o ² ² ɦ i ã ⁴ ⁴
樣	ɦ i ã ² ³
樸素	pʰ o ʔ ³ ³ s u ⁴ ⁴
樸落	pʰ o ʔ ³ ³ l o ʔ ⁴ ⁴
樹	z z̩ ² ³
樹丫叉	z z̩ ² ² o ⁵ ⁵ t͡sʰ o ² ¹
樹丫杈	z z̩ ² ² o ⁵ ⁵ t͡sʰ o ² ¹
樹丫枝	z z̩ ² ² o ⁵ ⁵ t͡s z̩ ² ¹
樹倒活猻散	z z̩ ² ² t ɔ ³ ³ ɦ u ə ʔ ¹ ¹ s ə n ³ ³ s e ³ ⁴
樹幹	z z̩ ² ² k ø ⁴ ⁴
樹林	z z̩ ² ² l i n ⁴ ⁴
樹根	z z̩ ² ² k ə n ⁴ ⁴
樹梗子	z z̩ ² ² k ã ⁵ ⁵ t͡s z̩ ² ¹
樹梢頭	z z̩ ² ² s ɔ ⁵ ⁵ d ɤ ² ¹
樹皮	z z̩ ² ² b i ⁴ ⁴
樹秧	z z̩ ² ² i ã ⁴ ⁴
樹立	z z̩ ² ² l i ɪ ʔ ⁴ ⁴
樹葉	z z̩ ² ² ɦ i ɪ ʔ ⁴ ⁴
樹葉子	z z̩ ² ² ɦ i ɪ ʔ ⁵ ⁵ t͡s z̩ ² ¹
樽	t͡s ə n ⁵ ³
橄	k e ³ ⁴
橄欖	k e ³ ³ l e ⁴ ⁴
橄欖油	k e ³ ³ l e ⁵ ⁵ ɦ i ɤ ² ¹
橋	d͡ʑ i ɔ ² ³
橘	t͡ɕ i o ʔ ⁵ ⁵
橘	t͡ɕ y ɪ ʔ ⁵ ⁵
橘子	t͡ɕ i o ʔ ³ ³ t͡s z̩ ⁴ ⁴
橘子	t͡ɕ y ɪ ʔ ³ ³ t͡s z̩ ⁴ ⁴
橘子水	t͡ɕ y ɪ ʔ ³ ³ t͡s z̩ ⁵ ⁵ s z̩ ² ¹
橘子汁	t͡ɕ i o ʔ ³ ³ t͡s z̩ ⁵ ⁵ t͡s ə ʔ ² ¹
橘子汁	t͡ɕ y ɪ ʔ ³ ³ t͡s z̩ ⁵ ⁵ t͡s ə ʔ ² ¹
橘絡	t͡ɕ y ɪ ʔ ³ ³ l o ʔ ⁴ ⁴
橘黃色	t͡ɕ i o ʔ ³ ³ ɦ u ɑ̃ ⁵ ⁵ s ə ʔ ² ¹
橘黃色	t͡ɕ y ɪ ʔ ³ ³ ɦ u ɑ̃ ⁵ ⁵ s ə ʔ ² ¹
橙	z ã ² ³
橙	z ə n ² ³
機	t͡ɕ i ⁵ ³
機動車	t͡ɕ i ⁵ ⁵ d o ŋ ³ ³ t͡sʰ o ² ¹
機器腳踏車	t͡ɕ i ⁵ ⁵ t͡ɕʰ i ³ ³ t͡ɕ i a ʔ ³ ³ d a ʔ ³ ³ t͡sʰ o ² ¹
機場	t͡ɕ i ⁵ ⁵ z ã ² ¹
機房	t͡ɕ i ⁵ ⁵ v ɑ̃ ² ¹
機杼	t͡ɕ i ⁵ ⁵ t͡sʰ z̩ ² ¹
機杼	t͡ɕ i ⁵ ⁵ z z̩ ² ¹
機構	t͡ɕ i ⁵ ⁵ k ɤ ² ¹
機箱	t͡ɕ i ⁵ ⁵ ɕ i ã ² ¹
機能	t͡ɕ i ⁵ ⁵ n ə n ² ¹
橡皮	ʑ i ã ² ² b i ⁴ ⁴
橡皮魚	ʑ i ã ² ² b i ⁵ ⁵ ŋ̍ ² ¹
橡膠	ʑ i ã ² ² k ɔ ⁴ ⁴
橫	u ã ⁵ ³
橫	ɦ u ã ² ³
橫行霸道	ɦ u ɑ̃ ² ² ɦ i n ⁵ ⁵ p o ³ ³ d ɔ ² ¹
橫豎	ɦ u ã ² ² z z̩ ⁴ ⁴
橫豎橫	ɦ u ã ² ² s z̩ ⁵ ⁵ ɦ u ã ² ¹
橫豎橫	ɦ u ã ² ² z z̩ ⁵ ⁵ ɦ u ã ² ¹
橫道線	ɦ u ã ² ² d ɔ ⁵ ⁵ ɕ i ² ¹
橫頭	ɦ u ã ² ² d ɤ ⁴ ⁴
檀山	d e ² ² s e ⁴ ⁴
檔	t ɑ̃ ³ ⁴
檢	t͡ɕ i ³ ⁴
檯	d e ² ³
檯子	d e ² ² t͡s z̩ ⁴ ⁴
檯曆	d e ² ² l i ɪ ʔ ⁴ ⁴
檯燈	d e ² ² t ə n ⁴ ⁴
檯球	d e ² ² d͡ʑ i ɤ ⁴ ⁴
檯球拍	d e ² ² d͡ʑ i ɤ ⁵ ⁵ pʰ a ʔ ² ¹
檳	p i n ⁵ ³
檳榔	p i n ⁵ ⁵ l ɑ̃ ² ¹
檸	n̠ʲ i n ² ³
檸檬	n̠ʲ i n ² ² m o ŋ ⁴ ⁴
檸檬水	n̠ʲ i n ² ² b o ŋ ⁵ ⁵ s z̩ ² ¹
檸檬水	n̠ʲ i n ² ² m o ŋ ⁵ ⁵ s z̩ ² ¹
檻	kʰ e ³ ⁴
櫃	d͡ʑ y ² ³
櫃	ɡ u e ² ³
櫃檯	d͡ʑ y ² ² d e ⁴ ⁴
櫃檯	ɡ u e ² ² d e ⁴ ⁴
櫓	l u ² ³
櫥	z z̩ ² ³
櫥窗	z z̩ ² ² t͡sʰ ɑ̃ ⁴ ⁴
櫻	i n ⁵ ³
櫻	ã ⁵ ³
櫻桃	i n ⁵ ⁵ d ɔ ² ¹
櫻桃	ã ⁵ ⁵ d ɔ ² ¹
櫻桃小番茄	i n ⁵ ⁵ d ɔ ² ¹ ɕ i ɔ ³ ³ f e ⁵ ⁵ ɡ a ² ¹
櫻花	i n ⁵ ⁵ h o ² ¹
櫻花	ã ⁵ ⁵ h o ² ¹
欄杆	l e ² ² k ø ⁴ ⁴
權	d͡ʑ y ø ² ³
權利	d͡ʑ y ø ² ² l i ⁴ ⁴
權力	d͡ʑ y ø ² ² l i ɪ ʔ ⁴ ⁴
欒	l ø ² ³
欠	t͡ɕʰ i ³ ⁴
欠賬	t͡ɕʰ i ³ ³ t͡s ã ⁴ ⁴
欠銅鈿	t͡ɕʰ i ³ ³ d o ŋ ⁵ ⁵ d i ² ¹
次	t͡sʰ z̩ ³ ⁴
次品	t͡sʰ z̩ ³ ³ p i n ⁴ ⁴
次貨	t͡sʰ z̩ ³ ³ h u ⁴ ⁴
欣	ɕ i n ⁵ ³
欣賞	ɕ i n ⁵ ⁵ s ɑ̃ ² ¹
欲	ɦ i o ʔ ¹ ²
欲	ɦ y ɪ ʔ ¹ ²
欺	t͡ɕʰ i ⁵ ³
欺侮	t͡ɕʰ i ⁵ ⁵ v u ² ¹
欺侮	t͡ɕʰ i ⁵ ⁵ ɦ u ² ¹
欺凌	t͡ɕʰ i ⁵ ⁵ l i n ² ¹
欺負	t͡ɕʰ i ⁵ ⁵ v u ² ¹
欽	t͡ɕʰ i n ⁵ ³
欽此	t͡ɕʰ i n ⁵ ⁵ t͡sʰ z̩ ² ¹
款	kʰ u e ³ ⁴
款	kʰ u ø ³ ⁴
歇	ɕ i ɪ ʔ ⁵ ⁵
歇手	ɕ i ɪ ʔ ³ ³ s ɤ ⁴ ⁴
歇業	ɕ i ɪ ʔ ³ ³ n̠ʲ i ɪ ʔ ⁴ ⁴
歇業	ɕ i ɪ ʔ ⁴ ⁴ n̠ʲ i ɪ ʔ ¹ ²
歇歇	ɕ i ɪ ʔ ³ ³ ɕ i ɪ ʔ ⁴ ⁴
歇腳	ɕ i ɪ ʔ ³ ³ t͡ɕ i a ʔ ⁴ ⁴
歇過	ɕ i ɪ ʔ ³ ³ k u ⁴ ⁴
歌	k u ⁵ ³
歌城	k u ⁵ ⁵ z ə n ² ¹
歌手	k u ⁵ ⁵ s ɤ ² ¹
歌曲	k u ⁵ ⁵ t͡ɕʰ i o ʔ ² ¹
歌曲	k u ⁵ ⁵ t͡ɕʰ y ɪ ʔ ² ¹
歌詞	k u ⁵ ⁵ z z̩ ² ¹
歐	ɤ ⁵ ³
歐巴桑	ɤ ⁵ ⁵ p a ³ ³ s ɑ̃ ² ¹
歐洲	ɤ ⁵ ⁵ t͡s ɤ ² ¹
歐美	ɤ ⁵ ⁵ m e ² ¹
歐陽	ɤ ⁵ ⁵ ɦ i ã ² ¹
歙	ɕ i ɪ ʔ ⁵ ⁵
歡	h u ø ⁵ ³
歡喜	h u ø ⁵ ⁵ ɕ i ² ¹
歡迎	h u ø ⁵ ⁵ n̠ʲ i n ² ¹
歡迎光臨	h u ø ⁵ ⁵ n̠ʲ i n ³ ³ k u ɑ̃ ⁵ ⁵ l i n ² ¹
止	t͡s z̩ ³ ⁴
正	t͡s ə n ³ ⁴
正	t͡s ə n ⁵ ³
正卡	z ə n ² ² k a ⁴ ⁴
正好	t͡s ə n ³ ³ h ɔ ⁴ ⁴
正好	t͡s ə n ⁵ ⁵ h ɔ ² ¹
正宗	t͡s ə n ³ ³ t͡s o ŋ ⁴ ⁴
正寫	t͡s ə n ³ ³ ɕ i a ⁴ ⁴
正屋	t͡s ə n ³ ³ o ʔ ⁴ ⁴
正常	t͡s ə n ³ ³ z ã ⁴ ⁴
正式	t͡s ə n ³ ³ s ə ʔ ⁴ ⁴
正房	t͡s ə n ³ ³ v ɑ̃ ⁴ ⁴
正月	t͡s ə n ⁵ ⁵ ɦ i o ʔ ² ¹
正月	t͡s ə n ⁵ ⁵ ɦ y ɪ ʔ ² ¹
正月半	t͡s ə n ⁵ ⁵ n̠ʲ y ɪ ʔ ³ ³ p ø ² ¹
正月半	t͡s ə n ⁵ ⁵ ɦ y ɪ ʔ ³ ³ p ø ² ¹
正正好好	t͡s ə n ⁵ ⁵ t͡s ə n ³ ³ h ɔ ³ ³ h ɔ ² ¹
正當中	t͡s ə n ³ ³ t ɑ̃ ⁵ ⁵ t͡s o ŋ ² ¹
正確	t͡s ə n ³ ³ t͡ɕʰ i o ʔ ⁴ ⁴
正確	t͡s ə n ³ ³ t͡ɕʰ y ɪ ʔ ⁴ ⁴
正義	t͡s ə n ³ ³ n̠ʲ i ⁴ ⁴
正點	t͡s ə n ³ ³ t i ⁴ ⁴
此	t͡sʰ z̩ ³ ⁴
此地	t͡sʰ z̩ ³ ³ d i ⁴ ⁴
此地	t͡sʰ z̩ ⁵ ⁵ d i ² ¹
此地塊	t͡sʰ z̩ ⁵ ⁵ d i ³ ³ kʰ u e ² ¹
此地塊搭	t͡sʰ z̩ ⁵ ⁵ d i ³ ³ kʰ u e ³ ³ t a ʔ ² ¹
步	b u ² ³
步行	b u ² ² ɦ i n ⁴ ⁴
步行街	b u ² ² ɦ i n ⁵ ⁵ k a ² ¹
武	v u ² ³
武	ɦ u ² ³
武器	v u ² ² t͡ɕʰ i ⁴ ⁴
武打	v u ² ² t ã ⁴ ⁴
武漢	v u ² ² h ø ⁴ ⁴
武漢	ɦ u ² ² h ø ⁴ ⁴
武漢閒話	v u ² ² h ø ⁴ ⁴ ɦ e ² ² ɦ o ⁴ ⁴
武漢閒話	v u ² ² h ø ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
武漢閒話	ɦ u ² ² h ø ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
武統	v u ² ² tʰ o ŋ ⁴ ⁴
武術	v u ² ² z ə ʔ ⁴ ⁴
歧	d͡ʑ i ² ³
歪	h u a ⁵ ³
歪	u a ⁵ ³
歲	s ø ³ ⁴
歲數	s ø ⁵ ⁵ s u ² ¹
歷	l i ɪ ʔ ¹ ²
歷史	l i ɪ ʔ ¹ ¹ s z̩ ² ³
歷史學	l i ɪ ʔ ¹ ¹ s z̩ ² ² ɦ i a ʔ ² ³
歸	k u e ⁵ ³
歸	t͡ɕ y ⁵ ³
歸妹	k u e ⁵ ⁵ m e ² ¹
歸集	k u e ⁵ ⁵ ʑ i ɪ ʔ ² ¹
歹	t e ³ ⁴
死	s z̩ ³ ⁴
死	ɕ i ³ ⁴
死亡	s z̩ ³ ³ m ɑ̃ ⁴ ⁴
死亡	s z̩ ³ ³ v ɑ̃ ⁴ ⁴
死囫圇吞	ɕ i ³ ³ v ə ʔ ⁵ ⁵ l ə n ³ ³ tʰ ə n ² ¹
死水溝	ɕ i ³ ³ s z̩ ⁵ ⁵ k ɤ ² ¹
死河浜	ɕ i ³ ³ ɦ u ⁵ ⁵ p ã ² ¹
死浜	ɕ i ³ ³ p ã ⁴ ⁴
死爭	ɕ i ³ ³ t͡s ã ⁴ ⁴
死神	s z̩ ³ ³ z ə n ⁴ ⁴
死結	ɕ i ³ ³ t͡ɕ i ɪ ʔ ⁴ ⁴
死脫	ɕ i ³ ³ tʰ ə ʔ ⁴ ⁴
死貨色	ɕ i ³ ³ h u ⁵ ⁵ s ə ʔ ² ¹
死開	ɕ i ³ ³ kʰ e ⁴ ⁴
殊	z z̩ ² ³
殍	b i ɔ ² ³
殖	z ə ʔ ¹ ²
殘	z e ² ³
殘的	z e ² ² t i ɪ ʔ ⁴ ⁴
殞	ɦ i o ŋ ² ³
殞	ɦ y n ² ³
殟	u ə ʔ ⁵ ⁵
殟塞	u ə ʔ ³ ³ s ə ʔ ⁴ ⁴
殟塞天	u ə ʔ ³ ³ s ə ʔ ⁵ ⁵ tʰ i ² ¹
殟塞天氣	u ə ʔ ³ ³ s ə ʔ ⁵ ⁵ tʰ i ³ ³ t͡ɕʰ i ² ¹
殯	p i n ⁵ ³
段	d ø ² ³
殷	e ⁵ ³
殷	i n ³ ⁴
殷	i n ⁵ ³
殺	s a ʔ ⁵ ⁵
殺手	s a ʔ ³ ³ s ɤ ⁴ ⁴
殼	kʰ o ʔ ⁵ ⁵
殼張	kʰ o ʔ ³ ³ t͡s ã ⁴ ⁴
殿	d i ² ³
毀	h u e ³ ⁴
毅	n̠ʲ i ² ³
毋	ɦ u ² ³
母	m u ² ³
母親	m u ² ² t͡ɕʰ i n ⁴ ⁴
母親河	m u ² ² t͡ɕ i n ⁵ ⁵ ɦ u ² ¹
母語	m u ² ² n̠ʲ y ⁴ ⁴
每	m e ² ³
每	m e ³ ⁴
每天	m e ² ² tʰ i ⁴ ⁴
每天	m e ³ ³ tʰ i ⁵ ³
每天	m e ⁵ ⁵ tʰ i ² ¹
每年	m e ² ² n̠ʲ i ⁴ ⁴
每年	m e ⁵ ⁵ n̠ʲ i ² ¹
每日	m e ⁴ ⁴ n̠ʲ i ɪ ʔ ¹ ²
每日	m e ⁵ ⁵ n̠ʲ i ɪ ʔ ² ¹
毒	d o ʔ ¹ ²
比	p i ³ ⁴
比利時	p i ³ ³ l i ⁵ ⁵ z z̩ ² ¹
比基尼	p i ³ ³ t͡ɕ i ⁵ ⁵ n̠ʲ i ² ¹
比如	p i ³ ³ l u ⁴ ⁴
比如	p i ³ ³ z z̩ ⁴ ⁴
比賽	p i ³ ³ s e ⁴ ⁴
比較	p i ³ ³ t͡ɕ i ɔ ⁴ ⁴
毗	b i ² ³
毛	m ɔ ² ³
毛厘	m ɔ ² ² l i ⁴ ⁴
毛坯	m ɔ ² ² pʰ e ⁴ ⁴
毛巾	m ɔ ² ² t͡ɕ i n ⁴ ⁴
毛毛蟲	m ɔ ² ² m ɔ ⁵ ⁵ z o ŋ ² ¹
毛毛雨	m ɔ ² ² m ɔ ⁵ ⁵ ɦ y ² ¹
毛毛頭	m ɔ ² ² m ɔ ⁵ ⁵ d ɤ ² ¹
毛病	m o ² ² b i n ⁴ ⁴
毛竹	m ɔ ² ² t͡s o ʔ ⁴ ⁴
毛筆	m ɔ ² ² p i ɪ ʔ ⁴ ⁴
毛筋竹	m ɔ ² ² t͡ɕ i n ⁵ ⁵ t͡s o ʔ ² ¹
毛筍	m ɔ ² ² s ə n ⁴ ⁴
毛糙	m ɔ ² ² t͡sʰ ɔ ⁴ ⁴
毛肚	m ɔ ² ² t u ⁴ ⁴
毛腳新婦	m ɔ ² ² t͡ɕ i a ʔ ⁵ ⁵ ɕ i n ³ ³ v u ² ¹
毛蚶	m ɔ ² ² h ø ⁴ ⁴
毛蟲	m ɔ ² ² z o ŋ ⁴ ⁴
毛豆	m ɔ ² ² d ɤ ⁴ ⁴
