㐁	tʰ ʌ m H
澾	tʰ ɑ t̚
澿	ɡˠ i ɪ m
激	k e k̚
激	k e u H
激流	k e k̚
激賞	k e k̚
濁	ɖˠ ʌ k̚
濃	ɳ ɨ o ŋ
濄	k u ɑ
濄	ʔ u ɑ
濆	b ɨ u n
濆	pʰ u ə n
濇	ʃ ɨ k̚
濈	t͡ʃ i ɪ p̚
濉	s i u ɪ
濊	h u ɑ i H
濊	h u ɑ t̚
濊	ʔ ʉ ɐ i H
濊濊	h u ɑ t̚
濋	t͡ʃʰ ɨ ʌ X
濌	tʰ ʌ p̚
濎	t e ŋ X
濓	l e m
濔	m i ᴇ X
濔迆	m i ᴇ X
濕	tʰ ʌ p̚
濕	ɕ i ɪ p̚
濕婆	ɕ i ɪ p̚
濗	m e k̚
濘	n e ŋ X
濙	ʔ w e ŋ X
濛	m u ŋ
濜	d͡z i ɪ n X
濜	t͡s i ɪ n
濞	pʰˠ i ɪ H
濟	t͡s e i H
濟	t͡s e i X
濟州	t͡s e i H
濟濟	t͡s e i X
濠	ɦ ɑ u
濡	n u ɑ n
濡	ȵ ɨ o
濢	t͡s i u ɪ X
濤	d ɑ u
濥	j i ɪ n X
濧	d u ʌ i H
濨	d͡z ɨ
濩	ɦ u o H
濩	ɦ w ɑ k̚
濩落	ɦ w ɑ k̚
濫	l ɑ m H
濫	ɦˠ a m X
濫觴	l ɑ m H
濬	s i u ɪ n H
濮	p u k̚
濮陽	p u k̚
濯	ɖˠ a u H
濯曜羅	ɖˠ a u H
濰	j i u ɪ
濱	p i ɪ n
濲	k u k̚
濴	j w i ᴇ ŋ
濺	t͡s e n
濺	t͡s i ᴇ n H
濺淚	t͡s i ᴇ n H
濼	l e k̚
濼	l u k̚
濼	l ɑ k̚
濼	pʰ u k̚
濿	l i ᴇ i H
瀀	ʔ ɨ u
瀁	j ɨ ɐ ŋ H
瀁	j ɨ ɐ ŋ X
瀄	t͡ʃ ɪ t̚
瀅	ʔ e ŋ H
瀆	d u k̚
瀇	ʔ w ɑ ŋ X
瀈	h ʉ i
瀉	s i a X
瀋	t͡ɕʰ i ɪ m X
瀌	pˠ i ᴇ u
瀌瀌	pˠ i ᴇ u
瀍	ɖˠ i ᴇ n
瀎	m u ɑ t̚
瀏	l ɨ u
瀑	b u k̚
瀑	b ɑ u H
瀑布	b u k̚
瀖	h w ɑ k̚
瀗	h ɨ ɐ n H
瀘	l u o
瀙	t͡ʃ ɪ n
瀚	ɦ ɑ n H
瀚海	ɦ ɑ n H
瀛	j i ᴇ ŋ
瀜	j ɨ u ŋ
瀝	l e k̚
瀡	s i u ᴇ H
瀢	j i u ɪ X
瀣	ɦˠ ɛ i H
瀤	ɦˠ u ɛ i
瀦	ʈ ɨ ʌ
瀧	l u ŋ
瀧	lˠ ʌ ŋ
瀧	ʃˠ ʌ ŋ
瀨	l ɑ i H
瀪	b ʉ ɐ n H
瀰	m i ᴇ
瀰	n e i X
瀱	kˠ i ᴇ i H
瀲	l i ᴇ m X
瀲灩	l i ᴇ m H
瀳	t͡s e n
瀴	m e ŋ X
瀵	pʰ ɨ u n H
瀶	l i ɪ m
瀷	j ɨ k̚
瀸	t͡s i ᴇ m
瀹	j ɨ ɐ k̚
瀺	d͡ʒˠ ɛ m X
瀺灂	d͡ʒˠ ɛ m X
瀼	ȵ ɨ ɐ ŋ
瀾	l ɑ n
瀾	l ɑ n H
瀿	b ʉ ɐ n
灂	d͡ʒˠ ʌ k̚
灃	pʰ ɨ u ŋ
灄	ɕ i ᴇ p̚
灈	ɡ ɨ o
灉	ʔ ɨ o ŋ
灊	z i ɪ m
灌	k u ɑ n H
灑	ʃˠ i ᴇ X
灑	ʃˠ ɛ X
灑掃	ʃˠ i ᴇ X
灒	t͡s ɑ n H
灓	l u ɑ n
灕	l i ᴇ
灘	h ɑ n X
灘	n ɑ n H
灘	tʰ ɑ n
灛	t͡ɕʰ i ᴇ n X
灝	ɦ ɑ u X
灞	pˠ a H
灢	n ɑ ŋ X
灣	ʔˠ u a n
灤	l u ɑ n
灥	z i u ɪ n
灩	j i ᴇ m H
灪	ʔ ɨ u t̚
火	h u ɑ X
火伴	h u ɑ X
火山	h u ɑ X
火星	h u ɑ X
火曜	h u ɑ X
火車	h u ɑ X
火輪	h u ɑ X
灰	h u ʌ i
灱	hˠ a u
灶	t͡s ɑ u H
灸	k ɨ u X
灹	ʈˠ a H
灺	z i a X
灼	t͡ɕ ɨ ɐ k̚
災	t͡s ʌ i
災厄	t͡s ʌ i
災變	t͡s ʌ i
災難	t͡s ʌ i
炂	t͡ɕ ɨ o ŋ
炅	k w e i H
炅	k w e ŋ X
炈	j w i ᴇ k̚
炊	t͡ɕʰ i u ᴇ
炊帚	t͡ɕʰ i u ᴇ
炊爨	t͡ɕʰ i u ᴇ
炎	ɦˠ i ᴇ m
炎帝	ɦˠ i ᴇ m
炎方	ɦˠ i ᴇ m
炎黃	ɦˠ i ᴇ m
炒	t͡ʃʰˠ a u X
炓	l e u H
炔	k w e i H
炕	h ɑ ŋ
炕	kʰ ɑ ŋ H
炘	h ɨ n
炙	t͡ɕ i a H
炟	t ɑ t̚
炠	ɦˠ a p̚
炢	ɖ i u ɪ t̚
炥	b ɨ u t̚
炦	b u ɑ t̚
炪	t͡ɕ i u ᴇ t̚
炪	ʈʰ i u ɪ t̚
炫	ɦ w e n H
炬	ɡ ɨ ʌ X
炭	tʰ ɑ n H
炮	bˠ a u
炮	pʰˠ a u H
炮烙	bˠ a u
炯	ɦ w e ŋ X
炯炯	k w e ŋ X
炰	bˠ a u
炱	d ʌ i
炳	pˠ i æ ŋ X
炴	ʔ ɨ ɐ ŋ X
炵	d u o ŋ
炶	ɦ ɑ m
炷	t͡ɕ ɨ o X
為	ɦˠ i u ᴇ
為	ɦˠ i u ᴇ H
為善	ɦˠ i u ᴇ
為國	ɦˠ i u ᴇ
為富不仁	ɦˠ i u ᴇ
為政	ɦˠ i u ᴇ
為虎傅翼	ɦˠ i u ᴇ H
烄	kˠ a u X
烈	l i ᴇ t̚
烈士	l i ᴇ t̚
烈日	l i ᴇ t̚
烈焰	l i ᴇ t̚
烊	j ɨ ɐ ŋ
烋	h i ɪ u
烏	ʔ u o
烏孫	ʔ u o
烏弋山離	ʔ u o
烏桓	ʔ u o
烏梅	ʔ u o
烏梨師斂	ʔ u o
烏江	ʔ u o
烏賊	ʔ u o
烏輪	ʔ u o
烏雲	ʔ u o
烑	j i ᴇ u
烒	ɕ ɨ k̚
烓	ʔ w e i
烔	d u ŋ
烕	hˠ i u ᴇ t̚
烗	kʰˠ ɛ i H
烘	ɦ u ŋ
烙	l ɑ k̚
烚	ɦˠ ɛ p̚
烜	hˠ i u ᴇ X
烝	t͡ɕ ɨ ŋ
烝民	t͡ɕ ɨ ŋ
烝黎	t͡ɕ ɨ ŋ
烟	ʔ i ɪ n
烠	ɦ u ʌ i
烰	b ɨ u
烳	pʰ u o X
烴	k e ŋ X
烼	h ɨ u t̚
烽	pʰ ɨ o ŋ
烽火	pʰ ɨ o ŋ
焀	ɦ u k̚
焁	hˠ i ᴇ
焃	hˠ w ɛ k̚
焄	h ɨ u n
焅	kʰ u o k̚
焆	k w e n
焆	ʔ w e t̚
焆	ʔˠ i ᴇ t̚
焇	s i ᴇ u
焉	ɦˠ i ᴇ n
焉	ʔˠ i ᴇ n
焉耆	ʔˠ i ᴇ n
焊	h ɑ n X
焌	t͡s i u ɪ n H
焌	t͡sʰ i u ɪ t̚
焚	b ɨ u n
焜	ɦ u ə n X
焞	d͡ʑ i u ɪ n
焟	s i ᴇ k̚
無	m ɨ o
無人	m ɨ o
無何	m ɨ o
無冀	m ɨ o
無可奈何	m ɨ o
無已	m ɨ o
無常	m ɨ o
無幾	m ɨ o
無德	m ɨ o
無心	m ɨ o
無恙	m ɨ o
無恥	m ɨ o
無慮	m ɨ o
無故	m ɨ o
無數	m ɨ o
無明	m ɨ o
無業	m ɨ o
無極	m ɨ o
無用	m ɨ o
無畏	m ɨ o
無知	m ɨ o
無禮	m ɨ o
無窮	m ɨ o
無窮無盡	m ɨ o
無聊	m ɨ o
無論	m ɨ o
無謂	m ɨ o
無識	m ɨ o
無賴	m ɨ o
無邊	m ɨ o
無限	m ɨ o
焥	ʔ u ɑ t̚
焦	t͡s i ᴇ u
焦燥	t͡s i ᴇ u
焪	kʰ ɨ u ŋ
焫	ȵ i u ᴇ t̚
焮	h ɨ n H
焯	t͡ɕ ɨ ɐ k̚
焰	j i ᴇ m H
焱	h w e k̚
焱	j i ᴇ m H
焲	j i ᴇ k̚
焴	j ɨ u k̚
然	ȵ i ᴇ n
然然可可	ȵ i ᴇ n
然而	ȵ i ᴇ n
然諾	ȵ i ᴇ n
焷	b i ᴇ
焸	k u o X
煁	d͡ʑ i ɪ m
煆	hˠ a
煌	ɦ w ɑ ŋ
煎	t͡s i ᴇ n
煎	t͡s i ᴇ n H
煎熬	t͡s i ᴇ n
煑	t͡ɕ ɨ ʌ X
煒	ɦ ʉ i X
煓	tʰ u ɑ n
煔	ɦ ɑ m
煙	ʔ e n
煙波	ʔ e n
煙霧	ʔ e n
煚	kˠ w i æ ŋ X
煛	k w e ŋ X
煜	j ɨ u k̚
煝	mˠ i ɪ H
煞	ʃˠ ɛ t̚
煟	ɦ ʉ i H
煠	d͡ʒˠ ɛ p̚
煠	j i ᴇ p̚
煢	ɡ w i ᴇ ŋ
煢煢	ɡ w i ᴇ ŋ
煢煢孑立	ɡ w i ᴇ ŋ
煣	ȵ ɨ u X
煤	m u ʌ i
煥	h u ɑ n H
煦	h ɨ o X
照	t͡ɕ i ᴇ u H
照耀	t͡ɕ i ᴇ u H
煨	ʔ u ʌ i
煩	b ʉ ɐ n
煪	d͡z ɨ u
煬	j ɨ ɐ ŋ
煬	j ɨ ɐ ŋ H
煹	k ə u H
煻	d ɑ ŋ
煼	t͡ʃʰˠ a u X
煽	ɕ i ᴇ n
煾	ʔ ə n
熁	h ɨ ɐ p̚
熂	h ɨ i H
熄	s ɨ k̚
熅	ʔ ɨ u n
熆	ɦ ɑ p̚
熇	h u k̚
熇	h ɑ k̚
熊	ɦ ɨ u ŋ
熊掌	ɦ ɨ u ŋ
熊虎	ɦ ɨ u ŋ
熏	h ɨ u n
熑	l e m
熒	ɦ w e ŋ
熒惑	ɦ w e ŋ
熙	h ɨ
熚	p i ɪ t̚
熛	p i ᴇ u
熟	d͡ʑ ɨ u k̚
熟稔	d͡ʑ ɨ u k̚
熠	ɦˠ i ɪ p̚
熧	t͡s ɨ o ŋ
熨	ʔ ɨ u t̚
熨	ʔ ʉ i H
熨斗	ʔ ɨ u t̚
熪	j i ᴇ
熬	ŋ ɑ u
熭	ɦˠ i u ᴇ i H
熮	l e u
熯	h ɑ n X
熯	ȵ i ᴇ n X
熱	ȵ i ᴇ t̚
熱海	ȵ i ᴇ t̚
熲	k w e ŋ X
熷	t͡s ə ŋ
熸	t͡s i ᴇ m
熹	h ɨ
熹微	h ɨ
熻	hˠ i ɪ p̚
熼	j ɨ k̚
熽	s e u H
熾	t͡ɕʰ ɨ H
燀	t͡ɕʰ i ᴇ n
燁	ɦˠ i ᴇ p̚
燂	d ʌ m
燃	ȵ i ᴇ n
燄	j i ᴇ m X
燅	z i ᴇ m
燈	t ə ŋ
燈籠	t ə ŋ
燉	tʰ u ə n
燊	ʃ ɪ n
燋	t͡s i ᴇ u
燌	b ɨ u n
燍	s i ᴇ
燎	l i ᴇ u
燎	l i ᴇ u X
燏	j i u ɪ t̚
燐	l i ɪ n
燒	ɕ i ᴇ u
燒炭	ɕ i ᴇ u
燒酒	ɕ i ᴇ u
燔	b ʉ ɐ n
燕	ʔ e n
燕	ʔ e n H
燕子	ʔ e n H
燕毛	ʔ e n
燕雀安知鴻鵠志	ʔ e n H
燖	z i ᴇ m
燘	h u ʌ i X
營	j w i ᴇ ŋ
燠	ʔ ɑ u X
燡	j i ᴇ k̚
燣	l ʌ m X
燥	s ɑ u X
燦	t͡sʰ ɑ n H
燦燦	t͡sʰ ɑ n H
燦爛	t͡sʰ ɑ n H
燧	z i u ɪ H
燩	kʰˠ ʌ k̚
燬	hˠ i u ᴇ X
燭	t͡ɕ ɨ o k̚
燭龍	t͡ɕ ɨ o k̚
燮	s e p̚
燷	l ʌ m
燹	s e n X
燼	z i ɪ n H
燽	ɖ ɨ u
燾	d ɑ u
燾奡	d ɑ u H
爁	l ɑ m X
爂	pʰ i ᴇ u
爆	pˠ a u H
爆	pˠ ʌ k̚
爇	ȵ i u ᴇ t̚
爈	l ɨ ʌ
爊	ʔ ɑ u
爌	h w ɑ ŋ X
爌	kʰ w ɑ ŋ H
爌	kʰ w ɑ ŋ X
爍	ɕ ɨ ɐ k̚
爐	l u o
爒	l e u X
爓	j i ᴇ m H
爓	z i ᴇ m
爚	j ɨ ɐ k̚
爛	l ɑ n H
爛柯	l ɑ n H
爛漫	l ɑ n H
爛銀盤	l ɑ n H
爝	t͡s i ᴇ u H
爞	ɖ ɨ u ŋ
爟	k u ɑ n H
爣	tʰ ɑ ŋ X
爧	l e ŋ
爨	t͡sʰ u ɑ n H
爩	ʔ ɨ u t̚
爪	t͡ʃˠ a u X
爪牙	t͡ʃˠ a u X
爬	bˠ a
爭	t͡ʃˠ ɛ ŋ
爭鋒	t͡ʃˠ ɛ ŋ
爰	ɦ ʉ ɐ n
爵	t͡s ɨ ɐ k̚
爵位	t͡s ɨ ɐ k̚
爵祿	t͡s ɨ ɐ k̚
父	b ɨ o X
父	p ɨ o X
父子	b ɨ o X
父母	b ɨ o X
父輩	b ɨ o X
爸	b u ɑ X
爹	ʈ i a
爻	ɦˠ a u
爽	ʃ ɨ ɐ ŋ X
爽神	ʃ ɨ ɐ ŋ X
爾	ȵ i ᴇ X
爾來	ȵ i ᴇ X
爾時	ȵ i ᴇ X
爾曹	ȵ i ᴇ X
爾雅	ȵ i ᴇ X
牁	k ɑ
牄	t͡sʰ ɨ ɐ ŋ
牆	d͡z ɨ ɐ ŋ
牆壁	d͡z ɨ ɐ ŋ
牆外	d͡z ɨ ɐ ŋ
片	pʰ e n H
片紙	pʰ e n H
版	pˠ a n X
版圖	pˠ a n X
牉	pʰ u ɑ n H
牌	bˠ ɛ
牏	j ɨ o
牑	p e n
牒	d e p̚
牖	j ɨ u X
牖戶	j ɨ u X
牘	d u k̚
牙	ŋˠ a
牚	ʈʰˠ æ ŋ H
牛	ŋ ɨ u
牛津	ŋ ɨ u
牛蒡	ŋ ɨ u
牛頭	ŋ ɨ u
牛馬走	ŋ ɨ u
牝	b i ɪ X
牝雞司晨	b i ɪ X
牟	m ɨ u
牟呼栗多	m ɨ u
牡	m ə u X
牡丹	m ə u X
牢	l ɑ u
牢固	l ɑ u
牣	ȵ i ɪ n H
牥	p ʉ ɐ ŋ
牧	m ɨ u k̚
牨	k ɑ ŋ
物	m ɨ u t̚
物化	m ɨ u t̚
物故	m ɨ u t̚
牭	s i ɪ H
牯	k u o X
牰	z ɨ u H
牲	ʃˠ æ ŋ
牴	t e i X
牷	d͡z i u ᴇ n
牸	d͡z ɨ H
特	d ə k̚
特別	d ə k̚
牻	mˠ ʌ ŋ
牼	kʰˠ ɛ ŋ
牽	kʰ e n
牽	kʰ e n H
牿	k u o k̚
犀	s e i
犁	l e i
犁靬	l e i
犃	b ə u X
犄	ʔˠ i ᴇ
犅	k ɑ ŋ
犆	ɖ ɨ k̚
犇	p u ə n
犈	ɡˠ i u ᴇ n
犉	ȵ i u ɪ n
犌	kˠ a
犍	k ɨ ɐ n
犍	ɡˠ i ᴇ n
犍度	k ɨ ɐ n
犍為	ɡˠ i ᴇ n
犍稚	k ɨ ɐ n
犍陀羅	k ɨ ɐ n
犍陟	k ɨ ɐ n
犎	p ɨ o ŋ
犐	kʰ u ɑ
犑	k w e k̚
犒	kʰ ɑ u H
犓	t͡ʃʰ ɨ o
犔	h ɨ i H
犕	bˠ i ɪ H
犖	lˠ ʌ k̚
犖埆	lˠ ʌ k̚
犖犖	lˠ ʌ k̚
犖硞	lˠ ʌ k̚
犖确	lˠ ʌ k̚
犗	kˠ a i H
犘	mˠ a
犙	ʃ ɨ u
犚	ʔ ʉ i H
犛	l ɨ
犝	d u ŋ
犡	l i ᴇ i H
犢	d u k̚
犣	l i ᴇ p̚
犤	bˠ i ᴇ
犥	pʰ i ᴇ u
犦	p u o k̚
犧	hˠ i ᴇ
犧牲	hˠ i ᴇ
犨	t͡ɕʰ ɨ u
犩	ŋ ʉ i
犪	ɡˠ i u ɪ
犫	t͡ɕʰ ɨ u
犬	kʰ w e n X
犬子	kʰ w e n X
犬戎	kʰ w e n X
犮	b u ɑ t̚
犯	b ɨ ɐ m X
犰	ɡ ɨ u
犰狳	ɡ ɨ u
犳	t͡ɕ ɨ ɐ k̚
犴	ŋ ɑ n
犺	kʰ ɑ ŋ H
犽	ŋˠ a H
犿	h u ɑ n
狀	d͡ʒ ɨ ɐ ŋ H
狀元	d͡ʒ ɨ ɐ ŋ H
狁	j i u ɪ n X
狂	ɡ ʉ ɐ ŋ
狂人	ɡ ʉ ɐ ŋ
狂暴	ɡ ʉ ɐ ŋ
狂狷	ɡ ʉ ɐ ŋ
狂簡	ɡ ʉ ɐ ŋ
狂藥	ɡ ʉ ɐ ŋ
狃	ɳ ɨ u X
狄	d e k̚
狄鞮	d e k̚
狊	k w e k̚
狋	ŋ i ɪ
狍	bˠ a u
狎	ɦˠ a p̚
狐	ɦ u o
狐狸	ɦ u o
狐疑	ɦ u o
狑	l e ŋ
狒	b ʉ i H
狒狒	b ʉ i H
狓	pʰˠ i ᴇ
狔	ɳˠ i ᴇ X
狕	ʔˠ a u X
狖	j ɨ u H
狗	k ə u X
狘	h ʉ ɐ t̚
狙	t͡sʰ ɨ ʌ
狙擊	t͡sʰ ɨ ʌ
狚	t ɑ n X
狟	ɦ u ɑ n
狡	kˠ a u X
狣	ɖˠ i ᴇ u X
狤	k i ɪ t̚
狦	ʃˠ a n
狧	tʰ ɑ p̚
狨	ȵ ɨ u ŋ
狩	ɕ ɨ u H
狳	j ɨ ʌ
狴	p e i
狴犴	p e i
狵	mˠ ʌ ŋ
狷	k w e n H
狸	l ɨ
狸奴	l ɨ
狹	ɦˠ ɛ p̚
狺	ŋˠ i ɪ n
狺狺	ŋˠ i ɪ n
狻	s u ɑ n
狻猊	s u ɑ n
狼	l ɑ ŋ
狼煙	l ɑ ŋ
狼狽	l ɑ ŋ
狼當	l ɑ ŋ
狼藉	l ɑ ŋ
狽	p ɑ i H
狾	t͡ɕ i ᴇ i H
狿	j i ᴇ n
猆	p ʉ i
猇	ɦˠ a u
猈	bˠ ɛ i
猊	ŋ e i
猋	p i ᴇ u
猌	ŋˠ i ɪ n H
猍	l ʌ i
猎	d͡z i ᴇ k̚
猏	k e n
猐	kʰ ɨ ɐ ŋ
猑	k u ə n
猒	ʔ i ᴇ m
猓	k u ɑ X
猖	t͡ɕʰ ɨ ɐ ŋ
猖狂	t͡ɕʰ ɨ ɐ ŋ
猖獗	t͡ɕʰ ɨ ɐ ŋ
猗	ʔˠ i ᴇ
猗	ʔˠ i ᴇ X
猗與	ʔˠ i ᴇ
猘	kˠ i ᴇ i H
猙	t͡ʃˠ ɛ ŋ
猚	l i u ɪ X
猚	ŋˠ ɛ
猛	mˠ æ ŋ X
猛士	mˠ æ ŋ X
猛虎	mˠ æ ŋ X
猜	t͡sʰ ʌ i
猜忌	t͡sʰ ʌ i
猜疑	t͡sʰ ʌ i
猝	t͡sʰ u ə t̚
猝暴	t͡sʰ u ə t̚
猢	ɦ u o
猢猻	ɦ u o
猣	t͡s u ŋ
猤	ɡ i u ɪ H
猥	ʔ u ʌ i X
猦	p ɨ u ŋ
猦𤝕	p ɨ u ŋ
猩	s e ŋ
猩	ʃˠ æ ŋ
猩猩	ʃˠ æ ŋ
猭	ʈʰˠ i u ᴇ n
猰	ʔˠ ɛ t̚
猰貐	ʔˠ ɛ t̚
猱	n ɑ u
猲	h ɨ ɐ t̚
猳	kˠ a
猴	ɦ ə u
猵	p e n
猶	j ɨ u
猶子	j ɨ u
猶豫	j ɨ u
猷	j ɨ u
猺	j i ᴇ u
猻	s u ə n
猼	p w ɑ k̚
猽	m e ŋ
猾	ɦˠ u ɛ t̚
猿	ɦ ʉ ɐ n
獃	ŋ ʌ i
獄	ŋ ɨ o k̚
獅	ʃˠ i ɪ
獅子	ʃˠ i ɪ
獌	mˠ a n
獍	kˠ i æ ŋ H
獍梟	kˠ i æ ŋ H
獎	t͡s ɨ ɐ ŋ X
獐	t͡ɕ ɨ ɐ ŋ
獑	d͡ʒˠ ɛ m
獑猢	d͡ʒˠ ɛ m
獒	ŋ ɑ u
獖	b u ə n X
獘	b i ᴇ i H
獚	ɦ w ɑ ŋ
獛	p u k̚
獜	l i ɪ n
獝	h i u ɪ t̚
獟	ŋ e u H
獠	l e u
獠	ʈˠ a u X
獡	ɕ ɨ ɐ k̚
獢	hˠ i ᴇ u
獥	k e u H
獦	k ɑ t̚
獧	k w e n H
獨	d u k̚
獨夫	d u k̚
獨孤	d u k̚
獨活	d u k̚
獨立	d u k̚
獩	ʔ ʉ ɐ i H
獪	k u ɑ i H
獫	l i ᴇ m
獬	ɦˠ ɛ X
獬豸	ɦˠ ɛ X
獮	s i ᴇ n X
獯	h ɨ u n
獯鬻	h ɨ u n
獰	ɳˠ æ ŋ
獱	b i ɪ n
獲	ɦˠ w ɛ k̚
獳	ȵ ɨ o
獵	l i ᴇ p̚
獶	ʔ ɨ u
獶獀	ʔ ɨ u
獷	k ʉ ɐ ŋ X
獸	ɕ ɨ u H
獹	l u o
獺	tʰ ɑ t̚
獻	h ɨ ɐ n H
獻	s ɑ
獻尊	s ɑ
獼	m i ᴇ
獽	ȵ ɨ ɐ ŋ
獾	h u ɑ n
獿	n ɑ u
獿	ɳˠ a u X
玁	hˠ i ᴇ m X
玂	ɡ ɨ i
玄	ɦ w e n
玄奘	ɦ w e n
玄暉	ɦ w e n
玄闕	ɦ w e n
玆	ɦ w e n
率	ʃˠ i u ɪ H
率性	ʃ i u ɪ t̚
玈	l u o
玉	ŋ ɨ o k̚
玉兔	ŋ ɨ o k̚
玉環	ŋ ɨ o k̚
玉盤	ŋ ɨ o k̚
玉碎	ŋ ɨ o k̚
玉門	ŋ ɨ o k̚
玉門關	ŋ ɨ o k̚
玉露	ŋ ɨ o k̚
玉音	ŋ ɨ o k̚
玊	s ɨ u k̚
王	ɦ ʉ ɐ ŋ
王	ɦ ʉ ɐ ŋ H
王國	ɦ ʉ ɐ ŋ
王妃	ɦ ʉ ɐ ŋ
王室	ɦ ʉ ɐ ŋ
王政	ɦ ʉ ɐ ŋ
王朝	ɦ ʉ ɐ ŋ
王母	ɦ ʉ ɐ ŋ
王者	ɦ ʉ ɐ ŋ
玎	ʈˠ ɛ ŋ
玏	l ə k̚
玐	pˠ ɛ t̚
玒	k u ŋ
玓	t e k̚
玓瓅	t e k̚
玕	k ɑ n
玖	k ɨ u X
玗	ɦ ɨ o
玘	kʰ ɨ X
玞	p ɨ o
玠	kˠ ɛ i H
玢	pˠ i ɪ n
玤	bˠ ʌ ŋ X
玥	ŋ ʉ ɐ t̚
玦	k w e t̚
玧	j i u ɪ n X
玨	kˠ ʌ k̚
玩	ŋ u ɑ n H
玪	kˠ ɛ m
玫	m u ʌ i
玫瑰	m u ʌ i
玭	b i ɪ n
玲	l e ŋ
玲瓏	l e ŋ
玳	d ʌ i H
玳瑁	d ʌ i H
玷	t e m X
玷污	t e m X
玸	b ɨ o
玹	ɦ w e n
玻	pʰ u ɑ
玻璃	pʰ u ɑ
玼	d͡z i ᴇ
玽	k ə u X
玾	kˠ a p̚
玿	d͡ʑ i ᴇ u
珀	pʰˠ æ k̚
珂	kʰ ɑ
珄	ʃˠ æ ŋ
珆	j i ɪ
珇	t͡s u o X
珈	kˠ a
珉	mˠ i ɪ n
珊	s ɑ n
珊瑚	s ɑ n
珋	l ɨ u X
珌	p i ɪ t̚
珍	ʈˠ i ɪ n
珍珠	ʈˠ i ɪ n
珓	kˠ a u H
珕	l i ᴇ H
珙	k ɨ o ŋ
珛	h ɨ u H
珝	h ɨ o X
珞	l ɑ k̚
珠	t͡ɕ ɨ o
珠崖	t͡ɕ ɨ o
珠璣	t͡ɕ ɨ o
珢	ŋˠ i ɪ n
珣	s i u ɪ n
珥	ȵ ɨ H
珦	ɕ ɨ ɐ ŋ H
珧	j i ᴇ u
珨	ɦˠ ɛ p̚
珩	ɦˠ æ ŋ
珪	k w e i
珫	t͡ɕʰ ɨ u ŋ
珬	s i u ɪ t̚
班	pˠ a n
班智達	pˠ a n
珮	b u ʌ i H
珵	ɖ i ᴇ ŋ
珷	m ɨ o X
珸	ŋ u o
珹	d͡ʑ i ᴇ ŋ
珽	tʰ e ŋ X
現	ɦ e n H
現代	ɦ e n H
現在	ɦ e n H
珿	t͡ʃʰ ɨ u k̚
琀	ɦ ʌ m H
琁	z i u ᴇ n
琂	ŋ ɨ ɐ n
球	ɡ ɨ u
琄	ɦ w e n X
琅	l ɑ ŋ
琅玕	l ɑ ŋ
琅琅	l ɑ ŋ
理	l ɨ X
理論	l ɨ X
理順	l ɨ X
琇	j ɨ u X
琈	b ɨ u
琉	l ɨ u
琉璃	l ɨ u
琙	ɦ w ɨ k̚
琚	k ɨ ʌ
琛	ʈʰˠ i ɪ m
琟	j i u ɪ
琡	t͡ɕʰ ɨ u k̚
琢	ʈˠ ʌ k̚
琤	t͡ʃʰˠ æ ŋ
琥	h u o X
琥珀	h u o X
琦	ɡˠ i ᴇ
琨	k u ə n
琩	t͡ɕʰ ɨ ɐ ŋ
琪	ɡ ɨ
琫	p u ŋ X
琬	ʔ ʉ ɐ n X
琬琰	ʔ ʉ ɐ n X
琭	l u k̚
琮	d͡z u o ŋ
琯	k u ɑ n X
琰	j i ᴇ m X
琲	b u ʌ i X
琳	l i ɪ m
琳瑯	l i ɪ m
琴	ɡˠ i ɪ m
琴瑟	ɡˠ i ɪ m
琵	b i ɪ
琵琶	b i ɪ
琵琶骨	b i ɪ
琶	bˠ a
琿	ɦ u ə n
瑀	ɦ ɨ o X
瑁	m u ʌ i H
瑁	m ɑ u H
瑂	mˠ i ɪ
瑃	ʈʰ i u ɪ n
瑄	s i u ᴇ n
瑄玉	s i u ᴇ n
瑅	d e i
瑈	ȵ ɨ u
瑊	t͡ɕ i ɪ m
瑋	ɦ ʉ i X
瑌	ȵ i u ᴇ n
瑎	ɦˠ ɛ i
瑑	ɖˠ i u ᴇ n X
瑒	j ɨ ɐ ŋ
瑒	ɖˠ æ ŋ X
瑕	ɦˠ a
瑖	t u ɑ n H
瑗	ɦˠ i u ᴇ n H
瑘	j i a
瑚	ɦ u o
瑛	ʔˠ i æ ŋ
瑜	j ɨ o
瑜伽	j ɨ o
瑝	ɦˠ w æ ŋ
瑞	d͡ʑ i u ᴇ H
瑞兆	d͡ʑ i u ᴇ H
瑞月	d͡ʑ i u ᴇ H
瑞鳥	d͡ʑ i u ᴇ H
瑟	ʃ ɪ t̚
瑟瑟	ʃ ɪ t̚
瑟縮	ʃ ɪ t̚
瑢	j ɨ o ŋ
瑣	s u ɑ X
瑤	j i ᴇ u
瑦	ʔ u o
瑨	t͡s i ɪ n H
瑩	ɦˠ w i æ ŋ
瑪	mˠ a X
瑪瑙	mˠ a X
瑫	tʰ ɑ u
瑬	l ɨ u
瑭	d ɑ ŋ
瑮	l i ɪ t̚
瑰	ɦ u ʌ i
瑰寶	ɦ u ʌ i
瑰意琦行	k u ʌ i
瑱	tʰ e n H
瑱	ʈˠ i ɪ n H
瑲	t͡sʰ ɨ ɐ ŋ
瑳	t͡sʰ ɑ
瑴	k u k̚
瑵	t͡ʃˠ a u X
瑹	ɕ ɨ ʌ
