ᆜ	j ɯ
알제리	a̠ ʎ d͡ʑ e̞ ɾ i
알짜	a̠ ʎ t͡ɕ͈ a̠
알차다	a̠ ʎ t͡ɕʰ a̠ d a̠
알카인	a̠ ɭ kʰ a̠ i n
알칸	a̠ ɭ kʰ a̠ n
알칼로이드	a̠ ɭ kʰ a̠ ɭ ɭ o̞ i d ɯ
알칼리	a̠ ɭ kʰ a̠ ʎ ʎ i
알케인	a̠ ɭ kʰ e̞ i n
알켄	a̠ ɭ kʰ e̞ n
알코올	a̠ ɭ kʰ o̞ o̞ ɭ
알콜	a̠ ɭ kʰ o̞ ɭ
알타이	a̠ ɭ tʰ a̠ i
알파	a̠ ɭ pʰ a̠
알파벳	a̠ ɭ pʰ a̠ b e̞ t̚
알판	a̠ ɭ pʰ a̠ n
알현	a̠ ɾ ʝ ʌ̹ n
앎	a̠ː m
앓다	a̠ ɭ tʰ a̠
앓아눕다	a̠ ɾ a̠ n u p̚ t͈ a̠
암	a̠ m
암	a̠ː m
암기	a̠ː m ɡ i
암기하다	a̠ː m ɡ i ɦ a̠ d a̠
암꽃	a̠ m k͈ o̞ t̚
암꿩	a̠ m k͈ w ʌ̹ ŋ
암릿	a̠ m n i t̚
암만	a̠ m m a̠ n
암말	a̠ m m a̠ ɭ
암묵	a̠ m m u k̚
암벽	a̠ m b j ʌ̹ k̚
암살	a̠ m sʰ a̠ ɭ
암살자	a̠ː m sʰ a̠ ʎ t͡ɕ͈ a̠
암석	a̠ m sʰ ʌ̹ k̚
암소	a̠ m sʰ o̞
암순응	a̠ː m sʰ u n ɯ ŋ
암스테르담	a̠ m sʰ ɯ tʰ e̞ ɾ ɯ d a̠ m
암시	a̠ː m ɕʰ i
암시장	a̠ː m ɕʰ i d͡ʑ a̠ ŋ
암시하다	a̠ː m ɕʰ i ɦ a̠ d a̠
암실	a̠ː m ɕʰ i ɭ
암유	a̠ː m j u
암자	a̠ m d͡ʑ a̠
암종	a̠ː m d͡ʑ o̞ ŋ
암초	a̠ː m t͡ɕʰ o̞
암컷	a̠ m kʰ ʌ̹ t̚
암탉	a̠ m tʰ a̠ k̚
암페어	a̠ m pʰ e̞ ʌ̹
암표	a̠ː m pʰ j o
암표상	a̠ː m pʰ j o sʰ a̠ ŋ
암향	a̠ː m ʝ a̠ ŋ
암호	a̠ː m β o̞
암호화폐	a̠ː m β o̞ β w a̠ pʰ j e̞
암흑	a̠ː m ɣ ɯ k̚
암흑가	a̠ː m ɣ ɯ k̚ k͈ a̠
압	a̠ p̚
압권	a̠ p̚ k͈ w ʌ̹ n
압도	a̠ p̚ t͈ o̞
압도하다	a̠ p̚ t͈ o̞ ɦ a̠ d a̠
압또부스	a̠ p̚ t͈ o̞ b u sʰ ɯ
압력	a̠ m ɲ ʌ̹ k̚
압력계	a̠ m ɲ ʌ̹ k̚ k͈ j e̞
압력솥	a̠ m ɲ ʌ̹ k s͈ o̞ t̚
압록강	a̠ m n o̞ k̚ k͈ a̠ ŋ
압록자그사니	a̠ m n o̞ k̚ t͡ɕ͈ a̠ ɡ ɯ sʰ a̠ n i
압박	a̠ p̚ p͈ a̠ k̚
압사	a̠ p s͈ a̠
압수	a̠ p s͈ u
압씨	a̠ p ɕ͈ i
압운	a̠ b u n
압정	a̠ p̚ t͡ɕ͈ ʌ̹ ŋ
압제	a̠ p̚ t͡ɕ͈ e̞
앗	a̠ t̚
앗다	a̠ t̚ t͈ a̠
앙	a̠ ŋ
앙골라	a̠ ŋ ɡ o̞ ɭ ɭ a̠
앙까	a̠ ŋ k͈ a̠
앙등	a̠ː ŋ d ɯ ŋ
앙상블	a̠ ŋ sʰ a̠ ŋ b ɯ ɭ
앙숙	a̠ ŋ sʰ u k̚
앙심	a̠ ŋ ɕʰ i m
앙앙	a̠ ŋ a̠ ŋ
앙이다	a̠ ŋ i d a̠
앙카라	a̠ ŋ kʰ a̠ ɾ a̠
앙케트	a̠ ŋ kʰ e̞ tʰ ɯ
앞	a̠ p̚
앞다리	a̠ p̚ t͈ a̠ ɾ i
앞당기다	a̠ p̚ t͈ a̠ ŋ ɡ i d a̠
앞두다	a̠ p̚ t͈ u d a̠
앞뒤	a̠ p̚ t͈ ɥ i
앞마당	a̠ m m a̠ d a̠ ŋ
앞머리	a̠ m m ʌ̹ ɾ i
앞면	a̠ m m j ʌ̹ n
앞문	a̠ m m u n
앞서	a̠ p s͈ ʌ̹
앞서다	a̠ p s͈ ʌ̹ d a̠
앞에서	a̠ pʰ e̞ sʰ ʌ̹
앞으로	a̠ pʰ ɯ ɾ o̞
앞장서다	a̠ p̚ t͡ɕ͈ a̠ ŋ sʰ ʌ̹ d a̠
앞치마	a̠ p̚ t͡ɕʰ i m a̠
애	ɛː
애견	ɛː ɡ j ʌ̹ n
애교	ɛː ɡ j o
애국	ɛː ɡ u k̚
애국가	ɛː ɡ u k̚ k͈ a̠
애국심	ɛː ɡ u k ɕ͈ i m
애국자	ɛː ɡ u k̚ t͡ɕ͈ a̠
애국적	ɛː ɡ u k̚ t͡ɕ͈ ʌ̹ k̚
애국주의	ɛː ɡ u k̚ t͡ɕ͈ u ɰ i
애기망둑	ɛː ɡ i m a̠ ŋ d u k̚
애동제자	ɛː d o̞ ŋ d͡ʑ e̞ d͡ʑ a̠
애란	ɛː ɾ a̠ n
애묘	ɛː m j o
애무	ɛː m u
애무하다	ɛː m u ɦ a̠ d a̠
애벌레	ɛː b ʌ̹ ɭ ɭ e̞
애삐리다	e̞ p͈ i ɾ i d a̠
애사심	ɛː sʰ a̠ ɕʰ i m
애쓰다	ɛː s͈ ɯ d a̠
애완	ɛː w a̠ n
애완견	ɛː w a̠ n ɡ j ʌ̹ n
애완동물	ɛː w a̠ n d o̞ ŋ m u ɭ
애완묘	ɛː w a̠ n m j o
애완조	ɛː w a̠ ɲ d͡ʑ o̞
애월하다	ɛː w ʌ̹ ɾ ɦ a̠ d a̠
애인	ɛː i n
애정	ɛː d͡ʑ ʌ̹ ŋ
애조	ɛː d͡ʑ o̞
애증	ɛː d͡ʑ ɯ ŋ
애칭	ɛː t͡ɕʰ i ŋ
애호	ɛː β o̞
애호자	ɛː β o̞ d͡ʑ a̠
앵경	ɛː ŋ ɡ j ʌ̹ ŋ
앵기다	ɛː ŋ ɡ i d a̠
야	j a̠ː
야간	j a̠ː ɡ a̠ n
야경	j a̠ː ɡ j ʌ̹ ŋ
야경꾼	j a̠ː ɡ j ʌ̹ ŋ k͈ u n
야경증	j a̠ː ɡ j ʌ̹ ŋ t͡ɕ͈ ɯ ŋ
야곱	j a̠ ɡ o̞ p̚
야구	j a̠ː ɡ u
야구장	j a̠ː ɡ u d͡ʑ a̠ ŋ
야구하다	j a̠ː ɡ u ɦ a̠ d a̠
야근	j a̠ː ɡ ɯ n
야금야금	j a̠ ɡ ɯ m j a̠ ɡ ɯ m
야기하다	j a̠ː ɡ i ɦ a̠ d a̠
야단	j a̠ d a̠ n
야단하다	j a̠ d a̠ n ɦ a̠ d a̠
야당	j a̠ː d a̠ ŋ
야동	j a̠ː d o̞ ŋ
야드	j a̠ d ɯ
야든	j a̠ d ɯ n
야레	j a̠ ɾ e̞
야릇하다	j a̠ ɾ ɯ tʰ a̠ d a̠
야마토	j a̠ m a̠ tʰ o̞
야만	j a̠ː m a̠ n
야만인	j a̠ː m a̠ n i n
야망	j a̠ː m a̠ ŋ
야무수크로	j a̠ m u sʰ u k x ɯ ɾ o̞
야민정음	j a̠ː m i ɲ d͡ʑ ʌ̹ ŋ ɯ m
야바	j a̠ b a̠
야밤	j a̠ː b a̠ m
야부리	j a̠ b u ɾ i
야비하다	j a̠ː b i ɦ a̠ d a̠
야설	j a̠ː sʰ ʌ̹ ɭ
야속하다	j a̠ː sʰ o̞ kʰ a̠ d a̠
야수	j a̠ː sʰ u
야스	j a̠ sʰ ɯ
야식	j a̠ː ɕʰ i k̚
야심	j a̠ː ɕʰ i m
야옹	j a̠ o̞ ŋ
야외	j a̠ː w e̞
야운데	j a̠ u n d e̞
야자	j a̠ː d͡ʑ a̠
야자나무	j a̠ː d͡ʑ a̠ n a̠ m u
야자수	j a̠ː d͡ʑ a̠ sʰ u
야자유	j a̠ː d͡ʑ a̠ j u
야자집게	j a̠ d͡ʑ a̠ d͡ʑ i p̚ k͈ e̞
야중	j a̠ː d͡ʑ u ŋ
야짤	j a̠ t͡ɕ͈ a̠ ɭ
야차	j a̠ t͡ɕʰ a̠
야쿠자	j a̠ kʰ u d͡ʑ a̠
야쿠츠크	j a̠ kʰ u t͡ɕʰ ɯ k x ɯ
야하다	j a̠ː ɦ a̠ d a̠
야한	j a̠ː ɦ a̠ n
야호	j a̠ː β o̞
야회	j a̠ː β w e̞
야훼	j a̠ β w e̞
약	j a̠ k̚
약간	j a̠ k̚ k͈ a̠ n
약과	j a̠ k̚ k͈ w a̠
약관	j a̠ k̚ k͈ w a̠ n
약국	j a̠ k̚ k͈ u k̚
약도	j a̠ k̚ t͈ o̞
약력	j a̠ ŋ ɲ ʌ̹ k̚
약리학	j a̠ ŋ n i ɦ a̠ k̚
약물	j a̠ ŋ m u ɭ
약밥	j a̠ k̚ p͈ a̠ p̚
약방	j a̠ k̚ p͈ a̠ ŋ
약병	j a̠ k̚ p͈ j ʌ̹ ŋ
약사	j a̠ k s͈ a̠
약산	j a̠ k s͈ a̠ n
약속	j a̠ k s͈ o̞ k̚
약속하다	j a̠ k s͈ o̞ kʰ a̠ d a̠
약식	j a̠ k ɕ͈ i k̚
약실	j a̠ k ɕ͈ i ɭ
약어	j a̠ ɡ ʌ̹
약육강식	j a̠ ɡ j u k̚ k͈ a̠ ŋ ɕʰ i k̚
약자	j a̠ k̚ t͡ɕ͈ a̠
약점	j a̠ k̚ t͡ɕ͈ ʌ̹ m
약제	j a̠ k̚ t͡ɕ͈ e̞
약제사	j a̠ k̚ t͡ɕ͈ e̞ sʰ a̠
약제학	j a̠ k̚ t͡ɕ͈ e̞ ɦ a̠ k̚
약주	j a̠ k̚ t͡ɕ͈ u
약진	j a̠ k̚ t͡ɕ͈ i n
약진하다	j a̠ k̚ t͡ɕ͈ i n ɦ a̠ d a̠
약초	j a̠ k̚ t͡ɕʰ o̞
약초학자	j a̠ k̚ t͡ɕʰ o̞ ɦ a̠ k̚ t͡ɕ͈ a̠
약칭	j a̠ k̚ t͡ɕʰ i ŋ
약탈	j a̠ k̚ tʰ a̠ ɭ
약탈자	j a̠ k̚ tʰ a̠ ʎ d͡ʑ a̠
약품	j a̠ k̚ pʰ u m
약하다	j a̠ kʰ a̠ d a̠
약학	j a̠ kʰ a̠ k̚
약혼	j a̠ kʰ o̞ n
약혼녀	j a̠ kʰ o̞ n ɲ ʌ̹
약혼반지	j a̠ kʰ o̞ n b a̠ ɲ d͡ʑ i
약혼식	j a̠ kʰ o̞ n ɕʰ i k̚
약혼자	j a̠ kʰ o̞ ɲ d͡ʑ a̠
얀데레	j a̠ n d e̞ ɾ e̞
얄궂다	j a̠ ɭ ɡ u t̚ t͈ a̠
얇다	j a̠ː ɭ t͈ a̠
얌전하다	j a̠ m d͡ʑ ʌ̹ n ɦ a̠ d a̠
얌차	j a̠ m t͡ɕʰ a̠
양	j a̠ ŋ
양	j a̠ː ŋ
양갈보	j a̠ ŋ ɡ a̠ ɭ b o̞
양곤	j a̠ ŋ ɡ o̞ n
양곱창	j a̠ː ŋ ɡ o̞ p̚ t͡ɕʰ a̠ ŋ
양과	j a̠ ŋ ɡ w a̠
양광	j a̠ ŋ ɡ w a̠ ŋ
양국	j a̠ ŋ ɡ u k̚
양궁	j a̠ ŋ ɡ u ŋ
양귀비	j a̠ ŋ ɡ ɥ i b i
양귀자	j a̠ ŋ ɡ ɥ i d͡ʑ a̠
양금	j a̠ ŋ ɡ ɯ m
양념	j a̠ ŋ ɲ ʌ̹ m
양념하다	j a̠ ŋ ɲ ʌ̹ m ɦ a̠ d a̠
양놈	j a̠ ŋ n o̞ m
양다리	j a̠ ŋ d a̠ ɾ i
양달	j a̠ ŋ d a̠ ɭ
양도하다	j a̠ː ŋ d o̞ ɦ a̠ d a̠
양동이	j a̠ ŋ d o̞ ŋ i
양력	j a̠ ŋ ɲ ʌ̹ k̚
양로원	j a̠ː ŋ n o̞ w ʌ̹ n
양말	j a̠ ŋ m a̠ ɭ
양면	j a̠ ŋ m j ʌ̹ n
양모	j a̠ ŋ m o̞
양모지	j a̠ ŋ m o̞ d͡ʑ i
양반	j a̠ ŋ b a̠ n
양버즘나무	j a̠ ŋ b ʌ̹ d͡ʑ ɯ m n a̠ m u
양보	j a̠ ŋ b o̞
양보	j a̠ː ŋ b o̞
양보하다	j a̠ː ŋ b o̞ ɦ a̠ d a̠
양복	j a̠ ŋ b o̞ k̚
양복장	j a̠ ŋ b o̞ k̚ t͡ɕ͈ a̠ ŋ
양봉	j a̠ː ŋ b o̞ ŋ
양봉가	j a̠ː ŋ b o̞ ŋ ɡ a̠
양봉장	j a̠ː ŋ b o̞ ŋ d͡ʑ a̠ ŋ
양부인	j a̠ ŋ b u i n
양산	j a̠ ŋ sʰ a̠ n
양상	j a̠ ŋ sʰ a̠ ŋ
양상추	j a̠ ŋ sʰ a̠ ŋ t͡ɕʰ u
양서류	j a̠ː ŋ sʰ ʌ̹ ɾ j u
양성	j a̠ ŋ sʰ ʌ̹ ŋ
양성자	j a̠ ŋ sʰ ʌ̹ ŋ d͡ʑ a̠
양수	j a̠ ŋ sʰ u
양수사	j a̠ ŋ sʰ u sʰ a̠
양식	j a̠ ŋ ɕʰ i k̚
양식당	j a̠ ŋ ɕʰ i k̚ t͈ a̠ ŋ
양신	j a̠ ŋ ɕʰ i n
양심	j a̠ ŋ ɕʰ i m
양옥	j a̠ ŋ o̞ k̚
양옥집	j a̠ ŋ o̞ k̚ t͡ɕ͈ i p̚
양우	j a̠ ŋ u
양유	j a̠ ŋ j u
양육권	j a̠ ŋ j u k̚ k͈ w ʌ̹ n
양은	j a̠ ŋ ɯ n
양자	j a̠ ŋ d͡ʑ a̠
양자역학	j a̠ ŋ d͡ʑ a̠ j ʌ̹ kʰ a̠ k̚
양자화	j a̠ ŋ d͡ʑ a̠ β w a̠
양전자	j a̠ ŋ d͡ʑ ʌ̹ ɲ d͡ʑ a̠
양조장	j a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠ ŋ
양주	j a̠ ŋ d͡ʑ u
양즈	j a̠ ŋ d͡ʑ ɯ
양지	j a̠ː ŋ d͡ʑ i
양지꽃	j a̠ ŋ d͡ʑ i k͈ o̞ t̚
양질	j a̠ ŋ d͡ʑ i ɭ
양쪽	j a̠ː ŋ t͡ɕ͈ o̞ k̚
양초	j a̠ ŋ t͡ɕʰ o̞
양치	j a̠ ŋ t͡ɕʰ i
양치기	j a̠ ŋ t͡ɕʰ i ɡ i
양탄자	j a̠ ŋ tʰ a̠ ɲ d͡ʑ a̠
양털	j a̠ ŋ tʰ ʌ̹ ɭ
양털더미	j a̠ ŋ tʰ ʌ̹ ɭ d ʌ̹ m i
양털지방	j a̠ ŋ tʰ ʌ̹ ʎ d͡ʑ i b a̠ ŋ
양파	j a̠ ŋ pʰ a̠
양팔	j a̠ː ŋ pʰ a̠ ɭ
양피지	j a̠ ŋ pʰ i d͡ʑ i
양하	j a̠ ŋ ɦ a̠
양혜	j a̠ ŋ ʝ e̞
얕다	j a̠ t̚ t͈ a̠
얕보다	j a̠ t̚ p͈ o̞ d a̠
얕잡다	j a̠ t̚ t͡ɕ͈ a̠ p̚ t͈ a̠
얘기	j ɛː ɡ i
얘기하다	j ɛː ɡ i ɦ a̠ d a̠
어	ʌ̹
어간	ɘː ɡ a̠ n
어감	ɘː ɡ a̠ m
어구	ɘː ɡ u
어귀	ʌ̹ ɡ ɥ i
어그러지다	ʌ̹ ɡ ɯ ɾ ʌ̹ d͡ʑ i d a̠
어근	ɘː ɡ ɯ n
어금니	ʌ̹ ɡ ɯ m n i
어긋나다	ʌ̹ ɡ ɯ n n a̠ d a̠
어눌	ɘː n u ɭ
어눌하다	ɘː n u ɾ ɦ a̠ d a̠
어느	ʌ̹ n ɯ
어느결에	ʌ̹ n ɯ ɡ j ʌ̹ ɾ e̞
어덩이	ʌ̹ d ʌ̹ ŋ i
어도	ɘː d o̞
어도	ʌ̹ d o̞
어두움	ʌ̹ d u u m
어두워지다	ʌ̹ d u w ʌ̹ d͡ʑ i d a̠
어둑서니	ʌ̹ d u k s͈ ʌ̹ n i
어둠	ʌ̹ d u m
어둡다	ʌ̹ d u p̚ t͈ a̠
어드렇다	ʌ̹ d ɯ ɾ ʌ̹ tʰ a̠
어드메	ʌ̹ d ɯ m e̞
어드벤처	ʌ̹ d ɯ b e̞ ɲ t͡ɕʰ ʌ̹
어디	ʌ̹ d i
어디여	ʌ̹ d i j ʌ̹
어딘가	ʌ̹ d i n ɡ a̠
어떠하다	ʌ̹ t͈ ʌ̹ ɦ a̠ d a̠
어떡하다	ʌ̹ t͈ ʌ̹ kʰ a̠ d a̠
어떤	ʌ̹ t͈ ʌ̹ n
어떻게	ʌ̹ t͈ ʌ̹ kʰ e̞
어떻다	ʌ̹ t͈ ʌ̹ tʰ a̠
어라	ʌ̹ ɾ a̠
어란	ʌ̹ ɾ a̠ n
어려움	ʌ̹ ɾ j ʌ̹ u m
어렴풋이	ʌ̹ ɾ j ʌ̹ m pʰ u ɕʰ i
어렵다	ʌ̹ ɾ j ʌ̹ p̚ t͈ a̠
어렵사리	ʌ̹ ɾ j ʌ̹ p s͈ a̠ ɾ i
어론	ʌ̹ ɾ o̞ n
어뢰	ʌ̹ ɾ w e̞
어룡	ʌ̹ ɾ j o ŋ
어류	ɘː ɾ j u
어류	ʌ̹ ɾ j u
어르다	ɘː ɾ ɯ d a̠
어르신	ɘː ɾ ɯ ɕʰ i n
어른	ɘː ɾ ɯ n
어름	ɘː ɾ ɯ m
어름치	ʌ̹ ɾ ɯ m t͡ɕʰ i
어리광	ʌ̹ ɾ i ɡ w a̠ ŋ
어리굴젓	ʌ̹ ɾ i ɡ u ʎ d͡ʑ ʌ̹ t̚
어리다	ʌ̹ ɾ i d a̠
어리석다	ʌ̹ ɾ i sʰ ʌ̹ k̚ t͈ a̠
어린	ʌ̹ ɾ i n
어린아이	ʌ̹ ɾ i n a̠ i
어린이	ʌ̹ ɾ i n i
어린이집	ʌ̹ ɾ i n i d͡ʑ i p̚
어마니	ʌ̹ m a̠ n i
어마이	ʌ̹ m a̠ i
어말	ɘː m a̠ ɭ
어망	ʌ̹ m a̠ ŋ
어머	ʌ̹ m ʌ̹
어머나	ɘː m ʌ̹ n a̠
어머니	ʌ̹ m ʌ̹ n i
어머님	ʌ̹ m ʌ̹ n i m
어머이	ʌ̹ m ʌ̹ i
어묵	ʌ̹ m u k̚
어미	ɘː m i
어미	ʌ̹ m i
어버이	ʌ̹ b ʌ̹ i
어법	ɘː p͈ ʌ̹ p̚
어벙하다	ʌ̹ b ʌ̹ ŋ ɦ a̠ d a̠
어부	ʌ̹ b u
어불성설	ɘː b u ɭ sʰ ʌ̹ ŋ sʰ ʌ̹ ɭ
어븀	ʌ̹ b j u m
어사	ɘː sʰ a̠
어사	ʌ̹ sʰ a̠
어서	ʌ̹ sʰ ʌ̹
어순	ɘː sʰ u n
어스름	ʌ̹ sʰ ɯ ɾ ɯ m
어슬렁어슬렁	ʌ̹ sʰ ɯ ɭ ɭ ʌ̹ ŋ ʌ̹ sʰ ɯ ɭ ɭ ʌ̹ ŋ
어야	ʌ̹ j a̠
어업	ʌ̹ ʌ̹ p̚
어여머리	ʌ̹ j ʌ̹ m ʌ̹ ɾ i
어여쁘다	ʌ̹ j ʌ̹ p͈ ɯ d a̠
어엿하다	ʌ̹ j ʌ̹ tʰ a̠ d a̠
어우러지다	ʌ̹ u ɾ ʌ̹ d͡ʑ i d a̠
어우르다	ʌ̹ u ɾ ɯ d a̠
어울리다	ʌ̹ u ʎ ʎ i d a̠
어울림	ʌ̹ u ʎ ʎ i m
어원	ɘː w ʌ̹ n
어원학	ɘː w ʌ̹ n ɦ a̠ k̚
어육	ʌ̹ j u k̚
어의	ʌ̹ ɰ i
어이	ʌ̹ i
어이없다	ʌ̹ i ʌ̹ p̚ t͈ a̠
어장	ʌ̹ d͡ʑ a̠ ŋ
어장관리	ʌ̹ d͡ʑ a̠ ŋ ɡ w a̠ ʎ ʎ i
어저귀	ʌ̹ d͡ʑ ʌ̹ ɡ ɥ i
어저께	ʌ̹ d͡ʑ ʌ̹ k͈ e̞
어제	ʌ̹ d͡ʑ e̞
어젯밤	ʌ̹ d͡ʑ e̞ t̚ p͈ a̠ m
어조사	ɘː d͡ʑ o̞ sʰ a̠
어족	ɘː d͡ʑ o̞ k̚
어줍다	ʌ̹ d͡ʑ u p̚ t͈ a̠
어줍잖다	ʌ̹ d͡ʑ u p̚ t͡ɕ͈ a̠ n tʰ a̠
어지럽다	ʌ̹ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠
어질다	ʌ̹ d͡ʑ i ɭ d a̠
어쩌다	ʌ̹ t͡ɕ͈ ʌ̹ d a̠
어쩌면	ʌ̹ t͡ɕ͈ ʌ̹ m j ʌ̹ n
어쩐지	ʌ̹ t͡ɕ͈ ʌ̹ ɲ d͡ʑ i
어쭙잖다	ʌ̹ t͡ɕ͈ u p̚ t͡ɕ͈ a̠ n tʰ a̠
어찌	ʌ̹ t͡ɕ͈ i
어찌씨	ʌ̹ t͡ɕ͈ i ɕ͈ i
어찌하다	ʌ̹ t͡ɕ͈ i ɦ a̠ d a̠
어차피	ʌ̹ t͡ɕʰ a̠ pʰ i
어처구니없다	ʌ̹ t͡ɕʰ ʌ̹ ɡ u n i ʌ̹ p̚ t͈ a̠
어청이	ʌ̹ t͡ɕʰ ʌ̹ ŋ i
어촌	ʌ̹ t͡ɕʰ o̞ n
어치	ʌ̹ t͡ɕʰ i
어카운트	ʌ̹ kʰ a̠ u n tʰ ɯ
어케	ʌ̹ kʰ e̞
어파	ɘː pʰ a̠
어폐	ɘː pʰ j e̞
어플	ʌ̹ pʰ ɯ ɭ
어플리케이션	ʌ̹ pʰ ɯ ʎ ʎ i kʰ e̞ i ɕʰ ʌ̹ n
어학	ɘː ɦ a̠ k̚
어항	ʌ̹ ɦ a̠ ŋ
어형	ʌ̹ ʝ ʌ̹ ŋ
어휘	ɘː ɦ ɥ i
어휘소	ʌ̹ ɦ ɥ i sʰ o̞
어휘장	ɘː ɦ ɥ i d͡ʑ a̠ ŋ
어휘집	ɘː ɦ ɥ i d͡ʑ i p̚
억	ʌ̹ k̚
억강부약	ʌ̹ k̚ k͈ a̠ ŋ b u j a̠ k̚
억누르다	ʌ̹ ŋ n u ɾ ɯ d a̠
억류	ʌ̹ ŋ ɲ u
억류자	ʌ̹ ŋ ɲ u d͡ʑ a̠
억수	ʌ̹ k s͈ u
억수로	ʌ̹ k s͈ u ɾ o̞
억압	ʌ̹ ɡ a̠ p̚
억울하다	ʌ̹ ɡ u ɾ ɦ a̠ d a̠
억지	ʌ̹ k̚ t͡ɕ͈ i
억측	ʌ̹ k̚ t͡ɕʰ ɯ k̚
언간	ɘː n ɡ a̠ n
언급	ʌ̹ n ɡ ɯ p̚
언급하다	ʌ̹ n ɡ ɯ pʰ a̠ d a̠
언니	ʌ̹ n n i
언닌	ʌ̹ n n i n
언덕	ʌ̹ n d ʌ̹ k̚
언뜻	ʌ̹ n t͈ ɯ t̚
언론	ʌ̹ ɭ ɭ o̞ n
언론가	ʌ̹ ɭ ɭ o̞ n ɡ a̠
언론인	ʌ̹ ɭ ɭ o̞ n i n
언론학	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚
언론학자	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚ t͡ɕ͈ a̠
언문	ɘː n m u n
언어	ʌ̹ n ʌ̹
언어학	ʌ̹ n ʌ̹ ɦ a̠ k̚
언저리	ʌ̹ ɲ d͡ʑ ʌ̹ ɾ i
언제	ɘː ɲ d͡ʑ e̞
언제나	ɘː ɲ d͡ʑ e̞ n a̠
언제든지	ʌ̹ ɲ d͡ʑ e̞ d ɯ ɲ d͡ʑ i
언젠가	ɘː ɲ d͡ʑ e̞ n ɡ a̠
언짢다	ʌ̹ ɲ t͡ɕ͈ a̠ n tʰ a̠
얹다	ʌ̹ n t͈ a̠
얻다	ɘː t̚ t͈ a̠
얻다	ʌ̹ t̚ t͈ a̠
얻어먹다	ʌ̹ d ʌ̹ m ʌ̹ k̚ t͈ a̠
얼	ɘː ɭ
얼	ʌ̹ ɭ
얼간	ʌ̹ ɭ ɡ a̠ n
얼갈이	ɘː ɭ ɡ a̠ ɾ i
얼굴	ʌ̹ ɭ ɡ u ɭ
얼굴빛	ʌ̹ ɭ ɡ u ɭ p͈ i t̚
얼다	ɘː ɭ d a̠
얼룩	ʌ̹ ɭ ɭ u k̚
얼룩동사리	ʌ̹ ɭ ɭ u k̚ t͈ o̞ ŋ sʰ a̠ ɾ i
얼룩말	ʌ̹ ɭ ɭ u ŋ m a̠ ɭ
얼룩족제비	ʌ̹ ɭ ɭ u k̚ t͡ɕ͈ o̞ k̚ t͡ɕ͈ e̞ b i
얼른	ʌ̹ ɭ ɭ ɯ n
얼리다	ʌ̹ ʎ ʎ i d a̠
얼마	ʌ̹ ɭ m a̠
얼마나	ʌ̹ ɭ m a̠ n a̠
얼마만큼	ʌ̹ ɭ m a̠ m a̠ n k x ɯ m
얼마큼	ʌ̹ ɭ m a̠ k x ɯ m
얼만큼	ʌ̹ ɭ m a̠ n k x ɯ m
얼버무리다	ʌ̹ ɭ b ʌ̹ m u ɾ i d a̠
얼쑤	ʌ̹ ɭ s͈ u
얼씨구	ʌ̹ ɭ ɕ͈ i ɡ u
얼어붙다	ʌ̹ ɾ ʌ̹ b u t̚ t͈ a̠
얼음	ʌ̹ ɾ ɯ m
얼음과자	ʌ̹ ɾ ɯ m ɡ w a̠ d͡ʑ a̠
얼음꽃	ʌ̹ ɾ ɯ m k͈ o̞ t̚
얼음보숭이	ʌ̹ ɾ ɯ m b o̞ sʰ u ŋ i
얼음차	ʌ̹ ɾ ɯ m t͡ɕʰ a̠
얼짱	ʌ̹ ʎ t͡ɕ͈ a̠ ŋ
얼차려	ɘː ʎ t͡ɕʰ a̠ ɾ j ʌ̹
얼큰하다	ʌ̹ ɭ k x ɯ n ɦ a̠ d a̠
얼핏	ʌ̹ ɭ pʰ i t̚
얼핑	ʌ̹ ɭ pʰ i ŋ
얽다	ʌ̹ k̚ t͈ a̠
엄	ʌ̹ m
엄격	ʌ̹ m k͈ j ʌ̹ k̚
엄격하다	ʌ̹ m k͈ j ʌ̹ kʰ a̠ d a̠
엄금	ʌ̹ m ɡ ɯ m
엄니	ɘː m n i
엄니	ʌ̹ m n i
엄동	ʌ̹ m d o̞ ŋ
엄두	ʌ̹ m d u
엄마	ʌ̹ m m a̠
엄선	ʌ̹ m sʰ ʌ̹ n
엄선되다	ʌ̹ m sʰ ʌ̹ n d w e̞ d a̠
엄선하다	ʌ̹ m sʰ ʌ̹ n ɦ a̠ d a̠
엄숙	ʌ̹ m sʰ u k̚
엄습	ɘː m sʰ ɯ p̚
엄습하다	ɘː m sʰ ɯ pʰ a̠ d a̠
엄지	ʌ̹ m d͡ʑ i
엄지손가락	ʌ̹ m d͡ʑ i sʰ o̞ n ɡ a̠ ɾ a̠ k̚
엄청	ʌ̹ m t͡ɕʰ ʌ̹ ŋ
엄청나다	ʌ̹ m t͡ɕʰ ʌ̹ ŋ n a̠ d a̠
엄친아	ʌ̹ m t͡ɕʰ i n a̠
엄폐	ɘː m pʰ j e̞
엄호	ʌ̹ m β o̞
업	ʌ̹ p̚
업그레이드	ʌ̹ p̚ k͈ ɯ ɾ e̞ i d ɯ
업다	ʌ̹ p̚ t͈ a̠
