ং	ŋ
একজিবিশন	e k z i b i ʃ ɔ n
একটু	e k ʈ u
একতা	æ k o t̪ a
একত্রিশ	e k ɔ t̪ ɾ i ʃ
একবার	e k b a ɾ
একলব্য	æ k l o bː o
একলা	æ k l a
একাকী	e k a k i
একাডেমি	æ k a ɖ e m i
একাত্তর	e k a t̪ː ɔ ɾ
একামত	e k a m ɔ t̪
একামত	i k a m ɔ t̪
একুশে	e k u ʃ e
একেবারে	e k e b a ɾ e
এখতিয়ার	e kʰ t̪ i̯ a ɾ
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এখান	e kʰ a n
এগারো	e ɡ a ɾ o
এগুলা	e ɡ u l a
এজাজতনামা	e d ʒ a z ɔ t̪ n a m a
এটা	e ʈ a
এটি	e ʈ i
এডমন্টন	e ɖ ɔ m ɔ n ʈ ɔ n
এডিনবরা	e ɖ i n b r a
এডিনবরা	e ɖ i n b ɔ r a
এত	æ t̪ o
এতদ্বারা	æ t̪ ɔ d̪ ɑ ɾ ɑ
এদের	e d̪ e ɾ
এন্ড্রু	æ n ɖ ɾ u
এন্থনি	æ n t̪ʰ o n i
এপ্রিল	e p ɾ i l
এবে	e b e
এভাবে	e bʱ a b e
এভাবে	e v a b e
এমন	æ m o n
এমনকী	æ m ɔ n k i
এর	e ɾ
এরশাদ	e ɾ ʃ a d̪
এরা	e ɾ a
এলজাম	e l d ʒ a m
এলজাম	e l z a m
এলজিবিটি	e l d ʒ i b i ʈ i
এলাকা	e l a k a
এলাচ	e l a t ʃ
এলাহাবাদ	e l a ɦ a b a d̪
এলেম	e l e m
এলোহিম	e l o ɦ i m
এশিয়া	e ʃ i ɑ
এস্তেমাল	e s t̪ e m a l
এস্রাজ	e s ɾ a d ʒ
ঐ	o i
ঐতিহাসিক	o i̯ t̪ i ɦ a ʃ i k
ঐরাবত	o i r a b ɔ t
ও	o
ওঁ	o m
ওঁর	õ ɾ
ওঁরা	õ ɾ a
ওই	o i
ওক্ত	o k t̪
ওক্ত	o k t̪ o
ওক্‌ত	o k t̪
ওখান	o kʰ a n
ওখানে	o kʰ a n e
ওগো	o ɡ o
ওজন	o d ʒ o n
ওজর	o d ʒ ɔ ɾ
ওজু	o d ʒ u
ওঝা	o d ʒʱ a
ওঠা	o ʈʰ a
ওড়না	o ɽ n a
ওড়া	o ɽ a
ওড়া	o ɾ a
ওড়িশা	o ɽ i ʃ a
ওড়িশা	o ɾ i ʃ a
ওতফ	o t̪ ɔ f ɔ
ওদের	o d̪ e ɾ
ওফাত	o f a t̪
ওমর	o m o ɾ
ওয়াইন	o̯ a i̯ n
ওয়াকফ	o̯ a k f
ওয়াকফ	o̯ a k ɔ f
ওয়াকেফ	o̯ a k e f
ওয়াক্ত	o̯ a k t̪
ওয়াক্ত	o̯ a k t̪ o
ওয়াক্‌ফ	o̯ a k f
ওয়াজ	o̯ a d ʒ
ওয়াজ	o̯ a z
ওয়াজিব	o̯ a d ʒ i b
ওয়াতন	o̯ a t̪ ɔ n
ওয়াদা	o̯ a d̪ a
ওয়ারশ	o a r ʃ ɔ
ওয়ারিস	o̯ a ɾ i ʃ
ওয়ালেদ	o̯ a l e d̪
ওয়ালেদা	o̯ a l e d̪ a
ওয়াশিংটন	o̯ a ʃ i ŋ ʈ ɔ n
ওয়াস্তা	o̯ a s t̪ a
ওয়াহেগুরু	o̯ a ɦ e ɡ u ɾ u
ওরফে	o ɾ o f e
ওরফে	o ɾ o pʰ e
ওল	o l
ওলদ	o l o d̪
ওলন্দাজ	o l o n d̪ a d ʒ
ওলি	o l i
ওশেনিয়া	o ʃ e n i̯ a
ওষুধ	o ʃ u d̪ʱ
ওষ্ঠ্য	o ʃ ʈʰː o
ওসমান	o s m a n
ওস্তাদ	o s t̪ a d̪
ওহাইও	o ɦ a i̯ o
ঔ	o u
ঔষধ	o u̯ ʃ ɔ d̪ʱ
ক	k ɔ
কংগ্রেস	k ɔ ŋ ɡ ɹ e s
কংগ্রেস	k ɔ ŋ ɡ ɹ e ʃ
কই	k o i̯
কওয়া	k ɔ o̯ a
কক্সবাজার	k ɔ k s b a d ʒ a ɾ
কক্সবাজার	k ɔ k s e s b a d ʒ a ɾ
কখন	k ɔ kʰ ɔ n
কখনও	k ɔ kʰ ɔ n o
কখনো	k ɔ kʰ o n o
কঙ্কাল	k ɔ ŋ k a l
কঠিন	k ɔ ʈʰ i n
কঠোর	k ɔ t̪ʰ a ɾ
কণা	k ɔ n a
কণ্ঠ্য	k ɔ n ʈʰː o
কত	k ɔ t̪ o
কথন	k ɔ t̪ʰ ɔ n
কথা	k ɔ t̪ʰ a
কথাবার্তা	k ɔ t̪ʰ a b a ɾ t̪ a
কথ্য	k o t̪ʰː o
কদবেল	k ɔ d̪ b e l
কদম	k ɔ d ɔ m
কদর	k ɔ d̪ o ɾ
কদাচিৎ	k ɔ d̪ a t ʃ i t̪
কদু	k o d̪ u
কনকচাঁপা	k ɔ n ɔ k c ã p a
কনুই	k o n u̯ i
কন্ডম	k ɔ n ɖ ɔ m
কপাল	k ɔ p a l
কপি	k o p i
কপিত্থ	k o p i t̪ʰː o
কফ	k ɔ f
কফি	k ɔ f i
কবর	k ɔ b o ɾ
কবর	q ɔ b o ɾ
কবি	k o b i
কবিতা	k o b i t̪ a
কবুতর	k o b u t̪ ɔ r
কবুল	k o b u l
কবে	k ɔ b e
কম	k ɔ m
কমলা	k ɔ m l a
কমলা	k ɔ m o l a
কম্পাস	k ɔ m p a s
কম্পাস	k ɔ m p a ʃ
কম্পিউটার	k ɔ m p i u̯ ʈ a ɾ
কম্পিউটিং	k ɔ m p i u̯ ʈ i ŋ
কম্বল	k ɔ m b o l
কয়	k ɔ e̯
কয়থ	k ɔ e̯ o t̪ʰ
কয়লা	k ɔ e̯ l a
কয়লাখনি	k ɔ e̯ l a kʰ o n i
কয়েক	k ɔ e k
কয়েতবেল	k ɔ e̯ e t̪ b e l
কয়েথ	k ɔ e t̪ʰ
কয়েদ	k ɔ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
করবী	k ɔ ɾ ɔ b i
করলা	k ɔ ɾ o l a
করা	k ɔ ɹ a
করা	k ɔ ɽ a
করা	k ɔ ɾ a
করাত	k ɔ r a t
করিম	k o ɾ i m
করে	k o ɾ e
করোনা	k ɔ ɾ o n a
করোনাভাইরাস	k ɔ ɾ o n a bʱ a i̯ ɾ a s
কর্ণ	k ɔ ɾ n o
কর্ণপাত	k ɔ ɾ n o p a t̪
কর্ণাটক	k ɔ ɾ n a ʈ ɔ k
কর্তৃত্ব	k o ɾ t̪ ɾ i t̪ː o
কর্পূর	k ɔ ɾ p u ɾ
কর্ম	k ɔ ɾ m o
কর্মকর্তা	k ɔ ɾ m ɔ k ɔ ɾ t̪ a
কলকাতা	k o l k a t̪ a
কলম	k ɔ l o m
কলা	k ɔ l a
কলিকাতা	k o l i k a t̪ a
কলিজা	k o l i d ʒ a
কলেজ	k ɔ l e d ʒ
কল্লা	k ɔ l l a
কষ্ট	k ɔ ʃ ʈ o
কসম	q ɔ s o m
কস্তুর	k o s t̪ u ɾ
কস্তুরী	k o s t̪ u ɾ i
কাঁকড়া	k ã k ɽ a
কাঁকড়া	k ã k ɾ a
কাঁকাল	k ã k a l
কাঁচা	k ã t ʃ a
কাঁচি	k ã t ʃ i
কাঁটা	k ã t a
কাঁঠাল	k ã ʈʰ a l
কাঁদা	k ã d̪ a
কাঁপা	k ã p a
কাঁসা	k ã s a
কাউন	k a u̯ n
কাউয়া	k a u̯ a
কাউর	k a u̯ ɾ
কাক	k a k
কাকাতুয়া	k a k a t̪ u̯ a
কাগজ	k a ɡ o d ʒ
কাগজ	k a ɡ o z
কাচ	k a t ʃ
কাচ	k ã t ʃ
কাচা	k a t ʃ a
কাছ	k a t ʃʰ
কাছা	k a t ʃʰ a
কাছে	k a t ʃʰ e
কাজ	k a d ʒ
কাজাখস্তান	k a z a kʰ s t̪ a n
কাজী	k a d ʒ i
কাঠ	k a ʈʰ
কাঠি	k a ʈʰ i
কাঠিপোকা	k ɑ ʈ̟ʰ i p o k ɑ
কাড়া	k a ɽ a
কাড়া	k a ɾ a
কাতার	k a t̪ a ɾ
কাথিয়াবাড়	k a t̪ʰ i a b a ɽ
কাথিয়াবাড়	k a t̪ʰ i a b a ɾ
কাদা	k a d̪ a
কান	k a n
কান	k a n o
কানন	k a n o n
কানাডা	k a n a ɖ a
কানুন	k a n u n
কানুনগো	k a n u n ɡ o
কান্না	k a nː a
কাপড়	k a p o ɽ
কাপড়	k a p o ɾ
কাপাস	k a p a ʃ
কাফেলা	k a f e l a
কাবাব	k a b a b
কাবুল	k a b u l
কাম	k a m
কামরা	k a m ɾ a
কামরাঙ্গা	k a m ɾ a ŋ ɡ a
কামানো	k a m a n o
কামিজ	k a m i z
কামুক	k a m u k
কায়েনাত	k a e̯ n a t̪
কায়েম	k a e̯ m
কার	k a ɾ
কারওয়ান	k a ɾ o̯ a n
কারখানা	k a r kʰ a n a
কারণ	k a r o n
কারিগর	k a r i ɡ ɔ r
কারিগরি	k a r i ɡ o r i
কার্ডিয়াক	k a ɾ ɖ i̯ a k
কার্তিক	k a ɾ t̪ i k
কার্তুজ	k a ɾ t̪ u d ʒ
কার্য	k a ɾ d ʒ o
কাল	k a l
কালা	k a l a
কালি	k a l i
কালীপ্রসন্ন	k a l i p ɾ o ʃ ɔ nː o
কালো	k a l o
কাল্পনিক	k a l p o n i k
কাশা	k a ʃ a
কাশি	k a ʃ i
কাশ্মীর	k a ʃ m i ɹ
কাহিনি	k a ɦ i n i
কাহিনী	k a ɦ i n i
কি	k i
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɾ t̪ ɔ bː o b i m u ɽ o
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɾ t̪ ɔ bː o b i m u ɽʱ o
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɾ t̪ ɔ bː o b i m u ɾ ɦ o
কিংখাব	k i ŋ kʰ a b
কিংবা	k i ŋ b a
কিচ্ছা	k i t ʃ t ʃʰ a
কিছু	k i t ʃʰ u
কিছুক্ষণ	k i t ʃʰ u kʰː ɔ n
কিতা	k i t̪ a
কিতাব	k i t̪ a b
কিনার	k i n a r
কিন্তু	k i n t̪ u
কিপটা	k i p ʈ a
কিভাবে	k i bʱ a b e
কিভাবে	k i v a b e
কিরগিজস্তান	k i ɾ ɡ i z s t̪ a n
কিরণ	k i ɾ o n
কিরীট	k i ɾ i ʈ
কিশমিশ	k i s m i s
কিশমিশ	k i ʃ m i ʃ
কিশোর	k i ʃ o ɾ
কিসমত	k i s m o t̪
কিসিম	k i s i m
কিসিম	k i ʃ i m
কিস্তিমাত	k i s t̪ i m a t̪
কীভাবে	k i b a b e
কীভাবে	k i bʱ a b e
কুঁকড়া	k ũ k ɽ a
কুঁকড়া	k ũ k ɾ a
কুঁড়ে	k ũ ɽ e
কুঁড়ে	k ũ ɾ e
কুইবেক	k u̯ i b e k
কুউ	k u̯ u
কুকুর	k u k u ɹ
কুকুরছানা	k u k u ɽ s a n a
কুকুরছানা	k u k u ɽ t ʃʰ a n a
কুকুরছানা	k u k u ɾ t ʃʰ a n a
কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
কুড়ি	k u ɽ i
কুড়ি	k u ɾ i
কুড়িগ্রাম	k u ɽ i ɡ ɾ a m
কুড়িগ্রাম	k u ɾ i ɡ ɾ a m
কুত্তা	k u t̪ː a
কুদেতা	k u d̪ e t̪ a
কুবের	k u b e ɾ
কুমড়া	k u m ɽ a
কুমড়া	k u m ɾ a
কুমড়ো	k u m ɽ o
কুমড়ো	k u m ɾ o
কুমার	k u m a ɾ
কুমারীত্ব	k u m a ɾ i t̪ː o
কুমির	k u m i ɾ
কুমীর	k u m i ɾ
কুমোর	k u m o r
কুম্ভ	k u m bʱ o
কুয়াশা	k u̯ a ʃ a
কুরআন	k u ɾ a n
কুরসি	k u ɾ s i
কুলখানি	k u l kʰ a n i
কুষ্টিয়া	k u ʃ ʈ i̯ a
কুষ্ঠ	k u ʃ ʈʰ o
কুসুম	k u ʃ u m
কুস্তি	k u s t̪ i
কুস্তুন্তুনিয়া	k u s t̪ u n t̪ u n i̯ a
কূটনৈতিক	k u ʈ n o i t i k
কৃতজ্ঞ	k r i t ɔ ɡ ɡ o
কৃত্রিম	k ɾ i t̪ ɾ i m
কৃষক	k ɾ i ʃ ɔ k
কৃষি	k ɾ i ʃ i
কৃষিকার্য	k ɾ i ʃ i k a ɾ d ʒ o
কৃষ্ণ	k ɾ i ʃ n o
কৃষ্ণগহ্বর	k r i ʃ n o ɡ ɔ o bʱ ɔ r
কৃষ্ণচূড়া	k ɾ i ʃ n ɔ c u ɽ a
কৃষ্ণচূড়া	k ɾ i ʃ ʈ ɔ̃ c u ɽ a
কে	k e
কেঁচি	k ẽ t ʃ i
কেউ	k e u
কেক	k e k
কেকেকে	k e k e k e
কেটলি	k e ʈ l i
কেতা	k e t̪ a
কেদারা	k e d̪ a ɾ a
কেন	k æ n
কেন	k æ n o
কেনা	k e n a
কেন্দ্র	k e n d̪ ɾ o
কেবল	k e b o l
কেয়া	k e a
কেয়ামত	k e a m ɔ t̪
কেরল	k e ɾ ɔ l
কেরামত	k e ɾ a m ɔ t̪
কেরামতি	k e ɾ a m o t̪ i
কেরালা	k e ɾ a l a
কেরোসিন	k e ɾ o ʃ i n
কেল্লা	k e lː a
কেল্লাফতে	k e lː a f o t̪ e
কেষ্ট	k e ʃ ʈ o
কেষ্টবিষ্টু	k e ʃ ʈ o b i ʃ ʈ u
কৈ	k o i̯
কোকিল	k o k i l
কোঠা	k o ʈʰ a
কোথায়	k o t̪ʰ a e̯
কোন	k o n
কোনখানে	k o n kʰ a n e
কোনা	k o n a
কোনো	k o n o
কোমর	k o m o ɾ
কোরিয়া	k o ɹ i̯ a
কোলবালিশ	k o l b a l i ʃ
কোষ	k o ʃ
কোষ্টা	k o ʃ ʈ a
কোহিনূর	k o ɦ i n u ɾ
কৌঁসুলি	k o ũ ʃ u l i
কৌমুদী	k o u̯ m u d̪ i
কৌলিক	k o u̯ l i k
কৌশিক	k o u ʃ i k
কৌশিক	k o u̯ s̠ i k
ক্যা	k æ
ক্যাঁয়চি	k æ e̯ t ʃ i
ক্যানোপাস	k æ n o p a ʃ
ক্যান্ডি	k æ n ɖ i
ক্যারাম	k æ r a m
ক্যারাম	k æ r æ m
ক্যালগারি	k æ l ɡ a ɾ i
ক্যালিফর্নিয়া	k æ l i f ɔ ɾ n i̯ a
ক্রমাগত	k ɾ ɔ m a ɡ ɔ t̪ o
ক্রিয়া	k ɾ i̯ a
ক্রিয়াপদ	k ɾ i̯ a p ɔ d̪
ক্রুশ	k ɾ u ʃ
ক্লাস	k l ɑ ʃ
ক্ষতি	kʰ o t̪ i
ক্ষতিকর	kʰ o t̪ i k ɔ ɾ
ক্ষত্রিয়	kʰ o t̪ ɾ i̯ o
ক্ষমতা	kʰ ɔ m o t̪ a
ক্ষমতাশালী	kʰ ɔ m o t̪ a ʃ a l i
ক্ষমা	kʰ ɔ m a
ক্ষমাহীন	kʰ ɔ m a ɦ i n
ক্ষার	kʰ a ɾ
ক্ষারমৃত্তিকা	kʰ a ɾ ɔ m ɾ i t̪ː i k a
ক্ষীর	kʰ i ɾ
ক্ষুদ্র	kʰ u d̪ ɾ o
ক্ষুদ্রান্ত্র	kʰ u d r a n t o
ক্ষুধা	kʰ u d̪ʱ a
ক্ষুধার্ত	kʰ u d̪ʱ a ɾ t̪ o
ক্ষেত্র	kʰ e t̪ ɾ o
কৎবেল	k ɔ t̪ b e l
খ	kʰ ɔ
খণ্ড	kʰ ɔ n ɖ o
খতম	kʰ ɔ t̪ o m
খন্দকার	kʰ ɔ n d̪ o k a ɾ
খবর	kʰ ɔ b o ɾ
খবরদার	kʰ ɔ b o ɾ d̪ a ɾ
খবিশ	kʰ o b i ʃ
খয়রাত	kʰ ɔ e̯ ɾ a t̪
খয়ের	kʰ ɔ e ɾ
খরচ	kʰ ɔ ɾ o t ʃ
খসরু	kʰ o s ɾ u
খাঁচা	kʰ ã t ʃ a
খাঁটি	kʰ ã ʈ i
খাই	kʰ a i̯
খাওয়া	kʰ a o̯ a
খাগড়া	kʰ a ɡ ɽ a
খাগড়া	kʰ a ɡ ɾ a
খাজনা	kʰ a d ʒ n a
খাজনা	kʰ a z n a
খাট	kʰ a ʈ
খাড়া	kʰ a ɽ a
খাড়া	kʰ a ɾ a
খাতা	kʰ a t̪ a
খাতির	kʰ a t̪ i ɾ
খাদেম	kʰ a d̪ e m
খান	kʰ a n
খানকি	kʰ a n k i
খানকি	kʰ a ŋ k i
খানদান	kʰ a n d̪ a n
খানা	kʰ a n a
খাবার	kʰ a b a ɾ
খামাখা	kʰ a m a kʰ a
খায়েশ	kʰ a e̯ ʃ
খারাপ	kʰ a ɾ a p
খারাব	kʰ a ɾ a b
খাল	kʰ a l
খালি	kʰ a l i
খালেদ	kʰ a l e d̪
খাসী	kʰ a ʃ i
খাহেশ	kʰ a ɦ e ʃ
খিদা	kʰ i d̪ a
খুজুটিপাড়া	kʰ u d ʒ u ʈ i p a ɽ a
খুজুটিপাড়া	kʰ u d ʒ u ʈ i p a ɾ a
খুব	kʰ u b
খুবসুরত	kʰ u b s u ɾ ɔ t̪
খুবসুরত	kʰ u p s u ɾ ɔ t̪
খুবসুরতি	kʰ u b ʃ u ɾ o t̪ i
খুশকি	kʰ u ʃ k i
খুশবু	kʰ u ʃ b u
খুশি	kʰ u ʃ i
খূব	kʰ u b
খেজুর	kʰ e d ʒ u ɾ
খেত	kʰ e t̪
খেদমত	kʰ e d̪ m ɔ t̪
খেয়ানত	kʰ e a n ɔ t̪
খেয়াল	kʰ e a l
খেয়াল	kʰ æ a l
খেলনা	kʰ æ l n a
খেলা	kʰ æ l a
খোঁজা	kʰ õ d ʒ a
খোঁড়া	kʰ o ɽ a
খোঁড়ানো	kʰ o ɽ a n o
খোঁপা	kʰ õ p a
খোকা	kʰ o k a
খোদ	kʰ o d̪
খোয়াব	kʰ o̯ a b
খোশ	kʰ o ʃ
খ্বাব	kʰ o̯ a b
খ্রিস্ট	kʰ ɾ i ʃ ʈ o
খ্রিস্টধর্ম	kʰ ɾ i s ʈ ɔ d̪ʱ ɔ ɾ m o
খ্রিস্টধর্ম	kʰ ɾ i ʃ ʈ ɔ d̪ʱ ɔ ɾ m o
খ্রিস্টান	kʰ ɾ i ʃ ʈ a n
গ	ɡ ɔ
গং	ɡ ɔ ŋ
গগন	ɡ ɔ ɡ o n
গঙ্গা	ɡ ɔ ŋ ɡ a
গঙ্গোপাধ্যায়	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
গজল	ɡ ɔ d ʒ o l
গজল	ɡ ɔ z o l
গঞ্জ	ɡ ɔ n d ʒ
গঠন	ɡ ɔ ʈʰ ɔ n
গঠিত	ɡ ɔ ʈʰ i t̪ o
গড়	ɡ ɔ ɽ
গড়	ɡ ɔ ɾ
গণ	ɡ ɔ n
গণতন্ত্র	ɡ ɔ n o t̪ ɔ n t̪ ɾ o
গণতান্ত্রিক	ɡ ɔ n o t̪ a n t̪ ɾ i k
গণনা	ɡ ɔ n o n a
গণপ্রজাতন্ত্রী	ɡ ɔ n o p ɾ o d ʒ a t̪ ɔ n t̪ ɾ i
গণহত্যা	ɡ ɔ n o ɦ o t̪ː a
গণিকা	ɡ ɔ n i k a
গণিত	ɡ o n i t̪
গণেশ	ɡ ɔ n e ʃ
গণ্ডার	ɡ ɔ n ɖ a ɾ
গতি	ɡ ɔ t̪ i
গতিবেগ	ɡ ɔ t̪ i b e ɡ
গদ্দার	ɡ ɔ d̪ː a ɾ
গন্ডার	ɡ ɔ n ɖ a ɾ
গন্ধ	ɡ ɔ n d̪ʱ o
গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
গভীর	ɡ o bʱ i ɾ
গম	ɡ ɔ m
গয়না	ɡ ɔ e̯ n a
গরম	ɡ ɔ ɾ o m
গরমকাল	ɡ ɔ ɾ o m k a l
গরিলা	ɡ o ɾ i l a
গরীব	ɡ o ɾ i b
গরু	ɡ o ɾ u
গরুড়	ɡ o ɾ u ɽ
গরুড়	ɡ o ɾ u ɾ
গর্ত	ɡ ɔ ɾ t̪ o
গর্দভ	ɡ ɔ r dʱ ɔ bʱ
গর্দান	ɡ ɔ ɾ d̪ a n
গলা	ɡ ɔ l a
গলি	ɡ o l i
গল্প	ɡ ɔ l p o
গহনা	ɡ ɔ ɦ o n a
গহির	ɡ ɔ ɦ i ɾ
গা	ɡ a
গাঁ	ɡ ã
গাঁইয়া	ɡ ã i̯ a
গাঁও	ɡ a õ̯
গাঁও	ɡ ã o
গাঁওয়ালী	ɡ ã o̯ a l i
গাঁজা	ɡ ã d ʒ a
গাঁট	ɡ ã ʈ
গাঁড়	ɡ ã ɽ
গাই	ɡ a i̯
গাওয়া	ɡ a o̯ a
গাঙ্গুলি	ɡ a ŋ ɡ u l i
গাঙ্গেয়	ɡ a ŋ ɡ e o
গাছ	ɡ a t ʃʰ
গাজর	ɡ a d ʒ o ɾ
গাজী	ɡ a d ʒ i
গাড়া	ɡ a ɽ a
গাড়া	ɡ a ɾ a
গাড়ি	ɡ a ɽ i
গাড়ি	ɡ a ɾ i
গাড়ী	ɡ a ɽ i
গাঢ়	ɡ a ɽ o
গাঢ়	ɡ a ɽʱ o
গাঢ়	ɡ a ɾ ɦ o
গান	ɡ a n
গান্ধী	ɡ a n d̪ʱ i
গাব	ɡ a b
গামছা	ɡ a m t ʃʰ a
গামলা	ɡ a m l a
গায়ক	ɡ aʲ o k
গারবা	ɡ a ɾ b a
গাল	ɡ a l
গালি	ɡ a l i
গালিচা	ɡ a l i t ʃ a
গিজার	ɡ i d̪ ʒ a ɾ
গিজার	ɡ i z a ɾ
গিটার	ɡ i ʈ a ɾ
গির্জা	ɡ i ɾ d ʒ a
গু	ɡ u
গুগল	ɡ u ɡ l o
গুগল	ɡ u ɡ ɔ l
গুজরাট	ɡ u d ʒ ɔ ɾ a ʈ
গুজরাত	ɡ u d ʒ ɾ a t̪
গুণা	ɡ u n a
গুদাম	ɡ u d̪ a m
গুনাগার	ɡ u n a ɡ a ɾ
গুনাহ	ɡ u n a
গুপ্ত	ɡ u p t̪ o
গুফা	ɡ u f a
গুম	ɡ u m
গুমোট	ɡ u m o ʈ
গুম্ফা	ɡ u m f a
গুরু	ɡ u ɾ u
গুরুত্ব	ɡ u ɾ u t̪ː o
গুরুত্বপূর্ণ	ɡ u ɾ u t̪ː ɔ p u ɾ n o
গুল	ɡ u l
গুলজার	ɡ u l z a ɾ
গুলদাস্তা	ɡ u l d̪ a s t̪ a
গুলবনফ্‌শা	ɡ u l b ɔ n o f ʃ a
গুলশান	ɡ u l ʃ a n
গুলি	ɡ u l i
গুলিস্তান	ɡ u l i s t̪ a n
গুহা	ɡ u ɦ a
গৃহ	ɡ ɾ i ɦ o
গেঁয়ো	ɡ ẽ e̯ o
গেঞ্জি	ɡ e n d ʒ i
গেঞ্জি	ɡ e n z i
গেরাম	ɡ e ɾ a m
গৈরিক	ɡ o i̯ ɾ i k
গোনা	ɡ o n a
গোপাল	ɡ o p a l
গোফা	ɡ o pʰ ɑ
গোবর	ɡ ɔ b o ɾ
গোমাংস	ɡ o m a ŋ ʃ ɔ
গোমূত্র	ɡ o m u t̪ ɾ o
গোয়া	ɡ o̯ a
গোয়েন্দা	ɡ o e n d̪ a
গোরু	ɡ o ɾ u
গোল	ɡ o l
গোলন্দাজ	ɡ o l ɔ n d̪ a d ʒ
গোলসাগু	ɡ o l ʃ a ɡ u
গোলাপ	ɡ o l a p
গোলাপজল	ɡ o l a p d ʒ ɔ l
গোলাম	ɡ o l a m
গোল্লা	ɡ o lː a
গোশ	ɡ o ʃ
গোশত	ɡ ɔ s t̪
গোশত	ɡ ɔ s t̪ o
গোশত	ɡ ɔ ʃ t̪
গোশত	ɡ ɔ ʃ t̪ o
গোষ্ঠী	ɡ o ʃ ʈʰ i
গোসল	ɡ o s o l
গোসল	ɡ o s u l
গোসল	ɡ o ʃ o l
গোসল	ɡ o ʃ u l
গোসাঁই	ɡ o ʃ ã i
গোস্ত	ɡ o s t̪ o
গোস্বামী	ɡ o ʃː a m i
গৌড়	ɡ o u̯ ɽ
গৌড়	ɡ o u̯ ɾ
গৌতম	ɡ o u̯ t̪ o m
গৌরব	ɡ o u̯ ɾ ɔ b
গ্যাস	ɡ æ ʃ
গ্রন্থাগার	ɡ ɾ o n t̪ʰ a ɡ a ɾ
গ্রন্থি	ɡ ɾ ɔ n t̪ʰ i
গ্রহ	ɡ ɾ o ɦ o
গ্রাম	ɡ ɾ a m
গ্রীষ্ম	ɡ ɾ i ʃː o
গ্রেপ্তার	ɡ ɾ e p t̪ a ɾ
গ্রেফতার	ɡ ɾ e f t̪ a ɾ
গ্লাস	ɡ l a ʃ
গ্লোব	ɡ l o b
ঘ	ɡʱ ɔ
ঘটনা	ɡʰ ɔ ʈ o n a
ঘড়ি	ɡʱ o ɽ i
ঘড়ি	ɡʱ o ɾ i
ঘণ্টা	ɡʱ ɔ n ʈ a
ঘর	ɡʱ ɔ ɾ
ঘষা	ɡʱ ɔ ʃ a
ঘাঁটা	ɡʰ ã ʈ ɑ
ঘাড়	ɡʱ a ɽ
ঘাড়	ɡʱ a ɾ
ঘাম	ɡʱ a m
ঘামা	ɡʱ a m a
ঘি	ɡʱ i
ঘুড়ি	ɡʱ u ɽ i
ঘুড়ি	ɡʱ u ɾ i
ঘৃণা	ɡʱ ɾ i n a
ঘেঁষা	ɡʱ æ̃ ʃ a
ঘেরা	ɡʰ e r a
ঘোঙ্গা	ɡʱ o ŋ ɡ ä
ঘোড়া	ɡʱ o ɽ a
ঘোড়া	ɡʱ o ɾ a
ঘোমটা	ɡʱ o m ʈ a
ঘোষ	ɡʱ o ʃ
ঘোষণা	ɡʱ o ʃ o n a
ঘোষাল	ɡʱ o ʃ a l
ঙ	ŋ ɔ
চ	t ʃ ɔ
চওড়া	t ʃ ɔ o̯ ɽ a
চওড়া	t ʃ ɔ o̯ ɾ a
চকলেট	t ʃ ɔ k l e ʈ
চকলেট	t ʃ ɔ k o l e ʈ
চক্র	t ʃ ɔ k ɾ o
চক্রবর্তী	t ʃ ɔ k ɾ ɔ b o ɾ t̪ i
চচ্চড়ি	t ʃ ɔ t ʃː o ɽ i
চচ্চড়ি	t ʃ ɔ t ʃː o ɾ i
চট্টগ্রাম	t ʃ ɔ ʈː o ɡ ɾ a m
চট্টোপাধ্যায়	t ʃ ɔ ʈː o p a d̪ʱː a e̯
চড়া	t ʃ ɔ ɽ a
চড়া	t ʃ ɔ ɾ a
চন্দন	t ʃ ɔ n d̪ ɔ n
চন্দ্র	t ʃ ɔ n d̪ ɾ o
চন্দ্রগ্রহণ	t ʃ ɔ n d̪ ɾ ɔ ɡ ɾ ɔ ɦ o n
চন্দ্রবিন্দু	t ʃ ɔ n d̪ ɾ o b i n d̪ u
চন্দ্রমুখী	t͡ʃ ɔ n d ɾ ɔ m u kʰ i
চব্বিশ	t ʃ o bː i ʃ
চম্পা	t ʃ ɔ m p a
চমৎকার	t ʃ ɔ m ɔ t̪ k a ɾ
চরণ	t ʃ ɔ ɾ o n
চরম	t ʃ ɔ ɾ o m
চরানো	t ʃ ɔ ɾ a n o
চর্বি	t ʃ o ɾ b i
চর্যাপদ	t ʃ ɔ ɾ d ʒ a p ɔ d̪
চলচ্চিত্র	t ʃ ɔ l o t ʃ i t̪ ɾ o
