Ⴀ	ɑ
მთას	m tʰ a s
მთაში	m tʰ a ʃ i
მთაწმინდა	m tʰ a t͡sʼ m i n d a
მთები	m tʰ e b i
მთებმა	m tʰ e b m a
მთელად	m tʰ e ɫ a d
მთელი	m tʰ e l i
მთვარე	m tʰʷ a ɾ e
მთვარედ	m tʰʷ a ɾ e d
მთვარემ	m tʰʷ a ɾ e m
მთვარეს	m tʰʷ a ɾ e s
მთვარით	m tʰʷ a ɾ i tʰ
მთვარის	m tʰʷ a ɾ i s
მთვრალი	m̥ tʰʷ ɾ ä l i
მთიანი	m tʰ i a n i
მთით	m tʰ i tʰ
მთის	m tʰ i s
მთისწინეთი	m tʰ i s t͡sʼ i n e tʰ i
მთიულეთი	m tʰ i u l e tʰ i
მთიულური	m tʰ i u ɫ u ɾ i
მთლიანად	m tʰ l i a n a d
მთლიანი	m tʰ l i a n i
მთლიანობა	m tʰ l i a n o b a
მთხვევა	m tʰ χʷ e v a
მთხრობელი	m tʰ χ ɾ o b e l i
მიაგნებს	m i a ɡ n e b s
მიამიტად	m i a m i tʼ a d
მიამიტი	m i a m i tʼ i
მიამიტობა	m i a m i tʼ o b a
მიანმარი	m i a n m a ɾ i
მიაყოლებს	m i a χʼ o l e b s
მიაყოლეთ	m i a χʼ o l e tʰ
მიახლოებით	m i a χ ɫ o e b i tʰ
მიახლოებითი	m i a χ ɫ o e b i tʰ i
მიბაძვითი	m i b a d͡zʷ i tʰ i
მიგნება	m i ɡ n e b a
მიდია	m i d i a
მიდიოდა	m i d i o d a
მიდის	m i d i s
მიდრეკილება	m i d ɾ e kʼ i l e b a
მიერ	m i e ɾ
მიესალმება	m i e s a l m e b a
მიესალმები	m i e s a l m e b i
მიექანება	m i e kʰ a n e b a
მიექანებოდნენ	m i e kʰ a n e b o d n e n
მიეყრდნობა	m i e χʼ ɾ d n o b a
მიეყრდნობით	m i e χʼ ɾ d n o b i tʰ
მივდივარ	m i v d i v a ɾ
მივდივართ	m i v d i v a ɾ tʰ
მივდიოდი	m i v d i o d i
მიველ	m i v e l
მიზანდასახულად	m i z a n d a s a χ u ɫ a d
მიზანთროპია	m i z a n tʰ ɾ o pʼ i a
მიზანი	m i z a n i
მიზანსცენა	m i z a n s t͡sʰ e n a
მიზანშეწონილად	m i z a n ʃ e t͡sʼ o n i ɫ a d
მიზეზი	m i z e z i
მიზიდულობა	m i z i d u ɫ o b a
მითამ	m i tʰ a m
მითი	m i tʰ i
მითითება	m i tʰ i tʰ e b a
მითითებამ	m i tʰ i tʰ e b a m
მითითებას	m i tʰ i tʰ e b a s
მითითებით	m i tʰ i tʰ e b i tʰ
მითითების	m i tʰ i tʰ e b i s
მითითებული	m i tʰ i tʰ e b u l i
მითოლოგი	m i tʰ o ɫ o ɡ i
მითოლოგია	m i tʰ o ɫ o ɡ i a
მითოლოგიური	m i tʰ o ɫ o ɡ i u ɾ i
მითუმეტეს	m i tʰ u m e tʼ e s
მიიღებს	m i i ʁ e b s
მიიღონ	m i i ʁ o n
მიკიტანი	m i kʼ i tʼ a n i
მიკოლოგია	m i kʼ o ɫ o ɡ i a
მიკრობი	m i kʼ ɾ o b i
მიკრობიოლოგია	m i kʼ ɾ o b i o ɫ o ɡ i a
მიკრომეტრი	m i kʼ ɾ o m e tʼ ɾ i
მიკრონეზია	m i kʼ ɾ o n e z i a
მიკრონი	m i kʼ ɾ o n i
მიკროორგანიზმი	m i kʼ ɾ o o ɾ ɡ a n i z m i
მიკროსკოპი	m i kʼ ɾ o s kʼ o pʼ i
მიკროსკოპია	m i kʼ ɾ o s kʼ o pʼ i a
მიკროსკოპულად	m i kʼ ɾ o s kʼ o pʼ u ɫ a d
მიკროსკოპული	m i kʼ ɾ o s kʼ o pʼ u l i
მიკროტალღა	m i kʼ ɾ o tʼ a l ʁ a
მიკროფონი	m i kʼ ɾ o pʰ o n i
მილაკი	m i ɫ a kʼ i
მილანი	m i ɫ a n i
მილედი	m i l e d i
მილიგრამი	m i l i ɡ ɾ a m i
მილიონერი	m i l i o n e ɾ i
მილიონი	m i l i o n i
მილიტარიზმი	m i l i tʼ a ɾ i z m i
მილიტარისტი	m i l i tʼ a ɾ i s tʼ i
მილიცია	m i l i t͡sʰ i a
მილორდი	m i ɫ o ɾ d i
მილსადენი	m i l s a d e n i
მიმართ	m i m a ɾ tʰ
მიმართულება	m i m a ɾ tʰ u l e b a
მიმატება	m i m a tʼ e b a
მიმბაძველად	m i m b a d͡zʷ e ɫ a d
მიმდევარი	m i m d e v a ɾ i
მიმდინარე	m i m d i n a ɾ e
მიმერი	m i m e ɾ i
მიმზიდველად	m i m z i dʷ e ɫ a d
მიმზიდველი	m i m z i dʷ e l i
მიმზიდველობა	m i m z i dʷ e ɫ o b a
მიმი	m i m i
მიმინო	m i m i n o
მიმოზა	m i m o z a
მიმოხილვა	m i m o χ i lʷ a
მიმოხილვით	m i m o χ i lʷ i tʰ
მიმოხილვითი	m i m o χ i lʷ i tʰ i
მიმღეობა	m i m ʁ e o b a
მიმხრობა	m i m χ ɾ o b a
მინა	m i n a
მინანქარი	m i n a n kʰ a ɾ i
მინაშვილი	m i n a ʃʷ i l i
მინახავს	m i n a χ a f s
მინდა	m i n d a
მინდვრად	m i n dʷ ɾ a d
მინდია	m i n d i a
მინდორი	m i n d o ɾ i
მინერალი	m i n e ɾ a l i
მინერალოგი	m i n e ɾ a ɫ o ɡ i
მინერალოგია	m i n e ɾ a ɫ o ɡ i a
მინერალური	m i n e ɾ a ɫ u ɾ i
მინესოტა	m i n e s o tʼ a
მინეტი	m i n e tʼ i
მინიატურა	m i n i a tʼ u ɾ a
მინიატურისტი	m i n i a tʼ u ɾ i s tʼ i
მინიმალურად	m i n i m a ɫ u ɾ a d
მინიმალური	m i n i m a ɫ u ɾ i
მინიმუმი	m i n i m u m i
მინისებრი	m i n i s e b ɾ i
მინისტრი	m i n i s tʼ ɾ i
მინისტრულად	m i n i s tʼ ɾ u ɫ a d
მინისტრული	m i n i s tʼ ɾ u l i
მინიშნება	m i n i ʃ n e b a
მინორი	m i n o ɾ i
მინორული	m i n o ɾ u l i
მინოტავრი	m i n o tʼ a v ɾ i
მინსკი	m i n s kʼ i
მინუსი	m i n u s i
მირანდა	m i ɾ a n d a
მირაჟი	m i ɾ a ʒ i
მირეკა	m i ɾ e kʼ a
მირიადი	m i ɾ i a d i
მირიამი	m i ɾ i a m i
მირონმდინარე	m i ɾ o n m d i n a ɾ e
მირონცხება	m i ɾ o n t͡sʰ χ e b a
მირტი	m i ɾ tʼ i
მის	m i s
მისალმება	m i s a l m e b a
მისანი	m i s a n i
მისატევებლად	m i s a tʼ e v e b ɫ a d
მისაქციელი	m i s a kʰ t͡sʰ i e l i
მისაღებად	m i s a ʁ e b a d
მისაწვდომობა	m i s a t͡sʼʷ d o m o b a
მისვლა	m i sʷ ɫ a
მისი	m i s i
მისია	m i s i a
მისიონერი	m i s i o n e ɾ i
მისნობა	m i s n o b a
მისტერია	m i s tʼ e ɾ i a
მისტიკა	m i s tʼ i kʼ a
მისტიფიკაცია	m i s tʼ i pʰ i kʼ a t͡sʰ i a
მისტიციზმი	m i s tʼ i t͡sʰ i z m i
მისცემს	m i s t͡sʰ e m s
მისცეს	m i s t͡sʰ e s
მიტევება	m i tʼ e v e b a
მიტინგი	m i tʼ i n ɡ i
მიტკალი	m i tʼ kʼ a l i
მიტრა	m i tʼ ɾ a
მიტროპოლიტი	m i tʼ ɾ o pʼ o l i tʼ i
მიუახლოვდა	m i u a χ ɫ o v d a
მიუახლოვდება	m i u a χ ɫ o v d e b a
მიუდგომლად	m i u d ɡ o m ɫ a d
მიუდგომლობა	m i u d ɡ o m ɫ o b a
მიუნხენი	m i u n χ e n i
მიუტევებლად	m i u tʼ e v e b ɫ a d
მიუღწევლად	m i u ʁ t͡sʼ e v ɫ a d
მიუხედავად	m i u χ e d a v a d
მიქსერი	m i kʰ s e ɾ i
მიქსტურა	m i kʰ s tʼ u ɾ a
მიქცევა	m i kʰ t͡sʰ e v a
მიღება	m i ʁ e b a
მიღებული	m i ʁ e b u l i
მიღმა	m i ʁ m a
მიღწევა	m i ʁ t͡sʼ e v a
მიღწევადი	m i ʁ t͡sʼ e v a d i
მიყვარხარ	m i χʼʷ a ɾ χ a ɾ
მიყოლებით	m i χʼ o l e b i tʰ
მიყურებ	m i χʼ u ɾ e b
მიშა	m i ʃ a
მიშად	m i ʃ a d
მიშამ	m i ʃ a m
მიშას	m i ʃ a s
მიშელი	m i ʃ e l i
მიშის	m i ʃ i s
მიშკოლცი	m i ʃ kʼ o l t͡sʰ i
მიჩიგანი	m i t͡ʃʰ i ɡ a n i
მიცემა	m i t͡sʰ e m a
მიცემითი	m i t͡sʰ e m i tʰ i
მიძღვნა	m i d͡z ʁʷ n a
მიწა	m i t͡sʼ a
მიწავაშლა	m i t͡sʼ a v a ʃ ɫ a
მიწათმოქმედება	m i t͡sʼ a tʰ m o kʰ m e d e b a
მიწათმოქმედი	m i t͡sʼ a tʰ m o kʰ m e d i
მიწათმოწყობა	m i t͡sʼ a tʰ m o t͡sʼ χʼ o b a
მიწაყრილი	m i t͡sʼ a χʼ ɾ i l i
მიწერა	m i t͡sʼ e ɾ a
მიწერილობა	m i t͡sʼ e ɾ i ɫ o b a
მიწიერი	m i t͡sʼ i e ɾ i
მიწისზედა	m i t͡sʼ i s z e d a
მიწისმთხრელი	m i t͡sʼ i s m tʰ χ ɾ e l i
მიწისფერი	m i t͡sʼ i s pʰ e ɾ i
მიწისქვეშა	m i t͡sʼ i s kʰʷ e ʃ a
მიწისძვრა	m i t͡sʼ i s d͡zʷ ɾ a
მიწურული	m i t͡sʼ u ɾ u l i
მიწყივ	m i t͡sʼ χʼ i v
მიხაკი	m i χ a kʼ i
მიხარია	m i χ a ɾ i a
მიხედვა	m i χ e dʷ a
მიხედვით	m i χ e dʷ i tʰ
მიხეილ	m i χ e i l
მიხეილი	m i χ e i l i
მიხვედრილობა	m i χʷ e d ɾ i ɫ o b a
მიჯნური	m i d͡ʒ n u ɾ i
მიჰყავს	m i h χʼ a f s
მკაფიო	m kʼ a pʰ i o
მკაფიოდ	m kʼ a pʰ i o d
მკაცრად	m kʼ a t͡sʰ ɾ a d
მკაცრი	m kʼ a t͡sʰ ɾ i
მკერდამდე	m kʼ e ɾ d a m d e
მკერდი	m kʼ e ɾ d i
მკვახე	m̥ kʼʷ a x ɛ
მკვდარი	m̥ kʼʷ d ä ɾ i
მკვეთრად	m kʼʷ e tʰ ɾ a d
მკვეთრი	m kʼʷ e tʰ ɾ i
მკვეხარა	m kʼʷ e χ a ɾ a
მკვიდრი	m kʼʷ i d ɾ i
მკვირცხლად	m kʼʷ i ɾ t͡sʰ χ ɫ a d
მკვირცხლი	m kʼʷ i ɾ t͡sʰ χ l i
მკვლევარი	m kʼʷ l e v a ɾ i
მკვლელი	m̥ kʼʷ l e̞ l i
მკვლელობა	m kʼʷ l e ɫ o b a
მკვრივად	m kʼʷ ɾ i v a d
მკვრივი	m kʼʷ ɾ i v i
მკიდია	m kʼ i d i a
მკითხველი	m kʼ i tʰ χʷ e l i
მკლავი	m kʼ ɫ a v i
მკლავჭიდი	m kʼ ɫ a f t͡ʃʼ i d i
მკრეხელობა	m kʼ ɾ e χ e ɫ o b a
მკრეხელურად	m kʼ ɾ e χ e ɫ u ɾ a d
მკრთალად	m kʼ ɾ tʰ a ɫ a d
მკრთალი	m kʼ ɾ tʰ a l i
მკურნალი	m kʼ u ɾ n a l i
მკურნალობა	m kʼ u ɾ n a ɫ o b a
მლაშე	m ɫ a ʃ e
მლაშობი	m ɫ a ʃ o b i
მლიქვნელობა	m l i kʰʷ n e ɫ o b a
მლიქვნელური	m l i kʰʷ n e ɫ u ɾ i
მლოცვარე	m ɫ o t͡sʰʷ a ɾ e
მმართველი	m m a ɾ tʰʷ e l i
მმართველობა	m m a ɾ tʰʷ e ɫ o b a
მმართველობამ	m m a ɾ tʰʷ e ɫ o b a m
მმართველობას	m m a ɾ tʰʷ e ɫ o b a s
მმართველობის	m m a ɾ tʰʷ e ɫ o b i s
მნათე	m n a tʰ e
მნათობი	m n a tʰ o b i
მნემონიკა	m n e m o n i kʼ a
მნემონიკური	m n e m o n i kʼ u ɾ i
მნიშვნელობა	m n i ʃʷ n e ɫ o b a
მნიშვნელოვანი	m n i ʃʷ n e ɫ o v a n i
მნიშვნელოვნად	m n i ʃʷ n e ɫ o v n a d
მოაგონდება	m o a ɡ o n d e b a
მოაზროვნე	m o a z ɾ o v n e
მოასულიერებს	m o a s u l i e ɾ e b s
მოახლე	m o a χ l e
მოაჯირებიანი	m o a d͡ʒ i ɾ e b i a n i
მოაჯირი	m o a d͡ʒ i ɾ i
მობილიზაცია	m o b i l i z a t͡sʰ i a
მობილური	m o b i ɫ u ɾ i
მობილურობა	m o b i ɫ u ɾ o b a
მობოდიშებით	m o b o d i ʃ e b i tʰ
მოგება	m o ɡ e b a
მოგების	m o ɡ e b i s
მოგეწონე	m o ɡ e t͡sʼ o n e
მოგვი	m o ɡʷ i
მოგვიანებით	m o ɡʷ i a n e b i tʰ
მოგზაური	m o ɡ z a u ɾ i
მოგზაურობა	m o ɡ z a u ɾ o b a
მოგზაურობს	m o ɡ z a u ɾ o b s
მოგრძო	m o ɡ ɾ d͡z o
მოდა	m o d a
მოდალობა	m o d a ɫ o b a
მოდგმა	m o d ɡ m a
მოდელი	m o d e l i
მოდერატორი	m o d e ɾ a tʼ o ɾ i
მოდერი	m o d e ɾ i
მოდერნიზაცია	m o d e ɾ n i z a t͡sʰ i a
მოდერნიზმი	m o d e ɾ n i z m i
მოდერნისტი	m o d e ɾ n i s tʼ i
მოდერნისტული	m o d e ɾ n i s tʼ u l i
მოდი	m o d i
მოდიდო	m o d i d o
მოდიოდა	m o d i o d a
მოდის	m o d i s
მოდულაცია	m o d u ɫ a t͡sʰ i a
მოდული	m o d u l i
მოდუნებულად	m o d u n e b u ɫ a d
მოდუნებულობა	m o d u n e b u ɫ o b a
მოდურად	m o d u ɾ a d
მოდური	m o d u ɾ i
მოდურობა	m o d u ɾ o b a
მოედანი	m o e d a n i
მოენატრება	m o e n a tʼ ɾ e b a
მოვა	m o v a
მოვალეობა	m o v a l e o b a
მოვარდისფრო	m o v a ɾ d i s pʰ ɾ o
მოვი	m o v i
მოვიდა	m o v i d a
მოვილაპარაკებთ	m o v i ɫ a pʼ a ɾ a kʼ e b tʰ
მოვლენა	m o v l e n a
მოვლის	m o v l i s
მოზაიკა	m o z a i kʼ a
მოზაიკური	m o z a i kʼ u ɾ i
მოზამბიკი	m o z a m b i kʼ i
მოზვერი	m o zʷ e ɾ i
მოთეთრო	m o tʰ e tʰ ɾ o
მოთენთილობა	m o tʰ e n tʰ i ɫ o b a
მოთმინება	m o tʰ m i n e b a
მოთმინებით	m o tʰ m i n e b i tʰ
მოთხოვნა	m o tʰ χ o v n a
მოთხრობა	m o tʰ χ ɾ o b a
მოთხრობითი	m o tʰ χ ɾ o b i tʰ i
მოიგეთ	m o i ɡ e tʰ
მოითხოვეთ	m o i tʰ χ o v e tʰ
მოითხოვს	m o i tʰ χ o f s
მოიისფრო	m o i i s pʰ ɾ o
მოისმენს	m o i s m e n s
მოიცა	m o i t͡sʰ a
მოიცადე	m o i t͡sʰ a d e
მოიჯარე	m o i d͡ʒ a ɾ e
მოკავშირე	m o kʼ a f ʃ i ɾ e
მოკაზმულობა	m o kʼ a z m u ɫ o b a
მოკასინი	m o kʼ a s i n i
მოკაშკაშე	m o kʼ a ʃ kʼ a ʃ e
მოკეტე	m o kʼ e tʼ e
მოკვალთული	m o kʼʷ a l tʰ u l i
მოკვლა	m o kʼʷ ɫ a
მოკირვა	m o kʼ i ɾʷ a
მოკლავს	m o kʼ ɫ a f s
მოკლე	m o kʼ l e
მოკლედ	m o kʼ l e d
მოკლევადიანი	m o kʼ l e v a d i a n i
მოკრივე	m o kʼ ɾ i v e
მოკრძალება	m o kʼ ɾ d͡z a l e b a
მოკრძალებულად	m o kʼ ɾ d͡z a l e b u ɫ a d
მოლაპარაკება	m o ɫ a pʼ a ɾ a kʼ e b a
მოლარე	m o ɫ a ɾ e
მოლარები	m o ɫ a ɾ e b i
მოლარი	m o ɫ a ɾ i
მოლაღური	m o ɫ a ʁ u ɾ i
მოლაყბე	m o ɫ a χʼ b e
მოლბერტი	m o l b e ɾ tʼ i
მოლდოვა	m o l d o v a
მოლეკულა	m o l e kʼ u ɫ a
მოლეკულური	m o l e kʼ u ɫ u ɾ i
მოლიბდენი	m o l i b d e n i
მოლოდინი	m o ɫ o d i n i
მოლოქა	m o ɫ o kʰ a
მოლურჯე	m o ɫ u ɾ d͡ʒ e
მოლურჯო	m o ɫ u ɾ d͡ʒ o
მოლუსკი	m o ɫ u s kʼ i
მოლხენილად	m o l χ e n i ɫ a d
მომაბეზრებელი	m o m a b e z ɾ e b e l i
მომაბეზრებლად	m o m a b e z ɾ e b ɫ a d
მომავალი	m o m a v a l i
მომავალში	m o m a v a l ʃ i
მომაკვდინებლად	m o m a kʼʷ d i n e b ɫ a d
მომართავს	m o m a ɾ tʰ a f s
მომაღლო	m o m a ʁ ɫ o
მომგებიანად	m o m ɡ e b i a n a d
მომგებიანი	m o m ɡ e b i a n i
მომდევნო	m o m d e v n o
მომენატრე	m o m e n a tʼ ɾ e
მომენატრებით	m o m e n a tʼ ɾ e b i tʰ
მომენტალური	m o m e n tʼ a ɫ u ɾ i
მომენტი	m o m e n tʼ i
მომთაბარე	m o m tʰ a b a ɾ e
მომთაბარეობა	m o m tʰ a b a ɾ e o b a
მომიჯნავედ	m o m i d͡ʒ n a v e d
მომლაშო	m o m ɫ a ʃ o
მომლოდინედ	m o m ɫ o d i n e d
მომჟავო	m o m ʒ a v o
მომრგვალო	m o m ɾ ɡʷ a ɫ o
მომღერალი	m o m ʁ e ɾ a l i
მომჩივანი	m o m t͡ʃʰ i v a n i
მომწამლავად	m o m t͡sʼ a m ɫ a v a d
მომწარო	m o m t͡sʼ a ɾ o
მომწვანო	m o m t͡sʼʷ a n o
მომწონს	m o m t͡sʼ o n s
მომჭირნე	m o m t͡ʃʼ i ɾ n e
მომჭირნედ	m o m t͡ʃʼ i ɾ n e d
მომჭირნეობა	m o m t͡ʃʼ i ɾ n e o b a
მომხიბვლელი	m o m χ i bʷ l e l i
მომხიბლავად	m o m χ i b ɫ a v a d
მომხიბლავი	m o m χ i b ɫ a v i
მომხიბლაობა	m o m χ i b ɫ a o b a
მომხიბლველად	m o m χ i b lʷ e ɫ a d
მომხმარებელი	m o m χ m a ɾ e b e l i
მომხმარებლებს	m o m χ m a ɾ e b l e b s
მონა	m o n a
მონადირე	m o n a d i ɾ e
მონაზონი	m o n a z o n i
მონათესავე	m o n a tʰ e s a v e
მონათმფლობელობა	m o n a tʰ m pʰ ɫ o b e ɫ o b a
მონაკო	m o n a kʼ o
მონანიებით	m o n a n i e b i tʰ
მონარინჯისფრო	m o n a ɾ i n d͡ʒ i s pʰ ɾ o
მონარქი	m o n a ɾ kʰ i
მონარქია	m o n a ɾ kʰ i a
მონარქიზმი	m o n a ɾ kʰ i z m i
მონარქისტი	m o n a ɾ kʰ i s tʼ i
მონარქიული	m o n a ɾ kʰ i u l i
მონასტერი	m o n a s tʼ e ɾ i
მონასტრული	m o n a s tʼ ɾ u l i
მონაცემები	m o n a t͡sʰ e m e b i
მონაცვლეობა	m o n a t͡sʰʷ l e o b a
მონაცრისფრო	m o n a t͡sʰ ɾ i s pʰ ɾ o
მონეტა	m o n e tʼ a
მონიკა	m o n i kʼ a
მონიტორი	m o n i tʼ o ɾ i
მონობა	m o n o b a
მონოგამია	m o n o ɡ a m i a
მონოგრამა	m o n o ɡ ɾ a m a
მონოგრაფია	m o n o ɡ ɾ a pʰ i a
მონოთეიზმი	m o n o tʰ e i z m i
მონოთეისტი	m o n o tʰ e i s tʼ i
მონოთეისტური	m o n o tʰ e i s tʼ u ɾ i
მონოკლი	m o n o kʼ l i
მონოლითი	m o n o l i tʰ i
მონოლითური	m o n o l i tʰ u ɾ i
მონოლოგი	m o n o ɫ o ɡ i
მონომანია	m o n o m a n i a
მონოპლანი	m o n o pʼ ɫ a n i
მონოპოლია	m o n o pʼ o l i a
მონოპოლისტი	m o n o pʼ o l i s tʼ i
მონოპოლისტური	m o n o pʼ o l i s tʼ u ɾ i
მონოტონურად	m o n o tʼ o n u ɾ a d
მონოტონური	m o n o tʼ o n u ɾ i
მონოტონურობა	m o n o tʼ o n u ɾ o b a
მონრეალი	m o n ɾ e a l i
მონტაჟი	m o n tʼ a ʒ i
მონტენეგრო	m o n tʼ e n e ɡ ɾ o
მონტიორი	m o n tʼ i o ɾ i
მონუმენტი	m o n u m e n tʼ i
მონუმენტური	m o n u m e n tʼ u ɾ i
მონურად	m o n u ɾ a d
მონური	m o n u ɾ i
მონღოლეთი	m o n ʁ o l e tʰ i
მონღოლი	m o n ʁ o l i
მონღოლური	m o n ʁ o ɫ u ɾ i
მორალი	m o ɾ a l i
მორალისტი	m o ɾ a l i s tʼ i
მორალისტური	m o ɾ a l i s tʼ u ɾ i
მორალურად	m o ɾ a ɫ u ɾ a d
მორატორიუმი	m o ɾ a tʼ o ɾ i u m i
მორგანატული	m o ɾ ɡ a n a tʼ u l i
მორგვი	m o ɾ ɡʷ i
მორგი	m o ɾ ɡ i
მორევი	m o ɾ e v i
მორთულობა	m o ɾ tʰ u ɫ o b a
მორი	m o ɾ i
მორიდებულად	m o ɾ i d e b u ɫ a d
მორიდებულობა	m o ɾ i d e b u ɫ o b a
მორიელი	m o ɾ i e l i
მორისი	m o ɾ i s i
მორმონები	m o ɾ m o n e b i
მორუხო	m o ɾ u χ o
მორფემა	m o ɾ pʰ e m a
მორფემული	m o ɾ pʰ e m u l i
მორფი	m o ɾ pʰ i
მორფოლოგია	m o ɾ pʰ o ɫ o ɡ i a
მორფოლოგიურად	m o ɾ pʰ o ɫ o ɡ i u ɾ a d
მორფოლოგიური	m o ɾ pʰ o ɫ o ɡ i u ɾ i
მორჩი	m o ɾ t͡ʃʰ i
მორჩილად	m o ɾ t͡ʃʰ i ɫ a d
მორჩილაძე	m o ɾ t͡ʃʰ i ɫ a d͡z e
მორჩილობა	m o ɾ t͡ʃʰ i ɫ o b a
მორცხვად	m o ɾ t͡sʰ χʷ a d
მორცხვი	m o ɾ t͡sʰ χʷ i
მორცხვობა	m o ɾ t͡sʰ χʷ o b a
მორწმუნე	m o ɾ t͡sʼ m u n e
მოსავალი	m o s a v a l i
მოსამართლე	m o s a m a ɾ tʰ l e
მოსამსახურე	m o s a m s a χ u ɾ e
მოსაჩვენებლად	m o s a t͡ʃʰʷ e n e b ɫ a d
მოსაწყენად	m o s a t͡sʼ χʼ e n a d
მოსახლე	m o s a χ l e
მოსახლეობად	m o s a χ l e o b a d
მოსახლეობამ	m o s a χ l e o b a m
მოსახლეობას	m o s a χ l e o b a s
მოსახლეობით	m o s a χ l e o b i tʰ
მოსახლეობის	m o s a χ l e o b i s
მოსვლა	m o sʷ ɫ a
მოსთხოვს	m o s tʰ χ o f s
მოსიყვარულე	m o s i χʼʷ a ɾ u l e
მოსკოვად	m o s kʼ o v a d
მოსკოვი	m o s kʼ o v i
მოსკოვით	m o s kʼ o v i tʰ
მოსკოვის	m o s kʼ o v i s
მოსკოვმა	m o s kʼ o v m a
მოსკოვს	m o s kʼ o f s
მოსპობს	m o s pʼ o b s
მოსულელო	m o s u l e ɫ o
მოსულელოდ	m o s u l e ɫ o d
მოსულიერება	m o s u l i e ɾ e b a
მოსწავლე	m o s t͡sʼ a v l e
მოსწონს	m o s t͡sʼ o n s
მოტეხილობა	m o tʼ e χ i ɫ o b a
მოტივაცია	m o tʼ i v a t͡sʰ i a
მოტივი	m o tʼ i v i
მოტკბო	m o tʼ kʼ b o
მოტოციკლეტი	m o tʼ o t͡sʰ i kʼ l e tʼ i
მოტოციკლი	m o tʼ o t͡sʰ i kʼ l i
მოტყნული	m o tʼ χʼ n u l i
მოტყუებით	m o tʼ χʼ u e b i tʰ
მოუახლოვდება	m o u a χ ɫ o v d e b a
მოუბარი	m o u b a ɾ i
მოუთმენლად	m o u tʰ m e n ɫ a d
მოუთმენლობა	m o u tʰ m e n ɫ o b a
მოულოდნელად	m o u ɫ o d n e ɫ a d
მოულოდნელობა	m o u ɫ o d n e ɫ o b a
მოუნანიებლად	m o u n a n i e b ɫ a d
მოურიდებლად	m o u ɾ i d e b ɫ a d
მოურიდებლობა	m o u ɾ i d e b ɫ o b a
მოუსვენრად	m o u sʷ e n ɾ a d
მოუსვენრობა	m o u sʷ e n ɾ o b a
მოუფიქრებლად	m o u pʰ i kʰ ɾ e b ɫ a d
მოუქნელად	m o u kʰ n e ɫ a d
მოუქნელობა	m o u kʰ n e ɫ o b a
მოუწესრიგებელი	m o u t͡sʼ e s ɾ i ɡ e b e l i
მოუხერხებლად	m o u χ e ɾ χ e b ɫ a d
მოუხეშო	m o u χ e ʃ o
მოფარიკავე	m o pʰ a ɾ i kʼ a v e
მოფერება	m o pʰ e ɾ e b a
მოფორთოხლისფრო	m o pʰ o ɾ tʰ o χ l i s pʰ ɾ o
მოქალაქე	m o kʰ a ɫ a kʰ e
მოქალაქეობა	m o kʰ a ɫ a kʰ e o b a
მოქანდაკე	m o kʰ a n d a kʼ e
მოქლონი	m o kʰ ɫ o n i
მოქმედება	m o kʰ m e d e b a
მოქმედებითი	m o kʰ m e d e b i tʰ i
მოქმედი	m o kʰ m e d i
მოქნილად	m o kʰ n i ɫ a d
მოქნილი	m o kʰ n i l i
მოქნილობა	m o kʰ n i ɫ o b a
მოქცევა	m o kʰ t͡sʰ e v a
მოღალატე	m o ʁ a ɫ a tʼ e
მოღალატეობა	m o ʁ a ɫ a tʼ e o b a
მოღალატურად	m o ʁ a ɫ a tʼ u ɾ a d
მოღალატური	m o ʁ a ɫ a tʼ u ɾ i
მოღვაწე	m o ʁʷ a t͡sʼ e
მოღვაწეობა	m o ʁʷ a t͡sʼ e o b a
მოღრეცილად	m o ʁ ɾ e t͡sʰ i ɫ a d
მოღუშულად	m o ʁ u ʃ u ɫ a d
მოღუშული	m o ʁ u ʃ u l i
მოყავისფრო	m o χʼ a v i s pʰ ɾ o
მოყვარე	m o χʼʷ a ɾ e
მოყვარული	m o χʼʷ a ɾ u l i
მოყვითალო	m o χʼʷ i tʰ a ɫ o
მოშავო	m o ʃ a v o
მოშლა	m o ʃ ɫ a
მოშლის	m o ʃ l i s
მოშნი	m o ʃ n i
მოშორებით	m o ʃ o ɾ e b i tʰ
მოჩვენებითად	m o t͡ʃʰʷ e n e b i tʰ a d
მოჩვენებითი	m o t͡ʃʰʷ e n e b i tʰ i
მოცალეობა	m o t͡sʰ a l e o b a
მოცვისფერი	m o t͡sʰʷ i s pʰ e ɾ i
მოციგურავე	m o t͡sʰ i ɡ u ɾ a v e
მოციმციმე	m o t͡sʰ i m t͡sʰ i m e
მოცისფრო	m o t͡sʰ i s pʰ ɾ o
მოციქული	m o t͡sʰ i kʰ u l i
მოცულობა	m o t͡sʰ u ɫ o b a
მოცურავე	m o t͡sʰ u ɾ a v e
მოცხარი	m o t͡sʰ χ a ɾ i
მოძველო	m o d͡zʷ e ɫ o
მოძრაობა	m o d͡z ɾ a o b a
მოძღვარი	m o d͡z ʁʷ a ɾ i
მოძღვრები	m o d͡z ʁʷ ɾ e b i
მოწამე	m o t͡sʼ a m e
მოწამეობა	m o t͡sʼ a m e o b a
მოწაფე	m o t͡sʼ a pʰ e
მოწევა	m o t͡sʼ e v a
მოწითალო	m o t͡sʼ i tʰ a ɫ o
მოწინავე	m o t͡sʼ i n a v e
მოწიფულობა	m o t͡sʼ i pʰ u ɫ o b a
