'is	ə s
verloor	f ə r l ʊ ə r
vermaak	f ə r m ɑː k
verminder	f ə r m ə n d ə r
verpas	f ə r p a s
verras	f ə r a s
verrot	f ə r ɔ t
vers	f ɛ r s
versaak	f ə r s ɑː k
versekering	f ə r s ɪ ə̯ k ə r ə ŋ
versie	f ɛ r s i
versigtig	f ə r s ə χ t ə χ
versin	f ə r s ə n
verskeep	f ə r s k ɪ ə̯ p
verskiet	f ə r s k i t
verslaan	f ə r s l ɑː n
versleg	f ə r s l ɛ χ
verspil	f ə r s p ə l
verstaan	f ə r s t ɑː n
versuip	f ə r s œ i̯ p
verte	f ɛ r t ə
vertoonvenster	f ə r t ʊ ə n f ɛ n s t ə r
vertrek	f ə r t r ɛ k
verveling	f ə r f ɪ ə̯ l ə ŋ
verwaarloos	f ə r v ɑː r l ʊ ə̯ s
verwant	f ə r v ɑ n t
verwoes	f ə r v u s
verwoesting	f ə r v u s t ə ŋ
verwyder	f ə r v ə i̯ ə r
verwysing	f ə r ʋ ə i̯ s ə ŋ
vesel	v ɪ ə̯ s ə l
veselperske	v ɪ ə̯ s ə l p ɛ r s k ə
veteraanmotor	f ɪ ə̯ t ə r ɑː n m ʊ ə̯ t ə r
vi'	f ə
vind	f ə n t
vinger	f ə ŋ ə r
vink	f ə ŋ k
viool	f i ʊ ə̯ l
vir	f ə r
virrie	f ə r i
vis	f ə s
visarend	f ə s ɑː r ə n t
visse	f ə s ə
visser	f ə s ə r
vlak	f l a k
vlakte	f l a k t ə
vlam	f l a m
vleg	f l ɛ χ
vleis	f l ə i s
vlerk	f l ɛ r k
vlieg	f l i χ
vliegtuig	f l i χ t œ i̯ χ
vliegveld	f l iː χ f ɛ l t
vlinder	f l ə n d ə r
vloei	f l u i
vloeistof	f l u i s t ɔ f
vloer	f l u r
vloot	f l ʊ ə̯ t
vlootblou	f l ʊ ə̯ t b l œ u
vlugteling	f l œ χ t ə l ə ŋ
voeding	v u d ə ŋ
voedingstof	v u d ə ŋ s t ɔ f
voedsaam	f u t s ɑː m
voedsaamheid	f u t s ɑː m ɦ ə i̯ t
voedsel	f u t s ə l
voedselgewas	v u t s ə l χ ə v a s
voer	f uː r
voetangel	f u t a ŋ ə l
voetstap	f u t s t a p
vokaal	f ʊ ə̯ k ɑː l
vol	f ɔ l
volg	f ɔ l χ
volharding	f ɔ l ɦ a r d ə ŋ
volk	f ɔ l k
volkslied	f ɔ l k s l i t
volle	f ɔ l ə
volledig	f ɔ l e d ə χ
volste	f ɔ l s t ə
volstruis	f ɔ l s t r œ i̯ s
vonk	f ɔ ŋ k
vonkprop	f ɔ ŋ k p r ɔ p
voor	f ʊ ə̯ r
voorbeeld	f ʊ ə̯ r b ɪ ə̯ l t
voorbok	f ʊ ə̯ r b ɔ k
voordeur	f ʊ ə̯ r d ɪ ø r
voorgereg	f oː r χ ə r ɛ χ
voorkom	f ʊ ə r k ɔ m
voorouer	v ʊ ə̯ r œ u̯ ə r
voorskoot	f ʊ ə r s k ʊ ə t
voortbrengsel	f ʊ ə̯ r t b r ɛ ŋ s ə l
vorm	f ɔ r m
vos	f ɔ s
voël	f oː ə l
voël	f ʊ ə̯ l
vra	f r ɑː
vraag	f r ɑː χ
vrae	f r ɑː ə
vrank	f r ɑ ŋ k
vrede	f r ɪ ə̯ d ə
vreemd	f r ɪ ə m t
vreemdeling	f r ɪ ə̯ m d ə l ə ŋ
vrees	f r ɪ ə s
vreet	f r ɪ ə t
vriendin	v r i n d ə n
vrot	f r ɔ t
vrou	f r œ u̯
vrug	f r œ χ
vrugteskommel	f r œ χ t ə s k ɔ m ə l
vuis	f œ i s
vuiste	f œ i s t ə
vulkaan	v œ l k ɑː n
vullis	f œ l ə s
vullis	f ə l ə s
vullisdrom	f œ l ə s d r ɔ m
vulstasie	f œ l s t ɑː s i
vuur	f y r
vuurblusser	f y r b l œ s ə r
vuurhout	f y r ɦ œ u̯ t
vuurhoutjie	f y r œ u̯ k i
vuurhoutjie	f y r ɦ œ u̯ k i
vuurkleur	f yː r k l ɪ ø r
vuurklip	f yː r k l ə p
vuurtoring	f y r t ʊ ə̯ r ə ŋ
vuurwerk	f y r v ɛ r k
vy	f ə i
vyand	f ə i̯ a n t
vyandig	f ə i̯ a n d ə χ
vyeboom	f ə i̯ ə b u ə̯ m
vyg	f ə i̯ χ
vygie	f ə i̯ χ i
wa	v ɑː
waagmoedig	v ɑː χ m u d ə χ
waar	v ɑː r
waarnatoe	v ɑː r n a t u
waatlemoen	v ɑ t l ə m u n
waatlemoen	v ɑː t l ə m u n
waens	v ɑː ə n s
wag	v a χ
walvis	v a l f ə s
wandelpad	v a n d ə l p a t
want	v a n t
wantroue	v a n t r œ u̯ ə
wantrouig	v a n t r œ u̯ ə χ
warmte	v a r m t ə
wartlemoen	v ɑ r t l ə m u n
wasbak	v a s b a k
wat	v a t
water	v aː t ə r
waterlemoen	v ɑː t ə r l ə m u n
waterstof	v ɑː t ə r s t ɔ f
waterstofbom	v ɑː t ə r s t ɔ f b ɔ m
waterval	v ɑː t ə r f a l
watter	v a t ə r
waëns	v ɑː ə n s
wedloop	v ɛ t l ʊ ə̯ p
weemoed	v ɪ ə̯ m u t
weergawe	v ɪ ə̯ r χ ɑː v ə
weerstand	v ɪ ə̯ r s t a n t
wees	v i ə s
weet	v ɪ ə t
weg	v ɛ χ
weggaan	v ɛ χ ɑː n
weggooi	v ɛ χ χ oː i̯
wen	v ɛ n
wenteltrap	v ɛ n t ə l t r a p
werk	ʋ ɛː r k
werkersklas	v ɛ r k ə r k l a s
werksaam	v ɛ r k s ɑː m
werkwoord	v ɛ r k v ʊ ə̯ r t
wese	v ɪ ə s ə
weswaarts	v ɛ s v ɑː r t s
wet	v ɛ t
wetenskap	v ɪ ə̯ t ə n s k a p
wetgewing	v ɛ t χ ɪ ə̯ v ə ŋ
wetstoepasser	v ɛ t s t u p a s ə r
wewenaar	v i ə̯ v ə n ɑː r
wies	v i s
wiet	v i t
wig	v ə χ
wil	v ə l
wild	v ə l t
wildebees	v ə l d ə b ɪ ə s
wildtuin	v ə l t œ i̯ n
wilg	v ə l χ
wind	v ə n t
winkel	v ə ŋ k ə l
winkelsentrum	v ə ŋ k ə l s ɛ n t r œ m
winter	v ə n t ə r
wisselkoers	v ə s ə l k uː r s
wit	v ə t
witman	v ə t m a n
wolk	v ɔ l k
wonder	v ɔ n d ə r
wonder	v ɔ n ə r
wonderlik	v ɔ n d ə r l ə k
woonstel	v ʊ ə̯ n s t ɛ l
woord	v ʊ ə r t
woordeboek	v u ə̯ r d ə b u k
woordeboeke	v u ə̯ r d ə b u k ə
word	v ɔ r t
wors	v ɔ r s
worshond	v ɔː r s ɦ ɔ n t
wrak	v r a k
wrang	v r ɑ ŋ
wurg	v œ r χ
wy	v ə i
wyd	v ə i̯ t
wyn	v ə i̯ n
wynruit	v ə i̯ n r œ i̯ t
wysheid	v ə i̯ s ɦ ə i̯ t
wêreld	v ɛː r ə l t
wîe	v əː ə
ysig	ə i̯ s ə χ
yslik	ə i̯ s l ə k
yster	ə i s t ə r
ystervark	ə i̯ s t ə r f a r k
yt	ə i̯ t
ytie	ə i̯ t i
