aba	a b a
miešok	m i̯ e ʃ o k
mih	m i x
mihmi	m i ɦ m i
mihom	m i ɦ o m
mihu	m i ɦ u
mihy	m i ɦ i
mikrometer	m i k r o m e t e r
mikrosekunda	m i k r o s e k u n d a
milénium	m i l eː n i̯ u m
mincovňa	m i n t͡s o v ɲ a
minnesota	m i n e s o t a
mississippi	m i s i s i p i
missouri	m i s u r i
missouri	m i z u r i
mitochondria	m i t o x o n d r i̯ a
mjanmarsko	m j a n m a r s k o
mláto	m l aː t o
mlč	m l̩ t͡ʃ
mních	m ɲ iː x
mnohouholník	m n o ɦ o u ɦ o l n iː k
môcť	m u̯ o t͡s c
modrák	m ɔ d r aː k
modráky	m ɔ d r aː k i
mokrí	m o k r iː
mokrý	m o k r iː
moldavčan	m o l d a v t͡ʃ a n
moldavčanka	m o l d a v t͡ʃ a n k a
mongolsko	m o n ɡ o l s k o
montana	m o n t a n a
montevideo	m o n t e v i d e o
montreal	m o n t r e a l
morbidita	m o r b i d i t a
most	m o s t
mozambik	m o z a m b i k
močiar	m o t͡ʃ i̯ a r
močový	m o t͡ʃ o v iː
mravčí	m r a v t͡ʃ iː
mrkvička	m r̩ k v i t͡ʃ k a
mrzák	m r̩ z aː k
mŕľ	m r̩ː ʎ
mrľa	m r ʎ a
mucha	m u x a
muchám	m u x aː m
mucholapka	m u x o l a p k a
muchou	m u x o u
muchu	m u x u
muchy	m u x i
múdra	m uː d r a
múdri	m uː d r i
múdru	m uː d r u
mumifikovať	m u m i f i k o v a c
munícia	m u n iː t͡s i̯ a
múroch	m uː r o x
mučenie	m u t͡ʃ e n i̯ e
mušiek	m u ʃ i̯ e k
muškám	m u ʃ k aː m
muške	m u ʃ k e
mušku	m u ʃ k u
mušky	m u ʃ k i
muž	m u ʃ
mykológia	m i k o l oː ɡ i̯ a
mytológia	m i t o l oː ɡ i̯ a
mňa	m ɲ a
mňaukať	m ɲ a u k a c
naberačka	n a b e r a t͡ʃ k a
nabíjačka	n a b iː j a t͡ʃ k a
nadojčiť	n a d o j t͡ʃ i c
nádor	n aː d o r
náhla	n aː ɦ l a
náhle	n aː ɦ l e
náhli	n aː ɦ l i
náhliť	n aː ɦ l i c
náhly	n aː ɦ l i
náhrada	n aː ɦ r a d a
nahú	n a ɦ uː
nahum	n a ɦ u m
nairobi	n a j r o b i
nakladateľstvo	n a k l a d a t e ʎ s t v o
namíbia	n a m iː b i̯ a
nános	n aː n o s
nápadný	n aː p a d n iː
náprotivok	n aː p r o t i v o k
náprstok	n aː p r̩ s t o k
narodenie	n a r o d e n i̯ e
nataša	n a t a ʃ a
náušnica	n aː u ʃ n i t͡s a
návnada	n aː v n a d a
nebraska	n e b r a s k a
nehoda	n e ɦ o d a
nemá	n e m aː
nemé	n e m eː
nemej	n e m e j
nemí	n e m iː
nemoc	n e m o t͡s
nemocnica	n e m o t͡s n i t͡s a
nemú	n e m uː
nenápadný	n e n aː p a d n iː
nenávisť	n e n aː v i s c
neofašizmus	n e o f a ʃ i z m u s
nepál	n e p aː l
neplodnosť	n e p l o d n o s c
neplodný	n e p l o d n iː
nepravda	n e p r a v d a
nepriateľka	n e p r i̯ a t e ʎ k a
nepriateľský	n e p r i̯ a t e ʎ s k iː
nerovnosť	n e r o v n o s c
nevada	n e v a d a
nevoľa	n e v o ʎ a
nevôľa	n e v u̯ o ʎ a
nevďak	n e v ɟ a k
nevďačnosť	n e v ɟ a t͡ʃ n o s c
nezábudka	ɲ e z aː b u t k a
niamey	n i̯ a m e
nigéria	n i ɡ eː r i̯ a
nikózia	n i k oː z i̯ a
ním	n iː m
ním	n iː m
nitroglycerín	n i t r o ɡ l i t͡s e r iː n
niť	n i c
nohách	n o ɦ aː x
nohám	n o ɦ aː m
nohami	n o ɦ a m i
nohe	n o ɦ e
nohou	n o ɦ o u
nohu	n o ɦ u
nohy	n o ɦ i
nos	n o s
nosmi	n o s m i
nosoch	n o s o x
novovek	n o v o v e k
novozélanďan	n o v o z eː l a n ɟ a n
novozélanďanka	n o v o z eː l a n ɟ a n k a
nozdra	n o z d r a
nočník	n o t͡ʃ n iː k
nožnice	n o ʒ n i t͡s e
ô	u̯ o
ô	u̯ o
oáza	o aː z a
objať	o b j a c
oblasť	o b l a s c
obojživelník	o b o j ʒ i v e l n iː k
obrad	o b r a t
obratník	o b r a t n iː k
obriezka	o b r i̯ e z k a
obrna	o b r n a
obsidián	o b s i d i aː n
občan	o b t͡ʃ a n
občianka	o b t͡ʃ i̯ a n k a
oca	o t͡s a
ocami	o t͡s a m i
oceľ	o t͡s e ʎ
ococh	o t͡s o x
ocom	o t͡s o m
ocot	o t͡s o t
ocov	o t͡s o f
ocovi	o t͡s o v i
odev	o d e f
odpor	o d p o r
odporný	o d p o r n iː
odvaha	o d v a ɦ a
odvážnosť	o d v aː ʒ n o s c
odvážny	o d v aː ʒ n i
ohio	o ɦ i o
ohne	o ɦ n e
ohni	o ɦ n i
ohorok	o ɦ o r o k
ohňa	o ɦ ɲ a
ohňami	o ɦ ɲ a m i
ohňoch	o ɦ ɲ o x
ohňom	o ɦ ɲ o m
ohňov	o ɦ ɲ o f
ohňu	o ɦ ɲ u
ôk	u̯ o k
oka	o k a
oká	o k aː
okách	o k aː x
okám	o k aː m
okami	o k a m i
oklahoma	o k l a ɦ o m a
okolo	o k o l o
okom	o k o m
okruhliak	o k r u ɦ l i̯ a k
oku	o k u
olomouc	o l o m o u t͡s
olomoucký	o l o m o u t͡s k iː
oman	o m a n
omán	o m aː n
omanom	o m a n o m
omáčka	o m aː t͡ʃ k a
ondrejka	o n d r e j k a
ondrejko	o n d r e j k o
ondrus	o n d r u s
ondrusek	o n d r u s e k
ondruš	o n d r u ʃ
ondrušek	o n d r u ʃ e k
ondruška	o n d r u ʃ k a
ondruško	o n d r u ʃ k o
ontológia	o n t o l oː ɡ i̯ a
opíc	o p iː t͡s
opice	o p i t͡s e
ópium	oː p i j u m
opiť	o p i c
oravec	o r a v e t͡s
orať	o r a c
orchidea	o r x i d e a
orech	o r e x
organizmus	o r ɡ a n i z m u s
orlami	o r l a m i
orloch	o r l o x
orlom	o r l o m
ortuť	o r t u c
ôs	u̯ o s
osám	o s aː m
osem	o s e m
osemnásť	o s e m n aː s c
osiel	o s i̯ e l
osikáč	ɔ s i k aː t͡ʃ
oslách	o s l aː x
oslám	o s l aː m
oslami	o s l a m i
oslava	o s l a v a
oslavný	o s l a v n iː
osle	o s l e
oslo	o s l o
oslou	o s l o u
oslu	o s l u
osly	o s l i
ôsmy	u̯ o s m i
osýpky	o s iː p k i
otca	o t t͡s a
otcom	o t t͡s o m
otcovi	o t t͡s o v i
otcu	o t t͡s u
ouagadougou	u a ɡ a d u ɡ u
ovad	o v a t
ovcami	o v t͡s a m i
ovcu	o v t͡s u
ovdovieť	o v d o v i̯ e c
ozvať	o z v a c
ozvena	o z v e n a
očami	o t͡ʃ a m i
očenáš	o t͡ʃ e n aː ʃ
oči	o t͡ʃ i
očí	o t͡ʃ iː
očú	o t͡ʃ uː
ošetriť	o ʃ e t r i c
páchateľ	p aː x a t e ʎ
páde	p aː d e
pádmi	p aː d m i
pádoch	p aː d o x
pádom	p aː d o m
pádov	p aː d o f
pádu	p aː d u
pády	p aː d i
pakistan	p a k i s t a n
pakľúč	p a k ʎ uː t͡ʃ
paleontológia	p a l e o n t o l oː ɡ i̯ a
palina	p a l i n a
palivo	p a l i v o
palka	p a l k a
palko	p a l k o
pána	p aː n a
panama	p a n a m a
pandémia	p a n d eː m i̯ a
panien	p a n i̯ e n
pannách	p a n aː x
panne	p a n e
pánsky	p aː n s k i
papagáj	p a p a ɡ aː j
parabola	p a r a b o l a
paraguaj	p a r a ɡ u a j
paris	p a r i s
partnerstvo	p a r t n e r s t v o
pasienok	p a s i̯ e n o k
pasta	p a s t a
pastvina	p a s t v i n a
pásť	p aː s c
pätnásť	p ɛ ɐ̯ t n aː s c
patogénnosť	p a t o ɡ eː n o s c
patriotizmus	p a t r i o t i z m u s
paveda	p a v e d a
páčidlo	p aː t͡ʃ i d l o
pašek	p a ʃ e k
paška	p a ʃ k a
paško	p a ʃ k o
päť	p ɛ ɐ̯ c
paža	p a ʒ a
paže	p a ʒ e
paži	p a ʒ i
paží	p a ʒ iː
pažítka	p a ʒ iː t k a
pažiť	p a ʒ i c
pažou	p a ʒ o u
pažu	p a ʒ u
pchjongjang	p x j o n k j a n k
pehách	p e ɦ aː x
pehám	p e ɦ aː m
pehami	p e ɦ a m i
pehou	p e ɦ o u
pehu	p e ɦ u
pehy	p e ɦ i
peking	p e k i n k
pekná	p e k n aː
pekne	p e k n e
pekné	p e k n eː
penis	p e n i s
percento	p e r t͡s e n t o
perga	p e r ɡ a
pero	p e r o
persefona	p e r s e f o n a
peru	p e r u
pesimizmus	p e s i m i z m u s
petra	p e t r a
pečiarka	p e t͡ʃ i̯ a r k a
peľ	p e ʎ
piat	p i̯ a t
piata	p i̯ a t a
piate	p i̯ a t e
piatej	p i̯ a t e j
piatemu	p i̯ a t e m u
piati	p i̯ a t i
piatu	p i̯ a t u
piaty	p i̯ a t i
piaď	p i̯ a c
piecť	p i̯ e t͡s c
pieh	p i̯ e x
pieskovec	p i̯ e s k o v e t͡s
piest	p i̯ e s t
pil	p i l
pila	p i l a
píla	p iː l a
pingpong	p i n k p o n k
pizza	p i t͡s a
píč	p iː t͡ʃ
piča	p i t͡ʃ a
pičami	p i t͡ʃ a m i
piče	p i t͡ʃ e
piči	p i t͡ʃ i
pičí	p i t͡ʃ iː
pičou	p i t͡ʃ o u
piču	p i t͡ʃ u
pištoľ	p i ʃ t o ʎ
placenta	p l a t͡s e n t a
plachú	p l a x uː
placka	p l a t͡s k a
planú	p l a n uː
plast	p l a s t
plást	p l aː s t
platom	p l a t o m
plavka	p l aː u̯ k a
plazma	p l a z m a
plch	p l̩ x
plechovka	p l e x o v k a
pleva	p l e v a
plienka	p l i̯ e n k a
plodnosť	p l o d n o s c
plodný	p l o d n iː
plomba	p l o m b a
plsť	p l̩ s c
pluh	p l u x
plyn	p l i n
plť	p l̩ c
pĺž	p l̩ː ʃ
pobrežie	p o b r e ʒ i̯ e
pôda	p u̯ o d a
podgorica	p o d ɡ o r i t͡s a
podkova	p o d k o v a
pôdorys	p u̯ o d o r i s
podrážka	p o d r aː ʒ k a
podvodníctvo	p o d v o d n iː t͡s t v o
poézia	p o eː z i̯ a
pohára	p o ɦ aː r a
poháre	p o ɦ aː r e
poklad	p o k l a t
pokrok	p o k r o k
pokročilý	p o k r o t͡ʃ i l iː
pokrytec	p o k r i t e t͡s
polemika	p o l e m i k a
polemizovať	p o l e m i z o v a c
poli	p o l i
polí	p o l iː
polia	p o l i̯ a
poliach	p o l i̯ a x
poliak	p o l i̯ a k
poliam	p o l i̯ a m
poliami	p o l i̯ a m i
polievka	p o l i̯ e v k a
polke	p o l k e
polmesiac	p o l m e s i̯ a t͡s
polnoc	p o l n o t͡s
poloboh	p o l o b o x
pologuľa	p o l o ɡ u ʎ a
polygón	p o l i ɡ oː n
polynok	p o l i n o k
popičovka	p o p i t͡ʃ o v k a
popkorn	p o p k o r n
popola	p o p o l a
popole	p o p o l e
popolmi	p o p o l m i
popolník	p o p o l n iː k
popoloch	p o p o l o x
popolom	p o p o l o m
popolov	p o p o l o f
popolu	p o p o l u
popoly	p o p o l i
poprava	p o p r a v a
populizmus	p o p u l i z m u s
pôrod	p u̯ o r o t
portugalčan	p o r t u ɡ a l t͡ʃ a n
portugalčanka	p o r t u ɡ a l t͡ʃ a n k a
posol	p o s o l
posúvať	p o s uː v a c
potrat	p o t r a t
potvora	p o t v o r a
povodeň	p o v o d e ɲ
povolenie	p o v o l e n i̯ e
pozdech	p o z d e x
pozitrón	p o z i t r oː n
pozornosť	p o z o r n o s c
počítadlo	p o t͡ʃ iː t a d l o
počítač	p o t͡ʃ iː t a t͡ʃ
počítať	p o t͡ʃ iː t a c
poľa	p o ʎ a
poľami	p o ʎ a m i
poľnohospodár	p o ʎ n o ɦ o s p o d aː r
poľný	p o ʎ n iː
poľom	p o ʎ o m
poľu	p o ʎ u
pošva	p o ʃ v a
požívateľný	p o ʒ iː v a t e ʎ n iː
prababa	p r a b a b a
prah	p r a x
prahmi	p r a ɦ m i
prahoch	p r a ɦ o x
prahom	p r a ɦ o m
prahov	p r a ɦ o f
prahu	p r a ɦ u
prahy	p r a ɦ i
praia	p r a i̯ a
prak	p r a k
prakmi	p r a k m i
prakoch	p r a k o x
prakom	p r a k o m
prakov	p r a k o f
praky	p r a k i
prameň	p r a m e ɲ
pravek	p r a v e k
pravítko	p r a v iː t k o
prd	p r̩ t
prebudiť	p r e b u d i c
prebúdzať	p r e b uː d͡z a c
predeliť	p r e d e l i c
predlžovačka	p r e d l̩ ʒ o v a t͡ʃ k a
predpovedať	p r e d p o v e d a c
predsudok	p r e d s u d o k
predvídateľnosť	p r e d v iː d a t e ʎ n o s c
prekážka	p r e k aː ʒ k a
prenasledovať	p r e n a s l e d o v a c
prerobiť	p r e r o b i c
pretória	p r e t oː r i̯ a
prečo	p r e t͡ʃ o
pŕhľava	p r̩ː ɦ ʎ a v a
pŕhľaviar	p r̩ː ɦ ʎ a v i̯ a r
priblíženie	p r i b l iː ʒ e n i̯ e
prievan	p r i̯ e v a n
prievidza	p r i̯ e v i d͡z a
priezor	p r i̯ e z o r
príhoda	p r iː ɦ o d a
príhodný	p r iː ɦ o d n iː
prilba	p r i l b a
príležitosť	p r iː l e ʒ i t o s c
priorita	p r i o r i t a
prístav	p r iː s t a f
prítok	p r iː t o k
príves	p r iː v e s
prívesok	p r iː v e s o k
prízemie	p r iː z e m i̯ e
príčetnosť	p r iː t͡ʃ e t n o s c
priština	p r i ʃ t i n a
producent	p r o d u t͡s e n t
profík	p r o f iː k
proletariát	p r o l e t a r i aː t
prosím	p r o s iː m
proso	p r o s o
prostata	p r o s t a t a
protilátka	p r o t i l aː t k a
protón	p r o t oː n
prozaickosť	p r o z a i t͡s k o s c
pŕs	p r̩ː s
prst	p r̩ s t
prstoklad	p r̩ s t o k l a t
prsť	p r̩ s c
prúd	p r uː t
pružina	p r u ʒ i n a
pružný	p r u ʒ n iː
prvomučeník	p r̩ v o m u t͡ʃ e n iː k
prvý	p r̩ v iː
psi	p s i
psoch	p s o x
psov	p s o f
pupienok	p u p i̯ e n o k
pupok	p u p o k
puritán	p u r i t aː n
purizmus	p u r i z m u s
pytliak	p i t l i̯ a k
pňami	p ɲ a m i
pňoch	p ɲ o x
pňom	p ɲ o m
pňov	p ɲ o f
pňu	p ɲ u
quebec	k v i b e k
québec	k e b e k
quito	k i t o
rabat	r a b a t
radla	r a d l a
radlami	r a d l a m i
radlo	r a d l o
radlom	r a d l o m
radlu	r a d l u
radžastan	r a d͡ʒ a s t a n
rádžasthán	r aː d͡ʒ a s t ɦ aː n
rak	r a k
rakmi	r a k m i
rakoch	r a k o x
rakov	r a k o f
rakovan	r a k o v a n
ránhojič	r aː n ɦ o j i t͡ʃ
rasizmus	r a s i z m u s
rásť	r aː s c
raz	r a s
ráze	r aː z e
rázom	r aː z o m
rašelina	r a ʃ e l i n a
rebrách	r e b r aː x
rebrám	r e b r aː m
rebrami	r e b r a m i
registrovaný	r e ɡ i s t r o v a n iː
repica	r e p i t͡s a
respirácia	r e s p i r aː t͡s i̯ a
reykjavík	r e j k j a v iː k
rezák	r e z aː k
rezanec	r e z a n e t͡s
rezať	r e z a c
rezivo	r e z i v o
rešetár	r e ʃ e t aː r
režisér	r e ʒ i s eː r
režisérka	r e ʒ i s eː r k a
riasa	r i̯ a s a
riazaň	r i̯ a z a ɲ
riga	r i ɡ a
riha	r i ɦ a
rite	r i t e
ritiam	r i t i̯ a m
rišo	r i ʃ o
rob	r o p
robí	r o b iː
robiac	r o b i̯ a t͡s
robil	r o b i l
robila	r o b i l a
robilo	r o b i l o
robím	r o b iː m
robíme	r o b iː m e
robíte	r o b iː t e
robíš	r o b iː ʃ
robiť	r o b i c
rojalizmus	r o j a l i z m u s
rojek	r o j e k
rojka	r o j k a
rojko	r o j k o
roman	r o m a n
rosa	r o s a
rosa	r o s a
rosina	r o s i n a
rovnodennosť	r o v n o d e n o s c
rovnosť	r o v n o s c
rozdelenie	r o z d e l e n i̯ e
rozkoš	r o z k o ʃ
rozkrok	r o z k r o k
rozmanitosť	r o z m a n i t o s c
rozmanitý	r o z m a n i t iː
rozmazaný	r o z m a z a n iː
rozmazať	r o z m a z a c
rozvinutý	r o z v i n u t iː
rozšafný	r o z ʃ a f n iː
rúd	r uː t
rudám	r u d aː m
rudu	r u d u
rúhať	r uː ɦ a c
rúk	r uː k
ruke	r u k e
rukojemník	r u k o j e m n iː k
ruky	r u k i
rusko	r u s k o
rusnak	r u s n a k
rusnák	r u s n aː k
ručne	r u t͡ʃ n e
ružomberok	r u ʒ o m b e r o k
rýb	r iː p
rybách	r i b aː x
rybám	r i b aː m
rybe	r i b e
rybou	r i b o u
rybu	r i b u
ryby	r i b i
rýdzik	r iː d͡z i k
rýdzosť	r iː d͡z o s c
ryha	r i ɦ a
rýle	r iː l e
rýli	r iː l i
rys	r i s
ryska	r i s k a
rýľ	r iː ʎ
rýľa	r iː ʎ a
rýľmi	r iː ʎ m i
rýľoch	r iː ʎ o x
rýľom	r iː ʎ o m
rýľov	r iː ʎ o f
rýľu	r iː ʎ u
ryš	r i ʃ
ryť	r i c
sad	s a t
sade	s a d e
sadoch	s a d o x
sadov	s a d o f
sadra	s a d r a
sadza	s a d͡z a
samoderžavie	s a m o d e r ʒ a v i̯ e
samohláska	s a m o ɦ l aː s k a
samolepka	s a m o l e p k a
samuel	s a m u e l
sánky	s aː n k i
santiago	s a n t i j a ɡ o
sarajevo	s a r a j e v o
satan	s a t a n
satan	s a t a n
satén	s a t eː n
savá	s a v aː
savé	s a v eː
savej	s a v e j
saví	s a v iː
savom	s a v o m
savou	s a v o u
savú	s a v uː
savý	s a v iː
saxofón	s a k s o f oː n
saxofonista	s a k s o f o n i s t a
saxofonistka	s a k s o f o n i s t k a
scenárista	s t͡s e n aː r i s t a
sebecký	s e b e t͡s k iː
sebestačnosť	s e b e s t a t͡ʃ n o s c
sedem	s e ɟ e m
sedemnásť	s e ɟ e m n aː s c
sedmokráska	s e d m o k r aː s k a
seizmológia	s e i z m o l oː ɡ i̯ a
sekať	s e k a c
semafor	s e m a f o r
semenník	s e m e n iː k
sene	s e n e
senegalčan	s e n e ɡ a l t͡ʃ a n
senegalčanka	s e n e ɡ a l t͡ʃ a n k a
senom	s e n o m
seriál	s e r i aː l
sever	s e v e r
sexuológ	s e k s u o l oː k
sexuologička	s e k s u o l o ɡ i t͡ʃ k a
shetland	ʃ e t l e n t
si	s i
siať	s i̯ a c
sídlisko	s iː d l i s k o
siedmy	s i̯ e d m i
siete	s i̯ e t e
sieti	s i̯ e t i
sietí	s i̯ e t iː
sieň	s i̯ e ɲ
sieť	s i̯ e c
sih	s i x
singapur	s i n ɡ a p u r
singapurčan	s i n ɡ a p u r t͡ʃ a n
singapurčanka	s i n ɡ a p u r t͡ʃ a n k a
sitár	s i t aː r
sitina	s i t i n a
sito	s i t o
sivý	s i v iː
skleník	s k l e n iː k
sklz	s k l̩ s
skopje	s k o p j e
skoro	s k o r o
skočiť	s k o t͡ʃ i c
skrz	s k r̩ s
slabika	s l a b i k a
slabina	s l a b i n a
slabosť	s l a b o s c
slad	s l a t
sladovka	s l a d o v k a
slávik	s l aː v i k
slepo	s l e p o
slezina	s l e z i n a
slina	s l i n a
sliva	s l i v a
sliz	s l i s
sliziak	s l i z i̯ a k
sliznica	s l i z n i t͡s a
slíž	s l iː ʃ
sĺnc	s l̩ː n t͡s
sĺnk	s l̩ː n k
slnovrat	s l n o v r a t
slobodomurárstvo	s l o b o d o m u r aː r s t v o
sloja	s l o j a
sloje	s l o j e
sloji	s l o j i
slojmi	s l o j m i
slojoch	s l o j o x
slojom	s l o j o m
slojov	s l o j o f
sloju	s l o j u
slonej	s l o n e j
slonia	s l o n i̯ a
slonie	s l o n i̯ e
sloniu	s l o n i̯ u
slovensko	s l o v e n s k o
sluchom	s l u x o m
služba	s l u ʒ b a
sĺz	s l̩ː s
slza	s l̩ z a
smažiť	s m a ʒ i c
smelosť	s m e l o s c
smelý	s m e l iː
smilniť	s m i l n i c
smrek	s m r e k
smršť	s m r̩ ʃ c
smrť	s m r̩ c
smutný	s m u t n iː
smútok	s m uː t o k
sneh	s ɲ e x
snehom	s ɲ e ɦ o m
snehu	s ɲ e ɦ u
snehuliak	s n e ɦ u l i̯ a k
soche	s o x e
sociológia	s o t͡s i o l oː ɡ i̯ a
sofia	s o f i̯ a
solidárnosť	s o l i d aː r n o s c
sólista	s oː l i s t a
sólistka	s oː l i s t k a
sombrero	s o m b r e r o
sonet	s o n e t
soul	s o u l
sove	s o v e
spájkovačka	s p aː j k o v a t͡ʃ k a
spálenisko	s p aː l e n i s k o
spermobanka	s p e r m o b a n k a
spiac	s p i̯ a t͡s
spoločenstvo	s p o l o t͡ʃ e n s t v o
spoluhláska	s p o l u ɦ l aː s k a
spolupáchateľ	s p o l u p aː x a t e ʎ
spolužiak	s p o l u ʒ i̯ a k
spontánnosť	s p o n t aː n o s c
správanie	s p r aː v a n i̯ e
spravodlivosť	s p r a v o d l i v o s c
spŕch	s p r̩ː x
sranie	s r a n i̯ e
sračka	s r a t͡ʃ k a
srb	s r̩ p
srbčina	s r̩ b t͡ʃ i n a
sŕdc	s r̩ː t͡s
srdce	s r̩ t t͡s e
sŕn	s r̩ː n
srsť	s r̩ s c
stádo	s t aː d o
stárež	s t aː r e ʃ
starovek	s t a r o v e k
stavec	s t a v e t͡s
stavovec	s t a v o v e t͡s
stať	s t a c
stebiel	s t e b i̯ e l
stebla	s t e b l a
steblá	s t e b l aː
steblo	s t e b l o
steblu	s t e b l u
stĺcť	s t l̩ː t͡s c
stĺp	s t l̩ː p
sto	s t o
stodola	s t o d o l a
stôk	s t u̯ o k
stoka	s t o k a
stokách	s t o k aː x
stokami	s t o k a m i
stokár	s t o k aː r
stokári	s t o k aː r i
stokárka	s t o k aː r k a
stoke	s t o k e
stokou	s t o k o u
stoku	s t o k u
stoky	s t o k i
stotisíci	s t o t i s iː t͡s i
strák	s t r aː k
straka	s t r a k a
stranách	s t r a n aː x
stranám	s t r a n aː m
stranami	s t r a n a m i
stranu	s t r a n u
strany	s t r a n i
streche	s t r e x e
strechou	s t r e x o u
strechu	s t r e x u
strechy	s t r e x i
stredovek	s t r e d o v e k
strelec	s t r e l e t͡s
strelivo	s t r e l i v o
striech	s t r i̯ e x
strieľať	s t r i̯ e ʎ a c
strk	s t r̩ k
strúhadlo	s t r uː ɦ a d l o
strúhať	s t r uː ɦ a c
strč	s t r̩ t͡ʃ
strž	s t r̩ ʃ
studňa	s t u d ɲ a
stvorenie	s t v o r e n i̯ e
stvoriť	s t v o r i c
sudán	s u d aː n
súdiť	s uː d i c
sudlica	s u d l i t͡s a
sumec	s u m e t͡s
surrealizmus	s u r e a l i z m u s
súčasník	s uː t͡ʃ a s n iː k
sval	s v a l
svale	s v a l e
svalmi	s v a l m i
svaloch	s v a l o x
svalom	s v a l o m
svalov	s f a l o f
svalu	s v a l u
svaly	s v a l i
svätá	s v ɛ ɐ̯ t aː
sväté	s v ɛ ɐ̯ t eː
svätí	s v ɛ ɐ̯ t iː
svätú	s v ɛ ɐ̯ t uː
sveter	s v e t e r
svíb	s v iː p
svietiť	s v i̯ e t i c
sviňa	s v i ɲ a
sylogizmus	s i l o ɡ i z m u s
syn	s i n
sýpka	s iː p k a
syra	s i r a
syre	s i r e
syrmi	s i r m i
syroch	s i r o x
syrom	s i r o m
syrov	s i r o f
syru	s i r u
syry	s i r i
sčítanie	s t͡ʃ iː t a n i̯ e
sľúbiť	s ʎ uː b i c
sťažeň	s c a ʒ e ɲ
tajomstvo	t a j o m s t v o
takže	t a k ʒ e
tallinn	t a l i n
tamariška	t a m a r i ʃ k a
tamilnádu	t a m i l n aː d u
tanečnica	t a ɲ e t͡s ɲ i t͡s a
tanzánia	t a n z aː n i̯ a
tatiana	t a t i̯ a n a
tautológia	t a u t o l oː ɡ i̯ a
taškent	t a ʃ k e n t
tbilisi	t b i l i s i
tchor	t x o r
teba	t e b a
tegucigalpa	t e ɡ u t͡s i ɡ a l p a
teherán	t e ɦ e r aː n
tehotenstvo	t e ɦ o t e n s t v o
telefonovať	t e l e f o n o v a c
temena	t e m e n a
temená	t e m e n aː
temene	t e m e n e
temeno	t e m e n o
temenu	t e m e n u
temer	t e m e r
temien	t e m i̯ e n
tenkí	t e n k iː
tenkú	t e n k uː
teológia	t e o l oː ɡ i̯ a
teoretik	t e o r e t i k
teória	t e oː r i̯ a
teplú	t e p l uː
tepna	t e p n a
teritórium	t e r i t oː r i̯ u m
terorizmus	t e r o r i z m u s
tetách	t e t aː x
tetám	t e t aː m
tetami	t e t a m i
tete	t e t e
tetovanie	t e t o v a n i̯ e
tetragón	t e t r a ɡ oː n
tetu	t e t u
tety	t e t i
thajsko	t ɦ a j s k o
tichú	t i x uː
tiecť	c i̯ e t͡s c
tiene	t i̯ e n e
tieni	t i̯ e n i
tiet	t i̯ e t
tieňa	t i̯ e ɲ a
tieňoch	t i̯ e ɲ o x
tieňom	t i̯ e ɲ o m
tieňu	t i̯ e ɲ u
tikať	t i k a c
tirana	t i r a n a
tisíc	c i s iː t͡s
tisíci	c i s iː t͡s i
tisícina	t i s iː t͡s i n a
tisícročie	t i s iː t͡s r o t͡ʃ i̯ e
tĺcť	t l̩ː t͡s c
tĺk	t l̩ː k
topoľ	t o p o ʎ
toronto	t o r o n t o
továreň	t o v aː r e ɲ
tradicionalizmus	t r a d i t͡s i o n a l i z m u s
trajektória	t r a j e k t oː r i̯ a
traktorista	t r a k t o r i s t a
trampolína	t r a m p o l iː n a
trávnik	t r aː v n i k
tretí	t r e c i
trh	t r̩ x
tri	t r i
tridsať	t r i t͡s a c
triezvosť	t r i̯ e z v o s c
trinásť	t r i n aː s c
triolet	t r i o l e t
tripolis	t r i p o l i s
trnava	t r n a v a
trs	t r̩ s
trsť	t r̩ s c
tŕň	t r̩ː ɲ
túh	t uː x
túha	t uː ɦ a
túhe	t uː ɦ e
tuhí	t u ɦ iː
túhou	t uː ɦ o u
tuhú	t u ɦ uː
túhu	t uː ɦ u
túhy	t uː ɦ i
tukmi	t u k m i
tukoch	t u k o x
tukom	t u k o m
tukov	t u k o f
tulipán	t u l i p aː n
tunis	t u n i s
tunisko	t u n i s k o
turban	t u r b a n
turkménsko	t u r k m eː n s k o
turmi	t u r m i
turoch	t u r o x
turom	t u r o m
turov	t u r o f
tury	t u r i
tvoj	t v o j
tvrdohlavosť	t v r̩ d o ɦ l a v o s c
tvŕdz	t v r̩ː t͡s
tykadlo	t i k a d l o
týl	t iː l
tyla	t i l a
tylá	t i l aː
tylami	t i l a m i
tyle	t i l e
tylo	t i l o
tylom	t i l o m
tylu	t i l u
typografia	t i p o ɡ r a f i̯ a
tyrkys	t i r k i s
úch	uː x
ucha	u x a
uchá	u x aː
uchách	u x aː x
uchám	u x aː m
uchami	u x a m i
uchom	u x o m
uchu	u x u
uganda	u ɡ a n d a
uganďan	u ɡ a n ɟ a n
uganďanka	u ɡ a n ɟ a n k a
uhla	u ɦ l a
uhlami	u ɦ l a m i
uhle	u ɦ l e
uhlie	u ɦ l i̯ e
uhloch	u ɦ l o x
uhlom	u ɦ l o m
uhlov	u ɦ l o f
uhlu	u ɦ l u
uhor	u ɦ o r
uja	u j a
ujca	u j t͡s a
ujcoch	u j t͡s o x
ujcom	u j t͡s o m
ujcov	u j t͡s o f
ujcovi	u j t͡s o v i
ujoch	u j o x
ujom	u j o m
ujov	u j o f
ujovi	u j o v i
