㒒	p ɔ k̚ ⁴
梗	k i ɪ ŋ ³ ³
梗	k i ɪ ŋ ⁴ ¹
梗	k ẽ ⁴ ¹
梗塞	k i ɪ ŋ ³ ³ ⁻ ² ¹ s i ɪ k̚ ³ ²
條	l i a u ² ³
條	t i a u ² ³
條件	t i a u ² ³ ⁻ ³ ³ k i ã ³ ³
條例	t i a u ² ³ ⁻ ³ ³ l e ³ ³
條文	t i a u ² ³ ⁻ ³ ³ b u n ² ³
條款	t i a u ² ³ ⁻ ³ ³ kʰ u a n ⁴ ¹
條理	t i a u ² ³ ⁻ ³ ³ l i ⁴ ¹
條目	t i a u ² ³ ⁻ ³ ³ b a k̚ ⁴
條直	t i a u ² ³ ⁻ ³ ³ t i t̚ ⁴
條碼	t i a u ² ³ ⁻ ³ ³ b e ⁴ ¹
條約	t i a u ² ³ ⁻ ³ ³ i ɔ k̚ ³ ²
條紋	t i a u ² ³ ⁻ ³ ³ b u n ² ³
條規	t i a u ² ³ ⁻ ³ ³ k u i ⁴ ⁴
梟	h i a u ⁴ ⁴
梢	s a u ⁴ ⁴
梢	s i a u ⁴ ⁴
梧	ŋ ɔ̃ ² ³
梧	ɡ ɔ ² ³
梧桐	ŋ ɔ̃ ² ³ ⁻ ³ ³ t ɔ ŋ ² ³
梧桐	ɡ ɔ ² ³ ⁻ ³ ³ t ɔ ŋ ² ³
梧棲	ɡ ɔ ² ³ ⁻ ³ ³ t͡sʰ e ⁴ ⁴
梨	l a i ² ³
梨	l e ² ³
梨仔	l a i ² ³ ⁻ ³ ³ a ⁴ ¹
梨山	l e ² ³ ⁻ ³ ³ s a n ⁴ ⁴
梨泰院	l e ² ³ ⁻ ³ ³ tʰ a i ² ¹ ⁻ ⁴ ¹ ĩ ³ ³
梭	s ɤ ⁴ ⁴
梯	tʰ e ⁴ ⁴
梯	tʰ u i ⁴ ⁴
梯次	tʰ e ⁴ ⁴ ⁻ ³ ³ t͡sʰ u ² ¹
械	h a i ² ³
械	h a i ³ ³
械鬥	h a i ² ³ ⁻ ³ ³ t a u ² ¹
械鬥	h a i ² ³ ⁻ ³ ³ t ɔ ² ¹
梳	s e ⁴ ⁴
梳妝	s e ⁴ ⁴ ⁻ ³ ³ t͡s ŋ̍ ⁴ ⁴
梳妝臺	s e ⁴ ⁴ ⁻ ³ ³ t͡s ŋ̍ ⁴ ⁴ ⁻ ³ ³ t a i ² ³
梳頭	s e ⁴ ⁴ ⁻ ³ ³ tʰ a u ² ³
梵	h u a n ³ ³
梵文	h u a n ³ ³ ⁻ ² ¹ b u n ² ³
梵語	h u a n ³ ³ ⁻ ² ¹ ɡ i ⁴ ¹
梵谷	h u a n ² ³ ⁻ ³ ³ k ɔ k̚ ³ ²
棄	kʰ i ² ¹
棄世	kʰ i ² ¹ ⁻ ⁴ ¹ s e ² ¹
棄嫌	kʰ i ² ¹ ⁻ ⁴ ¹ h i a m ² ³
棄嬰	kʰ i ² ¹ ⁻ ⁴ ¹ i ɪ ŋ ⁴ ⁴
棄權	kʰ i ⁴ ¹ ⁻ ⁴ ⁴ k u a n ² ³
棄權	kʰ i ⁴ ¹ ⁻ ⁴ ⁴ kʰ u a n ² ³
棄絕	kʰ i ² ¹ ⁻ ⁴ ¹ t͡s u a t̚ ⁴
棉	b i ɛ n ² ³
棉	m ĩ ² ³
棉仔	m ĩ ² ³ ⁻ ³ ³ a ⁴ ¹
棉布	m ĩ ² ³ ⁻ ³ ³ p ɔ ² ¹
棉紗	m ĩ ² ³ ⁻ ³ ³ s e ⁴ ⁴
棉絲糖	m ĩ ² ³ ⁻ ³ ³ s i ⁴ ⁴ ⁻ ³ ³ tʰ ŋ̍ ² ³
棉胎	m ĩ ² ³ ⁻ ³ ³ tʰ a i ⁴ ⁴
棉花	m ĩ ² ³ ⁻ ³ ³ h u e ⁴ ⁴
棉衫	m ĩ ² ³ ⁻ ³ ³ s ã ⁴ ⁴
棉被	m ĩ ² ³ ⁻ ³ ³ pʰ u e ³ ³
棉裘	m ĩ ² ³ ⁻ ³ ³ h i u ² ³
棉襀	m ĩ ² ³ ⁻ ³ ³ t͡s i ɤ ʔ ³ ²
棉襀被	m ĩ ² ³ ⁻ ³ ³ t͡s i ɤ ³ ² ⁻ ⁴ ¹ pʰ u e ³ ³
棉襀被	m ĩ ² ³ ⁻ ³ ³ t͡s i ɤ ʔ ³ ² ⁻ ⁴ ¹ pʰ u e ³ ³
棉襖	m ĩ ² ³ ⁻ ³ ³ ɤ ⁴ ¹
棋	k i ² ³
棋	k i ⁴ ⁴
棋盤	k i ² ³ ⁻ ³ ³ p u ã ² ³
棍	k u n ² ¹
棍仔	k u n ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
棑	p a i ² ³
棒	p a ŋ ³ ³
棒棒糖	p a ŋ ² ¹ ⁻ ⁴ ¹ p a ŋ ² ¹ ⁻ ⁴ ¹ tʰ ŋ̍ ² ³
棒棒糖	p a ŋ ⁴ ¹ ⁻ ⁴ ⁴ p a ŋ ⁴ ¹ ⁻ ⁴ ⁴ tʰ ŋ̍ ² ³
棒球	p a ŋ ³ ³ ⁻ ² ¹ k i u ² ³
棕	t͡s a ŋ ⁴ ⁴
棕	t͡s ɔ ŋ ⁴ ⁴
棕樹	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i u ³ ³
棕筅	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i ɪ ŋ ⁴ ¹
棕筅仔	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i ɪ ŋ ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
棕索	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ s ɤ ʔ ³ ²
棕色	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ s i ɪ k̚ ³ ²
棕蓑	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ s u i ⁴ ⁴
棕鑢仔	t͡s a ŋ ⁴ ⁴ ⁻ ³ ³ l u ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
棗	t͡s ɤ ⁴ ¹
棗仔	t͡s ɤ ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
棗莊	t͡s ɤ ⁴ ¹ ⁻ ⁴ ⁴ t͡s ŋ̍ ⁴ ⁴
棘	k i ɪ k̚ ³ ²
棚	p i ɪ ŋ ² ³
棚	p ẽ ² ³
棚架	p ĩ ² ³ ⁻ ³ ³ k e ² ¹
棟	t a ŋ ² ¹
棟	t i ɔ ŋ ² ¹
棟	t ɔ ŋ ² ¹
棟樑	t i ɔ ŋ ² ¹ ⁻ ⁴ ¹ l i ɔ ŋ ² ³
棟樑	t ɔ ŋ ² ¹ ⁻ ⁴ ¹ l i ɔ ŋ ² ³
棟樑	t ɔ ŋ ² ¹ ⁻ ⁴ ¹ n i ũ ² ³
棠	t ɔ ŋ ² ³
棧	t͡s a n ² ¹
棧房	t͡s a n ² ¹ ⁻ ⁴ ¹ p a ŋ ² ³
棧道	t͡s a n ² ¹ ⁻ ⁴ ¹ t ɤ ³ ³
棧間	t͡s a n ² ¹ ⁻ ⁴ ¹ k i ɪ ŋ ⁴ ⁴
森	s i m ⁴ ⁴
森嚴	s i m ⁴ ⁴ ⁻ ³ ³ ɡ i a m ² ³
森林	s i m ⁴ ⁴ ⁻ ³ ³ l i m ² ³
森林	s ɔ m ⁴ ⁴ ⁻ ³ ³ l i m ² ³
棲	s e ⁴ ⁴
棲	t͡sʰ e ⁴ ⁴
棲身	t͡sʰ e ⁴ ⁴ ⁻ ³ ³ s i n ⁴ ⁴
棺	k u a n ⁴ ⁴
棺	k u ã ⁴ ⁴
棺木	k u a n ⁴ ⁴ ⁻ ³ ³ b ɔ k̚ ⁴
棺柴	k u ã ⁴ ⁴ ⁻ ³ ³ t͡sʰ a ² ³
椅	i ⁴ ¹
椅仔	i ⁴ ¹ ⁻ ⁴ ⁴ a ⁴ ¹
椅埾	i ⁴ ¹ ⁻ ⁴ ⁴ t͡s u ³ ³
椅墊仔	i ⁴ ¹ ⁻ ⁴ ⁴ t i a m ³ ³ a ⁴ ¹
椅桌	i ⁴ ¹ ⁻ ⁴ ⁴ t ɤ ʔ ³ ²
椅條	i ⁴ ¹ ⁻ ⁴ ⁴ l i a u ² ³
椅條	i ⁴ ¹ ⁻ ⁴ ⁴ t i a u ² ³
椅轎	i ⁴ ¹ ⁻ ⁴ ⁴ k i ɤ ³ ³
椅頭	i ⁴ ¹ ⁻ ⁴ ⁴ tʰ a u ² ³
椅頭仔	i ⁴ ¹ ⁻ ⁴ ⁴ tʰ a u ² ³ ⁻ ³ ³ a ⁴ ¹
椆	t i a u ² ³
植	s i t̚ ⁴
植	t i t̚ ⁴
植物	s i t̚ ⁴ ⁻ ³ ² b u t̚ ⁴
植物園	s i t̚ ⁴ ⁻ ³ ² b u t̚ ⁴ ⁻ ³ ² h ŋ̍ ² ³
植物學	s i t̚ ⁴ ⁻ ³ ² b u t̚ ⁴ ⁻ ³ ² h a k̚ ⁴
植物學家	s i t̚ ⁴ ⁻ ³ ² b u t̚ ⁴ ⁻ ³ ² h a k̚ ⁴ ⁻ ³ ² k a ⁴ ⁴
植物油	s i t̚ ⁴ ⁻ ³ ² b u t̚ ⁴ ⁻ ³ ² i u ² ³
椎	t͡s u i ⁴ ⁴
椎間盤	t͡s u i ⁴ ⁴ ⁻ ³ ³ k a n ⁴ ⁴ ⁻ ³ ³ p u ã ² ³
椏	a ⁴ ⁴
椏	u e ⁴ ⁴
椏	u ã i ³ ³
椏	u ã i ⁴ ⁴
椒	t͡s i a u ⁴ ⁴
椒	t͡s i ɤ ⁴ ⁴
椒圖	t͡s i a u ⁴ ⁴ ⁻ ³ ³ t ɔ ² ³
椒鹽	t͡s i ɤ ⁴ ⁴ ⁻ ³ ³ i a m ² ³
椪柑	pʰ ɔ ŋ ² ¹ ⁻ ⁴ ¹ k a m ⁴ ⁴
椰	i a ² ³
椰仔	i a ² ³ ⁻ ³ ³ a ⁴ ¹
椰子	i a ² ³ ⁻ ³ ³ t͡s i ⁴ ¹
椰子樹	i a ² ³ ⁻ ³ ³ t͡s i ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i u ³ ³
椰果	i a ² ³ ⁻ ³ ³ k ɤ ⁴ ¹
椵	k a ⁴ ¹
椽	i ɛ n ² ³
椿	tʰ u n ⁴ ⁴
椿	t͡sʰ u n ⁴ ⁴
楂	t͡s a ⁴ ⁴
楊	i ũ ² ³
楊	i ɔ ŋ ² ³
楊柳	i ũ ² ³ ⁻ ³ ³ l i u ⁴ ¹
楊柳	i ɔ ŋ ² ³ ⁻ ³ ³ l i u ⁴ ¹
楊桃	i ũ ² ³ ⁻ ³ ³ t ɤ ² ³
楊梅	i ũ ² ³ ⁻ ³ ³ b u e ² ³
楊梅	i ũ ² ³ ⁻ ³ ³ m u ĩ ² ³
楊梅	i ũ ² ³ ⁻ ³ ³ m u ẽ ² ³
楊梅	i ɔ ŋ ² ³ ⁻ ³ ³ m u ĩ ² ³
楊梅桃	i ũ ² ³ ⁻ ³ ³ m u ĩ ² ³ ⁻ ³ ³ tʰ ɤ ² ³
楊梅瘡	i ũ ² ³ ⁻ ³ ³ b u e ² ³ ⁻ ³ ³ t͡sʰ ŋ̍ ⁴ ⁴
楊梅瘡	i ũ ² ³ ⁻ ³ ³ m u ĩ ² ³ ⁻ ³ ³ t͡sʰ ŋ̍ ⁴ ⁴
楊梅瘡	i ɔ ŋ ² ³ ⁻ ³ ³ m u ĩ ² ³ ⁻ ³ ³ t͡sʰ ŋ̍ ⁴ ⁴
楊花水性	i ɔ ŋ ² ³ ⁻ ³ ³ h u a ⁴ ⁴ ⁻ ³ ³ t͡s u i ⁴ ¹ ⁻ ⁴ ⁴ s i ɪ ŋ ² ¹
楓	h ɔ ŋ ⁴ ⁴
楓	p ŋ̍ ⁴ ⁴
楓仔	p ŋ̍ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
楓仔樹	p ŋ̍ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i u ³ ³
楓仔箬	p ŋ̍ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ h i ɤ ʔ ⁴
楓樹	p ŋ̍ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i u ³ ³
楔	s e ʔ ³ ²
楔後手	s e ³ ² ⁻ ⁴ ¹ a u ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹
楔後手	s e ʔ ³ ² ⁻ ⁴ ¹ a u ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹
楔後手	s u e ³ ² ⁻ ⁴ ¹ a u ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹
楔後手	s u e ʔ ³ ² ⁻ ⁴ ¹ a u ³ ³ ⁻ ² ¹ t͡sʰ i u ⁴ ¹
楔空	s e ³ ² ⁻ ⁴ ¹ kʰ a ŋ ⁴ ⁴
楔空	s e ʔ ³ ² ⁻ ⁴ ¹ kʰ a ŋ ⁴ ⁴
楗	k i ɪ ŋ ³ ³
楚	t͡sʰ ɔ ⁴ ¹
楚	t͡sʰ ɤ ⁴ ¹
楝	l i ɛ n ³ ³
楝	l i ɪ ŋ ³ ³
楞	ɡ ɔ ŋ ² ³
楠	l a m ² ³
楠梓	l a m ² ³ ⁻ ³ ³ t͡s u ⁴ ¹
楠西	l a m ² ³ ⁻ ³ ³ s e ⁴ ⁴
楦	h u n ² ¹
楦頭	h u n ² ¹ ⁻ ⁴ ¹ tʰ a u ² ³
楪	i a p̚ ⁴
楬仔	a t̚ ³ ² ⁻ ⁴ a ⁴ ¹
業	ɡ i a p̚ ⁴
業主	ɡ i a p̚ ⁴ ⁻ ³ ² t͡s u ⁴ ¹
業債	ɡ i a p̚ ⁴ ⁻ ³ ² t͡s e ² ¹
業務	ɡ i a p̚ ⁴ ⁻ ³ ² b u ³ ³
業務員	ɡ i a p̚ ⁴ ⁻ ³ ² b u ³ ³ ⁻ ² ¹ u a n ² ³
業已	ɡ i a p̚ ⁴ ⁻ ³ ² i ⁴ ¹
業產	ɡ i a p̚ ⁴ ⁻ ³ ² s a n ⁴ ¹
業界	ɡ i a p̚ ⁴ ⁻ ³ ² k a i ² ¹
業經	ɡ i a p̚ ⁴ ⁻ ³ ² k i ɪ ŋ ⁴ ⁴
業績	ɡ i a p̚ ⁴ ⁻ ³ ² t͡s i ɪ k̚ ³ ²
業者	ɡ i a p̚ ⁴ ⁻ ³ ² t͡s i a ⁴ ¹
業障	ɡ i a p̚ ⁴ ⁻ ³ ² t͡s i ɔ ŋ ² ¹
業餘	ɡ i a p̚ ⁴ ⁻ ³ ² i ² ³
極	k i ɪ k̚ ⁴
極其	k i ɪ k̚ ⁴ ⁻ ³ ² k i ² ³
極刑	k i ɪ k̚ ⁴ ⁻ ³ ² h i ɪ ŋ ² ³
極力	k i ɪ k̚ ⁴ ⁻ ³ ² l i ɪ k̚ ⁴
極加	k i ɪ k̚ ⁴ ⁻ ³ ² k e ⁴ ⁴
極地	k i ɪ k̚ ⁴ ⁻ ³ ² t e ³ ³
極地	k i ɪ k̚ ⁴ ⁻ ³ ² t u e ³ ³
極大	k i ɪ k̚ ⁴ ⁻ ³ ² t a i ³ ³
極大	k i ɪ k̚ ⁴ ⁻ ³ ² t u a ³ ³
極好	k i ɪ k̚ ⁴ ⁻ ³ ² h ɤ ⁴ ¹
極少	k i ɪ k̚ ⁴ ⁻ ³ ² t͡s i ɤ ⁴ ¹
極度	k i ɪ k̚ ⁴ ⁻ ³ ² t ɔ ³ ³
極東	k i ɪ k̚ ⁴ ⁻ ³ ² t a ŋ ⁴ ⁴
極樂	k i ɪ k̚ ⁴ ⁻ ³ ² l ɔ k̚ ⁴
極樂世界	k i ɪ k̚ ⁴ ⁻ ³ ² l ɔ k̚ ⁴ ⁻ ³ ² s e ² ¹ ⁻ ⁴ ¹ k a i ² ¹
極權	k i ɪ k̚ ⁴ ⁻ ³ ² k u a n ² ³
極端	k i ɪ k̚ ⁴ ⁻ ³ ² t u a n ⁴ ⁴
極致	k i ɪ k̚ ⁴ ⁻ ³ ² t i ² ¹
極限	k i ɪ k̚ ⁴ ⁻ ³ ² h a n ³ ³
極頭	k i ɪ k̚ ⁴ ⁻ ³ ² tʰ a u ² ³
極點	k i ɪ k̚ ⁴ ⁻ ³ ² t i a m ⁴ ¹
楷	kʰ a i ⁴ ¹
楷書	kʰ a i ⁴ ¹ ⁻ ⁴ ⁴ s u ⁴ ⁴
楷模	kʰ a i ⁴ ¹ ⁻ ⁴ ⁴ b ɔ ² ³
楹	ẽ ² ³
楹仔	ẽ ² ³ ⁻ ³ ³ a ⁴ ¹
楻	h ɔ ŋ ² ³
概	k a i ² ¹
概	kʰ a i ² ¹
概念	k a i ² ¹ ⁻ ⁴ ¹ l i a m ³ ³
概念	kʰ a i ² ¹ ⁻ ⁴ ¹ l i a m ³ ³
概括	kʰ a i ² ¹ ⁻ ⁴ ¹ k u a ʔ ³ ²
概況	k a i ² ¹ ⁻ ⁴ ¹ h ɔ ŋ ⁴ ¹
概況	kʰ a i ² ¹ ⁻ ⁴ ¹ h ɔ ŋ ⁴ ¹
概略	kʰ a i ² ¹ ⁻ ⁴ ¹ l i ɔ k̚ ⁴
概算	kʰ a i ² ¹ ⁻ ⁴ ¹ s ŋ̍ ² ¹
概要	kʰ a i ² ¹ ⁻ ⁴ ¹ i a u ² ¹
概論	k a i ² ¹ ⁻ ⁴ ¹ l u n ³ ³
概論	kʰ a i ² ¹ ⁻ ⁴ ¹ l u n ³ ³
概論	kʰ a i ⁴ ¹ ⁻ ⁴ ⁴ l u n ³ ³
榆	z i u ² ³
榆	z u ² ³
榔	l ɔ ŋ ² ³
榔	n ŋ̍ ² ³
榕	i ɔ ŋ ² ³
榕	t͡sʰ i ɪ ŋ ² ³
榕仔	t͡sʰ i ɪ ŋ ² ³ ⁻ ³ ³ a ⁴ ¹
榕樹	i ɔ ŋ ² ³ ⁻ ³ ³ t͡sʰ i u ³ ³
榕樹	t͡sʰ i ɪ ŋ ² ³ ⁻ ³ ³ t͡sʰ i u ³ ³
榖	k ɔ k̚ ³ ²
榛	t͡s i n ⁴ ⁴
榜	p ŋ̍ ⁴ ¹
榜	p ɔ ŋ ⁴ ¹
榜尾	p ŋ̍ ⁴ ¹ ⁻ ⁴ ⁴ b e ⁴ ¹
榜尾	p ŋ̍ ⁴ ¹ ⁻ ⁴ ⁴ b u e ⁴ ¹
榜樣	p ŋ̍ ⁴ ¹ ⁻ ⁴ ⁴ i ũ ³ ³
榜眼	p ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ ɡ a n ⁴ ¹
榧	h u i ⁴ ¹
榨	t͡s a ² ¹
榨菜	t͡s a ² ¹ ⁻ ⁴ ¹ t͡sʰ a i ² ¹
榫	s u n ⁴ ¹
榫頭	s u n ⁴ ¹ ⁻ ⁴ ⁴ tʰ a u ² ³
榮	i ɪ ŋ ² ³
榮光	i ɪ ŋ ² ³ ⁻ ³ ³ k ŋ̍ ⁴ ⁴
榮幸	i ɪ ŋ ² ³ ⁻ ³ ³ h i ɪ ŋ ³ ³
榮枯	i ɪ ŋ ² ³ ⁻ ³ ³ k ɔ ⁴ ⁴
榮民	i ɪ ŋ ² ³ ⁻ ³ ³ b i n ² ³
榮獲	i ɪ ŋ ² ³ ⁻ ³ ³ h i ɪ k̚ ⁴
榮總	i ɪ ŋ ² ³ ⁻ ³ ³ t͡s ɔ ŋ ⁴ ¹
榮耀	i ɪ ŋ ² ³ ⁻ ³ ³ i a u ³ ³
榮華	i ɪ ŋ ² ³ ⁻ ³ ³ h u a ² ³
榮華富貴	i ɪ ŋ ² ³ ⁻ ³ ³ h u a ² ³ ⁻ ³ ³ h u ² ¹ ⁻ ⁴ ¹ k u i ² ¹
榮譽	i ɪ ŋ ² ³ ⁻ ³ ³ u ³ ³
榮譽博士	i ɪ ŋ ² ³ ⁻ ³ ³ i ³ ³ ⁻ ² ¹ pʰ ɔ k̚ ³ ² ⁻ ⁴ s u ³ ³
榴	l i u ² ³
榴彈	l i u ² ³ ⁻ ³ ³ t a n ² ³
榴槤	l i u ² ³ ⁻ ³ ³ l i ɛ n ² ³
榻榻米	tʰ a ⁴ ⁴ ⁻ ³ ³ tʰ a ⁴ ¹ ⁻ ⁴ ⁴ m ĩ ʔ ³ ²
構	k ɔ ² ¹
構圖	k ɔ ² ¹ ⁻ ⁴ ¹ t ɔ ² ³
構思	k ɔ ² ¹ ⁻ ⁴ ¹ s u ⁴ ⁴
構想	k ɔ ² ¹ ⁻ ⁴ ¹ s i ɔ ŋ ⁴ ¹
構成	k ɔ ² ¹ ⁻ ⁴ ¹ s i ɪ ŋ ² ³
構造	k ɔ ² ¹ ⁻ ⁴ ¹ t͡s ɤ ³ ³
槌	tʰ u i ² ³
槌摃鐵	tʰ u i ² ³ ⁻ ³ ³ k ɔ ŋ ² ¹ ⁻ ⁴ ¹ tʰ i ʔ ³ ²
槌槌	tʰ u i ² ³ ⁻ ³ ³ tʰ u i ² ³
槌球	tʰ u i ² ³ ⁻ ³ ³ k i u ² ³
槍	t͡sʰ i ũ ⁴ ⁴
槍	t͡sʰ i ɪ ŋ ² ¹
槍戰	t͡sʰ i ũ ⁴ ⁴ ⁻ ³ ³ t͡s i ɛ n ² ¹
槍手	t͡sʰ i ũ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i u ⁴ ¹
槍炮	t͡sʰ i ũ ⁴ ⁴ ⁻ ³ ³ pʰ a u ² ¹
槐	h u a i ² ³
槓	k a ŋ ² ¹
槓	k ŋ̍ ² ¹
槭	t͡sʰ i ɔ k̚ ³ ²
槳	t͡s i ũ ⁴ ¹
槽	t͡s ɤ ² ³
槿	k i n ⁴ ¹
樂	l ɔ k̚ ⁴
樂	ŋ ã u ³ ³
樂	ɡ a k̚ ⁴
樂器	ɡ a k̚ ⁴ ⁻ ³ ² kʰ i ² ¹
樂園	l ɔ k̚ ⁴ ⁻ ³ ² h ŋ̍ ² ³
樂團	ɡ a k̚ ⁴ ⁻ ³ ² tʰ u a n ² ³
樂土	l ɔ k̚ ⁴ ⁻ ³ ² tʰ ɔ ² ³
樂壇	ɡ a k̚ ⁴ ⁻ ³ ² t u ã ² ³
樂天	l ɔ k̚ ⁴ ⁻ ³ ² tʰ i ɛ n ⁴ ⁴
樂師	ɡ a k̚ ⁴ ⁻ ³ ² s u ⁴ ⁴
樂府	ɡ a k̚ ⁴ ⁻ ³ ² h u ⁴ ¹
樂意	l ɔ k̚ ⁴ ⁻ ³ ² i ² ¹
樂手	ɡ a k̚ ⁴ ⁻ ³ ² t͡sʰ i u ⁴ ¹
樂捐	l ɔ k̚ ⁴ ⁻ ³ ² k u a n ⁴ ⁴
樂暢	l ɔ k̚ ⁴ ⁻ ³ ² tʰ i ɔ ŋ ² ¹
樂曲	ɡ a k̚ ⁴ ⁻ ³ ² kʰ i ɪ k̚ ³ ²
樂業	l ɔ k̚ ⁴ ⁻ ³ ² ɡ i a p̚ ⁴
樂極生悲	l ɔ k̚ ⁴ ⁻ ³ ² k i ɪ k̚ ⁴ ⁻ ³ ² s i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ p i ⁴ ⁴
樂理	ɡ a k̚ ⁴ ⁻ ³ ² l i ⁴ ¹
樂章	ɡ a k̚ ⁴ ⁻ ³ ² t͡s i ũ ⁴ ⁴
樂章	ɡ a k̚ ⁴ ⁻ ³ ² t͡s i ɔ ŋ ⁴ ⁴
樂經	ɡ a k̚ ⁴ ⁻ ³ ² k i ɪ ŋ ⁴ ⁴
樂觀	l ɔ k̚ ⁴ ⁻ ³ ² k u a n ⁴ ⁴
樂觀主義	l ɔ k̚ ⁴ ⁻ ³ ² k u a n ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹ ⁻ ⁴ ⁴ ɡ i ³ ³
樂譜	ɡ a k̚ ⁴ ⁻ ³ ² pʰ ɔ ⁴ ¹
樂趣	l ɔ k̚ ⁴ ⁻ ³ ² t͡sʰ u ² ¹
樂隊	ɡ a k̚ ⁴ ⁻ ³ ² t u i ³ ³
樂音	ɡ a k̚ ⁴ ⁻ ³ ² i m ⁴ ⁴
樑	l i ɔ ŋ ² ³
樑	n i ũ ² ³
樑上君子	l i ɔ ŋ ² ³ ⁻ ³ ³ s i a ŋ ³ ³ ⁻ ² ¹ k u n ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹
樑上君子	l i ɔ ŋ ² ³ ⁻ ³ ³ s i ɔ ŋ ³ ³ ⁻ ² ¹ k u n ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹
樑柱	n i ũ ² ³ ⁻ ³ ³ tʰ i a u ³ ³
樓	l a u ² ³
樓主	l a u ² ³ ⁻ ³ ³ t͡s u ⁴ ¹
樓仔	l a u ² ³ ⁻ ³ ³ a ⁴ ¹
樓仔厝	l a u ² ³ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ u ² ¹
樓層	l a u ² ³ ⁻ ³ ³ t͡s a n ² ¹
樓房	l a u ² ³ ⁻ ³ ³ p a ŋ ² ³
樓桁	l a u ² ³ ⁻ ³ ³ k ɔ ŋ ² ³
樓梯	l a u ² ³ ⁻ ³ ³ tʰ u i ⁴ ⁴
樓窗	l a u ² ³ ⁻ ³ ³ tʰ a ŋ ⁴ ⁴
樓跤	l a u ² ³ ⁻ ³ ³ kʰ a ⁴ ⁴
樓閣	l a u ² ³ ⁻ ³ ³ k ɤ ʔ ³ ²
樓面	l a u ² ³ ⁻ ³ ³ b i n ³ ³
樓頂	l a u ² ³ ⁻ ³ ³ t i ɪ ŋ ⁴ ¹
標	p i a u ⁴ ⁴
標	p i ɤ ⁴ ⁴
標	pʰ i a u ⁴ ⁴
標價	p i a u ⁴ ⁴ ⁻ ³ ³ k e ² ¹
標價	pʰ i a u ⁴ ⁴ ⁻ ³ ³ k e ² ¹
標明	p i a u ⁴ ⁴ ⁻ ³ ³ b i ɪ ŋ ² ³
標明	pʰ i a u ⁴ ⁴ ⁻ ³ ³ b i ɪ ŋ ² ³
標本	p i a u ⁴ ⁴ ⁻ ³ ³ p u n ⁴ ¹
標本	pʰ i a u ⁴ ⁴ ⁻ ³ ³ p u n ⁴ ¹
標槍	p i ɤ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i ũ ⁴ ⁴
標準	p i a u ⁴ ⁴ ⁻ ³ ³ t͡s u n ⁴ ¹
標準	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t͡s u n ⁴ ¹
標準化	p i a u ⁴ ⁴ ⁻ ³ ³ t͡s u n ⁴ ¹ ⁻ ⁴ ⁴ h u a ² ¹
標準化	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t͡s u n ⁴ ¹ ⁻ ⁴ ⁴ h u a ² ¹
標籤	p i a u ⁴ ⁴ ⁻ ³ ³ t͡sʰ i a m ⁴ ⁴
標籤	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t͡sʰ i a m ⁴ ⁴
標緻	p i a u ⁴ ¹ ⁻ ⁴ ⁴ t i ² ¹
標緻	p i a u ⁴ ⁴ ⁻ ³ ³ t i ² ¹
標緻	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t i ² ¹
標記	p i a u ⁴ ⁴ ⁻ ³ ³ k i ² ¹
標記	pʰ i a u ⁴ ⁴ ⁻ ³ ³ k i ² ¹
標誌	p i a u ⁴ ⁴ ⁻ ³ ³ t͡s i ² ¹
標誌	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t͡s i ² ¹
