't	t
Ierbes	i e̯ b e s
ieren	iː r e n
ierflech	i e̯ f l e χ
iergenden	i e̯ ʁ e n t e n
iergendeng	i e̯ ʁ e n t æ ŋ
iergendengem	i e̯ ʁ e n t æ ŋ e m
iergendenger	i e̯ ʁ e n t æ ŋ e ʀ
Ierger	i e̯ ʁ e ʀ
iergeren	i e̯ ʁ e ʀ e n
Ierwen	i e̯ v e n
ierwen	i e̯ v e n
Iesel	i e̯ z e l
iess	i e̯ s
iessen	i e̯ s e n
Iessen	i e̯ s e n
Iessläffel	i e̯ s l æ f e l
iesst	i e̯ s t
Iesszëmmer	i e̯ s t s e m e ʀ
Iewen	i e̯ v e n
iewescht	i e̯ v e ʃ t
Igel	i ʁ e l
Imaginatioun	i m a ʒ i n a t s j e u̯ n
Imaginatioun	i m a ʒ i n a s j e u̯ n
Improvisatioun	æ̃ p ʀ o v i z a t s j e u̯ n
Improvisatioun	æ̃ p ʀ o v i z a s j e u̯ n
Indien	i n d j e n
Indien	i n d i e n
Infektioun	i n f æ k s j o ʊ̯ n
Ingenieur	æ̃ ʒ e n j øː e ʀ
Ingenieur	æ̃ ʒ e n j øː ʀ
Insekt	i n z æ k t
Insel	i n z e l
Inspekter	i n s p æ k t ɐ
Installateur	i n s t ɑ l ɑ t øː ɐ̯
Int	i n t
Ir	iː ʀ
iwwel	i v e l
Iwwel	i v e l
iwwer	i v e ʀ
iwwerdreiwen	i v e r d r a i̯ v e n
iwwerdriwwen	i v e ʀ d ʀ i v e n
Iwwerfall	i v e ʀ f a l
Iwwerfloss	i v e ʀ f l o s
iwwergräifen	i v e ʀ ɡ ʀ æ i̯ f e n
iwwerhaapt	i v ɐ h aː p t
iwwerliewen	i v e r l i e̯ v e n
iwwersetzen	i v e ʀ z æ t s e n
iwwerweisen	i v e ʀ v a i̯ z e n
Jach	j a χ
Jackett	ʒ a k æ t
Jalousie	ʒ a l u z i
Japanesch	j a p aː n e ʃ
Jatt	ʒ a t
jauwen	ʒ a u̯ v e n
Jeans	d ʒ iː n s
jee	j eː
jees	j eː s
jees	ʒ eː s
jeet	j eː t
jeet	ʒ eː t
jidder	j i d e r
jidder	ʒ i d e r
jiddereen	j i d e r eː n
jo	j o
Jo	j o
joen	j oː e n
joen	ʒ oː e n
Joer	j oː e r
Joer	ʒ oː e r
Joerdausend	j oː e ʀ d a u̯ z e n t
Joerdausend	j oː ʀ d a u̯ z e n t
Joerhonnert	j oː e ʀ h o n e ʀ t
Joerhonnert	j oː ʀ h o n e ʀ t
Joerzéngt	j oː e ʀ t s e ŋ t
Joerzéngt	j oː ʀ t s e ŋ t
Joffer	j o f e ʀ
Joffer	ʒ o f e ʀ
Jomer	j oː m e ʀ
Jomer	ʒ oː m e ʀ
jong	j o ŋ
Jong	j o ŋ
Jongfra	j o ŋ f ʀ aː
jongléieren	ʒ o ŋ ɡ l e i̯ ʀ e n
jonk	j o ŋ k
jorelaang	j oː ə̯ ʀ ə l aː ŋ
jorelaang	j oː ʀ ə l aː ŋ
Joreszäit	j oː ʀ e s t s æ i̯ t
jot	j oː t
jot	ʒ oː t
jubiléieren	j u b i l e i̯ ʀ e n
Juck	j u k
Judd	j u t
Jugend	j uː ʁ e n t
Jugend	j u ʁ e n t
Jugendchômage	j uː ʁ e n t ʃ oː m aː ʃ
Juli	j uː l i
Juli	ʒ uː l i
Juni	j uː n i
Juni	ʒ uː n i
Jupe	ʒ y p
Jus	ʒ y
jäizen	j æ i̯ t s e n
jéimeren	j e i̯ m e ʀ e n
Jéngelchen	j e ŋ e l χ e n
kaaft	k aː f t
Kaalwer	k aː l v e r
Kaarp	k aː ʀ p
Kaart	k aː ʀ t
Kaart	k aː t
Kaascht	k aː ʃ t
Kabes	k aː b e s
kachen	k a χ e n
Kachkéis	k a χ k e i̯ s
Kachmaschinn	k a χ m a ʃ i n
Kadaster	k a d a s t e ʀ
kaf	k aː f
kafen	k aː f e n
Kaffi	k a f i
kal	k aː l
Kalbass	k a l b a s
Kalenner	k a l æ n e ʀ
Kallef	k a l e f
Kalleffleesch	k a l e f f l eː ʃ
Kallek	k a l e k
kammoud	k a m e u̯ t
Kammoud	k a m e u̯ t
Kamp	k a m p
Kaméidi	k a m e i̯ d i
Kan	k aː n
Kanal	k ɑ n aː l
kann	k a n
Kanner	k ɑ n ɐ
kanns	k a n s
Kanoun	k ɑ n ə ʊ̯ n
Kanton	k ɑ n t oː n
Kanäl	k ɑ n æ l
Kanéil	k ɑ n ɜ ɪ̯ l
Kap	k aː p
Kapell	k ɑ p æ l
Kapellen	k ɑ p æ l ə n
Kapitel	k ɑ p i t ə l
Kapp	k a p
Kappball	k ɑ b b ɑ l
Kapsel	k ɑ p s ə l
Kar	k aː ʀ
Karaff	k ɑ ʁ ɑ f
Karamell	k a ʀ a m æ l
Karausch	k ɑ ʀ ɑ ʊ̯ ʃ
Karo	k aː ʀ oː
Kascht	k ɑ ʃ t
kaschten	k ɑ ʃ t ə n
kathoulesch	k a t ə ʊ l ə ʃ
Katz	k ɑ t s
katzen	k ɑ t s ə n
Kaul	k a u̯ l
kaum	k æː ʊ̯ m
Kauzekapp	k ɑ ʊ̯ t͡s ə k ɑ p
Kauzekäpp	k ɑ ʊ̯ t͡s ə k æ p
Kaweechelchen	k aː v eː ɕ ə l ɕ ə n
Kaweechelcher	k aː v eː ɕ ə l ɕ ɐ
Kaz	k aː t s
kazen	k aː t s ə n
Kazena	k aː t s ə n ʔ aː
Kazena	k aː t s ə n aː
keefs	k eː f s
keeft	k eː f t
Keel	k eː l
Keelt	k eː l t
keen	k eː n
Keeser	k eː z ɐ
Keess	k eː s
Keim	k ɑ ɪ̯ m
Keller	k æ l ɐ
keng	k æ ŋ
kengem	k æ ŋ ə m
kengen	k æ ŋ ə n
kenger	k æ ŋ ɐ
kennen	k æ n ə n
Kess	k æ s
Kessel	k æ s ə l
Ketten	k æ t ə n
Kichelchen	k i χ e l χ e n
Kichen	k i χ e n
Kierbiischt	k iː ə̯ b iː ʃ t
Kierch	k iː ə̯ ɕ
Kierchelidd	k iː ə̯ ɕ ə l i t
kieren	k i ə̯ ʀ ə n
Kierfmécher	k i e̯ ʀ f m e χ e ʀ
Kiermes	k iː ə̯ m ə s
Kierper	k iː ə̯ p ɐ
Kierwel	k iː ə̯ v ə l
Kiewerlek	k i e̯ v e r l e k
Kiewerleken	k i e̯ v e r l e k e n
Kiischt	k iː ʃ t
kill	k i l
killen	k i l ə n
Kilometer	k i l o m eː t ɐ
Kinnek	k i n e k
Kinneken	k i n e k e n
Kinnekräich	k i n e ɡ ʁ æː ɪ̯ ɕ
Kinnigin	k i n i ɡ i n
klaken	k l aː k ə n
Klam	k l aː m
Klamer	k l aː m ɐ
klamm	k l ɑ m
klammen	k l ɑ m ə n
klammt	k l ɑ m t
Klang	k l ɑ ŋ
Klapp	k l ɑ p
klappen	k l ɑ p ə n
Klarinett	k l ɑ ʀ i n æ t
Klass	k l ɑ s
klassesch	k l ɑ s ə ʃ
Kleed	k l eː t
kleeden	k l eː d ə n
kleesper	k l eː s p ɐ
kleng	k l æ ŋ
klengem	k l æ ŋ ə m
klengen	k l æ ŋ ə n
klenger	k l æ ŋ ɐ
klengt	k l æ ŋ t
Klett	k l æ t
klicken	k l i k ə n
Klierf	k l i e̯ f
kliewen	k l i e̯ v e n
kloen	k l oː e n
kloer	k l oː e r
Klouschter	k l ə ʊ̯ ʃ t ɐ
Kläckelchen	k l æ k e l χ e n
klëmms	k l ə m s
klëmmt	k l ə m t
Klëppel	k l ə p ə l
klécken	k l e k ə n
Kléi	k l ɜ ɪ̯
Kléng	k l e ŋ
kléngen	k l e ŋ ə n
Knachen	k n ɑ χ ə n
Knall	k n ɑ l
Knapp	k n a p
knapps	k n ɑ p s
Knascht	k n ɑ ʃ t
Kniddel	k n i d ə l
Kniecht	k n i e̯ χ t
knieden	k n i ə̯ d ə n
Kniet	k n i ə t
Knippchen	k n i p χ e n
Kniwweler	k n i v ə l ɐ
Knoll	k n o l
Knuet	k n u ə̯ t
Knuewelek	k n u ə̯ v ə l ə k
Knuppert	k n u p ɐ t
Knäckebrout	k n æ k ə b ʀ ə ʊ̯ t
Knäip	k n æː ɪ̯ p
knäipen	k n æ i̯ p e n
Knäpp	k n æ p
Knäppchen	k n æ p χ e n
knëppen	k n ə p ə n
Knéchel	k n ə ɕ ə l
knécken	k n e k ə n
Knéischeif	k n ɜ ɪ̯ ʃ ɑ ɪ̯ f
Koffer	k o f ɐ
Koiné	k o i̯ n eː
Kokosnoss	k o k o s n o s
Kokosnëss	k o k o s n ə s
Koll	k o l
Kolleeg	k o l eː χ
Kolleegen	k o l eː ʁ e n
kollen	k o l e n
komesch	k oː m ə ʃ
komm	k o m
Komma	k o m ɑ
kommen	k o m ə n
kommt	k o m t
kompetent	k o m p ə t æ n t
Kompetitioun	k o m p e t i s j ə ʊ̯ n
komplett	k o m p l æ t
Koméit	k o m ɜ ɪ̯ t
konfus	k o n f uː s
Konn	k o n
konnt	k o n t
konnten	k o n t ə n
konnts	k o n t s
Konscht	k o n ʃ t
Konstellatioun	k o n s t æ l ɑ s j ə ʊ̯ n
Konstitutioun	k o n s t i t u t s j o u̯ n
Konstitutioun	k o n s t i t u s j o u̯ n
Kont	k o n t
Kontroll	k o n t ʁ o l
Konzentratioun	k o n t͡s æ n t ʀ ɑ s j ə ʊ̯ n
konzentréieren	k o n t͡s æ n t ʀ ɜ ɪ̯ e ʀ e n
Kopp	k o p
koppeg	k o p ə ɕ
Kork	k o χ k
Kornischong	k o ʁ n i ʃ o ŋ
korrekt	k o ʀ æ k t
Korruptioun	k o ʁ u p s i ə ʊ n
Koschter	k o ʃ t ɐ
Koseng	k o z e ŋ
Kosengen	k o z e ŋ e n
Kotteng	k o t e ŋ
Kou	k e u̯
koum	k ə ʊ̯ m
koumen	k ə ʊ̯ m ə n
koums	k ə ʊ̯ m s
koumt	k ə ʊ̯ m t
Koumëllech	k ə ʊ m ə l ə ɕ
kraachen	k ʀ aː χ ə n
Kraaft	k ʀ aː f t
Krack	k ʀ ɑ k
Kraidchen	k r a i̯ t χ e n
Kraider	k r a i̯ d e r
Krall	k ʀ ɑ l
Kramp	k ʀ ɑ m p
Kran	k ʀ aː n
krank	k ʀ ɑ ŋ k
Kranz	k ʀ ɑ n t͡s
Krapp	k ʀ ɑ p
krappeg	k ʀ ɑ p ə ɕ
Kraut	k r æ u̯ t
Krawatt	k ʀ ɑ v ɑ t
krazen	k ʀ aː t s ə n
Krazert	k ʀ aː t͡s ɐ t
Krees	k ʀ eː s
Kreesch	k ʀ eː ʃ
Kreesverkéier	k r eː s f ə r k e i̯ e r
Kreesverkéier	k r eː s f ə r k e i̯ r
kriddeleg	k ʀ i d ə l ə ɕ
Kriibs	k ʀ iː p s
kriits	k ʀ iː t s
Krimi	k ʀ i m i
kriss	k ʀ i s
Kristall	k ʁ i s t ɑ l
krit	k ʀ iː t
kriten	k ʀ iː t ə n
kritesch	k ʀ i t ə ʃ
kritt	k ʀ i t
Krokodil	k ʁ o k o d iː l
Krom	k ʀ oː m
kromm	k ʀ o m
Kromm	k ʀ o m
Krou	k ʀ ə ʊ̯
Kroun	k r e u̯ n
Krunn	k ʀ u n
krut	k ʀ uː t
kruten	k ʀ uː t ə n
kruuts	k ʀ uː t s
kräischen	k r æ i̯ ʃ e n
Kräiz	k r æ i̯ t s
kräizen	k ʀ æː ɪ̯ t͡s ə n
Kräizer	k r æ i̯ t s e r
Kräizwuerträtsel	k ʁ æː ɪ̯ d͡z v uː ə̯ d ʁ æ t͡s ə l
Krämp	k ʀ æ m p
kränken	k ʀ æ ŋ k e n
krëmmen	k ʀ ə m ə n
Krëpp	k ʀ ə p
Krëppchen	k ʀ ə p ɕ ə n
Krëppebësser	k ʀ ə p ə b ə s ɐ
Krëppel	k ʀ ə p ə l
Krësch	k ʀ ə ʃ
Kréchel	k ʁ ə ɕ ə l
Kréi	k ʀ ɜ ɪ̯
Kréiena	k ʀ ɜ ɪ̯ ə n aː
Kuch	k u χ
kucken	k u k ə n
Kuddelfleck	k u d ə l f l æ k
Kueberei	k u ə b ə ʀ ɑ ɪ̯
Kueder	k u ə̯ d ɐ
Kuel	k u ə l
Kuelestoff	k u ə l ə ʃ t o f
Kuer	k uː r
Kueren	k uː r e n
kuerz	k u e̯ t s
Kupplung	k u p l u ŋ
Kurv	k u r f
Kusin	k u z i n
Kusinnen	k u z i n e n
Kutsch	k u t͡ʃ
Kuuscht	k uː ʃ t
Käerz	k eː r t s
Käfeg	k eː f ə ɕ
käichen	k æː ɪ̯ ɕ ə n
Källefchen	k æ l e f χ e n
Känguru	k æ ŋ ɡ u ʁ u
Käppchen	k æ p χ e n
käppen	k æ p ə n
Kär	k eː r
Kärel	k ɛː ʀ ə l
Käscht	k æ ʃ t
Käschtebam	k æ ʃ t ə b aː m
Kätzchen	k æ t͡s ɕ ə n
Kätzercher	k æ t͡s e ʀ χ e ʀ
këmmen	k ə m ə n
këmmeren	k ə m ə ʀ ə n
Këndchen	k ə n t ɕ ə n
Kënn	k ə n
kënnen	k e n e n
Kënnercher	k ə n ɐ ɕ ɐ
kënns	k ə n s
kënnt	k e n t
Këscht	k ə ʃ t
Këssen	k ə s ə n
këssen	k ə s ə n
Kéier	k ɜ ɪ̯ ɐ
kéim	k ɜ ɪ̯ m
kéimen	k ɜ ɪ̯ m ə n
kéims	k ɜ ɪ̯ m s
kéimt	k ɜ ɪ̯ m t
kéint	k e i̯ n t
kéinten	k ɜ ɪ̯ n t ə n
kéints	k ɜ ɪ̯ n t s
kéipweis	k ɜ ɪ̯ p v ɑ ɪ̯ s
Kéiseker	k e i̯ z e k e r
kéng	k e ŋ
Kéng	k e ŋ
kéngen	k e ŋ ə n
Kürbis	k ʏ r b ɪ s
Küst	k y s t
Laach	l aː χ
laachen	l aː χ ə n
laaft	l aː f t
laang	l aː ŋ
Laangfësch	l aː ŋ f ə ʃ
Laangfëschmudder	l aː ŋ f ə ʃ m u d ɐ
laanscht	l aː n ʃ t
Laascht	l aː ʃ t
laaschten	l aː ʃ t ə n
Lack	l ɑ k
laf	l aː f
Laf	l aː f
lafen	l aː f ə n
Lag	l aː χ
Lagen	l aː ʁ ə n
Lais	l a i̯ s
Laitue	l e t yː
Lamm	l ɑ m
Land	l ɑ n t
landen	l ɑ n d ə n
Landstrooss	l ɑ n t ʃ t ʀ oː s
Lann	l a n
Lanter	l ɑ n t ɐ
Lanz	l ɑ n t s
lass	l ɑ s
Lat	l aː t
Lauer	l ɑ ʊ̯ ɐ
Laus	l æ u̯ s
lauschteren	l æ u̯ ʃ t e r e n
Laut	l æː ʊ̯ t
Lavendel	l ɑ v æ n d ə l
Lawin	l ɑ v i n
Lazert	l aː t͡s ɐ t
Lee	l eː
leed	l eː t
Leed	l eː t
leeden	l eː d ə n
Leeder	l eː d e r
Leefer	l eː f ɐ
leefs	l eː f s
leeft	l eː f t
Leem	l eː m
Leescht	l eː ʃ t
leeschten	l eː ʃ t ə n
Leeschten	l eː ʃ t ə n
Leeschtung	l eː ʃ t u ŋ
leeën	l eː e n
lei	l ɑ ɪ̯
leiden	l ɑ ɪ̯ d ə n
leien	l a i̯ e n
leieren	l ɑ ɪ̯ ə ʀ ə n
Leif	l a i̯ f
leit	l ɑ ɪ̯ t
Leit	l ɑ ɪ̯ t
leits	l ɑ ɪ̯ t s
Lektioun	l æ k s j ə ʊ n
lescht	l æ ʃ t
Libell	l i b æ l
Lidd	l i t
Lieder	l i e̯ d e r
liesen	l i e̯ z e n
lieweg	l i e̯ v e χ
liewen	l i e̯ v e n
Liewen	l i ə̯ v ə n
Liewer	l i e̯ v e r
Liibling	l iː b l i ŋ
Liicht	l iː ɕ t
liicht	l iː ɕ t
liichten	l iː ɕ t ə n
Liichttuerm	l iː χ t t u ə̯ ʀ m
Liichttuerm	l iː χ t t u ə̯ m
Liichttuerm	l iː χ t u ə̯ ʀ m
Liichttuerm	l iː χ t u ə̯ m
Limburgesch	l i m b u ə̯ j ə ʃ
limburgesch	l i m b u ə̯ ʑ ə ʃ
Limonad	l i m o n aː t
Linn	l i n
Lissabon	l i s ɑ b o n
literaresch	l i t ə ʀ aː ʀ ə ɕ
litt	l i t
litts	l i t s
Living	l i v i ŋ
liwweren	l i v ə ʁ ə n
Liwwerung	l i v ə ʁ u ŋ
lo	l oː
Lo	l oː
Locher	l o χ ɐ
Loft	l o f t
lokal	l o k aː l
Lomp	l o m p
Long	l o ŋ
looss	l oː s
loossen	l oː s ə n
loosst	l oː s t
Lorber	l o ʁ b ɐ
Lorberblat	l o ʁ b ɐ b l aː t
Loscht	l o ʃ t
louch	l ə ʊ̯ χ
louchen	l ə ʊ̯ χ ə n
louchs	l ə ʊ̯ χ s
loucht	l ə ʊ̯ χ t
Loun	l e u̯ n
lounen	l ə ʊ̯ n ə n
Luchs	l u k s
Lued	l u ə̯ t
lueden	l u ə d ə n
Luef	l u ə̯ f
lues	l u ə̯ s
Lupp	l u p
Luucht	l uː χ t
Luuss	l uː s
Luxus	l u k s u s
Lycée	l i s e
Lycéesschüler	l i s eː s ʃ yː l e r
Lycéeën	l i s eː ə n
Lächer	l æ χ e r
Läffel	l æ f ə l
läichen	l æː ɪ̯ ɕ ə n
Läif	l æ i̯ f
Läim	l æː ɪ̯ m
läimen	l æː ɪ̯ m ə n
Läimer	l æː ɪ̯ m ɐ
läis	l æː ɪ̯ s
läit	l æː ɪ̯ t
Längt	l æ ŋ t
läschen	l æ ʃ e n
Lëns	l ə n s
Lëppestëft	l ə p ə ʃ t ə f t
Lëps	l ə p s
Lëscht	l e ʃ t
lëschteg	l e ʃ t e χ
Lëtzebuerger	l e t s e b u e̯ ʁ e r
Lëtzebuergesch	l e t s e b u e̯ ʁ e ʃ
lëtzebuergesch	l e t s e b u e̯ ʁ e ʃ
léi	l ɜ ɪ̯
léich	l ɜ ɪ̯ ɕ
léichen	l ɜ ɪ̯ ɕ ə n
léichs	l ɜ ɪ̯ ɕ s
léicht	l ɜ ɪ̯ ɕ t
léien	l e i̯ e n
Léier	l ɜ ɪ̯ ɐ
léieren	l ɜ ɪ̯ ə ʀ ə n
léif	l e i̯ f
Léift	l e ɪ̯ f t
léinen	l e i̯ n e n
léisen	l e i̯ z e n
léiss	l ɜ ɪ̯ s
léisst	l ɜ ɪ̯ s t
Léisung	l ɜ ɪ̯ z u ŋ
Léiw	l e i̯ f
léiwen	l e ɪ̯ v ə n
Léngt	l e ŋ t
lénks	l e ŋ k s
Maach	m aː χ
maach	m aː χ
maacht	m aː χ t
Maandel	m aː n d ə l
maandelweis	m aː n d ə l v ɑ ɪ̯ s
maans	m aː n s
Maart	m aː χ t
Maascht	m aː ʃ t
Magie	m ɑ ʒ iː
Makréil	m ɑ k ʀ ɜ ɪ̯ l
Mall	m ɑ l
Malz	m ɑ l t͡s
Mamendéier	m aː m ə n d ɜ ɪ̯ ɐ
Mamm	m ɑ m
man	m aː n
Mango	m ɑ ŋ ɡ oː
mann	m ɑ n
Mann	m ɑ n
Mantel	m ɑ n t ə l
Mapp	m ɑ p
Margréitchen	m a ʁ ɡ ʁ ɜ ɪ̯ t ɕ ə n
Marionett	m ɑ ʀ j o n æ t
markéieren	m ɑ ʀ k ɜ ɪ̯ ə ʀ ə n
Markéierstëft	m ɑ ʀ k ɜ ɪ̯ ɐ ʃ t ə f t
Maroun	m ɑ ʀ ə ʊ̯ n
Marqueur	m ɑ ʀ k øː ʀ
Masch	m ɑ ʃ
maschinell	m ɑ ʃ i n æ l
Maschinn	m ɑ ʃ i n
Massendénger	m ɑ s ə n d e ŋ ɐ
mat	m ɑ t
mateneen	m ɑ d e n eː n
matfillen	m ɑ t f i l ə n
matt	m ɑ t
Matt	m ɑ t
Mattant	m ɑ t ɑ n t
matzen	m ɑ t͡s ə n
Mauer	m ɑ ʊ̯ ʀ
Mauer	m ɑ ʊ̯ e ʀ
Maul	m æː ʊ̯ l
Maulef	m ɑ ʊ̯ l ə f
Maulefskoup	m ɑ ʊ̯ l ə f s k ə ʊ̯ p
Maus	m æ u̯ s
Mecanicien	m e k ɑ n i s j ɛ̃ː
mech	m e χ
mee	m eː
Mee	m eː
Meedchen	m eː d ɕ ə n
Meefësch	m eː f ə ʃ
Meenung	m eː n u ŋ
Mees	m eː s
Meeschter	m eː ʃ t ɐ
Meeschtesch	m eː ʃ t ə ʃ
meiden	m ɑ ɪ̯ d ə n
Meil	m ɑ ɪ̯ l
meit	m ɑ ɪ̯ t
meits	m ɑ ɪ̯ t s
Meldung	m æ l d u ŋ
mellen	m æ l ə n
Meloun	m ə l ə ʊ̯ n
Member	m ɑ̃ː b ɐ
Memoire	m e m w aː ʀ
meng	m e ŋ
mengem	m e ŋ ə m
mengen	m æ ŋ ə n
mengen	m e ŋ ə n
menger	m e ŋ ɐ
mer	m ɐ
Messer	m æ s ɐ
Metall	m e t ɑ l
midd	m i t
Middel	m i d ə l
Miel	m i ə̯ l
Mielda	m i ə̯ l d aː
Mier	m iː ə̯
mierken	m iː ə̯ k ə n
Miersch	m iː ə̯ ʃ
Mierschwéngchen	m i ə̯ ʃ w e ŋ ɕ ə n
miessen	m i ə̯ s ə n
Millen	m ɪ l ə n
Millioun	m i l j ə ʊ̯ n
Mineral	m i n ə ʀ aː l
Mineralogie	m i n e ʀ ɑ l o ʒ iː
Mineralwaasser	m iː n ə ʁ aː l v aː s ɐ
Mineur	m i n øː ɐ̯
Minn	m i n
Minutt	m i n u t
mir	m iː r
Mirabell	m i ʁ a b æ l
misst	m i s t
missten	m i s t ə n
Misär	m i z ɛː ə̯
Mitock	m iː t o k
Miwwel	m i v ə l
Mo	m oː
mockeleg	m o k ə l ə ɕ
Mod	m oː t
Modell	m o d æ l
moer	m oː e r
mof	m oː f
Moff	m o f
Mol	m oː l
Molbier	m oː l b iː ə̯
molen	m oː l ə n
momentan	m oː m ə n t aː n
Mond	m o n t
Monni	m o n i
Monsieur	m e s j ø
Monsieuren	m e s j ø e n
monter	m o n t ɐ
Moolzecht	m oː l t͡s ə ɕ t
Moos	m oː s
Mooss	m oː s
moossen	m oː s ə n
Moschter	m o ʃ t e r
Moschwier	m oː ʃ w iː ə̯
Moss	m o s
Moto	m oː t oː
Motocyclist	m oː t o s i k l i s t
Motorrad	m oː t o ʀ ʀ aː t
Motorsee	m oː t o ʁ z eː
Moud	m ə ʊ̯ t
Moul	m ə ʊ̯ l
Mound	m ə ʊ̯ n t
Mount	m ə ʊ̯ n t
Mous	m ə ʊ̯ s
Mudder	m u d ɐ
muench	m u ə n ɕ
muer	m uː r
Muerch	m uː ə̯ ɕ
Muerd	m uː ə̯ t
Mueren	m uː r e n
Mull	m u l
Multiplikatioun	m u l t i p l i k ɑ s j ə ʊ̯ n
munch	m u n ɕ
munchmol	m u n ɕ m oː l
munnech	m u n ə ɕ
Mupp	m u p
Musek	m u z e k
Museker	m u z e k e r
Musekerin	m u z e k e r i n
Muskel	m u s k ə l
muss	m u s
mussen	m u s ə n
musst	m u s t
mussten	m u s t ə n
Mutt	m u t
Muttwëll	m u d v ə l
Muuss	m uː s
mä	m æ
Mäerder	m ɛː ə̯ d ɐ
Mäert	m ɛː ɐ̯ t
mäin	m æː ɪ̯ n
männlech	m æ n l ə ɕ
mëll	m e l
Mëlz	m ə l t͡s
Mënsch	m e n ʃ
mënschlech	m e n ʃ l e χ
Mënschlechkeet	m e n ʃ l e χ k eː t
Mënz	m ə n t͡s
Mësch	m ə ʃ
mëschen	m ə ʃ ə n
Mëscht	m e ʃ t
Mëschtgreef	m ə ʃ t ɡ ʀ eː f
Mëspel	m ə s p ə l
Mëssel	m ə s ə l
mëssen	m ə s ə n
Mëtsch	m ə t ʃ
Mëtt	m ə t
Mëtteg	m e t e χ
Mëtteger	m e t e ʁ e r
Mëttegiessen	m ə t ə ʑ i ə̯ s ə n
Mëttel	m ə t ə l
Mëttelfeldspiller	m e t e l f æ l t ʃ p i l ɐ
Mëtten	m e t e n
Mëtternuecht	m ə t ɐ n u ə̯ ɕ t
Mëttwoch	m e t v o χ
méchs	m e χ s
Méck	m e k
Méckefänkert	m e k ə f æ ŋ k ɐ t
Méi	m ɜ ɪ
méien	m ɜ ɪ̯ ə n
méiglech	m ɜ ɪ̯ ʑ l ə ɕ
méiglecherweis	m ɜ ɪ̯ ʁ l e χ ɐ v ɑ ɪ̯ s
Méint	m ɜ ɪ̯ n t
Méiw	m e i̯ f
Naachen	n aː χ e n
naass	n aː s
nach	n ɑ χ
Naivitéit	n ɑ i v i t ɜ ɪ̯ t
Nanzeg	n ɑ n t͡s ə ɕ
Napp	n ɑ p
Narziss	n ɑ χ t͡s i s
Nascht	n ɑ ʃ t
natierlech	n a t iː ʀ l e χ
Nationalitéit	n ɑ t͡s j o n ɑ l i t ɜ ɪ̯ t
nawell	n aː v æ l
nee	n eː
Neelcheskapp	n eː l ɕ ə s k ɑ p
neelen	n eː l ə n
neen	n eː n
nees	n eː s
nei	n a i̯
Neiegkeet	n ɑ ɪ̯ ə ɕ k eː t
Neimound	n ɑ ɪ̯ m ə ʊ̯ n t
Neiséiland	n ɑ ɪ̯ z ɜ ɪ̯ l ɑ n t
nennen	n æ n ə n
Nervesee	n æ ʀ v ə z eː
net	n e t
Netz	n æ t͡s
netzen	n æ t s ə n
Netzwierk	n æ t͡s v i ə̯ ʀ k
Neveu	n e v ø
Neveuen	n e v øː e n
Neveuen	n e v ø e n
nidder	n i d ɐ
Nidderkuer	n i d ɐ k uː ə̯
Nidderlanden	n i d e ʀ l a n d ə n
nidderlännesch	n i d ɐ l æ n ə ʃ
Nidderträchtegkeet	n i d ɐ t ʀ æ ɕ t ə ɕ k eː t
nieft	n i ə f t
nieren	n i ə ʀ ə n
Niess	n i e̯ s
Niessen	n i e̯ s e n
Niewefloss	n i ə v ə f l o s
niewent	n i ə v ə n t
Nilpäerd	n iː l p ɛː ə t
Nimm	n i m
Nitt	n i t
niwweleg	n ɪ v ə l ə ɕ
no	n oː
Nodeel	n oː d eː l
nodeem	n oː d eː m
noeneen	n oː ə n eː n
nofillen	n oː f i l ə n
Nohëllef	n oː h ə l ə f
Nol	n oː l
Nomëtteg	n oː m ə t ə ɕ
Nonn	n o n
nonzeg	n o n t͡s ə ɕ
nonzéng	n o n t͡s e ŋ
nonzéngt	n o n t͡s e ŋ t
Noper	n oː p e r
Noperen	n oː p e r e n
Nopesch	n oː p e ʃ
Norden	n o r d e n
Noriicht	n oː ʀ iː ɕ t
Norwegen	n o ʀ v eː ʑ ə n
Noss	n o s
Nott	n o t
Notten	n o t ə n
notzen	n o t͡s ə n
Notzen	n o t͡s ə n
Nout	n ə ʊ̯ t
Nouvelle	n u v æ l
Nuddel	n u d ə l
Nuecht	n u e̯ χ t
Nuef	n u ə f
Nuesen	n u ə z ə n
Nuesschnappech	n u ə̯ s ʃ n ɑ p ə ɕ
Null	n u l
Numm	n u m
Nummer	n u m ɐ
Nächsteléift	n æ k s t ə l ɜ ɪ̯ f t
Näid	n æː ɪ̯ t
näischt	n æː ɪ̯ ʃ t
nämlech	n ɛː m l e χ
nëmmen	n e m e n
Nëssert	n ə s ɐ t
Nëwwi	n e v i
Nëwwien	n e v iː e n
Nëwwien	n e v i e n
Néckel	n e k ə l
nécken	n e k ə n
néideg	n ɜ ɪ̯ d ə ɕ
néien	n ɜ ɪ̯ ə n
Néiesch	n ɜ ɪ̯ ə ʃ
néng	n e ŋ
Nénga	n e ŋ aː
néngt	n e ŋ t
ob	o p
och	o χ
Ochs	o k s
Odermëllech	oː d ɐ m ə l ə ɕ
of	oː f
Offall	o f f ɑ l
Offer	o f ɐ
Offloss	o f f l o s
Offlëss	o f f l ə s
offléissen	o f f l ɜ ɪ̯ s ə n
Offäll	o f f æ l
