Є	j ɛ
оспівувати	o sʲ pʲ i w ʊ ʋ ɐ t e
останнього	ɔ s t a nʲː ɔ ɦ ɔ
останньому	ɔ s t a nʲː ɔ m ʊ
останньою	ɔ s t a nʲː ɔ j ʊ
останньої	ɔ s t a nʲː ɔ j i
останню	ɔ s t a nʲː ʊ
остання	ɔ s t a nʲː ɐ
останнє	ɔ s t a nʲː e
останні	ɔ s t a nʲː i
останній	ɔ s t a nʲː i i̯
останнім	ɔ s t a nʲː i m
останніми	ɔ s t a nʲː i m e
останніх	ɔ s t a nʲː i x
остарбайтер	ɔ s t a r b ɐ i̯ t e r
остаточно	ɔ s t ɐ t ɔ t͡ʃ n ɔ
остача	ɔ s t a t͡ʃ ɐ
остигати	ɔ s t e ɦ a t e
остиглий	ɔ s t ɪ ɦ ɫ e i̯
остигне	ɔ s t ɪ ɦ n e
остигнути	ɔ s t ɪ ɦ n ʊ t e
остигнуть	ɔ s t ɪ ɦ n ʊ tʲ
остигти	ɔ s t ɪ ɦ t e
осторонь	ɔ s t ɔ r ɔ nʲ
острів	ɔ s tʲ rʲ i u̯
острів'янин	ɔ s tʲ rʲ i ʋ j a n e n
острівець	ɔ s tʲ rʲ i ʋ ɛ t͡sʲ
осучаснити	ɔ s ʊ t͡ʃ a s n e t e
осучаснювати	ɔ s ʊ t͡ʃ a sʲ nʲ ʊ ʋ ɐ t e
ось	ɔ sʲ
осягати	ɔ sʲ ɐ ɦ a t e
осягнути	ɔ sʲ ɐ ɦ n u t e
осягти	ɔ sʲ ɐ ɦ t ɪ
осіб	o sʲ i b
осіла	o sʲ i ɫ ɐ
осілий	o sʲ i ɫ e i̯
осіменіння	ɔ sʲ i m e nʲ i nʲː ɐ
осінню	ɔ sʲ i nʲː ʊ
осінній	o sʲ i nʲː i i̯
осінь	ɔ sʲ i nʲ
осічка	o sʲ i t͡ʃ k ɐ
осічку	o sʲ i t͡ʃ k ʊ
отава	ɔ t a ʋ ɐ
отаман	ɔ t a m ɐ n
отаманенко	ɔ t ɐ m ɐ n ɛ n k ɔ
отаманиха	ɔ t ɐ m a n e x ɐ
отаманівна	ɔ t ɐ m ɐ nʲ i u̯ n ɐ
отвір	ɔ tʲ ʋʲ i r
отець	ɔ t ɛ t͡sʲ
отже	ɔ d ʒ e
ототожнений	ɔ t ɔ t ɔ ʒ n e n e i̯
ототожнення	ɔ t ɔ t ɔ ʒ n e nʲː ɐ
ототожнити	ɔ t ɔ t ɔ ʒ n e t e
ототожнювати	ɔ t ɔ t ɔ ʒ nʲ ʊ ʋ ɐ t e
оточення	ɔ t ɔ t͡ʃ e nʲː ɐ
оточити	ɔ t ɔ t͡ʃ ɪ t e
оточувати	ɔ t ɔ t͡ʃ ʊ ʋ ɐ t e
отримав	ɔ t r ɪ m ɐ u̯
отримала	ɔ t r ɪ m ɐ ɫ ɐ
отримали	ɔ t r ɪ m ɐ ɫ e
отримало	ɔ t r ɪ m ɐ ɫ ɔ
отриманий	ɔ t r ɪ m ɐ n e i̯
отриманню	ɔ t r ɪ m ɐ nʲː ʊ
отримання	ɔ t r ɪ m ɐ nʲː ɐ
отриманням	ɔ t r ɪ m ɐ nʲː ɐ m
отриманні	ɔ t r ɪ m ɐ nʲː i
отримати	ɔ t r ɪ m ɐ t e
отримаю	ɔ t r ɪ m ɐ j ʊ
отримають	ɔ t r ɪ m ɐ j ʊ tʲ
отримає	ɔ t r ɪ m ɐ j e
отримаєм	ɔ t r ɪ m ɐ j e m
отримаємо	ɔ t r ɪ m ɐ j e m ɔ
отримаєте	ɔ t r ɪ m ɐ j e t e
отримаєш	ɔ t r ɪ m ɐ j e ʃ
отримувати	ɔ t r ɪ m ʊ ʋ ɐ t e
отруйний	o t r u i̯ n e i̯
отрута	o t r u t ɐ
отруєння	o t r u j e nʲː ɐ
отруїти	ɔ t r ʊ j i t e
отче	ɔ t͡ʃː e
офензива	ɔ f e n z ɪ ʋ ɐ
офігенний	ɔ fʲ i ɦ ɛ nː e i̯
офіра	o fʲ i r ɐ
офіс	ɔ fʲ i s
офісам	ɔ fʲ i s ɐ m
офісами	ɔ fʲ i s ɐ m e
офісах	ɔ fʲ i s ɐ x
офіси	ɔ fʲ i s e
офісний	ɔ fʲ i s n e i̯
офісові	ɔ fʲ i s ɔ ʋʲ i
офісом	ɔ fʲ i s ɔ m
офісу	ɔ fʲ i s ʊ
офісі	ɔ fʲ i sʲ i
офісів	ɔ fʲ i sʲ i u̯
офіцер	ɔ fʲ i t͡s ɛ r
офіцера	ɔ fʲ i t͡s ɛ r ɐ
офіцерам	ɔ fʲ i t͡s ɛ r ɐ m
офіцерами	ɔ fʲ i t͡s ɛ r ɐ m e
офіцерах	ɔ fʲ i t͡s ɛ r ɐ x
офіцере	ɔ fʲ i t͡s ɛ r e
офіцери	ɔ fʲ i t͡s ɛ r e
офіцерові	ɔ fʲ i t͡s ɛ r ɔ ʋʲ i
офіцером	ɔ fʲ i t͡s ɛ r ɔ m
офіцеру	ɔ fʲ i t͡s ɛ r ʊ
офіцері	ɔ fʲ i t͡s ɛ rʲ i
офіцерів	ɔ fʲ i t͡s ɛ rʲ i u̯
офіціант	ɔ fʲ i t͡sʲ i a n t
офіціантка	ɔ fʲ i t͡sʲ i a n t k ɐ
офіційна	ɔ fʲ i t͡sʲ i i̯ n ɐ
офіційне	ɔ fʲ i t͡sʲ i i̯ n e
офіційний	ɔ fʲ i t͡sʲ i i̯ n e i̯
офіційним	ɔ fʲ i t͡sʲ i i̯ n e m
офіційними	ɔ fʲ i t͡sʲ i i̯ n e m e
офіційних	ɔ fʲ i t͡sʲ i i̯ n e x
офіційного	ɔ fʲ i t͡sʲ i i̯ n ɔ ɦ ɔ
офіційному	ɔ fʲ i t͡sʲ i i̯ n ɔ m ʊ
офіційною	ɔ fʲ i t͡sʲ i i̯ n ɔ j ʊ
офіційної	ɔ fʲ i t͡sʲ i i̯ n ɔ j i
офіційну	ɔ fʲ i t͡sʲ i i̯ n ʊ
офіційні	ɔ fʲ i t͡sʲ i i̯ nʲ i
офіційній	ɔ fʲ i t͡sʲ i i̯ nʲ i i̯
офіційнім	ɔ fʲ i t͡sʲ i i̯ nʲ i m
охайний	ɔ x a i̯ n e i̯
охолодження	ɔ x ɔ ɫ ɔ d͡ʒ e nʲː ɐ
охолоджувальний	ɔ x ɔ ɫ ɔ d͡ʒ ʊ ʋ ɐ lʲ n e i̯
охолоджувати	ɔ x ɔ ɫ ɔ d͡ʒ ʊ ʋ ɐ t e
охолоджуватися	ɔ x ɔ ɫ ɔ d͡ʒ ʊ ʋ ɐ t e sʲ ɐ
охолодити	ɔ x ɔ ɫ ɔ d ɪ t e
охолодитися	ɔ x ɔ ɫ ɔ d ɪ t e sʲ ɐ
охолонути	ɔ x ɔ ɫ ɔ n ʊ t e
охопила	ɔ x ɔ p ɪ ɫ ɐ
охопити	ɔ x ɔ p ɪ t e
охоплював	ɔ x ɔ p lʲ ʊ ʋ ɐ u̯
охоплювала	ɔ x ɔ p lʲ ʊ ʋ ɐ ɫ ɐ
охоплювали	ɔ x ɔ p lʲ ʊ ʋ ɐ ɫ e
охоплювало	ɔ x ɔ p lʲ ʊ ʋ ɐ ɫ ɔ
охоплювати	ɔ x ɔ p lʲ ʊ ʋ ɐ t e
охоплюватиме	ɔ x ɔ p lʲ ʊ ʋ ɐ t e m e
охоплюватимуть	ɔ x ɔ p lʲ ʊ ʋ ɐ t e m ʊ tʲ
охоплюють	ɔ x ɔ p lʲ ʊ j ʊ tʲ
охоплює	ɔ x ɔ p lʲ ʊ j e
охорона	ɔ x ɔ r ɔ n ɐ
охоронець	ɔ x ɔ r ɔ n e t͡sʲ
охоронитель	ɔ x ɔ r ɔ n ɪ t e lʲ
охоронителю	ɔ x ɔ r ɔ n ɪ t e lʲ ʊ
охоронити	ɔ x ɔ r ɔ n ɪ t e
охороняти	ɔ x ɔ r ɔ nʲ a t e
охоче	ɔ x ɔ t͡ʃ e
охочий	ɔ x ɔ t͡ʃ e i̯
охра	ɔ x r ɐ
охтирський	ɔ x t ɪ r sʲ k e i̯
охуїлий	ɔ x ʊ j i ɫ e i̯
охуїти	ɔ x ʊ j i t e
оце	ɔ t͡s ɛ
оцей	ɔ t͡s ɛ i̯
оцет	ɔ t͡s e t
оцим	ɔ t͡s ɪ m
оцими	ɔ t͡s ɪ m e
оцих	ɔ t͡s ɪ x
оцього	ɔ t͡sʲ ɔ ɦ ɔ
оцьому	ɔ t͡sʲ o m u
оцьому	ɔ t͡sʲ ɔ m ʊ
оцю	o t͡sʲ u
оця	ɔ t͡sʲ a
оці	o t͡sʲ i
оці	ɔ t͡sʲ i
оцій	o t͡sʲ i i̯
оцім	o t͡sʲ i m
оцінити	ɔ t͡sʲ i n ɪ t e
оцінка	o t͡sʲ i n k ɐ
оцінкам	o t͡sʲ i n k ɐ m
оцінками	o t͡sʲ i n k ɐ m e
оцінках	o t͡sʲ i n k ɐ x
оцінки	o t͡sʲ i n k e
оцінкою	o t͡sʲ i n k ɔ j ʊ
оцінку	o t͡sʲ i n k ʊ
оцінок	o t͡sʲ i n ɔ k
оцінці	o t͡sʲ i nʲ t͡sʲ i
оцінювання	o t͡sʲ i nʲ ʊ ʋ ɐ nʲː ɐ
оцінювати	o t͡sʲ i nʲ ʊ ʋ ɐ t e
оцією	ɔ t͡sʲ i j ɛ j ʊ
оцієї	ɔ t͡sʲ i j ɛ j i
очам	ɔ t͡ʃ a m
очах	ɔ t͡ʃ a x
очевидець	ɔ t͡ʃ e ʋ ɪ d e t͡sʲ
очевидиця	ɔ t͡ʃ e ʋ ɪ d e t͡sʲ ɐ
очевидна	ɔ t͡ʃ e ʋ ɪ d n ɐ
очевидне	ɔ t͡ʃ e ʋ ɪ d n e
очевидний	ɔ t͡ʃ e ʋ ɪ d n e i̯
очевидним	ɔ t͡ʃ e ʋ ɪ d n e m
очевидними	ɔ t͡ʃ e ʋ ɪ d n e m e
очевидних	ɔ t͡ʃ e ʋ ɪ d n e x
очевидно	ɔ t͡ʃ e ʋ ɪ d n ɔ
очевидного	ɔ t͡ʃ e ʋ ɪ d n ɔ ɦ ɔ
очевидному	ɔ t͡ʃ e ʋ ɪ d n ɔ m ʊ
очевидною	ɔ t͡ʃ e ʋ ɪ d n ɔ j ʊ
очевидної	ɔ t͡ʃ e ʋ ɪ d n ɔ j i
очевидну	ɔ t͡ʃ e ʋ ɪ d n ʊ
очевидні	ɔ t͡ʃ e ʋ ɪ dʲ nʲ i
очевидній	ɔ t͡ʃ e ʋ ɪ dʲ nʲ i i̯
очевиднім	ɔ t͡ʃ e ʋ ɪ dʲ nʲ i m
очей	ɔ t͡ʃ ɛ i̯
оченя	ɔ t͡ʃ e nʲ a
очеревина	ɔ t͡ʃ e r ɛ ʋ e n ɐ
очерет	ɔ t͡ʃ e r ɛ t
очима	ɔ t͡ʃ ɪ m ɐ
очисний	ɔ t͡ʃ e s n ɪ i̯
очистити	ɔ t͡ʃ ɪ s t e t e
очиці	ɔ t͡ʃ ɪ t͡sʲ i
очищати	ɔ t͡ʃ e ʃ t͡ʃ a t e
очищення	ɔ t͡ʃ ɪ ʃ t͡ʃ e nʲː ɐ
очищувальний	ɔ t͡ʃ ɪ ʃ t͡ʃ ʊ ʋ ɐ lʲ n e i̯
очко	ɔ t͡ʃ k ɔ
очолити	ɔ t͡ʃ ɔ ɫ e t e
очолювати	ɔ t͡ʃ ɔ lʲ ʊ ʋ ɐ t e
очі	ɔ t͡ʃʲ i
очікував	o t͡ʃʲ i k ʊ ʋ ɐ u̯
очікувався	o t͡ʃʲ i k ʊ ʋ ɐ u̯ sʲ ɐ
очікувала	o t͡ʃʲ i k ʊ ʋ ɐ ɫ ɐ
очікувалася	o t͡ʃʲ i k ʊ ʋ ɐ ɫ ɐ sʲ ɐ
очікували	o t͡ʃʲ i k ʊ ʋ ɐ ɫ e
очікувалися	o t͡ʃʲ i k ʊ ʋ ɐ ɫ e sʲ ɐ
очікувало	o t͡ʃʲ i k ʊ ʋ ɐ ɫ ɔ
очікувалося	o t͡ʃʲ i k ʊ ʋ ɐ ɫ ɔ sʲ ɐ
очікуваний	o t͡ʃʲ i k ʊ ʋ ɐ n e i̯
очікування	o t͡ʃʲ i k ʊ ʋ ɐ nʲː ɐ
очікувати	o t͡ʃʲ i k ʊ ʋ ɐ t e
очікуватиме	o t͡ʃʲ i k ʊ ʋ ɐ t e m e
очікуватимем	o t͡ʃʲ i k ʊ ʋ ɐ t e m e m
очікуватимемо	o t͡ʃʲ i k ʊ ʋ ɐ t e m e m ɔ
очікуватимете	o t͡ʃʲ i k ʊ ʋ ɐ t e m e t e
очікуватимеш	o t͡ʃʲ i k ʊ ʋ ɐ t e m e ʃ
очікуватиму	o t͡ʃʲ i k ʊ ʋ ɐ t e m ʊ
очікуватимуть	o t͡ʃʲ i k ʊ ʋ ɐ t e m ʊ tʲ
очікуватися	o t͡ʃʲ i k ʊ ʋ ɐ t e sʲ ɐ
очікуй	o t͡ʃʲ i k ʊ i̯
очікуймо	o t͡ʃʲ i k ʊ i̯ m ɔ
очікуйте	o t͡ʃʲ i k ʊ i̯ t e
очікую	o t͡ʃʲ i k ʊ j ʊ
очікують	o t͡ʃʲ i k ʊ j ʊ tʲ
очікуються	o t͡ʃʲ i k ʊ j ʊ t͡sʲː ɐ
очікуючи	o t͡ʃʲ i k ʊ j ʊ t͡ʃ e
очікує	o t͡ʃʲ i k ʊ j e
очікуєм	o t͡ʃʲ i k ʊ j e m
очікуємо	o t͡ʃʲ i k ʊ j e m ɔ
очікуєте	o t͡ʃʲ i k ʊ j e t e
очікується	o t͡ʃʲ i k ʊ j e t͡sʲː ɐ
очікуєш	o t͡ʃʲ i k ʊ j e ʃ
очільник	o t͡ʃʲ i lʲ n e k
ошський	ɔ sʲː k e i̯
оштрафувати	ɔ ʃ t r ɐ f ʊ ʋ a t e
ощасливити	ɔ ʃ t͡ʃ ɐ s ɫ ɪ ʋ e t e
ощасливлювати	ɔ ʃ t͡ʃ ɐ s ɫ ɪ u̯ lʲ ʊ ʋ ɐ t e
п'ю	p j u
п'ють	p j u tʲ
п'ючи	p j ʊ t͡ʃ ɪ
п'явка	p j a u̯ k ɐ
п'ядун	p j ɐ d u n
п'яненький	p j ɐ n ɛ nʲ k e i̯
п'яний	p j a n e i̯
п'яниця	p j ɐ n ɪ t͡sʲ ɐ
п'янство	p j a n s t w ɔ
п'яніти	p j ɐ nʲ i t e
п'ята	p j a t ɐ
п'ята	p j ɐ t a
п'ятдесят	p j ɐ d d e sʲ a t
п'ятдесят	p j ɐ d e sʲ a t
п'ятдесятий	p j ɐ d d e sʲ a t e i̯
п'ятдесятиріччя	p j ɐ d d e sʲ ɐ t e rʲ i t͡ʃʲː ɐ
п'ятдесятитисячний	p j ɐ d d e sʲ ɐ t e t ɪ sʲ ɐ t͡ʃ n e i̯
п'яте	p j a t e
п'ятеро	p j a t e r ɔ
п'яти	p j ɐ t ɪ
п'ятиборства	p j ɐ t e b ɔ r s t ʋ ɐ
п'ятиборство	p j ɐ t e b ɔ r s t w ɔ
п'ятиборством	p j ɐ t e b ɔ r s t w ɔ m
п'ятиборству	p j ɐ t e b ɔ r s t w ʊ
п'ятиборстві	p j ɐ t e b ɔ r s tʲ ʋʲ i
п'ятигодинний	p j ɐ t e ɦ ɔ d ɪ nː e i̯
п'ятий	p j a t e i̯
п'ятикратний	p j ɐ t e k r a t n e i̯
п'ятикутник	p j ɐ t e k u t n e k
п'ятилітровий	p j ɐ t e lʲ i t r ɔ ʋ e i̯
п'ятиметровий	p j ɐ t e m e t r ɔ ʋ e i̯
п'ятиповерховий	p j ɐ t e p ɔ ʋ e r x ɔ ʋ e i̯
п'ятирічний	p j ɐ t e rʲ i t͡ʃ n e i̯
п'ятисот	p j ɐ t e s ɔ t
п'ятисотий	p j ɐ t e s ɔ t e i̯
п'ятитисячний	p j ɐ t e t ɪ sʲ ɐ t͡ʃ n e i̯
п'ятихвилинний	p j ɐ t e x ʋ e ɫ ɪ nː e i̯
п'ятнадцяти	p j ɐ t n ɐ d͡zʲ t͡sʲ ɐ t ɪ
п'ятнадцятий	p j ɐ t n a d͡zʲ t͡sʲ ɐ t e i̯
п'ятнадцятитисячний	p j ɐ t n ɐ d͡zʲ t͡sʲ ɐ t e t ɪ sʲ ɐ t͡ʃ n e i̯
п'ятнадцятихвилинний	p j ɐ t n ɐ d͡zʲ t͡sʲ ɐ t e x ʋ e ɫ ɪ nː e i̯
п'ятнадцять	p j ɐ t n a d͡zʲ t͡sʲ ɐ tʲ
п'ятниць	p j a t n e t͡sʲ
п'ятницю	p j a t n e t͡sʲ ʊ
п'ятниця	p j a t n e t͡sʲ ɐ
п'ятниці	p j a t n e t͡sʲ i
п'ятсот	p j ɐ t͡s ɔ t
п'ятсоттисячний	p j ɐ t͡s ɔ tː ɪ sʲ ɐ t͡ʃ n e i̯
п'ять	p j a tʲ
п'ятьма	p j ɐ tʲ m a
п'ятьом	p j ɐ tʲ ɔ m
п'ятьома	p j ɐ tʲ ɔ m a
п'ятьох	p j ɐ tʲ ɔ x
п'є	p j ɛ
п'єм	p j ɛ m
п'ємо	p j e m ɔ
п'єса	p j ɛ s ɐ
п'єте	p j e t ɛ
п'єц	p j ɛ t͡s
п'єш	p j ɛ ʃ
павза	p a u̯ z ɐ
павич	p ɐ ʋ ɪ t͡ʃ
павлоградський	p ɐ u̯ ɫ ɔ ɦ r a d͡zʲ sʲ k e i̯
павук	p ɐ w u k
павутина	p ɐ w ʊ t ɪ n ɐ
павутиння	p ɐ w ʊ t ɪ nʲː ɐ
павіан	p ɐ ʋʲ i a n
павідь	p a ʋʲ i dʲ
павільйон	p ɐ ʋʲ i lʲ j ɔ n
павітер	p a ʋʲ i t e r
пагорб	p a ɦ ɔ r b
пагін	p a ɦʲ i n
падаль	p a d ɐ lʲ
падати	p a d ɐ t e
падишах	p ɐ d e ʃ a x
падолист	p ɐ d ɔ ɫ ɪ s t
падчерка	p a d͡ʒ t͡ʃ e r k ɐ
падь	p a dʲ
падіж	p ɐ dʲ i ʒ
падіння	p ɐ dʲ i nʲː ɐ
пазати	p a z ɐ t e
пазити	p a z e t e
пазл	p a z ɫ
пазувати	p ɐ z ʊ ʋ a t e
пазуха	p a z ʊ x ɐ
пай	p a i̯
пайок	p ɐ j ɔ k
пакет	p ɐ k ɛ t
пакетик	p ɐ k ɛ t e k
пакування	p ɐ k ʊ ʋ a nʲː ɐ
пакувати	p ɐ k ʊ ʋ a t e
пакунок	p ɐ k u n ɔ k
паладій	p ɐ ɫ a dʲ i i̯
паламар	p ɐ ɫ ɐ m a r
паланка	p ɐ ɫ a n k ɐ
палата	p ɐ ɫ a t ɐ
палаталізація	p ɐ ɫ ɐ t ɐ lʲ i z a t͡sʲ i j ɐ
палаталізувати	p ɐ ɫ ɐ t ɐ lʲ i z ʊ ʋ a t e
палати	p ɐ ɫ a t e
палац	p ɐ ɫ a t͡s
палений	p a ɫ e n e i̯
палестина	p ɐ ɫ e s t ɪ n ɐ
палестинець	p ɐ ɫ e s t ɪ n e t͡sʲ
палестинка	p ɐ ɫ e s t ɪ n k ɐ
палестинський	p ɐ ɫ e s t ɪ nʲ sʲ k e i̯
палець	p a ɫ e t͡sʲ
пали	p ɐ ɫ ɪ
палив	p ɐ ɫ ɪ u̯
паливний	p a ɫ e u̯ n e i̯
паливо	p a ɫ e w ɔ
паливода	p ɐ ɫ ɪ w ɔ d ɐ
паливши	p ɐ ɫ ɪ u̯ ʃ e
палила	p ɐ ɫ ɪ ɫ ɐ
палили	p ɐ ɫ ɪ ɫ e
палило	p ɐ ɫ ɪ ɫ ɔ
палим	p a ɫ e m
палите	p a ɫ e t e
палити	p ɐ ɫ ɪ t e
палить	p a ɫ e tʲ
палить	p ɐ ɫ ɪ tʲ
палиця	p a ɫ e t͡sʲ ɐ
палка	p a ɫ k ɐ
паломник	p ɐ ɫ ɔ m n e k
паломника	p ɐ ɫ ɔ m n e k ɐ
паломникам	p ɐ ɫ ɔ m n e k ɐ m
паломниками	p ɐ ɫ ɔ m n e k ɐ m e
паломниках	p ɐ ɫ ɔ m n e k ɐ x
паломники	p ɐ ɫ ɔ m n e k e
паломником	p ɐ ɫ ɔ m n e k ɔ m
паломнику	p ɐ ɫ ɔ m n e k ʊ
паломників	p ɐ ɫ ɔ m n e kʲ i u̯
паломництво	p ɐ ɫ ɔ m n e t͡s t w ɔ
палтус	p a ɫ t ʊ s
палуба	p a ɫ ʊ b ɐ
пальто	p ɐ lʲ t ɔ
пальцеві	p a lʲ t͡s e ʋʲ i
пальцем	p a lʲ t͡s e m
пальцю	p a lʲ t͡sʲ ʊ
пальця	p a lʲ t͡sʲ ɐ
пальцям	p a lʲ t͡sʲ ɐ m
пальцями	p a lʲ t͡sʲ ɐ m e
пальцях	p a lʲ t͡sʲ ɐ x
пальці	p a lʲ t͡sʲ i
пальців	p a lʲ t͡sʲ i u̯
пальчик	p a lʲ t͡ʃ e k
палю	p ɐ lʲ u
паляниця	p ɐ lʲ ɐ n ɪ t͡sʲ ɐ
паліатив	p ɐ lʲ i ɐ t ɪ u̯
паліативний	p ɐ lʲ i ɐ t ɪ u̯ n e i̯
палій	p a lʲ i i̯
палій	p ɐ lʲ i i̯
палітурник	p ɐ lʲ i t u r n e k
пам'ятав	p ɐ m j ɐ t a u̯
пам'ятавши	p ɐ m j ɐ t a u̯ ʃ e
пам'ятай	p ɐ m j ɐ t a i̯
пам'ятаймо	p ɐ m j ɐ t a i̯ m ɔ
пам'ятайте	p ɐ m j ɐ t a i̯ t e
пам'ятала	p ɐ m j ɐ t a ɫ ɐ
пам'ятали	p ɐ m j ɐ t a ɫ e
пам'ятало	p ɐ m j ɐ t a ɫ ɔ
пам'ятати	p ɐ m j ɐ t a t e
пам'ятаю	p ɐ m j ɐ t a j ʊ
пам'ятають	p ɐ m j ɐ t a j ʊ tʲ
пам'ятаючи	p ɐ m j ɐ t a j ʊ t͡ʃ e
пам'ятає	p ɐ m j ɐ t a j e
пам'ятаєм	p ɐ m j ɐ t a j e m
пам'ятаємо	p ɐ m j ɐ t a j e m ɔ
пам'ятаєте	p ɐ m j ɐ t a j e t e
пам'ятаєш	p ɐ m j ɐ t a j e ʃ
пам'ятка	p a m j ɐ t k ɐ
пам'яткам	p a m j ɐ t k ɐ m
пам'ятками	p a m j ɐ t k ɐ m e
пам'ятках	p a m j ɐ t k ɐ x
пам'ятки	p a m j ɐ t k e
пам'яткою	p a m j ɐ t k ɔ j ʊ
пам'ятку	p a m j ɐ t k ʊ
пам'ятний	p a m j ɐ t n e i̯
пам'ятник	p a m j ɐ t n e k
пам'яток	p a m j ɐ t ɔ k
пам'яттю	p a m j ɐ tʲː ʊ
пам'ятці	p a m j ɐ t͡sʲː i
пам'ять	p a m j ɐ tʲ
пам'яті	p a m j ɐ tʲ i
паморозь	p a m ɔ r ɔ zʲ
памперс	p a m p e r s
пампушечка	p ɐ m p u ʃ k ɐ
пампушка	p ɐ m p u ʃ k ɐ
пан	p ɑ n̪
панахида	p ɐ n ɐ x ɪ d ɐ
панацея	p ɐ n ɐ t͡s ɛ j ɐ
панда	p a n d ɐ
пандемічний	p ɐ n d e mʲ i t͡ʃ n e i̯
пандемія	p ɐ n d e mʲ i j ɐ
пандус	p a n d ʊ s
пане	p a n e
панкреатит	p ɐ n k r e ɐ t ɪ t
панна	p a nː ɐ
панно	p a nː ɔ
панно	p ɐ nː ɔ
панове	p ɐ n ɔ ʋ e
панові	p a n ɔ ʋʲ i
панпсихізм	p ɐ n p s e xʲ i z m
пансексуал	p ɐ n s e k s ʊ a ɫ
пансексуалка	p ɐ n s e k s ʊ a ɫ k ɐ
пансексуальний	p ɐ n s e k s ʊ a lʲ n e i̯
пансексуальність	p ɐ n s e k s ʊ a lʲ nʲ i sʲ tʲ
панславізм	p ɐ n s ɫ ɐ ʋʲ i z m
панство	p a n s t w ɔ
пантеон	p ɐ n t e ɔ n
панував	p ɐ n ʊ ʋ a u̯
панувала	p ɐ n ʊ ʋ a ɫ ɐ
панували	p ɐ n ʊ ʋ a ɫ e
панувало	p ɐ n ʊ ʋ a ɫ ɔ
панування	p ɐ n ʊ ʋ a nʲː ɐ
панувати	p ɐ n ʊ ʋ a t e
пануватиме	p ɐ n ʊ ʋ a t e m e
панчоха	p ɐ n t͡ʃ ɔ x ɐ
паня	p a nʲ ɐ
паня	p ɐ nʲ a
панянка	p ɐ nʲ a n k ɐ
пані	p ɑ n̪ʲ i
паніка	p a nʲ i k ɐ
панікер	p ɐ nʲ i k ɛ r
панікерство	p ɐ nʲ i k ɛ r s t w ɔ
панікувати	p ɐ nʲ i k ʊ ʋ a t e
паніровка	p ɐ nʲ i r ɔ u̯ k ɐ
панічний	p ɐ nʲ i t͡ʃ n e i̯
папараці	p ɐ p ɐ r a t͡sʲ i
папаха	p ɐ p a x ɐ
папера	p ɐ p ɛ r ɐ
паперам	p ɐ p ɛ r ɐ m
паперами	p ɐ p ɛ r ɐ m e
паперах	p ɐ p ɛ r ɐ x
папери	p ɐ p ɛ r e
паперовий	p ɐ p e r ɔ ʋ e i̯
паперові	p ɐ p e r ɔ ʋʲ i
паперові	p ɐ p ɛ r ɔ ʋʲ i
папером	p ɐ p ɛ r ɔ m
паперу	p ɐ p ɛ r ʊ
папері	p ɐ p ɛ rʲ i
паперів	p ɐ p ɛ rʲ i u̯
папороть	p a p ɔ r ɔ tʲ
паприка	p a p r e k ɐ
папський	p a p sʲ k e i̯
папуга	p ɐ p u ɦ ɐ
папужка	p ɐ p u ʒ k ɐ
папір	p ɐ pʲ i r
папірець	p ɐ pʲ i r ɛ t͡sʲ
пара	p a r ɐ
парабола	p ɐ r a b ɔ ɫ ɐ
параболоїд	p ɐ r ɐ b ɔ ɫ ɔ j i d
параграф	p ɐ r a ɦ r ɐ f
парадигма	p ɐ r ɐ d ɪ ɦ m ɐ
парадигматичний	p ɐ r ɐ d e ɦ m ɐ t ɪ t͡ʃ n e i̯
парадокс	p ɐ r ɐ d ɔ k s
парадоксальний	p ɐ r ɐ d ɔ k s a lʲ n e i̯
парадоксальність	p ɐ r ɐ d ɔ k s a lʲ nʲ i sʲ tʲ
паразит	p ɐ r ɐ z ɪ t
паралелепіпед	p ɐ r ɐ ɫ e ɫ e pʲ i p e d
паралель	p ɐ r ɐ ɫ ɛ lʲ
паралельний	p ɐ r ɐ ɫ ɛ lʲ n e i̯
паралельно	p ɐ r ɐ ɫ ɛ lʲ n ɔ
паралізувати	p ɐ r ɐ lʲ i z ʊ ʋ a t e
параліч	p ɐ r a lʲ i t͡ʃ
параметр	p ɐ r a m e t r
параметричний	p ɐ r ɐ m e t r ɪ t͡ʃ n e i̯
параноя	p ɐ r ɐ n ɔ j ɐ
парасолька	p ɐ r ɐ s ɔ lʲ k ɐ
парафія	p ɐ r a fʲ i j ɐ
парашут	p ɐ r ɐ ʃ u t
парашутизм	p ɐ r ɐ ʃ ʊ t ɪ z m
парижанин	p ɐ r e ʒ a n e n
парижанка	p ɐ r e ʒ a n k ɐ
паризький	p ɐ r ɪ zʲ k e i̯
парк	p a r k
паркам	p a r k ɐ m
парками	p a r k ɐ m e
паркан	p ɐ r k a n
парках	p a r k ɐ x
парки	p a r k e
паркові	p a r k ɔ ʋʲ i
парком	p a r k ɔ m
парку	p a r k ʊ
парків	p a r kʲ i u̯
парламент	p ɐ r ɫ a m e n t
парламентська	p ɐ r ɫ a m e nʲ sʲ k ɐ
парламентський	p ɐ r ɫ a m e nʲ sʲ k e i̯
парний	p a r n e i̯
парний	p ɐ r n ɪ i̯
парник	p ɐ r n ɪ k
парниковий	p ɐ r n e k ɔ ʋ e i̯
парникових	p ɐ r n e k ɔ ʋ e x
