@	a̠ t̚ t o̞
茶碗	t͡ɕ a̠ β̞ ã̠ ɴ
茶碗茸	t͡ɕ a̠ β̞ ã̠ n t a̠ k e̞
chang	t͡ɕ ã̠ ɴ
ちゃん	t͡ɕ ã̠ ɴ
槍槓	t͡ɕ ã̠ ŋ k ã̠ ɴ
ちゃんこい	t͡ɕ ã̠ ŋ k o̞ i
ちゃんこ鍋	t͡ɕ ã̠ ŋ k o̞ n a̠ b e̞
ちゃんころ	t͡ɕ ã̠ ŋ k o̞ ɾ o̞
チャンジャ	t͡ɕ ã̠ ɲ̟ d͡ʑ a̠
チャンス	t͡ɕ ã̠ ɰ̃ s ɨ
ちゃんちゃんこ	t͡ɕ ã̠ ɲ̟ t͡ɕ ã̠ ŋ k o̞
ちゃんちゃんばらばら	t͡ɕ ã̠ ɲ̟ t͡ɕ ã̠ m b a̠ ɾ a̠ b a̠ ɾ a̠
香椿	t͡ɕ ã̠ ɲ̟ t͡ɕ ĩ ɴ
ちゃんと	t͡ɕ ã̠ n t o̞
ちゃんねる	t͡ɕ ã̠ nː e̞ ɾ ɯ̟
チャンネル	t͡ɕ ã̠ nː e̞ ɾ ɯ̟
ちゃんばら	t͡ɕ ã̠ m b a̠ ɾ a̠
チャンピオン	t͡ɕ ã̠ m pʲ i õ̞ ɴ
チャンピオンシップ	t͡ɕ ã̠ m pʲ i õ̞ ɰ̃ ɕ i p̚ p ɯ̟
チャンプ	t͡ɕ ã̠ m p ɯ̟
チャンプル	t͡ɕ ã̠ m p ɯ̟ ɾ ɯ̟
チャンプルー	t͡ɕ ã̠ m p ɯ̟ ɾ ɯ̟ː
ちゃんぽん	t͡ɕ ã̠ m p õ̞ ɴ
チヤパス	t͡ɕ i j a̠ p a̠ s ɨ
ちやほや	t͡ɕ i j a̠ h o̞ j a̠
ちゅ	t͡ɕ ɨ
チュ	t͡ɕ ɨ
ぢゅ	d͡ʑ ɨ
ヂュ	d͡ʑ ɨ
中	t͡ɕ ɨː
宙	t͡ɕ ɨː
注	t͡ɕ ɨː
中尉	t͡ɕ ɨː i
注意	t͡ɕ ɨː i
ちゅういがき	t͡ɕ ɨː i ɡ a̠ kʲ i
中医学	t͡ɕ ɨː i ɡ a̠ k ɯ̟
注意欠陥・多動性障害	t͡ɕ ɨː i k e̞ k̚ k ã̠ n t a̠ d o̞ː s e̞ː ɕ o̞ː ɡ a̠ i
中有	t͡ɕ ɨː ɯ̟
中英語	t͡ɕ ɨː e̞ː ɡ o̞
中越	t͡ɕ ɨː e̞ t͡s ɨ
中央	t͡ɕ ɨː o̞ː
中欧	t͡ɕ ɨː o̞ː
中央値	t͡ɕ ɨː o̞ː t͡ɕ i
中加	t͡ɕ ɨː k a̠
中華	t͡ɕ ɨː k a̠
仲夏	t͡ɕ ɨː k a̠
鋳貨	t͡ɕ ɨː k a̠
中海	t͡ɕ ɨː k a̠ i
仲介	t͡ɕ ɨː k a̠ i
厨芥	t͡ɕ ɨː k a̠ i
杻械	t͡ɕ ɨː k a̠ i
注解	t͡ɕ ɨː k a̠ i
衷懐	t͡ɕ ɨː k a̠ i
鋳塊	t͡ɕ ɨː k a̠ i
中外	t͡ɕ ɨː ɡ a̠ i
注解者	t͡ɕ ɨː k a̠ i ɕ a̠
仲介役	t͡ɕ ɨː k a̠ i j a̠ k ɯ̟
宙返り	t͡ɕ ɨː ɡ a̠ e̞ ɾʲ i
中核	t͡ɕ ɨː k a̠ k ɯ̟
中学	t͡ɕ ɨː ɡ a̠ k ɯ̟
中学生	t͡ɕ ɨː ɡ a̠ k ɯ̟̊ s e̞ː
中華圏	t͡ɕ ɨː k a̠ k ẽ̞ ɴ
中型	t͡ɕ ɨː ɡ a̠ t a̠
中華台北	t͡ɕ ɨː k a̠ t a̠ i p e̞ː
中学校	t͡ɕ ɨː ɡ a̠ k̚ k o̞ː
中華鍋	t͡ɕ ɨː k a̠ n a̠ b e̞
中華まん	t͡ɕ ɨː k a̠ m ã̠ ɴ
中辛	t͡ɕ ɨː k a̠ ɾ a̠
中間	t͡ɕ ɨː k ã̠ ɴ
中間圏	t͡ɕ ɨː k ã̠ ŋ k ẽ̞ ɴ
中間子	t͡ɕ ɨː k ã̠ ɰ̃ ɕ i
中間層	t͡ɕ ɨː k ã̠ ɰ̃ s o̞ː
中期	t͡ɕ ɨː kʲ i
注記	t͡ɕ ɨː kʲ i
駐機	t͡ɕ ɨː kʲ i
忠義	t͡ɕ ɨː ɡʲ i
中級	t͡ɕ ɨː kʲ ɨː
中共	t͡ɕ ɨː kʲ o̞ː
中距離	t͡ɕ ɨː kʲ o̞ ɾʲ i
中近東	t͡ɕ ɨː kʲ ĩ n t o̞ː
中軍	t͡ɕ ɨː ɡ ɯ̟̃ ɴ
中継	t͡ɕ ɨː k e̞ː
中継放送	t͡ɕ ɨː k e̞ː h o̞ː s o̞ː
中堅	t͡ɕ ɨː k ẽ̞ ɴ
忠犬	t͡ɕ ɨː k ẽ̞ ɴ
中元	t͡ɕ ɨː ɡ ẽ̞ ɴ
中堅手	t͡ɕ ɨː k ẽ̞ ɰ̃ ɕ ɨ
中古	t͡ɕ ɨː k o̞
中興	t͡ɕ ɨː k o̞ː
中高	t͡ɕ ɨː k o̞ː
忠厚	t͡ɕ ɨː k o̞ː
中高生	t͡ɕ ɨː k o̞ː s e̞ː
忠告	t͡ɕ ɨː k o̞ k ɯ̟
中国	t͡ɕ ɨː ɡ o̞ k ɯ̟
虫国	t͡ɕ ɨː ɡ o̞ k ɯ̟
中国化	t͡ɕ ɨː ɡ o̞ k ɯ̟ k a̠
中国学	t͡ɕ ɨː ɡ o̞ k ɯ̟ ɡ a̠ k ɯ̟
中国語	t͡ɕ ɨː ɡ o̞ k ɯ̟ ɡ o̞
中国人	t͡ɕ ɨː ɡ o̞ k ɯ̟ ʑ ĩ ɴ
中腰	t͡ɕ ɨː ɡ o̞ ɕ i
中古車	t͡ɕ ɨː k o̞ ɕ a̠
中古品	t͡ɕ ɨː k o̞ ç ĩ ɴ
中佐	t͡ɕ ɨː s a̠
中座	t͡ɕ ɨː z a̠
仲裁	t͡ɕ ɨː s a̠ i
駐在員	t͡ɕ ɨː z a̠ i ĩ ɴ
仲裁人	t͡ɕ ɨː s a̠ i ɲ̟ ĩ ɴ
中棹	t͡ɕ ɨː z a̠ o̞
中鷺	t͡ɕ ɨː s a̠ ɡʲ i
中子	t͡ɕ ɨː ɕ i
中止	t͡ɕ ɨː ɕ i
注視	t͡ɕ ɨː ɕ i
中耳	t͡ɕ ɨː ʑ i
忠実	t͡ɕ ɨː ʑ i t͡s ɨ
忠実度	t͡ɕ ɨː ʑ i t͡s ɨ d o̞
注射	t͡ɕ ɨː ɕ a̠
注瀉	t͡ɕ ɨː ɕ a̠
駐車	t͡ɕ ɨː ɕ a̠
注射器	t͡ɕ ɨː ɕ a̠ kʲ i
注釈	t͡ɕ ɨː ɕ a̠ k ɯ̟
中杓鴫	t͡ɕ ɨː ɕ a̠ k ɯ̟̊ ɕ i ɡʲ i
駐車場	t͡ɕ ɨː ɕ a̠ ʑ o̞ː
中手骨	t͡ɕ ɨː ɕ ɨ̥ k o̞ t͡s ɨ
抽出	t͡ɕ ɨː ɕ ɨ t͡s ɨ
仲春	t͡ɕ ɨː ɕ ɨ̃ ɴ
中旬	t͡ɕ ɨː ʑ ɨ̃ ɴ
中傷	t͡ɕ ɨː ɕ o̞ː
抽象	t͡ɕ ɨː ɕ o̞ː
中将	t͡ɕ ɨː ʑ o̞ː
抽象画	t͡ɕ ɨː ɕ o̞ː ɡ a̠
抽象主義	t͡ɕ ɨː ɕ o̞ː ɕ ɨ ɡʲ i
抽象的	t͡ɕ ɨː ɕ o̞ː t e̞ kʲ i
昼食	t͡ɕ ɨː ɕ o̞ k ɯ̟
昼食会	t͡ɕ ɨː ɕ o̞ k ɯ̟̊ k a̠ i
昼食代	t͡ɕ ɨː ɕ o̞ k ɯ̟ d a̠ i
中信	t͡ɕ ɨː ɕ ĩ ɴ
中心	t͡ɕ ɨː ɕ ĩ ɴ
中震	t͡ɕ ɨː ɕ ĩ ɴ
忠臣	t͡ɕ ɨː ɕ ĩ ɴ
衷心	t͡ɕ ɨː ɕ ĩ ɴ
中心街	t͡ɕ ɨː ɕ ĩ ŋ ɡ a̠ i
中心地	t͡ɕ ɨː ɕ ĩ ɲ̟ t͡ɕ i
中心的	t͡ɕ ɨː ɕ ĩ n t e̞ kʲ i
ちゅうすい	t͡ɕ ɨː s ɨ i
注水	t͡ɕ ɨː s ɨ i
虫垂	t͡ɕ ɨː s ɨ i
虫垂炎	t͡ɕ ɨː s ɨ i ẽ̞ ɴ
中枢	t͡ɕ ɨː s ɨː
中世	t͡ɕ ɨː s e̞ː
中性	t͡ɕ ɨː s e̞ː
忠誠	t͡ɕ ɨː s e̞ː
中性子	t͡ɕ ɨː s e̞ː ɕ i
中性子星	t͡ɕ ɨː s e̞ː ɕ i̥ s e̞ː
忠誠心	t͡ɕ ɨː s e̞ː ɕ ĩ ɴ
中生代	t͡ɕ ɨː s e̞ː d a̠ i
忠節	t͡ɕ ɨː s e̞ t͡s ɨ
中絶	t͡ɕ ɨː z e̞ t͡s ɨ
中鮮	t͡ɕ ɨː s ẽ̞ ɴ
抽選	t͡ɕ ɨː s ẽ̞ ɴ
鋳造	t͡ɕ ɨː z o̞ː
中足骨	t͡ɕ ɨː s o̞ k̚ k o̞ t͡s ɨ
中卒	t͡ɕ ɨː s o̞ t͡s ɨ
虫損	t͡ɕ ɨː s õ̞ ɴ
中退	t͡ɕ ɨː t a̠ i
中隊	t͡ɕ ɨː t a̠ i
紐帯	t͡ɕ ɨː t a̠ i
中断	t͡ɕ ɨː d ã̠ ɴ
躊躇	t͡ɕ ɨː t͡ɕ o̞
鋳鉄	t͡ɕ ɨː t e̞ t͡s ɨ
中臀筋	t͡ɕ ɨː d ẽ̞ ŋʲ kʲ ĩ ɴ
中途	t͡ɕ ɨː t o̞
ちゅうとう	t͡ɕ ɨː t o̞ː
中東	t͡ɕ ɨː t o̞ː
中等	t͡ɕ ɨː t o̞ː
仲冬	t͡ɕ ɨː t o̞ː
偸盗	t͡ɕ ɨː t o̞ː
柱頭	t͡ɕ ɨː t o̞ː
中道	t͡ɕ ɨː d o̞ː
中等症	t͡ɕ ɨː t o̞ː ɕ o̞ː
中動態	t͡ɕ ɨː d o̞ː t a̠ i
中毒	t͡ɕ ɨː d o̞ k ɯ̟
中毒者	t͡ɕ ɨː d o̞ k ɯ̟̊ ɕ a̠
中毒性	t͡ɕ ɨː d o̞ k ɯ̟ s e̞ː
中途半端	t͡ɕ ɨː t o̞ h ã̠ m p a̠
チュートリアル	t͡ɕ ɨː t o̞ ɾʲ i a̠ ɾ ɯ̟
駐屯	t͡ɕ ɨː t õ̞ ɴ
駐屯地	t͡ɕ ɨː t õ̞ ɲ̟ t͡ɕ i
チューナー	t͡ɕ ɨː n a̠ː
中納言	t͡ɕ ɨː n a̠ ɡ õ̞ ɴ
中肉	t͡ɕ ɨː ɲ̟ i k ɯ̟
ちゅうにごころ	t͡ɕ ɨː ɲ̟ i ɡ o̞ k o̞ ɾ o̞
中日	t͡ɕ ɨː ɲ̟ i t͡ɕ i
駐日	t͡ɕ ɨː ɲ̟ i t͡ɕ i
中二病	t͡ɕ ɨː ɲ̟ i bʲ o̞ː
注入	t͡ɕ ɨː ɲ̟ ɨː
中人	t͡ɕ ɨː ɲ̟ ĩ ɴ
中猫	t͡ɕ ɨː n e̞ k o̞
中年	t͡ɕ ɨː n ẽ̞ ɴ
中波	t͡ɕ ɨː h a̠
中破	t͡ɕ ɨː h a̠
チューバ	t͡ɕ ɨː b a̠
虫媒	t͡ɕ ɨː b a̠ i
中鉢	t͡ɕ ɨː b a̠ t͡ɕ i
中盤	t͡ɕ ɨː b ã̠ ɴ
沢鵟	t͡ɕ ɨː ç i
沢鵟鷲	t͡ɕ ɨː ç i β̞ a̠ ɕ i
チューブ	t͡ɕ ɨː b ɯ̟
中部	t͡ɕ ɨː b ɯ̟
中腹	t͡ɕ ɨː ɸ ɯ̟ k ɯ̟
中文	t͡ɕ ɨː b ɯ̟̃ ɴ
中米	t͡ɕ ɨː b e̞ː
中坊	t͡ɕ ɨː b o̞ː
厨房	t͡ɕ ɨː b o̞ː
注目	t͡ɕ ɨː m o̞ k ɯ̟
注文	t͡ɕ ɨː m õ̞ ɴ
昼夜	t͡ɕ ɨː j a̠
注油	t͡ɕ ɨː j ɯ̟
中葉	t͡ɕ ɨː j o̞ː
チューリッヒ	t͡ɕ ɨː ɾʲ i çː i
チューリップ	t͡ɕ ɨː ɾʲ i p̚ p ɯ̟
中立	t͡ɕ ɨː ɾʲ i t͡s ɨ
中立公	t͡ɕ ɨː ɾʲ i t͡s ɨ k o̞ː
中略	t͡ɕ ɨː ɾʲ a̠ k ɯ̟
駐留	t͡ɕ ɨː ɾʲ ɨː
忠良	t͡ɕ ɨː ɾʲ o̞ː
駐輪	t͡ɕ ɨː ɾʲ ĩ ɴ
チューリンゲン	t͡ɕ ɨː ɾʲ ĩ ŋ ɡ ẽ̞ ɴ
駐輪場	t͡ɕ ɨː ɾʲ ĩ ɲ̟ d͡ʑ o̞ː
チュール	t͡ɕ ɨː ɾ ɯ̟
中流	t͡ɕ ɨː ɾ ɯ̟
九蓮宝燈	t͡ɕ ɨː ɾ ẽ̞ m p o̞ː t õ̞ ɴ
中和	t͡ɕ ɨː β̞ a̠
チュチュ	t͡ɕ ɨ t͡ɕ ɨ̥
チュニジア	t͡ɕ ɨ ɲ̟ i ʑ i a̠
チュニス	t͡ɕ ɨ ɲ̟ i s ɨ
チュニック	t͡ɕ ɨ ɲ̟ i k̚ k ɯ̟
ちゅぱちゅぱ	t͡ɕ ɨ p a̠ t͡ɕ ɨ p a̠
ちゅら	t͡ɕ ɨ ɾ a̠
チュルク	t͡ɕ ɨ ɾ ɯ̟ k ɯ̟
ちゅるん	t͡ɕ ɨ ɾ ɯ̟̃ ɴ
チュロ	t͡ɕ ɨ ɾ o̞
チュロス	t͡ɕ ɨ ɾ o̞ s ɨ
屯邅	t͡ɕ ɨ̃ n t ẽ̞ ɴ
屯蒙	t͡ɕ ɨ̃ mː o̞ː
治癒	t͡ɕ i j ɯ̟
知勇	t͡ɕ i j ɯ̟ː
ちょ	t͡ɕ o̞
チョ	t͡ɕ o̞
著	t͡ɕ o̞
ぢょ	d͡ʑ o̞
ヂョ	d͡ʑ o̞
ちょい	t͡ɕ o̞ i
チョイス	t͡ɕ o̞ i s ɨ
ちょいちょい	t͡ɕ o̞ i t͡ɕ o̞ i
ちょいと	t͡ɕ o̞ i t o̞
ちょい待ち	t͡ɕ o̞ i m a̠ t͡ɕ i
ちょい役	t͡ɕ o̞ i j a̠ k ɯ̟
兆	t͡ɕ o̞ː
司	m a̠ m o̞ ɾ ɯ̟
官	k ã̠ ɴ
庁	t͡ɕ o̞ː
蝶	t͡ɕ o̞ː
調	t͡ɕ o̞ː
長	t͡ɕ o̞ː
鵰	t͡ɕ o̞ː
寵愛	t͡ɕ o̞ː a̠ i
調圧	t͡ɕ o̞ː a̠ t͡s ɨ
長安	t͡ɕ o̞ː ã̠ ɴ
弔意	t͡ɕ o̞ː i
弔慰	t͡ɕ o̞ː i
潮位	t͡ɕ o̞ː i
弔慰金	t͡ɕ o̞ː i kʲ ĩ ɴ
調印	t͡ɕ o̞ː ĩ ɴ
懲役	t͡ɕ o̞ː e̞ kʲ i
超越	t͡ɕ o̞ː e̞ t͡s ɨ
超越数	t͡ɕ o̞ː e̞ t͡s ɨ s ɨː
超大型	t͡ɕ o̞ː o̞ː ɡ a̠ t a̠
長音	t͡ɕ o̞ː õ̞ ɴ
超音波	t͡ɕ o̞ː õ̞ m p a̠
長音符	t͡ɕ o̞ː õ̞ m p ɯ̟
弔花	t͡ɕ o̞ː k a̠
超過	t͡ɕ o̞ː k a̠
長歌	t͡ɕ o̞ː k a̠
懲戒	t͡ɕ o̞ː k a̠ i
朝会	t͡ɕ o̞ː k a̠ i
澄海	t͡ɕ o̞ː k a̠ i
町会	t͡ɕ o̞ː k a̠ i
聴解	t͡ɕ o̞ː k a̠ i
聴覚	t͡ɕ o̞ː k a̠ k ɯ̟
張家口	t͡ɕ o̞ː k a̠ k o̞ː
蝶形	t͡ɕ o̞ː ɡ a̠ t a̠
蝶形弁	t͡ɕ o̞ː ɡ a̠ t a̠ b ẽ̞ ɴ
朝刊	t͡ɕ o̞ː k ã̠ ɴ
長官	t͡ɕ o̞ː k ã̠ ɴ
鳥瞰	t͡ɕ o̞ː k ã̠ ɴ
鳥瞰図	t͡ɕ o̞ː k ã̠ n d͡z ɨ
腸間膜	t͡ɕ o̞ː k ã̠ mː a̠ k ɯ̟
長期	t͡ɕ o̞ː kʲ i
長期化	t͡ɕ o̞ː kʲ i k a̠
町議会	t͡ɕ o̞ː ɡʲ i k a̠ i
長距離	t͡ɕ o̞ː kʲ o̞ ɾʲ i
長兄	t͡ɕ o̞ː k e̞ː
蝶形骨	t͡ɕ o̞ː k e̞ː k o̞ t͡s ɨ
帳消し	t͡ɕ o̞ː k e̞ ɕ i
朝憲	t͡ɕ o̞ː k ẽ̞ ɴ
超現実	t͡ɕ o̞ː ɡ ẽ̞ ɲ̟ d͡ʑ i t͡s ɨ
超現実的	t͡ɕ o̞ː ɡ ẽ̞ ɲ̟ d͡ʑ i t͡s ɨ t e̞ kʲ i
長呼	t͡ɕ o̞ː k o̞
兆候	t͡ɕ o̞ː k o̞ː
彫工	t͡ɕ o̞ː k o̞ː
朝貢	t͡ɕ o̞ː k o̞ː
聴講	t͡ɕ o̞ː k o̞ː
調光	t͡ɕ o̞ː k o̞ː
調貢	t͡ɕ o̞ː k o̞ː
長江	t͡ɕ o̞ː k o̞ː
長考	t͡ɕ o̞ː k o̞ː
聴講生	t͡ɕ o̞ː k o̞ː s e̞ː
超高層	t͡ɕ o̞ː k o̞ː s o̞ː
超高層建築物	t͡ɕ o̞ː k o̞ː s o̞ː k ẽ̞ ɲ̟ t͡ɕ i̥ k ɯ̟ b ɯ̟ t͡s ɨ
超高層ビル	t͡ɕ o̞ː k o̞ː s o̞ː bʲ i ɾ ɯ̟
彫刻	t͡ɕ o̞ː k o̞ k ɯ̟
超克	t͡ɕ o̞ː k o̞ k ɯ̟
彫刻家	t͡ɕ o̞ː k o̞ k ɯ̟ k a̠
ちょうこくぐ座	t͡ɕ o̞ː k o̞ k ɯ̟ ɡ ɯ̟ z a̠
ちょうこくしつ座	t͡ɕ o̞ː k o̞ k ɯ̟̊ ɕ i̥ t͡s ɨ z a̠
腸骨	t͡ɕ o̞ː k o̞ t͡s ɨ
潮差	t͡ɕ o̞ː s a̠
調査	t͡ɕ o̞ː s a̠
調剤	t͡ɕ o̞ː z a̠ i
調査官	t͡ɕ o̞ː s a̠ k ã̠ ɴ
蝶鮫	t͡ɕ o̞ː z a̠ m e̞
鱘魚	t͡ɕ o̞ː z a̠ m e̞
朝三暮四	t͡ɕ o̞ː s ã̠ m b o̞ ɕ i
調子	t͡ɕ o̞ː ɕ i
長子	t͡ɕ o̞ː ɕ i
丁子	t͡ɕ o̞ː ʑ i
弔辞	t͡ɕ o̞ː ʑ i
超時間	t͡ɕ o̞ː ʑ i k ã̠ ɴ
長時間	t͡ɕ o̞ː ʑ i k ã̠ ɴ
超次元	t͡ɕ o̞ː ʑ i ɡ ẽ̞ ɴ
超自然	t͡ɕ o̞ː ɕ i z ẽ̞ ɴ
彫漆	t͡ɕ o̞ː ɕ i t͡s ɨ
庁舎	t͡ɕ o̞ː ɕ a̠
長者	t͡ɕ o̞ː ʑ a̠
聴取	t͡ɕ o̞ː ɕ ɨ
長寿	t͡ɕ o̞ː ʑ ɨ
徴収	t͡ɕ o̞ː ɕ ɨː
潮州	t͡ɕ o̞ː ɕ ɨː
聴衆	t͡ɕ o̞ː ɕ ɨː
鳥獣	t͡ɕ o̞ː ʑ ɨː
潮州語	t͡ɕ o̞ː ɕ ɨː ɡ o̞
徴集兵	t͡ɕ o̞ː ɕ ɨː h e̞ː
聴取者	t͡ɕ o̞ː ɕ ɨ ɕ a̠
調書	t͡ɕ o̞ː ɕ o̞
長所	t͡ɕ o̞ː ɕ o̞
長女	t͡ɕ o̞ː ʑ o̞
嘲笑	t͡ɕ o̞ː ɕ o̞ː
寵妾	t͡ɕ o̞ː ɕ o̞ː
頂上	t͡ɕ o̞ː ʑ o̞ː
朝食	t͡ɕ o̞ː ɕ o̞ k ɯ̟
長じる	t͡ɕ o̞ː ʑ i ɾ ɯ̟
聴診	t͡ɕ o̞ː ɕ ĩ ɴ
調進	t͡ɕ o̞ː ɕ ĩ ɴ
長身	t͡ɕ o̞ː ɕ ĩ ɴ
長針	t͡ɕ o̞ː ɕ ĩ ɴ
超人	t͡ɕ o̞ː ʑ ĩ ɴ
聴診器	t͡ɕ o̞ː ɕ ĩ ŋʲ kʲ i
超新星	t͡ɕ o̞ː ɕ ĩ ɰ̃ s e̞ː
超心理学	t͡ɕ o̞ː ɕ ĩ n̺ ɾʲ i ɡ a̠ k ɯ̟
彫心鏤骨	t͡ɕ o̞ː ɕ ĩ n̺ ɾ ɯ̟ k o̞ t͡s ɨ
徴する	t͡ɕ o̞ː s ɨ ɾ ɯ̟
調整	t͡ɕ o̞ː s e̞ː
長生	t͡ɕ o̞ː s e̞ː
徴税	t͡ɕ o̞ː z e̞ː
朝夕	t͡ɕ o̞ː s e̞ kʲ i
潮汐	t͡ɕ o̞ː s e̞ kʲ i
長石	t͡ɕ o̞ː s e̞ kʲ i
潮汐学	t͡ɕ o̞ː s e̞ kʲ i ɡ a̠ k ɯ̟
潮汐力	t͡ɕ o̞ː s e̞ kʲ i ɾʲ o̞ k ɯ̟
調節	t͡ɕ o̞ː s e̞ t͡s ɨ
超絶	t͡ɕ o̞ː z e̞ t͡s ɨ
長舌	t͡ɕ o̞ː z e̞ t͡s ɨ
挑戦	t͡ɕ o̞ː s ẽ̞ ɴ
朝鮮	t͡ɕ o̞ː s ẽ̞ ɴ
潮汕	t͡ɕ o̞ː s ẽ̞ ɴ
悵然	t͡ɕ o̞ː z ẽ̞ ɴ
超然	t͡ɕ o̞ː z ẽ̞ ɴ
朝鮮語	t͡ɕ o̞ː s ẽ̞ ŋ ɡ o̞
挑戦者	t͡ɕ o̞ː s ẽ̞ ɰ̃ ɕ a̠
朝鮮人	t͡ɕ o̞ː s ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
朝鮮族	t͡ɕ o̞ː s ẽ̞ n d͡z o̞ k ɯ̟
朝鮮半島	t͡ɕ o̞ː s ẽ̞ ɰ̃ h ã̠ n t o̞ː
鳥葬	t͡ɕ o̞ː s o̞ː
町村	t͡ɕ o̞ː s õ̞ ɴ
町村会	t͡ɕ o̞ː s õ̞ ŋ k a̠ i
長蛇	t͡ɕ o̞ː d a̠
長体	t͡ɕ o̞ː t a̠ i
頂戴	t͡ɕ o̞ː d a̠ i
超大国	t͡ɕ o̞ː t a̠ i k o̞ k ɯ̟
長大息	t͡ɕ o̞ː t a̠ i s o̞ k ɯ̟
調達	t͡ɕ o̞ː t a̠ t͡s ɨ
長短	t͡ɕ o̞ː t ã̠ ɴ
跳弾	t͡ɕ o̞ː d ã̠ ɴ
超短波	t͡ɕ o̞ː t ã̠ m p a̠
丁々	t͡ɕ o̞ː t͡ɕ o̞ː
喋々	t͡ɕ o̞ː t͡ɕ o̞ː
町長	t͡ɕ o̞ː t͡ɕ o̞ː
蝶々	t͡ɕ o̞ː t͡ɕ o̞ː
長調	t͡ɕ o̞ː t͡ɕ o̞ː
挑灯	t͡ɕ o̞ː t͡ɕ ĩ ɴ
提灯	t͡ɕ o̞ː t͡ɕ ĩ ɴ
蝶番	t͡ɕ o̞ː t͡s ɨ ɡ a̠ i
ちょうつじ	t͡ɕ o̞ː t͡s ɨ ʑ i
朝廷	t͡ɕ o̞ː t e̞ː
調停	t͡ɕ o̞ː t e̞ː
調停者	t͡ɕ o̞ː t e̞ː ɕ a̠
超低周波音	t͡ɕ o̞ː t e̞ː ɕ ɨː h a̠ õ̞ ɴ
朝敵	t͡ɕ o̞ː t e̞ kʲ i
糶糴	t͡ɕ o̞ː t e̞ kʲ i
頂点	t͡ɕ o̞ː t ẽ̞ ɴ
弔電	t͡ɕ o̞ː d ẽ̞ ɴ
超伝導	t͡ɕ o̞ː d ẽ̞ n d o̞ː
ちょうど	t͡ɕ o̞ː d o̞
稠度	t͡ɕ o̞ː d o̞
調度	t͡ɕ o̞ː d o̞
町道	t͡ɕ o̞ː d o̞ː
聴導犬	t͡ɕ o̞ː d o̞ː k ẽ̞ ɴ
超特急	t͡ɕ o̞ː t o̞ k̚ʲ kʲ ɨː
長トン	t͡ɕ o̞ː t õ̞ ɴ
町内	t͡ɕ o̞ː n a̠ i
町内会	t͡ɕ o̞ː n a̠ i k a̠ i
蝶名林	t͡ɕ o̞ː n a̠ b a̠ j a̠ ɕ i
長男	t͡ɕ o̞ː n ã̠ ɴ
超乳	t͡ɕ o̞ː ɲ̟ ɨː
町人	t͡ɕ o̞ː ɲ̟ ĩ ɴ
蝶ネクタイ	t͡ɕ o̞ː n e̞ k ɯ̟ t a̠ i
超能力	t͡ɕ o̞ː n o̞ː ɾʲ o̞ k ɯ̟
超能力者	t͡ɕ o̞ː n o̞ː ɾʲ o̞ k ɯ̟̊ ɕ a̠
長之助草	t͡ɕ o̞ː n o̞ s ɨ̥ k e̞ s o̞ː
長波	t͡ɕ o̞ː h a̠
帳場	t͡ɕ o̞ː b a̠
糶売	t͡ɕ o̞ː b a̠ i
挑発	t͡ɕ o̞ː h a̠ t͡s ɨ
長髪	t͡ɕ o̞ː h a̠ t͡s ɨ
懲罰	t͡ɕ o̞ː b a̠ t͡s ɨ
長髪賊	t͡ɕ o̞ː h a̠ t͡s ɨ z o̞ k ɯ̟
丁半	t͡ɕ o̞ː h ã̠ ɴ
貼付	t͡ɕ o̞ː ɸ ɯ̟
重複	t͡ɕ o̞ː ɸ ɯ̟ k ɯ̟
超富裕層	t͡ɕ o̞ː ɸ ɯ̟ j ɯ̟ː s o̞ː
長文	t͡ɕ o̞ː b ɯ̟̃ ɴ
徴兵	t͡ɕ o̞ː h e̞ː
徴兵制	t͡ɕ o̞ː h e̞ː s e̞ː
長編	t͡ɕ o̞ː h ẽ̞ ɴ
帳簿	t͡ɕ o̞ː b o̞
徴募	t͡ɕ o̞ː b o̞
長母音	t͡ɕ o̞ː b o̞ ĩ ɴ
弔砲	t͡ɕ o̞ː h o̞ː
諜報	t͡ɕ o̞ː h o̞ː
重宝	t͡ɕ o̞ː h o̞ː
眺望	t͡ɕ o̞ː b o̞ː
長方形	t͡ɕ o̞ː h o̞ː k e̞ː
徴募兵	t͡ɕ o̞ː b o̞ h e̞ː
張本	t͡ɕ o̞ː h õ̞ ɴ
張本人	t͡ɕ o̞ː h õ̞ ɲ̟ː ĩ ɴ
蝶豆	t͡ɕ o̞ː m a̠ m e̞
超満員	t͡ɕ o̞ː m ã̠ ɰ̃ ĩ ɴ
調味	t͡ɕ o̞ː mʲ i
調味料	t͡ɕ o̞ː mʲ i ɾʲ o̞ː
蝶結び	t͡ɕ o̞ː m ɯ̟ s ɨ bʲ i
丁目	t͡ɕ o̞ː m e̞
長命	t͡ɕ o̞ː m e̞ː
聴聞	t͡ɕ o̞ː m õ̞ ɴ
聴聞会	t͡ɕ o̞ː m õ̞ ŋ k a̠ i
超訳	t͡ɕ o̞ː j a̠ k ɯ̟
跳躍	t͡ɕ o̞ː j a̠ k ɯ̟
徴用	t͡ɕ o̞ː j o̞ː
重陽	t͡ɕ o̞ː j o̞ː
凋落	t͡ɕ o̞ː ɾ a̠ k ɯ̟
調理	t͡ɕ o̞ː ɾʲ i
