'ya	j̰ áː
sarara	s ə̀ ɽ ə̀ ɽ ə̀
saratu	s áː r ə́ t ɪ̀
sarauniya	s ə́ ɽ á u n ɪ̀ j áː
sardauna	s à r d á u n ə́
sarka	s à r k áː
sarki	s á ɽ c íː
sarki	s á ɽ c ɪ́
sarƙa	s á ɽ kʼ àː
sashi	s áː ʃ ìː
sata	s áː t àː
sati	s áː t íː
satumba	s ə̀ t ɪ́ m b àː
sau	s à u
sau	s á u
saudiyya	s à u d ɪ́ j j àː
sauka	s à u k áː
sauka	s à u k ə́
sauna	s á u n àː
sauti	s á u t ìː
saye	s àː j éː
saye	s ɛ̀ j éː
saɗara	s ə̀ ɗ ə́ r àː
sef	s ê ɸ
sha	ʃ ə́
sha'aban	ʃ ə̀ ʔ à b â ŋ
sha'ani	ʃ ə́ ʔ à n íː
shaci	ʃ áː t͡ʃ ìː
shadda	ʃ á d d àː
shadda	ʃ â d d áː
shafa	ʃ àː ɸ áː
shafa	ʃ áː ɸ àː
shahada	ʃ ə̀ h áː d àː
shaho	ʃ áː h òː
shai'an	ʃ é i ʔ à ŋ
shaihi	ʃ é i h ìː
shaiɗan	ʃ è i ɗ â ŋ
sham	ʃ â ŋ
shanono	ʃ àː n óː n ò
sharaɗi	ʃ ə́ r ə̀ ɗ íː
sharhi	ʃ á r h ìː
shari'a	ʃ ə̀ r ɪ́ ʔ àː
sharif	ʃ ə̀ r ɪ̂ ɸ
sharifi	ʃ ə̀ r íː ɸ ìː
sharo	ʃ ə́ r ò
sharri	ʃ á r r ìː
sharu	ʃ ə̀ r ûː
shat	ʃ â t
shata	ʃ ə́ t àː
shawar̃a	ʃ áː w ə́ r àː
shawwal	ʃ à w w â l
shayi	ʃ àː j íː
shayi	ʃ áː j ɪ̀
shehi	ʃ éː h ìː
shehu	ʃ éː h ùː
shekara	ʃ èː k ə́ ɽ àː
shekarau	ʃ èː k ə̀ ɽ á u
sheƙeƙe	ʃ èː cʼ èː cʼ èː
shi	ʃ ɪ́
shida	ʃ ɪ́ d ə̀
shifta	ʃ ɪ́ ɸ t àː
shiga	ʃ ɪ̀ ɡ áː
shin	ʃ ɪ́ ŋ
shinge	ʃ ɪ́ ɲ ɟ éː
shinkafa	ʃ ɪ̀ ŋ k áː ɸ áː
shirim	ʃ ɪ̀ ɽ ɪ̀ m
shirka	ʃ ɪ́ r k àː
shiru	ʃ ɪ́ ɽ úː
shirwa	ʃ ɪ́ ɽ w àː
shu'umi	ʃ ɪ́ ʔ ʊ̀ m íː
shugabanci	ʃ úː ɡ ə́ b á n t͡ʃ ìː
shuka	ʃ úː k àː
shuri	ʃ úː ɽ ìː
shuɗi	ʃ úː ɗ ìː
sifiri	s ɪ́ ɸ ɪ̀ r íː
siga	s íː ɡ àː
siket	s ɪ̀ c á t
sila	s ɪ́ l àː
sili	s íː l ìː
silin	s íː l ɪ̀ ŋ
sin	s ɪ́ ŋ
sirdi	s ɪ́ r d ìː
siriya	s íː r ɪ́ j ɛ̀
sista	s ɪ́ s t àː
sitam	s ɪ̀ t â ŋ
sitampi	s ɪ̀ t á m p ìː
sitira	s ɪ̀ t ɪ́ r àː
sito	s ɪ̀ t ó
sittin	s ɪ̀ t t ɪ́ ŋ
siyaki	s ɪ̀ j áː c íː
siyasa	s ɪ̀ j áː s àː
siɗik	s ɪ́ ɗ ɪ́ k
soba	s òː b ə́
soci	s óː t͡ʃ ɪ̀
soja	s óː d͡ʒ ə̀
sol	s ɔ́ l
somi	s óː m ìː
soso	s òː s óː
soye	s òː j éː
su	s ùː
sufana	s ɪ̀ ɸ áː n àː
sujjada	s ɪ̀ d d͡ʒ ə́ d àː
sukari	s ɪ́ k ə̀ r íː
sukuku	s ɪ̀ kʷ ʊ̀ kʷ ʊ̀
sulemanu	s ɪ́ l èː m áː n ɪ̀
sulhu	s ɪ́ l h ùː
sum	s ɪ̀ m
sumul	s ɪ́ m ʊ́ l
suna	s úː n áː
sunduƙi	s ɪ̀ n d úː cʼ ìː
sunna	s ɪ́ n n àː
sura	s ùː r áː
sura	s úː r àː
suya	s úː j àː
ta'adda	t ə́ ʔ à d d ə́
tabarau	t ə̀ b àː ɽ á u
tabarma	t àː b á ɽ m áː
tabbatarwa	t á b b ə́ t â r w áː
tabo	t ə́ b òː
tadawa	t ə̀ d ə́ w àː
tafarki	t ə́ ɸ á ɽ c ìː
tafarnuwa	t ə̀ ɸ á r n ʊ́ w áː
tafiya	t ə̀ ɸ ɪ́ j àː
tafki	t á ɸ c ìː
tafsiri	t à ɸ s íː r ìː
taga	t áː ɡ àː
tagomashi	t ə́ ɡʷ óː m ə̀ ʃ íː
taguwa	t àː ɡʷ ʊ́ w àː
taguwa	t ə́ ɡʷ ʊ́ w àː
taimako	t è i m ə́ kʷ óː
tajiri	t áː d͡ʒ ɪ̀ r íː
takalmi	t àː k à l m íː
takarda	t ə́ k à r d áː
takila	t áː c ɪ̀ l ə̀
takobi	t ə́ kʷ òː b íː
takum	t áː kʷ ʊ̀ ŋ
takunkumi	t àː kʷ ʊ́ ŋ kʷ ʊ̀ m íː
takwas	t ə́ kʷ à s
talaka	t ə́ l ə̀ k ə̀
talata	t ə̀ l áː t ə̀
talatin	t ə̀ l àː t ɪ́ ŋ
talatu	t ə̀ l áː t ɪ̀
taliki	t áː l ɪ̀ c íː
talla	t à l l ə̀
tallafa	t à l l ə́ ɸ àː
tallafa	t á l l áː ɸ ə̀
talle	t á l l éː
talotalo	t ə̀ l ó t ə̀ l ó
tama	t ə́ m áː
tamanin	t ə̀ m àː n ɪ́ ŋ
tambari	t á m b ə̀ ɽ íː
tambaya	t à m b ɛ́ j àː
tambutu	t à m b úː t ɪ̀ , t á m b úː t ɪ̀
tana	t áː n áː
tanaka	t àː n áː k àː
tandu	t á n d úː
tanimu	t ə̀ n íː m ʊ̀
tankarki	t à ŋ k á ɽ c ìː
tano	t ə̀ n ôː
tantabara	t à n t ə́ b ə̀ r áː
tantakwashi	t à n t ə́ kʷ ə̀ ʃ íː
tanti	t á n t ìː
tara	t àː ɽ áː
tara	t áː ɽ àː
tara	t ə̀ ɽ áː
tara	t ə́ r ə̀
tarabulus	t ə́ r áː b ʊ́ l ɪ̀ s
tarbiyya	t à r b ɪ́ j j àː
tarihi	t áː r íː h ìː
tarnatsa	t á r n ə́ sʼ áː
taru	t áː ɽ úː
tasa	t áː s àː
tasalla	t ə́ s á l l ə̀
tasi	t àː s îː
tasiri	t áː s íː ɽ ìː
taska	t á s k àː
tasku	t á s kʷ ʊ̀
taswira	t àː s w íː r àː
tattabara	t à t t ə́ b ə̀ r áː
tattasai	t àː t t àː s é i
tattaunawa	t á t t à u n âː w áː
tatul	t àː t ɪ́ l
taubashi	t á u b àː ʃ íː
tauhidi	t à u h íː d ìː
tauna	t á u n àː
tauraro	t à u ɽ áː ɽ òː
taure	t á u ɽ èː
tausa	t à u s áː
tautau	t á u t à u
tawada	t ə̀ w ə́ d àː
taɓo	t ə̀ ɓ óː
tef	t é ɸ
teku	t èː kʷ ʊ́
tela	t éː l ə̀
ti	t îː
tif	t ɪ̂ ɸ
tifa	t íː ɸ àː
tijara	t ɪ̀ d͡ʒ áː r àː
tik	t ɪ̂ k
tilas	t íː l à s
tilo	t ìː l óː
tim	t ɪ̂ m
tim	t ɪ̂ ŋ
tire	t ɪ̀ r é
tis'in	t ɪ̀ s ʔ ɪ́ ŋ
titi	t íː t ìː
tiƙis	t ɪ́ cʼ ɪ́ s
tofa	t óː ɸ áː
toka	t òː k áː
ton	t á ŋ
toshiya	t óː ʃ ɪ́ j áː
tozali	t óː z ə̀ l íː
tozo	t óː z óː
tsabga	sʼ á b ɡ àː
tsada	sʼ áː d ə́
tsaf	sʼ á p
tsagagi	sʼ ə́ ɡ ə́ ɟ íː
tsai	sʼ é i
tsaka	sʼ ə́ k áː
tsaka	sʼ ə́ k ə̀
tsakani	sʼ ə̀ k áː n íː
tsakiya	sʼ ə́ c ɪ́ j àː
tsalala	sʼ ə́ l ə́ l ə́
tsamiya	sʼ áː m ɪ́ j áː
tsanyawa	sʼ ɛ́ ɲ j áː w áː
tsari	sʼ áː ɽ ìː
tsarki	sʼ á ɽ c íː
tsaro	sʼ ə̀ ɽ óː
tsatsa	sʼ áː sʼ àː
tsauni	sʼ á u n ìː
tsawo	sʼ ə́ w óː
tsere	sʼ éː ɽ é
tsibiri	sʼ ɪ̀ b ɪ́ ɽ íː
tsigi	sʼ íː ɟ íː
tsila	sʼ íː l ə́
tsintsiya	sʼ ɪ́ n sʼ ɪ́ ɲ j áː
tsit	sʼ ɪ́ t
tsoho	sʼ óː h óː
tsoka	sʼ óː k àː
tsokana	sʼ óː k ə̀ n áː
tsololo	sʼ òː l òː l òː
tsundum	sʼ ɪ̀ n d ɪ̀ m
tsundum	sʼ ɪ̀ n d ɪ́ m
tsuntsu	sʼ ɪ́ n sʼ úː
tubali	t úː b ə̀ l íː
tubarkalla	t ɪ̀ b á r k á l l àː
tuhuma	t ɪ̀ h ʊ́ m àː
tukuf	t ɪ́ kʷ ʊ́ p
tulu	t ùː l úː
tun	t ɪ́ ŋ
tunau	t ɪ̀ n á u
tuni	t ɪ̀ n ɪ́
tuni	t ɪ́ n ìː
tunkiya	t ɪ́ ɲ c ɪ̀ j áː
tuntu	t ɪ́ n t úː
tuntunmi	t ɪ́ n t ɪ́ m m íː
turai	t úː r é i
turanci	t úː r á n t͡ʃ íː
turare	t ɪ̀ ɽ àː ɽ éː
turba	t ɪ́ ɽ b àː
tururi	t ɪ̀ ɽ ɪ̀ ɽ íː
tusa	t úː s àː
tuta	t úː t àː
tutu	t úː t ɪ̀
tuwo	t ʊ́ w óː
uba	ʔ ʊ̀ b áː
uda	ʔ úː d ə̀
uku	ʔ ʊ́ kʷ ʊ̀
ulu	ʔ úː l ɪ̀
umaru	ʔ ʊ̀ m ə́ r ɪ̀
umra	ʔ ʊ́ m r áː
ungozoma	ʔ ʊ̀ ŋ ɡʷ óː z òː m ə̀
ungulu	ʔ ʊ̀ ŋ ɡʷ ʊ̀ l ɪ́
usaina	ʔ ʊ́ s è i n áː
ushira	ʔ ʊ́ ʃ ɪ̀ r áː
ushiri	ʔ ʊ́ ʃ ɪ̀ r íː
usumanu	ʔ ʊ̀ s ɪ̀ m áː n ɪ̀
usur	ʔ ʊ́ s ɪ̀ r
uwa	ʔ ʊ́ w áː
uwa	ʔ ʊ́ w ə́
uzuri	ʔ ʊ́ z ɪ̀ r íː
uƙuba	ʔ ʊ̀ kʷʼ úː b àː
wa'adi	w ə́ ʔ à d íː
wa'azi	w ə́ ʔ à z íː
wada	w àː d áː
wada	w ə̀ d áː
waga	w áː ɡ áː
wagadugu	w ə̀ ɡ ə̀ d ɪ́ ɡʷ ʊ̀
waha	w ə́ h àː
wahala	w ə̀ h á l àː
wakili	w ə̀ c íː l ìː
wal	w à l
wala	w áː l àː
wala	w áː l áː
walau	w ə̀ l à u
wali	w áː l íː
wali	w ə̀ l îː
waliyyi	w ə̀ l ɪ́ j j ìː
wallafa	w à l l ə́ ɸ àː
wallahi	w æ ɫ óː p
walƙiya	w à l cʼ ɪ́ j áː
wando	w à n d óː
wani	w ə́ n ɪ́
wanka	w á ŋ k àː
wanka	w á ŋ k áː
wanwar	w à m w á r
wanzam	w à n z â ŋ
wanzami	w à n z áː m ìː
wanzanci	w á n z á n t͡ʃ ìː
ware	w áː ɽ èː
wariya	w áː ɽ ɪ́ j áː
warwar	w à r w á r
warwas	w à r w á s
warƙa	w á r kʼ àː
wasa	w àː s áː
wasai	w ə́ s é i
wasali	w ə́ s ə̀ l íː
wasiyya	w ə̀ s ɪ́ j j àː
wasiƙa	w ə̀ s íː kʼ àː
wata	w ə́ t àː
wata	w ə́ t ə́
watari	w ə̀ t ə̀ ɽ ɪ́
wau	w á u
waziri	w ə̀ z íː r ɪ̀ , w ə̀ z íː r ìː
waƙa	w ə́ kʼ ə́
waƙafi	w ə́ kʼ ə̀ ɸ íː
wili	w íː l ìː
wofi	w òː ɸ íː
wokaci	w óː k ə̀ t͡ʃ íː
wudil	w ʊ̀ d ɪ́ l
wul	w ʊ̀ l
wul	w ʊ́ l
wulik	w ʊ́ l ɪ́ k
wuluk	w ʊ́ l ɪ́ k
wuridi	w ʊ́ r ɪ̀ d íː
wuski	w ʊ́ s c ìː
wuski	w ʊ́ s c íː
wuta	w ʊ́ t áː
wuya	w ì j áː
wuya	w í j àː
wuƙa	w ʊ́ kʼ áː
yabirbira	j àː b ɪ́ ɽ b ɪ̀ ɽ áː
yadda	j ɛ́ d d ə̀
yadda	j ɛ̂ d d ə̀
yakubu	j àː kʷ ʊ́ b ʊ̀
yallaɓai	j ɛ́ l l àː ɓ ê i
yalwa	j ɛ̀ l w ə́
yamai	j ɛ̀ m è i
yamal	j ɛ́ m à l
yamma	j ɛ̂ m m áː
yamma	j ɛ̂ m m ə́
yanki	j ɛ́ ɲ c ìː
yanzu	j ɛ̀ n z ɪ́
yari	j ɛ̀ ɽ íː
yarima	j ɛ̀ r íː m ə̀
yarinya	j áː ɽ ɪ́ ɲ j àː
yaro	j áː ɽ òː
yatsa	j áː sʼ àː
yautai	j ɛ́ u t é i
yawa	j ɛ́ w àː
yawanci	j ɛ́ w á n t͡ʃ íː
yayyafi	j ɛ́ j j ɛ́ ɸ íː
yaƙi	j áː cʼ ìː
yaƙubu	j àː kʷʼ ʊ́ b ʊ̀
yis	j ɪ̂ s
yuganda	j ʊ̀ ɡ á n d ə̀
yuli	j úː l ɪ̀
yunan	j ùː n â ŋ
yunananci	j úː n áː n á n t͡ʃ íː
yuni	j úː n ɪ̀
yunƙuri	j ʊ̀ ŋ kʷʼ ʊ́ ɽ íː
yusufu	j úː s ɪ́ ɸ ʊ̀
za'ida	z áː ʔ ɪ́ d àː
zabarjadi	z ə́ b à r d͡ʒ ə́ d ìː
zafaran	z àː ɸ ə̀ r â ŋ
zafi	z áː ɸ íː
zago	z ə́ ɡʷ óː
zahiri	z áː h ɪ̀ r íː
zaiba	z é i b àː
zainabu	z è i n ə́ b ʊ̀
zaiti	z é i t ìː
zaitun	z è i t ɪ̂ ŋ
zaki	z áː c ìː
zakka	z à k k áː
zalunci	z áː l ɪ́ n t͡ʃ ìː
zama	z ə́ m áː
zamani	z àː m áː n ìː
zamani	z áː m ə̀ n íː
zamba	z à m b ə́
zandar	z à n d â r
zara	z àː r áː
zara	z ə̀ ɽ áː
zare	z àː ɽ éː
zare	z áː ɽ èː
zare	z ə̀ ɽ éː
zare	z ə́ ɽ èː
zariya	z áː ɽ ɪ́ j ɛ̀
zarto	z á r t òː
zau	z á u
zauna	z á u n àː
zazzau	z á z z à u
zaƙami	z ə́ kʼ ə̀ m íː
zaƙaƙa	z ə̀ kʼ ə̀ kʼ ə̀
zi	z îː
zigidir	z ɪ̀ ɟ ɪ̀ d ɪ́ r
zik	z ɪ̂ k
zikiri	z ɪ́ c ɪ̀ r íː
zina	z ɪ̀ n áː
zinari	z íː n áː r ìː
zinariya	z íː n áː r ɪ̀ j áː
zira'i	z ɪ̀ r áː ʔ ìː
zololo	z òː l òː l òː
zomo	z óː m óː
zubairu	z ɪ̀ b é i r ɪ̀
zulhajji	z ɪ́ l h á d d͡ʒ ɪ̀
zulƙida	z ɪ̀ l cʼ íː d àː
zuma	z ɪ́ m àː
zumurrudu	z ɪ́ m ʊ̀ r r ɪ́ d ɪ̀
zundum	z ɪ̀ n d ɪ́ m
zunubi	z ɪ̀ n ɪ́ b ìː
zuriya	z ɪ̀ r ɪ́ j àː
zuwa	z ʊ́ w àː
ƙa'ida	kʼ áː ʔ ɪ́ d àː
ƙa'imi	kʼ áː ʔ ɪ̀ m íː
ƙabila	kʼ ə̀ b íː l àː
ƙadangare	kʼ ə̀ d á ŋ ɡ ə́ ɽ èː
ƙaddara	kʼ à d d ə́ r àː
ƙaddara	kʼ á d d ə̀ r áː
ƙafa	kʼ ə́ ɸ àː
ƙaho	kʼ ə̀ h óː
ƙal	kʼ á l
ƙala	kʼ áː l àː
ƙamus	kʼ áː m ʊ̀ s
ƙanana	kʼ ə́ n áː n àː
ƙandas	kʼ á n d á s
ƙanƙane	kʼ à ŋ kʼ ə́ n èː
ƙarami	kʼ ə̀ ɽ ə́ m íː
ƙarni	kʼ á r n ìː
ƙarƙaf	kʼ à ɽ kʼ á p
ƙas	kʼ á s
ƙasa	kʼ ə́ s áː
ƙasa	kʼ ə́ s ə̀
ƙashi	kʼ ə̀ ʃ íː
ƙasida	kʼ ə̀ s íː d àː
ƙato	kʼ áː t òː
ƙaura	kʼ á u ɽ áː
ƙauye	kʼ á u j èː
ƙazaf	kʼ ə́ z à ɸ
ƙazami	kʼ ə̀ z áː m íː
ƙazanta	kʼ ə̀ z â n t áː
ƙerere	cʼ èː ɽ èː ɽ èː
ƙififiya	cʼ ɪ́ ɸ ɪ́ ɸ ɪ́ j ɛ́
ƙirin	cʼ ɪ́ ɽ ɪ́ ŋ
ƙirji	cʼ ɪ̀ ɽ d͡ʒ íː
ƙissa	cʼ ɪ́ s s àː
ƙiyasi	cʼ ɪ̀ j áː s ìː
ƙiƙam	cʼ ìː kʼ à m
ƙoda	kʷʼ óː d àː
ƙorama	kʷʼ òː ɽ ə́ m àː
ƙosai	kʷʼ óː s é i
ƙosau	kʷʼ òː s á u
ƙoƙari	kʷʼ òː kʼ ə́ ɽ ɪ́
ƙoƙiƙoƙi	kʷʼ óː c ɪ̀ kʷʼ óː cʼ ɪ̀
ƙube	kʷʼ úː b è
ƙudus	kʷʼ ʊ́ d ɪ̀ s
ƙugiya	kʷʼ úː ɟ ɪ̀ j áː
ƙulumi	kʷʼ úː l ɪ́ m íː
ƙumba	kʷʼ ʊ̀ m b áː
ƙundu	kʷʼ ʊ̀ n d úː
ƙuri'a	kʷʼ ʊ̀ r ɪ́ ʔ àː
ƙursunsun	kʷʼ ʊ̀ ɽ s ɪ̀ n s ɪ̀ ŋ
ƙurungu	kʷʼ ʊ̀ ɽ ɪ́ ŋ ɡʷ ʊ̀
ƙut	kʷʼ ʊ́ t
ƙuƙut	kʷʼ ʊ́ kʷʼ ʊ́ t
ƙwai	kʷʼ é i
ƙwaro	kʷʼ àː ɽ óː
ƴ	j̰
ɓakutu	ɓ áː kʷ ʊ́ t ɪ́
ɓangwalgwal	ɓ à ŋ ɡʷ à l ɡʷ à l
ɓarawo	ɓ ə̀ ɽ áː w òː
ɓauna	ɓ á u n áː
ɓaure	ɓ á u ɽ éː
ɓaɓura	ɓ áː ɓ ʊ̀ ɽ ə̀
ɓelele	ɓ èː l èː l èː
ɓulla	ɓ ʊ̀ l l ə́
ɓurma	ɓ ʊ́ ɽ m ə́
ɗa	ɗ áː
ɗa'a	ɗ áː ʔ àː
ɗabi'a	ɗ ə̀ b íː ʔ àː
ɗalibi	ɗ áː l ɪ̀ b íː
ɗan	ɗ á ŋ
ɗanjuma	ɗ á n d͡ʒ úː m ə̀
ɗanladi	ɗ á l l áː d ɪ̀
ɗanlami	ɗ á l l àː m îː
ɗantala	ɗ á n t ə̀ l áː
ɗanye	ɗ ɛ́ ɲ j éː
ɗari	ɗ áː ɽ íː
ɗari	ɗ ə̀ ɽ íː
ɗawafi	ɗ ə̀ w áː ɸ ìː
ɗawisu	ɗ áː w íː s ɪ̀
ɗaya	ɗ ɛ́ j ɛ́
ɗefi	ɗ èː ɸ íː
ɗigo	ɗ ɪ́ ɡʷ òː
ɗim	ɗ ɪ̀ m
ɗim	ɗ ɪ̂ m
ɗu	ɗ ùː
ɗungum	ɗ ɪ̀ ŋ ɡʷ ʊ́ m
ʼy	j̰
