A	aː
wenichstens	v eː n i ç ʃ t ə n s
wenn	v ɛ n
wer	v ɛ ɐ̯
werklich	v ɛ r k l i ç
Werklichkeet	v e r k l i ç kʰ eː t
werre	v ɛ r ə
Werst	v ɛ ʃ t
Werter	v ɛ t a
Wesch	v e ʃ
wesche	v e ʃ ə
Wesche	v e ʃ ə
Wespe	v e ʃ p ə
Weste	v e ʃ t ə
Wette	v e t ə
wette	v e t ə
Wetter	v e t ɐ
weve	v eː v ə
Wever	v eː v ɐ
Wichs	v i k s
wichse	v i k s ə
wichtich	v i ç t i ç
Wicke	v i k ə
wickle	v i k l ə
wie	v iː
wiest	v iː ʃ t
wild	v i l t
Wille	v i l ə
willich	v i l i ç
Wimper	v i m p ɐ
Wind	v i n t
Windmihl	v i n t m iː l
winsche	v i n ʃ ə
Winter	v i n t a
wische	v i ʃ ə
wisse	v i s ə
wittichnannerrenne	v i t i ç n a n a r ɛ n ə
Witz	v i t͡s
wo	v oː
Woch	v o x
Woche	v o x ə
Wocheenn	v o x ə ɛ n
Woh	v oː
Wohe	v oː ə
Woherheet	v oː ɐ h eː t
Woherheit	v oː ɐ h a ɪ̯ t
wohne	v oː n ə
Woll	v o l
Wolle	v o l ə
wolle	v o l ə
Wollef	v o l ə f
Wollek	v o l k
Worst	v ɔ ʃ t
Wort	v ɔ t
Worte	v ɔ t ə
Wortschatz	v ɔ t ʃ a t͡s
Wuchs	v u k s
Wund	v u n t
Wunner	v u n a
Wunsch	v u n ʃ
Wut	v uː t
Wutz	v u t͡s
Wutze	v u t͡s ə
wäär	v ɛː r
wäär	v eː a
xloych	ʃ l ɔ j x
Zaal	t͡s ɔː l
zaam	t͡s ɔː m
Zaan	t͡s ɔː n
zaart	t͡s ɔː t
Zang	t͡s a ŋ
Zange	t͡s a ŋ ə
zanke	t͡s a ŋ k ə
Zaum	t͡s a ʊ̯ m
Zaun	t͡s a ʊ̯ n
Zebra	t͡s eː p r a
Zebras	t͡s eː p r a s
zeche	t͡s e ç ə
Zecke	t͡s e k ə
Zeen	t͡s eː n
Zeh	t͡s eː
Zehe	t͡s eː ə
zehn	t͡s eː n
Zeich	t͡s a ɪ̯ ç
zeichne	t͡s a ɪ̯ ç n ə
Zeichnung	t͡s a ɪ̯ ç n u ŋ
Zeid	t͡s a ɪ̯ t
zeidich	t͡s a ɪ̯ r i ç
Zein	t͡s a ɪ̯ n
Zell	t͡s e l
Zelle	t͡s e l ə
zentraal	t͡s n̩ t r ɔː l
Zentrum	t͡s ɛ n t r u m
Zepp	t͡s e p
Zettel	t͡s e t l̩
ziehe	t͡s iː ə
Ziel	t͡s iː l
Zimmer	t͡s i m a
Zimmermann	t͡s i m ɐ m a n
Zimmet	t͡s i m ə t
Zink	t͡s i ŋ k
Zinn	t͡s i n
Zins	t͡s i n s
Zinse	t͡s i n s ə
Zipp	t͡s i p
Zippe	t͡s i p ə
Zitron	t͡s i t r oː n
Zitrone	t͡s i t r oː n ə
zittre	t͡s i t r ə
Zopp	t͡s o p
zu	t͡s uː
Zucker	t͡s u k a
zuckre	t͡s u k r ɐ
zufried	t͡s u f r iː t
zum	t͡s uː m
zumache	t͡s uː m a x ə
Zung	t͡s u ŋ
Zunge	t͡s u ŋ ə
zwanzich	t͡s v a n t͡s i ç
Zweck	t͡s v e k
Zweifel	t͡s v a ɪ̯ f ə l
zweifel	t͡s v a ɪ̯ f ə l
zweifle	t͡s v a ɪ̯ f l ə
zwellef	t͡s v e l ə f
Zwern	t͡s v ɛ n
zwett	t͡s v e t
zweu	t͡s v ɔ ɪ̯
Zwieback	t͡s v iː p a k
Zwilling	t͡s v i l i ŋ
zwing	t͡s v i ŋ
zwingd	t͡s v i ŋ t
zwinge	t͡s v i ŋ ə
zwingst	t͡s v i ŋ ʃ t
Zwiwel	t͡s v i v l̩
Äerd	ɛː a t
Äerdbeer	ɛː a t p eː a
Äerdbeere	ɛː a t p eː r ə
Äerde	ɛː a t ə
Äärem	ɛː r ə m
Äärsch	ɛː ʃ
Ëukalipt	e ʊ̯ k a l i p t
Ëukaliptbaam	e ʊ̯ k a l i p t p ɔː m
Ëuropa	e ʊ̯ r oː p a
Ëuropäer	e ʊ̯ r o p ɛː a
ëuropäisch	e ʊ̯ r o p ɛː i ʃ
ëuropäische	e ʊ̯ r o p ɛː i ʃ ə
ëuropäischem	e ʊ̯ r o p ɛː i ʃ ə m
ëuropäischer	e ʊ̯ r o p ɛː i ʃ a
ëuropäisches	e ʊ̯ r o p ɛː i ʃ ə s
