aba	ɑ b ɑ
çoldoñ	t͡ɕ o l t o ŋ
çollağusı	t͡ʃ o l l ɑ ʁ u s ɨ
çollağusı	t͡ʃ o l l ɑ
çubuğan	t͡ʃ u b u ʁ ɑ n
çugu	t͡ɕ u k u
çulur	t͡ɕ u l u r
çuxraq	t͡ɕ u χ r u χ
çuxraq	t͡ɕ u χ r ɑ χ
çuxrağusı	t͡ɕ u χ r ɑ ʁ u s ɨ
çuxrağusı	t͡ɕ u χ r ɑ
çuxur	t͡ɕ u χ u r
çömgüsi	t͡ɕ ø m ɣ y s i
çömgüsi	t͡ɕ ø m
çömgüsi	t͡ɕ o m ɣ y s i
çömgüsi	t͡ɕ o m
çömgüsi	t͡ɕ u m ɣ y s i
çömgüsi	t͡ɕ u m
çömneğüsi	t͡ɕ o m n e ɣ y s i
çömneğüsi	ʝ ø m n e ɣ y s i
çömneğüsi	ʝ ø m n ɑ ɣ y s i
çöp	t͡ɕ ø pʰ
çöp	t͡ɕ y pʰ
çöxgüsi	t͡ɕ ø x k y s i
çöxgüsi	t͡ɕ y x k y s i
çöxgüsi	t͡ɕ u kʰ k y s i
çöyğüsi	t͡ɕ ø j ɣ y s i
çöyğüsi	t͡ɕ y j ɣ y s i
çüp	t͡ɕ y p
çüp	t͡ɕ o p
çüreğüsi	t͡ɕ y r ɣ y s i
çüreğüsi	t͡ɕ i u r e ɣ y s i
çüreğüsi	t͡ɕ i u r i ɣ y s i
çüreğüsi	t͡ɕ o u r i ɣ y s i
çüreğüsi	t͡ɕ uː r ɣ y s i
çüreğüsi	t͡ɕ i y r ɣ y s i
çüreğüsi	t͡ɕ y v i r ɣ y s i
çüreğüsi	t͡ɕ u v u r ɣ y s i
çürğüsi	t͡ɕ y r ɣ y s i
çürğüsi	t͡ɕ y r ɣ y s i
çürğüsi	t͡ɕ uː r ɣ y s i
çürğüsi	t͡ɕ i y r ɣ y s i
çürğüsi	t͡ɕ y v i r ɣ y s i
çürğüsi	t͡ɕ u v u r ɣ y s i
öhreğüsi	øʰ r i ɣ y s i
öhreğüsi	øʰ r i
öhreğüsi	y h r e ɣ y s i
öhreğüsi	y h r e
öhreğüsi	yʰ r i ɣ y s i
öhreğüsi	yʰ r i
ömükleğüsi	o m ɨ x l ɑ ɣ y s i
ömükleğüsi	o m ɨ x l ɑ
ömükleğüsi	ø m y x l e n ɣ y s i
ömükleğüsi	ø m y x l e n
ömükleğüsi	ø m e x l e n ɣ y s i
ömükleğüsi	ø m e x l e n
ömükleğüsi	ø m æ x l æ ɣ y s i
ömükleğüsi	ø m æ x l æ
öre	ø r i
öre	ø r e
öre	o r ɨ
öre	ø r ø
örmek	o r m e x
örmek	ø r m ø x
örğetgüsi	ø r ɣ e tʰ k y s i
öt	ø t
öt	ø tʰ
öt	ø tʰ
ötgüsi	øʰ tʰ k y s i
ötgüsi	ø tʰ k y s i
ötgüsi	ø tʰ k y s i
ötük	y t y kʰ
ötük	ø t y kʰ
ötük	øʰ t i x
öxen	ø x e n
öxen	ø h h e n
öxen	yʰ e n
öyşi	o j ʃ i
öyşi	uː ʃ i
öyşi	uː ʃ
öyşi	y ʃ i
özengü	ø z e ŋ ɡ u
üldürgüsi	y l d e r ɣ y s i
üldürgüsi	y l d e r
üldürgüsi	y l d i r ɣ y s i
üldürgüsi	y l d i r
üldürgüsi	y l d y r ɣ y s i
üldürgüsi	y l d y r
üldürgüsi	y l d ɨ r ɣ y s i
üldürgüsi	y l d ɨ r
üldürgüsi	y l d e r ɣ y s i
üldürgüsi	y l d e r
üldürgüsi	y l d i r ɣ y s i
üldürgüsi	y l d i r
üldürgüsi	y l d y r ɣ y s i
üldürgüsi	y l d y r
üldürgüsi	ø l d y r ɣ y s i
üldürgüsi	ø l d y r
ülğüsi	y l ɣ y s i
ün	y n
ün	u n
üngülük	y ŋ ɡ y l y x
üngülük	ø ŋ ɡ y l y x
üngülük	y ŋ ɡ e l i x
ütürgü	y tʰ y r k y
ütürgü	yʰ t y r e x
ütürgü	yʰ t y r i x
üxgüsi	y x k y s i
üxgüsi	y x y k y s i
üxgüsi	ø x k y s i
üxsirğüsi	y x s i r ɣ y s i
üxsirğüsi	y x s e r ɣ y s i
üxsirğüsi	ø x s i r ɣ y s i
üxsirğüsi	y x s y r ɣ y s i
üxüt	y x y t
üçürgü	y t͡ɕ y r k y
üçürgü	y t͡ɕ i r i x
üğen	y ɣ e n
üğen	ø ɣ e n
üğen	j y ɣ e n
üğü	u ɣ u
üğü	y ɣ e
üğü	u ɣ i
üğü	u ɣ u
üşgüsi	y ʃ k y s i
üşgüsi	u ʃ q u s ɨ
üşirğüsi	ü ʃ i r ɣ y s i
üşirğüsi	ü ʃ i r
üşirğüsi	ü ʃ e r ( ɣ y s i
üşirğüsi	ü ʃ ø r ɣ y s i
üşirğüsi	ü ʃ ø r
şabaq	ʃ ɑ b ɑ χ
şam	ʃ ɑ m
şam	ʃ æ m
şaraq	ʃ ɑ r ɑ χ
şaraq	ʃ ɑ r ɨ χ
şaraq	ʃ ɑ tʰ r ɑ χ
şili	ʃ i l i
şili	j i ʃ tʰ l i
şili	ʃ i l i
şili	i ʃ l i
şinağa	ʃ i n ɑ ʁ ɑ
şitgüsi	ʃ i tʰ
şitgüsi	j i tʰ
şitgüsi	ʃ i tʰ
şitgüsi	j i tʰ
