Ada	aː t a
laska	l a s k a
laski	l a s c ɪ
laslegur	l aː s l ɛː ɣ ʏ r
lasna	l a s t n a
last	l a s t
latur	l aː t ʏ r
latína	l aː tʰ iː n a
latínuskóli	l aː tʰ iː n ʏ s k o uː l ɪ
lauf	l ø yː v
laufblað	l ø y v p l aː ð
lauftré	l ø y v t r j ɛː
laug	l ø yː ɣ
lauga	l ø yː ɣ a
laugamaðra	l ø yː ɣ a m a ð r a
laugardagur	l ø yː ɣ a r t aː ɣ ʏ r
laugasef	l ø yː ɣ a s ɛː v
laukur	l ø yː k ʏ r
lauma	l ø yː m a
laun	l ø yː n
launahækkun	l ø yː n a h a i h k ʏ n
laus	l ø yː s
lauslátur	l ø yː s l a uː t ʏ r
lauslæti	l ø yː s l a iː t ɪ
lausn	l œ i s t n
lausnarhraði	l ø y s t n a r r̥ aː ð ɪ
lausung	l ø yː s u ŋ k
laut	l ø yː t
lautinant	l ø yː tʰ ɪ n a n̥ t
laxerolía	l a x s ɛ r ɔː l i j a
laða	l aː ð a
lefsa	l ɛ f s a
leg	l ɛː ɣ
lega	l ɛː ɣ a
legbólga	l ɛ ɣ p o u l k a
legging	l ɛ cː i ŋ k
leggja	l ɛ cː a
leggur	l ɛ kː ʏ r
leggöng	l ɛ ɣ k ø y ŋ k
legill	l e iː j ɪ t l
legkaka	l ɛ ɣ kʰ aː k a
legnám	l ɛ ɣ n a uː m
legunautur	l ɛː ɣ ʏ n ø yː t ʏ r
legvatn	l ɛ ɣ v a h t n
leif	l e iː v
leifa	l e iː v a
leifar	l e iː v a r
leiftur	l e i f t ʏ r
leifturstríð	l e i f t ʏ r s t r iː ð
leiga	l e iː ɣ a
leigja	l e iː j a
leigubíll	l e iː ɣ ʏ p i t l
leika	l e iː k a
leikari	l e iː k aː r ɪ
leikbrúða	l e iː k p r uː ð a
leikfang	l e iː k f a u ŋ k
leikfélag	l e iː k f j ɛː l aː ɣ
leikhús	l e iː k h uː s
leikkona	l e iː k kʰ ɔː n a
leikmaður	l e iː k m aː ð ʏ r
leikmynd	l e iː k m ɪ n t
leikrit	l e iː k r ɪː t
leikritaskáld	l e iː k r ɪː t a s k a u l t
leikskóli	l e i k s k o uː l ɪ
leikur	l e iː k ʏ r
leikvangur	l e iː k v a u ŋ k ʏ r
leikvöllur	l e iː k v œ t l ʏ r
leir	l e iː r
leirburður	l e i r p ʏ r ð ʏ r
leit	l e iː t
leið	l e iː ð
leiða	l e iː ð a
leiðangur	l e iː ð a u ŋ k ʏ r
leiðari	l e iː ð aː r ɪ
leiðarstef	l e iː ð a r s t ɛː v
leiðbeining	l e i ð p e iː n i ŋ k
leiði	l e iː ð ɪ
leiðindi	l e iː ð ɪ n t ɪ
leiðni	l e i ð n ɪ
leiðrétting	l e i ð r j ɛ h t i ŋ k
leiðsla	l e i ð s t l a
leiðsögn	l e i ð s œ k n
leiðsögumaður	l e i ð s œː ɣ ʏ m aː ð ʏ r
leiðtogi	l e i ð tʰ ɔː j ɪ
leiður	l e iː ð ʏ r
leka	l ɛː k a
leki	l ɛː c ɪ
lekur	l ɛː k ʏ r
lemja	l ɛ m j a
lemmun	l ɛ mː ʏ n
lemúr	l ɛː m uː r
lenda	l ɛ n t a
lending	l ɛ n t i ŋ k
lengd	l e i ŋ k t
lengja	l e i ɲ c a
lengjast	l e i ɲ c a s t
lengur	l e i ŋ k ʏ r
lensa	l ɛ n s a
lensutungljurt	l ɛ n s ʏ tʰ u ŋ l j ʏ r̥ t
lepja	l ɛː p j a
leppur	l ɛ h p ʏ r
lerki	l ɛ r̥ c ɪ
les	l ɛː s
lesa	l ɛː s a
lesandabréf	l ɛː s a n t a p r j ɛː v
lesandi	l ɛː s a n t ɪ
lesblinda	l ɛː s p l ɪ n t a
lesblindur	l ɛː s p l ɪ n t ʏ r
lesbía	l ɛ s p iː j a
lesminni	l ɛː s m ɪ nː ɪ
lessa	l ɛ sː a
lest	l ɛ s t
lesta	l ɛ s t a
lestarstjóri	l ɛ s t a r s t j o uː r ɪ
lestrarbók	l ɛ s t r a r p o uː k
lestun	l ɛ s t ʏ n
lettneska	l ɛ h t n ɛ s k a
lettneskur	l ɛ h t n ɛ s k ʏ r
letur	l ɛː t ʏ r
leturborð	l ɛː t ʏ r p ɔ r ð
lexía	l ɛ k s iː j a
lexía	l ɛ x s iː j a
leyfa	l e iː v a
leyfi	l e iː v ɪ
leyna	l e iː n a
leynd	l e i n t
leyndarmál	l e i n t a r m a uː l
leyndó	l e i n t o uː
leyni	l e iː n ɪ
leyniskytta	l e iː n ɪ s c ɪ h t a
leysa	l e iː s a
leysibóla	l e iː s ɪ p o uː l a
leysigeisli	l e iː s ɪ c e i s t l ɪ
leysingi	l e iː s i ɲ c ɪ
leysir	l e iː s ɪ r
leðja	l ɛ ð j a
leður	l ɛː ð ʏ r
leðurblaka	l ɛː ð ʏ r p l aː k a
lifa	l ɪː v a
lifandi	l ɪː v a n t ɪ
lifur	l ɪː v ʏ r
liggja	l ɪ cː a
lilja	l ɪ l j a
limgerði	l ɪ m c ɛ r ð ɪ
lind	l ɪ n t
lindasef	l ɪ n t a s ɛː v
lindi	l ɪ n t ɪ
lindifura	l ɪ n t ɪ f ʏː r a
linditré	l ɪ n t ɪ tʰ r j ɛː
linka	l i ŋ̊ k a
linna	l ɪ nː a
linnur	l ɪ nː ʏ r
linsa	l ɪ n s a
linur	l ɪː n ʏ r
lipur	l ɪː p ʏ r
lipurð	l ɪː p ʏ r ð
lirfa	l ɪ r v a
list	l ɪ s t
listasafn	l ɪ s t a s a p n
listasaga	l ɪ s t a s aː ɣ a
listaskóli	l ɪ s t a s k o uː l ɪ
listmálari	l ɪ s t m a uː l a r ɪ
listsýning	l ɪ s t s iː n i ŋ k
lita	l ɪː t a
litarefni	l ɪː t a r ɛ p n ɪ
litaröð	l ɪː t a r œː ð
litháíska	l ɪː t h a uː i s k a
litningsendi	l ɪ h t n i ŋ k s ɛ n t ɪ
litningur	l ɪ h t n i ŋ k ʏ r
litunarjafni	l ɪː t ʏ n a r j a p n ɪ
litín	l ɪː tʰ iː n
litúrgískur	l ɪː tʰ u r c i s k ʏ r
lið	l ɪː ð
liðamót	l ɪː ð a m o uː t
liðfætla	l ɪ ð f a i h t l a
liðhlaupi	l ɪ ð l̥ ø yː p ɪ
liðsforingi	l ɪ ð s f ɔː r i ɲ c ɪ
liðugur	l ɪː ð ʏː ɣ ʏ r
liður	l ɪː ð ʏ r
liðveisla	l ɪ ð v e i s t l a
liðþjálfi	l ɪ θ θ j a u l v ɪ
liþín	l ɪː θ iː n
ljá	l j a uː
ljár	l j a uː r
ljómi	l j o uː m ɪ
ljón	l j o uː n
ljónslappi	l j o u n s t l a h p ɪ
ljós	l j o uː s
ljósabekkur	l j o uː s a p ɛ h k ʏ r
ljósakróna	l j o uː s a kʰ r o uː n a
ljósapera	l j o uː s a pʰ ɛː r a
ljósastör	l j o uː s a s t œː r
ljósberi	l j o uː s p ɛː r ɪ
ljósbjalla	l j o uː s p j a t l a
ljóseind	l j o uː s e i n t
ljósfræði	l j o uː s f r a iː ð ɪ
ljóska	l j o u s k a
ljósmynd	l j o uː s m ɪ n t
ljósmyndavél	l j o uː s m ɪ n t a v j ɛː l
ljósmóðir	l j o uː s m o uː ð ɪ r
ljósta	l j o u s t a
ljóstillífun	l j o uː s t ɪ l l iː v ʏ n
ljóstýra	l j o uː s tʰ iː r a
ljósvaki	l j o uː s v aː c ɪ
ljótur	l j o uː t ʏ r
ljóð	l j o uː ð
ljóðlist	l j o u ð l ɪ s t
ljóðskáld	l j o u ð s k a u l t
ljóður	l j o uː ð ʏ r
ljúfra	l j u v r a
ljúga	l j uː a
ljúka	l j uː k a
lofa	l ɔː v a
loforð	l ɔː v ɔ r ð
loft	l ɔ f t
loftpúði	l ɔ f t pʰ uː ð ɪ
loftslag	l ɔ f t s l aː ɣ
lofttæmi	l ɔ f t tʰ a iː m ɪ
loftárás	l ɔ f t a uː r a uː s
loftþrýstingur	l ɔ f t θ r i s t i ŋ k ʏ r
lofðungur	l ɔ v ð u ŋ k ʏ r
loga	l ɔː ɣ a
logi	l ɔ iː j ɪ
logn	l ɔ k n
logri	l ɔ ɣ r ɪ
lok	l ɔː k
loka	l ɔː k a
lokkur	l ɔ h k ʏ r
lopapeysa	l ɔː p a pʰ e iː s a
loppa	l ɔ h p a
lortur	l ɔ r̥ t ʏ r
losun	l ɔː s ʏ n
lotning	l ɔ h t n i ŋ k
lotsveifgras	l ɔː t s v e i v k r aː s
lottó	l ɔ h t o uː
lotugræðgi	l ɔː t ʏ k r a i ð c ɪ
lotukerfi	l ɔː t ʏ cʰ ɛ r v ɪ
loða	l ɔː ð a
loðfíll	l ɔ ð f i t l
loðinn	l ɔː ð ɪ nː
loðna	l ɔ ð n a
loðvíðir	l ɔ ð v iː ð ɪ r
lufsa	l ʏ f s a
lugt	l ʏ x t
lukka	l ʏ h k a
lukt	l ʏ x t
luma	l ʏː m a
lumma	l ʏ mː a
lumpa	l ʏ m̥ p a
lund	l ʏ n t
lunderni	l ʏ n t ɛ r t n ɪ
lundi	l ʏ n t ɪ
lundir	l ʏ n t ɪ r
lundur	l ʏ n t ʏ r
lunga	l u ŋ k a
lungnaberklar	l u ŋ k n a p ɛ r̥ k l a r
lungnabláæð	l u ŋ k n a p l a uː a iː ð
lungnakrabbamein	l u ŋ k n a kʰ r a pː a m e iː n
lungnaslagæð	l u ŋ k n a s t l aː ɣ a iː ð
lunti	l ʏ n̥ t ɪ
luralegur	l ʏː r a l ɛː ɣ ʏ r
luri	l ʏː r ɪ
lyf	l ɪː v
lyfjabúð	l ɪ v j a p uː ð
lyfjagras	l ɪ v j a k r aː s
lyfta	l ɪ f t a
lyftutónlist	l ɪ f t ʏ tʰ o u n l ɪ s t
lygari	l ɪː ɣ aː r ɪ
lygi	l ɪ iː j ɪ
lygn	l ɪ k n
lygna	l ɪ k n a
lykill	l ɪː c ɪ t l
lykja	l ɪː c a
lykkja	l ɪ h c a
lyklabarn	l ɪ h k l a p a r t n
lyklaborð	l ɪ h k l a p ɔ r ð
lykt	l ɪ x t
lykta	l ɪ x t a
lyndi	l ɪ n t ɪ
lyng	l i ŋ k
lyngjafni	l i ŋ k j a p n ɪ
lyst	l ɪ s t
lystarstol	l ɪ s t a r s t ɔː l
lystauki	l ɪ s t ø yː c ɪ
lá	l a uː
ládauður	l a uː t ø yː ð ʏ r
lágarfi	l a uː ɣ a r v ɪ
láglendi	l a u ɣ l ɛ n t ɪ
lágmark	l a u ɣ m a r̥ k
lágmynd	l a u ɣ m ɪ n t
lágnætti	l a uː ɣ n a i h t ɪ
lágur	l a uː r̥
lágur	l a uː ɣ ʏ r̥
lágþrýstingur	l a u ɣ θ r i s t i ŋ k ʏ r
lán	l a uː n
lána	l a uː n a
lánsþýðing	l a u n s θ iː ð i ŋ k
lás	l a uː s
lásbogi	l a uː s p ɔː j ɪ
lát	l a uː t
láta	l a uː t a
látbragð	l a uː t p r a ɣ ð
látbragðsleikur	l a uː t p r a ɣ ð s l e iː k ʏ r
látæði	l a uː t a iː ð ɪ
látún	l a uː t uː n
lávarður	l a uː v a r ð ʏ r
láð	l a uː ð
lægja	l a iː j a
lægð	l a i ɣ ð
lækjafræhyrna	l a iː c a f r a iː h ɪ r t n a
lækjagrýta	l a iː c a k r iː t a
lækjasef	l a iː c a s ɛː v
lækjasóley	l a iː c a s o uː l e iː
læknir	l a i h k n ɪ r
læknisfræði	l a i h k n ɪ s f r a iː ð ɪ
læknisfræðilegur	l a i h k n ɪ s f r a iː ð ɪ l ɛː ɣ ʏ r
læknisskoðun	l a i h k n ɪ s s k ɔː ð ʏ n
lækur	l a iː k ʏ r
læmingi	l a iː m i ɲ c ɪ
læra	l a iː r a
lærdómur	l a i r t o uː m ʏ r
læri	l a iː r ɪ
lærisveinn	l a iː r ɪ s v e i t n
lærleggur	l a i r l ɛ kː ʏ r
læti	l a iː t ɪ
lævís	l a iː v iː s
læða	l a iː ð a
lélegur	l j ɛː l ɛː ɣ ʏ r
lén	l j ɛː n
léreft	l j ɛː r ɛ f t
létta	l j ɛ h t a
léttir	l j ɛ h t ɪ r
léttmjólk	l j ɛ h t m j o u l̥ k
léttur	l j ɛ h t ʏ r
léttvatn	l j ɛ h t v a h t n
léttúð	l j ɛ h t uː ð
léttúðugur	l j ɛ h t uː ð ʏː ɣ ʏ r
líf	l iː v
lífdagar	l i v t aː ɣ a r
lífefnafræði	l iː v ɛ p n a f r a iː ð ɪ
lífeðlisfræði	l iː v ɛ ð l ɪ s f r a iː ð ɪ
líffræði	l i f f r a iː ð ɪ
líffræðilegur	l i f f r a iː ð ɪ l ɛː ɣ ʏ r
líffræðingur	l i f f r a iː ð i ŋ k ʏ r
líffæri	l i f f a iː r ɪ
lífga	l i v k a
lífhimna	l i v h ɪ m n a
lífljómun	l i v l j o uː m ʏ n
lífrænn	l i v r a i t n
lífsandi	l i f s a n t ɪ
lífsgleði	l i f s k l ɛː ð ɪ
lífsmark	l i f s m a r̥ k
lífsspursmál	l i f s s p ʏ r̥ s m a uː l
lífstykki	l i f s t ɪ h c ɪ
lífsþróttur	l i f s θ r o u h t ʏ r
líftími	l iː v tʰ iː m ɪ
lífvera	l i v v ɛː r a
lífvörður	l i v v œ r ð ʏ r
lík	l iː k
líka	l iː k a
líkami	l iː kʰ aː m ɪ
líkamlegur	l iː kʰ a m l ɛː ɣ ʏ r
líkamsrækt	l iː kʰ a m s r a i x t
líkamur	l iː kʰ aː m ʏ r
líkindi	l iː c ɪ n t ɪ
líking	l iː c i ŋ k
líkkista	l iː k cʰ ɪ s t a
líkn	l i h k n
líkna	l i h k n a
líkskurður	l iː k s k ʏ r ð ʏ r
líkur	l iː k ʏ r
lím	l iː m
líma	l iː m a
límband	l iː m p a n t
límóna	l iː m o uː n a
lín	l iː n
línarfi	l iː n a r v ɪ
língresi	l i n k r ɛː s ɪ
línulega	l iː n ʏ l ɛː ɣ a
línuleiki	l iː n ʏ l e iː c ɪ
línuskauti	l iː n ʏ s k ø yː t ɪ
líra	l iː r a
líta	l iː t a
lítill	l iː t ɪ t l
lítri	l iː t r ɪ
lítt	l i h t
líða	l iː ð a
ló	l o uː
lóa	l o uː a
lófatölva	l o uː v a tʰ œ l v a
lófi	l o uː v ɪ
lófi	l o uː ɪ
lóga	l o uː a
lógresi	l o uː k r ɛː s ɪ
lómur	l o uː m ʏ r
lón	l o uː n
lónasóley	l o uː n a s o uː l e iː
lóð	l o uː ð
lóða	l o uː ð a
lóðleit	l o u ð l e iː t
lög	l œː ɣ
lögbrot	l œː ɣ p r ɔː t
lögfræði	l œ ɣ f r a iː ð ɪ
lögfræðingur	l œ ɣ f r a iː ð i ŋ k ʏ r
lögg	l œ kː
lögga	l œ kː a
löggjafarvald	l œ ɣ c aː v a r v a l t
löggjafarþing	l œ ɣ c aː v a r θ i ŋ k
löggjöf	l œ ɣ c œː v
lögmaður	l œ ɣ m aː ð ʏ r
lögregla	l œ ɣ r ɛ k l a
lögreglukona	l œ ɣ r ɛ k l ʏ k ɔː n a
lögreglumaður	l œ ɣ r ɛ k l ʏ m aː ð ʏ r
lögreglustjóri	l œ ɣ r ɛ k l ʏ s t j o uː r ɪ
lögreglustöð	l œ ɣ r ɛ k l ʏ s t œː ð
lögregluþjónn	l œ ɣ r ɛ k l ʏ θ j o u t n
lögur	l œː ɣ ʏ r
löm	l œː m
lömun	l œː m ʏ n
löng	l ø y ŋ k
löng	l œ ŋ k
löngun	l ø y ŋ k ʏ n
löpp	l œ h p
löskur	l œ s k ʏ r
löstur	l œ s t ʏ r
lötra	l œː t r a
lúga	l uː a
lúi	l uː ɪ
lúka	l uː k a
lúkk	l u h k
lús	l uː s
lúta	l uː t a
lúterskur	l uː tʰ ɛ r̥ s k ʏ r
lútur	l uː t ʏ r
lúxus	l u k s ʏ s
lúxus	l u x s ʏ s
lúða	l uː ð a
lúðalegur	l uː ð a l ɛː ɣ ʏ r
lúði	l uː ð ɪ
lúður	l uː ð ʏ r
lýja	l iː j a
lýra	l iː r a
lýsa	l iː s a
lýsi	l iː s ɪ
lýsing	l iː s i ŋ k
lýsingarháttur	l iː s i ŋ k a r h a u h t ʏ r
lýsingarorð	l iː s i ŋ k aː r ɔ r ð
lýðnet	l i ð n ɛː t
lýðræði	l i ð r a iː ð ɪ
lýðræðisríki	l i ð r a iː ð ɪ s r iː c ɪ
lýður	l iː ð ʏ r
lýðveldi	l i ð v ɛ l t ɪ
m	ɛ mː
magapína	m aː ɣ a pʰ iː n a
magi	m a i j ɪ
magn	m a k n
magur	m aː ɣ ʏ r
majór	m a j o uː r
maki	m aː c ɪ
makki	m a h c ɪ
mala	m aː l a
malajíska	m aː l a iː j i s k a
malbik	m a l p ɪː k
malli	m a lː ɪ
maltur	m a l̥ t ʏ r
malurt	m aː l ʏ r̥ t
mamma	m a mː a
man	m a n
mana	m aː n a
mandla	m a n t l a
manna	m a nː a
mannasiður	m a nː a s ɪː ð ʏ r
manneskja	m a n ɛ s c a
mannfræði	m a nː f r a iː ð ɪ
manngera	m a nː c ɛː r a
manni	m a nː ɪ
mannkyn	m a nː cʰ ɪː n
mannlegur	m a nː l ɛː ɣ ʏ r
mannorð	m a nː ɔ r ð
mannréttindi	m a nː r j ɛ h t ɪ n t ɪ
manntal	m a nː tʰ aː l
mannvirki	m a nː v ɪ r̥ c ɪ
mannvirðing	m a nː v ɪ r ð i ŋ k
mannvit	m a nː v ɪː t
mannvitsbrekka	m a nː v ɪ t s p r ɛ h k a
mappa	m a h p a
mar	m aː r
marbendill	m a r p ɛ n t ɪ t l
margfaldur	m a r k f a l t ʏ r
margföldun	m a r k f œ l t ʏ n
marglytta	m a r k l ɪ h t a
margur	m a r k ʏ r
margæs	m a r c a iː s
margþættur	m a r k θ a i h t ʏ r
mark	m a r̥ k
marka	m a r̥ k a
markalína	m a r̥ k a l iː n a
markaskrá	m a r̥ k a s k r a uː
markaður	m a r̥ k a ð ʏ r
markgreifi	m a r̥ k k r e iː v ɪ
markmaður	m a r̥ k m aː ð ʏ r
markorð	m a r̥ k ɔ r ð
markslá	m a r̥ k s t l a uː
markspyrna	m a r̥ k s p ɪ r t n a
markstöng	m a r̥ k s t ø y ŋ k
marksúla	m a r̥ k s uː l a
markteigur	m a r̥ k tʰ e iː ɣ ʏ r
markvörður	m a r̥ k v œ r ð ʏ r
marmennill	m a r m ɛ nː ɪ t l
marr	m a rː
marra	m a rː a
mars	m a r̥ s
marsbúi	m a r̥ s p uː ɪ
marsera	m a r̥ s ɛː r a
marsering	m a r̥ s ɛː r i ŋ k
marsmánuður	m a r̥ s m a uː n ʏː ð ʏ r
martröð	m a r̥ tʰ r œː ð
marxismi	m a r̥ k s ɪ s m ɪ
marxisti	m a r̥ k s ɪ s t ɪ
marxískur	m a r̥ k s i s k ʏ r
maríubjalla	m aː r iː j ʏ p j a t l a
maríustakkur	m aː r iː j ʏ s t a h k ʏ r
maríutása	m aː r iː j ʏ tʰ a uː s a
mas	m aː s
masa	m aː s a
maskari	m a s k aː r i
massi	m a sː ɪ
mastur	m a s t ʏ r
mat	m aː t
mata	m aː t a
matarborð	m aː t a r p ɔ r ð
matareitrun	m aː t aː r e iː t r ʏ n
matarprjónn	m aː t a r pʰ r j o u t n
matreiðsla	m aː t r e i ð s t l a
matreiðslubók	m aː t r e i ð s t l ʏ p o uː k
matseðill	m aː t s ɛː ð ɪ t l
matskeið	m aː t s c e iː ð
mattur	m a h t ʏ r
matur	m aː t ʏ r
matvara	m aː t v aː r a
mauka	m ø yː k a
maur	m ø yː r
maurasýra	m ø yː r a s iː r a
mauraæta	m ø yː r a a iː t a
mauraþúfa	m ø yː r a θ uː v a
maurildi	m œ y̯ r ɪ l t ɪ
maurígull	m ø yː r iː ɣ ʏ t l
maí	m a iː
maís	m aː iː s
maðkur	m a θ k ʏ r
maðra	m a ð r a
maður	m a ð ʏ r
me	m ɛː
mega	m e iː ɣ a
megin	m e iː j ɪ n
megn	m ɛ k n
megna	m ɛ k n a
megra	m ɛ ɣ r a
meiddur	m e i tː ʏ r
meik	m e iː k
meina	m e iː n a
meinafræði	m e iː n a f r a iː ð ɪ
meinbugur	m e i n p ʏː ɣ ʏ r
meingjörð	m e i n c œ r ð
meinsæri	m e i n s a iː r ɪ
meirihluti	m e iː r ɪ l̥ ʏː t ɪ
meistaraverk	m e i s t aː r a v ɛ r̥ k
meistari	m e i s t aː r ɪ
meitill	m e iː t ɪ t l
meitla	m e i h t l a
meiða	m e iː ð a
meiðsl	m e i ð s t l
meiðsli	m e i ð s t l ɪ
melablóm	m ɛː l a p l o uː m
melanóra	m ɛː l a n o uː r a
melasól	m ɛː l a s o uː l
melda	m ɛ l t a
melding	m ɛ l t i ŋ k
melgresi	m ɛ l k r ɛː s ɪ
mella	m ɛ t l a
melludólgur	m ɛ t l ʏ t o u l k ʏ r
mellufær	m ɛ t l ʏ f a iː r
melta	m ɛ l̥ t a
melting	m ɛ l̥ t i ŋ k
melur	m ɛː l ʏ r
melóna	m ɛː l o uː n a
men	m ɛː n
menga	m e i ŋ k a
mengjafræði	m e i ɲ c a f r a iː ð ɪ
mengun	m e i ŋ k ʏ n
menning	m ɛ nː i ŋ k
mennt	m ɛ n̥ t
menntaskóli	m ɛ n̥ t a s k o uː l ɪ
menntastofnun	m ɛ n̥ t a s t ɔ p n ʏ n
menntun	m ɛ n̥ t ʏ n
mergur	m ɛ r k ʏ r
meri	m ɛː r ɪ
merja	m ɛ r j a
merki	m ɛ r̥ c ɪ
merking	m ɛ r̥ c i ŋ k
merkingarþróun	m ɛ r̥ c i ŋ k a r θ r o uː ʏ n
merkja	m ɛ r̥ c a
merkur	m ɛ r̥ k ʏ r
messa	m ɛ sː a
mestur	m ɛ s t ʏ r
met	m ɛː t
meta	m ɛː t a
metan	m ɛː tʰ aː n
metanól	m ɛː tʰ aː n o uː l
metfé	m ɛː t f j ɛː
methafi	m ɛː t h aː v ɪ
metnaður	m ɛ h t n aː ð ʏ r̥
metorð	m ɛː t ɔ r ð
metri	m ɛː t r ɪ
metta	m ɛ h t a
mettun	m ɛ h t ʏ n
mettur	m ɛ h t ʏ r
mey	m e iː
meyja	m e iː j a
meyjarhaft	m e iː j a r h a f t
meyr	m e iː r
meðal	m ɛː ð a l
meðan	m ɛː ð a n
meðferð	m ɛ ð f ɛ r ð
meðfram	m ɛ ð f r aː m
meðleikur	m ɛ ð l e iː k ʏ r
meðlimur	m ɛ ð l ɪː m ʏ r
meðlæti	m ɛ ð l a iː t ɪ
meðstjórnandi	m ɛ ð s t j o u r t n a n t ɪ
meðstjórnendur	m ɛ ð s t j o u r t n ɛ n t ʏ r
meðtaka	m ɛː ð tʰ aː k a
meðvitaður	m ɛ ð v ɪː t aː ð ʏ r
mig	m ɪː ɣ
miga	m ɪː ɣ a
mikilmenni	m ɪː c ɪ l m ɛ nː ɪ
mikilvægi	m ɪː c ɪ l v a iː j ɪ
mikið	m ɪː c ɪ ð
mildur	m ɪ l t ʏ r
milli	m ɪ lː ɪ
milli	m ɪ t l ɪ
millibil	m ɪ t l ɪ p ɪː l
millimetri	m ɪ lː ɪ m ɛː t r ɪ
millinafn	m ɪ t l ɪ n a p n
millipils	m ɪ t l ɪ pʰ ɪ l s
milljón	m ɪ l j o uː n
milljónamæringur	m ɪ l j o uː n a m a iː r i ŋ k ʏ r
milt	m ɪ l̥ t
milta	m ɪ l̥ t a
miltisbrandur	m ɪ l̥ t ɪ s p r a n t ʏ r
miltu	m ɪ l̥ t ʏ
minjagripur	m ɪ n j a k r ɪː p ʏ r
minkur	m i ŋ̊ k ʏ r
minn	m ɪ nː
minna	m ɪ nː a
minni	m ɪ nː ɪ
minnihluti	m ɪ nː ɪ l̥ ʏː t ɪ
minnimáttarkennd	m ɪ nː ɪ m a u h t a r cʰ ɛ n t
minning	m ɪ nː i ŋ k
minningargripur	m ɪ nː i ŋ k a r k r ɪː p ʏ r
minnisgripur	m ɪ nː i s k r ɪː p ʏ r
minnisgóður	m ɪ nː ɪ s k o uː ð ʏ r
minnismerki	m ɪ nː ɪ s m ɛ r̥ c ɪ
minnisspil	m ɪ nː ɪ s s p ɪː l
minnka	m i ŋ̊ k a
minnkun	m i ŋ̊ k ʏ n
misjafn	m ɪː s j a p n
miski	m ɪ s c ɪ
miskunn	m ɪ s k ʏ nː
miskunna	m ɪ s k ʏ nː a
mislingar	m ɪ s t l i ŋ k a r
mismikill	m ɪː s m ɪː c ɪ t l
mismunur	m ɪ s m ʏː n ʏ r
mispill	m ɪ s p ɪ t l
misræmi	m ɪː s r a iː m ɪ
missa	m ɪ sː a
missir	m ɪ sː ɪ r
mistilteinn	m ɪ s t ɪ l tʰ e i t n
mistúlka	m ɪː s tʰ u l̥ k a
misþyrming	m ɪː s θ ɪ r m i ŋ k
mitti	m ɪ h t ɪ
miða	m ɪː ð a
miðaftann	m ɪː ð a f t a nː
miðaldalatína	m ɪː ð a l t a l aː t iː n a
miðaldir	m ɪː ð a l t ɪ r
miðasala	m ɪː ð a s aː l a
miðbaugur	m ɪ ð p ø yː ɣ ʏ r
miðeyra	m ɪː ð e iː r a
miði	m ɪː ð ɪ
miðill	m ɪː ð ɪ t l
miðja	m ɪ ð j a
miðjumaður	m ɪ ð j ʏ m aː ð ʏ r
miðlari	m ɪ ð l aː r ɪ
miðmynd	m ɪ ð m ɪ n t
miðmyndarsögn	m ɪ ð m ɪ n t a r s œ k n
miðnætti	m ɪ ð n a i h t ɪ
miðstig	m ɪ ð s t ɪː ɣ
miður	m ɪː ð ʏ r
miðvikudagur	m ɪ ð v ɪː kʰ ʏ t aː ɣ ʏ r
miðvörður	m ɪ ð v œ r ð ʏ r
mjaldur	m j a l t ʏ r
mjalli	m j a t l ɪ
mjálm	m j a u l m
mjálma	m j a u l m a
mjókka	m j o u h k a
mjólk	m j o u l̥ k
mjólka	m j o u l̥ k a
mjólkurferna	m j o u l̥ k ʏ r f ɛ r t n a
mjólkurkýr	m j o u l̥ k ʏ r cʰ iː r
mjólkurmatur	m j o u l̥ k ʏ r m aː t ʏ r
mjólkursúkkulaði	m j o u l̥ k ʏ r s u h k ʏ l aː ð ɪ
mjólkursýra	m j o u l̥ k ʏ r s iː r a
mjónefur	m j o uː n ɛː v ʏ r
mjór	m j o uː r
mjög	m j œː ɣ
mjöl	m j œː l
mjöll	m j œ t l
mjöðm	m j œ ð m
mjöður	m j œː ð ʏ r
mjúkur	m j uː k ʏ r
mokka	m ɔ h k a
mold	m ɔ l t
moldvarpa	m ɔ l t v a r̥ p a
moli	m ɔː l ɪ
moll	m ɔ lː
mongólska	m ɔ ŋ k o u l s k a
mont	m ɔ n̥ t
monta	m ɔ n̥ t a
montinn	m ɔ n̥ t ɪ nː
moppa	m ɔ h p a
morfín	m ɔ r̥ f iː n
morgunfrú	m ɔ r k ʏ n f r uː
morgunhani	m ɔ r k ʏ n h aː n ɪ
morgunkorn	m ɔ r k ʏ n kʰ ɔ r t n
morgunmatur	m ɔ r k ʏ n m aː t ʏ r
morgunn	m ɔ r k ʏ nː
morgunverður	m ɔ r k ʏ n v ɛ r ð ʏ r
morkill	m ɔ r̥ c ɪ t l
morð	m ɔ r ð
morðingi	m ɔ r ð i ɲ c ɪ
mosaburkni	m ɔː s a p ʏ r̥ k n ɪ
mosadýr	m ɔː s a t iː r
mosafræði	m ɔː s a f r a iː ð ɪ
mosafræðingur	m ɔː s a f r a iː ð i ŋ k ʏ r
mosagrænn	m ɔː s a k r a i t n
mosagróinn	m ɔː s a k r o uː ɪ nː
mosajafni	m ɔː s a j a p n ɪ
mosalyng	m ɔː s a l i ŋ k
mosasteinbrjótur	m ɔː s a s t e i n p r j o uː t ʏ r
