ಅ	ɐ
ಪಲ್ಲಿ	p ɐ l l i
ಪಳು	p ɐ ɭ u
ಪಶು	p ɐ ʃ u
ಪಾಕ	p ɑː k ɑ
ಪಾಗದ	p aː ɡ ɐ d̪ ɐ
ಪಾಟೀಲ	p aː ʈ iː l ɐ
ಪಾತ್ರ	p aː t̪ ɾ ɐ
ಪಾಪ	p aː p ɐ
ಪಾಮರ	p aː m ɐ ɾ ɐ
ಪಾರ್ಥಸಾರಥಿ	p aː ɾ t̪ʰ ɐ s aː ɾ ɐ t̪ʰ i
ಪಾರ್ವತಿ	p aː ɾ ʋ ɐ t̪ i
ಪಾಳುಭೂಮಿ	p aː ɭ u bʱ uː m i
ಪಿತೂರಿ	p i t̪ uː ɾ i
ಪಿತೃರು	p i t̪ ɾ ŭ ɾ u
ಪಿತ್ತ	p i t̪ t̪ ɐ
ಪಿರಂಗಿ	p i ɾ ɐ ŋ ɡ i
ಪಿಳ್ಳೆ	p i ɭ ɭ e
ಪುಟ	p u ʈ ɐ
ಪುಡಿ	p u ɖ i
ಪುತ್ರ	p u t̪ ɾ ɑ
ಪುನಃ	p u n̪ ɐ h
ಪುಲ್ಲಿಂಗ	p u l l i ŋ ɡ ɐ
ಪುಷ್ಕರಿಣಿ	p u ʂ k ɐ ɾ i ɳ i
ಪುಷ್ಪ	p u ʂ p ɐ
ಪೂರ್ವ	p uː ɾ ʋ ɐ
ಪೆಟ್ಟಿಗೆ	p e ʈ ʈ i ɡ e
ಪೈಲ್ವಾನ್	p ɐ i̯ l ʋ aː n̪
ಪೋಲೀಸು	p oː l iː s u
ಪೋಷಾಕು	p oː ʂ aː k u
ಪ್ಯಾದೆ	p j aː d̪ e
ಪ್ರಕೃತಿ	p ɾ ɐ k ɾ ŭ t̪ i
ಪ್ರತಿಕ್ರಿಯೆ	p ɾ ɐ t̪ i k ɾ i j e
ಪ್ರತಿರೋಧ	p ɾ ɐ t̪ i ɾ oː d̪ʱ ɐ
ಪ್ರತೀಕಾರ	p ɾ ɐ t̪ iː k aː ɾ ɐ
ಪ್ರಭಾಕರ	p ɾ ɐ bʱ aː k ɐ ɾ ɐ
ಪ್ರಮಾಣ	p ɾ ɐ m aː ɳ ɐ
ಪ್ರಯತ್ನಿಸು	p ɾ ɐ j ɐ t̪ n̪ i s u
ಪ್ರಯಾಣ	p ɾ ɐ j aː ɳ ɐ
ಪ್ರಯಾಣಿಕ	p ɾ ɐ j aː ɳ i k ɐ
ಪ್ರಯಾಣಿಕರು	p ɾ ɐ j aː ɳ i k ɐ ɾ u
ಪ್ರಯೋಜನ	p ɾ ɐ j oː d͡ʒ ɐ n̪ ɐ
ಪ್ರಶ್ನೆ	p ɾ ɐ ʃ n̪ e
ಪ್ರಹ್ಲಾದ	p ɾ ɐ h l aː d̪ ɐ
ಪ್ರಾಕೃತ	p ɾ aː k ɾ ŭ t̪ ɐ
ಪ್ರಾಚೀನ	p ɾ aː t͡ʃ iː n̪ ɐ
ಪ್ರಾಣ	p ɾ aː ɳ ɐ
ಪ್ರಾಣಿ	p ɾ aː ɳ i
ಪ್ರಾತಃಕಾಲ	p ɾ aː t̪ ɐ h k aː l ɐ
ಪ್ರಾಥಮಿಕ	p ɾ aː t̪ʰ ɐ m i k ɐ
ಪ್ರಾನ್ತ	p ɾ aː n̪ t̪ ɐ
ಪ್ರಾರ್ಥನೆ	p ɾ aː ɾ t̪ʰ ɐ n̪ e
ಪ್ರಿಯ	p ɾ i j ɑ
ಪ್ರೀತಿ	p ɾ iː t̪ i
ಪ್ರೇತ	p ɾ eː t̪ ɐ
ಪ್ರೇಮ	p ɾ eː m ɐ
ಫರ್ಮಾನು	pʰ ɐ ɾ m aː n̪ u
ಫಲಿತಾಂಶ	pʰ ɐ l i t̪ aː m ʃ ɐ
ಫೆಬ್ರವರಿ	pʰ e b ɾ ɐ ʋ ɐ ɾ i
ಫೌಜು	pʰ ɐ u̯ d͡ʒ u
ಬಂಗಡೆ	b ɐ ŋ ɡ ɐ ɖ e
ಬಂಜು	b ɐ ɲ d͡ʒ u
ಬಂಡಿ	b ɐ ɳ ɖ i
ಬಂದಿದ್ದಾಳೆ	b ɐ n̪ d̪ i d̪ d̪ aː ɭ e
ಬಂದೀಖಾನೆ	b ɐ n̪ d̪ iː kʰ aː n̪ e
ಬಂದೂಕು	b ɐ n̪ d̪ uː k u
ಬಗೆ	b ɐ ɡ e
ಬಗೆಹರಿಸು	b ɐ ɡ e h ɐ ɾ i s u
ಬಜಾರು	b ɐ d͡ʒ aː ɾ u
ಬಟಾಟೆ	b ɐ ʈ aː ʈ e
ಬಟ್ಟೆ	b ɐ ʈ ʈ e
ಬಡಿ	b ɐ ɖ i
ಬಣ್ಣ	b ɐ ɳ ɳ ɐ
ಬದನೆ	b ɐ d̪ ɐ n̪ e
ಬದುಕು	b ɐ d̪ u k u
ಬದ್ಧ	b ɐ d̪ d̪ʱ ɐ
ಬಪ್ಪುಕೆ	b ɐ p p u k e
ಬಪ್ಪುಲೆ	b ɐ p p u l e
ಬಯಕೆ	b ɐ j ɐ k e
ಬಯಲು	b ɐ j ɐ l u
ಬಯಸು	b ɐ j ɐ s u
ಬರಲು	b ɐ ɾ ɐ l u
ಬರು	b ɐ ɾ u
ಬರೆ	b ɐ ɾ e
ಬರೆಕೋಲು	b ɐ ɾ e k oː l u
ಬಲ	b ɐ l ɐ
ಬಲಮರ್ದು	b ɐ l ɐ m ɐ ɾ d̪ u
ಬಳಕೆ	b ɐ ɭ ɐ k e
ಬಳಸು	b ɐ ɭ ɐ s u
ಬಸ್ತ	b ɐ s t̪ ɐ
ಬಹಳ	b ɐ h ɐ ɭ ɐ
ಬಾಕಿ	b aː k i
ಬಾಗಿಲು	b aː ɡ i l u
ಬಾಚು	b aː t͡ʃ u
ಬಾಡಿಗೆ	b aː ɖ i ɡ e
ಬಾಡು	b aː ɖ u
ಬಾಣಂತಿ	b aː ɳ ɐ n̪ t̪ i
ಬಾನು	b aː n̪ u
ಬಾಯಾರಿಕೆ	b aː j aː ɾ i k e
ಬಾಯಿ	b aː j i
ಬಾಲ	b aː l ɐ
ಬಾಳು	b aː ɭ u
ಬಾವಿ	b aː ʋ i
ಬಿಡು	b i ɖ u
ಬಿತ್ತು	b i t̪ t̪ u
ಬಿದು	b i d̪ u
ಬಿರಿಯಾನಿ	b i ɾ i j aː n̪ i
ಬಿಲ್ಗಾರ	b i l ɡ aː ɾ ɐ
ಬಿಲ್ಲು	b i l l u
ಬಿಳಿ	b i ɭ i
ಬಿಸಿಲು	b i s i l u
ಬೀಗ	b iː ɡ ɐ
ಬೀಜ	b iː d͡ʒ ɑ
ಬೀದಿ	b iː d̪ i
ಬೀರು	b iː ɾ u
ಬೀಳು	b iː ɭ u
ಬುದ್ಧ	b u d̪ d̪ʱ ɐ
ಬುಧವಾರ	b u d̪ʰ ə ʋ ɑː ɾ ə
ಬೂದು	b uː d̪ u
ಬೃಹಸ್ಪತಿ	b ɾ ŭ h ɐ s p ɐ t̪ i
ಬೆಂಕಿ	b e ŋ k i
ಬೆಂಗಳೂರು	b e ŋ ɡ ɐ ɭ uː ɾ u
ಬೆಂಬಲ	b e m b ɐ l ɐ
ಬೆಂಬಲಿಸು	b e m b ɐ l i s u
ಬೆಕ್ಕು	b e k k u
ಬೆಚ್ಚ	b e t͡ʃ t͡ʃ ɐ
ಬೆಟ್ಟ	b e ʈ ʈ ɐ
ಬೆತ್ತ	b e t̪ t̪ ɐ
ಬೆತ್ತಲೆ	b e t̪ t̪ ɐ l e
ಬೆದಕು	b e d̪ ɐ k u
ಬೆನ್ನು	b e n̪ n̪ u
ಬೆಲೆ	b e l e
ಬೆಲ್ಲ	b e l l ɐ
ಬೆಳಕು	b e ɭ ɐ k u
ಬೆಳಗು	b e ɭ ɐ ɡ u
ಬೆಳೆ	b e ɭ e
ಬೆಳ್ಳ	b e ɭ ɭ ɐ
ಬೆಳ್ಳಿ	b e ɭ ɭ i
ಬೆವರು	b e ʋ ɐ ɾ u
ಬೇಕು	b eː k u
ಬೇಗ	b eː ɡ ɐ
ಬೇಟೆಯಾಡು	b eː ʈ e j aː ɖ u
ಬೇರೆ	b eː ɾ e
ಬೇಸಿಗೆ	b eː s i ɡ e
ಬೈಂಚೈ	b ɐ i̯ ɲ t͡ʃ ɐ i̯
ಬೈಂದು	b ɐ i̯ n̪ d̪ u
ಬೊಜ್ಜು	b o d͡ʒ d͡ʒ u
ಬ್ರಹ್ಮಾಂಡ	b ɾ ɐ h m aː ɳ ɖ ɐ
ಬ್ರಾಹ್ಮಣ	b ɾ aː h m ɐ ɳ ɐ
ಭಕ್ತಿ	bʱ ɐ k t̪ i
ಭತ್ತ	bʱ ɐ t̪ t̪ ɐ
ಭದ್ರಕಾಳಿ	bʱ ɐ d̪ ɾ ɐ k aː ɭ i
ಭಯ	bʱ ɐ j ɐ
ಭಯಂಕರ	bʱ ɐ j ɐ ŋ k ɐ ɾ ɐ
ಭಯಾನಕ	bʱ ɐ j aː n̪ ɐ k ɐ
ಭರವಸೆ	bʱ ɐ ɾ ɐ ʋ ɐ s e
ಭರ್ಜಿ	bʱ ɐ ɾ d͡ʒ i
ಭವಿಷ್ಯ	bʱ ɐ ʋ i ʂ j ɐ
ಭಸ್ಮ	bʱ ɐ s m ɐ
ಭಾಗ	bʱ ɑː ɡ ɑ
ಭಾಗ್ಯ	bʱ aː ɡ j ɐ
ಭಾನುವಾರ	bʰ ɑː n̪ u ʋ ɑː ɾ ə
ಭಾರ	bʱ aː ɾ ɐ
ಭಾರತ	bʱ aː ɾ ɐ t̪ ɐ
ಭಾವಿಸು	bʱ aː ʋ i s u
ಭಾಷೆ	bʱ aː ʂ e
ಭೇದ	bʱ eː d̪ ɐ
ಭ್ರಮೆ	bʱ ɾ ɐ m e
ಮಂಗಳ	m ɐ ŋ ɡ ɐ ɭ ɐ
ಮಂಗಳವಾರ	m ə̃ ɡ ə ɭ ə ʋ ɑː ɾ ə
ಮಂಜಿಷ್ಠ	m ɐ ɲ d͡ʒ i ʂ ʈʰ ɐ
ಮಂಜು	m ɐ ɲ d͡ʒ u
ಮಂಜುಗೆಡ್ಡೆ	m ɐ ɲ d͡ʒ u ɡ e ɖ ɖ e
ಮಂಜುಸುರಿತ	m ɐ ɲ d͡ʒ u s u ɾ i t̪ ɐ
ಮಂಡಿ	m ɐ ɳ ɖ i
ಮಂಡೆ	m ɐ ɳ ɖ e
ಮಂತ್ರಿ	m ɐ n̪ t̪ ɾ i
ಮಕ್ಕ	m a kː ɑ
ಮಕ್ಕಳು	m ɐ k k ɐ ɭ u
ಮಕ್ಕೊ	m a kː ɔ
ಮಗ	m ɑ ɡ ɑ
ಮಗಳು	m ɐ ɡ ɐ ɭ u
ಮಗ್ಗ	m ɐ ɡ ɡ ɐ
ಮಜ್ಜಿಗೆ	m ɐ d͡ʒ d͡ʒ i ɡ e
ಮಡದಿ	m ɐ ɖ ɐ d̪ i
ಮಡಿ	m ɐ ɖ i
ಮಣಿ	m ə ɳ i
ಮಣಿಕಟ್ಟು	m ɐ ɳ i k ɐ ʈ ʈ u
ಮಣ್ಣು	m ɐ ɳ ɳ u
ಮತ್ತು	m ɐ t̪ t̪ u
ಮತ್ತೆ	m ɐ t̪ t̪ e
ಮದ	m ɐ d̪ ɐ
ಮದತ್ತು	m ɐ d̪ ɐ t̪ t̪ u
ಮದುವೆ	m ɐ d̪ u ʋ e
ಮದ್ದು	m ɐ d̪ d̪ u
ಮದ್ದುಗ	m ɐ d̪ d̪ u ɡ ɐ
ಮಧು	m ɐ d̪ʱ u
ಮಧುರ	m ə d̪ʱ u ɾ ɑ
ಮಧ್ಯ	m ə d̪ʱ j ɑ
ಮಧ್ಯರಾತ್ರಿ	m ɐ d̪ʱ j ɐ ɾ aː t̪ ɾ i
ಮಧ್ಯಾಹ್ನ	m ɐ d̪ʱ j aː h n̪ ɐ
ಮನ	m ɐ n̪ ɐ
ಮನಸು	m ə n ə s u
ಮನಸ್ತಾಪ	m ɐ n̪ ɐ s t̪ aː p ɐ
ಮನಸ್ಸು	m ɐ n̪ ɐ s s u
ಮನುಷ್ಯ	m ɐ n̪ u ʂ j ɐ
ಮನೆ	m ɐ n̪ e
ಮಯ್ಯಿ	m ɐ j j i
ಮಯ್ಲ	m ɐ j l ɐ
ಮರ	m ɐ ɾ ɐ
ಮರಕತ	m ɐ ɾ ɐ k ɐ t̪ ɐ
ಮರಗೆಣಸು	m ɐ ɾ ɐ ɡ e ɳ ɐ s u
ಮರಣ	m ɐ ɾ ɐ ɳ ɐ
ಮರಳು	m ɐ ɾ ɐ ɭ u
ಮರ್ಯಾದೆ	m ɐ ɾ j aː d̪ e
ಮಲಯಾಳಂ	m ə l ə j ɑː ɭ ə m
ಮಲೆ	m ɐ l e
ಮಳೆ	m ɐ ɭ e
ಮಳೆಗಾಲ	m ɐ ɭ e ɡ aː l ɐ
ಮಳೆಬಿಲ್ಲು	m ɐ ɭ e b i l l u
ಮಳೆಯಳತೆ	m ɐ ɭ e j ɐ ɭ ɐ t̪ e
ಮಳೆಸುರಿತ	m ɐ ɭ e s u ɾ i t̪ ɐ
ಮಹಾ	m ɐ h aː
ಮಹಾದೇವ	m ɐ h aː d̪ eː ʋ ɐ
ಮಹಾಭಾರತ	m ɐ h aː bʱ aː ɾ ɐ t̪ ɐ
ಮಹಾರಾಯ	m ɐ h aː ɾ aː j ɐ
ಮಹಾರಾಯತಿ	m ɐ h aː ɾ aː j ɐ t̪ i
ಮಹಾರಾಯರೇ	m ɐ h aː ɾ aː j ɐ ɾ eː
ಮಹಾವಿದ್ಯಾಲಯ	m ɐ h aː ʋ i d̪ j aː l ɐ j ɐ
ಮಹಿಳೆ	m ɐ h i ɭ e
ಮಹಿಳೆಯರು	m ɐ h i ɭ e j ɐ ɾ u
ಮಹೇಂದ್ರ	m ɐ h eː n̪ d̪ ɾ ɐ
ಮಹೇಶ	m ɐ h eː ʃ ɐ
ಮಾಂಸ	m aː m s ɐ
ಮಾಜಿ	m aː d͡ʒ i
ಮಾಡು	m aː ɖ u
ಮಾತನಾಡು	m aː t̪ ɐ n̪ aː ɖ u
ಮಾತು	m aː t̪ u
ಮಾತ್ರ	m ɑː t̪ ɾ ɑ
ಮಾಧವ	m aː d̪ʱ ɐ ʋ ɐ
ಮಾನವ	m aː n̪ ɐ ʋ ɐ
ಮಾರಿ	m aː ɾ i
ಮಾರು	m aː ɾ u
ಮಾರ್ಗ	m aː ɾ ɡ ɐ
ಮಾರ್ಚ್	m aː ɾ t͡ʃ
ಮಾಲಿನ್ಯ	m aː l i n̪ j ɐ
ಮಾವ	m aː ʋ ɐ
ಮಾವಿನಕಾಯಿ	m aː ʋ i n̪ ɐ k aː j i
ಮಾವಿನಹಣ್ಣು	m aː ʋ i n̪ ɐ h ɐ ɳ ɳ u
ಮಾವು	m aː ʋ u
ಮಾಹಿತಿ	m aː h i t̪ i
ಮಿಂಚಿಸು	m i ɲ t͡ʃ i s u
ಮಿಂಚು	m i ɲ t͡ʃ u
ಮಿಂಬಲೆ	m i m b ɐ l e
ಮಿಡಿ	m i ɖ i
ಮಿತಿ	m i t̪ i
ಮಿತಿಗೊಳಿಸು	m i t̪ i ɡ o ɭ i s u
ಮಿತ್ರ	m i t̪ ɾ ɐ
ಮೀನು	m iː n̪ u
ಮೀನುಗಾರ	m iː n̪ u ɡ aː ɾ ɐ
ಮೀಸಲು	m iː s ɐ l u
ಮೀಸೆ	m iː s e
ಮುಂಜಾನೆ	m u ɲ d͡ʒ aː n̪ e
ಮುಂದೆ	m u n̪ d̪ e
ಮುಕ್ತ	m u k t̪ ɐ
ಮುಕ್ತಿ	m u k t̪ i
ಮುಖ	m u kʰ ɑ
ಮುಖ್ಯ	m u kʰ j ɐ
ಮುಖ್ಯಮಂತ್ರಿ	m u kʰ j ɐ m ɐ n̪ t̪ ɾ i
ಮುಗಿಲು	m u ɡ i l u
ಮುಗ್ಧ	m u ɡ d̪ʱ ɐ
ಮುತ್ತು	m u t̪ t̪ u
ಮುತ್ತೈದೆ	m u t̪ t̪ ɐ i̯ d̪ e
ಮುನಿಸು	m u n̪ i s u
ಮುನ್ನೋಟ	m u n̪ n̪ oː ʈ ɐ
ಮುರಿ	m u ɾ i
ಮುಳ್ಳು	m u ɭ ɭ u
ಮುಹಮ್ಮದ್	m u h ɐ m m ɐ d̪
ಮುಹೂರ್ತ	m u h uː ɾ t̪ ɐ
ಮೂಕ	m uː k ɑ
ಮೂಗು	m uː ɡ u
ಮೂಢ	m uː ɖʱ ɐ
ಮೂಢನಂಬಿಕೆ	m uː ɖʱ ɐ n̪ ɐ m b i k e
ಮೂತ್ರ	m uː t̪ ɾ ɑ
ಮೂತ್ರಪಿಂಡ	m uː t̪ ɾ ɐ p i ɳ ɖ ɐ
ಮೂರು	m uː ɾ u
ಮೂರ್ಖ	m uː ɾ kʰ ɑ
ಮೂಲ	m uː l ɐ
ಮೂಳೆ	m uː ɭ e
ಮೂಸು	m uː s u
ಮೃತ	m ɾ ŭ t̪ ɐ
ಮೃತ್ಯು	m ɾ ʊ t̪ j u
ಮೃತ್ಯುಂಜಯ	m ɾ ŭ t̪ j u ɲ d͡ʒ ɐ j ɐ
ಮೆಂತೆ	m e n̪ t̪ e
ಮೆಂಥೆಯ	m e n̪ t̪ʰ e j ɐ
ಮೆಚ್ಚು	m e t͡ʃ t͡ʃ u
ಮೆದುಳು	m e d̪ u ɭ u
ಮೆಯ್	m e j
ಮೇ	m eː
ಮೇಕೆ	m eː k e
ಮೇಘ	m eː ɡʱ ɐ
ಮೇಜು	m eː d͡ʒ u
ಮೇಣದಬತ್ತಿ	m eː ɳ ɐ d̪ ɐ b ɐ t̪ t̪ i
ಮೇಯು	m eː j u
ಮೇರಿ	m eː ɾ i
ಮೇಲೆ	m eː l e
ಮೇಳ	m eː ɭ ɐ
ಮೇಷ	m eː ʂ ɐ
ಮೇಷ್ಟ್ರು	m eː ʂ ʈ ɾ u
ಮೈದಾನ	m ɐ i̯ d̪ aː n̪ ɐ
ಮೈಸೂರು	m ɐ i̯ s uː ɾ u
ಮೊಂಡ	m o ɳ ɖ ɐ
ಮೊಂಡು	m o ɳ ɖ u
ಮೊಟ್ಟೆ	m o ʈ ʈ e
ಮೊತ್ತ	m o t̪ t̪ ɐ
ಮೊದಲು	m o d̪ ɐ l u
ಮೊಲೆ	m o l e
ಮೊಸರು	m o s ɐ ɾ u
ಮೊಸಳೆ	m o s ɐ ɭ e
ಮೋಕ್ಷ	m oː k ʂ ɐ
ಮೋಡ	m oː ɖ ɐ
ಯಂತ್ರ	j ɐ n̪ t̪ ɾ ɐ
ಯಕ್ಷ	j ɐ k ʂ ɐ
ಯಜಮಾನ	j ɐ d͡ʒ ɐ m aː n̪ ɐ
ಯಜ್ಞ	j ɐ d͡ʒ ɲ ɐ
ಯವನ	j ɐ ʋ ɐ n̪ ɐ
ಯಶಸ್ಸು	j ɐ ʃ ɐ s s u
ಯಶೋದೆ	j ɐ ʃ oː d̪ e
ಯಾ	j aː
ಯಾತ್ರಾರ್ಥಿ	j aː t̪ ɾ aː ɾ t̪ʰ i
ಯಾತ್ರಿಕ	j aː t̪ ɾ i k ɐ
ಯಾರು	j aː ɾ u
ಯಾವಾಗ	j aː ʋ aː ɡ ɐ
ಯುಕ್ತ	j ʊ k t̪ ɑ
ಯುರೋಪ	j u ɾ oː p ɐ
ಯುರೋಪ್	j u ɾ oː p
ಯೋಚನೆ	j oː t͡ʃ ɐ n̪ e
ಯೋಚಿಸು	j oː t͡ʃ i s u
ರಂಜಕ	ɾ ɐ ɲ d͡ʒ ɐ k ɐ
ರಕ್ಕಸ	ɾ ɐ k k ɐ s ɐ
ರಕ್ತ	ɾ ɐ k t̪ ɐ
ರಕ್ಷಣೆ	ɾ ɐ k ʂ ɐ ɳ e
ರಕ್ಷಿಸು	ɾ ə k ʃ i s u
ರಟ್ಟೆ	ɾ ɐ ʈ ʈ e
ರಣಗೊಲೆ	ɾ ɐ ɳ ɐ ɡ o l e
ರಣಹದ್ದು	ɾ ɐ ɳ ɐ h ɐ d̪ d̪ u
ರಥ	ɾ ɐ t̪ʰ ɐ
ರವಾನಿಸು	ɾ ɐ ʋ aː n̪ i s u
ರವಿವಾರ	ɾ ə ʋ ɪ ʋ ɑː ɾ ə
ರಷ್ಯಾ	ɾ ɐ ʂ j aː
ರಸ್ತೆ	ɾ ɐ s t̪ e
ರಹಸ್ಯ	ɾ ɐ h ɐ s j ɐ
ರಾಕ್ಷಸ	ɾ aː k ʂ ɐ s ɐ
ರಾಗ	ɾ aː ɡ ɐ
ರಾಜ	ɾ ɑː d͡ʒ ɑ
ರಾಜಪುತ್ರ	ɾ ɑː d͡ʒ ə p u t̪ ɾ ɑ
ರಾಜೀನಾಮೆ	ɾ aː d͡ʒ iː n̪ aː m e
ರಾಜ್ಯ	ɾ aː d͡ʒ j ɐ
ರಾತ್ರಿ	ɾ aː t̪ ɾ i
ರಾತ್ರೆ	ɾ aː t̪ ɾ e
ರಾಮ	ɾ aː m ɐ
ರಾಮಚಂದ್ರ	ɾ aː m ɐ t͡ʃ ɐ n̪ d̪ ɾ ɐ
ರಾಮಾಯಣ	ɾ aː m aː j ɐ ɳ ɐ
ರಾಯ	ɾ aː j ɐ
ರಾಯಿ	ɾ aː j i
ರಾಶಿ	ɾ aː ʃ i
ರಾಷ್ಟ್ರ	ɾ aː ʂ ʈ ɾ ɐ
ರಿಪೇರಿ	ɾ i p eː ɾ i
ರುದ್ರಾಕ್ಷ	ɾ u d̪ ɾ aː k ʂ ɐ
ರೂಪ	ɾ uː p ɑ
ರೆಕ್ಕೆ	ɾ e k k e
ರೈತ	ɾ ɐ i̯ t̪ ɐ
ರೈಲು	ɾ ɐ i̯ l u
ರೋಗ	ɾ oː ɡ ɑ
ರೋಗ	ɾ oː ɡ ə
ರೋಗ	ɾ ɔː ɡ ɑ
ರೋದಿಸು	ɾ oː d̪ i s u
ಱ	r ɐ
ಲಕ್ಕಣ	l ɐ k k ɐ ɳ ɐ
ಲಕ್ಷ	l ɐ k ʂ ɐ
ಲಕ್ಷ್ಮಣ	l ɐ k ʂ m ɐ ɳ ɐ
ಲಗಾಮು	l ɐ ɡ aː m u
ಲಗ್ನ	l ɐ ɡ n̪ ɐ
ಲಜ್ಜೆ	l ɑ d d͡ʒ e
ಲಬ್ಧ	l ɐ b d̪ʱ ɐ
ಲಯ	l ɐ j ɐ
ಲವಣ	l ɐ ʋ ɐ ɳ ɐ
ಲಾಯ್ಕ್	l aː j k
ಲಿಂಗ	l i ŋ ɡ ɐ
ಲೋಕ	l oː k ɐ
ಲೋಳ	l oː ɭ ɐ
ವಂಶಾವಳಿ	ʋ ɐ m ʃ aː ʋ ɐ ɭ i
ವಕ್ಕಣಿಸು	ʋ ɐ k k ɐ ɳ i s u
ವಕ್ಕಣೆ	ʋ ɐ k k ɐ ɳ e
ವಚನ	ʋ ɐ t͡ʃ ɐ n̪ ɐ
ವಜ್ರ	ʋ ɐ d͡ʒ ɾ ɐ
ವಡೆ	ʋ ɐ ɖ e
ವನ	ʋ ɐ n̪ ɐ
ವಯಸ್ಕ	ʋ ɐ j ɐ s k ɐ
ವರಕು	ʋ ɐ ɾ ɐ k u
ವರಸೆ	ʋ ɐ ɾ ɐ s e
ವರ್ಗ	ʋ ɐ ɾ ɡ ɐ
ವರ್ಣ	ʋ ɐ ɾ ɳ ɐ
ವರ್ಣಭೇದ	ʋ ɐ ɾ ɳ ɐ bʱ eː d̪ ɐ
ವರ್ಷ	ʋ ɐ ɾ ʂ ɐ
ವಲಸೆ	ʋ ɐ l ɐ s e
ವಳೆ	ʋ ɐ ɭ e
ವಸಂತ	ʋ ɐ s ɐ n̪ t̪ ɐ
ವಸಾರಾ	ʋ ɐ s aː ɾ aː
ವಸ್ತು	ʋ ɐ s t̪ u
ವಸ್ತ್ರ	ʋ ɐ s t̪ ɾ ɐ
ವಾ	ʋ aː
ವಾಕ್ಕು	ʋ aː k k u
ವಾಣಿ	ʋ aː ɳ i
ವಾಯು	ʋ aː j u
ವಾಯುಮಾಲಿನ್ಯ	ʋ aː j u m aː l i n̪ j ɐ
ವಾಸನೆ	ʋ aː s ɐ n̪ e
ವಿಂಗಡಿಸು	ʋ i ŋ ɡ ɐ ɖ i s u
ವಿಕ್ಷನರಿ	ʋ i k ʂ ɐ n̪ ɐ ɾ i
ವಿಚಾರಣೆ	ʋ i t͡ʃ aː ɾ ɐ ɳ e
ವಿಜಯಪುರ	ʋ i d͡ʒ ɐ j ɐ p u ɾ ɐ
ವಿಜ್ಞಾನ	ʋ i d͡ʒ ɲ aː n̪ ɐ
ವಿದ್ಯಾಲಯ	ʋ i d̪ j aː l ɐ j ɐ
ವಿದ್ಯುತ್ತು	ʋ i d̪ j u t̪ t̪ u
ವಿಧಿ	ʋ i d̪ʱ i
ವಿಭಕ್ತಿ	ʋ i bʱ ɐ k t̪ i
ವಿಮಾನ	ʋ i m aː n̪ ɐ
ವಿಮೆ	ʋ i m e
ವಿಳಾಸ	ʋ i ɭ aː s ɐ
ವಿವಾಹ	ʋ i ʋ aː h ɐ
ವಿಶ್ರಾಂತಿ	ʋ i ʃ ɾ aː n̪ t̪ i
ವಿಶ್ವಾಸ	ʋ i ʃ ʋ aː s ɐ
ವಿಷ	ʋ i ʂ ɐ
ವಿಷಯ	ʋ i ʂ ɐ j ɐ
ವಿಷ್ಣು	ʋ i ʂ ɳ u
ವೀರ	ʋ iː ɾ ɐ
ವೃಕ್ಷ	ʋ ɾ ŭ k ʂ ɐ
ವೃದ್ಧಿ	ʋ ɾ ŭ d̪ d̪ʱ i
ವೃಶ್ಚಿಕ	ʋ ɾ ŭ ʃ t͡ʃ i k ɐ
ವೇಗ	ʋ eː ɡ ɐ
ವೇಳೆ	ʋ eː ɭ e
ವೇಷ್ಟ	ʋ eː ʂ ʈ ɐ
ವೈದ್ಯ	ʋ ɐ i̯ d̪ j ɐ
ವೈಫಲ್ಯ	ʋ ɐ i̯ pʰ ɐ l j ɐ
ವೈಭವ	ʋ ɐ i̯ bʱ ɐ ʋ ɐ
ವೈಯಾಕರಣ	ʋ ɐ i̯ j aː k ɐ ɾ ɐ ɳ ɐ
ವ್ಯಕ್ತಿ	ʋ j ɐ k t̪ i
ವ್ಯತ್ಯಾಸ	ʋ j ɐ t̪ j aː s ɐ
ವ್ಯಾಕರಣ	ʋ j aː k ɐ ɾ ɐ ɳ ɐ
ಶಂಕರ	ʃ ɐ ŋ k ɐ ɾ ɐ
ಶಂಖ	ʃ ɐ ŋ kʰ ɐ
ಶತಪುಷ್ಪೆ	ʃ ɐ t̪ ɐ p u ʂ p e
ಶನಿವಾರ	ʃ ə n̪ ɪ ʋ ɑː ɾ ə
ಶಬ್ದ	ʃ ɐ b d̪ ɐ
ಶರೀರ	ʃ ɐ ɾ iː ɾ ɐ
ಶವ	ʃ ɐ ʋ ɐ
ಶವಪರೀಕ್ಷೆ	ʃ ɐ ʋ ɐ p ɐ ɾ iː k ʂ e
ಶಾಲು	ʃ aː l u
ಶಾಲೆ	ʃ aː l e
ಶಿಕ್ಷಣ	ʃ i k ʂ ɐ ɳ ɐ
ಶಿವ	ʃ i ʋ ɐ
ಶಿವಮೊಗ್ಗಾ	ʃ i ʋ ɐ m o ɡ ɡ aː
ಶಿಶು	ʃ i ʃ u
ಶುಂಠಿ	ʃ u ɳ ʈʰ i
ಶುಕ್ರ	ʃ u k ɾ ɐ
ಶುಕ್ರವಾರ	ʃ u k ɾ ə ʋ ɑː ɾ ə
ಶುದ್ಧ	ʃ u d̪ d̪ʱ ɐ
ಶುರು	ʃ u ɾ u
ಶೂನ್ಯ	ʃ uː n̪ j ɐ
