't	t
Rapport	ʀ ɑ p oː ʀ
Rass	ʀ ɑ s
Rat	r aː t
Raum	r æ u̯ m
Raup	ʀ æː ʊ̯ p
Raut	r æ u̯ t
Rauten	r æ u̯ t e n
Realisatioun	ʀ e ɑ l i z ɑ s j ə ʊ̯ n
Recht	ʀ æ ɕ t
Rechteck	ʀ æ ɕ t æ k
Reck	ʀ æ k
Reebou	r eː b e u̯
Reeboufrell	ʀ eː b ə ʊ̯ f ʀ æ l
Reebéi	ʀ eː b ɜ ɪ̯
Reech	r eː χ
Reef	ʀ eː f
Reegel	r eː ʁ e l
Reemantel	ʀ eː m ɑ n t ə l
Reemäntel	ʀ eː m æ n t ə l
Reen	ʀ eː n
Reendrëps	ʀ eː n d ʀ ə p s
Rees	ʀ eː s
Reeschauer	ʀ eː ʃ ɑ ʊ̯ ɐ
Reewaasser	r eː v aː s e r
Reewierm	ʀ eː v iː ə̯ m
Reewollek	ʀ eː v o l e k
Reewuerm	ʀ eː v uː ə̯ m
Rei	ʀ ɑ ɪ̯
Reider	ʀ ɑ ɪ̯ d ɐ
Rekolt	ʀ e k o l t
Rendéier	ʀ æ n d ɜ ɪ̯ ɐ
Revolutioun	ʀ e v o l u s j ə ʊ̯ n
Rhäin	r æ i̯ n
Ribb	ʀ i p
Ridd	ʀ i t
Rido	ʀ iː d oː
Ried	ʀ i ə t
Riedelen	ʀ i ə̯ d ə l ə n
Riedner	ʀ i ə d n ɐ
Riednerin	ʀ i ə d n ə ʀ i n
Rief	ʀ i ə f
Riichter	ʀ iː χ t e ʀ
Rill	ʀ i l
Rimm	ʀ i m
Ris	ʀ iː s
Riselen	ʀ iː z ə l ə n
Rock	ʀ o k
Roff	ʀ o f
Roll	ʀ o l
Rollschong	ʀ o l ʃ o ŋ
Rong	ʀ o ŋ
Ronn	ʀ o n
Ros	ʀ oː s
Roserei	ʀ oː z ə ʀ ɑ ɪ̯
Rot	ʀ oː t
Rou	ʀ ə ʊ
Roum	ʀ ə ʊ m
Rous	ʀ ə ʊ̯ s
Rousekranz	ʀ ə ʊ̯ z ə k ʀ ɑ n t͡s
Rousemaräin	ʀ ə ʊ̯ z ə m ɑ ʀ æː ɪ̯ n
Rousenueleg	ʀ ə ʊ̯ z ə n u ə̯ l ə ɕ
Routa	r e u̯ t aː
Routbrëschtchen	ʀ ə ʊ̯ d b ʀ ə ʃ t ɕ ə n
Routdréischel	ʀ ə ʊ̯ d d ʀ ɜ ɪ̯ ʃ ə l
Routfieder	ʀ ə ʊ̯ t f i ə̯ d ɐ
Routschwanz	ʀ ə ʊ̯ t ʃ w ɑ n t͡s
Rubbel	ʀ u b ə l
Rudder	ʀ u d ɐ
Ruff	ʀ u f
Rugby	ʀ ɑ ɡ b iː
Rull	ʀ u l
Rumeur	r y m øː r
Rumeuren	r y m øː r e n
Rumm	ʀ u m
Russ	ʁ u s
Rutt	ʀ u t
Räer	ʀ ɛː ə
Räich	ʀ æː ɪ̯ ɕ
Räif	ʀ æː ɪ̯ f
Räis	ʀ æː ɪ̯ s
Réck	r e k
Réckstrank	ʀ e k ʃ t ʀ ɑ ŋ k
Réi	r e i̯
Réidchen	ʀ ɛ ɪ̯ t ɕ ə n
Réiden	ʀ ɜ ɪ̯ d ə n
Réimech	ʀ ɜ ɪ̯ m ə ɕ
Réng	ʀ e ŋ
Réngglott	ʀ e ŋ ɡ l o t
Rëmeleng	ʀ e m e l e ŋ
Rëndfleesch	ʀ ə n t f l eː ʃ
Rëndvéi	ʀ ə n t f ɜ ɪ̯
Rëpp	r e p
Rëppen	r e p e n
Rëpper	r e p e r
Rëtsch	ʀ ə t ʃ
Saach	z aː χ
Saaft	z aː f t
Saier	z ɑ ɪ̯ ɐ
Sail	z a i̯ l
Sak	z aː k
Sakgaass	z aː ɡ ɡ aː s
Salami	s ɑ l aː m i
Salem	z aː l ə m
Sall	z ɑ l
Sallef	z ɑ l ə f
Salut	s ɑ l yː
Salz	z ɑ l t͡s
Sam	z aː m
Samett	z ɑ m æ t
Samschdeg	z ɑ m ʃ d e χ
Sand	z ɑ n t
Sandal	s ɑ n d aː l
Sau	z æː ʊ̯
Sauer	z ɑ ʊ̯ ɐ
Sauerampel	z ɑ ʊ̯ ɐ ɑ m p ə l
Sauermous	z ɑ ʊ̯ ɐ m ə ʊ̯ s
Sauerstoff	z ɑ ʊ̯ ɐ ʃ t o f
Saumon	s oː m õː
Saz	z aː t s
Schabloun	ʃ ɑ b l ə ʊ n
Schach	ʃ ɑ χ
Schachfigur	ʃ ɑ χ f i ɡ u ə̯
Schaf	ʃ aː f
Schaffner	ʃ ɑ f n ɐ
Schal	ʃ aː l
Schall	ʃ ɑ l
Schallott	ʃ ɑ l o t
Schan	ʃ aː n
Schank	ʃ ɑ ŋ k
Schantjen	ʃ ɑ n t χ e n
Scharlach	ʃ ɑ ʀ l ɑ χ
Schatz	ʃ ɑ t͡s
Schauer	ʃ ɑ ʊ̯ ɐ
Schaum	ʃ æː ʊ̯ m
Schaz	ʃ aː t s
Scheed	ʃ eː t
Scheedenagank	ʃ eː d ə n ɑ ɡ ɑ ŋ k
Scheedung	ʃ eː d u ŋ
Scheek	ʃ eː k
Scheekefruucht	ʃ eː k ə f ʀ uː χ t
Scheet	ʃ eː t
Scheif	ʃ a i̯ f
Schell	ʃ æ l
Schenkel	ʃ æ ŋ k ə l
Schiertech	ʃ iː ʀ t e χ
Schiet	ʃ i ə̯ t
Schifer	ʃ iː f e r
Schimt	ʃ i m t
Schimtlëps	ʃ i m d l ə p s
Schinn	ʃ i n
Schlaang	ʃ l aː ŋ
Schlag	ʃ l aː χ
Schlak	ʃ l aː k
Schlaken	ʃ l aː k ə n
Schlamm	ʃ l ɑ m
Schlapp	ʃ l ɑ p
Schlass	ʃ l a s
Schleef	ʃ l eː f
Schlei	ʃ l ɑ ɪ̯
Schleider	ʃ l ɑ ɪ d ɐ
Schlitt	ʃ l i t
Schlo	ʃ l oː
Schlof	ʃ l oː f
Schloff	ʃ l o f
Schluecht	ʃ l u ə ɕ t
Schluechtfeld	ʃ l u ə̯ ɕ t f æ l t
Schluechthaus	ʃ l u ə̯ ɕ t h æː ʊ̯ s
Schluet	ʃ l u ə̯ t
Schluss	ʃ l u s
Schläich	ʃ l æː ɪ̯ ɕ
Schläifsteen	ʃ l æː ɪ̯ f ʃ t eː n
Schläim	ʃ l æː ɪ̯ m
Schläiss	ʃ l æː ɪ̯ s
Schléck	ʃ l e k
Schléi	ʃ l ɜ ɪ̯
Schléier	ʃ l ɜ ɪ̯ ɐ
Schléif	ʃ l ɜ ɪ f
Schlëff	ʃ l ə f
Schlëssel	ʃ l e s e l
Schmadd	ʃ m a t
Schmalz	ʃ m ɑ l t͡s
Schmier	ʃ m iː r
Schmëdd	ʃ m ə t
Schnapp	ʃ n a p
Schnatt	ʃ n ɑ t
Schnatz	ʃ n ɑ t s
Schnauer	ʃ n a u̯ e r
Schnaueren	ʃ n a u̯ r e n
Schnauftubak	ʃ n æː ʊ̯ f t u b aː k
Schneid	ʃ n ɑ ɪ̯ t
Schneider	ʃ n ɑ ɪ̯ d ɐ
Schneiderfësch	ʃ n ɑ ɪ̯ d ɐ f ə ʃ
Schniewel	ʃ n i ə̯ v ə l
Schnieweldéier	ʃ n i ə̯ v ə l d ɜ ɪ̯ ɐ
Schnouer	ʃ n e u̯ e r
Schnuddel	ʃ n u d ə l
Schnuddelhong	ʃ n u d ə l h o ŋ
Schnéi	ʃ n ɜ ɪ
Schnéibier	ʃ n ɜ ɪ̯ b iː ə̯
Schnéibiesem	ʃ n ɜ ɪ̯ b i ə̯ z ə m
Schnéieil	ʃ n ɜ ɪ ɑ ɪ l
Schnéiflack	ʃ n ɜ ɪ̯ f l ɑ k
Schnéiklatz	ʃ n e i̯ k l a t s
Schnéikläckelchen	ʃ n ɜ ɪ̯ k l æ k ə l ɕ ə n
Schnéimännchen	ʃ n ɜ ɪ̯ m æ n ɕ ə n
Schnéiplou	ʃ n ɜ ɪ̯ p l ə ʊ̯
Schnéireen	ʃ n ɜ ɪ̯ ʀ eː n
Schnéischauer	ʃ n ɜ ɪ̯ ʃ ɑ ʊ̯ ɐ
Schnéischëpp	ʃ n ɜ ɪ̯ ʃ ə p
Schnéiwick	ʃ n ɜ ɪ̯ v i k
Schnëss	ʃ n ə s
Schnëtt	ʃ n ə t
Schnëtz	ʃ n ə t s
Schnëtzel	ʃ n ə t s ə l
Schockelasbotter	ʃ o k ə l aː z b o t ɐ
Schof	ʃ oː f
Schold	ʃ o l t
Schong	ʃ o ŋ
Schongbiischt	ʃ o ŋ b i ʃ t
Schoss	ʃ o s
Schossel	ʃ o s ə l
Schoul	ʃ ə ʊ̯ l
Schoulkand	ʃ ə ʊ̯ l k ɑ n t
Schoun	ʃ ə ʊ̯ n
Schouss	ʃ ə ʊ̯ s
Schouster	ʃ ə ʊ̯ s t ɐ
Schrack	ʃ r a k
Schrauf	ʃ ʀ ɑ ʊ̯ f
Schrauwenzéier	ʃ r a u̯ v e n t s e i̯ e r
Schreifmaschinn	ʃ ʀ a ɪ v m ɑ ʃ i n
Schräin	ʃ ʀ æː ɪ̯ n
Schräiner	ʃ ʀ æː ɪ̯ n ɐ
Schrëft	ʃ ʀ ə f t
Schrëftgeléierten	ʃ ʀ ə v d ɡ ə l ɜ ɪ̯ ɐ t ə n
Schrëftsteller	ʃ ʀ e f t ʃ t æ l ɐ
Schrëtt	ʃ r e t
Schued	ʃ u ə̯ t
Schuel	ʃ u e̯ l
Schwaarm	ʃ w aː ʀ m
Schwaart	ʃ v aː χ t
Schwaarzbier	ʃ v aː r t s b iː r
Schwamp	ʃ w ɑ m p
Schwan	ʃ w aː n
Schwangerschaft	ʃ w ɑ ŋ ɐ ʃ ɑ f t
Schwanz	ʃ w ɑ n t͡s
Schwanzmees	ʃ w ɑ n d͡z m eː s
Schweess	ʃ w eː s
Schweeër	ʃ v eː e r
Schwell	ʃ w æ l
Schwiefel	ʃ v i e̯ f e l
Schwier	ʃ w iː ə̯
Schwoer	ʃ v o e r
Schwoeren	ʃ v o e r e n
Schwong	ʃ w o ŋ
Schwonk	ʃ w o ŋ k
Schwäert	ʃ v eː r t
Schwäerter	ʃ v eː r t e r
Schwäin	ʃ v æ i̯ n
Schwäiz	ʃ v æː ɪ̯ t͡s
Schwämm	ʃ v æ m
Schwänz	ʃ w æ n t͡s
Schwéiermamm	ʃ v e i̯ e r m a m
Schwéierpapp	ʃ v e i̯ e r p a p
Schwéiesch	ʃ v e i̯ e ʃ
Schwéieschen	ʃ v e i̯ e ʃ e n
Schwéngchen	ʃ v e ŋ χ e n
Schwéngefleesch	ʃ v e ŋ e f l eː ʃ
Schwëster	ʃ v e s t e r
Schäin	ʃ æː ɪ̯ n
Schäiss	ʃ æː ɪ̯ s
Schätz	ʃ æ t͡s
Schéier	ʃ ɜ ɪ̯ ɐ
Schéifer	ʃ ɜ ɪ̯ f ɐ
Schëff	ʃ ə f
Schëld	ʃ ə l t
Schëller	ʃ ə l ɐ
Schënner	ʃ ə n ɐ
Schëpp	ʃ ə p
Schëppen	ʃ e p e n
Schëtz	ʃ ə t͡s
Secourist	s e k u ʀ i s t
See	z eː
Seech	z eː ɕ
Seef	z eː f
Seegel	z eː ʁ e l
Seegen	z eː ʁ e n
Seel	z eː l
Seem	z eː m
Seen	z eː n
Seid	z ɑ ɪ̯ t
Sekonn	z ə k o n
Sensatioun	s ãː s ɑ s j ə ʊ̯ n
Setzgromper	z æ t s ɡ ʀ o m p ɐ
Sich	z i ɕ
Sichmaschinn	z i ɕ m ɑ ʃ i n
Siff	z i f
Sigel	z i ʁ e l
Signal	s i n j aː l
Siicht	z iː ɕ t
Silb	z i l p
Sireen	z i ʀ eː n
Site	s i t
Sitt	z i t
Skelett	s k e l æ t
Skizz	s k i t͡s
Sklaverei	s k l aː v ə ʀ ɑ ɪ̯
Skorpioun	s k o r p j e u̯ n
Slip	s l i p
So	z oː
Soff	z o f
Som	z oː m
Sonn	z o n
Sonndeg	z o n d e χ
Sonneblumm	z o n ə b l u m
Sonnebrëll	s o n ə b ʀ ə l
Sonnefleck	z o n ə f l æ k
Sonnenauer	z o n ə n ɑ ʊ̯ ɐ
Sonnenopgang	z o n ə n o p ɡ ɑ ŋ
Sonnenënnergang	z o n e n e n ɐ ɡ ɑ ŋ
Sonneprabbeli	z o n p ʀ ɑ b ə l iː
Sonneschäin	z o n ə ʃ æː ɪ̯ n
Soumissioun	s u m i s j ə ʊ̯ n
Soutien	s u t j ɛ̃ː
Souvenir	s u v ə n iː ə̯
Souvenir	s u v ə n iː ʀ
Spaass	ʃ p aː s
Spackelter	ʃ p ɑ k æ l t ɐ
Spadséiergang	ʃ p ɑ d͡z ɜ ɪ̯ ɐ ɡ ɑ ŋ
Spargel	ʃ p a ʁ ʑ ə l
Spatz	ʃ p ɑ t s
Spaut	ʃ p ɑ ʊ̯ t
Spaweck	ʃ p aː v æ k
Speck	ʃ p æ k
Speech	ʃ p eː ɕ
Spelz	ʃ p æ l t͡s
Spidol	ʃ p i d oː l
Spiecht	ʃ p i e̯ χ t
Spierk	ʃ p iː ə̯ k
Spigel	ʃ p i ʁ e l
Spigelee	ʃ p i ʑ ə l eː
Spigelkaarp	ʃ p i ʑ ə l k aː p
Spill	ʃ p i l
Spillkaart	ʃ p i l k aː χ t
Spinat	ʃ p i n aː t
Spioun	ʃ p i ə ʊ̯ n
Spoun	ʃ p e u̯ n
Sprachwuert	ʃ p ʀ a χ v u e̯ t
Sprass	ʃ p ʀ ɑ s
Sprenz	ʃ p ʀ æ n t͡s
Spriecher	ʃ p ʀ i ə̯ χ ɐ
Sproch	ʃ p ʀ o χ
Sprong	ʃ p ʀ o ŋ
Spronk	ʃ p r o ŋ k
Sprooch	ʃ p ʀ oː χ
Sproochgebitt	ʃ p r oː χ ɡ e b i t
Spréif	ʃ p ʀ ɜ ɪ f
Sprénger	ʃ p ʁ e ŋ ɐ
Sprëss	ʃ p ʀ ə s
Sprëtz	ʃ p ʀ ə t s
Spuenesch	ʃ p u ə̯ n ə ʃ
Spuenien	ʃ p u ə̯ n j ə n
Spuenier	ʃ p u ə̯ n i ɐ
Spuer	ʃ p uː ə̯
Spuerk	ʃ p uː ə̯ k
Spuervigel	ʃ p uː ə̯ f i ʑ ə l
Spuervull	ʃ p uː ə̯ f u l
Spull	ʃ p u l
Spur	ʃ p uː ə̯
Sputt	ʃ p u t
Späicher	ʃ p æː ɪ̯ ɕ ɐ
Spëtz	ʃ p ə t s
Spëtzt	ʃ p ə t s t
Staang	ʃ t aː ŋ
Stack	ʃ t a k
Stad	ʃ t aː t
Stadmauer	ʃ t aː d m ɑ ʊ̯ ə
Staf	ʃ t aː f
Stall	ʃ t ɑ l
Stam	ʃ t aː m
Stamm	ʃ t ɑ m
Stammbam	ʃ t ɑ m b aː m
Stand	ʃ t ɑ n t
Stater	ʃ t aː t e r
Stee	ʃ t eː
Steebock	ʃ t eː b o k
Steebroch	ʃ t eː b ʀ o χ
Steekueb	ʃ t eː k u ə̯ b
Steemetzer	ʃ t eː m æ t͡s ɐ
Steen	ʃ t eː n
Steepiisch	ʃ t eː p iː ʃ
Steeën	ʃ t eː ə n
Steier	ʃ t ɑ ɪ̯ ɐ
Steng	ʃ t æ ŋ
Stied	ʃ t i e̯ t
Stiedchen	ʃ t i e̯ t χ e n
Stier	ʃ t iː r
Stieren	ʃ t iː r e n
Stiermer	ʃ t iː ə̯ m ɐ
Still	ʃ t i l
Stiwwel	ʃ t i v ə l
Stoff	ʃ t o f
Stol	ʃ t oː l
Stomp	ʃ t o m p
Stong	ʃ t o ŋ
Stonn	ʃ t o n
Stonneplang	ʃ t o n ə p l ɑ ŋ
Stot	ʃ t oː t
Stouss	ʃ t ə ʊ̯ s
Strand	ʃ t ʀ ɑ n t
Strapp	ʃ t ʁ ɑ p
Strategie	ʃ t ʁ a t e ʒ iː
Strauch	ʃ t r æː ʊ̯ χ
Strauss	ʃ t r a u̯ s
Strauss	ʃ t r æ u̯ s
Streck	ʃ t ʀ æ k
Strief	ʃ t ʀ i ə f
Strigel	ʃ t ʀ i ʑ ə l
Stronk	ʃ t ʀ o ŋ k
Strooss	ʃ t ʀ oː s
Stroossbuerg	ʃ t r oː s b u e̯ χ
Stroum	ʃ t ʀ ə ʊ̯ m
Strumm	ʃ t ʀ u m
Sträif	ʃ t ʀ æː ɪ̯ f
Sträit	ʃ t ʀ æː ɪ̯ t
Sträitfall	ʃ t ʀ æː ɪ̯ t f ɑ l
Stréckel	ʃ t ʀ e k ə l
Stréihutt	ʃ t ʀ ɜ ɪ̯ h u t
Strénk	ʃ t ʀ e ŋ k
Strëmp	ʃ t ʀ e m p
Stuel	ʃ t u ə l
Stuerm	ʃ t uː ə m
Stuff	ʃ t u f
Stull	ʃ t u l
Stäerkt	ʃ t ɛː ə̯ k t
Stär	ʃ t eː r
Stärchen	ʃ t eː r χ e n
Stären	ʃ t eː r e n
Stärercher	ʃ t eː r e r χ e r
Stéck	ʃ t e k
Stécker	ʃ t e k ɐ
Stéckstoff	ʃ t e k ʃ t o f
Stéier	ʃ t e i̯ e r
Stéieren	ʃ t e i̯ r e n
Stéifkand	ʃ t ɜ ɪ̯ f k ɑ n t
Stéifmamm	ʃ t ɜ ɪ̯ f m ɑ m
Stéifpapp	ʃ t ɜ ɪ̯ f p ɑ p
Stéit	ʃ t ɜ ɪ̯ t
Stëbs	ʃ t ə p s
Stëft	ʃ t ə f t
Stëmm	ʃ t ə m
Succès	s y k s ɛ
Sucht	z u χ t
Suedel	z u ə̯ d ə l
Suel	z u ə l
Suerg	z u e̯ χ
Summer	z u m e r
Summerwee	z u m ɐ v eː
Symptom	s i m p t oː m
Säit	z æː ɪ̯ t
Séchel	z ə ɕ ə l
Séi	z e i̯
Séihond	z ɜ ɪ̯ h o n t
Séil	z ɜ ɪ l
Séipäerdchen	z ɜ ɪ̯ p ɛː ə̯ t ɕ ə n
Sëlwer	s ə l v ɐ
Sëlwermënz	z ə l v ɐ m ə n t͡s
Sënd	z e n t
Sënn	z e n
Sëtz	z ə t s
Süden	z yː d ə n
Taart	t aː χ t
Taass	t aː s
Tallong	t ɑ l o ŋ
Tast	t ɑ s t
Tatta	t ɑ t a
Tatz	t ɑ t s
Taxichauffeur	t ɑ k s i ʃ oː f ɐ
Televisioun	t ə l ə v i z j ə ʊ̯ n
Tempel	t æ m p ə l
Tennis	t æ n i s
Teppech	t æ p ə ɕ
Terrass	t æ ʀ ɑ s
Thees	t eː s
Tierk	t i e̯ k
Tierkei	t i e̯ k a i̯
Timber	t æ̃ b e r
Toilettëpabeier	t o̯ ɑ l æ t ə p ɑ b ɜ i̯ ɐ
Tomat	t o m aː t
Tomatejus	t o m aː t ə ʒ yː
Tosch	t o ʃ
Toun	t ə ʊ̯ n
Tournevis	t u r n e v i s
Trach	t r a χ
Traisch	t ʀ æː ɪ̯ ʃ
Traité	t r e t e
Trap	t ʀ aː p
Trapegelänner	t ʀ aː p ə ɡ ə l æ n ɐ
Trapp	t ʁ ɑ p
Tratt	t ʀ ɑ t
Trauer	t ʀ ɑ ʊ̯ ɐ
Traufel	t ʀ ɑ ʊ̯ f ə l
Trausch	t ʀ æː ʊ̯ ʃ
Trei	t ʀ a i̯
Tromm	t ʀ o m
Troun	t ʀ ə ʊ̯ n
Trouscht	t ʀ ə ʊ̯ ʃ t
Träip	t r æ i̯ p
Tréin	t ʀ ɜ ɪ̯ n
Trëtt	t ʀ ə t
Trëtz	t ʀ ə t s
Trüffel	t ʀ y f ə l
Tubak	t u b aː k
Tuerm	t u ə̯ m
Tulp	t u l p
Tureil	t uː ə̯ ɑ i̯ l
Turnschlapp	t u ʀ n ʃ l ɑ p
Tut	t uː t
Täissel	t æ i̯ s e l
Täsch	t æ ʃ
Täschemesser	t æ ʃ ə m æ s ɐ
Täschendéif	t æ ʃ ə n d ɜ ɪ̯ f
Téi	t e i̯
Tënt	t ə n t
Ubau	u b æː ʊ̯
Uebst	u e̯ p s t
Uebstbam	u ə p s t b aː m
Uebstdrëpp	u ə p s t d ʀ ə p
Uebstjus	u ə̯ p s t ʒ yː
Uebstzalot	u ə p s t s ɑ l oː t
Uebstzort	u ə p s t s ɔ ʀ t
Ueleg	u e̯ l e χ
Uelzecht	u ə l t͡s ə ɕ t
Uerden	uː ə̯ d ə n
Uerder	uː ə̯ d ɐ
Uerdnung	uː ə̯ d n u ŋ
Uergel	uː ə̯ ʑ ə l
Uergelbauer	u e̯ ʀ ɣ e l b a u̯ e ʀ
Uergelspiller	uː ə̯ ʑ ə l ʃ p i l ɐ
Uert	u e̯ t
Uess	u ə̯ s
Uessen	u ə̯ s ə n
Uewen	u e̯ v e n
Uewerkuer	u ə v ɐ k uː ə̯
Ufank	u f ɑ ŋ k
Ufro	u f ʀ oː
Ulaf	u l aː f
Ulm	u l m
Universitéit	u n i v æ ʁ s i t ɜ ɪ̯ t
Ursaach	uː ʀ z aː χ
Usproch	u ʃ p ʀ o χ
Usprooch	u ʃ p ʀ oː χ
Vagin	v a ʒ æ̃
Vaginen	v a ʒ æ̃ e n
Vakanz	v ɑ k ɑ n t s
Vanill	v ɑ n i l
Vas	v aː s
Veianen	f ɑ ɪ̯ aː n ə n
Veinen	f ɑ ɪ̯ n ə n
Verbuet	f ɐ b u ə t
Verdeedeger	f ɐ d eː d e ʁ ɐ
Verfall	f ɐ f ɑ l
Verfollegung	f ɐ f o l e ʁ u ŋ
Verhalen	f ɐ h aː l ə n
Verlaangen	f ɐ l aː ŋ ə n
Verspriechen	f ɐ ʃ p ʀ i ə̯ χ e n
Verspriechung	f ɐ ʃ p ʀ i ə̯ χ u ŋ
Versteesdemech	f e r ʃ t eː s d e m e χ
Versécherung	f ɐ z e χ e ʀ u ŋ
Verteideger	f ɐ t ɑ ɪ̯ d e ʁ ɐ
Verzweiwelung	f ɐ t͡s w ɑ ɪ̯ v ə l u ŋ
Veräin	f e r æ i̯ n
Veräiner	f e r æ i̯ n e r
Vigel	f i ʁ e l
Virdeel	f i ɐ̯ d eː l
Virnumm	f iː ə̯ n u m
Virolog	v i ʁ o l oː k
Virologie	v i ʁ o l o ɡ iː
Virstellung	f i ɐ̯ ʃ t æ l u ŋ
Vitesse	v i t æ s
Vollek	f o l ə k
Vollmound	f o l m ə ʊ̯ n t
Vott	v o t
Vugel	f u ʁ e l
Vull	f u l
Véi	f ɜ ɪ̯
Véiereck	f e i̯ r æ k
Vëlo	v ə l oː
Vëlossport	v ə l oː s ʃ p o ʀ t
Waarzel	v aː t͡s ə l
Waasser	v aː s e r
Waasserball	v aː s ɐ b ɑ l
Waasseren	v aː s e r e n
Waasserlaf	v aː s ɐ l aː f
Waassermann	v aː s ɐ m ɑ n
Waassermeloun	v aː s ɐ m ə l ə ʊ̯ n
Waasserpiipsert	v aː s ɐ p iː p s ɐ t
Waasserpouken	v aː s ə p ə ʊ̯ k ə n
Waasserstoff	v aː s ɐ ʃ t o f
Wab	v aː p
Waff	v ɑ f
Wak	v aː k
Wakelter	v aː k ə l t ɐ
Wal	v aː l
Wallis	v ɑ l i s
Wand	v a n t
Wandvitesse	v ɑ n d v i t æ s
Wann	v ɑ n
Wanter	v a n t e r
Wantergréng	v ɑ n t ɐ ɡ ʀ e ŋ
Wanterint	v ɑ n t ə ʀ i n t
Wanterpanewippchen	v ɑ n t ɐ p aː n ə v i p ɕ ə n
Watt	v ɑ t
Wecker	v æ k ə
Wee	v eː
Weed	v eː t
Ween	v eː n
Weeschësser	v eː ʃ ə s ɐ
Weess	v eː s
Weeër	v eː e r
Wei	v ɑ ɪ̯
Weid	v ɑ ɪ̯ t
Weidemees	v ɑ ɪ̯ d ə m eː s
Well	v æ l
Welt	v æ l t
Westen	v æ s t ə n
Wett	v æ t
Wick	v i k
Widder	v i d ɐ
Wiechter	v i e̯ χ t e r
Wiel	v i e̯ l
Wier	v iː ə̯
Wierbeldéier	v iː ʀ b e l d ɜ ɪ̯ ɐ
Wierfel	v iː ə̯ f ə l
Wierm	v iː ə̯ m
Wiert	v iː ə t
Wiesen	v i ə z ə n
Wiessel	v i ə̯ s ə l
Winker	v i ŋ k ɐ
Wirschtchen	v i r ʃ e n
Wirschtchen	v i r ʃ t χ e n
Wirschtercher	v i r ʃ t e r χ e r
Wisel	v i z ə l
Wisepiipsert	v iː z ə p i p s ɐ t
Wiss	v i s
Witz	v i t͡s
Wo	v oː
Woch	v o χ
Woll	v o l
Wollef	v o l ə f
Wollek	v o l ə k
Wollekekrazert	v o l ə k ə k ʀ aː t͡s ɐ t
Wolz	v o l t s
Won	v oː n
Wonn	v o n
Wonner	v o n ɐ
Wopen	v oː p e n
Wouerecht	v e u̯ r e χ t
Wuecht	v u e̯ χ t
Wuechtel	v u ə̯ ɕ t ə l
Wuechthond	v u ə̯ ɕ t h o n t
Wued	v u ə̯ t
Wuel	v u ə l
Wuer	v u ɐ
Wuerm	v uː ə̯ m
Wuerzel	v u ə̯ t͡s ə l
Wues	v u ə s
Wuess	v u ə s
Wull	v u l
Wunneng	v u n e ŋ
Wurscht	v u r ʃ t
Wurschten	v u r ʃ t e n
Wäermt	v ɛː ə̯ m t
Wäert	v eː r t
Wäikeller	v æː ɪ̯ k æ l ɐ
Wäin	v æ i̯ n
Wäiner	v æ i̯ n e r
Wäissrussland	v æː ɪ̯ z ʀ u s l ɑ n t
Wäitsprong	v æː ɪ̯ t ʃ p ʀ o ŋ
Wäsch	v æ ʃ
Wäschbier	v æ ʃ b i ə̯
Wäschkichen	v æ ʃ k i ɕ ə n
Wäschkuerf	v æ ʃ k uː ə̯ f
Wässeg	v æ s ə ɕ
Wéi	v e i̯
Wéngert	v e ŋ e r t
Wénkel	v e ŋ k ə l
Wëllef	v ə l ə f
Wëllen	v ə l ə n
Wënzer	v ə n t͡s ɐ
Wësch	v ə ʃ
Wëssen	v ə s ə n
Wüst	v yː s t
Zaang	t s aː ŋ
Zack	t s ɑ k
Zalot	t s a l oː t
Zam	t s aː m
Zammermann	t͡s ɑ m ɐ m ɑ n
Zander	t͡s ɑ n d ɐ
Zant	t s ɑ n t
Zap	t͡s aː p
Zapp	t s ɑ p
Zatz	t s ɑ t s
Zebra	t͡s eː b ʀ a
Zebrasträif	t͡s eː b ʀ ɑ ʃ t ʀ æː ɪ̯ f
Zeck	t s æ k
Zeechen	t͡s eː ɕ ə n
Zeen	t͡s eː n
Zeien	t͡s ɑ ɪ̯ ə n
Zeil	t s ɑ ɪ̯ l
Zeitung	t s a i̯ t u ŋ
Zeitungen	t͡s ɑ ɪ̯ t u ŋ ə n
Zell	t s æ l
Zelleri	t͡s æ l ə ʁ i
Zelt	t͡s æ l t
Zervéit	t͡s ɐ v ɜ ɪ̯ t
Ziedel	t͡s i ə̯ d ə l
Zier	t͡s iː ə̯
Zigarett	t͡s i ɡ ɑ ʀ æ t
Zigel	t͡s i ʑ ə l
Zil	t͡s iː l
Zill	t s i l
Zillzapp	t͡s i l t͡s ɑ p
Zitroun	t͡s i t ʀ ə ʊ̯ n
Ziwwi	t s i v i
Zoch	t s o χ
Zocker	t s o k e r
Zodi	t͡s oː d iː
Zoll	t s o l
Zomm	t͡s o m
Zon	t͡s oː n
Zong	t͡s o ŋ
Zonk	t s o ŋ k
Zooss	t s oː s
Zoossiss	t͡s oː s i s
Zopp	t͡s o p
Zort	t s o r t
Zoufall	t͡s ə ʊ̯ f ɑ l
Zoustand	t͡s ə ʊ̯ ʃ t ɑ n t
Zuch	t͡s u χ
Zuel	t s u e̯ l
Zuucht	t s uː χ t
Zwangsrekrutéierten	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ɐ t ə n
Zweck	t͡s w æ k
Zwecker	t͡s w æ k ɐ
