あ	a̠
かわちい	k a̠ β̞ a̠ t͡ɕ iː
かわづら	k a̠ β̞ a̠ z ɨ ɾ a̠
かわひらこ	k a̠ β̞ a̠ ç i ɾ a̠ k o̞
かわべ	k a̠ β̞ a̠ b e̞
かわも	k a̠ β̞ a̠ m o̞
かわり	k a̠ β̞ a̠ ɾʲ i
かわりだね	k a̠ β̞ a̠ ɾʲ i d a̠ n e̞
かわりばえ	k a̠ β̞ a̠ ɾʲ i b a̠ e̞
かわりもの	k a̠ β̞ a̠ ɾʲ i m o̞ n o̞
かんがえこむ	k ã̠ ŋ ɡ a̠ e̞ k o̞ m ɯ̟
かんご	k ã̠ ŋ ɡ o̞
かんどころ	k ã̠ n d o̞ k o̞ ɾ o̞
かんばせ	k ã̠ m b a̠ s e̞
かんばる	k ã̠ m b a̠ ɾ ɯ̟
かんぱち	k ã̠ m p a̠ t͡ɕ i
かんむりばんぐみ	k ã̠ mː ɯ̟ ɾʲ i b ã̠ ŋ ɡ ɯ̟ mʲ i
か゚	ŋ a̠
が	ɡ a̠
があん	ɡ ã̠ː ɴ
がい	ɡ a̠ i
がきんちょ	ɡ a̠ kʲ ĩ ɲ̟ t͡ɕ o̞
がくがく	ɡ a̠ k ɯ̟ ɡ a̠ k ɯ̟
がくわり	ɡ a̠ k ɯ̟ β̞ a̠ ɾʲ i
がけっぷち	ɡ a̠ k e̞ p̚ p ɯ̟ t͡ɕ i
がさいれ	ɡ a̠ s a̠ i ɾ e̞
がさつ	ɡ a̠ s a̠ t͡s ɨ
がじゅまる	ɡ a̠ ʑ ɨ m a̠ ɾ ɯ̟
がたい	ɡ a̠ t a̠ i
がたがた	ɡ a̠ t a̠ ɡ a̠ t a̠
がたぴし	ɡ a̠ t a̠ pʲ i ɕ i
がたり	ɡ a̠ t a̠ ɾʲ i
がたん	ɡ a̠ t ã̠ ɴ
がたんごとん	ɡ a̠ t ã̠ ŋ ɡ o̞ t õ̞ ɴ
がちがち	ɡ a̠ t͡ɕ i ɡ a̠ t͡ɕ i
がちこい	ɡ a̠ t͡ɕ i k o̞ i
がちなき	ɡ a̠ t͡ɕ i n a̠ kʲ i
がっかり	ɡ a̠ k̚ k a̠ ɾʲ i
がっくり	ɡ a̠ k̚ k ɯ̟ ɾʲ i
がっしり	ɡ a̠ ɕː i ɾʲ i
がっつく	ɡ a̠ t̚ t͡s ɨ k ɯ̟
がっつり	ɡ a̠ t̚ t͡s ɨ ɾʲ i
がっぽがっぽ	ɡ a̠ p̚ p o̞ ɡ a̠ p̚ p o̞
がっぽり	ɡ a̠ p̚ p o̞ ɾʲ i
がつん	ɡ a̠ t͡s ɨ̃ ɴ
がてら	ɡ a̠ t e̞ ɾ a̠
がば	ɡ a̠ b a̠
がばい	ɡ a̠ b a̠ i
がばがば	ɡ a̠ b a̠ ɡ a̠ b a̠
がばっと	ɡ a̠ b a̠ t̚ t o̞
がびがび	ɡ a̠ bʲ i ɡ a̠ bʲ i
がぶり	ɡ a̠ b ɯ̟ ɾʲ i
がぼがぼ	ɡ a̠ b o̞ ɡ a̠ b o̞
がや	ɡ a̠ j a̠
がやがや	ɡ a̠ j a̠ ɡ a̠ j a̠
がらあき	ɡ a̠ ɾ a̠ a̠ kʲ i
がらがら	ɡ a̠ ɾ a̠ ɡ a̠ ɾ a̠
がらくた	ɡ a̠ ɾ a̠ k ɯ̟̊ t a̠
がらり	ɡ a̠ ɾ a̠ ɾʲ i
がらんどう	ɡ a̠ ɾ ã̠ n d o̞ː
がわ	ɡ a̠ β̞ a̠
がん	ɡ ã̠ ɴ
がんがれ	ɡ ã̠ ŋ ɡ a̠ ɾ e̞
がんがん	ɡ ã̠ ŋ ɡ ã̠ ɴ
がんば	ɡ ã̠ m b a̠
がんばれ	ɡ ã̠ m b a̠ ɾ e̞
がんひらき	ɡ ã̠ ɰ̃ ç i ɾ a̠ kʲ i
がんみ	ɡ ã̠ mʲː i
がんも	ɡ ã̠ mː o̞
がんよみ	ɡ ã̠ ɰ̃ j o̞ mʲ i
き	kʲ i
きぇ	kʲ e̞
きえのこる	kʲ i e̞ n o̞ k o̞ ɾ ɯ̟
きえもの	kʲ i e̞ m o̞ n o̞
ききいる	kʲ i kʲ iː ɾ ɯ̟
ききざけ	kʲ i kʲ i z a̠ k e̞
ききそびれる	kʲ i kʲ i s o̞ bʲ i ɾ e̞ ɾ ɯ̟
ききなし	kʲ i kʲ i n a̠ ɕ i
ききみみ	kʲ i kʲ i mʲ i mʲ i
ききわける	kʲ i kʲ i β̞ a̠ k e̞ ɾ ɯ̟
きくずれる	kʲ i k ɯ̟ z ɨ ɾ e̞ ɾ ɯ̟
きくならく	kʲ i k ɯ̟ n a̠ ɾ a̠ k ɯ̟
きこゆる	kʲ i k o̞ j ɯ̟ ɾ ɯ̟
きしめん	kʲ i ɕ i m ẽ̞ ɴ
きしょい	kʲ i ɕ o̞ i
きす	kʲ i s ɨ
きそ	kʲ i s o̞
きたす	kʲ i t a̠ s ɨ
きちんと	kʲ i̥ t͡ɕ ĩ n t o̞
きっさき	kʲ i sː a̠ kʲ i
きっしょい	kʲ i ɕː o̞ i
きっすい	kʲ i sː ɨ i
きっちり	kʲ i̥ t̚ t͡ɕ i ɾʲ i
きっと	kʲ i̥ t̚ t o̞
きっぱり	kʲ i p̚ p a̠ ɾʲ i
きつい	kʲ i̥ t͡s ɨ i
きて	kʲ i̥ t e̞
きてれつ	kʲ i t e̞ ɾ e̞ t͡s ɨ
きなこ	kʲ i n a̠ k o̞
きぬごしどうふ	kʲ i n ɯ̟ ɡ o̞ ɕ i d o̞ː ɸ ɯ̟
きね	kʲ i n e̞
きびがら	kʲ i bʲ i ɡ a̠ ɾ a̠
きびきび	kʲ i bʲ i kʲ i bʲ i
きふるす	kʲ i ɸ ɯ̟ ɾ ɯ̟ s ɨ
きぶとり	kʲ i b ɯ̟ t o̞ ɾʲ i
きみいろ	kʲ i mʲ i i ɾ o̞
きみすい	kʲ i mʲ i s ɨ i
きめこまかい	kʲ i m e̞ k o̞ m a̠ k a̠ i
きめぜりふ	kʲ i m e̞ z e̞ ɾʲ i ɸ ɯ̟
きめて	kʲ i m e̞ t e̞
きゃ	kʲ a̠
きゃあ	kʲ a̠ː
きゃいきゃい	kʲ a̠ i kʲ a̠ i
きゃたつ	kʲ a̠ t a̠ t͡s ɨ
きゃっ	kʲ a̠ ʔ
きゃぴ	kʲ a̠ pʲ i
きゃぴきゃぴ	kʲ a̠ pʲ i kʲ a̠ pʲ i
きゃわいい	kʲ a̠ β̞ a̠ iː
きやせ	kʲ i j a̠ s e̞
きゅ	kʲ ɨ
きゅっと	kʲ ɨ t̚ t o̞
きょ	kʲ o̞
きょう	kʲ o̞ː
きょうざめる	kʲ o̞ː z a̠ m e̞ ɾ ɯ̟
きょくふり	kʲ o̞ k ɯ̟ ɸ ɯ̟ ɾʲ i
きょときょと	kʲ o̞ t o̞ kʲ o̞ t o̞
きょとん	kʲ o̞ t õ̞ ɴ
きょどる	kʲ o̞ d o̞ ɾ ɯ̟
きょぬー	kʲ o̞ n ɯ̟ː
きょろきょろ	kʲ o̞ ɾ o̞ kʲ o̞ ɾ o̞
きよまる	kʲ i j o̞ m a̠ ɾ ɯ̟
きよめる	kʲ i j o̞ m e̞ ɾ ɯ̟
きらきら	kʲ i ɾ a̠ kʲ i ɾ a̠
きらめく	kʲ i ɾ a̠ m e̞ k ɯ̟
きらり	kʲ i ɾ a̠ ɾʲ i
きりあげ	kʲ i ɾʲ i a̠ ɡ e̞
きりかわる	kʲ i ɾʲ i k a̠ β̞ a̠ ɾ ɯ̟
きりきざむ	kʲ i ɾʲ i kʲ i z a̠ m ɯ̟
きりきり	kʲ i ɾʲ i kʲ i ɾʲ i
きりこみ	kʲ i ɾʲ i k o̞ mʲ i
きりど	kʲ i ɾʲ i d o̞
きりばこ	kʲ i ɾʲ i b a̠ k o̞
きれか	kʲ i ɾ e̞ k a̠
きれかわ	kʲ i ɾ e̞ k a̠ β̞ a̠
きれきれ	kʲ i ɾ e̞ kʲ i ɾ e̞
きれっきれ	kʲ i ɾ e̞ k̚ʲ kʲ i ɾ e̞
きれま	kʲ i ɾ e̞ m a̠
きわどい	kʲ i β̞ a̠ d o̞ i
きわまれり	kʲ i β̞ a̠ m a̠ ɾ e̞ ɾʲ i
きわみ	kʲ i β̞ a̠ mʲ i
きわもの	kʲ i β̞ a̠ m o̞ n o̞
きんけり	kʲ ĩ ŋ k e̞ ɾʲ i
き゚	ŋʲ i
き゚ぇ	ŋʲ e̞
き゚ゃ	ŋʲ a̠
き゚ゅ	ŋʲ ɨᵝ
き゚ょ	ŋʲ o̞
ぎ	ɡʲ i
ぎいぎい	ɡʲ iː ɡʲ iː
ぎぇ	ɡʲ e̞
ぎくしゃく	ɡʲ i k ɯ̟ ɕ a̠ k ɯ̟
ぎこちない	ɡʲ i k o̞ t͡ɕ i n a̠ i
ぎざ	ɡʲ i z a̠
ぎすぎす	ɡʲ i s ɨ ɡʲ i s ɨ
ぎったんばっこん	ɡʲ i t̚ t ã̠ m b a̠ k̚ k õ̞ ɴ
ぎっちょ	ɡʲ i t̚ t͡ɕ o̞
ぎゃ	ɡʲ a̠
ぎゃあぎゃあ	ɡʲ a̠ː ɡʲ a̠ː
ぎゃくばり	ɡʲ a̠ k ɯ̟ b a̠ ɾʲ i
ぎゃふ	ɡʲ a̠ ɸ ɯ̟
ぎゃふん	ɡʲ a̠ ɸ ɯ̟̃ ɴ
ぎゃんなき	ɡʲ ã̠ nː a̠ kʲ i
ぎゅ	ɡʲ ɨ
ぎゅうぎゅう	ɡʲ ɨː ɡʲ ɨː
ぎゅっと	ɡʲ ɨ t̚ t o̞
ぎゅんと	ɡʲ ɨ̃ n t o̞
ぎょ	ɡʲ o̞
ぎょく	ɡʲ o̞ k ɯ̟
ぎょっと	ɡʲ o̞ t̚ t o̞
ぎょろぎょろ	ɡʲ o̞ ɾ o̞ ɡʲ o̞ ɾ o̞
ぎらぎら	ɡʲ i ɾ a̠ ɡʲ i ɾ a̠
ぎらつく	ɡʲ i ɾ a̠ t͡s ɨ k ɯ̟
ぎり	ɡʲ i ɾʲ i
ぎりぎり	ɡʲ i ɾʲ i ɡʲ i ɾʲ i
ぎんぎん	ɡʲ ĩ ŋʲ ɡʲ ĩ ɴ
く	k ɯ̟
くぁ	kᵝ a̠
くぃ	kᵝ i
くい	k ɯ̟ i
くいぎみ	k ɯ̟ i ɡʲ i mʲ i
くいしばる	k ɯ̟ i ɕ i b a̠ ɾ ɯ̟
くいぜ	k ɯ̟ i z e̞
くぇ	kᵝ e̞
くぉ	kᵝ o̞
くが	k ɯ̟ ɡ a̠
くぎゅ	k ɯ̟ ɡʲ ɨ
くぐ	k ɯ̟ ɡ ɯ̟
くぐもる	k ɯ̟ ɡ ɯ̟ m o̞ ɾ ɯ̟
くけぬい	k ɯ̟ k e̞ n ɯ̟ i
くけばり	k ɯ̟ k e̞ b a̠ ɾʲ i
くける	k ɯ̟ k e̞ ɾ ɯ̟
くさい	k ɯ̟̊ s a̠ i
くさむら	k ɯ̟ s a̠ m ɯ̟ ɾ a̠
くさやきゅう	k ɯ̟ s a̠ j a̠ kʲ ɨː
くされえん	k ɯ̟ s a̠ ɾ ẽ̞ː ɴ
くしざし	k ɯ̟̊ ɕ i z a̠ ɕ i
くじ	k ɯ̟ ʑ i
くじける	k ɯ̟ ʑ i k e̞ ɾ ɯ̟
くじり	k ɯ̟ ʑ i ɾʲ i
くすくす	k ɯ̟̊ s ɨ k ɯ̟̊ s ɨ
くすみ	k ɯ̟ s ɨ mʲ i
くすむ	k ɯ̟ s ɨ m ɯ̟
くすりづけ	k ɯ̟ s ɨ ɾʲ i z ɨ k e̞
くずかご	k ɯ̟ z ɨ k a̠ ɡ o̞
くせげ	k ɯ̟ s e̞ ɡ e̞
くせもの	k ɯ̟ s e̞ m o̞ n o̞
くそたわけ	k ɯ̟ s o̞ t a̠ β̞ a̠ k e̞
くたくた	k ɯ̟̊ t a̠ k ɯ̟̊ t a̠
くたばる	k ɯ̟̊ t a̠ b a̠ ɾ ɯ̟
くだらがく	k ɯ̟ d a̠ ɾ a̠ ɡ a̠ k ɯ̟
くち	k ɯ̟̊ t͡ɕ i
くちかせ	k ɯ̟ t͡ɕ i k a̠ s e̞
くちぐすり	k ɯ̟ t͡ɕ i ɡ ɯ̟ s ɨ ɾʲ i
くちさびしい	k ɯ̟ t͡ɕ i s a̠ bʲ i ɕ iː
くちだし	k ɯ̟ t͡ɕ i d a̠ ɕ i
くちどめりょう	k ɯ̟ t͡ɕ i d o̞ m e̞ ɾʲ o̞ː
くちもと	k ɯ̟ t͡ɕ i m o̞ t o̞
くちゅくちゅ	k ɯ̟ t͡ɕ ɨ k ɯ̟ t͡ɕ ɨ
くちる	k ɯ̟ t͡ɕ i ɾ ɯ̟
くっきり	k ɯ̟ k̚ʲ kʲ i ɾʲ i
くっちゃべる	k ɯ̟ t̚ t͡ɕ a̠ b e̞ ɾ ɯ̟
くつ	k ɯ̟ t͡s ɨ
くつくつ	k ɯ̟ t͡s ɨ k ɯ̟ t͡s ɨ
くつろ	k ɯ̟ t͡s ɨ ɾ o̞
くない	k ɯ̟ n a̠ i
くにことば	k ɯ̟ ɲ̟ i k o̞ t o̞ b a̠
くにたみ	k ɯ̟ ɲ̟ i t a̠ mʲ i
くねくね	k ɯ̟ n e̞ k ɯ̟ n e̞
くねる	k ɯ̟ n e̞ ɾ ɯ̟
くぱぁ	k ɯ̟ p a̠ː
くびき	k ɯ̟ bʲ i kʲ i
くびきり	k ɯ̟ bʲ i kʲ i ɾʲ i
くびったけ	k ɯ̟ bʲ i t̚ t a̠ k e̞
くびねっこ	k ɯ̟ bʲ i n e̞ k̚ k o̞
くびれ	k ɯ̟ bʲ i ɾ e̞
くびれる	k ɯ̟ bʲ i ɾ e̞ ɾ ɯ̟
くぼみ	k ɯ̟ b o̞ mʲ i
くま	k ɯ̟ m a̠
くもゆき	k ɯ̟ m o̞ j ɯ̟ kʲ i
くやみ	k ɯ̟ j a̠ mʲ i
くよくよ	k ɯ̟ j o̞ k ɯ̟ j o̞
くらい	k ɯ̟ ɾ a̠ i
くらがえ	k ɯ̟ ɾ a̠ ɡ a̠ e̞
くらくら	k ɯ̟ ɾ a̠ k ɯ̟ ɾ a̠
くりそつ	k ɯ̟ ɾʲ i s o̞ t͡s ɨ
くるい	k ɯ̟ ɾ ɯ̟ i
くるくる	k ɯ̟ ɾ ɯ̟ k ɯ̟ ɾ ɯ̟
くるくるぱあ	k ɯ̟ ɾ ɯ̟ k ɯ̟ ɾ ɯ̟ p a̠ː
くるぶし	k ɯ̟ ɾ ɯ̟ b ɯ̟ ɕ i
くるり	k ɯ̟ ɾ ɯ̟ ɾʲ i
くるわ	k ɯ̟ ɾ ɯ̟ β̞ a̠
くれ	k ɯ̟ ɾ e̞
くれない	k ɯ̟ ɾ e̞ n a̠ i
くれる	k ɯ̟ ɾ e̞ ɾ ɯ̟
くろ	k ɯ̟ ɾ o̞
くろつち	k ɯ̟ ɾ o̞ t͡s ɨ t͡ɕ i
くろぬり	k ɯ̟ ɾ o̞ n ɯ̟ ɾʲ i
くろびかり	k ɯ̟ ɾ o̞ bʲ i k a̠ ɾʲ i
くろふく	k ɯ̟ ɾ o̞ ɸ ɯ̟ k ɯ̟
くろめ	k ɯ̟ ɾ o̞ m e̞
くろわく	k ɯ̟ ɾ o̞ β̞ a̠ k ɯ̟
くゎ	kᵝ a̠
くわずぎらい	k ɯ̟ β̞ a̠ z ɨ ɡʲ i ɾ a̠ i
くんかくんか	k ɯ̟̃ ŋ k a̠ k ɯ̟̃ ŋ k a̠
くんくん	k ɯ̟̃ ŋ k ɯ̟̃ ɴ
く゚	ŋ ɯ̟ᵝ
く゚ぃ	ŋ ɰᵝ i
く゚ゎ	ŋ ɰᵝ a̠
ぐ	ɡ ɯ̟
ぐぁ	ɡᵝ a̠
ぐぃ	ɡᵝ i
ぐいぐい	ɡ ɯ̟ i ɡ ɯ̟ i
ぐいと	ɡ ɯ̟ i t o̞
ぐうすか	ɡ ɯ̟ː s ɨ k a̠
ぐぇ	ɡᵝ e̞
ぐぉ	ɡᵝ o̞
ぐしゃぐしゃ	ɡ ɯ̟ ɕ a̠ ɡ ɯ̟ ɕ a̠
ぐしょぐしょ	ɡ ɯ̟ ɕ o̞ ɡ ɯ̟ ɕ o̞
ぐすん	ɡ ɯ̟ s ɨ̃ ɴ
ぐずぐず	ɡ ɯ̟ z ɨ ɡ ɯ̟ z ɨ
ぐずる	ɡ ɯ̟ z ɨ ɾ ɯ̟
ぐたり	ɡ ɯ̟ t a̠ ɾʲ i
ぐだくさん	ɡ ɯ̟ d a̠ k ɯ̟ s ã̠ ɴ
ぐだぐだ	ɡ ɯ̟ d a̠ ɡ ɯ̟ d a̠
ぐだる	ɡ ɯ̟ d a̠ ɾ ɯ̟
ぐち	ɡ ɯ̟ t͡ɕ i
ぐちゃぐちゃ	ɡ ɯ̟ t͡ɕ a̠ ɡ ɯ̟ t͡ɕ a̠
ぐちょぐちょ	ɡ ɯ̟ t͡ɕ o̞ ɡ ɯ̟ t͡ɕ o̞
ぐっしょり	ɡ ɯ̟ ɕː o̞ ɾʲ i
ぐっすり	ɡ ɯ̟ sː ɨ ɾʲ i
ぐったり	ɡ ɯ̟ t̚ t a̠ ɾʲ i
ぐっと	ɡ ɯ̟ t̚ t o̞
ぐにゃぐにゃ	ɡ ɯ̟ ɲ̟ a̠ ɡ ɯ̟ ɲ̟ a̠
ぐにゅぐにゅ	ɡ ɯ̟ ɲ̟ ɨ ɡ ɯ̟ ɲ̟ ɨ
ぐねる	ɡ ɯ̟ n e̞ ɾ ɯ̟
ぐへへ	ɡ ɯ̟ h e̞ h e̞
ぐらい	ɡ ɯ̟ ɾ a̠ i
ぐらぐら	ɡ ɯ̟ ɾ a̠ ɡ ɯ̟ ɾ a̠
ぐらつく	ɡ ɯ̟ ɾ a̠ t͡s ɨ k ɯ̟
ぐり	ɡ ɯ̟ ɾʲ i
ぐる	ɡ ɯ̟ ɾ ɯ̟
ぐるぐる	ɡ ɯ̟ ɾ ɯ̟ ɡ ɯ̟ ɾ ɯ̟
ぐるっと	ɡ ɯ̟ ɾ ɯ̟ t̚ t o̞
ぐるり	ɡ ɯ̟ ɾ ɯ̟ ɾʲ i
ぐれる	ɡ ɯ̟ ɾ e̞ ɾ ɯ̟
ぐゎ	ɡᵝ a̠
ぐんぐん	ɡ ɯ̟̃ ŋ ɡ ɯ̟̃ ɴ
ぐんと	ɡ ɯ̟̃ n t o̞
け	k e̞
けおとす	k e̞ o̞ t o̞ s ɨ
けがれ	k e̞ ɡ a̠ ɾ e̞
けぎらい	k e̞ ɡʲ i ɾ a̠ i
けしかす	k e̞ ɕ i k a̠ s ɨ
けしつぶ	k e̞ ɕ i t͡s ɨ b ɯ̟
けして	k e̞ ɕ i t e̞
けしょうばこ	k e̞ ɕ o̞ː b a̠ k o̞
けじめ	k e̞ ʑ i m e̞
けたけた	k e̞ t a̠ k e̞ t a̠
けたたましい	k e̞ t a̠ t a̠ m a̠ ɕ iː
けたちがい	k e̞ t a̠ t͡ɕ i ɡ a̠ i
けたはずれ	k e̞ t a̠ h a̠ z ɨ ɾ e̞
けたば	k e̞ t a̠ b a̠
けだるい	k e̞ d a̠ ɾ ɯ̟ i
けち	k e̞ t͡ɕ i
けちょんけちょん	k e̞ t͡ɕ õ̞ ŋ k e̞ t͡ɕ õ̞ ɴ
けちる	k e̞ t͡ɕ i ɾ ɯ̟
けつあご	k e̞ t͡s ɨ a̠ ɡ o̞
けつめど	k e̞ t͡s ɨ m e̞ d o̞
けど	k e̞ d o̞
けども	k e̞ d o̞ m o̞
けなみ	k e̞ n a̠ mʲ i
けばけばしい	k e̞ b a̠ k e̞ b a̠ ɕ iː
けぼり	k e̞ b o̞ ɾʲ i
けむたい	k e̞ m ɯ̟ t a̠ i
けむりだし	k e̞ m ɯ̟ ɾʲ i d a̠ ɕ i
けやき	k e̞ j a̠ kʲ i
けらば	k e̞ ɾ a̠ b a̠
けり	k e̞ ɾʲ i
けれど	k e̞ ɾ e̞ d o̞
けれども	k e̞ ɾ e̞ d o̞ m o̞
けれん	k e̞ ɾ ẽ̞ ɴ
けれんみ	k e̞ ɾ ẽ̞ mʲː i
けろ	k e̞ ɾ o̞
けろけろ	k e̞ ɾ o̞ k e̞ ɾ o̞
けんけん	k ẽ̞ ŋ k ẽ̞ ɴ
けんけんぱ	k ẽ̞ ŋ k ẽ̞ m p a̠
けんご	k ẽ̞ ŋ ɡ o̞
けんど	k ẽ̞ n d o̞
けんぱ	k ẽ̞ m p a̠
けんま	k ẽ̞ mː a̠
けんもほろろ	k ẽ̞ mː o̞ h o̞ ɾ o̞ ɾ o̞
け゚	ŋ e̞
げ	ɡ e̞
げきあつ	ɡ e̞ kʲ i a̠ t͡s ɨ
げきあま	ɡ e̞ kʲ i a̠ m a̠
げきから	ɡ e̞ kʲ i k a̠ ɾ a̠
げきこみ	ɡ e̞ kʲ i k o̞ mʲ i
げきに	ɡ e̞ kʲ i ɲ̟ i
げきむず	ɡ e̞ kʲ i m ɯ̟ z ɨ
げきやす	ɡ e̞ kʲ i j a̠ s ɨ
げじ	ɡ e̞ ʑ i
げじげじ	ɡ e̞ ʑ i ɡ e̞ ʑ i
げそ	ɡ e̞ s o̞
げたばこ	ɡ e̞ t a̠ b a̠ k o̞
げっぷ	ɡ e̞ p̚ p ɯ̟
げてもの	ɡ e̞ t e̞ m o̞ n o̞
げぼ	ɡ e̞ b o̞
げらげら	ɡ e̞ ɾ a̠ ɡ e̞ ɾ a̠
げろ	ɡ e̞ ɾ o̞
げろげろ	ɡ e̞ ɾ o̞ ɡ e̞ ɾ o̞
げろる	ɡ e̞ ɾ o̞ ɾ ɯ̟
げんごう	ɡ ẽ̞ ŋ ɡ o̞ː
げんせいせいぶつ	ɡ ẽ̞ ɰ̃ s e̞ː s e̞ː b ɯ̟ t͡s ɨ
げんなり	ɡ ẽ̞ nː a̠ ɾʲ i
こ	k o̞
こあざ	k o̞ a̠ z a̠
こい	k o̞ i
こいがたき	k o̞ i ɡ a̠ t a̠ kʲ i
こいこい	k o̞ i k o̞ i
こいごころ	k o̞ i ɡ o̞ k o̞ ɾ o̞
こいし	k o̞ i ɕ i
こいじ	k o̞ i ʑ i
こいつ	k o̞ i t͡s ɨ
こいつら	k o̞ i t͡s ɨ ɾ a̠
こいのぼり	k o̞ i n o̞ b o̞ ɾʲ i
こいびとつなぎ	k o̞ i bʲ i t o̞ t͡s ɨ n a̠ ɡʲ i
こいわずらい	k o̞ i β̞ a̠ z ɨ ɾ a̠ i
こう	k o̞ː
こういう	k o̞ː j ɯ̟ː
こうて	k o̞ː t e̞
こうへい	k o̞ː h e̞ː
こうる	k o̞ː ɾ ɯ̟
こえぇ	k o̞ e̞ː
こええ	k o̞ e̞ː
こえかけ	k o̞ e̞ k a̠ k e̞
こえがけ	k o̞ e̞ ɡ a̠ k e̞
こえがわり	k o̞ e̞ ɡ a̠ β̞ a̠ ɾʲ i
こえだし	k o̞ e̞ d a̠ ɕ i
こえだめ	k o̞ e̞ d a̠ m e̞
こおり	k o̞ː ɾʲ i
こおりじめ	k o̞ː ɾʲ i ʑ i m e̞
こおりつく	k o̞ː ɾʲ i t͡s ɨ k ɯ̟
こおりづけ	k o̞ː ɾʲ i z ɨ k e̞
こがらし	k o̞ ɡ a̠ ɾ a̠ ɕ i
こがん	k o̞ ɡ ã̠ ɴ
こき	k o̞ kʲ i
こぎたない	k o̞ ɡʲ i t a̠ n a̠ i
こぎゃん	k o̞ ɡʲ ã̠ ɴ
こく	k o̞ k ɯ̟
こくり	k o̞ k ɯ̟ ɾʲ i
こけし	k o̞ k e̞ ɕ i
こけらおとし	k o̞ k e̞ ɾ a̠ o̞ t o̞ ɕ i
こける	k o̞ k e̞ ɾ ɯ̟
ここ	k o̞ k o̞
ここいら	k o̞ k o̞ i ɾ a̠
ここらへん	k o̞ k o̞ ɾ a̠ h ẽ̞ ɴ
こころあたり	k o̞ k o̞ ɾ o̞ a̠ t a̠ ɾʲ i
こころづもり	k o̞ k o̞ ɾ o̞ z ɨ m o̞ ɾʲ i
こころない	k o̞ k o̞ ɾ o̞ n a̠ i
こころばかり	k o̞ k o̞ ɾ o̞ b a̠ k a̠ ɾʲ i
こころよく	k o̞ k o̞ ɾ o̞ j o̞ k ɯ̟
ここんとこ	k o̞ k õ̞ n t o̞ k o̞
こごえる	k o̞ ɡ o̞ e̞ ɾ ɯ̟
こごる	k o̞ ɡ o̞ ɾ ɯ̟
こざっぱり	k o̞ z a̠ p̚ p a̠ ɾʲ i
こし	k o̞ ɕ i
こしかけ	k o̞ ɕ i̥ k a̠ k e̞
こしき	k o̞ ɕ i kʲ i
こしつき	k o̞ ɕ i t͡s ɨ̥ kʲ i
こしばき	k o̞ ɕ i b a̠ kʲ i
こしふり	k o̞ ɕ i ɸ ɯ̟ ɾʲ i
こしょばい	k o̞ ɕ o̞ b a̠ i
こじあける	k o̞ ʑ i a̠ k e̞ ɾ ɯ̟
こじつけ	k o̞ ʑ i t͡s ɨ k e̞
こじつける	k o̞ ʑ i t͡s ɨ k e̞ ɾ ɯ̟
こじる	k o̞ ʑ i ɾ ɯ̟
こすい	k o̞ s ɨ i
こすれる	k o̞ s ɨ ɾ e̞ ɾ ɯ̟
こせがれ	k o̞ s e̞ ɡ a̠ ɾ e̞
こせこせ	k o̞ s e̞ k o̞ s e̞
こせつく	k o̞ s e̞ t͡s ɨ k ɯ̟
こそ	k o̞ s o̞
こそあど	k o̞ s o̞ a̠ d o̞
こそげる	k o̞ s o̞ ɡ e̞ ɾ ɯ̟
こそこそ	k o̞ s o̞ k o̞ s o̞
こそどろ	k o̞ s o̞ d o̞ ɾ o̞
こそばす	k o̞ s o̞ b a̠ s ɨ
こそばゆい	k o̞ s o̞ b a̠ j ɯ̟ i
こたえあわせ	k o̞ t a̠ e̞ a̠ β̞ a̠ s e̞
こちょくる	k o̞ t͡ɕ o̞ k ɯ̟ ɾ ɯ̟
こちょこちょ	k o̞ t͡ɕ o̞ k o̞ t͡ɕ o̞
こちら	k o̞ t͡ɕ i ɾ a̠
こちらこそ	k o̞ t͡ɕ i ɾ a̠ k o̞ s o̞
こっから	k o̞ k̚ k a̠ ɾ a̠
こっそり	k o̞ sː o̞ ɾʲ i
こっち	k o̞ t̚ t͡ɕ i
こってり	k o̞ t̚ t e̞ ɾʲ i
こっぱ	k o̞ p̚ p a̠
こっぱずかしい	k o̞ p̚ p a̠ z ɨ k a̠ ɕ iː
こっぱみじん	k o̞ p̚ p a̠ mʲ i ʑ ĩ ɴ
こっぴどい	k o̞ p̚ʲ pʲ i d o̞ i
こづきまわす	k o̞ z ɨ kʲ i m a̠ β̞ a̠ s ɨ
こづく	k o̞ z ɨ k ɯ̟
こて	k o̞ t e̞
こてこて	k o̞ t e̞ k o̞ t e̞
こてしらべ	k o̞ t e̞ ɕ i ɾ a̠ b e̞
こと	k o̞ t o̞
ことじ	k o̞ t o̞ ʑ i
ことたりる	k o̞ t o̞ t a̠ ɾʲ i ɾ ɯ̟
ことたる	k o̞ t o̞ t a̠ ɾ ɯ̟
ことのほか	k o̞ t o̞ n o̞ h o̞ k a̠
ことはじめ	k o̞ t o̞ h a̠ ʑ i m e̞
ことばえらび	k o̞ t o̞ b a̠ e̞ ɾ a̠ bʲ i
ことわり	k o̞ t o̞ β̞ a̠ ɾʲ i
こどおじ	k o̞ d o̞ o̞ ʑ i
こない	k o̞ n a̠ i
こないだ	k o̞ n a̠ i d a̠
こなす	k o̞ n a̠ s ɨ
こなた	k o̞ n a̠ t a̠
