あ	a̠
そうおん	s o̞ː õ̞ ɴ
そうか	s o̞ː k a̠
そうかい	s o̞ː k a̠ i
そうかくすい	s o̞ː k a̠ k ɯ̟ᵝ s ɨᵝ i
そうかん	s o̞ː k ã̠ ɴ
そうき	s o̞ː kʲ i
そうきたか	s o̞ː kʲ i t a̠ k a̠
そうきもん	s o̞ː kʲ i m õ̞ ɴ
そうきゅう	s o̞ː kʲ ɨᵝː
そうきょくせん	s o̞ː kʲ o̞ k ɯ̟̊ᵝ s ẽ̞ ɴ
そうけ	s o̞ː k e̞
そうけい	s o̞ː k e̞ː
そうけいせん	s o̞ː k e̞ː s ẽ̞ ɴ
そうけん	s o̞ː k ẽ̞ ɴ
そうげん	s o̞ː ɡ ẽ̞ ɴ
そうこう	s o̞ː k o̞ː
そうこうしゃ	s o̞ː k o̞ː ɕ a̠
そうこうのつま	s o̞ː k o̞ː n o̞ t͡s ɨᵝ m a̠
そうさ	s o̞ː s a̠
そうさい	s o̞ː s a̠ i
そうさく	s o̞ː s a̠ k ɯ̟ᵝ
そうさせい	s o̞ː s a̠ s e̞ː
そうし	s o̞ː ɕ i
そうしき	s o̞ː ɕ i kʲ i
そうしき	s o̞ː ɕ i̥ kʲ i
そうしきゅう	s o̞ː ɕ i̥ kʲ ɨᵝː
そうしそうあい	s o̞ː ɕ i
そうしたら	s o̞ː ɕ i̥ t a̠ ɾ a̠
そうしちょう	s o̞ː ɕ i t͡ɕ o̞ː
そうしつ	s o̞ː ɕ i t͡s ɨᵝ
そうして	s o̞ː ɕ i̥ t e̞
そうしはいにん	s o̞ː ɕ i h a̠ i ɲ̟ ĩ ɴ
そうしゃ	s o̞ː ɕ a̠
そうしゅ	s o̞ː ɕ ɨᵝ
そうしゅう	s o̞ː ɕ ɨᵝː
そうしゅきょう	s o̞ː ɕ ɨᵝ kʲ o̞ː
そうしゅけん	s o̞ː ɕ ɨᵝ k ẽ̞ ɴ
そうしゅこく	s o̞ː ɕ ɨ̥ᵝ k o̞ k ɯ̟ᵝ
そうしゅん	s o̞ː ɕ ɨ̃ᵝ ɴ
そうしょ	s o̞ː ɕ o̞
そうしょう	s o̞ː ɕ o̞ː
そうしょく	s o̞ː ɕ o̞ k ɯ̟ᵝ
そうしょくせい	s o̞ː ɕ o̞ k ɯ̟ᵝ s e̞ː
そうしん	s o̞ː ɕ ĩ ɴ
そうすい	s o̞ː s ɨᵝ i
そうすう	s o̞ː s ɨᵝː
そうする	s o̞ː s ɨᵝ ɾ ɯ̟ᵝ
そうせい	s o̞ː s e̞ː
そうせいき	s o̞ː s e̞ː kʲ i
そうせきうん	s o̞ː s e̞ kʲ i ɯ̟̃ᵝ ɴ
そうせつしゃ	s o̞ː s e̞ t͡s ɨ̥ᵝ ɕ a̠
そうぜめ	s o̞ː z e̞ m e̞
そうそう	s o̞ː s o̞ː
そうそうふいつ	s o̞ː s o̞ː ɸ ɯ̟ᵝ i t͡s ɨᵝ
そうそん	s o̞ː s õ̞ ɴ
そうた	s o̞ː t a̠
そうたい	s o̞ː t a̠ i
そうたいおんかん	d͡z e̞ t̚ t a̠ i õ̞ ŋ k ã̠ ɴ
そうたいせい	s o̞ː t a̠ i s e̞ː
そうたいせいりろん	s o̞ː t a̠ i s e̞ː ɾʲ i ɾ õ̞ ɴ
そうたいてき	s o̞ː t a̠ i t e̞ kʲ i
そうたいろん	s o̞ː t a̠ i ɾ õ̞ ɴ
そうちょう	s o̞ː t͡ɕ o̞ː
そうてい	s o̞ː t e̞ː
そうてん	s o̞ː t ẽ̞ ɴ
そうとう	s o̞ː t o̞ː
そうとうしゅう	s o̞ː t o̞ː ɕ ɨᵝː
そうとく	s o̞ː t o̞ k ɯ̟ᵝ
そうとくふ	s o̞ː t o̞ k ɯ̟ᵝ ɸ ɯ̟ᵝ
そうにょう	s o̞ː ɲ̟ o̞ː
そうねぇ	s o̞ː n e̞ː
そうねん	s o̞ː n ẽ̞ ɴ
そうは	s o̞ː h a̠
そうはつき	s o̞ː h a̠ t͡s ɨᵝ kʲ i
そうふうき	s o̞ː ɸ ɯ̟ᵝː kʲ i
そうへき	s o̞ː h e̞ kʲ i
そうほう	s o̞ː h o̞ː
そうほん	s o̞ː h õ̞ ɴ
そうま	s o̞ː m a̠
そうまとう	s o̞ː m a̠ t o̞ː
そうみ	s o̞ː mʲ i
そうめい	s o̞ː m e̞ː
そうめいきょく	s o̞ː m e̞ː kʲ o̞ k ɯ̟ᵝ
そうめん	s o̞ː m ẽ̞ ɴ
そうもん	s o̞ː m õ̞ ɴ
そうやく	s o̞ː j a̠ k ɯ̟ᵝ
そうゆう	s o̞ː j ɯ̟ᵝː
そうよう	s o̞ː j o̞ː
そうらい	s o̞ː ɾ a̠ i
そうらん	s o̞ː ɾ ã̠ ɴ
そうりきょうせい	s o̞ː ɾʲ i kʲ o̞ː s e̞ː
そうりつ	s o̞ː ɾʲ i t͡s ɨᵝ
そうりつしゃ	s o̞ː ɾʲ i t͡s ɨ̥ᵝ ɕ a̠
そうりょ	s o̞ː ɾʲ o̞
そうりょく	s o̞ː ɾʲ o̞ k ɯ̟ᵝ
そうろ	s o̞ː ɾ o̞
そうろう	s o̞ː ɾ o̞ ɯ̟ᵝ
そうろう	s o̞ː ɾ o̞ː
そうわ	s o̞ː ɰᵝ a̠
そうわん	s o̞ː ɰᵝ ã̠ ɴ
そえる	s o̞ e̞ ɾ ɯ̟ᵝ
そえん	s o̞ ẽ̞ ɴ
そかい	s o̞ k a̠ i
そかく	s o̞ k a̠ k ɯ̟ᵝ
そき	s o̞ kʲ i
そぎ	s o̞ ɡʲ i
そく	s o̞ k ɯ̟ᵝ
そくあつ	s o̞ k ɯ̟ᵝ a̠ t͡s ɨᵝ
そくい	s o̞ k ɯ̟ᵝ i
そくいき	s o̞ k ɯ̟ᵝ i kʲ i
そくいしき	s o̞ k ɯ̟ᵝ i ɕ i̥ kʲ i
そくいん	s o̞ k ɯ̟ᵝ ĩ ɴ
そくおん	s o̞ k ɯ̟ᵝ õ̞ ɴ
そくす	s o̞ k ɯ̟ᵝ s ɨᵝ
そくせい	s o̞ k ɯ̟ᵝ s e̞ː
そくせき	s o̞ k ɯ̟ᵝ s e̞ kʲ i
そくせんりょく	s o̞ k ɯ̟ᵝ s ẽ̞ n ɾʲ o̞ k ɯ̟ᵝ
そくたい	s o̞ k ɯ̟ᵝ t a̠ i
そくとう	s o̞ k ɯ̟̊ᵝ t o̞ː
そくとう	s o̞ k ɯ̟ᵝ t o̞ː
そくとうこつ	s o̞ k ɯ̟̊ᵝ t o̞ː k o̞ t͡s ɨᵝ
そくとうよう	s o̞ k ɯ̟̊ᵝ t o̞ː j o̞ː
そくなん	s o̞ k ɯ̟ᵝ n ã̠ ɴ
そくはつ	s o̞ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ
そくはつ	s o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ
そくひつ	s o̞ k ɯ̟ᵝ ç i t͡s ɨᵝ
そくびょうい	s o̞ k ɯ̟ᵝ j o̞ː i
そくほう	s o̞ k ɯ̟̊ᵝ h o̞ː
そくめんおん	s o̞ k ɯ̟ᵝ m ẽ̞ ɰ̃ õ̞ ɴ
そくや	s o̞ k ɯ̟ᵝ j a̠
そくりょう	s o̞ k ɯ̟ᵝ ɾʲ o̞ː
そけい	s o̞ k e̞ː
そけいかん	s o̞ k e̞ː k ã̠ ɴ
そこ	s o̞ k o̞
そこく	s o̞ k o̞ k ɯ̟ᵝ
そこなう	s o̞ k o̞ n a̠ ɯ̟ᵝ
そこぬけ	s o̞ k o̞ n ɯ̟ᵝ k e̞
そこねる	s o̞ k o̞ n e̞ ɾ ɯ̟ᵝ
そこひ	s o̞ k o̞ ç i
そこみえ	s o̞ k o̞ mʲ i e̞
そし	s o̞ ɕ i
そしき	s o̞ ɕ i̥ kʲ i
そしつ	s o̞ ɕ i̥ t͡s ɨᵝ
そして	s o̞ ɕ i̥ t e̞
そしな	s o̞ ɕ i n a̠
そしゃく	s o̞ ɕ a̠ k ɯ̟ᵝ
そしゃくきん	s o̞ ɕ a̠ k ɯ̟ᵝ kʲ ĩ ɴ
そしゃくち	s o̞ ɕ a̠ k ɯ̟ᵝ t͡ɕ i
そしゃくりょく	s o̞ ɕ a̠ k ɯ̟ᵝ ɾʲ o̞ k ɯ̟ᵝ
そしょう	s o̞ ɕ o̞ː
そしらぬ	s o̞ ɕ i ɾ a̠ n ɯ̟ᵝ
そしる	s o̞ ɕ i ɾ ɯ̟ᵝ
そすい	s o̞ s ɨᵝ i
そすう	s o̞ s ɨᵝː
そせい	s o̞ s e̞ː
そせん	s o̞ s ẽ̞ ɴ
そそ	s o̞ s o̞
そそう	s o̞ s o̞ː
そそかしい	s o̞ s o̞ k a̠ ɕ iː
そそくさ	s o̞ s o̞ k ɯ̟ᵝ s a̠
そそっかしい	s o̞ s o̞ k̚ k a̠ ɕ i i
そちん	s o̞ t͡ɕ ĩ ɴ
そっから	s o̞ k̚ k a̠ ɾ a̠
そっきゅう	s o̞ k̚ʲ kʲ ɨᵝː
そっきょう	s o̞ k̚ʲ kʲ o̞ː
そっきん	s o̞ k̚ʲ kʲ ĩ ɴ
そっくり	s o̞ k̚ k ɯ̟ᵝ ɾʲ i
そっくりさん	s o̞ k̚ k ɯ̟ᵝ ɾʲ i s ã̠ ɴ
そっけつ	s o̞ k̚ k e̞ t͡s ɨᵝ
そっけない	s o̞ k̚ k e̞ n a̠ i
そっこう	s o̞ k̚ k o̞ː
そっこく	s o̞ k̚ k o̞ k ɯ̟ᵝ
そっこんこつ	s o̞ k̚ k õ̞ ŋ k o̞ t͡s ɨᵝ
そっせん	s o̞ sː ẽ̞ ɴ
そっちのけ	s o̞ t̚ t͡ɕ i n o̞ k e̞
そっちょく	s o̞ t̚ t͡ɕ o̞ k ɯ̟ᵝ
そっと	s o̞ t̚ t o̞
そっとう	s o̞ t̚ t o̞ː
そつ	s o̞ t͡s ɨᵝ
そつえん	s o̞ t͡s ɨᵝ ẽ̞ ɴ
そつてん	s o̞ t͡s ɨᵝ t ẽ̞ ɴ
そつにゅう	s o̞ t͡s ɨᵝ ɲ̟ ɯ̟ᵝː
そつろん	s o̞ t͡s ɨᵝ ɾ õ̞ ɴ
そてつ	s o̞ t e̞ t͡s ɨᵝ
そと	s o̞ t o̞
そとがわ	s o̞ t o̞ ɡ a̠ ɰᵝ a̠
そとはね	s o̞ t o̞ h a̠ n e̞
そとまわり	s o̞ t o̞ m a̠ ɰᵝ a̠ ɾʲ i
そとわく	s o̞ t o̞ ɰᵝ a̠ k ɯ̟ᵝ
そなえ	s o̞ n a̠ e̞
そなえつける	s o̞ n a̠ e̞ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
そなえる	s o̞ n a̠ e̞ ɾ ɯ̟ᵝ
そなた	s o̞ n a̠ t a̠
そなわる	s o̞ n a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
そにん	s o̞ ɲ̟ ĩ ɴ
その	s o̞ n o̞
そのうえ	s o̞ n o̞ ɯ̟ᵝ e̞
そのご	s o̞ n o̞ ɡ o̞
そのほか	s o̞ n o̞ h o̞ k a̠
そのもの	s o̞ n o̞ m o̞ n o̞
そのよう	s o̞ n o̞ j o̞ː
そふ	s o̞ ɸ ɯ̟ᵝ
そほうか	s o̞ h o̞ː k a̠
そま	s o̞ m a̠
そまつ	s o̞ m a̠ t͡s ɨᵝ
そまる	s o̞ m a̠ ɾ ɯ̟ᵝ
そみつ	s o̞ mʲ i t͡s ɨᵝ
そみんしょうい	s o̞ mʲ ĩ ɰ̃ ɕ o̞ː i
そむく	s o̞ m ɯ̟ᵝ k ɯ̟ᵝ
そむける	s o̞ m ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
そめもの	s o̞ m e̞ m o̞ n o̞
そめる	s o̞ m e̞ ɾ ɯ̟ᵝ
そめん	s o̞ m ẽ̞ ɴ
そもそも	s o̞ m o̞ s o̞ m o̞
そや	s o̞ j a̠
そやつ	s o̞ j a̠ t͡s ɨᵝ
そゆ	s o̞ j ɯ̟ᵝ
そよう	s o̞ j o̞ː
そら	s o̞ ɾ a̠
そらす	s o̞ ɾ a̠ s ɨᵝ
そらち	s o̞ ɾ a̠ t͡ɕ i
そらみみ	s o̞ ɾ a̠ mʲ i mʲ i
そらめ	s o̞ ɾ a̠ m e̞
そらもよう	s o̞ ɾ a̠ m o̞ j o̞ː
そりまち	s o̞ ɾʲ i m a̠ t͡ɕ i
そりゅうし	s o̞ ɾʲ ɨᵝː ɕ i
そる	s o̞ ɾ ɯ̟ᵝ
それ	s o̞ ɾ e̞
それから	s o̞ ɾ e̞ k a̠ ɾ a̠
それきり	s o̞ ɾ e̞ kʲ i ɾʲ i
それっきり	s o̞ ɾ e̞ k̚ʲ kʲ i ɾʲ i
それな	s o̞ ɾ e̞ n a̠
それはそれは	s o̞ ɾ e̞ ɰᵝ a̠ s o̞ ɾ e̞ ɰᵝ a̠
それより	s o̞ ɾ e̞ j o̞ ɾʲ i
それらしい	s o̞ ɾ e̞ ɾ a̠ ɕ iː
そろい	s o̞ ɾ o̞ i
そろう	s o̞ ɾ o̞ ɯ̟ᵝ
そろえる	s o̞ ɾ o̞ e̞ ɾ ɯ̟ᵝ
そろそろ	s o̞ ɾ o̞ s o̞ ɾ o̞
そわか	s o̞ ɰᵝ a̠ k a̠
そわそわ	s o̞ ɰᵝ a̠ s o̞ ɰᵝ a̠
そん	s õ̞ ɴ
そんえき	s õ̞ ɰ̃ e̞ kʲ i
そんかい	s õ̞ ŋ k a̠ i
そんき	s õ̞ ŋʲ kʲ i
そんけい	s õ̞ ŋ k e̞ː
そんし	s õ̞ ɰ̃ ɕ i
そんしつ	s õ̞ ɰ̃ ɕ i t͡s ɨᵝ
そんしょう	s õ̞ ɰ̃ ɕ o̞ː
そんしょく	s õ̞ ɰ̃ ɕ o̞ k ɯ̟ᵝ
そんする	s õ̞ ɰ̃ s ɨᵝ ɾ ɯ̟ᵝ
そんたく	s õ̞ n t a̠ k ɯ̟ᵝ
そんち	s õ̞ ɲ̟ t͡ɕ i
そんちょう	s õ̞ ɲ̟ t͡ɕ o̞ː
そんとく	s õ̞ n t o̞ k ɯ̟ᵝ
そんな	s õ̞ nː a̠
そんなことより	s õ̞ nː a̠ k o̞ t o̞ j o̞ ɾʲ i
そんなに	s õ̞ nː a̠ ɲ̟ i
そんなら	s õ̞ n n a̠ ɾ a̠
そんのう	s õ̞ nː o̞ː
そんみん	s õ̞ mʲː ĩ ɴ
そんめい	s õ̞ mː e̞ː
そんらく	s õ̞ n ɾ a̠ k ɯ̟ᵝ
ぞ	d͡z o̞
ぞい	d͡z o̞ i
ぞう	d͡z o̞ː
ぞうあく	d͡z o̞ː a̠ k ɯ̟ᵝ
ぞういん	d͡z o̞ː ĩ ɴ
ぞうえい	d͡z o̞ː e̞ː
ぞうえき	d͡z o̞ː e̞ kʲ i
ぞうえん	d͡z o̞ː ẽ̞ ɴ
ぞうお	d͡z o̞ː o̞
ぞうか	d͡z o̞ː k a̠
ぞうかく	d͡z o̞ː k a̠ k ɯ̟ᵝ
ぞうき	d͡z o̞ː kʲ i
ぞうきん	d͡z o̞ː kʲ ĩ ɴ
ぞうけい	d͡z o̞ː k e̞ː
ぞうけつ	d͡z o̞ː k e̞ t͡s ɨᵝ
ぞうさつ	d͡z o̞ː s a̠ t͡s ɨᵝ
ぞうしゅうわい	d͡z o̞ː ɕ ɨᵝː ɰᵝ a̠ i
ぞうしょ	d͡z o̞ː ɕ o̞
ぞうしょう	d͡z o̞ː ɕ o̞ː
ぞうしん	d͡z o̞ː ɕ ĩ ɴ
ぞうじょうてん	d͡z o̞ː ʑ o̞ː t ẽ̞ ɴ
ぞうする	d͡z o̞ː s ɨᵝ ɾ ɯ̟ᵝ
ぞうせつ	d͡z o̞ː s e̞ t͡s ɨᵝ
ぞうせん	d͡z o̞ː s ẽ̞ ɴ
ぞうてい	d͡z o̞ː t e̞ː
ぞうとう	d͡z o̞ː t o̞ː
ぞうとうひん	d͡z o̞ː t o̞ː ç ĩ ɴ
ぞうに	d͡z o̞ː ɲ̟ i
ぞうふく	d͡z o̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
ぞうふくき	d͡z o̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ kʲ i
ぞうほう	d͡z o̞ː h o̞ː
ぞうほん	d͡z o̞ː h õ̞ ɴ
ぞうむし	d͡z o̞ː m ɯ̟ᵝ ɕ i
ぞうよ	d͡z o̞ː j o̞
ぞうり	d͡z o̞ː ɾʲ i
ぞうりむし	d͡z o̞ː ɾʲ i m ɯ̟ᵝ ɕ i
ぞうりゅう	d͡z o̞ː ɾʲ ɨᵝː
ぞうりょう	d͡z o̞ː ɾʲ o̞ː
ぞえ	d͡z o̞ e̞
ぞく	d͡z o̞ k ɯ̟ᵝ
ぞくあく	d͡z o̞ k ɯ̟ᵝ a̠ k ɯ̟ᵝ
ぞくけ	d͡z o̞ k ɯ̟ᵝ k e̞
ぞくしゅつ	d͡z o̞ k ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
ぞくしょう	d͡z o̞ k ɯ̟ᵝ ɕ o̞ː
ぞくす	d͡z o̞ k ɯ̟ᵝ s ɨᵝ
ぞくする	d͡z o̞ k ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ
ぞくせ	d͡z o̞ k ɯ̟ᵝ s e̞
ぞくせい	d͡z o̞ k ɯ̟ᵝ s e̞ː
ぞくせつ	d͡z o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
ぞくへん	d͡z o̞ k ɯ̟̊ᵝ h ẽ̞ ɴ
ぞくみょう	d͡z o̞ k ɯ̟ᵝ mʲ o̞ː
ぞくめい	d͡z o̞ k ɯ̟ᵝ m e̞ː
ぞくらく	d͡z o̞ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ
ぞくりょう	d͡z o̞ k ɯ̟ᵝ ɾʲ o̞ː
ぞくわ	d͡z o̞ k ɯ̟ᵝ ɰᵝ a̠
ぞっかく	d͡z o̞ k̚ k a̠ k ɯ̟ᵝ
ぞっけん	d͡z o̞ k̚ k ẽ̞ ɴ
ぞっこう	d͡z o̞ k̚ k o̞ː
ぞっこん	d͡z o̞ k̚ k õ̞ ɴ
ぞめ	d͡z o̞ m e̞
ぞろめ	d͡z o̞ ɾ o̞ m e̞
ぞんしん	d͡z õ̞ ɰ̃ ɕ ĩ ɴ
た	t a̠
たあいない	t a̠ː i n a̠ i
たい	t a̠ i
たいい	t a̠ i i
たいい	t a̠ iː
たいいく	t a̠ i i k ɯ̟ᵝ
たいいくかん	t a̠ i i k ɯ̟ᵝ k ã̠ ɴ
たいいくずわり	t a̠ i i k ɯ̟ᵝ z ɨᵝ ɰᵝ a̠ ɾʲ i
たいいつ	t a̠ i i t͡s ɨᵝ
たいいほう	t a̠ iː h o̞ː
たいいん	t a̠ i ĩ ɴ
たいいんれき	t a̠ i ĩ n ɾ e̞ kʲ i
たいえき	t a̠ i e̞ kʲ i
たいおう	t a̠ i o̞ː
たいおん	t a̠ i õ̞ ɴ
たいおんけい	t a̠ i õ̞ ŋ k e̞ː
たいか	t a̠ i k a̠
たいかい	t a̠ i k a̠ i
たいかく	t a̠ i k a̠ k ɯ̟ᵝ
たいかん	t a̠ i k ã̠ ɴ
たいかんしき	t a̠ i k ã̠ ɰ̃ ɕ i̥ kʲ i
たいき	t a̠ i kʲ i
たいきおせん	t a̠ i kʲ i o̞ s ẽ̞ ɴ
たいきけん	t a̠ i kʲ i̥ k ẽ̞ ɴ
たいきゃく	t a̠ i kʲ a̠ k ɯ̟ᵝ
たいきゅう	t a̠ i kʲ ɨᵝː
たいきゅうせい	t a̠ i kʲ ɨᵝː s e̞ː
たいきゅうりょく	t a̠ i kʲ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
たいきょ	t a̠ i kʲ o̞
たいきょう	t a̠ i kʲ o̞ː
たいきょく	t a̠ i kʲ o̞ k ɯ̟ᵝ
たいきょくき	t a̠ i kʲ o̞ k ɯ̟ᵝ kʲ i
たいきょくけん	t a̠ i kʲ o̞ k ɯ̟̊ᵝ k ẽ̞ ɴ
たいぎょ	t a̠ i ɡʲ o̞
たいく	t a̠ i k ɯ̟ᵝ
たいくう	t a̠ i k ɯ̟ᵝː
たいくつ	t a̠ i k ɯ̟ᵝ t͡s ɨᵝ
たいくん	t a̠ i k ɯ̟̃ᵝ ɴ
たいけい	t a̠ i k e̞ː
たいけいてき	t a̠ i k e̞ː t e̞ kʲ i
たいけつ	t a̠ i k e̞ t͡s ɨᵝ
たいけん	t a̠ i k ẽ̞ ɴ
たいこ	t a̠ i k o̞
たいこう	t a̠ i k o̞ː
たいこうこく	t a̠ i k o̞ː k o̞ k ɯ̟ᵝ
たいこく	t a̠ i k o̞ k ɯ̟ᵝ
たいこもち	t a̠ i k o̞ m o̞ t͡ɕ i
たいさ	t a̠ i s a̠
たいさい	t a̠ i s a̠ i
たいさく	t a̠ i s a̠ k ɯ̟ᵝ
たいさん	t a̠ i s ã̠ ɴ
たいし	t a̠ i ɕ i
たいしかん	t a̠ i ɕ i k ã̠ ɴ
たいしつ	t a̠ i ɕ i t͡s ɨᵝ
たいしとう	t a̠ i ɕ i t o̞ː
たいしゃ	t a̠ i ɕ a̠
たいしゃく	t a̠ i ɕ a̠ k ɯ̟ᵝ
たいしゃくたいしょうひょう	t a̠ i ɕ a̠ k ɯ̟ᵝ t a̠ i ɕ o̞ː ç o̞ː
たいしゅう	t a̠ i ɕ ɨᵝː
たいしゅつ	t a̠ i ɕ ɨᵝ t͡s ɨᵝ
たいしょ	t a̠ i ɕ o̞
たいしょう	t a̠ i ɕ o̞ː
たいしょうせい	t a̠ i ɕ o̞ː s e̞ː
たいしょりょうほう	t a̠ i ɕ o̞ ɾʲ o̞ː h o̞ː
たいすい	t a̠ i s ɨᵝ i
たいすいそう	t a̠ i s ɨᵝ i s o̞ː
たいすう	t a̠ i s ɨᵝː
たいする	t a̠ i s ɨᵝ ɾ ɯ̟ᵝ
たいせい	t a̠ i s e̞ː
たいせいよう	t a̠ i s e̞ː j o̞ː
たいせき	t a̠ i s e̞ kʲ i
たいせつ	t a̠ i s e̞ t͡s ɨᵝ
たいせん	t a̠ i s ẽ̞ ɴ
たいせんしゃ	t a̠ i s ẽ̞ ɰ̃ ɕ a̠
たいそう	t a̠ i s o̞ː
たいちょう	t a̠ i t͡ɕ o̞ː
たいちょうふりょう	t a̠ i t͡ɕ o̞ː ɸ ɯ̟ᵝ ɾʲ o̞ː
たいてい	t a̠ i t e̞ː
たいてき	t a̠ i t e̞ kʲ i
たいとう	t a̠ i t o̞ː
たいとく	t a̠ i t o̞ k ɯ̟ᵝ
たいない	t a̠ i n a̠ i
たいのう	t a̠ i n o̞ː
たいは	t a̠ i h a̠
たいはい	t a̠ i h a̠ i
たいはん	t a̠ i h ã̠ ɴ
たいひ	t a̠ i ç i
たいふう	t a̠ i ɸ ɯ̟ᵝː
たいへい	t a̠ i h e̞ː
たいへいよう	t a̠ i h e̞ː j o̞ː
たいへいようせんそう	t a̠ i h e̞ː j o̞ː s ẽ̞ ɰ̃ s o̞ː
たいへん	t a̠ i h ẽ̞ ɴ
たいぺい	t a̠ i p e̞ː
たいほ	t a̠ i h o̞
たいほう	t a̠ i h o̞ː
たいま	t a̠ i m a̠
たいまい	t a̠ i m a̠ i
たいまつ	t a̠ i m a̠ t͡s ɨᵝ
たいめん	t a̠ i m ẽ̞ ɴ
たいもう	t a̠ i m o̞ː
たいやく	t a̠ i j a̠ k ɯ̟ᵝ
たいやくほん	t a̠ i j a̠ k ɯ̟̊ᵝ h õ̞ ɴ
たいゆう	t a̠ i j ɯ̟ᵝː
たいゆういん	t a̠ i j ɯ̟ᵝː ĩ ɴ
たいよ	t a̠ i j o̞
たいよう	t a̠ i j o̞ː
たいようけい	t a̠ i j o̞ː k e̞ː
たいようしゅう	t a̠ i j o̞ː ɕ ɨᵝː
たいようれき	t a̠ i j o̞ː ɾ e̞ kʲ i
たいら	t a̠ i ɾ a̠
たいりく	t a̠ i ɾʲ i k ɯ̟ᵝ
たいりくせいさく	t a̠ i ɾʲ i k ɯ̟̊ᵝ s e̞ː s a̠ k ɯ̟ᵝ
たいりつ	t a̠ i ɾʲ i t͡s ɨᵝ
たいりゅう	t a̠ i ɾʲ ɨᵝː
たいりゅうけん	t a̠ i ɾʲ ɨᵝː k ẽ̞ ɴ
たいりょう	t a̠ i ɾʲ o̞ː
たいりょうせいさん	t a̠ i ɾʲ o̞ː s e̞ː s ã̠ ɴ
たいりょく	t a̠ i ɾʲ o̞ k ɯ̟ᵝ
たいりん	t a̠ i ɾʲ ĩ ɴ
たいれつ	t a̠ i ɾ e̞ t͡s ɨᵝ
たいろ	t a̠ i ɾ o̞
たいわ	t a̠ i ɰᵝ a̠
たいわしゃ	t a̠ i ɰᵝ a̠ ɕ a̠
たいわん	t a̠ i ɰᵝ ã̠ ɴ
たいわんとら	t a̠ i ɰᵝ ã̠ n t o̞ ɾ a̠
たうえ	t a̠ ɯ̟ᵝ e̞
たうりん	t a̠ ɯ̟ᵝ ɾʲ ĩ ɴ
たえ	t a̠ e̞
たえま	t a̠ e̞ m a̠
たえまない	t a̠ e̞ m a̠ n a̠ i
たえる	t a̠ e̞ ɾ ɯ̟ᵝ
たおす	t a̠ o̞ s ɨᵝ
たおやか	t a̠ o̞ j a̠ k a̠
たおやめ	t a̠ o̞ j a̠ m e̞
たおれる	t a̠ o̞ ɾ e̞ ɾ ɯ̟ᵝ
たか	t a̠ k a̠
たかい	t a̠ k a̠ i
たかお	t a̠ k a̠ o̞
たかおか	t a̠ k a̠ o̞ k a̠
たかさ	t a̠ k a̠ s a̠
たかし	t a̠ k a̠ ɕ i
たかす	t a̠ k a̠ s ɨᵝ
たかなし	t a̠ k a̠ n a̠ ɕ i
たかなる	t a̠ k a̠ n a̠ ɾ ɯ̟ᵝ
たかね	t a̠ k a̠ n e̞
たかのつめ	t a̠ k a̠ n o̞ t͡s ɨᵝ m e̞
たかのり	t a̠ k a̠ n o̞ ɾʲ i
たかはし	t a̠ k a̠ h a̠ ɕ i
たかひこ	t a̠ k a̠ ç i k o̞
たかひと	t a̠ k a̠ ç i t o̞
たかひろ	t a̠ k a̠ ç i ɾ o̞
たかふみ	t a̠ k a̠ ɸ ɯ̟ᵝ mʲ i
たかまつ	t a̠ k a̠ m a̠ t͡s ɨᵝ
たかまる	t a̠ k a̠ m a̠ ɾ ɯ̟ᵝ
たかめる	t a̠ k a̠ m e̞ ɾ ɯ̟ᵝ
たかや	t a̠ k a̠ j a̠
たかやす	t a̠ k a̠ j a̠ s ɨᵝ
たかゆき	t a̠ k a̠ j ɯ̟ᵝ kʲ i
たかよし	t a̠ k a̠ j o̞ ɕ i
たから	t a̠ k a̠ ɾ a̠
たからか	t a̠ k a̠ ɾ a̠ k a̠
たからもの	t a̠ k a̠ ɾ a̠ m o̞ n o̞
たかる	t a̠ k a̠ ɾ ɯ̟ᵝ
たかんしょう	t a̠ k ã̠ ɰ̃ ɕ o̞ː
たき	t a̠ kʲ i
たきこむ	t a̠ kʲ i k o̞ m ɯ̟ᵝ
たきつける	t a̠ kʲ i t͡s ɨ̥ᵝ k e̞ ɾ ɯ̟ᵝ
たく	t a̠ k ɯ̟ᵝ
たくいつ	t a̠ k ɯ̟ᵝ i t͡s ɨᵝ
たくさん	t a̠ k ɯ̟̊ᵝ s ã̠ ɴ
たくし	t a̠ k ɯ̟ᵝ ɕ i
たくしゅつ	t a̠ k ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
